Orthogroup	DEUG.longest_only	AALB.longest_only
OG0000353	LOC108113425|XP_017079472.1|DEUG	LOC118467264|XP_035793443.1|AALB
OG0000354	LOC108110662|XP_017075266.1|DEUG	LOC118463160|XP_035785439.1|AALB
OG0000355	LOC108109066|XP_017072896.1|DEUG, LOC108112228|XP_017077537.1|DEUG	LOC118466904|XP_035792659.1|AALB, LOC118466905|XP_035792661.1|AALB
OG0000356	LOC108107057|XP_017069909.1|DEUG, LOC108107056|XP_017069908.1|DEUG	LOC118456892|XP_035773907.1|AALB, LOC118456891|XP_035773905.1|AALB
OG0000361	LOC108117316|XP_017085173.1|DEUG, LOC108109621|XP_017073687.1|DEUG, LOC108108498|XP_017072056.1|DEUG	LOC118459243|XP_035778341.1|AALB
OG0000362	LOC108118552|XP_017086793.1|DEUG	LOC118461055|XP_035781838.1|AALB
OG0000362	LOC108116764|XP_017084277.1|DEUG	LOC118466029|XP_035790743.1|AALB
OG0000363	LOC108116604|XP_017084052.1|DEUG	LOC118469032|XP_035796381.1|AALB
OG0000363	LOC108114094|XP_017080336.1|DEUG	LOC118466835|XP_035792526.1|AALB
OG0000364	LOC108113606|XP_017079757.1|DEUG	LOC118464621|XP_035787960.1|AALB
OG0000364	LOC108103598|XP_017064615.1|DEUG	LOC118465291|XP_035789227.1|AALB
OG0000365	LOC108109206|XP_017073137.1|DEUG	LOC118464997|XP_035788731.1|AALB
OG0000365	LOC108112421|XP_017077756.1|DEUG	LOC118458156|XP_035776246.1|AALB
OG0000366	LOC108111850|XP_017076946.1|DEUG	LOC118461357|XP_035782477.1|AALB
OG0000366	LOC108113625|XP_017079776.1|DEUG	LOC118460132|XP_035780078.1|AALB
OG0000367	LOC108114320|XP_017080722.1|DEUG, LOC108109083|XP_017072936.1|DEUG	LOC118467162|XP_035793211.1|AALB, LOC118467620|XP_035794222.1|AALB, LOC118467161|XP_035793209.1|AALB, LOC118467160|XP_035793198.1|AALB
OG0000368	LOC108114445|XP_017080930.1|DEUG	LOC118465580|XP_035789842.1|AALB, LOC118465440|XP_035789583.1|AALB, LOC118465579|XP_035789841.1|AALB
OG0000376	LOC108117423|XP_017085323.1|DEUG, LOC108117422|XP_017085322.1|DEUG	LOC118456408|XP_035773014.1|AALB, LOC118464386|XP_035787628.1|AALB
OG0000377	LOC108103867|XP_017065069.1|DEUG, LOC108109192|XP_017073118.1|DEUG	LOC118458738|XP_035777401.1|AALB, LOC118468843|XP_035795978.1|AALB, LOC118456383|XP_035772966.1|AALB
OG0000378	LOC108113045|XP_017078964.1|DEUG	LOC118463946|XP_035786816.1|AALB, LOC118463945|XP_035786815.1|AALB
OG0000379	LOC108112810|XP_017078596.1|DEUG, LOC108112190|XP_017077490.1|DEUG, LOC108112811|XP_017078597.1|DEUG	LOC118467087|XP_035793021.1|AALB
OG0000380	LOC108114891|XP_017081538.1|DEUG, LOC108114679|XP_017081258.1|DEUG	LOC118467601|XP_035794186.1|AALB
OG0000381	LOC108110482|XP_017075049.1|DEUG, LOC108111039|XP_017075856.1|DEUG	LOC118458112|XP_035776180.1|AALB
OG0000382	LOC108116729|XP_017084235.1|DEUG	LOC118461039|XP_035781819.1|AALB
OG0000383	LOC108110882|XP_017075629.1|DEUG, LOC108118466|XP_017086676.1|DEUG	LOC118457812|XP_035775565.1|AALB, LOC118459647|XP_035779122.1|AALB
OG0000384	LOC108106769|XP_017069497.1|DEUG	LOC118458553|XP_035777083.1|AALB
OG0000384	LOC108106645|XP_017069348.1|DEUG	LOC118457748|XP_035775453.1|AALB
OG0000385	LOC108110395|XP_017074941.1|DEUG	LOC118462890|XP_035784867.1|AALB
OG0000385	LOC108110393|XP_017074937.1|DEUG	LOC118463567|XP_035786098.1|AALB
OG0000386	LOC108107653|XP_017070728.1|DEUG, LOC108107655|XP_017070730.1|DEUG, LOC108116093|XP_017083300.1|DEUG	LOC118465564|XP_035789816.1|AALB
OG0000389	LOC108108329|XP_017071847.1|DEUG	LOC118467689|XP_035794365.1|AALB
OG0000390	LOC108111808|XP_017076902.1|DEUG	LOC118467666|XP_035794313.1|AALB, LOC118465236|XP_035789141.1|AALB, LOC118460007|XP_035779822.1|AALB
OG0000391	LOC108111939|XP_017077097.1|DEUG	LOC118463060|XP_035785206.1|AALB
OG0000391	LOC108112028|XP_017077261.1|DEUG	LOC118466441|XP_035791635.1|AALB
OG0000392	LOC108115551|XP_017082547.1|DEUG, LOC108102690|XP_017063321.1|DEUG	LOC118458739|XP_035777402.1|AALB, LOC118458866|XP_035777709.1|AALB, LOC118458600|XP_035777168.1|AALB
OG0000393	LOC108103058|XP_017063860.1|DEUG	LOC118459443|XP_035778692.1|AALB
OG0000393	LOC108103060|XP_017063877.1|DEUG	LOC118461113|XP_035781925.1|AALB
OG0000394	LOC108111867|XP_017076981.1|DEUG, LOC108111866|XP_017076980.1|DEUG	LOC118460130|XP_035780079.1|AALB
OG0000395	LOC108107949|XP_017071270.1|DEUG, LOC108107535|XP_017070565.1|DEUG, LOC108107537|XP_017070566.1|DEUG	LOC118467455|XP_035793854.1|AALB
OG0000399	LOC108115881|XP_017083010.1|DEUG, LOC108112913|XP_017078783.1|DEUG	LOC118463656|XP_035786299.1|AALB
OG0000400	LOC108118373|XP_017086534.1|DEUG, LOC108118374|XP_017086535.1|DEUG	LOC118466541|XP_035791995.1|AALB
OG0000402	LOC108109995|XP_017074320.1|DEUG	LOC118460784|XP_035781282.1|AALB, LOC118460782|XP_035781280.1|AALB, LOC118460780|XP_035781278.1|AALB
OG0000404	LOC108111353|XP_017076275.1|DEUG, LOC108111290|XP_017076167.1|DEUG	LOC118460856|XP_035781455.1|AALB
OG0000405	LOC108110411|XP_017074969.1|DEUG	LOC118457545|XP_035775093.1|AALB
OG0000406	LOC108114709|XP_017081297.1|DEUG, LOC108106695|XP_017069416.1|DEUG	LOC118465398|XP_035789490.1|AALB, LOC118467937|XP_035794799.1|AALB, LOC118465771|XP_035790180.1|AALB
OG0000407	LOC108108302|XP_017071805.1|DEUG	LOC118461228|XP_035782213.1|AALB
OG0000407	LOC108108301|XP_017071800.1|DEUG	LOC118466152|XP_035791018.1|AALB
OG0000408	LOC108116843|XP_017084388.1|DEUG, LOC108103409|XP_017064355.1|DEUG	LOC118466946|XP_035792740.1|AALB
OG0000409	LOC108106268|XP_017068721.1|DEUG, LOC108104527|XP_017066148.1|DEUG	LOC118458368|XP_035776653.1|AALB
OG0000410	LOC108103046|XP_017063848.1|DEUG, LOC108103050|XP_017063853.1|DEUG, LOC108103052|XP_017063855.1|DEUG	LOC118458150|XP_035776239.1|AALB
OG0000411	LOC108109506|XP_017073537.1|DEUG	LOC118459741|XP_035779311.1|AALB
OG0000411	LOC108108035|XP_017071400.1|DEUG	LOC118459403|XP_035778606.1|AALB
OG0000412	LOC108109278|XP_017073259.1|DEUG, LOC108105995|XP_017068321.1|DEUG	LOC118461997|XP_035783825.1|AALB, LOC118461995|XP_035783824.1|AALB
OG0000413	LOC108109449|XP_017073437.1|DEUG, LOC108115231|XP_017082078.1|DEUG	LOC118458806|XP_035777568.1|AALB
OG0000414	LOC108106280|XP_017068736.1|DEUG, LOC108106304|XP_017068764.1|DEUG, LOC108110366|XP_017074908.1|DEUG	LOC118463693|XP_035786363.1|AALB, LOC118462511|XP_035784133.1|AALB, LOC118463987|XP_035786903.1|AALB
OG0000415	LOC108112835|XP_017078632.1|DEUG, LOC108113128|XP_017079119.1|DEUG	LOC118466898|XP_035792648.1|AALB
OG0000416	LOC108105493|XP_017067600.1|DEUG	LOC118459603|XP_035779047.1|AALB
OG0000416	LOC108117223|XP_017085043.1|DEUG	LOC118468795|XP_035795900.1|AALB
OG0000417	LOC108117548|XP_017085546.1|DEUG	LOC118458973|XP_035777855.1|AALB
OG0000417	LOC108111323|XP_017076209.1|DEUG	LOC118464626|XP_035787965.1|AALB
OG0000418	LOC108105512|XP_017067626.1|DEUG, LOC108109933|XP_017074222.1|DEUG	LOC118459139|XP_035778110.1|AALB
OG0000419	LOC108112632|XP_017078227.1|DEUG	LOC118467113|XP_035793065.1|AALB
OG0000421	LOC108105839|XP_017068084.1|DEUG	LOC118468328|XP_035794966.1|AALB
OG0000421	LOC108118333|XP_017086457.1|DEUG	LOC118461574|XP_035782957.1|AALB
OG0000422	LOC108106062|XP_017068409.1|DEUG, LOC108106063|XP_017068410.1|DEUG	LOC118457072|XP_035774236.1|AALB, LOC118457071|XP_035774234.1|AALB, LOC118457251|XP_035774532.1|AALB
OG0000423	LOC108113016|XP_017078927.1|DEUG, LOC108112982|XP_017078879.1|DEUG	LOC118457840|XP_035775613.1|AALB
OG0000424	LOC108111940|XP_017077099.1|DEUG	LOC118466899|XP_035792650.1|AALB
OG0000425	LOC108112410|XP_017077740.1|DEUG	LOC118463347|XP_035785753.1|AALB
OG0000425	LOC108109270|XP_017073248.1|DEUG	LOC118465549|XP_035789768.1|AALB
OG0000426	LOC108112458|XP_017077799.1|DEUG, LOC108112459|XP_017077800.1|DEUG, LOC108106743|XP_017069469.1|DEUG	LOC118464358|XP_035787574.1|AALB
OG0000433	LOC108117392|XP_017085285.1|DEUG	LOC118466448|XP_035791718.1|AALB
OG0000433	LOC108107927|XP_017071239.1|DEUG	LOC118463182|XP_035785489.1|AALB
OG0000434	LOC108115886|XP_017083018.1|DEUG	LOC118457926|XP_035775829.1|AALB
OG0000435	LOC108103116|XP_017063971.1|DEUG	LOC118456488|XP_035773208.1|AALB
OG0000437	LOC108110825|XP_017075550.1|DEUG	LOC118466743|XP_035792325.1|AALB
OG0000437	LOC108111121|XP_017075962.1|DEUG	LOC118463664|XP_035786310.1|AALB
OG0000438	LOC108108670|XP_017072264.1|DEUG, LOC108111380|XP_017076301.1|DEUG	LOC118466625|XP_035792104.1|AALB, LOC118468402|XP_035795059.1|AALB
OG0000439	LOC108111051|XP_017075869.1|DEUG	LOC118468378|XP_035795030.1|AALB
OG0000439	LOC108106028|XP_017068366.1|DEUG	LOC118464880|XP_035788516.1|AALB
OG0000440	LOC108113210|XP_017079233.1|DEUG, LOC108112004|XP_017077229.1|DEUG	LOC118458547|XP_035777075.1|AALB
OG0000441	LOC108108863|XP_017072569.1|DEUG, LOC108108955|XP_017072698.1|DEUG	LOC118461581|XP_035782965.1|AALB
OG0000443	LOC108104721|XP_017066442.1|DEUG, LOC108104626|XP_017066290.1|DEUG	LOC118466849|XP_035792569.1|AALB
OG0000444	LOC108110953|XP_017075738.1|DEUG, LOC108111156|XP_017076015.1|DEUG	LOC118464884|XP_035788521.1|AALB
OG0000446	LOC108115194|XP_017082003.1|DEUG, LOC108118366|XP_017086526.1|DEUG, LOC108104823|XP_017066599.1|DEUG	LOC118463115|XP_035785334.1|AALB
OG0000448	LOC108104217|XP_017065649.1|DEUG, LOC108104215|XP_017065647.1|DEUG	LOC118465143|XP_035788980.1|AALB
OG0000449	LOC108108513|XP_017072071.1|DEUG	LOC118465875|XP_035790405.1|AALB
OG0000449	LOC108114836|XP_017081466.1|DEUG	LOC118468860|XP_035796015.1|AALB
OG0000450	LOC108110117|XP_017074504.1|DEUG	LOC118468652|XP_035795576.1|AALB
OG0000450	LOC108105377|XP_017067402.1|DEUG	LOC118464184|XP_035787232.1|AALB
OG0000451	LOC108102453|XP_017062947.1|DEUG	LOC118457112|XP_035774304.1|AALB
OG0000451	LOC108102455|XP_017062950.1|DEUG	LOC118465876|XP_035790406.1|AALB
OG0000453	LOC108117009|XP_017084668.1|DEUG	LOC118458770|XP_035777455.1|AALB, LOC118458815|XP_035777578.1|AALB
OG0000454	LOC108115263|XP_017082109.1|DEUG, LOC108113811|XP_017080012.1|DEUG	LOC118465813|XP_035790277.1|AALB
OG0000456	LOC108102340|XP_017062665.1|DEUG	LOC118458660|XP_035777247.1|AALB
OG0000456	LOC108105799|XP_017068020.1|DEUG	LOC118457602|XP_035775201.1|AALB
OG0000457	LOC108111164|XP_017076025.1|DEUG	LOC118457563|XP_035775129.1|AALB
OG0000457	LOC108113457|XP_017079526.1|DEUG	LOC118457897|XP_035775767.1|AALB
OG0000458	LOC108104069|XP_017065429.1|DEUG	LOC118457431|XP_035774909.1|AALB, LOC118457430|XP_035774906.1|AALB, LOC118458307|XP_035776534.1|AALB, LOC118461892|XP_035783639.1|AALB
OG0000460	LOC108111207|XP_017076097.1|DEUG	LOC118457528|XP_035775067.1|AALB
OG0000465	LOC108117465|XP_017085376.1|DEUG, LOC108117506|XP_017085480.1|DEUG	LOC118456410|XP_035773015.1|AALB
OG0000466	LOC108117044|XP_017084708.1|DEUG	LOC118460911|XP_035781556.1|AALB
OG0000466	LOC108104194|XP_017065627.1|DEUG	LOC118466949|XP_035792745.1|AALB
OG0000467	LOC108112641|XP_017078244.1|DEUG, LOC108112906|XP_017078762.1|DEUG	LOC118467127|XP_035793110.1|AALB
OG0000468	LOC108109366|XP_017073331.1|DEUG	LOC118458755|XP_035777438.1|AALB
OG0000468	LOC108106543|XP_017069185.1|DEUG	LOC118467881|XP_035794686.1|AALB
OG0000469	LOC108104076|XP_017065454.1|DEUG, LOC108104055|XP_017065389.1|DEUG	LOC118461268|XP_035782294.1|AALB
OG0000470	LOC108108694|XP_017072288.1|DEUG	LOC118464390|XP_035787629.1|AALB
OG0000470	LOC108114403|XP_017080865.1|DEUG	LOC118464250|XP_035787346.1|AALB
OG0000471	LOC108113949|XP_017080154.1|DEUG, LOC108111235|XP_017076127.1|DEUG	LOC118458777|XP_035777493.1|AALB
OG0000473	LOC108103189|XP_017064065.1|DEUG, LOC108103293|XP_017064196.1|DEUG, LOC108103648|XP_017064693.1|DEUG	LOC118460536|XP_035780820.1|AALB
OG0000474	LOC108103488|XP_017064485.1|DEUG, LOC108114006|XP_017080241.1|DEUG	LOC118459736|XP_035779309.1|AALB
OG0000475	LOC108115695|XP_017082753.1|DEUG, LOC108115661|XP_017082708.1|DEUG, LOC108109183|XP_017073107.1|DEUG	LOC118462073|XP_035783973.1|AALB
OG0000476	LOC108110184|XP_017074616.1|DEUG, LOC108110182|XP_017074600.1|DEUG, LOC108109580|XP_017073649.1|DEUG	LOC118457122|XP_035774328.1|AALB
OG0000477	LOC108109584|XP_017073650.1|DEUG, LOC108109485|XP_017073503.1|DEUG	LOC118458053|XP_035776071.1|AALB, LOC118458157|XP_035776247.1|AALB
OG0000478	LOC108118348|XP_017086479.1|DEUG, LOC108113618|XP_017079768.1|DEUG	LOC118465346|XP_035789395.1|AALB, LOC118465348|XP_035789400.1|AALB
OG0000479	LOC108109331|XP_017073290.1|DEUG	LOC118465496|XP_035789694.1|AALB, LOC118465360|XP_035789425.1|AALB
OG0000480	LOC108110665|XP_017075271.1|DEUG, LOC108116268|XP_017083581.1|DEUG, LOC108110998|XP_017075796.1|DEUG	LOC118461644|XP_035783112.1|AALB
OG0000482	LOC108117325|XP_017085185.1|DEUG	LOC118457534|XP_035775079.1|AALB
OG0000483	LOC108116583|XP_017084013.1|DEUG, LOC108116550|XP_017083977.1|DEUG	LOC118456311|XP_035772843.1|AALB
OG0000484	LOC108117209|XP_017085014.1|DEUG, LOC108117205|XP_017085009.1|DEUG	LOC118457307|XP_035774683.1|AALB
OG0000485	LOC108108644|XP_017072234.1|DEUG, LOC108108646|XP_017072237.1|DEUG	LOC118462932|XP_035784936.1|AALB
OG0000486	LOC108109199|XP_017073124.1|DEUG, LOC108109197|XP_017073121.1|DEUG	LOC118467942|XP_035794804.1|AALB
OG0000489	LOC108109346|XP_017073294.1|DEUG, LOC108111834|XP_017076928.1|DEUG	LOC118463309|XP_035785691.1|AALB
OG0000490	LOC108118299|XP_017086400.1|DEUG	LOC118468731|XP_035795767.1|AALB
OG0000490	LOC108117718|XP_017085762.1|DEUG	LOC118460006|XP_035779825.1|AALB
OG0000491	LOC108106697|XP_017069418.1|DEUG, LOC108106225|XP_017068640.1|DEUG, LOC108106696|XP_017069417.1|DEUG	LOC118459356|XP_035778538.1|AALB
OG0000492	LOC108104591|XP_017066243.1|DEUG	LOC118459831|XP_035779487.1|AALB
OG0000492	LOC108105147|XP_017067071.1|DEUG	LOC118460752|XP_035781233.1|AALB
OG0000493	LOC108116110|XP_017083321.1|DEUG, LOC108115932|XP_017083057.1|DEUG	LOC118466934|XP_035792717.1|AALB
OG0000494	LOC108105826|XP_017068059.1|DEUG	LOC118456835|XP_035773824.1|AALB
OG0000495	LOC108103670|XP_017064718.1|DEUG, LOC108112202|XP_017077506.1|DEUG	LOC118457677|XP_035775327.1|AALB, LOC118458639|XP_035777221.1|AALB
OG0000496	LOC108102495|XP_017063001.1|DEUG	LOC118461862|XP_035783558.1|AALB
OG0000496	LOC108104024|XP_017065345.1|DEUG	LOC118461863|XP_035783564.1|AALB
OG0000497	LOC108107146|XP_017070039.1|DEUG	LOC118460514|XP_035780773.1|AALB
OG0000498	LOC108116567|XP_017083996.1|DEUG, LOC108109315|XP_017073289.1|DEUG, LOC108116574|XP_017084004.1|DEUG	LOC118456312|XP_035772844.1|AALB
OG0000499	LOC108112866|XP_017078681.1|DEUG	LOC118468938|XP_035796164.1|AALB
OG0000500	LOC108108457|XP_017072000.1|DEUG, LOC108108623|XP_017072211.1|DEUG	LOC118465195|XP_035789056.1|AALB, LOC118466561|XP_035791997.1|AALB
OG0000504	LOC108114636|XP_017081192.1|DEUG	LOC118467635|XP_035794252.1|AALB, LOC118467632|XP_035794247.1|AALB, LOC118467633|XP_035794248.1|AALB, LOC118467634|XP_035794251.1|AALB, LOC118467631|XP_035794245.1|AALB
OG0000505	LOC108118153|XP_017086199.1|DEUG, LOC108118155|XP_017086203.1|DEUG	LOC118458049|XP_035776070.1|AALB
OG0000506	LOC108113704|XP_017079872.1|DEUG, LOC108113760|XP_017079945.1|DEUG	LOC118457403|XP_035774860.1|AALB, LOC118458643|XP_035777225.1|AALB
OG0000507	LOC108110139|XP_017074542.1|DEUG	LOC118463549|XP_035786064.1|AALB
OG0000507	LOC108110140|XP_017074543.1|DEUG	LOC118460907|XP_035781550.1|AALB
OG0000508	LOC108102768|XP_017063414.1|DEUG, LOC108104706|XP_017066413.1|DEUG	LOC118463026|XP_035785161.1|AALB
OG0000509	LOC108112856|XP_017078668.1|DEUG	LOC118467137|XP_035793145.1|AALB
OG0000509	LOC108112730|XP_017078457.1|DEUG	LOC118464548|XP_035787879.1|AALB
OG0000510	LOC108106460|XP_017069014.1|DEUG, LOC108106459|XP_017069013.1|DEUG	LOC118466910|XP_035792667.1|AALB
OG0000511	LOC108110365|XP_017074906.1|DEUG, LOC108118436|XP_017086630.1|DEUG	LOC118461163|XP_035782053.1|AALB
OG0000512	LOC108112316|XP_017077636.1|DEUG, LOC108114370|XP_017080810.1|DEUG	LOC118459691|XP_035779220.1|AALB, LOC118459687|XP_035779214.1|AALB
OG0000513	LOC108106395|XP_017068892.1|DEUG, LOC108106964|XP_017069752.1|DEUG	LOC118460302|XP_035780398.1|AALB
OG0000514	LOC108104101|XP_017065487.1|DEUG, LOC108104084|XP_017065469.1|DEUG	LOC118468899|XP_035796089.1|AALB
OG0000515	LOC108102383|XP_017062810.1|DEUG, LOC108114405|XP_017080869.1|DEUG	LOC118462668|XP_035784458.1|AALB, LOC118462669|XP_035784459.1|AALB
OG0000516	LOC108104336|XP_017065811.1|DEUG, LOC108104330|XP_017065806.1|DEUG	LOC118457767|XP_035775484.1|AALB, LOC118457766|XP_035775483.1|AALB
OG0000517	LOC108117344|XP_017085207.1|DEUG, LOC108117349|XP_017085213.1|DEUG	LOC118462787|XP_035784671.1|AALB
OG0000522	LOC108115121|XP_017081862.1|DEUG, LOC108103026|XP_017063842.1|DEUG	LOC118461899|XP_035783649.1|AALB
OG0000523	LOC108113770|XP_017079957.1|DEUG	LOC118457544|XP_035775092.1|AALB
OG0000523	LOC108117687|XP_017085703.1|DEUG	LOC118462262|XP_035784006.1|AALB
OG0000524	LOC108114639|XP_017081201.1|DEUG, LOC108115701|XP_017082760.1|DEUG, LOC108113792|XP_017079990.1|DEUG, LOC108113779|XP_017079969.1|DEUG	LOC118462497|XP_035784108.1|AALB
OG0000525	LOC108104605|XP_017066265.1|DEUG, LOC108104555|XP_017066186.1|DEUG	LOC118467117|XP_035793074.1|AALB
OG0000526	LOC108114811|XP_017081421.1|DEUG, LOC108109215|XP_017073149.1|DEUG	LOC118457845|XP_035775623.1|AALB
OG0000527	LOC108110657|XP_017075258.1|DEUG, LOC108111032|XP_017075848.1|DEUG	LOC118468585|XP_035795410.1|AALB
OG0000528	LOC108110490|XP_017075057.1|DEUG	LOC118461978|XP_035783799.1|AALB, LOC118468633|XP_035795544.1|AALB
OG0000529	LOC108110538|XP_017075108.1|DEUG, LOC108102546|XP_017063095.1|DEUG	LOC118468721|XP_035795744.1|AALB
OG0000530	LOC108114155|XP_017080435.1|DEUG, LOC108113616|XP_017079769.1|DEUG	LOC118460710|XP_035781130.1|AALB
OG0000531	LOC108108871|XP_017072578.1|DEUG, LOC108105668|XP_017067857.1|DEUG, LOC108112197|XP_017077500.1|DEUG	LOC118459665|XP_035779162.1|AALB
OG0000532	LOC108117098|XP_017084799.1|DEUG, LOC108117086|XP_017084747.1|DEUG	LOC118460342|XP_035780461.1|AALB
OG0000533	LOC108117714|XP_017085758.1|DEUG	LOC118463254|XP_035785620.1|AALB
OG0000533	LOC108109477|XP_017073491.1|DEUG	LOC118458530|XP_035777001.1|AALB
OG0000535	LOC108112462|XP_017077804.1|DEUG, LOC108109288|XP_017073270.1|DEUG	LOC118463303|XP_035785682.1|AALB
OG0000536	LOC108108090|XP_017071470.1|DEUG	LOC118465659|XP_035789966.1|AALB, LOC118465658|XP_035789965.1|AALB, LOC118463306|XP_035785684.1|AALB, LOC118463517|XP_035786012.1|AALB
OG0000537	LOC108113355|XP_017079408.1|DEUG	LOC118463772|XP_035786479.1|AALB
OG0000538	LOC108113053|XP_017078972.1|DEUG, LOC108104551|XP_017066181.1|DEUG	LOC118467836|XP_035794621.1|AALB
OG0000539	LOC108113537|XP_017079621.1|DEUG, LOC108113649|XP_017079809.1|DEUG	LOC118465211|XP_035789096.1|AALB
OG0000542	LOC108113718|XP_017079888.1|DEUG, LOC108102311|XP_017062563.1|DEUG	LOC118456326|XP_035772875.1|AALB
OG0000543	LOC108108840|XP_017072537.1|DEUG, LOC108108882|XP_017072589.1|DEUG	LOC118466100|XP_035790912.1|AALB
OG0000544	LOC108114631|XP_017081186.1|DEUG, LOC108115167|XP_017081974.1|DEUG	LOC118463604|XP_035786169.1|AALB
OG0000545	LOC108117292|XP_017085137.1|DEUG, LOC108117263|XP_017085105.1|DEUG	LOC118456992|XP_035774100.1|AALB, LOC118456289|XP_035772796.1|AALB
OG0000546	LOC108116177|XP_017083407.1|DEUG, LOC108102901|XP_017063608.1|DEUG	LOC118456580|XP_035773364.1|AALB
OG0000547	LOC108111865|XP_017076979.1|DEUG, LOC108111045|XP_017075862.1|DEUG	LOC118463001|XP_035785122.1|AALB
OG0000548	LOC108114171|XP_017080455.1|DEUG, LOC108114172|XP_017080456.1|DEUG	LOC118464674|XP_035788085.1|AALB
OG0000549	LOC108109191|XP_017073115.1|DEUG	LOC118463968|XP_035786863.1|AALB
OG0000550	LOC108104653|XP_017066321.1|DEUG, LOC108105269|XP_017067238.1|DEUG, LOC108104657|XP_017066328.1|DEUG	LOC118463476|XP_035785959.1|AALB
OG0000551	LOC108112494|XP_017077851.1|DEUG	LOC118461306|XP_035782389.1|AALB
OG0000552	LOC108111351|XP_017076272.1|DEUG, LOC108111451|XP_017076411.1|DEUG	LOC118457543|XP_035775089.1|AALB
OG0000553	LOC108110939|XP_017075722.1|DEUG	LOC118458233|XP_035776395.1|AALB
OG0000554	LOC108116704|XP_017084210.1|DEUG, LOC108116705|XP_017084211.1|DEUG	LOC118458180|XP_035776301.1|AALB
OG0000555	LOC108104636|XP_017066299.1|DEUG, LOC108107775|XP_017070959.1|DEUG	LOC118457196|XP_035774440.1|AALB
OG0000556	LOC108105371|XP_017067396.1|DEUG, LOC108116500|XP_017083922.1|DEUG	LOC118459673|XP_035779173.1|AALB
OG0000557	LOC108111741|XP_017076783.1|DEUG, LOC108111736|XP_017076779.1|DEUG	LOC118456647|XP_035773478.1|AALB
OG0000558	LOC108116321|XP_017083617.1|DEUG, LOC108104947|XP_017066800.1|DEUG	LOC118468293|XP_035794913.1|AALB
OG0000559	LOC108112189|XP_017077528.1|DEUG, LOC108118186|XP_017086234.1|DEUG	LOC118464460|XP_035787744.1|AALB
OG0000560	LOC108113247|XP_017079283.1|DEUG, LOC108113246|XP_017079281.1|DEUG	LOC118464725|XP_035788198.1|AALB
OG0000561	LOC108108172|XP_017071603.1|DEUG, LOC108107573|XP_017070622.1|DEUG	LOC118465034|XP_035788791.1|AALB
OG0000562	LOC108114401|XP_017080863.1|DEUG, LOC108114579|XP_017081122.1|DEUG	LOC118467143|XP_035793164.1|AALB
OG0000566	LOC108117297|XP_017085145.1|DEUG, LOC108108062|XP_017071427.1|DEUG	LOC118456333|XP_035772887.1|AALB
OG0000567	LOC108103213|XP_017064097.1|DEUG	LOC118460369|XP_035780518.1|AALB
OG0000568	LOC108104311|XP_017065784.1|DEUG, LOC108115030|XP_017081764.1|DEUG	LOC118459614|XP_035779070.1|AALB
OG0000569	LOC108110369|XP_017074911.1|DEUG, LOC108117015|XP_017084672.1|DEUG	LOC118461433|XP_035782635.1|AALB
OG0000570	LOC108116717|XP_017084227.1|DEUG, LOC108116695|XP_017084198.1|DEUG	LOC118460155|XP_035780145.1|AALB
OG0000571	LOC108116057|XP_017083247.1|DEUG, LOC108115998|XP_017083159.1|DEUG	LOC118466148|XP_035791004.1|AALB
OG0000572	LOC108116814|XP_017084352.1|DEUG, LOC108116825|XP_017084364.1|DEUG	LOC118463820|XP_035786593.1|AALB
OG0000573	LOC108108099|XP_017071489.1|DEUG, LOC108109145|XP_017073037.1|DEUG	LOC118466093|XP_035790895.1|AALB
OG0000574	LOC108114187|XP_017080485.1|DEUG, LOC108117259|XP_017085099.1|DEUG	LOC118466277|XP_035791247.1|AALB
OG0000575	LOC108108107|XP_017071505.1|DEUG, LOC108108142|XP_017071558.1|DEUG	LOC118463679|XP_035786334.1|AALB
OG0000576	LOC108116190|XP_017083420.1|DEUG, LOC108116188|XP_017083418.1|DEUG, LOC108116187|XP_017083417.1|DEUG	LOC118468399|XP_035795056.1|AALB
OG0000577	LOC108107018|XP_017069854.1|DEUG	LOC118456890|XP_035773904.1|AALB
OG0000578	LOC108110704|XP_017075336.1|DEUG, LOC108113167|XP_017079171.1|DEUG	LOC118456432|XP_035773082.1|AALB
OG0000579	LOC108116830|XP_017084370.1|DEUG, LOC108114503|XP_017081011.1|DEUG	LOC118468848|XP_035795984.1|AALB
OG0000580	LOC108116459|XP_017083877.1|DEUG, LOC108116414|XP_017083787.1|DEUG	LOC118460585|XP_035780898.1|AALB
OG0000581	LOC108110214|XP_017074681.1|DEUG	LOC118457211|XP_035774472.1|AALB
OG0000582	LOC108116844|XP_017084432.1|DEUG, LOC108114379|XP_017080823.1|DEUG, LOC108109179|XP_017073096.1|DEUG	LOC118464258|XP_035787390.1|AALB
OG0000583	LOC108109046|XP_017072834.1|DEUG, LOC108109045|XP_017072832.1|DEUG	LOC118468813|XP_035795921.1|AALB
OG0000589	LOC108116982|XP_017084637.1|DEUG	LOC118457054|XP_035774200.1|AALB
OG0000590	LOC108115589|XP_017082591.1|DEUG	LOC118456991|XP_035774099.1|AALB
OG0000590	LOC108110396|XP_017074945.1|DEUG	LOC118458904|XP_035777758.1|AALB
OG0000592	LOC108113022|XP_017078939.1|DEUG, LOC108106343|XP_017068812.1|DEUG	LOC118461592|XP_035782989.1|AALB
