Orthogroup	DEUG.longest_only	BTRY.longest_only
OG0000689	LOC108104872|XP_017066687.1|DEUG, LOC108104871|XP_017066686.1|DEUG	LOC120770031|XP_039953075.1|BTRY
OG0000690	LOC108104991|XP_017066856.1|DEUG	LOC120773565|XP_039958468.1|BTRY, LOC120773566|XP_039958469.1|BTRY
OG0000691	LOC108110679|XP_017075292.1|DEUG, LOC108108549|XP_017072116.1|DEUG	LOC120777191|XP_039964294.1|BTRY
OG0000692	LOC108113899|XP_017080094.1|DEUG	LOC120779210|XP_039967421.1|BTRY
OG0000692	LOC108113898|XP_017080093.1|DEUG	LOC120778127|XP_039965765.1|BTRY
OG0000693	LOC108105341|XP_017067326.1|DEUG	LOC120771158|XP_039954971.1|BTRY
OG0000693	LOC108117269|XP_017085113.1|DEUG	LOC120782889|XP_039971371.1|BTRY
OG0000694	LOC108110125|XP_017074520.1|DEUG	LOC120774032|XP_039959264.1|BTRY
OG0000695	LOC108113459|XP_017079529.1|DEUG	LOC120767751|XP_039949899.1|BTRY
OG0000695	LOC108113466|XP_017079536.1|DEUG	LOC120781358|XP_039969503.1|BTRY
OG0000696	LOC108106081|XP_017068428.1|DEUG, LOC108106091|XP_017068439.1|DEUG	LOC120768165|XP_039950663.1|BTRY
OG0000697	LOC108113442|XP_017079501.1|DEUG	LOC120781423|XP_039969578.1|BTRY
OG0000698	LOC108110525|XP_017075095.1|DEUG	LOC120768119|XP_039950603.1|BTRY
OG0000698	LOC108110474|XP_017075031.1|DEUG	LOC120769374|XP_039952275.1|BTRY
OG0000699	LOC108107128|XP_017070011.1|DEUG, LOC108115583|XP_017082584.1|DEUG	LOC120768226|XP_039950738.1|BTRY
OG0000700	LOC108110951|XP_017075735.1|DEUG, LOC108111056|XP_017075873.1|DEUG	LOC120768126|XP_039950614.1|BTRY
OG0000701	LOC108111904|XP_017077031.1|DEUG	LOC120771893|XP_039956097.1|BTRY
OG0000701	LOC108103030|XP_017063845.1|DEUG	LOC120776077|XP_039962480.1|BTRY
OG0000702	LOC108113581|XP_017079713.1|DEUG, LOC108113580|XP_017079690.1|DEUG	LOC120781839|XP_039969995.1|BTRY
OG0000703	LOC108112711|XP_017078423.1|DEUG	LOC120770853|XP_039954392.1|BTRY
OG0000704	LOC108102438|XP_017062914.1|DEUG	LOC120775825|XP_039962115.1|BTRY
OG0000705	LOC108102844|XP_017063525.1|DEUG, LOC108102860|XP_017063551.1|DEUG	LOC120776363|XP_039962873.1|BTRY
OG0000706	LOC108105717|XP_017067920.1|DEUG, LOC108109737|XP_017073876.1|DEUG	LOC120773351|XP_039958105.1|BTRY
OG0000707	LOC108112148|XP_017077385.1|DEUG, LOC108102919|XP_017063660.1|DEUG	LOC120774249|XP_039959648.1|BTRY
OG0000708	LOC108110297|XP_017074788.1|DEUG, LOC108109942|XP_017074233.1|DEUG	LOC120773437|XP_039958254.1|BTRY
OG0000709	LOC108113488|XP_017079563.1|DEUG, LOC108103905|XP_017065142.1|DEUG	LOC120774189|XP_039959550.1|BTRY
OG0000710	LOC108115119|XP_017081859.1|DEUG, LOC108113239|XP_017079272.1|DEUG	LOC120772668|XP_039957337.1|BTRY
OG0000711	LOC108114734|XP_017081333.1|DEUG, LOC108117614|XP_017085632.1|DEUG	LOC120774260|XP_039959660.1|BTRY
OG0000712	LOC108117219|XP_017085034.1|DEUG, LOC108117289|XP_017085133.1|DEUG	LOC120766277|XP_039947612.1|BTRY
OG0000713	LOC108113229|XP_017079255.1|DEUG	LOC120771290|XP_039955155.1|BTRY
OG0000714	LOC108105346|XP_017067341.1|DEUG, LOC108107988|XP_017071325.1|DEUG	LOC120776187|XP_039962745.1|BTRY
OG0000715	LOC108108448|XP_017071991.1|DEUG	LOC120777705|XP_039965118.1|BTRY
OG0000716	LOC108103229|XP_017064118.1|DEUG, LOC108104285|XP_017065744.1|DEUG	LOC120778741|XP_039966644.1|BTRY
OG0000717	LOC108116753|XP_017084260.1|DEUG	LOC120776443|XP_039963034.1|BTRY
OG0000718	LOC108102387|XP_017062818.1|DEUG	LOC120779472|XP_039967675.1|BTRY
OG0000719	LOC108114245|XP_017080623.1|DEUG, LOC108114069|XP_017080312.1|DEUG	LOC120778733|XP_039966631.1|BTRY
OG0000720	LOC108116080|XP_017083287.1|DEUG, LOC108109384|XP_017073372.1|DEUG, LOC108109425|XP_017073424.1|DEUG	LOC120769277|XP_039952127.1|BTRY, LOC120766434|XP_039947872.1|BTRY
OG0000721	LOC108113417|XP_017079460.1|DEUG, LOC108102478|XP_017062980.1|DEUG, LOC108105581|XP_017067710.1|DEUG, LOC108105580|XP_017067709.1|DEUG, LOC108113416|XP_017079459.1|DEUG, LOC108102477|XP_017062979.1|DEUG	LOC120769802|XP_039952930.1|BTRY, LOC120769794|XP_039952916.1|BTRY
OG0000722	LOC108107198|XP_017070104.1|DEUG, LOC108107245|XP_017070151.1|DEUG, LOC108107197|XP_017070103.1|DEUG, LOC108107196|XP_017070102.1|DEUG	LOC120772992|XP_039957839.1|BTRY
OG0000723	LOC108112312|XP_017077627.1|DEUG	LOC120770243|XP_039953475.1|BTRY, LOC120772389|XP_039956912.1|BTRY, LOC120770246|XP_039953478.1|BTRY, LOC120770248|XP_039953479.1|BTRY, LOC120770245|XP_039953477.1|BTRY
OG0000724	LOC108117712|XP_017085756.1|DEUG	LOC120775707|XP_039961953.1|BTRY
OG0000726	LOC108111510|XP_017076514.1|DEUG, LOC108111471|XP_017076431.1|DEUG	LOC120766296|XP_039947634.1|BTRY
OG0000727	LOC108117302|XP_017085151.1|DEUG, LOC108117304|XP_017085152.1|DEUG, LOC108117045|XP_017084705.1|DEUG	LOC120774034|XP_039959268.1|BTRY
OG0000729	LOC108115744|XP_017082803.1|DEUG, LOC108115763|XP_017082820.1|DEUG	LOC120766518|XP_039948019.1|BTRY
OG0000730	LOC108103906|XP_017065144.1|DEUG, LOC108111468|XP_017076432.1|DEUG	LOC120776578|XP_039963276.1|BTRY
OG0000731	LOC108108134|XP_017071544.1|DEUG, LOC108112333|XP_017077650.1|DEUG	LOC120772324|XP_039956789.1|BTRY
OG0000732	LOC108114189|XP_017080488.1|DEUG	LOC120776637|XP_039963390.1|BTRY
OG0000733	LOC108115945|XP_017083070.1|DEUG, LOC108108015|XP_017071360.1|DEUG	LOC120778269|XP_039965982.1|BTRY
OG0000734	LOC108108068|XP_017071434.1|DEUG	LOC120777306|XP_039964465.1|BTRY
OG0000735	LOC108104440|XP_017065989.1|DEUG	LOC120775254|XP_039961269.1|BTRY
OG0000736	LOC108110540|XP_017075110.1|DEUG, LOC108110541|XP_017075112.1|DEUG	LOC120768185|XP_039950687.1|BTRY
OG0000737	LOC108106638|XP_017069331.1|DEUG	LOC120770597|XP_039954132.1|BTRY
OG0000738	LOC108118339|XP_017086462.1|DEUG	LOC120774532|XP_039960179.1|BTRY
OG0000738	LOC108105767|XP_017067976.1|DEUG	LOC120774465|XP_039960055.1|BTRY
OG0000739	LOC108116175|XP_017083406.1|DEUG, LOC108116174|XP_017083403.1|DEUG	LOC120769188|XP_039952017.1|BTRY
OG0000740	LOC108110537|XP_017075111.1|DEUG	LOC120782338|XP_039970508.1|BTRY
OG0000741	LOC108102917|XP_017063657.1|DEUG, LOC108111527|XP_017076537.1|DEUG	LOC120775681|XP_039961907.1|BTRY
OG0000742	LOC108109700|XP_017073815.1|DEUG	LOC120775564|XP_039961723.1|BTRY
OG0000742	LOC108109715|XP_017073836.1|DEUG	LOC120773637|XP_039958580.1|BTRY
OG0000743	LOC108102832|XP_017063512.1|DEUG, LOC108112147|XP_017077383.1|DEUG	LOC120777027|XP_039964073.1|BTRY
OG0000744	LOC108112201|XP_017077504.1|DEUG	LOC120771263|XP_039955114.1|BTRY
OG0000745	LOC108108865|XP_017072571.1|DEUG, LOC108112741|XP_017078468.1|DEUG	LOC120774817|XP_039960555.1|BTRY
OG0000746	LOC108109130|XP_017073016.1|DEUG, LOC108109131|XP_017073017.1|DEUG	LOC120770348|XP_039953684.1|BTRY
OG0000747	LOC108116783|XP_017084317.1|DEUG	LOC120777765|XP_039965203.1|BTRY
OG0000747	LOC108116731|XP_017084237.1|DEUG	LOC120778589|XP_039966390.1|BTRY
OG0000748	LOC108110603|XP_017075190.1|DEUG, LOC108102460|XP_017062957.1|DEUG	LOC120773967|XP_039959137.1|BTRY
OG0000750	LOC108106348|XP_017068817.1|DEUG, LOC108109860|XP_017074133.1|DEUG	LOC120768132|XP_039950622.1|BTRY
OG0000753	LOC108111821|XP_017076918.1|DEUG	LOC120782584|XP_039970866.1|BTRY
OG0000754	LOC108103468|XP_017064455.1|DEUG	LOC120774193|XP_039959555.1|BTRY
OG0000754	LOC108102941|XP_017063699.1|DEUG	LOC120775796|XP_039962074.1|BTRY
OG0000755	LOC108116810|XP_017084347.1|DEUG, LOC108116811|XP_017084348.1|DEUG	LOC120782748|XP_039971125.1|BTRY
OG0000756	LOC108113705|XP_017079873.1|DEUG	LOC120781989|XP_039970090.1|BTRY
OG0000757	LOC108107777|XP_017070961.1|DEUG	LOC120777018|XP_039964065.1|BTRY
OG0000758	LOC108114719|XP_017081309.1|DEUG, LOC108114694|XP_017081279.1|DEUG	LOC120777449|XP_039964700.1|BTRY, LOC120776692|XP_039963509.1|BTRY
OG0000759	LOC108108222|XP_017071678.1|DEUG, LOC108108236|XP_017071692.1|DEUG	LOC120777578|XP_039964922.1|BTRY
OG0000761	LOC108111088|XP_017075913.1|DEUG, LOC108110915|XP_017075672.1|DEUG	LOC120774206|XP_039959587.1|BTRY
OG0000762	LOC108106188|XP_017068601.1|DEUG	LOC120768246|XP_039950771.1|BTRY
OG0000763	LOC108115442|XP_017082367.1|DEUG	LOC120767861|XP_039950109.1|BTRY
OG0000763	LOC108115433|XP_017082359.1|DEUG	LOC120769012|XP_039951790.1|BTRY
OG0000764	LOC108115594|XP_017082597.1|DEUG, LOC108102946|XP_017063709.1|DEUG	LOC120774111|XP_039959405.1|BTRY
OG0000765	LOC108102787|XP_017063437.1|DEUG, LOC108118528|XP_017086764.1|DEUG	LOC120774411|XP_039959970.1|BTRY
OG0000766	LOC108110590|XP_017075176.1|DEUG, LOC108105457|XP_017067544.1|DEUG	LOC120775821|XP_039962110.1|BTRY
OG0000767	LOC108115233|XP_017082079.1|DEUG, LOC108108782|XP_017072442.1|DEUG	LOC120777098|XP_039964166.1|BTRY
OG0000768	LOC108114684|XP_017081265.1|DEUG	LOC120779170|XP_039967338.1|BTRY
OG0000769	LOC108113698|XP_017079863.1|DEUG, LOC108117719|XP_017085767.1|DEUG	LOC120775506|XP_039961648.1|BTRY
OG0000770	LOC108104842|XP_017066640.1|DEUG	LOC120770463|XP_039953893.1|BTRY, LOC120770468|XP_039953897.1|BTRY, LOC120770466|XP_039953895.1|BTRY, LOC120770464|XP_039953894.1|BTRY, LOC120770467|XP_039953896.1|BTRY
OG0000771	LOC108108167|XP_017071596.1|DEUG, LOC108108156|XP_017071578.1|DEUG	LOC120777920|XP_039965438.1|BTRY
OG0000772	LOC108107296|XP_017070241.1|DEUG, LOC108112712|XP_017078427.1|DEUG	LOC120771782|XP_039955909.1|BTRY, LOC120781820|XP_039969974.1|BTRY
OG0000773	LOC108108951|XP_017072694.1|DEUG, LOC108116195|XP_017083424.1|DEUG	LOC120766773|XP_039948391.1|BTRY, LOC120766774|XP_039948393.1|BTRY, LOC120781824|XP_039969978.1|BTRY, LOC120782045|XP_039970134.1|BTRY, LOC120768772|XP_039951471.1|BTRY, LOC120779817|XP_039968123.1|BTRY, LOC120780388|XP_039968609.1|BTRY
OG0000774	LOC108107310|XP_017070270.1|DEUG, LOC108107309|XP_017070269.1|DEUG, LOC108107308|XP_017070267.1|DEUG	LOC120767578|XP_039949657.1|BTRY, LOC120769166|XP_039951985.1|BTRY
OG0000775	LOC108111967|XP_017077161.1|DEUG, LOC108104829|XP_017066614.1|DEUG	LOC120770460|XP_039953888.1|BTRY
OG0000778	LOC108108047|XP_017071410.1|DEUG, LOC108117455|XP_017085359.1|DEUG	LOC120780464|XP_039968675.1|BTRY
OG0000779	LOC108118383|XP_017086547.1|DEUG	LOC120774928|XP_039960739.1|BTRY
OG0000780	LOC108104863|XP_017066674.1|DEUG	LOC120775929|XP_039962269.1|BTRY, LOC120775688|XP_039961921.1|BTRY, LOC120775424|XP_039961540.1|BTRY
OG0000781	LOC108103425|XP_017064381.1|DEUG, LOC108116732|XP_017084238.1|DEUG	LOC120775995|XP_039962361.1|BTRY
OG0000782	LOC108114382|XP_017080829.1|DEUG, LOC108118358|XP_017086514.1|DEUG	LOC120773929|XP_039959062.1|BTRY
OG0000783	LOC108103269|XP_017064170.1|DEUG	LOC120773742|XP_039958737.1|BTRY
OG0000784	LOC108114067|XP_017080311.1|DEUG, LOC108105383|XP_017067416.1|DEUG	LOC120773701|XP_039958669.1|BTRY
OG0000785	LOC108115949|XP_017083073.1|DEUG, LOC108116076|XP_017083283.1|DEUG, LOC108115872|XP_017082992.1|DEUG	LOC120771505|XP_039955496.1|BTRY
OG0000786	LOC108110197|XP_017074650.1|DEUG	LOC120767026|XP_039948800.1|BTRY
OG0000787	LOC108114165|XP_017080446.1|DEUG, LOC108103918|XP_017065156.1|DEUG	LOC120778601|XP_039966408.1|BTRY
OG0000788	LOC108103061|XP_017063880.1|DEUG, LOC108102730|XP_017063366.1|DEUG	LOC120777933|XP_039965449.1|BTRY
OG0000789	LOC108102470|XP_017062968.1|DEUG, LOC108102487|XP_017062988.1|DEUG	LOC120769350|XP_039952247.1|BTRY
OG0000790	LOC108104171|XP_017065565.1|DEUG	LOC120769474|XP_039952427.1|BTRY
OG0000791	LOC108113587|XP_017079722.1|DEUG, LOC108116032|XP_017083210.1|DEUG	LOC120768708|XP_039951415.1|BTRY
OG0000792	LOC108111217|XP_017076110.1|DEUG	LOC120772029|XP_039956333.1|BTRY, LOC120769032|XP_039951810.1|BTRY, LOC120768955|XP_039951678.1|BTRY
OG0000793	LOC108117185|XP_017084966.1|DEUG, LOC108103150|XP_017064013.1|DEUG	LOC120775479|XP_039961612.1|BTRY, LOC120782280|XP_039970415.1|BTRY
OG0000794	LOC108102562|XP_017063125.1|DEUG, LOC108109732|XP_017073869.1|DEUG	LOC120773426|XP_039958236.1|BTRY
OG0000795	LOC108110146|XP_017074549.1|DEUG, LOC108111570|XP_017076582.1|DEUG	LOC120774035|XP_039959269.1|BTRY
OG0000796	LOC108111881|XP_017077000.1|DEUG	LOC120775582|XP_039961751.1|BTRY
OG0000797	LOC108109914|XP_017074211.1|DEUG, LOC108109927|XP_017074219.1|DEUG	LOC120778004|XP_039965605.1|BTRY, LOC120777994|XP_039965582.1|BTRY
OG0000798	LOC108114915|XP_017081588.1|DEUG, LOC108114912|XP_017081580.1|DEUG	LOC120770192|XP_039953357.1|BTRY
OG0000799	LOC108111730|XP_017076772.1|DEUG	LOC120773065|XP_039957937.1|BTRY
OG0000799	LOC108103224|XP_017064112.1|DEUG	LOC120773998|XP_039959208.1|BTRY
OG0000800	LOC108114145|XP_017080416.1|DEUG	LOC120778314|XP_039966041.1|BTRY
OG0000801	LOC108112149|XP_017077386.1|DEUG, LOC108113322|XP_017079365.1|DEUG	LOC120772115|XP_039956460.1|BTRY
OG0000802	LOC108103199|XP_017064077.1|DEUG, LOC108103205|XP_017064084.1|DEUG	LOC120778880|XP_039966857.1|BTRY, LOC120775075|XP_039961000.1|BTRY
OG0000803	LOC108110884|XP_017075631.1|DEUG, LOC108108171|XP_017071602.1|DEUG	LOC120768230|XP_039950750.1|BTRY
OG0000804	LOC108106808|XP_017069544.1|DEUG, LOC108116139|XP_017083358.1|DEUG	LOC120772809|XP_039957534.1|BTRY
OG0000805	LOC108111910|XP_017077038.1|DEUG, LOC108112026|XP_017077259.1|DEUG	LOC120771531|XP_039955524.1|BTRY, LOC120769975|XP_039952984.1|BTRY, LOC120771901|XP_039956112.1|BTRY
OG0000806	LOC108111181|XP_017076056.1|DEUG	LOC120768380|XP_039950980.1|BTRY
OG0000807	LOC108108779|XP_017072438.1|DEUG, LOC108106107|XP_017068472.1|DEUG, LOC108114001|XP_017080236.1|DEUG, LOC108111165|XP_017076032.1|DEUG	LOC120780675|XP_039968878.1|BTRY, LOC120777130|XP_039964209.1|BTRY
OG0000810	LOC108112908|XP_017078764.1|DEUG, LOC108112909|XP_017078765.1|DEUG, LOC108106252|XP_017068706.1|DEUG	LOC120770073|XP_039953136.1|BTRY, LOC120772971|XP_039957812.1|BTRY, LOC120771755|XP_039955870.1|BTRY, LOC120778366|XP_039966087.1|BTRY
OG0000811	LOC108112639|XP_017078238.1|DEUG	LOC120771809|XP_039955948.1|BTRY
OG0000812	LOC108115215|XP_017082050.1|DEUG, LOC108104290|XP_017065753.1|DEUG	LOC120775281|XP_039961314.1|BTRY
OG0000813	LOC108112758|XP_017078503.1|DEUG	LOC120771454|XP_039955399.1|BTRY
OG0000814	LOC108103476|XP_017064507.1|DEUG	LOC120767334|XP_039949212.1|BTRY
OG0000815	LOC108102669|XP_017063299.1|DEUG	LOC120768159|XP_039950654.1|BTRY, LOC120768954|XP_039951677.1|BTRY
OG0000816	LOC108111835|XP_017076929.1|DEUG, LOC108115160|XP_017081960.1|DEUG	LOC120775669|XP_039961872.1|BTRY
OG0000818	LOC108105507|XP_017067620.1|DEUG, LOC108104078|XP_017065462.1|DEUG	LOC120775462|XP_039961582.1|BTRY
OG0000819	LOC108117429|XP_017085336.1|DEUG, LOC108117415|XP_017085316.1|DEUG	LOC120775543|XP_039961702.1|BTRY
OG0000820	LOC108103772|XP_017064889.1|DEUG	LOC120771555|XP_039955552.1|BTRY
OG0000820	LOC108112774|XP_017078532.1|DEUG	LOC120772520|XP_039957109.1|BTRY
OG0000821	LOC108113378|XP_017079436.1|DEUG	LOC120772757|XP_039957459.1|BTRY
OG0000822	LOC108108461|XP_017072004.1|DEUG, LOC108106093|XP_017068440.1|DEUG	LOC120775399|XP_039961495.1|BTRY
OG0000824	LOC108104034|XP_017065358.1|DEUG	LOC120767360|XP_039949263.1|BTRY, LOC120767921|XP_039950258.1|BTRY
OG0000825	LOC108114078|XP_017080322.1|DEUG, LOC108105154|XP_017067079.1|DEUG	LOC120767740|XP_039949884.1|BTRY, LOC120771922|XP_039956146.1|BTRY
OG0000826	LOC108112534|XP_017077949.1|DEUG	LOC120770038|XP_039953088.1|BTRY
OG0000827	LOC108107642|XP_017070717.1|DEUG, LOC108107605|XP_017070660.1|DEUG, LOC108107652|XP_017070727.1|DEUG, LOC108107676|XP_017070753.1|DEUG	LOC120778544|XP_039966327.1|BTRY
OG0000830	LOC108105074|XP_017066986.1|DEUG	LOC120774246|XP_039959645.1|BTRY, LOC120775157|XP_039961129.1|BTRY
OG0000831	LOC108108187|XP_017071622.1|DEUG	LOC120778940|XP_039966934.1|BTRY
OG0000832	LOC108113369|XP_017079425.1|DEUG, LOC108114845|XP_017081480.1|DEUG	LOC120772198|XP_039956598.1|BTRY
OG0000833	LOC108108539|XP_017072101.1|DEUG	LOC120778042|XP_039965651.1|BTRY
OG0000834	LOC108111308|XP_017076191.1|DEUG	LOC120780757|XP_039968946.1|BTRY, LOC120769278|XP_039952168.1|BTRY, LOC120769108|XP_039951937.1|BTRY, LOC120780576|XP_039968772.1|BTRY, LOC120780644|XP_039968843.1|BTRY
OG0000835	LOC108107817|XP_017071051.1|DEUG	LOC120779208|XP_039967415.1|BTRY
OG0000836	LOC108114767|XP_017081368.1|DEUG, LOC108110784|XP_017075493.1|DEUG	LOC120781419|XP_039969566.1|BTRY
OG0000837	LOC108110321|XP_017074834.1|DEUG	LOC120773390|XP_039958158.1|BTRY
OG0000838	LOC108107180|XP_017070088.1|DEUG	LOC120769530|XP_039952503.1|BTRY
OG0000838	LOC108106884|XP_017069621.1|DEUG	LOC120768167|XP_039950665.1|BTRY
OG0000839	LOC108115337|XP_017082240.1|DEUG, LOC108117068|XP_017084730.1|DEUG	LOC120782411|XP_039970593.1|BTRY
OG0000840	LOC108111620|XP_017076641.1|DEUG, LOC108104970|XP_017066830.1|DEUG	LOC120775062|XP_039960976.1|BTRY
OG0000841	LOC108102357|XP_017062746.1|DEUG, LOC108111611|XP_017076628.1|DEUG	LOC120774627|XP_039960288.1|BTRY
OG0000842	LOC108109302|XP_017073286.1|DEUG, LOC108117231|XP_017085053.1|DEUG	LOC120771230|XP_039955075.1|BTRY
OG0000843	LOC108107457|XP_017070493.1|DEUG	LOC120767219|XP_039948968.1|BTRY
OG0000844	LOC108107350|XP_017070339.1|DEUG, LOC108116201|XP_017083447.1|DEUG	LOC120772952|XP_039957787.1|BTRY
OG0000845	LOC108117528|XP_017085518.1|DEUG, LOC108117518|XP_017085505.1|DEUG	LOC120774535|XP_039960190.1|BTRY, LOC120774534|XP_039960189.1|BTRY, LOC120775645|XP_039961835.1|BTRY, LOC120775849|XP_039962153.1|BTRY
OG0000846	LOC108111292|XP_017076170.1|DEUG, LOC108116107|XP_017083317.1|DEUG, LOC108116106|XP_017083315.1|DEUG, LOC108116086|XP_017083292.1|DEUG, LOC108115900|XP_017083025.1|DEUG, LOC108116105|XP_017083314.1|DEUG, LOC108105562|XP_017067697.1|DEUG	LOC120773907|XP_039959060.1|BTRY, LOC120774489|XP_039960093.1|BTRY, LOC120766186|XP_039947480.1|BTRY, LOC120774490|XP_039960094.1|BTRY, LOC120782809|XP_039971222.1|BTRY, LOC120782732|XP_039971098.1|BTRY, LOC120774488|XP_039960092.1|BTRY, LOC120766169|XP_039947456.1|BTRY, LOC120766846|XP_039948496.1|BTRY, LOC120777346|XP_039964533.1|BTRY
OG0000847	LOC108112211|XP_017077517.1|DEUG, LOC108107421|XP_017070438.1|DEUG	LOC120772970|XP_039957811.1|BTRY
OG0000848	LOC108111166|XP_017076033.1|DEUG	LOC120769395|XP_039952300.1|BTRY
OG0000848	LOC108114773|XP_017081372.1|DEUG	LOC120769492|XP_039952455.1|BTRY
OG0000849	LOC108104018|XP_017065339.1|DEUG, LOC108102526|XP_017063051.1|DEUG	LOC120767744|XP_039949889.1|BTRY, LOC120769234|XP_039952068.1|BTRY
OG0000850	LOC108112485|XP_017077843.1|DEUG, LOC108112415|XP_017077746.1|DEUG	LOC120771754|XP_039955869.1|BTRY
OG0000854	LOC108103341|XP_017064265.1|DEUG	LOC120775175|XP_039961162.1|BTRY
OG0000855	LOC108102447|XP_017062931.1|DEUG	LOC120773441|XP_039958257.1|BTRY
OG0000856	LOC108103024|XP_017063840.1|DEUG, LOC108108787|XP_017072450.1|DEUG	LOC120777247|XP_039964372.1|BTRY
OG0000857	LOC108117691|XP_017085709.1|DEUG	LOC120775727|XP_039961977.1|BTRY, LOC120775728|XP_039961978.1|BTRY, LOC120775725|XP_039961975.1|BTRY
OG0000858	LOC108116921|XP_017084550.1|DEUG, LOC108105446|XP_017067564.1|DEUG, LOC108117003|XP_017084659.1|DEUG	LOC120766865|XP_039948533.1|BTRY, LOC120766875|XP_039948543.1|BTRY
OG0000860	LOC108114399|XP_017080861.1|DEUG, LOC108107741|XP_017070890.1|DEUG	LOC120776818|XP_039963769.1|BTRY
OG0000861	LOC108109190|XP_017073114.1|DEUG	LOC120770507|XP_039953969.1|BTRY
OG0000862	LOC108109256|XP_017073227.1|DEUG, LOC108102496|XP_017063008.1|DEUG	LOC120770600|XP_039954136.1|BTRY
OG0000863	LOC108115660|XP_017082707.1|DEUG, LOC108109555|XP_017073615.1|DEUG	LOC120777304|XP_039964456.1|BTRY
OG0000864	LOC108105772|XP_017067984.1|DEUG, LOC108103839|XP_017065017.1|DEUG	LOC120774119|XP_039959414.1|BTRY
OG0000865	LOC108110513|XP_017075085.1|DEUG	LOC120766549|XP_039948069.1|BTRY
OG0000866	LOC108102560|XP_017063121.1|DEUG, LOC108102561|XP_017063122.1|DEUG	LOC120767427|XP_039949404.1|BTRY
OG0000867	LOC108111004|XP_017075804.1|DEUG	LOC120769201|XP_039952030.1|BTRY
OG0000868	LOC108111885|XP_017077009.1|DEUG	LOC120775630|XP_039961818.1|BTRY
OG0000869	LOC108116205|XP_017083472.1|DEUG	LOC120782245|XP_039970346.1|BTRY
OG0000870	LOC108107256|XP_017070174.1|DEUG	LOC120770900|XP_039954505.1|BTRY
OG0000871	LOC108106732|XP_017069459.1|DEUG	LOC120770580|XP_039954094.1|BTRY
OG0000872	LOC108107336|XP_017070312.1|DEUG	LOC120772394|XP_039956919.1|BTRY
OG0000873	LOC108108765|XP_017072421.1|DEUG	LOC120776591|XP_039963293.1|BTRY
OG0000874	LOC108112883|XP_017078717.1|DEUG	LOC120770902|XP_039954507.1|BTRY
OG0000875	LOC108107585|XP_017070635.1|DEUG	LOC120778610|XP_039966422.1|BTRY
OG0000877	LOC108108756|XP_017072406.1|DEUG, LOC108105416|XP_017067453.1|DEUG	LOC120775435|XP_039961555.1|BTRY
OG0000878	LOC108112208|XP_017077514.1|DEUG, LOC108110552|XP_017075130.1|DEUG	LOC120771758|XP_039955874.1|BTRY, LOC120770725|XP_039954238.1|BTRY, LOC120771640|XP_039955674.1|BTRY
OG0000879	LOC108109019|XP_017072780.1|DEUG	LOC120771783|XP_039955910.1|BTRY
OG0000880	LOC108105414|XP_017067451.1|DEUG, LOC108114008|XP_017080243.1|DEUG	LOC120774827|XP_039960571.1|BTRY
OG0000882	LOC108103997|XP_017065274.1|DEUG	LOC120774291|XP_039959730.1|BTRY
OG0000883	LOC108102961|XP_017063747.1|DEUG	LOC120776018|XP_039962396.1|BTRY
OG0000884	LOC108102512|XP_017063026.1|DEUG	LOC120775340|XP_039961418.1|BTRY
OG0000885	LOC108117251|XP_017085089.1|DEUG	LOC120774517|XP_039960149.1|BTRY
OG0000886	LOC108116887|XP_017084476.1|DEUG	LOC120766965|XP_039948689.1|BTRY
OG0000887	LOC108111854|XP_017076952.1|DEUG	LOC120773605|XP_039958539.1|BTRY
OG0000888	LOC108104658|XP_017066329.1|DEUG	LOC120776533|XP_039963201.1|BTRY, LOC120777068|XP_039964128.1|BTRY
OG0000889	LOC108116782|XP_017084311.1|DEUG	LOC120778820|XP_039966759.1|BTRY
OG0000890	LOC108113182|XP_017079196.1|DEUG	LOC120772751|XP_039957448.1|BTRY
OG0000891	LOC108105802|XP_017068030.1|DEUG, LOC108104083|XP_017065467.1|DEUG	LOC120769734|XP_039952818.1|BTRY
OG0000892	LOC108114064|XP_017080307.1|DEUG, LOC108114365|XP_017080804.1|DEUG	LOC120779101|XP_039967201.1|BTRY
OG0000893	LOC108115103|XP_017081838.1|DEUG	LOC120766495|XP_039947980.1|BTRY
OG0000894	LOC108115139|XP_017081922.1|DEUG, LOC108116115|XP_017083328.1|DEUG, LOC108116236|XP_017083516.1|DEUG	LOC120782827|XP_039971281.1|BTRY
OG0000895	LOC108112990|XP_017078890.1|DEUG, LOC108112989|XP_017078889.1|DEUG	LOC120772037|XP_039956342.1|BTRY
OG0000896	LOC108112438|XP_017077772.1|DEUG, LOC108103223|XP_017064111.1|DEUG	LOC120775239|XP_039961253.1|BTRY
OG0000897	LOC108113552|XP_017079635.1|DEUG	LOC120782199|XP_039970279.1|BTRY
OG0000897	LOC108113554|XP_017079636.1|DEUG	LOC120782447|XP_039970667.1|BTRY
OG0000898	LOC108112223|XP_017077530.1|DEUG, LOC108112266|XP_017077577.1|DEUG	LOC120766530|XP_039948034.1|BTRY
OG0000899	LOC108109524|XP_017073574.1|DEUG, LOC108109522|XP_017073569.1|DEUG, LOC108109523|XP_017073570.1|DEUG	LOC120766384|XP_039947752.1|BTRY
OG0000900	LOC108112943|XP_017078829.1|DEUG, LOC108112942|XP_017078827.1|DEUG	LOC120770022|XP_039953053.1|BTRY
