Orthogroup	DEUG.longest_only	ASTE.longest_only
OG0002208	LOC108116109|XP_017083320.1|DEUG	LOC118505185|XP_035896533.1|ASTE
OG0002209	LOC108109750|XP_017073907.1|DEUG	LOC118504832|XP_035895729.1|ASTE
OG0002210	LOC108115386|XP_017082310.1|DEUG	LOC118508005|XP_035903280.1|ASTE
OG0002211	LOC108116953|XP_017084596.1|DEUG	LOC118505434|XP_035897105.1|ASTE, LOC118505435|XP_035897109.1|ASTE
OG0002212	LOC108117121|XP_017084841.1|DEUG	LOC118503193|XP_035892068.1|ASTE
OG0002213	LOC108116146|XP_017083371.1|DEUG	LOC118505443|XP_035897133.1|ASTE
OG0002214	LOC108109432|XP_017073421.1|DEUG	LOC118517710|XP_035920049.1|ASTE
OG0002215	LOC108109209|XP_017073143.1|DEUG	LOC118511933|XP_035911507.1|ASTE
OG0002216	LOC108116071|XP_017083275.1|DEUG	LOC118506810|XP_035900361.1|ASTE
OG0002217	LOC108105241|XP_017067205.1|DEUG	LOC118504422|XP_035894751.1|ASTE
OG0002218	LOC108110066|XP_017074436.1|DEUG	LOC118508587|XP_035904385.1|ASTE
OG0002219	LOC108116976|XP_017084625.1|DEUG	LOC118502956|XP_035891612.1|ASTE, LOC118507789|XP_035902718.1|ASTE
OG0002220	LOC108116798|XP_017084334.1|DEUG	LOC118502954|XP_035891604.1|ASTE
OG0002221	LOC108114624|XP_017081180.1|DEUG	LOC118512120|XP_035911991.1|ASTE
OG0002224	LOC108112564|XP_017078001.1|DEUG	LOC118511464|XP_035910459.1|ASTE
OG0002225	LOC108104917|XP_017066754.1|DEUG	LOC118513122|XP_035914417.1|ASTE
OG0002226	LOC108106403|XP_017068903.1|DEUG	LOC118512964|XP_035914083.1|ASTE
OG0002227	LOC108106474|XP_017069039.1|DEUG	LOC118512046|XP_035911768.1|ASTE
OG0002228	LOC108105408|XP_017067444.1|DEUG	LOC118512073|XP_035911856.1|ASTE
OG0002229	LOC108107358|XP_017070348.1|DEUG	LOC118512084|XP_035911937.1|ASTE
OG0002230	LOC108112543|XP_017077968.1|DEUG	LOC118512100|XP_035911960.1|ASTE
OG0002231	LOC108113113|XP_017079099.1|DEUG	LOC118512056|XP_035911800.1|ASTE
OG0002233	LOC108108208|XP_017071658.1|DEUG	LOC118509110|XP_035905172.1|ASTE, LOC118516894|XP_035918632.1|ASTE
OG0002234	LOC108106692|XP_017069414.1|DEUG	LOC118513338|XP_035914853.1|ASTE, LOC118513012|XP_035914179.1|ASTE
OG0002235	LOC108112672|XP_017078300.1|DEUG	LOC118516351|XP_035918062.1|ASTE, LOC118511365|XP_035910220.1|ASTE
OG0002236	LOC108107315|XP_017070277.1|DEUG	LOC118513001|XP_035914151.1|ASTE
OG0002237	LOC108107434|XP_017070457.1|DEUG	LOC118512996|XP_035914146.1|ASTE
OG0002238	LOC108113024|XP_017078940.1|DEUG	LOC118514491|XP_035917307.1|ASTE
OG0002239	LOC108112846|XP_017078648.1|DEUG	LOC118510562|XP_035908439.1|ASTE
OG0002240	LOC108112933|XP_017078813.1|DEUG	LOC118508906|XP_035904657.1|ASTE
OG0002241	LOC108117391|XP_017085278.1|DEUG	LOC118512142|XP_035912062.1|ASTE
OG0002243	LOC108117146|XP_017084893.1|DEUG	LOC118509122|XP_035905202.1|ASTE
OG0002244	LOC108114342|XP_017080763.1|DEUG	LOC118509120|XP_035905197.1|ASTE
OG0002245	LOC108109815|XP_017074029.1|DEUG	LOC118512677|XP_035913349.1|ASTE
OG0002246	LOC108113183|XP_017079197.1|DEUG	LOC118512690|XP_035913373.1|ASTE
OG0002247	LOC108107402|XP_017070411.1|DEUG	LOC118513104|XP_035914398.1|ASTE
OG0002248	LOC108107912|XP_017071221.1|DEUG	LOC118509410|XP_035905873.1|ASTE
OG0002249	LOC108109911|XP_017074208.1|DEUG	LOC118506297|XP_035899129.1|ASTE, LOC118509498|XP_035906049.1|ASTE
OG0002250	LOC108108901|XP_017072614.1|DEUG	LOC118509644|XP_035906444.1|ASTE
OG0002251	LOC108109274|XP_017073254.1|DEUG	LOC118509713|XP_035906691.1|ASTE
OG0002252	LOC108109205|XP_017073136.1|DEUG	LOC118511909|XP_035911437.1|ASTE
OG0002253	LOC108107461|XP_017070496.1|DEUG	LOC118509671|XP_035906564.1|ASTE
OG0002254	LOC108117462|XP_017085373.1|DEUG	LOC118510161|XP_035907562.1|ASTE
OG0002255	LOC108103759|XP_017064866.1|DEUG	LOC118511430|XP_035910414.1|ASTE
OG0002256	LOC108112585|XP_017078113.1|DEUG	LOC118511531|XP_035910613.1|ASTE
OG0002257	LOC108106420|XP_017068938.1|DEUG	LOC118509590|XP_035906256.1|ASTE
OG0002258	LOC108114104|XP_017080352.1|DEUG	LOC118510362|XP_035907963.1|ASTE
OG0002259	LOC108115198|XP_017082008.1|DEUG	LOC118514323|XP_035917001.1|ASTE, LOC118510378|XP_035908009.1|ASTE
OG0002260	LOC108107974|XP_017071307.1|DEUG	LOC118510417|XP_035908079.1|ASTE
OG0002261	LOC108108675|XP_017072268.1|DEUG	LOC118510383|XP_035908022.1|ASTE
OG0002263	LOC108114539|XP_017081071.1|DEUG	LOC118511448|XP_035910442.1|ASTE
OG0002264	LOC108107366|XP_017070359.1|DEUG	LOC118509654|XP_035906501.1|ASTE
OG0002265	LOC108113991|XP_017080223.1|DEUG	LOC118512810|XP_035913655.1|ASTE
OG0002266	LOC108107614|XP_017070673.1|DEUG	LOC118510215|XP_035907667.1|ASTE
OG0002267	LOC108108322|XP_017071839.1|DEUG	LOC118514340|XP_035917050.1|ASTE
OG0002268	LOC108114546|XP_017081080.1|DEUG	LOC118514259|XP_035916868.1|ASTE
OG0002269	LOC108112777|XP_017078539.1|DEUG	LOC118510335|XP_035907886.1|ASTE
OG0002270	LOC108112999|XP_017078899.1|DEUG	LOC118510096|XP_035907414.1|ASTE
OG0002271	LOC108108347|XP_017071877.1|DEUG	LOC118510340|XP_035907904.1|ASTE
OG0002272	LOC108102805|XP_017063473.1|DEUG	LOC118514352|XP_035917067.1|ASTE
OG0002273	LOC108118204|XP_017086252.1|DEUG	LOC118512827|XP_035913708.1|ASTE
OG0002274	LOC108108708|XP_017072306.1|DEUG	LOC118511865|XP_035911340.1|ASTE
OG0002275	LOC108114632|XP_017081187.1|DEUG	LOC118514222|XP_035916813.1|ASTE
OG0002276	LOC108102789|XP_017063439.1|DEUG	LOC118514361|XP_035917082.1|ASTE
OG0002277	LOC108102863|XP_017063554.1|DEUG	LOC118509700|XP_035906664.1|ASTE
OG0002278	LOC108107518|XP_017070548.1|DEUG	LOC118509037|XP_035904970.1|ASTE
OG0002279	LOC108117372|XP_017085247.1|DEUG	LOC118510327|XP_035907865.1|ASTE
OG0002280	LOC108114186|XP_017080484.1|DEUG	LOC118510303|XP_035907825.1|ASTE
OG0002281	LOC108114463|XP_017080957.1|DEUG	LOC118516379|XP_035918124.1|ASTE, LOC118512783|XP_035913589.1|ASTE
OG0002282	LOC108108032|XP_017071393.1|DEUG	LOC118514625|XP_035917516.1|ASTE
OG0002283	LOC108109188|XP_017073111.1|DEUG	LOC118508859|XP_035904510.1|ASTE
OG0002284	LOC108109068|XP_017072901.1|DEUG	LOC118517324|XP_035919197.1|ASTE, LOC118509383|XP_035905819.1|ASTE
OG0002285	LOC108103286|XP_017064186.1|DEUG	LOC118509559|XP_035906207.1|ASTE
OG0002286	LOC108113194|XP_017079210.1|DEUG	LOC118514227|XP_035916819.1|ASTE
OG0002287	LOC108113123|XP_017079115.1|DEUG	LOC118511799|XP_035911222.1|ASTE
OG0002288	LOC108108303|XP_017071806.1|DEUG	LOC118511560|XP_035910685.1|ASTE
OG0002289	LOC108109822|XP_017074047.1|DEUG	LOC118514451|XP_035917261.1|ASTE
OG0002290	LOC108113415|XP_017079457.1|DEUG	LOC118511748|XP_035911105.1|ASTE
OG0002291	LOC108112619|XP_017078200.1|DEUG	LOC118509648|XP_035906462.1|ASTE
OG0002292	LOC108113072|XP_017079001.1|DEUG	LOC118510356|XP_035907950.1|ASTE
OG0002293	LOC108118498|XP_017086722.1|DEUG, LOC108117562|XP_017085559.1|DEUG	LOC118511334|XP_035910160.1|ASTE
OG0002294	LOC108109421|XP_017073408.1|DEUG	LOC118511350|XP_035910202.1|ASTE
OG0002295	LOC108106973|XP_017069778.1|DEUG	LOC118505030|XP_035896139.1|ASTE
OG0002297	LOC108105609|XP_017067775.1|DEUG	LOC118507004|XP_035900791.1|ASTE
OG0002298	LOC108107345|XP_017070332.1|DEUG	LOC118511201|XP_035909873.1|ASTE
OG0002299	LOC108106651|XP_017069356.1|DEUG	LOC118511199|XP_035909871.1|ASTE
OG0002300	LOC108103376|XP_017064311.1|DEUG	LOC118511035|XP_035909515.1|ASTE
OG0002301	LOC108114863|XP_017081504.1|DEUG	LOC118513933|XP_035916197.1|ASTE
OG0002302	LOC108114826|XP_017081447.1|DEUG	LOC118511746|XP_035911098.1|ASTE
OG0002303	LOC108103290|XP_017064192.1|DEUG	LOC118507661|XP_035902331.1|ASTE
OG0002304	LOC108105844|XP_017068094.1|DEUG	LOC118512695|XP_035913396.1|ASTE
OG0002305	LOC108114625|XP_017081181.1|DEUG	LOC118513310|XP_035914786.1|ASTE
OG0002306	LOC108106176|XP_017068586.1|DEUG	LOC118511191|XP_035909854.1|ASTE, LOC118517336|XP_035919213.1|ASTE
OG0002307	LOC108111738|XP_017076784.1|DEUG	LOC118511257|XP_035910014.1|ASTE
OG0002308	LOC108110916|XP_017075675.1|DEUG	LOC118513924|XP_035916185.1|ASTE
OG0002309	LOC108102589|XP_017063180.1|DEUG	LOC118503597|XP_035892944.1|ASTE, LOC118513980|XP_035916300.1|ASTE
OG0002310	LOC108115511|XP_017082495.1|DEUG	LOC118513511|XP_035915258.1|ASTE
OG0002311	LOC108114807|XP_017081409.1|DEUG	LOC118511175|XP_035909812.1|ASTE
OG0002312	LOC108111143|XP_017076000.1|DEUG	LOC118511173|XP_035909809.1|ASTE
OG0002313	LOC108106659|XP_017069369.1|DEUG	LOC118511612|XP_035910795.1|ASTE
OG0002314	LOC108104454|XP_017066007.1|DEUG	LOC118513875|XP_035916074.1|ASTE, LOC118517084|XP_035918830.1|ASTE
OG0002315	LOC108106805|XP_017069539.1|DEUG	LOC118514019|XP_035916384.1|ASTE, LOC118511103|XP_035909716.1|ASTE
OG0002316	LOC108111837|XP_017076934.1|DEUG	LOC118511127|XP_035909753.1|ASTE
OG0002317	LOC108104281|XP_017065732.1|DEUG	LOC118511641|XP_035910855.1|ASTE
OG0002318	LOC108105690|XP_017067889.1|DEUG	LOC118514012|XP_035916374.1|ASTE
OG0002319	LOC108111195|XP_017076079.1|DEUG	LOC118514001|XP_035916330.1|ASTE
OG0002320	LOC108109078|XP_017072929.1|DEUG	LOC118513420|XP_035915025.1|ASTE
OG0002321	LOC108106785|XP_017069518.1|DEUG	LOC118513236|XP_035914681.1|ASTE
OG0002322	LOC108103415|XP_017064362.1|DEUG	LOC118510602|XP_035908502.1|ASTE
OG0002323	LOC108115532|XP_017082524.1|DEUG	LOC118513423|XP_035915029.1|ASTE
OG0002324	LOC108108795|XP_017072460.1|DEUG	LOC118509076|XP_035905101.1|ASTE
OG0002325	LOC108114148|XP_017080422.1|DEUG	LOC118509087|XP_035905112.1|ASTE
OG0002326	LOC108114152|XP_017080431.1|DEUG	LOC118509088|XP_035905115.1|ASTE
OG0002327	LOC108116370|XP_017083696.1|DEUG, LOC108116372|XP_017083701.1|DEUG	LOC118509089|XP_035905116.1|ASTE
OG0002328	LOC108114876|XP_017081521.1|DEUG	LOC118511755|XP_035911113.1|ASTE
OG0002329	LOC108102680|XP_017063310.1|DEUG	LOC118511606|XP_035910782.1|ASTE
OG0002330	LOC108102682|XP_017063312.1|DEUG	LOC118511682|XP_035910949.1|ASTE
OG0002331	LOC108106048|XP_017068391.1|DEUG	LOC118511660|XP_035910901.1|ASTE
OG0002332	LOC108108173|XP_017071604.1|DEUG	LOC118509846|XP_035906937.1|ASTE
OG0002333	LOC108107334|XP_017070309.1|DEUG	LOC118508802|XP_035904414.1|ASTE
OG0002334	LOC108102504|XP_017063017.1|DEUG	LOC118513671|XP_035915667.1|ASTE
OG0002335	LOC108104594|XP_017066246.1|DEUG	LOC118511602|XP_035910777.1|ASTE
OG0002336	LOC108108515|XP_017072073.1|DEUG	LOC118509052|XP_035905054.1|ASTE
OG0002337	LOC108104793|XP_017066546.1|DEUG	LOC118514506|XP_035917335.1|ASTE
OG0002338	LOC108107142|XP_017070035.1|DEUG	LOC118512501|XP_035912903.1|ASTE
OG0002339	LOC108110999|XP_017075797.1|DEUG	LOC118512524|XP_035912959.1|ASTE
OG0002340	LOC108104088|XP_017065472.1|DEUG	LOC118512521|XP_035912955.1|ASTE, LOC118512520|XP_035912954.1|ASTE
OG0002341	LOC108104870|XP_017066685.1|DEUG	LOC118512475|XP_035912856.1|ASTE
OG0002342	LOC108102567|XP_017063135.1|DEUG	LOC118512469|XP_035912844.1|ASTE
OG0002343	LOC108102598|XP_017063191.1|DEUG	LOC118512556|XP_035913035.1|ASTE
OG0002344	LOC108104240|XP_017065679.1|DEUG, LOC108103094|XP_017063940.1|DEUG	LOC118512570|XP_035913078.1|ASTE
OG0002345	LOC108112623|XP_017078214.1|DEUG	LOC118513768|XP_035915837.1|ASTE
OG0002346	LOC108106979|XP_017069800.1|DEUG	LOC118511769|XP_035911150.1|ASTE
OG0002347	LOC108106718|XP_017069440.1|DEUG	LOC118514162|XP_035916719.1|ASTE
OG0002348	LOC108106166|XP_017068566.1|DEUG	LOC118513743|XP_035915793.1|ASTE
OG0002349	LOC108112628|XP_017078223.1|DEUG	LOC118513770|XP_035915840.1|ASTE
OG0002350	LOC108112621|XP_017078212.1|DEUG	LOC118510057|XP_035907339.1|ASTE
OG0002351	LOC108106782|XP_017069513.1|DEUG	LOC118513362|XP_035914887.1|ASTE
OG0002352	LOC108112965|XP_017078855.1|DEUG	LOC118512531|XP_035912976.1|ASTE
OG0002353	LOC108112067|XP_017077302.1|DEUG	LOC118510590|XP_035908484.1|ASTE
OG0002354	LOC108110981|XP_017075777.1|DEUG	LOC118511776|XP_035911164.1|ASTE
OG0002355	LOC108118125|XP_017086161.1|DEUG	LOC118514537|XP_035917413.1|ASTE
OG0002356	LOC108118473|XP_017086686.1|DEUG	LOC118508982|XP_035904863.1|ASTE
OG0002357	LOC108105239|XP_017067199.1|DEUG	LOC118508981|XP_035904862.1|ASTE
OG0002358	LOC108110921|XP_017075685.1|DEUG, LOC108117816|XP_017085855.1|DEUG	LOC118513283|XP_035914743.1|ASTE
OG0002359	LOC108118298|XP_017086399.1|DEUG	LOC118509223|XP_035905416.1|ASTE
OG0002360	LOC108115466|XP_017082409.1|DEUG	LOC118512597|XP_035913143.1|ASTE
OG0002361	LOC108107565|XP_017070612.1|DEUG	LOC118513702|XP_035915719.1|ASTE
OG0002362	LOC108118328|XP_017086436.1|DEUG	LOC118510846|XP_035909066.1|ASTE
OG0002363	LOC108107148|XP_017070040.1|DEUG	LOC118509832|XP_035906916.1|ASTE
OG0002364	LOC108106960|XP_017069730.1|DEUG	LOC118509831|XP_035906898.1|ASTE
OG0002365	LOC108107085|XP_017069951.1|DEUG	LOC118509113|XP_035905177.1|ASTE
OG0002366	LOC108102597|XP_017063189.1|DEUG	LOC118510543|XP_035908400.1|ASTE
OG0002367	LOC108110789|XP_017075498.1|DEUG	LOC118513811|XP_035915932.1|ASTE
OG0002368	LOC108113463|XP_017079532.1|DEUG	LOC118513828|XP_035915960.1|ASTE, LOC118517107|XP_035918864.1|ASTE
OG0002369	LOC108114949|XP_017081624.1|DEUG	LOC118514288|XP_035916930.1|ASTE
OG0002370	LOC108105743|XP_017067948.1|DEUG	LOC118508813|XP_035904447.1|ASTE
OG0002371	LOC108105832|XP_017068068.1|DEUG	LOC118508816|XP_035904450.1|ASTE
OG0002372	LOC108110766|XP_017075470.1|DEUG	LOC118514070|XP_035916489.1|ASTE
OG0002373	LOC108118448|XP_017086645.1|DEUG	LOC118510670|XP_035908710.1|ASTE
OG0002374	LOC108113816|XP_017080014.1|DEUG	LOC118510661|XP_035908685.1|ASTE
OG0002375	LOC108115146|XP_017081934.1|DEUG	LOC118503833|XP_035893433.1|ASTE
OG0002376	LOC108106976|XP_017069784.1|DEUG	LOC118506586|XP_035899833.1|ASTE
OG0002377	LOC108115305|XP_017082192.1|DEUG	LOC118506623|XP_035899885.1|ASTE
OG0002378	LOC108114501|XP_017081010.1|DEUG	LOC118507629|XP_035902247.1|ASTE
OG0002379	LOC108118068|XP_017086137.1|DEUG	LOC118506607|XP_035899867.1|ASTE
OG0002380	LOC108103249|XP_017064140.1|DEUG	LOC118505669|XP_035897688.1|ASTE
OG0002381	LOC108106791|XP_017069525.1|DEUG	LOC118505685|XP_035897713.1|ASTE
OG0002382	LOC108118080|XP_017086113.1|DEUG	LOC118505709|XP_035897769.1|ASTE, LOC118505699|XP_035897739.1|ASTE
OG0002383	LOC108113928|XP_017080127.1|DEUG	LOC118505703|XP_035897746.1|ASTE, LOC118505718|XP_035897788.1|ASTE
OG0002384	LOC108103633|XP_017064667.1|DEUG	LOC118508352|XP_035903943.1|ASTE
OG0002386	LOC108108662|XP_017072259.1|DEUG, LOC108117101|XP_017084801.1|DEUG	LOC118506742|XP_035900194.1|ASTE
OG0002387	LOC108108833|XP_017072525.1|DEUG, LOC108115582|XP_017082582.1|DEUG	LOC118507126|XP_035901026.1|ASTE
OG0002388	LOC108105604|XP_017067768.1|DEUG	LOC118504693|XP_035895406.1|ASTE
OG0002389	LOC108108842|XP_017072540.1|DEUG	LOC118506609|XP_035899869.1|ASTE
OG0002390	LOC108111097|XP_017075926.1|DEUG	LOC118517575|XP_035919722.1|ASTE
OG0002391	LOC108112971|XP_017078862.1|DEUG	LOC118506518|XP_035899639.1|ASTE
OG0002392	LOC108108157|XP_017071579.1|DEUG	LOC118505514|XP_035897307.1|ASTE
OG0002393	LOC108114612|XP_017081162.1|DEUG	LOC118505499|XP_035897252.1|ASTE
OG0002394	LOC108113651|XP_017079811.1|DEUG, LOC108116536|XP_017083963.1|DEUG	LOC118505483|XP_035897204.1|ASTE
OG0002395	LOC108116344|XP_017083647.1|DEUG	LOC118516845|XP_035918590.1|ASTE, LOC118503688|XP_035893123.1|ASTE, LOC118515252|XP_035917831.1|ASTE
OG0002396	LOC108112825|XP_017078617.1|DEUG	LOC118502575|XP_035890793.1|ASTE
OG0002397	LOC108107013|XP_017069847.1|DEUG, LOC108105575|XP_017067704.1|DEUG	LOC118502605|XP_035890862.1|ASTE
OG0002398	LOC108103161|XP_017064032.1|DEUG	LOC118507045|XP_035900892.1|ASTE
OG0002399	LOC108110368|XP_017074910.1|DEUG	LOC118507048|XP_035900899.1|ASTE
OG0002400	LOC108113363|XP_017079418.1|DEUG	LOC118507056|XP_035900911.1|ASTE
OG0002401	LOC108108760|XP_017072417.1|DEUG	LOC118507678|XP_035902362.1|ASTE
OG0002402	LOC108116458|XP_017083876.1|DEUG, LOC108116457|XP_017083875.1|DEUG	LOC118506828|XP_035900426.1|ASTE
OG0002403	LOC108116518|XP_017083945.1|DEUG	LOC118506829|XP_035900432.1|ASTE
OG0002404	LOC108114754|XP_017081353.1|DEUG, LOC108112065|XP_017077299.1|DEUG	LOC118504591|XP_035895141.1|ASTE
OG0002405	LOC108115363|XP_017082279.1|DEUG	LOC118508261|XP_035903780.1|ASTE
OG0002406	LOC108114557|XP_017081092.1|DEUG	LOC118508271|XP_035903805.1|ASTE
OG0002408	LOC108115339|XP_017082243.1|DEUG	LOC118502778|XP_035891268.1|ASTE, LOC118502777|XP_035891266.1|ASTE
OG0002410	LOC108117168|XP_017084935.1|DEUG	LOC118502983|XP_035891659.1|ASTE
OG0002411	LOC108108339|XP_017071860.1|DEUG	LOC118517197|XP_035919040.1|ASTE, LOC118505133|XP_035896365.1|ASTE
OG0002412	LOC108112959|XP_017078851.1|DEUG	LOC118517195|XP_035919039.1|ASTE, LOC118505128|XP_035896338.1|ASTE
OG0002413	LOC108109758|XP_017073920.1|DEUG	LOC118506549|XP_035899738.1|ASTE
OG0002414	LOC108102841|XP_017063523.1|DEUG	LOC118507621|XP_035902236.1|ASTE
OG0002415	LOC108111776|XP_017076832.1|DEUG	LOC118507579|XP_035902126.1|ASTE
OG0002416	LOC108102323|XP_017062597.1|DEUG	LOC118503623|XP_035893003.1|ASTE
OG0002417	LOC108104187|XP_017065616.1|DEUG	LOC118506694|XP_035900068.1|ASTE
OG0002418	LOC108112806|XP_017078628.1|DEUG	LOC118506702|XP_035900087.1|ASTE
OG0002419	LOC108103545|XP_017064562.1|DEUG	LOC118506728|XP_035900158.1|ASTE, LOC118512421|XP_035912717.1|ASTE
OG0002420	LOC108108189|XP_017071626.1|DEUG	LOC118506395|XP_035899337.1|ASTE
OG0002421	LOC108116549|XP_017083976.1|DEUG	LOC118504513|XP_035894938.1|ASTE
OG0002422	LOC108115137|XP_017081920.1|DEUG	LOC118502812|XP_035891345.1|ASTE
OG0002423	LOC108114554|XP_017081090.1|DEUG	LOC118506401|XP_035899355.1|ASTE
OG0002424	LOC108108936|XP_017072682.1|DEUG	LOC118504258|XP_035894380.1|ASTE
OG0002425	LOC108110071|XP_017074442.1|DEUG	LOC118508523|XP_035904275.1|ASTE
OG0002426	LOC108104672|XP_017066353.1|DEUG	LOC118504316|XP_035894517.1|ASTE
OG0002427	LOC108108752|XP_017072404.1|DEUG	LOC118504325|XP_035894546.1|ASTE
OG0002428	LOC108105061|XP_017066969.1|DEUG	LOC118504979|XP_035896015.1|ASTE
OG0002429	LOC108107868|XP_017071135.1|DEUG	LOC118507080|XP_035900956.1|ASTE
OG0002430	LOC108113196|XP_017079212.1|DEUG	LOC118504270|XP_035894395.1|ASTE
OG0002431	LOC108109236|XP_017073198.1|DEUG	LOC118505814|XP_035898052.1|ASTE
OG0002432	LOC108110317|XP_017074819.1|DEUG	LOC118510663|XP_035908693.1|ASTE
OG0002433	LOC108117108|XP_017084818.1|DEUG	LOC118507973|XP_035903198.1|ASTE
OG0002434	LOC108110007|XP_017074336.1|DEUG	LOC118507976|XP_035903216.1|ASTE
OG0002436	LOC108106634|XP_017069328.1|DEUG	LOC118504101|XP_035894078.1|ASTE
OG0002437	LOC108106442|XP_017068964.1|DEUG	LOC118507141|XP_035901068.1|ASTE, LOC118508118|XP_035903517.1|ASTE
OG0002438	LOC108104421|XP_017065963.1|DEUG	LOC118508224|XP_035903708.1|ASTE
OG0002439	LOC108113430|XP_017079481.1|DEUG	LOC118504329|XP_035894553.1|ASTE
OG0002440	LOC108108589|XP_017072172.1|DEUG	LOC118505971|XP_035898413.1|ASTE
OG0002441	LOC108104792|XP_017066544.1|DEUG	LOC118505273|XP_035896728.1|ASTE
OG0002442	LOC108112781|XP_017078547.1|DEUG	LOC118503525|XP_035892803.1|ASTE
OG0002443	LOC108112776|XP_017078534.1|DEUG	LOC118505846|XP_035898110.1|ASTE
OG0002444	LOC108111954|XP_017077134.1|DEUG	LOC118504799|XP_035895670.1|ASTE
OG0002445	LOC108106714|XP_017069436.1|DEUG	LOC118507410|XP_035901764.1|ASTE
OG0002446	LOC108106675|XP_017069394.1|DEUG	LOC118504117|XP_035894101.1|ASTE
OG0002447	LOC108108027|XP_017071381.1|DEUG	LOC118503398|XP_035892493.1|ASTE
OG0002448	LOC108113275|XP_017079313.1|DEUG	LOC118507992|XP_035903254.1|ASTE
OG0002449	LOC108112599|XP_017078142.1|DEUG	LOC118507984|XP_035903243.1|ASTE
OG0002450	LOC108116360|XP_017083673.1|DEUG	LOC118502520|XP_035890674.1|ASTE
OG0002451	LOC108104495|XP_017066098.1|DEUG	LOC118503703|XP_035893159.1|ASTE
OG0002452	LOC108113352|XP_017079404.1|DEUG	LOC118503937|XP_035893700.1|ASTE
OG0002453	LOC108112673|XP_017078305.1|DEUG	LOC118503924|XP_035893647.1|ASTE
OG0002454	LOC108104714|XP_017066422.1|DEUG	LOC118506069|XP_035898623.1|ASTE, LOC118516511|XP_035918335.1|ASTE
OG0002455	LOC108104712|XP_017066421.1|DEUG	LOC118516513|XP_035918337.1|ASTE, LOC118506067|XP_035898618.1|ASTE, LOC118516330|XP_035918024.1|ASTE
OG0002456	LOC108113076|XP_017079008.1|DEUG	LOC118506036|XP_035898560.1|ASTE
OG0002457	LOC108112817|XP_017078604.1|DEUG	LOC118507966|XP_035903188.1|ASTE
OG0002458	LOC108113406|XP_017079450.1|DEUG	LOC118512529|XP_035912969.1|ASTE
OG0002459	LOC108114897|XP_017081555.1|DEUG	LOC118507931|XP_035903127.1|ASTE
OG0002460	LOC108107468|XP_017070504.1|DEUG	LOC118505945|XP_035898362.1|ASTE
OG0002461	LOC108112472|XP_017077818.1|DEUG	LOC118507370|XP_035901705.1|ASTE
OG0002462	LOC108111959|XP_017077142.1|DEUG	LOC118504057|XP_035893982.1|ASTE
OG0002463	LOC108107261|XP_017070180.1|DEUG	LOC118510087|XP_035907391.1|ASTE
OG0002464	LOC108113051|XP_017078970.1|DEUG	LOC118508142|XP_035903561.1|ASTE
OG0002465	LOC108110364|XP_017074904.1|DEUG	LOC118508141|XP_035903560.1|ASTE
OG0002466	LOC108102312|XP_017062564.1|DEUG	LOC118516529|XP_035918358.1|ASTE, LOC118506077|XP_035898639.1|ASTE
OG0002467	LOC108107597|XP_017070649.1|DEUG	LOC118504083|XP_035894045.1|ASTE
OG0002468	LOC108113843|XP_017080042.1|DEUG	LOC118504128|XP_035894108.1|ASTE
OG0002469	LOC108115899|XP_017083024.1|DEUG, LOC108117358|XP_017085267.1|DEUG	LOC118504140|XP_035894127.1|ASTE
OG0002470	LOC108104562|XP_017066194.1|DEUG	LOC118504152|XP_035894174.1|ASTE
OG0002471	LOC108104502|XP_017066108.1|DEUG	LOC118507191|XP_035901157.1|ASTE
OG0002472	LOC108106371|XP_017068845.1|DEUG	LOC118507421|XP_035901780.1|ASTE
OG0002473	LOC108106768|XP_017069496.1|DEUG	LOC118507427|XP_035901790.1|ASTE, LOC118517352|XP_035919245.1|ASTE
OG0002474	LOC108118205|XP_017086255.1|DEUG	LOC118505863|XP_035898141.1|ASTE
OG0002475	LOC108111355|XP_017076277.1|DEUG	LOC118506104|XP_035898683.1|ASTE
OG0002476	LOC108112894|XP_017078739.1|DEUG	LOC118507335|XP_035901617.1|ASTE
OG0002477	LOC108109291|XP_017073274.1|DEUG	LOC118507391|XP_035901738.1|ASTE, LOC118517306|XP_035919184.1|ASTE
OG0002478	LOC108112001|XP_017077226.1|DEUG	LOC118507747|XP_035902643.1|ASTE, LOC118517292|XP_035919170.1|ASTE
OG0002479	LOC108106455|XP_017069010.1|DEUG	LOC118504181|XP_035894233.1|ASTE
OG0002480	LOC108105315|XP_017067296.1|DEUG	LOC118503899|XP_035893575.1|ASTE
OG0002481	LOC108104393|XP_017065922.1|DEUG	LOC118507205|XP_035901181.1|ASTE
OG0002482	LOC108106325|XP_017068785.1|DEUG	LOC118506103|XP_035898682.1|ASTE
OG0002483	LOC108107440|XP_017070469.1|DEUG	LOC118503393|XP_035892488.1|ASTE
OG0002484	LOC108112681|XP_017078361.1|DEUG	LOC118503400|XP_035892496.1|ASTE
OG0002485	LOC108104510|XP_017066116.1|DEUG	LOC118504058|XP_035893984.1|ASTE
OG0002486	LOC108114336|XP_017080751.1|DEUG	LOC118508093|XP_035903465.1|ASTE
OG0002487	LOC108118104|XP_017086144.1|DEUG	LOC118516470|XP_035918267.1|ASTE, LOC118505890|XP_035898231.1|ASTE
OG0002488	LOC108113240|XP_017079273.1|DEUG	LOC118503354|XP_035892434.1|ASTE
OG0002489	LOC108108552|XP_017072122.1|DEUG	LOC118503094|XP_035891881.1|ASTE
