Orthogroup	DEUG.longest_only	HILL.longest_only
OG0001920	LOC108104660|XP_017066335.1|DEUG	LOC119650198|XP_037908693.1|HILL
OG0001921	LOC108114907|XP_017081572.1|DEUG	LOC119650073|XP_037908499.1|HILL
OG0001922	LOC108113061|XP_017078986.1|DEUG	LOC119650082|XP_037908513.1|HILL
OG0001923	LOC108107865|XP_017071123.1|DEUG	LOC119650384|XP_037909052.1|HILL
OG0001924	LOC108118164|XP_017086214.1|DEUG	LOC119647996|XP_037905309.1|HILL
OG0001925	LOC108108007|XP_017071351.1|DEUG	LOC119649855|XP_037908139.1|HILL, LOC119650048|XP_037908461.1|HILL
OG0001926	LOC108109873|XP_017074155.1|DEUG	LOC119649480|XP_037907577.1|HILL
OG0001927	LOC108106665|XP_017069382.1|DEUG	LOC119646736|XP_037903241.1|HILL
OG0001928	LOC108114354|XP_017080783.1|DEUG	LOC119647619|XP_037904589.1|HILL
OG0001929	LOC108113975|XP_017080182.1|DEUG	LOC119656183|XP_037918461.1|HILL, LOC119647768|XP_037904830.1|HILL
OG0001930	LOC108112707|XP_017078417.1|DEUG	LOC119651261|XP_037910688.1|HILL
OG0001931	LOC108113909|XP_017080105.1|DEUG	LOC119648402|XP_037906072.1|HILL
OG0001932	LOC108114341|XP_017080761.1|DEUG	LOC119648398|XP_037906067.1|HILL
OG0001933	LOC108112682|XP_017078363.1|DEUG	LOC119648765|XP_037906522.1|HILL
OG0001934	LOC108114703|XP_017081290.1|DEUG	LOC119649388|XP_037907437.1|HILL
OG0001935	LOC108114438|XP_017080918.1|DEUG	LOC119648672|XP_037906388.1|HILL, LOC119649360|XP_037907401.1|HILL
OG0001937	LOC108106593|XP_017069269.1|DEUG	LOC119661170|XP_037926313.1|HILL
OG0001938	LOC108106426|XP_017068944.1|DEUG	LOC119661149|XP_037926289.1|HILL
OG0001939	LOC108108923|XP_017072664.1|DEUG	LOC119659184|XP_037923072.1|HILL
OG0001940	LOC108112508|XP_017077884.1|DEUG	LOC119647200|XP_037903942.1|HILL
OG0001941	LOC108104687|XP_017066382.1|DEUG	LOC119648112|XP_037905558.1|HILL
OG0001943	LOC108113950|XP_017080151.1|DEUG	LOC119649455|XP_037907537.1|HILL, LOC119649625|XP_037907788.1|HILL, LOC119649112|XP_037907039.1|HILL
OG0001944	LOC108104699|XP_017066401.1|DEUG	LOC119649745|XP_037907962.1|HILL
OG0001945	LOC108112804|XP_017078582.1|DEUG	LOC119661393|XP_037926646.1|HILL
OG0001946	LOC108113033|XP_017078952.1|DEUG	LOC119653908|XP_037914985.1|HILL
OG0001947	LOC108112314|XP_017077630.1|DEUG	LOC119661314|XP_037926534.1|HILL
OG0001948	LOC108109950|XP_017074252.1|DEUG	LOC119648154|XP_037905653.1|HILL
OG0001949	LOC108114169|XP_017080452.1|DEUG	LOC119649181|XP_037907136.1|HILL
OG0001950	LOC108115291|XP_017082161.1|DEUG	LOC119661016|XP_037926092.1|HILL
OG0001951	LOC108112482|XP_017077833.1|DEUG	LOC119647100|XP_037903799.1|HILL
OG0001952	LOC108111700|XP_017076738.1|DEUG, LOC108109718|XP_017073839.1|DEUG	LOC119659888|XP_037924136.1|HILL
OG0001953	LOC108113258|XP_017079297.1|DEUG	LOC119661457|XP_037926741.1|HILL
OG0001954	LOC108104802|XP_017066572.1|DEUG	LOC119647112|XP_037903819.1|HILL
OG0001955	LOC108112170|XP_017077436.1|DEUG	LOC119647118|XP_037903833.1|HILL
OG0001956	LOC108109799|XP_017073997.1|DEUG	LOC119647496|XP_037904382.1|HILL
OG0001957	LOC108109076|XP_017072924.1|DEUG	LOC119659267|XP_037923194.1|HILL
OG0001958	LOC108112877|XP_017078703.1|DEUG	LOC119661584|XP_037926911.1|HILL
OG0001959	LOC108114023|XP_017080259.1|DEUG	LOC119648719|XP_037906455.1|HILL
OG0001960	LOC108102790|XP_017063447.1|DEUG	LOC119647828|XP_037904996.1|HILL
OG0001961	LOC108107433|XP_017070450.1|DEUG	LOC119661384|XP_037926630.1|HILL
OG0001962	LOC108113284|XP_017079323.1|DEUG	LOC119653650|XP_037914398.1|HILL
OG0001963	LOC108114604|XP_017081154.1|DEUG	LOC119648319|XP_037905928.1|HILL
OG0001964	LOC108102748|XP_017063388.1|DEUG	LOC119648632|XP_037906330.1|HILL, LOC119648643|XP_037906341.1|HILL
OG0001965	LOC108114146|XP_017080419.1|DEUG	LOC119649847|XP_037908129.1|HILL
OG0001966	LOC108107557|XP_017070637.1|DEUG	LOC119646800|XP_037903318.1|HILL
OG0001967	LOC108109271|XP_017073249.1|DEUG	LOC119659887|XP_037924171.1|HILL
OG0001968	LOC108114737|XP_017081338.1|DEUG	LOC119649424|XP_037907499.1|HILL
OG0001969	LOC108112766|XP_017078515.1|DEUG	LOC119661195|XP_037926345.1|HILL
OG0001970	LOC108113135|XP_017079131.1|DEUG	LOC119648481|XP_037906174.1|HILL
OG0001971	LOC108109085|XP_017072940.1|DEUG	LOC119655219|XP_037916926.1|HILL
OG0001972	LOC108113481|XP_017079553.1|DEUG	LOC119659168|XP_037923047.1|HILL
OG0001973	LOC108109230|XP_017073192.1|DEUG	LOC119646351|XP_037902713.1|HILL
OG0001974	LOC108104493|XP_017066096.1|DEUG	LOC119646579|XP_037902999.1|HILL
OG0001975	LOC108103595|XP_017064612.1|DEUG	LOC119648358|XP_037905999.1|HILL
OG0001976	LOC108106583|XP_017069253.1|DEUG	LOC119654729|XP_037916185.1|HILL
OG0001978	LOC108105710|XP_017067913.1|DEUG	LOC119646769|XP_037903279.1|HILL
OG0001979	LOC108107008|XP_017069841.1|DEUG	LOC119661563|XP_037926885.1|HILL
OG0001980	LOC108104184|XP_017065610.1|DEUG	LOC119649846|XP_037908130.1|HILL
OG0001981	LOC108102631|XP_017063234.1|DEUG	LOC119653257|XP_037913793.1|HILL
OG0001982	LOC108109345|XP_017073292.1|DEUG	LOC119651562|XP_037911123.1|HILL
OG0001984	LOC108113450|XP_017079513.1|DEUG	LOC119651214|XP_037910593.1|HILL
OG0001985	LOC108110736|XP_017075429.1|DEUG	LOC119650304|XP_037908878.1|HILL
OG0001986	LOC108106909|XP_017069649.1|DEUG	LOC119647314|XP_037904168.1|HILL
OG0001987	LOC108118519|XP_017086753.1|DEUG	LOC119660727|XP_037925308.1|HILL
OG0001988	LOC108112529|XP_017077944.1|DEUG	LOC119661433|XP_037926706.1|HILL
OG0001989	LOC108110431|XP_017074986.1|DEUG	LOC119651051|XP_037910305.1|HILL, LOC119652146|XP_037912018.1|HILL
OG0001990	LOC108111139|XP_017075994.1|DEUG	LOC119653176|XP_037913650.1|HILL, LOC119652300|XP_037912228.1|HILL
OG0001991	LOC108118109|XP_017086147.1|DEUG	LOC119646940|XP_037903558.1|HILL
OG0001992	LOC108104115|XP_017065504.1|DEUG	LOC119647247|XP_037904053.1|HILL
OG0001993	LOC108106990|XP_017069817.1|DEUG	LOC119651039|XP_037910285.1|HILL
OG0001994	LOC108117171|XP_017084941.1|DEUG	LOC119661576|XP_037926903.1|HILL
OG0001995	LOC108106996|XP_017069824.1|DEUG	LOC119652957|XP_037913281.1|HILL
OG0001996	LOC108102650|XP_017063274.1|DEUG	LOC119646634|XP_037903074.1|HILL
OG0001997	LOC108107292|XP_017070238.1|DEUG	LOC119661401|XP_037926657.1|HILL
OG0001998	LOC108107288|XP_017070231.1|DEUG	LOC119646269|XP_037902604.1|HILL
OG0001999	LOC108104799|XP_017066559.1|DEUG	LOC119654824|XP_037916320.1|HILL
OG0002000	LOC108106196|XP_017068612.1|DEUG	LOC119657620|XP_037920554.1|HILL
OG0002001	LOC108105675|XP_017067866.1|DEUG	LOC119651608|XP_037911192.1|HILL
OG0002002	LOC108106667|XP_017069386.1|DEUG	LOC119646462|XP_037902838.1|HILL
OG0002003	LOC108110700|XP_017075330.1|DEUG	LOC119653100|XP_037913542.1|HILL, LOC119651921|XP_037911677.1|HILL
OG0002004	LOC108103079|XP_017063918.1|DEUG	LOC119652691|XP_037912896.1|HILL
OG0002005	LOC108102463|XP_017062999.1|DEUG	LOC119652676|XP_037912873.1|HILL
OG0002006	LOC108106969|XP_017069760.1|DEUG	LOC119652692|XP_037912901.1|HILL
OG0002007	LOC108106168|XP_017068573.1|DEUG	LOC119647145|XP_037903867.1|HILL
OG0002008	LOC108102371|XP_017062779.1|DEUG	LOC119660773|XP_037925469.1|HILL
OG0002009	LOC108112245|XP_017077556.1|DEUG	LOC119661080|XP_037926200.1|HILL
OG0002010	LOC108110978|XP_017075775.1|DEUG	LOC119652866|XP_037913151.1|HILL
OG0002011	LOC108114881|XP_017081528.1|DEUG	LOC119646725|XP_037903232.1|HILL
OG0002012	LOC108102548|XP_017063098.1|DEUG	LOC119656680|XP_037919095.1|HILL
OG0002013	LOC108106843|XP_017069568.1|DEUG	LOC119650589|XP_037909361.1|HILL
OG0002014	LOC108109217|XP_017073170.1|DEUG	LOC119650239|XP_037908753.1|HILL, LOC119650220|XP_037908725.1|HILL
OG0002015	LOC108106864|XP_017069597.1|DEUG	LOC119646430|XP_037902808.1|HILL
OG0002016	LOC108104518|XP_017066136.1|DEUG	LOC119646971|XP_037903601.1|HILL
OG0002017	LOC108111047|XP_017075865.1|DEUG	LOC119651134|XP_037910456.1|HILL
OG0002018	LOC108106989|XP_017069815.1|DEUG	LOC119651428|XP_037910953.1|HILL
OG0002019	LOC108104122|XP_017065513.1|DEUG	LOC119646570|XP_037902989.1|HILL
OG0002020	LOC108106935|XP_017069689.1|DEUG	LOC119652879|XP_037913171.1|HILL
OG0002021	LOC108109121|XP_017073005.1|DEUG	LOC119659470|XP_037923533.1|HILL
OG0002022	LOC108115506|XP_017082487.1|DEUG	LOC119646797|XP_037903314.1|HILL, LOC119650151|XP_037908617.1|HILL
OG0002023	LOC108116962|XP_017084607.1|DEUG	LOC119656328|XP_037918719.1|HILL
OG0002024	LOC108111137|XP_017075992.1|DEUG	LOC119658398|XP_037921718.1|HILL
OG0002025	LOC108112173|XP_017077465.1|DEUG	LOC119661327|XP_037926555.1|HILL
OG0002026	LOC108108713|XP_017072335.1|DEUG	LOC119647988|XP_037905301.1|HILL
OG0002027	LOC108112504|XP_017077872.1|DEUG	LOC119655920|XP_037918014.1|HILL
OG0002028	LOC108107326|XP_017070300.1|DEUG	LOC119654882|XP_037916419.1|HILL
OG0002029	LOC108107635|XP_017070709.1|DEUG	LOC119659931|XP_037924197.1|HILL
OG0002030	LOC108107206|XP_017070111.1|DEUG	LOC119659276|XP_037923212.1|HILL
OG0002031	LOC108106412|XP_017068921.1|DEUG	LOC119655014|XP_037916612.1|HILL
OG0002032	LOC108110194|XP_017074644.1|DEUG	LOC119653873|XP_037914909.1|HILL
OG0002033	LOC108117609|XP_017085622.1|DEUG	LOC119656155|XP_037918417.1|HILL
OG0002034	LOC108118538|XP_017086777.1|DEUG	LOC119654370|XP_037915646.1|HILL
OG0002035	LOC108109475|XP_017073489.1|DEUG	LOC119660316|XP_037924719.1|HILL
OG0002036	LOC108108361|XP_017071892.1|DEUG	LOC119660612|XP_037925233.1|HILL
OG0002037	LOC108108042|XP_017071405.1|DEUG	LOC119649129|XP_037907062.1|HILL
OG0002038	LOC108105918|XP_017068191.1|DEUG, LOC108117307|XP_017085156.1|DEUG	LOC119647281|XP_037904102.1|HILL
OG0002039	LOC108117443|XP_017085352.1|DEUG	LOC119658624|XP_037922050.1|HILL
OG0002040	LOC108104322|XP_017065794.1|DEUG	LOC119660134|XP_037924461.1|HILL
OG0002041	LOC108104542|XP_017066171.1|DEUG	LOC119653539|XP_037914144.1|HILL
OG0002042	LOC108116210|XP_017083484.1|DEUG	LOC119659806|XP_037924004.1|HILL
OG0002043	LOC108115365|XP_017082281.1|DEUG	LOC119658578|XP_037921956.1|HILL
OG0002044	LOC108115616|XP_017082638.1|DEUG	LOC119658718|XP_037922266.1|HILL
OG0002045	LOC108109587|XP_017073653.1|DEUG	LOC119659915|XP_037924168.1|HILL
OG0002046	LOC108117721|XP_017085769.1|DEUG	LOC119659215|XP_037923116.1|HILL
OG0002047	LOC108103751|XP_017064848.1|DEUG	LOC119655731|XP_037917709.1|HILL
OG0002048	LOC108111726|XP_017076768.1|DEUG	LOC119659298|XP_037923237.1|HILL
OG0002049	LOC108116362|XP_017083675.1|DEUG	LOC119658688|XP_037922201.1|HILL
OG0002050	LOC108116378|XP_017083708.1|DEUG	LOC119658589|XP_037921977.1|HILL
OG0002051	LOC108106682|XP_017069402.1|DEUG	LOC119655921|XP_037918017.1|HILL, LOC119649941|XP_037908287.1|HILL
OG0002052	LOC108114669|XP_017081237.1|DEUG	LOC119659533|XP_037923602.1|HILL
OG0002053	LOC108109541|XP_017073599.1|DEUG	LOC119659501|XP_037923555.1|HILL
OG0002054	LOC108115324|XP_017082221.1|DEUG	LOC119660002|XP_037924308.1|HILL
OG0002055	LOC108111792|XP_017076870.1|DEUG	LOC119659025|XP_037922848.1|HILL
OG0002056	LOC108107821|XP_017071057.1|DEUG	LOC119653891|XP_037914941.1|HILL
OG0002057	LOC108111178|XP_017076047.1|DEUG	LOC119655930|XP_037918040.1|HILL
OG0002058	LOC108104649|XP_017066319.1|DEUG	LOC119655360|XP_037917145.1|HILL
OG0002059	LOC108113749|XP_017079932.1|DEUG	LOC119655733|XP_037917711.1|HILL
OG0002060	LOC108106699|XP_017069421.1|DEUG	LOC119655395|XP_037917200.1|HILL
OG0002061	LOC108107439|XP_017070468.1|DEUG	LOC119653456|XP_037913993.1|HILL
OG0002062	LOC108117693|XP_017085711.1|DEUG	LOC119653676|XP_037914444.1|HILL
OG0002063	LOC108109724|XP_017073858.1|DEUG	LOC119655005|XP_037916601.1|HILL
OG0002064	LOC108108141|XP_017071557.1|DEUG	LOC119654268|XP_037915463.1|HILL, LOC119655743|XP_037917724.1|HILL
OG0002065	LOC108107826|XP_017071065.1|DEUG	LOC119648983|XP_037906831.1|HILL
OG0002066	LOC108116352|XP_017083656.1|DEUG	LOC119659689|XP_037923854.1|HILL
OG0002067	LOC108107327|XP_017070302.1|DEUG	LOC119660524|XP_037925073.1|HILL
OG0002068	LOC108113089|XP_017079024.1|DEUG	LOC119659187|XP_037923075.1|HILL
OG0002069	LOC108107025|XP_017069862.1|DEUG	LOC119653847|XP_037914822.1|HILL
OG0002070	LOC108116524|XP_017083950.1|DEUG	LOC119656700|XP_037919135.1|HILL
OG0002071	LOC108113742|XP_017079920.1|DEUG	LOC119655665|XP_037917579.1|HILL
OG0002072	LOC108113368|XP_017079424.1|DEUG	LOC119659080|XP_037922923.1|HILL
OG0002073	LOC108104276|XP_017065716.1|DEUG	LOC119650208|XP_037908702.1|HILL
OG0002074	LOC108106780|XP_017069510.1|DEUG	LOC119655850|XP_037917896.1|HILL
OG0002075	LOC108107164|XP_017070065.1|DEUG	LOC119649972|XP_037908337.1|HILL
OG0002076	LOC108112911|XP_017078771.1|DEUG	LOC119656236|XP_037918582.1|HILL
OG0002077	LOC108102794|XP_017063451.1|DEUG	LOC119654575|XP_037915958.1|HILL
OG0002078	LOC108106249|XP_017068704.1|DEUG	LOC119655664|XP_037917578.1|HILL
OG0002079	LOC108114332|XP_017080745.1|DEUG	LOC119650394|XP_037909083.1|HILL
OG0002080	LOC108113176|XP_017079182.1|DEUG	LOC119654626|XP_037916026.1|HILL
OG0002081	LOC108107495|XP_017070532.1|DEUG	LOC119654662|XP_037916081.1|HILL
OG0002082	LOC108112714|XP_017078429.1|DEUG	LOC119656303|XP_037918675.1|HILL
OG0002083	LOC108103296|XP_017064204.1|DEUG	LOC119653504|XP_037914088.1|HILL
OG0002084	LOC108112671|XP_017078299.1|DEUG	LOC119656315|XP_037918691.1|HILL
OG0002085	LOC108112964|XP_017078853.1|DEUG	LOC119656233|XP_037918577.1|HILL, LOC119655275|XP_037917019.1|HILL, LOC119655274|XP_037917014.1|HILL
OG0002086	LOC108113323|XP_017079366.1|DEUG	LOC119655635|XP_037917536.1|HILL
OG0002087	LOC108107558|XP_017070600.1|DEUG	LOC119654374|XP_037915655.1|HILL
OG0002088	LOC108114396|XP_017080858.1|DEUG	LOC119647909|XP_037905155.1|HILL
OG0002089	LOC108103916|XP_017065152.1|DEUG, LOC108104511|XP_017066120.1|DEUG	LOC119654913|XP_037916475.1|HILL
OG0002090	LOC108114570|XP_017081110.1|DEUG	LOC119648685|XP_037906409.1|HILL
OG0002091	LOC108107234|XP_017070141.1|DEUG	LOC119653647|XP_037914390.1|HILL, LOC119653648|XP_037914392.1|HILL, LOC119653646|XP_037914389.1|HILL
OG0002092	LOC108114255|XP_017080640.1|DEUG	LOC119647664|XP_037904667.1|HILL
OG0002093	LOC108112009|XP_017077236.1|DEUG	LOC119653692|XP_037914490.1|HILL
OG0002094	LOC108107232|XP_017070139.1|DEUG	LOC119653481|XP_037914036.1|HILL
OG0002095	LOC108105108|XP_017067031.1|DEUG	LOC119653426|XP_037913933.1|HILL
OG0002096	LOC108106469|XP_017069028.1|DEUG	LOC119653799|XP_037914741.1|HILL, LOC119655532|XP_037917374.1|HILL
OG0002097	LOC108104812|XP_017066585.1|DEUG	LOC119654127|XP_037915218.1|HILL
OG0002098	LOC108108800|XP_017072470.1|DEUG	LOC119649830|XP_037908100.1|HILL
OG0002099	LOC108109528|XP_017073581.1|DEUG	LOC119653875|XP_037914911.1|HILL
OG0002100	LOC108118242|XP_017086319.1|DEUG	LOC119647613|XP_037904574.1|HILL
OG0002101	LOC108113412|XP_017079458.1|DEUG	LOC119655574|XP_037917430.1|HILL
OG0002102	LOC108109088|XP_017072946.1|DEUG	LOC119653572|XP_037914228.1|HILL
OG0002103	LOC108109548|XP_017073607.1|DEUG	LOC119652473|XP_037912571.1|HILL
OG0002107	LOC108111001|XP_017075800.1|DEUG	LOC119646747|XP_037903252.1|HILL
OG0002110	LOC108108509|XP_017072066.1|DEUG, LOC108105720|XP_017067924.1|DEUG	LOC119647779|XP_037904889.1|HILL
OG0002117	LOC108109279|XP_017073260.1|DEUG	LOC119657828|XP_037920874.1|HILL
OG0002118	LOC108117448|XP_017085354.1|DEUG	LOC119656808|XP_037919354.1|HILL
OG0002119	LOC108113728|XP_017079903.1|DEUG	LOC119658634|XP_037922087.1|HILL
OG0002120	LOC108102378|XP_017062791.1|DEUG	LOC119660744|XP_037925393.1|HILL
OG0002121	LOC108116026|XP_017083202.1|DEUG	LOC119651294|XP_037910741.1|HILL
OG0002123	LOC108107033|XP_017069879.1|DEUG	LOC119648401|XP_037906075.1|HILL
OG0002124	LOC108110002|XP_017074328.1|DEUG	LOC119657220|XP_037919960.1|HILL
OG0002125	LOC108106383|XP_017068872.1|DEUG	LOC119650671|XP_037909550.1|HILL
OG0002126	LOC108113940|XP_017080137.1|DEUG	LOC119647832|XP_037905001.1|HILL
OG0002127	LOC108105381|XP_017067411.1|DEUG	LOC119657602|XP_037920529.1|HILL
OG0002128	LOC108109934|XP_017074225.1|DEUG	LOC119656607|XP_037918970.1|HILL
OG0002129	LOC108117176|XP_017084949.1|DEUG	LOC119652830|XP_037913086.1|HILL
OG0002130	LOC108102459|XP_017062956.1|DEUG	LOC119657247|XP_037919992.1|HILL
OG0002131	LOC108105267|XP_017067236.1|DEUG	LOC119651496|XP_037911040.1|HILL
OG0002132	LOC108110968|XP_017075758.1|DEUG	LOC119651555|XP_037911116.1|HILL
OG0002133	LOC108103859|XP_017065055.1|DEUG	LOC119656658|XP_037919062.1|HILL
OG0002134	LOC108105364|XP_017067379.1|DEUG	LOC119653848|XP_037914824.1|HILL
OG0002135	LOC108103448|XP_017064418.1|DEUG	LOC119656668|XP_037919077.1|HILL
OG0002136	LOC108111424|XP_017076372.1|DEUG	LOC119659975|XP_037924269.1|HILL
OG0002137	LOC108116599|XP_017084042.1|DEUG	LOC119656530|XP_037918803.1|HILL
OG0002138	LOC108117624|XP_017085643.1|DEUG	LOC119661326|XP_037926552.1|HILL
OG0002139	LOC108110403|XP_017074958.1|DEUG	LOC119646344|XP_037902706.1|HILL
OG0002140	LOC108103158|XP_017064028.1|DEUG	LOC119658046|XP_037921217.1|HILL
OG0002141	LOC108108645|XP_017072240.1|DEUG	LOC119658647|XP_037922113.1|HILL
OG0002142	LOC108115018|XP_017081749.1|DEUG	LOC119652352|XP_037912360.1|HILL
OG0002143	LOC108102643|XP_017063254.1|DEUG	LOC119646616|XP_037903050.1|HILL
OG0002144	LOC108102358|XP_017062743.1|DEUG, LOC108102307|XP_017062556.1|DEUG	LOC119660743|XP_037925386.1|HILL
OG0002145	LOC108117286|XP_017085129.1|DEUG	LOC119661362|XP_037926640.1|HILL
OG0002146	LOC108104166|XP_017065558.1|DEUG, LOC108114993|XP_017081716.1|DEUG	LOC119650779|XP_037909815.1|HILL
OG0002147	LOC108110130|XP_017074525.1|DEUG	LOC119657972|XP_037921111.1|HILL
OG0002148	LOC108108210|XP_017071660.1|DEUG	LOC119656565|XP_037918877.1|HILL
OG0002149	LOC108102369|XP_017062776.1|DEUG	LOC119660866|XP_037925690.1|HILL
OG0002150	LOC108110054|XP_017074418.1|DEUG	LOC119646740|XP_037903246.1|HILL
OG0002151	LOC108110512|XP_017075081.1|DEUG	LOC119661168|XP_037926312.1|HILL, LOC119646524|XP_037902916.1|HILL
OG0002152	LOC108116875|XP_017084457.1|DEUG	LOC119652511|XP_037912633.1|HILL
OG0002153	LOC108115946|XP_017083071.1|DEUG	LOC119652345|XP_037912298.1|HILL
OG0002154	LOC108102458|XP_017062955.1|DEUG	LOC119657793|XP_037920805.1|HILL
OG0002155	LOC108113490|XP_017079565.1|DEUG	LOC119658159|XP_037921355.1|HILL
OG0002156	LOC108116780|XP_017084305.1|DEUG	LOC119660802|XP_037925559.1|HILL
OG0002157	LOC108116869|XP_017084436.1|DEUG	LOC119651054|XP_037910311.1|HILL
OG0002158	LOC108113091|XP_017079025.1|DEUG	LOC119651960|XP_037911747.1|HILL, LOC119651888|XP_037911638.1|HILL, LOC119659188|XP_037923076.1|HILL
OG0002159	LOC108109115|XP_017072997.1|DEUG	LOC119651415|XP_037910937.1|HILL
OG0002160	LOC108110669|XP_017075279.1|DEUG, LOC108115066|XP_017081804.1|DEUG	LOC119653182|XP_037913664.1|HILL
OG0002161	LOC108117250|XP_017085088.1|DEUG	LOC119650997|XP_037910210.1|HILL
OG0002162	LOC108111994|XP_017077395.1|DEUG	LOC119659601|XP_037923697.1|HILL
OG0002163	LOC108103362|XP_017064296.1|DEUG	LOC119652577|XP_037912719.1|HILL
OG0002164	LOC108113645|XP_017079803.1|DEUG	LOC119658470|XP_037921820.1|HILL
OG0002165	LOC108118453|XP_017086660.1|DEUG	LOC119651145|XP_037910477.1|HILL
OG0002165	LOC108109127|XP_017073015.1|DEUG	LOC119646845|XP_037903395.1|HILL
OG0002166	LOC108108460|XP_017072006.1|DEUG	LOC119646480|XP_037902861.1|HILL
OG0002167	LOC108112053|XP_017077296.1|DEUG	LOC119660949|XP_037925889.1|HILL
OG0002168	LOC108107401|XP_017070410.1|DEUG	LOC119658017|XP_037921174.1|HILL
OG0002169	LOC108114710|XP_017081298.1|DEUG	LOC119658302|XP_037921533.1|HILL
OG0002170	LOC108108703|XP_017072301.1|DEUG	LOC119660722|XP_037925301.1|HILL
OG0002171	LOC108116598|XP_017084040.1|DEUG	LOC119657940|XP_037921057.1|HILL
OG0002172	LOC108115638|XP_017082680.1|DEUG	LOC119657818|XP_037920860.1|HILL
OG0002173	LOC108110505|XP_017075073.1|DEUG	LOC119660310|XP_037924716.1|HILL
OG0002174	LOC108111636|XP_017076655.1|DEUG, LOC108111642|XP_017076662.1|DEUG	LOC119651946|XP_037911728.1|HILL
OG0002175	LOC108111643|XP_017076663.1|DEUG	LOC119651947|XP_037911729.1|HILL
OG0002176	LOC108117119|XP_017084839.1|DEUG	LOC119652239|XP_037912142.1|HILL
OG0002177	LOC108111530|XP_017076539.1|DEUG	LOC119651431|XP_037910957.1|HILL
OG0002178	LOC108115806|XP_017082884.1|DEUG	LOC119656556|XP_037918862.1|HILL
OG0002179	LOC108113790|XP_017079987.1|DEUG	LOC119652952|XP_037913273.1|HILL
OG0002180	LOC108111335|XP_017076245.1|DEUG	LOC119653216|XP_037913716.1|HILL
OG0002181	LOC108103139|XP_017064000.1|DEUG	LOC119657501|XP_037920363.1|HILL
OG0002182	LOC108115148|XP_017081941.1|DEUG	LOC119653170|XP_037913639.1|HILL
OG0002183	LOC108112034|XP_017077270.1|DEUG	LOC119654245|XP_037915415.1|HILL
OG0002184	LOC108111682|XP_017076711.1|DEUG	LOC119660227|XP_037924603.1|HILL, LOC119660228|XP_037924604.1|HILL
OG0002185	LOC108105622|XP_017067793.1|DEUG	LOC119651143|XP_037910474.1|HILL
OG0002186	LOC108113405|XP_017079447.1|DEUG	LOC119651163|XP_037910509.1|HILL
OG0002187	LOC108115626|XP_017082666.1|DEUG	LOC119651707|XP_037911348.1|HILL
OG0002188	LOC108107435|XP_017070460.1|DEUG	LOC119656601|XP_037918961.1|HILL
OG0002189	LOC108113826|XP_017080024.1|DEUG	LOC119656534|XP_037918808.1|HILL
OG0002190	LOC108116678|XP_017084167.1|DEUG	LOC119656531|XP_037918804.1|HILL
OG0002191	LOC108114199|XP_017080506.1|DEUG	LOC119658503|XP_037921893.1|HILL
OG0002192	LOC108108657|XP_017072250.1|DEUG	LOC119650042|XP_037908453.1|HILL
OG0002193	LOC108117515|XP_017085500.1|DEUG	LOC119650569|XP_037909314.1|HILL
OG0002194	LOC108115796|XP_017082865.1|DEUG	LOC119651777|XP_037911459.1|HILL
OG0002195	LOC108116690|XP_017084193.1|DEUG	LOC119651763|XP_037911430.1|HILL
OG0002196	LOC108116282|XP_017083558.1|DEUG, LOC108109727|XP_017073906.1|DEUG	LOC119660377|XP_037924823.1|HILL
OG0002197	LOC108104627|XP_017066291.1|DEUG	LOC119651176|XP_037910531.1|HILL
OG0002198	LOC108115056|XP_017081791.1|DEUG	LOC119660590|XP_037925187.1|HILL
OG0002199	LOC108109516|XP_017073556.1|DEUG	LOC119660116|XP_037924433.1|HILL
OG0002200	LOC108105104|XP_017067028.1|DEUG	LOC119652671|XP_037912865.1|HILL
OG0002202	LOC108110707|XP_017075342.1|DEUG, LOC108116893|XP_017084488.1|DEUG	LOC119651531|XP_037911090.1|HILL
OG0002203	LOC108111635|XP_017076654.1|DEUG, LOC108111675|XP_017076701.1|DEUG	LOC119652412|XP_037912453.1|HILL
OG0002204	LOC108113729|XP_017079904.1|DEUG	LOC119651218|XP_037910600.1|HILL
OG0002205	LOC108116835|XP_017084376.1|DEUG	LOC119651865|XP_037911601.1|HILL
OG0002206	LOC108115700|XP_017082759.1|DEUG	LOC119652902|XP_037913206.1|HILL
OG0002207	LOC108116056|XP_017083246.1|DEUG	LOC119650917|XP_037910070.1|HILL
OG0002208	LOC108116109|XP_017083320.1|DEUG	LOC119652747|XP_037912974.1|HILL
OG0002209	LOC108109750|XP_017073907.1|DEUG	LOC119646183|XP_037902493.1|HILL
OG0002210	LOC108115386|XP_017082310.1|DEUG	LOC119652626|XP_037912800.1|HILL
OG0002211	LOC108116953|XP_017084596.1|DEUG	LOC119650782|XP_037909821.1|HILL
OG0002212	LOC108117121|XP_017084841.1|DEUG	LOC119651457|XP_037910991.1|HILL
OG0002213	LOC108116146|XP_017083371.1|DEUG	LOC119656652|XP_037919045.1|HILL
OG0002214	LOC108109432|XP_017073421.1|DEUG	LOC119658013|XP_037921167.1|HILL, LOC119657904|XP_037920992.1|HILL
OG0002215	LOC108109209|XP_017073143.1|DEUG	LOC119651153|XP_037910489.1|HILL
OG0002216	LOC108116071|XP_017083275.1|DEUG	LOC119658048|XP_037921220.1|HILL
OG0002217	LOC108105241|XP_017067205.1|DEUG	LOC119651310|XP_037910765.1|HILL
