Orthogroup	DEUG.longest_only	AAEG.longest_only
OG0001691	LOC108106855|XP_017069587.1|DEUG	LOC5571995|XP_001660101.2|AAEG
OG0001692	LOC108117179|XP_017084957.1|DEUG	LOC23687848|XP_021694245.1|AAEG
OG0001694	LOC108116806|XP_017084342.1|DEUG	LOC5565017|XP_021702011.1|AAEG
OG0001695	LOC108113365|XP_017079422.1|DEUG	LOC5564056|XP_001648394.2|AAEG
OG0001696	LOC108117489|XP_017085454.1|DEUG	LOC5565053|XP_021705226.1|AAEG
OG0001697	LOC108113703|XP_017079869.1|DEUG	LOC5565067|XP_001649393.1|AAEG
OG0001698	LOC108105052|XP_017066945.1|DEUG	LOC5576012|XP_021706064.1|AAEG
OG0001699	LOC108113722|XP_017079893.1|DEUG	LOC5575091|XP_021694263.1|AAEG
OG0001699	LOC108116351|XP_017083654.1|DEUG	LOC5575090|XP_001661813.2|AAEG
OG0001700	LOC108109722|XP_017073854.1|DEUG	LOC110678498|XP_021707151.1|AAEG, LOC110678596|XP_021707345.1|AAEG, LOC110678598|XP_021707352.1|AAEG
OG0001701	LOC108115352|XP_017082262.1|DEUG	LOC110681093|XP_021712554.1|AAEG, LOC5569913|XP_021708647.1|AAEG
OG0001702	LOC108110774|XP_017075480.1|DEUG	LOC110679165|XP_021708953.1|AAEG, LOC5567455|XP_001657455.1|AAEG, LOC110681250|XP_021712711.1|AAEG
OG0001703	LOC108115577|XP_017082576.1|DEUG	LOC5570645|XP_001653277.2|AAEG
OG0001704	LOC108115579|XP_017082579.1|DEUG	LOC5570641|XP_021709166.1|AAEG
OG0001705	LOC108111407|XP_017076346.1|DEUG	LOC5569385|XP_021709272.1|AAEG
OG0001706	LOC108105566|XP_017067699.1|DEUG	LOC5574607|XP_001655208.2|AAEG
OG0001707	LOC108108845|XP_017072545.1|DEUG	LOC5574593|XP_021709672.1|AAEG
OG0001708	LOC108116994|XP_017084648.1|DEUG	LOC110681130|XP_021712595.1|AAEG, LOC5577403|XP_001656483.2|AAEG
OG0001709	LOC108108071|XP_017071440.1|DEUG	LOC110680896|XP_021712376.1|AAEG, LOC5567785|XP_001657688.2|AAEG, LOC110680897|XP_021712377.1|AAEG
OG0001710	LOC108109550|XP_017073609.1|DEUG	LOC5577564|XP_001663437.2|AAEG, LOC5566404|XP_021713013.1|AAEG
OG0001711	LOC108115646|XP_017082689.1|DEUG	LOC5578517|XP_021713311.1|AAEG
OG0001712	LOC108116601|XP_017084046.1|DEUG	LOC5578276|XP_001663804.1|AAEG
OG0001713	LOC108116329|XP_017083629.1|DEUG	LOC5575986|XP_011493660.2|AAEG
OG0001714	LOC108114971|XP_017081673.1|DEUG	LOC5564681|XP_021692980.1|AAEG
OG0001715	LOC108103470|XP_017064458.1|DEUG	LOC5573668|XP_021698214.1|AAEG, LOC110681428|XP_021712862.1|AAEG, LOC5566465|XP_001650847.2|AAEG
OG0001716	LOC108103442|XP_017064412.1|DEUG	LOC110681112|XP_021712571.1|AAEG, LOC23687829|XP_011493203.2|AAEG, LOC5576349|XP_001656084.1|AAEG, LOC110678113|XP_021706410.1|AAEG
OG0001717	LOC108111396|XP_017076320.1|DEUG	LOC110680473|XP_021711973.1|AAEG, LOC5573435|XP_021693609.1|AAEG
OG0001718	LOC108115650|XP_017082693.1|DEUG, LOC108115567|XP_017082563.1|DEUG	LOC110674147|XP_021693644.1|AAEG, LOC5576566|XP_021693645.1|AAEG
OG0001719	LOC108108834|XP_017072527.1|DEUG	LOC5579075|XP_021694078.1|AAEG
OG0001720	LOC108116244|XP_017083524.1|DEUG	LOC5576117|XP_001662463.2|AAEG
OG0001721	LOC108109440|XP_017073430.1|DEUG	LOC5565136|XP_001649519.2|AAEG, LOC5565189|XP_001649518.2|AAEG, LOC5565137|XP_001649517.2|AAEG
OG0001722	LOC108114430|XP_017080908.1|DEUG, LOC108114020|XP_017080256.1|DEUG	LOC5571453|XP_021695480.1|AAEG
OG0001723	LOC108105563|XP_017067698.1|DEUG	LOC5571265|XP_001653563.1|AAEG
OG0001724	LOC108109048|XP_017072849.1|DEUG	LOC5579032|XP_021695970.1|AAEG
OG0001725	LOC108104788|XP_017066536.1|DEUG	LOC5568472|XP_021696007.1|AAEG
OG0001726	LOC108114348|XP_017080777.1|DEUG	LOC110680966|XP_021712431.1|AAEG, LOC5574101|XP_021696096.1|AAEG
OG0001727	LOC108115697|XP_017082756.1|DEUG	LOC5577067|XP_021696347.1|AAEG, LOC5576405|XP_021709876.1|AAEG
OG0001728	LOC108106722|XP_017069448.1|DEUG	LOC5570509|XP_001659196.2|AAEG
OG0001729	LOC108107270|XP_017070191.1|DEUG	LOC5570505|XP_001659192.2|AAEG
OG0001730	LOC108104094|XP_017065479.1|DEUG, LOC108104040|XP_017065363.1|DEUG	LOC5569450|XP_021696659.1|AAEG
OG0001732	LOC108113480|XP_017079552.1|DEUG	LOC110675629|XP_021696818.1|AAEG
OG0001733	LOC108108896|XP_017072606.1|DEUG	LOC5565207|XP_001649550.1|AAEG, LOC5565221|XP_001649551.1|AAEG
OG0001734	LOC108104443|XP_017065993.1|DEUG	LOC5565228|XP_021696985.1|AAEG
OG0001735	LOC108114514|XP_017081024.1|DEUG	LOC5579981|XP_001658609.2|AAEG
OG0001736	LOC108112031|XP_017077268.1|DEUG	LOC5578900|XP_001664110.1|AAEG
OG0001737	LOC108109137|XP_017073023.1|DEUG	LOC110675836|XP_021697399.1|AAEG, LOC110675119|XP_021695189.1|AAEG
OG0001738	LOC108108658|XP_017072251.1|DEUG, LOC108114705|XP_017081292.1|DEUG	LOC5576851|XP_021697531.1|AAEG
OG0001739	LOC108113003|XP_017078910.1|DEUG	LOC5575248|XP_001655655.1|AAEG
OG0001740	LOC108109039|XP_017072826.1|DEUG	LOC110675914|XP_021697629.1|AAEG, LOC5572758|XP_021712795.1|AAEG
OG0001742	LOC108104791|XP_017066542.1|DEUG	LOC5576166|XP_001662518.1|AAEG
OG0001743	LOC108114135|XP_017080406.1|DEUG, LOC108113592|XP_017079732.1|DEUG	LOC5576175|XP_021697664.1|AAEG
OG0001744	LOC108106536|XP_017069163.1|DEUG	LOC5573987|XP_021697960.1|AAEG
OG0001745	LOC108112484|XP_017077837.1|DEUG	LOC5573042|XP_021695213.1|AAEG
OG0001746	LOC108114349|XP_017080778.1|DEUG	LOC5564250|XP_001648596.1|AAEG
OG0001747	LOC108112523|XP_017077937.1|DEUG	LOC5564305|XP_021698368.1|AAEG
OG0001748	LOC108108282|XP_017071773.1|DEUG	LOC110676122|XP_021698446.1|AAEG
OG0001749	LOC108107419|XP_017070437.1|DEUG	LOC5572527|XP_001654051.1|AAEG
OG0001750	LOC108107417|XP_017070435.1|DEUG	LOC5572528|XP_021698705.1|AAEG
OG0001751	LOC108108519|XP_017072077.1|DEUG	LOC5574043|XP_021698767.1|AAEG
OG0001752	LOC108107524|XP_017070554.1|DEUG	LOC110676202|XP_021698832.1|AAEG
OG0001753	LOC108107938|XP_017071256.1|DEUG	LOC5566011|XP_021698869.1|AAEG
OG0001754	LOC108113156|XP_017079154.1|DEUG	LOC5575704|XP_021699108.1|AAEG
OG0001755	LOC108107716|XP_017070815.1|DEUG	LOC5565278|XP_021699140.1|AAEG
OG0001756	LOC108112814|XP_017078601.1|DEUG	LOC5577289|XP_021699173.1|AAEG
OG0001757	LOC108112650|XP_017078270.1|DEUG	LOC5572865|XP_001660624.1|AAEG
OG0001758	LOC108104005|XP_017065287.1|DEUG	LOC5579195|XP_021699414.1|AAEG
OG0001759	LOC108112535|XP_017077950.1|DEUG	LOC5575922|XP_021699452.1|AAEG
OG0001760	LOC108104559|XP_017066191.1|DEUG	LOC5566072|XP_001650438.2|AAEG
OG0001761	LOC108109262|XP_017073234.1|DEUG	LOC5576993|XP_021699573.1|AAEG
OG0001762	LOC108107007|XP_017069836.1|DEUG	LOC5572235|XP_001653920.3|AAEG, LOC5574685|XP_021700044.1|AAEG
OG0001763	LOC108107016|XP_017069849.1|DEUG	LOC5574378|XP_021700079.1|AAEG
OG0001764	LOC108111512|XP_017076516.1|DEUG	LOC5569117|XP_001652716.2|AAEG
OG0001765	LOC108104475|XP_017066044.1|DEUG	LOC5570381|XP_021700177.1|AAEG
OG0001766	LOC108110838|XP_017075568.1|DEUG	LOC5567651|XP_021700353.1|AAEG
OG0001767	LOC108111201|XP_017076084.1|DEUG	LOC5569370|XP_021700467.1|AAEG
OG0001768	LOC108111173|XP_017076041.1|DEUG	LOC5565839|XP_001650193.1|AAEG, LOC5578368|XP_001656939.1|AAEG
OG0001769	LOC108102474|XP_017062971.1|DEUG	LOC5566448|XP_021700544.1|AAEG, LOC110680496|XP_021711988.1|AAEG
OG0001770	LOC108111067|XP_017075884.1|DEUG	LOC5572645|XP_001654144.2|AAEG
OG0001771	LOC108111233|XP_017076125.1|DEUG	LOC5572651|XP_001654151.1|AAEG
OG0001772	LOC108110829|XP_017075555.1|DEUG	LOC110680439|XP_021711928.1|AAEG, LOC5573651|XP_001660977.2|AAEG
OG0001774	LOC108107289|XP_017070234.1|DEUG	LOC5564490|XP_021701074.1|AAEG, LOC5564489|XP_021695283.1|AAEG
OG0001776	LOC108107042|XP_017069892.1|DEUG	LOC5575680|XP_021701220.1|AAEG
OG0001777	LOC108107098|XP_017069969.1|DEUG	LOC5573805|XP_021701314.1|AAEG
OG0001778	LOC108114301|XP_017081096.1|DEUG	LOC110675190|XP_021695289.1|AAEG, LOC110677148|XP_021703649.1|AAEG
OG0001779	LOC108110756|XP_017075454.1|DEUG	LOC110681009|XP_021712466.1|AAEG, LOC5563749|XP_021701405.1|AAEG
OG0001780	LOC108105584|XP_017067712.1|DEUG	LOC5565277|XP_021701490.1|AAEG
OG0001781	LOC108114860|XP_017081495.1|DEUG	LOC5569344|XP_021701612.1|AAEG
OG0001782	LOC108105790|XP_017068006.1|DEUG	LOC5564192|XP_021701622.1|AAEG
OG0001783	LOC108110979|XP_017075776.1|DEUG	LOC5576440|XP_021701742.1|AAEG
OG0001784	LOC108111021|XP_017075828.1|DEUG	LOC5568160|XP_021701820.1|AAEG, LOC5573090|XP_021701819.1|AAEG
OG0001785	LOC108104795|XP_017066553.1|DEUG	LOC5569041|XP_021701853.1|AAEG
OG0001786	LOC108107157|XP_017070053.1|DEUG	LOC5569034|XP_001652680.1|AAEG
OG0001787	LOC108107028|XP_017069865.1|DEUG	LOC5569031|XP_021701868.1|AAEG
OG0001788	LOC108106784|XP_017069515.1|DEUG	LOC5573248|XP_001654457.1|AAEG
OG0001789	LOC108113195|XP_017079211.1|DEUG	LOC5567954|XP_001657769.1|AAEG
OG0001790	LOC108107171|XP_017070075.1|DEUG	LOC5573696|XP_001661021.2|AAEG
OG0001791	LOC108106546|XP_017069192.1|DEUG	LOC5575748|XP_021703199.1|AAEG
OG0001792	LOC108107041|XP_017069890.1|DEUG	LOC23687649|XP_021703560.1|AAEG
OG0001793	LOC108106526|XP_017069141.1|DEUG	LOC5572054|XP_021703576.1|AAEG, LOC110680890|XP_021712373.1|AAEG
OG0001794	LOC108115125|XP_017082287.1|DEUG	LOC5565922|XP_001650267.3|AAEG
OG0001795	LOC108118424|XP_017086594.1|DEUG, LOC108118422|XP_017086588.1|DEUG	LOC5567339|XP_021704045.1|AAEG
OG0001797	LOC108102337|XP_017062648.1|DEUG	LOC5572508|XP_021711425.1|AAEG, LOC5566756|XP_021706948.1|AAEG
OG0001798	LOC108112803|XP_017078581.1|DEUG	LOC5566370|XP_001650782.1|AAEG
OG0001799	LOC108117676|XP_017085694.1|DEUG, LOC108117675|XP_017085693.1|DEUG	LOC5580274|XP_001662901.1|AAEG
OG0001800	LOC108107158|XP_017070055.1|DEUG	LOC5570552|XP_021709728.1|AAEG
OG0001801	LOC108114662|XP_017081230.1|DEUG	LOC110680785|XP_021712265.1|AAEG, LOC5564279|XP_021712264.1|AAEG, LOC110679411|XP_021709622.1|AAEG
OG0001802	LOC108109536|XP_017073590.1|DEUG	LOC5564547|XP_001648902.1|AAEG
OG0001803	LOC108115175|XP_017081985.1|DEUG	LOC5577692|XP_001663474.2|AAEG
OG0001804	LOC108115327|XP_017082224.1|DEUG	LOC5564652|XP_001649004.2|AAEG, LOC110680554|XP_021712038.1|AAEG
OG0001805	LOC108109863|XP_017074137.1|DEUG	LOC5575007|XP_001661741.3|AAEG
OG0001806	LOC108117512|XP_017085489.1|DEUG	LOC5567255|XP_021706781.1|AAEG
OG0001808	LOC108116365|XP_017083684.1|DEUG	LOC5572949|XP_021709443.1|AAEG
OG0001809	LOC108114989|XP_017081710.1|DEUG	LOC5564168|XP_021707416.1|AAEG
OG0001810	LOC108115639|XP_017082681.1|DEUG	LOC110678349|XP_021706798.1|AAEG, LOC5570367|XP_021710434.1|AAEG, LOC110677948|XP_021705715.1|AAEG
OG0001811	LOC108109298|XP_017073283.1|DEUG	LOC5577351|XP_001656427.1|AAEG, LOC110680308|XP_021711836.1|AAEG, LOC110678676|XP_021707574.1|AAEG
OG0001812	LOC108103761|XP_017064868.1|DEUG	LOC5577364|XP_001656444.1|AAEG
OG0001813	LOC108117087|XP_017084774.1|DEUG	LOC5568213|XP_021706440.1|AAEG
OG0001814	LOC108115162|XP_017081962.1|DEUG	LOC110679259|XP_021709176.1|AAEG, LOC110679258|XP_021709173.1|AAEG
OG0001815	LOC108115399|XP_017082325.1|DEUG	LOC5572470|XP_001660415.1|AAEG, LOC110677764|XP_021704810.1|AAEG
OG0001816	LOC108114922|XP_017081599.1|DEUG	LOC5564769|XP_001649137.1|AAEG
OG0001817	LOC108104806|XP_017066577.1|DEUG	LOC5572254|XP_021707503.1|AAEG
OG0001818	LOC108111833|XP_017076927.1|DEUG, LOC108117589|XP_017085580.1|DEUG	LOC5570038|XP_021705809.1|AAEG, LOC5570034|XP_021704393.1|AAEG
OG0001819	LOC108111955|XP_017077137.1|DEUG	LOC5565232|XP_001649570.2|AAEG
OG0001820	LOC108104926|XP_017066767.1|DEUG	LOC5578522|XP_021711359.1|AAEG
OG0001821	LOC108107202|XP_017070108.1|DEUG	LOC5575338|XP_021712568.1|AAEG, LOC110678161|XP_021706474.1|AAEG
OG0001822	LOC108112244|XP_017077555.1|DEUG	LOC5571100|XP_021710962.1|AAEG
OG0001823	LOC108114307|XP_017080700.1|DEUG	LOC5573745|XP_021705990.1|AAEG, LOC5573744|XP_001654772.1|AAEG
OG0001824	LOC108111054|XP_017075875.1|DEUG	LOC5579661|XP_001648135.2|AAEG, LOC5579660|XP_001648134.2|AAEG
OG0001825	LOC108108904|XP_017072617.1|DEUG	LOC5572228|XP_021707395.1|AAEG
OG0001826	LOC108112772|XP_017078529.1|DEUG	LOC5577483|XP_001663403.2|AAEG
OG0001827	LOC108112478|XP_017077824.1|DEUG	LOC5572357|XP_001660316.1|AAEG, LOC5572356|XP_001660315.1|AAEG
OG0001828	LOC108118378|XP_017086539.1|DEUG	LOC5567362|XP_021706896.1|AAEG
OG0001829	LOC108106764|XP_017069493.1|DEUG	LOC5576206|XP_021708780.1|AAEG, LOC110680523|XP_021712012.1|AAEG
OG0001830	LOC108112226|XP_017077535.1|DEUG	LOC5571911|XP_001660008.2|AAEG, LOC110679573|XP_021710291.1|AAEG
OG0001831	LOC108108610|XP_017072197.1|DEUG	LOC110680266|XP_021711773.1|AAEG, LOC5566067|XP_021705399.1|AAEG, LOC23687723|XP_021711781.1|AAEG, LOC23687612|XP_021707469.1|AAEG
OG0001832	LOC108103256|XP_017064153.1|DEUG	LOC5568452|XP_021706577.1|AAEG
OG0001833	LOC108107258|XP_017070175.1|DEUG	LOC5571930|XP_001660027.1|AAEG
OG0001849	LOC108116628|XP_017084096.1|DEUG, LOC108102449|XP_017062945.1|DEUG	LOC5575828|XP_001655853.1|AAEG
OG0001850	LOC108102376|XP_017062785.1|DEUG	LOC110681442|XP_021712895.1|AAEG, LOC5579827|XP_001651058.2|AAEG
OG0001851	LOC108102308|XP_017062558.1|DEUG	LOC5578495|XP_021694587.1|AAEG
OG0001852	LOC108104724|XP_017066445.1|DEUG	LOC5565125|XP_021694596.1|AAEG
OG0001853	LOC108113576|XP_017079656.1|DEUG	LOC5574328|XP_021694599.1|AAEG
OG0001854	LOC108110074|XP_017074445.1|DEUG	LOC5569472|XP_001658557.1|AAEG
OG0001855	LOC108112430|XP_017077762.1|DEUG	LOC5574649|XP_001661572.1|AAEG
OG0001856	LOC108116505|XP_017083933.1|DEUG	LOC110674760|XP_021694723.1|AAEG
OG0001857	LOC108109714|XP_017073835.1|DEUG	LOC5575262|XP_001661863.2|AAEG, LOC5575265|XP_021694857.1|AAEG
OG0001858	LOC108109961|XP_017074265.1|DEUG	LOC5567841|XP_021694869.1|AAEG
OG0001859	LOC108114590|XP_017081173.1|DEUG	LOC5580066|XP_001654807.1|AAEG
OG0001860	LOC108108640|XP_017072230.1|DEUG	LOC5564571|XP_021694963.1|AAEG, LOC5568118|XP_021696651.1|AAEG
OG0001861	LOC108115812|XP_017082889.1|DEUG	LOC5579466|XP_021693350.1|AAEG
OG0001862	LOC108117688|XP_017085704.1|DEUG	LOC5570649|XP_021706525.1|AAEG, LOC5570648|XP_001659242.1|AAEG
OG0001863	LOC108102997|XP_017063803.1|DEUG	LOC5570651|XP_001659247.1|AAEG
OG0001864	LOC108109136|XP_017073026.1|DEUG	LOC110674837|XP_021695016.1|AAEG, LOC5578628|XP_021694917.1|AAEG
OG0001865	LOC108103491|XP_017064488.1|DEUG	LOC110675288|XP_021695482.1|AAEG
OG0001866	LOC108102444|XP_017062930.1|DEUG, LOC108116968|XP_017084612.1|DEUG	LOC5574246|XP_021695568.1|AAEG
OG0001867	LOC108108496|XP_017072038.1|DEUG	LOC5575004|XP_021697527.1|AAEG, LOC5570553|XP_021706976.1|AAEG
OG0001868	LOC108103404|XP_017064350.1|DEUG	LOC5574992|XP_001655465.2|AAEG, LOC5574991|XP_001655464.2|AAEG
OG0001869	LOC108110161|XP_017074572.1|DEUG	LOC5574987|XP_021697648.1|AAEG
OG0001870	LOC108103239|XP_017064128.1|DEUG	LOC110681030|XP_021712488.1|AAEG, LOC110674273|XP_021694239.1|AAEG, LOC110681059|XP_021712516.1|AAEG, LOC5575006|XP_021697806.1|AAEG
OG0001871	LOC108117284|XP_017085130.1|DEUG	LOC5571998|XP_001660103.3|AAEG
OG0001872	LOC108111453|XP_017076413.1|DEUG	LOC5574573|XP_021699531.1|AAEG
OG0001873	LOC108117629|XP_017085650.1|DEUG	LOC5578825|XP_021701935.1|AAEG
OG0001874	LOC108113735|XP_017079911.1|DEUG	LOC5567722|XP_021702328.1|AAEG
OG0001875	LOC108113500|XP_017079577.1|DEUG	LOC110677055|XP_021703299.1|AAEG
OG0001876	LOC108110060|XP_017074430.1|DEUG	LOC5564040|XP_001648384.2|AAEG
OG0001877	LOC108103328|XP_017064253.1|DEUG	LOC5571508|XP_001659759.2|AAEG
OG0001878	LOC108116934|XP_017084568.1|DEUG	LOC5566087|XP_021704628.1|AAEG
OG0001879	LOC108113777|XP_017079965.1|DEUG	LOC5565257|XP_021705692.1|AAEG
OG0001880	LOC108117122|XP_017084842.1|DEUG	LOC5570606|XP_001653270.2|AAEG
OG0001881	LOC108115085|XP_017081822.1|DEUG	LOC5566189|XP_001650563.2|AAEG
OG0001882	LOC108115811|XP_017082888.1|DEUG	LOC110680416|XP_021711907.1|AAEG, LOC110679567|XP_021710262.1|AAEG, LOC5566197|XP_021711888.1|AAEG, LOC110679570|XP_021710271.1|AAEG, LOC110674299|XP_021694273.1|AAEG
OG0001883	LOC108115629|XP_017082669.1|DEUG	LOC5577698|XP_021711630.1|AAEG
OG0001884	LOC108110234|XP_017074709.1|DEUG	LOC5577407|XP_001656488.1|AAEG
OG0001885	LOC108104097|XP_017065482.1|DEUG	LOC5577423|XP_021711870.1|AAEG
OG0001886	LOC108109797|XP_017073999.1|DEUG	LOC5572728|XP_001660554.2|AAEG
OG0001887	LOC108113334|XP_017079380.1|DEUG	LOC5567793|XP_021712137.1|AAEG
OG0001888	LOC108117903|XP_017085939.1|DEUG, LOC108114982|XP_017081702.1|DEUG	LOC110681150|XP_021712610.1|AAEG, LOC5567790|XP_001657693.2|AAEG
OG0001889	LOC108117630|XP_017085646.1|DEUG	LOC5567788|XP_001657691.1|AAEG
OG0001890	LOC108114456|XP_017080946.1|DEUG	LOC5567782|XP_001657683.2|AAEG
OG0001891	LOC108117034|XP_017084692.1|DEUG	LOC5567775|XP_021712347.1|AAEG, LOC5567776|XP_021712762.1|AAEG
OG0001892	LOC108117617|XP_017085633.1|DEUG, LOC108114678|XP_017081294.1|DEUG	LOC23687555|XP_021712394.1|AAEG, LOC110681196|XP_021712670.1|AAEG
OG0001893	LOC108115760|XP_017082816.1|DEUG	LOC5572443|XP_021695330.1|AAEG, LOC110675186|XP_021695285.1|AAEG, LOC5572571|XP_021713040.1|AAEG, LOC5569499|XP_021695253.1|AAEG
OG0001894	LOC108113285|XP_017079324.1|DEUG	LOC5572582|XP_001654091.1|AAEG
OG0001895	LOC108102317|XP_017062579.1|DEUG	LOC23687627|XP_021713176.1|AAEG
OG0001896	LOC108104198|XP_017065631.1|DEUG	LOC110680784|XP_021712262.1|AAEG, LOC5569234|XP_021713263.1|AAEG
OG0001897	LOC108108388|XP_017071925.1|DEUG	LOC5579206|XP_021713312.1|AAEG
OG0001898	LOC108110063|XP_017074432.1|DEUG	LOC5580016|XP_001653897.2|AAEG
OG0001899	LOC108117222|XP_017085038.1|DEUG	LOC5580177|XP_001655592.2|AAEG, LOC5580175|XP_021713419.1|AAEG
OG0001900	LOC108108784|XP_017072446.1|DEUG	LOC5568029|XP_001657830.1|AAEG, LOC5563727|XP_001648015.1|AAEG
OG0001901	LOC108106977|XP_017069786.1|DEUG	LOC5563615|XP_021693058.1|AAEG
OG0001903	LOC108115008|XP_017081739.1|DEUG	LOC5573314|XP_021693438.1|AAEG
OG0001904	LOC108115993|XP_017083152.1|DEUG	LOC5573316|XP_021693443.1|AAEG
OG0001905	LOC108111840|XP_017076933.1|DEUG	LOC5569643|XP_001658667.1|AAEG
OG0001906	LOC108110200|XP_017074655.1|DEUG	LOC5576390|XP_021693504.1|AAEG
OG0001907	LOC108103019|XP_017063833.1|DEUG	LOC110674160|XP_021693697.1|AAEG, LOC5566429|XP_021695258.1|AAEG
OG0001908	LOC108115848|XP_017082951.1|DEUG	LOC5564006|XP_001648330.1|AAEG
OG0001909	LOC108118077|XP_017086109.1|DEUG	LOC5569687|XP_021693811.1|AAEG
OG0001910	LOC108108382|XP_017071919.1|DEUG	LOC5565945|XP_001650321.1|AAEG, LOC5565940|XP_001650319.2|AAEG
OG0001911	LOC108111492|XP_017076468.1|DEUG	LOC110674205|XP_021693943.1|AAEG
OG0001912	LOC108106278|XP_017068733.1|DEUG	LOC110674342|XP_021694330.1|AAEG, LOC5576146|XP_021694069.1|AAEG
OG0001913	LOC108111098|XP_017075927.1|DEUG	LOC110674222|XP_021694070.1|AAEG, LOC5576149|XP_001662497.2|AAEG
OG0001914	LOC108116584|XP_017084014.1|DEUG	LOC5565160|XP_021694133.1|AAEG
OG0001915	LOC108103590|XP_017064604.1|DEUG	LOC5566122|XP_021695354.1|AAEG
OG0001916	LOC108112007|XP_017077233.1|DEUG	LOC5570941|XP_001653408.1|AAEG
OG0001917	LOC108109833|XP_017074066.1|DEUG	LOC5579868|XP_021695539.1|AAEG
OG0001918	LOC108108072|XP_017071441.1|DEUG	LOC5575750|XP_001662178.1|AAEG
OG0001919	LOC108112862|XP_017078677.1|DEUG	LOC5579460|XP_001647758.2|AAEG
OG0001920	LOC108104660|XP_017066335.1|DEUG	LOC5571764|XP_021695753.1|AAEG
OG0001921	LOC108114907|XP_017081572.1|DEUG	LOC5571757|XP_001659890.2|AAEG
OG0001922	LOC108113061|XP_017078986.1|DEUG	LOC5571267|XP_001653565.1|AAEG
OG0001924	LOC108118164|XP_017086214.1|DEUG	LOC23687479|XP_021696447.1|AAEG
OG0001925	LOC108108007|XP_017071351.1|DEUG	LOC5567637|XP_001657588.2|AAEG
OG0001926	LOC108109873|XP_017074155.1|DEUG	LOC5566295|XP_021696526.1|AAEG
OG0001927	LOC108106665|XP_017069382.1|DEUG	LOC5568108|XP_021696643.1|AAEG
OG0001928	LOC108114354|XP_017080783.1|DEUG	LOC5568114|XP_001652053.1|AAEG
OG0001929	LOC108113975|XP_017080182.1|DEUG	LOC5568122|XP_021696657.1|AAEG
OG0001930	LOC108112707|XP_017078417.1|DEUG	LOC5569448|XP_021696661.1|AAEG
OG0001932	LOC108114341|XP_017080761.1|DEUG	LOC5574425|XP_021696832.1|AAEG
OG0001933	LOC108112682|XP_017078363.1|DEUG	LOC5566235|XP_001650598.2|AAEG
OG0001934	LOC108114703|XP_017081290.1|DEUG	LOC5565654|XP_001650004.2|AAEG
OG0001935	LOC108114438|XP_017080918.1|DEUG	LOC5573776|XP_001654802.2|AAEG
OG0001937	LOC108106593|XP_017069269.1|DEUG	LOC5574901|XP_021697034.1|AAEG
OG0001938	LOC108106426|XP_017068944.1|DEUG	LOC5567330|XP_021697068.1|AAEG
OG0001939	LOC108108923|XP_017072664.1|DEUG	LOC5571823|XP_001659955.1|AAEG, LOC5571824|XP_001659956.1|AAEG
OG0001940	LOC108112508|XP_017077884.1|DEUG	LOC5578975|XP_021697211.1|AAEG
OG0001941	LOC108104687|XP_017066382.1|DEUG	LOC5577574|XP_001663445.2|AAEG
OG0001942	LOC108112289|XP_017077599.1|DEUG	LOC5565244|XP_021697467.1|AAEG, LOC5574904|XP_001661710.2|AAEG
OG0001943	LOC108113950|XP_017080151.1|DEUG	LOC110675827|XP_021697395.1|AAEG
OG0001944	LOC108104699|XP_017066401.1|DEUG	LOC5565994|XP_001650362.2|AAEG
OG0001945	LOC108112804|XP_017078582.1|DEUG	LOC5575250|XP_021697553.1|AAEG
OG0001946	LOC108113033|XP_017078952.1|DEUG	LOC5572759|XP_001660580.2|AAEG
OG0001947	LOC108112314|XP_017077630.1|DEUG	LOC110675915|XP_021697633.1|AAEG, LOC5572761|XP_021712888.1|AAEG
OG0001948	LOC108109950|XP_017074252.1|DEUG	LOC5573420|XP_001654595.2|AAEG
OG0001949	LOC108114169|XP_017080452.1|DEUG	LOC5575138|XP_021697912.1|AAEG
OG0001950	LOC108115291|XP_017082161.1|DEUG	LOC5564815|XP_021697926.1|AAEG
OG0001951	LOC108112482|XP_017077833.1|DEUG	LOC5564736|XP_021698057.1|AAEG
OG0001952	LOC108111700|XP_017076738.1|DEUG, LOC108109718|XP_017073839.1|DEUG	LOC5568132|XP_021698130.1|AAEG
OG0001953	LOC108113258|XP_017079297.1|DEUG	LOC5571480|XP_021698235.1|AAEG
OG0001954	LOC108104802|XP_017066572.1|DEUG	LOC5563832|XP_021698302.1|AAEG
OG0001955	LOC108112170|XP_017077436.1|DEUG	LOC5576039|XP_001662377.1|AAEG
OG0001956	LOC108109799|XP_017073997.1|DEUG	LOC5576036|XP_021698320.1|AAEG
OG0001957	LOC108109076|XP_017072924.1|DEUG	LOC5564212|XP_001648594.1|AAEG
OG0001958	LOC108112877|XP_017078703.1|DEUG	LOC5569618|XP_021698469.1|AAEG
OG0001959	LOC108114023|XP_017080259.1|DEUG	LOC5577966|XP_021698584.1|AAEG, LOC5575279|XP_021704623.1|AAEG
OG0001960	LOC108102790|XP_017063447.1|DEUG	LOC5576957|XP_021698653.1|AAEG
OG0001961	LOC108107433|XP_017070450.1|DEUG	LOC5572304|XP_021698709.1|AAEG
OG0001962	LOC108113284|XP_017079323.1|DEUG	LOC5572270|XP_021698749.1|AAEG
OG0001963	LOC108114604|XP_017081154.1|DEUG	LOC5574335|XP_001661369.2|AAEG
