Orthogroup	DEUG.longest_only	AEAL.longest_only
OG0002249	LOC108109911|XP_017074208.1|DEUG	LOC109414720|XP_019544101.1|AEAL, LOC115265296|XP_029725649.1|AEAL, LOC109427302|XP_029725650.1|AEAL
OG0002250	LOC108108901|XP_017072614.1|DEUG	LOC115267292|XP_029730066.1|AEAL, LOC109410520|XP_029725554.1|AEAL
OG0002251	LOC108109274|XP_017073254.1|DEUG	LOC109426672|XP_019557749.1|AEAL, LOC115265276|XP_029725587.1|AEAL, LOC115264036|XP_029723201.1|AEAL
OG0002252	LOC108109205|XP_017073136.1|DEUG	LOC109426637|XP_019557710.2|AEAL, LOC109417608|XP_029727509.1|AEAL
OG0002253	LOC108107461|XP_017070496.1|DEUG	LOC109417779|XP_029725534.1|AEAL, LOC109426682|XP_029725544.1|AEAL
OG0002254	LOC108117462|XP_017085373.1|DEUG	LOC109417615|XP_029725485.1|AEAL
OG0002255	LOC108103759|XP_017064866.1|DEUG	LOC109417839|XP_019547558.2|AEAL
OG0002256	LOC108112585|XP_017078113.1|DEUG	LOC109417951|XP_029727476.1|AEAL, LOC115257221|XP_029712523.1|AEAL, LOC109426839|XP_029725396.1|AEAL
OG0002257	LOC108106420|XP_017068938.1|DEUG	LOC109417975|XP_029728213.1|AEAL, LOC109426855|XP_029732512.1|AEAL
OG0002258	LOC108114104|XP_017080352.1|DEUG	LOC109417992|XP_029732384.1|AEAL, LOC109621930|XP_019931682.2|AEAL
OG0002259	LOC108115198|XP_017082008.1|DEUG	LOC109417936|XP_029732491.1|AEAL, LOC109417994|XP_029732393.1|AEAL, LOC109621924|XP_029732386.1|AEAL
OG0002260	LOC108107974|XP_017071307.1|DEUG	LOC115268514|XP_029732466.1|AEAL, LOC109406026|XP_029732398.1|AEAL, LOC109418001|XP_029732394.1|AEAL
OG0002261	LOC108108675|XP_017072268.1|DEUG	LOC109403655|XP_029735114.1|AEAL, LOC109403654|XP_019532014.1|AEAL
OG0002263	LOC108114539|XP_017081071.1|DEUG	LOC109407927|XP_019536667.1|AEAL, LOC109413862|XP_029732340.1|AEAL
OG0002264	LOC108107366|XP_017070359.1|DEUG	LOC109405140|XP_019533693.2|AEAL
OG0002265	LOC108113991|XP_017080223.1|DEUG	LOC109410793|XP_019539874.2|AEAL
OG0002266	LOC108107614|XP_017070673.1|DEUG	LOC109404951|XP_029735001.1|AEAL, LOC109400616|XP_029735015.1|AEAL, LOC115270126|XP_029735070.1|AEAL, LOC115270128|XP_029735075.1|AEAL
OG0002267	LOC108108322|XP_017071839.1|DEUG	LOC109400684|XP_019528725.2|AEAL, LOC115270088|XP_029734914.1|AEAL, LOC115254247|XP_029734929.1|AEAL
OG0002268	LOC108114546|XP_017081080.1|DEUG	LOC115270092|XP_029734916.1|AEAL, LOC109400649|XP_029734931.1|AEAL, LOC109404580|XP_019533021.2|AEAL
OG0002269	LOC108112777|XP_017078539.1|DEUG	LOC115269977|XP_029734705.1|AEAL, LOC115265078|XP_029725149.1|AEAL
OG0002270	LOC108112999|XP_017078899.1|DEUG	LOC109430547|XP_029716894.1|AEAL
OG0002271	LOC108108347|XP_017071877.1|DEUG	LOC109415881|XP_019932697.2|AEAL, LOC109622621|XP_029712527.1|AEAL
OG0002272	LOC108102805|XP_017063473.1|DEUG	LOC109416729|XP_019546327.1|AEAL, LOC115254100|XP_029721898.1|AEAL, LOC115263107|XP_029721881.1|AEAL
OG0002273	LOC108118204|XP_017086252.1|DEUG	LOC115263250|XP_029722167.1|AEAL, LOC109407385|XP_029722197.1|AEAL, LOC109415948|XP_029722154.1|AEAL
OG0002274	LOC108108708|XP_017072306.1|DEUG	LOC109419413|XP_029722137.1|AEAL, LOC109407441|XP_029722088.1|AEAL, LOC115263249|XP_029722161.1|AEAL, LOC115263368|XP_029722526.1|AEAL
OG0002275	LOC108114632|XP_017081187.1|DEUG	LOC109424157|XP_029722011.1|AEAL, LOC109430833|XP_029722024.1|AEAL
OG0002276	LOC108102789|XP_017063439.1|DEUG	LOC109430907|XP_019562550.2|AEAL, LOC115263178|XP_029721969.1|AEAL, LOC115263184|XP_029721980.1|AEAL, LOC115263171|XP_029721961.1|AEAL
OG0002277	LOC108102863|XP_017063554.1|DEUG	LOC109431677|XP_019563481.1|AEAL
OG0002278	LOC108107518|XP_017070548.1|DEUG	LOC109397949|XP_029719548.1|AEAL, LOC109431607|XP_029730328.1|AEAL, LOC115261799|XP_029719545.1|AEAL, LOC115267489|XP_029730366.1|AEAL
OG0002279	LOC108117372|XP_017085247.1|DEUG	LOC115267504|XP_029730441.1|AEAL, LOC109398044|XP_029730350.1|AEAL, LOC109431683|XP_029730337.1|AEAL
OG0002280	LOC108114186|XP_017080484.1|DEUG	LOC109431655|XP_029730342.1|AEAL
OG0002281	LOC108114463|XP_017080957.1|DEUG	LOC115267621|XP_029730624.1|AEAL, LOC109431688|XP_019563499.2|AEAL, LOC115267609|XP_029730598.1|AEAL
OG0002282	LOC108108032|XP_017071393.1|DEUG	LOC109398065|XP_019525973.2|AEAL
OG0002283	LOC108109188|XP_017073111.1|DEUG	LOC109399443|XP_029730631.1|AEAL, LOC109398118|XP_029730550.1|AEAL
OG0002284	LOC108109068|XP_017072901.1|DEUG	LOC115267575|XP_029730512.1|AEAL, LOC109398015|XP_019525900.1|AEAL
OG0002285	LOC108103286|XP_017064186.1|DEUG	LOC115270392|XP_029735812.1|AEAL, LOC109403077|XP_019531359.2|AEAL, LOC115259999|XP_029716697.1|AEAL
OG0002286	LOC108113194|XP_017079210.1|DEUG	LOC115254000|XP_029713825.1|AEAL, LOC109412526|XP_019541694.2|AEAL
OG0002287	LOC108113123|XP_017079115.1|DEUG	LOC109411069|XP_029736017.1|AEAL, LOC109420856|XP_029735935.1|AEAL
OG0002288	LOC108108303|XP_017071806.1|DEUG	LOC109420858|XP_019550876.2|AEAL, LOC109411068|XP_029736012.1|AEAL
OG0002289	LOC108109822|XP_017074047.1|DEUG	LOC109401025|XP_029735943.1|AEAL, LOC109420869|XP_019550899.2|AEAL
OG0002290	LOC108113415|XP_017079457.1|DEUG	LOC109430645|XP_019562284.2|AEAL, LOC109423806|XP_019554383.1|AEAL
OG0002291	LOC108112619|XP_017078200.1|DEUG	LOC109423813|XP_029735409.1|AEAL, LOC109430616|XP_029735435.1|AEAL
OG0002292	LOC108113072|XP_017079001.1|DEUG	LOC115270289|XP_029735482.1|AEAL, LOC109430619|XP_029735511.1|AEAL
OG0002293	LOC108118498|XP_017086722.1|DEUG, LOC108117562|XP_017085559.1|DEUG	LOC109423753|XP_019554301.2|AEAL, LOC109414259|XP_019543618.2|AEAL
OG0002294	LOC108109421|XP_017073408.1|DEUG	LOC109423740|XP_019554279.2|AEAL, LOC109414246|XP_019543602.2|AEAL
OG0002295	LOC108106973|XP_017069778.1|DEUG	LOC109403746|XP_029709909.1|AEAL
OG0002297	LOC108105609|XP_017067775.1|DEUG	LOC109414457|XP_019543832.1|AEAL, LOC115266329|XP_029728280.1|AEAL, LOC109622265|XP_029728161.1|AEAL
OG0002298	LOC108107345|XP_017070332.1|DEUG	LOC109414431|XP_029732967.1|AEAL, LOC115266339|XP_029728304.1|AEAL
OG0002299	LOC108106651|XP_017069356.1|DEUG	LOC109414429|XP_019543790.1|AEAL, LOC109622536|XP_029732969.1|AEAL
OG0002300	LOC108103376|XP_017064311.1|DEUG	LOC109428278|XP_029728476.1|AEAL, LOC109397796|XP_029728316.1|AEAL, LOC115263960|XP_029723122.1|AEAL, LOC115266385|XP_029728473.1|AEAL, LOC115266381|XP_029728472.1|AEAL
OG0002301	LOC108114863|XP_017081504.1|DEUG	LOC115258271|XP_029714204.1|AEAL, LOC109427908|XP_029728376.1|AEAL, LOC109428225|XP_029714343.1|AEAL, LOC115258317|XP_029714262.1|AEAL
OG0002302	LOC108114826|XP_017081447.1|DEUG	LOC115254026|XP_029715311.1|AEAL, LOC115259146|XP_029715524.1|AEAL, LOC109427864|XP_029715428.1|AEAL
OG0002303	LOC108103290|XP_017064192.1|DEUG	LOC109406191|XP_029730920.1|AEAL, LOC109400867|XP_019528896.1|AEAL
OG0002304	LOC108105844|XP_017068094.1|DEUG	LOC115258551|XP_029714572.1|AEAL, LOC109622896|XP_029714419.1|AEAL, LOC115258243|XP_029714175.1|AEAL
OG0002305	LOC108114625|XP_017081181.1|DEUG	LOC109622876|XP_019932887.2|AEAL, LOC115258013|XP_029713870.1|AEAL
OG0002306	LOC108106176|XP_017068586.1|DEUG	LOC115257984|XP_029713826.1|AEAL, LOC115258034|XP_029713888.1|AEAL, LOC109622864|XP_019932872.2|AEAL
OG0002307	LOC108111738|XP_017076784.1|DEUG	LOC115255964|XP_029710054.1|AEAL, LOC109400958|XP_029712853.1|AEAL, LOC115257432|XP_029712874.1|AEAL, LOC109401076|XP_029713061.1|AEAL
OG0002308	LOC108110916|XP_017075675.1|DEUG	LOC109401379|XP_029711758.1|AEAL, LOC109432898|XP_029711973.1|AEAL
OG0002309	LOC108102589|XP_017063180.1|DEUG	LOC115261809|XP_029719553.1|AEAL, LOC109433039|XP_019564964.1|AEAL
OG0002310	LOC108115511|XP_017082495.1|DEUG	LOC109420544|XP_029710543.1|AEAL, LOC109621254|XP_029710641.1|AEAL
OG0002311	LOC108114807|XP_017081409.1|DEUG	LOC109425214|XP_029724846.1|AEAL
OG0002313	LOC108106659|XP_017069369.1|DEUG	LOC115253565|XP_029734367.1|AEAL, LOC109425089|XP_029725015.1|AEAL
OG0002314	LOC108104454|XP_017066007.1|DEUG	LOC115258458|XP_029714418.1|AEAL, LOC109429411|XP_019560907.2|AEAL
OG0002315	LOC108106805|XP_017069539.1|DEUG	LOC109419028|XP_019548792.1|AEAL
OG0002316	LOC108111837|XP_017076934.1|DEUG	LOC109425118|XP_019555857.2|AEAL, LOC115266964|XP_029729542.1|AEAL, LOC109429382|XP_019560837.2|AEAL
OG0002317	LOC108104281|XP_017065732.1|DEUG	LOC109413695|XP_029729448.1|AEAL
OG0002318	LOC108105690|XP_017067889.1|DEUG	LOC109419065|XP_029729417.1|AEAL, LOC109408111|XP_029729382.1|AEAL
OG0002319	LOC108111195|XP_017076079.1|DEUG	LOC109419070|XP_019548826.2|AEAL
OG0002320	LOC108109078|XP_017072929.1|DEUG	LOC109419100|XP_019548865.2|AEAL, LOC115262905|XP_029721655.1|AEAL, LOC109409325|XP_019538319.2|AEAL
OG0002321	LOC108106785|XP_017069518.1|DEUG	LOC115258589|XP_029714704.1|AEAL, LOC109409318|XP_029714773.1|AEAL, LOC109419106|XP_029721666.1|AEAL
OG0002322	LOC108103415|XP_017064362.1|DEUG	LOC115258593|XP_029714708.1|AEAL, LOC109409301|XP_029718139.1|AEAL, LOC115258648|XP_029714815.1|AEAL
OG0002323	LOC108115532|XP_017082524.1|DEUG	LOC109622810|XP_019932811.2|AEAL, LOC115258600|XP_029714742.1|AEAL, LOC109397528|XP_019525373.2|AEAL
OG0002324	LOC108108795|XP_017072460.1|DEUG	LOC109398624|XP_029715039.1|AEAL
OG0002325	LOC108114148|XP_017080422.1|DEUG	LOC109398702|XP_029715228.1|AEAL, LOC115258909|XP_029715231.1|AEAL, LOC109404843|XP_029715250.1|AEAL
OG0002326	LOC108114152|XP_017080431.1|DEUG	LOC115258651|XP_029714818.1|AEAL, LOC115258916|XP_029715253.1|AEAL, LOC109404860|XP_029725189.1|AEAL
OG0002327	LOC108116370|XP_017083696.1|DEUG, LOC108116372|XP_017083701.1|DEUG	LOC109398703|XP_029715053.1|AEAL, LOC109404878|XP_029725171.1|AEAL
OG0002328	LOC108114876|XP_017081521.1|DEUG	LOC109398714|XP_029708249.1|AEAL, LOC109406928|XP_029723176.1|AEAL
OG0002329	LOC108102680|XP_017063310.1|DEUG	LOC109407009|XP_029714678.1|AEAL
OG0002330	LOC108102682|XP_017063312.1|DEUG	LOC109398728|XP_019526668.1|AEAL
OG0002331	LOC108106048|XP_017068391.1|DEUG	LOC109407202|XP_019535727.2|AEAL, LOC109405876|XP_019534481.2|AEAL
OG0002332	LOC108108173|XP_017071604.1|DEUG	LOC115258606|XP_029714748.1|AEAL, LOC109407255|XP_019535807.2|AEAL
OG0002333	LOC108107334|XP_017070309.1|DEUG	LOC115253426|XP_029720647.1|AEAL, LOC109420918|XP_019550936.2|AEAL, LOC109412675|XP_019541850.1|AEAL
OG0002334	LOC108102504|XP_017063017.1|DEUG	LOC109420994|XP_019551015.2|AEAL
OG0002335	LOC108104594|XP_017066246.1|DEUG	LOC109420949|XP_029724682.1|AEAL, LOC115254014|XP_029714634.1|AEAL, LOC109428960|XP_019560353.2|AEAL
OG0002336	LOC108108515|XP_017072073.1|DEUG	LOC115267405|XP_029730246.1|AEAL, LOC115258521|XP_029714506.1|AEAL, LOC109405699|XP_029714581.1|AEAL
OG0002337	LOC108104793|XP_017066546.1|DEUG	LOC115263025|XP_029721815.1|AEAL, LOC109410219|XP_029729289.1|AEAL
OG0002338	LOC108107142|XP_017070035.1|DEUG	LOC115256185|XP_029710304.1|AEAL, LOC109410233|XP_029729145.1|AEAL, LOC109410232|XP_029729298.1|AEAL
OG0002339	LOC108110999|XP_017075797.1|DEUG	LOC109622776|XP_029709355.1|AEAL, LOC109417651|XP_029709343.1|AEAL
OG0002340	LOC108104088|XP_017065472.1|DEUG	LOC109417661|XP_029709354.1|AEAL, LOC115255403|XP_029709332.1|AEAL, LOC109622154|XP_029728045.1|AEAL
OG0002341	LOC108104870|XP_017066685.1|DEUG	LOC109417669|XP_019547265.2|AEAL, LOC115255400|XP_029709328.1|AEAL
OG0002342	LOC108102567|XP_017063135.1|DEUG	LOC109417673|XP_029709304.1|AEAL, LOC115255391|XP_029709313.1|AEAL
OG0002343	LOC108102598|XP_017063191.1|DEUG	LOC109417704|XP_029709215.1|AEAL, LOC115255506|XP_029709496.1|AEAL, LOC109418207|XP_029709489.1|AEAL, LOC115255343|XP_029709221.1|AEAL, LOC115255505|XP_029709495.1|AEAL
OG0002344	LOC108104240|XP_017065679.1|DEUG, LOC108103094|XP_017063940.1|DEUG	LOC109417712|XP_029709187.1|AEAL
OG0002345	LOC108112623|XP_017078214.1|DEUG	LOC115255294|XP_029709138.1|AEAL, LOC109417751|XP_029709133.1|AEAL
OG0002346	LOC108106979|XP_017069800.1|DEUG	LOC109420014|XP_019549856.2|AEAL, LOC109417754|XP_029709093.1|AEAL, LOC115253845|XP_029709132.1|AEAL
OG0002347	LOC108106718|XP_017069440.1|DEUG	LOC109420002|XP_019549835.2|AEAL, LOC109417770|XP_019547457.2|AEAL
OG0002348	LOC108106166|XP_017068566.1|DEUG	LOC109407168|XP_029709020.1|AEAL, LOC109417512|XP_029709029.1|AEAL
OG0002349	LOC108112628|XP_017078223.1|DEUG	LOC109419955|XP_019549788.2|AEAL
OG0002350	LOC108112621|XP_017078212.1|DEUG	LOC109417569|XP_019547188.2|AEAL
OG0002351	LOC108106782|XP_017069513.1|DEUG	LOC109420605|XP_029708854.1|AEAL, LOC115255123|XP_029708849.1|AEAL, LOC109420718|XP_029708850.1|AEAL, LOC109419838|XP_029709440.1|AEAL
OG0002352	LOC108112965|XP_017078855.1|DEUG	LOC115253937|XP_029708842.1|AEAL, LOC109419875|XP_029708857.1|AEAL, LOC109420559|XP_029736336.1|AEAL
OG0002353	LOC108112067|XP_017077302.1|DEUG	LOC109417181|XP_019546847.2|AEAL
OG0002354	LOC108110981|XP_017075777.1|DEUG	LOC109419734|XP_019549552.2|AEAL, LOC115255547|XP_029709529.1|AEAL
OG0002355	LOC108118125|XP_017086161.1|DEUG	LOC109427703|XP_019558838.1|AEAL, LOC115268764|XP_029732785.1|AEAL
OG0002356	LOC108118473|XP_017086686.1|DEUG	LOC109427854|XP_019558977.2|AEAL
OG0002358	LOC108110921|XP_017075685.1|DEUG, LOC108117816|XP_017085855.1|DEUG	LOC109433584|XP_029729226.1|AEAL, LOC109430123|XP_019561697.1|AEAL
OG0002359	LOC108118298|XP_017086399.1|DEUG	LOC109433559|XP_019565545.2|AEAL, LOC109430137|XP_019561715.2|AEAL
OG0002360	LOC108115466|XP_017082409.1|DEUG	LOC109430174|XP_019561771.2|AEAL
OG0002361	LOC108107565|XP_017070612.1|DEUG	LOC115265866|XP_029727671.1|AEAL, LOC109432762|XP_029727673.1|AEAL, LOC115265873|XP_029727676.1|AEAL
OG0002362	LOC108118328|XP_017086436.1|DEUG	LOC109404817|XP_029727261.1|AEAL, LOC109423925|XP_029727301.1|AEAL
OG0002363	LOC108107148|XP_017070040.1|DEUG	LOC109404794|XP_019533288.2|AEAL, LOC109423879|XP_019554478.2|AEAL
OG0002364	LOC108106960|XP_017069730.1|DEUG	LOC109404783|XP_029727265.1|AEAL, LOC109423877|XP_029727225.1|AEAL
OG0002365	LOC108107085|XP_017069951.1|DEUG	LOC109423876|XP_019554464.1|AEAL, LOC115265602|XP_029727205.1|AEAL, LOC115265603|XP_029727206.1|AEAL
OG0002366	LOC108102597|XP_017063189.1|DEUG	LOC115265578|XP_029727093.1|AEAL, LOC109409135|XP_019538094.2|AEAL
OG0002367	LOC108110789|XP_017075498.1|DEUG	LOC109432550|XP_029727013.1|AEAL, LOC109421441|XP_019551474.2|AEAL
OG0002368	LOC108113463|XP_017079532.1|DEUG	LOC109421419|XP_029727044.1|AEAL, LOC109432534|XP_019564409.2|AEAL
OG0002369	LOC108114949|XP_017081624.1|DEUG	LOC109421325|XP_029726939.1|AEAL, LOC109427814|XP_029727058.1|AEAL
OG0002370	LOC108105743|XP_017067948.1|DEUG	LOC109622939|XP_029710382.1|AEAL, LOC115265551|XP_029727003.1|AEAL
OG0002371	LOC108105832|XP_017068068.1|DEUG	LOC115256246|XP_029710372.1|AEAL, LOC115264550|XP_029724208.1|AEAL
OG0002372	LOC108110766|XP_017075470.1|DEUG	LOC115262175|XP_029720315.1|AEAL, LOC109411674|XP_029720264.1|AEAL
OG0002373	LOC108118448|XP_017086645.1|DEUG	LOC109423381|XP_019553916.1|AEAL, LOC109411733|XP_019540867.1|AEAL
OG0002374	LOC108113816|XP_017080014.1|DEUG	LOC109411739|XP_019540885.2|AEAL
OG0002375	LOC108115146|XP_017081934.1|DEUG	LOC115268060|XP_029731845.1|AEAL, LOC109425998|XP_019556969.2|AEAL
OG0002376	LOC108106976|XP_017069784.1|DEUG	LOC109426368|XP_029712496.1|AEAL, LOC115253927|XP_029707873.1|AEAL
OG0002377	LOC108115305|XP_017082192.1|DEUG	LOC109426328|XP_019557329.2|AEAL, LOC109406728|XP_029707824.1|AEAL, LOC115268887|XP_029732937.1|AEAL
OG0002378	LOC108114501|XP_017081010.1|DEUG	LOC115258089|XP_029713964.1|AEAL, LOC109421689|XP_029707778.1|AEAL
OG0002379	LOC108118068|XP_017086137.1|DEUG	LOC109425452|XP_029707809.1|AEAL, LOC109421727|XP_019551799.2|AEAL
OG0002380	LOC108103249|XP_017064140.1|DEUG	LOC109428058|XP_019559272.1|AEAL
OG0002381	LOC108106791|XP_017069525.1|DEUG	LOC109418291|XP_019548000.1|AEAL, LOC109428069|XP_019559289.1|AEAL
OG0002382	LOC108118080|XP_017086113.1|DEUG	LOC109428085|XP_029719956.1|AEAL, LOC109418308|XP_029720239.1|AEAL
OG0002383	LOC108113928|XP_017080127.1|DEUG	LOC115262160|XP_029720221.1|AEAL, LOC109418310|XP_029719966.1|AEAL, LOC109428086|XP_029733164.1|AEAL
OG0002384	LOC108103633|XP_017064667.1|DEUG	LOC109418403|XP_029721478.1|AEAL, LOC115253626|XP_029721792.1|AEAL
OG0002386	LOC108108662|XP_017072259.1|DEUG, LOC108117101|XP_017084801.1|DEUG	LOC109418457|XP_029722276.1|AEAL, LOC109426187|XP_029722404.1|AEAL
OG0002387	LOC108108833|XP_017072525.1|DEUG, LOC108115582|XP_017082582.1|DEUG	LOC115264942|XP_029724974.1|AEAL, LOC115265121|XP_029725218.1|AEAL, LOC109401449|XP_029725016.1|AEAL
OG0002388	LOC108105604|XP_017067768.1|DEUG	LOC109401480|XP_029725758.1|AEAL, LOC109410452|XP_029710426.1|AEAL
OG0002389	LOC108108842|XP_017072540.1|DEUG	LOC109405848|XP_019534454.1|AEAL
OG0002390	LOC108111097|XP_017075926.1|DEUG	LOC115261854|XP_029719634.1|AEAL, LOC109427059|XP_019558157.2|AEAL, LOC115265558|XP_029727010.1|AEAL
OG0002391	LOC108112971|XP_017078862.1|DEUG	LOC109412676|XP_029724256.1|AEAL, LOC109416234|XP_029727083.1|AEAL
OG0002392	LOC108108157|XP_017071579.1|DEUG	LOC109425047|XP_019555801.2|AEAL, LOC115260173|XP_029716943.1|AEAL, LOC109415684|XP_029727734.1|AEAL
OG0002393	LOC108114612|XP_017081162.1|DEUG	LOC109400194|XP_029728105.1|AEAL, LOC109427121|XP_019558233.2|AEAL
OG0002394	LOC108113651|XP_017079811.1|DEUG, LOC108116536|XP_017083963.1|DEUG	LOC109400185|XP_019528200.2|AEAL, LOC109427099|XP_029728199.1|AEAL
OG0002395	LOC108116344|XP_017083647.1|DEUG	LOC109399785|XP_029736337.1|AEAL
OG0002396	LOC108112825|XP_017078617.1|DEUG	LOC109410898|XP_029715336.1|AEAL
OG0002397	LOC108107013|XP_017069847.1|DEUG, LOC108105575|XP_017067704.1|DEUG	LOC109415339|XP_019544771.1|AEAL, LOC109423677|XP_019554220.1|AEAL
OG0002398	LOC108103161|XP_017064032.1|DEUG	LOC109425601|XP_019556392.2|AEAL
OG0002399	LOC108110368|XP_017074910.1|DEUG	LOC115267640|XP_029730644.1|AEAL, LOC109411809|XP_029729954.1|AEAL
OG0002400	LOC108113363|XP_017079418.1|DEUG	LOC109411141|XP_029730623.1|AEAL, LOC109410907|XP_029729981.1|AEAL
OG0002401	LOC108108760|XP_017072417.1|DEUG	LOC109400885|XP_029730870.1|AEAL, LOC109415489|XP_019544917.2|AEAL
OG0002402	LOC108116458|XP_017083876.1|DEUG, LOC108116457|XP_017083875.1|DEUG	LOC115253790|XP_029732418.1|AEAL, LOC115268477|XP_029732351.1|AEAL, LOC109409579|XP_029732261.1|AEAL
OG0002403	LOC108116518|XP_017083945.1|DEUG	LOC109409580|XP_029729178.1|AEAL, LOC115268451|XP_029732267.1|AEAL, LOC115268504|XP_029732438.1|AEAL, LOC109430479|XP_029732348.1|AEAL
OG0002404	LOC108114754|XP_017081353.1|DEUG, LOC108112065|XP_017077299.1|DEUG	LOC115268711|XP_029732679.1|AEAL, LOC115261450|XP_029718981.1|AEAL
OG0002405	LOC108115363|XP_017082279.1|DEUG	LOC115268976|XP_029733115.1|AEAL, LOC109433389|XP_029733114.1|AEAL, LOC109399318|XP_029733054.1|AEAL, LOC115253555|XP_029732899.1|AEAL
OG0002406	LOC108114557|XP_017081092.1|DEUG	LOC115268809|XP_029732843.1|AEAL, LOC109433361|XP_019565330.2|AEAL, LOC109399344|XP_029716623.1|AEAL
OG0002407	LOC108109382|XP_017073364.1|DEUG	LOC109621306|XP_029734277.1|AEAL, LOC109405048|XP_019533582.2|AEAL
OG0002408	LOC108115339|XP_017082243.1|DEUG	LOC109430359|XP_029733786.1|AEAL, LOC109430358|XP_029733780.1|AEAL
OG0002409	LOC108105953|XP_017068243.1|DEUG	LOC109622392|XP_029717047.1|AEAL, LOC109406682|XP_029714426.1|AEAL
OG0002410	LOC108117168|XP_017084935.1|DEUG	LOC115271061|XP_029736358.1|AEAL, LOC115271075|XP_029736373.1|AEAL, LOC109423984|XP_029707561.1|AEAL
OG0002411	LOC108108339|XP_017071860.1|DEUG	LOC109424033|XP_019554634.1|AEAL
OG0002412	LOC108112959|XP_017078851.1|DEUG	LOC109424031|XP_019554630.2|AEAL
OG0002413	LOC108109758|XP_017073920.1|DEUG	LOC109416411|XP_019546021.2|AEAL, LOC109424016|XP_019554616.1|AEAL
OG0002414	LOC108102841|XP_017063523.1|DEUG	LOC109426727|XP_029727791.1|AEAL, LOC115253562|XP_029727767.1|AEAL, LOC109416406|XP_029727752.1|AEAL
OG0002415	LOC108111776|XP_017076832.1|DEUG	LOC109404407|XP_029727780.1|AEAL, LOC109431916|XP_029727815.1|AEAL
OG0002416	LOC108102323|XP_017062597.1|DEUG	LOC109427191|XP_019558248.1|AEAL, LOC115261166|XP_029718383.1|AEAL, LOC115269128|XP_029733396.1|AEAL, LOC115266171|XP_029727999.1|AEAL
OG0002417	LOC108104187|XP_017065616.1|DEUG	LOC109422611|XP_019552963.2|AEAL
OG0002418	LOC108112806|XP_017078628.1|DEUG	LOC109402803|XP_029712262.1|AEAL, LOC109422593|XP_019552942.2|AEAL
OG0002419	LOC108103545|XP_017064562.1|DEUG	LOC109406137|XP_019534740.2|AEAL
OG0002420	LOC108108189|XP_017071626.1|DEUG	LOC115255981|XP_029710060.1|AEAL, LOC109401781|XP_019529940.1|AEAL
OG0002421	LOC108116549|XP_017083976.1|DEUG	LOC109403301|XP_029718355.1|AEAL, LOC109433402|XP_019565378.2|AEAL
OG0002422	LOC108115137|XP_017081920.1|DEUG	LOC109403279|XP_029718646.1|AEAL, LOC109415066|XP_029718641.1|AEAL
OG0002423	LOC108114554|XP_017081090.1|DEUG	LOC109429232|XP_029716815.1|AEAL, LOC109398795|XP_019526745.1|AEAL
OG0002424	LOC108108936|XP_017072682.1|DEUG	LOC109429186|XP_019560614.1|AEAL, LOC109398833|XP_019526811.1|AEAL
OG0002425	LOC108110071|XP_017074442.1|DEUG	LOC115261381|XP_029718815.1|AEAL, LOC109398799|XP_019526754.2|AEAL
OG0002426	LOC108104672|XP_017066353.1|DEUG	LOC115261414|XP_029718899.1|AEAL, LOC109411624|XP_029717161.1|AEAL, LOC109427260|XP_029718894.1|AEAL, LOC115261436|XP_029718952.1|AEAL
OG0002427	LOC108108752|XP_017072404.1|DEUG	LOC115253574|XP_029718948.1|AEAL, LOC109427264|XP_029717173.1|AEAL, LOC109411630|XP_019540736.2|AEAL
OG0002428	LOC108105061|XP_017066969.1|DEUG	LOC109406316|XP_029719038.1|AEAL, LOC115261490|XP_029719070.1|AEAL
OG0002429	LOC108107868|XP_017071135.1|DEUG	LOC115261550|XP_029719264.1|AEAL, LOC109416636|XP_029719270.1|AEAL, LOC109432845|XP_029719217.1|AEAL
OG0002430	LOC108113196|XP_017079212.1|DEUG	LOC109424554|XP_029734038.1|AEAL, LOC109411981|XP_019541183.1|AEAL
OG0002431	LOC108109236|XP_017073198.1|DEUG	LOC109428755|XP_029734060.1|AEAL, LOC115254230|XP_029734017.1|AEAL, LOC109424538|XP_029709899.1|AEAL, LOC115255855|XP_029709903.1|AEAL
OG0002432	LOC108110317|XP_017074819.1|DEUG	LOC109428768|XP_029734006.1|AEAL, LOC109424525|XP_029734072.1|AEAL, LOC115269440|XP_029734063.1|AEAL, LOC115257284|XP_029712596.1|AEAL, LOC115257285|XP_029712598.1|AEAL
OG0002433	LOC108117108|XP_017084818.1|DEUG	LOC115269424|XP_029734004.1|AEAL, LOC109424522|XP_019555235.1|AEAL, LOC109428773|XP_019560158.2|AEAL
OG0002434	LOC108110007|XP_017074336.1|DEUG	LOC109397748|XP_029733992.1|AEAL, LOC109428785|XP_019560175.1|AEAL
OG0002436	LOC108106634|XP_017069328.1|DEUG	LOC109398921|XP_029724218.1|AEAL, LOC115254125|XP_029724251.1|AEAL
OG0002437	LOC108106442|XP_017068964.1|DEUG	LOC115254183|XP_029730051.1|AEAL, LOC109402904|XP_029724129.1|AEAL, LOC109422198|XP_029724559.1|AEAL
OG0002438	LOC108104421|XP_017065963.1|DEUG	LOC115257717|XP_029713462.1|AEAL, LOC109415957|XP_029713717.1|AEAL
OG0002439	LOC108113430|XP_017079481.1|DEUG	LOC109418751|XP_029713697.1|AEAL, LOC109415959|XP_029713593.1|AEAL
