Orthogroup	DEUG.longest_only	BCOP.longest_only
OG0002206	LOC108115700|XP_017082759.1|DEUG	LOC119067466|XP_037026348.1|BCOP
OG0002207	LOC108116056|XP_017083246.1|DEUG	LOC119068191|XP_037027584.1|BCOP, LOC119068192|XP_037027585.1|BCOP
OG0002208	LOC108116109|XP_017083320.1|DEUG	LOC119068186|XP_037027576.1|BCOP
OG0002209	LOC108109750|XP_017073907.1|DEUG	LOC119076431|XP_037039074.1|BCOP
OG0002210	LOC108115386|XP_017082310.1|DEUG	LOC119067337|XP_037026136.1|BCOP
OG0002211	LOC108116953|XP_017084596.1|DEUG	LOC119070046|XP_037030224.1|BCOP
OG0002212	LOC108117121|XP_017084841.1|DEUG	LOC119069248|XP_037029195.1|BCOP, LOC119070313|XP_037030474.1|BCOP
OG0002213	LOC108116146|XP_017083371.1|DEUG	LOC119069748|XP_037029784.1|BCOP
OG0002214	LOC108109432|XP_017073421.1|DEUG	LOC119069073|XP_037028846.1|BCOP
OG0002215	LOC108109209|XP_017073143.1|DEUG	LOC119069952|XP_037030076.1|BCOP
OG0002216	LOC108116071|XP_017083275.1|DEUG	LOC119081256|XP_037045888.1|BCOP
OG0002217	LOC108105241|XP_017067205.1|DEUG	LOC119069242|XP_037029190.1|BCOP
OG0002218	LOC108110066|XP_017074436.1|DEUG	LOC119067252|XP_037026023.1|BCOP
OG0002219	LOC108116976|XP_017084625.1|DEUG	LOC119078248|XP_037041621.1|BCOP, LOC119069089|XP_037028872.1|BCOP
OG0002220	LOC108116798|XP_017084334.1|DEUG	LOC119072018|XP_037033032.1|BCOP, LOC119074239|XP_037036156.1|BCOP
OG0002221	LOC108114624|XP_017081180.1|DEUG	LOC119084830|XP_037050808.1|BCOP
OG0002222	LOC108107367|XP_017070360.1|DEUG	LOC119083959|XP_037049662.1|BCOP, LOC119083465|XP_037049080.1|BCOP, LOC119079723|XP_037043682.1|BCOP, LOC119082955|XP_037048497.1|BCOP
OG0002224	LOC108112564|XP_017078001.1|DEUG	LOC119081716|XP_037046729.1|BCOP
OG0002225	LOC108104917|XP_017066754.1|DEUG	LOC119073439|XP_037034818.1|BCOP
OG0002226	LOC108106403|XP_017068903.1|DEUG	LOC119081374|XP_037046151.1|BCOP
OG0002227	LOC108106474|XP_017069039.1|DEUG	LOC119080299|XP_037044467.1|BCOP
OG0002228	LOC108105408|XP_017067444.1|DEUG	LOC119082140|XP_037047415.1|BCOP, LOC119079257|XP_037042931.1|BCOP
OG0002229	LOC108107358|XP_017070348.1|DEUG	LOC119081545|XP_037046455.1|BCOP
OG0002230	LOC108112543|XP_017077968.1|DEUG	LOC119079254|XP_037042930.1|BCOP
OG0002231	LOC108113113|XP_017079099.1|DEUG	LOC119073448|XP_037034836.1|BCOP
OG0002233	LOC108108208|XP_017071658.1|DEUG	LOC119075212|XP_037037494.1|BCOP
OG0002235	LOC108112672|XP_017078300.1|DEUG	LOC119083565|XP_037049197.1|BCOP
OG0002236	LOC108107315|XP_017070277.1|DEUG	LOC119080175|XP_037044295.1|BCOP
OG0002237	LOC108107434|XP_017070457.1|DEUG	LOC119079255|XP_037042933.1|BCOP
OG0002238	LOC108113024|XP_017078940.1|DEUG	LOC119083149|XP_037048686.1|BCOP, LOC119076738|XP_037039550.1|BCOP
OG0002239	LOC108112846|XP_017078648.1|DEUG	LOC119085382|XP_037051663.1|BCOP
OG0002240	LOC108112933|XP_017078813.1|DEUG	LOC119079503|XP_037043346.1|BCOP
OG0002241	LOC108117391|XP_017085278.1|DEUG	LOC119081255|XP_037045885.1|BCOP
OG0002242	LOC108109825|XP_017074050.1|DEUG	LOC119080678|XP_037045006.1|BCOP
OG0002243	LOC108117146|XP_017084893.1|DEUG	LOC119083632|XP_037049262.1|BCOP
OG0002244	LOC108114342|XP_017080763.1|DEUG	LOC119084555|XP_037050465.1|BCOP, LOC119073695|XP_037035190.1|BCOP, LOC119084557|XP_037050468.1|BCOP
OG0002245	LOC108109815|XP_017074029.1|DEUG	LOC119073696|XP_037035191.1|BCOP
OG0002246	LOC108113183|XP_017079197.1|DEUG	LOC119079508|XP_037043357.1|BCOP
OG0002247	LOC108107402|XP_017070411.1|DEUG	LOC119079492|XP_037043336.1|BCOP
OG0002248	LOC108107912|XP_017071221.1|DEUG	LOC119079312|XP_037043005.1|BCOP
OG0002249	LOC108109911|XP_017074208.1|DEUG	LOC119080647|XP_037044956.1|BCOP
OG0002250	LOC108108901|XP_017072614.1|DEUG	LOC119073479|XP_037034879.1|BCOP
OG0002251	LOC108109274|XP_017073254.1|DEUG	LOC119073572|XP_037035026.1|BCOP
OG0002252	LOC108109205|XP_017073136.1|DEUG	LOC119077679|XP_037040836.1|BCOP
OG0002253	LOC108107461|XP_017070496.1|DEUG	LOC119074011|XP_037035841.1|BCOP
OG0002254	LOC108117462|XP_017085373.1|DEUG	LOC119079368|XP_037043133.1|BCOP
OG0002255	LOC108103759|XP_017064866.1|DEUG	LOC119084172|XP_037049926.1|BCOP
OG0002256	LOC108112585|XP_017078113.1|DEUG	LOC119081221|XP_037045840.1|BCOP, LOC119074128|XP_037036006.1|BCOP
OG0002257	LOC108106420|XP_017068938.1|DEUG	LOC119070242|XP_037030411.1|BCOP, LOC119075133|XP_037037414.1|BCOP
OG0002258	LOC108114104|XP_017080352.1|DEUG	LOC119079286|XP_037042971.1|BCOP, LOC119079287|XP_037042972.1|BCOP
OG0002259	LOC108115198|XP_017082008.1|DEUG	LOC119078492|XP_037041943.1|BCOP
OG0002260	LOC108107974|XP_017071307.1|DEUG	LOC119079351|XP_037043075.1|BCOP
OG0002261	LOC108108675|XP_017072268.1|DEUG	LOC119080525|XP_037044831.1|BCOP
OG0002262	LOC108104833|XP_017066623.1|DEUG	LOC119070724|XP_037031072.1|BCOP
OG0002263	LOC108114539|XP_017081071.1|DEUG	LOC119077861|XP_037041090.1|BCOP
OG0002264	LOC108107366|XP_017070359.1|DEUG	LOC119081148|XP_037045791.1|BCOP
OG0002265	LOC108113991|XP_017080223.1|DEUG	LOC119076153|XP_037038732.1|BCOP
OG0002266	LOC108107614|XP_017070673.1|DEUG	LOC119073649|XP_037035142.1|BCOP
OG0002267	LOC108108322|XP_017071839.1|DEUG	LOC119083362|XP_037048971.1|BCOP, LOC119075050|XP_037037340.1|BCOP
OG0002268	LOC108114546|XP_017081080.1|DEUG	LOC119080619|XP_037044918.1|BCOP, LOC119066077|XP_037024241.1|BCOP
OG0002269	LOC108112777|XP_017078539.1|DEUG	LOC119081728|XP_037046784.1|BCOP
OG0002270	LOC108112999|XP_017078899.1|DEUG	LOC119074506|XP_037036558.1|BCOP
OG0002271	LOC108108347|XP_017071877.1|DEUG	LOC119080669|XP_037044995.1|BCOP
OG0002272	LOC108102805|XP_017063473.1|DEUG	LOC119075051|XP_037037341.1|BCOP, LOC119083363|XP_037048973.1|BCOP
OG0002273	LOC108118204|XP_017086252.1|DEUG	LOC119069867|XP_037029932.1|BCOP, LOC119079355|XP_037043083.1|BCOP
OG0002274	LOC108108708|XP_017072306.1|DEUG	LOC119073513|XP_037034927.1|BCOP
OG0002275	LOC108114632|XP_017081187.1|DEUG	LOC119084843|XP_037050844.1|BCOP
OG0002276	LOC108102789|XP_017063439.1|DEUG	LOC119079718|XP_037043674.1|BCOP
OG0002277	LOC108102863|XP_017063554.1|DEUG	LOC119073271|XP_037034548.1|BCOP
OG0002279	LOC108117372|XP_017085247.1|DEUG	LOC119076586|XP_037039320.1|BCOP
OG0002280	LOC108114186|XP_017080484.1|DEUG	LOC119070015|XP_037030188.1|BCOP, LOC119070968|XP_037031440.1|BCOP, LOC119080389|XP_037044595.1|BCOP, LOC119069110|XP_037028897.1|BCOP
OG0002281	LOC108114463|XP_017080957.1|DEUG	LOC119077996|XP_037041271.1|BCOP
OG0002282	LOC108108032|XP_017071393.1|DEUG	LOC119085901|XP_037052340.1|BCOP, LOC119077824|XP_037041030.1|BCOP, LOC119073806|XP_037035464.1|BCOP
OG0002284	LOC108109068|XP_017072901.1|DEUG	LOC119081350|XP_037046090.1|BCOP
OG0002285	LOC108103286|XP_017064186.1|DEUG	LOC119072366|XP_037033455.1|BCOP, LOC119077792|XP_037040999.1|BCOP
OG0002286	LOC108113194|XP_017079210.1|DEUG	LOC119079844|XP_037043804.1|BCOP
OG0002287	LOC108113123|XP_017079115.1|DEUG	LOC119074511|XP_037036568.1|BCOP
OG0002288	LOC108108303|XP_017071806.1|DEUG	LOC119080406|XP_037044632.1|BCOP
OG0002289	LOC108109822|XP_017074047.1|DEUG	LOC119073547|XP_037034995.1|BCOP, LOC119073548|XP_037034996.1|BCOP
OG0002290	LOC108113415|XP_017079457.1|DEUG	LOC119076753|XP_037039597.1|BCOP, LOC119069972|XP_037030110.1|BCOP
OG0002291	LOC108112619|XP_017078200.1|DEUG	LOC119079329|XP_037043021.1|BCOP
OG0002292	LOC108113072|XP_017079001.1|DEUG	LOC119079063|XP_037042770.1|BCOP
OG0002293	LOC108118498|XP_017086722.1|DEUG, LOC108117562|XP_017085559.1|DEUG	LOC119073985|XP_037035791.1|BCOP
OG0002294	LOC108109421|XP_017073408.1|DEUG	LOC119079625|XP_037043517.1|BCOP, LOC119079626|XP_037043519.1|BCOP
OG0002295	LOC108106973|XP_017069778.1|DEUG	LOC119066270|XP_037024521.1|BCOP
OG0002297	LOC108105609|XP_017067775.1|DEUG	LOC119080976|XP_037045515.1|BCOP
OG0002298	LOC108107345|XP_017070332.1|DEUG	LOC119073204|XP_037034409.1|BCOP, LOC119081199|XP_037045810.1|BCOP
OG0002299	LOC108106651|XP_017069356.1|DEUG	LOC119081201|XP_037045816.1|BCOP, LOC119073225|XP_037034432.1|BCOP
OG0002300	LOC108103376|XP_017064311.1|DEUG	LOC119071456|XP_037032203.1|BCOP
OG0002301	LOC108114863|XP_017081504.1|DEUG	LOC119082756|XP_037048233.1|BCOP
OG0002302	LOC108114826|XP_017081447.1|DEUG	LOC119070830|XP_037031227.1|BCOP
OG0002303	LOC108103290|XP_017064192.1|DEUG	LOC119077038|XP_037040057.1|BCOP
OG0002304	LOC108105844|XP_017068094.1|DEUG	LOC119081963|XP_037047162.1|BCOP
OG0002305	LOC108114625|XP_017081181.1|DEUG	LOC119085146|XP_037051319.1|BCOP
OG0002306	LOC108106176|XP_017068586.1|DEUG	LOC119070890|XP_037031307.1|BCOP
OG0002307	LOC108111738|XP_017076784.1|DEUG	LOC119066739|XP_037025256.1|BCOP
OG0002308	LOC108110916|XP_017075675.1|DEUG	LOC119072832|XP_037034035.1|BCOP
OG0002309	LOC108102589|XP_017063180.1|DEUG	LOC119069832|XP_037029895.1|BCOP
OG0002310	LOC108115511|XP_017082495.1|DEUG	LOC119085817|XP_037052203.1|BCOP
OG0002311	LOC108114807|XP_017081409.1|DEUG	LOC119082307|XP_037047697.1|BCOP
OG0002312	LOC108111143|XP_017076000.1|DEUG	LOC119072674|XP_037033844.1|BCOP, LOC119084664|XP_037050636.1|BCOP
OG0002313	LOC108106659|XP_017069369.1|DEUG	LOC119085561|XP_037051885.1|BCOP
OG0002314	LOC108104454|XP_017066007.1|DEUG	LOC119073895|XP_037035679.1|BCOP
OG0002315	LOC108106805|XP_017069539.1|DEUG	LOC119066318|XP_037024602.1|BCOP
OG0002316	LOC108111837|XP_017076934.1|DEUG	LOC119072614|XP_037033763.1|BCOP
OG0002317	LOC108104281|XP_017065732.1|DEUG	LOC119072700|XP_037033865.1|BCOP, LOC119085442|XP_037051760.1|BCOP, LOC119072701|XP_037033866.1|BCOP
OG0002318	LOC108105690|XP_017067889.1|DEUG	LOC119082095|XP_037047357.1|BCOP
OG0002319	LOC108111195|XP_017076079.1|DEUG	LOC119072731|XP_037033902.1|BCOP
OG0002320	LOC108109078|XP_017072929.1|DEUG	LOC119079431|XP_037043237.1|BCOP
OG0002321	LOC108106785|XP_017069518.1|DEUG	LOC119066374|XP_037024694.1|BCOP
OG0002322	LOC108103415|XP_017064362.1|DEUG	LOC119082065|XP_037047298.1|BCOP
OG0002323	LOC108115532|XP_017082524.1|DEUG	LOC119084003|XP_037049710.1|BCOP
OG0002324	LOC108108795|XP_017072460.1|DEUG	LOC119073596|XP_037035065.1|BCOP
OG0002325	LOC108114148|XP_017080422.1|DEUG	LOC119066721|XP_037025230.1|BCOP, LOC119073537|XP_037034975.1|BCOP, LOC119073517|XP_037034939.1|BCOP
OG0002326	LOC108114152|XP_017080431.1|DEUG	LOC119076472|XP_037039144.1|BCOP, LOC119072872|XP_037034074.1|BCOP, LOC119073530|XP_037034964.1|BCOP
OG0002327	LOC108116370|XP_017083696.1|DEUG, LOC108116372|XP_017083701.1|DEUG	LOC119073735|XP_037035282.1|BCOP
OG0002328	LOC108114876|XP_017081521.1|DEUG	LOC119082380|XP_037047798.1|BCOP
OG0002329	LOC108102680|XP_017063310.1|DEUG	LOC119070923|XP_037031360.1|BCOP
OG0002330	LOC108102682|XP_017063312.1|DEUG	LOC119077117|XP_037040181.1|BCOP
OG0002331	LOC108106048|XP_017068391.1|DEUG	LOC119076302|XP_037038862.1|BCOP
OG0002332	LOC108108173|XP_017071604.1|DEUG	LOC119085089|XP_037051225.1|BCOP
OG0002333	LOC108107334|XP_017070309.1|DEUG	LOC119079279|XP_037042960.1|BCOP, LOC119079284|XP_037042968.1|BCOP
OG0002334	LOC108102504|XP_017063017.1|DEUG	LOC119084807|XP_037050773.1|BCOP, LOC119080246|XP_037044389.1|BCOP
OG0002335	LOC108104594|XP_017066246.1|DEUG	LOC119084622|XP_037050583.1|BCOP
OG0002336	LOC108108515|XP_017072073.1|DEUG	LOC119071160|XP_037031810.1|BCOP
OG0002337	LOC108104793|XP_017066546.1|DEUG	LOC119081396|XP_037046177.1|BCOP
OG0002338	LOC108107142|XP_017070035.1|DEUG	LOC119082046|XP_037047267.1|BCOP
OG0002339	LOC108110999|XP_017075797.1|DEUG	LOC119076373|XP_037038978.1|BCOP
OG0002340	LOC108104088|XP_017065472.1|DEUG	LOC119076367|XP_037038968.1|BCOP
OG0002341	LOC108104870|XP_017066685.1|DEUG	LOC119068618|XP_037028179.1|BCOP, LOC119073643|XP_037035136.1|BCOP, LOC119072585|XP_037033733.1|BCOP
OG0002342	LOC108102567|XP_017063135.1|DEUG	LOC119085397|XP_037051694.1|BCOP
OG0002343	LOC108102598|XP_017063191.1|DEUG	LOC119077071|XP_037040108.1|BCOP
OG0002344	LOC108104240|XP_017065679.1|DEUG, LOC108103094|XP_017063940.1|DEUG	LOC119082390|XP_037047814.1|BCOP
OG0002345	LOC108112623|XP_017078214.1|DEUG	LOC119074085|XP_037035935.1|BCOP
OG0002346	LOC108106979|XP_017069800.1|DEUG	LOC119084611|XP_037050572.1|BCOP, LOC119072567|XP_037033702.1|BCOP
OG0002347	LOC108106718|XP_017069440.1|DEUG	LOC119081380|XP_037046159.1|BCOP
OG0002348	LOC108106166|XP_017068566.1|DEUG	LOC119066932|XP_037025540.1|BCOP
OG0002349	LOC108112628|XP_017078223.1|DEUG	LOC119073881|XP_037035656.1|BCOP
OG0002350	LOC108112621|XP_017078212.1|DEUG	LOC119081404|XP_037046193.1|BCOP
OG0002351	LOC108106782|XP_017069513.1|DEUG	LOC119081501|XP_037046402.1|BCOP
OG0002352	LOC108112965|XP_017078855.1|DEUG	LOC119081468|XP_037046352.1|BCOP
OG0002353	LOC108112067|XP_017077302.1|DEUG	LOC119082403|XP_037047829.1|BCOP
OG0002354	LOC108110981|XP_017075777.1|DEUG	LOC119085918|XP_037052367.1|BCOP
OG0002355	LOC108118125|XP_017086161.1|DEUG	LOC119082262|XP_037047617.1|BCOP
OG0002356	LOC108118473|XP_017086686.1|DEUG	LOC119083269|XP_037048850.1|BCOP
OG0002357	LOC108105239|XP_017067199.1|DEUG	LOC119079343|XP_037043066.1|BCOP, LOC119080488|XP_037044780.1|BCOP
OG0002358	LOC108110921|XP_017075685.1|DEUG, LOC108117816|XP_017085855.1|DEUG	LOC119066242|XP_037024457.1|BCOP
OG0002359	LOC108118298|XP_017086399.1|DEUG	LOC119077069|XP_037040106.1|BCOP
OG0002360	LOC108115466|XP_017082409.1|DEUG	LOC119071573|XP_037032407.1|BCOP
OG0002361	LOC108107565|XP_017070612.1|DEUG	LOC119077610|XP_037040726.1|BCOP
OG0002362	LOC108118328|XP_017086436.1|DEUG	LOC119076930|XP_037039853.1|BCOP
OG0002363	LOC108107148|XP_017070040.1|DEUG	LOC119076926|XP_037039846.1|BCOP
OG0002364	LOC108106960|XP_017069730.1|DEUG	LOC119076922|XP_037039831.1|BCOP
OG0002365	LOC108107085|XP_017069951.1|DEUG	LOC119075602|XP_037037966.1|BCOP
OG0002366	LOC108102597|XP_017063189.1|DEUG	LOC119072718|XP_037033884.1|BCOP
OG0002367	LOC108110789|XP_017075498.1|DEUG	LOC119068278|XP_037027704.1|BCOP, LOC119084601|XP_037050551.1|BCOP
OG0002368	LOC108113463|XP_017079532.1|DEUG	LOC119077129|XP_037040198.1|BCOP
OG0002369	LOC108114949|XP_017081624.1|DEUG	LOC119077133|XP_037040207.1|BCOP
OG0002370	LOC108105743|XP_017067948.1|DEUG	LOC119075583|XP_037037946.1|BCOP
OG0002371	LOC108105832|XP_017068068.1|DEUG	LOC119076257|XP_037038820.1|BCOP
OG0002372	LOC108110766|XP_017075470.1|DEUG	LOC119078905|XP_037042529.1|BCOP
OG0002373	LOC108118448|XP_017086645.1|DEUG	LOC119076965|XP_037039952.1|BCOP
OG0002374	LOC108113816|XP_017080014.1|DEUG	LOC119069869|XP_037029935.1|BCOP
OG0002375	LOC108115146|XP_017081934.1|DEUG	LOC119081144|XP_037045783.1|BCOP
OG0002376	LOC108106976|XP_017069784.1|DEUG	LOC119081928|XP_037047078.1|BCOP
OG0002377	LOC108115305|XP_017082192.1|DEUG	LOC119065987|XP_037024088.1|BCOP, LOC119077235|XP_037040319.1|BCOP
OG0002378	LOC108114501|XP_017081010.1|DEUG	LOC119084173|XP_037049927.1|BCOP
OG0002379	LOC108118068|XP_017086137.1|DEUG	LOC119078936|XP_037042577.1|BCOP
OG0002380	LOC108103249|XP_017064140.1|DEUG	LOC119082244|XP_037047603.1|BCOP
OG0002381	LOC108106791|XP_017069525.1|DEUG	LOC119066384|XP_037024711.1|BCOP
OG0002382	LOC108118080|XP_017086113.1|DEUG	LOC119071174|XP_037031832.1|BCOP
OG0002383	LOC108113928|XP_017080127.1|DEUG	LOC119071194|XP_037031870.1|BCOP
OG0002384	LOC108103633|XP_017064667.1|DEUG	LOC119069011|XP_037028783.1|BCOP, LOC119074536|XP_037036598.1|BCOP
OG0002386	LOC108108662|XP_017072259.1|DEUG, LOC108117101|XP_017084801.1|DEUG	LOC119084151|XP_037049893.1|BCOP
OG0002387	LOC108108833|XP_017072525.1|DEUG, LOC108115582|XP_017082582.1|DEUG	LOC119084427|XP_037050299.1|BCOP
OG0002388	LOC108105604|XP_017067768.1|DEUG	LOC119066565|XP_037025007.1|BCOP, LOC119080347|XP_037044540.1|BCOP, LOC119078065|XP_037041397.1|BCOP
OG0002389	LOC108108842|XP_017072540.1|DEUG	LOC119076759|XP_037039611.1|BCOP
OG0002390	LOC108111097|XP_017075926.1|DEUG	LOC119073788|XP_037035407.1|BCOP
OG0002391	LOC108112971|XP_017078862.1|DEUG	LOC119085224|XP_037051432.1|BCOP
OG0002392	LOC108108157|XP_017071579.1|DEUG	LOC119072765|XP_037033958.1|BCOP, LOC119075003|XP_037037300.1|BCOP
OG0002393	LOC108114612|XP_017081162.1|DEUG	LOC119074933|XP_037037218.1|BCOP
OG0002394	LOC108113651|XP_017079811.1|DEUG, LOC108116536|XP_017083963.1|DEUG	LOC119068580|XP_037028158.1|BCOP
OG0002395	LOC108116344|XP_017083647.1|DEUG	LOC119078061|XP_037041390.1|BCOP
OG0002396	LOC108112825|XP_017078617.1|DEUG	LOC119080349|XP_037044542.1|BCOP
OG0002397	LOC108107013|XP_017069847.1|DEUG, LOC108105575|XP_017067704.1|DEUG	LOC119076486|XP_037039166.1|BCOP
OG0002398	LOC108103161|XP_017064032.1|DEUG	LOC119082077|XP_037047312.1|BCOP, LOC119073932|XP_037035696.1|BCOP, LOC119072043|XP_037033057.1|BCOP, LOC119072044|XP_037033063.1|BCOP
OG0002399	LOC108110368|XP_017074910.1|DEUG	LOC119071691|XP_037032574.1|BCOP
OG0002400	LOC108113363|XP_017079418.1|DEUG	LOC119071702|XP_037032585.1|BCOP
OG0002401	LOC108108760|XP_017072417.1|DEUG	LOC119079502|XP_037043345.1|BCOP
OG0002402	LOC108116458|XP_017083876.1|DEUG, LOC108116457|XP_017083875.1|DEUG	LOC119076888|XP_037039787.1|BCOP
OG0002403	LOC108116518|XP_017083945.1|DEUG	LOC119074386|XP_037036399.1|BCOP, LOC119076884|XP_037039783.1|BCOP
OG0002404	LOC108114754|XP_017081353.1|DEUG, LOC108112065|XP_017077299.1|DEUG	LOC119084374|XP_037050221.1|BCOP
OG0002405	LOC108115363|XP_017082279.1|DEUG	LOC119071729|XP_037032653.1|BCOP
OG0002406	LOC108114557|XP_017081092.1|DEUG	LOC119074007|XP_037035839.1|BCOP
OG0002407	LOC108109382|XP_017073364.1|DEUG	LOC119084019|XP_037049728.1|BCOP
OG0002408	LOC108115339|XP_017082243.1|DEUG	LOC119068865|XP_037028601.1|BCOP
OG0002410	LOC108117168|XP_017084935.1|DEUG	LOC119074783|XP_037036952.1|BCOP
OG0002411	LOC108108339|XP_017071860.1|DEUG	LOC119068782|XP_037028437.1|BCOP
OG0002412	LOC108112959|XP_017078851.1|DEUG	LOC119068166|XP_037027543.1|BCOP
OG0002413	LOC108109758|XP_017073920.1|DEUG	LOC119085333|XP_037051612.1|BCOP
OG0002414	LOC108102841|XP_017063523.1|DEUG	LOC119083075|XP_037048592.1|BCOP
OG0002415	LOC108111776|XP_017076832.1|DEUG	LOC119076085|XP_037038633.1|BCOP, LOC119076088|XP_037038636.1|BCOP
OG0002416	LOC108102323|XP_017062597.1|DEUG	LOC119076143|XP_037038713.1|BCOP, LOC119078096|XP_037041460.1|BCOP
OG0002417	LOC108104187|XP_017065616.1|DEUG	LOC119070846|XP_037031251.1|BCOP
OG0002418	LOC108112806|XP_017078628.1|DEUG	LOC119066192|XP_037024404.1|BCOP
OG0002419	LOC108103545|XP_017064562.1|DEUG	LOC119077851|XP_037041073.1|BCOP
OG0002420	LOC108108189|XP_017071626.1|DEUG	LOC119079301|XP_037042983.1|BCOP, LOC119078134|XP_037041505.1|BCOP, LOC119082199|XP_037047528.1|BCOP
OG0002421	LOC108116549|XP_017083976.1|DEUG	LOC119079652|XP_037043628.1|BCOP, LOC119076131|XP_037038698.1|BCOP, LOC119079578|XP_037043500.1|BCOP
OG0002422	LOC108115137|XP_017081920.1|DEUG	LOC119078114|XP_037041461.1|BCOP, LOC119080523|XP_037044828.1|BCOP
OG0002423	LOC108114554|XP_017081090.1|DEUG	LOC119074331|XP_037036310.1|BCOP
OG0002424	LOC108108936|XP_017072682.1|DEUG	LOC119076864|XP_037039764.1|BCOP
OG0002425	LOC108110071|XP_017074442.1|DEUG	LOC119067380|XP_037026195.1|BCOP
OG0002426	LOC108104672|XP_017066353.1|DEUG	LOC119083250|XP_037048809.1|BCOP
OG0002427	LOC108108752|XP_017072404.1|DEUG	LOC119078692|XP_037042251.1|BCOP
OG0002428	LOC108105061|XP_017066969.1|DEUG	LOC119067826|XP_037026893.1|BCOP
OG0002429	LOC108107868|XP_017071135.1|DEUG	LOC119082512|XP_037047919.1|BCOP
OG0002430	LOC108113196|XP_017079212.1|DEUG	LOC119078236|XP_037041589.1|BCOP
OG0002431	LOC108109236|XP_017073198.1|DEUG	LOC119071319|XP_037032097.1|BCOP
OG0002432	LOC108110317|XP_017074819.1|DEUG	LOC119074344|XP_037036332.1|BCOP
OG0002433	LOC108117108|XP_017084818.1|DEUG	LOC119077797|XP_037041003.1|BCOP
OG0002434	LOC108110007|XP_017074336.1|DEUG	LOC119084220|XP_037050014.1|BCOP
OG0002436	LOC108106634|XP_017069328.1|DEUG	LOC119071260|XP_037032010.1|BCOP
OG0002437	LOC108106442|XP_017068964.1|DEUG	LOC119085315|XP_037051589.1|BCOP
OG0002438	LOC108104421|XP_017065963.1|DEUG	LOC119071047|XP_037031544.1|BCOP
OG0002439	LOC108113430|XP_017079481.1|DEUG	LOC119070966|XP_037031432.1|BCOP
OG0002440	LOC108108589|XP_017072172.1|DEUG	LOC119085381|XP_037051662.1|BCOP, LOC119067279|XP_037026051.1|BCOP
OG0002441	LOC108104792|XP_017066544.1|DEUG	LOC119071391|XP_037032162.1|BCOP
OG0002442	LOC108112781|XP_017078547.1|DEUG	LOC119074198|XP_037036089.1|BCOP
OG0002443	LOC108112776|XP_017078534.1|DEUG	LOC119072386|XP_037033484.1|BCOP, LOC119072392|XP_037033496.1|BCOP
OG0002444	LOC108111954|XP_017077134.1|DEUG	LOC119084080|XP_037049810.1|BCOP
OG0002445	LOC108106714|XP_017069436.1|DEUG	LOC119069836|XP_037029898.1|BCOP
OG0002447	LOC108108027|XP_017071381.1|DEUG	LOC119071927|XP_037032945.1|BCOP
OG0002448	LOC108113275|XP_017079313.1|DEUG	LOC119066229|XP_037024448.1|BCOP
OG0002449	LOC108112599|XP_017078142.1|DEUG	LOC119071329|XP_037032108.1|BCOP
OG0002450	LOC108116360|XP_017083673.1|DEUG	LOC119084537|XP_037050445.1|BCOP, LOC119084500|XP_037050417.1|BCOP
OG0002451	LOC108104495|XP_017066098.1|DEUG	LOC119084029|XP_037049746.1|BCOP, LOC119077965|XP_037041240.1|BCOP
OG0002452	LOC108113352|XP_017079404.1|DEUG	LOC119066537|XP_037024957.1|BCOP
OG0002453	LOC108112673|XP_017078305.1|DEUG	LOC119072839|XP_037034047.1|BCOP
OG0002454	LOC108104714|XP_017066422.1|DEUG	LOC119066170|XP_037024361.1|BCOP
OG0002455	LOC108104712|XP_017066421.1|DEUG	LOC119072032|XP_037033048.1|BCOP
OG0002456	LOC108113076|XP_017079008.1|DEUG	LOC119072082|XP_037033133.1|BCOP
OG0002457	LOC108112817|XP_017078604.1|DEUG	LOC119085354|XP_037051625.1|BCOP
OG0002458	LOC108113406|XP_017079450.1|DEUG	LOC119066843|XP_037025406.1|BCOP
OG0002459	LOC108114897|XP_017081555.1|DEUG	LOC119077043|XP_037040065.1|BCOP
OG0002460	LOC108107468|XP_017070504.1|DEUG	LOC119066116|XP_037024292.1|BCOP
OG0002461	LOC108112472|XP_017077818.1|DEUG	LOC119082739|XP_037048214.1|BCOP
OG0002462	LOC108111959|XP_017077142.1|DEUG	LOC119071060|XP_037031574.1|BCOP
OG0002463	LOC108107261|XP_017070180.1|DEUG	LOC119078240|XP_037041597.1|BCOP
OG0002464	LOC108113051|XP_017078970.1|DEUG	LOC119071679|XP_037032555.1|BCOP
OG0002465	LOC108110364|XP_017074904.1|DEUG	LOC119082101|XP_037047366.1|BCOP
OG0002466	LOC108102312|XP_017062564.1|DEUG	LOC119085098|XP_037051237.1|BCOP, LOC119083407|XP_037049021.1|BCOP
OG0002467	LOC108107597|XP_017070649.1|DEUG	LOC119073227|XP_037034433.1|BCOP, LOC119081200|XP_037045812.1|BCOP
OG0002468	LOC108113843|XP_017080042.1|DEUG	LOC119083241|XP_037048794.1|BCOP, LOC119083240|XP_037048791.1|BCOP, LOC119083221|XP_037048782.1|BCOP
OG0002469	LOC108115899|XP_017083024.1|DEUG, LOC108117358|XP_017085267.1|DEUG	LOC119067785|XP_037026821.1|BCOP
OG0002470	LOC108104562|XP_017066194.1|DEUG	LOC119083279|XP_037048862.1|BCOP
OG0002471	LOC108104502|XP_017066108.1|DEUG	LOC119086078|XP_037052549.1|BCOP
