Orthogroup	DEUG.longest_only	CQUI.longest_only
OG0001851	LOC108102308|XP_017062558.1|DEUG	LOC6052786|XP_038111864.1|CQUI
OG0001852	LOC108104724|XP_017066445.1|DEUG	LOC6038309|XP_038105365.1|CQUI, LOC6038308|XP_038105255.1|CQUI
OG0001853	LOC108113576|XP_017079656.1|DEUG	LOC6038307|XP_038117280.1|CQUI
OG0001854	LOC108110074|XP_017074445.1|DEUG	LOC6041765|XP_038116879.1|CQUI
OG0001855	LOC108112430|XP_017077762.1|DEUG	LOC6035157|XP_038105344.1|CQUI
OG0001856	LOC108116505|XP_017083933.1|DEUG	LOC6046575|XP_001863756.2|CQUI
OG0001857	LOC108109714|XP_017073835.1|DEUG	LOC6042718|XP_001870735.2|CQUI, LOC6042721|XP_001870738.2|CQUI
OG0001858	LOC108109961|XP_017074265.1|DEUG	LOC6041772|XP_038104722.1|CQUI
OG0001859	LOC108114590|XP_017081173.1|DEUG	LOC119767634|XP_038112546.1|CQUI
OG0001860	LOC108108640|XP_017072230.1|DEUG	LOC6047045|XP_038104177.1|CQUI, LOC6042830|XP_001870827.1|CQUI
OG0001861	LOC108115812|XP_017082889.1|DEUG	LOC6037954|XP_038104548.1|CQUI
OG0001862	LOC108117688|XP_017085704.1|DEUG	LOC6045736|XP_038105476.1|CQUI, LOC6045737|XP_001863044.2|CQUI
OG0001863	LOC108102997|XP_017063803.1|DEUG	LOC6042593|XP_038114195.1|CQUI, LOC6045734|XP_001863041.2|CQUI
OG0001864	LOC108109136|XP_017073026.1|DEUG	LOC6053324|XP_038105480.1|CQUI
OG0001865	LOC108103491|XP_017064488.1|DEUG	LOC6042722|XP_001870739.2|CQUI
OG0001866	LOC108102444|XP_017062930.1|DEUG, LOC108116968|XP_017084612.1|DEUG	LOC6042730|XP_038104345.1|CQUI
OG0001867	LOC108108496|XP_017072038.1|DEUG	LOC6048195|XP_038116728.1|CQUI
OG0001868	LOC108103404|XP_017064350.1|DEUG	LOC6052598|XP_038104287.1|CQUI
OG0001869	LOC108110161|XP_017074572.1|DEUG	LOC6038423|XP_038105660.1|CQUI
OG0001870	LOC108103239|XP_017064128.1|DEUG	LOC6044993|XP_001862417.2|CQUI
OG0001871	LOC108117284|XP_017085130.1|DEUG	LOC6039039|XP_038104101.1|CQUI
OG0001872	LOC108111453|XP_017076413.1|DEUG	LOC6034331|XP_038122572.1|CQUI
OG0001873	LOC108117629|XP_017085650.1|DEUG	LOC6045619|XP_038104541.1|CQUI
OG0001874	LOC108113735|XP_017079911.1|DEUG	LOC6043591|XP_038105079.1|CQUI
OG0001875	LOC108113500|XP_017079577.1|DEUG	LOC6047655|XP_038112718.1|CQUI
OG0001876	LOC108110060|XP_017074430.1|DEUG	LOC6034410|XP_001844728.2|CQUI
OG0001877	LOC108103328|XP_017064253.1|DEUG	LOC6034426|XP_001844744.2|CQUI
OG0001878	LOC108116934|XP_017084568.1|DEUG	LOC6034484|XP_038114409.1|CQUI
OG0001879	LOC108113777|XP_017079965.1|DEUG	LOC6034762|XP_038105957.1|CQUI
OG0001880	LOC108117122|XP_017084842.1|DEUG	LOC6036518|XP_001846563.2|CQUI
OG0001881	LOC108115085|XP_017081822.1|DEUG	LOC6035632|XP_038104495.1|CQUI
OG0001882	LOC108115811|XP_017082888.1|DEUG	LOC6035646|XP_001845785.2|CQUI
OG0001883	LOC108115629|XP_017082669.1|DEUG	LOC6044618|XP_038104449.1|CQUI
OG0001884	LOC108110234|XP_017074709.1|DEUG	LOC6035062|XP_001845298.1|CQUI
OG0001885	LOC108104097|XP_017065482.1|DEUG	LOC119767037|XP_038110218.1|CQUI
OG0001886	LOC108109797|XP_017073999.1|DEUG	LOC6044851|XP_001862296.1|CQUI
OG0001887	LOC108113334|XP_017079380.1|DEUG	LOC6038584|XP_001848366.1|CQUI
OG0001888	LOC108117903|XP_017085939.1|DEUG, LOC108114982|XP_017081702.1|DEUG	LOC6041722|XP_038122909.1|CQUI
OG0001889	LOC108117630|XP_017085646.1|DEUG	LOC6041728|XP_001850950.2|CQUI
OG0001890	LOC108114456|XP_017080946.1|DEUG	LOC119765309|XP_038104857.1|CQUI
OG0001891	LOC108117034|XP_017084692.1|DEUG	LOC6043184|XP_038105459.1|CQUI
OG0001892	LOC108117617|XP_017085633.1|DEUG, LOC108114678|XP_017081294.1|DEUG	LOC6035555|XP_001845713.2|CQUI
OG0001893	LOC108115760|XP_017082816.1|DEUG	LOC6032693|XP_038105722.1|CQUI
OG0001894	LOC108113285|XP_017079324.1|DEUG	LOC6032687|XP_001843247.2|CQUI
OG0001895	LOC108102317|XP_017062579.1|DEUG	LOC6032626|XP_038117551.1|CQUI
OG0001896	LOC108104198|XP_017065631.1|DEUG	LOC6033243|XP_038122668.1|CQUI
OG0001897	LOC108108388|XP_017071925.1|DEUG	LOC6046290|XP_038104836.1|CQUI
OG0001898	LOC108110063|XP_017074432.1|DEUG	LOC6031568|XP_001842347.2|CQUI
OG0001899	LOC108117222|XP_017085038.1|DEUG	LOC6033679|XP_038122988.1|CQUI
OG0001900	LOC108108784|XP_017072446.1|DEUG	LOC6041148|XP_038110611.1|CQUI
OG0001901	LOC108106977|XP_017069786.1|DEUG	LOC6033710|XP_038105128.1|CQUI
OG0001905	LOC108111840|XP_017076933.1|DEUG	LOC6040704|XP_001850058.2|CQUI
OG0001906	LOC108110200|XP_017074655.1|DEUG	LOC6037489|XP_038105690.1|CQUI
OG0001907	LOC108103019|XP_017063833.1|DEUG	LOC6038035|XP_038114494.1|CQUI
OG0001908	LOC108115848|XP_017082951.1|DEUG	LOC6042396|XP_038108468.1|CQUI
OG0001909	LOC108118077|XP_017086109.1|DEUG	LOC6032044|XP_038104689.1|CQUI
OG0001910	LOC108108382|XP_017071919.1|DEUG	LOC6035189|XP_038105072.1|CQUI, LOC6035190|XP_001845420.2|CQUI
OG0001912	LOC108106278|XP_017068733.1|DEUG	LOC6033909|XP_001844298.2|CQUI
OG0001913	LOC108111098|XP_017075927.1|DEUG	LOC6033916|XP_001844305.2|CQUI, LOC6033914|XP_038109497.1|CQUI, LOC6033918|XP_001844307.2|CQUI
OG0001914	LOC108116584|XP_017084014.1|DEUG	LOC6044843|XP_001862288.2|CQUI, LOC6033904|XP_001844293.2|CQUI
OG0001915	LOC108103590|XP_017064604.1|DEUG	LOC6032785|XP_038118978.1|CQUI
OG0001916	LOC108112007|XP_017077233.1|DEUG	LOC6032807|XP_038118971.1|CQUI
OG0001917	LOC108109833|XP_017074066.1|DEUG	LOC6032905|XP_038116382.1|CQUI
OG0001918	LOC108108072|XP_017071441.1|DEUG	LOC6038679|XP_001848434.2|CQUI, LOC119767328|XP_038111632.1|CQUI
OG0001919	LOC108112862|XP_017078677.1|DEUG	LOC6041034|XP_001850345.2|CQUI
OG0001920	LOC108104660|XP_017066335.1|DEUG	LOC6053530|XP_038119323.1|CQUI
OG0001921	LOC108114907|XP_017081572.1|DEUG	LOC6031101|XP_001841948.2|CQUI
OG0001922	LOC108113061|XP_017078986.1|DEUG	LOC119770110|XP_038120318.1|CQUI, LOC6050944|XP_001867457.2|CQUI
OG0001924	LOC108118164|XP_017086214.1|DEUG	LOC6047853|XP_001864856.2|CQUI
OG0001925	LOC108108007|XP_017071351.1|DEUG	LOC6044576|XP_001862068.2|CQUI
OG0001926	LOC108109873|XP_017074155.1|DEUG	LOC6031058|XP_038117318.1|CQUI
OG0001927	LOC108106665|XP_017069382.1|DEUG	LOC6042822|XP_038119054.1|CQUI
OG0001928	LOC108114354|XP_017080783.1|DEUG	LOC6042827|XP_001870824.2|CQUI
OG0001929	LOC108113975|XP_017080182.1|DEUG	LOC6044582|XP_038117729.1|CQUI
OG0001930	LOC108112707|XP_017078417.1|DEUG	LOC6052394|XP_038121632.1|CQUI
OG0001932	LOC108114341|XP_017080761.1|DEUG	LOC6044950|XP_038115259.1|CQUI
OG0001933	LOC108112682|XP_017078363.1|DEUG	LOC6051407|XP_001867852.2|CQUI
OG0001934	LOC108114703|XP_017081290.1|DEUG	LOC119765391|XP_038105089.1|CQUI, LOC6047375|XP_001864443.2|CQUI
OG0001935	LOC108114438|XP_017080918.1|DEUG	LOC6038818|XP_038120855.1|CQUI
OG0001937	LOC108106593|XP_017069269.1|DEUG	LOC6042011|XP_038115412.1|CQUI
OG0001938	LOC108106426|XP_017068944.1|DEUG	LOC6044645|XP_038115793.1|CQUI
OG0001939	LOC108108923|XP_017072664.1|DEUG	LOC6048509|XP_001865422.2|CQUI
OG0001940	LOC108112508|XP_017077884.1|DEUG	LOC6048947|XP_001865782.2|CQUI
OG0001941	LOC108104687|XP_017066382.1|DEUG	LOC6036592|XP_038117237.1|CQUI
OG0001942	LOC108112289|XP_017077599.1|DEUG	LOC6041098|XP_038119257.1|CQUI, LOC6037316|XP_001847243.2|CQUI, LOC6041117|XP_038121399.1|CQUI
OG0001943	LOC108113950|XP_017080151.1|DEUG	LOC119769729|XP_038119123.1|CQUI
OG0001944	LOC108104699|XP_017066401.1|DEUG	LOC6053439|XP_001869521.2|CQUI
OG0001945	LOC108112804|XP_017078582.1|DEUG	LOC6041342|XP_038121860.1|CQUI
OG0001946	LOC108113033|XP_017078952.1|DEUG	LOC6050479|XP_001867082.1|CQUI
OG0001947	LOC108112314|XP_017077630.1|DEUG	LOC6050483|XP_001867086.1|CQUI
OG0001948	LOC108109950|XP_017074252.1|DEUG	LOC6048050|XP_038116081.1|CQUI
OG0001949	LOC108114169|XP_017080452.1|DEUG	LOC6050155|XP_038115622.1|CQUI
OG0001950	LOC108115291|XP_017082161.1|DEUG	LOC6044944|XP_038114752.1|CQUI
OG0001951	LOC108112482|XP_017077833.1|DEUG	LOC6038589|XP_038122017.1|CQUI
OG0001952	LOC108111700|XP_017076738.1|DEUG, LOC108109718|XP_017073839.1|DEUG	LOC6051573|XP_038119566.1|CQUI
OG0001953	LOC108113258|XP_017079297.1|DEUG	LOC6037139|XP_001847079.2|CQUI
OG0001954	LOC108104802|XP_017066572.1|DEUG	LOC6036398|XP_038119152.1|CQUI
OG0001955	LOC108112170|XP_017077436.1|DEUG	LOC6036401|XP_001846454.2|CQUI
OG0001956	LOC108109799|XP_017073997.1|DEUG	LOC6036547|XP_038117528.1|CQUI
OG0001957	LOC108109076|XP_017072924.1|DEUG	LOC6036275|XP_001846341.1|CQUI
OG0001958	LOC108112877|XP_017078703.1|DEUG	LOC6033549|XP_038117713.1|CQUI
OG0001959	LOC108114023|XP_017080259.1|DEUG	LOC6038392|XP_001848199.2|CQUI, LOC6037710|XP_038114451.1|CQUI
OG0001960	LOC108102790|XP_017063447.1|DEUG	LOC6040613|XP_001849983.2|CQUI
OG0001962	LOC108113284|XP_017079323.1|DEUG	LOC6035473|XP_038120793.1|CQUI
OG0001963	LOC108114604|XP_017081154.1|DEUG	LOC6033576|XP_038116392.1|CQUI
OG0001964	LOC108102748|XP_017063388.1|DEUG	LOC119770350|XP_038120975.1|CQUI
OG0001966	LOC108107557|XP_017070637.1|DEUG	LOC6045542|XP_038120964.1|CQUI
OG0001967	LOC108109271|XP_017073249.1|DEUG	LOC6037159|XP_038116491.1|CQUI
OG0001968	LOC108114737|XP_017081338.1|DEUG	LOC119769837|XP_038119461.1|CQUI
OG0001969	LOC108112766|XP_017078515.1|DEUG	LOC6043784|XP_001861388.2|CQUI
OG0001970	LOC108113135|XP_017079131.1|DEUG	LOC6033499|XP_001843940.1|CQUI
OG0001971	LOC108109085|XP_017072940.1|DEUG	LOC119770383|XP_038121065.1|CQUI
OG0001972	LOC108113481|XP_017079553.1|DEUG	LOC6050813|XP_038115650.1|CQUI
OG0001973	LOC108109230|XP_017073192.1|DEUG	LOC6030808|XP_038115981.1|CQUI
OG0001974	LOC108104493|XP_017066096.1|DEUG	LOC6040965|XP_001850286.2|CQUI
OG0001975	LOC108103595|XP_017064612.1|DEUG	LOC6047202|XP_001864288.2|CQUI
OG0001976	LOC108106583|XP_017069253.1|DEUG	LOC6037093|XP_001847040.1|CQUI
OG0001977	LOC108106926|XP_017069674.1|DEUG	LOC119767020|XP_038110184.1|CQUI, LOC6032497|XP_001843086.1|CQUI
OG0001978	LOC108105710|XP_017067913.1|DEUG	LOC6034119|XP_038111127.1|CQUI
OG0001979	LOC108107008|XP_017069841.1|DEUG	LOC6046047|XP_001863303.1|CQUI
OG0001980	LOC108104184|XP_017065610.1|DEUG	LOC6048883|XP_001865727.2|CQUI
OG0001981	LOC108102631|XP_017063234.1|DEUG	LOC6041637|XP_038113783.1|CQUI
OG0001982	LOC108109345|XP_017073292.1|DEUG	LOC6046048|XP_001863304.2|CQUI
OG0001984	LOC108113450|XP_017079513.1|DEUG	LOC6043314|XP_038108458.1|CQUI
OG0001985	LOC108110736|XP_017075429.1|DEUG	LOC6041484|XP_038107733.1|CQUI
OG0001986	LOC108106909|XP_017069649.1|DEUG	LOC6039572|XP_038113369.1|CQUI
OG0001987	LOC108118519|XP_017086753.1|DEUG	LOC6033795|XP_038108902.1|CQUI, LOC6047193|XP_038106698.1|CQUI
OG0001988	LOC108112529|XP_017077944.1|DEUG	LOC6031811|XP_038108479.1|CQUI
OG0001989	LOC108110431|XP_017074986.1|DEUG	LOC6038274|XP_001848097.2|CQUI
OG0001990	LOC108111139|XP_017075994.1|DEUG	LOC6038269|XP_038107998.1|CQUI
OG0001991	LOC108118109|XP_017086147.1|DEUG	LOC6045657|XP_038110933.1|CQUI
OG0001992	LOC108104115|XP_017065504.1|DEUG	LOC6048798|XP_038109494.1|CQUI
OG0001993	LOC108106990|XP_017069817.1|DEUG	LOC6034237|XP_001844584.2|CQUI, LOC6040852|XP_001850184.1|CQUI
OG0001994	LOC108117171|XP_017084941.1|DEUG	LOC6031207|XP_001842041.2|CQUI
OG0001995	LOC108106996|XP_017069824.1|DEUG	LOC6033195|XP_001843675.2|CQUI
OG0001996	LOC108102650|XP_017063274.1|DEUG	LOC6031275|XP_038108642.1|CQUI
OG0001997	LOC108107292|XP_017070238.1|DEUG	LOC6042869|XP_001853641.1|CQUI
OG0001998	LOC108107288|XP_017070231.1|DEUG	LOC6052519|XP_038108714.1|CQUI
OG0001999	LOC108104799|XP_017066559.1|DEUG	LOC6049002|XP_038107788.1|CQUI
OG0002000	LOC108106196|XP_017068612.1|DEUG	LOC6054187|XP_038109989.1|CQUI
OG0002001	LOC108105675|XP_017067866.1|DEUG	LOC6033119|XP_038108756.1|CQUI
OG0002002	LOC108106667|XP_017069386.1|DEUG	LOC6042111|XP_001851261.2|CQUI
OG0002003	LOC108110700|XP_017075330.1|DEUG	LOC6044259|XP_001861798.1|CQUI
OG0002004	LOC108103079|XP_017063918.1|DEUG	LOC6036173|XP_038111988.1|CQUI
OG0002005	LOC108102463|XP_017062999.1|DEUG	LOC6033275|XP_038111843.1|CQUI
OG0002006	LOC108106969|XP_017069760.1|DEUG	LOC6033224|XP_038110957.1|CQUI
OG0002008	LOC108102371|XP_017062779.1|DEUG	LOC6036447|XP_038109172.1|CQUI
OG0002009	LOC108112245|XP_017077556.1|DEUG	LOC6036465|XP_038112709.1|CQUI
OG0002010	LOC108110978|XP_017075775.1|DEUG	LOC6036482|XP_001846532.2|CQUI
OG0002011	LOC108114881|XP_017081528.1|DEUG	LOC6034391|XP_001844709.2|CQUI
OG0002012	LOC108102548|XP_017063098.1|DEUG	LOC6036347|XP_038112714.1|CQUI
OG0002013	LOC108106843|XP_017069568.1|DEUG	LOC6046639|XP_038107918.1|CQUI
OG0002014	LOC108109217|XP_017073170.1|DEUG	LOC6035997|XP_038111448.1|CQUI
OG0002015	LOC108106864|XP_017069597.1|DEUG	LOC6034825|XP_001845096.2|CQUI
OG0002016	LOC108104518|XP_017066136.1|DEUG	LOC6050974|XP_038107602.1|CQUI
OG0002017	LOC108111047|XP_017075865.1|DEUG	LOC6054171|XP_038108914.1|CQUI
OG0002018	LOC108106989|XP_017069815.1|DEUG	LOC6032135|XP_001842789.2|CQUI
OG0002019	LOC108104122|XP_017065513.1|DEUG	LOC6046126|XP_038110758.1|CQUI
OG0002020	LOC108106935|XP_017069689.1|DEUG	LOC6038005|XP_038108837.1|CQUI
OG0002021	LOC108109121|XP_017073005.1|DEUG	LOC6037998|XP_001847845.2|CQUI
OG0002022	LOC108115506|XP_017082487.1|DEUG	LOC119767624|XP_038112509.1|CQUI
OG0002023	LOC108116962|XP_017084607.1|DEUG	LOC6036020|XP_038109557.1|CQUI
OG0002024	LOC108111137|XP_017075992.1|DEUG	LOC6033634|XP_001844061.1|CQUI
OG0002025	LOC108112173|XP_017077465.1|DEUG	LOC6048337|XP_038109427.1|CQUI
OG0002026	LOC108108713|XP_017072335.1|DEUG	LOC6046087|XP_038119029.1|CQUI
OG0002027	LOC108112504|XP_017077872.1|DEUG	LOC6038993|XP_038118649.1|CQUI
OG0002028	LOC108107326|XP_017070300.1|DEUG	LOC6038987|XP_038119452.1|CQUI
OG0002029	LOC108107635|XP_017070709.1|DEUG	LOC6044744|XP_038117028.1|CQUI
OG0002030	LOC108107206|XP_017070111.1|DEUG	LOC6036738|XP_001846737.1|CQUI
OG0002031	LOC108106412|XP_017068921.1|DEUG	LOC6034192|XP_001844547.2|CQUI
OG0002032	LOC108110194|XP_017074644.1|DEUG	LOC6047494|XP_001864549.2|CQUI
OG0002033	LOC108117609|XP_017085622.1|DEUG	LOC6033021|XP_038119287.1|CQUI
OG0002034	LOC108118538|XP_017086777.1|DEUG	LOC6033038|XP_038115410.1|CQUI
OG0002036	LOC108108361|XP_017071892.1|DEUG	LOC6050995|XP_038121187.1|CQUI
OG0002037	LOC108108042|XP_017071405.1|DEUG	LOC6046238|XP_001863465.1|CQUI
OG0002038	LOC108105918|XP_017068191.1|DEUG, LOC108117307|XP_017085156.1|DEUG	LOC6048866|XP_001865713.1|CQUI
OG0002039	LOC108117443|XP_017085352.1|DEUG	LOC6041739|XP_001850959.1|CQUI
OG0002040	LOC108104322|XP_017065794.1|DEUG	LOC6049016|XP_038115728.1|CQUI
OG0002041	LOC108104542|XP_017066171.1|DEUG	LOC6053561|XP_038121322.1|CQUI
OG0002042	LOC108116210|XP_017083484.1|DEUG	LOC6042060|XP_001851213.1|CQUI
OG0002043	LOC108115365|XP_017082281.1|DEUG	LOC6046279|XP_001863506.2|CQUI
OG0002044	LOC108115616|XP_017082638.1|DEUG	LOC6049246|XP_038115174.1|CQUI
OG0002045	LOC108109587|XP_017073653.1|DEUG	LOC6046000|XP_038119279.1|CQUI
OG0002046	LOC108117721|XP_017085769.1|DEUG	LOC6044308|XP_038119321.1|CQUI
OG0002047	LOC108103751|XP_017064848.1|DEUG	LOC6050271|XP_038122220.1|CQUI
OG0002048	LOC108111726|XP_017076768.1|DEUG	LOC6042553|XP_038120962.1|CQUI
OG0002049	LOC108116362|XP_017083675.1|DEUG	LOC6039492|XP_038115951.1|CQUI
OG0002050	LOC108116378|XP_017083708.1|DEUG	LOC6043404|XP_038115088.1|CQUI
OG0002051	LOC108106682|XP_017069402.1|DEUG	LOC6051287|XP_038119820.1|CQUI
OG0002053	LOC108109541|XP_017073599.1|DEUG	LOC6040835|XP_038116346.1|CQUI
OG0002054	LOC108115324|XP_017082221.1|DEUG	LOC6035830|XP_001845950.2|CQUI
OG0002055	LOC108111792|XP_017076870.1|DEUG	LOC6038958|XP_038120809.1|CQUI
OG0002056	LOC108107821|XP_017071057.1|DEUG	LOC6038943|XP_038120800.1|CQUI
OG0002057	LOC108111178|XP_017076047.1|DEUG	LOC6034056|XP_038120930.1|CQUI
OG0002058	LOC108104649|XP_017066319.1|DEUG	LOC6033986|XP_001844369.2|CQUI
OG0002059	LOC108113749|XP_017079932.1|DEUG	LOC6033981|XP_038120952.1|CQUI
OG0002060	LOC108106699|XP_017069421.1|DEUG	LOC6033990|XP_038119391.1|CQUI
OG0002061	LOC108107439|XP_017070468.1|DEUG	LOC6033991|XP_001844379.1|CQUI
OG0002062	LOC108117693|XP_017085711.1|DEUG	LOC6037972|XP_038118109.1|CQUI
OG0002063	LOC108109724|XP_017073858.1|DEUG	LOC119769819|XP_038119432.1|CQUI
OG0002064	LOC108108141|XP_017071557.1|DEUG	LOC6047178|XP_038120724.1|CQUI
OG0002065	LOC108107826|XP_017071065.1|DEUG	LOC6046202|XP_038120624.1|CQUI
OG0002066	LOC108116352|XP_017083656.1|DEUG	LOC6039967|XP_038109379.1|CQUI
OG0002067	LOC108107327|XP_017070302.1|DEUG	LOC6044111|XP_038112191.1|CQUI
OG0002068	LOC108113089|XP_017079024.1|DEUG	LOC119766543|XP_038107216.1|CQUI
OG0002069	LOC108107025|XP_017069862.1|DEUG	LOC6041145|XP_001850445.2|CQUI
OG0002070	LOC108116524|XP_017083950.1|DEUG	LOC6041138|XP_001850438.2|CQUI
OG0002071	LOC108113742|XP_017079920.1|DEUG	LOC6036873|XP_038107719.1|CQUI
OG0002072	LOC108113368|XP_017079424.1|DEUG	LOC119767954|XP_038113954.1|CQUI, LOC119767948|XP_038113941.1|CQUI
OG0002073	LOC108104276|XP_017065716.1|DEUG	LOC6037933|XP_038116801.1|CQUI
OG0002074	LOC108106780|XP_017069510.1|DEUG	LOC6034286|XP_001844626.2|CQUI
OG0002075	LOC108107164|XP_017070065.1|DEUG	LOC6051422|XP_001867860.2|CQUI
OG0002076	LOC108112911|XP_017078771.1|DEUG	LOC6053604|XP_038109672.1|CQUI
OG0002077	LOC108102794|XP_017063451.1|DEUG	LOC6048428|XP_038107454.1|CQUI
OG0002078	LOC108106249|XP_017068704.1|DEUG	LOC6049195|XP_038108184.1|CQUI
OG0002079	LOC108114332|XP_017080745.1|DEUG	LOC6035445|XP_038113391.1|CQUI
OG0002080	LOC108113176|XP_017079182.1|DEUG	LOC6045702|XP_038109755.1|CQUI
OG0002081	LOC108107495|XP_017070532.1|DEUG	LOC6045982|XP_001863256.2|CQUI
OG0002082	LOC108112714|XP_017078429.1|DEUG	LOC6036748|XP_038113901.1|CQUI
OG0002083	LOC108103296|XP_017064204.1|DEUG	LOC6035972|XP_038107184.1|CQUI
OG0002084	LOC108112671|XP_017078299.1|DEUG	LOC6035707|XP_038108824.1|CQUI
OG0002085	LOC108112964|XP_017078853.1|DEUG	LOC6042460|XP_038114127.1|CQUI
OG0002086	LOC108113323|XP_017079366.1|DEUG	LOC6046954|XP_001864067.2|CQUI
OG0002087	LOC108107558|XP_017070600.1|DEUG	LOC6035876|XP_038112932.1|CQUI
OG0002088	LOC108114396|XP_017080858.1|DEUG	LOC6048576|XP_038109929.1|CQUI
OG0002090	LOC108114570|XP_017081110.1|DEUG	LOC6048571|XP_038112054.1|CQUI
OG0002091	LOC108107234|XP_017070141.1|DEUG	LOC6042356|XP_001851484.1|CQUI
OG0002092	LOC108114255|XP_017080640.1|DEUG	LOC6042361|XP_001851488.2|CQUI, LOC6036907|XP_038108108.1|CQUI
OG0002093	LOC108112009|XP_017077236.1|DEUG	LOC6046499|XP_038110633.1|CQUI
OG0002094	LOC108107232|XP_017070139.1|DEUG	LOC6040957|XP_038113605.1|CQUI
OG0002095	LOC108105108|XP_017067031.1|DEUG	LOC6036091|XP_001846184.1|CQUI
OG0002096	LOC108106469|XP_017069028.1|DEUG	LOC6047564|XP_038107160.1|CQUI
OG0002097	LOC108104812|XP_017066585.1|DEUG	LOC6032274|XP_038114310.1|CQUI
OG0002098	LOC108108800|XP_017072470.1|DEUG	LOC6054484|XP_038109600.1|CQUI, LOC6050613|XP_038110230.1|CQUI
OG0002099	LOC108109528|XP_017073581.1|DEUG	LOC6052912|XP_038113126.1|CQUI
OG0002100	LOC108118242|XP_017086319.1|DEUG	LOC6037635|XP_001847522.2|CQUI, LOC6037636|XP_038113451.1|CQUI
OG0002101	LOC108113412|XP_017079458.1|DEUG	LOC6034560|XP_038108470.1|CQUI
OG0002102	LOC108109088|XP_017072946.1|DEUG	LOC6040553|XP_001849935.2|CQUI
OG0002103	LOC108109548|XP_017073607.1|DEUG	LOC6039927|XP_038104265.1|CQUI
OG0002117	LOC108109279|XP_017073260.1|DEUG	LOC6035092|XP_001845324.2|CQUI
OG0002118	LOC108117448|XP_017085354.1|DEUG	LOC6038196|XP_001848026.2|CQUI
OG0002119	LOC108113728|XP_017079903.1|DEUG	LOC6052831|XP_038104539.1|CQUI
OG0002120	LOC108102378|XP_017062791.1|DEUG	LOC6038312|XP_038104590.1|CQUI
OG0002121	LOC108116026|XP_017083202.1|DEUG	LOC6048963|XP_038111521.1|CQUI
OG0002123	LOC108107033|XP_017069879.1|DEUG	LOC6040410|XP_038105742.1|CQUI
OG0002124	LOC108110002|XP_017074328.1|DEUG	LOC119770815|XP_038122274.1|CQUI
OG0002125	LOC108106383|XP_017068872.1|DEUG	LOC119771160|XP_038122537.1|CQUI, LOC119765095|XP_038104176.1|CQUI
OG0002126	LOC108113940|XP_017080137.1|DEUG, LOC108117991|XP_017086023.1|DEUG	LOC6053690|XP_001869735.2|CQUI
OG0002127	LOC108105381|XP_017067411.1|DEUG	LOC6051305|XP_038105747.1|CQUI
OG0002128	LOC108109934|XP_017074225.1|DEUG	LOC6050201|XP_038114963.1|CQUI
OG0002129	LOC108117176|XP_017084949.1|DEUG	LOC6038188|XP_038108193.1|CQUI
OG0002130	LOC108102459|XP_017062956.1|DEUG	LOC6048461|XP_001865375.1|CQUI
OG0002131	LOC108105267|XP_017067236.1|DEUG	LOC6041291|XP_038105189.1|CQUI
OG0002132	LOC108110968|XP_017075758.1|DEUG	LOC6042241|XP_001851379.1|CQUI
OG0002133	LOC108103859|XP_017065055.1|DEUG	LOC6041277|XP_001850564.2|CQUI
OG0002134	LOC108105364|XP_017067379.1|DEUG	LOC6053321|XP_038104459.1|CQUI
OG0002135	LOC108103448|XP_017064418.1|DEUG	LOC6039380|XP_001848994.2|CQUI, LOC6038451|XP_038114365.1|CQUI
OG0002136	LOC108111424|XP_017076372.1|DEUG	LOC6052854|XP_038114943.1|CQUI
OG0002137	LOC108116599|XP_017084042.1|DEUG	LOC6035107|XP_001845343.2|CQUI
OG0002138	LOC108117624|XP_017085643.1|DEUG	LOC6053774|XP_001869800.2|CQUI
OG0002139	LOC108110403|XP_017074958.1|DEUG	LOC6054308|XP_038112556.1|CQUI
OG0002140	LOC108103158|XP_017064028.1|DEUG	LOC6052944|XP_038122401.1|CQUI
OG0002141	LOC108108645|XP_017072240.1|DEUG	LOC6052597|XP_001868840.1|CQUI
OG0002142	LOC108115018|XP_017081749.1|DEUG	LOC6044771|XP_001862230.2|CQUI
OG0002143	LOC108102643|XP_017063254.1|DEUG	LOC6049815|XP_001866521.2|CQUI
OG0002144	LOC108102358|XP_017062743.1|DEUG, LOC108102307|XP_017062556.1|DEUG	LOC6045241|XP_001862632.1|CQUI
OG0002145	LOC108117286|XP_017085129.1|DEUG	LOC6054639|XP_038108283.1|CQUI
OG0002146	LOC108104166|XP_017065558.1|DEUG, LOC108114993|XP_017081716.1|DEUG	LOC6036975|XP_038114349.1|CQUI
OG0002147	LOC108110130|XP_017074525.1|DEUG	LOC6050629|XP_038108543.1|CQUI
OG0002148	LOC108108210|XP_017071660.1|DEUG	LOC6049935|XP_038105474.1|CQUI
OG0002149	LOC108102369|XP_017062776.1|DEUG	LOC6049814|XP_038122450.1|CQUI
OG0002150	LOC108110054|XP_017074418.1|DEUG	LOC6042689|XP_038115140.1|CQUI
OG0002151	LOC108110512|XP_017075081.1|DEUG	LOC6042690|XP_001870711.1|CQUI
OG0002152	LOC108116875|XP_017084457.1|DEUG	LOC6043588|XP_038111921.1|CQUI
OG0002153	LOC108115946|XP_017083071.1|DEUG	LOC6051446|XP_038116744.1|CQUI
OG0002154	LOC108102458|XP_017062955.1|DEUG	LOC6038494|XP_038104249.1|CQUI
OG0002155	LOC108113490|XP_017079565.1|DEUG	LOC6045355|XP_001862743.2|CQUI
