Orthogroup	DPSE.longest_only	AALB.longest_only
OG0001922	LOC4805499|XP_001361893.2|DPSE	LOC118465947|XP_035790567.1|AALB
OG0001924	LOC6899751|XP_002135787.2|DPSE	LOC118463191|XP_035785514.1|AALB
OG0001926	LOC4813940|XP_033239000.1|DPSE	LOC118463886|XP_035786703.1|AALB
OG0001927	LOC4803536|XP_001360246.2|DPSE	LOC118462460|XP_035784026.1|AALB
OG0001928	LOC6897168|XP_002137348.2|DPSE, LOC6900691|XP_033240953.1|DPSE	LOC118466784|XP_035792413.1|AALB
OG0001929	LOC6900681|XP_033240679.1|DPSE	LOC118465196|XP_035789058.1|AALB
OG0001930	LOC4804449|XP_001361010.5|DPSE	LOC118466113|XP_035790939.1|AALB
OG0001932	LOC6900499|XP_033239627.1|DPSE, LOC6901999|XP_002133533.3|DPSE	LOC118465335|XP_035789373.1|AALB
OG0001933	LOC4803940|XP_001360580.1|DPSE	LOC118463843|XP_035786640.1|AALB
OG0001934	LOC6900677|XP_002135041.3|DPSE	LOC118462699|XP_035784520.1|AALB
OG0001935	LOC4812137|XP_001352540.4|DPSE	LOC118465905|XP_035790462.1|AALB
OG0001937	LOC6898052|XP_002138138.2|DPSE	LOC118463769|XP_035786477.1|AALB
OG0001938	LOC4804746|XP_001361258.2|DPSE	LOC118463036|XP_035785174.1|AALB
OG0001939	LOC4805174|XP_001361620.1|DPSE	LOC118467120|XP_035793082.1|AALB
OG0001940	LOC4803642|XP_033234957.1|DPSE	LOC118465234|XP_035789133.1|AALB
OG0001941	LOC4812042|XP_033239537.1|DPSE	LOC118464487|XP_035787805.1|AALB
OG0001942	LOC6898084|XP_002138169.3|DPSE	LOC118462917|XP_035784915.1|AALB
OG0001943	LOC4812175|XP_001352542.3|DPSE	LOC118467090|XP_035793028.1|AALB
OG0001944	LOC4812188|XP_001352469.2|DPSE	LOC118464839|XP_035788413.1|AALB
OG0001945	LOC4805011|XP_033235066.1|DPSE	LOC118467171|XP_035793233.1|AALB
OG0001946	LOC4804912|XP_001361397.2|DPSE	LOC118467876|XP_035794681.1|AALB
OG0001947	LOC4805368|XP_001361779.5|DPSE	LOC118465373|XP_035789461.1|AALB
OG0001948	LOC4814400|XP_001354354.2|DPSE	LOC118466945|XP_035792739.1|AALB
OG0001949	LOC4813880|XP_033239985.1|DPSE	LOC118464673|XP_035788080.1|AALB
OG0001950	LOC4802432|XP_033233005.1|DPSE	LOC118464269|XP_035787406.1|AALB
OG0001951	LOC4803847|XP_033233941.1|DPSE	LOC118465238|XP_035789144.1|AALB
OG0001952	LOC6899550|XP_033235123.1|DPSE	LOC118464710|XP_035788134.1|AALB
OG0001953	LOC4805218|XP_001361659.2|DPSE	LOC118465210|XP_035789095.1|AALB
OG0001954	LOC6898406|XP_033233970.1|DPSE	LOC118465792|XP_035790223.1|AALB
OG0001955	LOC4805334|XP_001361750.2|DPSE	LOC118466131|XP_035790974.1|AALB
OG0001956	LOC6899982|XP_033240181.1|DPSE	LOC118467350|XP_035793626.1|AALB
OG0001957	LOC4803773|XP_001360435.1|DPSE	LOC118462580|XP_035784281.1|AALB
OG0001958	LOC4804821|XP_033234767.1|DPSE	LOC118467524|XP_035793979.1|AALB
OG0001959	LOC4813203|XP_033240136.1|DPSE	LOC118464785|XP_035788309.1|AALB, LOC118465453|XP_035789620.1|AALB
OG0001960	LOC4814127|XP_015042447.1|DPSE	LOC118462936|XP_035784947.1|AALB
OG0001961	LOC4804689|XP_015040113.2|DPSE	LOC118463019|XP_035785144.1|AALB
OG0001962	LOC4804439|XP_001361001.4|DPSE	LOC118462603|XP_035784325.1|AALB
OG0001963	LOC4812293|XP_001352440.1|DPSE	LOC118466213|XP_035791129.1|AALB
OG0001964	LOC4812878|XP_001353233.4|DPSE	LOC118463972|XP_035786867.1|AALB
OG0001966	LOC4801193|XP_001358322.3|DPSE	LOC118462549|XP_035784208.1|AALB
OG0001967	LOC4803760|XP_001360424.3|DPSE	LOC118465763|XP_035790164.1|AALB
OG0001968	LOC4812213|XP_015043819.2|DPSE	LOC118467721|XP_035794416.1|AALB
OG0001970	LOC4803853|XP_001360504.1|DPSE	LOC118466245|XP_035791190.1|AALB
OG0001971	LOC4804972|XP_001361447.3|DPSE	LOC118466947|XP_035792741.1|AALB
OG0001972	LOC4803328|XP_001357514.2|DPSE	LOC118466948|XP_035792742.1|AALB
OG0001973	LOC15382900|XP_004444214.3|DPSE	LOC118463909|XP_035786739.1|AALB
OG0001974	LOC4804513|XP_001361065.3|DPSE	LOC118464029|XP_035786981.1|AALB
OG0001975	LOC4812982|XP_001354042.2|DPSE	LOC118464007|XP_035786948.1|AALB
OG0001976	LOC6898044|XP_002138132.1|DPSE	LOC118465834|XP_035790321.1|AALB
OG0001978	LOC4817658|XP_001357050.1|DPSE	LOC118460388|XP_035780554.1|AALB
OG0001979	LOC4816803|XP_001356719.2|DPSE	LOC118457363|XP_035774773.1|AALB
OG0001980	LOC4817809|XP_033235870.1|DPSE	LOC118459531|XP_035778883.1|AALB
OG0001981	LOC4817017|XP_033236178.1|DPSE	LOC118458374|XP_035776666.1|AALB
OG0001982	LOC13036543|XP_003736156.1|DPSE	LOC118458378|XP_035776677.1|AALB
OG0001983	LOC26534190|XP_033236662.1|DPSE	LOC118456372|XP_035772949.1|AALB
OG0001984	LOC4817847|XP_033235276.1|DPSE	LOC118456830|XP_035773819.1|AALB
OG0001985	LOC4817201|XP_001356369.2|DPSE	LOC118460403|XP_035780575.1|AALB
OG0001986	LOC4818167|XP_001357408.3|DPSE	LOC118457311|XP_035774690.1|AALB
OG0001987	LOC4815951|XP_001355566.3|DPSE	LOC118464150|XP_035787163.1|AALB
OG0001988	LOC4803925|XP_001360566.3|DPSE	LOC118461200|XP_035782144.1|AALB
OG0001989	LOC4817547|XP_002132851.1|DPSE	LOC118457447|XP_035774934.1|AALB
OG0001990	LOC26532979|XP_033236342.1|DPSE	LOC118468625|XP_035795533.1|AALB, LOC118468629|XP_035795536.1|AALB
OG0001991	LOC6899530|XP_033235949.1|DPSE	LOC118457466|XP_035774979.1|AALB
OG0001992	LOC4817323|XP_033235478.1|DPSE	LOC118457463|XP_035774972.1|AALB
OG0001993	LOC4818176|XP_001357286.1|DPSE	LOC118458744|XP_035777414.1|AALB
OG0001994	LOC4800536|XP_015038646.2|DPSE	LOC118456461|XP_035773130.1|AALB
OG0001995	LOC4816450|XP_001356257.2|DPSE	LOC118457440|XP_035774923.1|AALB, LOC118457439|XP_035774922.1|AALB
OG0001996	LOC6903575|XP_033236000.1|DPSE	LOC118457486|XP_035775006.1|AALB
OG0001997	LOC4804704|XP_001361222.3|DPSE	LOC118468715|XP_035795739.1|AALB
OG0001998	LOC4804702|XP_001361220.3|DPSE	LOC118467467|XP_035793878.1|AALB
OG0001999	LOC4804201|XP_033233745.1|DPSE	LOC118456269|XP_035772762.1|AALB
OG0002000	LOC4817170|XP_001356882.3|DPSE	LOC118458276|XP_035776489.1|AALB
OG0002001	LOC4817651|XP_001357043.4|DPSE	LOC118460756|XP_035781243.1|AALB
OG0002002	LOC4803534|XP_001360244.2|DPSE	LOC118457985|XP_035775940.1|AALB
OG0002003	LOC4816167|XP_015036950.2|DPSE	LOC118456221|XP_035772698.1|AALB
OG0002004	LOC4817678|XP_015036437.2|DPSE	LOC118459240|XP_035778334.1|AALB
OG0002005	LOC4818173|XP_033235465.1|DPSE	LOC118460927|XP_035781580.1|AALB
OG0002006	LOC4817881|XP_015035536.2|DPSE	LOC118457699|XP_035775369.1|AALB
OG0002008	LOC4811811|XP_033237244.1|DPSE	LOC118458715|XP_035777351.1|AALB
OG0002009	LOC4805494|XP_001361889.1|DPSE	LOC118459020|XP_035777917.1|AALB
OG0002010	LOC4816188|XP_001355800.3|DPSE	LOC118461945|XP_035783720.1|AALB
OG0002011	LOC4816703|XP_001356105.3|DPSE	LOC118459834|XP_035779492.1|AALB
OG0002012	LOC4816814|XP_001356812.2|DPSE	LOC118458497|XP_035776943.1|AALB
OG0002013	LOC117184018|XP_033235848.1|DPSE, LOC4816573|XP_033235692.1|DPSE	LOC118457373|XP_035774795.1|AALB
OG0002014	LOC4805525|XP_001361914.1|DPSE	LOC118456393|XP_035772978.1|AALB, LOC118456381|XP_035772961.1|AALB
OG0002015	LOC4817128|XP_001356471.2|DPSE	LOC118458177|XP_035776278.1|AALB
OG0002016	LOC4804776|XP_001361285.4|DPSE	LOC118458665|XP_035777255.1|AALB
OG0002017	LOC4816551|XP_001356069.2|DPSE	LOC118456466|XP_035773138.1|AALB
OG0002018	LOC6903405|XP_002132284.2|DPSE	LOC118459393|XP_035778589.1|AALB
OG0002019	LOC4817021|XP_001356755.2|DPSE	LOC118466846|XP_035792570.1|AALB
OG0002020	LOC4816368|XP_001356263.2|DPSE	LOC118458077|XP_035776125.1|AALB
OG0002021	LOC4803759|XP_033233608.1|DPSE	LOC118458073|XP_035776119.1|AALB
OG0002022	LOC6903588|XP_033235378.1|DPSE	LOC118460165|XP_035780165.1|AALB
OG0002023	LOC4801405|XP_001358503.3|DPSE	LOC118456887|XP_035773901.1|AALB
OG0002024	LOC4811769|XP_001352338.1|DPSE	LOC118456171|XP_035772608.1|AALB
OG0002025	LOC6903053|XP_002132777.2|DPSE	LOC118468434|XP_035795090.1|AALB
OG0002026	LOC4812394|XP_001352886.3|DPSE	LOC118460286|XP_035780368.1|AALB
OG0002027	LOC6898412|XP_033234456.1|DPSE	LOC118461419|XP_035782605.1|AALB
OG0002028	LOC117184111|XP_033236206.1|DPSE, LOC4803397|XP_033235105.1|DPSE	LOC118456713|XP_035773641.1|AALB
OG0002029	LOC4812927|XP_001353737.3|DPSE	LOC118468842|XP_035795977.1|AALB
OG0002030	LOC4805444|XP_001361845.2|DPSE	LOC118466200|XP_035791111.1|AALB
OG0002031	LOC4804377|XP_015039898.1|DPSE	LOC118465852|XP_035790373.1|AALB
OG0002032	LOC4802810|XP_001359654.3|DPSE	LOC118457242|XP_035774516.1|AALB
OG0002033	LOC4814568|XP_001354747.2|DPSE	LOC118461912|XP_035783662.1|AALB
OG0002034	LOC4816009|XP_001355456.4|DPSE	LOC118456634|XP_035773454.1|AALB
OG0002035	LOC4802026|XP_001359026.5|DPSE	LOC118461229|XP_035782215.1|AALB
OG0002036	LOC6896916|XP_033232494.1|DPSE	LOC118459892|XP_035779585.1|AALB
OG0002037	LOC4812672|XP_001353056.3|DPSE	LOC118461057|XP_035781841.1|AALB
OG0002038	LOC6897907|XP_002138009.2|DPSE	LOC118460995|XP_035781711.1|AALB
OG0002039	LOC4811647|XP_002135773.1|DPSE	LOC118457858|XP_035775644.1|AALB
OG0002040	LOC6897795|XP_033237823.1|DPSE	LOC118469046|XP_035796405.1|AALB
OG0002041	LOC4805056|XP_015040406.1|DPSE	LOC118459543|XP_035778907.1|AALB
OG0002042	LOC4802940|XP_001359755.3|DPSE	LOC118469056|XP_035796416.1|AALB
OG0002043	LOC4802054|XP_001359047.4|DPSE	LOC118456987|XP_035774090.1|AALB
OG0002044	LOC6896878|XP_003736286.2|DPSE	LOC118459967|XP_035779748.1|AALB
OG0002045	LOC4802031|XP_033241834.1|DPSE	LOC118458619|XP_035777195.1|AALB
OG0002046	LOC6901904|XP_002133439.3|DPSE	LOC118468859|XP_035796010.1|AALB
OG0002047	LOC6902117|XP_015041171.2|DPSE	LOC118461300|XP_035782374.1|AALB
OG0002048	LOC4802618|XP_015037945.1|DPSE	LOC118460868|XP_035781492.1|AALB
OG0002049	LOC4802817|XP_015038107.2|DPSE	LOC118458503|XP_035776956.1|AALB
OG0002050	LOC4802545|XP_033232818.1|DPSE	LOC118456163|XP_035772581.1|AALB
OG0002051	LOC6898753|XP_015040367.2|DPSE, LOC15382869|XP_004444371.1|DPSE	LOC118460329|XP_035780436.1|AALB
OG0002053	LOC4803013|XP_001359815.5|DPSE	LOC118468798|XP_035795901.1|AALB
OG0002054	LOC6897174|XP_002137354.2|DPSE	LOC118460093|XP_035780011.1|AALB
OG0002055	LOC4802580|XP_001359474.2|DPSE	LOC118461506|XP_035782828.1|AALB
OG0002056	LOC4813891|XP_001353404.2|DPSE	LOC118459349|XP_035778524.1|AALB
OG0002057	LOC4817269|XP_001356776.2|DPSE	LOC118458329|XP_035776573.1|AALB
OG0002058	LOC4811998|XP_001352504.2|DPSE	LOC118458327|XP_035776571.1|AALB
OG0002059	LOC4803044|XP_001359845.1|DPSE	LOC118458326|XP_035776569.1|AALB
OG0002060	LOC4803980|XP_001360615.2|DPSE	LOC118456869|XP_035773867.1|AALB
OG0002061	LOC4804315|XP_033233798.1|DPSE	LOC118461257|XP_035782269.1|AALB
OG0002062	LOC4815857|XP_015040969.2|DPSE	LOC118456401|XP_035772994.1|AALB
OG0002063	LOC6901845|XP_002133383.1|DPSE	LOC118457322|XP_035774707.1|AALB
OG0002064	LOC6899446|XP_033240224.1|DPSE	LOC118458187|XP_035776324.1|AALB
OG0002065	LOC4813998|XP_015042486.2|DPSE	LOC118458136|XP_035776215.1|AALB
OG0002066	LOC4802883|XP_015038160.2|DPSE	LOC118466598|XP_035792058.1|AALB
OG0002067	LOC4803396|XP_001357526.2|DPSE	LOC118464495|XP_035787816.1|AALB
OG0002068	LOC4804442|XP_001361003.5|DPSE	LOC118456927|XP_035773950.1|AALB
OG0002069	LOC6899750|XP_002135786.2|DPSE	LOC118466559|XP_035791994.1|AALB
OG0002070	LOC4803114|XP_001359911.2|DPSE	LOC118466564|XP_035792000.1|AALB
OG0002071	LOC4801379|XP_001358482.2|DPSE	LOC118465704|XP_035790025.1|AALB
OG0002072	LOC4805475|XP_001361870.2|DPSE	LOC118467214|XP_035793336.1|AALB
OG0002073	LOC4812799|XP_033240350.1|DPSE	LOC118463045|XP_035785181.1|AALB
OG0002074	LOC4804012|XP_001360642.4|DPSE	LOC118462756|XP_035784613.1|AALB
OG0002075	LOC4817452|XP_003736146.1|DPSE	LOC118465358|XP_035789423.1|AALB
OG0002076	LOC4805558|XP_015040719.2|DPSE	LOC118464639|XP_035787988.1|AALB
OG0002077	LOC4812575|XP_015043584.2|DPSE	LOC118465848|XP_035790353.1|AALB
OG0002078	LOC6898804|XP_002138778.2|DPSE	LOC118466738|XP_035792314.1|AALB
OG0002079	LOC4813568|XP_001353299.1|DPSE, LOC117184480|XP_033238179.1|DPSE	LOC118465889|XP_035790433.1|AALB
OG0002080	LOC4805389|XP_001361798.4|DPSE	LOC118463231|XP_035785576.1|AALB
OG0002081	LOC4805629|XP_001362001.1|DPSE	LOC118465508|XP_035789719.1|AALB
OG0002082	LOC4805677|XP_015040786.1|DPSE	LOC118466054|XP_035790786.1|AALB
OG0002083	LOC6902156|XP_033238476.1|DPSE	LOC118467123|XP_035793087.1|AALB
OG0002084	LOC4803706|XP_001360381.2|DPSE	LOC118467827|XP_035794610.1|AALB
OG0002085	LOC4805208|XP_001361649.1|DPSE	LOC118467889|XP_035794695.1|AALB
OG0002086	LOC4803700|XP_001360376.1|DPSE	LOC118463200|XP_035785527.1|AALB
OG0002087	LOC6900845|XP_015043409.2|DPSE	LOC118465455|XP_035789629.1|AALB
OG0002088	LOC4812474|XP_015044069.2|DPSE	LOC118466797|XP_035792441.1|AALB
OG0002089	LOC4805069|XP_001361531.2|DPSE	LOC118467537|XP_035794023.1|AALB
OG0002090	LOC4813071|XP_015042931.1|DPSE	LOC118464893|XP_035788535.1|AALB, LOC118464894|XP_035788537.1|AALB
OG0002091	LOC4805623|XP_033233718.1|DPSE	LOC118467907|XP_035794728.1|AALB
OG0002092	LOC4812347|XP_015043700.1|DPSE	LOC118462883|XP_035784849.1|AALB
OG0002093	LOC4805706|XP_004444583.1|DPSE	LOC118466773|XP_035792391.1|AALB
OG0002094	LOC4803512|XP_001360225.1|DPSE	LOC118467612|XP_035794207.1|AALB
OG0002095	LOC4815478|XP_001355498.1|DPSE	LOC118465265|XP_035789186.1|AALB
OG0002096	LOC6898308|XP_015039510.2|DPSE	LOC118465431|XP_035789558.1|AALB
OG0002097	LOC6898788|XP_002138764.3|DPSE	LOC118462715|XP_035784547.1|AALB
OG0002098	LOC4812329|XP_033241232.1|DPSE	LOC118464480|XP_035787789.1|AALB, LOC118464242|XP_035787333.1|AALB
OG0002099	LOC4801818|XP_001358851.2|DPSE	LOC118463902|XP_035786726.1|AALB
OG0002100	LOC4812849|XP_015042566.2|DPSE	LOC118465683|XP_035790006.1|AALB
OG0002101	LOC6898145|XP_033233209.1|DPSE	LOC118463109|XP_035785324.1|AALB
OG0002102	LOC6898570|XP_033235001.1|DPSE	LOC118465981|XP_035790650.1|AALB
OG0002103	LOC4801812|XP_015037401.2|DPSE	LOC118461459|XP_035782689.1|AALB
OG0002117	LOC6901600|XP_033237843.1|DPSE	LOC118461032|XP_035781806.1|AALB
OG0002118	LOC26533291|XP_033232988.1|DPSE	LOC118459676|XP_035779182.1|AALB
OG0002119	LOC4801842|XP_001358875.2|DPSE	LOC118456356|XP_035772923.1|AALB
OG0002120	LOC6899859|XP_033237161.1|DPSE	LOC118462942|XP_035784978.1|AALB
OG0002121	LOC4800465|XP_015038559.2|DPSE	LOC118466477|XP_035791755.1|AALB
OG0002122	LOC6903329|XP_002132210.2|DPSE	LOC118458836|XP_035777627.1|AALB
OG0002123	LOC4817482|XP_001356478.4|DPSE	LOC118462819|XP_035784733.1|AALB
OG0002124	LOC6901022|XP_002134506.2|DPSE	LOC118460312|XP_035780418.1|AALB
OG0002125	LOC4804992|XP_001361464.3|DPSE	LOC118466010|XP_035790707.1|AALB
OG0002126	LOC4811892|XP_015044084.2|DPSE	LOC118465209|XP_035789092.1|AALB
OG0002127	LOC4815635|XP_001355727.4|DPSE	LOC118466628|XP_035792109.1|AALB, LOC118464457|XP_035787741.1|AALB
OG0002128	LOC4814333|XP_015042207.1|DPSE	LOC118464930|XP_035788599.1|AALB, LOC118469041|XP_035796399.1|AALB
OG0002129	LOC4801975|XP_001358988.3|DPSE	LOC118468698|XP_035795711.1|AALB
OG0002131	LOC6897032|XP_002137217.2|DPSE	LOC118460675|XP_035781045.1|AALB
OG0002132	LOC4817486|XP_001356299.1|DPSE	LOC118460632|XP_035780979.1|AALB
OG0002133	LOC4814561|XP_001354907.2|DPSE	LOC118463640|XP_035786273.1|AALB
OG0002135	LOC6902161|XP_033239930.1|DPSE	LOC118466191|XP_035791107.1|AALB
OG0002136	LOC4800281|XP_001357613.3|DPSE	LOC118465182|XP_035789043.1|AALB
OG0002137	LOC4801749|XP_001358791.1|DPSE	LOC118456285|XP_035772793.1|AALB, LOC118457628|XP_035775240.1|AALB
OG0002138	LOC4815083|XP_001354826.1|DPSE	LOC118465484|XP_035789681.1|AALB, LOC118465810|XP_035790273.1|AALB
OG0002139	LOC4814738|XP_015042117.1|DPSE, LOC6902465|XP_033235713.1|DPSE	LOC118465622|XP_035789916.1|AALB
OG0002140	LOC4815343|XP_001354929.3|DPSE	LOC118457360|XP_035774772.1|AALB
OG0002141	LOC4811789|XP_001352357.2|DPSE	LOC118460121|XP_035780053.1|AALB
OG0002142	LOC4802741|XP_033240251.1|DPSE	LOC118463855|XP_035786659.1|AALB
OG0002143	LOC4817608|XP_001357010.4|DPSE	LOC118462514|XP_035784139.1|AALB
OG0002144	LOC6899834|XP_002135701.2|DPSE	LOC118462711|XP_035784545.1|AALB
OG0002145	LOC4803061|XP_001359862.2|DPSE	LOC118461456|XP_035782684.1|AALB
OG0002146	LOC4802739|XP_001359602.1|DPSE	LOC118462566|XP_035784260.1|AALB
OG0002148	LOC4812425|XP_001352856.4|DPSE	LOC118468438|XP_035795098.1|AALB
OG0002149	LOC6899879|XP_033237088.1|DPSE	LOC118464173|XP_035787210.1|AALB
OG0002150	LOC4815585|XP_033238603.1|DPSE	LOC118462183|XP_035784003.1|AALB
OG0002151	LOC4818094|XP_001357397.3|DPSE	LOC118457299|XP_035774662.1|AALB
OG0002152	LOC4801445|XP_033232376.1|DPSE	LOC118465022|XP_035788779.1|AALB
OG0002153	LOC4800500|XP_001357766.3|DPSE	LOC118460743|XP_035781208.1|AALB
OG0002154	LOC4816033|XP_033238438.1|DPSE	LOC118466594|XP_035792054.1|AALB
OG0002155	LOC4800316|XP_001357592.2|DPSE	LOC118459105|XP_035778065.1|AALB
OG0002156	LOC6900452|XP_015042780.1|DPSE	LOC118466522|XP_035791910.1|AALB
OG0002157	LOC4801392|XP_033235075.1|DPSE	LOC118457151|XP_035774369.1|AALB
OG0002158	LOC4804443|XP_001361004.1|DPSE	LOC118464702|XP_035788123.1|AALB
OG0002159	LOC4804489|XP_001361045.1|DPSE	LOC118466271|XP_035791236.1|AALB, LOC118456853|XP_035773845.1|AALB
OG0002160	LOC4800645|XP_001357880.4|DPSE	LOC118460351|XP_035780487.1|AALB
OG0002161	LOC4801839|XP_001358872.1|DPSE	LOC118461084|XP_035781873.1|AALB
OG0002162	LOC4801044|XP_033241706.1|DPSE	LOC118460197|XP_035780196.1|AALB
OG0002163	LOC4814236|XP_033239157.1|DPSE	LOC118461470|XP_035782709.1|AALB
OG0002164	LOC4802423|XP_001359345.2|DPSE	LOC118461637|XP_035783100.1|AALB
OG0002165	LOC6897406|XP_002137558.2|DPSE	LOC118460366|XP_035780509.1|AALB
OG0002166	LOC4816674|XP_001355901.2|DPSE	LOC118459445|XP_035778716.1|AALB
OG0002167	LOC4804608|XP_033234241.1|DPSE	LOC118459446|XP_035778731.1|AALB
OG0002168	LOC4803504|XP_001360218.3|DPSE	LOC118463178|XP_035785478.1|AALB, LOC118463133|XP_035785389.1|AALB
OG0002169	LOC6897298|XP_002137457.2|DPSE, LOC6900740|XP_002135100.2|DPSE	LOC118462753|XP_035784609.1|AALB
OG0002170	LOC4811779|XP_033237304.1|DPSE	LOC118456418|XP_035773044.1|AALB
OG0002171	LOC26533134|XP_015035107.2|DPSE, LOC13036518|XP_033232481.1|DPSE	LOC118460200|XP_035780201.1|AALB
OG0002172	LOC4801169|XP_001358303.2|DPSE	LOC118457818|XP_035775584.1|AALB
OG0002173	LOC4817918|XP_001357234.1|DPSE	LOC118468576|XP_035795401.1|AALB
OG0002174	LOC4801078|XP_001358237.4|DPSE	LOC118458978|XP_035777866.1|AALB
OG0002175	LOC4801077|XP_001358236.1|DPSE	LOC118458979|XP_035777867.1|AALB
OG0002176	LOC4800512|XP_001357777.1|DPSE	LOC118459501|XP_035778819.1|AALB
OG0002177	LOC4800799|XP_001358010.1|DPSE	LOC118457936|XP_035775841.1|AALB
OG0002178	LOC4801147|XP_001358285.4|DPSE	LOC118460922|XP_035781569.1|AALB
OG0002179	LOC4811816|XP_001352379.4|DPSE	LOC118456513|XP_035773241.1|AALB
OG0002180	LOC6896726|XP_003736237.2|DPSE	LOC118460315|XP_035780417.1|AALB
OG0002181	LOC4815591|XP_001355661.1|DPSE	LOC118457098|XP_035774278.1|AALB
OG0002182	LOC4801292|XP_015037133.2|DPSE	LOC118457816|XP_035775571.1|AALB
OG0002183	LOC4804612|XP_001361145.5|DPSE	LOC118457826|XP_035775593.1|AALB
OG0002184	LOC4801630|XP_001358686.2|DPSE	LOC118458249|XP_035776422.1|AALB
OG0002185	LOC4800694|XP_015038652.1|DPSE	LOC118462036|XP_035783903.1|AALB
OG0002186	LOC4818010|XP_001357198.2|DPSE	LOC118461639|XP_035783102.1|AALB
OG0002187	LOC4801658|XP_001358710.1|DPSE	LOC118461517|XP_035782842.1|AALB
OG0002188	LOC4804306|XP_001360886.2|DPSE	LOC118464488|XP_035787808.1|AALB
OG0002189	LOC26533533|XP_015044546.2|DPSE	LOC118457718|XP_035775401.1|AALB
OG0002190	LOC4801742|XP_033241804.1|DPSE	LOC118468668|XP_035795615.1|AALB
OG0002191	LOC4812387|XP_001353010.2|DPSE	LOC118461342|XP_035782447.1|AALB
OG0002192	LOC4813628|XP_001353989.3|DPSE	LOC118463197|XP_035785524.1|AALB
OG0002193	LOC6899343|XP_033233400.1|DPSE, LOC4801028|XP_015038643.2|DPSE	LOC118461675|XP_035783159.1|AALB
OG0002194	LOC4801190|XP_001358320.3|DPSE	LOC118457721|XP_035775405.1|AALB
OG0002195	LOC4801769|XP_001358810.4|DPSE	LOC118456905|XP_035773923.1|AALB
OG0002196	LOC117183968|XP_033235612.1|DPSE, LOC4803224|XP_001360000.1|DPSE	LOC118458158|XP_035776248.1|AALB
OG0002197	LOC6899959|XP_002135327.2|DPSE	LOC118459491|XP_035778803.1|AALB
OG0002198	LOC6897882|XP_015038215.2|DPSE	LOC118456733|XP_035773672.1|AALB
OG0002199	LOC4801711|XP_001358758.3|DPSE	LOC118459620|XP_035779088.1|AALB
OG0002200	LOC4816067|XP_001355617.2|DPSE	LOC118458709|XP_035777342.1|AALB
OG0002202	LOC4801308|XP_015037148.2|DPSE	LOC118461486|XP_035782755.1|AALB
OG0002203	LOC4801723|XP_033240169.1|DPSE	LOC118468834|XP_035795967.1|AALB
OG0002204	LOC4801369|XP_001358476.2|DPSE	LOC118457345|XP_035774735.1|AALB
OG0002205	LOC4801281|XP_001358401.3|DPSE	LOC118457621|XP_035775230.1|AALB
OG0002206	LOC4801534|XP_003736536.3|DPSE	LOC118459116|XP_035778074.1|AALB
OG0002207	LOC4801871|XP_033238940.1|DPSE	LOC118457570|XP_035775138.1|AALB
OG0002208	LOC6897140|XP_002137320.2|DPSE	LOC118458446|XP_035776821.1|AALB
OG0002209	LOC4815563|XP_001355390.1|DPSE	LOC118459810|XP_035779445.1|AALB
OG0002210	LOC6897389|XP_003736628.2|DPSE	LOC118459808|XP_035779442.1|AALB
OG0002211	LOC4801272|XP_001358392.2|DPSE	LOC118457884|XP_035775706.1|AALB, LOC118457882|XP_035775704.1|AALB
OG0002212	LOC4800516|XP_001357781.1|DPSE	LOC118459829|XP_035779485.1|AALB
OG0002213	LOC4802274|XP_001359226.1|DPSE	LOC118461266|XP_035782292.1|AALB
OG0002214	LOC6896974|XP_033232526.1|DPSE	LOC118456662|XP_035773509.1|AALB
OG0002215	LOC6897024|XP_002137209.4|DPSE	LOC118466705|XP_035792244.1|AALB
OG0002216	LOC117184028|XP_033235892.1|DPSE, LOC6902957|XP_002132683.2|DPSE	LOC118458540|XP_035777015.1|AALB
OG0002217	LOC4801361|XP_001358468.2|DPSE	LOC118459559|XP_035778951.1|AALB
OG0002218	LOC4816021|XP_001355279.2|DPSE	LOC118456590|XP_035773381.1|AALB
OG0002219	LOC4801991|XP_001359002.3|DPSE	LOC118458854|XP_035777668.1|AALB, LOC118456583|XP_035773367.1|AALB
OG0002220	LOC4801992|XP_033233457.1|DPSE	LOC118460354|XP_035780489.1|AALB
OG0002221	LOC4812746|XP_001353124.4|DPSE	LOC118466122|XP_035790961.1|AALB
OG0002222	LOC4805451|XP_001361850.5|DPSE	LOC118465306|XP_035789299.1|AALB
OG0002224	LOC4804900|XP_033234157.1|DPSE	LOC118466447|XP_035791661.1|AALB
OG0002225	LOC6899990|XP_002135356.3|DPSE	LOC118464801|XP_035788354.1|AALB
OG0002226	LOC4803424|XP_001360139.1|DPSE	LOC118464919|XP_035788585.1|AALB
OG0002227	LOC4804232|XP_033234573.1|DPSE	LOC118466510|XP_035791849.1|AALB
OG0002228	LOC4803580|XP_001360284.2|DPSE	LOC118466654|XP_035792134.1|AALB
OG0002229	LOC6898965|XP_002138925.3|DPSE	LOC118466657|XP_035792146.1|AALB
OG0002230	LOC4804755|XP_004444285.2|DPSE	LOC118466664|XP_035792156.1|AALB
OG0002231	LOC4803485|XP_001360203.4|DPSE	LOC118465942|XP_035790558.1|AALB
OG0002233	LOC6900478|XP_002134868.3|DPSE	LOC118464923|XP_035788589.1|AALB, LOC118464291|XP_035787466.1|AALB
OG0002235	LOC4805212|XP_033234659.1|DPSE	LOC118467551|XP_035794042.1|AALB
