Orthogroup	DPSE.longest_only	CCAP.longest_only
OG0001809	LOC6897560|XP_002137705.2|DPSE	CCAP1982_LOCUS4894|CAD6996206.1|CCAP
OG0001811	LOC4804033|XP_001360662.2|DPSE	CCAP1982_LOCUS7121|CAD6998534.1|CCAP, CCAP1982_LOCUS7122|CAD6998535.1|CCAP
OG0001813	LOC4803264|XP_033237297.1|DPSE	CCAP1982_LOCUS4477|CAD6995773.1|CCAP
OG0001814	LOC4802989|XP_015038223.1|DPSE	CCAP1982_LOCUS4359|CAD6995652.1|CCAP
OG0001815	LOC4802041|XP_001359035.1|DPSE	CCAP1982_LOCUS668|CAD6991760.1|CCAP
OG0001816	LOC4804396|XP_001360966.1|DPSE	CCAP1982_LOCUS20579|CAD7012495.1|CCAP
OG0001817	LOC4805429|XP_001361830.2|DPSE	CCAP1982_LOCUS20287|CAD7012186.1|CCAP
OG0001819	LOC4805700|XP_001362058.1|DPSE	CCAP1982_LOCUS20241|CAD7012144.1|CCAP
OG0001820	LOC6903097|XP_002132809.3|DPSE, LOC6903086|XP_002132804.1|DPSE, LOC6901754|XP_002134424.2|DPSE	CCAP1982_LOCUS21127|CAD7013045.1|CCAP
OG0001821	LOC4805432|XP_001361833.3|DPSE	CCAP1982_LOCUS7163|CAD6998585.1|CCAP, CCAP1982_LOCUS7162|CAD6998584.1|CCAP
OG0001822	LOC4805495|XP_015040690.1|DPSE	CCAP1982_LOCUS7154|CAD6998574.1|CCAP
OG0001823	LOC4813641|XP_001353944.2|DPSE	CCAP1982_LOCUS13376|CAD7005000.1|CCAP
OG0001824	LOC4817509|XP_001356927.2|DPSE	CCAP1982_LOCUS7026|CAD6998426.1|CCAP
OG0001825	LOC4804945|XP_033234539.1|DPSE	CCAP1982_LOCUS20017|CAD7011906.1|CCAP, CCAP1982_LOCUS20011|CAD7011900.1|CCAP, CCAP1982_LOCUS20022|CAD7011911.1|CCAP
OG0001826	LOC4805313|XP_001361733.1|DPSE	CCAP1982_LOCUS5581|CAD6996908.1|CCAP, CCAP1982_LOCUS21161|CAD7013086.1|CCAP
OG0001827	LOC4804466|XP_001361025.2|DPSE	CCAP1982_LOCUS20547|CAD7012467.1|CCAP
OG0001830	LOC4803620|XP_001360309.2|DPSE	CCAP1982_LOCUS20337|CAD7012240.1|CCAP
OG0001831	LOC6900794|XP_015043351.2|DPSE	CCAP1982_LOCUS14177|CAD7005833.1|CCAP
OG0001832	LOC4814651|XP_015042059.2|DPSE	CCAP1982_LOCUS21112|CAD7013026.1|CCAP
OG0001833	LOC6898117|XP_002138197.2|DPSE	CCAP1982_LOCUS21130|CAD7013048.1|CCAP
OG0001834	LOC4801071|XP_001358232.1|DPSE	CCAP1982_LOCUS1887|CAD6993056.1|CCAP
OG0001837	LOC13036320|XP_015037046.2|DPSE	CCAP1982_LOCUS22751|CAD7014780.1|CCAP
OG0001838	LOC6898062|XP_002138148.3|DPSE	CCAP1982_LOCUS22536|CAD7014535.1|CCAP
OG0001839	LOC6898491|XP_002138532.3|DPSE	CCAP1982_LOCUS7187|CAD6998612.1|CCAP, CCAP1982_LOCUS7186|CAD6998611.1|CCAP
OG0001849	LOC4801738|XP_001358781.1|DPSE	CCAP1982_LOCUS3184|CAD6994433.1|CCAP
OG0001850	LOC4811787|XP_015044408.1|DPSE	CCAP1982_LOCUS9381|CAD7000906.1|CCAP, CCAP1982_LOCUS9382|CAD7000907.1|CCAP
OG0001851	LOC4811776|XP_033237330.1|DPSE	CCAP1982_LOCUS10374|CAD7001887.1|CCAP, CCAP1982_LOCUS10375|CAD7001888.1|CCAP, CCAP1982_LOCUS10372|CAD7001885.1|CCAP, CCAP1982_LOCUS10370|CAD7001883.1|CCAP
OG0001852	LOC4814133|XP_033238091.1|DPSE	CCAP1982_LOCUS13290|CAD7004906.1|CCAP
OG0001853	LOC4801314|XP_015037165.2|DPSE	CCAP1982_LOCUS3612|CAD6994877.1|CCAP, CCAP1982_LOCUS3616|CAD6994881.1|CCAP, CCAP1982_LOCUS3614|CAD6994879.1|CCAP
OG0001855	LOC6899093|XP_002139010.2|DPSE	CCAP1982_LOCUS20317|CAD7012219.1|CCAP
OG0001860	LOC4813375|XP_001353966.1|DPSE	CCAP1982_LOCUS13420|CAD7005050.1|CCAP
OG0001861	LOC4800746|XP_001357963.3|DPSE	CCAP1982_LOCUS2989|CAD6994227.1|CCAP
OG0001864	LOC4801060|XP_001358222.4|DPSE	CCAP1982_LOCUS1784|CAD6992951.1|CCAP, CCAP1982_LOCUS1779|CAD6992946.1|CCAP
OG0001866	LOC6897167|XP_033241703.1|DPSE	CCAP1982_LOCUS2419|CAD6993609.1|CCAP
OG0001867	LOC4813977|XP_001354134.4|DPSE	CCAP1982_LOCUS12895|CAD7004494.1|CCAP
OG0001868	LOC6902595|XP_002133122.2|DPSE	CCAP1982_LOCUS7780|CAD6999249.1|CCAP
OG0001869	LOC6897248|XP_003736544.3|DPSE	CCAP1982_LOCUS2409|CAD6993599.1|CCAP
OG0001872	LOC4800388|XP_001357673.3|DPSE	CCAP1982_LOCUS1125|CAD6992255.1|CCAP
OG0001873	LOC4802775|XP_001359635.3|DPSE	CCAP1982_LOCUS3170|CAD6994418.1|CCAP, CCAP1982_LOCUS3173|CAD6994421.1|CCAP
OG0001874	LOC117183395|XP_033233102.1|DPSE	CCAP1982_LOCUS4109|CAD6995391.1|CCAP
OG0001875	LOC6896686|XP_033232875.1|DPSE	CCAP1982_LOCUS1759|CAD6992926.1|CCAP
OG0001878	LOC4801267|XP_001358388.1|DPSE	CCAP1982_LOCUS2349|CAD6993537.1|CCAP
OG0001879	LOC6899518|XP_033236075.1|DPSE	CCAP1982_LOCUS4169|CAD6995454.1|CCAP
OG0001880	LOC6897119|XP_033233055.1|DPSE, LOC6902373|XP_033235552.1|DPSE, LOC4800513|XP_001357778.2|DPSE	CCAP1982_LOCUS1363|CAD6992514.1|CCAP
OG0001881	LOC4801355|XP_033232599.1|DPSE	CCAP1982_LOCUS2771|CAD6993988.1|CCAP, CCAP1982_LOCUS2767|CAD6993984.1|CCAP, CCAP1982_LOCUS2765|CAD6993982.1|CCAP
OG0001882	LOC4801145|XP_001358283.2|DPSE	CCAP1982_LOCUS1385|CAD6992536.1|CCAP, CCAP1982_LOCUS1384|CAD6992535.1|CCAP, CCAP1982_LOCUS1383|CAD6992534.1|CCAP
OG0001883	LOC4800579|XP_033233173.1|DPSE	CCAP1982_LOCUS2229|CAD6993414.1|CCAP
OG0001884	LOC4801557|XP_001358629.2|DPSE	CCAP1982_LOCUS1429|CAD6992581.1|CCAP
OG0001886	LOC4800598|XP_001357844.2|DPSE	CCAP1982_LOCUS1050|CAD6992176.1|CCAP
OG0001887	LOC4804364|XP_001360938.2|DPSE	CCAP1982_LOCUS20351|CAD7012255.1|CCAP
OG0001888	LOC4802489|XP_001359402.3|DPSE	CCAP1982_LOCUS224|CAD6991295.1|CCAP
OG0001890	LOC6901289|XP_002133990.2|DPSE, LOC4813965|XP_001354124.2|DPSE	CCAP1982_LOCUS2856|CAD6994087.1|CCAP
OG0001891	LOC13036379|XP_015037436.2|DPSE	CCAP1982_LOCUS2944|CAD6994179.1|CCAP
OG0001893	LOC4801250|XP_001358373.3|DPSE	CCAP1982_LOCUS1735|CAD6992902.1|CCAP, CCAP1982_LOCUS1738|CAD6992905.1|CCAP
OG0001894	LOC4804438|XP_001361000.1|DPSE	CCAP1982_LOCUS22715|CAD7014737.1|CCAP
OG0001895	LOC4811786|XP_015044406.1|DPSE	CCAP1982_LOCUS9931|CAD7001434.1|CCAP
OG0001896	LOC117184256|XP_033236873.1|DPSE	CCAP1982_LOCUS10482|CAD7001996.1|CCAP
OG0001897	LOC4801053|XP_015038686.2|DPSE	CCAP1982_LOCUS2463|CAD6993655.1|CCAP
OG0001899	LOC4801824|XP_015037403.1|DPSE	CCAP1982_LOCUS1209|CAD6992345.1|CCAP
OG0001901	LOC4816129|XP_033236694.1|DPSE	CCAP1982_LOCUS5757|CAD6997106.1|CCAP, CCAP1982_LOCUS5756|CAD6997104.1|CCAP, CCAP1982_LOCUS5758|CAD6997109.1|CCAP
OG0001903	LOC4802749|XP_001359610.2|DPSE	CCAP1982_LOCUS2781|CAD6994000.1|CCAP
OG0001904	LOC4801107|XP_001358254.3|DPSE	CCAP1982_LOCUS2825|CAD6994050.1|CCAP
OG0001906	LOC4801536|XP_015037294.2|DPSE	CCAP1982_LOCUS1455|CAD6992606.1|CCAP, CCAP1982_LOCUS1453|CAD6992604.1|CCAP, CCAP1982_LOCUS1454|CAD6992605.1|CCAP
OG0001908	LOC6902542|XP_002133083.3|DPSE, LOC117183899|XP_033235149.1|DPSE, LOC117183960|XP_033235584.1|DPSE, LOC4800670|XP_001357902.3|DPSE	CCAP1982_LOCUS2718|CAD6993930.1|CCAP
OG0001910	LOC4800775|XP_001357990.2|DPSE	CCAP1982_LOCUS3105|CAD6994350.1|CCAP
OG0001911	LOC6896920|XP_033234855.1|DPSE	CCAP1982_LOCUS3848|CAD6995126.1|CCAP, CCAP1982_LOCUS3845|CAD6995123.1|CCAP, CCAP1982_LOCUS3839|CAD6995117.1|CCAP, CCAP1982_LOCUS3849|CAD6995127.1|CCAP
OG0001912	LOC4804008|XP_001360639.2|DPSE	CCAP1982_LOCUS2354|CAD6993542.1|CCAP
OG0001914	LOC6897344|XP_033232329.1|DPSE	CCAP1982_LOCUS1303|CAD6992445.1|CCAP, CCAP1982_LOCUS1304|CAD6992447.1|CCAP
OG0001915	LOC4813255|XP_033237759.1|DPSE	CCAP1982_LOCUS11403|CAD7002938.1|CCAP, CCAP1982_LOCUS22437|CAD7014441.1|CCAP, CCAP1982_LOCUS22436|CAD7014440.1|CCAP
OG0001916	LOC4804065|XP_033233406.1|DPSE	CCAP1982_LOCUS21919|CAD7013905.1|CCAP
OG0001917	LOC6899991|XP_033239456.1|DPSE	CCAP1982_LOCUS10929|CAD7002439.1|CCAP
OG0001918	LOC4813139|XP_001353888.3|DPSE	CCAP1982_LOCUS11525|CAD7003062.1|CCAP
OG0001919	LOC4804867|XP_001361356.2|DPSE	CCAP1982_LOCUS21247|CAD7013176.1|CCAP, CCAP1982_LOCUS21246|CAD7013175.1|CCAP
OG0001920	LOC4812028|XP_001352499.3|DPSE	CCAP1982_LOCUS12172|CAD7003736.1|CCAP
OG0001921	LOC4804382|XP_001360953.1|DPSE	CCAP1982_LOCUS14964|CAD7006661.1|CCAP
OG0001922	LOC4805499|XP_001361893.2|DPSE	CCAP1982_LOCUS7235|CAD6998676.1|CCAP
OG0001924	LOC6899751|XP_002135787.2|DPSE	CCAP1982_LOCUS5884|CAD6997251.1|CCAP
OG0001925	LOC4814162|XP_001354278.2|DPSE	CCAP1982_LOCUS13224|CAD7004835.1|CCAP
OG0001928	LOC6897168|XP_002137348.2|DPSE, LOC6900691|XP_033240953.1|DPSE	CCAP1982_LOCUS12931|CAD7004534.1|CCAP
OG0001929	LOC6900681|XP_033240679.1|DPSE	CCAP1982_LOCUS12927|CAD7004530.1|CCAP
OG0001930	LOC4804449|XP_001361010.5|DPSE	CCAP1982_LOCUS22561|CAD7014562.1|CCAP, CCAP1982_LOCUS22560|CAD7014561.1|CCAP
OG0001931	LOC4812976|XP_015042852.2|DPSE	CCAP1982_LOCUS14738|CAD7006418.1|CCAP
OG0001932	LOC6900499|XP_033239627.1|DPSE, LOC6901999|XP_002133533.3|DPSE	CCAP1982_LOCUS14734|CAD7006414.1|CCAP
OG0001933	LOC4803940|XP_001360580.1|DPSE	CCAP1982_LOCUS20458|CAD7012364.1|CCAP
OG0001934	LOC6900677|XP_002135041.3|DPSE	CCAP1982_LOCUS11449|CAD7002986.1|CCAP
OG0001935	LOC4812137|XP_001352540.4|DPSE	CCAP1982_LOCUS14888|CAD7006574.1|CCAP
OG0001937	LOC6898052|XP_002138138.2|DPSE	CCAP1982_LOCUS21341|CAD7013270.1|CCAP
OG0001938	LOC4804746|XP_001361258.2|DPSE	CCAP1982_LOCUS21455|CAD7013390.1|CCAP
OG0001940	LOC4803642|XP_033234957.1|DPSE	CCAP1982_LOCUS21655|CAD7013601.1|CCAP
OG0001941	LOC4812042|XP_033239537.1|DPSE	CCAP1982_LOCUS11356|CAD7002887.1|CCAP
OG0001942	LOC6898084|XP_002138169.3|DPSE	CCAP1982_LOCUS21879|CAD7013860.1|CCAP
OG0001943	LOC4812175|XP_001352542.3|DPSE	CCAP1982_LOCUS14883|CAD7006569.1|CCAP
OG0001944	LOC4812188|XP_001352469.2|DPSE	CCAP1982_LOCUS11128|CAD7002645.1|CCAP
OG0001945	LOC4805011|XP_033235066.1|DPSE	CCAP1982_LOCUS22711|CAD7014732.1|CCAP
OG0001946	LOC4804912|XP_001361397.2|DPSE	CCAP1982_LOCUS21691|CAD7013647.1|CCAP
OG0001947	LOC4805368|XP_001361779.5|DPSE	CCAP1982_LOCUS21692|CAD7013648.1|CCAP
OG0001948	LOC4814400|XP_001354354.2|DPSE	CCAP1982_LOCUS13820|CAD7005460.1|CCAP
OG0001949	LOC4813880|XP_033239985.1|DPSE	CCAP1982_LOCUS13083|CAD7004689.1|CCAP
OG0001950	LOC4802432|XP_033233005.1|DPSE	CCAP1982_LOCUS4560|CAD6995859.1|CCAP
OG0001951	LOC4803847|XP_033233941.1|DPSE	CCAP1982_LOCUS23274|CAD7015329.1|CCAP
OG0001952	LOC6899550|XP_033235123.1|DPSE	CCAP1982_LOCUS23010|CAD7015053.1|CCAP
OG0001953	LOC4805218|XP_001361659.2|DPSE	CCAP1982_LOCUS22980|CAD7015023.1|CCAP, CCAP1982_LOCUS22978|CAD7015021.1|CCAP
OG0001954	LOC6898406|XP_033233970.1|DPSE	CCAP1982_LOCUS23202|CAD7015253.1|CCAP
OG0001955	LOC4805334|XP_001361750.2|DPSE	CCAP1982_LOCUS22670|CAD7014686.1|CCAP
OG0001957	LOC4803773|XP_001360435.1|DPSE	CCAP1982_LOCUS22307|CAD7014307.1|CCAP
OG0001958	LOC4804821|XP_033234767.1|DPSE	CCAP1982_LOCUS23338|CAD7015394.1|CCAP, CCAP1982_LOCUS23339|CAD7015395.1|CCAP
OG0001959	LOC4813203|XP_033240136.1|DPSE	CCAP1982_LOCUS14238|CAD7005898.1|CCAP
OG0001960	LOC4814127|XP_015042447.1|DPSE	CCAP1982_LOCUS12222|CAD7003786.1|CCAP
OG0001961	LOC4804689|XP_015040113.2|DPSE	CCAP1982_LOCUS22414|CAD7014418.1|CCAP, CCAP1982_LOCUS22415|CAD7014419.1|CCAP
OG0001962	LOC4804439|XP_001361001.4|DPSE	CCAP1982_LOCUS22716|CAD7014738.1|CCAP, CCAP1982_LOCUS22717|CAD7014739.1|CCAP
OG0001963	LOC4812293|XP_001352440.1|DPSE	CCAP1982_LOCUS12183|CAD7003747.1|CCAP
OG0001964	LOC4812878|XP_001353233.4|DPSE	CCAP1982_LOCUS12354|CAD7003931.1|CCAP
OG0001965	LOC6900960|XP_015042426.2|DPSE	CCAP1982_LOCUS12704|CAD7004284.1|CCAP
OG0001966	LOC4801193|XP_001358322.3|DPSE	CCAP1982_LOCUS3040|CAD6994279.1|CCAP
OG0001967	LOC4803760|XP_001360424.3|DPSE	CCAP1982_LOCUS22780|CAD7014812.1|CCAP
OG0001968	LOC4812213|XP_015043819.2|DPSE	CCAP1982_LOCUS14972|CAD7006670.1|CCAP
OG0001969	LOC4804914|XP_001361399.3|DPSE	CCAP1982_LOCUS21687|CAD7013643.1|CCAP
OG0001970	LOC4803853|XP_001360504.1|DPSE	CCAP1982_LOCUS23267|CAD7015322.1|CCAP
OG0001971	LOC4804972|XP_001361447.3|DPSE	CCAP1982_LOCUS8403|CAD6999893.1|CCAP
OG0001972	LOC4803328|XP_001357514.2|DPSE	CCAP1982_LOCUS23021|CAD7015065.1|CCAP
OG0001973	LOC15382900|XP_004444214.3|DPSE	CCAP1982_LOCUS22029|CAD7014023.1|CCAP
OG0001974	LOC4804513|XP_001361065.3|DPSE	CCAP1982_LOCUS23362|CAD7015420.1|CCAP, CCAP1982_LOCUS23363|CAD7015421.1|CCAP
OG0001975	LOC4812982|XP_001354042.2|DPSE	CCAP1982_LOCUS11501|CAD7003038.1|CCAP
OG0001976	LOC6898044|XP_002138132.1|DPSE	CCAP1982_LOCUS22353|CAD7014356.1|CCAP
OG0001977	LOC6902355|XP_002133301.2|DPSE	CCAP1982_LOCUS10531|CAD7002043.1|CCAP, CCAP1982_LOCUS5765|CAD6997116.1|CCAP, CCAP1982_LOCUS10528|CAD7002040.1|CCAP
OG0001978	LOC4817658|XP_001357050.1|DPSE	CCAP1982_LOCUS7617|CAD6999071.1|CCAP
OG0001979	LOC4816803|XP_001356719.2|DPSE	CCAP1982_LOCUS8860|CAD7000384.1|CCAP
OG0001980	LOC4817809|XP_033235870.1|DPSE	CCAP1982_LOCUS6688|CAD6998074.1|CCAP, CCAP1982_LOCUS6687|CAD6998073.1|CCAP
OG0001981	LOC4817017|XP_033236178.1|DPSE	CCAP1982_LOCUS7875|CAD6999348.1|CCAP
OG0001982	LOC13036543|XP_003736156.1|DPSE	CCAP1982_LOCUS5569|CAD6996896.1|CCAP
OG0001983	LOC26534190|XP_033236662.1|DPSE	CCAP1982_LOCUS3020|CAD6994259.1|CCAP
OG0001984	LOC4817847|XP_033235276.1|DPSE	CCAP1982_LOCUS9240|CAD7000765.1|CCAP
OG0001985	LOC4817201|XP_001356369.2|DPSE	CCAP1982_LOCUS5651|CAD6996989.1|CCAP
OG0001986	LOC4818167|XP_001357408.3|DPSE	CCAP1982_LOCUS6409|CAD6997784.1|CCAP
OG0001988	LOC4803925|XP_001360566.3|DPSE	CCAP1982_LOCUS22258|CAD7014255.1|CCAP
OG0001989	LOC4817547|XP_002132851.1|DPSE	CCAP1982_LOCUS6085|CAD6997439.1|CCAP, CCAP1982_LOCUS20246|CAD7012149.1|CCAP
OG0001990	LOC26532979|XP_033236342.1|DPSE	CCAP1982_LOCUS6088|CAD6997442.1|CCAP
OG0001991	LOC6899530|XP_033235949.1|DPSE	CCAP1982_LOCUS5893|CAD6997260.1|CCAP, CCAP1982_LOCUS5892|CAD6997259.1|CCAP
OG0001992	LOC4817323|XP_033235478.1|DPSE	CCAP1982_LOCUS7304|CAD6998750.1|CCAP
OG0001993	LOC4818176|XP_001357286.1|DPSE	CCAP1982_LOCUS6510|CAD6997891.1|CCAP
OG0001994	LOC4800536|XP_015038646.2|DPSE	CCAP1982_LOCUS4040|CAD6995322.1|CCAP
OG0001995	LOC4816450|XP_001356257.2|DPSE	CCAP1982_LOCUS7864|CAD6999337.1|CCAP
OG0001996	LOC6903575|XP_033236000.1|DPSE	CCAP1982_LOCUS6834|CAD6998223.1|CCAP
OG0001997	LOC4804704|XP_001361222.3|DPSE	CCAP1982_LOCUS22833|CAD7014869.1|CCAP
OG0001998	LOC4804702|XP_001361220.3|DPSE	CCAP1982_LOCUS22838|CAD7014874.1|CCAP
OG0001999	LOC4804201|XP_033233745.1|DPSE	CCAP1982_LOCUS23214|CAD7015266.1|CCAP
OG0002000	LOC4817170|XP_001356882.3|DPSE	CCAP1982_LOCUS8817|CAD7000334.1|CCAP
OG0002001	LOC4817651|XP_001357043.4|DPSE	CCAP1982_LOCUS8682|CAD7000189.1|CCAP
OG0002003	LOC4816167|XP_015036950.2|DPSE	CCAP1982_LOCUS9016|CAD7000540.1|CCAP
OG0002004	LOC4817678|XP_015036437.2|DPSE	CCAP1982_LOCUS7661|CAD6999117.1|CCAP
OG0002005	LOC4818173|XP_033235465.1|DPSE	CCAP1982_LOCUS9022|CAD7000546.1|CCAP
OG0002006	LOC4817881|XP_015035536.2|DPSE	CCAP1982_LOCUS8852|CAD7000372.1|CCAP
OG0002007	LOC6902793|XP_002132530.3|DPSE	CCAP1982_LOCUS5813|CAD6997170.1|CCAP
OG0002008	LOC4811811|XP_033237244.1|DPSE	CCAP1982_LOCUS10577|CAD7002089.1|CCAP, CCAP1982_LOCUS10575|CAD7002087.1|CCAP, CCAP1982_LOCUS10578|CAD7002090.1|CCAP
OG0002009	LOC4805494|XP_001361889.1|DPSE	CCAP1982_LOCUS7153|CAD6998573.1|CCAP
OG0002010	LOC4816188|XP_001355800.3|DPSE	CCAP1982_LOCUS9018|CAD7000542.1|CCAP
OG0002011	LOC4816703|XP_001356105.3|DPSE	CCAP1982_LOCUS5797|CAD6997153.1|CCAP
OG0002012	LOC4816814|XP_001356812.2|DPSE	CCAP1982_LOCUS8101|CAD6999576.1|CCAP
OG0002013	LOC117184018|XP_033235848.1|DPSE, LOC4816573|XP_033235692.1|DPSE	CCAP1982_LOCUS5842|CAD6997203.1|CCAP
OG0002014	LOC4805525|XP_001361914.1|DPSE	CCAP1982_LOCUS20407|CAD7012313.1|CCAP
OG0002015	LOC4817128|XP_001356471.2|DPSE	CCAP1982_LOCUS8287|CAD6999764.1|CCAP
OG0002016	LOC4804776|XP_001361285.4|DPSE	CCAP1982_LOCUS22546|CAD7014545.1|CCAP
OG0002017	LOC4816551|XP_001356069.2|DPSE	CCAP1982_LOCUS7916|CAD6999390.1|CCAP, CCAP1982_LOCUS7914|CAD6999388.1|CCAP
OG0002018	LOC6903405|XP_002132284.2|DPSE	CCAP1982_LOCUS5457|CAD6996782.1|CCAP
OG0002019	LOC4817021|XP_001356755.2|DPSE	CCAP1982_LOCUS7335|CAD6998781.1|CCAP
OG0002020	LOC4816368|XP_001356263.2|DPSE	CCAP1982_LOCUS5558|CAD6996885.1|CCAP
OG0002021	LOC4803759|XP_033233608.1|DPSE	CCAP1982_LOCUS22781|CAD7014814.1|CCAP, CCAP1982_LOCUS22783|CAD7014816.1|CCAP
OG0002022	LOC6903588|XP_033235378.1|DPSE	CCAP1982_LOCUS7961|CAD6999437.1|CCAP
OG0002023	LOC4801405|XP_001358503.3|DPSE	CCAP1982_LOCUS2755|CAD6993970.1|CCAP
OG0002024	LOC4811769|XP_001352338.1|DPSE	CCAP1982_LOCUS5710|CAD6997056.1|CCAP
OG0002025	LOC6903053|XP_002132777.2|DPSE	CCAP1982_LOCUS8538|CAD7000034.1|CCAP
OG0002026	LOC4812394|XP_001352886.3|DPSE	CCAP1982_LOCUS11688|CAD7003227.1|CCAP, CCAP1982_LOCUS11689|CAD7003228.1|CCAP
OG0002027	LOC6898412|XP_033234456.1|DPSE	CCAP1982_LOCUS20430|CAD7012336.1|CCAP, CCAP1982_LOCUS20431|CAD7012337.1|CCAP
OG0002028	LOC117184111|XP_033236206.1|DPSE, LOC4803397|XP_033235105.1|DPSE	CCAP1982_LOCUS20133|CAD7012029.1|CCAP
OG0002029	LOC4812927|XP_001353737.3|DPSE	CCAP1982_LOCUS12945|CAD7004548.1|CCAP
OG0002030	LOC4805444|XP_001361845.2|DPSE	CCAP1982_LOCUS21186|CAD7013113.1|CCAP
OG0002031	LOC4804377|XP_015039898.1|DPSE	CCAP1982_LOCUS19460|CAD7011357.1|CCAP
OG0002032	LOC4802810|XP_001359654.3|DPSE	CCAP1982_LOCUS23288|CAD7015343.1|CCAP, CCAP1982_LOCUS508|CAD6991591.1|CCAP
OG0002035	LOC4802026|XP_001359026.5|DPSE	CCAP1982_LOCUS4823|CAD6996129.1|CCAP
OG0002036	LOC6896916|XP_033232494.1|DPSE	CCAP1982_LOCUS4283|CAD6995573.1|CCAP, CCAP1982_LOCUS4277|CAD6995566.1|CCAP, CCAP1982_LOCUS4286|CAD6995576.1|CCAP
OG0002038	LOC6897907|XP_002138009.2|DPSE	CCAP1982_LOCUS630|CAD6991717.1|CCAP
OG0002039	LOC4811647|XP_002135773.1|DPSE	CCAP1982_LOCUS5672|CAD6997011.1|CCAP
OG0002040	LOC6897795|XP_033237823.1|DPSE	CCAP1982_LOCUS4199|CAD6995484.1|CCAP
OG0002041	LOC4805056|XP_015040406.1|DPSE	CCAP1982_LOCUS19975|CAD7011863.1|CCAP
OG0002042	LOC4802940|XP_001359755.3|DPSE	CCAP1982_LOCUS4396|CAD6995689.1|CCAP, CCAP1982_LOCUS4389|CAD6995682.1|CCAP
OG0002043	LOC4802054|XP_001359047.4|DPSE	CCAP1982_LOCUS561|CAD6991647.1|CCAP
OG0002044	LOC6896878|XP_003736286.2|DPSE	CCAP1982_LOCUS4877|CAD6996185.1|CCAP, CCAP1982_LOCUS4875|CAD6996183.1|CCAP
OG0002045	LOC4802031|XP_033241834.1|DPSE	CCAP1982_LOCUS278|CAD6991349.1|CCAP
OG0002048	LOC4802618|XP_015037945.1|DPSE	CCAP1982_LOCUS826|CAD6991936.1|CCAP
OG0002049	LOC4802817|XP_015038107.2|DPSE	CCAP1982_LOCUS4976|CAD6996293.1|CCAP
OG0002050	LOC4802545|XP_033232818.1|DPSE	CCAP1982_LOCUS5116|CAD6996444.1|CCAP
OG0002051	LOC6898753|XP_015040367.2|DPSE, LOC15382869|XP_004444371.1|DPSE	CCAP1982_LOCUS22484|CAD7014482.1|CCAP
OG0002052	LOC6900023|XP_002135388.2|DPSE	CCAP1982_LOCUS14831|CAD7006517.1|CCAP
OG0002053	LOC4803013|XP_001359815.5|DPSE	CCAP1982_LOCUS268|CAD6991339.1|CCAP
OG0002054	LOC6897174|XP_002137354.2|DPSE	CCAP1982_LOCUS2427|CAD6993617.1|CCAP
OG0002055	LOC4802580|XP_001359474.2|DPSE	CCAP1982_LOCUS382|CAD6991457.1|CCAP
OG0002056	LOC4813891|XP_001353404.2|DPSE	CCAP1982_LOCUS10781|CAD7002289.1|CCAP
OG0002057	LOC4817269|XP_001356776.2|DPSE	CCAP1982_LOCUS7071|CAD6998476.1|CCAP
OG0002058	LOC4811998|XP_001352504.2|DPSE	CCAP1982_LOCUS2599|CAD6993803.1|CCAP, CCAP1982_LOCUS12120|CAD7003683.1|CCAP
OG0002059	LOC4803044|XP_001359845.1|DPSE	CCAP1982_LOCUS862|CAD6991975.1|CCAP
OG0002060	LOC4803980|XP_001360615.2|DPSE	CCAP1982_LOCUS20652|CAD7012567.1|CCAP
OG0002061	LOC4804315|XP_033233798.1|DPSE	CCAP1982_LOCUS21100|CAD7013011.1|CCAP
OG0002065	LOC4813998|XP_015042486.2|DPSE	CCAP1982_LOCUS10902|CAD7002410.1|CCAP, CCAP1982_LOCUS10901|CAD7002409.1|CCAP
OG0002066	LOC4802883|XP_015038160.2|DPSE	CCAP1982_LOCUS4585|CAD6995884.1|CCAP, CCAP1982_LOCUS4583|CAD6995882.1|CCAP
OG0002067	LOC4803396|XP_001357526.2|DPSE	CCAP1982_LOCUS20152|CAD7012050.1|CCAP
OG0002068	LOC4804442|XP_001361003.5|DPSE	CCAP1982_LOCUS21706|CAD7013663.1|CCAP
OG0002070	LOC4803114|XP_001359911.2|DPSE	CCAP1982_LOCUS603|CAD6991690.1|CCAP
OG0002071	LOC4801379|XP_001358482.2|DPSE	CCAP1982_LOCUS2429|CAD6993619.1|CCAP
OG0002072	LOC4805475|XP_001361870.2|DPSE	CCAP1982_LOCUS22664|CAD7014680.1|CCAP
OG0002073	LOC4812799|XP_033240350.1|DPSE	CCAP1982_LOCUS12294|CAD7003864.1|CCAP
OG0002074	LOC4804012|XP_001360642.4|DPSE	CCAP1982_LOCUS19998|CAD7011886.1|CCAP
OG0002076	LOC4805558|XP_015040719.2|DPSE	CCAP1982_LOCUS20493|CAD7012405.1|CCAP
OG0002077	LOC4812575|XP_015043584.2|DPSE	CCAP1982_LOCUS20706|CAD7012622.1|CCAP, CCAP1982_LOCUS20719|CAD7012632.1|CCAP
OG0002078	LOC6898804|XP_002138778.2|DPSE	CCAP1982_LOCUS11090|CAD7002606.1|CCAP, CCAP1982_LOCUS19774|CAD7011690.1|CCAP
