Orthogroup	DPSE.longest_only	CPIP.longest_only
OG0000965	LOC4814657|XP_001354589.2|DPSE, LOC26533227|XP_033240544.1|DPSE, LOC26533584|XP_033241526.1|DPSE, LOC117185047|XP_033240542.1|DPSE, LOC117185053|XP_033240550.1|DPSE, LOC117185052|XP_033240549.1|DPSE	LOC120412464|XP_039428876.1|CPIP
OG0000966	LOC4800312|XP_001357594.2|DPSE	LOC120418083|XP_039436275.1|CPIP, LOC120419866|XP_039438651.1|CPIP
OG0000968	LOC4811883|XP_015043705.1|DPSE	LOC120413224|XP_039429884.1|CPIP, LOC120413265|XP_039429927.1|CPIP
OG0000969	LOC4805509|XP_033234604.1|DPSE	LOC120422701|XP_039442146.1|CPIP
OG0000970	LOC6901606|XP_002134276.2|DPSE, LOC6901605|XP_002134275.2|DPSE, LOC6896874|XP_002137064.4|DPSE	LOC120412746|XP_039429272.1|CPIP, LOC120414836|XP_039432096.1|CPIP, LOC120416782|XP_039434584.1|CPIP
OG0000971	LOC4816951|XP_001356525.2|DPSE	LOC120412655|XP_039429144.1|CPIP, LOC120420893|XP_039439948.1|CPIP
OG0000972	LOC4813874|XP_015043212.2|DPSE	LOC120415719|XP_039433248.1|CPIP
OG0000973	LOC6901265|XP_015041535.2|DPSE, LOC6901276|XP_002133977.2|DPSE, LOC4814952|XP_033240375.1|DPSE	LOC120415145|XP_039432513.1|CPIP, LOC120415146|XP_039432515.1|CPIP, LOC120429862|XP_039450871.1|CPIP
OG0000974	LOC4813578|XP_001353667.2|DPSE	LOC120415931|XP_039433510.1|CPIP, LOC120415915|XP_039433495.1|CPIP, LOC120415929|XP_039433509.1|CPIP, LOC120415934|XP_039433514.1|CPIP, LOC120415935|XP_039433515.1|CPIP
OG0000975	LOC6897052|XP_002137236.2|DPSE, LOC6897818|XP_002137923.1|DPSE	LOC120424400|XP_039444433.1|CPIP
OG0000978	LOC4803207|XP_001359987.2|DPSE	LOC120414919|XP_039432185.1|CPIP
OG0000988	LOC4817110|XP_001356839.3|DPSE	LOC120421063|XP_039440142.1|CPIP
OG0000990	LOC4815470|XP_033238604.1|DPSE	LOC120420232|XP_039439155.1|CPIP
OG0000991	LOC6901340|XP_002134041.2|DPSE	LOC120422538|XP_039441935.1|CPIP, LOC120417786|XP_039435882.1|CPIP
OG0000992	LOC4801225|XP_015037096.1|DPSE	LOC120423852|XP_039443737.1|CPIP
OG0000993	LOC6896717|XP_002136931.1|DPSE, LOC4800291|XP_033235128.1|DPSE	LOC120430226|XP_039451240.1|CPIP
OG0000994	LOC6901455|XP_002134141.1|DPSE	LOC120424683|XP_039444794.1|CPIP, LOC120424625|XP_039444724.1|CPIP
OG0000995	LOC6903560|XP_002132433.2|DPSE	LOC120427566|XP_039448374.1|CPIP
OG0000996	LOC4805424|XP_015040645.1|DPSE	LOC120427074|XP_039447850.1|CPIP
OG0000997	LOC6898344|XP_015039564.2|DPSE, LOC117183524|XP_033233432.1|DPSE	LOC120420924|XP_039439987.1|CPIP
OG0000998	LOC4812420|XP_033240589.1|DPSE	LOC120424650|XP_039444755.1|CPIP, LOC120424647|XP_039444749.1|CPIP
OG0000999	LOC4815011|XP_001354962.2|DPSE	LOC120423615|XP_039443416.1|CPIP
OG0001000	LOC6899316|XP_033233674.1|DPSE	LOC120424549|XP_039444648.1|CPIP
OG0001001	LOC4805229|XP_001361666.3|DPSE	LOC120419379|XP_039437985.1|CPIP, LOC120419368|XP_039437971.1|CPIP, LOC120428792|XP_039449824.1|CPIP
OG0001002	LOC4816902|XP_001356582.4|DPSE	LOC120420795|XP_039439844.1|CPIP, LOC120420762|XP_039439801.1|CPIP, LOC120419729|XP_039438460.1|CPIP
OG0001003	LOC6897798|XP_002137903.1|DPSE	LOC120417872|XP_039436027.1|CPIP
OG0001004	LOC4802805|XP_001359650.2|DPSE	LOC120427940|XP_039448820.1|CPIP
OG0001006	LOC4812231|XP_001352779.1|DPSE	LOC120412343|XP_039428677.1|CPIP
OG0001007	LOC4804310|XP_001360890.1|DPSE	LOC120412364|XP_039428722.1|CPIP
OG0001008	LOC4815029|XP_001355112.1|DPSE	LOC120425096|XP_039445425.1|CPIP
OG0001009	LOC6897506|XP_002137655.2|DPSE, LOC6896826|XP_033241691.1|DPSE	LOC120422414|XP_039441762.1|CPIP
OG0001019	LOC13036374|XP_015037038.2|DPSE	LOC120431968|XP_039453040.1|CPIP, LOC120426070|XP_039446688.1|CPIP, LOC120420148|XP_039439078.1|CPIP
OG0001020	LOC6901645|XP_002134314.2|DPSE	LOC120432292|XP_039453413.1|CPIP, LOC120432291|XP_039453412.1|CPIP, LOC120432246|XP_039453354.1|CPIP, LOC120432290|XP_039453411.1|CPIP
OG0001021	LOC4818004|XP_033235195.1|DPSE	LOC120414374|XP_039431472.1|CPIP, LOC120415238|XP_039432635.1|CPIP, LOC120422475|XP_039441864.1|CPIP, LOC120422464|XP_039441851.1|CPIP
OG0001022	LOC4811665|XP_001352254.1|DPSE	LOC120418094|XP_039436296.1|CPIP, LOC120419901|XP_039438703.1|CPIP
OG0001023	LOC117183388|XP_033233040.1|DPSE	LOC120426946|XP_039447702.1|CPIP
OG0001024	LOC4801126|XP_001358270.3|DPSE	LOC120427860|XP_039448711.1|CPIP, LOC120418640|XP_039437020.1|CPIP
OG0001025	LOC4813361|XP_001353354.2|DPSE	LOC120425358|XP_039445799.1|CPIP, LOC120429619|XP_039450584.1|CPIP
OG0001026	LOC4804022|XP_001360652.1|DPSE	LOC120422301|XP_039441626.1|CPIP, LOC120422302|XP_039441627.1|CPIP
OG0001027	LOC6900518|XP_002134905.1|DPSE	LOC120416048|XP_039433643.1|CPIP, LOC120423608|XP_039443408.1|CPIP, LOC120423611|XP_039443410.1|CPIP, LOC120416052|XP_039433646.1|CPIP
OG0001028	LOC4816500|XP_001356025.3|DPSE	LOC120427120|XP_039447907.1|CPIP, LOC120425132|XP_039445491.1|CPIP
OG0001029	LOC4804363|XP_001360937.3|DPSE	LOC120428402|XP_039449350.1|CPIP, LOC120423780|XP_039443632.1|CPIP, LOC120419109|XP_039437637.1|CPIP, LOC120417576|XP_039435621.1|CPIP
OG0001031	LOC6902406|XP_015037000.2|DPSE	LOC120422610|XP_039442034.1|CPIP
OG0001032	LOC13036341|XP_033235445.1|DPSE	LOC120420748|XP_039439778.1|CPIP
OG0001033	LOC6902171|XP_002133702.3|DPSE	LOC120412515|XP_039428945.1|CPIP
OG0001042	LOC4800322|XP_001357587.2|DPSE	LOC120415636|XP_039433169.1|CPIP, LOC120415634|XP_039433167.1|CPIP
OG0001043	LOC4815446|XP_001355701.2|DPSE	LOC120428461|XP_039449409.1|CPIP, LOC120428460|XP_039449408.1|CPIP
OG0001044	LOC4804131|XP_015039625.2|DPSE	LOC120430637|XP_039451667.1|CPIP, LOC120414295|XP_039431364.1|CPIP, LOC120431058|XP_039452146.1|CPIP, LOC120423322|XP_039443017.1|CPIP, LOC120426241|XP_039446912.1|CPIP
OG0001045	LOC6898739|XP_015040344.2|DPSE	LOC120418895|XP_039437360.1|CPIP, LOC120418897|XP_039437362.1|CPIP, LOC120418896|XP_039437361.1|CPIP
OG0001046	LOC4804670|XP_001361195.1|DPSE	LOC120414288|XP_039431353.1|CPIP
OG0001047	LOC4804383|XP_033234870.1|DPSE	LOC120419261|XP_039437850.1|CPIP
OG0001048	LOC4805247|XP_001361679.3|DPSE	LOC120427460|XP_039448272.1|CPIP, LOC120415347|XP_039432770.1|CPIP, LOC120415491|XP_039432993.1|CPIP
OG0001049	LOC6903297|XP_002132485.2|DPSE, LOC4812301|XP_001352647.4|DPSE	LOC120418908|XP_039437369.1|CPIP
OG0001050	LOC6896971|XP_002137156.2|DPSE, LOC6900034|XP_002135399.1|DPSE, LOC117183993|XP_033235698.1|DPSE	LOC120424973|XP_039445263.1|CPIP
OG0001051	LOC6902784|XP_002132521.2|DPSE	LOC120428680|XP_039449673.1|CPIP
OG0001052	LOC4816788|XP_015035777.1|DPSE	LOC120423094|XP_039442705.1|CPIP
OG0001053	LOC117185203|XP_033241490.1|DPSE, LOC117185205|XP_033241492.1|DPSE, LOC117183205|XP_033241491.1|DPSE, LOC6903974|XP_002136541.3|DPSE, LOC117185202|XP_033241485.1|DPSE, LOC26533390|XP_033241488.1|DPSE	LOC120414310|XP_039431383.1|CPIP
OG0001054	LOC4800928|XP_001358116.2|DPSE, LOC6896966|XP_002137151.2|DPSE	LOC120426826|XP_039447547.1|CPIP
OG0001056	LOC4811770|XP_033238899.1|DPSE	LOC120418272|XP_039436525.1|CPIP
OG0001057	LOC4818031|XP_001357250.1|DPSE, LOC6903367|XP_002132249.3|DPSE	LOC120430572|XP_039451611.1|CPIP
OG0001058	LOC6902017|XP_002133551.3|DPSE	LOC120416636|XP_039434382.1|CPIP
OG0001073	LOC4800749|XP_001357966.3|DPSE	LOC120431391|XP_039452478.1|CPIP
OG0001074	LOC4803340|XP_001360128.1|DPSE	LOC120414966|XP_039432232.1|CPIP
OG0001077	LOC4811643|XP_002135770.1|DPSE	LOC120425417|XP_039445881.1|CPIP
OG0001078	LOC4814417|XP_001354384.1|DPSE	LOC120417092|XP_039435005.1|CPIP, LOC120418041|XP_039436223.1|CPIP
OG0001079	LOC4812666|XP_001353050.2|DPSE	LOC120413721|XP_039430582.1|CPIP
OG0001080	LOC4811939|XP_001352463.2|DPSE	LOC120424184|XP_039444173.1|CPIP
OG0001081	LOC4802909|XP_001359735.2|DPSE	LOC120424185|XP_039444176.1|CPIP, LOC120422819|XP_039442287.1|CPIP
OG0001082	LOC6901249|XP_015041521.2|DPSE, LOC117185001|XP_033240260.1|DPSE, LOC4804418|XP_015039936.2|DPSE	LOC120422638|XP_039442070.1|CPIP
OG0001083	LOC4813944|XP_015043482.2|DPSE	LOC120424383|XP_039444416.1|CPIP
OG0001084	LOC4803432|XP_033234250.1|DPSE	LOC120414378|XP_039431483.1|CPIP, LOC120428045|XP_039448942.1|CPIP, LOC120415730|XP_039433256.1|CPIP
OG0001085	LOC4804846|XP_001361339.4|DPSE	LOC120429944|XP_039450976.1|CPIP
OG0001086	LOC117183508|XP_033233297.1|DPSE	LOC120420100|XP_039438981.1|CPIP
OG0001087	LOC6903039|XP_002132763.2|DPSE	LOC120412412|XP_039428808.1|CPIP
OG0001088	LOC4812572|XP_001352769.3|DPSE	LOC120418521|XP_039436891.1|CPIP, LOC120414624|XP_039431791.1|CPIP
OG0001089	LOC4812001|XP_015043708.1|DPSE	LOC120424839|XP_039445003.1|CPIP
OG0001090	LOC4812758|XP_001353549.4|DPSE	LOC120423504|XP_039443279.1|CPIP, LOC120423512|XP_039443287.1|CPIP, LOC120431958|XP_039453026.1|CPIP, LOC120423513|XP_039443290.1|CPIP
OG0001092	LOC4817869|XP_001357352.1|DPSE	LOC120413539|XP_039430351.1|CPIP
OG0001093	LOC4816688|XP_015036785.2|DPSE	LOC120413540|XP_039430353.1|CPIP
OG0001094	LOC4816659|XP_033235894.1|DPSE	LOC120413630|XP_039430474.1|CPIP
OG0001095	LOC26532094|XP_033235366.1|DPSE	LOC120417378|XP_039435329.1|CPIP, LOC120417361|XP_039435306.1|CPIP, LOC120417357|XP_039435303.1|CPIP
OG0001096	LOC4817649|XP_015036401.2|DPSE	LOC120424098|XP_039444044.1|CPIP, LOC120431700|XP_039452749.1|CPIP, LOC120431699|XP_039452748.1|CPIP, LOC120424107|XP_039444051.1|CPIP
OG0001097	LOC26534452|XP_033235754.1|DPSE	LOC120415700|XP_039433225.1|CPIP
OG0001099	LOC6900934|XP_002134727.1|DPSE	LOC120419084|XP_039437601.1|CPIP
OG0001100	LOC6897793|XP_015038081.2|DPSE	LOC120415264|XP_039432666.1|CPIP
OG0001101	LOC6898360|XP_015039601.2|DPSE	LOC120425311|XP_039445716.1|CPIP
OG0001102	LOC4813725|XP_001353688.4|DPSE	LOC120414050|XP_039431003.1|CPIP, LOC120414045|XP_039430999.1|CPIP
OG0001103	LOC4800805|XP_001358015.1|DPSE	LOC120416829|XP_039434650.1|CPIP
OG0001104	LOC4803663|XP_001360346.3|DPSE	LOC120432582|XP_039453752.1|CPIP
OG0001105	LOC4815583|XP_001355499.1|DPSE	LOC120432555|XP_039453718.1|CPIP
OG0001106	LOC4811795|XP_015044320.1|DPSE	LOC120431888|XP_039452951.1|CPIP, LOC120422223|XP_039441542.1|CPIP
OG0001118	LOC6903926|XP_002136591.1|DPSE	LOC120413330|XP_039430037.1|CPIP
OG0001119	LOC117185621|XP_033241653.1|DPSE	LOC120420344|XP_039439272.1|CPIP, LOC120424039|XP_039443997.1|CPIP
OG0001120	LOC6896962|XP_015038892.2|DPSE	LOC120423577|XP_039443370.1|CPIP, LOC120425386|XP_039445836.1|CPIP
OG0001121	LOC4803329|XP_015038995.1|DPSE	LOC120425861|XP_039446420.1|CPIP
OG0001122	LOC4812463|XP_015043937.1|DPSE	LOC120412874|XP_039429439.1|CPIP
OG0001124	LOC4802084|XP_015037603.2|DPSE	LOC120425352|XP_039445788.1|CPIP, LOC120429621|XP_039450585.1|CPIP
OG0001125	LOC4801867|XP_001358895.1|DPSE	LOC120413485|XP_039430269.1|CPIP, LOC120413467|XP_039430239.1|CPIP, LOC120413468|XP_039430240.1|CPIP
OG0001127	LOC4813028|XP_001353284.3|DPSE	LOC120415811|XP_039433372.1|CPIP, LOC120429657|XP_039450624.1|CPIP
OG0001128	LOC6898365|XP_002138418.3|DPSE	LOC120429702|XP_039450671.1|CPIP, LOC120427739|XP_039448579.1|CPIP, LOC120430786|XP_039451833.1|CPIP
OG0001129	LOC4818013|XP_015035265.2|DPSE	LOC120422189|XP_039441499.1|CPIP
OG0001130	LOC4817313|XP_001356335.2|DPSE, LOC6899335|XP_033237248.1|DPSE	LOC120424895|XP_039445117.1|CPIP
OG0001131	LOC4811745|XP_015044302.1|DPSE	LOC120419785|XP_039438552.1|CPIP, LOC120429031|XP_039450101.1|CPIP, LOC120419786|XP_039438553.1|CPIP
OG0001133	LOC4816598|XP_015036647.2|DPSE	LOC120416081|XP_039433692.1|CPIP
OG0001134	LOC4804952|XP_001361433.5|DPSE	LOC120419185|XP_039437793.1|CPIP, LOC120421259|XP_039440389.1|CPIP, LOC120420150|XP_039439048.1|CPIP, LOC120415343|XP_039432765.1|CPIP, LOC120417188|XP_039435089.1|CPIP
OG0001135	LOC4801643|XP_015037338.1|DPSE	LOC120414352|XP_039431447.1|CPIP, LOC120422246|XP_039441573.1|CPIP
OG0001136	LOC6899331|XP_033241867.1|DPSE	LOC120417494|XP_039435503.1|CPIP
OG0001137	LOC4801808|XP_001358842.3|DPSE	LOC120418769|XP_039437179.1|CPIP
OG0001138	LOC4811972|XP_001352464.1|DPSE	LOC120421356|XP_039440478.1|CPIP, LOC120432104|XP_039453171.1|CPIP, LOC120429313|XP_039450469.1|CPIP
OG0001139	LOC6901088|XP_033238074.1|DPSE	LOC120415108|XP_039432461.1|CPIP
OG0001153	LOC4811752|XP_015044220.1|DPSE	LOC120420201|XP_039439120.1|CPIP
OG0001154	LOC4816828|XP_015035714.1|DPSE	LOC120419964|XP_039438772.1|CPIP, LOC120432189|XP_039453265.1|CPIP
OG0001155	LOC4814586|XP_001354835.4|DPSE	LOC120430949|XP_039452010.1|CPIP
OG0001157	LOC4801388|XP_015037219.2|DPSE	LOC120424145|XP_039444120.1|CPIP
OG0001158	LOC4818018|XP_001357474.1|DPSE	LOC120423984|XP_039443915.1|CPIP
OG0001159	LOC4800475|XP_033232911.1|DPSE	LOC120432503|XP_039453649.1|CPIP
OG0001160	LOC4801291|XP_001358411.3|DPSE	LOC120430694|XP_039451737.1|CPIP, LOC120427184|XP_039447982.1|CPIP
OG0001162	LOC6897644|XP_002137787.2|DPSE, LOC26534414|XP_015038082.2|DPSE	LOC120424769|XP_039444908.1|CPIP, LOC120431325|XP_039452391.1|CPIP, LOC120425407|XP_039445871.1|CPIP
OG0001163	LOC4802008|XP_015037536.1|DPSE	LOC120422549|XP_039441951.1|CPIP
OG0001164	LOC6897399|XP_002137551.3|DPSE, LOC4801075|XP_001358235.4|DPSE	LOC120428014|XP_039448919.1|CPIP, LOC120428005|XP_039448908.1|CPIP
OG0001167	LOC4804208|XP_033234467.1|DPSE	LOC120426173|XP_039446825.1|CPIP
OG0001169	LOC4814550|XP_001354610.2|DPSE	LOC120413210|XP_039429863.1|CPIP, LOC120413209|XP_039429861.1|CPIP, LOC120428119|XP_039449038.1|CPIP
OG0001170	LOC4801221|XP_001358344.1|DPSE	LOC120414137|XP_039431105.1|CPIP
OG0001171	LOC4812710|XP_015044144.2|DPSE	LOC120414141|XP_039431114.1|CPIP, LOC120414113|XP_039431074.1|CPIP
OG0001172	LOC6898305|XP_002138367.2|DPSE	LOC120422279|XP_039441597.1|CPIP
OG0001173	LOC4801985|XP_001358997.2|DPSE	LOC120424131|XP_039444104.1|CPIP, LOC120424129|XP_039444102.1|CPIP, LOC120415745|XP_039433285.1|CPIP, LOC120424132|XP_039444106.1|CPIP, LOC120415300|XP_039432705.1|CPIP, LOC120415341|XP_039432764.1|CPIP
OG0001174	LOC4814091|XP_033237973.1|DPSE	LOC120418803|XP_039437221.1|CPIP
OG0001176	LOC6896718|XP_002136932.2|DPSE, LOC4805490|XP_001361885.4|DPSE, LOC6898402|XP_033233982.1|DPSE	LOC120414663|XP_039431867.1|CPIP
OG0001177	LOC4817309|XP_015035988.2|DPSE	LOC120419053|XP_039437553.1|CPIP
OG0001178	LOC4804405|XP_001360974.2|DPSE	LOC120416798|XP_039434608.1|CPIP
OG0001179	LOC6898283|XP_033233305.1|DPSE	LOC120415576|XP_039433089.1|CPIP
OG0001180	LOC4811798|XP_001352365.3|DPSE	LOC120427095|XP_039447881.1|CPIP
OG0001181	LOC6903001|XP_002132723.3|DPSE, LOC6903002|XP_002132724.2|DPSE, LOC4813686|XP_001353168.2|DPSE	LOC120423217|XP_039442860.1|CPIP
OG0001182	LOC4800548|XP_003736265.3|DPSE	LOC120417657|XP_039435713.1|CPIP, LOC120417666|XP_039435721.1|CPIP
OG0001183	LOC6899286|XP_033232789.1|DPSE	LOC120416960|XP_039434805.1|CPIP
OG0001185	LOC13036326|XP_015038289.2|DPSE	LOC120423279|XP_039442953.1|CPIP
OG0001186	LOC6903262|XP_002132961.1|DPSE, LOC4802992|XP_001359800.2|DPSE	LOC120416650|XP_039434393.1|CPIP
OG0001187	LOC4803986|XP_033234197.1|DPSE	LOC120417575|XP_039435620.1|CPIP, LOC120417596|XP_039435643.1|CPIP
OG0001188	LOC4803383|XP_001360088.1|DPSE	LOC120424646|XP_039444753.1|CPIP, LOC120425447|XP_039445916.1|CPIP
OG0001189	LOC4805551|XP_001361936.2|DPSE	LOC120416208|XP_039433833.1|CPIP, LOC120421579|XP_039440745.1|CPIP
OG0001190	LOC6901179|XP_002133880.2|DPSE	LOC120421476|XP_039440627.1|CPIP, LOC120421479|XP_039440630.1|CPIP
OG0001191	LOC4816122|XP_001355843.3|DPSE	LOC120423257|XP_039442920.1|CPIP, LOC120423245|XP_039442896.1|CPIP
OG0001192	LOC6902344|XP_015036909.1|DPSE	LOC120427744|XP_039448583.1|CPIP
OG0001193	LOC4801555|XP_001358627.1|DPSE	LOC120429883|XP_039450897.1|CPIP, LOC120432494|XP_039453642.1|CPIP, LOC120432117|XP_039453186.1|CPIP, LOC120412329|XP_039428664.1|CPIP
OG0001194	LOC4814619|XP_001354789.3|DPSE	LOC120416843|XP_039434665.1|CPIP
OG0001195	LOC4803585|XP_001360289.3|DPSE	LOC120418583|XP_039436964.1|CPIP
OG0001201	LOC4803051|XP_001359852.3|DPSE	LOC120414220|XP_039431262.1|CPIP, LOC120424752|XP_039444879.1|CPIP
OG0001202	LOC6902275|XP_002133802.3|DPSE	LOC120432258|XP_039453373.1|CPIP, LOC120432229|XP_039453340.1|CPIP, LOC120432251|XP_039453359.1|CPIP
OG0001203	LOC6899873|XP_002135664.1|DPSE	LOC120413295|XP_039429987.1|CPIP
OG0001204	LOC4816345|XP_001356238.3|DPSE	LOC120414306|XP_039431381.1|CPIP, LOC120431630|XP_039452673.1|CPIP, LOC120416723|XP_039434484.1|CPIP, LOC120419358|XP_039437962.1|CPIP, LOC120431542|XP_039452584.1|CPIP, LOC120414694|XP_039431918.1|CPIP, LOC120412414|XP_039428811.1|CPIP, LOC120416024|XP_039433620.1|CPIP
OG0001205	LOC4802429|XP_001359351.4|DPSE	LOC120429512|XP_039450516.1|CPIP, LOC120431269|XP_039452337.1|CPIP, LOC120429510|XP_039450513.1|CPIP
OG0001206	LOC6897369|XP_033232877.1|DPSE	LOC120432275|XP_039453392.1|CPIP
OG0001207	LOC6896989|XP_002137175.2|DPSE, LOC4815987|XP_033239605.1|DPSE	LOC120422052|XP_039441319.1|CPIP
OG0001208	LOC6901073|XP_033240388.1|DPSE	LOC120424548|XP_039444645.1|CPIP
OG0001209	LOC4801425|XP_033241837.1|DPSE	LOC120428053|XP_039448988.1|CPIP, LOC120424496|XP_039444616.1|CPIP
OG0001210	LOC6901429|XP_033237428.1|DPSE	LOC120419105|XP_039437659.1|CPIP, LOC120416387|XP_039434100.1|CPIP, LOC120414618|XP_039431815.1|CPIP
OG0001211	LOC6896931|XP_002137117.3|DPSE	LOC120421097|XP_039440174.1|CPIP, LOC120418759|XP_039437170.1|CPIP
OG0001212	LOC4815015|XP_001354605.2|DPSE	LOC120416356|XP_039434027.1|CPIP, LOC120419697|XP_039438418.1|CPIP, LOC120419684|XP_039438405.1|CPIP, LOC120419698|XP_039438419.1|CPIP
OG0001213	LOC6901199|XP_002133900.2|DPSE	LOC120429287|XP_039450448.1|CPIP, LOC120425721|XP_039446260.1|CPIP
OG0001214	LOC6899001|XP_033235101.1|DPSE, LOC117184399|XP_033237406.1|DPSE, LOC117184398|XP_033237405.1|DPSE, LOC6899993|XP_002135359.2|DPSE	LOC120431086|XP_039452176.1|CPIP, LOC120430926|XP_039451981.1|CPIP
OG0001215	LOC4801931|XP_001358949.2|DPSE	LOC120424669|XP_039444778.1|CPIP, LOC120424614|XP_039444709.1|CPIP, LOC120424675|XP_039444782.1|CPIP, LOC120424616|XP_039444712.1|CPIP
OG0001216	LOC6897157|XP_002137337.3|DPSE	LOC120424679|XP_039444789.1|CPIP, LOC120424629|XP_039444729.1|CPIP, LOC120424633|XP_039444733.1|CPIP, LOC120424686|XP_039444796.1|CPIP
OG0001217	LOC6902333|XP_033235687.1|DPSE	LOC120423813|XP_039443667.1|CPIP
OG0001218	LOC6900638|XP_002135011.2|DPSE, LOC4801220|XP_001358343.4|DPSE	LOC120422590|XP_039442016.1|CPIP
OG0001220	LOC4803483|XP_001360201.1|DPSE	LOC120419490|XP_039438112.1|CPIP, LOC120419491|XP_039438113.1|CPIP
OG0001221	LOC4804422|XP_033234710.1|DPSE	LOC120422630|XP_039442062.1|CPIP
OG0001223	LOC4803331|XP_015038986.2|DPSE	LOC120416560|XP_039434225.1|CPIP
OG0001224	LOC4805676|XP_001362035.4|DPSE	LOC120416226|XP_039433860.1|CPIP
OG0001225	LOC6898694|XP_033234269.1|DPSE	LOC120417471|XP_039435475.1|CPIP, LOC120417456|XP_039435448.1|CPIP
OG0001226	LOC4805096|XP_001361556.2|DPSE	LOC120418804|XP_039437222.1|CPIP
OG0001227	LOC4817820|XP_015035527.1|DPSE	LOC120420146|XP_039439038.1|CPIP
OG0001229	LOC26532507|XP_033233276.1|DPSE	LOC120430378|XP_039451410.1|CPIP
OG0001230	LOC4803805|XP_001360463.3|DPSE	LOC120422782|XP_039442254.1|CPIP
OG0001231	LOC4816431|XP_001356293.3|DPSE	LOC120419802|XP_039438571.1|CPIP
OG0001233	LOC4817005|XP_001356468.3|DPSE	LOC120419669|XP_039438368.1|CPIP
OG0001234	LOC4805474|XP_001361869.3|DPSE	LOC120414574|XP_039431745.1|CPIP
OG0001235	LOC4817377|XP_015035812.2|DPSE	LOC120417314|XP_039435211.1|CPIP, LOC120431742|XP_039452801.1|CPIP, LOC120431749|XP_039452807.1|CPIP, LOC120431747|XP_039452806.1|CPIP, LOC120417299|XP_039435183.1|CPIP, LOC120417300|XP_039435184.1|CPIP
OG0001236	LOC6900427|XP_002134818.2|DPSE	LOC120423226|XP_039442868.1|CPIP
OG0001237	LOC6903962|XP_015035175.2|DPSE	LOC120414317|XP_039431388.1|CPIP
OG0001238	LOC4802203|XP_001359170.2|DPSE	LOC120426763|XP_039447471.1|CPIP
OG0001240	LOC4802190|XP_033241866.1|DPSE	LOC120421246|XP_039440381.1|CPIP, LOC120420595|XP_039439605.1|CPIP, LOC120421250|XP_039440383.1|CPIP
OG0001241	LOC4804272|XP_001360854.3|DPSE, LOC26532920|XP_033234274.1|DPSE	LOC120417870|XP_039436024.1|CPIP
OG0001242	LOC6902927|XP_002132653.2|DPSE, LOC4815858|XP_001355619.1|DPSE	LOC120425656|XP_039446171.1|CPIP
OG0001244	LOC6901667|XP_033237859.1|DPSE, LOC4801365|XP_015037207.2|DPSE	LOC120421573|XP_039440738.1|CPIP, LOC120421830|XP_039441041.1|CPIP
OG0001245	LOC4801855|XP_033239485.1|DPSE	LOC120423077|XP_039442687.1|CPIP, LOC120430091|XP_039451112.1|CPIP, LOC120423090|XP_039442699.1|CPIP, LOC120421067|XP_039440146.1|CPIP, LOC120423067|XP_039442673.1|CPIP, LOC120423076|XP_039442686.1|CPIP
OG0001246	LOC117183616|XP_033234033.1|DPSE	LOC120421869|XP_039441099.1|CPIP, LOC120421861|XP_039441094.1|CPIP, LOC120421865|XP_039441097.1|CPIP
OG0001247	LOC26532209|XP_015034947.2|DPSE, LOC26533614|XP_033233227.1|DPSE	LOC120432576|XP_039453739.1|CPIP
OG0001248	LOC4812469|XP_001352771.2|DPSE	LOC120422204|XP_039441519.1|CPIP
OG0001249	LOC4815630|XP_033240139.1|DPSE	LOC120423895|XP_039443810.1|CPIP
OG0001256	LOC4804688|XP_001361207.3|DPSE	LOC120422406|XP_039441758.1|CPIP
OG0001257	LOC6899862|XP_033237228.1|DPSE	LOC120413281|XP_039429947.1|CPIP
OG0001258	LOC4801813|XP_001358847.3|DPSE	LOC120432334|XP_039453457.1|CPIP
OG0001259	LOC26532064|XP_033239085.1|DPSE, LOC4814538|XP_033239086.1|DPSE	LOC120430956|XP_039452022.1|CPIP, LOC120416739|XP_039434507.1|CPIP
OG0001260	LOC4800768|XP_001357983.3|DPSE	LOC120420175|XP_039439075.1|CPIP, LOC120420182|XP_039439091.1|CPIP
OG0001261	LOC4814308|XP_001354422.3|DPSE	LOC120427227|XP_039448025.1|CPIP
OG0001263	LOC6903030|XP_002132754.2|DPSE, LOC4800363|XP_001357551.1|DPSE	LOC120432642|XP_039453825.1|CPIP
OG0001264	LOC4817390|XP_033236141.1|DPSE	LOC120429252|XP_039450399.1|CPIP, LOC120426464|XP_039447160.1|CPIP
OG0001265	LOC4815930|XP_033239138.1|DPSE	LOC120428458|XP_039449403.1|CPIP
OG0001266	LOC4804459|XP_033233234.1|DPSE	LOC120417192|XP_039435093.1|CPIP
OG0001267	LOC4801468|XP_001358555.3|DPSE	LOC120424506|XP_039444591.1|CPIP, LOC120426739|XP_039447450.1|CPIP
OG0001269	LOC4805402|XP_004444503.1|DPSE	LOC120429645|XP_039450605.1|CPIP
OG0001270	LOC4802676|XP_015037996.2|DPSE	LOC120425363|XP_039445806.1|CPIP, LOC120431090|XP_039452180.1|CPIP, LOC120430927|XP_039451982.1|CPIP
OG0001271	LOC4804090|XP_001360708.2|DPSE	LOC120430259|XP_039451279.1|CPIP, LOC120419757|XP_039438514.1|CPIP, LOC120419744|XP_039438480.1|CPIP
OG0001272	LOC4812928|XP_001353572.3|DPSE	LOC120424869|XP_039445058.1|CPIP
