Orthogroup	DPSE.longest_only	CQUI.longest_only
OG0000817	LOC6897494|XP_033232306.1|DPSE, LOC117183231|XP_033232305.1|DPSE	LOC6041737|XP_001850957.1|CQUI
OG0000819	LOC6901808|XP_033240150.1|DPSE, LOC4815052|XP_001355189.3|DPSE	LOC6051147|XP_038117088.1|CQUI
OG0000820	LOC4805315|XP_001361735.1|DPSE	LOC6038086|XP_038108938.1|CQUI
OG0000821	LOC4801421|XP_001358517.3|DPSE, LOC6898210|XP_002138278.2|DPSE	LOC6036623|XP_001846651.2|CQUI
OG0000822	LOC6900700|XP_002135064.3|DPSE, LOC4818026|XP_001357427.3|DPSE	LOC6036736|XP_001846735.2|CQUI
OG0000830	LOC4814884|XP_015041820.1|DPSE	LOC6040678|XP_001850034.1|CQUI, LOC6040677|XP_001850032.1|CQUI, LOC6040679|XP_001850033.2|CQUI
OG0000831	LOC6898899|XP_002138869.1|DPSE	LOC6032985|XP_038104688.1|CQUI, LOC6032982|XP_001843494.2|CQUI, LOC6039734|XP_001849286.2|CQUI
OG0000832	LOC4805476|XP_001361871.2|DPSE, LOC6903386|XP_002132265.2|DPSE	LOC6038039|XP_001847884.1|CQUI
OG0000833	LOC4812349|XP_001352911.3|DPSE	LOC119770850|XP_038122366.1|CQUI, LOC6043801|XP_038117043.1|CQUI
OG0000834	LOC4800284|XP_001357610.3|DPSE	LOC6049792|XP_001866498.2|CQUI
OG0000836	LOC6903394|XP_002132273.3|DPSE, LOC117184006|XP_033235755.1|DPSE	LOC6033191|XP_038110903.1|CQUI
OG0000837	LOC4815279|XP_001355169.1|DPSE	LOC6046885|XP_038117989.1|CQUI
OG0000838	LOC26533009|XP_015036082.1|DPSE, LOC26531996|XP_015036083.1|DPSE	LOC6039707|XP_001849263.2|CQUI
OG0000839	LOC6897436|XP_002137588.1|DPSE	LOC6032544|XP_001843124.2|CQUI
OG0000840	LOC4815162|XP_001355158.2|DPSE	LOC6033814|XP_001844211.2|CQUI
OG0000841	LOC6897790|XP_015038080.2|DPSE	LOC6043584|XP_038118851.1|CQUI
OG0000842	LOC4804020|XP_033234889.1|DPSE, LOC4800531|XP_001357795.1|DPSE	LOC6052627|XP_038111165.1|CQUI
OG0000843	LOC6898118|XP_033233424.1|DPSE	LOC6052901|XP_001869081.2|CQUI
OG0000844	LOC4804317|XP_033233876.1|DPSE, LOC6897844|XP_002137949.1|DPSE	LOC6040955|XP_038108140.1|CQUI
OG0000845	LOC4816019|XP_001355559.3|DPSE, LOC4815653|XP_001355560.3|DPSE	LOC119769629|XP_038118744.1|CQUI, LOC6040642|XP_001850007.2|CQUI
OG0000853	LOC117185553|XP_033241581.1|DPSE	LOC119770194|XP_038120568.1|CQUI, LOC119766069|XP_038106376.1|CQUI
OG0000854	LOC6901946|XP_002133480.1|DPSE, LOC4815859|XP_001355326.4|DPSE	LOC6041770|XP_001850988.2|CQUI
OG0000855	LOC4815564|XP_001355426.1|DPSE, LOC4801799|XP_001358833.3|DPSE	LOC6040439|XP_038111121.1|CQUI
OG0000856	LOC4813957|XP_001354116.1|DPSE	LOC6042751|XP_038104746.1|CQUI
OG0000857	LOC4814313|XP_001354424.3|DPSE	LOC6045738|XP_038104079.1|CQUI, LOC6045740|XP_001863047.2|CQUI, LOC6048852|XP_001865699.1|CQUI, LOC6052371|XP_001868657.2|CQUI
OG0000858	LOC6897182|XP_002137362.2|DPSE	LOC6033717|XP_001844137.2|CQUI
OG0000860	LOC117185101|XP_033240840.1|DPSE, LOC6900284|XP_002135606.3|DPSE, LOC4811876|XP_001352735.4|DPSE	LOC6032867|XP_038115886.1|CQUI
OG0000861	LOC4804534|XP_001361082.3|DPSE, LOC4804536|XP_001361084.3|DPSE	LOC6037309|XP_001847235.1|CQUI
OG0000862	LOC4805519|XP_001361909.1|DPSE, LOC4817922|XP_001357223.4|DPSE	LOC6043976|XP_001861556.2|CQUI
OG0000863	LOC4801683|XP_001358733.4|DPSE	LOC6044024|XP_038115592.1|CQUI
OG0000864	LOC4814266|XP_033238543.1|DPSE	LOC6041419|XP_038113943.1|CQUI
OG0000865	LOC6903416|XP_033235363.1|DPSE, LOC4802696|XP_001359563.2|DPSE	LOC6032934|XP_038112958.1|CQUI
OG0000866	LOC4817616|XP_015036376.2|DPSE, LOC117184191|XP_033236621.1|DPSE	LOC6041493|XP_038110702.1|CQUI
OG0000867	LOC117183914|XP_033235284.1|DPSE	LOC6050061|XP_001866728.2|CQUI
OG0000868	LOC6901312|XP_002134013.2|DPSE, LOC6902833|XP_033236380.1|DPSE, LOC6902925|XP_002132651.2|DPSE, LOC6896871|XP_002137061.2|DPSE, LOC4814476|XP_001354562.1|DPSE	LOC6037576|XP_001847472.2|CQUI, LOC6038283|XP_038112513.1|CQUI
OG0000869	LOC4802931|XP_001359747.1|DPSE	LOC119767364|XP_038111763.1|CQUI
OG0000871	LOC4805144|XP_001361596.1|DPSE	LOC6038540|XP_001848327.2|CQUI, LOC6038577|XP_038106280.1|CQUI, LOC6038538|XP_001848325.2|CQUI
OG0000872	LOC4804308|XP_001360888.3|DPSE	LOC6038131|XP_001847929.1|CQUI
OG0000873	LOC4811904|XP_001352890.4|DPSE	LOC6047243|XP_001864326.2|CQUI, LOC6038744|XP_038111904.1|CQUI, LOC6036763|XP_038106219.1|CQUI
OG0000874	LOC4816047|XP_001355640.3|DPSE, LOC4805685|XP_004444578.1|DPSE	LOC6037196|XP_038109655.1|CQUI
OG0000875	LOC6897004|XP_002137189.2|DPSE, LOC6903678|XP_002136794.1|DPSE	LOC6040537|XP_038110191.1|CQUI
OG0000882	LOC6902198|XP_002133725.2|DPSE, LOC4818072|XP_001357488.1|DPSE	LOC6051045|XP_038104452.1|CQUI
OG0000883	LOC4814732|XP_001354820.2|DPSE	LOC6048227|XP_038121671.1|CQUI, LOC6041000|XP_038121158.1|CQUI, LOC6030792|XP_001841691.2|CQUI, LOC6047675|XP_001864705.2|CQUI
OG0000885	LOC4801836|XP_015037411.2|DPSE	LOC6048168|XP_001865124.1|CQUI, LOC6048169|XP_001865125.1|CQUI, LOC6048170|XP_001865126.1|CQUI
OG0000887	LOC4814589|XP_015041466.2|DPSE	LOC6052421|XP_038120936.1|CQUI, LOC6052420|XP_038121806.1|CQUI, LOC6039002|XP_001848684.2|CQUI
OG0000888	LOC4812442|XP_033239534.1|DPSE, LOC26533675|XP_015043625.2|DPSE, LOC4812112|XP_015043626.2|DPSE	LOC6036591|XP_038115396.1|CQUI, LOC6036581|XP_038118642.1|CQUI
OG0000889	LOC4812587|XP_033237575.1|DPSE	LOC6033544|XP_001843978.2|CQUI
OG0000890	LOC4803852|XP_001360503.4|DPSE, LOC6896812|XP_002137015.2|DPSE, LOC6902947|XP_002132673.2|DPSE	LOC6043796|XP_001861395.2|CQUI
OG0000891	LOC4817802|XP_001357160.2|DPSE	LOC6041067|XP_038111593.1|CQUI
OG0000892	LOC4813648|XP_033238009.1|DPSE, LOC4812334|XP_015044066.2|DPSE	LOC6041555|XP_001850801.2|CQUI
OG0000893	LOC4802952|XP_001359765.4|DPSE	LOC6034999|XP_001845244.2|CQUI, LOC6034994|XP_038116648.1|CQUI, LOC6034998|XP_038115749.1|CQUI, LOC6034997|XP_038115753.1|CQUI, LOC6034995|XP_001845241.2|CQUI, LOC119768921|XP_038116647.1|CQUI, LOC119768764|XP_038115747.1|CQUI, LOC119768763|XP_038115744.1|CQUI, LOC119768765|XP_038115748.1|CQUI
OG0000894	LOC6897541|XP_002137687.3|DPSE, LOC13036451|XP_003736704.3|DPSE, LOC4803288|XP_001360053.2|DPSE	LOC6043434|XP_001859054.2|CQUI
OG0000895	LOC6898252|XP_002138318.2|DPSE, LOC4803811|XP_001360469.3|DPSE	LOC6050900|XP_001867421.2|CQUI
OG0000896	LOC6898250|XP_015039364.2|DPSE, LOC6902200|XP_002133727.1|DPSE	LOC6048670|XP_038107984.1|CQUI
OG0000907	LOC4803531|XP_001360242.3|DPSE	LOC6052354|XP_001868642.2|CQUI
OG0000909	LOC4801576|XP_001358646.2|DPSE	LOC6039203|XP_038105481.1|CQUI
OG0000910	LOC4815686|XP_033240674.1|DPSE	LOC6034092|XP_038116190.1|CQUI
OG0000911	LOC6898776|XP_002138753.2|DPSE	LOC6033485|XP_001843927.2|CQUI
OG0000912	LOC4813233|XP_001353425.1|DPSE	LOC6033531|XP_001843968.1|CQUI, LOC6033530|XP_001843967.1|CQUI
OG0000914	LOC4804276|XP_001360857.3|DPSE	LOC6032957|XP_001843473.2|CQUI, LOC6032960|XP_001843476.1|CQUI, LOC6032959|XP_001843475.1|CQUI, LOC6042107|XP_001851258.1|CQUI
OG0000915	LOC4803824|XP_001360479.2|DPSE	LOC6049126|XP_038107760.1|CQUI
OG0000916	LOC4817334|XP_015036032.2|DPSE	LOC6044540|XP_038107414.1|CQUI, LOC6044537|XP_038109271.1|CQUI
OG0000917	LOC6899548|XP_033241796.1|DPSE, LOC4816732|XP_033236591.1|DPSE	LOC6036130|XP_038112959.1|CQUI
OG0000918	LOC6902763|XP_002133275.3|DPSE	LOC6053853|XP_038107451.1|CQUI
OG0000920	LOC4815341|XP_033237458.1|DPSE	LOC6037854|XP_038106185.1|CQUI, LOC119766065|XP_038106368.1|CQUI, LOC6037857|XP_001847730.2|CQUI, LOC6037858|XP_038106186.1|CQUI, LOC119765965|XP_038106190.1|CQUI, LOC119765963|XP_038106188.1|CQUI, LOC119765964|XP_038106189.1|CQUI, LOC6039737|XP_001849288.1|CQUI
OG0000921	LOC6901107|XP_033237824.1|DPSE, LOC6901109|XP_033237826.1|DPSE	LOC119770129|XP_038120407.1|CQUI, LOC6032513|XP_038120403.1|CQUI
OG0000922	LOC4812644|XP_001353033.3|DPSE	LOC6035826|XP_001845946.2|CQUI
OG0000923	LOC6897425|XP_002137577.3|DPSE	LOC6039960|XP_001849453.1|CQUI
OG0000924	LOC4816086|XP_001355382.3|DPSE	LOC6052729|XP_038108922.1|CQUI
OG0000925	LOC4800310|XP_001357597.2|DPSE	LOC6037245|XP_038114185.1|CQUI, LOC6037244|XP_001847173.1|CQUI
OG0000935	LOC6897310|XP_033232282.1|DPSE	LOC6041293|XP_038115420.1|CQUI
OG0000936	LOC26532160|XP_015044553.2|DPSE, LOC6901507|XP_002134193.2|DPSE	LOC6044999|XP_001862423.1|CQUI
OG0000937	LOC4801140|XP_033241657.1|DPSE	LOC6047549|XP_038122304.1|CQUI, LOC6038645|XP_038109622.1|CQUI
OG0000938	LOC26533083|XP_015041004.1|DPSE	LOC6041884|XP_001851080.1|CQUI
OG0000939	LOC4817185|XP_001356477.3|DPSE, LOC6901920|XP_033240727.1|DPSE	LOC6044428|XP_001861946.1|CQUI
OG0000941	LOC4815590|XP_001355660.1|DPSE	LOC6049171|XP_001865978.1|CQUI
OG0000942	LOC4813021|XP_001354065.3|DPSE	LOC6050303|XP_001866931.2|CQUI
OG0000943	LOC4803914|XP_001360559.4|DPSE, LOC6898203|XP_002138272.2|DPSE	LOC6036204|XP_038120020.1|CQUI
OG0000944	LOC4814501|XP_001354891.1|DPSE	LOC6038238|XP_038118238.1|CQUI
OG0000945	LOC4812003|XP_001352468.3|DPSE	LOC6040018|XP_001849494.2|CQUI
OG0000946	LOC4816842|XP_001356876.3|DPSE	LOC6044471|XP_038106712.1|CQUI, LOC6041548|XP_038107584.1|CQUI
OG0000947	LOC4804300|XP_001360880.1|DPSE	LOC6034360|XP_001844678.1|CQUI, LOC6034379|XP_038109332.1|CQUI, LOC6034378|XP_038109331.1|CQUI, LOC6034359|XP_001844677.2|CQUI
OG0000948	LOC117184919|XP_033240003.1|DPSE, LOC6900185|XP_002135523.3|DPSE, LOC6900186|XP_002135524.3|DPSE	LOC6048908|XP_001865747.2|CQUI
OG0000949	LOC4815457|XP_033241155.1|DPSE	LOC6033022|XP_038115508.1|CQUI, LOC6033023|XP_038115510.1|CQUI
OG0000950	LOC4815792|XP_015041178.2|DPSE, LOC4802969|XP_001359780.2|DPSE	LOC6046062|XP_001863317.2|CQUI
OG0000951	LOC4800834|XP_001358038.1|DPSE, LOC6902456|XP_002133001.2|DPSE	LOC119769688|XP_038118996.1|CQUI, LOC6039379|XP_038121296.1|CQUI
OG0000952	LOC6903301|XP_002132489.2|DPSE	LOC119770231|XP_038120613.1|CQUI
OG0000963	LOC4814282|XP_001354364.2|DPSE	LOC119765405|XP_038105122.1|CQUI, LOC6052738|XP_001868962.2|CQUI, LOC6052742|XP_001868961.1|CQUI, LOC6052739|XP_001868963.1|CQUI
OG0000964	LOC6903898|XP_002136619.3|DPSE	LOC6047021|XP_038104314.1|CQUI, LOC6032708|XP_001843260.2|CQUI
OG0000965	LOC4814657|XP_001354589.2|DPSE, LOC26533227|XP_033240544.1|DPSE, LOC26533584|XP_033241526.1|DPSE, LOC117185047|XP_033240542.1|DPSE, LOC117185053|XP_033240550.1|DPSE, LOC117185052|XP_033240549.1|DPSE	LOC6039055|XP_001848733.2|CQUI
OG0000966	LOC4800312|XP_001357594.2|DPSE	LOC6034419|XP_038105028.1|CQUI
OG0000969	LOC4805509|XP_033234604.1|DPSE	LOC6043792|XP_001861393.1|CQUI
OG0000970	LOC6901606|XP_002134276.2|DPSE, LOC6901605|XP_002134275.2|DPSE, LOC6896874|XP_002137064.4|DPSE	LOC6033272|XP_001843743.2|CQUI
OG0000971	LOC4816951|XP_001356525.2|DPSE	LOC6036039|XP_001846141.1|CQUI, LOC6040867|XP_001850197.1|CQUI
OG0000972	LOC4813874|XP_015043212.2|DPSE	LOC6031858|XP_038113015.1|CQUI
OG0000973	LOC6901265|XP_015041535.2|DPSE, LOC6901276|XP_002133977.2|DPSE, LOC4814952|XP_033240375.1|DPSE	LOC119766829|XP_038108809.1|CQUI, LOC6034199|XP_038108806.1|CQUI, LOC6047448|XP_038120387.1|CQUI
OG0000974	LOC4813578|XP_001353667.2|DPSE	LOC6049993|XP_038116186.1|CQUI, LOC6049992|XP_038116176.1|CQUI, LOC6049994|XP_038116185.1|CQUI, LOC6049990|XP_001866665.1|CQUI
OG0000975	LOC6897052|XP_002137236.2|DPSE, LOC6897818|XP_002137923.1|DPSE	LOC6046902|XP_001864030.2|CQUI
OG0000977	LOC117183590|XP_033233901.1|DPSE, LOC6897919|XP_033233856.1|DPSE	LOC6053094|XP_038112904.1|CQUI
OG0000978	LOC4803207|XP_001359987.2|DPSE	LOC6051170|XP_038108380.1|CQUI
OG0000988	LOC4817110|XP_001356839.3|DPSE	LOC6042735|XP_001870746.2|CQUI
OG0000990	LOC4815470|XP_033238604.1|DPSE	LOC119767687|XP_038112787.1|CQUI
OG0000991	LOC6901340|XP_002134041.2|DPSE	LOC6040891|XP_038105368.1|CQUI, LOC6042501|XP_038104580.1|CQUI
OG0000992	LOC4801225|XP_015037096.1|DPSE	LOC6042422|XP_001851542.2|CQUI
OG0000994	LOC6901455|XP_002134141.1|DPSE	LOC6045593|XP_001862934.2|CQUI
OG0000995	LOC6903560|XP_002132433.2|DPSE	LOC6041608|XP_001850846.1|CQUI
OG0000996	LOC4805424|XP_015040645.1|DPSE	LOC6030996|XP_001841849.2|CQUI, LOC119769660|XP_038118872.1|CQUI
OG0000997	LOC6898344|XP_015039564.2|DPSE, LOC117183524|XP_033233432.1|DPSE	LOC6052525|XP_038120680.1|CQUI
OG0000998	LOC4812420|XP_033240589.1|DPSE	LOC6047261|XP_001864343.2|CQUI, LOC6047263|XP_038117138.1|CQUI, LOC6047258|XP_038118868.1|CQUI
OG0000999	LOC4815011|XP_001354962.2|DPSE	LOC6036403|XP_001846456.1|CQUI
OG0001000	LOC6899316|XP_033233674.1|DPSE	LOC6032922|XP_038108749.1|CQUI
OG0001002	LOC4816902|XP_001356582.4|DPSE	LOC6031176|XP_001842019.1|CQUI, LOC6031178|XP_038111945.1|CQUI, LOC6031180|XP_038106920.1|CQUI
OG0001003	LOC6897798|XP_002137903.1|DPSE	LOC6040169|XP_001849620.1|CQUI
OG0001004	LOC4802805|XP_001359650.2|DPSE	LOC6038961|XP_001848650.1|CQUI
OG0001005	LOC4815740|XP_015040884.2|DPSE	LOC6047963|XP_038122308.1|CQUI
OG0001006	LOC4812231|XP_001352779.1|DPSE	LOC6032307|XP_001842939.1|CQUI
OG0001007	LOC4804310|XP_001360890.1|DPSE	LOC6032328|XP_001842958.1|CQUI
OG0001008	LOC4815029|XP_001355112.1|DPSE	LOC6054260|XP_001870205.2|CQUI
OG0001009	LOC6897506|XP_002137655.2|DPSE, LOC6896826|XP_033241691.1|DPSE	LOC6038900|XP_001848599.2|CQUI
OG0001019	LOC13036374|XP_015037038.2|DPSE	LOC6052564|XP_001868810.2|CQUI
OG0001020	LOC6901645|XP_002134314.2|DPSE	LOC6047041|XP_001864149.2|CQUI, LOC6047042|XP_038104222.1|CQUI, LOC6047044|XP_001864152.2|CQUI, LOC6047043|XP_001864151.2|CQUI
OG0001021	LOC4818004|XP_033235195.1|DPSE	LOC6050121|XP_038116561.1|CQUI, LOC6050119|XP_038116583.1|CQUI, LOC119768888|XP_038116570.1|CQUI
OG0001022	LOC4811665|XP_001352254.1|DPSE	LOC6034409|XP_001844727.1|CQUI
OG0001023	LOC117183388|XP_033233040.1|DPSE	LOC119769003|XP_038116803.1|CQUI
OG0001024	LOC4801126|XP_001358270.3|DPSE	LOC6034941|XP_001845202.2|CQUI, LOC6048000|XP_001864975.2|CQUI
OG0001025	LOC4813361|XP_001353354.2|DPSE	LOC6044075|XP_038116060.1|CQUI
OG0001026	LOC4804022|XP_001360652.1|DPSE	LOC6037044|XP_001847005.2|CQUI, LOC6037036|XP_001846998.2|CQUI
OG0001027	LOC6900518|XP_002134905.1|DPSE	LOC6036423|XP_001846475.1|CQUI, LOC6036424|XP_038121459.1|CQUI
OG0001028	LOC4816500|XP_001356025.3|DPSE	LOC6053346|XP_001869449.2|CQUI, LOC119769210|XP_038117057.1|CQUI, LOC6031308|XP_001842125.1|CQUI
OG0001029	LOC4804363|XP_001360937.3|DPSE	LOC6032857|XP_038119110.1|CQUI, LOC6050363|XP_038106167.1|CQUI, LOC119770391|XP_038121084.1|CQUI, LOC119769344|XP_038117302.1|CQUI, LOC119767080|XP_038110521.1|CQUI
OG0001031	LOC6902406|XP_015037000.2|DPSE	LOC6038935|XP_038109238.1|CQUI
OG0001032	LOC13036341|XP_033235445.1|DPSE	LOC6035231|XP_001845460.2|CQUI
OG0001033	LOC6902171|XP_002133702.3|DPSE	LOC6036914|XP_038107537.1|CQUI
OG0001042	LOC4800322|XP_001357587.2|DPSE	LOC6051046|XP_038122684.1|CQUI, LOC6053042|XP_038105133.1|CQUI, LOC6053041|XP_038122772.1|CQUI
OG0001043	LOC4815446|XP_001355701.2|DPSE	LOC6034458|XP_001844771.2|CQUI, LOC6034459|XP_001844772.1|CQUI
OG0001044	LOC4804131|XP_015039625.2|DPSE	LOC6033008|XP_001843518.2|CQUI, LOC6030844|XP_038115176.1|CQUI, LOC119767848|XP_038113446.1|CQUI, LOC6052536|XP_001868789.2|CQUI
OG0001045	LOC6898739|XP_015040344.2|DPSE	LOC6049796|XP_001866502.2|CQUI, LOC6046964|XP_001864077.2|CQUI, LOC6049795|XP_001866501.2|CQUI, LOC6040700|XP_001850055.1|CQUI
OG0001046	LOC4804670|XP_001361195.1|DPSE	LOC6037425|XP_001847339.1|CQUI
OG0001047	LOC4804383|XP_033234870.1|DPSE	LOC6052938|XP_001869113.1|CQUI
OG0001048	LOC4805247|XP_001361679.3|DPSE	LOC6030972|XP_001841824.2|CQUI, LOC6037859|XP_038106191.1|CQUI, LOC6036643|XP_038113731.1|CQUI
OG0001049	LOC6903297|XP_002132485.2|DPSE, LOC4812301|XP_001352647.4|DPSE	LOC6043980|XP_038117725.1|CQUI
OG0001050	LOC6896971|XP_002137156.2|DPSE, LOC6900034|XP_002135399.1|DPSE, LOC117183993|XP_033235698.1|DPSE	LOC6033574|XP_038117779.1|CQUI
OG0001051	LOC6902784|XP_002132521.2|DPSE	LOC6044460|XP_038112405.1|CQUI
OG0001052	LOC4816788|XP_015035777.1|DPSE	LOC6034904|XP_038107542.1|CQUI
OG0001053	LOC117185203|XP_033241490.1|DPSE, LOC117185205|XP_033241492.1|DPSE, LOC117183205|XP_033241491.1|DPSE, LOC6903974|XP_002136541.3|DPSE, LOC117185202|XP_033241485.1|DPSE, LOC26533390|XP_033241488.1|DPSE	LOC6040511|XP_038120753.1|CQUI
OG0001054	LOC4800928|XP_001358116.2|DPSE, LOC6896966|XP_002137151.2|DPSE	LOC6046359|XP_001863576.2|CQUI
OG0001055	LOC4802848|XP_033232393.1|DPSE	LOC6046753|XP_038118273.1|CQUI
OG0001056	LOC4811770|XP_033238899.1|DPSE	LOC6034033|XP_038120245.1|CQUI
OG0001057	LOC4818031|XP_001357250.1|DPSE, LOC6903367|XP_002132249.3|DPSE	LOC6039782|XP_001849304.1|CQUI
OG0001058	LOC6902017|XP_002133551.3|DPSE	LOC6031449|XP_038109731.1|CQUI
OG0001073	LOC4800749|XP_001357966.3|DPSE	LOC6040802|XP_038122600.1|CQUI
OG0001074	LOC4803340|XP_001360128.1|DPSE	LOC6040958|XP_001850279.1|CQUI
OG0001077	LOC4811643|XP_002135770.1|DPSE	LOC6037330|XP_001847254.1|CQUI
OG0001078	LOC4814417|XP_001354384.1|DPSE	LOC6032040|XP_001842707.2|CQUI, LOC6048058|XP_001865029.2|CQUI
OG0001079	LOC4812666|XP_001353050.2|DPSE	LOC6051664|XP_001868064.2|CQUI
OG0001080	LOC4811939|XP_001352463.2|DPSE	LOC6041053|XP_001850364.2|CQUI
OG0001081	LOC4802909|XP_001359735.2|DPSE	LOC6041039|XP_001850350.2|CQUI, LOC6042831|XP_001870828.1|CQUI
OG0001082	LOC6901249|XP_015041521.2|DPSE, LOC117185001|XP_033240260.1|DPSE, LOC4804418|XP_015039936.2|DPSE	LOC6043330|XP_038119590.1|CQUI
OG0001083	LOC4813944|XP_015043482.2|DPSE	LOC6031062|XP_038119861.1|CQUI
OG0001084	LOC4803432|XP_033234250.1|DPSE	LOC6042294|XP_038114789.1|CQUI, LOC6047368|XP_038115486.1|CQUI
OG0001085	LOC4804846|XP_001361339.4|DPSE	LOC6042005|XP_038115817.1|CQUI
OG0001086	LOC117183508|XP_033233297.1|DPSE	LOC6036258|XP_001846326.2|CQUI
OG0001088	LOC4812572|XP_001352769.3|DPSE	LOC6040518|XP_001849904.2|CQUI, LOC6033568|XP_038117163.1|CQUI, LOC6049750|XP_038119401.1|CQUI
OG0001089	LOC4812001|XP_015043708.1|DPSE	LOC6037275|XP_038117998.1|CQUI
OG0001090	LOC4812758|XP_001353549.4|DPSE	LOC6034576|XP_038120156.1|CQUI, LOC6034579|XP_038120153.1|CQUI, LOC6034580|XP_038120154.1|CQUI
OG0001092	LOC4817869|XP_001357352.1|DPSE	LOC6036149|XP_038109368.1|CQUI
OG0001093	LOC4816688|XP_015036785.2|DPSE	LOC6036146|XP_001846236.2|CQUI
OG0001094	LOC4816659|XP_033235894.1|DPSE	LOC6031336|XP_038112557.1|CQUI
OG0001095	LOC26532094|XP_033235366.1|DPSE	LOC6049911|XP_001866601.1|CQUI, LOC6049910|XP_038111983.1|CQUI, LOC6049913|XP_001866603.1|CQUI
OG0001096	LOC4817649|XP_015036401.2|DPSE	LOC6031955|XP_038113300.1|CQUI, LOC6031954|XP_038108739.1|CQUI
OG0001097	LOC26534452|XP_033235754.1|DPSE	LOC6031863|XP_038109276.1|CQUI
OG0001099	LOC6900934|XP_002134727.1|DPSE	LOC6040335|XP_001849740.2|CQUI
OG0001100	LOC6897793|XP_015038081.2|DPSE	LOC6052097|XP_038112579.1|CQUI
OG0001101	LOC6898360|XP_015039601.2|DPSE	LOC6037726|XP_038113843.1|CQUI
OG0001102	LOC4813725|XP_001353688.4|DPSE	LOC6040098|XP_038110990.1|CQUI, LOC6040089|XP_038110333.1|CQUI
OG0001103	LOC4800805|XP_001358015.1|DPSE	LOC6040179|XP_001849630.2|CQUI, LOC6040178|XP_038112931.1|CQUI, LOC6040177|XP_001849628.2|CQUI
OG0001104	LOC4803663|XP_001360346.3|DPSE	LOC6051930|XP_001868284.2|CQUI
OG0001105	LOC4815583|XP_001355499.1|DPSE	LOC6036714|XP_001846718.1|CQUI
OG0001106	LOC4811795|XP_015044320.1|DPSE	LOC6047766|XP_038112893.1|CQUI, LOC6047173|XP_038113034.1|CQUI
OG0001118	LOC6903926|XP_002136591.1|DPSE	LOC6053773|XP_001869802.1|CQUI
OG0001119	LOC117185621|XP_033241653.1|DPSE	LOC6040361|XP_038114062.1|CQUI, LOC6048162|XP_038104643.1|CQUI
OG0001120	LOC6896962|XP_015038892.2|DPSE	LOC6033952|XP_038104598.1|CQUI, LOC6033958|XP_038105273.1|CQUI
OG0001122	LOC4812463|XP_015043937.1|DPSE	LOC6047533|XP_038119301.1|CQUI
OG0001124	LOC4802084|XP_015037603.2|DPSE	LOC6044079|XP_038120683.1|CQUI
OG0001125	LOC4801867|XP_001358895.1|DPSE	LOC6039443|XP_001849053.2|CQUI
OG0001127	LOC4813028|XP_001353284.3|DPSE	LOC6052725|XP_001868949.2|CQUI, LOC6034690|XP_001844974.2|CQUI
OG0001128	LOC6898365|XP_002138418.3|DPSE	LOC6030950|XP_038115818.1|CQUI, LOC6040847|XP_038111443.1|CQUI
OG0001129	LOC4818013|XP_015035265.2|DPSE	LOC6041308|XP_038109340.1|CQUI
OG0001130	LOC4817313|XP_001356335.2|DPSE, LOC6899335|XP_033237248.1|DPSE	LOC6046734|XP_001863893.2|CQUI
OG0001131	LOC4811745|XP_015044302.1|DPSE	LOC6044602|XP_038107721.1|CQUI, LOC6042975|XP_038110225.1|CQUI, LOC6044604|XP_038107498.1|CQUI
OG0001133	LOC4816598|XP_015036647.2|DPSE	LOC6043724|XP_038111216.1|CQUI
OG0001134	LOC4804952|XP_001361433.5|DPSE	LOC6033084|XP_038114885.1|CQUI, LOC119767284|XP_038111486.1|CQUI, LOC119768949|XP_038116716.1|CQUI
OG0001135	LOC4801643|XP_015037338.1|DPSE	LOC6034993|XP_038120309.1|CQUI, LOC6039748|XP_001849295.2|CQUI
OG0001136	LOC6899331|XP_033241867.1|DPSE	LOC6050340|XP_038118633.1|CQUI
OG0001137	LOC4801808|XP_001358842.3|DPSE	LOC6050281|XP_001866914.2|CQUI
OG0001138	LOC4811972|XP_001352464.1|DPSE	LOC6044622|XP_038109992.1|CQUI
OG0001139	LOC6901088|XP_033238074.1|DPSE	LOC6034191|XP_001844546.2|CQUI
OG0001147	LOC6898963|XP_002138923.2|DPSE	LOC6048224|XP_001865175.2|CQUI
OG0001153	LOC4811752|XP_015044220.1|DPSE	LOC6047706|XP_038117452.1|CQUI
OG0001154	LOC4816828|XP_015035714.1|DPSE	LOC6031240|XP_038109888.1|CQUI, LOC6044142|XP_038112928.1|CQUI
OG0001155	LOC4814586|XP_001354835.4|DPSE	LOC119771163|XP_038122554.1|CQUI
OG0001157	LOC4801388|XP_015037219.2|DPSE	LOC6031419|XP_001842227.2|CQUI
OG0001158	LOC4818018|XP_001357474.1|DPSE	LOC6038004|XP_001847851.2|CQUI
OG0001159	LOC4800475|XP_033232911.1|DPSE	LOC6047617|XP_038105916.1|CQUI
OG0001160	LOC4801291|XP_001358411.3|DPSE	LOC6035059|XP_038105567.1|CQUI, LOC119765010|XP_001845295.2|CQUI
OG0001162	LOC6897644|XP_002137787.2|DPSE, LOC26534414|XP_015038082.2|DPSE	LOC6037355|XP_038105872.1|CQUI
OG0001164	LOC6897399|XP_002137551.3|DPSE, LOC4801075|XP_001358235.4|DPSE	LOC6053766|XP_038105500.1|CQUI, LOC6042425|XP_038104494.1|CQUI
