Orthogroup	DPSE.longest_only	HILL.longest_only
OG0001173	LOC4801985|XP_001358997.2|DPSE	LOC119660364|XP_037924800.1|HILL, LOC119658996|XP_037922805.1|HILL
OG0001174	LOC4814091|XP_033237973.1|DPSE	LOC119647791|XP_037904916.1|HILL
OG0001175	LOC4804669|XP_001361194.1|DPSE	LOC119654794|XP_037916271.1|HILL
OG0001176	LOC6896718|XP_002136932.2|DPSE, LOC4805490|XP_001361885.4|DPSE, LOC6898402|XP_033233982.1|DPSE	LOC119655006|XP_037916605.1|HILL
OG0001178	LOC4804405|XP_001360974.2|DPSE	LOC119661423|XP_037926694.1|HILL
OG0001179	LOC6898283|XP_033233305.1|DPSE	LOC119646342|XP_037902696.1|HILL
OG0001180	LOC4811798|XP_001352365.3|DPSE	LOC119660988|XP_037926002.1|HILL
OG0001181	LOC6903001|XP_002132723.3|DPSE, LOC6903002|XP_002132724.2|DPSE, LOC4813686|XP_001353168.2|DPSE	LOC119648244|XP_037905804.1|HILL
OG0001182	LOC4800548|XP_003736265.3|DPSE	LOC119659498|XP_037923550.1|HILL, LOC119659994|XP_037924297.1|HILL
OG0001183	LOC6899286|XP_033232789.1|DPSE	LOC119660414|XP_037924881.1|HILL
OG0001185	LOC13036326|XP_015038289.2|DPSE	LOC119658701|XP_037922219.1|HILL
OG0001186	LOC6903262|XP_002132961.1|DPSE, LOC4802992|XP_001359800.2|DPSE	LOC119659434|XP_037923445.1|HILL
OG0001187	LOC4803986|XP_033234197.1|DPSE	LOC119656116|XP_037918366.1|HILL
OG0001188	LOC4803383|XP_001360088.1|DPSE	LOC119653813|XP_037914766.1|HILL
OG0001189	LOC4805551|XP_001361936.2|DPSE	LOC119654676|XP_037916107.1|HILL
OG0001190	LOC6901179|XP_002133880.2|DPSE	LOC119655814|XP_037917847.1|HILL, LOC119655837|XP_037917871.1|HILL, LOC119655662|XP_037917574.1|HILL
OG0001191	LOC4816122|XP_001355843.3|DPSE	LOC119654289|XP_037915506.1|HILL
OG0001192	LOC6902344|XP_015036909.1|DPSE	LOC119649057|XP_037906966.1|HILL, LOC119659885|XP_037924131.1|HILL
OG0001193	LOC4801555|XP_001358627.1|DPSE	LOC119654818|XP_037916306.1|HILL
OG0001194	LOC4814619|XP_001354789.3|DPSE	LOC119648370|XP_037906025.1|HILL
OG0001195	LOC4803585|XP_001360289.3|DPSE	LOC119654582|XP_037915969.1|HILL
OG0001200	LOC6897470|XP_002137619.3|DPSE	LOC119657572|XP_037920465.1|HILL
OG0001201	LOC4803051|XP_001359852.3|DPSE	LOC119659691|XP_037923872.1|HILL, LOC119660477|XP_037924996.1|HILL, LOC119660451|XP_037924938.1|HILL
OG0001202	LOC6902275|XP_002133802.3|DPSE	LOC119658232|XP_037921438.1|HILL
OG0001203	LOC6899873|XP_002135664.1|DPSE	LOC119660998|XP_037926022.1|HILL, LOC119660891|XP_037925745.1|HILL
OG0001204	LOC4816345|XP_001356238.3|DPSE	LOC119657884|XP_037920948.1|HILL
OG0001205	LOC4802429|XP_001359351.4|DPSE	LOC119654814|XP_037916298.1|HILL
OG0001206	LOC6897369|XP_033232877.1|DPSE	LOC119652245|XP_037912149.1|HILL
OG0001207	LOC6896989|XP_002137175.2|DPSE, LOC4815987|XP_033239605.1|DPSE	LOC119658299|XP_037921525.1|HILL
OG0001208	LOC6901073|XP_033240388.1|DPSE	LOC119657034|XP_037919714.1|HILL
OG0001209	LOC4801425|XP_033241837.1|DPSE	LOC119652741|XP_037912967.1|HILL
OG0001210	LOC6901429|XP_033237428.1|DPSE	LOC119657755|XP_037920737.1|HILL
OG0001211	LOC6896931|XP_002137117.3|DPSE	LOC119652060|XP_037911926.1|HILL
OG0001212	LOC4815015|XP_001354605.2|DPSE	LOC119658512|XP_037921913.1|HILL
OG0001213	LOC6901199|XP_002133900.2|DPSE	LOC119659447|XP_037923459.1|HILL
OG0001214	LOC6899001|XP_033235101.1|DPSE, LOC117184399|XP_033237406.1|DPSE, LOC117184398|XP_033237405.1|DPSE, LOC6899993|XP_002135359.2|DPSE	LOC119652669|XP_037912863.1|HILL
OG0001215	LOC4801931|XP_001358949.2|DPSE	LOC119652850|XP_037913130.1|HILL
OG0001216	LOC6897157|XP_002137337.3|DPSE	LOC119653102|XP_037913545.1|HILL
OG0001217	LOC6902333|XP_033235687.1|DPSE	LOC119651703|XP_037911344.1|HILL
OG0001218	LOC6900638|XP_002135011.2|DPSE, LOC4801220|XP_001358343.4|DPSE	LOC119659492|XP_037923538.1|HILL
OG0001220	LOC4803483|XP_001360201.1|DPSE	LOC119652163|XP_037912039.1|HILL
OG0001221	LOC4804422|XP_033234710.1|DPSE	LOC119650451|XP_037909237.1|HILL
OG0001222	LOC4801606|XP_001358673.2|DPSE	LOC119661029|XP_037926116.1|HILL
OG0001223	LOC4803331|XP_015038986.2|DPSE	LOC119654577|XP_037915964.1|HILL
OG0001224	LOC4805676|XP_001362035.4|DPSE	LOC119655657|XP_037917569.1|HILL
OG0001225	LOC6898694|XP_033234269.1|DPSE	LOC119646976|XP_037903609.1|HILL
OG0001226	LOC4805096|XP_001361556.2|DPSE	LOC119657789|XP_037920804.1|HILL, LOC119646174|XP_037902482.1|HILL, LOC119661587|XP_037926917.1|HILL
OG0001227	LOC4817820|XP_015035527.1|DPSE	LOC119647209|XP_037903963.1|HILL, LOC119647103|XP_037903808.1|HILL
OG0001229	LOC26532507|XP_033233276.1|DPSE	LOC119646290|XP_037902629.1|HILL
OG0001230	LOC4803805|XP_001360463.3|DPSE	LOC119661031|XP_037926123.1|HILL
OG0001231	LOC4816431|XP_001356293.3|DPSE	LOC119652521|XP_037912644.1|HILL
OG0001232	LOC26532675|XP_015036275.2|DPSE	LOC119658989|XP_037922801.1|HILL, LOC119658979|XP_037922791.1|HILL
OG0001233	LOC4817005|XP_001356468.3|DPSE	LOC119661290|XP_037926495.1|HILL
OG0001234	LOC4805474|XP_001361869.3|DPSE	LOC119659090|XP_037922934.1|HILL
OG0001235	LOC4817377|XP_015035812.2|DPSE	LOC119646499|XP_037902882.1|HILL
OG0001236	LOC6900427|XP_002134818.2|DPSE	LOC119649757|XP_037907979.1|HILL
OG0001237	LOC6903962|XP_015035175.2|DPSE	LOC119659116|XP_037922967.1|HILL
OG0001238	LOC4802203|XP_001359170.2|DPSE	LOC119659152|XP_037923023.1|HILL
OG0001239	LOC4801350|XP_015037197.1|DPSE	LOC119660380|XP_037924827.1|HILL
OG0001240	LOC4802190|XP_033241866.1|DPSE	LOC119660382|XP_037924834.1|HILL
OG0001241	LOC4804272|XP_001360854.3|DPSE, LOC26532920|XP_033234274.1|DPSE	LOC119658765|XP_037922391.1|HILL
OG0001242	LOC6902927|XP_002132653.2|DPSE, LOC4815858|XP_001355619.1|DPSE	LOC119655416|XP_037917230.1|HILL
OG0001243	LOC6902226|XP_002133754.3|DPSE, LOC6896655|XP_002136871.2|DPSE, LOC4812397|XP_015044038.2|DPSE	LOC119648820|XP_037906605.1|HILL
OG0001244	LOC6901667|XP_033237859.1|DPSE, LOC4801365|XP_015037207.2|DPSE	LOC119661188|XP_037926337.1|HILL
OG0001245	LOC4801855|XP_033239485.1|DPSE	LOC119651974|XP_037911806.1|HILL
OG0001246	LOC117183616|XP_033234033.1|DPSE	LOC119655399|XP_037917208.1|HILL
OG0001247	LOC26532209|XP_015034947.2|DPSE, LOC26533614|XP_033233227.1|DPSE	LOC119653750|XP_037914607.1|HILL
OG0001248	LOC4812469|XP_001352771.2|DPSE	LOC119650077|XP_037908504.1|HILL, LOC119649838|XP_037908111.1|HILL, LOC119647933|XP_037905201.1|HILL, LOC119650285|XP_037908840.1|HILL, LOC119650080|XP_037908511.1|HILL, LOC119648509|XP_037906206.1|HILL, LOC119648725|XP_037906464.1|HILL, LOC119649642|XP_037907825.1|HILL, LOC119649535|XP_037907650.1|HILL, LOC119649939|XP_037908286.1|HILL, LOC119649581|XP_037907713.1|HILL
OG0001249	LOC4815630|XP_033240139.1|DPSE	LOC119658028|XP_037921186.1|HILL
OG0001255	LOC6901105|XP_002134581.2|DPSE, LOC6901110|XP_015042299.2|DPSE, LOC4804174|XP_001360778.3|DPSE, LOC6902067|XP_002133600.2|DPSE	LOC119653588|XP_037914266.1|HILL
OG0001257	LOC6899862|XP_033237228.1|DPSE	LOC119660950|XP_037925892.1|HILL
OG0001258	LOC4801813|XP_001358847.3|DPSE	LOC119650730|XP_037909685.1|HILL
OG0001259	LOC26532064|XP_033239085.1|DPSE, LOC4814538|XP_033239086.1|DPSE	LOC119658496|XP_037921886.1|HILL
OG0001260	LOC4800768|XP_001357983.3|DPSE	LOC119652828|XP_037913084.1|HILL
OG0001261	LOC4814308|XP_001354422.3|DPSE	LOC119657335|XP_037920135.1|HILL
OG0001262	LOC4813401|XP_033239113.1|DPSE	LOC119660928|XP_037925839.1|HILL
OG0001263	LOC6903030|XP_002132754.2|DPSE, LOC4800363|XP_001357551.1|DPSE	LOC119656996|XP_037919660.1|HILL
OG0001264	LOC4817390|XP_033236141.1|DPSE	LOC119646944|XP_037903561.1|HILL
OG0001265	LOC4815930|XP_033239138.1|DPSE	LOC119657638|XP_037920570.1|HILL
OG0001266	LOC4804459|XP_033233234.1|DPSE	LOC119656260|XP_037918605.1|HILL
OG0001267	LOC4801468|XP_001358555.3|DPSE	LOC119651389|XP_037910899.1|HILL
OG0001268	LOC6901895|XP_002133430.3|DPSE	LOC119652894|XP_037913194.1|HILL
OG0001269	LOC4805402|XP_004444503.1|DPSE	LOC119659654|XP_037923790.1|HILL
OG0001270	LOC4802676|XP_015037996.2|DPSE	LOC119659052|XP_037922887.1|HILL
OG0001271	LOC4804090|XP_001360708.2|DPSE	LOC119658672|XP_037922162.1|HILL
OG0001272	LOC4812928|XP_001353572.3|DPSE	LOC119649825|XP_037908089.1|HILL
OG0001273	LOC4801197|XP_001358326.1|DPSE	LOC119651602|XP_037911179.1|HILL
OG0001274	LOC4813404|XP_001353623.1|DPSE	LOC119649786|XP_037908019.1|HILL
OG0001275	LOC4814478|XP_001354814.1|DPSE	LOC119655439|XP_037917261.1|HILL
OG0001276	LOC4812521|XP_001352428.2|DPSE, LOC6903187|XP_002132886.2|DPSE	LOC119648094|XP_037905520.1|HILL
OG0001277	LOC4812601|XP_001352718.4|DPSE, LOC26532975|XP_015043779.2|DPSE	LOC119649433|XP_037907511.1|HILL, LOC119649427|XP_037907503.1|HILL
OG0001278	LOC4812685|XP_015044122.1|DPSE	LOC119649514|XP_037907615.1|HILL
OG0001279	LOC4814065|XP_001354302.2|DPSE	LOC119648237|XP_037905794.1|HILL
OG0001280	LOC4811982|XP_001352506.1|DPSE	LOC119648137|XP_037905610.1|HILL
OG0001281	LOC4813110|XP_001353558.1|DPSE	LOC119647691|XP_037904703.1|HILL
OG0001282	LOC4816453|XP_001356147.2|DPSE	LOC119648273|XP_037905856.1|HILL, LOC119649296|XP_037907318.1|HILL, LOC119650007|XP_037908401.1|HILL, LOC119649909|XP_037908236.1|HILL
OG0001283	LOC4805357|XP_001361771.5|DPSE	LOC119661427|XP_037926698.1|HILL
OG0001284	LOC26532607|XP_033236138.1|DPSE, LOC26532832|XP_015044419.2|DPSE	LOC119651440|XP_037910970.1|HILL
OG0001285	LOC4812247|XP_001352806.3|DPSE	LOC119654710|XP_037916157.1|HILL, LOC119646154|XP_037902453.1|HILL
OG0001286	LOC6903082|XP_002132800.2|DPSE	LOC119646226|XP_037902542.1|HILL
OG0001287	LOC4803087|XP_001359886.4|DPSE	LOC119650430|XP_037909177.1|HILL, LOC119650431|XP_037909178.1|HILL, LOC119660177|XP_037924513.1|HILL, LOC119660484|XP_037924999.1|HILL
OG0001288	LOC4817545|XP_001356954.3|DPSE	LOC119651059|XP_037910316.1|HILL
OG0001289	LOC6903592|XP_002132459.2|DPSE	LOC119656549|XP_037918844.1|HILL, LOC119646325|XP_037902674.1|HILL, LOC119646338|XP_037902691.1|HILL
OG0001290	LOC6902868|XP_033236108.1|DPSE	LOC119653199|XP_037913690.1|HILL
OG0001291	LOC4803521|XP_033234537.1|DPSE	LOC119654813|XP_037916297.1|HILL
OG0001292	LOC6899100|XP_015040801.2|DPSE	LOC119653512|XP_037914101.1|HILL
OG0001293	LOC117185209|XP_033241500.1|DPSE, LOC4814771|XP_001354959.1|DPSE, LOC117185206|XP_033241497.1|DPSE, LOC6903978|XP_033241495.1|DPSE, LOC6903975|XP_002136542.1|DPSE, LOC117185208|XP_033241499.1|DPSE, LOC117185207|XP_033241498.1|DPSE, LOC6903977|XP_002136540.1|DPSE	LOC119655415|XP_037917229.1|HILL
OG0001294	LOC4802707|XP_001359574.1|DPSE	LOC119654231|XP_037915382.1|HILL
OG0001295	LOC6901158|XP_002133859.1|DPSE, LOC6897920|XP_002138022.2|DPSE	LOC119653879|XP_037914923.1|HILL
OG0001296	LOC6898026|XP_002138115.2|DPSE	LOC119655784|XP_037917802.1|HILL
OG0001297	LOC6896748|XP_002136955.3|DPSE	LOC119659209|XP_037923105.1|HILL
OG0001298	LOC4800861|XP_033240832.1|DPSE	LOC119652500|XP_037912615.1|HILL, LOC119659762|XP_037923951.1|HILL, LOC119658977|XP_037922785.1|HILL
OG0001299	LOC6900072|XP_033238675.1|DPSE	LOC119649607|XP_037907753.1|HILL
OG0001300	LOC4803141|XP_001359932.1|DPSE	LOC119655461|XP_037917290.1|HILL
OG0001301	LOC4816254|XP_033236743.1|DPSE	LOC119654217|XP_037915358.1|HILL
OG0001302	LOC4804969|XP_015040336.2|DPSE	LOC119658796|XP_037922442.1|HILL, LOC119658797|XP_037922444.1|HILL, LOC119658798|XP_037922445.1|HILL, LOC119658800|XP_037922447.1|HILL
OG0001303	LOC4802085|XP_001359073.1|DPSE	LOC119657687|XP_037920649.1|HILL
OG0001304	LOC4804875|XP_033233237.1|DPSE	LOC119653815|XP_037914773.1|HILL
OG0001305	LOC4802675|XP_003736787.1|DPSE	LOC119658890|XP_037922616.1|HILL
OG0001306	LOC4802072|XP_001359065.3|DPSE	LOC119658704|XP_037922241.1|HILL, LOC119659011|XP_037922824.1|HILL, LOC119659009|XP_037922822.1|HILL
OG0001307	LOC4812548|XP_001352694.1|DPSE, LOC6897898|XP_002138000.2|DPSE, LOC6900087|XP_033241476.1|DPSE	LOC119659990|XP_037924289.1|HILL
OG0001308	LOC4815983|XP_033240081.1|DPSE, LOC6900254|XP_015044028.2|DPSE	LOC119653629|XP_037914332.1|HILL
OG0001309	LOC4802548|XP_001359446.4|DPSE	LOC119660286|XP_037924685.1|HILL
OG0001310	LOC4814497|XP_033240066.1|DPSE	LOC119655898|XP_037917977.1|HILL
OG0001311	LOC6901028|XP_033239697.1|DPSE, LOC6902855|XP_002132591.2|DPSE	LOC119656610|XP_037918975.1|HILL
OG0001313	LOC4803950|XP_001360588.3|DPSE	LOC119648111|XP_037905557.1|HILL
OG0001314	LOC6902715|XP_002133229.2|DPSE	LOC119657885|XP_037920950.1|HILL
OG0001318	LOC6897705|XP_002137831.3|DPSE	LOC119646413|XP_037902790.1|HILL
OG0001320	LOC6901565|XP_033238891.1|DPSE, LOC4803671|XP_001360352.4|DPSE, LOC6901820|XP_002134488.3|DPSE, LOC6897016|XP_002137201.3|DPSE	LOC119654141|XP_037915233.1|HILL
OG0001321	LOC6898160|XP_002138238.1|DPSE	LOC119661425|XP_037926696.1|HILL, LOC119646386|XP_037902757.1|HILL
OG0001326	LOC4800395|XP_015038520.2|DPSE	LOC119652653|XP_037912831.1|HILL
OG0001328	LOC117185158|XP_033241167.1|DPSE, LOC117184554|XP_033238665.1|DPSE, LOC117184553|XP_033238664.1|DPSE, LOC6899629|XP_033241162.1|DPSE	LOC119654838|XP_037916341.1|HILL, LOC119657878|XP_037920937.1|HILL
OG0001329	LOC117184586|XP_033238823.1|DPSE, LOC117184587|XP_033238824.1|DPSE, LOC117184588|XP_033238825.1|DPSE, LOC6902228|XP_002133756.3|DPSE, LOC6902230|XP_033238821.1|DPSE	LOC119658047|XP_037921219.1|HILL
OG0001330	LOC6901440|XP_015041691.2|DPSE	LOC119657748|XP_037920727.1|HILL
OG0001331	LOC4815539|XP_001355433.1|DPSE	LOC119656876|XP_037919468.1|HILL
OG0001333	LOC4816398|XP_001355929.3|DPSE	LOC119656813|XP_037919365.1|HILL
OG0001334	LOC4800384|XP_001357669.3|DPSE	LOC119657942|XP_037921060.1|HILL
OG0001335	LOC4802587|XP_001359480.4|DPSE	LOC119652343|XP_037912293.1|HILL
OG0001337	LOC4814195|XP_001354328.3|DPSE	LOC119657100|XP_037919783.1|HILL
OG0001338	LOC4804098|XP_015039609.2|DPSE	LOC119657367|XP_037920178.1|HILL
OG0001339	LOC4805092|XP_001361553.4|DPSE	LOC119655050|XP_037916668.1|HILL
OG0001340	LOC26532891|XP_033238369.1|DPSE	LOC119649314|XP_037907349.1|HILL
OG0001341	LOC4800440|XP_001357716.2|DPSE	LOC119651654|XP_037911265.1|HILL
OG0001342	LOC6896715|XP_033235133.1|DPSE	LOC119653250|XP_037913786.1|HILL
OG0001343	LOC4801898|XP_001358919.4|DPSE	LOC119652246|XP_037912155.1|HILL, LOC119651876|XP_037911617.1|HILL
OG0001344	LOC4800328|XP_001357582.3|DPSE	LOC119651796|XP_037911507.1|HILL
OG0001345	LOC4800776|XP_001357991.3|DPSE	LOC119652847|XP_037913127.1|HILL
OG0001346	LOC117183281|XP_033232568.1|DPSE, LOC117183283|XP_033232570.1|DPSE, LOC4800359|XP_001357555.4|DPSE	LOC119651609|XP_037911190.1|HILL
OG0001347	LOC6901883|XP_002133418.2|DPSE, LOC6900220|XP_002135550.2|DPSE, LOC6900222|XP_002135552.2|DPSE	LOC119656995|XP_037919658.1|HILL
OG0001348	LOC6901208|XP_002133909.1|DPSE	LOC119646138|XP_037902422.1|HILL
OG0001349	LOC4813943|XP_033238542.1|DPSE	LOC119650338|XP_037908930.1|HILL, LOC119648621|XP_037906319.1|HILL
OG0001350	LOC4813819|XP_001353919.4|DPSE	LOC119656031|XP_037918222.1|HILL
OG0001351	LOC4804081|XP_001360699.3|DPSE	LOC119646934|XP_037903549.1|HILL
OG0001352	LOC6898659|XP_033234153.1|DPSE	LOC119646485|XP_037902868.1|HILL
OG0001353	LOC4812831|XP_001353157.1|DPSE	LOC119657814|XP_037920854.1|HILL
OG0001354	LOC4804539|XP_015039998.2|DPSE	LOC119661661|XP_037927022.1|HILL
OG0001355	LOC4804222|XP_001360816.1|DPSE	LOC119647144|XP_037903866.1|HILL
OG0001356	LOC6897925|XP_033239001.1|DPSE	LOC119659914|XP_037924167.1|HILL
OG0001357	LOC4813405|XP_001353261.1|DPSE	LOC119650158|XP_037908633.1|HILL, LOC119650159|XP_037908634.1|HILL, LOC119655198|XP_037916898.1|HILL
OG0001358	LOC4813256|XP_001353488.3|DPSE	LOC119649831|XP_037908101.1|HILL
OG0001359	LOC4816205|XP_001355787.2|DPSE	LOC119649801|XP_037908041.1|HILL
OG0001360	LOC4804711|XP_001361229.2|DPSE	LOC119660268|XP_037924655.1|HILL
OG0001361	LOC6900308|XP_002135629.2|DPSE	LOC119649638|XP_037907817.1|HILL
OG0001362	LOC4812684|XP_001353067.1|DPSE	LOC119649515|XP_037907624.1|HILL
OG0001363	LOC4803273|XP_001360041.1|DPSE	LOC119660259|XP_037924645.1|HILL
OG0001364	LOC6899426|XP_033233715.1|DPSE	LOC119653200|XP_037913699.1|HILL
OG0001365	LOC6901937|XP_002133471.1|DPSE, LOC6897710|XP_002137833.2|DPSE, LOC6900941|XP_002134642.1|DPSE	LOC119648268|XP_037905850.1|HILL
OG0001366	LOC117183342|XP_033232838.1|DPSE, LOC4814116|XP_001354266.4|DPSE, LOC6897017|XP_033233187.1|DPSE	LOC119649229|XP_037907216.1|HILL
OG0001367	LOC6898419|XP_015039708.1|DPSE	LOC119646490|XP_037902877.1|HILL
OG0001368	LOC6898537|XP_015040035.2|DPSE	LOC119658811|XP_037922460.1|HILL
OG0001369	LOC4815190|XP_001354724.3|DPSE	LOC119654759|XP_037916228.1|HILL
OG0001370	LOC4804486|XP_015039979.2|DPSE	LOC119646383|XP_037902755.1|HILL
OG0001371	LOC6903318|XP_033235499.1|DPSE	LOC119653164|XP_037913632.1|HILL
OG0001373	LOC6902589|XP_002133117.3|DPSE	LOC119653079|XP_037913495.1|HILL
OG0001374	LOC6902435|XP_002132981.2|DPSE, LOC4805487|XP_001361882.1|DPSE	LOC119661235|XP_037926392.1|HILL
OG0001375	LOC4802527|XP_001359431.4|DPSE	LOC119659993|XP_037924293.1|HILL
OG0001376	LOC4805015|XP_001361485.2|DPSE	LOC119646276|XP_037902613.1|HILL
OG0001377	LOC4817376|XP_033235327.1|DPSE	LOC119650354|XP_037908968.1|HILL
OG0001378	LOC6902363|XP_002133309.3|DPSE, LOC4818042|XP_015035490.2|DPSE	LOC119656648|XP_037919037.1|HILL, LOC119657864|XP_037920917.1|HILL
OG0001379	LOC4817188|XP_015036107.1|DPSE	LOC119651100|XP_037910387.1|HILL
OG0001380	LOC6898672|XP_015040234.2|DPSE	LOC119661414|XP_037926677.1|HILL
OG0001381	LOC4803820|XP_001360475.2|DPSE	LOC119647953|XP_037905272.1|HILL
OG0001382	LOC117183986|XP_033235659.1|DPSE, LOC6903567|XP_015035556.2|DPSE	LOC119661475|XP_037926765.1|HILL
OG0001383	LOC6903341|XP_002132222.1|DPSE, LOC4803354|XP_001360112.1|DPSE	LOC119647254|XP_037904062.1|HILL
OG0001384	LOC117183959|XP_033235580.1|DPSE, LOC4816707|XP_001356285.1|DPSE	LOC119650590|XP_037909365.1|HILL
OG0001385	LOC4817464|XP_033235365.1|DPSE	LOC119648519|XP_037906217.1|HILL
OG0001386	LOC6903315|XP_033236837.1|DPSE	LOC119648014|XP_037905349.1|HILL
OG0001387	LOC4818098|XP_033236808.1|DPSE	LOC119658144|XP_037921342.1|HILL
OG0001388	LOC26533386|XP_033236160.1|DPSE	LOC119647241|XP_037904032.1|HILL
OG0001389	LOC4800555|XP_033241836.1|DPSE	LOC119652995|XP_037913350.1|HILL
OG0001390	LOC4817570|XP_015036346.1|DPSE	LOC119659069|XP_037922906.1|HILL
OG0001391	LOC26533271|XP_033239487.1|DPSE, LOC6900533|XP_033237383.1|DPSE, LOC4811697|XP_001352279.2|DPSE	LOC119659041|XP_037922869.1|HILL, LOC119660450|XP_037924937.1|HILL
OG0001392	LOC4814504|XP_001355029.4|DPSE	LOC119654285|XP_037915501.1|HILL
OG0001393	LOC6901671|XP_002134340.1|DPSE, LOC6897229|XP_002137401.1|DPSE	LOC119658993|XP_037922803.1|HILL
OG0001394	LOC6903314|XP_033236868.1|DPSE	LOC119660939|XP_037925866.1|HILL
OG0001395	LOC4803088|XP_001359887.1|DPSE, LOC6897547|XP_002137693.4|DPSE	LOC119659967|XP_037924255.1|HILL
OG0001396	LOC6902447|XP_002132992.2|DPSE, LOC6901333|XP_015041580.2|DPSE	LOC119654659|XP_037916078.1|HILL
OG0001397	LOC4802822|XP_001359664.2|DPSE	LOC119660543|XP_037925106.1|HILL
OG0001398	LOC4815444|XP_015041220.2|DPSE	LOC119658900|XP_037922631.1|HILL, LOC119660834|XP_037925631.1|HILL
OG0001399	LOC26533571|XP_033234447.1|DPSE	LOC119653725|XP_037914561.1|HILL
OG0001400	LOC6897176|XP_002137356.5|DPSE	LOC119649562|XP_037907686.1|HILL, LOC119649358|XP_037907399.1|HILL
OG0001401	LOC117184478|XP_033238169.1|DPSE, LOC4813398|XP_001353301.2|DPSE	LOC119650076|XP_037908503.1|HILL
OG0001402	LOC6900298|XP_002135620.2|DPSE	LOC119649300|XP_037907323.1|HILL
OG0001403	LOC4812519|XP_001352966.2|DPSE	LOC119657757|XP_037920740.1|HILL
OG0001404	LOC4804384|XP_015039907.1|DPSE	LOC119653478|XP_037914032.1|HILL
OG0001405	LOC4805705|XP_001362061.3|DPSE	LOC119654372|XP_037915653.1|HILL, LOC119654030|XP_037915121.1|HILL, LOC119655178|XP_037916858.1|HILL, LOC119654029|XP_037915120.1|HILL
OG0001406	LOC6903006|XP_002132728.1|DPSE, LOC4814627|XP_001354880.2|DPSE	LOC119655945|XP_037918064.1|HILL
OG0001407	LOC6902488|XP_002133033.3|DPSE, LOC117183188|XP_033236176.1|DPSE, LOC6900695|XP_002135059.2|DPSE	LOC119649363|XP_037907405.1|HILL
OG0001408	LOC4805667|XP_001362028.2|DPSE	LOC119653786|XP_037914717.1|HILL, LOC119653785|XP_037914716.1|HILL, LOC119649778|XP_037908008.1|HILL, LOC119649900|XP_037908222.1|HILL, LOC119649959|XP_037908323.1|HILL, LOC119653782|XP_037914712.1|HILL, LOC119655494|XP_037917324.1|HILL, LOC119654611|XP_037916011.1|HILL
OG0001411	LOC4801581|XP_001358651.2|DPSE	LOC119661783|XP_037927187.1|HILL, LOC119652314|XP_037912255.1|HILL, LOC119646991|XP_037903634.1|HILL
OG0001412	LOC4817506|XP_001356924.4|DPSE	LOC119646959|XP_037903583.1|HILL
OG0001415	LOC6898333|XP_002138388.2|DPSE, LOC4804010|XP_001360641.3|DPSE	LOC119646748|XP_037903254.1|HILL, LOC119646710|XP_037903216.1|HILL
OG0001429	LOC6897285|XP_015037335.2|DPSE	LOC119653219|XP_037913722.1|HILL, LOC119652468|XP_037912562.1|HILL
OG0001430	LOC4802004|XP_033235971.1|DPSE	LOC119647554|XP_037904478.1|HILL, LOC119656740|XP_037919217.1|HILL
OG0001432	LOC4814404|XP_033239312.1|DPSE	LOC119657036|XP_037919718.1|HILL
OG0001433	LOC6901708|XP_002134376.2|DPSE, LOC4800932|XP_001358119.3|DPSE	LOC119652346|XP_037912300.1|HILL
OG0001434	LOC4814818|XP_033241176.1|DPSE	LOC119656546|XP_037918836.1|HILL
OG0001435	LOC4804343|XP_001360918.3|DPSE, LOC6901740|XP_002134409.2|DPSE	LOC119656806|XP_037919345.1|HILL
OG0001436	LOC6902608|XP_002133134.1|DPSE, LOC6901855|XP_002133393.1|DPSE	LOC119656606|XP_037918968.1|HILL
OG0001437	LOC4816856|XP_001356391.1|DPSE	LOC119659054|XP_037922891.1|HILL
OG0001438	LOC6901931|XP_002133465.3|DPSE, LOC4800623|XP_001357865.2|DPSE	LOC119656888|XP_037919486.1|HILL
OG0001439	LOC4801550|XP_001358622.2|DPSE	LOC119659035|XP_037922858.1|HILL
OG0001440	LOC6901561|XP_002134235.3|DPSE	LOC119651352|XP_037910839.1|HILL
OG0001441	LOC4815177|XP_001354939.2|DPSE	LOC119656960|XP_037919608.1|HILL
OG0001442	LOC117184543|XP_033238623.1|DPSE, LOC4816112|XP_001355784.2|DPSE	LOC119657508|XP_037920372.1|HILL
OG0001443	LOC4800405|XP_001357688.2|DPSE	LOC119653014|XP_037913378.1|HILL
OG0001444	LOC4800958|XP_001358140.3|DPSE	LOC119657226|XP_037919966.1|HILL, LOC119657317|XP_037920104.1|HILL, LOC119658133|XP_037921330.1|HILL
OG0001445	LOC26532481|XP_015039566.1|DPSE, LOC6897777|XP_003736809.3|DPSE	LOC119650719|XP_037909661.1|HILL
OG0001446	LOC6896960|XP_033232426.1|DPSE	LOC119650743|XP_037909739.1|HILL
OG0001447	LOC4802832|XP_015038128.2|DPSE	LOC119655582|XP_037917453.1|HILL
OG0001448	LOC4800396|XP_001357681.2|DPSE	LOC119652654|XP_037912834.1|HILL
OG0001449	LOC6898959|XP_002138919.1|DPSE	LOC119650287|XP_037908845.1|HILL
OG0001450	LOC6903339|XP_033235136.1|DPSE	LOC119657746|XP_037920724.1|HILL
OG0001451	LOC4803471|XP_033234372.1|DPSE	LOC119661787|XP_037927198.1|HILL
OG0001452	LOC4804251|XP_015039767.2|DPSE	LOC119647289|XP_037904121.1|HILL
