Orthogroup	DBIA.longest_only	SLEB.longest_only
OG0000576	LOC108027096|XP_016953803.1|DBIA, LOC108027050|XP_016953747.1|DBIA	LOC115623717|XP_030374058.1|SLEB, LOC115623855|XP_030374259.1|SLEB
OG0000577	LOC108034166|XP_016964461.1|DBIA	LOC115631048|XP_030383541.1|SLEB
OG0000577	LOC108033812|XP_016963922.1|DBIA	LOC115630934|XP_030383361.1|SLEB
OG0000578	LOC108033910|XP_016964069.1|DBIA	LOC115630624|XP_030383119.1|SLEB
OG0000578	LOC108023048|XP_016947778.1|DBIA	LOC115624580|XP_030375178.1|SLEB
OG0000579	LOC108031224|XP_016959949.1|DBIA	LOC115621378|XP_030370867.1|SLEB
OG0000579	LOC108028826|XP_016956304.1|DBIA	LOC115622675|XP_030372549.1|SLEB
OG0000580	LOC108024580|XP_016950068.1|DBIA	LOC115624313|XP_030374798.1|SLEB
OG0000580	LOC108024584|XP_016950075.1|DBIA	LOC115623669|XP_030373995.1|SLEB
OG0000581	LOC108027287|XP_016954167.1|DBIA	LOC115624401|XP_030374991.1|SLEB
OG0000581	LOC108025852|XP_016952006.1|DBIA	LOC115627719|XP_030379324.1|SLEB
OG0000582	LOC108035086|XP_016965992.1|DBIA	LOC115623225|XP_030373327.1|SLEB
OG0000582	LOC108026803|XP_016953454.1|DBIA	LOC115629425|XP_030381740.1|SLEB
OG0000583	LOC108022480|XP_016946920.1|DBIA	LOC115634436|XP_030388003.1|SLEB
OG0000584	LOC108032441|XP_016961755.1|DBIA	LOC115626476|XP_030377720.1|SLEB
OG0000584	LOC108032427|XP_016961738.1|DBIA	LOC115626504|XP_030377749.1|SLEB, LOC115631930|XP_030384641.1|SLEB
OG0000585	LOC108034752|XP_016965190.1|DBIA, LOC108034693|XP_016965123.1|DBIA	LOC115622461|XP_030372266.1|SLEB
OG0000585	LOC108034755|XP_016965193.1|DBIA	LOC115623138|XP_030373207.1|SLEB
OG0000586	LOC108022142|XP_016946473.1|DBIA, LOC108029616|XP_016957490.1|DBIA, LOC108029511|XP_016957297.1|DBIA	LOC115624710|XP_030375394.1|SLEB
OG0000590	LOC108031246|XP_016959971.1|DBIA	LOC115621604|XP_030371157.1|SLEB
OG0000590	LOC108032984|XP_016962550.1|DBIA	LOC115628967|XP_030381105.1|SLEB
OG0000592	LOC108036646|XP_016968411.1|DBIA	LOC115620051|XP_030369040.1|SLEB
OG0000592	LOC108022310|XP_016946659.1|DBIA	LOC115634746|XP_030388498.1|SLEB
OG0000593	LOC108025781|XP_016951888.1|DBIA	LOC115631798|XP_030384496.1|SLEB, LOC115629128|XP_030381328.1|SLEB
OG0000594	LOC108026344|XP_016952738.1|DBIA	LOC115620678|XP_030369902.1|SLEB
OG0000594	LOC108031145|XP_016959848.1|DBIA	LOC115623706|XP_030374044.1|SLEB
OG0000595	LOC108031940|XP_016961210.1|DBIA	LOC115625556|XP_030376508.1|SLEB
OG0000595	LOC108024707|XP_016950285.1|DBIA	LOC115620820|XP_030370108.1|SLEB
OG0000596	LOC108024131|XP_016949403.1|DBIA	LOC115626832|XP_030378173.1|SLEB
OG0000596	LOC108032215|XP_016961564.1|DBIA	LOC115625220|XP_030376063.1|SLEB
OG0000597	LOC108031330|XP_016960071.1|DBIA	LOC115621662|XP_030371229.1|SLEB
OG0000597	LOC108025194|XP_016950992.1|DBIA	LOC115621009|XP_030370388.1|SLEB
OG0000598	LOC108024902|XP_016950560.1|DBIA	LOC115621982|XP_030371694.1|SLEB
OG0000599	LOC108027766|XP_016954817.1|DBIA, LOC108028483|XP_016955838.1|DBIA	LOC115622412|XP_030372206.1|SLEB
OG0000600	LOC108030425|XP_016958800.1|DBIA	LOC115632442|XP_030385460.1|SLEB
OG0000600	LOC108030348|XP_016958702.1|DBIA	LOC115633704|XP_030387024.1|SLEB
OG0000601	LOC108034107|XP_016964373.1|DBIA	LOC115633839|XP_030387190.1|SLEB
OG0000601	LOC108027879|XP_016954986.1|DBIA	LOC115626624|XP_030377888.1|SLEB
OG0000602	LOC108032799|XP_016962295.1|DBIA	LOC115626085|XP_030377198.1|SLEB
OG0000603	LOC108024357|XP_016949750.1|DBIA, LOC108036054|XP_016967485.1|DBIA, LOC108036059|XP_016967491.1|DBIA, LOC108036085|XP_016967524.1|DBIA	LOC115628477|XP_030380458.1|SLEB
OG0000604	LOC108027882|XP_016954987.1|DBIA	LOC115630657|XP_030383158.1|SLEB
OG0000604	LOC108027932|XP_016955049.1|DBIA	LOC115630582|XP_030383060.1|SLEB, LOC115630688|XP_030383198.1|SLEB
OG0000605	LOC108034341|XP_016964713.1|DBIA	LOC115630512|XP_030382973.1|SLEB
OG0000606	LOC108031699|XP_016960848.1|DBIA	LOC115620195|XP_030369188.1|SLEB
OG0000607	LOC108032112|XP_016961434.1|DBIA	LOC115620885|XP_030370225.1|SLEB
OG0000607	LOC108027400|XP_016954327.1|DBIA	LOC115624393|XP_030374965.1|SLEB
OG0000608	LOC108025099|XP_016950851.1|DBIA	LOC115625074|XP_030375822.1|SLEB
OG0000608	LOC108025288|XP_016951159.1|DBIA	LOC115625574|XP_030376535.1|SLEB
OG0000609	LOC108021951|XP_016946267.1|DBIA	LOC115627917|XP_030379671.1|SLEB
OG0000610	LOC108035965|XP_016967271.1|DBIA, LOC108022370|XP_016946740.1|DBIA	LOC115623312|XP_030373437.1|SLEB
OG0000611	LOC108022583|XP_016947095.1|DBIA	LOC115629627|XP_030381991.1|SLEB
OG0000611	LOC108036672|XP_016968444.1|DBIA	LOC115626533|XP_030377776.1|SLEB
OG0000612	LOC108027979|XP_016955094.1|DBIA, LOC108028070|XP_016955200.1|DBIA, LOC108028069|XP_016955199.1|DBIA	LOC115623041|XP_030373078.1|SLEB, LOC115622314|XP_030372080.1|SLEB
OG0000614	LOC108032692|XP_016962156.1|DBIA, LOC108025014|XP_016950758.1|DBIA	LOC115626391|XP_030377611.1|SLEB
OG0000614	LOC108027558|XP_016954519.1|DBIA	LOC115629316|XP_030381621.1|SLEB
OG0000615	LOC108035760|XP_016966949.1|DBIA	LOC115627692|XP_030379295.1|SLEB
OG0000615	LOC108031530|XP_016960554.1|DBIA	LOC115620406|XP_030369485.1|SLEB
OG0000616	LOC108035810|XP_016967045.1|DBIA, LOC108035821|XP_016967057.1|DBIA	LOC115627474|XP_030379011.1|SLEB
OG0000617	LOC108024664|XP_016950220.1|DBIA	LOC115621815|XP_030371461.1|SLEB
OG0000617	LOC108027449|XP_016954389.1|DBIA	LOC115620342|XP_030369403.1|SLEB
OG0000618	LOC108032025|XP_016961324.1|DBIA	LOC115622043|XP_030371775.1|SLEB
OG0000618	LOC108030900|XP_016959566.1|DBIA	LOC115621508|XP_030371040.1|SLEB
OG0000619	LOC108030276|XP_016958593.1|DBIA	LOC115634836|XP_030388617.1|SLEB
OG0000620	LOC108024426|XP_016949833.1|DBIA	LOC115627320|XP_030378822.1|SLEB
OG0000620	LOC108029863|XP_016957845.1|DBIA	LOC115633030|XP_030386227.1|SLEB
OG0000621	LOC108031644|XP_016960764.1|DBIA	LOC115620478|XP_030369572.1|SLEB
OG0000621	LOC108023539|XP_016948597.1|DBIA	LOC115627100|XP_030378516.1|SLEB
OG0000622	LOC108028739|XP_016956194.1|DBIA	LOC115622549|XP_030372376.1|SLEB
OG0000622	LOC108030669|XP_016959189.1|DBIA	LOC115632202|XP_030385111.1|SLEB
OG0000623	LOC108030969|XP_016959661.1|DBIA	LOC115624552|XP_030375137.1|SLEB
OG0000623	LOC108028449|XP_016955775.1|DBIA	LOC115628260|XP_030380139.1|SLEB
OG0000624	LOC108030303|XP_016958626.1|DBIA	LOC115633640|XP_030386940.1|SLEB
OG0000625	LOC108028381|XP_016955666.1|DBIA	LOC115622157|XP_030371885.1|SLEB
OG0000625	LOC108028382|XP_016955669.1|DBIA	LOC115622847|XP_030372788.1|SLEB
OG0000626	LOC108036279|XP_016967779.1|DBIA	LOC115634382|XP_030387926.1|SLEB
OG0000626	LOC108022973|XP_016947687.1|DBIA	LOC115634725|XP_030388467.1|SLEB
OG0000627	LOC108028799|XP_016956272.1|DBIA	LOC115633005|XP_030386190.1|SLEB
OG0000627	LOC108023234|XP_016947998.1|DBIA	LOC115628860|XP_030380971.1|SLEB
OG0000628	LOC108032434|XP_016961746.1|DBIA	LOC115630700|XP_030383212.1|SLEB
OG0000628	LOC108034271|XP_016964622.1|DBIA	LOC115626527|XP_030377769.1|SLEB, LOC115630539|XP_030383004.1|SLEB
OG0000629	LOC108024370|XP_016949762.1|DBIA, LOC108033776|XP_016963865.1|DBIA	LOC115628582|XP_030380626.1|SLEB
OG0000630	LOC108034202|XP_016964522.1|DBIA	LOC115626220|XP_030377378.1|SLEB
OG0000630	LOC108034015|XP_016964238.1|DBIA	LOC115625733|XP_030376744.1|SLEB
OG0000631	LOC108033947|XP_016964125.1|DBIA	LOC115631173|XP_030383722.1|SLEB
OG0000631	LOC108029263|XP_016956948.1|DBIA	LOC115626352|XP_030377562.1|SLEB
OG0000632	LOC108027909|XP_016955019.1|DBIA	LOC115630690|XP_030383200.1|SLEB
OG0000632	LOC108027781|XP_016954833.1|DBIA	LOC115630409|XP_030382802.1|SLEB
OG0000633	LOC108034438|XP_016964811.1|DBIA	LOC115623010|XP_030373041.1|SLEB, LOC115623003|XP_030373028.1|SLEB
OG0000635	LOC108029714|XP_016957678.1|DBIA	LOC115620742|XP_030369999.1|SLEB
OG0000635	LOC108032978|XP_016962542.1|DBIA	LOC115629274|XP_030381560.1|SLEB
OG0000636	LOC108033332|XP_016963106.1|DBIA	LOC115626223|XP_030377382.1|SLEB
OG0000636	LOC108033333|XP_016963107.1|DBIA	LOC115626226|XP_030377385.1|SLEB, LOC115626225|XP_030377383.1|SLEB, LOC115626227|XP_030377387.1|SLEB
OG0000637	LOC108024111|XP_016949377.1|DBIA	LOC115627962|XP_030379716.1|SLEB
OG0000637	LOC108024265|XP_016949641.1|DBIA	LOC115627960|XP_030379713.1|SLEB
OG0000638	LOC108032999|XP_016962612.1|DBIA	LOC115627144|XP_030378581.1|SLEB
OG0000639	LOC108028266|XP_016955448.1|DBIA	LOC115633115|XP_030386361.1|SLEB
OG0000641	LOC108032364|XP_016961666.1|DBIA, LOC108027011|XP_016953698.1|DBIA	LOC115623783|XP_030374184.1|SLEB, LOC115623786|XP_030374188.1|SLEB
OG0000642	LOC108022088|XP_016946422.1|DBIA, LOC108022211|XP_016946554.1|DBIA	LOC115626067|XP_030377180.1|SLEB
OG0000642	LOC108028933|XP_016956440.1|DBIA	LOC115626065|XP_030377178.1|SLEB, LOC115626066|XP_030377179.1|SLEB, LOC115625957|XP_030377055.1|SLEB, LOC115625960|XP_030377061.1|SLEB
OG0000643	LOC108024296|XP_016949686.1|DBIA, LOC108024297|XP_016949687.1|DBIA, LOC108035870|XP_016967109.1|DBIA	LOC115620332|XP_030369388.1|SLEB, LOC115620334|XP_030369391.1|SLEB
OG0000644	LOC108030666|XP_016959181.1|DBIA, LOC108028697|XP_016956133.1|DBIA, LOC108028698|XP_016956134.1|DBIA	LOC115631644|XP_030384315.1|SLEB
OG0000645	LOC108027809|XP_016954876.1|DBIA	LOC115630472|XP_030382903.1|SLEB
OG0000645	LOC108030325|XP_016958671.1|DBIA	LOC115630471|XP_030382902.1|SLEB
OG0000646	LOC108026341|XP_016952734.1|DBIA	LOC115620235|XP_030369240.1|SLEB
OG0000646	LOC108024636|XP_016950170.1|DBIA	LOC115621842|XP_030371513.1|SLEB
OG0000647	LOC108027448|XP_016954388.1|DBIA	LOC115621967|XP_030371674.1|SLEB
OG0000647	LOC108025929|XP_016952111.1|DBIA	LOC115629630|XP_030381990.1|SLEB
OG0000648	LOC108023775|XP_016948908.1|DBIA	LOC115627944|XP_030379697.1|SLEB
OG0000648	LOC108023772|XP_016948904.1|DBIA	LOC115627942|XP_030379695.1|SLEB
OG0000649	LOC108033154|XP_016962869.1|DBIA	LOC115627568|XP_030379152.1|SLEB
OG0000649	LOC108033148|XP_016962861.1|DBIA	LOC115627550|XP_030379125.1|SLEB
OG0000650	LOC108026179|XP_016952442.1|DBIA	LOC115620503|XP_030369617.1|SLEB
OG0000650	LOC108036023|XP_016967442.1|DBIA	LOC115627753|XP_030379398.1|SLEB
OG0000651	LOC108034888|XP_016965587.1|DBIA	LOC115632259|XP_030385191.1|SLEB
OG0000651	LOC108035363|XP_016966450.1|DBIA	LOC115622859|XP_030372803.1|SLEB
OG0000652	LOC108036625|XP_016968386.1|DBIA	LOC115628872|XP_030380991.1|SLEB
OG0000652	LOC108032672|XP_016962129.1|DBIA	LOC115629665|XP_030382040.1|SLEB
OG0000653	LOC108027436|XP_016954373.1|DBIA, LOC108032925|XP_016962483.1|DBIA	LOC115620491|XP_030369592.1|SLEB
OG0000654	LOC108028616|XP_016956028.1|DBIA	LOC115628368|XP_030380304.1|SLEB
OG0000654	LOC108035010|XP_016965842.1|DBIA	LOC115632989|XP_030386166.1|SLEB
OG0000655	LOC108029636|XP_016957528.1|DBIA	LOC115621850|XP_030371563.1|SLEB
OG0000655	LOC108027756|XP_016954798.1|DBIA	LOC115630722|XP_030383235.1|SLEB
OG0000656	LOC108031829|XP_016961056.1|DBIA	LOC115623639|XP_030373943.1|SLEB
OG0000656	LOC108031830|XP_016961059.1|DBIA	LOC115627596|XP_030379180.1|SLEB
OG0000657	LOC108028063|XP_016955196.1|DBIA	LOC115624836|XP_030375543.1|SLEB
OG0000657	LOC108032751|XP_016962230.1|DBIA	LOC115631152|XP_030383683.1|SLEB
OG0000658	LOC108033182|XP_016962912.1|DBIA	LOC115627088|XP_030378498.1|SLEB
OG0000658	LOC108031067|XP_016959762.1|DBIA	LOC115626258|XP_030377426.1|SLEB
OG0000659	LOC108027925|XP_016955038.1|DBIA	LOC115625878|XP_030376954.1|SLEB
OG0000659	LOC108033384|XP_016963192.1|DBIA	LOC115626361|XP_030377571.1|SLEB
OG0000660	LOC108027908|XP_016955018.1|DBIA	LOC115631511|XP_030384136.1|SLEB
OG0000661	LOC108028534|XP_016955919.1|DBIA	LOC115622386|XP_030372170.1|SLEB
OG0000661	LOC108027800|XP_016954865.1|DBIA	LOC115630509|XP_030382967.1|SLEB
OG0000662	LOC108035530|XP_016966688.1|DBIA	LOC115632944|XP_030386100.1|SLEB
OG0000662	LOC108031364|XP_016960132.1|DBIA	LOC115627291|XP_030378783.1|SLEB
OG0000663	LOC108022450|XP_016946846.1|DBIA	LOC115627042|XP_030378440.1|SLEB
OG0000664	LOC108027049|XP_016953739.1|DBIA	LOC115626049|XP_030377161.1|SLEB
OG0000664	LOC108021960|XP_016946279.1|DBIA	LOC115629221|XP_030381490.1|SLEB
OG0000665	LOC108026348|XP_016952742.1|DBIA	LOC115623916|XP_030374332.1|SLEB
OG0000666	LOC108029729|XP_016957700.1|DBIA	LOC115624988|XP_030375715.1|SLEB
OG0000666	LOC108025749|XP_016951833.1|DBIA	LOC115627419|XP_030378949.1|SLEB
OG0000667	LOC108024249|XP_016949620.1|DBIA, LOC108024585|XP_016950077.1|DBIA	LOC115623576|XP_030373834.1|SLEB
OG0000668	LOC108025566|XP_016951584.1|DBIA	LOC115620304|XP_030369348.1|SLEB
OG0000668	LOC108031439|XP_016960357.1|DBIA	LOC115622050|XP_030371784.1|SLEB
OG0000669	LOC108025870|XP_016952035.1|DBIA	LOC115626945|XP_030378320.1|SLEB
OG0000669	LOC108025889|XP_016952059.1|DBIA	LOC115626693|XP_030377980.1|SLEB
OG0000670	LOC108021976|XP_016946306.1|DBIA	LOC115626707|XP_030378000.1|SLEB
OG0000671	LOC108031729|XP_016960894.1|DBIA	LOC115620863|XP_030370184.1|SLEB
OG0000671	LOC108024768|XP_016950370.1|DBIA	LOC115621283|XP_030370746.1|SLEB
OG0000672	LOC108025630|XP_016951655.1|DBIA	LOC115627870|XP_030379614.1|SLEB
OG0000672	LOC108024241|XP_016949611.1|DBIA	LOC115624926|XP_030375637.1|SLEB
OG0000673	LOC108036345|XP_016967905.1|DBIA	LOC115627417|XP_030378947.1|SLEB
OG0000673	LOC108030525|XP_016958904.1|DBIA	LOC115626494|XP_030377738.1|SLEB
OG0000675	LOC108033882|XP_016964015.1|DBIA	LOC115631118|XP_030383639.1|SLEB
OG0000677	LOC108035631|XP_016966818.1|DBIA	LOC115623186|XP_030373268.1|SLEB
OG0000677	LOC108032589|XP_016961990.1|DBIA	LOC115627739|XP_030379369.1|SLEB
OG0000678	LOC108024952|XP_016950678.1|DBIA	LOC115621186|XP_030370620.1|SLEB
OG0000678	LOC108029195|XP_016956860.1|DBIA	LOC115631717|XP_030384411.1|SLEB
OG0000679	LOC108025928|XP_016952110.1|DBIA	LOC115633757|XP_030387092.1|SLEB
OG0000680	LOC108024261|XP_016949636.1|DBIA	LOC115627844|XP_030379560.1|SLEB
OG0000681	LOC108032038|XP_016961338.1|DBIA	LOC115621828|XP_030371496.1|SLEB
OG0000681	LOC108033060|XP_016962698.1|DBIA	LOC115627476|XP_030379015.1|SLEB
OG0000683	LOC108026243|XP_016952573.1|DBIA	LOC115620499|XP_030369611.1|SLEB
OG0000684	LOC108031144|XP_016959847.1|DBIA	LOC115624151|XP_030374608.1|SLEB
OG0000684	LOC108024799|XP_016950408.1|DBIA	LOC115620565|XP_030369714.1|SLEB
OG0000685	LOC108025642|XP_016951667.1|DBIA	LOC115629499|XP_030381839.1|SLEB
OG0000685	LOC108027258|XP_016954109.1|DBIA	LOC115623675|XP_030374005.1|SLEB
OG0000686	LOC108030401|XP_016958774.1|DBIA	LOC115625171|XP_030375975.1|SLEB
OG0000686	LOC108027497|XP_016954429.1|DBIA	LOC115633274|XP_030386545.1|SLEB
OG0000687	LOC108026577|XP_016953018.1|DBIA	LOC115630042|XP_030382535.1|SLEB, LOC115630047|XP_030382538.1|SLEB, LOC115630043|XP_030382536.1|SLEB, LOC115630049|XP_030382540.1|SLEB, LOC115630046|XP_030382537.1|SLEB
OG0000687	LOC108034522|XP_016964935.1|DBIA	LOC115633169|XP_030386442.1|SLEB
OG0000688	LOC108022488|XP_016946930.1|DBIA	LOC115634831|XP_030388608.1|SLEB
OG0000689	LOC108022271|XP_016946618.1|DBIA	LOC115628671|XP_030380705.1|SLEB
OG0000689	LOC108022166|XP_016946499.1|DBIA	LOC115628661|XP_030380693.1|SLEB
OG0000690	LOC108025632|XP_016951657.1|DBIA	LOC115629307|XP_030381612.1|SLEB
OG0000691	LOC108036758|XP_016968576.1|DBIA	LOC115626605|XP_030377857.1|SLEB
OG0000691	LOC108035947|XP_016967238.1|DBIA	LOC115634680|XP_030388399.1|SLEB
OG0000692	LOC108034774|XP_016965209.1|DBIA	LOC115632631|XP_030385721.1|SLEB
OG0000692	LOC108034414|XP_016964786.1|DBIA	LOC115632633|XP_030385722.1|SLEB
OG0000693	LOC108023625|XP_016948724.1|DBIA	LOC115627792|XP_030379472.1|SLEB
OG0000693	LOC108031881|XP_016961134.1|DBIA	LOC115623630|XP_030373932.1|SLEB
OG0000694	LOC108030530|XP_016958908.1|DBIA	LOC115622249|XP_030372007.1|SLEB
OG0000695	LOC108024892|XP_016950523.1|DBIA	LOC115626345|XP_030377554.1|SLEB
OG0000696	LOC108028233|XP_016955386.1|DBIA	LOC115631699|XP_030384387.1|SLEB
OG0000696	LOC108036717|XP_016968506.1|DBIA	LOC115631207|XP_030383771.1|SLEB
OG0000697	LOC108027541|XP_016954479.1|DBIA, LOC108027091|XP_016953800.1|DBIA	LOC115626630|XP_030377894.1|SLEB
OG0000698	LOC108028980|XP_016956509.1|DBIA	LOC115631784|XP_030384478.1|SLEB
OG0000698	LOC108029304|XP_016956996.1|DBIA	LOC115631797|XP_030384494.1|SLEB
OG0000699	LOC108034117|XP_016964386.1|DBIA	LOC115631361|XP_030383939.1|SLEB
OG0000699	LOC108031225|XP_016959950.1|DBIA	LOC115621427|XP_030370939.1|SLEB
OG0000700	LOC108029188|XP_016956849.1|DBIA, LOC108027917|XP_016955029.1|DBIA	LOC115630522|XP_030382986.1|SLEB
OG0000701	LOC108029443|XP_016957181.1|DBIA	LOC115633828|XP_030387176.1|SLEB
OG0000701	LOC108025939|XP_016952126.1|DBIA	LOC115627353|XP_030378861.1|SLEB
OG0000702	LOC108026164|XP_016952409.1|DBIA	LOC115623432|XP_030373638.1|SLEB
OG0000702	LOC108026163|XP_016952386.1|DBIA	LOC115623431|XP_030373622.1|SLEB
OG0000703	LOC108032597|XP_016962001.1|DBIA	LOC115626522|XP_030377762.1|SLEB
OG0000703	LOC108030103|XP_016958279.1|DBIA	LOC115632207|XP_030385123.1|SLEB
OG0000704	LOC108024154|XP_016949446.1|DBIA	LOC115629751|XP_030382150.1|SLEB
OG0000704	LOC108025061|XP_016950808.1|DBIA	LOC115620514|XP_030369639.1|SLEB
OG0000705	LOC108028899|XP_016956410.1|DBIA, LOC108028884|XP_016956392.1|DBIA	LOC115632166|XP_030385053.1|SLEB
OG0000706	LOC108033329|XP_016963104.1|DBIA	LOC115631541|XP_030384176.1|SLEB
OG0000706	LOC108023483|XP_016948494.1|DBIA	LOC115633220|XP_030386469.1|SLEB
OG0000707	LOC108022300|XP_016946649.1|DBIA	LOC115634062|XP_030387466.1|SLEB
OG0000707	LOC108025880|XP_016952044.1|DBIA	LOC115628046|XP_030379850.1|SLEB
OG0000708	LOC108023383|XP_016948279.1|DBIA	LOC115627708|XP_030379316.1|SLEB
OG0000708	LOC108031991|XP_016961314.1|DBIA	LOC115627653|XP_030379253.1|SLEB
OG0000709	LOC108025090|XP_016950840.1|DBIA	LOC115621323|XP_030370803.1|SLEB
OG0000709	LOC108033068|XP_016962721.1|DBIA	LOC115626872|XP_030378240.1|SLEB
OG0000710	LOC108027098|XP_016953805.1|DBIA	LOC115623330|XP_030373453.1|SLEB
OG0000710	LOC108022922|XP_016947622.1|DBIA	LOC115634159|XP_030387599.1|SLEB
OG0000711	LOC108034580|XP_016965002.1|DBIA	LOC115622779|XP_030372697.1|SLEB
OG0000711	LOC108023642|XP_016948747.1|DBIA	LOC115629865|XP_030382313.1|SLEB
OG0000712	LOC108031543|XP_016960569.1|DBIA	LOC115623932|XP_030374352.1|SLEB
OG0000712	LOC108030963|XP_016959652.1|DBIA	LOC115623732|XP_030374102.1|SLEB
OG0000713	LOC108027090|XP_016953795.1|DBIA	LOC115621208|XP_030370649.1|SLEB
OG0000713	LOC108030368|XP_016958726.1|DBIA	LOC115628094|XP_030379931.1|SLEB
OG0000714	LOC108033067|XP_016962720.1|DBIA	LOC115633315|XP_030386605.1|SLEB
OG0000714	LOC108035044|XP_016965908.1|DBIA	LOC115623265|XP_030373395.1|SLEB
OG0000715	LOC108028120|XP_016955257.1|DBIA	LOC115623055|XP_030373093.1|SLEB
OG0000716	LOC108029412|XP_016957175.1|DBIA	LOC115633996|XP_030387379.1|SLEB
OG0000716	LOC108035372|XP_016966461.1|DBIA	LOC115624701|XP_030375377.1|SLEB
OG0000717	LOC108030783|XP_016959324.1|DBIA	LOC115632838|XP_030385954.1|SLEB
OG0000718	LOC108036007|XP_016967396.1|DBIA	LOC115627733|XP_030379356.1|SLEB
OG0000718	LOC108036030|XP_016967461.1|DBIA	LOC115627755|XP_030379400.1|SLEB
OG0000719	LOC108034944|XP_016965712.1|DBIA	LOC115622473|XP_030372276.1|SLEB
OG0000719	LOC108035245|XP_016966268.1|DBIA	LOC115622387|XP_030372171.1|SLEB
OG0000720	LOC108024738|XP_016950324.1|DBIA, LOC108030988|XP_016959677.1|DBIA, LOC108027059|XP_016953757.1|DBIA, LOC108036266|XP_016967766.1|DBIA, LOC108022170|XP_016946503.1|DBIA, LOC108025120|XP_016950875.1|DBIA	LOC115620246|XP_030369255.1|SLEB, LOC115621204|XP_030370645.1|SLEB, LOC115621379|XP_030370868.1|SLEB
OG0000721	LOC108033493|XP_016963322.1|DBIA, LOC108033471|XP_016963296.1|DBIA	LOC115626288|XP_030377472.1|SLEB
OG0000722	LOC108022109|XP_016946441.1|DBIA, LOC108022110|XP_016946442.1|DBIA, LOC108022111|XP_016946443.1|DBIA	LOC115629852|XP_030382337.1|SLEB
OG0000723	LOC108036899|XP_016968768.1|DBIA	LOC115634058|XP_030387461.1|SLEB
OG0000724	LOC108027611|XP_016954621.1|DBIA	LOC115633429|XP_030386749.1|SLEB
OG0000724	LOC108025091|XP_016950841.1|DBIA	LOC115626300|XP_030377488.1|SLEB
OG0000726	LOC108025453|XP_016951446.1|DBIA, LOC108023479|XP_016948493.1|DBIA	LOC115624214|XP_030374686.1|SLEB
OG0000727	LOC108032079|XP_016961391.1|DBIA	LOC115624337|XP_030374846.1|SLEB, LOC115624335|XP_030374844.1|SLEB
OG0000728	LOC108023315|XP_016948107.1|DBIA	LOC115630207|XP_030382636.1|SLEB
OG0000728	LOC108031450|XP_016960371.1|DBIA	LOC115625568|XP_030376522.1|SLEB
OG0000729	LOC108025515|XP_016951525.1|DBIA	LOC115620938|XP_030370310.1|SLEB
OG0000729	LOC108025517|XP_016951527.1|DBIA	LOC115620939|XP_030370311.1|SLEB
OG0000730	LOC108033136|XP_016962847.1|DBIA, LOC108032433|XP_016961745.1|DBIA	LOC115632855|XP_030385975.1|SLEB
OG0000731	LOC108035519|XP_016966670.1|DBIA	LOC115622743|XP_030372650.1|SLEB
OG0000731	LOC108029952|XP_016957943.1|DBIA	LOC115633836|XP_030387186.1|SLEB
OG0000732	LOC108035034|XP_016965868.1|DBIA	LOC115632506|XP_030385555.1|SLEB
OG0000732	LOC108035036|XP_016965870.1|DBIA	LOC115632505|XP_030385554.1|SLEB
OG0000733	LOC108026069|XP_016952254.1|DBIA	LOC115621490|XP_030371018.1|SLEB
OG0000733	LOC108035381|XP_016966476.1|DBIA	LOC115622518|XP_030372333.1|SLEB
OG0000734	LOC108025692|XP_016951717.1|DBIA	LOC115629183|XP_030381425.1|SLEB
OG0000734	LOC108035374|XP_016966463.1|DBIA	LOC115622143|XP_030371864.1|SLEB
OG0000735	LOC108032637|XP_016962073.1|DBIA	LOC115627337|XP_030378842.1|SLEB
OG0000735	LOC108032775|XP_016962266.1|DBIA	LOC115633563|XP_030386879.1|SLEB, LOC115625763|XP_030376785.1|SLEB
OG0000736	LOC108027663|XP_016954691.1|DBIA	LOC115630795|XP_030383313.1|SLEB
OG0000736	LOC108027662|XP_016954690.1|DBIA	LOC115630588|XP_030383066.1|SLEB
OG0000737	LOC108030161|XP_016958380.1|DBIA	LOC115628220|XP_030380078.1|SLEB
OG0000738	LOC108036739|XP_016968537.1|DBIA	LOC115630461|XP_030382886.1|SLEB
OG0000738	LOC108032452|XP_016961767.1|DBIA	LOC115626486|XP_030377730.1|SLEB
OG0000739	LOC108031098|XP_016959797.1|DBIA, LOC108032103|XP_016961421.1|DBIA	LOC115623627|XP_030373927.1|SLEB
OG0000740	LOC108031622|XP_016960716.1|DBIA	LOC115628455|XP_030380428.1|SLEB
OG0000741	LOC108025774|XP_016951861.1|DBIA, LOC108023204|XP_016947959.1|DBIA	LOC115628044|XP_030379847.1|SLEB
OG0000742	LOC108027567|XP_016954543.1|DBIA	LOC115627583|XP_030379167.1|SLEB
OG0000742	LOC108027568|XP_016954546.1|DBIA	LOC115627481|XP_030379020.1|SLEB
OG0000743	LOC108029604|XP_016957473.1|DBIA	LOC115633054|XP_030386259.1|SLEB
OG0000743	LOC108022318|XP_016946666.1|DBIA, LOC108022141|XP_016946472.1|DBIA	LOC115634620|XP_030388329.1|SLEB
OG0000744	LOC108036599|XP_016968348.1|DBIA	LOC115629175|XP_030381413.1|SLEB
OG0000745	LOC108022305|XP_016946654.1|DBIA	LOC115634146|XP_030387579.1|SLEB, LOC115627071|XP_030378479.1|SLEB
OG0000745	LOC108036358|XP_016967925.1|DBIA	LOC115634664|XP_030388387.1|SLEB
