Orthogroup	DBIA.longest_only	AEAL.longest_only
OG0000638	LOC108024427|XP_016949834.1|DBIA, LOC108032999|XP_016962612.1|DBIA	LOC115253666|XP_029721245.1|AEAL, LOC109401283|XP_019933380.1|AEAL, LOC109621229|XP_029732643.1|AEAL, LOC109428588|XP_029721258.1|AEAL
OG0000639	LOC108028266|XP_016955448.1|DBIA	LOC109432242|XP_029731044.1|AEAL, LOC109396983|XP_029730897.1|AEAL
OG0000646	LOC108026341|XP_016952734.1|DBIA, LOC108024636|XP_016950170.1|DBIA	LOC109412975|XP_029721793.1|AEAL, LOC115256705|XP_029711486.1|AEAL, LOC109428533|XP_029711734.1|AEAL
OG0000647	LOC108027448|XP_016954388.1|DBIA, LOC108025929|XP_016952111.1|DBIA	LOC109397890|XP_029710623.1|AEAL
OG0000648	LOC108023772|XP_016948904.1|DBIA	LOC115256430|XP_029710851.1|AEAL, LOC109427523|XP_019558622.2|AEAL, LOC115256447|XP_029710920.1|AEAL
OG0000649	LOC108033154|XP_016962869.1|DBIA, LOC108033148|XP_016962861.1|DBIA	LOC109427548|XP_029710777.1|AEAL, LOC115256597|XP_029711265.1|AEAL, LOC115269372|XP_029733899.1|AEAL
OG0000650	LOC108026179|XP_016952442.1|DBIA	LOC115256393|XP_029710677.1|AEAL, LOC109401900|XP_019530060.2|AEAL
OG0000651	LOC108034888|XP_016965587.1|DBIA, LOC108035363|XP_016966450.1|DBIA	LOC109405949|XP_019534542.2|AEAL, LOC109406923|XP_029728625.1|AEAL
OG0000652	LOC108036625|XP_016968386.1|DBIA, LOC108032672|XP_016962129.1|DBIA	LOC109429778|XP_029726721.1|AEAL, LOC115253614|XP_029713922.1|AEAL, LOC109430728|XP_029713782.1|AEAL
OG0000653	LOC108027436|XP_016954373.1|DBIA, LOC108032925|XP_016962483.1|DBIA	LOC109416868|XP_019546511.2|AEAL, LOC109623096|XP_019933123.2|AEAL
OG0000654	LOC108035010|XP_016965842.1|DBIA	LOC109426592|XP_029725611.1|AEAL
OG0000655	LOC108029636|XP_016957528.1|DBIA, LOC108027756|XP_016954798.1|DBIA	LOC109403659|XP_029735155.1|AEAL, LOC109407972|XP_029735110.1|AEAL
OG0000656	LOC108031829|XP_016961056.1|DBIA, LOC108031830|XP_016961059.1|DBIA	LOC109414992|XP_029728932.1|AEAL
OG0000657	LOC108028063|XP_016955196.1|DBIA, LOC108032751|XP_016962230.1|DBIA	LOC109428263|XP_019559537.2|AEAL
OG0000658	LOC108033182|XP_016962912.1|DBIA, LOC108031067|XP_016959762.1|DBIA	LOC115253850|XP_029715217.1|AEAL, LOC109428501|XP_029734110.1|AEAL, LOC109420976|XP_029714914.1|AEAL
OG0000659	LOC108027925|XP_016955038.1|DBIA, LOC108033384|XP_016963192.1|DBIA	LOC109428712|XP_019560083.1|AEAL
OG0000660	LOC108027908|XP_016955018.1|DBIA	LOC109402519|XP_029720042.1|AEAL
OG0000661	LOC108028534|XP_016955919.1|DBIA, LOC108027800|XP_016954865.1|DBIA	LOC109411721|XP_019540843.2|AEAL
OG0000662	LOC108035530|XP_016966688.1|DBIA, LOC108031364|XP_016960132.1|DBIA	LOC115257202|XP_029712499.1|AEAL, LOC109414164|XP_029707887.1|AEAL
OG0000663	LOC108022450|XP_016946846.1|DBIA	LOC115257196|XP_029712488.1|AEAL, LOC109414163|XP_019543489.2|AEAL
OG0000664	LOC108027049|XP_016953739.1|DBIA	LOC115268730|XP_029732733.1|AEAL, LOC115268732|XP_029732735.1|AEAL
OG0000664	LOC108021960|XP_016946279.1|DBIA	LOC109427984|XP_019559185.2|AEAL
OG0000665	LOC108026350|XP_016952745.1|DBIA, LOC108026348|XP_016952742.1|DBIA	LOC109415719|XP_029724398.1|AEAL
OG0000666	LOC108029729|XP_016957700.1|DBIA, LOC108025749|XP_016951833.1|DBIA	LOC109413683|XP_029727511.1|AEAL
OG0000667	LOC108024249|XP_016949620.1|DBIA, LOC108024585|XP_016950077.1|DBIA	LOC115265120|XP_029725214.1|AEAL, LOC115271095|XP_029736440.1|AEAL, LOC109422632|XP_029736376.1|AEAL
OG0000668	LOC108025566|XP_016951584.1|DBIA, LOC108031439|XP_016960357.1|DBIA	LOC109402806|XP_029712212.1|AEAL, LOC115253981|XP_029712280.1|AEAL
OG0000669	LOC108025870|XP_016952035.1|DBIA, LOC108025889|XP_016952059.1|DBIA	LOC115261327|XP_029718607.1|AEAL, LOC109412240|XP_019541428.2|AEAL
OG0000670	LOC108023575|XP_016948658.1|DBIA, LOC108021976|XP_016946306.1|DBIA	LOC115254132|XP_029724406.1|AEAL, LOC109415900|XP_029716599.1|AEAL, LOC109412635|XP_029724456.1|AEAL, LOC115264657|XP_029724455.1|AEAL
OG0000671	LOC108031729|XP_016960894.1|DBIA, LOC108024768|XP_016950370.1|DBIA	LOC109399090|XP_019527063.2|AEAL
OG0000672	LOC108025630|XP_016951655.1|DBIA, LOC108024241|XP_016949611.1|DBIA	LOC109621435|XP_019931010.2|AEAL, LOC115268001|XP_029731748.1|AEAL
OG0000673	LOC108036345|XP_016967905.1|DBIA, LOC108030525|XP_016958904.1|DBIA	LOC109407623|XP_019536309.1|AEAL, LOC115256948|XP_029712013.1|AEAL
OG0000677	LOC108035631|XP_016966818.1|DBIA, LOC108032589|XP_016961990.1|DBIA	LOC109433657|XP_029733829.1|AEAL, LOC109403483|XP_029710958.1|AEAL, LOC115256480|XP_029710988.1|AEAL
OG0000678	LOC108024952|XP_016950678.1|DBIA, LOC108029195|XP_016956860.1|DBIA	LOC109430086|XP_029711699.1|AEAL, LOC109428505|XP_019559845.2|AEAL
OG0000679	LOC108025928|XP_016952110.1|DBIA	LOC109399254|XP_019527238.2|AEAL, LOC109399255|XP_019527239.2|AEAL, LOC109401921|XP_019530089.2|AEAL, LOC109415824|XP_019545311.1|AEAL, LOC109402699|XP_019530946.1|AEAL, LOC115269658|XP_029734353.1|AEAL, LOC115269659|XP_029734354.1|AEAL, LOC109415828|XP_029734716.1|AEAL, LOC109414369|XP_019543725.2|AEAL
OG0000680	LOC108024261|XP_016949636.1|DBIA, LOC108024237|XP_016949605.1|DBIA	LOC109427377|XP_029711374.1|AEAL, LOC109402074|XP_029721641.1|AEAL
OG0000681	LOC108032038|XP_016961338.1|DBIA, LOC108033060|XP_016962698.1|DBIA	LOC109431384|XP_019563146.2|AEAL
OG0000683	LOC108026243|XP_016952573.1|DBIA	LOC109621544|XP_019931155.2|AEAL, LOC109621619|XP_019931251.2|AEAL, LOC115254357|XP_029707688.1|AEAL, LOC109621595|XP_019931222.2|AEAL, LOC115258007|XP_029713864.1|AEAL, LOC109621631|XP_019931273.2|AEAL, LOC109424835|XP_019555575.2|AEAL
OG0000684	LOC108031144|XP_016959847.1|DBIA, LOC108024799|XP_016950408.1|DBIA	LOC109399951|XP_019527965.2|AEAL
OG0000685	LOC108025642|XP_016951667.1|DBIA, LOC108027258|XP_016954109.1|DBIA	LOC115253816|XP_029723548.1|AEAL, LOC109424830|XP_019555567.1|AEAL
OG0000686	LOC108030401|XP_016958774.1|DBIA, LOC108027497|XP_016954429.1|DBIA	LOC109423293|XP_019553762.2|AEAL
OG0000687	LOC108026577|XP_016953018.1|DBIA, LOC108034522|XP_016964935.1|DBIA	LOC109418062|XP_019547776.2|AEAL
OG0000688	LOC108022488|XP_016946930.1|DBIA	LOC109417780|XP_029725542.1|AEAL, LOC109426683|XP_029725533.1|AEAL
OG0000689	LOC108022271|XP_016946618.1|DBIA, LOC108022166|XP_016946499.1|DBIA	LOC109426805|XP_019557886.1|AEAL
OG0000690	LOC108025632|XP_016951657.1|DBIA	LOC109400883|XP_019528912.1|AEAL, LOC109415518|XP_029730898.1|AEAL, LOC109430839|XP_019562477.1|AEAL, LOC115263212|XP_029722057.1|AEAL, LOC115263190|XP_029722003.1|AEAL, LOC115263215|XP_029722060.1|AEAL, LOC109400802|XP_019528846.2|AEAL, LOC109415519|XP_029730882.1|AEAL, LOC109415515|XP_029730913.1|AEAL
OG0000691	LOC108036758|XP_016968576.1|DBIA, LOC108035947|XP_016967238.1|DBIA	LOC109430890|XP_019562520.2|AEAL
OG0000692	LOC108034774|XP_016965209.1|DBIA, LOC108034414|XP_016964786.1|DBIA	LOC115257998|XP_029713853.1|AEAL
OG0000693	LOC108023625|XP_016948724.1|DBIA, LOC108031881|XP_016961134.1|DBIA	LOC109411152|XP_029729038.1|AEAL
OG0000694	LOC108025866|XP_016952025.1|DBIA, LOC108030530|XP_016958908.1|DBIA	LOC109408889|XP_029728797.1|AEAL, LOC109408225|XP_029728879.1|AEAL, LOC115253523|XP_029712385.1|AEAL
OG0000695	LOC108024892|XP_016950523.1|DBIA	LOC115259211|XP_029715592.1|AEAL, LOC109427861|XP_029715507.1|AEAL, LOC115260413|XP_029717225.1|AEAL
OG0000696	LOC108028233|XP_016955386.1|DBIA, LOC108036717|XP_016968506.1|DBIA	LOC115258816|XP_029715110.1|AEAL, LOC109433270|XP_019565241.1|AEAL, LOC109424227|XP_019554857.1|AEAL
OG0000697	LOC108027541|XP_016954479.1|DBIA, LOC108027091|XP_016953800.1|DBIA	LOC109622880|XP_029714029.1|AEAL
OG0000699	LOC108034117|XP_016964386.1|DBIA, LOC108031225|XP_016959950.1|DBIA	LOC109430138|XP_029729247.1|AEAL
OG0000700	LOC108029188|XP_016956849.1|DBIA, LOC108027917|XP_016955029.1|DBIA	LOC115266805|XP_029729270.1|AEAL, LOC115266785|XP_029729218.1|AEAL, LOC115266807|XP_029729274.1|AEAL
OG0000701	LOC108029443|XP_016957181.1|DBIA, LOC108025939|XP_016952126.1|DBIA	LOC109402345|XP_019530562.2|AEAL
OG0000702	LOC108026164|XP_016952409.1|DBIA, LOC108026163|XP_016952386.1|DBIA	LOC109405842|XP_029725602.1|AEAL
OG0000703	LOC108032597|XP_016962001.1|DBIA, LOC108030103|XP_016958279.1|DBIA	LOC109404865|XP_019533361.1|AEAL, LOC109414516|XP_029728540.1|AEAL
OG0000704	LOC108024154|XP_016949446.1|DBIA, LOC108025061|XP_016950808.1|DBIA	LOC109401332|XP_029728732.1|AEAL, LOC109415782|XP_029728804.1|AEAL
OG0000705	LOC108028899|XP_016956410.1|DBIA, LOC108028884|XP_016956392.1|DBIA	LOC109423456|XP_029731456.1|AEAL, LOC109414777|XP_029731586.1|AEAL
OG0000706	LOC108033329|XP_016963104.1|DBIA, LOC108023483|XP_016948494.1|DBIA	LOC109409567|XP_029732189.1|AEAL, LOC115268243|XP_029732156.1|AEAL
OG0000707	LOC108022300|XP_016946649.1|DBIA, LOC108025880|XP_016952044.1|DBIA	LOC109420326|XP_019550196.2|AEAL, LOC109408464|XP_019537347.1|AEAL, LOC115254246|XP_029734880.1|AEAL, LOC109419336|XP_029723936.1|AEAL
OG0000708	LOC108023383|XP_016948279.1|DBIA, LOC108031991|XP_016961314.1|DBIA	LOC109406135|XP_029718441.1|AEAL
OG0000709	LOC108025090|XP_016950840.1|DBIA, LOC108033068|XP_016962721.1|DBIA	LOC109403312|XP_019531664.1|AEAL, LOC109406517|XP_019535156.2|AEAL
OG0000712	LOC108031543|XP_016960569.1|DBIA, LOC108030963|XP_016959652.1|DBIA	LOC115261501|XP_029719092.1|AEAL, LOC109424364|XP_019555008.2|AEAL
OG0000713	LOC108027090|XP_016953795.1|DBIA, LOC108030368|XP_016958726.1|DBIA	LOC109409852|XP_019538887.1|AEAL
OG0000714	LOC108033067|XP_016962720.1|DBIA, LOC108035044|XP_016965908.1|DBIA	LOC109400801|XP_029731164.1|AEAL, LOC115268278|XP_029732185.1|AEAL, LOC115267828|XP_029731153.1|AEAL
OG0000715	LOC108028120|XP_016955257.1|DBIA	LOC115254194|XP_029731156.1|AEAL, LOC109399623|XP_019527664.2|AEAL
OG0000716	LOC108029412|XP_016957175.1|DBIA, LOC108035372|XP_016966461.1|DBIA	LOC109401278|XP_019529351.2|AEAL, LOC109399669|XP_029731228.1|AEAL
OG0000718	LOC108036007|XP_016967396.1|DBIA, LOC108036030|XP_016967461.1|DBIA	LOC115260031|XP_029716724.1|AEAL
OG0000724	LOC108027611|XP_016954621.1|DBIA, LOC108025091|XP_016950841.1|DBIA	LOC109428354|XP_019559617.1|AEAL, LOC109415235|XP_019544667.1|AEAL
OG0000726	LOC108025453|XP_016951446.1|DBIA, LOC108023479|XP_016948493.1|DBIA	LOC109430370|XP_029713132.1|AEAL, LOC109413280|XP_029716793.1|AEAL
OG0000727	LOC108032079|XP_016961391.1|DBIA, LOC108032230|XP_016961582.1|DBIA	LOC109623040|XP_019933050.2|AEAL
OG0000728	LOC108023315|XP_016948107.1|DBIA, LOC108031450|XP_016960371.1|DBIA	LOC109415915|XP_029723465.1|AEAL, LOC109411497|XP_029723462.1|AEAL
OG0000729	LOC108025515|XP_016951525.1|DBIA, LOC108025517|XP_016951527.1|DBIA	LOC109424812|XP_019555544.2|AEAL
OG0000730	LOC108033136|XP_016962847.1|DBIA, LOC108032433|XP_016961745.1|DBIA	LOC109408946|XP_029716651.1|AEAL, LOC109622582|XP_019932533.2|AEAL
OG0000731	LOC108035519|XP_016966670.1|DBIA, LOC108029952|XP_016957943.1|DBIA	LOC109423346|XP_019553844.2|AEAL
OG0000732	LOC108035034|XP_016965868.1|DBIA, LOC108035036|XP_016965870.1|DBIA	LOC109398018|XP_019525904.1|AEAL
OG0000733	LOC108026069|XP_016952254.1|DBIA, LOC108035381|XP_016966476.1|DBIA	LOC109420827|XP_019550832.2|AEAL, LOC109412523|XP_019541691.2|AEAL
OG0000734	LOC108025692|XP_016951717.1|DBIA, LOC108035374|XP_016966463.1|DBIA	LOC109423758|XP_029735544.1|AEAL, LOC109414263|XP_029735579.1|AEAL
OG0000735	LOC108032637|XP_016962073.1|DBIA, LOC108032775|XP_016962266.1|DBIA	LOC109419534|XP_019549299.2|AEAL, LOC109409294|XP_019538279.1|AEAL
OG0000736	LOC108027663|XP_016954691.1|DBIA, LOC108027662|XP_016954690.1|DBIA	LOC109419595|XP_029715178.1|AEAL
OG0000737	LOC108026062|XP_016952246.1|DBIA	LOC115254898|XP_029708440.1|AEAL, LOC109415450|XP_019544971.2|AEAL
OG0000738	LOC108036739|XP_016968537.1|DBIA, LOC108032452|XP_016961767.1|DBIA	LOC109430178|XP_019561777.1|AEAL
OG0000739	LOC108031098|XP_016959797.1|DBIA, LOC108032103|XP_016961421.1|DBIA	LOC109404801|XP_019533296.1|AEAL, LOC109423918|XP_029727259.1|AEAL
OG0000740	LOC108034609|XP_016965460.1|DBIA	LOC109409127|XP_019538084.2|AEAL
OG0000740	LOC108031622|XP_016960716.1|DBIA	LOC109405027|XP_029733762.1|AEAL
OG0000741	LOC108025774|XP_016951861.1|DBIA, LOC108023204|XP_016947959.1|DBIA	LOC109415776|XP_029728785.1|AEAL, LOC109423878|XP_029728862.1|AEAL
OG0000742	LOC108027567|XP_016954543.1|DBIA, LOC108027568|XP_016954546.1|DBIA	LOC109423379|XP_029732021.1|AEAL
OG0000743	LOC108029604|XP_016957473.1|DBIA, LOC108022318|XP_016946666.1|DBIA, LOC108022141|XP_016946472.1|DBIA	LOC115266038|XP_029727707.1|AEAL, LOC109416415|XP_029707562.1|AEAL
OG0000744	LOC108036599|XP_016968348.1|DBIA	LOC109420323|XP_019550191.2|AEAL, LOC109420374|XP_019550258.2|AEAL, LOC115257463|XP_029712923.1|AEAL, LOC115260239|XP_029717027.1|AEAL
OG0000745	LOC108022305|XP_016946654.1|DBIA, LOC108036358|XP_016967925.1|DBIA	LOC109426878|XP_019557984.2|AEAL
OG0000746	LOC108026954|XP_016953656.1|DBIA, LOC108029399|XP_016957118.1|DBIA, LOC108029792|XP_016957794.1|DBIA	LOC109433527|XP_019565510.1|AEAL, LOC109410626|XP_029731612.1|AEAL
OG0000753	LOC108027421|XP_016954354.1|DBIA, LOC108028458|XP_016955804.1|DBIA	LOC109397638|XP_029736277.1|AEAL, LOC115271021|XP_029736297.1|AEAL, LOC109409472|XP_019538460.2|AEAL
OG0000755	LOC108032125|XP_016961446.1|DBIA, LOC108031065|XP_016959759.1|DBIA	LOC115261707|XP_029719454.1|AEAL
OG0000756	LOC108026053|XP_016952236.1|DBIA	LOC109622188|XP_019931975.2|AEAL, LOC115257501|XP_029713013.1|AEAL
OG0000756	LOC108026065|XP_016952249.1|DBIA	LOC109408848|XP_019537764.1|AEAL
OG0000757	LOC108035695|XP_016966903.1|DBIA	LOC109425666|XP_019556474.1|AEAL
OG0000758	LOC108035675|XP_016966872.1|DBIA, LOC108035594|XP_016966756.1|DBIA	LOC109430908|XP_019562553.2|AEAL
OG0000759	LOC108035597|XP_016966762.1|DBIA, LOC108035598|XP_016966763.1|DBIA	LOC109416504|XP_029728887.1|AEAL, LOC109416690|XP_029728892.1|AEAL
OG0000760	LOC108026874|XP_016953552.1|DBIA	LOC115253598|XP_029714745.1|AEAL
OG0000761	LOC108034138|XP_016964417.1|DBIA, LOC108034210|XP_016964533.1|DBIA	LOC109421283|XP_029708739.1|AEAL, LOC109420644|XP_029708742.1|AEAL
OG0000762	LOC108036149|XP_016967625.1|DBIA, LOC108028919|XP_016956427.1|DBIA	LOC109418092|XP_019547825.1|AEAL
OG0000764	LOC108031376|XP_016960212.1|DBIA, LOC108025767|XP_016951851.1|DBIA	LOC109427056|XP_029716695.1|AEAL, LOC109416240|XP_029727033.1|AEAL
OG0000765	LOC108028454|XP_016955791.1|DBIA, LOC108023523|XP_016948565.1|DBIA	LOC109409589|XP_029732483.1|AEAL
OG0000766	LOC108032442|XP_016961756.1|DBIA, LOC108023738|XP_016948865.1|DBIA	LOC109408402|XP_019537255.1|AEAL
OG0000767	LOC108036673|XP_016946133.1|DBIA, LOC108030915|XP_016959594.1|DBIA	LOC109429233|XP_029716816.1|AEAL, LOC109398865|XP_029718721.1|AEAL
OG0000768	LOC108028723|XP_016956173.1|DBIA	LOC109429192|XP_019560620.1|AEAL
OG0000769	LOC108026044|XP_016952228.1|DBIA, LOC108027588|XP_016954594.1|DBIA	LOC109412632|XP_019541802.2|AEAL, LOC115264656|XP_029724451.1|AEAL
OG0000770	LOC108022680|XP_016947240.1|DBIA	LOC109399074|XP_019527044.2|AEAL, LOC109409889|XP_019538951.2|AEAL
OG0000771	LOC108035495|XP_016966637.1|DBIA, LOC108035494|XP_016966636.1|DBIA	LOC115268377|XP_029732244.1|AEAL, LOC109426016|XP_019556985.2|AEAL
OG0000778	LOC108028478|XP_016955829.1|DBIA, LOC108031447|XP_016960372.1|DBIA	LOC109397829|XP_019525703.2|AEAL, LOC109405370|XP_029709566.1|AEAL
OG0000779	LOC108033144|XP_016962855.1|DBIA	LOC109621608|XP_019931241.2|AEAL, LOC115258418|XP_029714368.1|AEAL, LOC115269046|XP_029733204.1|AEAL, LOC109432075|XP_029709987.1|AEAL, LOC109397180|XP_019525060.2|AEAL, LOC109402801|XP_029712148.1|AEAL, LOC109402800|XP_029736430.1|AEAL, LOC109422643|XP_029716830.1|AEAL
OG0000780	LOC108036440|XP_016968067.1|DBIA	LOC109402079|XP_019530237.2|AEAL, LOC109427363|XP_019558448.2|AEAL
OG0000783	LOC108035514|XP_016966666.1|DBIA, LOC108023666|XP_016948777.1|DBIA	LOC109427356|XP_019558433.1|AEAL, LOC109430882|XP_029733711.1|AEAL
OG0000784	LOC108034664|XP_016965092.1|DBIA, LOC108023493|XP_016948510.1|DBIA	LOC109426551|XP_019557638.1|AEAL
OG0000785	LOC108025060|XP_016950806.1|DBIA, LOC108024774|XP_016950376.1|DBIA	LOC109412286|XP_029732882.1|AEAL, LOC109425257|XP_029716518.1|AEAL
OG0000786	LOC108031487|XP_016960468.1|DBIA	LOC115269307|XP_029733751.1|AEAL
OG0000786	LOC108027163|XP_016953912.1|DBIA	LOC109621302|XP_029733758.1|AEAL
OG0000787	LOC108034920|XP_016965664.1|DBIA, LOC108024415|XP_016949819.1|DBIA	LOC109416434|XP_019546042.2|AEAL, LOC109407431|XP_019536015.1|AEAL, LOC115254107|XP_029722347.1|AEAL
OG0000788	LOC108033866|XP_016963998.1|DBIA, LOC108028513|XP_016955884.1|DBIA	LOC109412534|XP_029729159.1|AEAL, LOC109420836|XP_029735904.1|AEAL
OG0000789	LOC108033319|XP_016963086.1|DBIA, LOC108033318|XP_016963085.1|DBIA	LOC109427849|XP_019558975.2|AEAL, LOC115266405|XP_029728500.1|AEAL
OG0000790	LOC108036835|XP_016968671.1|DBIA, LOC108036834|XP_016968670.1|DBIA	LOC109427799|XP_019558935.2|AEAL
OG0000791	LOC108025364|XP_016951312.1|DBIA, LOC108026284|XP_016952639.1|DBIA	LOC109432777|XP_029727425.1|AEAL, LOC109427581|XP_029727454.1|AEAL
OG0000792	LOC108027946|XP_016955064.1|DBIA, LOC108027945|XP_016955063.1|DBIA	LOC109421174|XP_029725317.1|AEAL, LOC115264489|XP_029724089.1|AEAL, LOC115264490|XP_029724090.1|AEAL
OG0000793	LOC108031540|XP_016960566.1|DBIA, LOC108023431|XP_016948407.1|DBIA	LOC109429508|XP_019561024.2|AEAL
OG0000794	LOC108027802|XP_016954870.1|DBIA, LOC108023334|XP_016948150.1|DBIA	LOC109433437|XP_019565410.2|AEAL, LOC109403326|XP_019531680.2|AEAL, LOC115261304|XP_029718561.1|AEAL, LOC115261305|XP_029718562.1|AEAL, LOC109433439|XP_019565412.2|AEAL
OG0000795	LOC108025744|XP_016951821.1|DBIA, LOC108025147|XP_016950912.1|DBIA	LOC115261488|XP_029719065.1|AEAL, LOC109406305|XP_019534945.1|AEAL, LOC109404489|XP_029719108.1|AEAL
OG0000796	LOC108031143|XP_016959846.1|DBIA, LOC108025835|XP_016951982.1|DBIA	LOC109402787|XP_019531040.1|AEAL
OG0000797	LOC108024609|XP_016950117.1|DBIA, LOC108024608|XP_016950115.1|DBIA	LOC115268944|XP_029733009.1|AEAL, LOC109419433|XP_019549227.1|AEAL
OG0000798	LOC108029669|XP_016957594.1|DBIA, LOC108029646|XP_016957545.1|DBIA	LOC109422376|XP_029716854.1|AEAL
OG0000799	LOC108031195|XP_016959905.1|DBIA, LOC108023502|XP_016948526.1|DBIA	LOC109433123|XP_019565067.2|AEAL
OG0000801	LOC108022339|XP_016946690.1|DBIA, LOC108022806|XP_016947429.1|DBIA	LOC115262691|XP_029721192.1|AEAL, LOC109623328|XP_019933426.1|AEAL, LOC109426914|XP_019558017.1|AEAL
OG0000802	LOC108033222|XP_016962975.1|DBIA, LOC108033034|XP_016962649.1|DBIA	LOC109421940|XP_029720929.1|AEAL
OG0000803	LOC108033859|XP_016963985.1|DBIA, LOC108035452|XP_016966579.1|DBIA	LOC115262149|XP_029720158.1|AEAL, LOC109398306|XP_029716217.1|AEAL
OG0000811	LOC108024956|XP_016950679.1|DBIA, LOC108036336|XP_016967866.1|DBIA	LOC115265751|XP_029727560.1|AEAL, LOC109409681|XP_019538700.2|AEAL
OG0000812	LOC108032985|XP_016962551.1|DBIA, LOC108030494|XP_016958872.1|DBIA	LOC109397944|XP_029709795.1|AEAL, LOC109418984|XP_029733553.1|AEAL
OG0000813	LOC108029232|XP_016956915.1|DBIA	LOC109415873|XP_019545365.1|AEAL
OG0000814	LOC108033733|XP_016963777.1|DBIA	LOC109408242|XP_029728869.1|AEAL, LOC115266576|XP_029728814.1|AEAL
OG0000815	LOC108029237|XP_016956920.1|DBIA	LOC115255413|XP_029709380.1|AEAL, LOC109417644|XP_019547239.2|AEAL, LOC115255517|XP_029709505.1|AEAL, LOC115255411|XP_029709376.1|AEAL, LOC109417648|XP_029709407.1|AEAL, LOC109417645|XP_029709379.1|AEAL, LOC109410244|XP_029708455.1|AEAL, LOC115255421|XP_029709409.1|AEAL, LOC115255412|XP_029709378.1|AEAL, LOC115255406|XP_029709341.1|AEAL
OG0000816	LOC108025951|XP_016952138.1|DBIA, LOC108027246|XP_016954087.1|DBIA	LOC109432671|XP_029727429.1|AEAL
OG0000818	LOC108023739|XP_016948866.1|DBIA, LOC108033682|XP_016963637.1|DBIA	LOC109408469|XP_019537351.2|AEAL, LOC115266284|XP_029728114.1|AEAL, LOC109419332|XP_029734904.1|AEAL
OG0000819	LOC108023181|XP_016947912.1|DBIA, LOC108023746|XP_016948873.1|DBIA	LOC109432771|XP_029710328.1|AEAL
OG0000820	LOC108024118|XP_016949387.1|DBIA, LOC108036674|XP_016968445.1|DBIA	LOC115254691|XP_029708205.1|AEAL, LOC109422351|XP_029708224.1|AEAL
OG0000821	LOC108023050|XP_016947786.1|DBIA, LOC108023119|XP_016947875.1|DBIA	LOC109418575|XP_019548331.2|AEAL
OG0000822	LOC108034700|XP_016965130.1|DBIA, LOC108036136|XP_016967611.1|DBIA	LOC109623382|XP_019933484.2|AEAL, LOC115262704|XP_029721236.1|AEAL, LOC115257272|XP_029712577.1|AEAL, LOC109401187|XP_029720854.1|AEAL
OG0000823	LOC108031121|XP_016959822.1|DBIA, LOC108031215|XP_016959939.1|DBIA, LOC108031199|XP_016959911.1|DBIA	LOC115258804|XP_029715091.1|AEAL
OG0000830	LOC108025903|XP_016952075.1|DBIA	LOC115259530|XP_029716043.1|AEAL, LOC109429309|XP_029716109.1|AEAL, LOC109400865|XP_029722756.1|AEAL, LOC109429308|XP_029722755.1|AEAL, LOC115259583|XP_029716163.1|AEAL, LOC115259764|XP_029716418.1|AEAL, LOC109429305|XP_029715822.1|AEAL, LOC115259581|XP_029716160.1|AEAL, LOC109400844|XP_019528877.2|AEAL, LOC109429307|XP_019560758.2|AEAL, LOC115259582|XP_029716162.1|AEAL
OG0000831	LOC108034924|XP_016965669.1|DBIA	LOC115264158|XP_029723400.1|AEAL, LOC109398361|XP_019526254.2|AEAL, LOC109398560|XP_019526489.2|AEAL, LOC109398359|XP_019526250.2|AEAL, LOC115264157|XP_029723397.1|AEAL, LOC109398558|XP_019526487.2|AEAL
OG0000832	LOC108036537|XP_016968250.1|DBIA, LOC108033940|XP_016964113.1|DBIA	LOC109405471|XP_019534102.2|AEAL, LOC115267847|XP_029731218.1|AEAL, LOC109402416|XP_019530635.2|AEAL
OG0000833	LOC108035942|XP_016967227.1|DBIA	LOC109402795|XP_019531056.2|AEAL
OG0000834	LOC108025122|XP_016950877.1|DBIA	LOC109413999|XP_019543271.2|AEAL
OG0000836	LOC108033338|XP_016963113.1|DBIA, LOC108034206|XP_016964527.1|DBIA	LOC109410194|XP_029715298.1|AEAL, LOC115254024|XP_029715191.1|AEAL
OG0000837	LOC108021962|XP_016946283.1|DBIA	LOC109409562|XP_019538552.1|AEAL
OG0000838	LOC108034357|XP_016964733.1|DBIA, LOC108033381|XP_016963190.1|DBIA	LOC109419394|XP_029708117.1|AEAL
OG0000839	LOC108027201|XP_016953997.1|DBIA, LOC108030966|XP_016959655.1|DBIA	LOC109426226|XP_019557228.2|AEAL
OG0000840	LOC108029605|XP_016957468.1|DBIA, LOC108022027|XP_016946362.1|DBIA	LOC109398864|XP_019526853.1|AEAL
OG0000842	LOC108029795|XP_016957798.1|DBIA, LOC108031707|XP_016960861.1|DBIA	LOC115256946|XP_029712012.1|AEAL, LOC109420358|XP_019550231.1|AEAL
OG0000843	LOC108026772|XP_016953405.1|DBIA	LOC109418496|XP_019548244.2|AEAL, LOC109413068|XP_019542282.2|AEAL
OG0000844	LOC108026789|XP_016953439.1|DBIA, LOC108027182|XP_016953971.1|DBIA	LOC109426397|XP_029731429.1|AEAL, LOC109403610|XP_029729358.1|AEAL
OG0000845	LOC108023770|XP_016948899.1|DBIA, LOC108023659|XP_016948767.1|DBIA	LOC109426767|XP_019557852.2|AEAL
OG0000854	LOC108034803|XP_016965362.1|DBIA, LOC108034482|XP_016964917.1|DBIA	LOC109428370|XP_019559639.2|AEAL, LOC115256047|XP_029710158.1|AEAL
