Orthogroup	DBIA.longest_only	DALB.longest_only
OG0000716	LOC108035372|XP_016966461.1|DBIA	LOC117568974|XP_034105825.1|DALB
OG0000717	LOC108030783|XP_016959324.1|DBIA	LOC117566524|XP_034101955.1|DALB
OG0000718	LOC108036007|XP_016967396.1|DBIA	LOC117573107|XP_034111920.1|DALB
OG0000718	LOC108036030|XP_016967461.1|DBIA	LOC117573166|XP_034112022.1|DALB
OG0000719	LOC108034944|XP_016965712.1|DBIA	LOC117571875|XP_034110223.1|DALB, LOC117571876|XP_034110226.1|DALB, LOC117571771|XP_034110019.1|DALB, LOC117571877|XP_034110227.1|DALB, LOC117571878|XP_034110228.1|DALB, LOC117569348|XP_034106372.1|DALB
OG0000719	LOC108035245|XP_016966268.1|DBIA	LOC117568699|XP_034105404.1|DALB
OG0000720	LOC108024738|XP_016950324.1|DBIA, LOC108030988|XP_016959677.1|DBIA, LOC108027059|XP_016953757.1|DBIA, LOC108036266|XP_016967766.1|DBIA, LOC108022170|XP_016946503.1|DBIA, LOC108025120|XP_016950875.1|DBIA	LOC117573621|XP_034112814.1|DALB, LOC117573623|XP_034112816.1|DALB, LOC117573351|XP_034112368.1|DALB, LOC117573622|XP_034112815.1|DALB, LOC117573353|XP_034112369.1|DALB
OG0000721	LOC108033493|XP_016963322.1|DBIA, LOC108033471|XP_016963296.1|DBIA	LOC117565112|XP_034099962.1|DALB, LOC117565111|XP_034099961.1|DALB
OG0000723	LOC108036899|XP_016968768.1|DBIA	LOC117571371|XP_034109377.1|DALB, LOC117571179|XP_034109098.1|DALB
OG0000724	LOC108027611|XP_016954621.1|DBIA	LOC117569982|XP_034107254.1|DALB
OG0000724	LOC108025091|XP_016950841.1|DBIA	LOC117576001|XP_034116395.1|DALB
OG0000726	LOC108025453|XP_016951446.1|DBIA	LOC117575529|XP_034115668.1|DALB
OG0000726	LOC108023479|XP_016948493.1|DBIA	LOC117574905|XP_034114838.1|DALB
OG0000727	LOC108032079|XP_016961391.1|DBIA	LOC117576060|XP_034116485.1|DALB
OG0000727	LOC108032230|XP_016961582.1|DBIA	LOC117575357|XP_034115413.1|DALB
OG0000728	LOC108023315|XP_016948107.1|DBIA	LOC117578224|XP_034119488.1|DALB
OG0000729	LOC108025515|XP_016951525.1|DBIA	LOC117574265|XP_034113893.1|DALB
OG0000729	LOC108025517|XP_016951527.1|DBIA	LOC117574266|XP_034113894.1|DALB
OG0000730	LOC108033136|XP_016962847.1|DBIA	LOC117570590|XP_034108225.1|DALB
OG0000730	LOC108032433|XP_016961745.1|DBIA	LOC117565891|XP_034101124.1|DALB
OG0000731	LOC108035519|XP_016966670.1|DBIA	LOC117572709|XP_034111657.1|DALB
OG0000731	LOC108029952|XP_016957943.1|DBIA	LOC117568865|XP_034105643.1|DALB
OG0000732	LOC108035034|XP_016965868.1|DBIA	LOC117569565|XP_034106675.1|DALB
OG0000732	LOC108035036|XP_016965870.1|DBIA	LOC117569564|XP_034106673.1|DALB
OG0000733	LOC108026069|XP_016952254.1|DBIA	LOC117576057|XP_034116480.1|DALB
OG0000733	LOC108035381|XP_016966476.1|DBIA	LOC117568400|XP_034104923.1|DALB
OG0000734	LOC108035374|XP_016966463.1|DBIA	LOC117572665|XP_034111555.1|DALB
OG0000735	LOC108032637|XP_016962073.1|DBIA	LOC117565984|XP_034101289.1|DALB
OG0000735	LOC108032775|XP_016962266.1|DBIA	LOC117565101|XP_034099950.1|DALB
OG0000736	LOC108027663|XP_016954691.1|DBIA	LOC117564655|XP_034099405.1|DALB
OG0000736	LOC108027662|XP_016954690.1|DBIA	LOC117564656|XP_034099406.1|DALB
OG0000737	LOC108030161|XP_016958380.1|DBIA	LOC117566900|XP_034102408.1|DALB
OG0000738	LOC108036739|XP_016968537.1|DBIA	LOC117564734|XP_034099512.1|DALB
OG0000738	LOC108032452|XP_016961767.1|DBIA	LOC117564431|XP_034099058.1|DALB
OG0000739	LOC108031098|XP_016959797.1|DBIA	LOC117573942|XP_034113360.1|DALB
OG0000739	LOC108032103|XP_016961421.1|DBIA	LOC117573943|XP_034113361.1|DALB
OG0000740	LOC108031622|XP_016960716.1|DBIA	LOC117575420|XP_034115495.1|DALB
OG0000741	LOC108025774|XP_016951861.1|DBIA, LOC108023204|XP_016947959.1|DBIA	LOC117563427|XP_034097655.1|DALB
OG0000742	LOC108027567|XP_016954543.1|DBIA	LOC117573481|XP_034112604.1|DALB
OG0000742	LOC108027568|XP_016954546.1|DBIA	LOC117575324|XP_034115374.1|DALB
OG0000743	LOC108029604|XP_016957473.1|DBIA	LOC117569820|XP_034107033.1|DALB
OG0000743	LOC108022318|XP_016946666.1|DBIA, LOC108022141|XP_016946472.1|DBIA	LOC117571542|XP_034109626.1|DALB
OG0000744	LOC108036599|XP_016968348.1|DBIA	LOC117571109|XP_034108983.1|DALB, LOC117566807|XP_034102246.1|DALB
OG0000745	LOC108022305|XP_016946654.1|DBIA	LOC117569015|XP_034105894.1|DALB
OG0000745	LOC108036358|XP_016967925.1|DBIA	LOC117566607|XP_034102039.1|DALB
OG0000746	LOC108026954|XP_016953656.1|DBIA, LOC108029399|XP_016957118.1|DBIA, LOC108029792|XP_016957794.1|DBIA	LOC117568399|XP_034104922.1|DALB
OG0000747	LOC108030865|XP_016959500.1|DBIA	LOC117569971|XP_034107239.1|DALB
OG0000747	LOC108030911|XP_016959585.1|DBIA	LOC117569548|XP_034106647.1|DALB
OG0000748	LOC108027729|XP_016954770.1|DBIA	LOC117565221|XP_034100120.1|DALB
OG0000750	LOC108022416|XP_016946792.1|DBIA	LOC117566718|XP_034102154.1|DALB, LOC117569122|XP_034106034.1|DALB
OG0000751	LOC108026907|XP_016953605.1|DBIA	LOC117566618|XP_034102050.1|DALB, LOC117568406|XP_034104934.1|DALB
OG0000752	LOC108036026|XP_016967453.1|DBIA, LOC108028080|XP_016955249.1|DBIA, LOC108023976|XP_016949194.1|DBIA, LOC108029192|XP_016956857.1|DBIA, LOC108033257|XP_016963012.1|DBIA, LOC108033258|XP_016963013.1|DBIA	LOC117573324|XP_034112323.1|DALB
OG0000753	LOC108027421|XP_016954354.1|DBIA	LOC117576010|XP_034116408.1|DALB
OG0000753	LOC108028458|XP_016955804.1|DBIA	LOC117571892|XP_034110248.1|DALB
OG0000754	LOC108033179|XP_016962907.1|DBIA	LOC117573213|XP_034112120.1|DALB
OG0000754	LOC108025623|XP_016951647.1|DBIA	LOC117578190|XP_034119397.1|DALB
OG0000755	LOC108032125|XP_016961446.1|DBIA	LOC117575392|XP_034115459.1|DALB
OG0000755	LOC108031065|XP_016959759.1|DBIA	LOC117575391|XP_034115458.1|DALB
OG0000756	LOC108026053|XP_016952236.1|DBIA	LOC117574861|XP_034114767.1|DALB
OG0000756	LOC108026065|XP_016952249.1|DBIA	LOC117574986|XP_034114947.1|DALB
OG0000757	LOC108035695|XP_016966903.1|DBIA	LOC117572369|XP_034111027.1|DALB
OG0000758	LOC108035675|XP_016966872.1|DBIA	LOC117568793|XP_034105543.1|DALB
OG0000758	LOC108035594|XP_016966756.1|DBIA	LOC117568792|XP_034105540.1|DALB
OG0000759	LOC108035597|XP_016966762.1|DBIA	LOC117570747|XP_034108459.1|DALB
OG0000759	LOC108035598|XP_016966763.1|DBIA	LOC117569826|XP_034107041.1|DALB
OG0000760	LOC108026874|XP_016953552.1|DBIA	LOC117570110|XP_034107462.1|DALB
OG0000762	LOC108036149|XP_016967625.1|DBIA	LOC117564060|XP_034098574.1|DALB
OG0000762	LOC108028919|XP_016956427.1|DBIA	LOC117565606|XP_034100702.1|DALB
OG0000763	LOC108034359|XP_016964736.1|DBIA	LOC117564355|XP_034098961.1|DALB
OG0000763	LOC108033353|XP_016963152.1|DBIA	LOC117563779|XP_034098177.1|DALB
OG0000764	LOC108031376|XP_016960212.1|DBIA	LOC117574354|XP_034114069.1|DALB
OG0000764	LOC108025767|XP_016951851.1|DBIA	LOC117578381|XP_034119710.1|DALB
OG0000765	LOC108028454|XP_016955791.1|DBIA	LOC117569387|XP_034106408.1|DALB
OG0000765	LOC108023523|XP_016948565.1|DBIA	LOC117576457|XP_034117121.1|DALB
OG0000766	LOC108032442|XP_016961756.1|DBIA	LOC117565562|XP_034100621.1|DALB
OG0000766	LOC108023738|XP_016948865.1|DBIA	LOC117577628|XP_034118385.1|DALB, LOC117569631|XP_034106760.1|DALB
OG0000767	LOC108036673|XP_016946133.1|DBIA	LOC117577791|XP_034118607.1|DALB, LOC117575444|XP_034115543.1|DALB
OG0000767	LOC108030915|XP_016959594.1|DBIA	LOC117572334|XP_034110963.1|DALB
OG0000768	LOC108028723|XP_016956173.1|DBIA	LOC117571269|XP_034109223.1|DALB
OG0000769	LOC108026044|XP_016952228.1|DBIA	LOC117575653|XP_034115830.1|DALB
OG0000769	LOC108027588|XP_016954594.1|DBIA	LOC117569676|XP_034107211.1|DALB
OG0000771	LOC108035494|XP_016966636.1|DBIA	LOC117570925|XP_034108746.1|DALB
OG0000772	LOC108022155|XP_016946486.1|DBIA, LOC108030104|XP_016958282.1|DBIA	LOC117571008|XP_034108857.1|DALB
OG0000774	LOC108026861|XP_016953536.1|DBIA, LOC108026859|XP_016953530.1|DBIA, LOC108026860|XP_016953533.1|DBIA	LOC117570836|XP_034108602.1|DALB, LOC117570839|XP_034108606.1|DALB
OG0000775	LOC108029500|XP_016957270.1|DBIA	LOC117567754|XP_034103833.1|DALB
OG0000775	LOC108022329|XP_016946680.1|DBIA	LOC117568491|XP_034105071.1|DALB
OG0000776	LOC108026104|XP_016952293.1|DBIA, LOC108028486|XP_016955841.1|DBIA, LOC108028487|XP_016955844.1|DBIA	LOC117569411|XP_034106438.1|DALB
OG0000778	LOC108031447|XP_016960372.1|DBIA	LOC117574403|XP_034114132.1|DALB, LOC117573155|XP_034112004.1|DALB
OG0000779	LOC108033144|XP_016962855.1|DBIA	LOC117572674|XP_034111596.1|DALB
OG0000780	LOC108036440|XP_016968067.1|DBIA	LOC117569209|XP_034106172.1|DALB, LOC117569208|XP_034106170.1|DALB
OG0000781	LOC108033115|XP_016962808.1|DBIA	LOC117563918|XP_034098379.1|DALB
OG0000781	LOC108030739|XP_016959275.1|DBIA	LOC117567871|XP_034104030.1|DALB
OG0000782	LOC108035092|XP_016966002.1|DBIA	LOC117572470|XP_034111208.1|DALB
OG0000782	LOC108036484|XP_016968163.1|DBIA	LOC117577755|XP_034118560.1|DALB
OG0000783	LOC108023666|XP_016948777.1|DBIA	LOC117577545|XP_034118266.1|DALB
OG0000784	LOC108034664|XP_016965092.1|DBIA	LOC117568520|XP_034105113.1|DALB
OG0000784	LOC108023493|XP_016948510.1|DBIA	LOC117577783|XP_034118599.1|DALB
OG0000785	LOC108025060|XP_016950806.1|DBIA, LOC108024774|XP_016950376.1|DBIA	LOC117573608|XP_034112796.1|DALB
OG0000786	LOC108027163|XP_016953912.1|DBIA	LOC117576152|XP_034116613.1|DALB
OG0000787	LOC108034920|XP_016965664.1|DBIA	LOC117571502|XP_034109561.1|DALB
OG0000788	LOC108033866|XP_016963998.1|DBIA, LOC108028513|XP_016955884.1|DBIA	LOC117571425|XP_034109455.1|DALB
OG0000789	LOC108033319|XP_016963086.1|DBIA	LOC117563724|XP_034098077.1|DALB
OG0000789	LOC108033318|XP_016963085.1|DBIA	LOC117564469|XP_034099157.1|DALB
OG0000790	LOC108036835|XP_016968671.1|DBIA	LOC117565021|XP_034099856.1|DALB
OG0000790	LOC108036834|XP_016968670.1|DBIA	LOC117565505|XP_034100527.1|DALB
OG0000791	LOC108026284|XP_016952639.1|DBIA	LOC117574096|XP_034113625.1|DALB
OG0000792	LOC108027946|XP_016955064.1|DBIA, LOC108027945|XP_016955063.1|DBIA	LOC117565572|XP_034100640.1|DALB
OG0000793	LOC108031540|XP_016960566.1|DBIA, LOC108023431|XP_016948407.1|DBIA	LOC117576167|XP_034116638.1|DALB
OG0000794	LOC108027802|XP_016954870.1|DBIA, LOC108023334|XP_016948150.1|DBIA	LOC117577528|XP_034118257.1|DALB
OG0000795	LOC108025744|XP_016951821.1|DBIA	LOC117565826|XP_034101029.1|DALB
OG0000795	LOC108025147|XP_016950912.1|DBIA	LOC117574662|XP_034114458.1|DALB
OG0000796	LOC108031143|XP_016959846.1|DBIA	LOC117574816|XP_034114675.1|DALB
OG0000796	LOC108025835|XP_016951982.1|DBIA	LOC117568855|XP_034105629.1|DALB
OG0000797	LOC108024609|XP_016950117.1|DBIA	LOC117576924|XP_034117958.1|DALB
OG0000798	LOC108029669|XP_016957594.1|DBIA	LOC117570303|XP_034107719.1|DALB
OG0000798	LOC108029646|XP_016957545.1|DBIA	LOC117568150|XP_034104449.1|DALB
OG0000799	LOC108031195|XP_016959905.1|DBIA	LOC117570043|XP_034107359.1|DALB
OG0000799	LOC108023502|XP_016948526.1|DBIA	LOC117564754|XP_034099539.1|DALB
OG0000800	LOC108028026|XP_016955151.1|DBIA	LOC117570358|XP_034107820.1|DALB, LOC117567864|XP_034104018.1|DALB, LOC117567863|XP_034104017.1|DALB
OG0000801	LOC108022339|XP_016946690.1|DBIA	LOC117569202|XP_034106161.1|DALB
OG0000801	LOC108022806|XP_016947429.1|DBIA	LOC117570288|XP_034107699.1|DALB
OG0000802	LOC108033222|XP_016962975.1|DBIA, LOC108033034|XP_016962649.1|DBIA	LOC117577880|XP_034118750.1|DALB
OG0000803	LOC108035452|XP_016966579.1|DBIA	LOC117568135|XP_034104434.1|DALB
OG0000804	LOC108022258|XP_016946606.1|DBIA	LOC117566768|XP_034102202.1|DALB
OG0000805	LOC108029385|XP_016957102.1|DBIA	LOC117565329|XP_034100266.1|DALB
OG0000806	LOC108027682|XP_016954719.1|DBIA	LOC117564430|XP_034099056.1|DALB
OG0000808	LOC108025152|XP_016950916.1|DBIA, LOC108025148|XP_016950913.1|DBIA	LOC117574422|XP_034114151.1|DALB, LOC117573778|XP_034113069.1|DALB
OG0000810	LOC108030287|XP_016958607.1|DBIA, LOC108030286|XP_016958605.1|DBIA, LOC108030430|XP_016958806.1|DBIA	LOC117566663|XP_034102099.1|DALB
OG0000811	LOC108024956|XP_016950679.1|DBIA	LOC117574484|XP_034114213.1|DALB
OG0000811	LOC108036336|XP_016967866.1|DBIA	LOC117566860|XP_034102345.1|DALB
OG0000812	LOC108032985|XP_016962551.1|DBIA, LOC108030494|XP_016958872.1|DBIA	LOC117571219|XP_034109162.1|DALB, LOC117566004|XP_034101313.1|DALB
OG0000813	LOC108029492|XP_016957251.1|DBIA	LOC117571344|XP_034109343.1|DALB
OG0000813	LOC108029232|XP_016956915.1|DBIA	LOC117566222|XP_034101658.1|DALB
OG0000814	LOC108033733|XP_016963777.1|DBIA	LOC117564229|XP_034098812.1|DALB
OG0000815	LOC108029237|XP_016956920.1|DBIA	LOC117563814|XP_034098238.1|DALB
OG0000816	LOC108025951|XP_016952138.1|DBIA	LOC117576180|XP_034116662.1|DALB
OG0000816	LOC108027246|XP_016954087.1|DBIA	LOC117576460|XP_034117122.1|DALB
OG0000817	LOC108025082|XP_016950830.1|DBIA	LOC117576120|XP_034116569.1|DALB
OG0000817	LOC108025081|XP_016950829.1|DBIA	LOC117574846|XP_034114734.1|DALB
OG0000818	LOC108023739|XP_016948866.1|DBIA	LOC117577975|XP_034118947.1|DALB
OG0000818	LOC108033682|XP_016963637.1|DBIA	LOC117563856|XP_034098280.1|DALB
OG0000819	LOC108023181|XP_016947912.1|DBIA	LOC117569146|XP_034106098.1|DALB
OG0000819	LOC108023746|XP_016948873.1|DBIA	LOC117577966|XP_034118909.1|DALB
OG0000820	LOC108024118|XP_016949387.1|DBIA	LOC117578329|XP_034119683.1|DALB
OG0000820	LOC108036674|XP_016968445.1|DBIA	LOC117569058|XP_034105962.1|DALB
OG0000821	LOC108023119|XP_016947875.1|DBIA	LOC117570756|XP_034108470.1|DALB
OG0000822	LOC108036136|XP_016967611.1|DBIA	LOC117564603|XP_034099350.1|DALB
OG0000824	LOC108034366|XP_016964745.1|DBIA	LOC117565859|XP_034101085.1|DALB
OG0000825	LOC108034767|XP_016965201.1|DBIA	LOC117575366|XP_034115422.1|DALB, LOC117572490|XP_034111232.1|DALB
OG0000825	LOC108032483|XP_016961793.1|DBIA	LOC117565009|XP_034099844.1|DALB
OG0000826	LOC108022661|XP_016947216.1|DBIA	LOC117567653|XP_034103656.1|DALB
OG0000828	LOC108024456|XP_016949862.1|DBIA, LOC108024374|XP_016949767.1|DBIA	LOC117574651|XP_034114446.1|DALB, LOC117574650|XP_034114445.1|DALB, LOC117574652|XP_034114448.1|DALB
OG0000830	LOC108025903|XP_016952075.1|DBIA	LOC117577972|XP_034118944.1|DALB
OG0000831	LOC108034924|XP_016965669.1|DBIA	LOC117568142|XP_034104440.1|DALB, LOC117570015|XP_034107322.1|DALB
OG0000832	LOC108036537|XP_016968250.1|DBIA	LOC117571986|XP_034110385.1|DALB
OG0000833	LOC108035942|XP_016967227.1|DBIA	LOC117572217|XP_034110784.1|DALB
OG0000834	LOC108025122|XP_016950877.1|DBIA	LOC117575087|XP_034115075.1|DALB
OG0000835	LOC108028383|XP_016955670.1|DBIA	LOC117567566|XP_034103517.1|DALB
OG0000836	LOC108033338|XP_016963113.1|DBIA, LOC108034206|XP_016964527.1|DBIA	LOC117563664|XP_034097971.1|DALB
OG0000837	LOC108021962|XP_016946283.1|DBIA	LOC117571457|XP_034109499.1|DALB
OG0000838	LOC108033381|XP_016963190.1|DBIA	LOC117564192|XP_034098757.1|DALB
OG0000839	LOC108027201|XP_016953997.1|DBIA	LOC117575398|XP_034115464.1|DALB
OG0000839	LOC108030966|XP_016959655.1|DBIA	LOC117575446|XP_034115547.1|DALB
OG0000840	LOC108029605|XP_016957468.1|DBIA, LOC108022027|XP_016946362.1|DBIA	LOC117573869|XP_034113240.1|DALB
OG0000841	LOC108021903|XP_016946210.1|DBIA, LOC108036876|XP_016968741.1|DBIA	LOC117575081|XP_034115067.1|DALB
OG0000843	LOC108026772|XP_016953405.1|DBIA	LOC117567698|XP_034103720.1|DALB
OG0000844	LOC108027182|XP_016953971.1|DBIA	LOC117575495|XP_034115629.1|DALB
OG0000845	LOC108023770|XP_016948899.1|DBIA, LOC108023659|XP_016948767.1|DBIA	LOC117573836|XP_034113582.1|DALB
OG0000846	LOC108026354|XP_016952750.1|DBIA	LOC117575142|XP_034115140.1|DALB, LOC117575144|XP_034115141.1|DALB
OG0000847	LOC108026530|XP_016952967.1|DBIA, LOC108029389|XP_016957105.1|DBIA, LOC108022549|XP_016947022.1|DBIA	LOC117567017|XP_034102595.1|DALB, LOC117567016|XP_034102594.1|DALB, LOC117568790|XP_034105520.1|DALB
OG0000848	LOC108036038|XP_016967469.1|DBIA, LOC108036160|XP_016967641.1|DBIA	LOC117566163|XP_034101553.1|DALB
OG0000848	LOC108033388|XP_016963197.1|DBIA	LOC117563377|XP_034097571.1|DALB
OG0000849	LOC108033366|XP_016963165.1|DBIA	LOC117565268|XP_034100184.1|DALB
OG0000849	LOC108027685|XP_016954722.1|DBIA	LOC117565869|XP_034101097.1|DALB
OG0000850	LOC108026617|XP_016953090.1|DBIA	LOC117566587|XP_034102019.1|DALB
OG0000850	LOC108026616|XP_016953089.1|DBIA	LOC117571257|XP_034109209.1|DALB
OG0000851	LOC108036198|XP_016967678.1|DBIA	LOC117569866|XP_034107091.1|DALB, LOC117569900|XP_034107133.1|DALB
OG0000852	LOC108029720|XP_016957687.1|DBIA	LOC117571313|XP_034109283.1|DALB
OG0000854	LOC108034803|XP_016965362.1|DBIA	LOC117564351|XP_034098960.1|DALB
OG0000855	LOC108023617|XP_016948712.1|DBIA	LOC117563386|XP_034097604.1|DALB
OG0000856	LOC108030887|XP_016959542.1|DBIA	LOC117569733|XP_034106900.1|DALB
OG0000857	LOC108027617|XP_016954627.1|DBIA	LOC117577736|XP_034118534.1|DALB
OG0000858	LOC108024920|XP_016950618.1|DBIA, LOC108025444|XP_016951433.1|DBIA	LOC117574039|XP_034113530.1|DALB
OG0000860	LOC108035212|XP_016966212.1|DBIA	LOC117571603|XP_034109711.1|DALB
OG0000861	LOC108022326|XP_016946676.1|DBIA	LOC117569502|XP_034106576.1|DALB, LOC117566681|XP_034102120.1|DALB, LOC117566680|XP_034102119.1|DALB, LOC117566679|XP_034102118.1|DALB
OG0000862	LOC108022781|XP_016947383.1|DBIA, LOC108033848|XP_016963971.1|DBIA	LOC117571590|XP_034109697.1|DALB
OG0000863	LOC108032081|XP_016961394.1|DBIA	LOC117575971|XP_034116341.1|DALB
OG0000863	LOC108031572|XP_016960618.1|DBIA	LOC117575838|XP_034116136.1|DALB, LOC117570619|XP_034108272.1|DALB
OG0000864	LOC108032431|XP_016961741.1|DBIA	LOC117564202|XP_034098771.1|DALB
OG0000864	LOC108036375|XP_016967966.1|DBIA	LOC117570321|XP_034107757.1|DALB
OG0000865	LOC108024549|XP_016950017.1|DBIA	LOC117575252|XP_034115276.1|DALB
OG0000866	LOC108027889|XP_016954996.1|DBIA, LOC108027801|XP_016954867.1|DBIA	LOC117564052|XP_034098561.1|DALB
OG0000867	LOC108028994|XP_016956525.1|DBIA	LOC117563227|XP_034097321.1|DALB
OG0000867	LOC108033664|XP_016963592.1|DBIA	LOC117563463|XP_034097706.1|DALB
OG0000868	LOC108025924|XP_016952104.1|DBIA	LOC117571006|XP_034108856.1|DALB
OG0000869	LOC108027241|XP_016954081.1|DBIA	LOC117575920|XP_034116264.1|DALB
OG0000870	LOC108026739|XP_016953348.1|DBIA	LOC117567202|XP_034102922.1|DALB
OG0000871	LOC108030336|XP_016958688.1|DBIA	LOC117568338|XP_034104814.1|DALB
OG0000872	LOC108035763|XP_016966952.1|DBIA	LOC117570794|XP_034108544.1|DALB
OG0000872	LOC108026733|XP_016953335.1|DBIA	LOC117569913|XP_034107147.1|DALB
OG0000873	LOC108030805|XP_016959388.1|DBIA	LOC117572458|XP_034111183.1|DALB
OG0000874	LOC108021941|XP_016946257.1|DBIA	LOC117577957|XP_034118893.1|DALB
OG0000874	LOC108036511|XP_016968202.1|DBIA	LOC117567168|XP_034102873.1|DALB
OG0000875	LOC108028672|XP_016956093.1|DBIA	LOC117569159|XP_034106114.1|DALB
OG0000877	LOC108030799|XP_016959370.1|DBIA	LOC117567651|XP_034103654.1|DALB
OG0000877	LOC108023272|XP_016948046.1|DBIA	LOC117577654|XP_034118432.1|DALB
OG0000878	LOC108023045|XP_016947775.1|DBIA	LOC117569782|XP_034106974.1|DALB
OG0000878	LOC108033780|XP_016963876.1|DBIA	LOC117565388|XP_034100359.1|DALB
OG0000879	LOC108029459|XP_016957199.1|DBIA	LOC117567924|XP_034104100.1|DALB
OG0000880	LOC108023284|XP_016948065.1|DBIA	LOC117578164|XP_034119332.1|DALB
OG0000880	LOC108034713|XP_016965143.1|DBIA	LOC117571659|XP_034109788.1|DALB
OG0000881	LOC108028163|XP_016955312.1|DBIA, LOC108028684|XP_016956113.1|DBIA, LOC108028809|XP_016956284.1|DBIA	LOC117568171|XP_034104495.1|DALB
OG0000882	LOC108033194|XP_016962927.1|DBIA	LOC117577749|XP_034118552.1|DALB
OG0000883	LOC108023924|XP_016949098.1|DBIA	LOC117566190|XP_034101600.1|DALB
OG0000884	LOC108027723|XP_016954765.1|DBIA	LOC117565015|XP_034099851.1|DALB
OG0000884	LOC108033082|XP_016962741.1|DBIA	LOC117576785|XP_034117731.1|DALB
OG0000885	LOC108031805|XP_016961014.1|DBIA	LOC117574622|XP_034114401.1|DALB
OG0000886	LOC108024717|XP_016950301.1|DBIA	LOC117575750|XP_034115999.1|DALB, LOC117575749|XP_034115998.1|DALB
OG0000887	LOC108025607|XP_016951631.1|DBIA	LOC117570999|XP_034108842.1|DALB
OG0000888	LOC108029387|XP_016957107.1|DBIA	LOC117572636|XP_034111489.1|DALB
OG0000889	LOC108030753|XP_016959289.1|DBIA	LOC117568569|XP_034105189.1|DALB
OG0000890	LOC108026855|XP_016953523.1|DBIA	LOC117569594|XP_034106716.1|DALB
OG0000891	LOC108033990|XP_016964204.1|DBIA	LOC117564662|XP_034099415.1|DALB
OG0000892	LOC108028343|XP_016955584.1|DBIA	LOC117568130|XP_034104428.1|DALB
OG0000893	LOC108027010|XP_016953697.1|DBIA	LOC117576917|XP_034117949.1|DALB
OG0000894	LOC108027393|XP_016954318.1|DBIA	LOC117573664|XP_034112883.1|DALB
OG0000895	LOC108036594|XP_016968343.1|DBIA	LOC117569175|XP_034106135.1|DALB, LOC117566582|XP_034102015.1|DALB
OG0000896	LOC108023636|XP_016948741.1|DBIA	LOC117564767|XP_034099560.1|DALB
OG0000897	LOC108025126|XP_016950882.1|DBIA	LOC117574931|XP_034114871.1|DALB
OG0000897	LOC108025141|XP_016950902.1|DBIA	LOC117575471|XP_034115579.1|DALB
OG0000898	LOC108029917|XP_016957900.1|DBIA, LOC108026833|XP_016953493.1|DBIA	LOC117563873|XP_034098322.1|DALB, LOC117567227|XP_034102949.1|DALB, LOC117570101|XP_034107448.1|DALB
OG0000899	LOC108031468|XP_016960401.1|DBIA, LOC108032200|XP_016961547.1|DBIA	LOC117575903|XP_034116239.1|DALB
OG0000900	LOC108026604|XP_016953066.1|DBIA	LOC117566584|XP_034102017.1|DALB
OG0000900	LOC108026599|XP_016953059.1|DBIA	LOC117569985|XP_034107255.1|DALB
OG0000901	LOC108022426|XP_016946801.1|DBIA	LOC117566776|XP_034102209.1|DALB, LOC117566777|XP_034102210.1|DALB
OG0000902	LOC108023784|XP_016948912.1|DBIA	LOC117569181|XP_034106144.1|DALB
OG0000902	LOC108023783|XP_016948911.1|DBIA	LOC117578119|XP_034119194.1|DALB
OG0000904	LOC108035259|XP_016966304.1|DBIA, LOC108035053|XP_016965922.1|DBIA	LOC117571846|XP_034110126.1|DALB, LOC117571848|XP_034110130.1|DALB
OG0000906	LOC108022390|XP_016946765.1|DBIA	LOC117569191|XP_034106151.1|DALB, LOC117569194|XP_034106153.1|DALB
OG0000907	LOC108026771|XP_016953404.1|DBIA	LOC117567700|XP_034103722.1|DALB
OG0000909	LOC108024413|XP_016949817.1|DBIA	LOC117575793|XP_034116060.1|DALB
OG0000911	LOC108023061|XP_016947797.1|DBIA	LOC117569329|XP_034106350.1|DALB
OG0000912	LOC108030517|XP_016958895.1|DBIA	LOC117571931|XP_034110310.1|DALB
OG0000913	LOC108030589|XP_016959050.1|DBIA	LOC117567402|XP_034103252.1|DALB
OG0000915	LOC108036285|XP_016967785.1|DBIA	LOC117568462|XP_034105030.1|DALB
OG0000916	LOC108036094|XP_016967534.1|DBIA	LOC117565140|XP_034100003.1|DALB
OG0000917	LOC108032529|XP_016961877.1|DBIA	LOC117566187|XP_034101596.1|DALB
OG0000918	LOC108032861|XP_016962354.1|DBIA, LOC108027669|XP_016954703.1|DBIA	LOC117566068|XP_034101417.1|DALB
OG0000920	LOC108033176|XP_016962902.1|DBIA	LOC117578265|XP_034119578.1|DALB
OG0000922	LOC108034389|XP_016964760.1|DBIA, LOC108035163|XP_016966108.1|DBIA	LOC117566843|XP_034102322.1|DALB
OG0000923	LOC108028090|XP_016955223.1|DBIA, LOC108031671|XP_016960800.1|DBIA	LOC117574976|XP_034114933.1|DALB
OG0000924	LOC108034936|XP_016965734.1|DBIA	LOC117569933|XP_034107186.1|DALB
OG0000925	LOC108025092|XP_016950843.1|DBIA, LOC108025088|XP_016950838.1|DBIA	LOC117576127|XP_034116577.1|DALB
OG0000926	LOC108027133|XP_016953840.1|DBIA	LOC117574374|XP_034114098.1|DALB
OG0000926	LOC108026094|XP_016952283.1|DBIA	LOC117574600|XP_034114378.1|DALB
OG0000927	LOC108025319|XP_016951219.1|DBIA	LOC117573509|XP_034112629.1|DALB
OG0000927	LOC108025318|XP_016951217.1|DBIA	LOC117573508|XP_034112628.1|DALB
