Orthogroup	DBIA.longest_only	BCOP.longest_only
OG0001655	LOC108036320|XP_016967822.1|DBIA	LOC119077077|XP_037040131.1|BCOP, LOC119083695|XP_037049375.1|BCOP
OG0001656	LOC108027688|XP_016954725.1|DBIA	LOC119068316|XP_037027759.1|BCOP, LOC119067357|XP_037026162.1|BCOP, LOC119071770|XP_037032715.1|BCOP
OG0001657	LOC108030683|XP_016959205.1|DBIA	LOC119086068|XP_037052539.1|BCOP
OG0001658	LOC108035338|XP_016966412.1|DBIA	LOC119071227|XP_037031938.1|BCOP
OG0001659	LOC108035167|XP_016966118.1|DBIA, LOC108034392|XP_016964763.1|DBIA	LOC119071248|XP_037031981.1|BCOP
OG0001660	LOC108027851|XP_016954939.1|DBIA	LOC119082328|XP_037047729.1|BCOP
OG0001661	LOC108032252|XP_016961606.1|DBIA	LOC119078813|XP_037042413.1|BCOP, LOC119085962|XP_037052414.1|BCOP
OG0001663	LOC108025338|XP_016951262.1|DBIA	LOC119068581|XP_037028121.1|BCOP, LOC119068578|XP_037028118.1|BCOP
OG0001678	LOC108023441|XP_016948419.1|DBIA	LOC119084546|XP_037050454.1|BCOP, LOC119077826|XP_037041028.1|BCOP
OG0001679	LOC108036359|XP_016967930.1|DBIA	LOC119068406|XP_037027864.1|BCOP
OG0001680	LOC108022023|XP_016946357.1|DBIA	LOC119067812|XP_037026859.1|BCOP
OG0001681	LOC108023732|XP_016948858.1|DBIA	LOC119070363|XP_037030555.1|BCOP, LOC119076744|XP_037039584.1|BCOP
OG0001682	LOC108023169|XP_016947900.1|DBIA	LOC119085255|XP_037051487.1|BCOP, LOC119069413|XP_037029357.1|BCOP, LOC119078998|XP_037042658.1|BCOP
OG0001683	LOC108036116|XP_016967584.1|DBIA	LOC119070881|XP_037031295.1|BCOP
OG0001684	LOC108036003|XP_016967386.1|DBIA	LOC119077200|XP_037040276.1|BCOP, LOC119076428|XP_037039068.1|BCOP
OG0001685	LOC108034222|XP_016964553.1|DBIA	LOC119077691|XP_037040851.1|BCOP
OG0001686	LOC108035793|XP_016967021.1|DBIA	LOC119069627|XP_037029621.1|BCOP
OG0001687	LOC108023270|XP_016948044.1|DBIA	LOC119068651|XP_037028222.1|BCOP
OG0001688	LOC108036164|XP_016967647.1|DBIA	LOC119076000|XP_037038468.1|BCOP
OG0001689	LOC108036230|XP_016967732.1|DBIA	LOC119075265|XP_037037557.1|BCOP, LOC119084308|XP_037050123.1|BCOP, LOC119069045|XP_037028810.1|BCOP
OG0001690	LOC108028341|XP_016955581.1|DBIA	LOC119080524|XP_037044829.1|BCOP
OG0001691	LOC108036811|XP_016968649.1|DBIA	LOC119077971|XP_037041247.1|BCOP
OG0001692	LOC108031466|XP_016960394.1|DBIA	LOC119069159|XP_037028960.1|BCOP
OG0001693	LOC108036464|XP_016968125.1|DBIA	LOC119069078|XP_037028850.1|BCOP
OG0001694	LOC108024696|XP_016950267.1|DBIA	LOC119069932|XP_037030051.1|BCOP
OG0001695	LOC108030429|XP_016958805.1|DBIA	LOC119067243|XP_037026004.1|BCOP
OG0001696	LOC108024776|XP_016950378.1|DBIA, LOC108025039|XP_016950784.1|DBIA	LOC119067018|XP_037025641.1|BCOP
OG0001697	LOC108026039|XP_016952221.1|DBIA	LOC119067851|XP_037026983.1|BCOP
OG0001698	LOC108025775|XP_016951863.1|DBIA	LOC119068832|XP_037028497.1|BCOP
OG0001699	LOC108031278|XP_016960008.1|DBIA	LOC119067858|XP_037026990.1|BCOP
OG0001700	LOC108024538|XP_016949995.1|DBIA	LOC119077575|XP_037040681.1|BCOP, LOC119084064|XP_037049798.1|BCOP
OG0001701	LOC108027331|XP_016954232.1|DBIA	LOC119069177|XP_037028999.1|BCOP
OG0001702	LOC108034034|XP_016964272.1|DBIA	LOC119066373|XP_037024692.1|BCOP
OG0001703	LOC108032130|XP_016961452.1|DBIA	LOC119068930|XP_037028690.1|BCOP
OG0001704	LOC108031113|XP_016959814.1|DBIA	LOC119068928|XP_037028688.1|BCOP
OG0001705	LOC108025439|XP_016951419.1|DBIA	LOC119067910|XP_037027098.1|BCOP
OG0001706	LOC108026721|XP_016953324.1|DBIA	LOC119081527|XP_037046427.1|BCOP
OG0001707	LOC108024709|XP_016950289.1|DBIA	LOC119070533|XP_037030802.1|BCOP
OG0001708	LOC108031108|XP_016959807.1|DBIA	LOC119068790|XP_037028445.1|BCOP
OG0001709	LOC108035572|XP_016966732.1|DBIA	LOC119068970|XP_037028730.1|BCOP
OG0001711	LOC108031591|XP_016960651.1|DBIA	LOC119070360|XP_037030550.1|BCOP
OG0001712	LOC108026148|XP_016952371.1|DBIA	LOC119069168|XP_037028972.1|BCOP
OG0001713	LOC108024506|XP_016949941.1|DBIA	LOC119070411|XP_037030638.1|BCOP
OG0001714	LOC108032896|XP_016962423.1|DBIA	LOC119068105|XP_037027426.1|BCOP
OG0001715	LOC108033219|XP_016962971.1|DBIA	LOC119068244|XP_037027670.1|BCOP
OG0001716	LOC108024046|XP_016949311.1|DBIA	LOC119081196|XP_037045807.1|BCOP
OG0001717	LOC108025272|XP_016951122.1|DBIA	LOC119067038|XP_037025668.1|BCOP
OG0001718	LOC108031525|XP_016960538.1|DBIA	LOC119067040|XP_037025672.1|BCOP
OG0001719	LOC108024647|XP_016950188.1|DBIA	LOC119068687|XP_037028261.1|BCOP, LOC119068679|XP_037028259.1|BCOP
OG0001720	LOC108031036|XP_016959726.1|DBIA	LOC119070509|XP_037030762.1|BCOP
OG0001721	LOC108031250|XP_016959976.1|DBIA	LOC119067428|XP_037026293.1|BCOP
OG0001722	LOC108030587|XP_016959045.1|DBIA	LOC119074593|XP_037036734.1|BCOP
OG0001723	LOC108030716|XP_016959246.1|DBIA	LOC119083678|XP_037049357.1|BCOP
OG0001724	LOC108026674|XP_016953237.1|DBIA	LOC119074111|XP_037035969.1|BCOP
OG0001725	LOC108022797|XP_016947420.1|DBIA	LOC119073997|XP_037035821.1|BCOP
OG0001726	LOC108028467|XP_016955815.1|DBIA	LOC119073360|XP_037034663.1|BCOP
OG0001727	LOC108031835|XP_016961073.1|DBIA	LOC119070539|XP_037030810.1|BCOP
OG0001728	LOC108030284|XP_016958603.1|DBIA	LOC119076376|XP_037038987.1|BCOP, LOC119081678|XP_037046662.1|BCOP
OG0001729	LOC108022443|XP_016946833.1|DBIA	LOC119079298|XP_037042980.1|BCOP
OG0001730	LOC108034021|XP_016964245.1|DBIA	LOC119085974|XP_037052431.1|BCOP
OG0001731	LOC108030013|XP_016958016.1|DBIA	LOC119077466|XP_037040571.1|BCOP
OG0001733	LOC108026785|XP_016953433.1|DBIA	LOC119083620|XP_037049252.1|BCOP, LOC119083619|XP_037049251.1|BCOP
OG0001734	LOC108036590|XP_016968338.1|DBIA	LOC119075456|XP_037037792.1|BCOP, LOC119070476|XP_037030728.1|BCOP
OG0001735	LOC108028001|XP_016955118.1|DBIA	LOC119073264|XP_037034537.1|BCOP
OG0001736	LOC108030442|XP_016958823.1|DBIA	LOC119080231|XP_037044373.1|BCOP
OG0001737	LOC108022601|XP_016947124.1|DBIA	LOC119080960|XP_037045487.1|BCOP
OG0001738	LOC108035608|XP_016966782.1|DBIA	LOC119080843|XP_037045298.1|BCOP
OG0001739	LOC108021984|XP_016946313.1|DBIA	LOC119080808|XP_037045274.1|BCOP
OG0001740	LOC108022477|XP_016946917.1|DBIA	LOC119075498|XP_037037858.1|BCOP, LOC119070240|XP_037030407.1|BCOP
OG0001742	LOC108022205|XP_016946548.1|DBIA	LOC119080199|XP_037044335.1|BCOP
OG0001743	LOC108035565|XP_016966722.1|DBIA, LOC108027515|XP_016954447.1|DBIA	LOC119076138|XP_037038711.1|BCOP
OG0001744	LOC108030081|XP_016958203.1|DBIA	LOC119079410|XP_037043196.1|BCOP
OG0001745	LOC108026609|XP_016953077.1|DBIA	LOC119081729|XP_037046785.1|BCOP
OG0001746	LOC108035663|XP_016966860.1|DBIA	LOC119085490|XP_037051801.1|BCOP
OG0001747	LOC108022572|XP_016947065.1|DBIA	LOC119079630|XP_037043520.1|BCOP
OG0001748	LOC108028159|XP_016955310.1|DBIA	LOC119081126|XP_037045765.1|BCOP
OG0001749	LOC108022933|XP_016947634.1|DBIA	LOC119079661|XP_037043605.1|BCOP
OG0001750	LOC108022930|XP_016947632.1|DBIA	LOC119079658|XP_037043596.1|BCOP
OG0001751	LOC108034998|XP_016965826.1|DBIA	LOC119080835|XP_037045288.1|BCOP
OG0001752	LOC108028148|XP_016955294.1|DBIA	LOC119080955|XP_037045480.1|BCOP
OG0001753	LOC108035175|XP_016966129.1|DBIA	LOC119073253|XP_037034509.1|BCOP
OG0001754	LOC108029721|XP_016957688.1|DBIA	LOC119073323|XP_037034608.1|BCOP
OG0001755	LOC108034793|XP_016965266.1|DBIA	LOC119076046|XP_037038572.1|BCOP
OG0001756	LOC108036472|XP_016968138.1|DBIA	LOC119074519|XP_037036577.1|BCOP
OG0001757	LOC108029900|XP_016957880.1|DBIA	LOC119074147|XP_037036042.1|BCOP
OG0001758	LOC108034817|XP_016965352.1|DBIA	LOC119080723|XP_037045104.1|BCOP
OG0001759	LOC108022486|XP_016946928.1|DBIA	LOC119073603|XP_037035073.1|BCOP
OG0001760	LOC108036442|XP_016968071.1|DBIA	LOC119074615|XP_037036773.1|BCOP
OG0001761	LOC108026786|XP_016953434.1|DBIA	LOC119073322|XP_037034606.1|BCOP
OG0001762	LOC108034139|XP_016964420.1|DBIA	LOC119066255|XP_037024487.1|BCOP
OG0001763	LOC108033781|XP_016963872.1|DBIA	LOC119080693|XP_037045035.1|BCOP, LOC119066128|XP_037024312.1|BCOP
OG0001764	LOC108025469|XP_016951466.1|DBIA	LOC119084901|XP_037050950.1|BCOP
OG0001765	LOC108036328|XP_016967830.1|DBIA	LOC119073248|XP_037034476.1|BCOP
OG0001766	LOC108036725|XP_016968513.1|DBIA	LOC119083409|XP_037049024.1|BCOP, LOC119082183|XP_037047494.1|BCOP, LOC119082515|XP_037047922.1|BCOP
OG0001767	LOC108027934|XP_016955052.1|DBIA	LOC119084667|XP_037050638.1|BCOP
OG0001768	LOC108029278|XP_016956965.1|DBIA	LOC119069042|XP_037028808.1|BCOP
OG0001769	LOC108033372|XP_016963179.1|DBIA	LOC119082055|XP_037047282.1|BCOP
OG0001770	LOC108034105|XP_016964370.1|DBIA	LOC119073705|XP_037035204.1|BCOP, LOC119083728|XP_037049425.1|BCOP, LOC119067046|XP_037025684.1|BCOP
OG0001771	LOC108029290|XP_016956977.1|DBIA	LOC119070858|XP_037031266.1|BCOP
OG0001772	LOC108034077|XP_016964328.1|DBIA	LOC119078700|XP_037042258.1|BCOP, LOC119078699|XP_037042257.1|BCOP
OG0001773	LOC108035040|XP_016965888.1|DBIA	LOC119082576|XP_037047996.1|BCOP
OG0001774	LOC108023018|XP_016947742.1|DBIA	LOC119083129|XP_037048660.1|BCOP, LOC119079737|XP_037043697.1|BCOP
OG0001776	LOC108033887|XP_016964022.1|DBIA	LOC119073579|XP_037035043.1|BCOP, LOC119067408|XP_037026250.1|BCOP, LOC119076524|XP_037039205.1|BCOP
OG0001777	LOC108033766|XP_016963848.1|DBIA	LOC119078707|XP_037042271.1|BCOP
OG0001778	LOC108033660|XP_016963586.1|DBIA	LOC119079060|XP_037042761.1|BCOP
OG0001779	LOC108034613|XP_016965040.1|DBIA	LOC119075648|XP_037038030.1|BCOP
OG0001780	LOC108027536|XP_016954472.1|DBIA	LOC119081661|XP_037046639.1|BCOP
OG0001781	LOC108032705|XP_016962172.1|DBIA	LOC119085957|XP_037052409.1|BCOP
OG0001782	LOC108032514|XP_016961834.1|DBIA	LOC119072880|XP_037034088.1|BCOP
OG0001783	LOC108036807|XP_016968643.1|DBIA	LOC119076346|XP_037038936.1|BCOP
OG0001784	LOC108027767|XP_016954818.1|DBIA	LOC119082062|XP_037047291.1|BCOP
OG0001785	LOC108036331|XP_016967855.1|DBIA	LOC119081413|XP_037046205.1|BCOP, LOC119083653|XP_037049324.1|BCOP
OG0001786	LOC108034209|XP_016964530.1|DBIA	LOC119085436|XP_037051749.1|BCOP
OG0001787	LOC108033851|XP_016963976.1|DBIA	LOC119066153|XP_037024350.1|BCOP
OG0001788	LOC108029753|XP_016957737.1|DBIA	LOC119084388|XP_037050251.1|BCOP
OG0001789	LOC108022915|XP_016947611.1|DBIA	LOC119079846|XP_037043808.1|BCOP
OG0001790	LOC108034326|XP_016964689.1|DBIA	LOC119076539|XP_037039228.1|BCOP, LOC119082236|XP_037047594.1|BCOP
OG0001791	LOC108030111|XP_016958294.1|DBIA	LOC119081629|XP_037046575.1|BCOP
OG0001792	LOC108034080|XP_016964332.1|DBIA	LOC119078851|XP_037042455.1|BCOP
OG0001793	LOC108036388|XP_016967982.1|DBIA	LOC119073435|XP_037034811.1|BCOP
OG0001794	LOC108033661|XP_016963587.1|DBIA	LOC119066773|XP_037025321.1|BCOP
OG0001795	LOC108033591|XP_016963426.1|DBIA	LOC119072041|XP_037033055.1|BCOP
OG0001796	LOC108033037|XP_016962653.1|DBIA	LOC119069660|XP_037029673.1|BCOP
OG0001797	LOC108035991|XP_016967340.1|DBIA	LOC119081026|XP_037045607.1|BCOP
OG0001799	LOC108027486|XP_016954419.1|DBIA, LOC108027494|XP_016954427.1|DBIA	LOC119084672|XP_037050644.1|BCOP
OG0001800	LOC108034257|XP_016964602.1|DBIA	LOC119074840|XP_037037041.1|BCOP, LOC119078739|XP_037042328.1|BCOP
OG0001801	LOC108035550|XP_016966708.1|DBIA	LOC119070239|XP_037030404.1|BCOP, LOC119083377|XP_037048986.1|BCOP, LOC119075132|XP_037037412.1|BCOP
OG0001802	LOC108031794|XP_016961001.1|DBIA	LOC119077578|XP_037040683.1|BCOP
OG0001803	LOC108031912|XP_016961169.1|DBIA	LOC119074668|XP_037036845.1|BCOP
OG0001804	LOC108027290|XP_016954169.1|DBIA	LOC119074411|XP_037036433.1|BCOP
OG0001805	LOC108034743|XP_016965179.1|DBIA	LOC119083334|XP_037048955.1|BCOP, LOC119076508|XP_037039185.1|BCOP, LOC119083881|XP_037049590.1|BCOP
OG0001806	LOC108031393|XP_016960247.1|DBIA	LOC119077764|XP_037040969.1|BCOP
OG0001807	LOC108031397|XP_016960250.1|DBIA	LOC119074311|XP_037036254.1|BCOP
OG0001808	LOC108024526|XP_016949978.1|DBIA	LOC119067233|XP_037025988.1|BCOP
OG0001809	LOC108032917|XP_016962469.1|DBIA	LOC119084084|XP_037049815.1|BCOP
OG0001810	LOC108031180|XP_016959889.1|DBIA	LOC119075999|XP_037038466.1|BCOP
OG0001811	LOC108029783|XP_016957782.1|DBIA	LOC119083150|XP_037048690.1|BCOP
OG0001812	LOC108024145|XP_016949422.1|DBIA	LOC119076651|XP_037039429.1|BCOP
OG0001813	LOC108031361|XP_016960128.1|DBIA	LOC119076005|XP_037038475.1|BCOP
OG0001814	LOC108027193|XP_016953985.1|DBIA	LOC119072241|XP_037033312.1|BCOP, LOC119067977|XP_037027223.1|BCOP, LOC119067968|XP_037027201.1|BCOP
OG0001815	LOC108027203|XP_016954001.1|DBIA	LOC119074471|XP_037036508.1|BCOP
OG0001816	LOC108029670|XP_016957600.1|DBIA	LOC119078718|XP_037042286.1|BCOP
OG0001817	LOC108036352|XP_016967914.1|DBIA	LOC119074379|XP_037036385.1|BCOP
OG0001818	LOC108025912|XP_016952086.1|DBIA	LOC119074284|XP_037036198.1|BCOP
OG0001819	LOC108036461|XP_016968118.1|DBIA	LOC119070039|XP_037030218.1|BCOP
OG0001820	LOC108022017|XP_016946351.1|DBIA	LOC119078953|XP_037042596.1|BCOP
OG0001821	LOC108023123|XP_016947880.1|DBIA	LOC119083186|XP_037048743.1|BCOP
OG0001822	LOC108026965|XP_016953669.1|DBIA	LOC119070878|XP_037031291.1|BCOP, LOC119082020|XP_037047233.1|BCOP
OG0001823	LOC108028301|XP_016955513.1|DBIA	LOC119072464|XP_037033583.1|BCOP
OG0001824	LOC108027752|XP_016954794.1|DBIA	LOC119077697|XP_037040864.1|BCOP, LOC119077718|XP_037040895.1|BCOP, LOC119077696|XP_037040863.1|BCOP
OG0001825	LOC108026588|XP_016953030.1|DBIA	LOC119072845|XP_037034052.1|BCOP
OG0001826	LOC108036669|XP_016968440.1|DBIA	LOC119071288|XP_037032053.1|BCOP
OG0001827	LOC108022576|XP_016947083.1|DBIA	LOC119072658|XP_037033808.1|BCOP, LOC119068437|XP_037027904.1|BCOP
OG0001828	LOC108033096|XP_016962781.1|DBIA	LOC119071869|XP_037032826.1|BCOP
OG0001829	LOC108030428|XP_016958804.1|DBIA	LOC119072596|XP_037033746.1|BCOP
OG0001830	LOC108022168|XP_016946501.1|DBIA	LOC119082400|XP_037047826.1|BCOP, LOC119070530|XP_037030799.1|BCOP
OG0001831	LOC108028072|XP_016955202.1|DBIA	LOC119084778|XP_037050735.1|BCOP
OG0001832	LOC108033195|XP_016962928.1|DBIA	LOC119084082|XP_037049813.1|BCOP
OG0001833	LOC108026960|XP_016953664.1|DBIA	LOC119076942|XP_037039888.1|BCOP
OG0001834	LOC108031682|XP_016960814.1|DBIA	LOC119069690|XP_037029711.1|BCOP, LOC119067248|XP_037026012.1|BCOP
OG0001838	LOC108029793|XP_016957795.1|DBIA	LOC119075784|XP_037038244.1|BCOP
OG0001848	LOC108026765|XP_016953400.1|DBIA, LOC108022037|XP_016946372.1|DBIA	LOC119068234|XP_037027645.1|BCOP
OG0001849	LOC108024769|XP_016950371.1|DBIA	LOC119067444|XP_037026319.1|BCOP
OG0001850	LOC108036010|XP_016967410.1|DBIA	LOC119085077|XP_037051212.1|BCOP, LOC119083087|XP_037048601.1|BCOP
OG0001851	LOC108035982|XP_016967310.1|DBIA	LOC119085003|XP_037051069.1|BCOP
OG0001852	LOC108027911|XP_016955026.1|DBIA	LOC119071421|XP_037032192.1|BCOP
OG0001853	LOC108025175|XP_016950942.1|DBIA	LOC119085625|XP_037051944.1|BCOP, LOC119085682|XP_037052024.1|BCOP
OG0001854	LOC108026687|XP_016953268.1|DBIA	LOC119073386|XP_037034707.1|BCOP
OG0001855	LOC108036307|XP_016967805.1|DBIA	LOC119083430|XP_037049050.1|BCOP
OG0001856	LOC108023771|XP_016948901.1|DBIA	LOC119069649|XP_037029667.1|BCOP
OG0001857	LOC108027606|XP_016954615.1|DBIA	LOC119068857|XP_037028587.1|BCOP
OG0001858	LOC108035815|XP_016967052.1|DBIA	LOC119068402|XP_037027856.1|BCOP
OG0001859	LOC108032997|XP_016962610.1|DBIA	LOC119081671|XP_037046649.1|BCOP
OG0001860	LOC108028749|XP_016956207.1|DBIA	LOC119076117|XP_037038674.1|BCOP
OG0001861	LOC108025481|XP_016951485.1|DBIA	LOC119068190|XP_037027583.1|BCOP
OG0001862	LOC108027607|XP_016954617.1|DBIA	LOC119068469|XP_037027961.1|BCOP
OG0001863	LOC108028743|XP_016956200.1|DBIA, LOC108024003|XP_016949233.1|DBIA	LOC119068016|XP_037027270.1|BCOP
OG0001864	LOC108031406|XP_016960286.1|DBIA	LOC119084883|XP_037050927.1|BCOP
OG0001865	LOC108033165|XP_016962886.1|DBIA	LOC119068623|XP_037028184.1|BCOP
OG0001866	LOC108023389|XP_016948303.1|DBIA	LOC119068120|XP_037027468.1|BCOP
OG0001867	LOC108028359|XP_016955606.1|DBIA	LOC119081267|XP_037045904.1|BCOP
OG0001868	LOC108033314|XP_016963079.1|DBIA	LOC119067265|XP_037026038.1|BCOP, LOC119067123|XP_037025792.1|BCOP, LOC119078561|XP_037042024.1|BCOP
OG0001869	LOC108031089|XP_016959784.1|DBIA	LOC119074368|XP_037036368.1|BCOP, LOC119074367|XP_037036366.1|BCOP, LOC119074366|XP_037036364.1|BCOP
OG0001870	LOC108036578|XP_016968323.1|DBIA	LOC119070614|XP_037030937.1|BCOP
OG0001872	LOC108025487|XP_016951490.1|DBIA	LOC119070096|XP_037030304.1|BCOP
OG0001873	LOC108024975|XP_016950707.1|DBIA	LOC119069539|XP_037029511.1|BCOP
OG0001874	LOC108026203|XP_016952491.1|DBIA	LOC119068632|XP_037028197.1|BCOP
OG0001875	LOC108025501|XP_016951511.1|DBIA	LOC119069327|XP_037029280.1|BCOP
OG0001876	LOC108032998|XP_016962611.1|DBIA	LOC119068436|XP_037027902.1|BCOP
OG0001877	LOC108025614|XP_016951636.1|DBIA	LOC119079092|XP_037042804.1|BCOP, LOC119078455|XP_037041881.1|BCOP
OG0001878	LOC108031678|XP_016960809.1|DBIA	LOC119069846|XP_037029911.1|BCOP, LOC119069844|XP_037029908.1|BCOP
OG0001879	LOC108026226|XP_016952547.1|DBIA	LOC119068334|XP_037027784.1|BCOP
OG0001880	LOC108032127|XP_016961448.1|DBIA	LOC119067915|XP_037027111.1|BCOP
OG0001881	LOC108027043|XP_016953731.1|DBIA	LOC119069356|XP_037029324.1|BCOP
OG0001882	LOC108025241|XP_016951077.1|DBIA	LOC119069099|XP_037028886.1|BCOP
OG0001883	LOC108031451|XP_016960374.1|DBIA	LOC119067716|XP_037026727.1|BCOP
OG0001884	LOC108031843|XP_016961082.1|DBIA	LOC119069433|XP_037029385.1|BCOP
OG0001885	LOC108033306|XP_016963068.1|DBIA	LOC119080560|XP_037044870.1|BCOP
OG0001886	LOC108032063|XP_016961370.1|DBIA	LOC119085717|XP_037052061.1|BCOP
OG0001887	LOC108036638|XP_016968400.1|DBIA	LOC119085543|XP_037051856.1|BCOP
OG0001888	LOC108032867|XP_016962357.1|DBIA	LOC119067103|XP_037025761.1|BCOP
OG0001889	LOC108023727|XP_016948853.1|DBIA	LOC119067521|XP_037026443.1|BCOP
OG0001890	LOC108028730|XP_016956181.1|DBIA	LOC119079313|XP_037043002.1|BCOP, LOC119079311|XP_037043001.1|BCOP
OG0001891	LOC108031641|XP_016960762.1|DBIA	LOC119067582|XP_037026572.1|BCOP
OG0001892	LOC108032741|XP_016962218.1|DBIA	LOC119075316|XP_037037631.1|BCOP
OG0001893	LOC108024751|XP_016950346.1|DBIA	LOC119067846|XP_037026973.1|BCOP
OG0001894	LOC108036628|XP_016968388.1|DBIA	LOC119080082|XP_037044198.1|BCOP
OG0001895	LOC108035995|XP_016967357.1|DBIA	LOC119080999|XP_037045562.1|BCOP
OG0001897	LOC108031733|XP_016960901.1|DBIA	LOC119067082|XP_037025726.1|BCOP
OG0001898	LOC108026610|XP_016953083.1|DBIA	LOC119069834|XP_037029897.1|BCOP
OG0001899	LOC108031467|XP_016960395.1|DBIA	LOC119069346|XP_037029311.1|BCOP
OG0001900	LOC108030914|XP_016959593.1|DBIA	LOC119084482|XP_037050365.1|BCOP, LOC119084090|XP_037049822.1|BCOP
OG0001901	LOC108033763|XP_016963832.1|DBIA	LOC119068227|XP_037027630.1|BCOP
OG0001902	LOC108029318|XP_016957005.1|DBIA, LOC108025961|XP_016952144.1|DBIA	LOC119069170|XP_037028975.1|BCOP
OG0001903	LOC108024972|XP_016950704.1|DBIA	LOC119066507|XP_037024912.1|BCOP
OG0001904	LOC108024563|XP_016950046.1|DBIA	LOC119080209|XP_037044342.1|BCOP, LOC119067074|XP_037025701.1|BCOP, LOC119074193|XP_037036081.1|BCOP
OG0001906	LOC108027214|XP_016954025.1|DBIA	LOC119067171|XP_037025879.1|BCOP, LOC119080675|XP_037045001.1|BCOP
OG0001907	LOC108025867|XP_016952028.1|DBIA	LOC119068764|XP_037028398.1|BCOP
OG0001908	LOC108024714|XP_016950295.1|DBIA	LOC119085477|XP_037051790.1|BCOP
OG0001909	LOC108023581|XP_016948666.1|DBIA	LOC119069055|XP_037028823.1|BCOP
OG0001910	LOC108031870|XP_016961117.1|DBIA	LOC119068662|XP_037028238.1|BCOP
OG0001911	LOC108023087|XP_016947834.1|DBIA	LOC119067469|XP_037026355.1|BCOP
OG0001912	LOC108026898|XP_016953596.1|DBIA	LOC119085811|XP_037052189.1|BCOP
OG0001914	LOC108026134|XP_016952337.1|DBIA	LOC119067414|XP_037026262.1|BCOP
OG0001915	LOC108035620|XP_016966798.1|DBIA	LOC119084835|XP_037050815.1|BCOP
OG0001916	LOC108030257|XP_016958566.1|DBIA	LOC119081737|XP_037046800.1|BCOP
OG0001917	LOC108034903|XP_016965619.1|DBIA	LOC119073456|XP_037034846.1|BCOP
OG0001918	LOC108035503|XP_016966650.1|DBIA	LOC119084932|XP_037050966.1|BCOP
OG0001919	LOC108030141|XP_016958345.1|DBIA	LOC119074137|XP_037036018.1|BCOP
OG0001920	LOC108029830|XP_016957820.1|DBIA	LOC119080390|XP_037044600.1|BCOP, LOC119081340|XP_037046034.1|BCOP
OG0001921	LOC108029799|XP_016957803.1|DBIA	LOC119075484|XP_037037831.1|BCOP
OG0001922	LOC108026928|XP_016953629.1|DBIA	LOC119073165|XP_037034362.1|BCOP, LOC119073166|XP_037034364.1|BCOP
OG0001924	LOC108035852|XP_016967085.1|DBIA, LOC108031427|XP_016960323.1|DBIA	LOC119082349|XP_037047762.1|BCOP
OG0001925	LOC108035299|XP_016966358.1|DBIA, LOC108036665|XP_016968439.1|DBIA	LOC119080967|XP_037045501.1|BCOP, LOC119085592|XP_037051909.1|BCOP
OG0001926	LOC108035546|XP_016966704.1|DBIA	LOC119075663|XP_037038070.1|BCOP
OG0001927	LOC108023039|XP_016947769.1|DBIA	LOC119084335|XP_037050159.1|BCOP
OG0001928	LOC108035241|XP_016966263.1|DBIA	LOC119084906|XP_037050956.1|BCOP
OG0001929	LOC108034786|XP_016965234.1|DBIA	LOC119080713|XP_037045072.1|BCOP
OG0001930	LOC108030121|XP_016958311.1|DBIA	LOC119079460|XP_037043282.1|BCOP
OG0001931	LOC108028824|XP_016956299.1|DBIA	LOC119080261|XP_037044404.1|BCOP
OG0001932	LOC108028311|XP_016955523.1|DBIA	LOC119081873|XP_037047006.1|BCOP
OG0001933	LOC108022469|XP_016946908.1|DBIA	LOC119073719|XP_037035237.1|BCOP
OG0001934	LOC108035528|XP_016966686.1|DBIA	LOC119077487|XP_037040595.1|BCOP
OG0001935	LOC108034558|XP_016964976.1|DBIA	LOC119080985|XP_037045525.1|BCOP
OG0001937	LOC108026767|XP_016953399.1|DBIA	LOC119073518|XP_037034942.1|BCOP
OG0001938	LOC108022701|XP_016947263.1|DBIA	LOC119070232|XP_037030398.1|BCOP, LOC119075124|XP_037037405.1|BCOP
OG0001939	LOC108022216|XP_016946559.1|DBIA	LOC119073670|XP_037035170.1|BCOP
OG0001940	LOC108036314|XP_016967813.1|DBIA	LOC119079400|XP_037043178.1|BCOP
OG0001941	LOC108031298|XP_016960034.1|DBIA	LOC119084724|XP_037050696.1|BCOP
OG0001943	LOC108034597|XP_016965019.1|DBIA	LOC119080982|XP_037045522.1|BCOP
OG0001944	LOC108030151|XP_016958366.1|DBIA	LOC119080072|XP_037044186.1|BCOP
OG0001945	LOC108036393|XP_016967991.1|DBIA	LOC119073449|XP_037034837.1|BCOP
OG0001946	LOC108030219|XP_016958483.1|DBIA	LOC119082790|XP_037048279.1|BCOP, LOC119075499|XP_037037860.1|BCOP
OG0001947	LOC108022314|XP_016946663.1|DBIA	LOC119079362|XP_037043105.1|BCOP
OG0001948	LOC108035752|XP_016966938.1|DBIA	LOC119080503|XP_037044798.1|BCOP
OG0001949	LOC108028554|XP_016955946.1|DBIA	LOC119077322|XP_037040397.1|BCOP
OG0001950	LOC108022466|XP_016947298.1|DBIA, LOC108023806|XP_016948936.1|DBIA	LOC119073232|XP_037034439.1|BCOP
OG0001951	LOC108026608|XP_016953071.1|DBIA	LOC119081713|XP_037046718.1|BCOP
OG0001952	LOC108027585|XP_016954592.1|DBIA, LOC108026988|XP_016953679.1|DBIA	LOC119074053|XP_037035898.1|BCOP
OG0001953	LOC108026794|XP_016953444.1|DBIA	LOC119079610|XP_037043499.1|BCOP
