Orthogroup	DBIA.longest_only	CCAP.longest_only
OG0001138	LOC108029097|XP_016956681.1|DBIA	CCAP1982_LOCUS11127|CAD7002644.1|CCAP, CCAP1982_LOCUS11125|CAD7002642.1|CCAP
OG0001139	LOC108028099|XP_016955233.1|DBIA, LOC108036641|XP_016968443.1|DBIA, LOC108036682|XP_016968452.1|DBIA, LOC108036828|XP_016968662.1|DBIA	CCAP1982_LOCUS14528|CAD7006200.1|CCAP
OG0001140	LOC108032014|XP_016961307.1|DBIA, LOC108033752|XP_016964233.1|DBIA	CCAP1982_LOCUS30|CAD6991082.1|CCAP, CCAP1982_LOCUS29|CAD6991081.1|CCAP
OG0001141	LOC108031047|XP_016959737.1|DBIA, LOC108032218|XP_016961569.1|DBIA	CCAP1982_LOCUS1431|CAD6992583.1|CCAP, CCAP1982_LOCUS1434|CAD6992585.1|CCAP
OG0001142	LOC108031045|XP_016959735.1|DBIA	CCAP1982_LOCUS1037|CAD6992159.1|CCAP
OG0001144	LOC108031230|XP_016959954.1|DBIA, LOC108036512|XP_016968205.1|DBIA	CCAP1982_LOCUS20324|CAD7012226.1|CCAP
OG0001145	LOC108036186|XP_016967666.1|DBIA	CCAP1982_LOCUS20697|CAD7012613.1|CCAP
OG0001146	LOC108032398|XP_016961707.1|DBIA, LOC108023930|XP_016949104.1|DBIA	CCAP1982_LOCUS14012|CAD7005655.1|CCAP
OG0001153	LOC108026889|XP_016953582.1|DBIA	CCAP1982_LOCUS20531|CAD7012450.1|CCAP
OG0001154	LOC108034834|XP_016965442.1|DBIA	CCAP1982_LOCUS5972|CAD6997338.1|CCAP
OG0001157	LOC108024110|XP_016949380.1|DBIA	CCAP1982_LOCUS4069|CAD6995350.1|CCAP, CCAP1982_LOCUS4068|CAD6995349.1|CCAP
OG0001158	LOC108034152|XP_016964440.1|DBIA	CCAP1982_LOCUS8483|CAD6999978.1|CCAP
OG0001159	LOC108026209|XP_016952507.1|DBIA	CCAP1982_LOCUS1413|CAD6992567.1|CCAP
OG0001160	LOC108031492|XP_016960474.1|DBIA	CCAP1982_LOCUS1437|CAD6992588.1|CCAP, CCAP1982_LOCUS1439|CAD6992590.1|CCAP
OG0001161	LOC108031325|XP_016960062.1|DBIA	CCAP1982_LOCUS44|CAD6991097.1|CCAP
OG0001162	LOC108024735|XP_016950320.1|DBIA	CCAP1982_LOCUS861|CAD6991974.1|CCAP
OG0001163	LOC108031575|XP_016960622.1|DBIA	CCAP1982_LOCUS1187|CAD6992319.1|CCAP
OG0001164	LOC108031431|XP_016960331.1|DBIA	CCAP1982_LOCUS3746|CAD6995015.1|CCAP, CCAP1982_LOCUS3747|CAD6995016.1|CCAP
OG0001165	LOC108022478|XP_016946918.1|DBIA	CCAP1982_LOCUS2339|CAD6993527.1|CCAP
OG0001166	LOC108034501|XP_016964895.1|DBIA	CCAP1982_LOCUS13125|CAD7004732.1|CCAP
OG0001167	LOC108022176|XP_016946512.1|DBIA	CCAP1982_LOCUS23222|CAD7015275.1|CCAP
OG0001168	LOC108030228|XP_016958507.1|DBIA	CCAP1982_LOCUS22756|CAD7014785.1|CCAP
OG0001170	LOC108024718|XP_016950298.1|DBIA	CCAP1982_LOCUS4015|CAD6995296.1|CCAP, CCAP1982_LOCUS8446|CAD6999937.1|CCAP, CCAP1982_LOCUS4014|CAD6995295.1|CCAP
OG0001171	LOC108029333|XP_016957018.1|DBIA	CCAP1982_LOCUS11094|CAD7002610.1|CCAP, CCAP1982_LOCUS11093|CAD7002609.1|CCAP
OG0001172	LOC108022456|XP_016946853.1|DBIA	CCAP1982_LOCUS23142|CAD7015192.1|CCAP, CCAP1982_LOCUS23145|CAD7015194.1|CCAP, CCAP1982_LOCUS23141|CAD7015190.1|CCAP
OG0001173	LOC108023855|XP_016948991.1|DBIA	CCAP1982_LOCUS137|CAD6991199.1|CCAP
OG0001174	LOC108028277|XP_016955470.1|DBIA, LOC108028523|XP_016955895.1|DBIA	CCAP1982_LOCUS13231|CAD7004846.1|CCAP
OG0001175	LOC108023107|XP_016947862.1|DBIA	CCAP1982_LOCUS19961|CAD7011852.1|CCAP
OG0001176	LOC108036220|XP_016967701.1|DBIA	CCAP1982_LOCUS7150|CAD6998569.1|CCAP
OG0001177	LOC108033344|XP_016963136.1|DBIA	CCAP1982_LOCUS7053|CAD6998455.1|CCAP
OG0001178	LOC108022948|XP_016947653.1|DBIA	CCAP1982_LOCUS22089|CAD7014082.1|CCAP
OG0001179	LOC108030181|XP_016958416.1|DBIA	CCAP1982_LOCUS21397|CAD7013328.1|CCAP
OG0001180	LOC108024915|XP_016950603.1|DBIA	CCAP1982_LOCUS10405|CAD7001918.1|CCAP, CCAP1982_LOCUS10404|CAD7001917.1|CCAP, CCAP1982_LOCUS10411|CAD7001924.1|CCAP, CCAP1982_LOCUS10408|CAD7001921.1|CCAP, CCAP1982_LOCUS10409|CAD7001922.1|CCAP, CCAP1982_LOCUS10410|CAD7001923.1|CCAP, CCAP1982_LOCUS10413|CAD7001926.1|CCAP, CCAP1982_LOCUS10406|CAD7001919.1|CCAP, CCAP1982_LOCUS10412|CAD7001925.1|CCAP, CCAP1982_LOCUS10407|CAD7001920.1|CCAP, CCAP1982_LOCUS10415|CAD7001928.1|CCAP, CCAP1982_LOCUS10414|CAD7001927.1|CCAP
OG0001181	LOC108030664|XP_016959177.1|DBIA	CCAP1982_LOCUS13780|CAD7005417.1|CCAP, CCAP1982_LOCUS13817|CAD7005457.1|CCAP
OG0001182	LOC108024650|XP_016950197.1|DBIA	CCAP1982_LOCUS461|CAD6991542.1|CCAP
OG0001185	LOC108030946|XP_016959634.1|DBIA, LOC108031371|XP_016960179.1|DBIA	CCAP1982_LOCUS235|CAD6991306.1|CCAP
OG0001186	LOC108027198|XP_016953994.1|DBIA	CCAP1982_LOCUS4357|CAD6995650.1|CCAP
OG0001187	LOC108022866|XP_016947533.1|DBIA	CCAP1982_LOCUS20646|CAD7012561.1|CCAP
OG0001188	LOC108029644|XP_016957542.1|DBIA	CCAP1982_LOCUS20310|CAD7012211.1|CCAP, CCAP1982_LOCUS20309|CAD7012208.1|CCAP, CCAP1982_LOCUS20311|CAD7012212.1|CCAP, CCAP1982_LOCUS20308|CAD7012207.1|CCAP
OG0001191	LOC108032794|XP_016962288.1|DBIA	CCAP1982_LOCUS19467|CAD7011363.1|CCAP
OG0001192	LOC108033368|XP_016963172.1|DBIA	CCAP1982_LOCUS5423|CAD6996743.1|CCAP
OG0001193	LOC108032209|XP_016961558.1|DBIA	CCAP1982_LOCUS1428|CAD6992580.1|CCAP
OG0001195	LOC108029787|XP_016957786.1|DBIA	CCAP1982_LOCUS21002|CAD7012903.1|CCAP
OG0001200	LOC108033621|XP_016963483.1|DBIA	CCAP1982_LOCUS4180|CAD6995465.1|CCAP
OG0001201	LOC108026346|XP_016952740.1|DBIA	CCAP1982_LOCUS703|CAD6991799.1|CCAP
OG0001202	LOC108027181|XP_016953965.1|DBIA	CCAP1982_LOCUS12204|CAD7003768.1|CCAP
OG0001203	LOC108036025|XP_016967445.1|DBIA	CCAP1982_LOCUS9590|CAD7001118.1|CCAP, CCAP1982_LOCUS9348|CAD7000874.1|CCAP
OG0001205	LOC108027289|XP_016954168.1|DBIA	CCAP1982_LOCUS4555|CAD6995854.1|CCAP
OG0001206	LOC108031508|XP_016960506.1|DBIA	CCAP1982_LOCUS3112|CAD6994358.1|CCAP, CCAP1982_LOCUS3113|CAD6994359.1|CCAP, CCAP1982_LOCUS3114|CAD6994360.1|CCAP
OG0001209	LOC108025654|XP_016951685.1|DBIA	CCAP1982_LOCUS1956|CAD6993130.1|CCAP
OG0001213	LOC108025518|XP_016951528.1|DBIA	CCAP1982_LOCUS4317|CAD6995611.1|CCAP
OG0001214	LOC108032004|XP_016961291.1|DBIA	CCAP1982_LOCUS1460|CAD6992611.1|CCAP
OG0001215	LOC108027342|XP_016954243.1|DBIA	CCAP1982_LOCUS2002|CAD6993180.1|CCAP
OG0001216	LOC108024651|XP_016950199.1|DBIA	CCAP1982_LOCUS2004|CAD6993182.1|CCAP
OG0001217	LOC108023210|XP_016948004.1|DBIA, LOC108034371|XP_016964747.1|DBIA	CCAP1982_LOCUS6159|CAD6997520.1|CCAP
OG0001218	LOC108024411|XP_016949816.1|DBIA	CCAP1982_LOCUS3380|CAD6994645.1|CCAP
OG0001220	LOC108029895|XP_016957873.1|DBIA	CCAP1982_LOCUS21522|CAD7013457.1|CCAP
OG0001221	LOC108022848|XP_016947509.1|DBIA	CCAP1982_LOCUS22041|CAD7014035.1|CCAP
OG0001222	LOC108024795|XP_016950402.1|DBIA	CCAP1982_LOCUS5153|CAD6996484.1|CCAP
OG0001223	LOC108035983|XP_016967358.1|DBIA	CCAP1982_LOCUS22608|CAD7014617.1|CCAP
OG0001224	LOC108036228|XP_016967728.1|DBIA	CCAP1982_LOCUS20318|CAD7012220.1|CCAP
OG0001225	LOC108030210|XP_016958459.1|DBIA	CCAP1982_LOCUS21678|CAD7013628.1|CCAP
OG0001226	LOC108022587|XP_016947103.1|DBIA	CCAP1982_LOCUS21755|CAD7013718.1|CCAP, CCAP1982_LOCUS21759|CAD7013728.1|CCAP, CCAP1982_LOCUS21756|CAD7013719.1|CCAP, CCAP1982_LOCUS21757|CAD7013724.1|CCAP, CCAP1982_LOCUS21758|CAD7013727.1|CCAP, CCAP1982_LOCUS21765|CAD7013734.1|CCAP
OG0001227	LOC108033453|XP_016963276.1|DBIA	CCAP1982_LOCUS8848|CAD7000368.1|CCAP
OG0001227	LOC108033240|XP_016962995.1|DBIA	CCAP1982_LOCUS8849|CAD7000369.1|CCAP
OG0001229	LOC108032733|XP_016962206.1|DBIA, LOC108030945|XP_016959633.1|DBIA, LOC108032682|XP_016962150.1|DBIA	CCAP1982_LOCUS21558|CAD7013498.1|CCAP
OG0001230	LOC108036481|XP_016968151.1|DBIA	CCAP1982_LOCUS22839|CAD7014875.1|CCAP
OG0001231	LOC108030491|XP_016958866.1|DBIA	CCAP1982_LOCUS5440|CAD6996761.1|CCAP
OG0001232	LOC108036703|XP_016968486.1|DBIA	CCAP1982_LOCUS6770|CAD6998154.1|CCAP, CCAP1982_LOCUS6767|CAD6998152.1|CCAP, CCAP1982_LOCUS6769|CAD6998153.1|CCAP, CCAP1982_LOCUS6766|CAD6998151.1|CCAP
OG0001233	LOC108033321|XP_016963089.1|DBIA	CCAP1982_LOCUS8291|CAD6999768.1|CCAP
OG0001234	LOC108036538|XP_016968251.1|DBIA	CCAP1982_LOCUS19773|CAD7011689.1|CCAP
OG0001235	LOC108029136|XP_016956748.1|DBIA	CCAP1982_LOCUS7409|CAD6998860.1|CCAP
OG0001236	LOC108028394|XP_016955696.1|DBIA, LOC108028398|XP_016955699.1|DBIA, LOC108028399|XP_016955703.1|DBIA	CCAP1982_LOCUS14234|CAD7005894.1|CCAP
OG0001237	LOC108034531|XP_016964946.1|DBIA, LOC108031349|XP_016960103.1|DBIA	CCAP1982_LOCUS96|CAD6991156.1|CCAP
OG0001238	LOC108025285|XP_016951151.1|DBIA	CCAP1982_LOCUS5052|CAD6996373.1|CCAP
OG0001240	LOC108025555|XP_016951578.1|DBIA	CCAP1982_LOCUS286|CAD6991356.1|CCAP
OG0001241	LOC108022337|XP_016946688.1|DBIA	CCAP1982_LOCUS4194|CAD6995478.1|CCAP
OG0001243	LOC108030861|XP_016959493.1|DBIA	CCAP1982_LOCUS13382|CAD7005007.1|CCAP
OG0001244	LOC108024371|XP_016949763.1|DBIA	CCAP1982_LOCUS2040|CAD6993221.1|CCAP
OG0001245	LOC108031044|XP_016959734.1|DBIA	CCAP1982_LOCUS2940|CAD6994175.1|CCAP, CCAP1982_LOCUS2941|CAD6994176.1|CCAP
OG0001247	LOC108036882|XP_016968746.1|DBIA	CCAP1982_LOCUS21110|CAD7013024.1|CCAP
OG0001251	LOC108027280|XP_016954146.1|DBIA, LOC108027147|XP_016953856.1|DBIA	CCAP1982_LOCUS4741|CAD6996035.1|CCAP
OG0001252	LOC108024552|XP_016950022.1|DBIA, LOC108024553|XP_016950023.1|DBIA, LOC108024278|XP_016949665.1|DBIA, LOC108024277|XP_016949664.1|DBIA	CCAP1982_LOCUS3201|CAD6994454.1|CCAP, CCAP1982_LOCUS3202|CAD6994455.1|CCAP
OG0001253	LOC108022220|XP_016946563.1|DBIA	CCAP1982_LOCUS5362|CAD6996678.1|CCAP
OG0001254	LOC108022377|XP_016946747.1|DBIA, LOC108022074|XP_016946408.1|DBIA	CCAP1982_LOCUS22056|CAD7014049.1|CCAP
OG0001255	LOC108030239|XP_016958532.1|DBIA	CCAP1982_LOCUS20294|CAD7012192.1|CCAP
OG0001257	LOC108035914|XP_016967189.1|DBIA	CCAP1982_LOCUS10591|CAD7002103.1|CCAP, CCAP1982_LOCUS10594|CAD7002106.1|CCAP, CCAP1982_LOCUS10593|CAD7002105.1|CCAP
OG0001258	LOC108031944|XP_016961213.1|DBIA	CCAP1982_LOCUS1633|CAD6992794.1|CCAP, CCAP1982_LOCUS1643|CAD6992804.1|CCAP, CCAP1982_LOCUS1652|CAD6992813.1|CCAP, CCAP1982_LOCUS1634|CAD6992795.1|CCAP, CCAP1982_LOCUS1644|CAD6992805.1|CCAP, CCAP1982_LOCUS1653|CAD6992814.1|CCAP
OG0001260	LOC108031595|XP_016960660.1|DBIA	CCAP1982_LOCUS3092|CAD6994336.1|CCAP
OG0001262	LOC108028296|XP_016955506.1|DBIA	CCAP1982_LOCUS13374|CAD7004998.1|CCAP
OG0001263	LOC108031993|XP_016961276.1|DBIA	CCAP1982_LOCUS1201|CAD6992337.1|CCAP
OG0001264	LOC108029105|XP_016956698.1|DBIA	CCAP1982_LOCUS8734|CAD7000242.1|CCAP, CCAP1982_LOCUS8733|CAD7000241.1|CCAP
OG0001266	LOC108026878|XP_016953559.1|DBIA	CCAP1982_LOCUS20417|CAD7012323.1|CCAP, CCAP1982_LOCUS20418|CAD7012324.1|CCAP
OG0001267	LOC108031938|XP_016961207.1|DBIA	CCAP1982_LOCUS3717|CAD6994986.1|CCAP
OG0001269	LOC108030084|XP_016958211.1|DBIA	CCAP1982_LOCUS20837|CAD7012733.1|CCAP
OG0001270	LOC108027243|XP_016954082.1|DBIA	CCAP1982_LOCUS1004|CAD6992122.1|CCAP
OG0001271	LOC108022814|XP_016947440.1|DBIA	CCAP1982_LOCUS22619|CAD7014628.1|CCAP
OG0001272	LOC108035327|XP_016966390.1|DBIA	CCAP1982_LOCUS10784|CAD7002292.1|CCAP, CCAP1982_LOCUS10783|CAD7002291.1|CCAP
OG0001273	LOC108024444|XP_016949850.1|DBIA	CCAP1982_LOCUS3030|CAD6994269.1|CCAP
OG0001274	LOC108028472|XP_016955823.1|DBIA	CCAP1982_LOCUS14515|CAD7006186.1|CCAP
OG0001276	LOC108035463|XP_016966598.1|DBIA	CCAP1982_LOCUS11502|CAD7003039.1|CCAP
OG0001277	LOC108034695|XP_016965124.1|DBIA	CCAP1982_LOCUS13150|CAD7004758.1|CCAP
OG0001279	LOC108028182|XP_016955335.1|DBIA	CCAP1982_LOCUS11832|CAD7003373.1|CCAP
OG0001280	LOC108029516|XP_016957307.1|DBIA	CCAP1982_LOCUS12570|CAD7004150.1|CCAP, CCAP1982_LOCUS10454|CAD7001967.1|CCAP
OG0001281	LOC108035485|XP_016966625.1|DBIA	CCAP1982_LOCUS12999|CAD7004604.1|CCAP
OG0001282	LOC108027763|XP_016954810.1|DBIA	CCAP1982_LOCUS5546|CAD6996873.1|CCAP
OG0001283	LOC108036218|XP_016967699.1|DBIA	CCAP1982_LOCUS22647|CAD7014659.1|CCAP
OG0001284	LOC108027603|XP_016954616.1|DBIA, LOC108027594|XP_016954604.1|DBIA	CCAP1982_LOCUS6493|CAD6997874.1|CCAP
OG0001285	LOC108030815|XP_016959408.1|DBIA	CCAP1982_LOCUS11810|CAD7003351.1|CCAP
OG0001286	LOC108034295|XP_016964646.1|DBIA	CCAP1982_LOCUS7997|CAD6999473.1|CCAP
OG0001287	LOC108032255|XP_016961608.1|DBIA	CCAP1982_LOCUS907|CAD6992023.1|CCAP
OG0001288	LOC108029194|XP_016956859.1|DBIA	CCAP1982_LOCUS6082|CAD6997436.1|CCAP
OG0001289	LOC108033279|XP_016963034.1|DBIA	CCAP1982_LOCUS7968|CAD6999444.1|CCAP
OG0001290	LOC108028949|XP_016956458.1|DBIA	CCAP1982_LOCUS8372|CAD6999862.1|CCAP, CCAP1982_LOCUS8371|CAD6999861.1|CCAP
OG0001291	LOC108026738|XP_016953347.1|DBIA	CCAP1982_LOCUS21121|CAD7013037.1|CCAP
OG0001294	LOC108034648|XP_016965076.1|DBIA, LOC108024763|XP_016950365.1|DBIA	CCAP1982_LOCUS4430|CAD6995724.1|CCAP
OG0001295	LOC108033190|XP_016962921.1|DBIA	CCAP1982_LOCUS9728|CAD7001230.1|CCAP, CCAP1982_LOCUS9729|CAD7001231.1|CCAP
OG0001296	LOC108030486|XP_016958856.1|DBIA	CCAP1982_LOCUS23289|CAD7015344.1|CCAP
OG0001297	LOC108031742|XP_016960926.1|DBIA	CCAP1982_LOCUS856|CAD6991969.1|CCAP
OG0001298	LOC108027437|XP_016954374.1|DBIA	CCAP1982_LOCUS2803|CAD6994026.1|CCAP
OG0001299	LOC108035390|XP_016966491.1|DBIA	CCAP1982_LOCUS12486|CAD7004061.1|CCAP, CCAP1982_LOCUS12484|CAD7004059.1|CCAP
OG0001300	LOC108024842|XP_016950469.1|DBIA	CCAP1982_LOCUS4632|CAD6995930.1|CCAP
OG0001301	LOC108033378|XP_016963187.1|DBIA	CCAP1982_LOCUS19842|CAD7011729.1|CCAP
OG0001302	LOC108029755|XP_016957741.1|DBIA	CCAP1982_LOCUS5077|CAD6996403.1|CCAP, CCAP1982_LOCUS5079|CAD6996405.1|CCAP
OG0001303	LOC108025344|XP_016951277.1|DBIA	CCAP1982_LOCUS3529|CAD6994798.1|CCAP
OG0001304	LOC108030192|XP_016958433.1|DBIA	CCAP1982_LOCUS20156|CAD7012054.1|CCAP
OG0001305	LOC108027314|XP_016954198.1|DBIA	CCAP1982_LOCUS228|CAD6991299.1|CCAP
OG0001306	LOC108025565|XP_016951585.1|DBIA	CCAP1982_LOCUS4381|CAD6995674.1|CCAP
OG0001307	LOC108028380|XP_016955665.1|DBIA	CCAP1982_LOCUS10909|CAD7002418.1|CCAP
OG0001309	LOC108024074|XP_016949338.1|DBIA	CCAP1982_LOCUS5112|CAD6996440.1|CCAP, CCAP1982_LOCUS5113|CAD6996441.1|CCAP
OG0001312	LOC108028630|XP_016956040.1|DBIA	CCAP1982_LOCUS12830|CAD7004421.1|CCAP
OG0001313	LOC108022998|XP_016947718.1|DBIA	CCAP1982_LOCUS20437|CAD7012343.1|CCAP, CCAP1982_LOCUS20438|CAD7012344.1|CCAP
OG0001314	LOC108032664|XP_016962113.1|DBIA	CCAP1982_LOCUS5817|CAD6997175.1|CCAP
OG0001316	LOC108030229|XP_016958508.1|DBIA, LOC108030467|XP_016958853.1|DBIA	CCAP1982_LOCUS22757|CAD7014787.1|CCAP
OG0001317	LOC108029209|XP_016956878.1|DBIA	CCAP1982_LOCUS7889|CAD6999362.1|CCAP, CCAP1982_LOCUS7890|CAD6999363.1|CCAP
OG0001319	LOC108033356|XP_016963156.1|DBIA, LOC108033334|XP_016963108.1|DBIA	CCAP1982_LOCUS6593|CAD6997976.1|CCAP
OG0001320	LOC108022094|XP_016946427.1|DBIA	CCAP1982_LOCUS20037|CAD7011925.1|CCAP
OG0001321	LOC108029864|XP_016957842.1|DBIA	CCAP1982_LOCUS1849|CAD6993014.1|CCAP, CCAP1982_LOCUS20384|CAD7012288.1|CCAP, CCAP1982_LOCUS20385|CAD7012289.1|CCAP
OG0001326	LOC108025465|XP_016951456.1|DBIA	CCAP1982_LOCUS1119|CAD6992249.1|CCAP
OG0001334	LOC108025452|XP_016951441.1|DBIA	CCAP1982_LOCUS1135|CAD6992268.1|CCAP, CCAP1982_LOCUS1130|CAD6992263.1|CCAP, CCAP1982_LOCUS1136|CAD6992269.1|CCAP
OG0001335	LOC108031918|XP_016961179.1|DBIA	CCAP1982_LOCUS5161|CAD6996492.1|CCAP
OG0001339	LOC108022704|XP_016947267.1|DBIA	CCAP1982_LOCUS21898|CAD7013883.1|CCAP
OG0001341	LOC108031650|XP_016960769.1|DBIA	CCAP1982_LOCUS3260|CAD6994516.1|CCAP
OG0001342	LOC108025406|XP_016951373.1|DBIA	CCAP1982_LOCUS2024|CAD6993204.1|CCAP
OG0001344	LOC108025403|XP_016951368.1|DBIA	CCAP1982_LOCUS2156|CAD6993338.1|CCAP
OG0001345	LOC108032178|XP_016961522.1|DBIA	CCAP1982_LOCUS1741|CAD6992908.1|CCAP
OG0001348	LOC108033074|XP_016962732.1|DBIA	CCAP1982_LOCUS22946|CAD7014988.1|CCAP
OG0001349	LOC108035499|XP_016966642.1|DBIA	CCAP1982_LOCUS14892|CAD7006578.1|CCAP
OG0001351	LOC108036383|XP_016967976.1|DBIA, LOC108036382|XP_016967974.1|DBIA	CCAP1982_LOCUS21830|CAD7013810.1|CCAP
OG0001352	LOC108024268|XP_016949643.1|DBIA	CCAP1982_LOCUS21313|CAD7013242.1|CCAP
OG0001354	LOC108022880|XP_016947563.1|DBIA	CCAP1982_LOCUS23423|CAD7015484.1|CCAP
OG0001355	LOC108026526|XP_016952962.1|DBIA	CCAP1982_LOCUS21737|CAD7013696.1|CCAP
OG0001356	LOC108024819|XP_016950435.1|DBIA	CCAP1982_LOCUS404|CAD6991479.1|CCAP
OG0001357	LOC108034830|XP_016965431.1|DBIA	CCAP1982_LOCUS12062|CAD7003622.1|CCAP
OG0001358	LOC108035907|XP_016967162.1|DBIA	CCAP1982_LOCUS14516|CAD7006187.1|CCAP
OG0001359	LOC108033712|XP_016963734.1|DBIA	CCAP1982_LOCUS5267|CAD6996597.1|CCAP, CCAP1982_LOCUS5262|CAD6996592.1|CCAP
OG0001360	LOC108036679|XP_016968450.1|DBIA	CCAP1982_LOCUS21902|CAD7013888.1|CCAP
OG0001361	LOC108034812|XP_016965346.1|DBIA	CCAP1982_LOCUS11412|CAD7002948.1|CCAP
OG0001362	LOC108034934|XP_016965687.1|DBIA	CCAP1982_LOCUS11823|CAD7003364.1|CCAP
OG0001363	LOC108031082|XP_016959777.1|DBIA	CCAP1982_LOCUS87|CAD6991145.1|CCAP
OG0001364	LOC108022533|XP_016946999.1|DBIA	CCAP1982_LOCUS21222|CAD7013151.1|CCAP
OG0001365	LOC108034748|XP_016965185.1|DBIA	CCAP1982_LOCUS11263|CAD7002793.1|CCAP
OG0001366	LOC108034952|XP_016965727.1|DBIA	CCAP1982_LOCUS12991|CAD7004596.1|CCAP
OG0001367	LOC108026756|XP_016953376.1|DBIA	CCAP1982_LOCUS23136|CAD7015185.1|CCAP
OG0001368	LOC108036545|XP_016968261.1|DBIA	CCAP1982_LOCUS21725|CAD7013684.1|CCAP, CCAP1982_LOCUS21727|CAD7013686.1|CCAP
OG0001370	LOC108022596|XP_016947118.1|DBIA	CCAP1982_LOCUS22021|CAD7014015.1|CCAP
OG0001371	LOC108035828|XP_016967065.1|DBIA, LOC108025721|XP_016951779.1|DBIA	CCAP1982_LOCUS5717|CAD6997064.1|CCAP
OG0001372	LOC108026628|XP_016953133.1|DBIA	CCAP1982_LOCUS21855|CAD7013835.1|CCAP
OG0001373	LOC108034327|XP_016964692.1|DBIA	CCAP1982_LOCUS7766|CAD6999234.1|CCAP
OG0001374	LOC108036560|XP_016968288.1|DBIA	CCAP1982_LOCUS7146|CAD6998564.1|CCAP
OG0001375	LOC108032923|XP_016962479.1|DBIA	CCAP1982_LOCUS675|CAD6991768.1|CCAP
OG0001376	LOC108022765|XP_016947359.1|DBIA	CCAP1982_LOCUS22471|CAD7014475.1|CCAP
OG0001377	LOC108036743|XP_016968541.1|DBIA	CCAP1982_LOCUS6993|CAD6998393.1|CCAP, CCAP1982_LOCUS6987|CAD6998387.1|CCAP
OG0001378	LOC108034355|XP_016964730.1|DBIA	CCAP1982_LOCUS6408|CAD6997783.1|CCAP
OG0001380	LOC108021916|XP_016946230.1|DBIA	CCAP1982_LOCUS21334|CAD7013263.1|CCAP
OG0001381	LOC108036409|XP_016968017.1|DBIA	CCAP1982_LOCUS21553|CAD7013493.1|CCAP
OG0001382	LOC108027664|XP_016954692.1|DBIA	CCAP1982_LOCUS6829|CAD6998216.1|CCAP, CCAP1982_LOCUS6816|CAD6998201.1|CCAP
OG0001384	LOC108034260|XP_016964606.1|DBIA	CCAP1982_LOCUS5835|CAD6997196.1|CCAP
OG0001385	LOC108032601|XP_016962017.1|DBIA	CCAP1982_LOCUS5650|CAD6996988.1|CCAP
OG0001387	LOC108033768|XP_016963853.1|DBIA	CCAP1982_LOCUS8048|CAD6999526.1|CCAP
OG0001388	LOC108034870|XP_016965552.1|DBIA	CCAP1982_LOCUS9027|CAD7000551.1|CCAP
OG0001389	LOC108024847|XP_016950474.1|DBIA	CCAP1982_LOCUS1903|CAD6993073.1|CCAP
OG0001390	LOC108027927|XP_016955040.1|DBIA	CCAP1982_LOCUS7880|CAD6999353.1|CCAP
OG0001391	LOC108034060|XP_016964304.1|DBIA	CCAP1982_LOCUS5828|CAD6997188.1|CCAP
OG0001392	LOC108025824|XP_016951965.1|DBIA	CCAP1982_LOCUS19357|CAD7011249.1|CCAP, CCAP1982_LOCUS9514|CAD7001042.1|CCAP, CCAP1982_LOCUS19552|CAD7011452.1|CCAP, CCAP1982_LOCUS9895|CAD7001398.1|CCAP, CCAP1982_LOCUS9987|CAD7001490.1|CCAP, CCAP1982_LOCUS19356|CAD7011248.1|CCAP, CCAP1982_LOCUS19355|CAD7011247.1|CCAP
OG0001394	LOC108034091|XP_016964347.1|DBIA	CCAP1982_LOCUS19538|CAD7011438.1|CCAP
OG0001395	LOC108031900|XP_016961156.1|DBIA	CCAP1982_LOCUS388|CAD6991463.1|CCAP
OG0001397	LOC108024805|XP_016950416.1|DBIA	CCAP1982_LOCUS4998|CAD6996319.1|CCAP
OG0001399	LOC108036172|XP_016967651.1|DBIA, LOC108031518|XP_016960529.1|DBIA, LOC108023802|XP_016948932.1|DBIA	CCAP1982_LOCUS21132|CAD7013050.1|CCAP
OG0001400	LOC108025330|XP_016951250.1|DBIA	CCAP1982_LOCUS6142|CAD6997503.1|CCAP
OG0001401	LOC108028071|XP_016955201.1|DBIA	CCAP1982_LOCUS13471|CAD7005109.1|CCAP
OG0001402	LOC108030562|XP_016958948.1|DBIA, LOC108030557|XP_016958941.1|DBIA	CCAP1982_LOCUS14088|CAD7005737.1|CCAP
OG0001403	LOC108030889|XP_016959549.1|DBIA	CCAP1982_LOCUS14624|CAD7006302.1|CCAP, CCAP1982_LOCUS14622|CAD7006300.1|CCAP
OG0001404	LOC108029630|XP_016957513.1|DBIA	CCAP1982_LOCUS20364|CAD7012268.1|CCAP, CCAP1982_LOCUS20365|CAD7012269.1|CCAP
OG0001405	LOC108036246|XP_016967744.1|DBIA	CCAP1982_LOCUS20893|CAD7012792.1|CCAP
OG0001407	LOC108034567|XP_016964987.1|DBIA	CCAP1982_LOCUS12032|CAD7003583.1|CCAP
OG0001408	LOC108029903|XP_016957882.1|DBIA	CCAP1982_LOCUS20682|CAD7012597.1|CCAP, CCAP1982_LOCUS20660|CAD7012575.1|CCAP
OG0001411	LOC108032231|XP_016961583.1|DBIA	CCAP1982_LOCUS2759|CAD6993975.1|CCAP
OG0001412	LOC108034318|XP_016964677.1|DBIA, LOC108033670|XP_016963605.1|DBIA	CCAP1982_LOCUS8110|CAD6999586.1|CCAP
