Orthogroup	DBIA.longest_only	CPIP.longest_only
OG0001442	LOC108033311|XP_016963075.1|DBIA	LOC120427068|XP_039447841.1|CPIP, LOC120427658|XP_039448466.1|CPIP
OG0001443	LOC108025295|XP_016951173.1|DBIA	LOC120423825|XP_039443688.1|CPIP, LOC120423842|XP_039443724.1|CPIP
OG0001444	LOC108031884|XP_016961137.1|DBIA	LOC120428670|XP_039449654.1|CPIP
OG0001445	LOC108024980|XP_016950716.1|DBIA	LOC120424257|XP_039444254.1|CPIP
OG0001446	LOC108031838|XP_016961077.1|DBIA	LOC120430963|XP_039452028.1|CPIP
OG0001447	LOC108025313|XP_016951202.1|DBIA	LOC120427887|XP_039448754.1|CPIP
OG0001448	LOC108025424|XP_016951397.1|DBIA	LOC120429751|XP_039450734.1|CPIP, LOC120417052|XP_039434943.1|CPIP, LOC120424741|XP_039444869.1|CPIP, LOC120430812|XP_039451868.1|CPIP
OG0001449	LOC108036630|XP_016968393.1|DBIA	LOC120428729|XP_039449739.1|CPIP
OG0001450	LOC108021912|XP_016946221.1|DBIA	LOC120424423|XP_039444466.1|CPIP
OG0001451	LOC108029946|XP_016957938.1|DBIA	LOC120422395|XP_039441749.1|CPIP, LOC120422872|XP_039442353.1|CPIP
OG0001452	LOC108026714|XP_016953306.1|DBIA	LOC120419494|XP_039438117.1|CPIP
OG0001453	LOC108028668|XP_016956090.1|DBIA	LOC120427570|XP_039448379.1|CPIP, LOC120427569|XP_039448378.1|CPIP
OG0001454	LOC108031776|XP_016960974.1|DBIA	LOC120424555|XP_039444656.1|CPIP, LOC120426208|XP_039446853.1|CPIP
OG0001455	LOC108035096|XP_016966006.1|DBIA	LOC120426125|XP_039446762.1|CPIP
OG0001456	LOC108022438|XP_016946812.1|DBIA	LOC120425567|XP_039446068.1|CPIP
OG0001457	LOC108030014|XP_016958018.1|DBIA	LOC120426222|XP_039446891.1|CPIP
OG0001458	LOC108022164|XP_016946497.1|DBIA	LOC120422324|XP_039441651.1|CPIP, LOC120422320|XP_039441641.1|CPIP
OG0001459	LOC108028823|XP_016956298.1|DBIA	LOC120419019|XP_039437520.1|CPIP, LOC120415743|XP_039433278.1|CPIP
OG0001460	LOC108030078|XP_016958180.1|DBIA	LOC120423182|XP_039442809.1|CPIP
OG0001461	LOC108024220|XP_016949575.1|DBIA	LOC120428615|XP_039449592.1|CPIP
OG0001462	LOC108035050|XP_016965918.1|DBIA	LOC120413219|XP_039429879.1|CPIP, LOC120413220|XP_039429880.1|CPIP
OG0001464	LOC108023425|XP_016948400.1|DBIA	LOC120418919|XP_039437384.1|CPIP
OG0001465	LOC108036666|XP_016968436.1|DBIA	LOC120421533|XP_039440686.1|CPIP
OG0001466	LOC108033928|XP_016964095.1|DBIA	LOC120420371|XP_039439305.1|CPIP
OG0001467	LOC108033604|XP_016963446.1|DBIA	LOC120417251|XP_039435143.1|CPIP, LOC120416542|XP_039434199.1|CPIP
OG0001468	LOC108031320|XP_016960060.1|DBIA	LOC120414487|XP_039431616.1|CPIP
OG0001469	LOC108036908|XP_016968801.1|DBIA	LOC120430836|XP_039451884.1|CPIP, LOC120430387|XP_039451425.1|CPIP
OG0001470	LOC108028829|XP_016956307.1|DBIA	LOC120420926|XP_039439988.1|CPIP, LOC120420927|XP_039439990.1|CPIP
OG0001471	LOC108029439|XP_016957180.1|DBIA	LOC120418991|XP_039437471.1|CPIP
OG0001472	LOC108035009|XP_016965841.1|DBIA	LOC120419516|XP_039438150.1|CPIP
OG0001473	LOC108024939|XP_016950629.1|DBIA	LOC120413378|XP_039430110.1|CPIP, LOC120413379|XP_039430112.1|CPIP
OG0001476	LOC108035801|XP_016967031.1|DBIA	LOC120432010|XP_039453077.1|CPIP, LOC120429681|XP_039450646.1|CPIP
OG0001477	LOC108025514|XP_016951524.1|DBIA	LOC120414675|XP_039431894.1|CPIP
OG0001478	LOC108029083|XP_016956659.1|DBIA	LOC120427693|XP_039448524.1|CPIP, LOC120412642|XP_039429130.1|CPIP
OG0001480	LOC108023049|XP_016947782.1|DBIA, LOC108029168|XP_016956802.1|DBIA	LOC120415680|XP_039433201.1|CPIP
OG0001481	LOC108033701|XP_016963696.1|DBIA	LOC120413612|XP_039430450.1|CPIP
OG0001482	LOC108036298|XP_016967798.1|DBIA	LOC120413101|XP_039429740.1|CPIP
OG0001483	LOC108027477|XP_016954409.1|DBIA, LOC108031570|XP_016960619.1|DBIA, LOC108031583|XP_016960644.1|DBIA, LOC108027554|XP_016954512.1|DBIA, LOC108033085|XP_016962770.1|DBIA, LOC108027559|XP_016954526.1|DBIA	LOC120425908|XP_039446462.1|CPIP
OG0001484	LOC108033537|XP_016963374.1|DBIA	LOC120422504|XP_039441892.1|CPIP
OG0001485	LOC108035951|XP_016967243.1|DBIA	LOC120413565|XP_039430378.1|CPIP, LOC120413515|XP_039430308.1|CPIP, LOC120413557|XP_039430371.1|CPIP
OG0001486	LOC108036694|XP_016968472.1|DBIA, LOC108036783|XP_016968614.1|DBIA	LOC120423096|XP_039442708.1|CPIP
OG0001487	LOC108023841|XP_016948974.1|DBIA	LOC120421136|XP_039440234.1|CPIP
OG0001488	LOC108029373|XP_016957090.1|DBIA	LOC120419011|XP_039437511.1|CPIP
OG0001489	LOC108032523|XP_016961851.1|DBIA	LOC120418014|XP_039436193.1|CPIP
OG0001490	LOC108027796|XP_016954856.1|DBIA	LOC120423401|XP_039443134.1|CPIP
OG0001491	LOC108029078|XP_016956649.1|DBIA	LOC120420492|XP_039439472.1|CPIP
OG0001492	LOC108033598|XP_016963439.1|DBIA, LOC108036850|XP_016968714.1|DBIA	LOC120429073|XP_039450154.1|CPIP
OG0001493	LOC108024242|XP_016949612.1|DBIA	LOC120414354|XP_039431449.1|CPIP
OG0001494	LOC108021998|XP_016946327.1|DBIA	LOC120416197|XP_039433816.1|CPIP, LOC120416193|XP_039433811.1|CPIP, LOC120416187|XP_039433805.1|CPIP, LOC120416179|XP_039433798.1|CPIP, LOC120416195|XP_039433813.1|CPIP
OG0001495	LOC108029687|XP_016957632.1|DBIA	LOC120420012|XP_039438851.1|CPIP, LOC120422247|XP_039441574.1|CPIP
OG0001496	LOC108030389|XP_016958764.1|DBIA, LOC108023796|XP_016948925.1|DBIA	LOC120417150|XP_039435068.1|CPIP
OG0001497	LOC108036650|XP_016968419.1|DBIA	LOC120414826|XP_039432087.1|CPIP
OG0001500	LOC108030174|XP_016958403.1|DBIA	LOC120413984|XP_039430924.1|CPIP
OG0001501	LOC108031179|XP_016959888.1|DBIA	LOC120421498|XP_039440651.1|CPIP, LOC120421520|XP_039440672.1|CPIP
OG0001502	LOC108030213|XP_016958469.1|DBIA	LOC120418275|XP_039436528.1|CPIP, LOC120422754|XP_039442233.1|CPIP
OG0001503	LOC108030330|XP_016958677.1|DBIA	LOC120419561|XP_039438218.1|CPIP
OG0001504	LOC108023402|XP_016948341.1|DBIA	LOC120415019|XP_039432316.1|CPIP
OG0001506	LOC108029642|XP_016957540.1|DBIA	LOC120424251|XP_039444250.1|CPIP
OG0001507	LOC108022676|XP_016947236.1|DBIA	LOC120421584|XP_039440749.1|CPIP, LOC120425814|XP_039446365.1|CPIP
OG0001508	LOC108029690|XP_016957639.1|DBIA	LOC120427764|XP_039448609.1|CPIP
OG0001509	LOC108022225|XP_016946571.1|DBIA	LOC120428519|XP_039449476.1|CPIP, LOC120431155|XP_039452229.1|CPIP
OG0001510	LOC108027428|XP_016954367.1|DBIA	LOC120429989|XP_039451016.1|CPIP, LOC120428239|XP_039449152.1|CPIP
OG0001511	LOC108022910|XP_016947606.1|DBIA	LOC120415119|XP_039432471.1|CPIP
OG0001512	LOC108028037|XP_016955163.1|DBIA	LOC120423805|XP_039443656.1|CPIP, LOC120423806|XP_039443657.1|CPIP
OG0001513	LOC108030804|XP_016959377.1|DBIA	LOC120423811|XP_039443665.1|CPIP
OG0001515	LOC108024252|XP_016949624.1|DBIA	LOC120413929|XP_039430852.1|CPIP
OG0001533	LOC108033477|XP_016963304.1|DBIA	LOC120427707|XP_039448539.1|CPIP
OG0001534	LOC108023337|XP_016948163.1|DBIA	LOC120422462|XP_039441840.1|CPIP
OG0001535	LOC108027519|XP_016954450.1|DBIA	LOC120430582|XP_039451626.1|CPIP
OG0001536	LOC108023761|XP_016948891.1|DBIA	LOC120420167|XP_039439067.1|CPIP, LOC120420202|XP_039439123.1|CPIP
OG0001537	LOC108029289|XP_016956976.1|DBIA	LOC120427218|XP_039448013.1|CPIP
OG0001538	LOC108035807|XP_016967069.1|DBIA	LOC120430775|XP_039451824.1|CPIP
OG0001539	LOC108022454|XP_016946851.1|DBIA	LOC120430692|XP_039451733.1|CPIP
OG0001540	LOC108029118|XP_016956720.1|DBIA	LOC120431926|XP_039452997.1|CPIP, LOC120413743|XP_039430602.1|CPIP
OG0001541	LOC108030761|XP_016959301.1|DBIA	LOC120427969|XP_039448859.1|CPIP
OG0001542	LOC108031873|XP_016961121.1|DBIA	LOC120419629|XP_039438316.1|CPIP
OG0001545	LOC108033217|XP_016962968.1|DBIA	LOC120420405|XP_039439351.1|CPIP
OG0001546	LOC108033161|XP_016962880.1|DBIA	LOC120420415|XP_039439367.1|CPIP, LOC120420408|XP_039439360.1|CPIP
OG0001547	LOC108025598|XP_016951623.1|DBIA	LOC120418084|XP_039436276.1|CPIP, LOC120419862|XP_039438631.1|CPIP
OG0001548	LOC108033157|XP_016962874.1|DBIA	LOC120429690|XP_039450657.1|CPIP
OG0001549	LOC108033871|XP_016964169.1|DBIA	LOC120424957|XP_039445244.1|CPIP, LOC120424955|XP_039445242.1|CPIP
OG0001551	LOC108031959|XP_016961237.1|DBIA	LOC120431897|XP_039452965.1|CPIP, LOC120432103|XP_039453173.1|CPIP
OG0001552	LOC108032046|XP_016961348.1|DBIA	LOC120423845|XP_039443725.1|CPIP
OG0001553	LOC108025937|XP_016952125.1|DBIA	LOC120431180|XP_039452251.1|CPIP
OG0001554	LOC108031798|XP_016961005.1|DBIA	LOC120422141|XP_039441446.1|CPIP
OG0001555	LOC108034249|XP_016964590.1|DBIA	LOC120426950|XP_039447709.1|CPIP, LOC120415949|XP_039433530.1|CPIP
OG0001556	LOC108030357|XP_016958713.1|DBIA	LOC120420074|XP_039438931.1|CPIP
OG0001557	LOC108032715|XP_016962223.1|DBIA	LOC120423713|XP_039443551.1|CPIP, LOC120413069|XP_039429706.1|CPIP
OG0001558	LOC108025841|XP_016951992.1|DBIA	LOC120418363|XP_039436657.1|CPIP
OG0001559	LOC108026424|XP_016952845.1|DBIA	LOC120418338|XP_039436611.1|CPIP
OG0001560	LOC108027224|XP_016954042.1|DBIA	LOC120423422|XP_039443159.1|CPIP
OG0001562	LOC108033714|XP_016963736.1|DBIA	LOC120422327|XP_039441656.1|CPIP, LOC120423807|XP_039443662.1|CPIP, LOC120422326|XP_039441655.1|CPIP
OG0001563	LOC108025184|XP_016951024.1|DBIA, LOC108028868|XP_016956348.1|DBIA	LOC120425403|XP_039445850.1|CPIP
OG0001564	LOC108031484|XP_016960449.1|DBIA	LOC120423960|XP_039443877.1|CPIP
OG0001565	LOC108031679|XP_016960810.1|DBIA	LOC120432036|XP_039453105.1|CPIP, LOC120422030|XP_039441289.1|CPIP, LOC120426396|XP_039447084.1|CPIP
OG0001566	LOC108024852|XP_016950483.1|DBIA	LOC120424628|XP_039444728.1|CPIP, LOC120424676|XP_039444785.1|CPIP
OG0001567	LOC108022410|XP_016946784.1|DBIA, LOC108022081|XP_016946414.1|DBIA	LOC120425062|XP_039445369.1|CPIP
OG0001569	LOC108031134|XP_016959837.1|DBIA	LOC120425071|XP_039445381.1|CPIP
OG0001570	LOC108031039|XP_016959728.1|DBIA, LOC108031040|XP_016959729.1|DBIA, LOC108031041|XP_016959730.1|DBIA, LOC108031239|XP_016959963.1|DBIA	LOC120423532|XP_039443313.1|CPIP
OG0001571	LOC108034302|XP_016964654.1|DBIA	LOC120428538|XP_039449503.1|CPIP
OG0001572	LOC108025885|XP_016952050.1|DBIA	LOC120417836|XP_039435989.1|CPIP, LOC120417834|XP_039435983.1|CPIP
OG0001573	LOC108035189|XP_016966163.1|DBIA	LOC120414196|XP_039431211.1|CPIP
OG0001574	LOC108023662|XP_016948772.1|DBIA	LOC120432655|XP_039453832.1|CPIP, LOC120422639|XP_039442071.1|CPIP
OG0001575	LOC108026167|XP_016952411.1|DBIA	LOC120429956|XP_039450984.1|CPIP
OG0001576	LOC108024871|XP_016950505.1|DBIA	LOC120415204|XP_039432593.1|CPIP
OG0001577	LOC108025283|XP_016951148.1|DBIA	LOC120416488|XP_039434141.1|CPIP
OG0001579	LOC108023977|XP_016949191.1|DBIA	LOC120412384|XP_039428753.1|CPIP
OG0001580	LOC108036501|XP_016968188.1|DBIA	LOC120421525|XP_039440677.1|CPIP
OG0001581	LOC108023429|XP_016948406.1|DBIA	LOC120418536|XP_039436906.1|CPIP
OG0001582	LOC108023086|XP_016947828.1|DBIA	LOC120417638|XP_039435685.1|CPIP
OG0001583	LOC108036346|XP_016967907.1|DBIA	LOC120424971|XP_039445260.1|CPIP
OG0001584	LOC108028323|XP_016955549.1|DBIA	LOC120427114|XP_039447898.1|CPIP
OG0001586	LOC108028512|XP_016955883.1|DBIA	LOC120429820|XP_039450813.1|CPIP
OG0001587	LOC108023826|XP_016948964.1|DBIA	LOC120421380|XP_039440510.1|CPIP
OG0001588	LOC108030410|XP_016958785.1|DBIA	LOC120422162|XP_039441470.1|CPIP
OG0001593	LOC108034176|XP_016964477.1|DBIA	LOC120428086|XP_039449002.1|CPIP
OG0001594	LOC108027660|XP_016954665.1|DBIA	LOC120425843|XP_039446396.1|CPIP
OG0001595	LOC108030292|XP_016958614.1|DBIA	LOC120430195|XP_039451210.1|CPIP, LOC120415674|XP_039433192.1|CPIP
OG0001596	LOC108032690|XP_016962154.1|DBIA	LOC120418288|XP_039436549.1|CPIP, LOC120426792|XP_039447505.1|CPIP
OG0001597	LOC108022044|XP_016946377.1|DBIA	LOC120419202|XP_039437807.1|CPIP
OG0001598	LOC108032615|XP_016962040.1|DBIA	LOC120413529|XP_039430335.1|CPIP
OG0001599	LOC108034066|XP_016964310.1|DBIA	LOC120413554|XP_039430367.1|CPIP, LOC120431163|XP_039452237.1|CPIP, LOC120413567|XP_039430381.1|CPIP
OG0001600	LOC108029147|XP_016956765.1|DBIA	LOC120420138|XP_039439026.1|CPIP
OG0001601	LOC108021859|XP_016946137.1|DBIA	LOC120414106|XP_039431064.1|CPIP
OG0001602	LOC108032776|XP_016962267.1|DBIA	LOC120414103|XP_039431061.1|CPIP
OG0001603	LOC108032771|XP_016962261.1|DBIA	LOC120414749|XP_039432000.1|CPIP, LOC120414764|XP_039432012.1|CPIP
OG0001604	LOC108023529|XP_016948582.1|DBIA	LOC120413129|XP_039429768.1|CPIP
OG0001605	LOC108029782|XP_016957780.1|DBIA	LOC120413091|XP_039429732.1|CPIP
OG0001606	LOC108036438|XP_016968111.1|DBIA	LOC120416330|XP_039433994.1|CPIP
OG0001607	LOC108035079|XP_016965979.1|DBIA	LOC120418969|XP_039437448.1|CPIP
OG0001608	LOC108034024|XP_016964252.1|DBIA	LOC120427864|XP_039448726.1|CPIP
OG0001609	LOC108026568|XP_016953009.1|DBIA	LOC120420820|XP_039439874.1|CPIP
OG0001610	LOC108032706|XP_016962174.1|DBIA, LOC108033011|XP_016962627.1|DBIA	LOC120428576|XP_039449546.1|CPIP
OG0001611	LOC108033999|XP_016964216.1|DBIA	LOC120420604|XP_039439616.1|CPIP
OG0001612	LOC108036074|XP_016967510.1|DBIA	LOC120419183|XP_039437785.1|CPIP
OG0001613	LOC108034234|XP_016964570.1|DBIA	LOC120416790|XP_039434590.1|CPIP, LOC120416799|XP_039434609.1|CPIP
OG0001614	LOC108036613|XP_016968365.1|DBIA	LOC120422521|XP_039441909.1|CPIP
OG0001615	LOC108031632|XP_016960729.1|DBIA, LOC108035856|XP_016967091.1|DBIA	LOC120419796|XP_039438566.1|CPIP
OG0001616	LOC108034133|XP_016964411.1|DBIA	LOC120423118|XP_039442730.1|CPIP
OG0001617	LOC108032584|XP_016961978.1|DBIA	LOC120432444|XP_039453594.1|CPIP
OG0001618	LOC108034349|XP_016964724.1|DBIA	LOC120414795|XP_039432045.1|CPIP
OG0001619	LOC108032694|XP_016962157.1|DBIA	LOC120428738|XP_039449747.1|CPIP, LOC120428155|XP_039449072.1|CPIP, LOC120414547|XP_039431695.1|CPIP
OG0001620	LOC108026913|XP_016953611.1|DBIA	LOC120429789|XP_039450783.1|CPIP
OG0001621	LOC108036301|XP_016967801.1|DBIA	LOC120432437|XP_039453589.1|CPIP
OG0001622	LOC108023193|XP_016947933.1|DBIA	LOC120432427|XP_039453566.1|CPIP, LOC120418668|XP_039437055.1|CPIP
OG0001623	LOC108029132|XP_016956744.1|DBIA	LOC120420521|XP_039439520.1|CPIP
OG0001624	LOC108033837|XP_016963953.1|DBIA	LOC120423390|XP_039443109.1|CPIP
OG0001625	LOC108033916|XP_016964076.1|DBIA	LOC120423393|XP_039443115.1|CPIP, LOC120423414|XP_039443148.1|CPIP
OG0001626	LOC108036806|XP_016968642.1|DBIA	LOC120414851|XP_039432111.1|CPIP
OG0001627	LOC108031695|XP_016960841.1|DBIA	LOC120432366|XP_039453493.1|CPIP, LOC120414733|XP_039431979.1|CPIP
OG0001628	LOC108025174|XP_016950941.1|DBIA	LOC120427953|XP_039448839.1|CPIP, LOC120426132|XP_039446769.1|CPIP
OG0001630	LOC108026314|XP_016952690.1|DBIA	LOC120413746|XP_039430604.1|CPIP
OG0001631	LOC108032927|XP_016962485.1|DBIA	LOC120422096|XP_039441377.1|CPIP
OG0001632	LOC108032620|XP_016962047.1|DBIA	LOC120412941|XP_039429512.1|CPIP
OG0001633	LOC108024627|XP_016950156.1|DBIA	LOC120424393|XP_039444425.1|CPIP
OG0001635	LOC108025053|XP_016950799.1|DBIA	LOC120421493|XP_039440646.1|CPIP, LOC120421517|XP_039440669.1|CPIP
OG0001636	LOC108027058|XP_016953756.1|DBIA	LOC120421751|XP_039440961.1|CPIP, LOC120421508|XP_039440662.1|CPIP
OG0001637	LOC108031606|XP_016960676.1|DBIA	LOC120425675|XP_039446192.1|CPIP, LOC120425682|XP_039446199.1|CPIP
OG0001638	LOC108023518|XP_016948554.1|DBIA	LOC120418263|XP_039436514.1|CPIP, LOC120422746|XP_039442223.1|CPIP
OG0001640	LOC108027324|XP_016954220.1|DBIA	LOC120419431|XP_039438043.1|CPIP
OG0001641	LOC108025068|XP_016950814.1|DBIA	LOC120426911|XP_039447651.1|CPIP, LOC120429731|XP_039450717.1|CPIP, LOC120423165|XP_039442780.1|CPIP
OG0001642	LOC108024045|XP_016949310.1|DBIA	LOC120419434|XP_039438047.1|CPIP
OG0001643	LOC108036767|XP_016968596.1|DBIA	LOC120429849|XP_039450856.1|CPIP, LOC120429588|XP_039450559.1|CPIP, LOC120424595|XP_039444692.1|CPIP
OG0001644	LOC108028766|XP_016956230.1|DBIA	LOC120426488|XP_039447190.1|CPIP
OG0001645	LOC108022746|XP_016947326.1|DBIA	LOC120418465|XP_039436834.1|CPIP
OG0001646	LOC108022856|XP_016947519.1|DBIA	LOC120424451|XP_039444526.1|CPIP
OG0001647	LOC108030033|XP_016958082.1|DBIA	LOC120424726|XP_039444847.1|CPIP
OG0001648	LOC108035064|XP_016965942.1|DBIA	LOC120414035|XP_039430991.1|CPIP
OG0001649	LOC108036527|XP_016968234.1|DBIA	LOC120430247|XP_039451262.1|CPIP
OG0001650	LOC108036522|XP_016968222.1|DBIA	LOC120412727|XP_039429247.1|CPIP
OG0001651	LOC108026813|XP_016953467.1|DBIA	LOC120419314|XP_039437917.1|CPIP, LOC120430523|XP_039451573.1|CPIP
OG0001652	LOC108028564|XP_016955959.1|DBIA	LOC120412353|XP_039428701.1|CPIP
OG0001653	LOC108030847|XP_016959474.1|DBIA	LOC120416809|XP_039434617.1|CPIP
OG0001654	LOC108022511|XP_016946969.1|DBIA	LOC120426496|XP_039447199.1|CPIP
OG0001655	LOC108036320|XP_016967822.1|DBIA	LOC120420338|XP_039439267.1|CPIP
OG0001656	LOC108027688|XP_016954725.1|DBIA	LOC120423728|XP_039443568.1|CPIP
OG0001657	LOC108030683|XP_016959205.1|DBIA	LOC120422234|XP_039441552.1|CPIP
OG0001658	LOC108035338|XP_016966412.1|DBIA	LOC120431660|XP_039452701.1|CPIP, LOC120422225|XP_039441544.1|CPIP
OG0001659	LOC108035167|XP_016966118.1|DBIA, LOC108034392|XP_016964763.1|DBIA	LOC120423689|XP_039443515.1|CPIP
OG0001661	LOC108032252|XP_016961606.1|DBIA	LOC120414638|XP_039431808.1|CPIP
OG0001662	LOC108035319|XP_016966383.1|DBIA	LOC120413243|XP_039429906.1|CPIP
OG0001665	LOC108022143|XP_016946474.1|DBIA	LOC120414937|XP_039432202.1|CPIP
OG0001666	LOC108034694|XP_016965127.1|DBIA	LOC120418637|XP_039437016.1|CPIP
OG0001678	LOC108023441|XP_016948419.1|DBIA	LOC120419284|XP_039437885.1|CPIP
OG0001679	LOC108036359|XP_016967930.1|DBIA	LOC120432273|XP_039453389.1|CPIP, LOC120432259|XP_039453374.1|CPIP
OG0001680	LOC108022023|XP_016946357.1|DBIA	LOC120418132|XP_039436345.1|CPIP
OG0001681	LOC108023732|XP_016948858.1|DBIA	LOC120424011|XP_039443959.1|CPIP, LOC120419710|XP_039438431.1|CPIP
OG0001682	LOC108023169|XP_016947900.1|DBIA	LOC120432300|XP_039453421.1|CPIP
OG0001683	LOC108036116|XP_016967584.1|DBIA	LOC120431556|XP_039452597.1|CPIP
OG0001684	LOC108036003|XP_016967386.1|DBIA	LOC120420164|XP_039439064.1|CPIP
OG0001685	LOC108034222|XP_016964553.1|DBIA	LOC120414662|XP_039431865.1|CPIP, LOC120415701|XP_039433226.1|CPIP
OG0001686	LOC108035793|XP_016967021.1|DBIA	LOC120423038|XP_039442630.1|CPIP
OG0001687	LOC108023270|XP_016948044.1|DBIA	LOC120429378|XP_039450484.1|CPIP, LOC120428917|XP_039450024.1|CPIP
OG0001688	LOC108036164|XP_016967647.1|DBIA	LOC120417713|XP_039435798.1|CPIP
OG0001689	LOC108036230|XP_016967732.1|DBIA	LOC120417698|XP_039435777.1|CPIP
OG0001690	LOC108028341|XP_016955581.1|DBIA	LOC120427975|XP_039448865.1|CPIP
OG0001691	LOC108036811|XP_016968649.1|DBIA	LOC120412506|XP_039428944.1|CPIP
OG0001692	LOC108031466|XP_016960394.1|DBIA	LOC120429639|XP_039450600.1|CPIP, LOC120414156|XP_039431130.1|CPIP
OG0001694	LOC108024696|XP_016950267.1|DBIA	LOC120415614|XP_039433143.1|CPIP, LOC120430709|XP_039451751.1|CPIP
OG0001695	LOC108030429|XP_016958805.1|DBIA	LOC120427808|XP_039448667.1|CPIP, LOC120419865|XP_039438650.1|CPIP, LOC120418082|XP_039436274.1|CPIP
OG0001696	LOC108024776|XP_016950378.1|DBIA	LOC120424936|XP_039445172.1|CPIP
OG0001696	LOC108025039|XP_016950784.1|DBIA	LOC120429492|XP_039450498.1|CPIP
OG0001700	LOC108024538|XP_016949995.1|DBIA	LOC120413748|XP_039430614.1|CPIP, LOC120413786|XP_039430669.1|CPIP
OG0001701	LOC108027331|XP_016954232.1|DBIA	LOC120422133|XP_039441441.1|CPIP
OG0001702	LOC108034034|XP_016964272.1|DBIA	LOC120418959|XP_039437436.1|CPIP
OG0001703	LOC108032130|XP_016961452.1|DBIA	LOC120431818|XP_039452875.1|CPIP
OG0001704	LOC108031113|XP_016959814.1|DBIA	LOC120432144|XP_039453211.1|CPIP
OG0001705	LOC108025439|XP_016951419.1|DBIA	LOC120431584|XP_039452629.1|CPIP
OG0001706	LOC108026721|XP_016953324.1|DBIA	LOC120421783|XP_039440987.1|CPIP
OG0001707	LOC108024709|XP_016950289.1|DBIA	LOC120423819|XP_039443675.1|CPIP
OG0001708	LOC108031108|XP_016959807.1|DBIA	LOC120424254|XP_039444252.1|CPIP
OG0001709	LOC108035572|XP_016966732.1|DBIA	LOC120430071|XP_039451096.1|CPIP, LOC120429522|XP_039450525.1|CPIP, LOC120421807|XP_039441018.1|CPIP
OG0001710	LOC108032026|XP_016961325.1|DBIA	LOC120421118|XP_039440212.1|CPIP, LOC120422581|XP_039442004.1|CPIP
OG0001711	LOC108031591|XP_016960651.1|DBIA	LOC120430053|XP_039451082.1|CPIP, LOC120431438|XP_039452490.1|CPIP, LOC120432002|XP_039453068.1|CPIP, LOC120427890|XP_039448758.1|CPIP
OG0001712	LOC108026148|XP_016952371.1|DBIA	LOC120420722|XP_039439754.1|CPIP
OG0001713	LOC108024506|XP_016949941.1|DBIA	LOC120425504|XP_039445987.1|CPIP
OG0001714	LOC108032896|XP_016962423.1|DBIA	LOC120429283|XP_039450438.1|CPIP, LOC120428367|XP_039449304.1|CPIP
OG0001715	LOC108033219|XP_016962971.1|DBIA	LOC120412901|XP_039429467.1|CPIP
OG0001716	LOC108024046|XP_016949311.1|DBIA	LOC120427410|XP_039448208.1|CPIP
OG0001717	LOC108025272|XP_016951122.1|DBIA	LOC120424680|XP_039444790.1|CPIP, LOC120424622|XP_039444721.1|CPIP
OG0001718	LOC108031525|XP_016960538.1|DBIA	LOC120432527|XP_039453679.1|CPIP
OG0001719	LOC108024647|XP_016950188.1|DBIA	LOC120422589|XP_039442014.1|CPIP
OG0001722	LOC108030587|XP_016959045.1|DBIA	LOC120427608|XP_039448418.1|CPIP
OG0001723	LOC108030716|XP_016959246.1|DBIA	LOC120426984|XP_039447737.1|CPIP, LOC120419737|XP_039438472.1|CPIP
OG0001724	LOC108026674|XP_016953237.1|DBIA	LOC120419483|XP_039438100.1|CPIP
OG0001725	LOC108022797|XP_016947420.1|DBIA	LOC120429768|XP_039450757.1|CPIP
OG0001726	LOC108028467|XP_016955815.1|DBIA	LOC120416559|XP_039434224.1|CPIP, LOC120415184|XP_039432575.1|CPIP
OG0001727	LOC108031835|XP_016961073.1|DBIA	LOC120429045|XP_039450121.1|CPIP, LOC120423654|XP_039443470.1|CPIP, LOC120420428|XP_039439385.1|CPIP
OG0001728	LOC108030284|XP_016958603.1|DBIA	LOC120425582|XP_039446089.1|CPIP
OG0001729	LOC108022443|XP_016946833.1|DBIA	LOC120425590|XP_039446103.1|CPIP
OG0001730	LOC108034021|XP_016964245.1|DBIA	LOC120426311|XP_039447006.1|CPIP, LOC120425981|XP_039446572.1|CPIP
OG0001732	LOC108021918|XP_016946234.1|DBIA	LOC120415971|XP_039433554.1|CPIP, LOC120415998|XP_039433587.1|CPIP, LOC120413260|XP_039429922.1|CPIP, LOC120420563|XP_039439569.1|CPIP
OG0001733	LOC108026785|XP_016953433.1|DBIA	LOC120418891|XP_039437357.1|CPIP
OG0001734	LOC108036590|XP_016968338.1|DBIA	LOC120418881|XP_039437349.1|CPIP
OG0001735	LOC108028001|XP_016955118.1|DBIA	LOC120430048|XP_039451078.1|CPIP
OG0001736	LOC108030442|XP_016958823.1|DBIA	LOC120413202|XP_039429852.1|CPIP
OG0001737	LOC108022601|XP_016947124.1|DBIA	LOC120428758|XP_039449774.1|CPIP
OG0001738	LOC108035608|XP_016966782.1|DBIA	LOC120413222|XP_039429882.1|CPIP
OG0001739	LOC108021984|XP_016946313.1|DBIA	LOC120418492|XP_039436864.1|CPIP
OG0001740	LOC108022477|XP_016946917.1|DBIA	LOC120420119|XP_039439002.1|CPIP
OG0001742	LOC108022205|XP_016946548.1|DBIA	LOC120420062|XP_039438910.1|CPIP
OG0001743	LOC108035565|XP_016966722.1|DBIA, LOC108027515|XP_016954447.1|DBIA	LOC120420083|XP_039438946.1|CPIP
