Orthogroup	DSUB.longest_only	CQUI.longest_only
OG0000353	LOC117899202|XP_034664965.1|DSUB	LOC6053768|XP_038115591.1|CQUI
OG0000353	LOC117902638|XP_034670051.1|DSUB	LOC6032433|XP_001843031.1|CQUI
OG0000355	LOC117891105|XP_034652185.1|DSUB, LOC117892437|XP_034654568.1|DSUB	LOC6052795|XP_001868999.1|CQUI, LOC6053794|XP_001869822.2|CQUI
OG0000356	LOC117902257|XP_034669406.1|DSUB, LOC117902254|XP_034669403.1|DSUB	LOC6036029|XP_001846132.2|CQUI, LOC6036024|XP_038108101.1|CQUI
OG0000361	LOC117900157|XP_034666288.1|DSUB, LOC117901763|XP_034668542.1|DSUB	LOC6053088|XP_001869241.2|CQUI
OG0000362	LOC117902966|XP_034670511.1|DSUB	LOC6034794|XP_001845067.1|CQUI
OG0000362	LOC117895354|XP_034658829.1|DSUB	LOC6035685|XP_001845819.1|CQUI
OG0000363	LOC117897733|XP_034662653.1|DSUB	LOC6039378|XP_038117966.1|CQUI
OG0000363	LOC117893562|XP_034656116.1|DSUB	LOC6040951|XP_038117956.1|CQUI
OG0000365	LOC117890979|XP_034652011.1|DSUB	LOC6046162|XP_038120872.1|CQUI
OG0000365	LOC117900502|XP_034666784.1|DSUB	LOC6041372|XP_038113037.1|CQUI
OG0000366	LOC117896792|XP_034661194.1|DSUB	LOC6033823|XP_038120114.1|CQUI
OG0000366	LOC117899469|XP_034665377.1|DSUB	LOC6052602|XP_038120752.1|CQUI
OG0000367	LOC117895052|XP_034658320.1|DSUB, LOC117890868|XP_034651845.1|DSUB, LOC117889724|XP_034650037.1|DSUB	LOC6042616|XP_038111624.1|CQUI, LOC6042617|XP_038108533.1|CQUI, LOC6042618|XP_038108524.1|CQUI
OG0000368	LOC117895829|XP_034659657.1|DSUB	LOC6034536|XP_038111824.1|CQUI, LOC6034538|XP_001844838.2|CQUI
OG0000376	LOC117903490|XP_034671452.1|DSUB, LOC117903482|XP_034671440.1|DSUB, LOC117900440|XP_034666701.1|DSUB	LOC119765395|XP_038105106.1|CQUI
OG0000377	LOC117903549|XP_034671634.1|DSUB, LOC117896538|XP_034660812.1|DSUB	LOC6038728|XP_001848468.2|CQUI, LOC6039325|XP_038116617.1|CQUI, LOC6039830|XP_001849342.2|CQUI
OG0000378	LOC117891845|XP_034653487.1|DSUB	LOC6037751|XP_001847631.2|CQUI, LOC6034070|XP_001844445.1|CQUI, LOC6034072|XP_001844447.1|CQUI
OG0000379	LOC117892661|XP_034654939.1|DSUB, LOC117892660|XP_034654937.1|DSUB, LOC117891835|XP_034653477.1|DSUB	LOC6054491|XP_038116536.1|CQUI
OG0000380	LOC117891563|XP_034652973.1|DSUB, LOC117892479|XP_034654624.1|DSUB, LOC117895027|XP_034658288.1|DSUB	LOC6050294|XP_001866924.2|CQUI
OG0000381	LOC117900412|XP_034666660.1|DSUB, LOC117902520|XP_034669836.1|DSUB	LOC6034141|XP_038110237.1|CQUI
OG0000382	LOC117895616|XP_034659256.1|DSUB	LOC6033030|XP_001843536.2|CQUI, LOC6032454|XP_001843050.1|CQUI, LOC6033101|XP_001843596.2|CQUI
OG0000383	LOC117902799|XP_034670309.1|DSUB, LOC117902584|XP_034669973.1|DSUB	LOC6047999|XP_001864974.2|CQUI, LOC6031746|XP_038110977.1|CQUI
OG0000384	LOC117891367|XP_034652695.1|DSUB	LOC6043083|XP_001855521.2|CQUI
OG0000384	LOC117892277|XP_034654288.1|DSUB	LOC6052961|XP_038112129.1|CQUI
OG0000385	LOC117897472|XP_034662217.1|DSUB	LOC6033386|XP_038111698.1|CQUI
OG0000385	LOC117894961|XP_034658186.1|DSUB	LOC6034706|XP_001844987.2|CQUI
OG0000386	LOC117895857|XP_034659714.1|DSUB, LOC117897506|XP_034662286.1|DSUB	LOC6051258|XP_001867726.2|CQUI
OG0000389	LOC117896317|XP_034660439.1|DSUB	LOC6044336|XP_038104141.1|CQUI
OG0000389	LOC117893735|XP_034656351.1|DSUB	LOC119768065|XP_038114337.1|CQUI
OG0000390	LOC117902163|XP_034669192.1|DSUB	LOC6051517|XP_038107785.1|CQUI, LOC6051512|XP_038107787.1|CQUI, LOC6043601|XP_038122427.1|CQUI, LOC6033596|XP_038111911.1|CQUI, LOC6033640|XP_001844067.2|CQUI, LOC6033641|XP_038107557.1|CQUI
OG0000391	LOC117890856|XP_034651833.1|DSUB	LOC6035291|XP_038120263.1|CQUI
OG0000391	LOC117891397|XP_034652731.1|DSUB	LOC6044436|XP_038107548.1|CQUI
OG0000392	LOC117901576|XP_034668266.1|DSUB, LOC117901771|XP_034668559.1|DSUB	LOC6031277|XP_038112487.1|CQUI, LOC6040869|XP_038111082.1|CQUI
OG0000393	LOC117902199|XP_034669291.1|DSUB	LOC6051324|XP_038109507.1|CQUI
OG0000393	LOC117902201|XP_034669305.1|DSUB	LOC6037920|XP_038107003.1|CQUI
OG0000394	LOC117903144|XP_034670874.1|DSUB, LOC117903145|XP_034670875.1|DSUB	LOC6045636|XP_001862965.2|CQUI, LOC119769911|XP_038119665.1|CQUI, LOC6042215|XP_001851356.2|CQUI, LOC6031460|XP_001842264.1|CQUI, LOC119767415|XP_038111890.1|CQUI, LOC119767659|XP_038112639.1|CQUI, LOC119769986|XP_038119914.1|CQUI
OG0000395	LOC117894769|XP_034657878.1|DSUB, LOC117893522|XP_034656053.1|DSUB, LOC117894776|XP_034657893.1|DSUB	LOC119766736|XP_038108203.1|CQUI
OG0000399	LOC117896903|XP_034661330.1|DSUB, LOC117896902|XP_034661328.1|DSUB	LOC6049034|XP_038104118.1|CQUI
OG0000400	LOC117903030|XP_034670652.1|DSUB, LOC117903029|XP_034670651.1|DSUB	LOC6040422|XP_038104927.1|CQUI
OG0000401	LOC117893900|XP_034656569.1|DSUB	LOC119770742|XP_038122093.1|CQUI, LOC6045345|XP_001862733.2|CQUI
OG0000402	LOC117903357|XP_034671202.1|DSUB	LOC6044718|XP_038119575.1|CQUI, LOC6047997|XP_001864961.2|CQUI, LOC6035773|XP_001845896.2|CQUI, LOC6053930|XP_001869933.2|CQUI, LOC6053931|XP_001869934.2|CQUI, LOC6053933|XP_038122341.1|CQUI, LOC6053909|XP_038122873.1|CQUI
OG0000404	LOC117897976|XP_034662979.1|DSUB, LOC117897975|XP_034662978.1|DSUB	LOC6054458|XP_001870365.2|CQUI, LOC6035436|XP_038104425.1|CQUI, LOC6035437|XP_001845626.2|CQUI, LOC6035435|XP_038106179.1|CQUI, LOC6035438|XP_038123010.1|CQUI, LOC6035440|XP_038105339.1|CQUI, LOC6035439|XP_038123023.1|CQUI
OG0000405	LOC117898907|XP_034664490.1|DSUB	LOC6040923|XP_001850251.2|CQUI
OG0000405	LOC117901796|XP_034668598.1|DSUB, LOC117896128|XP_034660076.1|DSUB	LOC6040924|XP_001850252.2|CQUI
OG0000406	LOC117893571|XP_034656133.1|DSUB, LOC117890780|XP_034651742.1|DSUB	LOC6045472|XP_038119856.1|CQUI, LOC6034068|XP_001844444.1|CQUI
OG0000407	LOC117895239|XP_034658639.1|DSUB, LOC117895366|XP_034658844.1|DSUB	LOC6033066|XP_038117490.1|CQUI
OG0000407	LOC117895365|XP_034658840.1|DSUB	LOC6054107|XP_038118605.1|CQUI
OG0000408	LOC117896860|XP_034661280.1|DSUB, LOC117901988|XP_034668889.1|DSUB	LOC119765130|XP_038104238.1|CQUI
OG0000409	LOC117890143|XP_034650722.1|DSUB, LOC117891773|XP_034653327.1|DSUB	LOC6050527|XP_038113781.1|CQUI
OG0000410	LOC117901463|XP_034668111.1|DSUB	LOC6036181|XP_038113692.1|CQUI
OG0000411	LOC117898376|XP_034663608.1|DSUB	LOC6038155|XP_001847988.1|CQUI
OG0000411	LOC117901893|XP_034668745.1|DSUB	LOC6048269|XP_001865212.1|CQUI
OG0000412	LOC117891981|XP_034653747.1|DSUB, LOC117893015|XP_034655262.1|DSUB	LOC6046234|XP_038120897.1|CQUI, LOC6046235|XP_001863463.1|CQUI
OG0000413	LOC117899156|XP_034664896.1|DSUB, LOC117899164|XP_034664913.1|DSUB, LOC117898759|XP_034664274.1|DSUB	LOC6042051|XP_038120468.1|CQUI
OG0000414	LOC117890475|XP_034651229.1|DSUB	LOC6045442|XP_038106424.1|CQUI, LOC6045443|XP_038109329.1|CQUI
OG0000415	LOC117892016|XP_034653799.1|DSUB, LOC117892015|XP_034653798.1|DSUB	LOC6034217|XP_001844570.1|CQUI
OG0000416	LOC117889639|XP_034649988.1|DSUB	LOC6052843|XP_001869039.2|CQUI
OG0000417	LOC117897621|XP_034662478.1|DSUB	LOC6036777|XP_038113609.1|CQUI
OG0000417	LOC117897750|XP_034662680.1|DSUB	LOC6045382|XP_038122609.1|CQUI
OG0000418	LOC117889852|XP_034650246.1|DSUB, LOC117899642|XP_034665704.1|DSUB	LOC6051484|XP_001867920.1|CQUI, LOC6051483|XP_001867919.2|CQUI
OG0000419	LOC117891270|XP_034652535.1|DSUB	LOC6042303|XP_001851438.1|CQUI
OG0000421	LOC117900085|XP_034666181.1|DSUB	LOC6035780|XP_038108560.1|CQUI
OG0000421	LOC117902049|XP_034669006.1|DSUB	LOC6033111|XP_038111263.1|CQUI
OG0000422	LOC117896311|XP_034660427.1|DSUB	LOC6034864|XP_038111635.1|CQUI, LOC6034865|XP_001845135.2|CQUI, LOC6040477|XP_001849863.2|CQUI
OG0000423	LOC117890165|XP_034650752.1|DSUB, LOC117890166|XP_034650753.1|DSUB	LOC6043479|XP_001859363.2|CQUI, LOC6043483|XP_001859378.1|CQUI, LOC6043484|XP_001859368.2|CQUI
OG0000424	LOC117890903|XP_034651889.1|DSUB	LOC6032379|XP_038109405.1|CQUI
OG0000425	LOC117892103|XP_034654002.1|DSUB	LOC6051878|XP_038111177.1|CQUI
OG0000425	LOC117891983|XP_034653750.1|DSUB	LOC6049711|XP_038113311.1|CQUI
OG0000426	LOC117892067|XP_034653945.1|DSUB	LOC6043942|XP_001861525.2|CQUI
OG0000429	LOC117889707|XP_034650019.1|DSUB	LOC6048181|XP_001865138.2|CQUI
OG0000433	LOC117889594|XP_034649895.1|DSUB	LOC6042750|XP_001870760.2|CQUI
OG0000433	LOC117895488|XP_034659069.1|DSUB	LOC6040995|XP_038119615.1|CQUI
OG0000434	LOC117897784|XP_034662724.1|DSUB	LOC6042411|XP_001851531.2|CQUI
OG0000434	LOC117892140|XP_034654069.1|DSUB	LOC119765343|XP_038104983.1|CQUI
OG0000435	LOC117892221|XP_034654216.1|DSUB	LOC6038210|XP_001848042.2|CQUI, LOC6038215|XP_001848044.2|CQUI, LOC6038528|XP_038106285.1|CQUI, LOC6038862|XP_038117185.1|CQUI, LOC6033440|XP_001843891.2|CQUI, LOC6033751|XP_001844161.2|CQUI, LOC6040045|XP_001849517.2|CQUI, LOC6038217|XP_001848046.2|CQUI, LOC6038216|XP_001848045.2|CQUI, LOC6038860|XP_001848565.2|CQUI, LOC6038859|XP_001848564.2|CQUI, LOC6037532|XP_038109452.1|CQUI, LOC6037531|XP_001847431.2|CQUI, LOC6054227|XP_038119514.1|CQUI, LOC6039205|XP_038104995.1|CQUI
OG0000437	LOC117901454|XP_034668094.1|DSUB	LOC6052828|XP_001869024.1|CQUI
OG0000437	LOC117900219|XP_034666394.1|DSUB	LOC6048330|XP_001865266.2|CQUI
OG0000438	LOC117892835|XP_034655082.1|DSUB, LOC117897432|XP_034662161.1|DSUB	LOC6034110|XP_038111570.1|CQUI
OG0000439	LOC117901405|XP_034668030.1|DSUB	LOC6039581|XP_038109671.1|CQUI
OG0000439	LOC117893468|XP_034655982.1|DSUB	LOC6051719|XP_038113453.1|CQUI
OG0000440	LOC117891731|XP_034653215.1|DSUB, LOC117890865|XP_034651843.1|DSUB	LOC6036645|XP_001846671.2|CQUI
OG0000441	LOC117891894|XP_034653588.1|DSUB, LOC117891893|XP_034653587.1|DSUB	LOC6050426|XP_038113065.1|CQUI
OG0000442	LOC117893574|XP_034656136.1|DSUB	LOC6035011|XP_038119411.1|CQUI
OG0000443	LOC117892944|XP_034655158.1|DSUB, LOC117892943|XP_034655157.1|DSUB	LOC6034172|XP_001844528.2|CQUI, LOC6034174|XP_001844529.2|CQUI
OG0000444	LOC117900652|XP_034666976.1|DSUB, LOC117900642|XP_034666964.1|DSUB	LOC6034653|XP_001844941.2|CQUI, LOC6036079|XP_001846172.1|CQUI
OG0000448	LOC117897812|XP_034662752.1|DSUB, LOC117898054|XP_034663108.1|DSUB	LOC6044342|XP_001861872.2|CQUI, LOC6044340|XP_038105584.1|CQUI
OG0000449	LOC117893499|XP_034656026.1|DSUB	LOC6033785|XP_038109492.1|CQUI
OG0000450	LOC117893052|XP_034655327.1|DSUB	LOC6050628|XP_038113806.1|CQUI
OG0000450	LOC117889922|XP_034650342.1|DSUB	LOC6042731|XP_038116979.1|CQUI
OG0000451	LOC117903786|XP_034672102.1|DSUB	LOC6034433|XP_001844750.1|CQUI
OG0000451	LOC117903784|XP_034672101.1|DSUB	LOC6034434|XP_038105282.1|CQUI
OG0000453	LOC117898152|XP_034663241.1|DSUB	LOC6041371|XP_038105173.1|CQUI, LOC6041353|XP_001850627.1|CQUI
OG0000454	LOC117898919|XP_034664518.1|DSUB, LOC117893558|XP_034656111.1|DSUB	LOC6031085|XP_001841933.2|CQUI
OG0000456	LOC117902938|XP_034670433.1|DSUB	LOC6047972|XP_038113525.1|CQUI
OG0000456	LOC117902715|XP_034670168.1|DSUB	LOC6036162|XP_038107996.1|CQUI
OG0000457	LOC117901869|XP_034668716.1|DSUB	LOC6047780|XP_038111522.1|CQUI
OG0000457	LOC117900473|XP_034666743.1|DSUB	LOC6054790|XP_038111518.1|CQUI
OG0000458	LOC117902176|XP_034669210.1|DSUB	LOC119766621|XP_038107556.1|CQUI, LOC6033358|XP_001843821.2|CQUI, LOC6033359|XP_001843822.2|CQUI, LOC6044558|XP_038108730.1|CQUI, LOC6044563|XP_038108731.1|CQUI
OG0000460	LOC117900638|XP_034666959.1|DSUB	LOC6044256|XP_001861795.2|CQUI
OG0000465	LOC117898136|XP_034663221.1|DSUB, LOC117896630|XP_034660962.1|DSUB	LOC119768676|XP_038115066.1|CQUI, LOC6045189|XP_038112218.1|CQUI
OG0000466	LOC117903443|XP_034671366.1|DSUB	LOC6035082|XP_038122526.1|CQUI
OG0000466	LOC117901214|XP_034667772.1|DSUB	LOC6044248|XP_038107808.1|CQUI
OG0000467	LOC117889730|XP_034650042.1|DSUB, LOC117892743|XP_034655058.1|DSUB	LOC6045537|XP_038118816.1|CQUI
OG0000468	LOC117899650|XP_034665720.1|DSUB	LOC6042212|XP_001851353.1|CQUI
OG0000468	LOC117891869|XP_034653526.1|DSUB	LOC6041607|XP_038115266.1|CQUI
OG0000469	LOC117900901|XP_034667343.1|DSUB, LOC117902669|XP_034670090.1|DSUB	LOC6049763|XP_038113824.1|CQUI
OG0000470	LOC117895760|XP_034659523.1|DSUB	LOC6036814|XP_038111507.1|CQUI
OG0000470	LOC117894646|XP_034657709.1|DSUB	LOC6047359|XP_038112314.1|CQUI
OG0000471	LOC117893563|XP_034656123.1|DSUB, LOC117901544|XP_034668226.1|DSUB	LOC6036133|XP_001846226.2|CQUI
OG0000473	LOC117897071|XP_034661581.1|DSUB, LOC117895905|XP_034659789.1|DSUB	LOC6052350|XP_001868639.1|CQUI
OG0000474	LOC117903428|XP_034671342.1|DSUB, LOC117893426|XP_034655934.1|DSUB, LOC117896914|XP_034661343.1|DSUB, LOC117896035|XP_034659935.1|DSUB	LOC6049175|XP_038105811.1|CQUI
OG0000475	LOC117898697|XP_034664203.1|DSUB, LOC117898698|XP_034664206.1|DSUB	LOC6039907|XP_001849405.1|CQUI
OG0000476	LOC117897318|XP_034661977.1|DSUB, LOC117897319|XP_034661978.1|DSUB	LOC6042382|XP_038105827.1|CQUI
OG0000478	LOC117897275|XP_034661895.1|DSUB	LOC6044656|XP_038115788.1|CQUI, LOC6044657|XP_001862137.1|CQUI, LOC6044659|XP_038115789.1|CQUI
OG0000479	LOC117897656|XP_034662529.1|DSUB	LOC6038213|XP_001848039.2|CQUI, LOC6038214|XP_001848040.2|CQUI, LOC6038209|XP_001848041.2|CQUI
OG0000480	LOC117902655|XP_034670074.1|DSUB, LOC117901273|XP_034667858.1|DSUB	LOC6041494|XP_001850745.1|CQUI
OG0000482	LOC117897902|XP_034662872.1|DSUB	LOC6044292|XP_038118091.1|CQUI, LOC6044289|XP_001861821.1|CQUI
OG0000483	LOC117898902|XP_034664475.1|DSUB, LOC117898827|XP_034664384.1|DSUB	LOC6048006|XP_038120391.1|CQUI, LOC6048008|XP_038120760.1|CQUI, LOC6048016|XP_001864979.2|CQUI
OG0000484	LOC117899551|XP_034665530.1|DSUB, LOC117899553|XP_034665533.1|DSUB	LOC6051912|XP_001868269.2|CQUI, LOC6051911|XP_001868268.2|CQUI
OG0000485	LOC117894680|XP_034657748.1|DSUB, LOC117900779|XP_034667151.1|DSUB, LOC117894679|XP_034657747.1|DSUB	LOC6041153|XP_038107076.1|CQUI
OG0000486	LOC117892738|XP_034655054.1|DSUB, LOC117892735|XP_034655051.1|DSUB	LOC6041660|XP_001850887.2|CQUI
OG0000489	LOC117898560|XP_034663936.1|DSUB, LOC117895090|XP_034658381.1|DSUB	LOC6045222|XP_038122215.1|CQUI
OG0000490	LOC117891490|XP_034652865.1|DSUB	LOC6054008|XP_038122876.1|CQUI
OG0000490	LOC117902712|XP_034670170.1|DSUB	LOC6042587|XP_038110786.1|CQUI
OG0000491	LOC117896801|XP_034661191.1|DSUB, LOC117892529|XP_034654724.1|DSUB	LOC6048388|XP_038107947.1|CQUI
OG0000492	LOC117890647|XP_034651491.1|DSUB	LOC6040913|XP_001850241.1|CQUI
OG0000492	LOC117900605|XP_034666910.1|DSUB	LOC6044260|XP_001861799.2|CQUI
OG0000493	LOC117901003|XP_034667491.1|DSUB, LOC117898278|XP_034663424.1|DSUB, LOC117898106|XP_034663181.1|DSUB	LOC6040999|XP_038119325.1|CQUI
OG0000494	LOC117900094|XP_034666204.1|DSUB	LOC119766647|XP_038107694.1|CQUI
OG0000495	LOC117903118|XP_034670836.1|DSUB, LOC117891892|XP_034653586.1|DSUB	LOC6031986|XP_038106727.1|CQUI
OG0000496	LOC117902144|XP_034669171.1|DSUB	LOC6035746|XP_038113161.1|CQUI
OG0000497	LOC117901651|XP_034668379.1|DSUB, LOC117900798|XP_034667171.1|DSUB	LOC6048339|XP_038111873.1|CQUI
OG0000498	LOC117897195|XP_034661787.1|DSUB, LOC117896772|XP_034661140.1|DSUB	LOC6039237|XP_001848874.2|CQUI
OG0000499	LOC117891668|XP_034653124.1|DSUB	LOC6048807|XP_038112168.1|CQUI
OG0000499	LOC117890917|XP_034651940.1|DSUB	LOC6042113|XP_001851263.2|CQUI
OG0000500	LOC117893546|XP_034656088.1|DSUB, LOC117894008|XP_034656723.1|DSUB	LOC6043030|XP_001854846.2|CQUI, LOC6043544|XP_038111294.1|CQUI
OG0000504	LOC117893972|XP_034656667.1|DSUB	LOC6041004|XP_001850319.2|CQUI, LOC119768650|XP_038114938.1|CQUI, LOC6041003|XP_038114937.1|CQUI, LOC6041005|XP_038114939.1|CQUI, LOC6047053|XP_038122845.1|CQUI, LOC6041006|XP_001850321.1|CQUI
OG0000505	LOC117903152|XP_034670879.1|DSUB, LOC117889658|XP_034650004.1|DSUB	LOC6041848|XP_038111190.1|CQUI, LOC6038636|XP_038113279.1|CQUI
OG0000506	LOC117899197|XP_034664960.1|DSUB	LOC6051537|XP_038104157.1|CQUI, LOC6051544|XP_001867970.2|CQUI, LOC119769336|XP_038117282.1|CQUI
OG0000507	LOC117896041|XP_034659944.1|DSUB	LOC6045928|XP_001863205.1|CQUI
OG0000507	LOC117896052|XP_034659955.1|DSUB	LOC6037479|XP_038113105.1|CQUI
OG0000508	LOC117893534|XP_034656068.1|DSUB, LOC117892909|XP_034655111.1|DSUB	LOC6049261|XP_001866046.2|CQUI
OG0000509	LOC117890430|XP_034651149.1|DSUB	LOC6051070|XP_038117205.1|CQUI
OG0000510	LOC117891076|XP_034652145.1|DSUB, LOC117891077|XP_034652147.1|DSUB	LOC6052252|XP_001868549.2|CQUI
OG0000511	LOC117902586|XP_034669975.1|DSUB, LOC117901177|XP_034667720.1|DSUB, LOC117902585|XP_034669974.1|DSUB	LOC6031766|XP_001842477.2|CQUI, LOC6031767|XP_001842478.2|CQUI
OG0000512	LOC117900462|XP_034666729.1|DSUB, LOC117893136|XP_034655479.1|DSUB	LOC6041515|XP_038107055.1|CQUI, LOC119766432|XP_038106904.1|CQUI, LOC6041512|XP_038106906.1|CQUI
OG0000513	LOC117891279|XP_034652556.1|DSUB, LOC117891188|XP_034652413.1|DSUB, LOC117901236|XP_034667800.1|DSUB	LOC6036436|XP_001846489.2|CQUI
OG0000514	LOC117901647|XP_034668374.1|DSUB, LOC117901777|XP_034668569.1|DSUB	LOC6033627|XP_038108381.1|CQUI
OG0000515	LOC117902939|XP_034670437.1|DSUB, LOC117893317|XP_034655795.1|DSUB	LOC6038107|XP_038110142.1|CQUI
OG0000516	LOC117892036|XP_034653855.1|DSUB, LOC117903599|XP_034671735.1|DSUB	LOC6032715|XP_038122030.1|CQUI, LOC6032713|XP_038122029.1|CQUI
OG0000517	LOC117895832|XP_034659661.1|DSUB, LOC117895833|XP_034659662.1|DSUB	LOC6054293|XP_038114467.1|CQUI, LOC6054292|XP_038114468.1|CQUI
OG0000521	LOC117891135|XP_034652237.1|DSUB, LOC117895966|XP_034659816.1|DSUB	LOC6050070|XP_038105342.1|CQUI
OG0000522	LOC117900417|XP_034666670.1|DSUB, LOC117898073|XP_034663139.1|DSUB, LOC117900274|XP_034666479.1|DSUB	LOC6051600|XP_038112565.1|CQUI
OG0000523	LOC117898619|XP_034664065.1|DSUB	LOC6040919|XP_001850247.1|CQUI
OG0000523	LOC117903474|XP_034671421.1|DSUB	LOC6049044|XP_001865872.1|CQUI
OG0000524	LOC117897512|XP_034662317.1|DSUB, LOC117896215|XP_034660239.1|DSUB	LOC6032861|XP_001843386.2|CQUI
OG0000525	LOC117892695|XP_034654996.1|DSUB, LOC117892694|XP_034654995.1|DSUB	LOC6048514|XP_038118341.1|CQUI, LOC6048511|XP_038118339.1|CQUI
OG0000526	LOC117900268|XP_034666470.1|DSUB, LOC117890421|XP_034651132.1|DSUB	LOC6041304|XP_001850584.2|CQUI
OG0000527	LOC117902251|XP_034669398.1|DSUB, LOC117900400|XP_034666647.1|DSUB	LOC6043742|XP_038113405.1|CQUI, LOC6043214|XP_038108510.1|CQUI
OG0000528	LOC117901834|XP_034668658.1|DSUB	LOC6041374|XP_001850639.2|CQUI, LOC6041379|XP_038110790.1|CQUI, LOC6041382|XP_038106839.1|CQUI, LOC6041381|XP_038110791.1|CQUI
OG0000529	LOC117900579|XP_034666879.1|DSUB	LOC6036354|XP_038114138.1|CQUI
OG0000531	LOC117901747|XP_034668525.1|DSUB, LOC117900344|XP_034666577.1|DSUB	LOC6037540|XP_001847440.2|CQUI
OG0000532	LOC117897062|XP_034661549.1|DSUB, LOC117896984|XP_034661430.1|DSUB	LOC6035004|XP_001845249.2|CQUI
OG0000533	LOC117895116|XP_034658417.1|DSUB	LOC6040722|XP_038104185.1|CQUI
OG0000533	LOC117897097|XP_034661632.1|DSUB	LOC119767762|XP_038113133.1|CQUI
OG0000535	LOC117892068|XP_034653947.1|DSUB, LOC117891133|XP_034652232.1|DSUB	LOC119766820|XP_038108711.1|CQUI, LOC6054062|XP_001870041.1|CQUI
OG0000536	LOC117894247|XP_034657078.1|DSUB	LOC6041431|XP_038109661.1|CQUI, LOC6045036|XP_001862455.2|CQUI, LOC6045035|XP_038113937.1|CQUI
OG0000537	LOC117892217|XP_034654208.1|DSUB	LOC6031704|XP_038111588.1|CQUI
OG0000538	LOC117890197|XP_034650793.1|DSUB, LOC117892301|XP_034654337.1|DSUB	LOC6037813|XP_038112386.1|CQUI
OG0000539	LOC117896547|XP_034660823.1|DSUB, LOC117896548|XP_034660824.1|DSUB	LOC6034554|XP_038112937.1|CQUI
OG0000542	LOC117899231|XP_034664995.1|DSUB, LOC117902930|XP_034670418.1|DSUB	LOC6044321|XP_001861851.1|CQUI
OG0000543	LOC117896705|XP_034661053.1|DSUB, LOC117891488|XP_034652860.1|DSUB	LOC6049267|XP_001866057.2|CQUI
OG0000544	LOC117893971|XP_034656666.1|DSUB, LOC117899717|XP_034665827.1|DSUB	LOC6041276|XP_038110067.1|CQUI
OG0000545	LOC117899274|XP_034665066.1|DSUB, LOC117897659|XP_034662534.1|DSUB	LOC6050345|XP_038105847.1|CQUI
OG0000546	LOC117896587|XP_034660900.1|DSUB, LOC117889967|XP_034650424.1|DSUB	LOC6037353|XP_001847276.2|CQUI, LOC6036816|XP_038106208.1|CQUI, LOC119770766|XP_038122171.1|CQUI
OG0000547	LOC117903139|XP_034670868.1|DSUB	LOC6041026|XP_001850337.1|CQUI
OG0000548	LOC117893644|XP_034656221.1|DSUB, LOC117893653|XP_034656234.1|DSUB	LOC6050154|XP_001866808.2|CQUI
OG0000549	LOC117891218|XP_034652453.1|DSUB	LOC119770531|XP_038121509.1|CQUI, LOC6037260|XP_038121503.1|CQUI
OG0000550	LOC117895115|XP_034658412.1|DSUB, LOC117901598|XP_034668305.1|DSUB	LOC6051476|XP_038121059.1|CQUI
OG0000552	LOC117898996|XP_034664630.1|DSUB	LOC6044119|XP_038113804.1|CQUI
OG0000553	LOC117900146|XP_034666269.1|DSUB	LOC6044455|XP_038110346.1|CQUI, LOC6044457|XP_001861971.1|CQUI, LOC6044456|XP_001861970.1|CQUI
OG0000554	LOC117899047|XP_034664698.1|DSUB, LOC117899049|XP_034664700.1|DSUB	LOC6044882|XP_038118892.1|CQUI
OG0000555	LOC117895286|XP_034658716.1|DSUB, LOC117894224|XP_034657031.1|DSUB	LOC6052570|XP_038118745.1|CQUI
OG0000556	LOC117901224|XP_034667789.1|DSUB, LOC117897499|XP_034662280.1|DSUB	LOC6046889|XP_001864016.1|CQUI
OG0000557	LOC117896873|XP_034661293.1|DSUB, LOC117898263|XP_034663407.1|DSUB	LOC6042547|XP_001852003.1|CQUI
OG0000558	LOC117896412|XP_034660619.1|DSUB, LOC117903233|XP_034671024.1|DSUB	LOC6033842|XP_001844235.1|CQUI
OG0000559	LOC117897212|XP_034661807.1|DSUB, LOC117893537|XP_034656076.1|DSUB	LOC6053965|XP_038109366.1|CQUI
OG0000560	LOC117889988|XP_034650462.1|DSUB, LOC117889987|XP_034650461.1|DSUB	LOC6032389|XP_001842996.2|CQUI
OG0000561	LOC117894450|XP_034657439.1|DSUB, LOC117894731|XP_034657816.1|DSUB	LOC6034685|XP_038111388.1|CQUI
OG0000562	LOC117893256|XP_034655712.1|DSUB, LOC117895180|XP_034658534.1|DSUB	LOC6046454|XP_038113537.1|CQUI
OG0000566	LOC117899129|XP_034664813.1|DSUB, LOC117893071|XP_034655377.1|DSUB	LOC6044324|XP_038109243.1|CQUI
OG0000567	LOC117889642|XP_034649997.1|DSUB	LOC6047025|XP_001864131.2|CQUI
OG0000567	LOC117889643|XP_034649998.1|DSUB	LOC6047020|XP_001864130.1|CQUI
OG0000568	LOC117898826|XP_034664387.1|DSUB, LOC117897751|XP_034662683.1|DSUB	LOC6044772|XP_038104706.1|CQUI
OG0000569	LOC117896961|XP_034661397.1|DSUB, LOC117897571|XP_034662405.1|DSUB	LOC6034776|XP_038104774.1|CQUI
OG0000570	LOC117899079|XP_034664739.1|DSUB, LOC117898942|XP_034664553.1|DSUB	LOC6032625|XP_001843197.2|CQUI
OG0000571	LOC117897446|XP_034662179.1|DSUB, LOC117896912|XP_034661339.1|DSUB	LOC6035169|XP_038113695.1|CQUI
