Orthogroup	DSUB.longest_only	ASTE.longest_only
OG0000831	LOC117891696|XP_034653178.1|DSUB	LOC118505182|XP_035896530.1|ASTE, LOC118505183|XP_035896531.1|ASTE, LOC118506541|XP_035899725.1|ASTE
OG0000832	LOC117891712|XP_034653197.1|DSUB, LOC117901016|XP_034667505.1|DSUB	LOC118507813|XP_035902776.1|ASTE
OG0000833	LOC117894049|XP_034656793.1|DSUB	LOC118509033|XP_035904964.1|ASTE
OG0000834	LOC117896675|XP_034661012.1|DSUB	LOC118513021|XP_035914191.1|ASTE
OG0000836	LOC117901851|XP_034668692.1|DSUB, LOC117902392|XP_034669607.1|DSUB	LOC118512536|XP_035912997.1|ASTE
OG0000837	LOC117890852|XP_034651830.1|DSUB, LOC117896533|XP_034660808.1|DSUB	LOC118504361|XP_035894647.1|ASTE
OG0000838	LOC117902262|XP_034669412.1|DSUB, LOC117902263|XP_034669413.1|DSUB	LOC118507063|XP_035900934.1|ASTE
OG0000839	LOC117899626|XP_034665672.1|DSUB	LOC118506969|XP_035900705.1|ASTE
OG0000840	LOC117903610|XP_034671758.1|DSUB	LOC118514125|XP_035916603.1|ASTE
OG0000841	LOC117897080|XP_034661607.1|DSUB	LOC118506289|XP_035899103.1|ASTE
OG0000842	LOC117891489|XP_034652861.1|DSUB, LOC117897294|XP_034661929.1|DSUB	LOC118503475|XP_035892667.1|ASTE
OG0000843	LOC117891024|XP_034652077.1|DSUB	LOC118512372|XP_035912615.1|ASTE
OG0000844	LOC117892164|XP_034654122.1|DSUB, LOC117897396|XP_034662105.1|DSUB	LOC118503051|XP_035891779.1|ASTE
OG0000854	LOC117903676|XP_034671903.1|DSUB	LOC118505768|XP_035897909.1|ASTE
OG0000855	LOC117894451|XP_034657443.1|DSUB, LOC117896315|XP_034660435.1|DSUB	LOC118506430|XP_035899436.1|ASTE
OG0000856	LOC117894785|XP_034657905.1|DSUB	LOC118517387|XP_035919330.1|ASTE
OG0000857	LOC117903487|XP_034671445.1|DSUB	LOC118512907|XP_035913931.1|ASTE, LOC118512913|XP_035913953.1|ASTE
OG0000858	LOC117896061|XP_034659967.1|DSUB	LOC118502828|XP_035891395.1|ASTE, LOC118505410|XP_035897052.1|ASTE, LOC118505411|XP_035897053.1|ASTE
OG0000860	LOC117895209|XP_034658590.1|DSUB, LOC117894883|XP_034658050.1|DSUB	LOC118510209|XP_035907640.1|ASTE
OG0000861	LOC117891220|XP_034652456.1|DSUB, LOC117891215|XP_034652448.1|DSUB	LOC118511440|XP_035910432.1|ASTE, LOC118516310|XP_035918020.1|ASTE
OG0000862	LOC117890900|XP_034651886.1|DSUB, LOC117902151|XP_034669181.1|DSUB	LOC118510301|XP_035907820.1|ASTE
OG0000863	LOC117898692|XP_034664197.1|DSUB	LOC118510334|XP_035907885.1|ASTE
OG0000864	LOC117901424|XP_034668052.1|DSUB, LOC117903591|XP_034671704.1|DSUB	LOC118505094|XP_035896286.1|ASTE
OG0000865	LOC117900711|XP_034667062.1|DSUB, LOC117897304|XP_034661942.1|DSUB	LOC118510634|XP_035908571.1|ASTE
OG0000866	LOC117901617|XP_034668328.1|DSUB, LOC117901618|XP_034668333.1|DSUB	LOC118512498|XP_035912899.1|ASTE
OG0000867	LOC117901840|XP_034668672.1|DSUB	LOC118511650|XP_035910878.1|ASTE
OG0000868	LOC117901044|XP_034667546.1|DSUB, LOC117900500|XP_034666780.1|DSUB, LOC117897216|XP_034661820.1|DSUB, LOC117898471|XP_034663797.1|DSUB	LOC118508503|XP_035904232.1|ASTE, LOC118511600|XP_035910774.1|ASTE
OG0000870	LOC117892389|XP_034654496.1|DSUB	LOC118507300|XP_035901561.1|ASTE
OG0000871	LOC117891499|XP_034652879.1|DSUB	LOC118508182|XP_035903632.1|ASTE, LOC118508160|XP_035903595.1|ASTE, LOC118508183|XP_035903633.1|ASTE, LOC118508387|XP_035904023.1|ASTE
OG0000872	LOC117889870|XP_034650269.1|DSUB	LOC118503950|XP_035893728.1|ASTE
OG0000873	LOC117893456|XP_034655967.1|DSUB	LOC118507145|XP_035901074.1|ASTE, LOC118507460|XP_035901845.1|ASTE, LOC118506271|XP_035899073.1|ASTE
OG0000874	LOC117891144|XP_034652283.1|DSUB, LOC117890626|XP_034651464.1|DSUB	LOC118503109|XP_035891939.1|ASTE
OG0000875	LOC117898325|XP_034663540.1|DSUB, LOC117894676|XP_034657745.1|DSUB	LOC118508404|XP_035904058.1|ASTE
OG0000882	LOC117903436|XP_034671351.1|DSUB, LOC117900113|XP_034666229.1|DSUB	LOC118517489|XP_035919578.1|ASTE
OG0000883	LOC117902707|XP_034670157.1|DSUB	LOC118504614|XP_035895188.1|ASTE, LOC118506063|XP_035898609.1|ASTE
OG0000884	LOC117900769|XP_034667140.1|DSUB, LOC117903060|XP_034670698.1|DSUB	LOC118506119|XP_035898727.1|ASTE
OG0000885	LOC117898445|XP_034663741.1|DSUB	LOC118502903|XP_035891519.1|ASTE, LOC118502902|XP_035891517.1|ASTE, LOC118502901|XP_035891516.1|ASTE
OG0000887	LOC117898452|XP_034663754.1|DSUB	LOC118511357|XP_035910211.1|ASTE, LOC118516345|XP_035918050.1|ASTE, LOC118511356|XP_035910210.1|ASTE, LOC118516344|XP_035918049.1|ASTE, LOC118509257|XP_035905485.1|ASTE, LOC118509232|XP_035905433.1|ASTE, LOC118505610|XP_035897542.1|ASTE, LOC118505611|XP_035897544.1|ASTE
OG0000888	LOC117893704|XP_034656282.1|DSUB, LOC117893080|XP_034655387.1|DSUB	LOC118516418|XP_035918174.1|ASTE, LOC118509543|XP_035906181.1|ASTE
OG0000889	LOC117895618|XP_034659260.1|DSUB	LOC118512813|XP_035913661.1|ASTE
OG0000890	LOC117890898|XP_034651883.1|DSUB	LOC118511842|XP_035911278.1|ASTE, LOC118511843|XP_035911279.1|ASTE
OG0000891	LOC117902390|XP_034669605.1|DSUB	LOC118513936|XP_035916207.1|ASTE
OG0000892	LOC117894088|XP_034656848.1|DSUB	LOC118511588|XP_035910732.1|ASTE
OG0000893	LOC117897888|XP_034662855.1|DSUB	LOC118503679|XP_035893114.1|ASTE, LOC118517096|XP_035918846.1|ASTE, LOC118503676|XP_035893110.1|ASTE, LOC118502462|XP_035890585.1|ASTE
OG0000894	LOC117897395|XP_034662104.1|DSUB	LOC118502648|XP_035890990.1|ASTE
OG0000895	LOC117892392|XP_034654499.1|DSUB, LOC117892394|XP_034654500.1|DSUB	LOC118504523|XP_035894958.1|ASTE
OG0000896	LOC117890326|XP_034651005.1|DSUB, LOC117903862|XP_034672240.1|DSUB	LOC118508161|XP_035903597.1|ASTE, LOC118508158|XP_035903594.1|ASTE
OG0000907	LOC117891031|XP_034652088.1|DSUB	LOC118511869|XP_035911366.1|ASTE
OG0000909	LOC117896456|XP_034660676.1|DSUB	LOC118503116|XP_035891954.1|ASTE
OG0000910	LOC117903736|XP_034671985.1|DSUB	LOC118514476|XP_035917293.1|ASTE
OG0000911	LOC117891698|XP_034653181.1|DSUB	LOC118510415|XP_035908076.1|ASTE
OG0000912	LOC117894096|XP_034656860.1|DSUB, LOC117895661|XP_034659370.1|DSUB	LOC118512824|XP_035913692.1|ASTE, LOC118512823|XP_035913691.1|ASTE
OG0000913	LOC117895191|XP_034658561.1|DSUB	LOC118509679|XP_035906610.1|ASTE
OG0000914	LOC117890297|XP_034650956.1|DSUB	LOC118513367|XP_035914891.1|ASTE
OG0000915	LOC117890118|XP_034650682.1|DSUB	LOC118514577|XP_035917472.1|ASTE
OG0000916	LOC117902779|XP_034670266.1|DSUB	LOC118509337|XP_035905708.1|ASTE
OG0000917	LOC117897417|XP_034662135.1|DSUB, LOC117902191|XP_034669258.1|DSUB	LOC118510102|XP_035907426.1|ASTE
OG0000918	LOC117902111|XP_034669113.1|DSUB	LOC118512612|XP_035913178.1|ASTE
OG0000920	LOC117901383|XP_034668004.1|DSUB	LOC118512070|XP_035911849.1|ASTE, LOC118506537|XP_035899703.1|ASTE
OG0000921	LOC117903531|XP_034671597.1|DSUB	LOC118503009|XP_035891716.1|ASTE
OG0000922	LOC117893161|XP_034655527.1|DSUB	LOC118503253|XP_035892184.1|ASTE, LOC118503255|XP_035892188.1|ASTE
OG0000923	LOC117897091|XP_034661626.1|DSUB	LOC118504234|XP_035894347.1|ASTE
OG0000924	LOC117903123|XP_034670840.1|DSUB	LOC118507197|XP_035901164.1|ASTE
OG0000925	LOC117898112|XP_034663189.1|DSUB	LOC118504737|XP_035895507.1|ASTE
OG0000935	LOC117898689|XP_034664196.1|DSUB	LOC118508431|XP_035904105.1|ASTE, LOC118507553|XP_035902028.1|ASTE
OG0000936	LOC117896509|XP_034660754.1|DSUB	LOC118512980|XP_035914130.1|ASTE
OG0000938	LOC117903601|XP_034671733.1|DSUB	LOC118508148|XP_035903581.1|ASTE
OG0000939	LOC117901599|XP_034668302.1|DSUB, LOC117893086|XP_034655403.1|DSUB	LOC118513339|XP_035914854.1|ASTE
OG0000940	LOC117895700|XP_034659439.1|DSUB	LOC118504529|XP_035894966.1|ASTE
OG0000942	LOC117893287|XP_034655744.1|DSUB, LOC117901433|XP_034668067.1|DSUB, LOC117896037|XP_034659937.1|DSUB, LOC117891920|XP_034653633.1|DSUB, LOC117890861|XP_034651839.1|DSUB, LOC117894869|XP_034658025.1|DSUB, LOC117889751|XP_034650088.1|DSUB, LOC117901084|XP_034667599.1|DSUB, LOC117892653|XP_034654901.1|DSUB, LOC117892336|XP_034654379.1|DSUB, LOC117891204|XP_034652433.1|DSUB, LOC117890859|XP_034651837.1|DSUB, LOC117896782|XP_034661172.1|DSUB, LOC117900972|XP_034667447.1|DSUB, LOC117890084|XP_034650634.1|DSUB, LOC117901312|XP_034667912.1|DSUB, LOC117889879|XP_034650279.1|DSUB, LOC117889983|XP_034650456.1|DSUB, LOC117901127|XP_034667656.1|DSUB, LOC117892360|XP_034654459.1|DSUB, LOC117901247|XP_034667819.1|DSUB	LOC118504770|XP_035895593.1|ASTE
OG0000943	LOC117890702|XP_034651607.1|DSUB, LOC117891473|XP_034652845.1|DSUB	LOC118512854|XP_035913820.1|ASTE
OG0000944	LOC117890053|XP_034650579.1|DSUB	LOC118509354|XP_035905765.1|ASTE
OG0000945	LOC117892913|XP_034655117.1|DSUB	LOC118509858|XP_035906959.1|ASTE
OG0000946	LOC117900990|XP_034667477.1|DSUB	LOC118510035|XP_035907316.1|ASTE, LOC118512577|XP_035913093.1|ASTE
OG0000947	LOC117889847|XP_034650231.1|DSUB	LOC118513802|XP_035915895.1|ASTE, LOC118513803|XP_035915898.1|ASTE, LOC118513801|XP_035915893.1|ASTE, LOC118513800|XP_035915891.1|ASTE
OG0000948	LOC117893090|XP_034655408.1|DSUB	LOC118507585|XP_035902140.1|ASTE
OG0000949	LOC117903043|XP_034670672.1|DSUB	LOC118504586|XP_035895128.1|ASTE
OG0000949	LOC117903045|XP_034670673.1|DSUB	LOC118504585|XP_035895126.1|ASTE
OG0000950	LOC117898460|XP_034663776.1|DSUB, LOC117896669|XP_034661007.1|DSUB	LOC118505342|XP_035896892.1|ASTE
OG0000951	LOC117899370|XP_034665241.1|DSUB, LOC117890771|XP_034651733.1|DSUB	LOC118505491|XP_035897238.1|ASTE
OG0000952	LOC117902731|XP_034670196.1|DSUB	LOC118514194|XP_035916776.1|ASTE
OG0000963	LOC117903584|XP_034671694.1|DSUB	LOC118516900|XP_035918640.1|ASTE
OG0000964	LOC117890027|XP_034650533.1|DSUB	LOC118508300|XP_035903846.1|ASTE
OG0000965	LOC117903296|XP_034671116.1|DSUB	LOC118508969|XP_035904831.1|ASTE
OG0000966	LOC117896371|XP_034660537.1|DSUB	LOC118516206|XP_035918003.1|ASTE
OG0000968	LOC117893323|XP_034655802.1|DSUB	LOC118514249|XP_035916854.1|ASTE
OG0000969	LOC117889954|XP_034650402.1|DSUB	LOC118511848|XP_035911286.1|ASTE
OG0000970	LOC117903646|XP_034671838.1|DSUB, LOC117898785|XP_034664313.1|DSUB	LOC118511626|XP_035910826.1|ASTE
OG0000971	LOC117901222|XP_034667783.1|DSUB	LOC118514114|XP_035916583.1|ASTE, LOC118514113|XP_035916582.1|ASTE, LOC118514112|XP_035916581.1|ASTE, LOC118512504|XP_035912908.1|ASTE
OG0000972	LOC117894574|XP_034657603.1|DSUB	LOC118513280|XP_035914739.1|ASTE
OG0000974	LOC117893547|XP_034656089.1|DSUB, LOC117894194|XP_034657001.1|DSUB	LOC118508940|XP_035904742.1|ASTE
OG0000975	LOC117899364|XP_034665234.1|DSUB, LOC117899575|XP_034665579.1|DSUB	LOC118502571|XP_035890786.1|ASTE
OG0000977	LOC117896528|XP_034660790.1|DSUB, LOC117896515|XP_034660774.1|DSUB	LOC118510938|XP_035909267.1|ASTE
OG0000978	LOC117899594|XP_034665604.1|DSUB	LOC118508060|XP_035903408.1|ASTE
OG0000988	LOC117902644|XP_034670060.1|DSUB	LOC118511282|XP_035910069.1|ASTE
OG0000990	LOC117898579|XP_034663997.1|DSUB	LOC118517440|XP_035919462.1|ASTE
OG0000991	LOC117903063|XP_034670703.1|DSUB	LOC118512066|XP_035911834.1|ASTE
OG0000992	LOC117897859|XP_034662823.1|DSUB	LOC118505427|XP_035897082.1|ASTE
OG0000994	LOC117903722|XP_034671962.1|DSUB	LOC118504833|XP_035895730.1|ASTE
OG0000995	LOC117893385|XP_034655872.1|DSUB	LOC118512963|XP_035914082.1|ASTE
OG0000996	LOC117890036|XP_034650545.1|DSUB	LOC118512440|XP_035912794.1|ASTE
OG0000997	LOC117891244|XP_034652481.1|DSUB, LOC117892676|XP_034654965.1|DSUB	LOC118509566|XP_035906219.1|ASTE, LOC118516428|XP_035918192.1|ASTE
OG0000998	LOC117895560|XP_034659160.1|DSUB	LOC118511296|XP_035910096.1|ASTE
OG0000999	LOC117891704|XP_034653192.1|DSUB	LOC118509774|XP_035906806.1|ASTE
OG0001000	LOC117889783|XP_034650141.1|DSUB	LOC118511145|XP_035909767.1|ASTE, LOC118509974|XP_035907247.1|ASTE, LOC118512285|XP_035912401.1|ASTE, LOC118509969|XP_035907241.1|ASTE, LOC118509975|XP_035907248.1|ASTE, LOC118509966|XP_035907237.1|ASTE, LOC118509968|XP_035907240.1|ASTE, LOC118509967|XP_035907239.1|ASTE, LOC118509971|XP_035907243.1|ASTE, LOC118509965|XP_035907236.1|ASTE, LOC118509973|XP_035907245.1|ASTE, LOC118509116|XP_035905180.1|ASTE, LOC118512274|XP_035912356.1|ASTE, LOC118509970|XP_035907242.1|ASTE, LOC118509972|XP_035907244.1|ASTE, LOC118513578|XP_035915419.1|ASTE
OG0001001	LOC117892455|XP_034654595.1|DSUB	LOC118514530|XP_035917404.1|ASTE, LOC118514517|XP_035917374.1|ASTE, LOC118514520|XP_035917383.1|ASTE, LOC118513457|XP_035915118.1|ASTE
OG0001002	LOC117900490|XP_034666769.1|DSUB	LOC118514655|XP_035917581.1|ASTE
OG0001003	LOC117896070|XP_034659984.1|DSUB	LOC118506710|XP_035900094.1|ASTE
OG0001004	LOC117896454|XP_034660675.1|DSUB	LOC118503620|XP_035892998.1|ASTE
OG0001005	LOC117895386|XP_034658902.1|DSUB	LOC118502561|XP_035890772.1|ASTE
OG0001006	LOC117894848|XP_034657994.1|DSUB	LOC118517610|XP_035919799.1|ASTE
OG0001007	LOC117891259|XP_034652522.1|DSUB	LOC118505393|XP_035896998.1|ASTE
OG0001008	LOC117889617|XP_034649932.1|DSUB	LOC118504118|XP_035894102.1|ASTE
OG0001009	LOC117898746|XP_034664259.1|DSUB, LOC117897638|XP_034662504.1|DSUB	LOC118510858|XP_035909084.1|ASTE
OG0001019	LOC117899343|XP_034665186.1|DSUB	LOC118517381|XP_035919300.1|ASTE, LOC118505301|XP_035896815.1|ASTE
OG0001020	LOC117903910|XP_034672310.1|DSUB	LOC118517494|XP_035919584.1|ASTE, LOC118503895|XP_035893572.1|ASTE
OG0001022	LOC117903289|XP_034671107.1|DSUB	LOC118510698|XP_035908784.1|ASTE, LOC118510644|XP_035908633.1|ASTE
OG0001023	LOC117896018|XP_034659916.1|DSUB	LOC118506481|XP_035899555.1|ASTE
OG0001024	LOC117899346|XP_034665189.1|DSUB	LOC118504718|XP_035895454.1|ASTE, LOC118512037|XP_035911727.1|ASTE
OG0001025	LOC117894385|XP_034657282.1|DSUB	LOC118512141|XP_035912055.1|ASTE
OG0001026	LOC117891491|XP_034652862.1|DSUB	LOC118511256|XP_035910013.1|ASTE, LOC118512733|XP_035913488.1|ASTE
OG0001027	LOC117893805|XP_034656442.1|DSUB	LOC118514172|XP_035916730.1|ASTE, LOC118514174|XP_035916735.1|ASTE
OG0001028	LOC117901903|XP_034668759.1|DSUB	LOC118509366|XP_035905783.1|ASTE
OG0001029	LOC117890172|XP_034650762.1|DSUB	LOC118506615|XP_035899873.1|ASTE
OG0001031	LOC117902440|XP_034669713.1|DSUB	LOC118513594|XP_035915474.1|ASTE
OG0001032	LOC117901697|XP_034668450.1|DSUB	LOC118502553|XP_035890742.1|ASTE
OG0001033	LOC117901163|XP_034667705.1|DSUB, LOC117894020|XP_034656750.1|DSUB	LOC118507110|XP_035901005.1|ASTE
OG0001042	LOC117898162|XP_034663262.1|DSUB	LOC118512102|XP_035911999.1|ASTE, LOC118512341|XP_035912566.1|ASTE, LOC118507381|XP_035901719.1|ASTE, LOC118512064|XP_035911870.1|ASTE
OG0001043	LOC117897824|XP_034662773.1|DSUB	LOC118505866|XP_035898174.1|ASTE
OG0001044	LOC117892658|XP_034654935.1|DSUB	LOC118513170|XP_035914510.1|ASTE
OG0001045	LOC117891081|XP_034652152.1|DSUB	LOC118507906|XP_035903057.1|ASTE
OG0001046	LOC117892254|XP_034654256.1|DSUB	LOC118506997|XP_035900775.1|ASTE
OG0001047	LOC117890831|XP_034651804.1|DSUB	LOC118513825|XP_035915954.1|ASTE
OG0001048	LOC117892034|XP_034653849.1|DSUB	LOC118508135|XP_035903535.1|ASTE, LOC118513731|XP_035915777.1|ASTE
OG0001049	LOC117900405|XP_034666652.1|DSUB, LOC117895855|XP_034659711.1|DSUB	LOC118510290|XP_035907799.1|ASTE
OG0001050	LOC117894035|XP_034656773.1|DSUB	LOC118514219|XP_035916809.1|ASTE
OG0001051	LOC117900143|XP_034666266.1|DSUB	LOC118510039|XP_035907319.1|ASTE
OG0001052	LOC117902345|XP_034669537.1|DSUB	LOC118513249|XP_035914703.1|ASTE
OG0001053	LOC117891625|XP_034653058.1|DSUB	LOC118506573|XP_035899808.1|ASTE
OG0001054	LOC117897522|XP_034662329.1|DSUB	LOC118508364|XP_035903978.1|ASTE
OG0001055	LOC117896584|XP_034660895.1|DSUB	LOC118502413|XP_035890530.1|ASTE
OG0001056	LOC117893363|XP_034655850.1|DSUB	LOC118505006|XP_035896088.1|ASTE
OG0001057	LOC117900137|XP_034666255.1|DSUB, LOC117900136|XP_034666253.1|DSUB	LOC118507569|XP_035902085.1|ASTE
OG0001058	LOC117903193|XP_034670971.1|DSUB	LOC118505311|XP_035896842.1|ASTE
OG0001073	LOC117896380|XP_034660552.1|DSUB	LOC118504199|XP_035894705.1|ASTE
OG0001074	LOC117891125|XP_034652221.1|DSUB	LOC118503056|XP_035891814.1|ASTE
OG0001077	LOC117897413|XP_034662131.1|DSUB	LOC118507855|XP_035902882.1|ASTE
OG0001078	LOC117900894|XP_034667320.1|DSUB	LOC118516377|XP_035918121.1|ASTE, LOC118512764|XP_035913554.1|ASTE
OG0001079	LOC117895434|XP_034658979.1|DSUB	LOC118517005|XP_035918738.1|ASTE, LOC118508917|XP_035904672.1|ASTE
OG0001080	LOC117895626|XP_034659271.1|DSUB	LOC118512188|XP_035912172.1|ASTE
OG0001081	LOC117898504|XP_034663848.1|DSUB	LOC118512185|XP_035912169.1|ASTE, LOC118510555|XP_035908430.1|ASTE
OG0001082	LOC117889829|XP_034650202.1|DSUB	LOC118509103|XP_035905157.1|ASTE, LOC118509102|XP_035905155.1|ASTE
OG0001083	LOC117895332|XP_034658796.1|DSUB	LOC118514263|XP_035916872.1|ASTE
OG0001084	LOC117891060|XP_034652123.1|DSUB	LOC118507701|XP_035902459.1|ASTE, LOC118509434|XP_035905916.1|ASTE
OG0001085	LOC117899249|XP_034665020.1|DSUB, LOC117899251|XP_034665026.1|DSUB, LOC117892141|XP_034654070.1|DSUB, LOC117890120|XP_034650686.1|DSUB, LOC117899253|XP_034665030.1|DSUB, LOC117896874|XP_034661294.1|DSUB	LOC118509491|XP_035906039.1|ASTE
OG0001086	LOC117891073|XP_034652141.1|DSUB	LOC118512796|XP_035913612.1|ASTE
OG0001087	LOC117901526|XP_034668192.1|DSUB	LOC118509622|XP_035906371.1|ASTE
OG0001088	LOC117894642|XP_034657705.1|DSUB	LOC118509035|XP_035904967.1|ASTE
OG0001089	LOC117894304|XP_034657161.1|DSUB	LOC118512918|XP_035913960.1|ASTE
OG0001090	LOC117894796|XP_034657916.1|DSUB	LOC118510579|XP_035908464.1|ASTE, LOC118514620|XP_035917510.1|ASTE, LOC118514621|XP_035917512.1|ASTE
OG0001092	LOC117901635|XP_034668356.1|DSUB	LOC118514559|XP_035917442.1|ASTE
OG0001093	LOC117901798|XP_034668599.1|DSUB	LOC118513542|XP_035915309.1|ASTE
OG0001094	LOC117900966|XP_034667436.1|DSUB, LOC117900968|XP_034667440.1|DSUB	LOC118513664|XP_035915652.1|ASTE
OG0001095	LOC117901202|XP_034667747.1|DSUB	LOC118511712|XP_035911027.1|ASTE, LOC118511713|XP_035911028.1|ASTE, LOC118511711|XP_035911025.1|ASTE, LOC118511710|XP_035911024.1|ASTE
OG0001096	LOC117900177|XP_034666313.1|DSUB	LOC118514009|XP_035916369.1|ASTE, LOC118510061|XP_035907344.1|ASTE
OG0001097	LOC117902276|XP_034669435.1|DSUB	LOC118513278|XP_035914737.1|ASTE
OG0001099	LOC117894278|XP_034657125.1|DSUB	LOC118504634|XP_035895252.1|ASTE
OG0001100	LOC117897810|XP_034662750.1|DSUB	LOC118503634|XP_035893024.1|ASTE
OG0001101	LOC117891853|XP_034653493.1|DSUB	LOC118507368|XP_035901679.1|ASTE
OG0001102	LOC117893877|XP_034656540.1|DSUB	LOC118504079|XP_035894038.1|ASTE
OG0001103	LOC117898590|XP_034664026.1|DSUB	LOC118516558|XP_035918409.1|ASTE, LOC118503233|XP_035892133.1|ASTE, LOC118516551|XP_035918390.1|ASTE, LOC118503234|XP_035892134.1|ASTE, LOC118511884|XP_035911404.1|ASTE, LOC118511885|XP_035911405.1|ASTE
OG0001104	LOC117892556|XP_034654758.1|DSUB	LOC118504208|XP_035894289.1|ASTE
OG0001105	LOC117898596|XP_034664037.1|DSUB	LOC118504854|XP_035895762.1|ASTE
OG0001106	LOC117903003|XP_034670635.1|DSUB	LOC118503338|XP_035892396.1|ASTE, LOC118503340|XP_035892398.1|ASTE
OG0001118	LOC117889609|XP_034649924.1|DSUB	LOC118511364|XP_035910219.1|ASTE, LOC118516339|XP_035918043.1|ASTE
OG0001119	LOC117897781|XP_034662720.1|DSUB	LOC118508166|XP_035903605.1|ASTE, LOC118502857|XP_035891459.1|ASTE
OG0001120	LOC117896613|XP_034660937.1|DSUB, LOC117899123|XP_034664807.1|DSUB	LOC118502829|XP_035891396.1|ASTE, LOC118502865|XP_035891466.1|ASTE
OG0001121	LOC117891994|XP_034653765.1|DSUB	LOC118512075|XP_035911900.1|ASTE, LOC118512052|XP_035911792.1|ASTE
OG0001122	LOC117894629|XP_034657685.1|DSUB	LOC118510077|XP_035907374.1|ASTE
OG0001124	LOC117899131|XP_034664818.1|DSUB	LOC118512134|XP_035912037.1|ASTE
OG0001125	LOC117897892|XP_034662861.1|DSUB	LOC118514381|XP_035917148.1|ASTE, LOC118514384|XP_035917155.1|ASTE
OG0001127	LOC117894768|XP_034657877.1|DSUB	LOC118509592|XP_035906265.1|ASTE, LOC118504020|XP_035893881.1|ASTE, LOC118507319|XP_035901600.1|ASTE, LOC118507314|XP_035901590.1|ASTE
OG0001128	LOC117891449|XP_034652819.1|DSUB	LOC118509705|XP_035906679.1|ASTE, LOC118512546|XP_035913014.1|ASTE
OG0001129	LOC117902674|XP_034670094.1|DSUB	LOC118511039|XP_035909525.1|ASTE
OG0001130	LOC117902017|XP_034668956.1|DSUB	LOC118511149|XP_035909769.1|ASTE
OG0001131	LOC117903000|XP_034670619.1|DSUB	LOC118513997|XP_035916323.1|ASTE, LOC118513994|XP_035916315.1|ASTE, LOC118513993|XP_035916314.1|ASTE
OG0001133	LOC117901378|XP_034667985.1|DSUB	LOC118513755|XP_035915813.1|ASTE
OG0001134	LOC117890450|XP_034651179.1|DSUB	LOC118502438|XP_035890559.1|ASTE
OG0001135	LOC117897588|XP_034662432.1|DSUB	LOC118517104|XP_035918855.1|ASTE, LOC118503680|XP_035893115.1|ASTE, LOC118506668|XP_035899997.1|ASTE
OG0001136	LOC117897826|XP_034662770.1|DSUB	LOC118502679|XP_035891077.1|ASTE
OG0001137	LOC117899208|XP_034664971.1|DSUB	LOC118507713|XP_035902501.1|ASTE
OG0001138	LOC117895627|XP_034659272.1|DSUB	LOC118509208|XP_035905374.1|ASTE
OG0001153	LOC117890907|XP_034651911.1|DSUB	LOC118508003|XP_035903270.1|ASTE
OG0001154	LOC117900982|XP_034667466.1|DSUB	LOC118512659|XP_035913299.1|ASTE
OG0001157	LOC117898870|XP_034664442.1|DSUB	LOC118504721|XP_035895504.1|ASTE
OG0001158	LOC117900114|XP_034666230.1|DSUB	LOC118509830|XP_035906897.1|ASTE
OG0001160	LOC117897386|XP_034662085.1|DSUB	LOC118506788|XP_035900298.1|ASTE
OG0001162	LOC117897158|XP_034661719.1|DSUB, LOC117898132|XP_034663217.1|DSUB	LOC118505144|XP_035896396.1|ASTE
OG0001163	LOC117899689|XP_034665776.1|DSUB	LOC118507505|XP_035901931.1|ASTE
OG0001164	LOC117899331|XP_034665158.1|DSUB, LOC117896953|XP_034661388.1|DSUB	LOC118504965|XP_035895980.1|ASTE, LOC118505092|XP_035896283.1|ASTE, LOC118504966|XP_035895982.1|ASTE
OG0001165	LOC117891574|XP_034652989.1|DSUB	LOC118507467|XP_035901855.1|ASTE
OG0001167	LOC117892352|XP_034654445.1|DSUB	LOC118517289|XP_035919161.1|ASTE, LOC118513604|XP_035915534.1|ASTE
OG0001168	LOC117890343|XP_034651024.1|DSUB	LOC118509897|XP_035907038.1|ASTE
OG0001169	LOC117899721|XP_034665835.1|DSUB	LOC118509719|XP_035906701.1|ASTE
OG0001170	LOC117897857|XP_034662821.1|DSUB	LOC118507819|XP_035902790.1|ASTE
OG0001171	LOC117895384|XP_034658898.1|DSUB	LOC118512251|XP_035912287.1|ASTE, LOC118517164|XP_035918942.1|ASTE
OG0001172	LOC117891233|XP_034652469.1|DSUB	LOC118514628|XP_035917519.1|ASTE, LOC118509860|XP_035906961.1|ASTE
OG0001173	LOC117896394|XP_034660590.1|DSUB	LOC118503022|XP_035891739.1|ASTE, LOC118512345|XP_035912525.1|ASTE
OG0001174	LOC117895249|XP_034658655.1|DSUB	LOC118510344|XP_035907928.1|ASTE
OG0001175	LOC117892253|XP_034654255.1|DSUB	LOC118506996|XP_035900774.1|ASTE
OG0001176	LOC117890729|XP_034651672.1|DSUB	LOC118513904|XP_035916123.1|ASTE, LOC118513896|XP_035916106.1|ASTE, LOC118513895|XP_035916105.1|ASTE
OG0001177	LOC117900308|XP_034666515.1|DSUB	LOC118510697|XP_035908780.1|ASTE
OG0001178	LOC117890628|XP_034651468.1|DSUB	LOC118511785|XP_035911195.1|ASTE
OG0001179	LOC117891594|XP_034653013.1|DSUB	LOC118512602|XP_035913151.1|ASTE
OG0001180	LOC117902917|XP_034670383.1|DSUB	LOC118510715|XP_035908811.1|ASTE
