Orthogroup	DSUB.longest_only	AEAL.longest_only
OG0000486	LOC117892738|XP_034655054.1|DSUB, LOC117892735|XP_034655051.1|DSUB	LOC109428916|XP_019560303.2|AEAL, LOC115267545|XP_029730488.1|AEAL, LOC109408709|XP_019537614.2|AEAL, LOC115253482|XP_029730827.1|AEAL
OG0000489	LOC117898560|XP_034663936.1|DSUB, LOC117895090|XP_034658381.1|DSUB	LOC109433597|XP_019565581.2|AEAL, LOC109431157|XP_019562906.2|AEAL, LOC109408968|XP_019537912.2|AEAL, LOC109408945|XP_019537890.2|AEAL
OG0000490	LOC117891490|XP_034652865.1|DSUB	LOC115267225|XP_029729976.1|AEAL, LOC109402227|XP_029729973.1|AEAL
OG0000490	LOC117902712|XP_034670170.1|DSUB	LOC109431349|XP_029733420.1|AEAL, LOC109427779|XP_029717800.1|AEAL
OG0000491	LOC117896801|XP_034661191.1|DSUB, LOC117892529|XP_034654724.1|DSUB	LOC115267172|XP_029729877.1|AEAL, LOC109415532|XP_019544960.2|AEAL
OG0000492	LOC117890647|XP_034651491.1|DSUB	LOC115268555|XP_029732510.1|AEAL, LOC109403859|XP_019532304.1|AEAL
OG0000492	LOC117900605|XP_034666910.1|DSUB	LOC109414237|XP_019543596.1|AEAL
OG0000493	LOC117901003|XP_034667491.1|DSUB, LOC117898278|XP_034663424.1|DSUB, LOC117898106|XP_034663181.1|DSUB	LOC109424249|XP_029734410.1|AEAL
OG0000494	LOC117900094|XP_034666204.1|DSUB	LOC109406097|XP_019534701.2|AEAL, LOC109402997|XP_019531256.1|AEAL
OG0000495	LOC117903118|XP_034670836.1|DSUB, LOC117891892|XP_034653586.1|DSUB	LOC109412654|XP_029720655.1|AEAL, LOC109420930|XP_029720657.1|AEAL
OG0000496	LOC117902144|XP_034669171.1|DSUB	LOC109429623|XP_029728581.1|AEAL, LOC109623404|XP_029719965.1|AEAL
OG0000497	LOC117901651|XP_034668379.1|DSUB, LOC117900798|XP_034667171.1|DSUB	LOC109420450|XP_019550342.2|AEAL
OG0000498	LOC117897195|XP_034661787.1|DSUB, LOC117896772|XP_034661140.1|DSUB	LOC109433408|XP_019565383.2|AEAL, LOC109433401|XP_019565377.2|AEAL
OG0000499	LOC117891668|XP_034653124.1|DSUB	LOC109406732|XP_019535320.1|AEAL, LOC115268954|XP_029733028.1|AEAL
OG0000500	LOC117893546|XP_034656088.1|DSUB, LOC117894008|XP_034656723.1|DSUB	LOC109418753|XP_029712968.1|AEAL
OG0000504	LOC117893972|XP_034656667.1|DSUB	LOC115267607|XP_029730594.1|AEAL, LOC115267631|XP_029730635.1|AEAL, LOC109431603|XP_029730638.1|AEAL, LOC115267608|XP_029730595.1|AEAL, LOC109428459|XP_029711459.1|AEAL, LOC109398075|XP_029730592.1|AEAL, LOC109431700|XP_029730619.1|AEAL, LOC109398100|XP_029730596.1|AEAL, LOC115267620|XP_029730621.1|AEAL
OG0000505	LOC117903152|XP_034670879.1|DSUB, LOC117889658|XP_034650004.1|DSUB	LOC109406904|XP_029717796.1|AEAL, LOC109427792|XP_029729836.1|AEAL, LOC109412957|XP_029717731.1|AEAL, LOC115260666|XP_029717674.1|AEAL
OG0000506	LOC117899197|XP_034664960.1|DSUB	LOC109423458|XP_029722798.1|AEAL, LOC109432150|XP_029722799.1|AEAL
OG0000507	LOC117896041|XP_034659944.1|DSUB	LOC109413463|XP_019542683.1|AEAL
OG0000507	LOC117896052|XP_034659955.1|DSUB	LOC109400515|XP_019528579.1|AEAL
OG0000508	LOC117893534|XP_034656068.1|DSUB, LOC117892909|XP_034655111.1|DSUB	LOC109410535|XP_029727494.1|AEAL
OG0000509	LOC117890430|XP_034651149.1|DSUB	LOC109401455|XP_029708081.1|AEAL, LOC115253623|XP_029708088.1|AEAL, LOC109422218|XP_029708090.1|AEAL
OG0000510	LOC117891076|XP_034652145.1|DSUB, LOC117891077|XP_034652147.1|DSUB	LOC109408912|XP_019537841.2|AEAL, LOC109418468|XP_019548221.2|AEAL
OG0000511	LOC117902586|XP_034669975.1|DSUB, LOC117901177|XP_034667720.1|DSUB, LOC117902585|XP_034669974.1|DSUB	LOC109429398|XP_019560891.2|AEAL
OG0000513	LOC117891279|XP_034652556.1|DSUB, LOC117891188|XP_034652413.1|DSUB, LOC117901236|XP_034667800.1|DSUB	LOC115265613|XP_029727295.1|AEAL, LOC109404802|XP_019533297.2|AEAL
OG0000514	LOC117901647|XP_034668374.1|DSUB, LOC117901777|XP_034668569.1|DSUB	LOC109404634|XP_029720242.1|AEAL, LOC109411763|XP_029720339.1|AEAL
OG0000516	LOC117892036|XP_034653855.1|DSUB, LOC117903599|XP_034671735.1|DSUB	LOC115261325|XP_029718606.1|AEAL
OG0000517	LOC117895832|XP_034659661.1|DSUB, LOC117895833|XP_034659662.1|DSUB	LOC109428933|XP_019560320.2|AEAL, LOC115258132|XP_029714032.1|AEAL
OG0000521	LOC117901461|XP_034668110.1|DSUB	LOC115256649|XP_029711364.1|AEAL
OG0000521	LOC117891135|XP_034652237.1|DSUB, LOC117895966|XP_034659816.1|DSUB	LOC115256648|XP_029711363.1|AEAL
OG0000522	LOC117900417|XP_034666670.1|DSUB, LOC117898073|XP_034663139.1|DSUB, LOC117900274|XP_034666479.1|DSUB	LOC115261827|XP_029719597.1|AEAL, LOC109402233|XP_019530417.1|AEAL, LOC115267220|XP_029729967.1|AEAL
OG0000523	LOC117898619|XP_034664065.1|DSUB	LOC109417026|XP_019546697.1|AEAL
OG0000523	LOC117903474|XP_034671421.1|DSUB	LOC109402222|XP_019530404.2|AEAL
OG0000524	LOC117897512|XP_034662317.1|DSUB, LOC117896215|XP_034660239.1|DSUB	LOC109409733|XP_019538773.2|AEAL
OG0000525	LOC117892695|XP_034654996.1|DSUB, LOC117892694|XP_034654995.1|DSUB	LOC109426662|XP_029725563.1|AEAL, LOC109426663|XP_019557735.2|AEAL
OG0000526	LOC117900268|XP_034666470.1|DSUB, LOC117890421|XP_034651132.1|DSUB	LOC109420592|XP_019550501.2|AEAL, LOC115266344|XP_029728320.1|AEAL, LOC109428274|XP_029728470.1|AEAL, LOC109427955|XP_019559159.1|AEAL
OG0000527	LOC117902251|XP_034669398.1|DSUB, LOC117900400|XP_034666647.1|DSUB	LOC109420067|XP_029713542.1|AEAL, LOC115257747|XP_029713524.1|AEAL, LOC109407802|XP_029713722.1|AEAL
OG0000528	LOC117901834|XP_034668658.1|DSUB	LOC115259066|XP_029715434.1|AEAL, LOC115259076|XP_029715447.1|AEAL, LOC109433120|XP_029716911.1|AEAL, LOC109433130|XP_019565072.2|AEAL, LOC109404663|XP_019533137.2|AEAL, LOC109433136|XP_019565076.1|AEAL
OG0000529	LOC117900579|XP_034666879.1|DSUB	LOC109401725|XP_019529861.2|AEAL
OG0000530	LOC117894368|XP_034657261.1|DSUB, LOC117894369|XP_034657262.1|DSUB	LOC109404870|XP_029714637.1|AEAL, LOC115254025|XP_029715254.1|AEAL, LOC115258587|XP_029714691.1|AEAL, LOC109398719|XP_029725180.1|AEAL
OG0000531	LOC117901747|XP_034668525.1|DSUB, LOC117900344|XP_034666577.1|DSUB	LOC109402101|XP_019530267.2|AEAL, LOC115254992|XP_029708556.1|AEAL
OG0000533	LOC117895116|XP_034658417.1|DSUB	LOC115267578|XP_029730517.1|AEAL, LOC115267577|XP_029730515.1|AEAL
OG0000533	LOC117897097|XP_034661632.1|DSUB	LOC109431876|XP_029712670.1|AEAL
OG0000535	LOC117892068|XP_034653947.1|DSUB, LOC117891133|XP_034652232.1|DSUB	LOC109398917|XP_019526916.2|AEAL, LOC115261332|XP_029718636.1|AEAL, LOC109401621|XP_029724250.1|AEAL
OG0000536	LOC117894247|XP_034657078.1|DSUB	LOC115264776|XP_029724655.1|AEAL, LOC109401564|XP_029724530.1|AEAL, LOC109623392|XP_029729324.1|AEAL, LOC115262584|XP_029720835.1|AEAL, LOC109623370|XP_029720836.1|AEAL, LOC109426873|XP_019557979.2|AEAL, LOC115263539|XP_029722641.1|AEAL, LOC109426875|XP_029721168.1|AEAL
OG0000537	LOC117892217|XP_034654208.1|DSUB	LOC109408772|XP_029730736.1|AEAL, LOC115267712|XP_029730734.1|AEAL, LOC109432694|XP_029730757.1|AEAL
OG0000538	LOC117890197|XP_034650793.1|DSUB, LOC117892301|XP_034654337.1|DSUB	LOC115257305|XP_029712629.1|AEAL, LOC109408744|XP_029730747.1|AEAL, LOC109428955|XP_019560345.1|AEAL
OG0000539	LOC117896547|XP_034660823.1|DSUB, LOC117896548|XP_034660824.1|DSUB	LOC109425942|XP_019556892.2|AEAL, LOC115260132|XP_029716901.1|AEAL, LOC109407618|XP_019536304.1|AEAL
OG0000542	LOC117899231|XP_034664995.1|DSUB, LOC117902930|XP_034670418.1|DSUB	LOC109405382|XP_019533982.2|AEAL
OG0000543	LOC117896705|XP_034661053.1|DSUB, LOC117891488|XP_034652860.1|DSUB	LOC109402692|XP_019530940.2|AEAL, LOC109402667|XP_019530911.2|AEAL
OG0000544	LOC117893971|XP_034656666.1|DSUB, LOC117899717|XP_034665827.1|DSUB	LOC115269103|XP_029733348.1|AEAL, LOC109422143|XP_019552329.2|AEAL, LOC109432623|XP_019564530.2|AEAL
OG0000545	LOC117899274|XP_034665066.1|DSUB, LOC117897659|XP_034662534.1|DSUB	LOC115259474|XP_029715915.1|AEAL
OG0000546	LOC117896587|XP_034660900.1|DSUB, LOC117889967|XP_034650424.1|DSUB	LOC109404024|XP_019532434.2|AEAL
OG0000547	LOC117903139|XP_034670868.1|DSUB	LOC109409292|XP_029716677.1|AEAL, LOC109621276|XP_029726259.1|AEAL
OG0000548	LOC117893644|XP_034656221.1|DSUB, LOC117893653|XP_034656234.1|DSUB	LOC109399434|XP_019527422.2|AEAL, LOC109400760|XP_019528805.2|AEAL
OG0000549	LOC117891218|XP_034652453.1|DSUB	LOC115265020|XP_029725081.1|AEAL, LOC109422484|XP_029721752.1|AEAL, LOC109423380|XP_029716682.1|AEAL, LOC115262956|XP_029721747.1|AEAL, LOC109422434|XP_019552772.2|AEAL, LOC109425730|XP_029721748.1|AEAL, LOC115267738|XP_029730805.1|AEAL, LOC115259992|XP_029716684.1|AEAL, LOC115265016|XP_029725076.1|AEAL, LOC109425729|XP_019933254.2|AEAL, LOC109422423|XP_029716683.1|AEAL, LOC109422446|XP_019552781.2|AEAL, LOC109421026|XP_019551058.2|AEAL, LOC115261201|XP_029718408.1|AEAL, LOC115265226|XP_029725368.1|AEAL, LOC115258798|XP_029715078.1|AEAL, LOC109422467|XP_029721753.1|AEAL, LOC109425727|XP_019556600.2|AEAL
OG0000550	LOC117895115|XP_034658412.1|DSUB, LOC117901598|XP_034668305.1|DSUB	LOC109426379|XP_019557410.2|AEAL, LOC109397957|XP_019525842.1|AEAL, LOC115254490|XP_029707899.1|AEAL
OG0000552	LOC117898996|XP_034664630.1|DSUB	LOC109400279|XP_019528309.2|AEAL
OG0000553	LOC117900146|XP_034666269.1|DSUB	LOC109419526|XP_029715181.1|AEAL, LOC109409299|XP_019538286.2|AEAL, LOC115258746|XP_029714971.1|AEAL, LOC109409298|XP_019538285.2|AEAL, LOC109409297|XP_019538284.2|AEAL, LOC109419528|XP_019549289.2|AEAL
OG0000554	LOC117899047|XP_034664698.1|DSUB, LOC117899049|XP_034664700.1|DSUB	LOC115268747|XP_029732757.1|AEAL, LOC109421767|XP_029732759.1|AEAL, LOC109425210|XP_029732720.1|AEAL
OG0000555	LOC117895286|XP_034658716.1|DSUB, LOC117894224|XP_034657031.1|DSUB	LOC109423451|XP_019553972.2|AEAL, LOC109414724|XP_029731538.1|AEAL
OG0000556	LOC117901224|XP_034667789.1|DSUB, LOC117897499|XP_034662280.1|DSUB	LOC109430481|XP_019562095.1|AEAL, LOC109409568|XP_019538564.2|AEAL
OG0000557	LOC117896873|XP_034661293.1|DSUB, LOC117898263|XP_034663407.1|DSUB	LOC109431932|XP_019563782.2|AEAL
OG0000558	LOC117896412|XP_034660619.1|DSUB, LOC117903233|XP_034671024.1|DSUB	LOC109414136|XP_019543453.1|AEAL, LOC115255904|XP_029709954.1|AEAL
OG0000559	LOC117897212|XP_034661807.1|DSUB, LOC117893537|XP_034656076.1|DSUB	LOC109415951|XP_029713248.1|AEAL
OG0000560	LOC117889988|XP_034650462.1|DSUB, LOC117889987|XP_034650461.1|DSUB	LOC109623381|XP_019933483.1|AEAL, LOC109401218|XP_019529223.2|AEAL
OG0000561	LOC117894450|XP_034657439.1|DSUB, LOC117894731|XP_034657816.1|DSUB	LOC115267772|XP_029730906.1|AEAL, LOC115267773|XP_029730907.1|AEAL, LOC115262970|XP_029721772.1|AEAL, LOC115253848|XP_029731983.1|AEAL, LOC109397006|XP_029721774.1|AEAL
OG0000562	LOC117893256|XP_034655712.1|DSUB, LOC117895180|XP_034658534.1|DSUB	LOC115253653|XP_029731328.1|AEAL, LOC109621273|XP_019931918.2|AEAL, LOC109408332|XP_019537160.2|AEAL, LOC109425587|XP_029731331.1|AEAL
OG0000566	LOC117899129|XP_034664813.1|DSUB, LOC117893071|XP_034655377.1|DSUB	LOC109431116|XP_029718296.1|AEAL, LOC109424973|XP_029711665.1|AEAL
OG0000567	LOC117889642|XP_034649997.1|DSUB	LOC109428382|XP_019559649.1|AEAL
OG0000567	LOC117889643|XP_034649998.1|DSUB	LOC109415211|XP_019544645.1|AEAL
OG0000568	LOC117898826|XP_034664387.1|DSUB, LOC117897751|XP_034662683.1|DSUB	LOC109432699|XP_029710953.1|AEAL, LOC109409434|XP_029711063.1|AEAL
OG0000569	LOC117896961|XP_034661397.1|DSUB, LOC117897571|XP_034662405.1|DSUB	LOC109431022|XP_029707529.1|AEAL, LOC109412120|XP_029733692.1|AEAL
OG0000570	LOC117899079|XP_034664739.1|DSUB, LOC117898942|XP_034664553.1|DSUB	LOC109417280|XP_019546932.2|AEAL, LOC109425512|XP_019556308.2|AEAL
OG0000571	LOC117897446|XP_034662179.1|DSUB, LOC117896912|XP_034661339.1|DSUB	LOC109423650|XP_029723527.1|AEAL
OG0000572	LOC117896508|XP_034660751.1|DSUB, LOC117896459|XP_034660680.1|DSUB	LOC109622525|XP_019932455.1|AEAL, LOC109409075|XP_029716653.1|AEAL
OG0000573	LOC117893063|XP_034655358.1|DSUB, LOC117891216|XP_034652449.1|DSUB	LOC109623119|XP_019933157.2|AEAL
OG0000574	LOC117893764|XP_034656395.1|DSUB, LOC117897575|XP_034662418.1|DSUB	LOC109398017|XP_029730343.1|AEAL
OG0000576	LOC117898098|XP_034663169.1|DSUB	LOC109404652|XP_029716919.1|AEAL, LOC109433069|XP_019565001.2|AEAL
OG0000577	LOC117902660|XP_034670079.1|DSUB	LOC115254088|XP_029720167.1|AEAL, LOC109429786|XP_029720174.1|AEAL
OG0000578	LOC117900003|XP_034666068.1|DSUB, LOC117890379|XP_034651068.1|DSUB	LOC109421754|XP_019551836.2|AEAL
OG0000579	LOC117896769|XP_034661137.1|DSUB, LOC117895766|XP_034659531.1|DSUB	LOC109427001|XP_029720829.1|AEAL, LOC109410391|XP_019539489.1|AEAL
OG0000580	LOC117899778|XP_034665941.1|DSUB, LOC117899779|XP_034665942.1|DSUB	LOC109622058|XP_029734263.1|AEAL, LOC109405049|XP_019533586.2|AEAL
OG0000581	LOC117897689|XP_034662599.1|DSUB	LOC109424053|XP_029709744.1|AEAL, LOC109426220|XP_019557214.2|AEAL
OG0000582	LOC117893420|XP_034655926.1|DSUB, LOC117892553|XP_034654754.1|DSUB	LOC115253577|XP_029721343.1|AEAL
OG0000583	LOC117891055|XP_034652118.1|DSUB, LOC117891598|XP_034653020.1|DSUB	LOC109399661|XP_019527701.2|AEAL, LOC109400872|XP_019528934.2|AEAL, LOC115253930|XP_029708107.1|AEAL
OG0000589	LOC117894262|XP_034657111.1|DSUB	LOC109428568|XP_029712648.1|AEAL, LOC109416786|XP_029712645.1|AEAL
OG0000590	LOC117897370|XP_034662063.1|DSUB	LOC115256419|XP_029710793.1|AEAL, LOC109422005|XP_019552194.1|AEAL
OG0000592	LOC117890975|XP_034652004.1|DSUB, LOC117891576|XP_034652991.1|DSUB	LOC109413801|XP_019543076.2|AEAL
OG0000593	LOC117896778|XP_034661145.1|DSUB, LOC117903075|XP_034670764.1|DSUB	LOC109405654|XP_019534269.1|AEAL
OG0000594	LOC117896295|XP_034660407.1|DSUB, LOC117898096|XP_034663166.1|DSUB	LOC109431948|XP_019563796.1|AEAL
OG0000595	LOC117899688|XP_034665772.1|DSUB, LOC117896796|XP_034661183.1|DSUB	LOC109430713|XP_029713298.1|AEAL
OG0000598	LOC117896003|XP_034659890.1|DSUB	LOC109402440|XP_019530671.2|AEAL, LOC115257287|XP_029712602.1|AEAL, LOC109405426|XP_029733450.1|AEAL, LOC115257289|XP_029712605.1|AEAL, LOC115257288|XP_029712603.1|AEAL
OG0000599	LOC117893545|XP_034656087.1|DSUB	LOC109408683|XP_029734555.1|AEAL, LOC115261354|XP_029718725.1|AEAL, LOC109400822|XP_029718714.1|AEAL
OG0000600	LOC117890088|XP_034650637.1|DSUB, LOC117890940|XP_034651965.1|DSUB	LOC109408684|XP_019537594.1|AEAL, LOC109403069|XP_019531352.1|AEAL
OG0000601	LOC117900886|XP_034667306.1|DSUB, LOC117902109|XP_034669108.1|DSUB	LOC109423786|XP_029735471.1|AEAL, LOC109430629|XP_019562263.2|AEAL
OG0000602	LOC117901788|XP_034668589.1|DSUB, LOC117901833|XP_034668657.1|DSUB	LOC115267271|XP_029730033.1|AEAL, LOC109621962|XP_029724969.1|AEAL, LOC109415053|XP_029724927.1|AEAL
OG0000603	LOC117902791|XP_034670297.1|DSUB	LOC109407343|XP_029727193.1|AEAL
OG0000604	LOC117900813|XP_034667195.1|DSUB, LOC117900814|XP_034667198.1|DSUB	LOC109402479|XP_019530712.1|AEAL, LOC115268623|XP_029732620.1|AEAL
OG0000605	LOC117900080|XP_034666175.1|DSUB	LOC109429829|XP_029729193.1|AEAL, LOC109398299|XP_029720138.1|AEAL, LOC109398309|XP_019526202.2|AEAL, LOC109429834|XP_019561364.2|AEAL, LOC109429835|XP_029720136.1|AEAL, LOC109398310|XP_029729190.1|AEAL, LOC109429837|XP_019561368.2|AEAL, LOC109429838|XP_019561369.2|AEAL, LOC109398347|XP_019526242.2|AEAL
OG0000606	LOC117895970|XP_034659820.1|DSUB	LOC109423284|XP_019553754.1|AEAL
OG0000607	LOC117897649|XP_034662515.1|DSUB, LOC117898354|XP_034663578.1|DSUB	LOC109423418|XP_019553946.1|AEAL, LOC109414557|XP_019543945.1|AEAL
OG0000608	LOC117898179|XP_034663278.1|DSUB, LOC117895953|XP_034659794.1|DSUB	LOC109399309|XP_029733070.1|AEAL, LOC109433355|XP_019565325.1|AEAL
OG0000609	LOC117901148|XP_034667682.1|DSUB, LOC117903710|XP_034671947.1|DSUB	LOC109416410|XP_029727763.1|AEAL, LOC109424015|XP_029727745.1|AEAL
OG0000610	LOC117894067|XP_034656810.1|DSUB, LOC117890436|XP_034651157.1|DSUB	LOC109401552|XP_029724515.1|AEAL, LOC115264691|XP_029724535.1|AEAL, LOC109402882|XP_029724478.1|AEAL
OG0000611	LOC117891655|XP_034653098.1|DSUB, LOC117889862|XP_034650255.1|DSUB	LOC109422358|XP_029729585.1|AEAL, LOC109424456|XP_029716841.1|AEAL
OG0000615	LOC117893503|XP_034656032.1|DSUB, LOC117898117|XP_034663196.1|DSUB	LOC109397869|XP_029710544.1|AEAL
OG0000616	LOC117903577|XP_034671686.1|DSUB	LOC115254222|XP_029733238.1|AEAL, LOC109404704|XP_019533175.2|AEAL, LOC115269107|XP_029733374.1|AEAL, LOC109404727|XP_029733231.1|AEAL, LOC115269088|XP_029733297.1|AEAL
OG0000617	LOC117896190|XP_034660171.1|DSUB, LOC117899355|XP_034665218.1|DSUB	LOC109412435|XP_019541619.2|AEAL
OG0000618	LOC117893094|XP_034655415.1|DSUB	LOC115263769|XP_029722968.1|AEAL, LOC109398219|XP_029716476.1|AEAL
OG0000619	LOC117892470|XP_034654614.1|DSUB	LOC109398470|XP_019526394.3|AEAL
OG0000620	LOC117903415|XP_034671321.1|DSUB, LOC117894480|XP_034657473.1|DSUB	LOC109409698|XP_029707751.1|AEAL, LOC109411441|XP_029726027.1|AEAL
OG0000621	LOC117896275|XP_034660368.1|DSUB, LOC117900158|XP_034666293.1|DSUB, LOC117903506|XP_034671478.1|DSUB	LOC109622528|XP_029716638.1|AEAL, LOC109409150|XP_029726276.1|AEAL
OG0000622	LOC117894660|XP_034657725.1|DSUB, LOC117894157|XP_034656945.1|DSUB	LOC109622843|XP_029711982.1|AEAL, LOC109622846|XP_029726597.1|AEAL
OG0000623	LOC117894704|XP_034657778.1|DSUB, LOC117895609|XP_034659248.1|DSUB	LOC115253428|XP_029718033.1|AEAL, LOC109420207|XP_019550075.1|AEAL, LOC109409984|XP_029725830.1|AEAL
OG0000624	LOC117891637|XP_034653074.1|DSUB, LOC117891636|XP_034653073.1|DSUB	LOC109425709|XP_019556571.1|AEAL
OG0000625	LOC117895500|XP_034659087.1|DSUB, LOC117895518|XP_034659113.1|DSUB	LOC109426095|XP_029730585.1|AEAL, LOC115267615|XP_029730610.1|AEAL, LOC109397994|XP_029730612.1|AEAL
OG0000626	LOC117890396|XP_034651091.1|DSUB, LOC117889978|XP_034650450.1|DSUB	LOC115266311|XP_029728165.1|AEAL, LOC109622267|XP_029728271.1|AEAL, LOC109414462|XP_029728193.1|AEAL
OG0000627	LOC117894438|XP_034657395.1|DSUB, LOC117901467|XP_034668124.1|DSUB	LOC109622818|XP_029715012.1|AEAL, LOC109397521|XP_029714603.1|AEAL
OG0000628	LOC117901964|XP_034668835.1|DSUB, LOC117901746|XP_034668524.1|DSUB	LOC109429097|XP_019560485.1|AEAL, LOC109421051|XP_019551086.1|AEAL
OG0000629	LOC117898001|XP_034663020.1|DSUB, LOC117902665|XP_034670086.1|DSUB	LOC109419884|XP_019549717.2|AEAL, LOC109420720|XP_029708887.1|AEAL, LOC115255144|XP_029708882.1|AEAL
OG0000630	LOC117900872|XP_034667287.1|DSUB, LOC117901539|XP_034668220.1|DSUB	LOC109420679|XP_019550650.1|AEAL
OG0000631	LOC117900289|XP_034666492.1|DSUB, LOC117900867|XP_034667283.1|DSUB	LOC109407688|XP_029708727.1|AEAL, LOC115255085|XP_029708724.1|AEAL, LOC109420639|XP_029708717.1|AEAL
OG0000632	LOC117900773|XP_034667145.1|DSUB, LOC117902747|XP_034670224.1|DSUB	LOC115265192|XP_029725327.1|AEAL, LOC109421347|XP_029726912.1|AEAL
OG0000634	LOC117891797|XP_034653366.1|DSUB, LOC117890154|XP_034650736.1|DSUB	LOC109401102|XP_029736361.1|AEAL, LOC109422553|XP_019552899.2|AEAL
OG0000635	LOC117891291|XP_034652575.1|DSUB, LOC117894878|XP_034658036.1|DSUB	LOC109422617|XP_029712249.1|AEAL
OG0000636	LOC117900468|XP_034666739.1|DSUB, LOC117900626|XP_034666946.1|DSUB	LOC109416141|XP_029719220.1|AEAL, LOC109416212|XP_019545748.2|AEAL
OG0000637	LOC117890544|XP_034651363.1|DSUB, LOC117902569|XP_034669910.1|DSUB	LOC109428744|XP_029734033.1|AEAL, LOC109397324|XP_029733923.1|AEAL, LOC109424548|XP_029733404.1|AEAL
OG0000638	LOC117898033|XP_034663063.1|DSUB, LOC117900568|XP_034666870.1|DSUB	LOC115253666|XP_029721245.1|AEAL, LOC109401283|XP_019933380.1|AEAL, LOC109621229|XP_029732643.1|AEAL, LOC109428588|XP_029721258.1|AEAL
OG0000639	LOC117895870|XP_034659736.1|DSUB	LOC109432242|XP_029731044.1|AEAL, LOC109396983|XP_029730897.1|AEAL
OG0000646	LOC117896640|XP_034660977.1|DSUB, LOC117897928|XP_034662904.1|DSUB	LOC109412975|XP_029721793.1|AEAL, LOC115256705|XP_029711486.1|AEAL, LOC109428533|XP_029711734.1|AEAL
OG0000647	LOC117898247|XP_034663383.1|DSUB, LOC117898818|XP_034664375.1|DSUB	LOC109397890|XP_029710623.1|AEAL
OG0000648	LOC117899608|XP_034665632.1|DSUB	LOC115256430|XP_029710851.1|AEAL, LOC109427523|XP_019558622.2|AEAL, LOC115256447|XP_029710920.1|AEAL
OG0000649	LOC117895061|XP_034658335.1|DSUB, LOC117895051|XP_034658324.1|DSUB	LOC109427548|XP_029710777.1|AEAL, LOC115256597|XP_029711265.1|AEAL, LOC115269372|XP_029733899.1|AEAL
OG0000650	LOC117897037|XP_034661509.1|DSUB	LOC115256393|XP_029710677.1|AEAL, LOC109401900|XP_019530060.2|AEAL
OG0000651	LOC117894146|XP_034656931.1|DSUB, LOC117892973|XP_034655204.1|DSUB	LOC109405949|XP_019534542.2|AEAL, LOC109406923|XP_029728625.1|AEAL
OG0000652	LOC117891840|XP_034653481.1|DSUB, LOC117902185|XP_034669254.1|DSUB	LOC109429778|XP_029726721.1|AEAL, LOC115253614|XP_029713922.1|AEAL, LOC109430728|XP_029713782.1|AEAL
OG0000653	LOC117898588|XP_034664023.1|DSUB, LOC117898585|XP_034664020.1|DSUB, LOC117898396|XP_034663645.1|DSUB	LOC109416868|XP_019546511.2|AEAL, LOC109623096|XP_019933123.2|AEAL
OG0000654	LOC117894074|XP_034656821.1|DSUB	LOC109426592|XP_029725611.1|AEAL
OG0000655	LOC117892334|XP_034654377.1|DSUB	LOC109403659|XP_029735155.1|AEAL, LOC109407972|XP_029735110.1|AEAL
OG0000656	LOC117899271|XP_034665060.1|DSUB, LOC117899272|XP_034665061.1|DSUB	LOC109414992|XP_029728932.1|AEAL
OG0000657	LOC117893634|XP_034656211.1|DSUB, LOC117902372|XP_034669579.1|DSUB	LOC109428263|XP_019559537.2|AEAL
OG0000658	LOC117903395|XP_034671272.1|DSUB, LOC117898052|XP_034663104.1|DSUB	LOC115253850|XP_029715217.1|AEAL, LOC109428501|XP_029734110.1|AEAL, LOC109420976|XP_029714914.1|AEAL
OG0000659	LOC117902690|XP_034670123.1|DSUB, LOC117901765|XP_034668546.1|DSUB	LOC109428712|XP_019560083.1|AEAL
OG0000660	LOC117901555|XP_034668243.1|DSUB, LOC117900614|XP_034666929.1|DSUB, LOC117900616|XP_034666931.1|DSUB, LOC117900615|XP_034666930.1|DSUB, LOC117891191|XP_034652418.1|DSUB, LOC117900617|XP_034666932.1|DSUB	LOC109402519|XP_029720042.1|AEAL
OG0000661	LOC117893297|XP_034655763.1|DSUB, LOC117902430|XP_034669689.1|DSUB	LOC109411721|XP_019540843.2|AEAL
OG0000662	LOC117894923|XP_034658118.1|DSUB, LOC117890277|XP_034650932.1|DSUB	LOC115257202|XP_029712499.1|AEAL, LOC109414164|XP_029707887.1|AEAL
OG0000663	LOC117891955|XP_034653705.1|DSUB	LOC115257196|XP_029712488.1|AEAL, LOC109414163|XP_019543489.2|AEAL
OG0000664	LOC117896176|XP_034660150.1|DSUB	LOC115268730|XP_029732733.1|AEAL, LOC115268732|XP_029732735.1|AEAL
OG0000664	LOC117889821|XP_034650195.1|DSUB	LOC109427984|XP_019559185.2|AEAL
OG0000665	LOC117898714|XP_034664222.1|DSUB	LOC109415719|XP_029724398.1|AEAL
OG0000666	LOC117891175|XP_034652390.1|DSUB, LOC117903299|XP_034671122.1|DSUB	LOC109413683|XP_029727511.1|AEAL
OG0000667	LOC117903132|XP_034670855.1|DSUB, LOC117899787|XP_034665953.1|DSUB	LOC115265120|XP_029725214.1|AEAL, LOC115271095|XP_029736440.1|AEAL, LOC109422632|XP_029736376.1|AEAL
OG0000668	LOC117897948|XP_034662939.1|DSUB, LOC117896787|XP_034661175.1|DSUB	LOC109402806|XP_029712212.1|AEAL, LOC115253981|XP_029712280.1|AEAL
