Orthogroup	DSUB.longest_only	CCAP.longest_only
OG0001411	LOC117899476|XP_034665397.1|DSUB	CCAP1982_LOCUS2759|CAD6993975.1|CCAP
OG0001412	LOC117900416|XP_034666667.1|DSUB	CCAP1982_LOCUS8110|CAD6999586.1|CCAP
OG0001413	LOC117892584|XP_034654813.1|DSUB	CCAP1982_LOCUS23079|CAD7015129.1|CCAP, CCAP1982_LOCUS23077|CAD7015127.1|CCAP, CCAP1982_LOCUS23078|CAD7015128.1|CCAP
OG0001415	LOC117892668|XP_034654948.1|DSUB	CCAP1982_LOCUS20024|CAD7011913.1|CCAP
OG0001416	LOC117902610|XP_034670013.1|DSUB	CCAP1982_LOCUS20705|CAD7012621.1|CCAP
OG0001417	LOC117903636|XP_034671801.1|DSUB	CCAP1982_LOCUS21009|CAD7012910.1|CCAP, CCAP1982_LOCUS21010|CAD7012911.1|CCAP, CCAP1982_LOCUS21011|CAD7012912.1|CCAP
OG0001418	LOC117895383|XP_034658897.1|DSUB	CCAP1982_LOCUS11084|CAD7002598.1|CCAP
OG0001429	LOC117896213|XP_034660236.1|DSUB	CCAP1982_LOCUS1446|CAD6992597.1|CCAP
OG0001430	LOC117899690|XP_034665782.1|DSUB	CCAP1982_LOCUS1915|CAD6993088.1|CCAP
OG0001437	LOC117902347|XP_034669541.1|DSUB	CCAP1982_LOCUS1003|CAD6992121.1|CCAP
OG0001438	LOC117899464|XP_034665370.1|DSUB	CCAP1982_LOCUS1198|CAD6992334.1|CCAP
OG0001439	LOC117898704|XP_034664213.1|DSUB	CCAP1982_LOCUS2418|CAD6993608.1|CCAP
OG0001443	LOC117896138|XP_034660098.1|DSUB	CCAP1982_LOCUS1087|CAD6992217.1|CCAP
OG0001444	LOC117897118|XP_034661661.1|DSUB	CCAP1982_LOCUS3898|CAD6995177.1|CCAP
OG0001445	LOC117891243|XP_034652480.1|DSUB, LOC117897937|XP_034662918.1|DSUB	CCAP1982_LOCUS21225|CAD7013154.1|CCAP, CCAP1982_LOCUS2777|CAD6993996.1|CCAP
OG0001446	LOC117896614|XP_034660939.1|DSUB	CCAP1982_LOCUS2757|CAD6993972.1|CCAP
OG0001447	LOC117898380|XP_034663615.1|DSUB	CCAP1982_LOCUS61|CAD6991115.1|CCAP
OG0001448	LOC117899559|XP_034665542.1|DSUB	CCAP1982_LOCUS1118|CAD6992248.1|CCAP
OG0001449	LOC117890356|XP_034651041.1|DSUB	CCAP1982_LOCUS12143|CAD7003706.1|CCAP
OG0001450	LOC117902675|XP_034670096.1|DSUB	CCAP1982_LOCUS1353|CAD6992503.1|CCAP
OG0001451	LOC117890625|XP_034651463.1|DSUB	CCAP1982_LOCUS21472|CAD7013410.1|CCAP
OG0001452	LOC117890384|XP_034651076.1|DSUB	CCAP1982_LOCUS22575|CAD7014576.1|CCAP
OG0001453	LOC117893475|XP_034655989.1|DSUB	CCAP1982_LOCUS12525|CAD7004102.1|CCAP
OG0001454	LOC117896877|XP_034661296.1|DSUB	CCAP1982_LOCUS4208|CAD6995495.1|CCAP
OG0001455	LOC117893639|XP_034656217.1|DSUB	CCAP1982_LOCUS14933|CAD7006626.1|CCAP
OG0001456	LOC117892340|XP_034654385.1|DSUB	CCAP1982_LOCUS23228|CAD7015281.1|CCAP, CCAP1982_LOCUS23229|CAD7015282.1|CCAP, CCAP1982_LOCUS23226|CAD7015279.1|CCAP
OG0001457	LOC117891098|XP_034652174.1|DSUB	CCAP1982_LOCUS23313|CAD7015368.1|CCAP
OG0001458	LOC117891572|XP_034652985.1|DSUB	CCAP1982_LOCUS21991|CAD7013982.1|CCAP
OG0001459	LOC117894577|XP_034657609.1|DSUB	CCAP1982_LOCUS12616|CAD7004197.1|CCAP, CCAP1982_LOCUS12627|CAD7004208.1|CCAP
OG0001460	LOC117891972|XP_034653735.1|DSUB	CCAP1982_LOCUS22491|CAD7014489.1|CCAP, CCAP1982_LOCUS22493|CAD7014491.1|CCAP
OG0001462	LOC117893099|XP_034655422.1|DSUB	CCAP1982_LOCUS12226|CAD7003792.1|CCAP
OG0001463	LOC117897740|XP_034662667.1|DSUB	CCAP1982_LOCUS4832|CAD6996139.1|CCAP
OG0001465	LOC117891949|XP_034653695.1|DSUB	CCAP1982_LOCUS23292|CAD7015347.1|CCAP
OG0001466	LOC117901653|XP_034668380.1|DSUB	CCAP1982_LOCUS8263|CAD6999737.1|CCAP
OG0001467	LOC117901534|XP_034668215.1|DSUB	CCAP1982_LOCUS8527|CAD7000023.1|CCAP
OG0001468	LOC117894733|XP_034657820.1|DSUB	CCAP1982_LOCUS12076|CAD7003637.1|CCAP, CCAP1982_LOCUS1503|CAD6992658.1|CCAP
OG0001469	LOC117891252|XP_034652512.1|DSUB	CCAP1982_LOCUS21877|CAD7013858.1|CCAP
OG0001470	LOC117894710|XP_034657782.1|DSUB	CCAP1982_LOCUS14046|CAD7005694.1|CCAP
OG0001471	LOC117894182|XP_034656978.1|DSUB	CCAP1982_LOCUS10995|CAD7002506.1|CCAP
OG0001472	LOC117903261|XP_034671055.1|DSUB, LOC117894040|XP_034656780.1|DSUB	CCAP1982_LOCUS12411|CAD7003989.1|CCAP
OG0001473	LOC117898645|XP_034664097.1|DSUB	CCAP1982_LOCUS2309|CAD6993496.1|CCAP
OG0001474	LOC117903264|XP_034671061.1|DSUB, LOC117891139|XP_034652239.1|DSUB	CCAP1982_LOCUS22192|CAD7014186.1|CCAP
OG0001475	LOC117891182|XP_034652399.1|DSUB, LOC117891183|XP_034652400.1|DSUB	CCAP1982_LOCUS21622|CAD7013566.1|CCAP
OG0001476	LOC117889780|XP_034650136.1|DSUB	CCAP1982_LOCUS23001|CAD7015044.1|CCAP
OG0001478	LOC117902477|XP_034669777.1|DSUB	CCAP1982_LOCUS6943|CAD6998341.1|CCAP
OG0001480	LOC117902474|XP_034669773.1|DSUB	CCAP1982_LOCUS7499|CAD6998952.1|CCAP
OG0001481	LOC117902652|XP_034670069.1|DSUB	CCAP1982_LOCUS7609|CAD6999063.1|CCAP, CCAP1982_LOCUS7608|CAD6999062.1|CCAP
OG0001482	LOC117891261|XP_034652525.1|DSUB	CCAP1982_LOCUS22940|CAD7014980.1|CCAP
OG0001483	LOC117902183|XP_034669247.1|DSUB	CCAP1982_LOCUS5446|CAD6996770.1|CCAP
OG0001484	LOC117900371|XP_034666612.1|DSUB	CCAP1982_LOCUS2927|CAD6994161.1|CCAP
OG0001485	LOC117894670|XP_034657739.1|DSUB	CCAP1982_LOCUS13494|CAD7005132.1|CCAP
OG0001486	LOC117900841|XP_034667244.1|DSUB	CCAP1982_LOCUS8832|CAD7000350.1|CCAP
OG0001487	LOC117900529|XP_034666819.1|DSUB	CCAP1982_LOCUS5886|CAD6997253.1|CCAP
OG0001488	LOC117890602|XP_034651432.1|DSUB	CCAP1982_LOCUS22517|CAD7014516.1|CCAP
OG0001489	LOC117901252|XP_034667823.1|DSUB	CCAP1982_LOCUS6375|CAD6997743.1|CCAP, CCAP1982_LOCUS6361|CAD6997729.1|CCAP
OG0001490	LOC117900228|XP_034666404.1|DSUB	CCAP1982_LOCUS6385|CAD6997753.1|CCAP
OG0001491	LOC117902809|XP_034670323.1|DSUB	CCAP1982_LOCUS8226|CAD6999700.1|CCAP, CCAP1982_LOCUS8228|CAD6999702.1|CCAP
OG0001495	LOC117892726|XP_034655040.1|DSUB	CCAP1982_LOCUS22388|CAD7014394.1|CCAP
OG0001497	LOC117891137|XP_034652236.1|DSUB	CCAP1982_LOCUS22948|CAD7014991.1|CCAP, CCAP1982_LOCUS8341|CAD6999830.1|CCAP
OG0001498	LOC117898888|XP_034664462.1|DSUB	CCAP1982_LOCUS4395|CAD6995688.1|CCAP
OG0001500	LOC117892233|XP_034654228.1|DSUB, LOC117892232|XP_034654226.1|DSUB	CCAP1982_LOCUS21162|CAD7013087.1|CCAP
OG0001501	LOC117899270|XP_034665059.1|DSUB	CCAP1982_LOCUS4853|CAD6996161.1|CCAP, CCAP1982_LOCUS384|CAD6991459.1|CCAP
OG0001502	LOC117891487|XP_034652859.1|DSUB	CCAP1982_LOCUS19881|CAD7011769.1|CCAP, CCAP1982_LOCUS19882|CAD7011770.1|CCAP
OG0001503	LOC117891931|XP_034653657.1|DSUB	CCAP1982_LOCUS20213|CAD7012114.1|CCAP, CCAP1982_LOCUS20215|CAD7012116.1|CCAP
OG0001505	LOC117891721|XP_034653204.1|DSUB	CCAP1982_LOCUS15016|CAD7006717.1|CCAP
OG0001506	LOC117891934|XP_034653667.1|DSUB	CCAP1982_LOCUS20292|CAD7012190.1|CCAP
OG0001507	LOC117890879|XP_034651863.1|DSUB	CCAP1982_LOCUS15035|CAD7006736.1|CCAP
OG0001508	LOC117890404|XP_034651105.1|DSUB	CCAP1982_LOCUS19705|CAD7011617.1|CCAP
OG0001509	LOC117889997|XP_034650474.1|DSUB	CCAP1982_LOCUS21064|CAD7012973.1|CCAP
OG0001510	LOC117901448|XP_034668084.1|DSUB	CCAP1982_LOCUS5603|CAD6996933.1|CCAP
OG0001512	LOC117894835|XP_034657974.1|DSUB	CCAP1982_LOCUS12364|CAD7003942.1|CCAP
OG0001513	LOC117893187|XP_034655588.1|DSUB	CCAP1982_LOCUS14667|CAD7006345.1|CCAP, CCAP1982_LOCUS14668|CAD7006346.1|CCAP, CCAP1982_LOCUS14665|CAD7006343.1|CCAP
OG0001517	LOC117897547|XP_034662365.1|DSUB	CCAP1982_LOCUS2393|CAD6993582.1|CCAP
OG0001518	LOC117903496|XP_034671467.1|DSUB	CCAP1982_LOCUS2328|CAD6993515.1|CCAP, CCAP1982_LOCUS2327|CAD6993514.1|CCAP
OG0001519	LOC117899405|XP_034665282.1|DSUB	CCAP1982_LOCUS4702|CAD6995996.1|CCAP
OG0001521	LOC117901673|XP_034668404.1|DSUB	CCAP1982_LOCUS6137|CAD6997495.1|CCAP, CCAP1982_LOCUS6136|CAD6997494.1|CCAP
OG0001523	LOC117891262|XP_034652526.1|DSUB	CCAP1982_LOCUS22347|CAD7014350.1|CCAP, CCAP1982_LOCUS22346|CAD7014349.1|CCAP, CCAP1982_LOCUS22348|CAD7014351.1|CCAP
OG0001524	LOC117890557|XP_034651380.1|DSUB	CCAP1982_LOCUS20848|CAD7012744.1|CCAP
OG0001537	LOC117902482|XP_034669784.1|DSUB, LOC117900716|XP_034667071.1|DSUB, LOC117901961|XP_034668832.1|DSUB	CCAP1982_LOCUS7541|CAD6998994.1|CCAP
OG0001539	LOC117891047|XP_034652108.1|DSUB	CCAP1982_LOCUS22236|CAD7014233.1|CCAP
OG0001540	LOC117900426|XP_034666681.1|DSUB	CCAP1982_LOCUS8379|CAD6999869.1|CCAP, CCAP1982_LOCUS8380|CAD6999870.1|CCAP
OG0001541	LOC117893218|XP_034655643.1|DSUB	CCAP1982_LOCUS13746|CAD7005386.1|CCAP
OG0001542	LOC117897389|XP_034662089.1|DSUB	CCAP1982_LOCUS3519|CAD6994788.1|CCAP, CCAP1982_LOCUS3518|CAD6994787.1|CCAP
OG0001549	LOC117902575|XP_034669944.1|DSUB	CCAP1982_LOCUS7896|CAD6999369.1|CCAP
OG0001550	LOC117897302|XP_034661940.1|DSUB	CCAP1982_LOCUS2172|CAD6993354.1|CCAP
OG0001551	LOC117895967|XP_034659812.1|DSUB	CCAP1982_LOCUS3146|CAD6994394.1|CCAP
OG0001552	LOC117898270|XP_034663416.1|DSUB	CCAP1982_LOCUS3882|CAD6995161.1|CCAP
OG0001554	LOC117897250|XP_034661864.1|DSUB	CCAP1982_LOCUS1047|CAD6992172.1|CCAP
OG0001555	LOC117902236|XP_034669370.1|DSUB	CCAP1982_LOCUS8800|CAD7000315.1|CCAP
OG0001556	LOC117890875|XP_034651858.1|DSUB	CCAP1982_LOCUS21904|CAD7013890.1|CCAP
OG0001559	LOC117897583|XP_034662428.1|DSUB	CCAP1982_LOCUS1563|CAD6992718.1|CCAP, CCAP1982_LOCUS1557|CAD6992712.1|CCAP, CCAP1982_LOCUS1558|CAD6992713.1|CCAP
OG0001560	LOC117899756|XP_034665898.1|DSUB	CCAP1982_LOCUS4333|CAD6995627.1|CCAP
OG0001561	LOC117899387|XP_034665260.1|DSUB	CCAP1982_LOCUS1554|CAD6992709.1|CCAP, CCAP1982_LOCUS1545|CAD6992700.1|CCAP, CCAP1982_LOCUS1555|CAD6992710.1|CCAP, CCAP1982_LOCUS1546|CAD6992701.1|CCAP
OG0001562	LOC117902611|XP_034670014.1|DSUB	CCAP1982_LOCUS1189|CAD6992322.1|CCAP
OG0001563	LOC117897154|XP_034661717.1|DSUB	CCAP1982_LOCUS20081|CAD7011970.1|CCAP
OG0001564	LOC117899770|XP_034665920.1|DSUB	CCAP1982_LOCUS2912|CAD6994146.1|CCAP
OG0001565	LOC117897544|XP_034662360.1|DSUB	CCAP1982_LOCUS2206|CAD6993390.1|CCAP, CCAP1982_LOCUS2201|CAD6993385.1|CCAP
OG0001566	LOC117890098|XP_034651057.1|DSUB, LOC117899162|XP_034664912.1|DSUB	CCAP1982_LOCUS2933|CAD6994168.1|CCAP
OG0001567	LOC117889936|XP_034650358.1|DSUB	CCAP1982_LOCUS20683|CAD7012598.1|CCAP
OG0001568	LOC117899329|XP_034665156.1|DSUB	CCAP1982_LOCUS4089|CAD6995371.1|CCAP, CCAP1982_LOCUS4088|CAD6995370.1|CCAP, CCAP1982_LOCUS4087|CAD6995368.1|CCAP, CCAP1982_LOCUS4081|CAD6995362.1|CCAP
OG0001569	LOC117896785|XP_034661173.1|DSUB	CCAP1982_LOCUS1296|CAD6992434.1|CCAP
OG0001570	LOC117896829|XP_034661233.1|DSUB	CCAP1982_LOCUS2355|CAD6993543.1|CCAP
OG0001571	LOC117899979|XP_034666035.1|DSUB	CCAP1982_LOCUS5652|CAD6996990.1|CCAP
OG0001573	LOC117895848|XP_034659700.1|DSUB	CCAP1982_LOCUS11585|CAD7003123.1|CCAP, CCAP1982_LOCUS11587|CAD7003125.1|CCAP
OG0001575	LOC117899564|XP_034665560.1|DSUB	CCAP1982_LOCUS3773|CAD6995046.1|CCAP
OG0001576	LOC117897611|XP_034662466.1|DSUB	CCAP1982_LOCUS117|CAD6991178.1|CCAP
OG0001577	LOC117896651|XP_034660988.1|DSUB, LOC117898066|XP_034663130.1|DSUB	CCAP1982_LOCUS9052|CAD7000578.1|CCAP
OG0001580	LOC117891945|XP_034653689.1|DSUB	CCAP1982_LOCUS23298|CAD7015353.1|CCAP, CCAP1982_LOCUS23296|CAD7015351.1|CCAP, CCAP1982_LOCUS23297|CAD7015352.1|CCAP
OG0001582	LOC117890276|XP_034650926.1|DSUB	CCAP1982_LOCUS22748|CAD7014775.1|CCAP
OG0001583	LOC117890416|XP_034651121.1|DSUB	CCAP1982_LOCUS22705|CAD7014727.1|CCAP
OG0001584	LOC117894199|XP_034657005.1|DSUB, LOC117894198|XP_034657004.1|DSUB	CCAP1982_LOCUS10967|CAD7002478.1|CCAP
OG0001586	LOC117895044|XP_034658313.1|DSUB, LOC117895785|XP_034659580.1|DSUB	CCAP1982_LOCUS11853|CAD7003396.1|CCAP
OG0001587	LOC117891315|XP_034652618.1|DSUB	CCAP1982_LOCUS23022|CAD7015066.1|CCAP
OG0001588	LOC117891201|XP_034652428.1|DSUB	CCAP1982_LOCUS21201|CAD7013129.1|CCAP
OG0001589	LOC117900959|XP_034667425.1|DSUB	CCAP1982_LOCUS5882|CAD6997249.1|CCAP
OG0001590	LOC117892401|XP_034654508.1|DSUB	CCAP1982_LOCUS20139|CAD7012036.1|CCAP
OG0001592	LOC117901778|XP_034668573.1|DSUB	CCAP1982_LOCUS8353|CAD6999841.1|CCAP
OG0001593	LOC117901540|XP_034668222.1|DSUB	CCAP1982_LOCUS8340|CAD6999829.1|CCAP
OG0001594	LOC117902348|XP_034669548.1|DSUB	CCAP1982_LOCUS8198|CAD6999668.1|CCAP
OG0001595	LOC117891589|XP_034653007.1|DSUB	CCAP1982_LOCUS5937|CAD6997304.1|CCAP, CCAP1982_LOCUS5948|CAD6997315.1|CCAP, CCAP1982_LOCUS22469|CAD7014473.1|CCAP, CCAP1982_LOCUS22468|CAD7014472.1|CCAP
OG0001596	LOC117901676|XP_034668409.1|DSUB	CCAP1982_LOCUS6097|CAD6997451.1|CCAP
OG0001597	LOC117900159|XP_034666290.1|DSUB	CCAP1982_LOCUS5570|CAD6996897.1|CCAP
OG0001598	LOC117902649|XP_034670065.1|DSUB	CCAP1982_LOCUS6570|CAD6997953.1|CCAP
OG0001599	LOC117900608|XP_034666914.1|DSUB	CCAP1982_LOCUS6415|CAD6997790.1|CCAP
OG0001601	LOC117901741|XP_034668519.1|DSUB	CCAP1982_LOCUS9239|CAD7000764.1|CCAP
OG0001603	LOC117902196|XP_034669288.1|DSUB	CCAP1982_LOCUS5630|CAD6996964.1|CCAP
OG0001605	LOC117891307|XP_034652605.1|DSUB	CCAP1982_LOCUS22126|CAD7014120.1|CCAP
OG0001607	LOC117901398|XP_034668022.1|DSUB	CCAP1982_LOCUS7005|CAD6998405.1|CCAP
OG0001608	LOC117902028|XP_034668978.1|DSUB	CCAP1982_LOCUS5486|CAD6996813.1|CCAP
OG0001609	LOC117891618|XP_034653045.1|DSUB	CCAP1982_LOCUS7242|CAD6998684.1|CCAP
OG0001610	LOC117901200|XP_034667745.1|DSUB	CCAP1982_LOCUS5695|CAD6997037.1|CCAP
OG0001612	LOC117902815|XP_034670331.1|DSUB	CCAP1982_LOCUS8268|CAD6999742.1|CCAP
OG0001613	LOC117900847|XP_034667255.1|DSUB	CCAP1982_LOCUS5623|CAD6996956.1|CCAP
OG0001614	LOC117891108|XP_034652189.1|DSUB	CCAP1982_LOCUS22551|CAD7014550.1|CCAP
OG0001615	LOC117902754|XP_034670234.1|DSUB	CCAP1982_LOCUS6168|CAD6997529.1|CCAP
OG0001616	LOC117900948|XP_034667411.1|DSUB	CCAP1982_LOCUS7604|CAD6999057.1|CCAP
OG0001617	LOC117902314|XP_034669490.1|DSUB	CCAP1982_LOCUS5479|CAD6996806.1|CCAP, CCAP1982_LOCUS5480|CAD6996807.1|CCAP
OG0001619	LOC117901169|XP_034667713.1|DSUB	CCAP1982_LOCUS5387|CAD6996703.1|CCAP
OG0001620	LOC117890962|XP_034651992.1|DSUB	CCAP1982_LOCUS20177|CAD7012077.1|CCAP
OG0001621	LOC117890062|XP_034650591.1|DSUB	CCAP1982_LOCUS22660|CAD7014672.1|CCAP, CCAP1982_LOCUS22659|CAD7014671.1|CCAP
OG0001623	LOC117901404|XP_034668029.1|DSUB	CCAP1982_LOCUS7557|CAD6999010.1|CCAP
OG0001624	LOC117899983|XP_034666039.1|DSUB	CCAP1982_LOCUS5456|CAD6996781.1|CCAP
OG0001625	LOC117900091|XP_034666193.1|DSUB	CCAP1982_LOCUS6407|CAD6997782.1|CCAP
OG0001626	LOC117902819|XP_034670336.1|DSUB	CCAP1982_LOCUS8185|CAD6999655.1|CCAP
OG0001627	LOC117896523|XP_034660783.1|DSUB	CCAP1982_LOCUS760|CAD6991866.1|CCAP
OG0001628	LOC117896031|XP_034659930.1|DSUB	CCAP1982_LOCUS314|CAD6991387.1|CCAP
OG0001629	LOC117897148|XP_034661708.1|DSUB	CCAP1982_LOCUS4164|CAD6995449.1|CCAP
OG0001631	LOC117897444|XP_034662177.1|DSUB	CCAP1982_LOCUS4669|CAD6995958.1|CCAP
OG0001633	LOC117899576|XP_034665580.1|DSUB	CCAP1982_LOCUS5110|CAD6996438.1|CCAP
OG0001634	LOC117899637|XP_034665686.1|DSUB	CCAP1982_LOCUS4191|CAD6995475.1|CCAP, CCAP1982_LOCUS4192|CAD6995476.1|CCAP, CCAP1982_LOCUS4190|CAD6995474.1|CCAP
OG0001635	LOC117897651|XP_034662519.1|DSUB	CCAP1982_LOCUS787|CAD6991897.1|CCAP
OG0001636	LOC117897008|XP_034661465.1|DSUB	CCAP1982_LOCUS500|CAD6991582.1|CCAP
OG0001637	LOC117897633|XP_034662497.1|DSUB	CCAP1982_LOCUS2588|CAD6993790.1|CCAP
OG0001640	LOC117897401|XP_034662110.1|DSUB	CCAP1982_LOCUS4427|CAD6995721.1|CCAP
OG0001641	LOC117897129|XP_034661674.1|DSUB	CCAP1982_LOCUS523|CAD6991608.1|CCAP
OG0001642	LOC117896163|XP_034660133.1|DSUB, LOC117897322|XP_034661984.1|DSUB	CCAP1982_LOCUS7454|CAD6998907.1|CCAP
OG0001643	LOC117901479|XP_034668139.1|DSUB	CCAP1982_LOCUS14069|CAD7005717.1|CCAP
OG0001644	LOC117894983|XP_034658218.1|DSUB	CCAP1982_LOCUS14033|CAD7005680.1|CCAP
OG0001645	LOC117891688|XP_034653165.1|DSUB	CCAP1982_LOCUS21147|CAD7013069.1|CCAP
OG0001647	LOC117892061|XP_034653885.1|DSUB	CCAP1982_LOCUS20197|CAD7012098.1|CCAP
OG0001648	LOC117895580|XP_034659196.1|DSUB	CCAP1982_LOCUS14220|CAD7005878.1|CCAP
OG0001649	LOC117890745|XP_034651691.1|DSUB	CCAP1982_LOCUS7144|CAD6998561.1|CCAP
OG0001650	LOC117892257|XP_034654259.1|DSUB	CCAP1982_LOCUS20338|CAD7012242.1|CCAP
OG0001652	LOC117893597|XP_034656162.1|DSUB	CCAP1982_LOCUS14192|CAD7005849.1|CCAP, CCAP1982_LOCUS14193|CAD7005850.1|CCAP, CCAP1982_LOCUS14191|CAD7005848.1|CCAP
OG0001653	LOC117893310|XP_034655789.1|DSUB	CCAP1982_LOCUS13526|CAD7005165.1|CCAP
OG0001654	LOC117891872|XP_034653529.1|DSUB	CCAP1982_LOCUS19405|CAD7011298.1|CCAP
OG0001655	LOC117891381|XP_034652711.1|DSUB	CCAP1982_LOCUS20689|CAD7012605.1|CCAP
OG0001656	LOC117901166|XP_034667709.1|DSUB	CCAP1982_LOCUS10973|CAD7002484.1|CCAP, CCAP1982_LOCUS5373|CAD6996689.1|CCAP
OG0001657	LOC117897180|XP_034661770.1|DSUB, LOC117895557|XP_034659157.1|DSUB	CCAP1982_LOCUS13406|CAD7005034.1|CCAP
OG0001658	LOC117894841|XP_034657982.1|DSUB	CCAP1982_LOCUS13424|CAD7005054.1|CCAP
OG0001659	LOC117894221|XP_034657028.1|DSUB	CCAP1982_LOCUS14508|CAD7006179.1|CCAP
OG0001659	LOC117894325|XP_034657199.1|DSUB	CCAP1982_LOCUS14509|CAD7006180.1|CCAP
OG0001660	LOC117895575|XP_034659187.1|DSUB	CCAP1982_LOCUS14935|CAD7006628.1|CCAP
OG0001661	LOC117896577|XP_034660874.1|DSUB	CCAP1982_LOCUS3522|CAD6994791.1|CCAP
OG0001663	LOC117898544|XP_034663912.1|DSUB	CCAP1982_LOCUS3119|CAD6994366.1|CCAP
OG0001663	LOC117898542|XP_034663910.1|DSUB	CCAP1982_LOCUS3118|CAD6994365.1|CCAP
OG0001664	LOC117890306|XP_034650976.1|DSUB	CCAP1982_LOCUS20142|CAD7012039.1|CCAP
OG0001666	LOC117901219|XP_034667779.1|DSUB	CCAP1982_LOCUS6021|CAD6997382.1|CCAP, CCAP1982_LOCUS6019|CAD6997380.1|CCAP, CCAP1982_LOCUS6022|CAD6997383.1|CCAP, CCAP1982_LOCUS6020|CAD6997381.1|CCAP, CCAP1982_LOCUS4374|CAD6995667.1|CCAP, CCAP1982_LOCUS11372|CAD7002903.1|CCAP
OG0001667	LOC117890073|XP_034650609.1|DSUB	CCAP1982_LOCUS22319|CAD7014321.1|CCAP, CCAP1982_LOCUS22320|CAD7014322.1|CCAP
OG0001668	LOC117894576|XP_034657608.1|DSUB	CCAP1982_LOCUS11060|CAD7002572.1|CCAP
OG0001669	LOC117894192|XP_034656999.1|DSUB	CCAP1982_LOCUS12259|CAD7003826.1|CCAP, CCAP1982_LOCUS12258|CAD7003825.1|CCAP
OG0001670	LOC117891458|XP_034652832.1|DSUB	CCAP1982_LOCUS13568|CAD7005208.1|CCAP
OG0001683	LOC117902293|XP_034669463.1|DSUB	CCAP1982_LOCUS5522|CAD6996846.1|CCAP
OG0001684	LOC117902952|XP_034670465.1|DSUB	CCAP1982_LOCUS10566|CAD7002078.1|CCAP
OG0001685	LOC117902060|XP_034669023.1|DSUB	CCAP1982_LOCUS8076|CAD6999556.1|CCAP
OG0001690	LOC117895521|XP_034659117.1|DSUB	CCAP1982_LOCUS12978|CAD7004583.1|CCAP
OG0001691	LOC117900525|XP_034666814.1|DSUB	CCAP1982_LOCUS8134|CAD6999611.1|CCAP, CCAP1982_LOCUS8133|CAD6999610.1|CCAP
OG0001692	LOC117899532|XP_034665492.1|DSUB	CCAP1982_LOCUS1214|CAD6992350.1|CCAP
OG0001694	LOC117896266|XP_034660348.1|DSUB	CCAP1982_LOCUS2123|CAD6993306.1|CCAP
OG0001696	LOC117899424|XP_034665310.1|DSUB	CCAP1982_LOCUS2178|CAD6993360.1|CCAP
OG0001697	LOC117898624|XP_034664071.1|DSUB	CCAP1982_LOCUS4178|CAD6995463.1|CCAP
OG0001700	LOC117898138|XP_034663224.1|DSUB	CCAP1982_LOCUS4439|CAD6995734.1|CCAP
OG0001701	LOC117896173|XP_034660145.1|DSUB	CCAP1982_LOCUS3389|CAD6994654.1|CCAP
OG0001702	LOC117901998|XP_034668903.1|DSUB	CCAP1982_LOCUS6105|CAD6997462.1|CCAP
OG0001703	LOC117898053|XP_034663105.1|DSUB	CCAP1982_LOCUS3137|CAD6994384.1|CCAP
OG0001704	LOC117896571|XP_034660862.1|DSUB	CCAP1982_LOCUS3134|CAD6994381.1|CCAP
OG0001705	LOC117897467|XP_034662207.1|DSUB	CCAP1982_LOCUS1538|CAD6992693.1|CCAP, CCAP1982_LOCUS1532|CAD6992687.1|CCAP, CCAP1982_LOCUS1511|CAD6992666.1|CCAP, CCAP1982_LOCUS1519|CAD6992674.1|CCAP, CCAP1982_LOCUS1526|CAD6992681.1|CCAP
OG0001706	LOC117902107|XP_034669106.1|DSUB	CCAP1982_LOCUS5536|CAD6996860.1|CCAP
OG0001707	LOC117897850|XP_034662809.1|DSUB	CCAP1982_LOCUS4020|CAD6995301.1|CCAP
OG0001708	LOC117896790|XP_034661178.1|DSUB	CCAP1982_LOCUS1293|CAD6992431.1|CCAP
OG0001709	LOC117894285|XP_034657134.1|DSUB	CCAP1982_LOCUS12887|CAD7004482.1|CCAP
OG0001710	LOC117899699|XP_034665797.1|DSUB	CCAP1982_LOCUS1177|CAD6992309.1|CCAP
OG0001711	LOC117896310|XP_034660425.1|DSUB	CCAP1982_LOCUS3250|CAD6994506.1|CCAP
OG0001712	LOC117897542|XP_034662359.1|DSUB	CCAP1982_LOCUS3242|CAD6994496.1|CCAP
OG0001713	LOC117899583|XP_034665590.1|DSUB	CCAP1982_LOCUS4355|CAD6995648.1|CCAP
OG0001714	LOC117899714|XP_034665820.1|DSUB	CCAP1982_LOCUS4320|CAD6995614.1|CCAP, CCAP1982_LOCUS4321|CAD6995615.1|CCAP
OG0001716	LOC117896220|XP_034660249.1|DSUB	CCAP1982_LOCUS9224|CAD7000751.1|CCAP
OG0001717	LOC117898609|XP_034664050.1|DSUB	CCAP1982_LOCUS1998|CAD6993176.1|CCAP
OG0001718	LOC117896497|XP_034660729.1|DSUB	CCAP1982_LOCUS1466|CAD6992617.1|CCAP
OG0001719	LOC117897852|XP_034662813.1|DSUB	CCAP1982_LOCUS4010|CAD6995291.1|CCAP, CCAP1982_LOCUS4013|CAD6995294.1|CCAP
OG0001720	LOC117896038|XP_034659938.1|DSUB	CCAP1982_LOCUS3510|CAD6994779.1|CCAP
OG0001721	LOC117899569|XP_034665573.1|DSUB	CCAP1982_LOCUS1308|CAD6992451.1|CCAP
OG0001722	LOC117895185|XP_034658555.1|DSUB	CCAP1982_LOCUS12343|CAD7003918.1|CCAP
