Orthogroup	DSUB.longest_only	BCOP.longest_only
OG0000553	LOC117900146|XP_034666269.1|DSUB	LOC119082066|XP_037047300.1|BCOP
OG0000554	LOC117899047|XP_034664698.1|DSUB, LOC117899049|XP_034664700.1|DSUB	LOC119070470|XP_037030721.1|BCOP
OG0000555	LOC117895286|XP_034658716.1|DSUB, LOC117894224|XP_034657031.1|DSUB	LOC119085881|XP_037052292.1|BCOP
OG0000556	LOC117901224|XP_034667789.1|DSUB, LOC117897499|XP_034662280.1|DSUB	LOC119077410|XP_037040553.1|BCOP
OG0000557	LOC117896873|XP_034661293.1|DSUB, LOC117898263|XP_034663407.1|DSUB	LOC119076133|XP_037038702.1|BCOP
OG0000558	LOC117896412|XP_034660619.1|DSUB, LOC117903233|XP_034671024.1|DSUB	LOC119082201|XP_037047530.1|BCOP
OG0000559	LOC117897212|XP_034661807.1|DSUB, LOC117893537|XP_034656076.1|DSUB	LOC119066909|XP_037025495.1|BCOP
OG0000560	LOC117889988|XP_034650462.1|DSUB, LOC117889987|XP_034650461.1|DSUB	LOC119069268|XP_037029220.1|BCOP
OG0000561	LOC117894450|XP_034657439.1|DSUB, LOC117894731|XP_034657816.1|DSUB	LOC119074217|XP_037036113.1|BCOP
OG0000562	LOC117893256|XP_034655712.1|DSUB, LOC117895180|XP_034658534.1|DSUB	LOC119066879|XP_037025459.1|BCOP
OG0000563	LOC117893257|XP_034655716.1|DSUB	LOC119066025|XP_037024138.1|BCOP
OG0000564	LOC117893655|XP_034656237.1|DSUB, LOC117893659|XP_034656242.1|DSUB, LOC117893660|XP_034656243.1|DSUB	LOC119080545|XP_037044855.1|BCOP
OG0000566	LOC117899129|XP_034664813.1|DSUB, LOC117893071|XP_034655377.1|DSUB	LOC119081012|XP_037045588.1|BCOP
OG0000567	LOC117889643|XP_034649998.1|DSUB	LOC119068523|XP_037028027.1|BCOP
OG0000568	LOC117898826|XP_034664387.1|DSUB, LOC117897751|XP_034662683.1|DSUB	LOC119068289|XP_037027721.1|BCOP, LOC119080071|XP_037044182.1|BCOP
OG0000569	LOC117896961|XP_034661397.1|DSUB	LOC119084660|XP_037050628.1|BCOP
OG0000569	LOC117897571|XP_034662405.1|DSUB	LOC119084581|XP_037050535.1|BCOP
OG0000570	LOC117899079|XP_034664739.1|DSUB, LOC117898942|XP_034664553.1|DSUB	LOC119069556|XP_037029532.1|BCOP
OG0000571	LOC117897446|XP_034662179.1|DSUB, LOC117896912|XP_034661339.1|DSUB	LOC119069735|XP_037029761.1|BCOP
OG0000572	LOC117896508|XP_034660751.1|DSUB, LOC117896459|XP_034660680.1|DSUB	LOC119084086|XP_037049819.1|BCOP, LOC119071786|XP_037032742.1|BCOP, LOC119084895|XP_037050940.1|BCOP
OG0000573	LOC117893063|XP_034655358.1|DSUB, LOC117891216|XP_034652449.1|DSUB	LOC119075079|XP_037037366.1|BCOP, LOC119071850|XP_037032806.1|BCOP
OG0000574	LOC117893764|XP_034656395.1|DSUB, LOC117897575|XP_034662418.1|DSUB	LOC119081453|XP_037046287.1|BCOP
OG0000575	LOC117894302|XP_034657158.1|DSUB, LOC117895190|XP_034658559.1|DSUB	LOC119080687|XP_037045018.1|BCOP
OG0000576	LOC117898098|XP_034663169.1|DSUB	LOC119076338|XP_037038925.1|BCOP
OG0000577	LOC117902259|XP_034669408.1|DSUB	LOC119084662|XP_037050634.1|BCOP
OG0000577	LOC117902660|XP_034670079.1|DSUB	LOC119082768|XP_037048257.1|BCOP
OG0000578	LOC117900003|XP_034666068.1|DSUB, LOC117890379|XP_034651068.1|DSUB	LOC119072065|XP_037033095.1|BCOP
OG0000579	LOC117896769|XP_034661137.1|DSUB, LOC117895766|XP_034659531.1|DSUB	LOC119084174|XP_037049928.1|BCOP
OG0000580	LOC117899778|XP_034665941.1|DSUB, LOC117899779|XP_034665942.1|DSUB	LOC119076778|XP_037039633.1|BCOP, LOC119074749|XP_037036909.1|BCOP
OG0000581	LOC117897689|XP_034662599.1|DSUB	LOC119079094|XP_037042806.1|BCOP, LOC119083987|XP_037049730.1|BCOP
OG0000581	LOC117892987|XP_034655268.1|DSUB	LOC119067460|XP_037026339.1|BCOP
OG0000582	LOC117893420|XP_034655926.1|DSUB, LOC117892553|XP_034654754.1|DSUB	LOC119071172|XP_037031830.1|BCOP
OG0000583	LOC117891055|XP_034652118.1|DSUB	LOC119074106|XP_037035968.1|BCOP, LOC119082826|XP_037048373.1|BCOP
OG0000589	LOC117894262|XP_034657111.1|DSUB	LOC119068864|XP_037028596.1|BCOP
OG0000590	LOC117897370|XP_034662063.1|DSUB	LOC119071848|XP_037032802.1|BCOP
OG0000592	LOC117890975|XP_034652004.1|DSUB, LOC117891576|XP_034652991.1|DSUB	LOC119084008|XP_037049716.1|BCOP
OG0000593	LOC117896778|XP_034661145.1|DSUB, LOC117903075|XP_034670764.1|DSUB	LOC119083155|XP_037048698.1|BCOP, LOC119083147|XP_037048689.1|BCOP
OG0000594	LOC117896295|XP_034660407.1|DSUB, LOC117898096|XP_034663166.1|DSUB	LOC119067943|XP_037027155.1|BCOP
OG0000595	LOC117899688|XP_034665772.1|DSUB, LOC117896796|XP_034661183.1|DSUB	LOC119070400|XP_037030619.1|BCOP
OG0000596	LOC117903345|XP_034671185.1|DSUB, LOC117899582|XP_034665589.1|DSUB	LOC119069672|XP_037029687.1|BCOP
OG0000597	LOC117896050|XP_034659950.1|DSUB, LOC117897082|XP_034661611.1|DSUB	LOC119067936|XP_037027146.1|BCOP, LOC119071640|XP_037032500.1|BCOP
OG0000598	LOC117896003|XP_034659890.1|DSUB	LOC119072158|XP_037033214.1|BCOP, LOC119080438|XP_037044695.1|BCOP
OG0000599	LOC117893545|XP_034656087.1|DSUB	LOC119066037|XP_037024150.1|BCOP, LOC119073532|XP_037034972.1|BCOP
OG0000600	LOC117890088|XP_034650637.1|DSUB, LOC117890940|XP_034651965.1|DSUB	LOC119077332|XP_037040413.1|BCOP
OG0000601	LOC117900886|XP_034667306.1|DSUB, LOC117902109|XP_034669108.1|DSUB	LOC119066781|XP_037025335.1|BCOP, LOC119073283|XP_037034566.1|BCOP, LOC119067385|XP_037026205.1|BCOP
OG0000602	LOC117901788|XP_034668589.1|DSUB, LOC117901833|XP_034668657.1|DSUB	LOC119072724|XP_037033894.1|BCOP
OG0000603	LOC117902791|XP_034670297.1|DSUB	LOC119076325|XP_037038897.1|BCOP
OG0000604	LOC117900813|XP_034667195.1|DSUB, LOC117900814|XP_034667198.1|DSUB	LOC119078486|XP_037041938.1|BCOP
OG0000605	LOC117900080|XP_034666175.1|DSUB	LOC119078625|XP_037042117.1|BCOP
OG0000606	LOC117895970|XP_034659820.1|DSUB	LOC119068548|XP_037028075.1|BCOP
OG0000607	LOC117897649|XP_034662515.1|DSUB, LOC117898354|XP_034663578.1|DSUB	LOC119083705|XP_037049388.1|BCOP
OG0000608	LOC117898179|XP_034663278.1|DSUB, LOC117895953|XP_034659794.1|DSUB	LOC119066266|XP_037024518.1|BCOP
OG0000609	LOC117901148|XP_034667682.1|DSUB, LOC117903710|XP_034671947.1|DSUB	LOC119082211|XP_037047555.1|BCOP
OG0000610	LOC117894067|XP_034656810.1|DSUB, LOC117890436|XP_034651157.1|DSUB	LOC119070949|XP_037031396.1|BCOP, LOC119083489|XP_037049112.1|BCOP
OG0000611	LOC117891655|XP_034653098.1|DSUB, LOC117889862|XP_034650255.1|DSUB	LOC119083546|XP_037049160.1|BCOP, LOC119072190|XP_037033244.1|BCOP
OG0000614	LOC117900666|XP_034667003.1|DSUB, LOC117899409|XP_034665287.1|DSUB, LOC117903898|XP_034672292.1|DSUB	LOC119077296|XP_037040353.1|BCOP
OG0000615	LOC117893503|XP_034656032.1|DSUB, LOC117898117|XP_034663196.1|DSUB	LOC119069401|XP_037029342.1|BCOP, LOC119070642|XP_037030966.1|BCOP, LOC119068755|XP_037028378.1|BCOP
OG0000616	LOC117903577|XP_034671686.1|DSUB	LOC119069996|XP_037030135.1|BCOP
OG0000617	LOC117896190|XP_034660171.1|DSUB, LOC117899355|XP_034665218.1|DSUB	LOC119081325|XP_037046008.1|BCOP
OG0000618	LOC117899697|XP_034665791.1|DSUB	LOC119070536|XP_037030804.1|BCOP
OG0000618	LOC117893094|XP_034655415.1|DSUB	LOC119076049|XP_037038574.1|BCOP, LOC119076050|XP_037038577.1|BCOP
OG0000620	LOC117903415|XP_034671321.1|DSUB, LOC117894480|XP_034657473.1|DSUB	LOC119082516|XP_037047926.1|BCOP, LOC119082181|XP_037047490.1|BCOP
OG0000621	LOC117896275|XP_034660368.1|DSUB, LOC117900158|XP_034666293.1|DSUB, LOC117903506|XP_034671478.1|DSUB	LOC119082160|XP_037047463.1|BCOP
OG0000622	LOC117894660|XP_034657725.1|DSUB, LOC117894157|XP_034656945.1|DSUB	LOC119069597|XP_037029587.1|BCOP
OG0000623	LOC117894704|XP_034657778.1|DSUB, LOC117895609|XP_034659248.1|DSUB	LOC119066479|XP_037024879.1|BCOP
OG0000624	LOC117891637|XP_034653074.1|DSUB, LOC117891636|XP_034653073.1|DSUB	LOC119079882|XP_037043859.1|BCOP
OG0000625	LOC117895500|XP_034659087.1|DSUB, LOC117895518|XP_034659113.1|DSUB	LOC119083676|XP_037049354.1|BCOP
OG0000626	LOC117890396|XP_034651091.1|DSUB, LOC117889978|XP_034650450.1|DSUB	LOC119082188|XP_037047507.1|BCOP
OG0000627	LOC117894438|XP_034657395.1|DSUB, LOC117901467|XP_034668124.1|DSUB	LOC119082760|XP_037048241.1|BCOP
OG0000628	LOC117901964|XP_034668835.1|DSUB, LOC117901746|XP_034668524.1|DSUB	LOC119085988|XP_037052448.1|BCOP
OG0000629	LOC117898001|XP_034663020.1|DSUB, LOC117902665|XP_034670086.1|DSUB	LOC119066341|XP_037024648.1|BCOP
OG0000630	LOC117900872|XP_034667287.1|DSUB, LOC117901539|XP_034668220.1|DSUB	LOC119084654|XP_037050617.1|BCOP
OG0000631	LOC117900289|XP_034666492.1|DSUB, LOC117900867|XP_034667283.1|DSUB	LOC119071768|XP_037032710.1|BCOP
OG0000632	LOC117900773|XP_034667145.1|DSUB, LOC117902747|XP_034670224.1|DSUB	LOC119077150|XP_037040230.1|BCOP
OG0000633	LOC117894774|XP_034657890.1|DSUB, LOC117893523|XP_034656054.1|DSUB	LOC119071731|XP_037032650.1|BCOP
OG0000634	LOC117891797|XP_034653366.1|DSUB, LOC117890154|XP_034650736.1|DSUB	LOC119071953|XP_037032978.1|BCOP
OG0000635	LOC117891291|XP_034652575.1|DSUB, LOC117894878|XP_034658036.1|DSUB	LOC119066896|XP_037025480.1|BCOP
OG0000636	LOC117900468|XP_034666739.1|DSUB, LOC117900626|XP_034666946.1|DSUB	LOC119073578|XP_037035042.1|BCOP
OG0000637	LOC117890544|XP_034651363.1|DSUB, LOC117902569|XP_034669910.1|DSUB	LOC119084264|XP_037050067.1|BCOP
OG0000638	LOC117898033|XP_034663063.1|DSUB, LOC117900568|XP_034666870.1|DSUB	LOC119067567|XP_037026543.1|BCOP
OG0000639	LOC117895870|XP_034659736.1|DSUB	LOC119071882|XP_037032869.1|BCOP
OG0000641	LOC117901164|XP_034667706.1|DSUB, LOC117901066|XP_034667569.1|DSUB	LOC119070465|XP_037030715.1|BCOP, LOC119084774|XP_037050733.1|BCOP
OG0000642	LOC117901048|XP_034667550.1|DSUB	LOC119074558|XP_037036652.1|BCOP
OG0000646	LOC117896640|XP_034660977.1|DSUB, LOC117897928|XP_034662904.1|DSUB	LOC119069169|XP_037028974.1|BCOP
OG0000647	LOC117898247|XP_034663383.1|DSUB, LOC117898818|XP_034664375.1|DSUB	LOC119068465|XP_037027953.1|BCOP
OG0000648	LOC117899571|XP_034665575.1|DSUB	LOC119067168|XP_037025865.1|BCOP
OG0000648	LOC117899608|XP_034665632.1|DSUB	LOC119067154|XP_037025842.1|BCOP
OG0000649	LOC117895061|XP_034658335.1|DSUB, LOC117895051|XP_034658324.1|DSUB	LOC119067054|XP_037025695.1|BCOP
OG0000650	LOC117902990|XP_034670595.1|DSUB	LOC119081019|XP_037045596.1|BCOP
OG0000651	LOC117894146|XP_034656931.1|DSUB, LOC117892973|XP_034655204.1|DSUB	LOC119068676|XP_037028252.1|BCOP
OG0000652	LOC117891840|XP_034653481.1|DSUB, LOC117902185|XP_034669254.1|DSUB	LOC119073327|XP_037034614.1|BCOP
OG0000653	LOC117898588|XP_034664023.1|DSUB, LOC117898585|XP_034664020.1|DSUB, LOC117898396|XP_034663645.1|DSUB	LOC119069227|XP_037029156.1|BCOP
OG0000654	LOC117895566|XP_034659173.1|DSUB	LOC119076735|XP_037039548.1|BCOP
OG0000654	LOC117894074|XP_034656821.1|DSUB	LOC119077290|XP_037040337.1|BCOP
OG0000655	LOC117892334|XP_034654377.1|DSUB	LOC119066518|XP_037024930.1|BCOP
OG0000656	LOC117899271|XP_034665060.1|DSUB, LOC117899272|XP_034665061.1|DSUB	LOC119069203|XP_037029067.1|BCOP
OG0000658	LOC117903395|XP_034671272.1|DSUB, LOC117898052|XP_034663104.1|DSUB	LOC119071304|XP_037032078.1|BCOP
OG0000659	LOC117902690|XP_034670123.1|DSUB, LOC117901765|XP_034668546.1|DSUB	LOC119081960|XP_037047158.1|BCOP
OG0000660	LOC117901555|XP_034668243.1|DSUB, LOC117900614|XP_034666929.1|DSUB, LOC117900616|XP_034666931.1|DSUB, LOC117900615|XP_034666930.1|DSUB, LOC117891191|XP_034652418.1|DSUB, LOC117900617|XP_034666932.1|DSUB	LOC119076100|XP_037038651.1|BCOP, LOC119080500|XP_037044794.1|BCOP, LOC119080471|XP_037044744.1|BCOP, LOC119077116|XP_037040180.1|BCOP, LOC119077115|XP_037040178.1|BCOP
OG0000661	LOC117893297|XP_034655763.1|DSUB, LOC117902430|XP_034669689.1|DSUB	LOC119082339|XP_037047743.1|BCOP
OG0000662	LOC117894923|XP_034658118.1|DSUB, LOC117890277|XP_034650932.1|DSUB	LOC119084304|XP_037050118.1|BCOP
OG0000663	LOC117891955|XP_034653705.1|DSUB	LOC119083526|XP_037049138.1|BCOP, LOC119084562|XP_037050476.1|BCOP
OG0000664	LOC117889821|XP_034650195.1|DSUB	LOC119084314|XP_037050128.1|BCOP
OG0000666	LOC117891175|XP_034652390.1|DSUB, LOC117903299|XP_034671122.1|DSUB	LOC119074750|XP_037036911.1|BCOP
OG0000667	LOC117903132|XP_034670855.1|DSUB, LOC117899787|XP_034665953.1|DSUB	LOC119083972|XP_037049670.1|BCOP
OG0000668	LOC117897948|XP_034662939.1|DSUB	LOC119081834|XP_037046967.1|BCOP
OG0000669	LOC117903590|XP_034671706.1|DSUB, LOC117903581|XP_034671695.1|DSUB	LOC119074873|XP_037037104.1|BCOP
OG0000670	LOC117900946|XP_034667445.1|DSUB, LOC117903175|XP_034670911.1|DSUB	LOC119066550|XP_037024984.1|BCOP
OG0000671	LOC117897063|XP_034661550.1|DSUB, LOC117897411|XP_034662129.1|DSUB	LOC119083639|XP_037049271.1|BCOP
OG0000672	LOC117889669|XP_034650023.1|DSUB, LOC117898434|XP_034663721.1|DSUB	LOC119072493|XP_037033628.1|BCOP
OG0000673	LOC117898979|XP_034664614.1|DSUB, LOC117895431|XP_034658972.1|DSUB	LOC119085042|XP_037051146.1|BCOP, LOC119070959|XP_037031418.1|BCOP
OG0000677	LOC117893382|XP_034655868.1|DSUB, LOC117889597|XP_034649899.1|DSUB	LOC119069211|XP_037029077.1|BCOP
OG0000678	LOC117899128|XP_034664811.1|DSUB, LOC117900971|XP_034667446.1|DSUB	LOC119072581|XP_037033726.1|BCOP
OG0000679	LOC117903892|XP_034672285.1|DSUB	LOC119082586|XP_037048025.1|BCOP
OG0000680	LOC117899189|XP_034664946.1|DSUB, LOC117891385|XP_034652721.1|DSUB	LOC119068909|XP_037028663.1|BCOP
OG0000681	LOC117896218|XP_034660243.1|DSUB, LOC117897629|XP_034662530.1|DSUB	LOC119067235|XP_037025986.1|BCOP
OG0000683	LOC117897028|XP_034661496.1|DSUB	LOC119070419|XP_037030650.1|BCOP, LOC119084212|XP_037050002.1|BCOP, LOC119078992|XP_037042650.1|BCOP, LOC119070420|XP_037030652.1|BCOP
OG0000684	LOC117898170|XP_034663270.1|DSUB, LOC117899045|XP_034664695.1|DSUB	LOC119070467|XP_037030717.1|BCOP
OG0000685	LOC117899509|XP_034665451.1|DSUB	LOC119067026|XP_037025653.1|BCOP
OG0000686	LOC117890065|XP_034650595.1|DSUB, LOC117903733|XP_034671978.1|DSUB	LOC119076703|XP_037039511.1|BCOP
OG0000687	LOC117895596|XP_034659237.1|DSUB	LOC119068625|XP_037028186.1|BCOP
OG0000688	LOC117890077|XP_034650622.1|DSUB	LOC119077281|XP_037040326.1|BCOP
OG0000689	LOC117891198|XP_034652425.1|DSUB, LOC117891197|XP_034652423.1|DSUB	LOC119072600|XP_037033753.1|BCOP
OG0000690	LOC117902659|XP_034670082.1|DSUB	LOC119074983|XP_037037281.1|BCOP, LOC119074701|XP_037036884.1|BCOP, LOC119074703|XP_037036886.1|BCOP
OG0000691	LOC117902416|XP_034669658.1|DSUB, LOC117893852|XP_034656511.1|DSUB	LOC119080294|XP_037044461.1|BCOP
OG0000692	LOC117894808|XP_034657933.1|DSUB, LOC117894810|XP_034657936.1|DSUB	LOC119081061|XP_037045671.1|BCOP
OG0000694	LOC117898165|XP_034663269.1|DSUB, LOC117893367|XP_034655851.1|DSUB	LOC119076648|XP_037039417.1|BCOP
OG0000695	LOC117902352|XP_034669554.1|DSUB, LOC117902351|XP_034669553.1|DSUB	LOC119070822|XP_037031215.1|BCOP
OG0000696	LOC117902820|XP_034670337.1|DSUB	LOC119079130|XP_037042854.1|BCOP
OG0000697	LOC117903803|XP_034672129.1|DSUB, LOC117901739|XP_034668516.1|DSUB	LOC119066369|XP_037024688.1|BCOP
OG0000698	LOC117900365|XP_034666604.1|DSUB, LOC117901857|XP_034668702.1|DSUB	LOC119078762|XP_037042365.1|BCOP
OG0000699	LOC117900964|XP_034667430.1|DSUB, LOC117898332|XP_034663546.1|DSUB	LOC119066436|XP_037024823.1|BCOP
OG0000700	LOC117901425|XP_034668053.1|DSUB, LOC117901655|XP_034668384.1|DSUB	LOC119066147|XP_037024337.1|BCOP
OG0000701	LOC117890426|XP_034651137.1|DSUB, LOC117895351|XP_034658827.1|DSUB	LOC119073563|XP_037035015.1|BCOP
OG0000702	LOC117898915|XP_034664514.1|DSUB, LOC117898913|XP_034664493.1|DSUB	LOC119084342|XP_037050169.1|BCOP
OG0000703	LOC117900709|XP_034667058.1|DSUB, LOC117891886|XP_034653574.1|DSUB	LOC119083168|XP_037048717.1|BCOP
OG0000704	LOC117903571|XP_034671673.1|DSUB, LOC117898114|XP_034663192.1|DSUB	LOC119074966|XP_037037253.1|BCOP, LOC119076501|XP_037039177.1|BCOP
OG0000705	LOC117893957|XP_034656642.1|DSUB, LOC117893515|XP_034656046.1|DSUB, LOC117893955|XP_034656638.1|DSUB	LOC119084181|XP_037049937.1|BCOP
OG0000706	LOC117901849|XP_034668688.1|DSUB, LOC117903405|XP_034671292.1|DSUB	LOC119069039|XP_037028806.1|BCOP
OG0000707	LOC117895378|XP_034658892.1|DSUB	LOC119075958|XP_037038430.1|BCOP
OG0000708	LOC117903337|XP_034671178.1|DSUB, LOC117892901|XP_034655096.1|DSUB	LOC119068541|XP_037028054.1|BCOP
OG0000709	LOC117898286|XP_034663433.1|DSUB, LOC117903543|XP_034671624.1|DSUB	LOC119084049|XP_037049780.1|BCOP
OG0000710	LOC117896156|XP_034660126.1|DSUB, LOC117890590|XP_034651417.1|DSUB	LOC119084227|XP_037050021.1|BCOP
OG0000711	LOC117894862|XP_034658009.1|DSUB, LOC117903575|XP_034671682.1|DSUB	LOC119066858|XP_037025427.1|BCOP
OG0000712	LOC117896732|XP_034661087.1|DSUB, LOC117896729|XP_034661085.1|DSUB	LOC119071224|XP_037031933.1|BCOP
OG0000713	LOC117896866|XP_034661287.1|DSUB, LOC117891754|XP_034653257.1|DSUB	LOC119068151|XP_037027518.1|BCOP
OG0000714	LOC117899679|XP_034665762.1|DSUB, LOC117895852|XP_034659709.1|DSUB	LOC119071230|XP_037031942.1|BCOP
OG0000716	LOC117894851|XP_034658001.1|DSUB, LOC117893439|XP_034655949.1|DSUB	LOC119082038|XP_037047261.1|BCOP
OG0000717	LOC117895620|XP_034659265.1|DSUB	LOC119066304|XP_037024582.1|BCOP, LOC119071962|XP_037032988.1|BCOP, LOC119075911|XP_037038390.1|BCOP, LOC119071961|XP_037032987.1|BCOP, LOC119075675|XP_037038088.1|BCOP, LOC119080157|XP_037044276.1|BCOP, LOC119073186|XP_037034388.1|BCOP
OG0000718	LOC117902959|XP_034670487.1|DSUB, LOC117903001|XP_034670624.1|DSUB	LOC119079854|XP_037043819.1|BCOP
OG0000719	LOC117895873|XP_034659759.1|DSUB, LOC117893848|XP_034656506.1|DSUB	LOC119066568|XP_037025011.1|BCOP, LOC119078939|XP_037042584.1|BCOP
OG0000724	LOC117895101|XP_034658392.1|DSUB, LOC117899447|XP_034665345.1|DSUB	LOC119067821|XP_037026879.1|BCOP
OG0000726	LOC117898248|XP_034663386.1|DSUB, LOC117896487|XP_034660718.1|DSUB	LOC119077102|XP_037040156.1|BCOP
OG0000727	LOC117898674|XP_034664145.1|DSUB, LOC117898673|XP_034664144.1|DSUB	LOC119068219|XP_037027607.1|BCOP
OG0000728	LOC117899665|XP_034665740.1|DSUB	LOC119069282|XP_037029239.1|BCOP
OG0000729	LOC117896297|XP_034660409.1|DSUB, LOC117896296|XP_034660408.1|DSUB	LOC119067929|XP_037027138.1|BCOP, LOC119077431|XP_037040541.1|BCOP
OG0000730	LOC117902590|XP_034669980.1|DSUB, LOC117895196|XP_034658568.1|DSUB	LOC119081281|XP_037045937.1|BCOP
OG0000731	LOC117895849|XP_034659704.1|DSUB, LOC117891664|XP_034653120.1|DSUB	LOC119071760|XP_037032699.1|BCOP
OG0000732	LOC117893767|XP_034656398.1|DSUB, LOC117893765|XP_034656396.1|DSUB	LOC119081475|XP_037046368.1|BCOP
OG0000733	LOC117896947|XP_034661382.1|DSUB, LOC117895368|XP_034658846.1|DSUB	LOC119081060|XP_037045670.1|BCOP
OG0000734	LOC117892980|XP_034655215.1|DSUB	LOC119080046|XP_037044143.1|BCOP
OG0000735	LOC117901030|XP_034667560.1|DSUB, LOC117900451|XP_034666714.1|DSUB	LOC119083131|XP_037048665.1|BCOP
OG0000736	LOC117900023|XP_034666101.1|DSUB, LOC117900024|XP_034666102.1|DSUB	LOC119078601|XP_037042085.1|BCOP
OG0000737	LOC117890944|XP_034651970.1|DSUB	LOC119069714|XP_037029733.1|BCOP
OG0000738	LOC117901194|XP_034667738.1|DSUB, LOC117900648|XP_034666971.1|DSUB	LOC119071595|XP_037032445.1|BCOP
OG0000739	LOC117899793|XP_034665964.1|DSUB, LOC117897901|XP_034662870.1|DSUB	LOC119080521|XP_037044826.1|BCOP
OG0000740	LOC117897065|XP_034661560.1|DSUB	LOC119084094|XP_037049828.1|BCOP
OG0000741	LOC117899283|XP_034665080.1|DSUB	LOC119074818|XP_037037001.1|BCOP, LOC119076670|XP_037039459.1|BCOP
OG0000742	LOC117903872|XP_034672256.1|DSUB, LOC117903882|XP_034672266.1|DSUB	LOC119072457|XP_037033579.1|BCOP
OG0000743	LOC117894681|XP_034657750.1|DSUB	LOC119075774|XP_037038222.1|BCOP
OG0000744	LOC117892533|XP_034654729.1|DSUB	LOC119072391|XP_037033495.1|BCOP, LOC119072390|XP_037033494.1|BCOP
OG0000745	LOC117890393|XP_034651089.1|DSUB, LOC117891680|XP_034653148.1|DSUB	LOC119077588|XP_037040691.1|BCOP
OG0000746	LOC117890324|XP_034651004.1|DSUB	LOC119071521|XP_037032289.1|BCOP, LOC119084193|XP_037049965.1|BCOP
OG0000747	LOC117893898|XP_034656565.1|DSUB, LOC117894858|XP_034658006.1|DSUB	LOC119071913|XP_037032930.1|BCOP
OG0000748	LOC117900153|XP_034666281.1|DSUB, LOC117903275|XP_034671072.1|DSUB	LOC119067557|XP_037026516.1|BCOP
OG0000753	LOC117898587|XP_034664022.1|DSUB, LOC117893540|XP_034656080.1|DSUB	LOC119081088|XP_037045727.1|BCOP
OG0000754	LOC117893823|XP_034656471.1|DSUB, LOC117889817|XP_034650229.1|DSUB	LOC119080422|XP_037044658.1|BCOP
OG0000755	LOC117897818|XP_034662759.1|DSUB, LOC117897819|XP_034662761.1|DSUB	LOC119070065|XP_037030253.1|BCOP
OG0000756	LOC117896830|XP_034661234.1|DSUB	LOC119069805|XP_037029857.1|BCOP
OG0000757	LOC117903266|XP_034671059.1|DSUB, LOC117899237|XP_034665002.1|DSUB, LOC117894852|XP_034657998.1|DSUB	LOC119081608|XP_037046545.1|BCOP
OG0000758	LOC117894802|XP_034657927.1|DSUB, LOC117894801|XP_034657925.1|DSUB	LOC119080295|XP_037044462.1|BCOP, LOC119073870|XP_037035636.1|BCOP
OG0000759	LOC117894169|XP_034656962.1|DSUB, LOC117894168|XP_034656960.1|DSUB	LOC119078818|XP_037042423.1|BCOP
OG0000760	LOC117890672|XP_034651539.1|DSUB	LOC119074093|XP_037035947.1|BCOP
OG0000761	LOC117900793|XP_034667164.1|DSUB, LOC117900794|XP_034667167.1|DSUB	LOC119082602|XP_037048054.1|BCOP
OG0000762	LOC117901372|XP_034667973.1|DSUB	LOC119076339|XP_037038927.1|BCOP
OG0000762	LOC117901251|XP_034667822.1|DSUB	LOC119078534|XP_037041996.1|BCOP
OG0000763	LOC117900081|XP_034666176.1|DSUB, LOC117900083|XP_034666179.1|DSUB	LOC119070925|XP_037031362.1|BCOP
OG0000764	LOC117897366|XP_034662045.1|DSUB	LOC119074476|XP_037036512.1|BCOP
OG0000765	LOC117895701|XP_034659440.1|DSUB, LOC117902928|XP_034670412.1|DSUB	LOC119066365|XP_037024682.1|BCOP
OG0000766	LOC117900646|XP_034666969.1|DSUB, LOC117903369|XP_034671231.1|DSUB	LOC119067516|XP_037026432.1|BCOP
OG0000767	LOC117893833|XP_034656487.1|DSUB	LOC119079320|XP_037043010.1|BCOP
OG0000768	LOC117894686|XP_034657756.1|DSUB	LOC119074908|XP_037037150.1|BCOP
OG0000769	LOC117896770|XP_034661138.1|DSUB, LOC117897878|XP_034662848.1|DSUB	LOC119084810|XP_037050774.1|BCOP
OG0000771	LOC117894925|XP_034658120.1|DSUB, LOC117894924|XP_034658119.1|DSUB	LOC119085304|XP_037051547.1|BCOP, LOC119070582|XP_037030885.1|BCOP, LOC119070583|XP_037030886.1|BCOP
OG0000772	LOC117891643|XP_034653081.1|DSUB, LOC117891889|XP_034653580.1|DSUB	LOC119078461|XP_037041893.1|BCOP, LOC119085562|XP_037051890.1|BCOP, LOC119069554|XP_037029530.1|BCOP
OG0000778	LOC117893388|XP_034655874.1|DSUB, LOC117897412|XP_034662130.1|DSUB	LOC119067498|XP_037026398.1|BCOP
OG0000779	LOC117903358|XP_034671204.1|DSUB	LOC119072148|XP_037033186.1|BCOP, LOC119070336|XP_037030511.1|BCOP
OG0000780	LOC117892441|XP_034654573.1|DSUB, LOC117892535|XP_034654732.1|DSUB	LOC119069133|XP_037028934.1|BCOP, LOC119074652|XP_037036825.1|BCOP, LOC119067816|XP_037026870.1|BCOP, LOC119075273|XP_037037562.1|BCOP
OG0000781	LOC117891052|XP_034652119.1|DSUB, LOC117894867|XP_034658018.1|DSUB	LOC119067818|XP_037026875.1|BCOP
OG0000782	LOC117893422|XP_034655930.1|DSUB, LOC117903737|XP_034671988.1|DSUB	LOC119085853|XP_037052258.1|BCOP
