Orthogroup	DNOV.longest_only	AALB.longest_only
OG0000544	LOC115771106|XP_030572525.1|DNOV, LOC115764619|XP_030563640.1|DNOV	LOC118463604|XP_035786169.1|AALB
OG0000545	LOC115771852|XP_030573594.1|DNOV, LOC115772096|XP_030573917.1|DNOV	LOC118456992|XP_035774100.1|AALB, LOC118456289|XP_035772796.1|AALB
OG0000546	LOC115759403|XP_030556151.1|DNOV, LOC115765207|XP_030564508.1|DNOV	LOC118456580|XP_035773364.1|AALB
OG0000547	LOC115768488|XP_030568930.1|DNOV, LOC115761440|XP_030559068.1|DNOV	LOC118463001|XP_035785122.1|AALB
OG0000548	LOC115768555|XP_030569029.1|DNOV, LOC115768570|XP_030569060.1|DNOV	LOC118464674|XP_035788085.1|AALB
OG0000549	LOC115762388|XP_030560428.1|DNOV	LOC118463968|XP_035786863.1|AALB
OG0000550	LOC115760017|XP_030557038.1|DNOV, LOC115760247|XP_030557362.1|DNOV	LOC118463476|XP_035785959.1|AALB
OG0000552	LOC115761308|XP_030558897.1|DNOV, LOC115761306|XP_030558895.1|DNOV, LOC115761324|XP_030558917.1|DNOV	LOC118457543|XP_035775089.1|AALB
OG0000553	LOC115758588|XP_030555167.1|DNOV, LOC115758617|XP_030555210.1|DNOV	LOC118458233|XP_035776395.1|AALB
OG0000554	LOC115761372|XP_030558982.1|DNOV, LOC115763975|XP_030562638.1|DNOV	LOC118458180|XP_035776301.1|AALB
OG0000555	LOC115765825|XP_030565408.1|DNOV, LOC115766951|XP_030566898.1|DNOV	LOC118457196|XP_035774440.1|AALB
OG0000556	LOC115766453|XP_030566246.1|DNOV, LOC115761302|XP_030558889.1|DNOV	LOC118459673|XP_035779173.1|AALB
OG0000557	LOC115763878|XP_030562513.1|DNOV, LOC115763924|XP_030562577.1|DNOV, LOC115763879|XP_030562515.1|DNOV	LOC118456647|XP_035773478.1|AALB
OG0000558	LOC115770828|XP_030572122.1|DNOV, LOC115768527|XP_030568978.1|DNOV	LOC118468293|XP_035794913.1|AALB
OG0000559	LOC115761993|XP_030559920.1|DNOV, LOC115770449|XP_030571587.1|DNOV	LOC118464460|XP_035787744.1|AALB
OG0000560	LOC115760982|XP_030558450.1|DNOV, LOC115760973|XP_030558437.1|DNOV	LOC118464725|XP_035788198.1|AALB
OG0000561	LOC115769829|XP_030570663.1|DNOV, LOC115769566|XP_030570278.1|DNOV	LOC118465034|XP_035788791.1|AALB
OG0000562	LOC115766351|XP_030566114.1|DNOV, LOC115769425|XP_030570096.1|DNOV	LOC118467143|XP_035793164.1|AALB
OG0000566	LOC115764955|XP_030564136.1|DNOV, LOC115769708|XP_030570497.1|DNOV	LOC118456333|XP_035772887.1|AALB
OG0000567	LOC115768837|XP_030569394.1|DNOV	LOC118460369|XP_035780518.1|AALB
OG0000568	LOC115765295|XP_030564647.1|DNOV, LOC115771675|XP_030573349.1|DNOV	LOC118459614|XP_035779070.1|AALB
OG0000569	LOC115759518|XP_030556323.1|DNOV, LOC115760392|XP_030557552.1|DNOV	LOC118461433|XP_035782635.1|AALB
OG0000570	LOC115772021|XP_030573814.1|DNOV, LOC115771916|XP_030573667.1|DNOV	LOC118460155|XP_035780145.1|AALB
OG0000571	LOC115771991|XP_030573773.1|DNOV, LOC115759578|XP_030556406.1|DNOV	LOC118466148|XP_035791004.1|AALB
OG0000572	LOC115761345|XP_030558946.1|DNOV, LOC115761689|XP_030559407.1|DNOV	LOC118463820|XP_035786593.1|AALB
OG0000573	LOC115768072|XP_030568394.1|DNOV, LOC115762118|XP_030560082.1|DNOV	LOC118466093|XP_035790895.1|AALB
OG0000574	LOC115769779|XP_030570608.1|DNOV, LOC115770659|XP_030571885.1|DNOV, LOC115762546|XP_030560679.1|DNOV, LOC115770633|XP_030571839.1|DNOV	LOC118466277|XP_035791247.1|AALB
OG0000575	LOC115770177|XP_030571197.1|DNOV, LOC115770358|XP_030571459.1|DNOV	LOC118463679|XP_035786334.1|AALB
OG0000576	LOC115761386|XP_030558999.1|DNOV	LOC118468399|XP_035795056.1|AALB
OG0000577	LOC115765905|XP_030565510.1|DNOV	LOC118456890|XP_035773904.1|AALB
OG0000578	LOC115758634|XP_030555229.1|DNOV, LOC115757944|XP_030554275.1|DNOV	LOC118456432|XP_035773082.1|AALB
OG0000579	LOC115764642|XP_030563675.1|DNOV, LOC115767968|XP_030568230.1|DNOV	LOC118468848|XP_035795984.1|AALB
OG0000580	LOC115766092|XP_030565762.1|DNOV, LOC115766091|XP_030565761.1|DNOV	LOC118460585|XP_035780898.1|AALB
OG0000581	LOC115763627|XP_030562110.1|DNOV	LOC118457211|XP_035774472.1|AALB
OG0000582	LOC115770374|XP_030571483.1|DNOV, LOC115757931|XP_030554257.1|DNOV	LOC118464258|XP_035787390.1|AALB
OG0000583	LOC115762390|XP_030560431.1|DNOV, LOC115761064|XP_030558542.1|DNOV	LOC118468813|XP_035795921.1|AALB
OG0000589	LOC115767812|XP_030568004.1|DNOV	LOC118457054|XP_035774200.1|AALB
OG0000590	LOC115761355|XP_030558962.1|DNOV	LOC118456991|XP_035774099.1|AALB
OG0000590	LOC115768443|XP_030568862.1|DNOV	LOC118458904|XP_035777758.1|AALB
OG0000592	LOC115761102|XP_030558589.1|DNOV, LOC115758537|XP_030555093.1|DNOV	LOC118461592|XP_035782989.1|AALB
OG0000593	LOC115758751|XP_030555369.1|DNOV, LOC115757838|XP_030554131.1|DNOV	LOC118463504|XP_035786000.1|AALB, LOC118459699|XP_035779234.1|AALB
OG0000594	LOC115763974|XP_030562637.1|DNOV, LOC115763849|XP_030562478.1|DNOV	LOC118459626|XP_035779096.1|AALB
OG0000595	LOC115761760|XP_030559527.1|DNOV, LOC115771804|XP_030573535.1|DNOV	LOC118461907|XP_035783655.1|AALB
OG0000597	LOC115771692|XP_030573368.1|DNOV, LOC115772132|XP_030573973.1|DNOV	LOC118456573|XP_035773348.1|AALB
OG0000598	LOC115761686|XP_030559401.1|DNOV	LOC118460216|XP_035780225.1|AALB, LOC118460212|XP_035780221.1|AALB
OG0000599	LOC115770489|XP_030571631.1|DNOV, LOC115770492|XP_030571639.1|DNOV	LOC118459743|XP_035779313.1|AALB, LOC118460049|XP_035779919.1|AALB
OG0000600	LOC115760648|XP_030557971.1|DNOV, LOC115760647|XP_030557969.1|DNOV	LOC118463137|XP_035785390.1|AALB, LOC118463136|XP_035785388.1|AALB
OG0000601	LOC115763067|XP_030561352.1|DNOV, LOC115759310|XP_030556076.1|DNOV	LOC118466070|XP_035790827.1|AALB
OG0000602	LOC115763385|XP_030561785.1|DNOV, LOC115763395|XP_030561798.1|DNOV	LOC118458568|XP_035777108.1|AALB
OG0000603	LOC115758767|XP_030555389.1|DNOV	LOC118459242|XP_035778337.1|AALB
OG0000604	LOC115765575|XP_030565084.1|DNOV, LOC115763492|XP_030561943.1|DNOV	LOC118459212|XP_035778285.1|AALB
OG0000605	LOC115758622|XP_030555215.1|DNOV	LOC118461557|XP_035782904.1|AALB, LOC118462737|XP_035784586.1|AALB, LOC118461550|XP_035782894.1|AALB, LOC118461549|XP_035782893.1|AALB
OG0000606	LOC115768629|XP_030569153.1|DNOV	LOC118468876|XP_035796055.1|AALB
OG0000607	LOC115771972|XP_030573752.1|DNOV, LOC115764740|XP_030563816.1|DNOV	LOC118459255|XP_035778356.1|AALB
OG0000608	LOC115770569|XP_030571743.1|DNOV, LOC115762542|XP_030560676.1|DNOV, LOC115770592|XP_030571782.1|DNOV	LOC118468819|XP_035795943.1|AALB
OG0000609	LOC115764281|XP_030563071.1|DNOV, LOC115758773|XP_030555398.1|DNOV, LOC115758774|XP_030555400.1|DNOV	LOC118461320|XP_035782415.1|AALB
OG0000610	LOC115771517|XP_030573112.1|DNOV, LOC115759603|XP_030556437.1|DNOV	LOC118464160|XP_035787187.1|AALB
OG0000611	LOC115763834|XP_030562457.1|DNOV, LOC115761023|XP_030558497.1|DNOV	LOC118467141|XP_035793158.1|AALB
OG0000616	LOC115767085|XP_030567092.1|DNOV	LOC118458181|XP_035776306.1|AALB, LOC118458166|XP_035776267.1|AALB, LOC118463975|XP_035786915.1|AALB
OG0000617	LOC115764853|XP_030563982.1|DNOV, LOC115761587|XP_030559238.1|DNOV	LOC118468774|XP_035795857.1|AALB
OG0000618	LOC115769684|XP_030570462.1|DNOV	LOC118457060|XP_035774210.1|AALB
OG0000619	LOC115771528|XP_030573129.1|DNOV	LOC118468301|XP_035794930.1|AALB, LOC118468302|XP_035794931.1|AALB, LOC118467029|XP_035792888.1|AALB
OG0000620	LOC115766391|XP_030566163.1|DNOV, LOC115769605|XP_030570356.1|DNOV	LOC118463555|XP_035786072.1|AALB
OG0000621	LOC115757747|XP_030554001.1|DNOV, LOC115767786|XP_030567974.1|DNOV	LOC118462959|XP_035785006.1|AALB
OG0000622	LOC115769599|XP_030570348.1|DNOV, LOC115762639|XP_030560802.1|DNOV	LOC118463531|XP_035786036.1|AALB
OG0000623	LOC115769962|XP_030570868.1|DNOV, LOC115770846|XP_030572146.1|DNOV	LOC118466550|XP_035791957.1|AALB
OG0000624	LOC115760780|XP_030558130.1|DNOV, LOC115760781|XP_030558132.1|DNOV	LOC118467760|XP_035794481.1|AALB
OG0000625	LOC115769323|XP_030569919.1|DNOV, LOC115769831|XP_030570665.1|DNOV	LOC118463183|XP_035785491.1|AALB
OG0000626	LOC115758212|XP_030554623.1|DNOV, LOC115762154|XP_030560126.1|DNOV	LOC118467393|XP_035793744.1|AALB
OG0000627	LOC115769818|XP_030570646.1|DNOV, LOC115768585|XP_030569091.1|DNOV	LOC118457752|XP_035775461.1|AALB
OG0000628	LOC115758606|XP_030555193.1|DNOV, LOC115763927|XP_030562578.1|DNOV	LOC118469037|XP_035796393.1|AALB
OG0000629	LOC115770565|XP_030571737.1|DNOV, LOC115765848|XP_030565434.1|DNOV	LOC118457228|XP_035774500.1|AALB
OG0000630	LOC115763504|XP_030561961.1|DNOV, LOC115763485|XP_030561930.1|DNOV	LOC118458897|XP_035777746.1|AALB
OG0000631	LOC115759001|XP_030555665.1|DNOV	LOC118456251|XP_035772740.1|AALB
OG0000632	LOC115763534|XP_030562009.1|DNOV, LOC115765855|XP_030565444.1|DNOV	LOC118457296|XP_035774654.1|AALB
OG0000635	LOC115766554|XP_030566392.1|DNOV, LOC115768292|XP_030568696.1|DNOV	LOC118460326|XP_035780430.1|AALB
OG0000636	LOC115763543|XP_030562019.1|DNOV, LOC115763397|XP_030561800.1|DNOV	LOC118458194|XP_035776332.1|AALB
OG0000638	LOC115769000|XP_030569570.1|DNOV	LOC118463452|XP_035785932.1|AALB
OG0000639	LOC115770014|XP_030570925.1|DNOV	LOC118465352|XP_035789408.1|AALB
OG0000646	LOC115764060|XP_030562767.1|DNOV, LOC115772117|XP_030573950.1|DNOV	LOC118456626|XP_035773443.1|AALB
OG0000647	LOC115764010|XP_030562694.1|DNOV, LOC115765430|XP_030564835.1|DNOV	LOC118465633|XP_035789968.1|AALB
OG0000648	LOC115767239|XP_030567300.1|DNOV	LOC118459669|XP_035779169.1|AALB
OG0000649	LOC115768703|XP_030569252.1|DNOV, LOC115768709|XP_030569257.1|DNOV	LOC118464708|XP_035788137.1|AALB
OG0000651	LOC115769937|XP_030570839.1|DNOV, LOC115770493|XP_030571642.1|DNOV	LOC118460445|XP_035780650.1|AALB
OG0000652	LOC115760696|XP_030558021.1|DNOV, LOC115768610|XP_030569125.1|DNOV	LOC118459384|XP_035778579.1|AALB
OG0000653	LOC115772125|XP_030573962.1|DNOV	LOC118459586|XP_035779006.1|AALB, LOC118462049|XP_035783924.1|AALB
OG0000654	LOC115769884|XP_030570749.1|DNOV	LOC118467469|XP_035793892.1|AALB
OG0000655	LOC115762138|XP_030560109.1|DNOV, LOC115765880|XP_030565480.1|DNOV	LOC118463065|XP_035785214.1|AALB
OG0000656	LOC115770642|XP_030571853.1|DNOV, LOC115770906|XP_030572206.1|DNOV	LOC118456929|XP_035773959.1|AALB
OG0000657	LOC115762627|XP_030560789.1|DNOV, LOC115759823|XP_030556774.1|DNOV	LOC118467944|XP_035794810.1|AALB
OG0000658	LOC115766487|XP_030566309.1|DNOV, LOC115764653|XP_030563695.1|DNOV	LOC118459780|XP_035779389.1|AALB
OG0000659	LOC115763486|XP_030561931.1|DNOV, LOC115763450|XP_030561879.1|DNOV	LOC118468708|XP_035795725.1|AALB
OG0000660	LOC115759751|XP_030556653.1|DNOV	LOC118459644|XP_035779119.1|AALB, LOC118459649|XP_035779124.1|AALB, LOC118459645|XP_035779120.1|AALB
OG0000661	LOC115762829|XP_030561055.1|DNOV, LOC115768557|XP_030569026.1|DNOV	LOC118457247|XP_035774525.1|AALB
OG0000662	LOC115767147|XP_030567176.1|DNOV, LOC115767098|XP_030567106.1|DNOV	LOC118460958|XP_035781626.1|AALB
OG0000663	LOC115762215|XP_030560208.1|DNOV	LOC118467777|XP_035794508.1|AALB, LOC118460470|XP_035780686.1|AALB, LOC118461658|XP_035783130.1|AALB
OG0000664	LOC115759057|XP_030555742.1|DNOV, LOC115765328|XP_030564690.1|DNOV	LOC118459849|XP_035779510.1|AALB
OG0000665	LOC115766199|XP_030565909.1|DNOV, LOC115766147|XP_030565843.1|DNOV, LOC115766037|XP_030565667.1|DNOV	LOC118461359|XP_035782488.1|AALB
OG0000666	LOC115766534|XP_030566361.1|DNOV, LOC115771368|XP_030572912.1|DNOV	LOC118460644|XP_035780997.1|AALB
OG0000667	LOC115764289|XP_030563081.1|DNOV, LOC115766095|XP_030565764.1|DNOV	LOC118459008|XP_035777906.1|AALB
OG0000668	LOC115760399|XP_030557560.1|DNOV, LOC115764155|XP_030562891.1|DNOV	LOC118460380|XP_035780530.1|AALB
OG0000669	LOC115766893|XP_030566825.1|DNOV, LOC115766894|XP_030566826.1|DNOV	LOC118457769|XP_035775488.1|AALB, LOC118457773|XP_035775495.1|AALB
OG0000670	LOC115768176|XP_030568538.1|DNOV, LOC115766471|XP_030566275.1|DNOV	LOC118466181|XP_035791065.1|AALB
OG0000671	LOC115771970|XP_030573742.1|DNOV, LOC115771617|XP_030573255.1|DNOV	LOC118466952|XP_035792744.1|AALB
OG0000672	LOC115765272|XP_030564622.1|DNOV, LOC115768896|XP_030569471.1|DNOV	LOC118463337|XP_035785745.1|AALB
OG0000673	LOC115768789|XP_030569346.1|DNOV, LOC115769449|XP_030570122.1|DNOV	LOC118466980|XP_035792788.1|AALB
OG0000677	LOC115770176|XP_030571196.1|DNOV, LOC115771314|XP_030572829.1|DNOV	LOC118465970|XP_035790618.1|AALB, LOC118464463|XP_035787758.1|AALB
OG0000678	LOC115764881|XP_030564019.1|DNOV, LOC115765970|XP_030565583.1|DNOV	LOC118463047|XP_035785190.1|AALB
OG0000679	LOC115767864|XP_030568082.1|DNOV	LOC118462636|XP_035784377.1|AALB, LOC118466988|XP_035792798.1|AALB, LOC118464971|XP_035788695.1|AALB
OG0000680	LOC115766465|XP_030566261.1|DNOV, LOC115766438|XP_030566225.1|DNOV	LOC118457713|XP_035775395.1|AALB
OG0000681	LOC115764053|XP_030562760.1|DNOV, LOC115767781|XP_030567970.1|DNOV	LOC118465454|XP_035789625.1|AALB
OG0000683	LOC115763968|XP_030562627.1|DNOV	LOC118457329|XP_035774716.1|AALB, LOC118457327|XP_035774713.1|AALB, LOC118457331|XP_035774718.1|AALB, LOC118460755|XP_035781245.1|AALB, LOC118461198|XP_035782136.1|AALB
OG0000684	LOC115763839|XP_030562459.1|DNOV, LOC115772099|XP_030573921.1|DNOV	LOC118468548|XP_035795336.1|AALB
OG0000685	LOC115767313|XP_030567413.1|DNOV, LOC115764142|XP_030562875.1|DNOV	LOC118460918|XP_035781564.1|AALB
OG0000686	LOC115760216|XP_030557331.1|DNOV, LOC115768061|XP_030568363.1|DNOV	LOC118466111|XP_035790938.1|AALB
OG0000687	LOC115766596|XP_030566443.1|DNOV, LOC115769955|XP_030570860.1|DNOV	LOC118467740|XP_035794439.1|AALB
OG0000688	LOC115761097|XP_030558580.1|DNOV	LOC118467394|XP_035793749.1|AALB
OG0000689	LOC115760819|XP_030558197.1|DNOV, LOC115760818|XP_030558195.1|DNOV	LOC118465952|XP_035790573.1|AALB
OG0000690	LOC115768204|XP_030568576.1|DNOV	LOC118459366|XP_035778558.1|AALB, LOC118462504|XP_035784121.1|AALB, LOC118459367|XP_035778559.1|AALB, LOC118460492|XP_035780738.1|AALB
OG0000691	LOC115763300|XP_030561651.1|DNOV, LOC115770032|XP_030570954.1|DNOV	LOC118463499|XP_035785991.1|AALB
OG0000692	LOC115762628|XP_030560790.1|DNOV	LOC118464218|XP_035787283.1|AALB
OG0000693	LOC115767186|XP_030567237.1|DNOV, LOC115763814|XP_030562426.1|DNOV	LOC118468443|XP_035795104.1|AALB
OG0000694	LOC115768344|XP_030568767.1|DNOV, LOC115766656|XP_030566480.1|DNOV	LOC118458931|XP_035777794.1|AALB
OG0000695	LOC115759106|XP_030555805.1|DNOV, LOC115759338|XP_030556117.1|DNOV	LOC118460282|XP_035780358.1|AALB
OG0000696	LOC115760003|XP_030557021.1|DNOV	LOC118468894|XP_035796080.1|AALB
OG0000697	LOC115764346|XP_030563164.1|DNOV, LOC115758904|XP_030555561.1|DNOV	LOC118457744|XP_035775449.1|AALB
OG0000698	LOC115768551|XP_030569021.1|DNOV, LOC115768548|XP_030569018.1|DNOV	LOC118459033|XP_035777943.1|AALB
OG0000699	LOC115760027|XP_030557049.1|DNOV, LOC115768643|XP_030569175.1|DNOV	LOC118459522|XP_035778866.1|AALB
OG0000700	LOC115765977|XP_030565595.1|DNOV, LOC115759040|XP_030555722.1|DNOV	LOC118461571|XP_035782952.1|AALB
OG0000701	LOC115760727|XP_030558061.1|DNOV, LOC115766304|XP_030566041.1|DNOV	LOC118458667|XP_035777265.1|AALB
OG0000702	LOC115763795|XP_030562386.1|DNOV, LOC115763797|XP_030562393.1|DNOV	LOC118458785|XP_035777520.1|AALB
OG0000703	LOC115763301|XP_030561652.1|DNOV, LOC115760513|XP_030557734.1|DNOV	LOC118459354|XP_035778531.1|AALB
OG0000704	LOC115765441|XP_030564867.1|DNOV, LOC115772027|XP_030573817.1|DNOV	LOC118456706|XP_035773616.1|AALB
OG0000705	LOC115769975|XP_030570893.1|DNOV	LOC118457192|XP_035774434.1|AALB
OG0000706	LOC115767718|XP_030567883.1|DNOV, LOC115767989|XP_030568250.1|DNOV	LOC118459712|XP_035779266.1|AALB
OG0000707	LOC115766613|XP_030566464.1|DNOV, LOC115765239|XP_030564556.1|DNOV	LOC118461133|XP_035781987.1|AALB
OG0000708	LOC115768226|XP_030568613.1|DNOV, LOC115768754|XP_030569301.1|DNOV	LOC118459946|XP_035779717.1|AALB
OG0000709	LOC115772080|XP_030573893.1|DNOV, LOC115765127|XP_030564382.1|DNOV	LOC118459873|XP_035779553.1|AALB
OG0000710	LOC115761269|XP_030558842.1|DNOV, LOC115760563|XP_030557829.1|DNOV	LOC118465879|XP_035790409.1|AALB
OG0000711	LOC115770356|XP_030571454.1|DNOV, LOC115766879|XP_030566804.1|DNOV	LOC118462952|XP_035784988.1|AALB
OG0000713	LOC115764013|XP_030562700.1|DNOV, LOC115760403|XP_030557562.1|DNOV, LOC115761341|XP_030558940.1|DNOV	LOC118461387|XP_035782541.1|AALB
OG0000714	LOC115767258|XP_030567334.1|DNOV, LOC115766920|XP_030566864.1|DNOV	LOC118466714|XP_035792269.1|AALB
OG0000716	LOC115766904|XP_030566842.1|DNOV, LOC115770095|XP_030571064.1|DNOV	LOC118464220|XP_035787285.1|AALB
OG0000717	LOC115770325|XP_030571422.1|DNOV	LOC118466327|XP_035791336.1|AALB, LOC118467557|XP_035794080.1|AALB, LOC118464093|XP_035787051.1|AALB, LOC118467556|XP_035794078.1|AALB, LOC118465643|XP_035789945.1|AALB
OG0000724	LOC115765413|XP_030564817.1|DNOV, LOC115757761|XP_030554032.1|DNOV	LOC118464210|XP_035787273.1|AALB
OG0000726	LOC115761420|XP_030559040.1|DNOV, LOC115761562|XP_030559207.1|DNOV	LOC118458096|XP_035776151.1|AALB
OG0000727	LOC115759495|XP_030556294.1|DNOV, LOC115759528|XP_030556337.1|DNOV, LOC115759529|XP_030556339.1|DNOV	LOC118461070|XP_035781855.1|AALB, LOC118460163|XP_035780158.1|AALB
OG0000728	LOC115764296|XP_030563089.1|DNOV	LOC118458251|XP_035776425.1|AALB
OG0000729	LOC115761639|XP_030559332.1|DNOV, LOC115761640|XP_030559334.1|DNOV	LOC118457526|XP_035775064.1|AALB
OG0000730	LOC115769489|XP_030570171.1|DNOV, LOC115759999|XP_030557016.1|DNOV	LOC118463159|XP_035785437.1|AALB
OG0000731	LOC115766954|XP_030566901.1|DNOV, LOC115760800|XP_030558156.1|DNOV	LOC118464461|XP_035787755.1|AALB
OG0000732	LOC115771111|XP_030572531.1|DNOV, LOC115771170|XP_030572613.1|DNOV	LOC118466282|XP_035791255.1|AALB
OG0000733	LOC115764230|XP_030563007.1|DNOV, LOC115769923|XP_030570808.1|DNOV	LOC118466217|XP_035791133.1|AALB
OG0000734	LOC115770494|XP_030571643.1|DNOV	LOC118463976|XP_035786870.1|AALB
OG0000735	LOC115768279|XP_030568676.1|DNOV, LOC115763462|XP_030561898.1|DNOV	LOC118457158|XP_035774377.1|AALB
OG0000736	LOC115759738|XP_030556630.1|DNOV, LOC115760034|XP_030557061.1|DNOV	LOC118460963|XP_035781632.1|AALB
OG0000738	LOC115758638|XP_030555234.1|DNOV, LOC115763430|XP_030561851.1|DNOV	LOC118458725|XP_035777386.1|AALB
OG0000739	LOC115764718|XP_030563777.1|DNOV	LOC118467299|XP_035793513.1|AALB
OG0000740	LOC115768532|XP_030568980.1|DNOV, LOC115769090|XP_030569661.1|DNOV	LOC118462970|XP_035785030.1|AALB
OG0000740	LOC115766145|XP_030565840.1|DNOV	LOC118456537|XP_035773278.1|AALB
OG0000741	LOC115760133|XP_030557192.1|DNOV, LOC115765269|XP_030564618.1|DNOV	LOC118459732|XP_035779299.1|AALB
OG0000742	LOC115764314|XP_030563112.1|DNOV, LOC115764380|XP_030563201.1|DNOV	LOC118457488|XP_035775012.1|AALB
OG0000743	LOC115769862|XP_030570720.1|DNOV, LOC115766565|XP_030566405.1|DNOV	LOC118461608|XP_035783027.1|AALB
OG0000744	LOC115758878|XP_030555536.1|DNOV, LOC115765428|XP_030564837.1|DNOV, LOC115772042|XP_030573842.1|DNOV	LOC118464721|XP_035788186.1|AALB
OG0000745	LOC115762188|XP_030560171.1|DNOV	LOC118463435|XP_035785897.1|AALB
OG0000746	LOC115759535|XP_030556350.1|DNOV	LOC118463465|XP_035785948.1|AALB
OG0000753	LOC115771734|XP_030573420.1|DNOV, LOC115762833|XP_030561060.1|DNOV	LOC118463405|XP_035785850.1|AALB
OG0000754	LOC115767236|XP_030567297.1|DNOV, LOC115768063|XP_030568366.1|DNOV	LOC118459560|XP_035778956.1|AALB
OG0000755	LOC115761466|XP_030559092.1|DNOV, LOC115761465|XP_030559091.1|DNOV	LOC118456484|XP_035773202.1|AALB
OG0000757	LOC115760002|XP_030557020.1|DNOV, LOC115766959|XP_030566907.1|DNOV	LOC118466731|XP_035792307.1|AALB
OG0000758	LOC115762699|XP_030560883.1|DNOV, LOC115762607|XP_030560763.1|DNOV	LOC118464489|XP_035787809.1|AALB
OG0000759	LOC115769665|XP_030570438.1|DNOV, LOC115769803|XP_030570631.1|DNOV	LOC118464958|XP_035788642.1|AALB
OG0000761	LOC115763290|XP_030561638.1|DNOV, LOC115763289|XP_030561634.1|DNOV	LOC118459145|XP_035778122.1|AALB
OG0000762	LOC115758576|XP_030555153.1|DNOV, LOC115758625|XP_030555219.1|DNOV	LOC118468393|XP_035795050.1|AALB
OG0000763	LOC115758418|XP_030554926.1|DNOV, LOC115758420|XP_030554929.1|DNOV	LOC118461552|XP_035782895.1|AALB
OG0000764	LOC115766828|XP_030566724.1|DNOV	LOC118458907|XP_035777759.1|AALB
OG0000765	LOC115765810|XP_030565392.1|DNOV, LOC115764248|XP_030563026.1|DNOV	LOC118461038|XP_035781818.1|AALB
OG0000766	LOC115763247|XP_030561585.1|DNOV, LOC115765161|XP_030564431.1|DNOV	LOC118459074|XP_035778009.1|AALB
OG0000767	LOC115759491|XP_030556289.1|DNOV, LOC115771502|XP_030573088.1|DNOV	LOC118460152|XP_035780143.1|AALB
OG0000768	LOC115770428|XP_030571556.1|DNOV	LOC118461516|XP_035782839.1|AALB
OG0000769	LOC115761515|XP_030559144.1|DNOV, LOC115765262|XP_030564601.1|DNOV	LOC118466179|XP_035791062.1|AALB
OG0000770	LOC115760772|XP_030558120.1|DNOV	LOC118465276|XP_035789210.1|AALB
OG0000771	LOC115767118|XP_030567133.1|DNOV	LOC118465832|XP_035790318.1|AALB
OG0000778	LOC115761486|XP_030559113.1|DNOV, LOC115760371|XP_030557524.1|DNOV	LOC118467710|XP_035794817.1|AALB
OG0000779	LOC115765327|XP_030564688.1|DNOV	LOC118464822|XP_035788386.1|AALB, LOC118464827|XP_035788399.1|AALB, LOC118461976|XP_035783792.1|AALB, LOC118468874|XP_035796053.1|AALB
OG0000780	LOC115761471|XP_030559101.1|DNOV	LOC118461097|XP_035781946.1|AALB, LOC118460885|XP_035781560.1|AALB
OG0000781	LOC115768601|XP_030569112.1|DNOV, LOC115770411|XP_030571532.1|DNOV	LOC118466381|XP_035791507.1|AALB, LOC118459642|XP_035779115.1|AALB
OG0000782	LOC115770378|XP_030571487.1|DNOV, LOC115768800|XP_030569356.1|DNOV	LOC118462004|XP_035783833.1|AALB
OG0000783	LOC115757668|XP_030553846.1|DNOV, LOC115768769|XP_030569319.1|DNOV	LOC118461989|XP_035783818.1|AALB
OG0000784	LOC115771010|XP_030572376.1|DNOV, LOC115767011|XP_030566993.1|DNOV	LOC118457596|XP_035775188.1|AALB
OG0000785	LOC115764812|XP_030563918.1|DNOV	LOC118459271|XP_035778400.1|AALB
OG0000786	LOC115769035|XP_030569602.1|DNOV, LOC115761690|XP_030559416.1|DNOV	LOC118457367|XP_035774777.1|AALB
OG0000787	LOC115769980|XP_030570901.1|DNOV	LOC118467704|XP_035794380.1|AALB
OG0000788	LOC115771250|XP_030572710.1|DNOV	LOC118466414|XP_035791576.1|AALB
OG0000789	LOC115759306|XP_030556071.1|DNOV, LOC115759311|XP_030556081.1|DNOV	LOC118468941|XP_035796172.1|AALB
OG0000790	LOC115765455|XP_030564879.1|DNOV	LOC118466930|XP_035792713.1|AALB
OG0000791	LOC115764900|XP_030564051.1|DNOV	LOC118456204|XP_035772663.1|AALB
OG0000792	LOC115758943|XP_030555602.1|DNOV	LOC118458779|XP_035777497.1|AALB
OG0000793	LOC115763802|XP_030562406.1|DNOV, LOC115763806|XP_030562409.1|DNOV, LOC115763805|XP_030562408.1|DNOV	LOC118459860|XP_035779527.1|AALB
OG0000794	LOC115768823|XP_030569380.1|DNOV	LOC118460044|XP_035779899.1|AALB, LOC118458710|XP_035777343.1|AALB, LOC118458832|XP_035777620.1|AALB
OG0000795	LOC115768361|XP_030568789.1|DNOV, LOC115767914|XP_030568144.1|DNOV	LOC118456526|XP_035773263.1|AALB
OG0000796	LOC115759457|XP_030556249.1|DNOV, LOC115768315|XP_030568724.1|DNOV	LOC118459067|XP_035777997.1|AALB
OG0000797	LOC115761700|XP_030559433.1|DNOV	LOC118463511|XP_035786006.1|AALB
OG0000798	LOC115764575|XP_030563573.1|DNOV	LOC118464225|XP_035787294.1|AALB
OG0000799	LOC115766475|XP_030566280.1|DNOV	LOC118462798|XP_035784688.1|AALB
OG0000801	LOC115766552|XP_030566388.1|DNOV, LOC115766537|XP_030566365.1|DNOV	LOC118463198|XP_035785525.1|AALB
OG0000802	LOC115767572|XP_030567718.1|DNOV	LOC118467277|XP_035793472.1|AALB
