Orthogroup	DNOV.longest_only	CQUI.longest_only
OG0001954	LOC115763310|XP_030561671.1|DNOV	LOC6036398|XP_038119152.1|CQUI
OG0001955	LOC115771765|XP_030573482.1|DNOV	LOC6036401|XP_001846454.2|CQUI
OG0001956	LOC115766840|XP_030566748.1|DNOV	LOC6036547|XP_038117528.1|CQUI
OG0001957	LOC115760596|XP_030557890.1|DNOV	LOC6036275|XP_001846341.1|CQUI
OG0001958	LOC115760524|XP_030557758.1|DNOV	LOC6033549|XP_038117713.1|CQUI
OG0001959	LOC115770115|XP_030571096.1|DNOV	LOC6038392|XP_001848199.2|CQUI, LOC6037710|XP_038114451.1|CQUI
OG0001960	LOC115765831|XP_030565415.1|DNOV	LOC6040613|XP_001849983.2|CQUI
OG0001962	LOC115762063|XP_030560010.1|DNOV	LOC6035473|XP_038120793.1|CQUI
OG0001963	LOC115769800|XP_030570627.1|DNOV	LOC6033576|XP_038116392.1|CQUI
OG0001964	LOC115771265|XP_030572741.1|DNOV	LOC119770350|XP_038120975.1|CQUI
OG0001966	LOC115771932|XP_030573692.1|DNOV	LOC6045542|XP_038120964.1|CQUI
OG0001967	LOC115762391|XP_030560435.1|DNOV	LOC6037159|XP_038116491.1|CQUI
OG0001968	LOC115762913|XP_030561152.1|DNOV	LOC119769837|XP_038119461.1|CQUI
OG0001969	LOC115760761|XP_030558102.1|DNOV	LOC6043784|XP_001861388.2|CQUI
OG0001970	LOC115768334|XP_030568796.1|DNOV	LOC6033499|XP_001843940.1|CQUI
OG0001971	LOC115766604|XP_030566450.1|DNOV	LOC119770383|XP_038121065.1|CQUI
OG0001972	LOC115760311|XP_030557462.1|DNOV	LOC6050813|XP_038115650.1|CQUI
OG0001973	LOC115760699|XP_030558024.1|DNOV	LOC6030808|XP_038115981.1|CQUI
OG0001974	LOC115762105|XP_030560067.1|DNOV	LOC6040965|XP_001850286.2|CQUI
OG0001975	LOC115769364|XP_030570006.1|DNOV	LOC6047202|XP_001864288.2|CQUI
OG0001976	LOC115761148|XP_030558677.1|DNOV	LOC6037093|XP_001847040.1|CQUI
OG0001977	LOC115759789|XP_030556728.1|DNOV	LOC119767020|XP_038110184.1|CQUI, LOC6032497|XP_001843086.1|CQUI
OG0001978	LOC115760175|XP_030557259.1|DNOV	LOC6034119|XP_038111127.1|CQUI
OG0001979	LOC115768310|XP_030568722.1|DNOV, LOC115758658|XP_030555257.1|DNOV	LOC6046047|XP_001863303.1|CQUI
OG0001980	LOC115765570|XP_030565077.1|DNOV	LOC6048883|XP_001865727.2|CQUI
OG0001981	LOC115760038|XP_030557066.1|DNOV	LOC6041637|XP_038113783.1|CQUI
OG0001982	LOC115758463|XP_030554995.1|DNOV	LOC6046048|XP_001863304.2|CQUI
OG0001983	LOC115769289|XP_030569875.1|DNOV	LOC6037074|XP_038109968.1|CQUI
OG0001984	LOC115758903|XP_030555560.1|DNOV	LOC6043314|XP_038108458.1|CQUI
OG0001985	LOC115763598|XP_030562081.1|DNOV	LOC6041484|XP_038107733.1|CQUI
OG0001986	LOC115759304|XP_030556069.1|DNOV	LOC6039572|XP_038113369.1|CQUI
OG0001987	LOC115767543|XP_030567682.1|DNOV	LOC6033795|XP_038108902.1|CQUI, LOC6047193|XP_038106698.1|CQUI
OG0001988	LOC115769820|XP_030570684.1|DNOV	LOC6031811|XP_038108479.1|CQUI
OG0001989	LOC115765971|XP_030565585.1|DNOV	LOC6038274|XP_001848097.2|CQUI
OG0001990	LOC115763028|XP_030561294.1|DNOV	LOC6038269|XP_038107998.1|CQUI
OG0001991	LOC115760287|XP_030557419.1|DNOV	LOC6045657|XP_038110933.1|CQUI
OG0001992	LOC115759131|XP_030555836.1|DNOV, LOC115759133|XP_030555842.1|DNOV	LOC6048798|XP_038109494.1|CQUI
OG0001993	LOC115763350|XP_030561728.1|DNOV	LOC6034237|XP_001844584.2|CQUI, LOC6040852|XP_001850184.1|CQUI
OG0001994	LOC115757745|XP_030553995.1|DNOV	LOC6031207|XP_001842041.2|CQUI
OG0001995	LOC115769166|XP_030569725.1|DNOV	LOC6033195|XP_001843675.2|CQUI
OG0001996	LOC115765912|XP_030565518.1|DNOV	LOC6031275|XP_038108642.1|CQUI
OG0001997	LOC115762093|XP_030560054.1|DNOV	LOC6042869|XP_001853641.1|CQUI
OG0001998	LOC115762091|XP_030560049.1|DNOV	LOC6052519|XP_038108714.1|CQUI
OG0001999	LOC115763365|XP_030561756.1|DNOV	LOC6049002|XP_038107788.1|CQUI
OG0002000	LOC115760004|XP_030557022.1|DNOV	LOC6054187|XP_038109989.1|CQUI
OG0002001	LOC115759968|XP_030556976.1|DNOV	LOC6033119|XP_038108756.1|CQUI
OG0002002	LOC115760494|XP_030557705.1|DNOV, LOC115760740|XP_030558077.1|DNOV	LOC6042111|XP_001851261.2|CQUI
OG0002003	LOC115763218|XP_030561550.1|DNOV	LOC6044259|XP_001861798.1|CQUI
OG0002004	LOC115759781|XP_030556709.1|DNOV	LOC6036173|XP_038111988.1|CQUI
OG0002005	LOC115763578|XP_030562057.1|DNOV	LOC6033275|XP_038111843.1|CQUI
OG0002006	LOC115760208|XP_030557302.1|DNOV	LOC6033224|XP_038110957.1|CQUI
OG0002008	LOC115766796|XP_030566679.1|DNOV	LOC6036447|XP_038109172.1|CQUI
OG0002009	LOC115761031|XP_030558504.1|DNOV	LOC6036465|XP_038112709.1|CQUI
OG0002010	LOC115763050|XP_030561335.1|DNOV	LOC6036482|XP_001846532.2|CQUI
OG0002011	LOC115763011|XP_030561261.1|DNOV	LOC6034391|XP_001844709.2|CQUI
OG0002012	LOC115759718|XP_030556585.1|DNOV	LOC6036347|XP_038112714.1|CQUI
OG0002013	LOC115763443|XP_030561870.1|DNOV	LOC6046639|XP_038107918.1|CQUI
OG0002014	LOC115759745|XP_030556648.1|DNOV	LOC6035997|XP_038111448.1|CQUI
OG0002015	LOC115761514|XP_030559143.1|DNOV	LOC6034825|XP_001845096.2|CQUI
OG0002016	LOC115760906|XP_030558333.1|DNOV	LOC6050974|XP_038107602.1|CQUI
OG0002017	LOC115759752|XP_030556654.1|DNOV	LOC6054171|XP_038108914.1|CQUI
OG0002018	LOC115763535|XP_030562011.1|DNOV	LOC6032135|XP_001842789.2|CQUI
OG0002019	LOC115759773|XP_030556700.1|DNOV, LOC115759772|XP_030556699.1|DNOV	LOC6046126|XP_038110758.1|CQUI
OG0002020	LOC115769293|XP_030569879.1|DNOV	LOC6038005|XP_038108837.1|CQUI
OG0002021	LOC115765447|XP_030564874.1|DNOV	LOC6037998|XP_001847845.2|CQUI
OG0002022	LOC115758806|XP_030555443.1|DNOV	LOC119767624|XP_038112509.1|CQUI
OG0002023	LOC115761667|XP_030559376.1|DNOV	LOC6036020|XP_038109557.1|CQUI
OG0002024	LOC115759881|XP_030556856.1|DNOV, LOC115766824|XP_030566723.1|DNOV	LOC6033634|XP_001844061.1|CQUI
OG0002025	LOC115758848|XP_030555490.1|DNOV	LOC6048337|XP_038109427.1|CQUI
OG0002026	LOC115771419|XP_030572981.1|DNOV	LOC6046087|XP_038119029.1|CQUI
OG0002027	LOC115761741|XP_030559496.1|DNOV	LOC6038993|XP_038118649.1|CQUI
OG0002028	LOC115758221|XP_030554631.1|DNOV	LOC6038987|XP_038119452.1|CQUI
OG0002029	LOC115769926|XP_030570825.1|DNOV	LOC6044744|XP_038117028.1|CQUI
OG0002030	LOC115771962|XP_030573735.1|DNOV	LOC6036738|XP_001846737.1|CQUI
OG0002031	LOC115757903|XP_030554211.1|DNOV	LOC6034192|XP_001844547.2|CQUI
OG0002032	LOC115770922|XP_030572240.1|DNOV	LOC6047494|XP_001864549.2|CQUI
OG0002033	LOC115768857|XP_030569418.1|DNOV	LOC6033021|XP_038119287.1|CQUI
OG0002034	LOC115767775|XP_030567960.1|DNOV	LOC6033038|XP_038115410.1|CQUI
OG0002036	LOC115757738|XP_030553983.1|DNOV	LOC6050995|XP_038121187.1|CQUI
OG0002037	LOC115762778|XP_030560989.1|DNOV, LOC115762826|XP_030561051.1|DNOV	LOC6046238|XP_001863465.1|CQUI
OG0002038	LOC115770800|XP_030572083.1|DNOV	LOC6048866|XP_001865713.1|CQUI
OG0002040	LOC115761926|XP_030559817.1|DNOV	LOC6049016|XP_038115728.1|CQUI
OG0002041	LOC115766462|XP_030566257.1|DNOV, LOC115764556|XP_030563541.1|DNOV	LOC6053561|XP_038121322.1|CQUI
OG0002042	LOC115761759|XP_030559524.1|DNOV	LOC6042060|XP_001851213.1|CQUI
OG0002043	LOC115765736|XP_030565261.1|DNOV	LOC6046279|XP_001863506.2|CQUI
OG0002044	LOC115761617|XP_030559302.1|DNOV	LOC6049246|XP_038115174.1|CQUI
OG0002045	LOC115763890|XP_030562527.1|DNOV	LOC6046000|XP_038119279.1|CQUI
OG0002046	LOC115768309|XP_030568717.1|DNOV	LOC6044308|XP_038119321.1|CQUI
OG0002047	LOC115769126|XP_030569692.1|DNOV	LOC6050271|XP_038122220.1|CQUI
OG0002048	LOC115767928|XP_030568157.1|DNOV	LOC6042553|XP_038120962.1|CQUI
OG0002049	LOC115767880|XP_030568102.1|DNOV	LOC6039492|XP_038115951.1|CQUI
OG0002050	LOC115770932|XP_030572250.1|DNOV, LOC115770935|XP_030572252.1|DNOV	LOC6043404|XP_038115088.1|CQUI
OG0002051	LOC115771458|XP_030573037.1|DNOV	LOC6051287|XP_038119820.1|CQUI
OG0002053	LOC115759573|XP_030556399.1|DNOV, LOC115759649|XP_030556497.1|DNOV	LOC6040835|XP_038116346.1|CQUI
OG0002054	LOC115761806|XP_030559611.1|DNOV	LOC6035830|XP_001845950.2|CQUI
OG0002055	LOC115770904|XP_030572203.1|DNOV	LOC6038958|XP_038120809.1|CQUI
OG0002056	LOC115770539|XP_030571703.1|DNOV	LOC6038943|XP_038120800.1|CQUI
OG0002057	LOC115758569|XP_030555140.1|DNOV	LOC6034056|XP_038120930.1|CQUI
OG0002058	LOC115762652|XP_030560818.1|DNOV	LOC6033986|XP_001844369.2|CQUI
OG0002059	LOC115766176|XP_030565879.1|DNOV	LOC6033981|XP_038120952.1|CQUI
OG0002060	LOC115761189|XP_030558725.1|DNOV	LOC6033990|XP_038119391.1|CQUI
OG0002061	LOC115765264|XP_030564882.1|DNOV	LOC6033991|XP_001844379.1|CQUI
OG0002062	LOC115768327|XP_030568744.1|DNOV	LOC6037972|XP_038118109.1|CQUI
OG0002063	LOC115767993|XP_030568255.1|DNOV	LOC119769819|XP_038119432.1|CQUI
OG0002064	LOC115768287|XP_030568686.1|DNOV	LOC6047178|XP_038120724.1|CQUI
OG0002065	LOC115769628|XP_030570396.1|DNOV	LOC6046202|XP_038120624.1|CQUI
OG0002066	LOC115770750|XP_030572015.1|DNOV	LOC6039967|XP_038109379.1|CQUI
OG0002067	LOC115758222|XP_030554632.1|DNOV	LOC6044111|XP_038112191.1|CQUI
OG0002068	LOC115760773|XP_030558121.1|DNOV	LOC119766543|XP_038107216.1|CQUI
OG0002069	LOC115767327|XP_030567430.1|DNOV	LOC6041145|XP_001850445.2|CQUI
OG0002070	LOC115766094|XP_030565763.1|DNOV	LOC6041138|XP_001850438.2|CQUI
OG0002071	LOC115772036|XP_030573833.1|DNOV, LOC115771795|XP_030573525.1|DNOV	LOC6036873|XP_038107719.1|CQUI
OG0002072	LOC115760754|XP_030558092.1|DNOV	LOC119767954|XP_038113954.1|CQUI, LOC119767948|XP_038113941.1|CQUI
OG0002073	LOC115770534|XP_030571696.1|DNOV	LOC6037933|XP_038116801.1|CQUI
OG0002074	LOC115764534|XP_030563505.1|DNOV	LOC6034286|XP_001844626.2|CQUI
OG0002075	LOC115759044|XP_030555728.1|DNOV	LOC6051422|XP_001867860.2|CQUI
OG0002076	LOC115758113|XP_030554497.1|DNOV	LOC6053604|XP_038109672.1|CQUI
OG0002077	LOC115762559|XP_030560699.1|DNOV	LOC6048428|XP_038107454.1|CQUI
OG0002078	LOC115757853|XP_030554149.1|DNOV	LOC6049195|XP_038108184.1|CQUI
OG0002079	LOC115770123|XP_030571117.1|DNOV	LOC6035445|XP_038113391.1|CQUI
OG0002080	LOC115768889|XP_030569460.1|DNOV, LOC115757818|XP_030554101.1|DNOV	LOC6045702|XP_038109755.1|CQUI
OG0002081	LOC115757797|XP_030554073.1|DNOV	LOC6045982|XP_001863256.2|CQUI
OG0002082	LOC115764478|XP_030563404.1|DNOV	LOC6036748|XP_038113901.1|CQUI
OG0002083	LOC115766846|XP_030566755.1|DNOV	LOC6035972|XP_038107184.1|CQUI
OG0002084	LOC115766577|XP_030566422.1|DNOV	LOC6035707|XP_038108824.1|CQUI
OG0002085	LOC115760785|XP_030558138.1|DNOV	LOC6042460|XP_038114127.1|CQUI
OG0002086	LOC115766541|XP_030566370.1|DNOV	LOC6046954|XP_001864067.2|CQUI
OG0002087	LOC115769118|XP_030569686.1|DNOV	LOC6035876|XP_038112932.1|CQUI
OG0002088	LOC115770225|XP_030571287.1|DNOV	LOC6048576|XP_038109929.1|CQUI
OG0002090	LOC115769521|XP_030570221.1|DNOV	LOC6048571|XP_038112054.1|CQUI
OG0002091	LOC115758063|XP_030554437.1|DNOV	LOC6042356|XP_001851484.1|CQUI
OG0002092	LOC115762759|XP_030560961.1|DNOV	LOC6042361|XP_001851488.2|CQUI, LOC6036907|XP_038108108.1|CQUI
OG0002093	LOC115757859|XP_030554158.1|DNOV	LOC6046499|XP_038110633.1|CQUI
OG0002094	LOC115762864|XP_030561102.1|DNOV	LOC6040957|XP_038113605.1|CQUI
OG0002095	LOC115768317|XP_030568726.1|DNOV	LOC6036091|XP_001846184.1|CQUI
OG0002096	LOC115757832|XP_030554119.1|DNOV	LOC6047564|XP_038107160.1|CQUI
OG0002097	LOC115758293|XP_030554719.1|DNOV	LOC6032274|XP_038114310.1|CQUI
OG0002098	LOC115770196|XP_030571220.1|DNOV	LOC6054484|XP_038109600.1|CQUI, LOC6050613|XP_038110230.1|CQUI
OG0002099	LOC115759503|XP_030556304.1|DNOV	LOC6052912|XP_038113126.1|CQUI
OG0002100	LOC115770037|XP_030570987.1|DNOV	LOC6037635|XP_001847522.2|CQUI, LOC6037636|XP_038113451.1|CQUI
OG0002101	LOC115764454|XP_030563351.1|DNOV, LOC115758042|XP_030554415.1|DNOV	LOC6034560|XP_038108470.1|CQUI
OG0002102	LOC115771985|XP_030573768.1|DNOV	LOC6040553|XP_001849935.2|CQUI
OG0002103	LOC115759497|XP_030556295.1|DNOV	LOC6039927|XP_038104265.1|CQUI
OG0002117	LOC115767283|XP_030567374.1|DNOV	LOC6035092|XP_001845324.2|CQUI
OG0002118	LOC115760383|XP_030557537.1|DNOV	LOC6038196|XP_001848026.2|CQUI
OG0002119	LOC115757681|XP_030553877.1|DNOV	LOC6052831|XP_038104539.1|CQUI
OG0002120	LOC115766745|XP_030566581.1|DNOV	LOC6038312|XP_038104590.1|CQUI
OG0002121	LOC115764171|XP_030562916.1|DNOV	LOC6048963|XP_038111521.1|CQUI
OG0002123	LOC115758912|XP_030555569.1|DNOV	LOC6040410|XP_038105742.1|CQUI
OG0002124	LOC115767082|XP_030567088.1|DNOV	LOC119770815|XP_038122274.1|CQUI
OG0002125	LOC115760721|XP_030558057.1|DNOV	LOC119771160|XP_038122537.1|CQUI, LOC119765095|XP_038104176.1|CQUI
OG0002126	LOC115770261|XP_030571336.1|DNOV	LOC6053690|XP_001869735.2|CQUI
OG0002127	LOC115764403|XP_030563254.1|DNOV	LOC6051305|XP_038105747.1|CQUI
OG0002128	LOC115767111|XP_030567124.1|DNOV	LOC6050201|XP_038114963.1|CQUI
OG0002129	LOC115764225|XP_030562999.1|DNOV	LOC6038188|XP_038108193.1|CQUI
OG0002130	LOC115768446|XP_030568865.1|DNOV	LOC6048461|XP_001865375.1|CQUI
OG0002131	LOC115761630|XP_030559319.1|DNOV	LOC6041291|XP_038105189.1|CQUI
OG0002132	LOC115763340|XP_030561709.1|DNOV	LOC6042241|XP_001851379.1|CQUI
OG0002133	LOC115766862|XP_030566781.1|DNOV	LOC6041277|XP_001850564.2|CQUI
OG0002134	LOC115768786|XP_030569343.1|DNOV	LOC6053321|XP_038104459.1|CQUI
OG0002135	LOC115769042|XP_030569607.1|DNOV	LOC6039380|XP_001848994.2|CQUI, LOC6038451|XP_038114365.1|CQUI
OG0002136	LOC115764976|XP_030564163.1|DNOV	LOC6052854|XP_038114943.1|CQUI
OG0002137	LOC115764757|XP_030563853.1|DNOV	LOC6035107|XP_001845343.2|CQUI
OG0002138	LOC115768273|XP_030568670.1|DNOV	LOC6053774|XP_001869800.2|CQUI
OG0002140	LOC115767278|XP_030567370.1|DNOV	LOC6052944|XP_038122401.1|CQUI
OG0002141	LOC115759098|XP_030555792.1|DNOV, LOC115760390|XP_030557547.1|DNOV	LOC6052597|XP_001868840.1|CQUI
OG0002142	LOC115771676|XP_030573351.1|DNOV	LOC6044771|XP_001862230.2|CQUI
OG0002143	LOC115758609|XP_030555200.1|DNOV	LOC6049815|XP_001866521.2|CQUI
OG0002144	LOC115766709|XP_030566487.1|DNOV	LOC6045241|XP_001862632.1|CQUI
OG0002145	LOC115770837|XP_030572131.1|DNOV	LOC6054639|XP_038108283.1|CQUI
OG0002146	LOC115761717|XP_030559456.1|DNOV	LOC6036975|XP_038114349.1|CQUI
OG0002147	LOC115765433|XP_030564839.1|DNOV	LOC6050629|XP_038108543.1|CQUI
OG0002148	LOC115768094|XP_030568438.1|DNOV	LOC6049935|XP_038105474.1|CQUI
OG0002149	LOC115766741|XP_030566567.1|DNOV	LOC6049814|XP_038122450.1|CQUI
OG0002150	LOC115767740|XP_030567911.1|DNOV	LOC6042689|XP_038115140.1|CQUI
OG0002151	LOC115763030|XP_030561297.1|DNOV	LOC6042690|XP_001870711.1|CQUI
OG0002152	LOC115761274|XP_030558849.1|DNOV	LOC6043588|XP_038111921.1|CQUI
OG0002153	LOC115764929|XP_030564099.1|DNOV	LOC6051446|XP_038116744.1|CQUI
OG0002154	LOC115768454|XP_030568876.1|DNOV	LOC6038494|XP_038104249.1|CQUI
OG0002155	LOC115771857|XP_030573597.1|DNOV	LOC6045355|XP_001862743.2|CQUI
OG0002156	LOC115771401|XP_030572956.1|DNOV, LOC115760428|XP_030557599.1|DNOV	LOC119765577|XP_038105669.1|CQUI
OG0002157	LOC115761232|XP_030558784.1|DNOV	LOC6031420|XP_038119185.1|CQUI
OG0002159	LOC115760751|XP_030558090.1|DNOV	LOC6042564|XP_001852253.1|CQUI
OG0002160	LOC115772053|XP_030573857.1|DNOV	LOC6053375|XP_038104218.1|CQUI
OG0002161	LOC115771997|XP_030573788.1|DNOV	LOC6034721|XP_001845003.2|CQUI, LOC6053342|XP_001869448.1|CQUI
OG0002162	LOC115761900|XP_030559776.1|DNOV	LOC6034725|XP_038105052.1|CQUI
OG0002164	LOC115763629|XP_030562117.1|DNOV	LOC6034761|XP_001845035.2|CQUI
OG0002166	LOC115758919|XP_030555578.1|DNOV	LOC6041913|XP_001851104.1|CQUI
OG0002167	LOC115764554|XP_030563536.1|DNOV	LOC6041910|XP_001851101.1|CQUI
OG0002168	LOC115762407|XP_030560496.1|DNOV	LOC6053108|XP_001869252.2|CQUI
OG0002169	LOC115769913|XP_030570796.1|DNOV	LOC119769928|XP_038119722.1|CQUI
OG0002170	LOC115766792|XP_030566671.1|DNOV	LOC6046470|XP_001863662.2|CQUI
OG0002171	LOC115764846|XP_030563957.1|DNOV	LOC6046764|XP_038105150.1|CQUI
OG0002172	LOC115764650|XP_030563688.1|DNOV	LOC6035363|XP_001845574.2|CQUI
OG0002173	LOC115760169|XP_030557249.1|DNOV	LOC6054518|XP_001870417.2|CQUI
OG0002174	LOC115771771|XP_030573486.1|DNOV	LOC6046593|XP_001863767.2|CQUI
OG0002175	LOC115771772|XP_030573487.1|DNOV	LOC6046591|XP_001863766.1|CQUI
OG0002176	LOC115770587|XP_030571775.1|DNOV	LOC6036519|XP_001846564.2|CQUI
OG0002177	LOC115772103|XP_030573928.1|DNOV	LOC6037521|XP_038104546.1|CQUI, LOC6037519|XP_001847423.1|CQUI
OG0002178	LOC115771648|XP_030573312.1|DNOV	LOC6035645|XP_038111574.1|CQUI
OG0002180	LOC115761563|XP_030559208.1|DNOV	LOC6035429|XP_038104069.1|CQUI
OG0002181	LOC115765436|XP_030564862.1|DNOV	LOC6052079|XP_001868406.1|CQUI
OG0002182	LOC115764119|XP_030562841.1|DNOV	LOC119766353|XP_038106772.1|CQUI, LOC6035057|XP_001845294.2|CQUI
OG0002183	LOC115764565|XP_030563550.1|DNOV	LOC6053695|XP_001869737.2|CQUI
OG0002184	LOC115764609|XP_030563620.1|DNOV	LOC6039609|XP_001849183.1|CQUI
OG0002185	LOC115765021|XP_030564235.1|DNOV	LOC6044852|XP_038104985.1|CQUI
OG0002186	LOC115759202|XP_030555948.1|DNOV	LOC119765311|XP_038104858.1|CQUI
OG0002187	LOC115761174|XP_030558696.1|DNOV	LOC6035552|XP_001845710.1|CQUI
OG0002188	LOC115759083|XP_030555779.1|DNOV	LOC6035546|XP_038104743.1|CQUI
OG0002189	LOC115761861|XP_030559714.1|DNOV	LOC6048163|XP_001865121.2|CQUI
OG0002190	LOC115761586|XP_030559236.1|DNOV	LOC6047848|XP_038106127.1|CQUI
OG0002191	LOC115770497|XP_030571651.1|DNOV	LOC6054528|XP_001870428.2|CQUI
OG0002192	LOC115768356|XP_030568787.1|DNOV	LOC6046955|XP_038113556.1|CQUI
OG0002193	LOC115762018|XP_030559945.1|DNOV	LOC6032691|XP_038105765.1|CQUI
OG0002194	LOC115761692|XP_030559418.1|DNOV	LOC6032669|XP_001843234.1|CQUI, LOC6032668|XP_001843233.2|CQUI
OG0002195	LOC115764101|XP_030562814.1|DNOV	LOC6031632|XP_038116823.1|CQUI
OG0002196	LOC115765666|XP_030565184.1|DNOV	LOC6039344|XP_001848971.2|CQUI
OG0002197	LOC115762742|XP_030560939.1|DNOV	LOC6046596|XP_038105222.1|CQUI
OG0002198	LOC115761439|XP_030559067.1|DNOV, LOC115761438|XP_030559066.1|DNOV	LOC6034957|XP_038105850.1|CQUI
OG0002199	LOC115757664|XP_030553841.1|DNOV	LOC6033702|XP_001844125.1|CQUI
OG0002202	LOC115764031|XP_030562723.1|DNOV	LOC6046148|XP_038105307.1|CQUI
OG0002203	LOC115771642|XP_030573302.1|DNOV	LOC6039079|XP_038105676.1|CQUI
OG0002204	LOC115757682|XP_030553880.1|DNOV	LOC6049259|XP_038122869.1|CQUI
OG0002206	LOC115761451|XP_030559078.1|DNOV	LOC6037487|XP_001847397.2|CQUI
OG0002207	LOC115764159|XP_030562897.1|DNOV	LOC6033007|XP_001843517.1|CQUI
OG0002208	LOC115764016|XP_030562705.1|DNOV	LOC6033006|XP_001843516.1|CQUI
OG0002209	LOC115767546|XP_030567688.1|DNOV	LOC6045595|XP_001862936.2|CQUI
OG0002210	LOC115757688|XP_030553886.1|DNOV	LOC6045597|XP_001862938.1|CQUI
OG0002211	LOC115761796|XP_030559595.1|DNOV	LOC6045607|XP_001862945.1|CQUI
OG0002212	LOC115764968|XP_030564152.1|DNOV	LOC6038038|XP_001847883.1|CQUI
OG0002213	LOC115765589|XP_030565099.1|DNOV	LOC6051153|XP_001867636.1|CQUI
OG0002214	LOC115771919|XP_030573672.1|DNOV	LOC6032048|XP_038105292.1|CQUI
OG0002215	LOC115757721|XP_030553947.1|DNOV	LOC6032095|XP_038106196.1|CQUI
OG0002216	LOC115760321|XP_030557471.1|DNOV	LOC6032662|XP_038106882.1|CQUI
OG0002217	LOC115757719|XP_030553944.1|DNOV	LOC6033961|XP_001844349.2|CQUI
OG0002218	LOC115767965|XP_030568224.1|DNOV	LOC6053396|XP_038104621.1|CQUI
OG0002220	LOC115761462|XP_030559089.1|DNOV	LOC6037348|XP_038105656.1|CQUI
OG0002221	LOC115769484|XP_030570162.1|DNOV	LOC119770567|XP_038121611.1|CQUI, LOC119770566|XP_038121610.1|CQUI
OG0002222	LOC115760184|XP_030557277.1|DNOV	LOC6032790|XP_001843329.2|CQUI
OG0002224	LOC115764588|XP_030563603.1|DNOV	LOC119769378|XP_038117360.1|CQUI, LOC6032799|XP_038115284.1|CQUI
OG0002225	LOC115767921|XP_030568153.1|DNOV	LOC6032897|XP_038117532.1|CQUI
OG0002226	LOC115758386|XP_030554897.1|DNOV	LOC6042794|XP_001870797.1|CQUI
OG0002227	LOC115763611|XP_030562128.1|DNOV	LOC6031136|XP_038120789.1|CQUI
OG0002228	LOC115758009|XP_030554366.1|DNOV	LOC6031157|XP_038120047.1|CQUI
OG0002229	LOC115760574|XP_030557851.1|DNOV	LOC6031155|XP_001841998.2|CQUI
OG0002230	LOC115762474|XP_030560552.1|DNOV	LOC6031161|XP_038119537.1|CQUI
OG0002231	LOC115762300|XP_030560327.1|DNOV	LOC6050941|XP_038119258.1|CQUI, LOC119769702|XP_038119059.1|CQUI
OG0002232	LOC115758245|XP_030554664.1|DNOV	LOC6040636|XP_001850004.1|CQUI
OG0002233	LOC115769382|XP_030570037.1|DNOV	LOC6047308|XP_038120904.1|CQUI, LOC6047313|XP_038119049.1|CQUI
OG0002235	LOC115760578|XP_030557857.1|DNOV	LOC6040757|XP_038115690.1|CQUI
OG0002236	LOC115760532|XP_030557775.1|DNOV	LOC6030997|XP_001841850.1|CQUI
OG0002237	LOC115760432|XP_030557605.1|DNOV	LOC6047076|XP_001864183.2|CQUI
OG0002238	LOC115771249|XP_030572713.1|DNOV	LOC6049703|XP_038118161.1|CQUI
OG0002239	LOC115760498|XP_030557709.1|DNOV	LOC6042825|XP_001870822.1|CQUI
OG0002240	LOC115761155|XP_030558688.1|DNOV	LOC6041172|XP_038118497.1|CQUI
OG0002241	LOC115769618|XP_030570375.1|DNOV	LOC6044078|XP_038116059.1|CQUI
OG0002243	LOC115757748|XP_030554004.1|DNOV	LOC6044961|XP_038119719.1|CQUI
OG0002244	LOC115769986|XP_030570912.1|DNOV	LOC119767375|XP_038111774.1|CQUI, LOC6044948|XP_001862380.2|CQUI
OG0002245	LOC115767908|XP_030568141.1|DNOV	LOC6045680|XP_038114857.1|CQUI
OG0002246	LOC115764131|XP_030562866.1|DNOV	LOC6049979|XP_038118799.1|CQUI
OG0002247	LOC115762486|XP_030560624.1|DNOV	LOC6038803|XP_001848521.2|CQUI
OG0002248	LOC115762593|XP_030560741.1|DNOV	LOC6047330|XP_038119197.1|CQUI
OG0002249	LOC115767128|XP_030567150.1|DNOV	LOC6046727|XP_038111587.1|CQUI, LOC6052976|XP_001869143.1|CQUI
OG0002250	LOC115762314|XP_030560341.1|DNOV	LOC6050221|XP_038121273.1|CQUI
OG0002251	LOC115762315|XP_030560342.1|DNOV	LOC6049011|XP_038120599.1|CQUI
OG0002252	LOC115762296|XP_030560321.1|DNOV	LOC6040660|XP_001850021.2|CQUI
OG0002253	LOC115770602|XP_030571837.1|DNOV	LOC119768700|XP_038115241.1|CQUI
OG0002254	LOC115761598|XP_030559258.1|DNOV	LOC6052417|XP_038119674.1|CQUI
OG0002255	LOC115769131|XP_030569697.1|DNOV	LOC6041121|XP_001850425.2|CQUI
OG0002257	LOC115762185|XP_030560165.1|DNOV	LOC6036306|XP_038120022.1|CQUI
OG0002260	LOC115769292|XP_030569882.1|DNOV	LOC6051586|XP_001868005.2|CQUI
OG0002261	LOC115771390|XP_030572935.1|DNOV	LOC6039430|XP_038119745.1|CQUI
OG0002263	LOC115767697|XP_030567851.1|DNOV	LOC6037305|XP_001847231.1|CQUI
OG0002264	LOC115760177|XP_030557265.1|DNOV	LOC6036281|XP_001846347.2|CQUI
OG0002265	LOC115762931|XP_030561172.1|DNOV	LOC6054106|XP_001870076.2|CQUI
