Orthogroup	DNOV.longest_only	CCAP.longest_only
OG0001470	LOC115770082|XP_030571051.1|DNOV	CCAP1982_LOCUS14046|CAD7005694.1|CCAP
OG0001471	LOC115770028|XP_030570950.1|DNOV	CCAP1982_LOCUS10995|CAD7002506.1|CCAP
OG0001472	LOC115765830|XP_030565414.1|DNOV	CCAP1982_LOCUS12411|CAD7003989.1|CCAP
OG0001473	LOC115764147|XP_030562883.1|DNOV	CCAP1982_LOCUS2309|CAD6993496.1|CCAP
OG0001474	LOC115768290|XP_030568695.1|DNOV, LOC115765286|XP_030564640.1|DNOV	CCAP1982_LOCUS22192|CAD7014186.1|CCAP
OG0001475	LOC115765491|XP_030564958.1|DNOV	CCAP1982_LOCUS21622|CAD7013566.1|CCAP
OG0001476	LOC115759466|XP_030556298.1|DNOV	CCAP1982_LOCUS23001|CAD7015044.1|CCAP
OG0001478	LOC115765923|XP_030565530.1|DNOV	CCAP1982_LOCUS6943|CAD6998341.1|CCAP
OG0001480	LOC115765854|XP_030565443.1|DNOV	CCAP1982_LOCUS7499|CAD6998952.1|CCAP
OG0001481	LOC115760039|XP_030557067.1|DNOV	CCAP1982_LOCUS7609|CAD6999063.1|CCAP, CCAP1982_LOCUS7608|CAD6999062.1|CCAP
OG0001482	LOC115759361|XP_030556144.1|DNOV	CCAP1982_LOCUS22940|CAD7014980.1|CCAP
OG0001483	LOC115758822|XP_030555459.1|DNOV	CCAP1982_LOCUS5446|CAD6996770.1|CCAP
OG0001484	LOC115758784|XP_030555415.1|DNOV	CCAP1982_LOCUS2927|CAD6994161.1|CCAP
OG0001485	LOC115771384|XP_030572928.1|DNOV	CCAP1982_LOCUS13494|CAD7005132.1|CCAP
OG0001486	LOC115759934|XP_030556933.1|DNOV	CCAP1982_LOCUS8832|CAD7000350.1|CCAP
OG0001487	LOC115760162|XP_030557236.1|DNOV	CCAP1982_LOCUS5886|CAD6997253.1|CCAP
OG0001488	LOC115760894|XP_030558320.1|DNOV	CCAP1982_LOCUS22517|CAD7014516.1|CCAP
OG0001490	LOC115758449|XP_030554978.1|DNOV	CCAP1982_LOCUS6385|CAD6997753.1|CCAP
OG0001491	LOC115760230|XP_030557344.1|DNOV, LOC115760229|XP_030557342.1|DNOV	CCAP1982_LOCUS8226|CAD6999700.1|CCAP, CCAP1982_LOCUS8228|CAD6999702.1|CCAP
OG0001495	LOC115765037|XP_030564268.1|DNOV	CCAP1982_LOCUS22388|CAD7014394.1|CCAP
OG0001497	LOC115758940|XP_030555603.1|DNOV	CCAP1982_LOCUS22948|CAD7014991.1|CCAP, CCAP1982_LOCUS8341|CAD6999830.1|CCAP
OG0001498	LOC115761647|XP_030559342.1|DNOV	CCAP1982_LOCUS4395|CAD6995688.1|CCAP
OG0001500	LOC115764543|XP_030563516.1|DNOV	CCAP1982_LOCUS21162|CAD7013087.1|CCAP
OG0001501	LOC115770905|XP_030572205.1|DNOV	CCAP1982_LOCUS4853|CAD6996161.1|CCAP, CCAP1982_LOCUS384|CAD6991459.1|CCAP
OG0001502	LOC115768044|XP_030568371.1|DNOV	CCAP1982_LOCUS19881|CAD7011769.1|CCAP, CCAP1982_LOCUS19882|CAD7011770.1|CCAP
OG0001503	LOC115759506|XP_030556311.1|DNOV	CCAP1982_LOCUS20213|CAD7012114.1|CCAP, CCAP1982_LOCUS20215|CAD7012116.1|CCAP
OG0001505	LOC115757914|XP_030554232.1|DNOV	CCAP1982_LOCUS15016|CAD7006717.1|CCAP
OG0001506	LOC115764536|XP_030563506.1|DNOV	CCAP1982_LOCUS20292|CAD7012190.1|CCAP
OG0001507	LOC115762531|XP_030560672.1|DNOV	CCAP1982_LOCUS15035|CAD7006736.1|CCAP
OG0001508	LOC115766575|XP_030566420.1|DNOV	CCAP1982_LOCUS19705|CAD7011617.1|CCAP
OG0001509	LOC115764571|XP_030563562.1|DNOV	CCAP1982_LOCUS21064|CAD7012973.1|CCAP
OG0001510	LOC115758814|XP_030555451.1|DNOV	CCAP1982_LOCUS5603|CAD6996933.1|CCAP
OG0001512	LOC115771208|XP_030572668.1|DNOV	CCAP1982_LOCUS12364|CAD7003942.1|CCAP
OG0001513	LOC115771379|XP_030572924.1|DNOV	CCAP1982_LOCUS14665|CAD7006343.1|CCAP
OG0001517	LOC115764902|XP_030564054.1|DNOV, LOC115764904|XP_030564057.1|DNOV	CCAP1982_LOCUS2393|CAD6993582.1|CCAP
OG0001518	LOC115766399|XP_030566176.1|DNOV	CCAP1982_LOCUS2328|CAD6993515.1|CCAP, CCAP1982_LOCUS2327|CAD6993514.1|CCAP
OG0001519	LOC115761325|XP_030558918.1|DNOV	CCAP1982_LOCUS4702|CAD6995996.1|CCAP
OG0001521	LOC115763595|XP_030562077.1|DNOV	CCAP1982_LOCUS6137|CAD6997495.1|CCAP, CCAP1982_LOCUS6136|CAD6997494.1|CCAP
OG0001523	LOC115762181|XP_030560162.1|DNOV	CCAP1982_LOCUS22347|CAD7014350.1|CCAP, CCAP1982_LOCUS22346|CAD7014349.1|CCAP, CCAP1982_LOCUS22348|CAD7014351.1|CCAP
OG0001524	LOC115758174|XP_030554574.1|DNOV, LOC115758173|XP_030554573.1|DNOV	CCAP1982_LOCUS20848|CAD7012744.1|CCAP
OG0001537	LOC115765874|XP_030565473.1|DNOV	CCAP1982_LOCUS7541|CAD6998994.1|CCAP
OG0001539	LOC115761061|XP_030558539.1|DNOV	CCAP1982_LOCUS22236|CAD7014233.1|CCAP
OG0001540	LOC115759728|XP_030556606.1|DNOV	CCAP1982_LOCUS8379|CAD6999869.1|CCAP, CCAP1982_LOCUS8380|CAD6999870.1|CCAP
OG0001541	LOC115770324|XP_030571421.1|DNOV	CCAP1982_LOCUS13746|CAD7005386.1|CCAP
OG0001542	LOC115765076|XP_030564312.1|DNOV	CCAP1982_LOCUS3519|CAD6994788.1|CCAP, CCAP1982_LOCUS3518|CAD6994787.1|CCAP
OG0001549	LOC115758391|XP_030554881.1|DNOV	CCAP1982_LOCUS7896|CAD6999369.1|CCAP
OG0001550	LOC115761959|XP_030559858.1|DNOV	CCAP1982_LOCUS2172|CAD6993354.1|CCAP
OG0001551	LOC115768635|XP_030569163.1|DNOV	CCAP1982_LOCUS3146|CAD6994394.1|CCAP
OG0001552	LOC115764953|XP_030564134.1|DNOV, LOC115762355|XP_030560384.1|DNOV	CCAP1982_LOCUS3882|CAD6995161.1|CCAP
OG0001554	LOC115761929|XP_030559820.1|DNOV	CCAP1982_LOCUS1047|CAD6992172.1|CCAP
OG0001555	LOC115759766|XP_030556685.1|DNOV	CCAP1982_LOCUS8800|CAD7000315.1|CCAP
OG0001556	LOC115760956|XP_030558404.1|DNOV	CCAP1982_LOCUS21904|CAD7013890.1|CCAP
OG0001559	LOC115757659|XP_030553834.1|DNOV	CCAP1982_LOCUS1563|CAD6992718.1|CCAP, CCAP1982_LOCUS1557|CAD6992712.1|CCAP, CCAP1982_LOCUS1558|CAD6992713.1|CCAP
OG0001560	LOC115763898|XP_030562537.1|DNOV	CCAP1982_LOCUS4333|CAD6995627.1|CCAP
OG0001561	LOC115771599|XP_030573214.1|DNOV	CCAP1982_LOCUS1554|CAD6992709.1|CCAP, CCAP1982_LOCUS1545|CAD6992700.1|CCAP, CCAP1982_LOCUS1555|CAD6992710.1|CCAP, CCAP1982_LOCUS1546|CAD6992701.1|CCAP
OG0001562	LOC115759794|XP_030556733.1|DNOV	CCAP1982_LOCUS1189|CAD6992322.1|CCAP
OG0001563	LOC115760360|XP_030557509.1|DNOV	CCAP1982_LOCUS20081|CAD7011970.1|CCAP
OG0001564	LOC115764608|XP_030563614.1|DNOV	CCAP1982_LOCUS2912|CAD6994146.1|CCAP
OG0001565	LOC115771971|XP_030573750.1|DNOV	CCAP1982_LOCUS2206|CAD6993390.1|CCAP, CCAP1982_LOCUS2201|CAD6993385.1|CCAP
OG0001566	LOC115764658|XP_030563704.1|DNOV	CCAP1982_LOCUS2933|CAD6994168.1|CCAP
OG0001567	LOC115758205|XP_030554613.1|DNOV	CCAP1982_LOCUS20683|CAD7012598.1|CCAP
OG0001568	LOC115771699|XP_030573376.1|DNOV	CCAP1982_LOCUS4089|CAD6995371.1|CCAP, CCAP1982_LOCUS4088|CAD6995370.1|CCAP, CCAP1982_LOCUS4087|CAD6995368.1|CCAP, CCAP1982_LOCUS4081|CAD6995362.1|CCAP
OG0001569	LOC115764096|XP_030562809.1|DNOV	CCAP1982_LOCUS1296|CAD6992434.1|CCAP
OG0001570	LOC115761798|XP_030559601.1|DNOV	CCAP1982_LOCUS2355|CAD6993543.1|CCAP
OG0001571	LOC115759716|XP_030556579.1|DNOV	CCAP1982_LOCUS5652|CAD6996990.1|CCAP
OG0001573	LOC115766986|XP_030566945.1|DNOV	CCAP1982_LOCUS11587|CAD7003125.1|CCAP
OG0001575	LOC115764114|XP_030562836.1|DNOV, LOC115764115|XP_030562837.1|DNOV	CCAP1982_LOCUS3773|CAD6995046.1|CCAP
OG0001576	LOC115764807|XP_030563915.1|DNOV	CCAP1982_LOCUS117|CAD6991178.1|CCAP
OG0001577	LOC115763994|XP_030562671.1|DNOV	CCAP1982_LOCUS9052|CAD7000578.1|CCAP
OG0001580	LOC115760866|XP_030558280.1|DNOV	CCAP1982_LOCUS23298|CAD7015353.1|CCAP, CCAP1982_LOCUS23296|CAD7015351.1|CCAP, CCAP1982_LOCUS23297|CAD7015352.1|CCAP
OG0001582	LOC115762054|XP_030559994.1|DNOV	CCAP1982_LOCUS22748|CAD7014775.1|CCAP
OG0001583	LOC115762427|XP_030560482.1|DNOV	CCAP1982_LOCUS22705|CAD7014727.1|CCAP
OG0001584	LOC115770097|XP_030571068.1|DNOV	CCAP1982_LOCUS10967|CAD7002478.1|CCAP
OG0001586	LOC115771266|XP_030572742.1|DNOV	CCAP1982_LOCUS11853|CAD7003396.1|CCAP
OG0001587	LOC115762967|XP_030561208.1|DNOV	CCAP1982_LOCUS23022|CAD7015066.1|CCAP
OG0001588	LOC115761369|XP_030558981.1|DNOV	CCAP1982_LOCUS21201|CAD7013129.1|CCAP
OG0001589	LOC115759817|XP_030556768.1|DNOV	CCAP1982_LOCUS5882|CAD6997249.1|CCAP
OG0001590	LOC115765126|XP_030564386.1|DNOV	CCAP1982_LOCUS20139|CAD7012036.1|CCAP
OG0001592	LOC115765565|XP_030565068.1|DNOV	CCAP1982_LOCUS8353|CAD6999841.1|CCAP
OG0001593	LOC115765494|XP_030564962.1|DNOV	CCAP1982_LOCUS8340|CAD6999829.1|CCAP
OG0001594	LOC115763502|XP_030561959.1|DNOV	CCAP1982_LOCUS8198|CAD6999668.1|CCAP
OG0001595	LOC115771472|XP_030573058.1|DNOV	CCAP1982_LOCUS5937|CAD6997304.1|CCAP, CCAP1982_LOCUS5948|CAD6997315.1|CCAP, CCAP1982_LOCUS22469|CAD7014473.1|CCAP, CCAP1982_LOCUS22468|CAD7014472.1|CCAP
OG0001596	LOC115763414|XP_030561830.1|DNOV, LOC115763334|XP_030561700.1|DNOV	CCAP1982_LOCUS6097|CAD6997451.1|CCAP
OG0001597	LOC115758464|XP_030554996.1|DNOV	CCAP1982_LOCUS5570|CAD6996897.1|CCAP
OG0001598	LOC115769210|XP_030569778.1|DNOV	CCAP1982_LOCUS6566|CAD6997949.1|CCAP
OG0001598	LOC115769181|XP_030569745.1|DNOV	CCAP1982_LOCUS6570|CAD6997953.1|CCAP
OG0001599	LOC115759195|XP_030555935.1|DNOV	CCAP1982_LOCUS6415|CAD6997790.1|CCAP
OG0001601	LOC115758905|XP_030555562.1|DNOV	CCAP1982_LOCUS9239|CAD7000764.1|CCAP
OG0001603	LOC115763555|XP_030562034.1|DNOV	CCAP1982_LOCUS5630|CAD6996964.1|CCAP
OG0001605	LOC115760957|XP_030558406.1|DNOV	CCAP1982_LOCUS22126|CAD7014120.1|CCAP
OG0001607	LOC115759012|XP_030555683.1|DNOV	CCAP1982_LOCUS7005|CAD6998405.1|CCAP
OG0001608	LOC115762973|XP_030561210.1|DNOV	CCAP1982_LOCUS5486|CAD6996813.1|CCAP
OG0001609	LOC115762353|XP_030560382.1|DNOV	CCAP1982_LOCUS7243|CAD6998685.1|CCAP, CCAP1982_LOCUS7242|CAD6998684.1|CCAP
OG0001610	LOC115763409|XP_030561819.1|DNOV	CCAP1982_LOCUS5695|CAD6997037.1|CCAP
OG0001612	LOC115759943|XP_030556943.1|DNOV	CCAP1982_LOCUS8268|CAD6999742.1|CCAP
OG0001613	LOC115763189|XP_030561509.1|DNOV	CCAP1982_LOCUS5623|CAD6996956.1|CCAP
OG0001614	LOC115760723|XP_030558055.1|DNOV	CCAP1982_LOCUS22551|CAD7014550.1|CCAP
OG0001615	LOC115758468|XP_030555001.1|DNOV	CCAP1982_LOCUS6168|CAD6997529.1|CCAP
OG0001616	LOC115760296|XP_030557443.1|DNOV	CCAP1982_LOCUS7604|CAD6999057.1|CCAP
OG0001617	LOC115758348|XP_030554788.1|DNOV	CCAP1982_LOCUS5479|CAD6996806.1|CCAP, CCAP1982_LOCUS5480|CAD6996807.1|CCAP
OG0001619	LOC115763246|XP_030561584.1|DNOV	CCAP1982_LOCUS5387|CAD6996703.1|CCAP
OG0001620	LOC115769048|XP_030569618.1|DNOV, LOC115769051|XP_030569621.1|DNOV	CCAP1982_LOCUS20177|CAD7012077.1|CCAP
OG0001621	LOC115760663|XP_030557990.1|DNOV	CCAP1982_LOCUS22660|CAD7014672.1|CCAP, CCAP1982_LOCUS22659|CAD7014671.1|CCAP
OG0001623	LOC115765999|XP_030565627.1|DNOV	CCAP1982_LOCUS7557|CAD6999010.1|CCAP
OG0001624	LOC115763539|XP_030562015.1|DNOV	CCAP1982_LOCUS5456|CAD6996781.1|CCAP
OG0001625	LOC115767445|XP_030567602.1|DNOV, LOC115763236|XP_030561572.1|DNOV	CCAP1982_LOCUS6407|CAD6997782.1|CCAP
OG0001626	LOC115760102|XP_030557151.1|DNOV	CCAP1982_LOCUS8185|CAD6999655.1|CCAP
OG0001627	LOC115766086|XP_030565756.1|DNOV, LOC115766242|XP_030565965.1|DNOV	CCAP1982_LOCUS760|CAD6991866.1|CCAP
OG0001628	LOC115762541|XP_030560675.1|DNOV, LOC115770566|XP_030571738.1|DNOV, LOC115762539|XP_030560673.1|DNOV	CCAP1982_LOCUS314|CAD6991387.1|CCAP
OG0001629	LOC115760386|XP_030557542.1|DNOV	CCAP1982_LOCUS4164|CAD6995449.1|CCAP
OG0001633	LOC115767920|XP_030568149.1|DNOV	CCAP1982_LOCUS5110|CAD6996438.1|CCAP
OG0001634	LOC115760353|XP_030557502.1|DNOV	CCAP1982_LOCUS4191|CAD6995475.1|CCAP, CCAP1982_LOCUS4192|CAD6995476.1|CCAP, CCAP1982_LOCUS4190|CAD6995474.1|CCAP
OG0001635	LOC115765634|XP_030565147.1|DNOV	CCAP1982_LOCUS787|CAD6991897.1|CCAP
OG0001636	LOC115759438|XP_030556213.1|DNOV	CCAP1982_LOCUS500|CAD6991582.1|CCAP
OG0001637	LOC115761969|XP_030559871.1|DNOV	CCAP1982_LOCUS2588|CAD6993790.1|CCAP
OG0001640	LOC115759471|XP_030556265.1|DNOV	CCAP1982_LOCUS4427|CAD6995721.1|CCAP
OG0001641	LOC115770711|XP_030571968.1|DNOV	CCAP1982_LOCUS523|CAD6991608.1|CCAP
OG0001642	LOC115765255|XP_030564594.1|DNOV	CCAP1982_LOCUS7454|CAD6998907.1|CCAP
OG0001643	LOC115759043|XP_030555727.1|DNOV	CCAP1982_LOCUS14069|CAD7005717.1|CCAP
OG0001644	LOC115771484|XP_030573066.1|DNOV	CCAP1982_LOCUS14033|CAD7005680.1|CCAP
OG0001645	LOC115771742|XP_030573434.1|DNOV	CCAP1982_LOCUS21147|CAD7013069.1|CCAP
OG0001647	LOC115760284|XP_030557415.1|DNOV	CCAP1982_LOCUS20200|CAD7012101.1|CCAP
OG0001647	LOC115764471|XP_030563401.1|DNOV	CCAP1982_LOCUS20197|CAD7012098.1|CCAP
OG0001648	LOC115768772|XP_030569326.1|DNOV	CCAP1982_LOCUS14220|CAD7005878.1|CCAP
OG0001649	LOC115760627|XP_030557938.1|DNOV	CCAP1982_LOCUS7144|CAD6998561.1|CCAP
OG0001650	LOC115766513|XP_030566334.1|DNOV	CCAP1982_LOCUS20338|CAD7012242.1|CCAP
OG0001652	LOC115767714|XP_030567878.1|DNOV	CCAP1982_LOCUS14192|CAD7005849.1|CCAP, CCAP1982_LOCUS14193|CAD7005850.1|CCAP, CCAP1982_LOCUS14191|CAD7005848.1|CCAP
OG0001653	LOC115766725|XP_030566546.1|DNOV, LOC115770755|XP_030572030.1|DNOV	CCAP1982_LOCUS13526|CAD7005165.1|CCAP
OG0001654	LOC115767487|XP_030567655.1|DNOV	CCAP1982_LOCUS19405|CAD7011298.1|CCAP
OG0001655	LOC115758295|XP_030554722.1|DNOV	CCAP1982_LOCUS20689|CAD7012605.1|CCAP
OG0001656	LOC115763070|XP_030561359.1|DNOV	CCAP1982_LOCUS10973|CAD7002484.1|CCAP, CCAP1982_LOCUS5373|CAD6996689.1|CCAP
OG0001657	LOC115770086|XP_030571058.1|DNOV	CCAP1982_LOCUS13406|CAD7005034.1|CCAP
OG0001658	LOC115771536|XP_030573134.1|DNOV	CCAP1982_LOCUS13424|CAD7005054.1|CCAP
OG0001659	LOC115770153|XP_030571163.1|DNOV	CCAP1982_LOCUS14508|CAD7006179.1|CCAP
OG0001659	LOC115770154|XP_030571167.1|DNOV	CCAP1982_LOCUS14509|CAD7006180.1|CCAP
OG0001660	LOC115771195|XP_030572651.1|DNOV	CCAP1982_LOCUS14935|CAD7006628.1|CCAP
OG0001661	LOC115764994|XP_030564192.1|DNOV	CCAP1982_LOCUS3522|CAD6994791.1|CCAP
OG0001663	LOC115761673|XP_030559387.1|DNOV	CCAP1982_LOCUS3119|CAD6994366.1|CCAP
OG0001663	LOC115761672|XP_030559386.1|DNOV	CCAP1982_LOCUS3118|CAD6994365.1|CCAP
OG0001664	LOC115757858|XP_030554154.1|DNOV	CCAP1982_LOCUS20142|CAD7012039.1|CCAP
OG0001666	LOC115758821|XP_030555458.1|DNOV	CCAP1982_LOCUS6021|CAD6997382.1|CCAP, CCAP1982_LOCUS6019|CAD6997380.1|CCAP, CCAP1982_LOCUS6022|CAD6997383.1|CCAP, CCAP1982_LOCUS6020|CAD6997381.1|CCAP, CCAP1982_LOCUS4374|CAD6995667.1|CCAP, CCAP1982_LOCUS11372|CAD7002903.1|CCAP
OG0001667	LOC115761096|XP_030558578.1|DNOV	CCAP1982_LOCUS22319|CAD7014321.1|CCAP, CCAP1982_LOCUS22320|CAD7014322.1|CCAP
OG0001668	LOC115767645|XP_030567792.1|DNOV	CCAP1982_LOCUS11060|CAD7002572.1|CCAP
OG0001669	LOC115770353|XP_030571451.1|DNOV	CCAP1982_LOCUS12259|CAD7003826.1|CCAP, CCAP1982_LOCUS12258|CAD7003825.1|CCAP
OG0001670	LOC115767460|XP_030567625.1|DNOV	CCAP1982_LOCUS13568|CAD7005208.1|CCAP
OG0001683	LOC115763329|XP_030561693.1|DNOV	CCAP1982_LOCUS5522|CAD6996846.1|CCAP
OG0001684	LOC115766746|XP_030566583.1|DNOV	CCAP1982_LOCUS10566|CAD7002078.1|CCAP
OG0001685	LOC115758401|XP_030554904.1|DNOV	CCAP1982_LOCUS8076|CAD6999556.1|CCAP
OG0001690	LOC115769816|XP_030570644.1|DNOV	CCAP1982_LOCUS12978|CAD7004583.1|CCAP
OG0001691	LOC115758956|XP_030555617.1|DNOV	CCAP1982_LOCUS8134|CAD6999611.1|CCAP, CCAP1982_LOCUS8133|CAD6999610.1|CCAP
OG0001692	LOC115764064|XP_030562772.1|DNOV	CCAP1982_LOCUS1214|CAD6992350.1|CCAP
OG0001694	LOC115761709|XP_030559444.1|DNOV	CCAP1982_LOCUS2123|CAD6993306.1|CCAP
OG0001696	LOC115761829|XP_030559631.1|DNOV	CCAP1982_LOCUS2178|CAD6993360.1|CCAP
OG0001697	LOC115760379|XP_030557535.1|DNOV	CCAP1982_LOCUS4178|CAD6995463.1|CCAP
OG0001699	LOC115761869|XP_030559728.1|DNOV	CCAP1982_LOCUS1706|CAD6992871.1|CCAP, CCAP1982_LOCUS1691|CAD6992856.1|CCAP, CCAP1982_LOCUS1708|CAD6992873.1|CCAP
OG0001700	LOC115759572|XP_030556398.1|DNOV	CCAP1982_LOCUS4439|CAD6995734.1|CCAP
OG0001701	LOC115764158|XP_030562896.1|DNOV	CCAP1982_LOCUS3389|CAD6994654.1|CCAP
OG0001702	LOC115763608|XP_030562096.1|DNOV	CCAP1982_LOCUS6105|CAD6997462.1|CCAP
OG0001703	LOC115768650|XP_030569183.1|DNOV	CCAP1982_LOCUS3137|CAD6994384.1|CCAP
OG0001704	LOC115768633|XP_030569159.1|DNOV	CCAP1982_LOCUS3134|CAD6994381.1|CCAP
OG0001705	LOC115760584|XP_030557869.1|DNOV	CCAP1982_LOCUS1538|CAD6992693.1|CCAP, CCAP1982_LOCUS1532|CAD6992687.1|CCAP, CCAP1982_LOCUS1511|CAD6992666.1|CCAP, CCAP1982_LOCUS1519|CAD6992674.1|CCAP, CCAP1982_LOCUS1526|CAD6992681.1|CCAP
OG0001706	LOC115763609|XP_030562097.1|DNOV	CCAP1982_LOCUS5536|CAD6996860.1|CCAP
OG0001707	LOC115771787|XP_030573517.1|DNOV	CCAP1982_LOCUS4020|CAD6995301.1|CCAP
OG0001708	LOC115764098|XP_030562811.1|DNOV	CCAP1982_LOCUS1293|CAD6992431.1|CCAP
OG0001709	LOC115769677|XP_030570454.1|DNOV	CCAP1982_LOCUS12887|CAD7004482.1|CCAP
OG0001710	LOC115771750|XP_030573457.1|DNOV	CCAP1982_LOCUS1177|CAD6992309.1|CCAP
OG0001711	LOC115772017|XP_030573808.1|DNOV	CCAP1982_LOCUS3250|CAD6994506.1|CCAP
OG0001712	LOC115764678|XP_030563726.1|DNOV	CCAP1982_LOCUS3242|CAD6994496.1|CCAP
OG0001713	LOC115770873|XP_030572170.1|DNOV, LOC115770942|XP_030572262.1|DNOV	CCAP1982_LOCUS4355|CAD6995648.1|CCAP
OG0001714	LOC115763644|XP_030562139.1|DNOV	CCAP1982_LOCUS4320|CAD6995614.1|CCAP, CCAP1982_LOCUS4321|CAD6995615.1|CCAP
OG0001716	LOC115767354|XP_030567467.1|DNOV, LOC115765289|XP_030564639.1|DNOV	CCAP1982_LOCUS9224|CAD7000751.1|CCAP
OG0001717	LOC115761177|XP_030558699.1|DNOV	CCAP1982_LOCUS1998|CAD6993176.1|CCAP
OG0001718	LOC115761696|XP_030559426.1|DNOV, LOC115761452|XP_030559079.1|DNOV	CCAP1982_LOCUS1466|CAD6992617.1|CCAP
OG0001719	LOC115772057|XP_030573861.1|DNOV	CCAP1982_LOCUS4010|CAD6995291.1|CCAP, CCAP1982_LOCUS4013|CAD6995294.1|CCAP
OG0001720	LOC115764973|XP_030564158.1|DNOV	CCAP1982_LOCUS3510|CAD6994779.1|CCAP
OG0001721	LOC115765003|XP_030564209.1|DNOV	CCAP1982_LOCUS1308|CAD6992451.1|CCAP
OG0001722	LOC115769439|XP_030570108.1|DNOV	CCAP1982_LOCUS12343|CAD7003918.1|CCAP
OG0001723	LOC115762128|XP_030560093.1|DNOV	CCAP1982_LOCUS7234|CAD6998674.1|CCAP
OG0001724	LOC115760764|XP_030558104.1|DNOV	CCAP1982_LOCUS22214|CAD7014211.1|CCAP, CCAP1982_LOCUS22231|CAD7014228.1|CCAP
OG0001725	LOC115760937|XP_030558375.1|DNOV	CCAP1982_LOCUS21440|CAD7013373.1|CCAP
OG0001726	LOC115762693|XP_030560875.1|DNOV	CCAP1982_LOCUS11726|CAD7003264.1|CCAP
OG0001727	LOC115772075|XP_030573886.1|DNOV	CCAP1982_LOCUS2281|CAD6993469.1|CCAP
OG0001728	LOC115762406|XP_030560456.1|DNOV	CCAP1982_LOCUS22945|CAD7014987.1|CCAP
OG0001729	LOC115760521|XP_030557751.1|DNOV	CCAP1982_LOCUS7198|CAD6998625.1|CCAP
OG0001730	LOC115758369|XP_030554817.1|DNOV	CCAP1982_LOCUS193|CAD6991260.1|CCAP
OG0001731	LOC115761107|XP_030558595.1|DNOV	CCAP1982_LOCUS23134|CAD7015182.1|CCAP
OG0001732	LOC115759351|XP_030556133.1|DNOV	CCAP1982_LOCUS9007|CAD7000529.1|CCAP
OG0001733	LOC115762398|XP_030560444.1|DNOV	CCAP1982_LOCUS21900|CAD7013885.1|CCAP
OG0001734	LOC115760920|XP_030558353.1|DNOV	CCAP1982_LOCUS7214|CAD6998646.1|CCAP
OG0001735	LOC115767136|XP_030567158.1|DNOV	CCAP1982_LOCUS13005|CAD7004610.1|CCAP
OG0001736	LOC115761616|XP_030559301.1|DNOV	CCAP1982_LOCUS23040|CAD7015086.1|CCAP
OG0001737	LOC115762451|XP_030560514.1|DNOV	CCAP1982_LOCUS23349|CAD7015406.1|CCAP, CCAP1982_LOCUS23351|CAD7015408.1|CCAP, CCAP1982_LOCUS23348|CAD7015405.1|CCAP
OG0001738	LOC115771009|XP_030572375.1|DNOV	CCAP1982_LOCUS12015|CAD7003566.1|CCAP, CCAP1982_LOCUS12011|CAD7003562.1|CCAP
OG0001739	LOC115760094|XP_030557139.1|DNOV	CCAP1982_LOCUS21707|CAD7013664.1|CCAP
OG0001740	LOC115760765|XP_030558109.1|DNOV	CCAP1982_LOCUS7101|CAD6998513.1|CCAP
OG0001741	LOC115766113|XP_030565794.1|DNOV	CCAP1982_LOCUS3488|CAD6994755.1|CCAP, CCAP1982_LOCUS154|CAD6991216.1|CCAP
OG0001742	LOC115760073|XP_030557113.1|DNOV	CCAP1982_LOCUS21237|CAD7013166.1|CCAP
OG0001744	LOC115761853|XP_030560103.1|DNOV	CCAP1982_LOCUS21824|CAD7013804.1|CCAP
OG0001746	LOC115770036|XP_030570963.1|DNOV	CCAP1982_LOCUS13250|CAD7004865.1|CCAP
OG0001747	LOC115760738|XP_030558074.1|DNOV	CCAP1982_LOCUS23161|CAD7015213.1|CCAP, CCAP1982_LOCUS23162|CAD7015214.1|CCAP, CCAP1982_LOCUS23170|CAD7015222.1|CCAP
OG0001748	LOC115771148|XP_030572580.1|DNOV	CCAP1982_LOCUS11370|CAD7002901.1|CCAP, CCAP1982_LOCUS11369|CAD7002900.1|CCAP
OG0001749	LOC115771122|XP_030572550.1|DNOV	CCAP1982_LOCUS22821|CAD7014854.1|CCAP
OG0001750	LOC115771103|XP_030572526.1|DNOV	CCAP1982_LOCUS22822|CAD7014855.1|CCAP
OG0001751	LOC115770986|XP_030572335.1|DNOV	CCAP1982_LOCUS12027|CAD7003579.1|CCAP
OG0001752	LOC115769737|XP_030570536.1|DNOV	CCAP1982_LOCUS10906|CAD7002415.1|CCAP
OG0001753	LOC115767135|XP_030567156.1|DNOV	CCAP1982_LOCUS11568|CAD7003105.1|CCAP, CCAP1982_LOCUS11570|CAD7003107.1|CCAP
OG0001754	LOC115760794|XP_030558149.1|DNOV	CCAP1982_LOCUS22326|CAD7014329.1|CCAP
OG0001756	LOC115760554|XP_030557810.1|DNOV	CCAP1982_LOCUS22645|CAD7014657.1|CCAP
OG0001757	LOC115761094|XP_030558576.1|DNOV	CCAP1982_LOCUS23262|CAD7015317.1|CCAP
OG0001758	LOC115770040|XP_030570970.1|DNOV, LOC115757656|XP_030554237.1|DNOV	CCAP1982_LOCUS13872|CAD7005512.1|CCAP
OG0001759	LOC115760005|XP_030557027.1|DNOV	CCAP1982_LOCUS23316|CAD7015372.1|CCAP, CCAP1982_LOCUS23315|CAD7015371.1|CCAP
OG0001760	LOC115762069|XP_030560018.1|DNOV	CCAP1982_LOCUS21651|CAD7013597.1|CCAP
