Orthogroup	DNOV.longest_only	AAEG.longest_only
OG0002054	LOC115761806|XP_030559611.1|DNOV	LOC5573603|XP_001654737.1|AAEG
OG0002055	LOC115770904|XP_030572203.1|DNOV	LOC110678950|XP_021708364.1|AAEG, LOC5577331|XP_001656408.1|AAEG
OG0002056	LOC115770539|XP_030571703.1|DNOV	LOC5577348|XP_001656424.1|AAEG
OG0002057	LOC115758569|XP_030555140.1|DNOV	LOC5577352|XP_001656428.1|AAEG
OG0002058	LOC115762652|XP_030560818.1|DNOV	LOC5577353|XP_001656429.1|AAEG
OG0002059	LOC115766176|XP_030565879.1|DNOV	LOC5577389|XP_021704715.1|AAEG
OG0002060	LOC115761189|XP_030558725.1|DNOV	LOC5577358|XP_021705543.1|AAEG
OG0002061	LOC115765264|XP_030564882.1|DNOV	LOC5577359|XP_021712229.1|AAEG, LOC110679163|XP_021708938.1|AAEG
OG0002062	LOC115768327|XP_030568744.1|DNOV	LOC5574435|XP_001661442.2|AAEG
OG0002063	LOC115767993|XP_030568255.1|DNOV	LOC5574436|XP_001661450.1|AAEG
OG0002064	LOC115768287|XP_030568686.1|DNOV	LOC5569005|XP_021710263.1|AAEG
OG0002065	LOC115769628|XP_030570396.1|DNOV	LOC5568999|XP_021710982.1|AAEG
OG0002066	LOC115770750|XP_030572015.1|DNOV	LOC5572998|XP_021708630.1|AAEG
OG0002067	LOC115758222|XP_030554632.1|DNOV	LOC5571751|XP_021711866.1|AAEG, LOC110678326|XP_021706748.1|AAEG
OG0002068	LOC115760773|XP_030558121.1|DNOV	LOC5572482|XP_001660430.2|AAEG
OG0002069	LOC115767327|XP_030567430.1|DNOV	LOC5568009|XP_021708297.1|AAEG
OG0002070	LOC115766094|XP_030565763.1|DNOV	LOC5568018|XP_021706447.1|AAEG, LOC5568028|XP_021706998.1|AAEG, LOC5568019|XP_021705167.1|AAEG
OG0002071	LOC115772036|XP_030573833.1|DNOV, LOC115771795|XP_030573525.1|DNOV	LOC5579855|XP_021708220.1|AAEG
OG0002072	LOC115760754|XP_030558092.1|DNOV	LOC5579835|XP_001651510.2|AAEG
OG0002073	LOC115770534|XP_030571696.1|DNOV	LOC5567941|XP_021706835.1|AAEG, LOC110681079|XP_021712543.1|AAEG
OG0002074	LOC115764534|XP_030563505.1|DNOV	LOC5576240|XP_001656018.1|AAEG
OG0002075	LOC115759044|XP_030555728.1|DNOV	LOC5574555|XP_001661504.1|AAEG
OG0002076	LOC115758113|XP_030554497.1|DNOV	LOC5568197|XP_021710717.1|AAEG
OG0002077	LOC115762559|XP_030560699.1|DNOV	LOC110680880|XP_021712363.1|AAEG, LOC5570371|XP_021707292.1|AAEG
OG0002078	LOC115757853|XP_030554149.1|DNOV	LOC5563914|XP_001648220.1|AAEG
OG0002079	LOC115770123|XP_030571117.1|DNOV	LOC5575305|XP_021704437.1|AAEG
OG0002080	LOC115768889|XP_030569460.1|DNOV, LOC115757818|XP_030554101.1|DNOV	LOC5571113|XP_001659554.2|AAEG
OG0002081	LOC115757797|XP_030554073.1|DNOV	LOC5573774|XP_001654766.1|AAEG
OG0002082	LOC115764478|XP_030563404.1|DNOV	LOC5565492|XP_021709770.1|AAEG
OG0002083	LOC115766846|XP_030566755.1|DNOV	LOC5565485|XP_001649858.2|AAEG, LOC5565486|XP_001649859.2|AAEG
OG0002084	LOC115766577|XP_030566422.1|DNOV	LOC5569429|XP_021708673.1|AAEG
OG0002085	LOC115760785|XP_030558138.1|DNOV	LOC5564333|XP_021708440.1|AAEG
OG0002086	LOC115766541|XP_030566370.1|DNOV	LOC5568708|XP_001652532.1|AAEG
OG0002087	LOC115769118|XP_030569686.1|DNOV	LOC5567364|XP_021707763.1|AAEG
OG0002088	LOC115770225|XP_030571287.1|DNOV	LOC5576762|XP_021704245.1|AAEG
OG0002089	LOC115764564|XP_030563548.1|DNOV	LOC5567176|XP_021711063.1|AAEG
OG0002090	LOC115769521|XP_030570221.1|DNOV	LOC5571906|XP_001659999.1|AAEG
OG0002091	LOC115758063|XP_030554437.1|DNOV	LOC5578087|XP_001656781.3|AAEG, LOC110678930|XP_021708290.1|AAEG
OG0002092	LOC115762759|XP_030560961.1|DNOV	LOC5578091|XP_021708505.1|AAEG
OG0002093	LOC115757859|XP_030554158.1|DNOV	LOC5566861|XP_021704283.1|AAEG
OG0002094	LOC115762864|XP_030561102.1|DNOV	LOC110678270|XP_021706584.1|AAEG
OG0002095	LOC115768317|XP_030568726.1|DNOV	LOC5568456|XP_021706643.1|AAEG
OG0002096	LOC115757832|XP_030554119.1|DNOV	LOC5573267|XP_021706586.1|AAEG
OG0002097	LOC115758293|XP_030554719.1|DNOV	LOC5569726|XP_001652950.2|AAEG, LOC5567452|XP_021708553.1|AAEG
OG0002098	LOC115770196|XP_030571220.1|DNOV	LOC5563684|XP_021709374.1|AAEG, LOC110679354|XP_021709458.1|AAEG
OG0002099	LOC115759503|XP_030556304.1|DNOV	LOC5563694|XP_021709597.1|AAEG
OG0002100	LOC115770037|XP_030570987.1|DNOV	LOC5565443|XP_001649798.1|AAEG, LOC5565445|XP_001649797.1|AAEG
OG0002101	LOC115764454|XP_030563351.1|DNOV, LOC115758042|XP_030554415.1|DNOV	LOC5564119|XP_021711134.1|AAEG
OG0002102	LOC115771985|XP_030573768.1|DNOV	LOC5573221|XP_001654423.1|AAEG
OG0002103	LOC115759497|XP_030556295.1|DNOV	LOC110681058|XP_021712515.1|AAEG
OG0002117	LOC115767283|XP_030567374.1|DNOV	LOC5566213|XP_001650619.1|AAEG
OG0002118	LOC115760383|XP_030557537.1|DNOV	LOC5574523|XP_021694485.1|AAEG
OG0002119	LOC115757681|XP_030553877.1|DNOV	LOC5579825|XP_021694556.1|AAEG, LOC5579826|XP_021712890.1|AAEG, LOC110680914|XP_021712393.1|AAEG
OG0002120	LOC115766745|XP_030566581.1|DNOV	LOC5574324|XP_021694589.1|AAEG
OG0002121	LOC115764171|XP_030562916.1|DNOV	LOC5574653|XP_001661569.2|AAEG
OG0002122	LOC115758709|XP_030555318.1|DNOV	LOC110674755|XP_021694710.1|AAEG, LOC110675515|XP_021696466.1|AAEG, LOC110681454|XP_021712905.1|AAEG, LOC110680203|XP_021711713.1|AAEG, LOC110678556|XP_021707262.1|AAEG, LOC110677160|XP_021703681.1|AAEG
OG0002123	LOC115758912|XP_030555569.1|DNOV	LOC5564728|XP_021694777.1|AAEG
OG0002124	LOC115767082|XP_030567088.1|DNOV	LOC110674789|XP_021694816.1|AAEG
OG0002125	LOC115760721|XP_030558057.1|DNOV	LOC5569483|XP_001658568.1|AAEG
OG0002126	LOC115770261|XP_030571336.1|DNOV	LOC5571983|XP_021711962.1|AAEG
OG0002127	LOC115764403|XP_030563254.1|DNOV	LOC5576059|XP_021712546.1|AAEG
OG0002128	LOC115767111|XP_030567124.1|DNOV	LOC5573411|XP_021712952.1|AAEG
OG0002129	LOC115764225|XP_030562999.1|DNOV	LOC5580025|XP_021713390.1|AAEG
OG0002130	LOC115768446|XP_030568865.1|DNOV	LOC5578404|XP_001663868.2|AAEG, LOC5570103|XP_001653085.2|AAEG, LOC110676630|XP_021700974.1|AAEG, LOC110681474|XP_021712931.1|AAEG, LOC5566253|XP_001650633.2|AAEG
OG0002131	LOC115761630|XP_030559319.1|DNOV	LOC110674739|XP_021694575.1|AAEG
OG0002132	LOC115763340|XP_030561709.1|DNOV	LOC5580259|XP_001656140.1|AAEG, LOC110674791|XP_021694823.1|AAEG
OG0002133	LOC115766862|XP_030566781.1|DNOV	LOC5578622|XP_001657043.1|AAEG
OG0002134	LOC115768786|XP_030569343.1|DNOV	LOC5565115|XP_021694229.1|AAEG
OG0002135	LOC115769042|XP_030569607.1|DNOV	LOC5576370|XP_021695425.1|AAEG
OG0002136	LOC115764976|XP_030564163.1|DNOV	LOC110681253|XP_021712714.1|AAEG, LOC5566497|XP_021696174.1|AAEG
OG0002137	LOC115764757|XP_030563853.1|DNOV	LOC5571302|XP_021696658.1|AAEG, LOC110681111|XP_021712569.1|AAEG
OG0002138	LOC115768273|XP_030568670.1|DNOV	LOC23687988|XP_021712870.1|AAEG, LOC110675821|XP_021697370.1|AAEG, LOC5576605|XP_001656170.2|AAEG, LOC110673991|XP_021697350.1|AAEG
OG0002140	LOC115767278|XP_030567370.1|DNOV	LOC110680918|XP_021712396.1|AAEG, LOC5576578|XP_021697469.1|AAEG
OG0002141	LOC115759098|XP_030555792.1|DNOV, LOC115760390|XP_030557547.1|DNOV	LOC5574993|XP_001655466.1|AAEG, LOC110676831|XP_021701850.1|AAEG
OG0002142	LOC115771676|XP_030573351.1|DNOV	LOC5577016|XP_001656303.1|AAEG
OG0002143	LOC115758609|XP_030555200.1|DNOV	LOC5580031|XP_001653915.2|AAEG
OG0002144	LOC115766709|XP_030566487.1|DNOV	LOC5570082|XP_021698481.1|AAEG
OG0002145	LOC115770837|XP_030572131.1|DNOV	LOC5570416|XP_001659123.1|AAEG
OG0002146	LOC115761717|XP_030559456.1|DNOV	LOC5580074|XP_021699647.1|AAEG, LOC5575806|XP_001662232.2|AAEG
OG0002147	LOC115765433|XP_030564839.1|DNOV	LOC5576462|XP_021700291.1|AAEG
OG0002148	LOC115768094|XP_030568438.1|DNOV	LOC5576488|XP_001662681.2|AAEG
OG0002149	LOC115766741|XP_030566567.1|DNOV	LOC5570710|XP_021700856.1|AAEG
OG0002150	LOC115767740|XP_030567911.1|DNOV	LOC5570704|XP_021700978.1|AAEG
OG0002151	LOC115763030|XP_030561297.1|DNOV	LOC5570703|XP_001659296.2|AAEG
OG0002152	LOC115761274|XP_030558849.1|DNOV	LOC5567724|XP_021702264.1|AAEG
OG0002153	LOC115764929|XP_030564099.1|DNOV	LOC5567044|XP_021702532.1|AAEG
OG0002154	LOC115768454|XP_030568876.1|DNOV	LOC5576299|XP_021702619.1|AAEG
OG0002155	LOC115771857|XP_030573597.1|DNOV	LOC5576875|XP_001662973.2|AAEG
OG0002156	LOC115771401|XP_030572956.1|DNOV, LOC115760428|XP_030557599.1|DNOV	LOC5571483|XP_021704276.1|AAEG
OG0002157	LOC115761232|XP_030558784.1|DNOV	LOC5572105|XP_021704743.1|AAEG
OG0002158	LOC115760775|XP_030558124.1|DNOV	LOC5575865|XP_021704847.1|AAEG
OG0002159	LOC115760751|XP_030558090.1|DNOV	LOC5579199|XP_021705121.1|AAEG
OG0002160	LOC115772053|XP_030573857.1|DNOV	LOC5577891|XP_001663597.2|AAEG
OG0002161	LOC115771997|XP_030573788.1|DNOV	LOC5578146|XP_001663717.1|AAEG
OG0002162	LOC115761900|XP_030559776.1|DNOV	LOC5578143|XP_001663713.2|AAEG
OG0002163	LOC115769053|XP_030569625.1|DNOV, LOC115769537|XP_030570237.1|DNOV	LOC5565033|XP_001649405.1|AAEG
OG0002164	LOC115763629|XP_030562117.1|DNOV	LOC5565255|XP_001649617.2|AAEG
OG0002165	LOC115761400|XP_030559018.1|DNOV	LOC5576560|XP_001662743.2|AAEG
OG0002166	LOC115758919|XP_030555578.1|DNOV	LOC5575292|XP_001655670.2|AAEG, LOC110680524|XP_021712013.1|AAEG
OG0002167	LOC115764554|XP_030563536.1|DNOV	LOC110673987|XP_021706322.1|AAEG, LOC5579217|XP_021712812.1|AAEG
OG0002168	LOC115762407|XP_030560496.1|DNOV	LOC5578905|XP_021708397.1|AAEG, LOC5571580|XP_001659788.1|AAEG
OG0002169	LOC115769913|XP_030570796.1|DNOV	LOC5568544|XP_021707598.1|AAEG
OG0002170	LOC115766792|XP_030566671.1|DNOV	LOC5572782|XP_001654181.2|AAEG
OG0002171	LOC115764846|XP_030563957.1|DNOV	LOC5579419|XP_021708592.1|AAEG
OG0002172	LOC115764650|XP_030563688.1|DNOV	LOC5568282|XP_001657979.2|AAEG, LOC110680636|XP_021712124.1|AAEG
OG0002173	LOC115760169|XP_030557249.1|DNOV	LOC5568277|XP_001657974.1|AAEG
OG0002174	LOC115771771|XP_030573486.1|DNOV	LOC110679174|XP_021708963.1|AAEG
OG0002175	LOC115771772|XP_030573487.1|DNOV	LOC5566081|XP_021708971.1|AAEG
OG0002176	LOC115770587|XP_030571775.1|DNOV	LOC110680241|XP_021711747.1|AAEG, LOC5570609|XP_001653273.1|AAEG, LOC110679314|XP_021709372.1|AAEG, LOC110681060|XP_021712517.1|AAEG
OG0002177	LOC115772103|XP_030573928.1|DNOV	LOC5573875|XP_021709949.1|AAEG, LOC5573874|XP_001654907.2|AAEG
OG0002178	LOC115771648|XP_030573312.1|DNOV	LOC110680388|XP_021711889.1|AAEG, LOC5566202|XP_021710220.1|AAEG, LOC110680809|XP_021712277.1|AAEG
OG0002180	LOC115761563|XP_030559208.1|DNOV	LOC110674011|XP_021710984.1|AAEG, LOC5574069|XP_021694277.1|AAEG
OG0002181	LOC115765436|XP_030564862.1|DNOV	LOC110681123|XP_021712582.1|AAEG, LOC110680479|XP_021711976.1|AAEG, LOC23687808|XP_021711326.1|AAEG
OG0002182	LOC115764119|XP_030562841.1|DNOV	LOC5577702|XP_021711690.1|AAEG
OG0002183	LOC115764565|XP_030563550.1|DNOV	LOC5564014|XP_001648337.2|AAEG, LOC5568461|XP_001652295.2|AAEG
OG0002184	LOC115764609|XP_030563620.1|DNOV	LOC23687633|XP_011493096.1|AAEG
OG0002185	LOC115765021|XP_030564235.1|DNOV	LOC5572727|XP_001660555.2|AAEG, LOC110680500|XP_021711993.1|AAEG
OG0002186	LOC115759202|XP_030555948.1|DNOV	LOC5567783|XP_001657684.2|AAEG
OG0002187	LOC115761174|XP_030558696.1|DNOV	LOC5571783|XP_001659922.2|AAEG
OG0002188	LOC115759083|XP_030555779.1|DNOV	LOC5571794|XP_001659928.1|AAEG, LOC110681308|XP_021712759.1|AAEG
OG0002189	LOC115761861|XP_030559714.1|DNOV	LOC5578994|XP_001664173.2|AAEG
OG0002190	LOC115761586|XP_030559236.1|DNOV	LOC5573374|XP_021712991.1|AAEG
OG0002191	LOC115770497|XP_030571651.1|DNOV	LOC110680462|XP_021711958.1|AAEG, LOC5573373|XP_021712993.1|AAEG
OG0002192	LOC115768356|XP_030568787.1|DNOV	LOC5577009|XP_021694395.1|AAEG, LOC5568710|XP_001652535.1|AAEG
OG0002193	LOC115762018|XP_030559945.1|DNOV	LOC5572572|XP_021713041.1|AAEG
OG0002194	LOC115761692|XP_030559418.1|DNOV	LOC5580291|XP_001662917.2|AAEG
OG0002195	LOC115764101|XP_030562814.1|DNOV	LOC5572335|XP_001654025.2|AAEG
OG0002196	LOC115765666|XP_030565184.1|DNOV	LOC5567840|XP_001657749.1|AAEG
OG0002197	LOC115762742|XP_030560939.1|DNOV	LOC5569227|XP_021713253.1|AAEG
OG0002198	LOC115761439|XP_030559067.1|DNOV, LOC115761438|XP_030559066.1|DNOV	LOC110681200|XP_021712673.1|AAEG, LOC5564690|XP_021693000.1|AAEG
OG0002199	LOC115757664|XP_030553841.1|DNOV	LOC5576838|XP_001662954.2|AAEG
OG0002202	LOC115764031|XP_030562723.1|DNOV	LOC5576722|XP_021693362.1|AAEG
OG0002203	LOC115771642|XP_030573302.1|DNOV	LOC23687451|XP_021693393.1|AAEG
OG0002204	LOC115757682|XP_030553880.1|DNOV	LOC5568910|XP_001658235.3|AAEG
OG0002205	LOC115761743|XP_030559495.1|DNOV	LOC5568906|XP_001658227.1|AAEG
OG0002206	LOC115761451|XP_030559078.1|DNOV	LOC5575607|XP_001662097.2|AAEG
OG0002207	LOC115764159|XP_030562897.1|DNOV	LOC5577394|XP_021693559.1|AAEG, LOC5577396|XP_021693560.1|AAEG
OG0002208	LOC115764016|XP_030562705.1|DNOV	LOC5577397|XP_001656471.2|AAEG
OG0002209	LOC115767546|XP_030567688.1|DNOV	LOC5573438|XP_001660875.1|AAEG
OG0002210	LOC115757688|XP_030553886.1|DNOV	LOC5573431|XP_021693614.1|AAEG
OG0002211	LOC115761796|XP_030559595.1|DNOV	LOC23687928|XP_021693634.1|AAEG
OG0002212	LOC115764968|XP_030564152.1|DNOV	LOC5576199|XP_001662538.1|AAEG
OG0002213	LOC115765589|XP_030565099.1|DNOV	LOC110674166|XP_021693781.1|AAEG
OG0002214	LOC115771919|XP_030573672.1|DNOV	LOC5569692|XP_021693813.1|AAEG
OG0002215	LOC115757721|XP_030553947.1|DNOV	LOC5577633|XP_021693875.1|AAEG
OG0002216	LOC115760321|XP_030557471.1|DNOV	LOC5565144|XP_001649509.2|AAEG
OG0002217	LOC115757719|XP_030553944.1|DNOV	LOC5577581|XP_021694029.1|AAEG
OG0002218	LOC115767965|XP_030568224.1|DNOV	LOC5576138|XP_001662485.2|AAEG
OG0002219	LOC115761424|XP_030559045.1|DNOV	LOC5575228|XP_021694130.1|AAEG
OG0002220	LOC115761462|XP_030559089.1|DNOV	LOC5575226|XP_001655632.2|AAEG, LOC5575225|XP_001655631.2|AAEG
OG0002221	LOC115769484|XP_030570162.1|DNOV	LOC5566135|XP_021699107.1|AAEG
OG0002222	LOC115760184|XP_030557277.1|DNOV	LOC5566138|XP_001650497.2|AAEG
OG0002223	LOC115762514|XP_030560623.1|DNOV	LOC110680342|XP_021711853.1|AAEG
OG0002224	LOC115764588|XP_030563603.1|DNOV	LOC5566116|XP_021695406.1|AAEG
OG0002225	LOC115767921|XP_030568153.1|DNOV	LOC5579245|XP_021699518.1|AAEG, LOC5579873|XP_021695535.1|AAEG
OG0002226	LOC115758386|XP_030554897.1|DNOV	LOC5578206|XP_001656850.1|AAEG
OG0002227	LOC115763611|XP_030562128.1|DNOV	LOC5571223|XP_021695800.1|AAEG
OG0002228	LOC115758009|XP_030554366.1|DNOV	LOC5571289|XP_021695851.1|AAEG
OG0002229	LOC115760574|XP_030557851.1|DNOV	LOC5571291|XP_001653593.1|AAEG
OG0002230	LOC115762474|XP_030560552.1|DNOV	LOC5571286|XP_021695868.1|AAEG
OG0002231	LOC115762300|XP_030560327.1|DNOV	LOC5571266|XP_021695918.1|AAEG
OG0002232	LOC115758245|XP_030554664.1|DNOV	LOC5578169|XP_001663739.2|AAEG, LOC5578177|XP_021696079.1|AAEG
OG0002233	LOC115769382|XP_030570037.1|DNOV	LOC5569904|XP_001658802.1|AAEG
OG0002235	LOC115760578|XP_030557857.1|DNOV	LOC5579251|XP_021696334.1|AAEG
OG0002236	LOC115760532|XP_030557775.1|DNOV	LOC5570501|XP_001659177.2|AAEG
OG0002237	LOC115760432|XP_030557605.1|DNOV	LOC5570540|XP_021696462.1|AAEG
OG0002238	LOC115771249|XP_030572713.1|DNOV	LOC5569218|XP_021696600.1|AAEG
OG0002239	LOC115760498|XP_030557709.1|DNOV	LOC5568112|XP_001652051.1|AAEG
OG0002240	LOC115761155|XP_030558688.1|DNOV	LOC5569443|XP_021696660.1|AAEG
OG0002241	LOC115769618|XP_030570375.1|DNOV	LOC5566343|XP_001650739.2|AAEG
OG0002243	LOC115757748|XP_030554004.1|DNOV	LOC5572349|XP_001660308.1|AAEG
OG0002244	LOC115769986|XP_030570912.1|DNOV	LOC5572345|XP_021702613.1|AAEG
OG0002245	LOC115767908|XP_030568141.1|DNOV	LOC5566222|XP_021696874.1|AAEG
OG0002246	LOC115764131|XP_030562866.1|DNOV	LOC110675641|XP_021696886.1|AAEG
OG0002247	LOC115762486|XP_030560624.1|DNOV	LOC5576411|XP_001656113.1|AAEG
OG0002248	LOC115762593|XP_030560741.1|DNOV	LOC5565215|XP_001649548.1|AAEG
OG0002249	LOC115767128|XP_030567150.1|DNOV	LOC5574899|XP_001655400.1|AAEG
OG0002250	LOC115762314|XP_030560341.1|DNOV	LOC5571831|XP_021697154.1|AAEG
OG0002251	LOC115762315|XP_030560342.1|DNOV	LOC5571834|XP_021697158.1|AAEG
OG0002252	LOC115762296|XP_030560321.1|DNOV	LOC110677272|XP_021704095.1|AAEG
OG0002253	LOC115770602|XP_030571837.1|DNOV	LOC5571489|XP_001659733.2|AAEG
OG0002254	LOC115761598|XP_030559258.1|DNOV	LOC5572700|XP_001660519.2|AAEG
OG0002255	LOC115769131|XP_030569697.1|DNOV	LOC5578538|XP_001663929.2|AAEG
OG0002257	LOC115762185|XP_030560165.1|DNOV	LOC5578231|XP_021697380.1|AAEG
OG0002258	LOC115770857|XP_030572157.1|DNOV	LOC5571390|XP_021697410.1|AAEG
OG0002259	LOC115768105|XP_030568465.1|DNOV	LOC5579062|XP_021697431.1|AAEG, LOC5579061|XP_021697430.1|AAEG, LOC5579878|XP_021697411.1|AAEG
OG0002260	LOC115769292|XP_030569882.1|DNOV	LOC5579059|XP_001657255.2|AAEG
OG0002261	LOC115771390|XP_030572935.1|DNOV	LOC5575236|XP_001656285.1|AAEG
OG0002263	LOC115767697|XP_030567851.1|DNOV	LOC5572748|XP_001660576.1|AAEG
OG0002264	LOC115760177|XP_030557265.1|DNOV	LOC5566364|XP_021697650.1|AAEG
OG0002265	LOC115762931|XP_030561172.1|DNOV	LOC5565540|XP_001649899.1|AAEG
OG0002266	LOC115770288|XP_030571383.1|DNOV	LOC5564443|XP_001648786.1|AAEG
OG0002267	LOC115771024|XP_030572410.1|DNOV	LOC5563744|XP_001648027.2|AAEG
OG0002268	LOC115769625|XP_030570392.1|DNOV	LOC5563742|XP_001648030.2|AAEG
OG0002269	LOC115762313|XP_030560340.1|DNOV	LOC110676024|XP_021698067.1|AAEG
OG0002270	LOC115761068|XP_030558547.1|DNOV	LOC5578284|XP_021698247.1|AAEG
OG0002271	LOC115770252|XP_030571326.1|DNOV	LOC5565466|XP_001649826.2|AAEG
OG0002272	LOC115762629|XP_030560791.1|DNOV	LOC110680930|XP_021712403.1|AAEG, LOC5574155|XP_001655062.1|AAEG
OG0002273	LOC115769329|XP_030569928.1|DNOV	LOC5579421|XP_021698495.1|AAEG
OG0002274	LOC115769356|XP_030569990.1|DNOV	LOC5569595|XP_021698523.1|AAEG
OG0002275	LOC115767122|XP_030567141.1|DNOV	LOC5570786|XP_021698601.1|AAEG
OG0002276	LOC115765804|XP_030565368.1|DNOV	LOC5576958|XP_021698655.1|AAEG
OG0002277	LOC115765817|XP_030565399.1|DNOV	LOC5572280|XP_021698730.1|AAEG
OG0002278	LOC115769459|XP_030570132.1|DNOV	LOC5574038|XP_021698765.1|AAEG
OG0002279	LOC115771466|XP_030573048.1|DNOV	LOC5572209|XP_001653877.1|AAEG
OG0002280	LOC115771289|XP_030572772.1|DNOV	LOC5572197|XP_021698799.1|AAEG
OG0002281	LOC115769798|XP_030570626.1|DNOV	LOC5571720|XP_001659858.1|AAEG
OG0002282	LOC115762792|XP_030561005.1|DNOV	LOC5566009|XP_021698864.1|AAEG
OG0002283	LOC115762155|XP_030560129.1|DNOV	LOC5577387|XP_021698901.1|AAEG
OG0002284	LOC115764868|XP_030564007.1|DNOV	LOC5574345|XP_001661380.1|AAEG
OG0002285	LOC115768612|XP_030569128.1|DNOV	LOC5573278|XP_001654490.2|AAEG
OG0002286	LOC115766543|XP_030566374.1|DNOV	LOC5575498|XP_001662010.2|AAEG, LOC5571748|XP_021710757.1|AAEG
OG0002287	LOC115760664|XP_030557991.1|DNOV	LOC5578128|XP_021699192.1|AAEG
OG0002288	LOC115770269|XP_030571347.1|DNOV	LOC5578126|XP_021699193.1|AAEG
OG0002289	LOC115771150|XP_030572582.1|DNOV, LOC115771160|XP_030572593.1|DNOV	LOC5577139|XP_001663227.2|AAEG
OG0002290	LOC115759349|XP_030556132.1|DNOV	LOC5579143|XP_021699403.1|AAEG
OG0002291	LOC115762419|XP_030560474.1|DNOV	LOC110681084|XP_021712551.1|AAEG, LOC5575930|XP_021699441.1|AAEG
OG0002292	LOC115762125|XP_030560090.1|DNOV	LOC5570333|XP_021699483.1|AAEG
OG0002293	LOC115760300|XP_030557451.1|DNOV	LOC5563932|XP_001648253.1|AAEG
OG0002294	LOC115764901|XP_030564053.1|DNOV	LOC5566074|XP_001650442.1|AAEG
OG0002295	LOC115758414|XP_030554922.1|DNOV	LOC5569978|XP_021700031.1|AAEG
OG0002296	LOC115763412|XP_030561824.1|DNOV	LOC5574375|XP_021700085.1|AAEG
OG0002297	LOC115766243|XP_030565966.1|DNOV, LOC115766151|XP_030565848.1|DNOV	LOC5569115|XP_021700161.1|AAEG
OG0002298	LOC115761901|XP_030559780.1|DNOV	LOC5579525|XP_001647834.1|AAEG
OG0002299	LOC115762184|XP_030560164.1|DNOV	LOC5574369|XP_001661404.1|AAEG
OG0002300	LOC115758744|XP_030555360.1|DNOV	LOC5568034|XP_021700205.1|AAEG
OG0002301	LOC115762979|XP_030561215.1|DNOV	LOC5571143|XP_021700266.1|AAEG
OG0002302	LOC115758958|XP_030555619.1|DNOV	LOC5575446|XP_021700365.1|AAEG
OG0002303	LOC115768608|XP_030569121.1|DNOV	LOC5563592|XP_001647928.1|AAEG, LOC5575450|XP_001661966.1|AAEG
OG0002304	LOC115759077|XP_030555768.1|DNOV	LOC5569376|XP_021700462.1|AAEG
OG0002305	LOC115771447|XP_030573021.1|DNOV	LOC5569504|XP_001658589.2|AAEG
OG0002306	LOC115763591|XP_030562073.1|DNOV	LOC5576949|XP_021700496.1|AAEG
OG0002307	LOC115760180|XP_030557268.1|DNOV	LOC5564174|XP_021700568.1|AAEG
OG0002308	LOC115763325|XP_030561686.1|DNOV	LOC5572923|XP_001654258.2|AAEG
OG0002309	LOC115760187|XP_030557276.1|DNOV	LOC5571735|XP_001659877.1|AAEG
OG0002310	LOC115765981|XP_030565602.1|DNOV	LOC110680434|XP_021711924.1|AAEG, LOC110675178|XP_021695265.1|AAEG, LOC5568762|XP_021695264.1|AAEG
OG0002311	LOC115759220|XP_030555973.1|DNOV	LOC5566252|XP_021700959.1|AAEG
OG0002312	LOC115763549|XP_030562027.1|DNOV	LOC5566254|XP_001650631.2|AAEG, LOC110680445|XP_021711931.1|AAEG
OG0002313	LOC115764187|XP_030562937.1|DNOV	LOC5564484|XP_001648831.2|AAEG
OG0002314	LOC115761054|XP_030558530.1|DNOV	LOC5564514|XP_001648842.1|AAEG
OG0002315	LOC115758036|XP_030554407.1|DNOV	LOC5571665|XP_001653751.2|AAEG, LOC5564483|XP_001648851.1|AAEG
OG0002316	LOC115758568|XP_030555139.1|DNOV	LOC5576571|XP_001662757.1|AAEG
OG0002317	LOC115770069|XP_030571027.1|DNOV	LOC5566525|XP_021701161.1|AAEG
OG0002318	LOC115758492|XP_030555033.1|DNOV	LOC5571653|XP_001653740.1|AAEG
OG0002319	LOC115763506|XP_030561963.1|DNOV	LOC5571644|XP_001653735.2|AAEG
OG0002320	LOC115758235|XP_030554653.1|DNOV	LOC110681281|XP_021712740.1|AAEG, LOC5574482|XP_001655142.1|AAEG
OG0002321	LOC115758070|XP_030554443.1|DNOV	LOC5574485|XP_001655146.1|AAEG
OG0002322	LOC115763126|XP_030561432.1|DNOV	LOC110680564|XP_021712042.1|AAEG, LOC5573861|XP_001654892.1|AAEG
OG0002323	LOC115768567|XP_030569051.1|DNOV	LOC5578966|XP_001664143.2|AAEG
OG0002324	LOC115771581|XP_030573198.1|DNOV	LOC5578757|XP_001657125.1|AAEG
OG0002325	LOC115770031|XP_030570953.1|DNOV	LOC5568890|XP_021701464.1|AAEG
OG0002326	LOC115770018|XP_030570934.1|DNOV	LOC5571215|XP_021701465.1|AAEG
OG0002327	LOC115770552|XP_030571716.1|DNOV	LOC5570471|XP_021701473.1|AAEG
OG0002328	LOC115758854|XP_030555502.1|DNOV	LOC5566092|XP_021701509.1|AAEG
OG0002329	LOC115765927|XP_030565533.1|DNOV	LOC5566511|XP_021701514.1|AAEG
OG0002330	LOC115766002|XP_030565631.1|DNOV	LOC5576426|XP_001662634.2|AAEG
OG0002331	LOC115765113|XP_030564362.1|DNOV	LOC5565281|XP_021701536.1|AAEG
