Orthogroup	DNOV.longest_only	CPIP.longest_only
OG0001728	LOC115762406|XP_030560456.1|DNOV	LOC120425582|XP_039446089.1|CPIP
OG0001729	LOC115760521|XP_030557751.1|DNOV	LOC120425590|XP_039446103.1|CPIP
OG0001730	LOC115758369|XP_030554817.1|DNOV	LOC120426311|XP_039447006.1|CPIP, LOC120425981|XP_039446572.1|CPIP
OG0001732	LOC115759351|XP_030556133.1|DNOV	LOC120415971|XP_039433554.1|CPIP, LOC120415998|XP_039433587.1|CPIP, LOC120413260|XP_039429922.1|CPIP, LOC120420563|XP_039439569.1|CPIP
OG0001733	LOC115762398|XP_030560444.1|DNOV	LOC120418891|XP_039437357.1|CPIP
OG0001734	LOC115760920|XP_030558353.1|DNOV	LOC120418881|XP_039437349.1|CPIP
OG0001735	LOC115767136|XP_030567158.1|DNOV	LOC120430048|XP_039451078.1|CPIP
OG0001736	LOC115761616|XP_030559301.1|DNOV	LOC120413202|XP_039429852.1|CPIP
OG0001737	LOC115762451|XP_030560514.1|DNOV	LOC120428758|XP_039449774.1|CPIP
OG0001738	LOC115771009|XP_030572375.1|DNOV	LOC120413222|XP_039429882.1|CPIP
OG0001739	LOC115760094|XP_030557139.1|DNOV	LOC120418492|XP_039436864.1|CPIP
OG0001740	LOC115760765|XP_030558109.1|DNOV	LOC120420119|XP_039439002.1|CPIP
OG0001741	LOC115766113|XP_030565794.1|DNOV	LOC120420067|XP_039438924.1|CPIP
OG0001742	LOC115760073|XP_030557113.1|DNOV	LOC120420062|XP_039438910.1|CPIP
OG0001744	LOC115761853|XP_030560103.1|DNOV	LOC120412391|XP_039428766.1|CPIP
OG0001745	LOC115758318|XP_030554745.1|DNOV, LOC115767030|XP_030567052.1|DNOV	LOC120420149|XP_039439042.1|CPIP
OG0001746	LOC115770036|XP_030570963.1|DNOV	LOC120416574|XP_039434241.1|CPIP
OG0001747	LOC115760738|XP_030558074.1|DNOV	LOC120419966|XP_039438770.1|CPIP
OG0001748	LOC115771148|XP_030572580.1|DNOV	LOC120418537|XP_039436907.1|CPIP
OG0001749	LOC115771122|XP_030572550.1|DNOV	LOC120416049|XP_039433644.1|CPIP, LOC120423609|XP_039443409.1|CPIP
OG0001750	LOC115771103|XP_030572526.1|DNOV	LOC120423614|XP_039443415.1|CPIP, LOC120416056|XP_039433652.1|CPIP
OG0001751	LOC115770986|XP_030572335.1|DNOV	LOC120413418|XP_039430166.1|CPIP
OG0001752	LOC115769737|XP_030570536.1|DNOV	LOC120420029|XP_039438862.1|CPIP
OG0001753	LOC115767135|XP_030567156.1|DNOV	LOC120425129|XP_039445487.1|CPIP
OG0001754	LOC115760794|XP_030558149.1|DNOV	LOC120412624|XP_039429109.1|CPIP
OG0001755	LOC115767174|XP_030567217.1|DNOV	LOC120428835|XP_039449885.1|CPIP, LOC120412567|XP_039429008.1|CPIP
OG0001756	LOC115760554|XP_030557810.1|DNOV	LOC120427031|XP_039447786.1|CPIP
OG0001757	LOC115761094|XP_030558576.1|DNOV	LOC120422704|XP_039442150.1|CPIP
OG0001758	LOC115770040|XP_030570970.1|DNOV, LOC115757656|XP_030554237.1|DNOV	LOC120422695|XP_039442138.1|CPIP
OG0001759	LOC115760005|XP_030557027.1|DNOV	LOC120417487|XP_039435497.1|CPIP
OG0001760	LOC115762069|XP_030560018.1|DNOV	LOC120431187|XP_039452263.1|CPIP
OG0001761	LOC115771810|XP_030573551.1|DNOV	LOC120421909|XP_039441143.1|CPIP
OG0001762	LOC115758847|XP_030555489.1|DNOV	LOC120427012|XP_039447766.1|CPIP
OG0001764	LOC115761281|XP_030558861.1|DNOV	LOC120412610|XP_039429092.1|CPIP
OG0001765	LOC115762159|XP_030560133.1|DNOV	LOC120429891|XP_039450906.1|CPIP
OG0001766	LOC115760124|XP_030557182.1|DNOV	LOC120414689|XP_039431909.1|CPIP
OG0001767	LOC115758735|XP_030555345.1|DNOV, LOC115758692|XP_030555297.1|DNOV	LOC120416612|XP_039434345.1|CPIP
OG0001768	LOC115765893|XP_030565495.1|DNOV	LOC120415684|XP_039433202.1|CPIP
OG0001769	LOC115759320|XP_030556090.1|DNOV	LOC120423676|XP_039443501.1|CPIP
OG0001770	LOC115760045|XP_030557072.1|DNOV	LOC120424085|XP_039444033.1|CPIP, LOC120424104|XP_039444049.1|CPIP, LOC120424087|XP_039444036.1|CPIP
OG0001771	LOC115758600|XP_030555183.1|DNOV, LOC115758555|XP_030555113.1|DNOV	LOC120420598|XP_039439606.1|CPIP
OG0001772	LOC115763960|XP_030562618.1|DNOV	LOC120430583|XP_039451623.1|CPIP, LOC120428020|XP_039448927.1|CPIP
OG0001774	LOC115762089|XP_030560044.1|DNOV	LOC120413132|XP_039429770.1|CPIP
OG0001776	LOC115763405|XP_030561816.1|DNOV	LOC120418945|XP_039437417.1|CPIP
OG0001777	LOC115759805|XP_030556749.1|DNOV	LOC120428102|XP_039449019.1|CPIP, LOC120430713|XP_039451756.1|CPIP
OG0001778	LOC115759119|XP_030555822.1|DNOV	LOC120413896|XP_039430808.1|CPIP, LOC120420538|XP_039439544.1|CPIP
OG0001779	LOC115763358|XP_030561743.1|DNOV	LOC120418404|XP_039436714.1|CPIP
OG0001780	LOC115762062|XP_030560008.1|DNOV	LOC120419389|XP_039437995.1|CPIP
OG0001781	LOC115763435|XP_030561858.1|DNOV	LOC120428163|XP_039449081.1|CPIP
OG0001782	LOC115769235|XP_030569808.1|DNOV	LOC120429265|XP_039450416.1|CPIP, LOC120430898|XP_039451955.1|CPIP
OG0001783	LOC115763051|XP_030561336.1|DNOV	LOC120418978|XP_039437459.1|CPIP, LOC120425191|XP_039445556.1|CPIP
OG0001784	LOC115758503|XP_030555050.1|DNOV	LOC120412843|XP_039429400.1|CPIP, LOC120425334|XP_039445750.1|CPIP
OG0001785	LOC115762228|XP_030560223.1|DNOV	LOC120423126|XP_039442738.1|CPIP
OG0001786	LOC115760122|XP_030557179.1|DNOV	LOC120427328|XP_039448112.1|CPIP
OG0001787	LOC115759854|XP_030556815.1|DNOV, LOC115759983|XP_030556997.1|DNOV	LOC120420887|XP_039439942.1|CPIP
OG0001788	LOC115758091|XP_030554470.1|DNOV	LOC120419886|XP_039438686.1|CPIP
OG0001789	LOC115766544|XP_030566377.1|DNOV	LOC120429675|XP_039450640.1|CPIP
OG0001790	LOC115760171|XP_030557251.1|DNOV	LOC120419462|XP_039438080.1|CPIP
OG0001791	LOC115770853|XP_030572184.1|DNOV	LOC120412953|XP_039429527.1|CPIP, LOC120432422|XP_039453558.1|CPIP
OG0001792	LOC115760120|XP_030557175.1|DNOV	LOC120429790|XP_039450784.1|CPIP, LOC120431590|XP_039452630.1|CPIP
OG0001793	LOC115758192|XP_030554598.1|DNOV	LOC120432464|XP_039453626.1|CPIP
OG0001794	LOC115758830|XP_030555467.1|DNOV	LOC120416622|XP_039434357.1|CPIP, LOC120417688|XP_039435762.1|CPIP, LOC120412468|XP_039428878.1|CPIP
OG0001795	LOC115760281|XP_030557410.1|DNOV	LOC120419069|XP_039437586.1|CPIP
OG0001797	LOC115766752|XP_030566590.1|DNOV	LOC120421442|XP_039440582.1|CPIP, LOC120421439|XP_039440580.1|CPIP
OG0001798	LOC115758715|XP_030555328.1|DNOV	LOC120418692|XP_039437093.1|CPIP
OG0001799	LOC115765318|XP_030564678.1|DNOV	LOC120415295|XP_039432701.1|CPIP
OG0001800	LOC115759785|XP_030556720.1|DNOV	LOC120413669|XP_039430529.1|CPIP
OG0001801	LOC115769914|XP_030570797.1|DNOV	LOC120426324|XP_039447018.1|CPIP
OG0001802	LOC115759552|XP_030556374.1|DNOV	LOC120417646|XP_039435698.1|CPIP
OG0001803	LOC115763836|XP_030562455.1|DNOV	LOC120432192|XP_039453269.1|CPIP
OG0001804	LOC115759416|XP_030556168.1|DNOV	LOC120419224|XP_039437816.1|CPIP
OG0001805	LOC115770990|XP_030572342.1|DNOV	LOC120420953|XP_039440022.1|CPIP
OG0001806	LOC115770844|XP_030572141.1|DNOV, LOC115770909|XP_030572213.1|DNOV	LOC120413925|XP_039430841.1|CPIP
OG0001808	LOC115767883|XP_030568106.1|DNOV	LOC120413020|XP_039429619.1|CPIP
OG0001810	LOC115764652|XP_030563693.1|DNOV	LOC120416840|XP_039434663.1|CPIP, LOC120421221|XP_039440360.1|CPIP
OG0001811	LOC115759566|XP_030556395.1|DNOV	LOC120422717|XP_039442178.1|CPIP
OG0001812	LOC115769132|XP_030569699.1|DNOV	LOC120422747|XP_039442224.1|CPIP, LOC120418264|XP_039436515.1|CPIP
OG0001813	LOC115759659|XP_030556513.1|DNOV	LOC120419408|XP_039438016.1|CPIP
OG0001814	LOC115764616|XP_030563634.1|DNOV	LOC120429061|XP_039450138.1|CPIP
OG0001815	LOC115760355|XP_030557504.1|DNOV, LOC115763695|XP_030562242.1|DNOV	LOC120431023|XP_039452112.1|CPIP
OG0001816	LOC115764576|XP_030563583.1|DNOV, LOC115768047|XP_030568339.1|DNOV	LOC120423156|XP_039442769.1|CPIP
OG0001817	LOC115763198|XP_030561524.1|DNOV, LOC115763938|XP_030562592.1|DNOV	LOC120421367|XP_039440490.1|CPIP
OG0001818	LOC115768188|XP_030568557.1|DNOV	LOC120416654|XP_039434399.1|CPIP, LOC120416656|XP_039434400.1|CPIP
OG0001819	LOC115765190|XP_030564481.1|DNOV	LOC120424753|XP_039444880.1|CPIP, LOC120414223|XP_039431267.1|CPIP
OG0001821	LOC115761152|XP_030558683.1|DNOV	LOC120415251|XP_039432651.1|CPIP
OG0001822	LOC115760908|XP_030558338.1|DNOV	LOC120426052|XP_039446668.1|CPIP
OG0001823	LOC115766248|XP_030565971.1|DNOV	LOC120415280|XP_039432684.1|CPIP, LOC120415308|XP_039432720.1|CPIP
OG0001824	LOC115760255|XP_030557376.1|DNOV	LOC120425104|XP_039445436.1|CPIP, LOC120425222|XP_039445590.1|CPIP
OG0001825	LOC115767430|XP_030567569.1|DNOV	LOC120418446|XP_039436787.1|CPIP
OG0001826	LOC115759727|XP_030556608.1|DNOV	LOC120414889|XP_039432146.1|CPIP
OG0001827	LOC115758236|XP_030554648.1|DNOV	LOC120427761|XP_039448605.1|CPIP, LOC120427760|XP_039448604.1|CPIP
OG0001828	LOC115767872|XP_030568092.1|DNOV, LOC115769940|XP_030570844.1|DNOV	LOC120427284|XP_039448066.1|CPIP, LOC120415447|XP_039432929.1|CPIP
OG0001829	LOC115757828|XP_030554112.1|DNOV	LOC120412766|XP_039429291.1|CPIP
OG0001830	LOC115757906|XP_030554217.1|DNOV	LOC120429987|XP_039451014.1|CPIP
OG0001831	LOC115771387|XP_030572932.1|DNOV	LOC120425250|XP_039445630.1|CPIP, LOC120425252|XP_039445632.1|CPIP
OG0001832	LOC115767569|XP_030567714.1|DNOV, LOC115767568|XP_030567713.1|DNOV, LOC115764066|XP_030562774.1|DNOV	LOC120415194|XP_039432585.1|CPIP
OG0001833	LOC115763798|XP_030562401.1|DNOV, LOC115761868|XP_030559731.1|DNOV	LOC120415845|XP_039433414.1|CPIP
OG0001834	LOC115761629|XP_030559318.1|DNOV	LOC120427429|XP_039448220.1|CPIP, LOC120426063|XP_039446683.1|CPIP
OG0001848	LOC115760422|XP_030557590.1|DNOV	LOC120415033|XP_039432335.1|CPIP
OG0001849	LOC115761359|XP_030558965.1|DNOV	LOC120415057|XP_039432376.1|CPIP
OG0001850	LOC115766803|XP_030566688.1|DNOV	LOC120413283|XP_039429951.1|CPIP
OG0001851	LOC115766706|XP_030566484.1|DNOV	LOC120413275|XP_039429938.1|CPIP
OG0001852	LOC115762768|XP_030560977.1|DNOV	LOC120413287|XP_039429958.1|CPIP, LOC120413313|XP_039430014.1|CPIP
OG0001854	LOC115766463|XP_030566258.1|DNOV	LOC120417681|XP_039435750.1|CPIP, LOC120432279|XP_039453399.1|CPIP
OG0001855	LOC115764515|XP_030563472.1|DNOV	LOC120431217|XP_039452295.1|CPIP, LOC120430280|XP_039451306.1|CPIP
OG0001856	LOC115767288|XP_030567379.1|DNOV	LOC120432215|XP_039453313.1|CPIP
OG0001857	LOC115764274|XP_030563059.1|DNOV	LOC120427567|XP_039448403.1|CPIP, LOC120430610|XP_039451949.1|CPIP
OG0001858	LOC115764273|XP_030563058.1|DNOV	LOC120432212|XP_039453305.1|CPIP
OG0001859	LOC115767823|XP_030568024.1|DNOV	LOC120416215|XP_039433880.1|CPIP
OG0001860	LOC115770400|XP_030571513.1|DNOV	LOC120432252|XP_039453361.1|CPIP, LOC120422822|XP_039442291.1|CPIP
OG0001861	LOC115757772|XP_030554057.1|DNOV	LOC120414178|XP_039431186.1|CPIP
OG0001862	LOC115764693|XP_030563747.1|DNOV	LOC120424282|XP_039444287.1|CPIP, LOC120424297|XP_039444314.1|CPIP
OG0001863	LOC115765257|XP_030564596.1|DNOV	LOC120424288|XP_039444295.1|CPIP
OG0001864	LOC115772134|XP_030573974.1|DNOV	LOC120417696|XP_039435771.1|CPIP
OG0001865	LOC115765586|XP_030565096.1|DNOV, LOC115766372|XP_030566132.1|DNOV	LOC120432161|XP_039453263.1|CPIP
OG0001866	LOC115761422|XP_030559043.1|DNOV	LOC120424588|XP_039444715.1|CPIP
OG0001867	LOC115771049|XP_030572457.1|DNOV	LOC120424690|XP_039444799.1|CPIP, LOC120413652|XP_039430503.1|CPIP
OG0001868	LOC115758670|XP_030555273.1|DNOV	LOC120424695|XP_039444808.1|CPIP
OG0001869	LOC115761194|XP_030558727.1|DNOV	LOC120425313|XP_039445713.1|CPIP
OG0001870	LOC115768684|XP_030569229.1|DNOV	LOC120424530|XP_039444625.1|CPIP
OG0001871	LOC115768171|XP_030568529.1|DNOV	LOC120432495|XP_039453645.1|CPIP
OG0001872	LOC115759595|XP_030556424.1|DNOV	LOC120416400|XP_039434080.1|CPIP
OG0001873	LOC115764771|XP_030563870.1|DNOV	LOC120415625|XP_039433159.1|CPIP
OG0001874	LOC115760351|XP_030557501.1|DNOV	LOC120416923|XP_039434763.1|CPIP
OG0001875	LOC115771918|XP_030573670.1|DNOV, LOC115771673|XP_030573347.1|DNOV	LOC120418476|XP_039436877.1|CPIP, LOC120423876|XP_039443758.1|CPIP
OG0001876	LOC115760594|XP_030557887.1|DNOV	LOC120418093|XP_039436295.1|CPIP, LOC120419900|XP_039438702.1|CPIP
OG0001877	LOC115767797|XP_030567988.1|DNOV	LOC120418096|XP_039436298.1|CPIP, LOC120419899|XP_039438701.1|CPIP
OG0001878	LOC115761751|XP_030559512.1|DNOV	LOC120426437|XP_039447133.1|CPIP
OG0001879	LOC115760404|XP_030557563.1|DNOV, LOC115760370|XP_030557523.1|DNOV, LOC115768249|XP_030568639.1|DNOV	LOC120427444|XP_039448246.1|CPIP
OG0001880	LOC115770589|XP_030571778.1|DNOV	LOC120417856|XP_039436010.1|CPIP
OG0001881	LOC115759502|XP_030556303.1|DNOV	LOC120417206|XP_039435105.1|CPIP
OG0001882	LOC115772033|XP_030573823.1|DNOV	LOC120417207|XP_039435107.1|CPIP
OG0001883	LOC115764818|XP_030563927.1|DNOV	LOC120429671|XP_039450634.1|CPIP, LOC120424512|XP_039444600.1|CPIP
OG0001884	LOC115757676|XP_030553867.1|DNOV	LOC120427183|XP_039447981.1|CPIP
OG0001886	LOC115761938|XP_030559833.1|DNOV	LOC120426734|XP_039447440.1|CPIP
OG0001887	LOC115758283|XP_030554707.1|DNOV	LOC120421810|XP_039441022.1|CPIP, LOC120420156|XP_039439056.1|CPIP
OG0001888	LOC115763663|XP_030562194.1|DNOV	LOC120421794|XP_039440999.1|CPIP
OG0001889	LOC115767801|XP_030567992.1|DNOV	LOC120421817|XP_039441029.1|CPIP
OG0001890	LOC115771531|XP_030573128.1|DNOV	LOC120421819|XP_039441031.1|CPIP
OG0001891	LOC115771655|XP_030573320.1|DNOV	LOC120421797|XP_039441002.1|CPIP
OG0001892	LOC115758508|XP_030555058.1|DNOV	LOC120415681|XP_039433204.1|CPIP
OG0001893	LOC115764956|XP_030564138.1|DNOV	LOC120425738|XP_039446277.1|CPIP
OG0001894	LOC115762066|XP_030560013.1|DNOV	LOC120425748|XP_039446287.1|CPIP
OG0001895	LOC115766726|XP_030566542.1|DNOV	LOC120418343|XP_039436626.1|CPIP
OG0001896	LOC115763931|XP_030562582.1|DNOV	LOC120415694|XP_039433223.1|CPIP
OG0001897	LOC115771770|XP_030573484.1|DNOV	LOC120427898|XP_039448767.1|CPIP
OG0001898	LOC115768031|XP_030568313.1|DNOV	LOC120416658|XP_039434404.1|CPIP
OG0001899	LOC115764108|XP_030562823.1|DNOV	LOC120428908|XP_039449983.1|CPIP
OG0001900	LOC115771504|XP_030573093.1|DNOV	LOC120416618|XP_039434352.1|CPIP
OG0001901	LOC115759717|XP_030556584.1|DNOV	LOC120426679|XP_039447386.1|CPIP
OG0001903	LOC115764070|XP_030562777.1|DNOV	LOC120430274|XP_039451297.1|CPIP
OG0001904	LOC115761380|XP_030558991.1|DNOV	LOC120432505|XP_039453659.1|CPIP, LOC120415965|XP_039433543.1|CPIP, LOC120431715|XP_039452771.1|CPIP
OG0001906	LOC115761740|XP_030559487.1|DNOV	LOC120429813|XP_039450797.1|CPIP
OG0001907	LOC115765120|XP_030564375.1|DNOV	LOC120421012|XP_039440065.1|CPIP
OG0001908	LOC115764870|XP_030564008.1|DNOV	LOC120423816|XP_039443671.1|CPIP
OG0001909	LOC115764258|XP_030563037.1|DNOV	LOC120417097|XP_039435009.1|CPIP
OG0001910	LOC115761223|XP_030558772.1|DNOV	LOC120420775|XP_039439820.1|CPIP, LOC120420773|XP_039439816.1|CPIP
OG0001911	LOC115771744|XP_030573435.1|DNOV	LOC120428292|XP_039449219.1|CPIP, LOC120423330|XP_039443025.1|CPIP
OG0001912	LOC115764176|XP_030562926.1|DNOV	LOC120423593|XP_039443389.1|CPIP
OG0001913	LOC115759034|XP_030555712.1|DNOV	LOC120423525|XP_039443306.1|CPIP, LOC120423522|XP_039443304.1|CPIP, LOC120423523|XP_039443305.1|CPIP, LOC120423565|XP_039443350.1|CPIP, LOC120423584|XP_039443378.1|CPIP
OG0001914	LOC115765000|XP_030564202.1|DNOV	LOC120428358|XP_039449297.1|CPIP, LOC120432115|XP_039453184.1|CPIP, LOC120423554|XP_039443332.1|CPIP
OG0001915	LOC115769764|XP_030570584.1|DNOV	LOC120428071|XP_039448978.1|CPIP
OG0001916	LOC115760856|XP_030558267.1|DNOV	LOC120428687|XP_039449691.1|CPIP
OG0001917	LOC115769493|XP_030570172.1|DNOV	LOC120423008|XP_039442572.1|CPIP
OG0001918	LOC115769529|XP_030570231.1|DNOV	LOC120421757|XP_039440964.1|CPIP, LOC120413534|XP_039430343.1|CPIP, LOC120418882|XP_039437350.1|CPIP
OG0001919	LOC115760024|XP_030557050.1|DNOV	LOC120424196|XP_039444189.1|CPIP
OG0001920	LOC115760249|XP_030557365.1|DNOV, LOC115770603|XP_030571800.1|DNOV	LOC120429774|XP_039450765.1|CPIP
OG0001921	LOC115760460|XP_030557646.1|DNOV, LOC115760461|XP_030557647.1|DNOV, LOC115760458|XP_030557640.1|DNOV	LOC120417829|XP_039435979.1|CPIP
OG0001922	LOC115762129|XP_030560094.1|DNOV	LOC120419738|XP_039438474.1|CPIP, LOC120426631|XP_039447357.1|CPIP
OG0001923	LOC115771012|XP_030572379.1|DNOV	LOC120414208|XP_039431227.1|CPIP
OG0001924	LOC115760157|XP_030557229.1|DNOV	LOC120417414|XP_039435391.1|CPIP
OG0001925	LOC115771261|XP_030572737.1|DNOV	LOC120426340|XP_039447039.1|CPIP
OG0001926	LOC115767149|XP_030567179.1|DNOV, LOC115767167|XP_030567210.1|DNOV	LOC120424376|XP_039444407.1|CPIP
OG0001927	LOC115760492|XP_030557703.1|DNOV	LOC120422853|XP_039442336.1|CPIP
OG0001928	LOC115770504|XP_030571658.1|DNOV	LOC120422882|XP_039442376.1|CPIP
OG0001929	LOC115762803|XP_030561022.1|DNOV, LOC115770197|XP_030571221.1|DNOV	LOC120425920|XP_039446477.1|CPIP
OG0001930	LOC115760569|XP_030557842.1|DNOV	LOC120424411|XP_039444453.1|CPIP, LOC120426050|XP_039446672.1|CPIP
OG0001932	LOC115769874|XP_030570734.1|DNOV	LOC120420572|XP_039439584.1|CPIP
OG0001933	LOC115760905|XP_030558336.1|DNOV	LOC120429654|XP_039450614.1|CPIP
OG0001934	LOC115770460|XP_030571597.1|DNOV	LOC120415740|XP_039433276.1|CPIP
OG0001935	LOC115762662|XP_030560830.1|DNOV	LOC120424879|XP_039445074.1|CPIP
OG0001937	LOC115762183|XP_030560163.1|DNOV	LOC120429902|XP_039450933.1|CPIP
OG0001938	LOC115762263|XP_030560284.1|DNOV	LOC120430101|XP_039451124.1|CPIP
OG0001939	LOC115762272|XP_030560294.1|DNOV	LOC120430953|XP_039452015.1|CPIP
OG0001940	LOC115760577|XP_030557855.1|DNOV	LOC120421328|XP_039440429.1|CPIP
OG0001941	LOC115770706|XP_030571962.1|DNOV	LOC120412386|XP_039428757.1|CPIP
OG0001942	LOC115762127|XP_030560092.1|DNOV	LOC120428746|XP_039449758.1|CPIP, LOC120428752|XP_039449767.1|CPIP
OG0001943	LOC115762841|XP_030561076.1|DNOV	LOC120424832|XP_039444994.1|CPIP
OG0001944	LOC115768526|XP_030568977.1|DNOV, LOC115762568|XP_030560712.1|DNOV	LOC120413226|XP_039429886.1|CPIP
OG0001945	LOC115762425|XP_030560481.1|DNOV	LOC120418475|XP_039436842.1|CPIP
OG0001946	LOC115760940|XP_030558380.1|DNOV	LOC120420123|XP_039439006.1|CPIP
OG0001947	LOC115760661|XP_030557987.1|DNOV	LOC120420099|XP_039438979.1|CPIP
OG0001948	LOC115771454|XP_030573029.1|DNOV	LOC120418050|XP_039436235.1|CPIP
OG0001949	LOC115768647|XP_030569182.1|DNOV	LOC120420658|XP_039439682.1|CPIP
OG0001950	LOC115759664|XP_030556520.1|DNOV	LOC120412372|XP_039428727.1|CPIP
OG0001951	LOC115758317|XP_030554743.1|DNOV, LOC115758745|XP_030555365.1|DNOV	LOC120420155|XP_039439052.1|CPIP
OG0001952	LOC115762083|XP_030560039.1|DNOV	LOC120412591|XP_039429053.1|CPIP
OG0001953	LOC115762097|XP_030560057.1|DNOV	LOC120412898|XP_039429463.1|CPIP
OG0001954	LOC115763310|XP_030561671.1|DNOV	LOC120428611|XP_039449573.1|CPIP, LOC120423613|XP_039443414.1|CPIP
OG0001955	LOC115771765|XP_030573482.1|DNOV	LOC120423605|XP_039443404.1|CPIP
OG0001956	LOC115766840|XP_030566748.1|DNOV	LOC120416540|XP_039434197.1|CPIP
OG0001957	LOC115760596|XP_030557890.1|DNOV	LOC120420076|XP_039438934.1|CPIP
OG0001958	LOC115760524|XP_030557758.1|DNOV	LOC120418538|XP_039436908.1|CPIP
OG0001959	LOC115770115|XP_030571096.1|DNOV	LOC120414470|XP_039431599.1|CPIP, LOC120424420|XP_039444468.1|CPIP
OG0001960	LOC115765831|XP_030565415.1|DNOV	LOC120417614|XP_039435662.1|CPIP
OG0001961	LOC115762179|XP_030560160.1|DNOV	LOC120423619|XP_039443423.1|CPIP, LOC120416060|XP_039433658.1|CPIP
OG0001962	LOC115762063|XP_030560010.1|DNOV	LOC120419531|XP_039438176.1|CPIP
OG0001963	LOC115769800|XP_030570627.1|DNOV	LOC120424975|XP_039445265.1|CPIP
OG0001964	LOC115771265|XP_030572741.1|DNOV	LOC120414117|XP_039431078.1|CPIP
OG0001966	LOC115771932|XP_030573692.1|DNOV	LOC120415806|XP_039433364.1|CPIP, LOC120426922|XP_039447663.1|CPIP
OG0001967	LOC115762391|XP_030560435.1|DNOV	LOC120427113|XP_039447896.1|CPIP
OG0001968	LOC115762913|XP_030561152.1|DNOV	LOC120427121|XP_039447908.1|CPIP
OG0001969	LOC115760761|XP_030558102.1|DNOV	LOC120422690|XP_039442133.1|CPIP
OG0001970	LOC115768334|XP_030568796.1|DNOV	LOC120417470|XP_039435472.1|CPIP
OG0001971	LOC115766604|XP_030566450.1|DNOV	LOC120421398|XP_039440533.1|CPIP
OG0001972	LOC115760311|XP_030557462.1|DNOV	LOC120421381|XP_039440511.1|CPIP
OG0001973	LOC115760699|XP_030558024.1|DNOV	LOC120429163|XP_039450304.1|CPIP, LOC120430005|XP_039451041.1|CPIP
OG0001974	LOC115762105|XP_030560067.1|DNOV	LOC120414968|XP_039432233.1|CPIP
OG0001975	LOC115769364|XP_030570006.1|DNOV	LOC120416053|XP_039433649.1|CPIP
OG0001976	LOC115761148|XP_030558677.1|DNOV	LOC120416313|XP_039433969.1|CPIP
OG0001977	LOC115759789|XP_030556728.1|DNOV	LOC120426547|XP_039447251.1|CPIP, LOC120426354|XP_039447050.1|CPIP
OG0001978	LOC115760175|XP_030557259.1|DNOV	LOC120427687|XP_039448510.1|CPIP
OG0001979	LOC115768310|XP_030568722.1|DNOV, LOC115758658|XP_030555257.1|DNOV	LOC120419194|XP_039437800.1|CPIP
OG0001980	LOC115765570|XP_030565077.1|DNOV	LOC120415672|XP_039433189.1|CPIP
OG0001982	LOC115758463|XP_030554995.1|DNOV	LOC120419190|XP_039437794.1|CPIP
OG0001983	LOC115769289|XP_030569875.1|DNOV	LOC120414077|XP_039431032.1|CPIP
OG0001984	LOC115758903|XP_030555560.1|DNOV	LOC120414105|XP_039431063.1|CPIP
OG0001985	LOC115763598|XP_030562081.1|DNOV	LOC120422386|XP_039441733.1|CPIP
OG0001986	LOC115759304|XP_030556069.1|DNOV	LOC120430331|XP_039451366.1|CPIP
OG0001987	LOC115767543|XP_030567682.1|DNOV	LOC120431823|XP_039452877.1|CPIP, LOC120414770|XP_039432018.1|CPIP
OG0001988	LOC115769820|XP_030570684.1|DNOV	LOC120418943|XP_039437415.1|CPIP
OG0001989	LOC115765971|XP_030565585.1|DNOV	LOC120414766|XP_039432013.1|CPIP
OG0001990	LOC115763028|XP_030561294.1|DNOV	LOC120427784|XP_039448642.1|CPIP
OG0001991	LOC115760287|XP_030557419.1|DNOV	LOC120414782|XP_039432028.1|CPIP
OG0001992	LOC115759131|XP_030555836.1|DNOV, LOC115759133|XP_030555842.1|DNOV	LOC120429761|XP_039450747.1|CPIP, LOC120430622|XP_039451649.1|CPIP, LOC120431608|XP_039452646.1|CPIP
OG0001993	LOC115763350|XP_030561728.1|DNOV	LOC120415092|XP_039432445.1|CPIP, LOC120420891|XP_039439947.1|CPIP
OG0001994	LOC115757745|XP_030553995.1|DNOV	LOC120420105|XP_039438990.1|CPIP
OG0001995	LOC115769166|XP_030569725.1|DNOV	LOC120423638|XP_039443446.1|CPIP
OG0001997	LOC115762093|XP_030560054.1|DNOV	LOC120423172|XP_039442793.1|CPIP
OG0001998	LOC115762091|XP_030560049.1|DNOV	LOC120422362|XP_039441707.1|CPIP
OG0001999	LOC115763365|XP_030561756.1|DNOV	LOC120424412|XP_039444454.1|CPIP
OG0002000	LOC115760004|XP_030557022.1|DNOV	LOC120416072|XP_039433675.1|CPIP
OG0002001	LOC115759968|XP_030556976.1|DNOV	LOC120430517|XP_039451561.1|CPIP
OG0002002	LOC115760494|XP_030557705.1|DNOV, LOC115760740|XP_030558077.1|DNOV	LOC120419842|XP_039438611.1|CPIP
OG0002003	LOC115763218|XP_030561550.1|DNOV	LOC120412842|XP_039429398.1|CPIP
OG0002004	LOC115759781|XP_030556709.1|DNOV	LOC120413518|XP_039430313.1|CPIP
OG0002005	LOC115763578|XP_030562057.1|DNOV	LOC120416771|XP_039434563.1|CPIP
OG0002006	LOC115760208|XP_030557302.1|DNOV	LOC120423468|XP_039443227.1|CPIP
OG0002008	LOC115766796|XP_030566679.1|DNOV	LOC120415534|XP_039433027.1|CPIP
