Orthogroup	DANA.longest_only	AEAL.longest_only
OG0000796	LOC6505839|XP_001964466.1|DANA, LOC6503006|XP_001963428.1|DANA	LOC109402787|XP_019531040.1|AEAL
OG0000797	LOC6499328|XP_001954858.1|DANA, LOC6499329|XP_001954857.1|DANA	LOC115268944|XP_029733009.1|AEAL, LOC109419433|XP_019549227.1|AEAL
OG0000798	LOC6494040|XP_001961099.2|DANA, LOC6494042|XP_001961097.1|DANA	LOC109422376|XP_029716854.1|AEAL
OG0000799	LOC6500530|XP_001953399.2|DANA, LOC6502112|XP_001966188.2|DANA	LOC109433123|XP_019565067.2|AEAL
OG0000801	LOC6496148|XP_001960334.2|DANA, LOC6494496|XP_001960222.2|DANA	LOC115262691|XP_029721192.1|AEAL, LOC109623328|XP_019933426.1|AEAL, LOC109426914|XP_019558017.1|AEAL
OG0000802	LOC6503018|XP_001963395.1|DANA, LOC6503019|XP_001963394.1|DANA	LOC109421940|XP_029720929.1|AEAL
OG0000803	LOC6498628|XP_001963185.1|DANA, LOC6507043|XP_001956764.1|DANA	LOC115262149|XP_029720158.1|AEAL, LOC109398306|XP_029716217.1|AEAL
OG0000811	LOC6505734|XP_001964364.1|DANA, LOC6494132|XP_032306608.1|DANA	LOC115265751|XP_029727560.1|AEAL, LOC109409681|XP_019538700.2|AEAL
OG0000812	LOC6502491|XP_001967493.1|DANA	LOC109397944|XP_029709795.1|AEAL, LOC109418984|XP_029733553.1|AEAL
OG0000814	LOC6507586|XP_001965404.1|DANA	LOC109408242|XP_029728869.1|AEAL, LOC115266576|XP_029728814.1|AEAL
OG0000815	LOC6498321|XP_001962541.1|DANA	LOC115255413|XP_029709380.1|AEAL, LOC109417644|XP_019547239.2|AEAL, LOC115255517|XP_029709505.1|AEAL, LOC115255411|XP_029709376.1|AEAL, LOC109417648|XP_029709407.1|AEAL, LOC109417645|XP_029709379.1|AEAL, LOC109410244|XP_029708455.1|AEAL, LOC115255421|XP_029709409.1|AEAL, LOC115255412|XP_029709378.1|AEAL, LOC115255406|XP_029709341.1|AEAL
OG0000816	LOC6500086|XP_001953256.2|DANA	LOC109432671|XP_029727429.1|AEAL
OG0000818	LOC6504771|XP_001966316.1|DANA, LOC26515142|XP_014762407.1|DANA	LOC109408469|XP_019537351.2|AEAL, LOC115266284|XP_029728114.1|AEAL, LOC109419332|XP_029734904.1|AEAL
OG0000819	LOC6502214|XP_001966019.1|DANA, LOC6502213|XP_001966020.3|DANA	LOC109432771|XP_029710328.1|AEAL
OG0000820	LOC6496613|XP_001961261.1|DANA	LOC115254691|XP_029708205.1|AEAL, LOC109422351|XP_029708224.1|AEAL
OG0000821	LOC6499710|XP_001954083.1|DANA, LOC6494168|XP_001960835.1|DANA	LOC109418575|XP_019548331.2|AEAL
OG0000822	LOC6506953|XP_001956929.1|DANA, LOC6498041|XP_032307650.1|DANA	LOC109623382|XP_019933484.2|AEAL, LOC115262704|XP_029721236.1|AEAL, LOC115257272|XP_029712577.1|AEAL, LOC109401187|XP_029720854.1|AEAL
OG0000823	LOC26514797|XP_032307330.1|DANA, LOC6499899|XP_014766271.2|DANA	LOC115258804|XP_029715091.1|AEAL
OG0000830	LOC6503155|XP_014761319.1|DANA	LOC115259530|XP_029716043.1|AEAL, LOC109429309|XP_029716109.1|AEAL, LOC109400865|XP_029722756.1|AEAL, LOC109429308|XP_029722755.1|AEAL, LOC115259583|XP_029716163.1|AEAL, LOC115259764|XP_029716418.1|AEAL, LOC109429305|XP_029715822.1|AEAL, LOC115259581|XP_029716160.1|AEAL, LOC109400844|XP_019528877.2|AEAL, LOC109429307|XP_019560758.2|AEAL, LOC115259582|XP_029716162.1|AEAL
OG0000831	LOC6506230|XP_001958300.1|DANA	LOC115264158|XP_029723400.1|AEAL, LOC109398361|XP_019526254.2|AEAL, LOC109398560|XP_019526489.2|AEAL, LOC109398359|XP_019526250.2|AEAL, LOC115264157|XP_029723397.1|AEAL, LOC109398558|XP_019526487.2|AEAL
OG0000832	LOC6496413|XP_001960866.1|DANA, LOC6506468|XP_001965183.1|DANA	LOC109405471|XP_019534102.2|AEAL, LOC115267847|XP_029731218.1|AEAL, LOC109402416|XP_019530635.2|AEAL
OG0000833	LOC6493665|XP_001958183.3|DANA	LOC109402795|XP_019531056.2|AEAL
OG0000834	LOC6498349|XP_032310990.1|DANA, LOC6501573|XP_001955498.1|DANA, LOC6501574|XP_001955499.2|DANA, LOC6497185|XP_001962598.1|DANA	LOC109413999|XP_019543271.2|AEAL
OG0000835	LOC26514435|XP_032311548.1|DANA, LOC116656231|XP_032311602.1|DANA	LOC115263191|XP_029722004.1|AEAL
OG0000836	LOC6506414|XP_001965169.2|DANA, LOC6496927|XP_001963120.2|DANA	LOC109410194|XP_029715298.1|AEAL, LOC115254024|XP_029715191.1|AEAL
OG0000837	LOC6503542|XP_001964185.1|DANA	LOC109409562|XP_019538552.1|AEAL
OG0000838	LOC26515305|XP_014762418.1|DANA, LOC26515372|XP_014762426.1|DANA	LOC109419394|XP_029708117.1|AEAL
OG0000839	LOC6499132|XP_001955238.1|DANA, LOC6500421|XP_032305494.1|DANA	LOC109426226|XP_019557228.2|AEAL
OG0000840	LOC6503473|XP_001964315.2|DANA, LOC6493916|XP_001961329.1|DANA, LOC6503715|XP_032308431.1|DANA	LOC109398864|XP_019526853.1|AEAL
OG0000841	LOC26514219|XP_014760911.1|DANA	LOC109421100|XP_029714125.1|AEAL, LOC115261461|XP_029718996.1|AEAL
OG0000842	LOC6494090|XP_001961000.1|DANA, LOC6501106|XP_001954560.1|DANA	LOC115256946|XP_029712012.1|AEAL, LOC109420358|XP_019550231.1|AEAL
OG0000843	LOC6495726|XP_001959446.1|DANA	LOC109418496|XP_019548244.2|AEAL, LOC109413068|XP_019542282.2|AEAL
OG0000844	LOC6494232|XP_001960692.2|DANA, LOC6500108|XP_001953208.1|DANA	LOC109426397|XP_029731429.1|AEAL, LOC109403610|XP_029729358.1|AEAL
OG0000845	LOC6503032|XP_001963373.1|DANA, LOC6503031|XP_001963375.2|DANA	LOC109426767|XP_019557852.2|AEAL
OG0000854	LOC6503760|XP_001963792.1|DANA, LOC6503757|XP_001963795.3|DANA	LOC109428370|XP_019559639.2|AEAL, LOC115256047|XP_029710158.1|AEAL
OG0000855	LOC6504679|XP_001966419.1|DANA, LOC6501112|XP_001954571.1|DANA	LOC109428409|XP_029710601.1|AEAL
OG0000856	LOC6493573|XP_001958023.2|DANA	LOC109406975|XP_029708044.1|AEAL, LOC109397865|XP_029710475.1|AEAL, LOC115266045|XP_029727747.1|AEAL
OG0000857	LOC6504381|XP_001967077.2|DANA	LOC115256454|XP_029710940.1|AEAL, LOC115256453|XP_029710939.1|AEAL, LOC109427516|XP_019558614.2|AEAL, LOC115256455|XP_029710941.1|AEAL, LOC109427517|XP_019558615.2|AEAL, LOC109419784|XP_019549616.2|AEAL, LOC115255011|XP_029708574.1|AEAL, LOC115259235|XP_029715630.1|AEAL, LOC115255008|XP_029708573.1|AEAL, LOC109398253|XP_019526124.2|AEAL, LOC109398226|XP_019526098.2|AEAL
OG0000858	LOC6500868|XP_001954071.1|DANA	LOC109433623|XP_019565610.2|AEAL, LOC109412583|XP_029715982.1|AEAL, LOC109412586|XP_019541756.2|AEAL, LOC115259651|XP_029716294.1|AEAL
OG0000860	LOC6502837|XP_001957292.2|DANA, LOC6493095|XP_032309559.1|DANA	LOC109409739|XP_019538781.2|AEAL, LOC109431958|XP_029726103.1|AEAL
OG0000861	LOC6495915|XP_032306078.1|DANA	LOC109417981|XP_029732524.1|AEAL
OG0000862	LOC6495830|XP_001959671.1|DANA, LOC6498387|XP_001962694.1|DANA	LOC109408157|XP_029720622.1|AEAL, LOC109400633|XP_019528665.2|AEAL
OG0000863	LOC6501214|XP_032305550.1|DANA	LOC109425704|XP_029734636.1|AEAL, LOC109422737|XP_019553164.2|AEAL
OG0000864	LOC6505883|XP_001965041.1|DANA, LOC6503576|XP_014760987.1|DANA	LOC109411532|XP_029709937.1|AEAL, LOC109421734|XP_029709934.1|AEAL
OG0000865	LOC26513756|XP_014759879.2|DANA, LOC6501249|XP_001954848.2|DANA	LOC109408287|XP_029713247.1|AEAL
OG0000866	LOC6497985|XP_001961843.1|DANA, LOC6497986|XP_001961844.2|DANA	LOC109415039|XP_029724914.1|AEAL, LOC109621949|XP_029724955.1|AEAL
OG0000867	LOC6497711|XP_001961511.1|DANA, LOC6496945|XP_001963082.1|DANA	LOC109409615|XP_019538612.2|AEAL
OG0000868	LOC6503001|XP_032308918.1|DANA	LOC109406157|XP_019534769.2|AEAL, LOC109397498|XP_019525343.2|AEAL
OG0000869	LOC6500444|XP_032305892.1|DANA, LOC6500445|XP_001953224.1|DANA	LOC109406264|XP_029732991.1|AEAL
OG0000871	LOC6495143|XP_001958966.1|DANA	LOC115253682|XP_029713657.1|AEAL, LOC109433174|XP_019565117.2|AEAL, LOC109433173|XP_029712902.1|AEAL
OG0000872	LOC6496323|XP_001960703.1|DANA	LOC109424453|XP_019555118.1|AEAL, LOC109422355|XP_019552624.1|AEAL
OG0000873	LOC6493814|XP_001958490.2|DANA	LOC109410542|XP_029731283.1|AEAL, LOC109414400|XP_029731282.1|AEAL, LOC115267869|XP_029731288.1|AEAL, LOC115267863|XP_029731281.1|AEAL, LOC115267451|XP_029730306.1|AEAL, LOC115267446|XP_029730303.1|AEAL, LOC109421132|XP_029731285.1|AEAL
OG0000874	LOC6503051|XP_001963335.1|DANA, LOC6507953|XP_014763742.1|DANA	LOC109425830|XP_029720412.1|AEAL
OG0000875	LOC6502911|XP_001963605.1|DANA, LOC6506253|XP_001958258.1|DANA	LOC109425800|XP_019556687.2|AEAL, LOC109407537|XP_019536146.1|AEAL
OG0000882	LOC6504954|XP_032308008.1|DANA, LOC6497963|XP_001961804.1|DANA	LOC115253972|XP_029711172.1|AEAL, LOC109421997|XP_019552173.1|AEAL
OG0000883	LOC6505050|XP_001965561.1|DANA	LOC109419153|XP_019548920.2|AEAL, LOC109407076|XP_029722970.1|AEAL, LOC109415595|XP_019545035.2|AEAL, LOC109423715|XP_019554245.2|AEAL, LOC115257682|XP_029713402.1|AEAL, LOC109412918|XP_029713776.1|AEAL
OG0000884	LOC6506564|XP_014760551.1|DANA, LOC6505236|XP_032307808.1|DANA	LOC109405532|XP_029712464.1|AEAL, LOC115257260|XP_029712560.1|AEAL, LOC109405671|XP_029712311.1|AEAL
OG0000885	LOC6505658|XP_014760744.1|DANA	LOC109430027|XP_029712946.1|AEAL, LOC109430695|XP_029713082.1|AEAL, LOC109430722|XP_019562342.1|AEAL, LOC115257553|XP_029713159.1|AEAL, LOC109430699|XP_019562315.2|AEAL, LOC109430696|XP_019562313.2|AEAL, LOC115257552|XP_029713158.1|AEAL, LOC115257484|XP_029712972.1|AEAL, LOC109430753|XP_019562378.2|AEAL, LOC109430729|XP_019562354.1|AEAL, LOC115257592|XP_029713238.1|AEAL
OG0000887	LOC6503004|XP_032308920.1|DANA	LOC109426760|XP_029725487.1|AEAL, LOC109426761|XP_019557843.2|AEAL, LOC109417614|XP_019547205.2|AEAL, LOC109421741|XP_019551817.2|AEAL
OG0000888	LOC6507673|XP_032309489.1|DANA	LOC109417820|XP_029725462.1|AEAL, LOC115265256|XP_029725479.1|AEAL
OG0000889	LOC6493858|XP_032310644.1|DANA	LOC109416628|XP_019546243.2|AEAL, LOC115263112|XP_029721886.1|AEAL, LOC109416657|XP_019546261.2|AEAL, LOC115254862|XP_029708410.1|AEAL, LOC109416670|XP_019546270.2|AEAL, LOC109407403|XP_019535961.2|AEAL, LOC109416637|XP_029721887.1|AEAL, LOC109416681|XP_019546290.1|AEAL, LOC115254863|XP_029708411.1|AEAL, LOC109416619|XP_019546233.2|AEAL, LOC109407449|XP_019536040.1|AEAL, LOC115263111|XP_029721885.1|AEAL, LOC109416608|XP_019546223.2|AEAL, LOC109416155|XP_019545674.1|AEAL, LOC115254869|XP_029708416.1|AEAL, LOC109407400|XP_019535955.2|AEAL
OG0000890	LOC6494190|XP_001960789.1|DANA	LOC115270215|XP_029735334.1|AEAL, LOC115270245|XP_029735371.1|AEAL
OG0000891	LOC26515004|XP_014760661.1|DANA, LOC6504382|XP_001964970.1|DANA, LOC26514487|XP_014760652.1|DANA, LOC6497237|XP_001962500.1|DANA	LOC115259148|XP_029715523.1|AEAL, LOC109408138|XP_019536917.2|AEAL
OG0000892	LOC6507189|XP_032310344.1|DANA, LOC6493218|XP_014764257.1|DANA	LOC109419580|XP_019549347.2|AEAL
OG0000894	LOC6500110|XP_001953204.1|DANA	LOC109422727|XP_019553139.2|AEAL
OG0000895	LOC6496425|XP_001960891.1|DANA, LOC6496427|XP_001960892.2|DANA	LOC109433433|XP_019565406.2|AEAL, LOC109403314|XP_019531667.2|AEAL
OG0000907	LOC6494907|XP_001959447.1|DANA	LOC109427500|XP_019558595.2|AEAL
OG0000909	LOC6501502|XP_001955381.1|DANA	LOC109397293|XP_019525165.1|AEAL, LOC109416831|XP_019546450.1|AEAL
OG0000910	LOC6500683|XP_001953719.1|DANA, LOC6502257|XP_001966096.3|DANA	LOC109397646|XP_029709768.1|AEAL, LOC109418954|XP_029733589.1|AEAL
OG0000911	LOC6496070|XP_001960155.1|DANA	LOC109403803|XP_029722364.1|AEAL
OG0000912	LOC6493242|XP_001957341.1|DANA	LOC109407390|XP_019535943.1|AEAL, LOC109416014|XP_029722180.1|AEAL, LOC115263252|XP_029722175.1|AEAL
OG0000913	LOC26514528|XP_014765636.2|DANA	LOC109414963|XP_029728930.1|AEAL, LOC109415153|XP_029729078.1|AEAL
OG0000914	LOC6495705|XP_001959407.1|DANA	LOC109412349|XP_019541537.2|AEAL, LOC109416192|XP_019545725.2|AEAL, LOC109419851|XP_029708855.1|AEAL, LOC115255562|XP_029709541.1|AEAL, LOC109420602|XP_019550508.1|AEAL, LOC109419834|XP_019549667.1|AEAL, LOC109419835|XP_029709547.1|AEAL, LOC115255563|XP_029709542.1|AEAL
OG0000915	LOC6494144|XP_001960878.2|DANA	LOC115258519|XP_029714503.1|AEAL, LOC109410253|XP_029721830.1|AEAL
OG0000916	LOC6498084|XP_014761977.1|DANA, LOC6498083|XP_001962048.1|DANA	LOC109417728|XP_029709163.1|AEAL, LOC109415159|XP_029719636.1|AEAL
OG0000917	LOC26514674|XP_032309481.1|DANA, LOC6498313|XP_032307478.1|DANA	LOC109402487|XP_029720072.1|AEAL
OG0000918	LOC26514318|XP_032309123.1|DANA	LOC109429677|XP_019561229.2|AEAL
OG0000920	LOC6505240|XP_001965605.1|DANA	LOC109432334|XP_019564219.2|AEAL, LOC109432255|XP_029732163.1|AEAL, LOC109432313|XP_019564197.2|AEAL, LOC109419378|XP_029735157.1|AEAL
OG0000922	LOC6493427|XP_032310576.1|DANA, LOC6493426|XP_001957724.1|DANA	LOC109409026|XP_019537987.1|AEAL, LOC109429147|XP_029719389.1|AEAL
OG0000923	LOC6493691|XP_001958244.1|DANA, LOC6501226|XP_001954798.1|DANA	LOC109417152|XP_019546823.1|AEAL
OG0000924	LOC6504068|XP_001964112.1|DANA	LOC109622219|XP_019932015.2|AEAL, LOC115253634|XP_029731518.1|AEAL, LOC109431563|XP_019563336.2|AEAL
OG0000925	LOC6505954|XP_001964677.2|DANA	LOC109407685|XP_019536382.1|AEAL, LOC109425930|XP_019556862.1|AEAL
OG0000935	LOC6499809|XP_014766231.1|DANA	LOC115267132|XP_029729828.1|AEAL, LOC109401879|XP_029709717.1|AEAL, LOC109414708|XP_029709689.1|AEAL
OG0000936	LOC26515221|XP_014760188.1|DANA, LOC6501997|XP_001966843.1|DANA	LOC109398378|XP_019526267.1|AEAL
OG0000937	LOC6505605|XP_014760720.1|DANA	LOC115261123|XP_029718352.1|AEAL, LOC109433419|XP_019565395.2|AEAL, LOC109403292|XP_019531642.2|AEAL, LOC115260685|XP_029717733.1|AEAL, LOC109424625|XP_029717727.1|AEAL, LOC109412940|XP_029717671.1|AEAL, LOC109412941|XP_019542135.2|AEAL, LOC115253687|XP_029717721.1|AEAL, LOC109424643|XP_019555354.1|AEAL
OG0000938	LOC6496164|XP_001960355.1|DANA, LOC6503743|XP_001963823.2|DANA	LOC115257155|XP_029712412.1|AEAL, LOC109427753|XP_029717813.1|AEAL, LOC109409289|XP_019538309.2|AEAL, LOC109431357|XP_019563123.1|AEAL
OG0000940	LOC6503820|XP_001963681.2|DANA, LOC6507654|XP_001956086.1|DANA	LOC109405642|XP_019534258.2|AEAL
OG0000941	LOC6504454|XP_001966954.3|DANA	LOC109621632|XP_019931274.1|AEAL, LOC109400128|XP_019528162.1|AEAL
OG0000942	LOC6493057|XP_001956963.2|DANA	LOC109400734|XP_019528773.2|AEAL
OG0000943	LOC6495957|XP_001959931.2|DANA, LOC6495958|XP_001959932.1|DANA	LOC109406109|XP_029722410.1|AEAL, LOC109403772|XP_029722401.1|AEAL
OG0000944	LOC6501993|XP_032308203.1|DANA	LOC109430831|XP_019562464.1|AEAL, LOC115254104|XP_029722020.1|AEAL, LOC115263221|XP_029722072.1|AEAL
OG0000945	LOC26514192|XP_014765586.1|DANA, LOC6492950|XP_001956724.2|DANA, LOC6492951|XP_001956725.1|DANA	LOC109399440|XP_019527427.2|AEAL, LOC109398068|XP_019525978.2|AEAL
OG0000946	LOC6498146|XP_001962174.2|DANA	LOC115260918|XP_029718135.1|AEAL, LOC109409286|XP_019538266.2|AEAL, LOC109419566|XP_019549323.2|AEAL, LOC109409281|XP_029714428.1|AEAL, LOC115253445|XP_029718127.1|AEAL
OG0000947	LOC6495738|XP_001959468.1|DANA	LOC109421462|XP_019551502.1|AEAL, LOC115261046|XP_029718267.1|AEAL, LOC109421452|XP_019551491.1|AEAL, LOC109432494|XP_019564371.2|AEAL, LOC109421386|XP_029718266.1|AEAL, LOC115262899|XP_029721647.1|AEAL
OG0000948	LOC6506845|XP_001957130.1|DANA	LOC109414160|XP_019543485.2|AEAL, LOC115257199|XP_029712494.1|AEAL
OG0000949	LOC6502160|XP_032309338.1|DANA	LOC115263953|XP_029723118.1|AEAL, LOC109426084|XP_029721569.1|AEAL, LOC115253787|XP_029721893.1|AEAL, LOC115262578|XP_029720830.1|AEAL
OG0000950	LOC6500463|XP_001953271.1|DANA	LOC109429504|XP_019561020.2|AEAL
OG0000951	LOC6500738|XP_001953820.1|DANA	LOC109400200|XP_019528224.1|AEAL, LOC109427110|XP_019558226.1|AEAL
OG0000963	LOC6505072|XP_001965516.1|DANA	LOC109427046|XP_019558142.2|AEAL, LOC109623357|XP_019933460.1|AEAL, LOC115262669|XP_029721132.1|AEAL, LOC109424775|XP_019555505.2|AEAL, LOC115256573|XP_029711205.1|AEAL
OG0000964	LOC6495506|XP_001958996.3|DANA	LOC109415209|XP_029710432.1|AEAL, LOC109423491|XP_019554003.2|AEAL
OG0000965	LOC6501862|XP_001966782.1|DANA	LOC109433003|XP_029709754.1|AEAL, LOC109397576|XP_029734225.1|AEAL
OG0000966	LOC6494018|XP_001961138.2|DANA, LOC6505573|XP_001964673.2|DANA	LOC109431398|XP_019563160.1|AEAL
OG0000968	LOC6493392|XP_001957661.1|DANA	LOC109412121|XP_029732345.1|AEAL, LOC115253446|XP_029723160.1|AEAL, LOC109417626|XP_029727505.1|AEAL
OG0000969	LOC6495068|XP_001959133.1|DANA	LOC115270221|XP_029735341.1|AEAL, LOC109430680|XP_019562304.1|AEAL, LOC115270242|XP_029735369.1|AEAL
OG0000970	LOC6499103|XP_001955292.1|DANA	LOC115254074|XP_029718985.1|AEAL, LOC109427211|XP_019558262.2|AEAL, LOC115262420|XP_029720674.1|AEAL
OG0000971	LOC6497363|XP_001962245.1|DANA	LOC115255419|XP_029709397.1|AEAL, LOC109417637|XP_029709415.1|AEAL
OG0000972	LOC6493796|XP_001958452.1|DANA, LOC6504874|XP_001966502.1|DANA	LOC115266793|XP_029729236.1|AEAL, LOC109433592|XP_029729229.1|AEAL
OG0000973	LOC6505119|XP_001965418.3|DANA	LOC115262652|XP_029721047.1|AEAL, LOC109397414|XP_019525280.2|AEAL, LOC115262789|XP_029721535.1|AEAL, LOC109405854|XP_019534458.2|AEAL
OG0000974	LOC6492961|XP_001956755.1|DANA	LOC109415133|XP_029728070.1|AEAL, LOC109414954|XP_029718762.1|AEAL, LOC115266231|XP_029728071.1|AEAL, LOC109415287|XP_029728077.1|AEAL, LOC109414965|XP_019544357.2|AEAL, LOC109416051|XP_019545558.2|AEAL
OG0000975	LOC6499433|XP_001954649.2|DANA	LOC115265118|XP_029725210.1|AEAL, LOC109422629|XP_029725215.1|AEAL, LOC109402818|XP_029736442.1|AEAL, LOC115253468|XP_019552997.1|AEAL
OG0000976	LOC6500508|XP_032305732.1|DANA	LOC109429101|XP_029719401.1|AEAL
OG0000977	LOC116656597|XP_032312350.1|DANA, LOC6494263|XP_032312347.1|DANA	LOC115268914|XP_029732985.1|AEAL, LOC109411942|XP_029733037.1|AEAL
OG0000978	LOC6500942|XP_001954219.1|DANA	LOC109418544|XP_029712891.1|AEAL
OG0000988	LOC6496155|XP_001960344.1|DANA, LOC6502745|XP_001966570.2|DANA, LOC6497575|XP_001961781.2|DANA	LOC109397933|XP_029709610.1|AEAL
OG0000990	LOC6499777|XP_001953940.2|DANA, LOC6503115|XP_001963452.1|DANA	LOC109401923|XP_029711018.1|AEAL, LOC115253970|XP_029710973.1|AEAL
OG0000991	LOC6505034|XP_001965595.1|DANA	LOC109405326|XP_029717354.1|AEAL, LOC109422984|XP_029717370.1|AEAL
OG0000992	LOC6494981|XP_001959285.1|DANA, LOC6499776|XP_032311388.1|DANA	LOC109423501|XP_029722788.1|AEAL
OG0000993	LOC6501590|XP_001955534.1|DANA, LOC6501589|XP_001955533.2|DANA	LOC109430248|XP_019561844.1|AEAL
OG0000994	LOC6503026|XP_014761286.1|DANA	LOC115264150|XP_029723388.1|AEAL, LOC109423637|XP_029719504.1|AEAL, LOC115264138|XP_029723372.1|AEAL
OG0000995	LOC6504916|XP_001966586.1|DANA	LOC109418045|XP_019547754.2|AEAL
OG0000996	LOC6494660|XP_001959915.1|DANA	LOC109413170|XP_029716557.1|AEAL, LOC109418102|XP_019547834.2|AEAL
OG0000997	LOC6494847|XP_001959560.1|DANA, LOC6495780|XP_014763490.2|DANA	LOC109403065|XP_029710284.1|AEAL, LOC109623182|XP_029734570.1|AEAL, LOC115256166|XP_029710287.1|AEAL
OG0000998	LOC6507504|XP_014765275.1|DANA	LOC109622191|XP_029735847.1|AEAL, LOC109408655|XP_019537542.2|AEAL
OG0000999	LOC6496150|XP_001960336.1|DANA, LOC6504884|XP_001966529.1|DANA	LOC115266678|XP_029729061.1|AEAL, LOC109408226|XP_019537027.1|AEAL
OG0001000	LOC26514490|XP_032311485.1|DANA	LOC115257630|XP_029713317.1|AEAL, LOC109408059|XP_029720699.1|AEAL
OG0001001	LOC6495875|XP_032306453.1|DANA	LOC115258869|XP_029715165.1|AEAL, LOC115258862|XP_029715154.1|AEAL, LOC109398676|XP_029714592.1|AEAL, LOC109407264|XP_029715002.1|AEAL, LOC115258466|XP_029714442.1|AEAL, LOC115258469|XP_029714445.1|AEAL, LOC115258467|XP_029714443.1|AEAL, LOC109398727|XP_029714441.1|AEAL, LOC109407263|XP_029715150.1|AEAL
OG0001002	LOC6497872|XP_032307571.1|DANA	LOC115255070|XP_029708692.1|AEAL, LOC109417021|XP_019546696.2|AEAL, LOC115255075|XP_029708701.1|AEAL, LOC115255433|XP_029709428.1|AEAL
OG0001003	LOC6505745|XP_001964346.1|DANA, LOC6501150|XP_001954645.1|DANA	LOC109422594|XP_019552943.1|AEAL, LOC109402843|XP_019531124.1|AEAL
OG0001004	LOC6505811|XP_001964413.1|DANA	LOC115269140|XP_029733401.1|AEAL, LOC115261448|XP_029718978.1|AEAL, LOC109427224|XP_029718936.1|AEAL
OG0001005	LOC6504891|XP_014759849.1|DANA	LOC109416159|XP_019545676.1|AEAL, LOC109404974|XP_019533501.2|AEAL, LOC115261536|XP_029719233.1|AEAL
OG0001006	LOC6500613|XP_001953564.1|DANA, LOC6507142|XP_001956597.1|DANA	LOC109411193|XP_019540233.1|AEAL
OG0001007	LOC6494227|XP_001960699.1|DANA	LOC109399093|XP_019527067.1|AEAL
OG0001008	LOC6502409|XP_001962939.3|DANA, LOC6502386|XP_001967180.1|DANA	LOC109410641|XP_019539710.1|AEAL
OG0001009	LOC6500996|XP_001954320.1|DANA, LOC6500551|XP_001953439.1|DANA	LOC109404809|XP_019533303.1|AEAL
OG0001019	LOC6505912|XP_032305482.1|DANA	LOC109427444|XP_029710436.1|AEAL, LOC109410171|XP_029729551.1|AEAL, LOC115269118|XP_029733390.1|AEAL, LOC115256458|XP_029710945.1|AEAL, LOC109433640|XP_019565640.2|AEAL, LOC115269277|XP_029733714.1|AEAL
OG0001020	LOC6498764|XP_001967253.1|DANA	LOC109428446|XP_019559756.2|AEAL, LOC109422153|XP_019552341.2|AEAL, LOC109428444|XP_029710681.1|AEAL
OG0001022	LOC6500200|XP_001966665.2|DANA	LOC115260504|XP_029717288.1|AEAL, LOC109427745|XP_019558884.1|AEAL
OG0001024	LOC6505615|XP_014760728.1|DANA	LOC109400992|XP_019529005.2|AEAL, LOC109398248|XP_019526120.2|AEAL, LOC115255015|XP_029708580.1|AEAL
OG0001025	LOC6507437|XP_001956022.1|DANA, LOC6507435|XP_001956023.1|DANA	LOC109411807|XP_029725877.1|AEAL, LOC109419671|XP_029725920.1|AEAL
OG0001026	LOC6494089|XP_001961002.1|DANA	LOC115254755|XP_029708284.1|AEAL, LOC115256370|XP_029710595.1|AEAL, LOC109427470|XP_019558569.2|AEAL, LOC115254769|XP_029708296.1|AEAL
OG0001027	LOC6493671|XP_001958201.1|DANA	LOC109430927|XP_019562583.1|AEAL, LOC109431669|XP_019563464.1|AEAL, LOC115259273|XP_029715663.1|AEAL, LOC109430982|XP_019562651.2|AEAL, LOC115267514|XP_029730464.1|AEAL, LOC109431720|XP_029714372.1|AEAL, LOC115259271|XP_029715661.1|AEAL, LOC115267493|XP_029730371.1|AEAL
OG0001028	LOC6497353|XP_001962260.1|DANA	LOC115270178|XP_029735284.1|AEAL, LOC115269720|XP_029734404.1|AEAL, LOC109428739|XP_019560110.2|AEAL, LOC109424262|XP_029734403.1|AEAL, LOC115270179|XP_029735285.1|AEAL, LOC109428720|XP_019560089.1|AEAL, LOC115269722|XP_029734407.1|AEAL, LOC109426302|XP_019557307.2|AEAL
OG0001029	LOC6496232|XP_001960505.1|DANA	LOC115262551|XP_029720817.1|AEAL, LOC109402256|XP_029732840.1|AEAL, LOC109417933|XP_029730316.1|AEAL, LOC115265333|XP_029725778.1|AEAL, LOC115267193|XP_029729925.1|AEAL
OG0001031	LOC6496735|XP_032309181.1|DANA	LOC115255160|XP_029708926.1|AEAL, LOC109428100|XP_029708906.1|AEAL, LOC109427628|XP_029708460.1|AEAL
OG0001032	LOC6498871|XP_014760129.1|DANA	LOC109421539|XP_019551606.2|AEAL
OG0001033	LOC26514184|XP_032311621.1|DANA, LOC6503028|XP_001963380.1|DANA	LOC109412633|XP_029724452.1|AEAL, LOC109415901|XP_029724407.1|AEAL
OG0001042	LOC6505579|XP_001964663.1|DANA	LOC109421990|XP_019552169.2|AEAL, LOC115256355|XP_029710555.1|AEAL, LOC109421988|XP_019552167.2|AEAL, LOC115256356|XP_029710556.1|AEAL, LOC115257006|XP_029712097.1|AEAL, LOC115256354|XP_029710554.1|AEAL, LOC109421989|XP_019552168.2|AEAL
OG0001043	LOC6504581|XP_001966588.2|DANA	LOC109427671|XP_019558802.2|AEAL, LOC109427670|XP_019558801.2|AEAL, LOC109431443|XP_019563193.2|AEAL
