Orthogroup	DANA.longest_only	HILL.longest_only
OG0000994	LOC6503026|XP_014761286.1|DANA	LOC119658292|XP_037921515.1|HILL
OG0000995	LOC6504916|XP_001966586.1|DANA	LOC119658915|XP_037922663.1|HILL
OG0000996	LOC6494660|XP_001959915.1|DANA	LOC119646992|XP_037903636.1|HILL
OG0000997	LOC6494847|XP_001959560.1|DANA, LOC6495780|XP_014763490.2|DANA	LOC119661765|XP_037927163.1|HILL
OG0000998	LOC6507504|XP_014765275.1|DANA	LOC119647895|XP_037905126.1|HILL, LOC119647894|XP_037905121.1|HILL
OG0000999	LOC6496150|XP_001960336.1|DANA, LOC6504884|XP_001966529.1|DANA	LOC119653389|XP_037913868.1|HILL
OG0001000	LOC26514490|XP_032311485.1|DANA	LOC119661572|XP_037926898.1|HILL
OG0001001	LOC6495875|XP_032306453.1|DANA	LOC119661125|XP_037926250.1|HILL
OG0001002	LOC6497872|XP_032307571.1|DANA	LOC119654243|XP_037915413.1|HILL
OG0001003	LOC6505745|XP_001964346.1|DANA, LOC6501150|XP_001954645.1|DANA	LOC119658682|XP_037922174.1|HILL
OG0001004	LOC6505811|XP_001964413.1|DANA	LOC119660421|XP_037924896.1|HILL
OG0001005	LOC6504891|XP_014759849.1|DANA	LOC119653619|XP_037914316.1|HILL
OG0001006	LOC6500613|XP_001953564.1|DANA, LOC6507142|XP_001956597.1|DANA	LOC119649453|XP_037907535.1|HILL
OG0001007	LOC6494227|XP_001960699.1|DANA	LOC119656271|XP_037918622.1|HILL
OG0001008	LOC6502409|XP_001962939.3|DANA, LOC6502386|XP_001967180.1|DANA	LOC119655408|XP_037917219.1|HILL
OG0001009	LOC6500996|XP_001954320.1|DANA, LOC6500551|XP_001953439.1|DANA	LOC119656127|XP_037918388.1|HILL
OG0001013	LOC116654955|XP_032307680.1|DANA, LOC6507134|XP_001956611.2|DANA, LOC6507110|XP_032310444.1|DANA	LOC119650229|XP_037908736.1|HILL
OG0001014	LOC6493716|XP_001958295.1|DANA, LOC6506228|XP_001958303.2|DANA	LOC119655082|XP_037916710.1|HILL
OG0001019	LOC6505912|XP_032305482.1|DANA	LOC119657389|XP_037920202.1|HILL
OG0001020	LOC6498764|XP_001967253.1|DANA	LOC119657985|XP_037921129.1|HILL, LOC119657205|XP_037919940.1|HILL, LOC119657634|XP_037920567.1|HILL
OG0001021	LOC6497767|XP_032307532.1|DANA	LOC119651094|XP_037910375.1|HILL
OG0001022	LOC6500200|XP_001966665.2|DANA	LOC119658389|XP_037921700.1|HILL
OG0001024	LOC6505615|XP_014760728.1|DANA	LOC119659862|XP_037924098.1|HILL, LOC119660009|XP_037924314.1|HILL
OG0001025	LOC6507437|XP_001956022.1|DANA, LOC6507435|XP_001956023.1|DANA	LOC119649739|XP_037907949.1|HILL
OG0001026	LOC6494089|XP_001961002.1|DANA	LOC119655498|XP_037917331.1|HILL
OG0001027	LOC6493671|XP_001958201.1|DANA	LOC119648947|XP_037906790.1|HILL, LOC119647827|XP_037904993.1|HILL
OG0001028	LOC6497353|XP_001962260.1|DANA	LOC119649985|XP_037908355.1|HILL
OG0001029	LOC6496232|XP_001960505.1|DANA	LOC119654282|XP_037915492.1|HILL, LOC119651816|XP_037911534.1|HILL, LOC119648751|XP_037906502.1|HILL, LOC119648440|XP_037906122.1|HILL
OG0001031	LOC6496735|XP_032309181.1|DANA	LOC119650960|XP_037910134.1|HILL
OG0001032	LOC6498871|XP_014760129.1|DANA	LOC119653033|XP_037913407.1|HILL
OG0001033	LOC26514184|XP_032311621.1|DANA, LOC6503028|XP_001963380.1|DANA	LOC119656017|XP_037918195.1|HILL
OG0001034	LOC6506118|XP_001958514.2|DANA	LOC119650231|XP_037908738.1|HILL
OG0001042	LOC6505579|XP_001964663.1|DANA	LOC119646639|XP_037903080.1|HILL
OG0001043	LOC6504581|XP_001966588.2|DANA	LOC119658007|XP_037921157.1|HILL
OG0001044	LOC6494560|XP_001960100.1|DANA	LOC119647224|XP_037903984.1|HILL
OG0001045	LOC6495482|XP_032306158.1|DANA	LOC119652268|XP_037912181.1|HILL
OG0001046	LOC6494524|XP_001960176.1|DANA	LOC119654795|XP_037916272.1|HILL
OG0001047	LOC6507963|XP_001961087.1|DANA	LOC119657541|XP_037920411.1|HILL
OG0001048	LOC116654743|XP_032306916.1|DANA, LOC6494476|XP_001960257.1|DANA, LOC6494477|XP_001960256.1|DANA, LOC6494479|XP_001960254.1|DANA	LOC119647179|XP_037903915.1|HILL
OG0001049	LOC6503490|XP_001965305.1|DANA, LOC6502748|XP_001965304.3|DANA, LOC6507707|XP_001956182.1|DANA	LOC119647474|XP_037904341.1|HILL
OG0001050	LOC6507216|XP_032309833.1|DANA, LOC6506558|XP_014764811.1|DANA	LOC119647631|XP_037904616.1|HILL
OG0001051	LOC6504548|XP_001964924.1|DANA	LOC119652144|XP_037912013.1|HILL, LOC119652142|XP_037912011.1|HILL, LOC119652143|XP_037912012.1|HILL
OG0001052	LOC6498035|XP_001961941.1|DANA	LOC119646181|XP_037902491.1|HILL
OG0001053	LOC6503484|XP_001964290.1|DANA	LOC119655659|XP_037917572.1|HILL
OG0001054	LOC6501062|XP_001954486.1|DANA, LOC6501063|XP_001954487.2|DANA	LOC119660306|XP_037924708.1|HILL
OG0001056	LOC6503214|XP_032311844.1|DANA	LOC119655097|XP_037916740.1|HILL
OG0001057	LOC6505382|XP_001964871.1|DANA	LOC119653748|XP_037914605.1|HILL
OG0001058	LOC6504597|XP_001966557.1|DANA	LOC119653471|XP_037914017.1|HILL
OG0001059	LOC6493709|XP_001958281.2|DANA	LOC119647686|XP_037904696.1|HILL
OG0001060	LOC6499855|XP_001953768.1|DANA	LOC119657290|XP_037920065.1|HILL
OG0001061	LOC6502657|XP_032305514.1|DANA, LOC6502658|XP_001953625.1|DANA	LOC119649749|XP_037907966.1|HILL
OG0001072	LOC6507140|XP_001956602.1|DANA, LOC6504838|XP_032309065.1|DANA	LOC119653742|XP_037914594.1|HILL
OG0001073	LOC6499252|XP_001955021.1|DANA	LOC119656558|XP_037918865.1|HILL, LOC119656559|XP_037918867.1|HILL, LOC119656562|XP_037918871.1|HILL, LOC119656561|XP_037918870.1|HILL, LOC119656557|XP_037918863.1|HILL
OG0001074	LOC6496521|XP_001961061.1|DANA	LOC119653482|XP_037914037.1|HILL, LOC119653483|XP_037914038.1|HILL
OG0001075	LOC6492987|XP_014764165.1|DANA	LOC119648135|XP_037905605.1|HILL
OG0001077	LOC6502725|XP_001964343.1|DANA, LOC6502791|XP_032310000.1|DANA	LOC119658889|XP_037922615.1|HILL
OG0001078	LOC6505060|XP_001965537.1|DANA	LOC119656783|XP_037919297.1|HILL, LOC119647701|XP_037904714.1|HILL
OG0001079	LOC6493436|XP_001957746.1|DANA	LOC119650348|XP_037908950.1|HILL
OG0001080	LOC6492944|XP_001956710.1|DANA	LOC119650340|XP_037908935.1|HILL
OG0001081	LOC6500140|XP_032305745.1|DANA	LOC119654600|XP_037915997.1|HILL
OG0001082	LOC6495595|XP_001959169.1|DANA	LOC119658666|XP_037922151.1|HILL
OG0001083	LOC6492985|XP_001956794.2|DANA	LOC119648140|XP_037905614.1|HILL
OG0001084	LOC6496634|XP_001961298.2|DANA	LOC119658838|XP_037922509.1|HILL
OG0001085	LOC6493897|XP_001961372.2|DANA	LOC119661259|XP_037926439.1|HILL
OG0001086	LOC6496322|XP_001960702.1|DANA	LOC119654908|XP_037916469.1|HILL
OG0001087	LOC6497587|XP_032307769.1|DANA, LOC6497939|XP_001961759.2|DANA	LOC119661246|XP_037926413.1|HILL
OG0001088	LOC6506999|XP_001956855.2|DANA	LOC119647748|XP_037904795.1|HILL
OG0001089	LOC6507685|XP_001956146.1|DANA	LOC119649506|XP_037907604.1|HILL
OG0001090	LOC6506861|XP_001957104.3|DANA	LOC119650125|XP_037908578.1|HILL
OG0001092	LOC6498369|XP_001962641.1|DANA	LOC119651442|XP_037910974.1|HILL
OG0001093	LOC6497317|XP_001962334.1|DANA	LOC119651291|XP_037910736.1|HILL, LOC119652250|XP_037912158.1|HILL
OG0001094	LOC6497108|XP_014761518.2|DANA, LOC6497109|XP_001962739.1|DANA	LOC119653073|XP_037913485.1|HILL
OG0001095	LOC6506293|XP_001958185.2|DANA	LOC119651165|XP_037910511.1|HILL
OG0001096	LOC6497635|XP_001961667.1|DANA	LOC119654769|XP_037916238.1|HILL, LOC119655109|XP_037916759.1|HILL
OG0001097	LOC26513851|XP_014760196.2|DANA, LOC26515443|XP_032311479.1|DANA, LOC26515555|XP_014760222.2|DANA	LOC119661406|XP_037926663.1|HILL
OG0001099	LOC6506930|XP_001956969.1|DANA	LOC119649218|XP_037907205.1|HILL, LOC119648717|XP_037906453.1|HILL, LOC119649369|XP_037907413.1|HILL
OG0001100	LOC26515027|XP_014760933.1|DANA	LOC119655645|XP_037917552.1|HILL
OG0001101	LOC6496268|XP_032306371.1|DANA	LOC119656262|XP_037918608.1|HILL
OG0001102	LOC6507232|XP_001956425.3|DANA	LOC119647913|XP_037905163.1|HILL
OG0001103	LOC6500718|XP_001953787.1|DANA	LOC119651483|XP_037911022.1|HILL
OG0001104	LOC6502561|XP_001959387.2|DANA	LOC119654690|XP_037916128.1|HILL
OG0001105	LOC6503124|XP_001963467.1|DANA	LOC119654540|XP_037915913.1|HILL
OG0001106	LOC6502092|XP_032311726.1|DANA	LOC119660910|XP_037925785.1|HILL
OG0001109	LOC6496341|XP_032306019.1|DANA	LOC119661437|XP_037926710.1|HILL, LOC119646346|XP_037902709.1|HILL
OG0001112	LOC6496147|XP_001960333.2|DANA	LOC119647107|XP_037903817.1|HILL
OG0001118	LOC6502461|XP_001962445.1|DANA	LOC119658022|XP_037921179.1|HILL
OG0001119	LOC6503261|XP_001965829.2|DANA	LOC119658275|XP_037921494.1|HILL
OG0001120	LOC6501048|XP_014766872.1|DANA	LOC119651250|XP_037910659.1|HILL
OG0001122	LOC6507065|XP_001956726.1|DANA	LOC119650129|XP_037908586.1|HILL
OG0001124	LOC6499861|XP_001953751.1|DANA	LOC119661581|XP_037926908.1|HILL, LOC119653509|XP_037914097.1|HILL
OG0001125	LOC6505849|XP_001964481.1|DANA	LOC119648754|XP_037906506.1|HILL
OG0001127	LOC6507129|XP_001956620.2|DANA	LOC119648123|XP_037905573.1|HILL, LOC119647815|XP_037904971.1|HILL, LOC119647572|XP_037904500.1|HILL, LOC119647816|XP_037904972.1|HILL, LOC119647817|XP_037904973.1|HILL, LOC119647820|XP_037904978.1|HILL
OG0001128	LOC6496056|XP_001960126.2|DANA	LOC119660463|XP_037924958.1|HILL
OG0001129	LOC6498396|XP_014762113.1|DANA	LOC119650885|XP_037909986.1|HILL
OG0001130	LOC6496979|XP_001963009.1|DANA, LOC6502599|XP_001967702.2|DANA	LOC119653058|XP_037913465.1|HILL
OG0001131	LOC6501803|XP_032308074.1|DANA	LOC119660936|XP_037925859.1|HILL
OG0001133	LOC6497357|XP_001962255.1|DANA	LOC119647256|XP_037904063.1|HILL
OG0001134	LOC6496015|XP_032306105.1|DANA	LOC119656169|XP_037918443.1|HILL, LOC119656168|XP_037918442.1|HILL, LOC119655305|XP_037917062.1|HILL, LOC119654050|XP_037915138.1|HILL, LOC119654064|XP_037915156.1|HILL, LOC119653774|XP_037914701.1|HILL
OG0001135	LOC6499029|XP_014765875.1|DANA	LOC119654839|XP_037916342.1|HILL, LOC119654481|XP_037915830.1|HILL
OG0001136	LOC6501200|XP_014766930.1|DANA	LOC119660441|XP_037924921.1|HILL
OG0001137	LOC6499465|XP_032307090.1|DANA	LOC119659607|XP_037923706.1|HILL, LOC119659962|XP_037924244.1|HILL, LOC119659283|XP_037923219.1|HILL, LOC119659485|XP_037923526.1|HILL, LOC119659510|XP_037923568.1|HILL, LOC119659576|XP_037923661.1|HILL, LOC119659818|XP_037924029.1|HILL, LOC119659917|XP_037924170.1|HILL, LOC119660171|XP_037924505.1|HILL, LOC119659452|XP_037923465.1|HILL, LOC119659493|XP_037923539.1|HILL, LOC119659623|XP_037923751.1|HILL, LOC119659635|XP_037923762.1|HILL
OG0001138	LOC6507074|XP_001956711.1|DANA	LOC119655094|XP_037916728.1|HILL
OG0001139	LOC6507258|XP_001956374.1|DANA	LOC119647597|XP_037904547.1|HILL
OG0001140	LOC6501631|XP_001955641.1|DANA, LOC26515437|XP_032312049.1|DANA, LOC116656528|XP_032312048.1|DANA	LOC119647169|XP_037903902.1|HILL, LOC119656962|XP_037919610.1|HILL, LOC119656930|XP_037919552.1|HILL
OG0001141	LOC6500771|XP_032308057.1|DANA	LOC119648620|XP_037906317.1|HILL
OG0001144	LOC6499209|XP_001955105.1|DANA, LOC6494265|XP_032306733.1|DANA	LOC119655340|XP_037917115.1|HILL
OG0001148	LOC6497479|XP_001961994.1|DANA, LOC6502432|XP_001961993.1|DANA	LOC119646878|XP_037903432.1|HILL
OG0001149	LOC116655807|XP_032310082.1|DANA, LOC6506422|XP_001957909.3|DANA, LOC6506423|XP_001957908.2|DANA	LOC119648939|XP_037906780.1|HILL, LOC119649425|XP_037907500.1|HILL
OG0001153	LOC6495302|XP_001958665.1|DANA	LOC119660793|XP_037925528.1|HILL
OG0001154	LOC6498541|XP_014762175.1|DANA	LOC119651636|XP_037911228.1|HILL
OG0001155	LOC6504931|XP_001966609.2|DANA	LOC119656861|XP_037919444.1|HILL
OG0001157	LOC6500183|XP_032305917.1|DANA	LOC119651295|XP_037910744.1|HILL
OG0001158	LOC6497957|XP_001961792.3|DANA	LOC119657603|XP_037920533.1|HILL
OG0001159	LOC6505984|XP_032305333.1|DANA	LOC119656717|XP_037919167.1|HILL
OG0001160	LOC6499665|XP_001954191.1|DANA	LOC119653171|XP_037913646.1|HILL
OG0001161	LOC6501566|XP_001955486.1|DANA	LOC119650746|XP_037909750.1|HILL
OG0001162	LOC6498852|XP_001955800.1|DANA	LOC119658310|XP_037921547.1|HILL
OG0001163	LOC6500392|XP_014766526.1|DANA	LOC119650564|XP_037909297.1|HILL
OG0001164	LOC6500846|XP_001954026.2|DANA	LOC119651647|XP_037911251.1|HILL
OG0001165	LOC6494718|XP_001959800.1|DANA	LOC119657120|XP_037919808.1|HILL, LOC119657495|XP_037920353.1|HILL
OG0001166	LOC6507547|XP_032310546.1|DANA	LOC119649162|XP_037907104.1|HILL
OG0001167	LOC6495633|XP_032307093.1|DANA	LOC119646574|XP_037902992.1|HILL
OG0001168	LOC6495623|XP_001959243.1|DANA	LOC119655740|XP_037917721.1|HILL
OG0001169	LOC6504991|XP_001965677.1|DANA	LOC119658036|XP_037921197.1|HILL
OG0001170	LOC6500795|XP_001953934.1|DANA, LOC6500794|XP_001953933.1|DANA, LOC6500796|XP_001953935.1|DANA, LOC6500797|XP_001953936.1|DANA	LOC119659790|XP_037923985.1|HILL
OG0001171	LOC6506988|XP_014765020.1|DANA	LOC119650467|XP_037909262.1|HILL
OG0001172	LOC6494636|XP_001959972.1|DANA	LOC119661407|XP_037926664.1|HILL
OG0001173	LOC6505900|XP_001964577.1|DANA	LOC119660364|XP_037924800.1|HILL, LOC119658996|XP_037922805.1|HILL
OG0001174	LOC6506174|XP_001958413.1|DANA	LOC119647791|XP_037904916.1|HILL
OG0001175	LOC6496079|XP_001960175.1|DANA	LOC119654794|XP_037916271.1|HILL
OG0001176	LOC6494221|XP_014762673.1|DANA	LOC119655006|XP_037916605.1|HILL
OG0001178	LOC6495060|XP_001959148.1|DANA	LOC119661423|XP_037926694.1|HILL
OG0001179	LOC6495406|XP_032307195.1|DANA	LOC119646342|XP_037902696.1|HILL
OG0001180	LOC6506057|XP_001966646.2|DANA	LOC119660988|XP_037926002.1|HILL
OG0001181	LOC6506328|XP_032310084.1|DANA	LOC119648244|XP_037905804.1|HILL
OG0001182	LOC6501533|XP_014767093.1|DANA	LOC119659498|XP_037923550.1|HILL, LOC119659994|XP_037924297.1|HILL
OG0001183	LOC6499429|XP_032307004.1|DANA	LOC119660414|XP_037924881.1|HILL
OG0001185	LOC6494317|XP_014760068.1|DANA	LOC119658701|XP_037922219.1|HILL
OG0001186	LOC6500957|XP_001954242.1|DANA	LOC119659434|XP_037923445.1|HILL
OG0001187	LOC6496355|XP_014763778.1|DANA	LOC119656116|XP_037918366.1|HILL
OG0001188	LOC6494330|XP_001960524.2|DANA	LOC119653813|XP_037914766.1|HILL
OG0001189	LOC6494172|XP_001960828.1|DANA, LOC6494173|XP_001960827.1|DANA	LOC119654676|XP_037916107.1|HILL
OG0001190	LOC6504693|XP_001966392.2|DANA	LOC119655814|XP_037917847.1|HILL, LOC119655837|XP_037917871.1|HILL, LOC119655662|XP_037917574.1|HILL
OG0001191	LOC6504707|XP_001964861.1|DANA	LOC119654289|XP_037915506.1|HILL
OG0001192	LOC26515108|XP_032307727.1|DANA, LOC6498236|XP_001962362.2|DANA	LOC119659428|XP_037923436.1|HILL, LOC119659358|XP_037923338.1|HILL
OG0001192	LOC6497301|XP_032307725.1|DANA	LOC119649057|XP_037906966.1|HILL, LOC119659885|XP_037924131.1|HILL
OG0001193	LOC6500766|XP_001953880.1|DANA	LOC119654818|XP_037916306.1|HILL
OG0001194	LOC6504137|XP_001964256.1|DANA	LOC119648370|XP_037906025.1|HILL
OG0001195	LOC6495447|XP_001958865.1|DANA	LOC119654582|XP_037915969.1|HILL
OG0001200	LOC6497927|XP_001961735.1|DANA	LOC119657572|XP_037920465.1|HILL
OG0001201	LOC6500864|XP_001954060.1|DANA	LOC119659691|XP_037923872.1|HILL, LOC119660477|XP_037924996.1|HILL, LOC119660451|XP_037924938.1|HILL
OG0001202	LOC6504820|XP_001966397.2|DANA	LOC119658232|XP_037921438.1|HILL
OG0001203	LOC6504547|XP_001967430.1|DANA	LOC119660998|XP_037926022.1|HILL, LOC119660891|XP_037925745.1|HILL
OG0001204	LOC6502470|XP_001962780.2|DANA	LOC119657884|XP_037920948.1|HILL
OG0001205	LOC6494458|XP_001965917.2|DANA	LOC119654814|XP_037916298.1|HILL
OG0001206	LOC6505848|XP_001964479.2|DANA	LOC119652245|XP_037912149.1|HILL
OG0001207	LOC26513919|XP_014759490.1|DANA	LOC119658299|XP_037921525.1|HILL
OG0001208	LOC6501911|XP_032308117.1|DANA	LOC119657034|XP_037919714.1|HILL
OG0001209	LOC6500876|XP_001954088.2|DANA	LOC119652741|XP_037912967.1|HILL
OG0001210	LOC6502060|XP_001967440.1|DANA	LOC119657755|XP_037920737.1|HILL
OG0001211	LOC6500483|XP_001953319.1|DANA	LOC119652060|XP_037911926.1|HILL
OG0001212	LOC6505053|XP_001965553.1|DANA	LOC119658512|XP_037921913.1|HILL
OG0001213	LOC6505727|XP_001964374.1|DANA	LOC119659447|XP_037923459.1|HILL
OG0001214	LOC6499792|XP_001953904.1|DANA	LOC119652669|XP_037912863.1|HILL
OG0001215	LOC6499158|XP_001955197.1|DANA	LOC119652850|XP_037913130.1|HILL
OG0001216	LOC6500322|XP_014766503.1|DANA	LOC119653102|XP_037913545.1|HILL
OG0001217	LOC6502333|XP_001967631.2|DANA	LOC119651703|XP_037911344.1|HILL
OG0001218	LOC6500793|XP_001953932.1|DANA	LOC119659492|XP_037923538.1|HILL
OG0001220	LOC6495550|XP_001959083.1|DANA	LOC119652163|XP_037912039.1|HILL
OG0001222	LOC6501499|XP_001955377.1|DANA	LOC119661029|XP_037926116.1|HILL
OG0001223	LOC6495127|XP_032306369.1|DANA	LOC119654577|XP_037915964.1|HILL
OG0001224	LOC6496288|XP_001960624.3|DANA	LOC119655657|XP_037917569.1|HILL
OG0001225	LOC6496516|XP_014763864.2|DANA	LOC119646976|XP_037903609.1|HILL
OG0001226	LOC6495260|XP_001958742.1|DANA	LOC119657789|XP_037920804.1|HILL, LOC119646174|XP_037902482.1|HILL, LOC119661587|XP_037926917.1|HILL
OG0001227	LOC6496850|XP_014761401.1|DANA	LOC119647209|XP_037903963.1|HILL, LOC119647103|XP_037903808.1|HILL
OG0001228	LOC6494328|XP_032305515.1|DANA	LOC119655872|XP_037917929.1|HILL, LOC119655332|XP_037917103.1|HILL, LOC119654512|XP_037915878.1|HILL, LOC119655056|XP_037916675.1|HILL
OG0001229	LOC26515246|XP_032312042.1|DANA	LOC119646290|XP_037902629.1|HILL
OG0001230	LOC6494134|XP_032307143.1|DANA	LOC119661031|XP_037926123.1|HILL
OG0001231	LOC6505408|XP_001966905.1|DANA	LOC119652521|XP_037912644.1|HILL
OG0001232	LOC6498145|XP_001962173.1|DANA	LOC119658989|XP_037922801.1|HILL, LOC119658979|XP_037922791.1|HILL
OG0001233	LOC6498133|XP_001962148.1|DANA	LOC119661290|XP_037926495.1|HILL
OG0001234	LOC6496168|XP_001960364.1|DANA	LOC119659090|XP_037922934.1|HILL
OG0001235	LOC6503363|XP_001965357.2|DANA	LOC119646499|XP_037902882.1|HILL
OG0001236	LOC6493200|XP_001957251.2|DANA	LOC119649757|XP_037907979.1|HILL
OG0001237	LOC6500136|XP_014766395.1|DANA	LOC119659116|XP_037922967.1|HILL
OG0001238	LOC6499597|XP_032312139.1|DANA	LOC119659152|XP_037923023.1|HILL
OG0001239	LOC6499905|XP_032306296.1|DANA	LOC119653018|XP_037913384.1|HILL
OG0001240	LOC6499556|XP_001954389.1|DANA	LOC119660382|XP_037924834.1|HILL
OG0001241	LOC6495700|XP_001959400.1|DANA	LOC119658765|XP_037922391.1|HILL
OG0001242	LOC6502245|XP_001966075.1|DANA	LOC119655416|XP_037917230.1|HILL
OG0001243	LOC6493589|XP_032309839.1|DANA	LOC119648820|XP_037906605.1|HILL
OG0001244	LOC6500325|XP_001952976.1|DANA	LOC119661188|XP_037926337.1|HILL
OG0001245	LOC6505672|XP_032305737.1|DANA	LOC119651974|XP_037911806.1|HILL
OG0001246	LOC6495728|XP_014763470.1|DANA	LOC119655399|XP_037917208.1|HILL
OG0001247	LOC26514097|XP_032311496.1|DANA	LOC119653750|XP_037914607.1|HILL
OG0001248	LOC6506997|XP_001956857.1|DANA	LOC119650077|XP_037908504.1|HILL, LOC119649838|XP_037908111.1|HILL, LOC119647933|XP_037905201.1|HILL, LOC119650285|XP_037908840.1|HILL, LOC119650080|XP_037908511.1|HILL, LOC119648509|XP_037906206.1|HILL, LOC119648725|XP_037906464.1|HILL, LOC119649642|XP_037907825.1|HILL, LOC119649535|XP_037907650.1|HILL, LOC119649939|XP_037908286.1|HILL, LOC119649581|XP_037907713.1|HILL
OG0001249	LOC6503750|XP_001963809.2|DANA	LOC119658028|XP_037921186.1|HILL
OG0001255	LOC6495802|XP_001959618.1|DANA	LOC119653588|XP_037914266.1|HILL
OG0001257	LOC6501778|XP_032311763.1|DANA	LOC119660950|XP_037925892.1|HILL
OG0001258	LOC6501118|XP_001954585.1|DANA	LOC119650730|XP_037909685.1|HILL
OG0001259	LOC6504614|XP_001966525.1|DANA	LOC119658496|XP_037921886.1|HILL
OG0001260	LOC6500642|XP_001953630.2|DANA	LOC119652828|XP_037913084.1|HILL
OG0001261	LOC6504380|XP_001967079.2|DANA	LOC119657335|XP_037920135.1|HILL
OG0001262	LOC6507201|XP_032309566.1|DANA	LOC119660928|XP_037925839.1|HILL
OG0001263	LOC6500783|XP_001953912.1|DANA	LOC119656996|XP_037919660.1|HILL
OG0001264	LOC6498064|XP_001962010.2|DANA	LOC119646944|XP_037903561.1|HILL
OG0001265	LOC6503884|XP_014761110.2|DANA	LOC119657638|XP_037920570.1|HILL
OG0001266	LOC6494753|XP_001959734.1|DANA	LOC119656260|XP_037918605.1|HILL
OG0001267	LOC6500853|XP_032310250.1|DANA	LOC119651389|XP_037910899.1|HILL
OG0001269	LOC6496251|XP_001960544.1|DANA	LOC119659654|XP_037923790.1|HILL
OG0001270	LOC6503457|XP_001967519.2|DANA	LOC119659052|XP_037922887.1|HILL
OG0001271	LOC6494873|XP_001959510.1|DANA	LOC119658672|XP_037922162.1|HILL
OG0001272	LOC6507573|XP_001955933.2|DANA	LOC119649825|XP_037908089.1|HILL
OG0001273	LOC6501382|XP_001955119.3|DANA	LOC119651602|XP_037911179.1|HILL
OG0001274	LOC6493714|XP_001958291.1|DANA	LOC119649786|XP_037908019.1|HILL
OG0001275	LOC6505045|XP_032307853.1|DANA	LOC119655439|XP_037917261.1|HILL
OG0001276	LOC6507649|XP_001956071.1|DANA	LOC119648094|XP_037905520.1|HILL
OG0001277	LOC6506888|XP_001957055.1|DANA	LOC119649433|XP_037907511.1|HILL, LOC119649427|XP_037907503.1|HILL
OG0001278	LOC6507280|XP_032310005.1|DANA	LOC119649514|XP_037907615.1|HILL
OG0001279	LOC6507782|XP_001956335.1|DANA	LOC119648237|XP_037905794.1|HILL
OG0001280	LOC6506507|XP_001957750.1|DANA	LOC119648137|XP_037905610.1|HILL
OG0001281	LOC6507584|XP_001955950.1|DANA	LOC119647691|XP_037904703.1|HILL
OG0001282	LOC6497809|XP_001961489.1|DANA	LOC119648273|XP_037905856.1|HILL, LOC119649296|XP_037907318.1|HILL, LOC119650007|XP_037908401.1|HILL, LOC119649909|XP_037908236.1|HILL
OG0001283	LOC6496410|XP_001960858.2|DANA	LOC119661427|XP_037926698.1|HILL
OG0001284	LOC6497272|XP_001965911.2|DANA	LOC119651440|XP_037910970.1|HILL
OG0001285	LOC6507093|XP_014765063.1|DANA	LOC119654710|XP_037916157.1|HILL, LOC119646154|XP_037902453.1|HILL
OG0001286	LOC6503632|XP_014760393.2|DANA	LOC119646226|XP_037902542.1|HILL
OG0001287	LOC6494675|XP_001965955.1|DANA	LOC119650430|XP_037909177.1|HILL, LOC119650431|XP_037909178.1|HILL, LOC119660177|XP_037924513.1|HILL, LOC119660484|XP_037924999.1|HILL
OG0001288	LOC6497690|XP_001961565.1|DANA	LOC119651059|XP_037910316.1|HILL
OG0001289	LOC6502767|XP_001965256.2|DANA	LOC119656549|XP_037918844.1|HILL, LOC119646325|XP_037902674.1|HILL, LOC119646338|XP_037902691.1|HILL
OG0001290	LOC6497204|XP_032307733.1|DANA	LOC119653199|XP_037913690.1|HILL
OG0001291	LOC6494912|XP_014763071.2|DANA	LOC119654813|XP_037916297.1|HILL
OG0001292	LOC6496297|XP_001960635.2|DANA	LOC119653512|XP_037914101.1|HILL
OG0001293	LOC6504155|XP_001964289.1|DANA	LOC119655415|XP_037917229.1|HILL
OG0001294	LOC6499327|XP_001954859.1|DANA	LOC119654231|XP_037915382.1|HILL
OG0001295	LOC6502235|XP_001966036.1|DANA, LOC6496457|XP_001960949.1|DANA	LOC119653879|XP_037914923.1|HILL
OG0001296	LOC6493893|XP_032311522.1|DANA	LOC119655784|XP_037917802.1|HILL
OG0001297	LOC6499040|XP_001955448.1|DANA	LOC119659209|XP_037923105.1|HILL
OG0001298	LOC6500044|XP_032312361.1|DANA	LOC119652500|XP_037912615.1|HILL, LOC119659762|XP_037923951.1|HILL, LOC119658977|XP_037922785.1|HILL
OG0001299	LOC6507340|XP_032309757.1|DANA	LOC119649607|XP_037907753.1|HILL
OG0001300	LOC6499532|XP_001954428.1|DANA	LOC119655461|XP_037917290.1|HILL
OG0001301	LOC6498237|XP_001962364.1|DANA	LOC119654217|XP_037915358.1|HILL
OG0001302	LOC6494604|XP_032306614.1|DANA	LOC119658796|XP_037922442.1|HILL, LOC119658797|XP_037922444.1|HILL, LOC119658798|XP_037922445.1|HILL, LOC119658800|XP_037922447.1|HILL
OG0001303	LOC6500698|XP_001953750.1|DANA	LOC119657687|XP_037920649.1|HILL
OG0001304	LOC6505436|XP_032308649.1|DANA, LOC6494011|XP_001961150.1|DANA	LOC119653815|XP_037914773.1|HILL
OG0001305	LOC6503390|XP_001967520.2|DANA	LOC119658890|XP_037922616.1|HILL
