Orthogroup	DANA.longest_only	BTRY.longest_only
OG0000320	LOC6499876|XP_001953720.2|DANA	LOC120780262|XP_039968454.1|BTRY
OG0000320	LOC6497699|XP_001961539.1|DANA, LOC6501664|XP_001955711.1|DANA	LOC120775663|XP_039961866.1|BTRY
OG0000321	LOC6504282|XP_032310941.1|DANA, LOC6504281|XP_001965080.1|DANA	LOC120767653|XP_039949760.1|BTRY
OG0000322	LOC116654471|XP_032305651.1|DANA, LOC6503701|XP_032308562.1|DANA, LOC6503657|XP_032308389.1|DANA	LOC120773648|XP_039958591.1|BTRY
OG0000323	LOC6505703|XP_001964988.1|DANA	LOC120781479|XP_039969632.1|BTRY
OG0000323	LOC6501658|XP_001955700.1|DANA	LOC120768274|XP_039950811.1|BTRY
OG0000324	LOC6496533|XP_001961090.1|DANA	LOC120772196|XP_039956595.1|BTRY
OG0000325	LOC6506295|XP_001958182.1|DANA	LOC120780635|XP_039968827.1|BTRY, LOC120780634|XP_039968826.1|BTRY
OG0000325	LOC6493662|XP_001958179.1|DANA	LOC120779055|XP_039967124.1|BTRY
OG0000327	LOC6496508|XP_014763857.1|DANA, LOC6500092|XP_001953244.1|DANA, LOC6496509|XP_001961045.1|DANA, LOC6496510|XP_001961046.1|DANA	LOC120772284|XP_039956728.1|BTRY, LOC120772454|XP_039957011.1|BTRY, LOC120771900|XP_039956109.1|BTRY
OG0000328	LOC6502508|XP_001960957.2|DANA, LOC6502780|XP_001957810.1|DANA, LOC6502781|XP_001957809.1|DANA	LOC120777056|XP_039964104.1|BTRY
OG0000331	LOC6497579|XP_001961774.2|DANA, LOC6497580|XP_032307456.1|DANA	LOC120769238|XP_039952071.1|BTRY
OG0000332	LOC6499386|XP_001954737.1|DANA	LOC120766326|XP_039947684.1|BTRY
OG0000332	LOC6503157|XP_001963539.1|DANA	LOC120774932|XP_039960743.1|BTRY
OG0000333	LOC6506473|XP_032309901.1|DANA	LOC120776546|XP_039963228.1|BTRY, LOC120776544|XP_039963218.1|BTRY, LOC120776542|XP_039963214.1|BTRY
OG0000333	LOC6493102|XP_001957045.1|DANA	LOC120776547|XP_039963229.1|BTRY
OG0000334	LOC6499840|XP_001953795.1|DANA	LOC120774998|XP_039960854.1|BTRY
OG0000334	LOC6496280|XP_001960596.1|DANA	LOC120771849|XP_039956026.1|BTRY, LOC120772789|XP_039957505.1|BTRY
OG0000335	LOC6497078|XP_001962799.1|DANA	LOC120767480|XP_039949505.1|BTRY
OG0000335	LOC6497079|XP_001962798.1|DANA	LOC120767479|XP_039949503.1|BTRY
OG0000336	LOC6499422|XP_001954674.1|DANA, LOC6500865|XP_001954063.1|DANA, LOC6499722|XP_001954062.2|DANA	LOC120769770|XP_039952889.1|BTRY
OG0000337	LOC6493624|XP_032310368.1|DANA, LOC6504598|XP_001966553.1|DANA, LOC6506952|XP_001956930.1|DANA	LOC120766375|XP_039947742.1|BTRY
OG0000338	LOC6506655|XP_001957468.1|DANA	LOC120777234|XP_039964352.1|BTRY
OG0000338	LOC6494989|XP_032307097.1|DANA	LOC120770461|XP_039953889.1|BTRY
OG0000339	LOC6506802|XP_001957210.1|DANA	LOC120778134|XP_039965792.1|BTRY
OG0000340	LOC6494450|XP_001960300.1|DANA	LOC120771806|XP_039955946.1|BTRY
OG0000342	LOC6501793|XP_001967182.1|DANA, LOC6494110|XP_001960950.1|DANA	LOC120774021|XP_039959243.1|BTRY
OG0000343	LOC6499997|XP_001953438.1|DANA	LOC120778308|XP_039966037.1|BTRY
OG0000344	LOC6494535|XP_001960153.1|DANA	LOC120771051|XP_039954788.1|BTRY
OG0000344	LOC6499008|XP_001955524.1|DANA	LOC120766693|XP_039948277.1|BTRY
OG0000345	LOC6494095|XP_001960986.1|DANA	LOC120773088|XP_039957990.1|BTRY
OG0000345	LOC6495811|XP_032306583.1|DANA	LOC120770320|XP_039953635.1|BTRY
OG0000346	LOC6495871|XP_014763525.1|DANA	LOC120771778|XP_039955902.1|BTRY
OG0000347	LOC6502311|XP_001966217.1|DANA, LOC6493320|XP_001957518.1|DANA	LOC120777530|XP_039964847.1|BTRY
OG0000347	LOC6497988|XP_014761918.1|DANA	LOC120767435|XP_039949430.1|BTRY
OG0000348	LOC6503299|XP_001967569.1|DANA	LOC120769393|XP_039952297.1|BTRY
OG0000348	LOC6506574|XP_032311158.1|DANA	LOC120767574|XP_039949645.1|BTRY
OG0000349	LOC6498268|XP_001962430.1|DANA	LOC120768895|XP_039951582.1|BTRY
OG0000350	LOC6507927|XP_001956619.2|DANA, LOC6507926|XP_001956618.1|DANA	LOC120776422|XP_039963001.1|BTRY
OG0000350	LOC6505909|XP_001964597.1|DANA	LOC120776439|XP_039963028.1|BTRY
OG0000351	LOC6494480|XP_032307052.1|DANA	LOC120771786|XP_039955914.1|BTRY
OG0000351	LOC116654758|XP_032307053.1|DANA	LOC120770740|XP_039954263.1|BTRY
OG0000352	LOC116655401|XP_032309152.1|DANA	LOC120770630|XP_039954166.1|BTRY, LOC120768743|XP_039951449.1|BTRY
OG0000353	LOC6501117|XP_001954583.1|DANA	LOC120776473|XP_039963083.1|BTRY
OG0000353	LOC6498401|XP_001962722.2|DANA	LOC120781466|XP_039969623.1|BTRY
OG0000354	LOC6497436|XP_001962083.1|DANA	LOC120767660|XP_039949767.1|BTRY
OG0000355	LOC6496495|XP_001961018.1|DANA	LOC120771205|XP_039955041.1|BTRY
OG0000355	LOC6493895|XP_001961377.1|DANA, LOC116656194|XP_032311536.1|DANA	LOC120770439|XP_039953843.1|BTRY
OG0000356	LOC6498228|XP_014762036.1|DANA	LOC120770335|XP_039953665.1|BTRY, LOC120770334|XP_039953663.1|BTRY, LOC120772442|XP_039956993.1|BTRY
OG0000358	LOC6505673|XP_001964490.1|DANA	LOC120777551|XP_039964877.1|BTRY
OG0000359	LOC6493253|XP_032310832.1|DANA, LOC6506721|XP_001957364.1|DANA, LOC116655904|XP_032310740.1|DANA, LOC6506724|XP_001957358.2|DANA, LOC26513818|XP_014765535.1|DANA	LOC120778373|XP_039966093.1|BTRY
OG0000361	LOC26514914|XP_014759557.1|DANA, LOC6497047|XP_001962856.2|DANA	LOC120768611|XP_039951311.1|BTRY
OG0000362	LOC6506058|XP_001966647.1|DANA	LOC120779094|XP_039967196.1|BTRY
OG0000362	LOC6506082|XP_032310014.1|DANA	LOC120778669|XP_039966535.1|BTRY
OG0000363	LOC6500480|XP_032305702.1|DANA	LOC120775658|XP_039961859.1|BTRY
OG0000363	LOC6507034|XP_014765041.1|DANA	LOC120779091|XP_039967181.1|BTRY
OG0000364	LOC6507563|XP_014765322.1|DANA	LOC120778787|XP_039966716.1|BTRY
OG0000365	LOC6495053|XP_001959163.2|DANA	LOC120772169|XP_039956543.1|BTRY
OG0000365	LOC6496879|XP_032310923.1|DANA	LOC120768322|XP_039950894.1|BTRY
OG0000366	LOC6505019|XP_001965618.2|DANA	LOC120774263|XP_039959665.1|BTRY
OG0000366	LOC6499571|XP_032312126.1|DANA	LOC120780807|XP_039968989.1|BTRY
OG0000367	LOC6493449|XP_001957774.1|DANA	LOC120768508|XP_039951168.1|BTRY
OG0000367	LOC6495191|XP_032306270.1|DANA	LOC120770824|XP_039954338.1|BTRY
OG0000368	LOC6507163|XP_014765085.1|DANA	LOC120778882|XP_039966859.1|BTRY, LOC120778883|XP_039966860.1|BTRY
OG0000368	LOC6507162|XP_001956562.2|DANA	LOC120777794|XP_039965259.1|BTRY
OG0000369	LOC26514645|XP_014759408.1|DANA	LOC120779815|XP_039968122.1|BTRY, LOC120782016|XP_039970108.1|BTRY
OG0000370	LOC26514900|XP_032309956.1|DANA, LOC6493663|XP_001958180.1|DANA, LOC6493664|XP_032309484.1|DANA	LOC120774286|XP_039959713.1|BTRY
OG0000376	LOC6503975|XP_014761129.1|DANA, LOC6503974|XP_001963938.1|DANA	LOC120775818|XP_039962106.1|BTRY
OG0000377	LOC6502136|XP_014759947.2|DANA, LOC26515198|XP_014767402.1|DANA, LOC6500908|XP_032305811.1|DANA, LOC6500907|XP_032305808.1|DANA	LOC120772534|XP_039957145.1|BTRY, LOC120772535|XP_039957147.1|BTRY, LOC120774731|XP_039960417.1|BTRY, LOC120774730|XP_039960415.1|BTRY
OG0000378	LOC6494537|XP_001960150.1|DANA	LOC120776151|XP_039962629.1|BTRY
OG0000378	LOC6504091|XP_001964157.1|DANA	LOC120769436|XP_039952351.1|BTRY
OG0000379	LOC6496041|XP_032307224.1|DANA, LOC6496040|XP_001960101.1|DANA, LOC6496042|XP_032307223.1|DANA	LOC120772092|XP_039956430.1|BTRY
OG0000380	LOC6496541|XP_001961105.1|DANA	LOC120777433|XP_039964674.1|BTRY
OG0000380	LOC6493769|XP_032310018.1|DANA	LOC120777435|XP_039964675.1|BTRY
OG0000381	LOC6498499|XP_001962953.1|DANA	LOC120767468|XP_039949490.1|BTRY
OG0000382	LOC6503226|XP_001953458.2|DANA, LOC6493859|XP_001958574.2|DANA	LOC120775122|XP_039961078.1|BTRY
OG0000383	LOC6498091|XP_001962064.1|DANA	LOC120767904|XP_039950185.1|BTRY
OG0000383	LOC6497366|XP_001962237.1|DANA	LOC120767902|XP_039950182.1|BTRY
OG0000384	LOC6495243|XP_001958778.1|DANA	LOC120772420|XP_039956966.1|BTRY
OG0000384	LOC6495409|XP_001958777.3|DANA	LOC120770607|XP_039954144.1|BTRY
OG0000385	LOC6503788|XP_014761080.2|DANA	LOC120780127|XP_039968341.1|BTRY, LOC120774086|XP_039959352.1|BTRY
OG0000385	LOC6503865|XP_014761102.1|DANA	LOC120774085|XP_039959350.1|BTRY, LOC120774973|XP_039960799.1|BTRY
OG0000386	LOC6507350|XP_001956196.1|DANA, LOC6507351|XP_001956195.3|DANA, LOC6507348|XP_032310284.1|DANA, LOC6505996|XP_001964751.1|DANA	LOC120781604|XP_039969777.1|BTRY
OG0000389	LOC6506223|XP_032310019.1|DANA	LOC120771680|XP_039955737.1|BTRY
OG0000390	LOC6496874|XP_001963231.1|DANA	LOC120771071|XP_039954817.1|BTRY
OG0000391	LOC6493998|XP_001961167.1|DANA	LOC120771069|XP_039954812.1|BTRY
OG0000391	LOC6496570|XP_001961175.3|DANA	LOC120771124|XP_039954907.1|BTRY
OG0000392	LOC6497218|XP_001962535.1|DANA	LOC120769281|XP_039952131.1|BTRY
OG0000392	LOC6497216|XP_001962539.2|DANA	LOC120769186|XP_039952008.1|BTRY
OG0000393	LOC6497902|XP_001961686.1|DANA	LOC120767748|XP_039949897.1|BTRY
OG0000393	LOC6497901|XP_001961685.2|DANA	LOC120768428|XP_039951042.1|BTRY
OG0000394	LOC6503008|XP_001963421.1|DANA	LOC120773359|XP_039958117.1|BTRY
OG0000394	LOC116655344|XP_032308997.1|DANA	LOC120773360|XP_039958118.1|BTRY, LOC120773362|XP_039958122.1|BTRY, LOC120773361|XP_039958119.1|BTRY
OG0000395	LOC6507929|XP_032310451.1|DANA, LOC6507128|XP_001956622.2|DANA, LOC26514568|XP_014765642.1|DANA	LOC120778433|XP_039966149.1|BTRY
OG0000396	LOC6497410|XP_001962142.1|DANA, LOC6497411|XP_001962141.1|DANA	LOC120769341|XP_039952232.1|BTRY, LOC120767208|XP_039948951.1|BTRY
OG0000397	LOC6502527|XP_001959878.1|DANA, LOC6494679|XP_001959879.2|DANA, LOC6494678|XP_001959880.3|DANA, LOC26514021|XP_014763967.1|DANA	LOC120770499|XP_039953957.1|BTRY, LOC120770497|XP_039953954.1|BTRY
OG0000399	LOC6501331|XP_001955006.1|DANA	LOC120766843|XP_039948489.1|BTRY
OG0000399	LOC6494181|XP_001960818.1|DANA	LOC120766879|XP_039948547.1|BTRY
OG0000400	LOC6505013|XP_001965629.2|DANA	LOC120774408|XP_039959967.1|BTRY
OG0000400	LOC6505252|XP_032307878.1|DANA	LOC120774940|XP_039960753.1|BTRY, LOC120774941|XP_039960754.1|BTRY, LOC120774766|XP_039960460.1|BTRY
OG0000401	LOC6493959|XP_001961248.1|DANA, LOC6498801|XP_001967285.1|DANA	LOC120774242|XP_039959636.1|BTRY
OG0000402	LOC6505085|XP_001965498.1|DANA	LOC120776166|XP_039962707.1|BTRY
OG0000403	LOC6501437|XP_001955253.1|DANA	LOC120767034|XP_039948814.1|BTRY
OG0000403	LOC6495907|XP_001959834.1|DANA	LOC120770420|XP_039953799.1|BTRY
OG0000404	LOC6498986|XP_001955557.2|DANA	LOC120782378|XP_039970554.1|BTRY
OG0000405	LOC26513753|XP_032308711.1|DANA, LOC6507968|XP_032308709.1|DANA	LOC120775347|XP_039961428.1|BTRY
OG0000406	LOC6492978|XP_001956781.1|DANA	LOC120779166|XP_039967326.1|BTRY
OG0000406	LOC6495273|XP_001958726.1|DANA	LOC120771109|XP_039954892.1|BTRY
OG0000407	LOC6506151|XP_001958455.1|DANA	LOC120776370|XP_039962883.1|BTRY
OG0000408	LOC6500367|XP_001953063.1|DANA, LOC6497142|XP_001962672.1|DANA	LOC120769044|XP_039951824.1|BTRY
OG0000409	LOC6494639|XP_001959966.1|DANA, LOC6495556|XP_032306640.1|DANA	LOC120771406|XP_039955314.1|BTRY, LOC120771481|XP_039955449.1|BTRY
OG0000411	LOC6499636|XP_001954249.1|DANA	LOC120777280|XP_039964424.1|BTRY
OG0000411	LOC6505372|XP_001964864.1|DANA, LOC26514523|XP_032311526.1|DANA	LOC120769527|XP_039952500.1|BTRY
OG0000412	LOC6495523|XP_014763347.1|DANA	LOC120772605|XP_039957253.1|BTRY
OG0000412	LOC6507237|XP_001956415.1|DANA	LOC120777580|XP_039964926.1|BTRY
OG0000413	LOC6499130|XP_001955244.1|DANA	LOC120766222|XP_039947531.1|BTRY
OG0000413	LOC6500497|XP_001953345.1|DANA	LOC120766492|XP_039947978.1|BTRY
OG0000414	LOC6494667|XP_014762907.1|DANA, LOC6496661|XP_001961352.1|DANA	LOC120772664|XP_039957331.1|BTRY
OG0000415	LOC6496107|XP_032305930.1|DANA	LOC120770881|XP_039954453.1|BTRY
OG0000415	LOC6494486|XP_032306432.1|DANA	LOC120772785|XP_039957502.1|BTRY
OG0000416	LOC6503504|XP_001964253.2|DANA	LOC120775373|XP_039961469.1|BTRY, LOC120774960|XP_039960780.1|BTRY
OG0000416	LOC6505162|XP_032307896.1|DANA	LOC120774132|XP_039959448.1|BTRY
OG0000417	LOC6499784|XP_001953923.1|DANA	LOC120766838|XP_039948483.1|BTRY
OG0000417	LOC6505963|XP_001964692.1|DANA	LOC120782836|XP_039971293.1|BTRY, LOC120782779|XP_039971180.1|BTRY
OG0000418	LOC6504850|XP_001966449.2|DANA, LOC26515582|XP_032309075.1|DANA	LOC120775998|XP_039962365.1|BTRY
OG0000418	LOC6505070|XP_014760277.1|DANA	LOC120775994|XP_039962360.1|BTRY
OG0000419	LOC6495876|XP_032307229.1|DANA	LOC120772990|XP_039957837.1|BTRY
OG0000421	LOC6497810|XP_032307375.1|DANA	LOC120768035|XP_039950462.1|BTRY
OG0000421	LOC6498672|XP_032310887.1|DANA	LOC120768668|XP_039951380.1|BTRY
OG0000422	LOC26514500|XP_032305633.1|DANA	LOC120780556|XP_039968747.1|BTRY
OG0000423	LOC6494830|XP_001959584.1|DANA	LOC120770394|XP_039953759.1|BTRY
OG0000423	LOC6494829|XP_001959585.1|DANA	LOC120770005|XP_039953031.1|BTRY
OG0000424	LOC6494358|XP_032306089.1|DANA, LOC6494357|XP_001960477.1|DANA	LOC120770993|XP_039954673.1|BTRY
OG0000424	LOC6494356|XP_001960478.1|DANA	LOC120770914|XP_039954538.1|BTRY
OG0000425	LOC6494272|XP_032307001.1|DANA	LOC120772681|XP_039957353.1|BTRY
OG0000425	LOC6495521|XP_001959028.1|DANA	LOC120770802|XP_039954315.1|BTRY
OG0000426	LOC6494982|XP_001959284.1|DANA, LOC6495641|XP_001959286.1|DANA, LOC6494980|XP_001959287.1|DANA	LOC120767283|XP_039949097.1|BTRY, LOC120769710|XP_039952783.1|BTRY, LOC120769049|XP_039951833.1|BTRY
OG0000428	LOC6493067|XP_001956982.2|DANA, LOC6493068|XP_001956983.2|DANA, LOC6493069|XP_001956984.2|DANA	LOC120772925|XP_039957759.1|BTRY
OG0000429	LOC6495255|XP_001958750.2|DANA	LOC120770795|XP_039954308.1|BTRY, LOC120771992|XP_039956282.1|BTRY
OG0000430	LOC6499552|XP_001954397.1|DANA	LOC120774784|XP_039960496.1|BTRY
OG0000433	LOC6502281|XP_032309398.1|DANA	LOC120774862|XP_039960624.1|BTRY
OG0000433	LOC6493304|XP_001957489.1|DANA	LOC120778215|XP_039965906.1|BTRY
OG0000434	LOC6499093|XP_001955315.1|DANA	LOC120772696|XP_039957370.1|BTRY, LOC120772247|XP_039956678.1|BTRY
OG0000434	LOC6496672|XP_001961373.1|DANA	LOC120771558|XP_039955554.1|BTRY, LOC120771322|XP_039955200.1|BTRY
OG0000435	LOC6501924|XP_001966700.1|DANA	LOC120774231|XP_039959624.1|BTRY
OG0000437	LOC6496925|XP_001963127.1|DANA	LOC120781389|XP_039969532.1|BTRY
OG0000437	LOC6498627|XP_001963183.1|DANA	LOC120769054|XP_039951837.1|BTRY
OG0000438	LOC6501588|XP_001955531.1|DANA	LOC120775835|XP_039962138.1|BTRY
OG0000439	LOC6498354|XP_001962613.2|DANA	LOC120767996|XP_039950349.1|BTRY
OG0000439	LOC6507831|XP_032310341.1|DANA	LOC120778369|XP_039966090.1|BTRY
OG0000440	LOC6495862|XP_001959733.1|DANA	LOC120771326|XP_039955205.1|BTRY
OG0000440	LOC6496519|XP_001961058.1|DANA	LOC120771453|XP_039955398.1|BTRY
OG0000441	LOC6494958|XP_001959327.1|DANA	LOC120770035|XP_039953084.1|BTRY, LOC120772426|XP_039956971.1|BTRY
OG0000441	LOC6494957|XP_001959328.1|DANA	LOC120772252|XP_039956689.1|BTRY
OG0000443	LOC6506709|XP_001957385.2|DANA, LOC6506710|XP_001957384.1|DANA	LOC120767448|XP_039949449.1|BTRY
OG0000444	LOC6497189|XP_032307413.1|DANA	LOC120777609|XP_039964992.1|BTRY
OG0000444	LOC6497188|XP_001962593.1|DANA	LOC120777797|XP_039965263.1|BTRY
OG0000445	LOC26513950|XP_014759578.1|DANA, LOC6498165|XP_032312050.1|DANA, LOC26515330|XP_014759581.2|DANA, LOC26515495|XP_014759582.2|DANA	LOC120770076|XP_039953149.1|BTRY
OG0000445	LOC116655239|XP_032308677.1|DANA, LOC116656357|XP_032311700.1|DANA	LOC120768715|XP_039951420.1|BTRY, LOC120769771|XP_039952885.1|BTRY, LOC120781816|XP_039969970.1|BTRY, LOC120781587|XP_039969756.1|BTRY, LOC120781388|XP_039969531.1|BTRY, LOC120779344|XP_039967476.1|BTRY, LOC120767290|XP_039949148.1|BTRY, LOC120780825|XP_039969003.1|BTRY, LOC120779792|XP_039968102.1|BTRY, LOC120779563|XP_039967840.1|BTRY
OG0000445	LOC116656476|XP_032312027.1|DANA, LOC116656463|XP_032312010.1|DANA	LOC120781491|XP_039969650.1|BTRY, LOC120779761|XP_039968075.1|BTRY, LOC120778452|XP_039966179.1|BTRY, LOC120768413|XP_039951029.1|BTRY, LOC120780838|XP_039969013.1|BTRY
OG0000446	LOC116655037|XP_032307859.1|DANA	LOC120771905|XP_039956120.1|BTRY
OG0000448	LOC6499394|XP_001954723.2|DANA	LOC120782620|XP_039970921.1|BTRY
OG0000449	LOC6506534|XP_032310516.1|DANA	LOC120776397|XP_039962951.1|BTRY
OG0000449	LOC6498429|XP_032311122.1|DANA	LOC120767465|XP_039949487.1|BTRY
OG0000450	LOC6504118|XP_032308776.1|DANA	LOC120774365|XP_039959889.1|BTRY
OG0000450	LOC6505006|XP_014760244.1|DANA	LOC120774824|XP_039960565.1|BTRY
OG0000451	LOC6503688|XP_001963920.1|DANA	LOC120775737|XP_039961988.1|BTRY
OG0000451	LOC6503687|XP_014761029.1|DANA	LOC120775735|XP_039961987.1|BTRY, LOC120775418|XP_039961530.1|BTRY
OG0000453	LOC6498900|XP_001955714.1|DANA	LOC120766550|XP_039948067.1|BTRY
OG0000453	LOC6501667|XP_001955715.1|DANA	LOC120782890|XP_039971372.1|BTRY
OG0000454	LOC6501403|XP_001955181.1|DANA, LOC6507597|XP_001955975.1|DANA	LOC120771593|XP_039955599.1|BTRY, LOC120771036|XP_039954758.1|BTRY
OG0000456	LOC6501768|XP_032311712.1|DANA	LOC120779448|XP_039967629.1|BTRY
OG0000456	LOC6498406|XP_014762117.1|DANA	LOC120768512|XP_039951171.1|BTRY
OG0000457	LOC6504751|XP_014760460.1|DANA	LOC120781641|XP_039969806.1|BTRY
OG0000457	LOC6498202|XP_001962286.2|DANA	LOC120768879|XP_039951566.1|BTRY
OG0000458	LOC6497037|XP_032311196.1|DANA	LOC120768030|XP_039950444.1|BTRY
OG0000460	LOC6497540|XP_001961878.1|DANA	LOC120768381|XP_039950981.1|BTRY
OG0000462	LOC6501238|XP_001954829.1|DANA, LOC6502680|XP_032305909.1|DANA, LOC6501237|XP_001954827.1|DANA	LOC120766648|XP_039948245.1|BTRY
OG0000463	LOC6502612|XP_001955435.2|DANA, LOC6502613|XP_001955434.1|DANA	LOC120772993|XP_039957840.1|BTRY
OG0000465	LOC6505690|XP_001964450.2|DANA	LOC120780110|XP_039968359.1|BTRY
OG0000465	LOC6500010|XP_001953413.1|DANA	LOC120772118|XP_039956467.1|BTRY
OG0000466	LOC6505203|XP_032307882.1|DANA	LOC120773729|XP_039958719.1|BTRY
OG0000466	LOC6497681|XP_001961584.1|DANA	LOC120768513|XP_039951175.1|BTRY
OG0000467	LOC6495549|XP_032306820.1|DANA	LOC120772136|XP_039956488.1|BTRY
OG0000467	LOC6495543|XP_001959065.3|DANA	LOC120772332|XP_039956808.1|BTRY
OG0000468	LOC6505630|XP_014760738.1|DANA	LOC120766448|XP_039947890.1|BTRY
OG0000468	LOC6495948|XP_001959909.1|DANA	LOC120772763|XP_039957470.1|BTRY
OG0000469	LOC6497020|XP_001962917.2|DANA	LOC120767613|XP_039949700.1|BTRY
OG0000470	LOC6507796|XP_001956361.1|DANA	LOC120778542|XP_039966325.1|BTRY
OG0000470	LOC6506756|XP_001957301.1|DANA	LOC120782030|XP_039970120.1|BTRY
OG0000471	LOC6507594|XP_001955971.2|DANA, LOC6498315|XP_001962518.1|DANA	LOC120767631|XP_039949725.1|BTRY, LOC120769192|XP_039952020.1|BTRY
OG0000473	LOC6501863|XP_001966780.1|DANA	LOC120775766|XP_039962033.1|BTRY
OG0000473	LOC6504645|XP_032309319.1|DANA	LOC120775662|XP_039961864.1|BTRY
OG0000474	LOC116655111|XP_032308111.1|DANA, LOC6507886|XP_001956527.2|DANA	LOC120775186|XP_039961175.1|BTRY
OG0000475	LOC6501213|XP_001954776.2|DANA	LOC120767162|XP_039948919.1|BTRY
OG0000475	LOC6502679|XP_001954777.1|DANA	LOC120770612|XP_039954148.1|BTRY
OG0000476	LOC6500546|XP_001953429.1|DANA	LOC120766557|XP_039948077.1|BTRY
OG0000476	LOC6500545|XP_014766616.1|DANA	LOC120770518|XP_039953995.1|BTRY
OG0000477	LOC6499763|XP_001953969.1|DANA	LOC120775069|XP_039960995.1|BTRY
OG0000477	LOC6499517|XP_001954454.1|DANA	LOC120782442|XP_039970662.1|BTRY, LOC120774017|XP_039959237.1|BTRY, LOC120774008|XP_039959225.1|BTRY
OG0000478	LOC6505038|XP_001965587.1|DANA, LOC6499558|XP_001954387.1|DANA, LOC6505654|XP_001964979.1|DANA, LOC26515029|XP_014760664.1|DANA, LOC26514872|XP_032311038.1|DANA	LOC120772691|XP_039957364.1|BTRY, LOC120773038|XP_039957901.1|BTRY
OG0000479	LOC6500556|XP_001953471.1|DANA, LOC6500555|XP_001953470.1|DANA	LOC120782720|XP_039971077.1|BTRY, LOC120779825|XP_039968130.1|BTRY, LOC120766753|XP_039948360.1|BTRY
OG0000480	LOC6496710|XP_001967335.1|DANA, LOC6496711|XP_001967333.2|DANA	LOC120768928|XP_039951642.1|BTRY
OG0000481	LOC116655314|XP_032308872.1|DANA, LOC116655892|XP_032310674.1|DANA, LOC116656398|XP_032311839.1|DANA, LOC116656340|XP_032311653.1|DANA	LOC120779715|XP_039968014.1|BTRY
OG0000482	LOC6500522|XP_001953387.1|DANA	LOC120766731|XP_039948318.1|BTRY
OG0000483	LOC6502490|XP_001967483.1|DANA, LOC6503440|XP_001967484.1|DANA	LOC120766986|XP_039948724.1|BTRY
OG0000484	LOC6499343|XP_001954825.1|DANA	LOC120766420|XP_039947886.1|BTRY
OG0000484	LOC6499342|XP_001954826.1|DANA	LOC120766487|XP_039948012.1|BTRY
OG0000485	LOC6493686|XP_001958239.2|DANA	LOC120777647|XP_039965033.1|BTRY
OG0000486	LOC6494692|XP_014762920.1|DANA, LOC6494694|XP_014762922.1|DANA	LOC120771363|XP_039955254.1|BTRY, LOC120772509|XP_039957088.1|BTRY
OG0000487	LOC26513677|XP_014763926.1|DANA	LOC120771254|XP_039955105.1|BTRY
OG0000487	LOC26514569|XP_014764028.1|DANA	LOC120770707|XP_039954222.1|BTRY, LOC120771626|XP_039955650.1|BTRY, LOC120772506|XP_039957085.1|BTRY
OG0000489	LOC6500274|XP_001952895.2|DANA	LOC120766213|XP_039947516.1|BTRY
OG0000489	LOC6505017|XP_001965623.1|DANA	LOC120769711|XP_039952787.1|BTRY
OG0000490	LOC6504974|XP_001965706.2|DANA	LOC120775304|XP_039961372.1|BTRY
OG0000490	LOC6504040|XP_014761166.1|DANA	LOC120776015|XP_039962394.1|BTRY
OG0000491	LOC6500176|XP_001953084.2|DANA, LOC6502652|XP_001953083.2|DANA, LOC6498506|XP_001962963.3|DANA, LOC6494659|XP_001959918.1|DANA	LOC120772631|XP_039957287.1|BTRY
OG0000492	LOC6495926|XP_001959867.1|DANA	LOC120772323|XP_039956787.1|BTRY
OG0000492	LOC6497745|XP_001961436.1|DANA	LOC120774473|XP_039960063.1|BTRY
OG0000493	LOC6501643|XP_001955664.1|DANA, LOC6501644|XP_001955665.1|DANA	LOC120768974|XP_039951710.1|BTRY
OG0000494	LOC6498368|XP_001962640.2|DANA	LOC120769283|XP_039952138.1|BTRY
OG0000495	LOC6504001|XP_001963985.1|DANA	LOC120770491|XP_039953940.1|BTRY, LOC120772615|XP_039957263.1|BTRY
OG0000495	LOC6496210|XP_014763672.2|DANA	LOC120770492|XP_039953943.1|BTRY
OG0000496	LOC6497130|XP_014761524.1|DANA	LOC120768068|XP_039950524.1|BTRY
OG0000497	LOC6507103|XP_001965308.2|DANA	LOC120768950|XP_039951670.1|BTRY
OG0000497	LOC6507092|XP_032311096.1|DANA	LOC120769545|XP_039952523.1|BTRY
OG0000498	LOC6503406|XP_001967489.1|DANA	LOC120782315|XP_039970465.1|BTRY
OG0000498	LOC6503443|XP_032312184.1|DANA	LOC120768227|XP_039950745.1|BTRY
OG0000499	LOC6494007|XP_001961156.3|DANA	LOC120774341|XP_039959837.1|BTRY
OG0000499	LOC6504616|XP_001966520.1|DANA	LOC120766275|XP_039947611.1|BTRY
OG0000500	LOC6506267|XP_032310063.1|DANA	LOC120778821|XP_039966760.1|BTRY
OG0000500	LOC6493684|XP_001958236.3|DANA	LOC120778259|XP_039965970.1|BTRY
OG0000501	LOC6495210|XP_001958843.1|DANA, LOC6504557|XP_001964914.1|DANA, LOC6495208|XP_001958846.3|DANA	LOC120771118|XP_039954902.1|BTRY
OG0000504	LOC6506565|XP_001957632.1|DANA	LOC120776440|XP_039963029.1|BTRY, LOC120776441|XP_039963032.1|BTRY, LOC120778621|XP_039966438.1|BTRY, LOC120776645|XP_039963412.1|BTRY, LOC120777904|XP_039965419.1|BTRY
OG0000505	LOC6502351|XP_001967549.1|DANA	LOC120775324|XP_039961397.1|BTRY
