Orthogroup	DANA.longest_only	CPIP.longest_only
OG0001798	LOC6495965|XP_001959945.1|DANA	LOC120418692|XP_039437093.1|CPIP
OG0001799	LOC6504385|XP_032308250.1|DANA	LOC120415295|XP_039432701.1|CPIP
OG0001800	LOC6496852|XP_001963274.2|DANA	LOC120413669|XP_039430529.1|CPIP
OG0001801	LOC6507756|XP_001956284.3|DANA	LOC120426324|XP_039447018.1|CPIP
OG0001802	LOC6500958|XP_001954245.1|DANA	LOC120417646|XP_039435698.1|CPIP
OG0001803	LOC6499968|XP_001953531.2|DANA	LOC120432192|XP_039453269.1|CPIP
OG0001804	LOC6494512|XP_001965916.2|DANA	LOC120419224|XP_039437816.1|CPIP
OG0001805	LOC6506204|XP_001958349.1|DANA	LOC120420953|XP_039440022.1|CPIP
OG0001806	LOC6503400|XP_014759139.1|DANA	LOC120413925|XP_039430841.1|CPIP
OG0001808	LOC6499437|XP_014766067.1|DANA	LOC120413020|XP_039429619.1|CPIP
OG0001809	LOC6499459|XP_001954598.2|DANA	LOC120424387|XP_039444421.1|CPIP
OG0001810	LOC6500809|XP_001953956.2|DANA	LOC120416840|XP_039434663.1|CPIP, LOC120421221|XP_039440360.1|CPIP
OG0001811	LOC6496493|XP_001961012.3|DANA	LOC120422717|XP_039442178.1|CPIP
OG0001812	LOC6503193|XP_001963617.2|DANA	LOC120422747|XP_039442224.1|CPIP, LOC120418264|XP_039436515.1|CPIP
OG0001813	LOC6499350|XP_032305766.1|DANA	LOC120419408|XP_039438016.1|CPIP
OG0001814	LOC6500956|XP_001954240.1|DANA	LOC120429061|XP_039450138.1|CPIP
OG0001815	LOC6499133|XP_001955235.1|DANA	LOC120431023|XP_039452112.1|CPIP
OG0001816	LOC6496539|XP_001961102.1|DANA	LOC120423156|XP_039442769.1|CPIP
OG0001817	LOC6495984|XP_014763574.1|DANA	LOC120421367|XP_039440490.1|CPIP
OG0001818	LOC6503113|XP_001963447.2|DANA	LOC120416654|XP_039434399.1|CPIP, LOC120416656|XP_039434400.1|CPIP
OG0001819	LOC6496087|XP_001960194.2|DANA	LOC120424753|XP_039444880.1|CPIP, LOC120414223|XP_039431267.1|CPIP
OG0001821	LOC6494777|XP_001959691.1|DANA	LOC120415251|XP_039432651.1|CPIP
OG0001822	LOC6496389|XP_001960804.1|DANA	LOC120426052|XP_039446668.1|CPIP
OG0001823	LOC6507202|XP_001956494.1|DANA	LOC120415280|XP_039432684.1|CPIP, LOC120415308|XP_039432720.1|CPIP
OG0001824	LOC6496835|XP_001963310.1|DANA	LOC120425104|XP_039445436.1|CPIP, LOC120425222|XP_039445590.1|CPIP
OG0001825	LOC6496019|XP_032306172.1|DANA	LOC120418446|XP_039436787.1|CPIP
OG0001826	LOC6496614|XP_001961263.1|DANA, LOC6497625|XP_001961680.1|DANA, LOC6504083|XP_001964142.1|DANA	LOC120414889|XP_039432146.1|CPIP
OG0001827	LOC6494297|XP_001960581.1|DANA	LOC120427761|XP_039448605.1|CPIP, LOC120427760|XP_039448604.1|CPIP
OG0001828	LOC6505186|XP_001965501.2|DANA	LOC120427284|XP_039448066.1|CPIP, LOC120415447|XP_039432929.1|CPIP
OG0001829	LOC6495495|XP_001958971.1|DANA	LOC120412766|XP_039429291.1|CPIP
OG0001830	LOC6494169|XP_001960833.1|DANA	LOC120429987|XP_039451014.1|CPIP
OG0001831	LOC6507210|XP_001956470.2|DANA	LOC120425250|XP_039445630.1|CPIP, LOC120425252|XP_039445632.1|CPIP
OG0001832	LOC6503081|XP_001963397.1|DANA	LOC120415194|XP_039432585.1|CPIP
OG0001833	LOC6495723|XP_014763467.2|DANA	LOC120415845|XP_039433414.1|CPIP
OG0001834	LOC6499691|XP_001954133.1|DANA	LOC120427429|XP_039448220.1|CPIP, LOC120426063|XP_039446683.1|CPIP
OG0001848	LOC26514684|XP_032309153.1|DANA	LOC120415033|XP_039432335.1|CPIP
OG0001849	LOC6499812|XP_001953861.2|DANA	LOC120415057|XP_039432376.1|CPIP
OG0001850	LOC6502768|XP_001966880.2|DANA	LOC120413283|XP_039429951.1|CPIP
OG0001851	LOC6501786|XP_032311739.1|DANA	LOC120413275|XP_039429938.1|CPIP
OG0001853	LOC6499238|XP_032307961.1|DANA	LOC120413290|XP_039429965.1|CPIP
OG0001854	LOC6503919|XP_001963842.1|DANA	LOC120417681|XP_039435750.1|CPIP, LOC120432279|XP_039453399.1|CPIP
OG0001855	LOC6494271|XP_001960622.1|DANA	LOC120431217|XP_039452295.1|CPIP, LOC120430280|XP_039451306.1|CPIP
OG0001856	LOC6501884|XP_001966736.1|DANA	LOC120432215|XP_039453313.1|CPIP
OG0001857	LOC6501972|XP_001966793.1|DANA	LOC120427567|XP_039448403.1|CPIP, LOC120430610|XP_039451949.1|CPIP
OG0001858	LOC6505063|XP_001965531.1|DANA	LOC120432212|XP_039453305.1|CPIP
OG0001859	LOC6503623|XP_001964043.1|DANA	LOC120416215|XP_039433880.1|CPIP
OG0001860	LOC6507843|XP_014765488.1|DANA	LOC120432252|XP_039453361.1|CPIP, LOC120422822|XP_039442291.1|CPIP
OG0001861	LOC6501337|XP_001955018.1|DANA	LOC120414178|XP_039431186.1|CPIP
OG0001862	LOC6504383|XP_001967076.1|DANA	LOC120424282|XP_039444287.1|CPIP, LOC120424297|XP_039444314.1|CPIP
OG0001863	LOC6505009|XP_001965638.1|DANA	LOC120424288|XP_039444295.1|CPIP
OG0001864	LOC6499683|XP_014766186.1|DANA	LOC120417696|XP_039435771.1|CPIP
OG0001865	LOC6504425|XP_032308114.1|DANA	LOC120432161|XP_039453263.1|CPIP
OG0001866	LOC6500365|XP_032305411.1|DANA	LOC120424588|XP_039444715.1|CPIP
OG0001867	LOC6493408|XP_032310305.1|DANA	LOC120424690|XP_039444799.1|CPIP, LOC120413652|XP_039430503.1|CPIP
OG0001868	LOC6497143|XP_001962671.2|DANA	LOC120424695|XP_039444808.1|CPIP
OG0001869	LOC6500775|XP_014766708.1|DANA	LOC120425313|XP_039445713.1|CPIP
OG0001870	LOC6504747|XP_001966286.1|DANA	LOC120424530|XP_039444625.1|CPIP
OG0001871	LOC6504733|XP_001966303.1|DANA	LOC120432495|XP_039453645.1|CPIP
OG0001872	LOC6505981|XP_001964717.1|DANA, LOC26515565|XP_032305363.1|DANA, LOC116654491|XP_032305362.1|DANA	LOC120416400|XP_039434080.1|CPIP
OG0001873	LOC6500472|XP_001953287.1|DANA	LOC120415625|XP_039433159.1|CPIP
OG0001874	LOC6499218|XP_001955081.1|DANA	LOC120416923|XP_039434763.1|CPIP
OG0001875	LOC6505950|XP_014760855.2|DANA	LOC120418476|XP_039436877.1|CPIP, LOC120423876|XP_039443758.1|CPIP
OG0001876	LOC6498705|XP_014759404.1|DANA	LOC120418093|XP_039436295.1|CPIP, LOC120419900|XP_039438702.1|CPIP
OG0001877	LOC6505108|XP_001965443.1|DANA	LOC120418096|XP_039436298.1|CPIP, LOC120419899|XP_039438701.1|CPIP
OG0001878	LOC6500383|XP_001953096.1|DANA	LOC120426437|XP_039447133.1|CPIP
OG0001879	LOC6500665|XP_001953681.2|DANA	LOC120427444|XP_039448246.1|CPIP
OG0001880	LOC6501367|XP_001955087.1|DANA	LOC120417856|XP_039436010.1|CPIP
OG0001881	LOC6499211|XP_032305788.1|DANA	LOC120417206|XP_039435105.1|CPIP
OG0001882	LOC6505921|XP_001964622.3|DANA	LOC120417207|XP_039435107.1|CPIP
OG0001883	LOC6500812|XP_014766742.1|DANA	LOC120429671|XP_039450634.1|CPIP, LOC120424512|XP_039444600.1|CPIP
OG0001884	LOC6499801|XP_001953882.1|DANA	LOC120427183|XP_039447981.1|CPIP
OG0001886	LOC6500550|XP_001953437.1|DANA	LOC120426734|XP_039447440.1|CPIP
OG0001887	LOC6496231|XP_001960503.1|DANA	LOC120421810|XP_039441022.1|CPIP, LOC120420156|XP_039439056.1|CPIP
OG0001888	LOC6498863|XP_001955782.1|DANA	LOC120421794|XP_039440999.1|CPIP
OG0001889	LOC6501952|XP_001966754.1|DANA	LOC120421817|XP_039441029.1|CPIP
OG0001890	LOC6506770|XP_001957272.1|DANA	LOC120421819|XP_039441031.1|CPIP
OG0001891	LOC6505856|XP_014760817.1|DANA	LOC120421797|XP_039441002.1|CPIP
OG0001892	LOC6503268|XP_001965846.1|DANA	LOC120415681|XP_039433204.1|CPIP
OG0001893	LOC6499075|XP_001955359.1|DANA	LOC120425738|XP_039446277.1|CPIP
OG0001894	LOC6494099|XP_001960978.1|DANA	LOC120425748|XP_039446287.1|CPIP
OG0001895	LOC6505328|XP_032308019.1|DANA	LOC120418343|XP_039436626.1|CPIP
OG0001896	LOC26514303|XP_032311468.1|DANA	LOC120415694|XP_039433223.1|CPIP
OG0001897	LOC6500913|XP_014766791.1|DANA	LOC120427898|XP_039448767.1|CPIP
OG0001898	LOC6504920|XP_001966593.2|DANA	LOC120416658|XP_039434404.1|CPIP
OG0001899	LOC6505665|XP_032305530.1|DANA, LOC116654512|XP_032305533.1|DANA	LOC120428908|XP_039449983.1|CPIP
OG0001900	LOC6493590|XP_001958054.1|DANA	LOC120416618|XP_039434352.1|CPIP
OG0001901	LOC6498253|XP_032307463.1|DANA	LOC120426679|XP_039447386.1|CPIP
OG0001902	LOC26515191|XP_032309853.1|DANA	LOC120431651|XP_039452692.1|CPIP
OG0001903	LOC6500984|XP_001954301.1|DANA	LOC120430274|XP_039451297.1|CPIP
OG0001904	LOC6498935|XP_001955648.1|DANA	LOC120432505|XP_039453659.1|CPIP, LOC120415965|XP_039433543.1|CPIP, LOC120431715|XP_039452771.1|CPIP
OG0001906	LOC6500778|XP_032305654.1|DANA	LOC120429813|XP_039450797.1|CPIP
OG0001907	LOC6501798|XP_001967178.1|DANA	LOC120421012|XP_039440065.1|CPIP
OG0001908	LOC6499096|XP_001955310.2|DANA	LOC120423816|XP_039443671.1|CPIP
OG0001909	LOC6501891|XP_001966721.1|DANA	LOC120417097|XP_039435009.1|CPIP
OG0001910	LOC6500636|XP_032307457.1|DANA	LOC120420775|XP_039439820.1|CPIP, LOC120420773|XP_039439816.1|CPIP
OG0001911	LOC6499845|XP_032306349.1|DANA	LOC120428292|XP_039449219.1|CPIP, LOC120423330|XP_039443025.1|CPIP
OG0001912	LOC6495473|XP_001958923.1|DANA, LOC26515159|XP_014767399.1|DANA	LOC120423593|XP_039443389.1|CPIP
OG0001913	LOC6496903|XP_001963176.1|DANA	LOC120423525|XP_039443306.1|CPIP, LOC120423522|XP_039443304.1|CPIP, LOC120423523|XP_039443305.1|CPIP, LOC120423565|XP_039443350.1|CPIP, LOC120423584|XP_039443378.1|CPIP
OG0001914	LOC6498915|XP_032312153.1|DANA	LOC120428358|XP_039449297.1|CPIP, LOC120432115|XP_039453184.1|CPIP, LOC120423554|XP_039443332.1|CPIP
OG0001915	LOC6507485|XP_001955908.1|DANA	LOC120428071|XP_039448978.1|CPIP
OG0001916	LOC6493993|XP_032306130.1|DANA	LOC120428687|XP_039449691.1|CPIP
OG0001917	LOC6506788|XP_001957239.1|DANA	LOC120423008|XP_039442572.1|CPIP
OG0001918	LOC6507368|XP_001956154.2|DANA	LOC120421757|XP_039440964.1|CPIP, LOC120413534|XP_039430343.1|CPIP, LOC120418882|XP_039437350.1|CPIP
OG0001919	LOC6494006|XP_001961158.1|DANA	LOC120424196|XP_039444189.1|CPIP
OG0001920	LOC6507678|XP_001956130.1|DANA	LOC120429774|XP_039450765.1|CPIP
OG0001921	LOC6494046|XP_001961086.1|DANA	LOC120417829|XP_039435979.1|CPIP
OG0001922	LOC6496391|XP_001960808.1|DANA	LOC120419738|XP_039438474.1|CPIP, LOC120426631|XP_039447357.1|CPIP
OG0001924	LOC6498492|XP_001965883.2|DANA	LOC120417414|XP_039435391.1|CPIP
OG0001925	LOC6493343|XP_001957559.1|DANA	LOC120426340|XP_039447039.1|CPIP
OG0001926	LOC6507025|XP_032310099.1|DANA	LOC120424376|XP_039444407.1|CPIP
OG0001927	LOC6494920|XP_001959420.1|DANA	LOC120422853|XP_039442336.1|CPIP
OG0001928	LOC6493468|XP_014764399.1|DANA	LOC120422882|XP_039442376.1|CPIP
OG0001929	LOC6493466|XP_032310108.1|DANA	LOC120425920|XP_039446477.1|CPIP
OG0001930	LOC116654683|XP_032306086.1|DANA, LOC6495788|XP_001959582.2|DANA	LOC120424411|XP_039444453.1|CPIP, LOC120426050|XP_039446672.1|CPIP
OG0001932	LOC6493421|XP_032310163.1|DANA	LOC120420572|XP_039439584.1|CPIP
OG0001933	LOC6495977|XP_001959961.1|DANA	LOC120429654|XP_039450614.1|CPIP
OG0001934	LOC6506470|XP_001957811.3|DANA	LOC120415740|XP_039433276.1|CPIP
OG0001935	LOC6506798|XP_001957220.1|DANA	LOC120424879|XP_039445074.1|CPIP
OG0001937	LOC6495470|XP_032306133.1|DANA	LOC120429902|XP_039450933.1|CPIP
OG0001938	LOC6495268|XP_001958733.1|DANA	LOC120430101|XP_039451124.1|CPIP
OG0001939	LOC6495581|XP_001959138.1|DANA	LOC120430953|XP_039452015.1|CPIP
OG0001940	LOC6494558|XP_032306917.1|DANA	LOC120421328|XP_039440429.1|CPIP
OG0001941	LOC6507676|XP_014765402.1|DANA	LOC120412386|XP_039428757.1|CPIP
OG0001942	LOC6494626|XP_032306812.1|DANA	LOC120428746|XP_039449758.1|CPIP, LOC120428752|XP_039449767.1|CPIP
OG0001943	LOC6493184|XP_001957217.1|DANA	LOC120424832|XP_039444994.1|CPIP
OG0001944	LOC6507488|XP_001955902.1|DANA	LOC120413226|XP_039429886.1|CPIP
OG0001945	LOC6494097|XP_032306517.1|DANA	LOC120418475|XP_039436842.1|CPIP
OG0001946	LOC6496025|XP_001960070.1|DANA	LOC120420123|XP_039439006.1|CPIP
OG0001947	LOC6494536|XP_001960151.1|DANA	LOC120420099|XP_039438979.1|CPIP
OG0001948	LOC6505095|XP_001965475.2|DANA	LOC120418050|XP_039436235.1|CPIP
OG0001949	LOC6506936|XP_001956954.2|DANA	LOC120420658|XP_039439682.1|CPIP
OG0001950	LOC6500042|XP_032305691.1|DANA	LOC120412372|XP_039428727.1|CPIP
OG0001951	LOC6494193|XP_032307115.1|DANA	LOC120420155|XP_039439052.1|CPIP
OG0001952	LOC6496760|XP_001965809.2|DANA	LOC120412591|XP_039429053.1|CPIP
OG0001953	LOC6495171|XP_001958914.1|DANA	LOC120412898|XP_039429463.1|CPIP
OG0001954	LOC6494995|XP_001959255.1|DANA	LOC120428611|XP_039449573.1|CPIP, LOC120423613|XP_039443414.1|CPIP
OG0001955	LOC6496603|XP_001961234.1|DANA	LOC120423605|XP_039443404.1|CPIP
OG0001956	LOC6506444|XP_001957869.3|DANA	LOC120416540|XP_039434197.1|CPIP
OG0001957	LOC6495655|XP_001959316.1|DANA	LOC120420076|XP_039438934.1|CPIP
OG0001958	LOC6495789|XP_032306308.1|DANA	LOC120418538|XP_039436908.1|CPIP
OG0001959	LOC6506779|XP_001957258.1|DANA	LOC120414470|XP_039431599.1|CPIP, LOC120424420|XP_039444468.1|CPIP
OG0001960	LOC6507399|XP_001956088.1|DANA	LOC120417614|XP_039435662.1|CPIP
OG0001961	LOC6496185|XP_001960400.2|DANA	LOC120423619|XP_039443423.1|CPIP, LOC120416060|XP_039433658.1|CPIP
OG0001962	LOC6496475|XP_032306524.1|DANA	LOC120419531|XP_039438176.1|CPIP
OG0001963	LOC6506568|XP_001957628.1|DANA	LOC120424975|XP_039445265.1|CPIP
OG0001964	LOC6493507|XP_001957892.1|DANA	LOC120414117|XP_039431078.1|CPIP
OG0001966	LOC6499206|XP_001955113.3|DANA	LOC120415806|XP_039433364.1|CPIP, LOC120426922|XP_039447663.1|CPIP
OG0001967	LOC6495648|XP_001959296.1|DANA	LOC120427113|XP_039447896.1|CPIP
OG0001968	LOC6506459|XP_001957836.1|DANA	LOC120427121|XP_039447908.1|CPIP
OG0001969	LOC6496507|XP_001961042.1|DANA	LOC120422690|XP_039442133.1|CPIP
OG0001970	LOC6496376|XP_001960788.1|DANA	LOC120417470|XP_039435472.1|CPIP
OG0001971	LOC6494607|XP_001960020.1|DANA	LOC120421398|XP_039440533.1|CPIP
OG0001972	LOC6502662|XP_001953810.1|DANA	LOC120421381|XP_039440511.1|CPIP
OG0001973	LOC6495901|XP_001959820.2|DANA	LOC120429163|XP_039450304.1|CPIP, LOC120430005|XP_039451041.1|CPIP
OG0001974	LOC6495929|XP_032306339.1|DANA	LOC120414968|XP_039432233.1|CPIP
OG0001975	LOC6507536|XP_001955877.1|DANA	LOC120416053|XP_039433649.1|CPIP
OG0001976	LOC6495148|XP_001958958.1|DANA	LOC120416313|XP_039433969.1|CPIP
OG0001977	LOC6498248|XP_001962393.1|DANA	LOC120426547|XP_039447251.1|CPIP, LOC120426354|XP_039447050.1|CPIP
OG0001978	LOC6506124|XP_032309509.1|DANA, LOC6497629|XP_001961675.1|DANA	LOC120427687|XP_039448510.1|CPIP
OG0001979	LOC6505489|XP_032311142.1|DANA	LOC120419194|XP_039437800.1|CPIP
OG0001980	LOC6497864|XP_001961593.1|DANA	LOC120415672|XP_039433189.1|CPIP
OG0001982	LOC26515266|XP_014760161.1|DANA	LOC120419190|XP_039437794.1|CPIP
OG0001983	LOC6502733|XP_032309795.1|DANA	LOC120414077|XP_039431032.1|CPIP
OG0001984	LOC6498213|XP_001962313.1|DANA	LOC120414105|XP_039431063.1|CPIP
OG0001985	LOC6505437|XP_001964904.1|DANA	LOC120422386|XP_039441733.1|CPIP
OG0001986	LOC6497308|XP_001962350.1|DANA	LOC120430331|XP_039451366.1|CPIP
OG0001987	LOC6503656|XP_032308432.1|DANA	LOC120431823|XP_039452877.1|CPIP, LOC120414770|XP_039432018.1|CPIP
OG0001988	LOC6494646|XP_001959942.1|DANA	LOC120418943|XP_039437415.1|CPIP
OG0001989	LOC6497848|XP_001961563.1|DANA	LOC120414766|XP_039432013.1|CPIP
OG0001990	LOC6498599|XP_032311203.1|DANA	LOC120427784|XP_039448642.1|CPIP
OG0001991	LOC26514679|XP_032309416.1|DANA	LOC120414782|XP_039432028.1|CPIP
OG0001992	LOC6497017|XP_032311119.1|DANA	LOC120429761|XP_039450747.1|CPIP, LOC120430622|XP_039451649.1|CPIP, LOC120431608|XP_039452646.1|CPIP
OG0001993	LOC6498511|XP_001962973.1|DANA	LOC120415092|XP_039432445.1|CPIP, LOC120420891|XP_039439947.1|CPIP
OG0001994	LOC6501109|XP_014766894.1|DANA	LOC120420105|XP_039438990.1|CPIP
OG0001995	LOC6498436|XP_001962816.1|DANA	LOC120423638|XP_039443446.1|CPIP
OG0001997	LOC6494437|XP_001960315.1|DANA	LOC120423172|XP_039442793.1|CPIP
OG0001998	LOC6497309|XP_001962348.1|DANA	LOC120422362|XP_039441707.1|CPIP
OG0001999	LOC6494992|XP_032307087.1|DANA	LOC120424412|XP_039444454.1|CPIP
OG0002000	LOC6497459|XP_001962032.2|DANA	LOC120416072|XP_039433675.1|CPIP
OG0002001	LOC6497897|XP_001961669.3|DANA	LOC120430517|XP_039451561.1|CPIP
OG0002002	LOC6495712|XP_001959418.1|DANA	LOC120419842|XP_039438611.1|CPIP
OG0002003	LOC6498361|XP_001962622.1|DANA	LOC120412842|XP_039429398.1|CPIP
OG0002004	LOC6497911|XP_014761883.1|DANA	LOC120413518|XP_039430313.1|CPIP
OG0002005	LOC6497758|XP_032307328.1|DANA	LOC120416771|XP_039434563.1|CPIP
OG0002006	LOC6498667|XP_014762234.1|DANA	LOC120423468|XP_039443227.1|CPIP
OG0002008	LOC6501774|XP_032308049.1|DANA	LOC120415534|XP_039433027.1|CPIP
OG0002009	LOC6496388|XP_001960803.1|DANA	LOC120415589|XP_039433114.1|CPIP
OG0002010	LOC6497174|XP_001962624.1|DANA	LOC120421995|XP_039441241.1|CPIP
OG0002011	LOC6498262|XP_001962421.1|DANA	LOC120421156|XP_039440280.1|CPIP
OG0002012	LOC6497209|XP_001962553.2|DANA	LOC120417784|XP_039435880.1|CPIP, LOC120412482|XP_039428907.1|CPIP
OG0002013	LOC6498025|XP_014761934.1|DANA	LOC120415549|XP_039433053.1|CPIP
OG0002014	LOC6495826|XP_001959665.1|DANA	LOC120418715|XP_039437122.1|CPIP
OG0002015	LOC6498135|XP_001962151.1|DANA	LOC120419666|XP_039438364.1|CPIP
OG0002016	LOC6495076|XP_001959120.2|DANA	LOC120432429|XP_039453578.1|CPIP
OG0002017	LOC6496893|XP_001963196.1|DANA	LOC120432426|XP_039453565.1|CPIP
OG0002018	LOC6496993|XP_001962972.1|DANA	LOC120423389|XP_039443107.1|CPIP
OG0002019	LOC6498481|XP_032311103.1|DANA	LOC120412660|XP_039429156.1|CPIP
OG0002020	LOC6497063|XP_001962823.1|DANA, LOC6503474|XP_001964313.1|DANA	LOC120423990|XP_039443921.1|CPIP
OG0002021	LOC6495647|XP_001959295.1|DANA	LOC120430575|XP_039451616.1|CPIP, LOC120423971|XP_039443897.1|CPIP
OG0002022	LOC6503752|XP_014760394.1|DANA	LOC120414027|XP_039430984.1|CPIP
OG0002023	LOC26515156|XP_032305400.1|DANA, LOC6507958|XP_001954064.1|DANA	LOC120412669|XP_039429165.1|CPIP
OG0002024	LOC6498568|XP_001963084.1|DANA	LOC120419040|XP_039437540.1|CPIP
OG0002025	LOC6497935|XP_001961749.2|DANA	LOC120429066|XP_039450141.1|CPIP
OG0002026	LOC6506135|XP_001958481.1|DANA	LOC120423191|XP_039442824.1|CPIP
OG0002027	LOC6495860|XP_001959724.2|DANA	LOC120420630|XP_039439637.1|CPIP
OG0002028	LOC6495360|XP_014763275.1|DANA	LOC120420635|XP_039439645.1|CPIP
OG0002029	LOC6493321|XP_001957522.1|DANA	LOC120416142|XP_039433752.1|CPIP
OG0002030	LOC6494102|XP_001960972.1|DANA	LOC120416219|XP_039433852.1|CPIP
OG0002031	LOC6494016|XP_014762540.1|DANA	LOC120415104|XP_039432456.1|CPIP
OG0002032	LOC6505713|XP_001964407.1|DANA	LOC120419421|XP_039438033.1|CPIP
OG0002033	LOC6502919|XP_032311836.1|DANA	LOC120418864|XP_039437335.1|CPIP
OG0002034	LOC6504843|XP_001966435.2|DANA	LOC120419537|XP_039438184.1|CPIP
OG0002035	LOC6499127|XP_001955248.2|DANA	LOC120418911|XP_039437376.1|CPIP
OG0002036	LOC6500631|XP_032305348.1|DANA	LOC120413806|XP_039430699.1|CPIP
OG0002037	LOC6502820|XP_001956140.1|DANA	LOC120426341|XP_039447036.1|CPIP
OG0002038	LOC6500121|XP_001953181.1|DANA	LOC120419712|XP_039438434.1|CPIP
OG0002039	LOC6505746|XP_001964344.1|DANA	LOC120432387|XP_039453516.1|CPIP
OG0002040	LOC26514305|XP_032305719.1|DANA	LOC120424088|XP_039444039.1|CPIP
OG0002041	LOC6495224|XP_014763193.1|DANA	LOC120417055|XP_039434941.1|CPIP
OG0002042	LOC6500096|XP_001953235.2|DANA	LOC120421220|XP_039440356.1|CPIP
OG0002043	LOC6501422|XP_001955221.1|DANA	LOC120428111|XP_039449028.1|CPIP
OG0002044	LOC6498938|XP_014765832.1|DANA	LOC120413784|XP_039430662.1|CPIP
OG0002045	LOC6501434|XP_001955243.3|DANA	LOC120422098|XP_039441384.1|CPIP
OG0002046	LOC6503616|XP_001964061.1|DANA	LOC120413953|XP_039430890.1|CPIP
OG0002047	LOC6502907|XP_014761255.1|DANA	LOC120413023|XP_039429625.1|CPIP
OG0002048	LOC6500513|XP_001953371.2|DANA	LOC120413048|XP_039429675.1|CPIP
OG0002049	LOC6499438|XP_032305665.1|DANA	LOC120413018|XP_039429611.1|CPIP
OG0002050	LOC6501315|XP_032307349.1|DANA	LOC120430297|XP_039451330.1|CPIP
OG0002053	LOC6499631|XP_032312359.1|DANA	LOC120421361|XP_039440494.1|CPIP
OG0002054	LOC6500358|XP_001953046.1|DANA, LOC6500360|XP_001953050.1|DANA, LOC116655261|XP_032308699.1|DANA, LOC116655304|XP_032308841.1|DANA, LOC116655265|XP_032308728.1|DANA, LOC6500359|XP_001953048.1|DANA	LOC120422046|XP_039441311.1|CPIP
OG0002055	LOC6505834|XP_001964453.1|DANA	LOC120432078|XP_039453145.1|CPIP
OG0002056	LOC6506644|XP_001957482.1|DANA	LOC120422725|XP_039442187.1|CPIP
OG0002057	LOC6498603|XP_001963141.1|DANA	LOC120422721|XP_039442185.1|CPIP
OG0002058	LOC6493437|XP_001957748.1|DANA	LOC120422720|XP_039442184.1|CPIP
OG0002059	LOC6499727|XP_001954053.1|DANA	LOC120422719|XP_039442181.1|CPIP
OG0002060	LOC6496357|XP_001960758.1|DANA	LOC120418253|XP_039436500.1|CPIP, LOC120422711|XP_039442170.1|CPIP
OG0002061	LOC6494231|XP_032307187.1|DANA	LOC120422716|XP_039442176.1|CPIP, LOC120418238|XP_039436475.1|CPIP
OG0002064	LOC6502890|XP_001963654.1|DANA	LOC120427824|XP_039448680.1|CPIP
OG0002066	LOC6501619|XP_032312100.1|DANA	LOC120424112|XP_039444072.1|CPIP
OG0002067	LOC6495305|XP_001958660.1|DANA	LOC120424122|XP_039444097.1|CPIP
OG0002068	LOC6495784|XP_001959574.1|DANA	LOC120429305|XP_039450465.1|CPIP
OG0002069	LOC26514887|XP_014760159.1|DANA	LOC120416648|XP_039434392.1|CPIP
OG0002070	LOC6498972|XP_001955581.1|DANA	LOC120416657|XP_039434401.1|CPIP
OG0002071	LOC6501448|XP_001955276.1|DANA	LOC120414983|XP_039432267.1|CPIP
OG0002072	LOC6494148|XP_001960867.1|DANA	LOC120419937|XP_039438734.1|CPIP
OG0002073	LOC6493611|XP_032310074.1|DANA	LOC120414173|XP_039431171.1|CPIP
OG0002074	LOC6495165|XP_001958927.2|DANA	LOC120430722|XP_039451768.1|CPIP
OG0002075	LOC26513924|XP_014760630.1|DANA	LOC120429589|XP_039450560.1|CPIP, LOC120424597|XP_039444695.1|CPIP
OG0002076	LOC6496395|XP_032305923.1|DANA	LOC120421685|XP_039440849.1|CPIP
OG0002077	LOC6507071|XP_032309528.1|DANA	LOC120421681|XP_039440845.1|CPIP
OG0002079	LOC6507934|XP_001956640.1|DANA	LOC120425808|XP_039446361.1|CPIP
OG0002080	LOC6494302|XP_032306611.1|DANA	LOC120425571|XP_039446070.1|CPIP
OG0002081	LOC116654686|XP_032306102.1|DANA, LOC6494247|XP_032306101.1|DANA	LOC120415329|XP_039432751.1|CPIP, LOC120415281|XP_039432685.1|CPIP
OG0002082	LOC6496289|XP_032306991.1|DANA	LOC120416205|XP_039433827.1|CPIP
OG0002083	LOC6504625|XP_032309251.1|DANA	LOC120421448|XP_039440588.1|CPIP
OG0002084	LOC6494498|XP_001960216.2|DANA	LOC120431265|XP_039452332.1|CPIP
OG0002085	LOC6494748|XP_032306356.1|DANA	LOC120417969|XP_039436139.1|CPIP
OG0002086	LOC6496098|XP_001960221.1|DANA	LOC120431538|XP_039452581.1|CPIP
OG0002087	LOC6493708|XP_032309659.1|DANA	LOC120412754|XP_039429281.1|CPIP, LOC120424471|XP_039444539.1|CPIP
OG0002088	LOC6493222|XP_014764258.1|DANA	LOC120415883|XP_039433454.1|CPIP
OG0002089	LOC6495229|XP_001958801.1|DANA	LOC120415358|XP_039432781.1|CPIP
OG0002090	LOC6506664|XP_001957452.1|DANA	LOC120415870|XP_039433440.1|CPIP
OG0002091	LOC6494250|XP_001960662.2|DANA	LOC120416853|XP_039434677.1|CPIP
OG0002092	LOC6493085|XP_032310312.1|DANA	LOC120416818|XP_039434633.1|CPIP, LOC120412524|XP_039428953.1|CPIP
OG0002093	LOC6494454|XP_001960295.1|DANA	LOC120413492|XP_039430283.1|CPIP, LOC120421859|XP_039441091.1|CPIP
