Orthogroup	DELE.longest_only	AAEG.longest_only
OG0000549	LOC108143576|XP_017123576.1|DELE	LOC5577716|XP_001663497.1|AAEG, LOC5577704|XP_021698193.1|AAEG, LOC5577714|XP_001663495.1|AAEG, LOC5573687|XP_001661010.2|AAEG, LOC5573688|XP_001661011.1|AAEG, LOC5577711|XP_001663492.1|AAEG, LOC5577713|XP_001663494.1|AAEG, LOC5577709|XP_001663490.2|AAEG, LOC5577717|XP_001663499.2|AAEG
OG0000550	LOC108146043|XP_017127328.1|DELE, LOC108145989|XP_017127219.1|DELE	LOC5578287|XP_001663815.1|AAEG
OG0000551	LOC108141259|XP_017119999.1|DELE	LOC5569002|XP_021706828.1|AAEG
OG0000552	LOC108148678|XP_017131306.1|DELE, LOC108149001|XP_017131834.1|DELE	LOC110676642|XP_021701014.1|AAEG
OG0000553	LOC108141907|XP_017121009.1|DELE	LOC5573859|XP_001654890.1|AAEG, LOC5573858|XP_001654889.1|AAEG, LOC5573855|XP_001654886.2|AAEG
OG0000554	LOC108147176|XP_017129004.1|DELE, LOC108147177|XP_017129005.1|DELE	LOC5573301|XP_021708251.1|AAEG
OG0000555	LOC108145729|XP_017126781.1|DELE, LOC108146460|XP_017127961.1|DELE	LOC5575012|XP_021710949.1|AAEG
OG0000556	LOC108137242|XP_017114311.1|DELE, LOC108140740|XP_017119205.1|DELE	LOC110681197|XP_021712666.1|AAEG, LOC5564890|XP_001649215.1|AAEG
OG0000557	LOC108135046|XP_017111074.1|DELE, LOC108135049|XP_017111077.1|DELE	LOC5568513|XP_001652336.1|AAEG
OG0000558	LOC108140413|XP_017118620.1|DELE, LOC108138472|XP_017116170.1|DELE	LOC5575971|XP_001662322.1|AAEG
OG0000559	LOC108140593|XP_017118980.1|DELE, LOC108136020|XP_017112436.1|DELE	LOC110681168|XP_021712631.1|AAEG, LOC5577241|XP_021709285.1|AAEG
OG0000560	LOC108134986|XP_017111006.1|DELE, LOC108149629|XP_017132849.1|DELE, LOC108149628|XP_017132848.1|DELE	LOC5563762|XP_021707462.1|AAEG
OG0000561	LOC108146982|XP_017128728.1|DELE, LOC108146961|XP_017128706.1|DELE	LOC110678585|XP_021707316.1|AAEG
OG0000562	LOC108150259|XP_017133828.1|DELE, LOC108150332|XP_017133943.1|DELE	LOC5569968|XP_021710058.1|AAEG
OG0000566	LOC108135804|XP_017112170.1|DELE, LOC108146214|XP_017127622.1|DELE	LOC5579820|XP_001651051.1|AAEG
OG0000567	LOC108141619|XP_017120577.1|DELE	LOC5570128|XP_001653107.2|AAEG
OG0000567	LOC108141358|XP_017120172.1|DELE	LOC5570126|XP_001653106.2|AAEG
OG0000568	LOC108135908|XP_017112314.1|DELE, LOC108141116|XP_017119821.1|DELE	LOC5577017|XP_001656302.2|AAEG
OG0000569	LOC108139269|XP_017117445.1|DELE	LOC5565055|XP_021705510.1|AAEG
OG0000570	LOC108136985|XP_017113968.1|DELE, LOC108136983|XP_017113967.1|DELE	LOC5576289|XP_001662579.2|AAEG
OG0000571	LOC108148742|XP_017131420.1|DELE, LOC108148681|XP_017131309.1|DELE	LOC5571436|XP_021693888.1|AAEG
OG0000572	LOC108136863|XP_017113792.1|DELE, LOC108136866|XP_017113797.1|DELE	LOC5570663|XP_021695778.1|AAEG
OG0000573	LOC108146302|XP_017127742.1|DELE, LOC108143411|XP_017123291.1|DELE	LOC5574096|XP_021696111.1|AAEG
OG0000574	LOC108146732|XP_017128324.1|DELE, LOC108136828|XP_017113733.1|DELE	LOC5572198|XP_021698798.1|AAEG
OG0000575	LOC108146581|XP_017128092.1|DELE, LOC108146935|XP_017128674.1|DELE	LOC5569243|XP_021699828.1|AAEG
OG0000576	LOC108141226|XP_017119969.1|DELE, LOC108141225|XP_017119967.1|DELE	LOC5568781|XP_021700712.1|AAEG
OG0000577	LOC108138878|XP_017116897.1|DELE	LOC5575668|XP_001662127.2|AAEG
OG0000578	LOC108141940|XP_017121069.1|DELE, LOC108135381|XP_017111560.1|DELE	LOC5564323|XP_021710053.1|AAEG
OG0000579	LOC108139301|XP_017117488.1|DELE, LOC108146978|XP_017128723.1|DELE	LOC5577308|XP_021707576.1|AAEG, LOC5579901|XP_001657881.1|AAEG
OG0000580	LOC108140387|XP_017118583.1|DELE, LOC108140386|XP_017118580.1|DELE	LOC23687878|XP_011493518.1|AAEG
OG0000581	LOC108140600|XP_017118996.1|DELE	LOC5574667|XP_021708899.1|AAEG
OG0000582	LOC108139842|XP_017118054.1|DELE, LOC108142515|XP_017121924.1|DELE, LOC108147053|XP_017128826.1|DELE	LOC5575223|XP_021710179.1|AAEG
OG0000583	LOC108143424|XP_017123317.1|DELE, LOC108143434|XP_017123338.1|DELE	LOC5578117|XP_001656815.1|AAEG
OG0000589	LOC108142343|XP_017121590.1|DELE	LOC5563768|XP_021695117.1|AAEG
OG0000590	LOC108137429|XP_017114582.1|DELE	LOC110675318|XP_021695560.1|AAEG, LOC5574244|XP_001661299.1|AAEG
OG0000592	LOC108149643|XP_017132868.1|DELE, LOC108149710|XP_017132965.1|DELE	LOC5567565|XP_001657556.2|AAEG
OG0000593	LOC108148558|XP_017131095.1|DELE, LOC108148120|XP_017130458.1|DELE	LOC5569992|XP_001658881.1|AAEG, LOC110678504|XP_021707160.1|AAEG
OG0000594	LOC108148869|XP_017131659.1|DELE, LOC108135041|XP_017111068.1|DELE	LOC5567423|XP_001657403.1|AAEG
OG0000595	LOC108139330|XP_017117530.1|DELE, LOC108148856|XP_017131636.1|DELE	LOC5573372|XP_021712996.1|AAEG
OG0000596	LOC108137343|XP_017114469.1|DELE, LOC108135757|XP_017112096.1|DELE	LOC5569242|XP_021713275.1|AAEG
OG0000597	LOC108142939|XP_017122523.1|DELE, LOC108142940|XP_017122524.1|DELE	LOC5580165|XP_021692926.1|AAEG
OG0000598	LOC108136890|XP_017113836.1|DELE	LOC5564380|XP_001648725.1|AAEG, LOC5564382|XP_001648727.1|AAEG, LOC5564381|XP_001648726.1|AAEG
OG0000599	LOC108146357|XP_017127823.1|DELE, LOC108145616|XP_017126641.1|DELE	LOC5574457|XP_001661473.2|AAEG, LOC5563655|XP_021709330.1|AAEG
OG0000600	LOC108145033|XP_017125705.1|DELE, LOC108145023|XP_017125686.1|DELE	LOC5574458|XP_001661472.1|AAEG
OG0000601	LOC108150725|XP_017134511.1|DELE, LOC108147926|XP_017130198.1|DELE	LOC110676327|XP_021699471.1|AAEG
OG0000602	LOC108149248|XP_017132177.1|DELE, LOC108149565|XP_017132692.1|DELE	LOC5565773|XP_001650121.1|AAEG
OG0000603	LOC108149432|XP_017132494.1|DELE	LOC5569072|XP_021703041.1|AAEG
OG0000604	LOC108147930|XP_017130201.1|DELE, LOC108147931|XP_017130203.1|DELE	LOC5566987|XP_001651390.1|AAEG
OG0000605	LOC108141697|XP_017120669.1|DELE	LOC5568178|XP_021703896.1|AAEG, LOC5568172|XP_001652108.2|AAEG, LOC5568173|XP_001652109.1|AAEG, LOC5568169|XP_021703894.1|AAEG, LOC5568164|XP_001652105.2|AAEG
OG0000606	LOC108137388|XP_017114536.1|DELE	LOC5570005|XP_001658888.1|AAEG
OG0000607	LOC108148402|XP_017130923.1|DELE, LOC108140798|XP_017119285.1|DELE	LOC5570154|XP_001658956.1|AAEG
OG0000608	LOC108147102|XP_017128879.1|DELE, LOC108147211|XP_017129059.1|DELE	LOC5567031|XP_001651423.1|AAEG
OG0000609	LOC108137150|XP_017114205.1|DELE, LOC108147832|XP_017130075.1|DELE	LOC5574870|XP_021709064.1|AAEG
OG0000610	LOC108135667|XP_017111991.1|DELE, LOC108141874|XP_017120964.1|DELE	LOC5579045|XP_011493105.1|AAEG
OG0000611	LOC108145457|XP_017126388.1|DELE, LOC108137450|XP_017114632.1|DELE, LOC108137993|XP_017115457.1|DELE	LOC5572224|XP_021705793.1|AAEG
OG0000614	LOC108144813|XP_017125435.1|DELE	LOC5578387|XP_021694851.1|AAEG
OG0000615	LOC108136391|XP_017112991.1|DELE, LOC108139196|XP_017117325.1|DELE	LOC5569196|XP_021699444.1|AAEG
OG0000616	LOC108136541|XP_017113322.1|DELE, LOC108136542|XP_017113325.1|DELE	LOC5564988|XP_001649322.2|AAEG
OG0000617	LOC108147158|XP_017128969.1|DELE, LOC108134800|XP_017110742.1|DELE	LOC5577523|XP_001656544.2|AAEG, LOC110674002|XP_021711205.1|AAEG
OG0000618	LOC108143233|XP_017123020.1|DELE	LOC5566485|XP_001650875.1|AAEG
OG0000619	LOC108145162|XP_017125877.1|DELE	LOC5566457|XP_001650838.1|AAEG
OG0000620	LOC108147637|XP_017129782.1|DELE, LOC108142470|XP_017121840.1|DELE	LOC5570947|XP_001653412.2|AAEG
OG0000621	LOC108136809|XP_017113699.1|DELE, LOC108137216|XP_017114296.1|DELE	LOC5568436|XP_001652269.1|AAEG
OG0000622	LOC108142781|XP_017122314.1|DELE, LOC108142628|XP_017122108.1|DELE	LOC5569846|XP_021696307.1|AAEG
OG0000623	LOC108146254|XP_017127681.1|DELE, LOC108142529|XP_017121943.1|DELE	LOC5572347|XP_001660306.2|AAEG
OG0000624	LOC108138863|XP_017116881.1|DELE, LOC108138855|XP_017116868.1|DELE	LOC5569174|XP_001658351.2|AAEG
OG0000625	LOC108142590|XP_017122044.1|DELE, LOC108142170|XP_017121344.1|DELE, LOC108147529|XP_017129602.1|DELE	LOC5564078|XP_021698835.1|AAEG
OG0000626	LOC108141295|XP_017120051.1|DELE, LOC108143560|XP_017123557.1|DELE	LOC5569119|XP_001652722.1|AAEG
OG0000627	LOC108135694|XP_017112025.1|DELE, LOC108137214|XP_017114294.1|DELE	LOC5564979|XP_001649333.2|AAEG
OG0000628	LOC108149236|XP_017132161.1|DELE, LOC108141993|XP_017121143.1|DELE	LOC5565869|XP_001650228.1|AAEG
OG0000629	LOC108137038|XP_017114027.1|DELE, LOC108149468|XP_017132568.1|DELE	LOC5580315|XP_001663037.1|AAEG
OG0000630	LOC108138883|XP_017116903.1|DELE, LOC108138932|XP_017116993.1|DELE	LOC5575168|XP_021702281.1|AAEG
OG0000631	LOC108138258|XP_017115891.1|DELE, LOC108138255|XP_017115887.1|DELE	LOC5569442|XP_021702401.1|AAEG
OG0000632	LOC108139081|XP_017117194.1|DELE, LOC108147778|XP_017129997.1|DELE	LOC5573892|XP_021703330.1|AAEG
OG0000634	LOC108143689|XP_017123703.1|DELE	LOC5569647|XP_001652909.2|AAEG
OG0000635	LOC108144972|XP_017125610.1|DELE	LOC5572315|XP_001654005.2|AAEG
OG0000636	LOC108138675|XP_017116508.1|DELE, LOC108138687|XP_017116523.1|DELE	LOC5578295|XP_001656875.1|AAEG
OG0000637	LOC108136359|XP_017112957.1|DELE, LOC108136328|XP_017112919.1|DELE	LOC5564774|XP_021704609.1|AAEG
OG0000638	LOC108143822|XP_017123852.1|DELE	LOC5573827|XP_021706608.1|AAEG
OG0000639	LOC108142361|XP_017121651.1|DELE	LOC5567245|XP_021710885.1|AAEG
OG0000646	LOC108136926|XP_017113889.1|DELE, LOC108148622|XP_017131210.1|DELE	LOC110674862|XP_021695067.1|AAEG
OG0000647	LOC108148375|XP_017130889.1|DELE, LOC108135943|XP_017112383.1|DELE	LOC5579005|XP_021694209.1|AAEG
OG0000648	LOC108136358|XP_017112955.1|DELE	LOC5570655|XP_021706985.1|AAEG
OG0000649	LOC108136519|XP_017113274.1|DELE, LOC108136539|XP_017113319.1|DELE	LOC5571800|XP_001659930.2|AAEG
OG0000650	LOC108136691|XP_017113503.1|DELE	LOC5573407|XP_001654581.2|AAEG
OG0000651	LOC108146688|XP_017128233.1|DELE, LOC108146280|XP_017127709.1|DELE	LOC5565048|XP_001649404.1|AAEG
OG0000652	LOC108149667|XP_017132901.1|DELE, LOC108147623|XP_017129768.1|DELE	LOC5573370|XP_001660865.1|AAEG
OG0000653	LOC108134799|XP_017110741.1|DELE, LOC108141156|XP_017119871.1|DELE	LOC5576350|XP_021693310.1|AAEG, LOC5576348|XP_001656086.1|AAEG, LOC5576346|XP_001656087.2|AAEG
OG0000654	LOC108146776|XP_017128408.1|DELE	LOC5568292|XP_021697103.1|AAEG
OG0000655	LOC108145007|XP_017125660.1|DELE, LOC108147988|XP_017130292.1|DELE	LOC5575242|XP_001655652.1|AAEG
OG0000656	LOC108135123|XP_017111215.1|DELE, LOC108135124|XP_017111218.1|DELE	LOC5574633|XP_001661549.2|AAEG
OG0000657	LOC108145776|XP_017126834.1|DELE, LOC108134718|XP_017110606.1|DELE	LOC5580250|XP_001662649.1|AAEG
OG0000658	LOC108137325|XP_017114445.1|DELE, LOC108135396|XP_017111587.1|DELE	LOC5578313|XP_001656889.1|AAEG
OG0000659	LOC108138926|XP_017116984.1|DELE, LOC108138663|XP_017116493.1|DELE	LOC5576865|XP_001662960.1|AAEG
OG0000660	LOC108138757|XP_017116649.1|DELE	LOC5565850|XP_001650194.1|AAEG
OG0000661	LOC108146819|XP_017128498.1|DELE, LOC108138860|XP_017116873.1|DELE	LOC5567335|XP_001651759.1|AAEG
OG0000662	LOC108146452|XP_017127952.1|DELE, LOC108135752|XP_017112081.1|DELE	LOC5568430|XP_001652258.1|AAEG
OG0000663	LOC108144301|XP_017124483.1|DELE	LOC5568431|XP_001652261.2|AAEG
OG0000664	LOC108137164|XP_017114225.1|DELE	LOC5572517|XP_001660456.1|AAEG
OG0000665	LOC108143881|XP_017123942.1|DELE, LOC108143786|XP_017123800.1|DELE	LOC5575634|XP_001655779.1|AAEG, LOC110681162|XP_021712622.1|AAEG
OG0000666	LOC108143554|XP_017123552.1|DELE, LOC108144347|XP_017124580.1|DELE	LOC5567515|XP_021710706.1|AAEG
OG0000667	LOC108136353|XP_017112951.1|DELE, LOC108140392|XP_017118588.1|DELE	LOC5564165|XP_021705035.1|AAEG
OG0000668	LOC108139193|XP_017117320.1|DELE	LOC5573885|XP_001654923.1|AAEG
OG0000669	LOC108148111|XP_017130444.1|DELE, LOC108148108|XP_017130442.1|DELE	LOC5563963|XP_021710654.1|AAEG
OG0000670	LOC108147667|XP_017129841.1|DELE, LOC108137186|XP_017114258.1|DELE	LOC110680765|XP_021712244.1|AAEG, LOC5572992|XP_001654319.1|AAEG
OG0000671	LOC108148338|XP_017130831.1|DELE, LOC108148908|XP_017131712.1|DELE	LOC5572082|XP_001660161.1|AAEG
OG0000672	LOC108145568|XP_017126565.1|DELE, LOC108134913|XP_017110915.1|DELE	LOC5568965|XP_001652618.1|AAEG
OG0000673	LOC108136216|XP_017112716.1|DELE, LOC108136031|XP_017112452.1|DELE	LOC5564117|XP_001648452.3|AAEG
OG0000677	LOC108142837|XP_017122392.1|DELE, LOC108142774|XP_017122304.1|DELE	LOC110674775|XP_021694756.1|AAEG
OG0000678	LOC108135284|XP_017111458.1|DELE, LOC108149456|XP_017132540.1|DELE	LOC5573033|XP_001654349.2|AAEG
OG0000679	LOC108135445|XP_017111677.1|DELE	LOC5572891|XP_001654245.2|AAEG, LOC5572888|XP_001654244.1|AAEG, LOC5576067|XP_021713213.1|AAEG, LOC5568749|XP_001658126.1|AAEG, LOC5568745|XP_001658124.1|AAEG, LOC5568746|XP_021698051.1|AAEG, LOC5568744|XP_021698049.1|AAEG
OG0000680	LOC108134900|XP_017110894.1|DELE, LOC108134826|XP_017110769.1|DELE	LOC5570450|XP_021696861.1|AAEG
OG0000681	LOC108139320|XP_017117516.1|DELE, LOC108136323|XP_017112912.1|DELE	LOC5571511|XP_021704098.1|AAEG
OG0000683	LOC108136835|XP_017113744.1|DELE	LOC5567780|XP_021712292.1|AAEG, LOC5567781|XP_001657682.1|AAEG, LOC5567779|XP_001657680.2|AAEG, LOC5565951|XP_021693916.1|AAEG
OG0000684	LOC108135044|XP_017111070.1|DELE, LOC108147270|XP_017129163.1|DELE	LOC110681498|XP_021713031.1|AAEG, LOC5572598|XP_021711785.1|AAEG
OG0000685	LOC108140855|XP_017119329.1|DELE, LOC108141095|XP_017119786.1|DELE	LOC5565927|XP_001650303.1|AAEG
OG0000686	LOC108145126|XP_017125830.1|DELE, LOC108134945|XP_017110957.1|DELE	LOC5573238|XP_001660815.1|AAEG
OG0000687	LOC108143345|XP_017123154.1|DELE, LOC108145659|XP_017126700.1|DELE	LOC5571869|XP_001659976.1|AAEG, LOC110681189|XP_021712657.1|AAEG
OG0000688	LOC108144385|XP_017124649.1|DELE	LOC5579438|XP_021697177.1|AAEG
OG0000689	LOC108141533|XP_017120459.1|DELE, LOC108141532|XP_017120455.1|DELE	LOC5575898|XP_001655893.1|AAEG
OG0000690	LOC108147624|XP_017129769.1|DELE	LOC5563622|XP_001647922.2|AAEG, LOC5576180|XP_001655977.1|AAEG, LOC5563613|XP_001647923.1|AAEG, LOC5563595|XP_001647921.1|AAEG
OG0000691	LOC108141855|XP_017120937.1|DELE, LOC108135583|XP_017111866.1|DELE	LOC5577893|XP_001663600.1|AAEG
OG0000692	LOC108145808|XP_017126887.1|DELE, LOC108145631|XP_017126656.1|DELE	LOC5577134|XP_021699126.1|AAEG
OG0000693	LOC108136335|XP_017112928.1|DELE, LOC108136978|XP_017113959.1|DELE	LOC110676378|XP_021699721.1|AAEG
OG0000694	LOC108137637|XP_017114929.1|DELE, LOC108135610|XP_017111914.1|DELE	LOC5569581|XP_001658647.1|AAEG
OG0000695	LOC108134578|XP_017110421.1|DELE	LOC110675169|XP_021695251.1|AAEG, LOC5575443|XP_021700367.1|AAEG
OG0000696	LOC108142338|XP_017121581.1|DELE, LOC108138678|XP_017116514.1|DELE	LOC5570960|XP_001659424.1|AAEG
OG0000697	LOC108144087|XP_017124232.1|DELE, LOC108148263|XP_017130704.1|DELE	LOC5569502|XP_001658586.1|AAEG
OG0000698	LOC108134688|XP_017110574.1|DELE, LOC108134682|XP_017110569.1|DELE	LOC5572825|XP_001654210.2|AAEG
OG0000699	LOC108139006|XP_017117090.1|DELE, LOC108137360|XP_017114486.1|DELE	LOC5572903|XP_021702732.1|AAEG
OG0000700	LOC108149327|XP_017132285.1|DELE, LOC108148008|XP_017130327.1|DELE	LOC5572373|XP_021695335.1|AAEG
OG0000701	LOC108149052|XP_017131887.1|DELE, LOC108135455|XP_017111689.1|DELE	LOC5572067|XP_001653834.1|AAEG
OG0000702	LOC108147153|XP_017128954.1|DELE, LOC108147151|XP_017128943.1|DELE	LOC5576021|XP_021711648.1|AAEG
OG0000703	LOC108149460|XP_017132547.1|DELE, LOC108141265|XP_017120018.1|DELE	LOC5579187|XP_021706766.1|AAEG
OG0000704	LOC108136205|XP_017112695.1|DELE, LOC108142898|XP_017122474.1|DELE	LOC5566167|XP_021710754.1|AAEG
OG0000705	LOC108146018|XP_017127283.1|DELE, LOC108146017|XP_017127281.1|DELE	LOC5575011|XP_021708260.1|AAEG
OG0000706	LOC108149240|XP_017132164.1|DELE, LOC108138493|XP_017116189.1|DELE	LOC5564887|XP_001649217.2|AAEG, LOC110677898|XP_021705469.1|AAEG
OG0000707	LOC108135367|XP_017111547.1|DELE, LOC108141626|XP_017120584.1|DELE	LOC5576097|XP_001662443.1|AAEG
OG0000708	LOC108147672|XP_017129852.1|DELE, LOC108148145|XP_017130490.1|DELE	LOC5575809|XP_021705328.1|AAEG
OG0000709	LOC108148504|XP_017131030.1|DELE, LOC108137730|XP_017115117.1|DELE	LOC5563960|XP_001648293.2|AAEG
OG0000710	LOC108141008|XP_017119570.1|DELE, LOC108144759|XP_017125353.1|DELE	LOC5570014|XP_001658903.1|AAEG
OG0000711	LOC108150128|XP_017133583.1|DELE, LOC108142689|XP_017122186.1|DELE	LOC5577132|XP_021709303.1|AAEG
OG0000712	LOC108136968|XP_017113948.1|DELE, LOC108136959|XP_017113933.1|DELE	LOC5573740|XP_001654768.2|AAEG
OG0000713	LOC108148222|XP_017130625.1|DELE, LOC108141504|XP_017120420.1|DELE	LOC5574816|XP_001655376.1|AAEG
OG0000714	LOC108136255|XP_017112792.1|DELE, LOC108146048|XP_017127341.1|DELE	LOC5566058|XP_001650424.1|AAEG
OG0000715	LOC108135552|XP_017111788.1|DELE, LOC108135534|XP_017111769.1|DELE	LOC5566056|XP_001650428.1|AAEG
OG0000716	LOC108149862|XP_017133231.1|DELE, LOC108136093|XP_017112553.1|DELE	LOC5578121|XP_001656819.1|AAEG
OG0000724	LOC108145035|XP_017125710.1|DELE, LOC108148629|XP_017131227.1|DELE	LOC5565085|XP_001649429.1|AAEG
OG0000726	LOC108135153|XP_017111262.1|DELE, LOC108135039|XP_017111066.1|DELE	LOC5577130|XP_021712611.1|AAEG
OG0000727	LOC108135837|XP_017112210.1|DELE, LOC108135838|XP_017112211.1|DELE	LOC5565705|XP_021713193.1|AAEG
OG0000728	LOC108137411|XP_017114559.1|DELE, LOC108142959|XP_017122590.1|DELE	LOC5573065|XP_021693529.1|AAEG
OG0000729	LOC108148434|XP_017130958.1|DELE, LOC108148854|XP_017131632.1|DELE	LOC5568367|XP_001658021.2|AAEG
OG0000730	LOC108137613|XP_017114877.1|DELE, LOC108147844|XP_017130091.1|DELE	LOC5570667|XP_001659264.1|AAEG
OG0000731	LOC108146348|XP_017127809.1|DELE, LOC108144210|XP_017124372.1|DELE	LOC5579031|XP_001664210.1|AAEG
OG0000732	LOC108146734|XP_017128327.1|DELE, LOC108146733|XP_017128326.1|DELE	LOC5572199|XP_001653865.1|AAEG
OG0000733	LOC108148952|XP_017131773.1|DELE, LOC108147547|XP_017129620.1|DELE	LOC5575492|XP_001662013.1|AAEG
OG0000734	LOC108143850|XP_017123900.1|DELE, LOC108143940|XP_017124025.1|DELE, LOC108149599|XP_017132783.1|DELE, LOC108145955|XP_017127160.1|DELE	LOC5578486|XP_021699525.1|AAEG
OG0000735	LOC108147751|XP_017129970.1|DELE, LOC108141900|XP_017121003.1|DELE	LOC5573851|XP_001654878.1|AAEG
OG0000736	LOC108138800|XP_017116772.1|DELE, LOC108138795|XP_017116763.1|DELE	LOC5568814|XP_001658180.2|AAEG
OG0000738	LOC108139029|XP_017117127.1|DELE, LOC108138700|XP_017116535.1|DELE	LOC5577544|XP_001656560.1|AAEG
OG0000739	LOC108136024|XP_017112447.1|DELE, LOC108135406|XP_017111596.1|DELE	LOC5575848|XP_001662256.1|AAEG
OG0000740	LOC108139276|XP_017117458.1|DELE	LOC5572569|XP_001654085.2|AAEG
OG0000741	LOC108145590|XP_017126609.1|DELE, LOC108135439|XP_017111672.1|DELE	LOC23687536|XP_021705281.1|AAEG
OG0000742	LOC108144402|XP_017124685.1|DELE, LOC108144872|XP_017125517.1|DELE	LOC5570003|XP_021705592.1|AAEG
OG0000743	LOC108146011|XP_017127275.1|DELE, LOC108135361|XP_017111541.1|DELE	LOC5574874|XP_001655398.1|AAEG, LOC110681160|XP_021712620.1|AAEG
OG0000745	LOC108145394|XP_017126281.1|DELE, LOC108149756|XP_017133058.1|DELE	LOC5578669|XP_001657064.2|AAEG
OG0000746	LOC108147058|XP_017128833.1|DELE, LOC108147057|XP_017128832.1|DELE, LOC108147023|XP_017128768.1|DELE, LOC108147064|XP_017128844.1|DELE, LOC108147026|XP_017128772.1|DELE	LOC110679049|XP_021708670.1|AAEG, LOC5569724|XP_001652949.1|AAEG
OG0000753	LOC108134792|XP_017110730.1|DELE, LOC108142189|XP_017121362.1|DELE	LOC5574701|XP_021698366.1|AAEG
OG0000754	LOC108150017|XP_017133460.1|DELE, LOC108145569|XP_017126568.1|DELE	LOC23687751|XP_021706737.1|AAEG
OG0000755	LOC108135732|XP_017112058.1|DELE, LOC108135697|XP_017112031.1|DELE	LOC5578924|XP_001657210.3|AAEG
OG0000756	LOC108143782|XP_017123798.1|DELE	LOC5576731|XP_001656241.1|AAEG
OG0000756	LOC108143781|XP_017123797.1|DELE	LOC5576736|XP_001656242.2|AAEG
OG0000757	LOC108146532|XP_017128061.1|DELE	LOC5573994|XP_001661080.1|AAEG
OG0000758	LOC108146501|XP_017128026.1|DELE, LOC108146468|XP_017127971.1|DELE	LOC5573302|XP_021698645.1|AAEG
OG0000759	LOC108146482|XP_017127997.1|DELE, LOC108146451|XP_017127951.1|DELE	LOC5567691|XP_001651852.3|AAEG
OG0000761	LOC108141979|XP_017121122.1|DELE, LOC108141661|XP_017120619.1|DELE	LOC5569446|XP_021702395.1|AAEG
OG0000762	LOC108149367|XP_017132358.1|DELE, LOC108147869|XP_017130116.1|DELE	LOC5569068|XP_001658297.1|AAEG
OG0000763	LOC108141722|XP_017120704.1|DELE, LOC108141731|XP_017120713.1|DELE	LOC5568174|XP_021703903.1|AAEG
OG0000764	LOC108143825|XP_017123851.1|DELE, LOC108148171|XP_017130559.1|DELE	LOC5567685|XP_021708653.1|AAEG
OG0000765	LOC108146428|XP_017127921.1|DELE, LOC108135924|XP_017112356.1|DELE	LOC5576262|XP_001656034.2|AAEG
OG0000766	LOC108141742|XP_017120724.1|DELE, LOC108137114|XP_017114129.1|DELE	LOC5571467|XP_001659718.2|AAEG
OG0000767	LOC108137442|XP_017114595.1|DELE, LOC108146476|XP_017127983.1|DELE	LOC5568661|XP_021705791.1|AAEG
OG0000768	LOC108142771|XP_017122301.1|DELE	LOC5577816|XP_001663586.1|AAEG
OG0000769	LOC108149006|XP_017131839.1|DELE, LOC108144856|XP_017125496.1|DELE	LOC5572989|XP_021706132.1|AAEG
OG0000770	LOC108141419|XP_017120284.1|DELE	LOC5579099|XP_001657293.2|AAEG, LOC110680759|XP_021712238.1|AAEG, LOC5579095|XP_001657289.2|AAEG, LOC5579094|XP_001657288.2|AAEG
OG0000771	LOC108146444|XP_017127941.1|DELE, LOC108146410|XP_017127901.1|DELE	LOC5565457|XP_001649766.2|AAEG
OG0000778	LOC108147507|XP_017129564.1|DELE, LOC108148155|XP_017130579.1|DELE	LOC5572380|XP_021694486.1|AAEG
OG0000779	LOC108136561|XP_017113359.1|DELE	LOC5576071|XP_001662401.2|AAEG, LOC5576070|XP_001662400.2|AAEG, LOC5567791|XP_021712201.1|AAEG, LOC5569560|XP_001658622.2|AAEG, LOC5564166|XP_001648508.2|AAEG
OG0000780	LOC108141525|XP_017120448.1|DELE, LOC108141279|XP_017120035.1|DELE	LOC5564012|XP_001648334.2|AAEG, LOC5564011|XP_021697098.1|AAEG
OG0000781	LOC108136493|XP_017113200.1|DELE, LOC108143140|XP_017122876.1|DELE	LOC5576472|XP_021700484.1|AAEG
OG0000782	LOC108142521|XP_017121929.1|DELE, LOC108147742|XP_017129961.1|DELE	LOC5565070|XP_001649412.1|AAEG
OG0000783	LOC108142661|XP_017122151.1|DELE, LOC108141338|XP_017120135.1|DELE	LOC5565051|XP_001649399.1|AAEG
OG0000784	LOC108135548|XP_017111785.1|DELE, LOC108135893|XP_017112299.1|DELE	LOC5566654|XP_001651019.1|AAEG
OG0000785	LOC108147198|XP_017129041.1|DELE	LOC5567616|XP_021713394.1|AAEG
OG0000786	LOC108140511|XP_017118791.1|DELE	LOC5575790|XP_021693483.1|AAEG
OG0000787	LOC108150197|XP_017133697.1|DELE	LOC5574159|XP_001655068.1|AAEG
OG0000788	LOC108149370|XP_017132363.1|DELE, LOC108142780|XP_017122313.1|DELE	LOC5575938|XP_021699162.1|AAEG
OG0000789	LOC108137773|XP_017115164.1|DELE, LOC108137795|XP_017115188.1|DELE	LOC5570933|XP_001659405.2|AAEG
OG0000790	LOC108145509|XP_017126468.1|DELE, LOC108145501|XP_017126455.1|DELE	LOC5572784|XP_001654187.2|AAEG
OG0000791	LOC108147210|XP_017129057.1|DELE, LOC108148633|XP_017131234.1|DELE	LOC5577917|XP_021702814.1|AAEG
OG0000792	LOC108147858|XP_017130105.1|DELE, LOC108147825|XP_017130068.1|DELE	LOC110675237|XP_021695378.1|AAEG
OG0000793	LOC108136816|XP_017113709.1|DELE, LOC108137272|XP_017114356.1|DELE	LOC5570063|XP_001653054.1|AAEG
