Orthogroup	DELE.longest_only	CCAP.longest_only
OG0000620	LOC108147637|XP_017129782.1|DELE	CCAP1982_LOCUS22364|CAD7014367.1|CCAP
OG0000620	LOC108142470|XP_017121840.1|DELE	CCAP1982_LOCUS11828|CAD7003369.1|CCAP, CCAP1982_LOCUS11826|CAD7003367.1|CCAP
OG0000622	LOC108142781|XP_017122314.1|DELE, LOC108142628|XP_017122108.1|DELE	CCAP1982_LOCUS14996|CAD7006697.1|CCAP
OG0000623	LOC108146254|XP_017127681.1|DELE	CCAP1982_LOCUS12757|CAD7004341.1|CCAP
OG0000623	LOC108142529|XP_017121943.1|DELE	CCAP1982_LOCUS12360|CAD7003938.1|CCAP
OG0000624	LOC108138855|XP_017116868.1|DELE	CCAP1982_LOCUS21663|CAD7013611.1|CCAP
OG0000625	LOC108142590|XP_017122044.1|DELE, LOC108142170|XP_017121344.1|DELE, LOC108147529|XP_017129602.1|DELE	CCAP1982_LOCUS10908|CAD7002417.1|CCAP
OG0000626	LOC108143560|XP_017123557.1|DELE	CCAP1982_LOCUS22251|CAD7014248.1|CCAP
OG0000627	LOC108135694|XP_017112025.1|DELE	CCAP1982_LOCUS13245|CAD7004860.1|CCAP
OG0000628	LOC108149236|XP_017132161.1|DELE, LOC108141993|XP_017121143.1|DELE	CCAP1982_LOCUS6489|CAD6997870.1|CCAP
OG0000629	LOC108137038|XP_017114027.1|DELE, LOC108149468|XP_017132568.1|DELE	CCAP1982_LOCUS7865|CAD6999338.1|CCAP
OG0000630	LOC108138883|XP_017116903.1|DELE	CCAP1982_LOCUS6300|CAD6997670.1|CCAP
OG0000630	LOC108138932|XP_017116993.1|DELE	CCAP1982_LOCUS6298|CAD6997668.1|CCAP
OG0000631	LOC108138258|XP_017115891.1|DELE	CCAP1982_LOCUS8412|CAD6999902.1|CCAP
OG0000632	LOC108139081|XP_017117194.1|DELE, LOC108147778|XP_017129997.1|DELE	CCAP1982_LOCUS8193|CAD6999663.1|CCAP, CCAP1982_LOCUS8194|CAD6999664.1|CCAP
OG0000634	LOC108143689|XP_017123703.1|DELE	CCAP1982_LOCUS19966|CAD7011857.1|CCAP
OG0000635	LOC108144972|XP_017125610.1|DELE	CCAP1982_LOCUS19400|CAD7011293.1|CCAP
OG0000639	LOC108142361|XP_017121651.1|DELE	CCAP1982_LOCUS14414|CAD7006080.1|CCAP
OG0000642	LOC108137878|XP_017115306.1|DELE, LOC108138607|XP_017116385.1|DELE	CCAP1982_LOCUS12421|CAD7003999.1|CCAP, CCAP1982_LOCUS13725|CAD7005365.1|CCAP
OG0000643	LOC108147148|XP_017128929.1|DELE, LOC108147092|XP_017128869.1|DELE, LOC108147091|XP_017128868.1|DELE	CCAP1982_LOCUS2696|CAD6993903.1|CCAP
OG0000644	LOC108150337|XP_017133953.1|DELE, LOC108150371|XP_017134000.1|DELE, LOC108150351|XP_017133972.1|DELE	CCAP1982_LOCUS7601|CAD6999054.1|CCAP
OG0000646	LOC108136926|XP_017113889.1|DELE, LOC108148622|XP_017131210.1|DELE	CCAP1982_LOCUS1477|CAD6992629.1|CCAP
OG0000650	LOC108145335|XP_017126211.1|DELE	CCAP1982_LOCUS11792|CAD7003332.1|CCAP
OG0000651	LOC108146688|XP_017128233.1|DELE, LOC108146280|XP_017127709.1|DELE	CCAP1982_LOCUS13304|CAD7004921.1|CCAP
OG0000652	LOC108149667|XP_017132901.1|DELE	CCAP1982_LOCUS22325|CAD7014328.1|CCAP
OG0000653	LOC108134799|XP_017110741.1|DELE, LOC108141156|XP_017119871.1|DELE	CCAP1982_LOCUS3695|CAD6994963.1|CCAP
OG0000654	LOC108146776|XP_017128408.1|DELE	CCAP1982_LOCUS12923|CAD7004526.1|CCAP
OG0000655	LOC108145007|XP_017125660.1|DELE, LOC108147988|XP_017130292.1|DELE	CCAP1982_LOCUS22605|CAD7014614.1|CCAP
OG0000656	LOC108135123|XP_017111215.1|DELE	CCAP1982_LOCUS381|CAD6991456.1|CCAP
OG0000657	LOC108134718|XP_017110606.1|DELE	CCAP1982_LOCUS6719|CAD6998105.1|CCAP
OG0000660	LOC108138757|XP_017116649.1|DELE	CCAP1982_LOCUS20910|CAD7012810.1|CCAP
OG0000661	LOC108146819|XP_017128498.1|DELE, LOC108138860|XP_017116873.1|DELE	CCAP1982_LOCUS8780|CAD7000290.1|CCAP
OG0000662	LOC108146452|XP_017127952.1|DELE	CCAP1982_LOCUS11314|CAD7002845.1|CCAP
OG0000662	LOC108135752|XP_017112081.1|DELE	CCAP1982_LOCUS11155|CAD7002672.1|CCAP
OG0000665	LOC108143881|XP_017123942.1|DELE	CCAP1982_LOCUS658|CAD6991747.1|CCAP, CCAP1982_LOCUS657|CAD6991746.1|CCAP, CCAP1982_LOCUS656|CAD6991745.1|CCAP, CCAP1982_LOCUS659|CAD6991748.1|CCAP, CCAP1982_LOCUS655|CAD6991744.1|CCAP
OG0000665	LOC108143786|XP_017123800.1|DELE	CCAP1982_LOCUS654|CAD6991743.1|CCAP
OG0000666	LOC108143554|XP_017123552.1|DELE	CCAP1982_LOCUS19703|CAD7011614.1|CCAP
OG0000667	LOC108136353|XP_017112951.1|DELE, LOC108140392|XP_017118588.1|DELE	CCAP1982_LOCUS601|CAD6991688.1|CCAP
OG0000671	LOC108148338|XP_017130831.1|DELE	CCAP1982_LOCUS4225|CAD6995512.1|CCAP
OG0000671	LOC108148908|XP_017131712.1|DELE	CCAP1982_LOCUS3971|CAD6995250.1|CCAP
OG0000672	LOC108134913|XP_017110915.1|DELE	CCAP1982_LOCUS13691|CAD7005331.1|CCAP
OG0000674	LOC108141673|XP_017120636.1|DELE	CCAP1982_LOCUS13040|CAD7004645.1|CCAP
OG0000675	LOC108141997|XP_017121150.1|DELE	CCAP1982_LOCUS8664|CAD7000172.1|CCAP, CCAP1982_LOCUS8654|CAD7000162.1|CCAP, CCAP1982_LOCUS8655|CAD7000163.1|CCAP, CCAP1982_LOCUS8653|CAD7000161.1|CCAP
OG0000678	LOC108135284|XP_017111458.1|DELE, LOC108149456|XP_017132540.1|DELE	CCAP1982_LOCUS4210|CAD6995497.1|CCAP
OG0000683	LOC108136835|XP_017113744.1|DELE	CCAP1982_LOCUS2676|CAD6993882.1|CCAP
OG0000684	LOC108135044|XP_017111070.1|DELE, LOC108147270|XP_017129163.1|DELE	CCAP1982_LOCUS1800|CAD6992968.1|CCAP
OG0000685	LOC108141095|XP_017119786.1|DELE	CCAP1982_LOCUS2796|CAD6994019.1|CCAP
OG0000686	LOC108145126|XP_017125830.1|DELE	CCAP1982_LOCUS22639|CAD7014650.1|CCAP
OG0000687	LOC108143345|XP_017123154.1|DELE, LOC108145659|XP_017126700.1|DELE	CCAP1982_LOCUS13133|CAD7004740.1|CCAP
OG0000688	LOC108144385|XP_017124649.1|DELE	CCAP1982_LOCUS22352|CAD7014355.1|CCAP
OG0000689	LOC108141533|XP_017120459.1|DELE, LOC108141532|XP_017120455.1|DELE	CCAP1982_LOCUS22767|CAD7014799.1|CCAP
OG0000691	LOC108141855|XP_017120937.1|DELE, LOC108135583|XP_017111866.1|DELE	CCAP1982_LOCUS11669|CAD7003209.1|CCAP
OG0000692	LOC108145808|XP_017126887.1|DELE	CCAP1982_LOCUS12234|CAD7003801.1|CCAP
OG0000692	LOC108145631|XP_017126656.1|DELE	CCAP1982_LOCUS12235|CAD7003802.1|CCAP
OG0000693	LOC108136335|XP_017112928.1|DELE	CCAP1982_LOCUS23258|CAD7015313.1|CCAP
OG0000693	LOC108136978|XP_017113959.1|DELE	CCAP1982_LOCUS633|CAD6991720.1|CCAP
OG0000695	LOC108134578|XP_017110421.1|DELE	CCAP1982_LOCUS8997|CAD7000519.1|CCAP
OG0000696	LOC108138678|XP_017116514.1|DELE	CCAP1982_LOCUS8834|CAD7000352.1|CCAP
OG0000697	LOC108148263|XP_017130704.1|DELE	CCAP1982_LOCUS6273|CAD6997638.1|CCAP
OG0000698	LOC108134682|XP_017110569.1|DELE	CCAP1982_LOCUS8717|CAD7000225.1|CCAP
OG0000699	LOC108139006|XP_017117090.1|DELE, LOC108137360|XP_017114486.1|DELE	CCAP1982_LOCUS6551|CAD6997933.1|CCAP
OG0000700	LOC108149327|XP_017132285.1|DELE, LOC108148008|XP_017130327.1|DELE	CCAP1982_LOCUS7365|CAD6998816.1|CCAP
OG0000701	LOC108149052|XP_017131887.1|DELE	CCAP1982_LOCUS22532|CAD7014531.1|CCAP
OG0000702	LOC108147153|XP_017128954.1|DELE, LOC108147151|XP_017128943.1|DELE	CCAP1982_LOCUS883|CAD6991997.1|CCAP
OG0000703	LOC108141265|XP_017120018.1|DELE	CCAP1982_LOCUS7246|CAD6998688.1|CCAP
OG0000705	LOC108146018|XP_017127283.1|DELE, LOC108146017|XP_017127281.1|DELE	CCAP1982_LOCUS12768|CAD7004352.1|CCAP
OG0000710	LOC108141008|XP_017119570.1|DELE, LOC108144759|XP_017125353.1|DELE	CCAP1982_LOCUS23336|CAD7015392.1|CCAP
OG0000712	LOC108136968|XP_017113948.1|DELE, LOC108136959|XP_017113933.1|DELE	CCAP1982_LOCUS637|CAD6991724.1|CCAP
OG0000713	LOC108141504|XP_017120420.1|DELE	CCAP1982_LOCUS23194|CAD7015244.1|CCAP
OG0000715	LOC108135552|XP_017111788.1|DELE, LOC108135534|XP_017111769.1|DELE	CCAP1982_LOCUS14124|CAD7005776.1|CCAP
OG0000716	LOC108149862|XP_017133231.1|DELE, LOC108136093|XP_017112553.1|DELE	CCAP1982_LOCUS14228|CAD7005886.1|CCAP
OG0000717	LOC108143195|XP_017122936.1|DELE	CCAP1982_LOCUS13750|CAD7005390.1|CCAP
OG0000719	LOC108150215|XP_017133736.1|DELE, LOC108150334|XP_017133945.1|DELE	CCAP1982_LOCUS12110|CAD7003673.1|CCAP
OG0000720	LOC108148876|XP_017131666.1|DELE, LOC108139352|XP_017117565.1|DELE, LOC108148501|XP_017131027.1|DELE	CCAP1982_LOCUS3915|CAD6995196.1|CCAP
OG0000721	LOC108141582|XP_017120516.1|DELE, LOC108137784|XP_017115179.1|DELE	CCAP1982_LOCUS8756|CAD7000266.1|CCAP, CCAP1982_LOCUS8755|CAD7000265.1|CCAP
OG0000722	LOC108144143|XP_017124276.1|DELE, LOC108144142|XP_017124275.1|DELE, LOC108144145|XP_017124277.1|DELE, LOC108144146|XP_017124278.1|DELE	CCAP1982_LOCUS21839|CAD7013819.1|CCAP
OG0000723	LOC108144953|XP_017125588.1|DELE	CCAP1982_LOCUS23002|CAD7015045.1|CCAP, CCAP1982_LOCUS23011|CAD7015054.1|CCAP, CCAP1982_LOCUS22997|CAD7015040.1|CCAP, CCAP1982_LOCUS22989|CAD7015032.1|CCAP
OG0000726	LOC108135153|XP_017111262.1|DELE, LOC108135039|XP_017111066.1|DELE	CCAP1982_LOCUS4572|CAD6995871.1|CCAP
OG0000728	LOC108142959|XP_017122590.1|DELE	CCAP1982_LOCUS2587|CAD6993789.1|CCAP
OG0000729	LOC108148434|XP_017130958.1|DELE, LOC108148854|XP_017131632.1|DELE	CCAP1982_LOCUS3800|CAD6995077.1|CCAP
OG0000730	LOC108137613|XP_017114877.1|DELE, LOC108147844|XP_017130091.1|DELE	CCAP1982_LOCUS11317|CAD7002848.1|CCAP
OG0000731	LOC108146348|XP_017127809.1|DELE, LOC108144210|XP_017124372.1|DELE	CCAP1982_LOCUS21712|CAD7013669.1|CCAP
OG0000732	LOC108146734|XP_017128327.1|DELE	CCAP1982_LOCUS11935|CAD7003484.1|CCAP
OG0000733	LOC108148952|XP_017131773.1|DELE, LOC108147547|XP_017129620.1|DELE	CCAP1982_LOCUS11956|CAD7003506.1|CCAP, CCAP1982_LOCUS11588|CAD7003126.1|CCAP
OG0000734	LOC108143850|XP_017123900.1|DELE, LOC108143940|XP_017124025.1|DELE, LOC108149599|XP_017132783.1|DELE	CCAP1982_LOCUS11176|CAD7002699.1|CCAP
OG0000734	LOC108145955|XP_017127160.1|DELE	CCAP1982_LOCUS11177|CAD7002700.1|CCAP
OG0000735	LOC108141900|XP_017121003.1|DELE	CCAP1982_LOCUS5622|CAD6996955.1|CCAP
OG0000736	LOC108138800|XP_017116772.1|DELE, LOC108138795|XP_017116763.1|DELE	CCAP1982_LOCUS7876|CAD6999349.1|CCAP
OG0000737	LOC108145077|XP_017125748.1|DELE	CCAP1982_LOCUS21802|CAD7013779.1|CCAP
OG0000739	LOC108136024|XP_017112447.1|DELE, LOC108135406|XP_017111596.1|DELE	CCAP1982_LOCUS4635|CAD6995933.1|CCAP
OG0000740	LOC108139276|XP_017117458.1|DELE	CCAP1982_LOCUS851|CAD6991963.1|CCAP
OG0000743	LOC108146011|XP_017127275.1|DELE, LOC108135361|XP_017111541.1|DELE	CCAP1982_LOCUS12884|CAD7004479.1|CCAP
OG0000746	LOC108147058|XP_017128833.1|DELE, LOC108147057|XP_017128832.1|DELE, LOC108147023|XP_017128768.1|DELE, LOC108147064|XP_017128844.1|DELE, LOC108147026|XP_017128772.1|DELE	CCAP1982_LOCUS7111|CAD6998524.1|CCAP
OG0000747	LOC108137670|XP_017115018.1|DELE	CCAP1982_LOCUS14652|CAD7006330.1|CCAP
OG0000747	LOC108150569|XP_017134306.1|DELE	CCAP1982_LOCUS14644|CAD7006322.1|CCAP
OG0000750	LOC108142897|XP_017122473.1|DELE	CCAP1982_LOCUS5975|CAD6997343.1|CCAP
OG0000753	LOC108134792|XP_017110730.1|DELE	CCAP1982_LOCUS3763|CAD6995033.1|CCAP
OG0000755	LOC108135732|XP_017112058.1|DELE, LOC108135697|XP_017112031.1|DELE	CCAP1982_LOCUS2374|CAD6993561.1|CCAP
OG0000756	LOC108143782|XP_017123798.1|DELE	CCAP1982_LOCUS3474|CAD6994741.1|CCAP
OG0000757	LOC108146532|XP_017128061.1|DELE	CCAP1982_LOCUS12322|CAD7003892.1|CCAP
OG0000758	LOC108146501|XP_017128026.1|DELE, LOC108146468|XP_017127971.1|DELE	CCAP1982_LOCUS10824|CAD7002337.1|CCAP, CCAP1982_LOCUS10825|CAD7002339.1|CCAP
OG0000759	LOC108146482|XP_017127997.1|DELE, LOC108146451|XP_017127951.1|DELE	CCAP1982_LOCUS11488|CAD7003025.1|CCAP
OG0000760	LOC108149194|XP_017132107.1|DELE	CCAP1982_LOCUS23060|CAD7015107.1|CCAP
OG0000762	LOC108149367|XP_017132358.1|DELE	CCAP1982_LOCUS5527|CAD6996851.1|CCAP
OG0000763	LOC108141722|XP_017120704.1|DELE	CCAP1982_LOCUS7967|CAD6999443.1|CCAP
OG0000763	LOC108141731|XP_017120713.1|DELE	CCAP1982_LOCUS7966|CAD6999442.1|CCAP
OG0000764	LOC108143825|XP_017123851.1|DELE, LOC108148171|XP_017130559.1|DELE	CCAP1982_LOCUS9835|CAD7001338.1|CCAP, CCAP1982_LOCUS9837|CAD7001340.1|CCAP
OG0000767	LOC108137442|XP_017114595.1|DELE, LOC108146476|XP_017127983.1|DELE	CCAP1982_LOCUS13379|CAD7005004.1|CCAP
OG0000768	LOC108142771|XP_017122301.1|DELE	CCAP1982_LOCUS13967|CAD7005608.1|CCAP
OG0000770	LOC108141419|XP_017120284.1|DELE	CCAP1982_LOCUS23234|CAD7015287.1|CCAP, CCAP1982_LOCUS23236|CAD7015289.1|CCAP, CCAP1982_LOCUS23235|CAD7015288.1|CCAP, CCAP1982_LOCUS23208|CAD7015260.1|CCAP, CCAP1982_LOCUS23233|CAD7015286.1|CCAP
OG0000771	LOC108146444|XP_017127941.1|DELE, LOC108146410|XP_017127901.1|DELE	CCAP1982_LOCUS11323|CAD7002853.1|CCAP
OG0000772	LOC108149891|XP_017133277.1|DELE, LOC108137301|XP_017114414.1|DELE, LOC108141266|XP_017120023.1|DELE	CCAP1982_LOCUS7245|CAD6998687.1|CCAP
OG0000773	LOC108136337|XP_017112934.1|DELE, LOC108147024|XP_017128769.1|DELE, LOC108134893|XP_017110885.1|DELE	CCAP1982_LOCUS2181|CAD6993363.1|CCAP, CCAP1982_LOCUS2182|CAD6993364.1|CCAP
OG0000774	LOC108144155|XP_017124288.1|DELE, LOC108144676|XP_017125225.1|DELE	CCAP1982_LOCUS7034|CAD6998434.1|CCAP, CCAP1982_LOCUS7765|CAD6999233.1|CCAP
OG0000775	LOC108149092|XP_017131977.1|DELE, LOC108134609|XP_017110472.1|DELE	CCAP1982_LOCUS23219|CAD7015271.1|CCAP
OG0000778	LOC108147507|XP_017129564.1|DELE, LOC108148155|XP_017130579.1|DELE	CCAP1982_LOCUS4113|CAD6995395.1|CCAP
OG0000785	LOC108147198|XP_017129041.1|DELE	CCAP1982_LOCUS2663|CAD6993869.1|CCAP
OG0000786	LOC108140511|XP_017118791.1|DELE	CCAP1982_LOCUS1451|CAD6992602.1|CCAP
OG0000787	LOC108150197|XP_017133697.1|DELE	CCAP1982_LOCUS11438|CAD7002975.1|CCAP
OG0000788	LOC108149370|XP_017132363.1|DELE, LOC108142780|XP_017122313.1|DELE	CCAP1982_LOCUS11851|CAD7003393.1|CCAP
OG0000789	LOC108137773|XP_017115164.1|DELE, LOC108137795|XP_017115188.1|DELE	CCAP1982_LOCUS7762|CAD6999230.1|CCAP
OG0000790	LOC108145509|XP_017126468.1|DELE, LOC108145501|XP_017126455.1|DELE	CCAP1982_LOCUS7014|CAD6998414.1|CCAP
OG0000791	LOC108147210|XP_017129057.1|DELE, LOC108148633|XP_017131234.1|DELE	CCAP1982_LOCUS2495|CAD6993689.1|CCAP
OG0000792	LOC108147858|XP_017130105.1|DELE, LOC108147825|XP_017130068.1|DELE	CCAP1982_LOCUS22816|CAD7014849.1|CCAP, CCAP1982_LOCUS8894|CAD7000418.1|CCAP, CCAP1982_LOCUS8893|CAD7000417.1|CCAP, CCAP1982_LOCUS8892|CAD7000416.1|CCAP
OG0000793	LOC108136816|XP_017113709.1|DELE, LOC108137272|XP_017114356.1|DELE	CCAP1982_LOCUS1000|CAD6992116.1|CCAP
OG0000797	LOC108139263|XP_017117439.1|DELE, LOC108139262|XP_017117438.1|DELE	CCAP1982_LOCUS4428|CAD6995722.1|CCAP
OG0000798	LOC108149084|XP_017131952.1|DELE	CCAP1982_LOCUS20568|CAD7012491.1|CCAP
OG0000799	LOC108135045|XP_017111073.1|DELE	CCAP1982_LOCUS23391|CAD7015450.1|CCAP
OG0000800	LOC108142437|XP_017121789.1|DELE	CCAP1982_LOCUS12705|CAD7004285.1|CCAP
OG0000801	LOC108141802|XP_017120852.1|DELE	CCAP1982_LOCUS20234|CAD7012137.1|CCAP
OG0000802	LOC108141480|XP_017120384.1|DELE, LOC108141667|XP_017120633.1|DELE	CCAP1982_LOCUS12829|CAD7004420.1|CCAP
OG0000803	LOC108135343|XP_017111524.1|DELE, LOC108146301|XP_017127738.1|DELE	CCAP1982_LOCUS7929|CAD6999403.1|CCAP
OG0000804	LOC108137898|XP_017115328.1|DELE, LOC108148298|XP_017130768.1|DELE	CCAP1982_LOCUS21024|CAD7012927.1|CCAP
OG0000805	LOC108149102|XP_017131988.1|DELE, LOC108149103|XP_017131989.1|DELE	CCAP1982_LOCUS22507|CAD7014506.1|CCAP, CCAP1982_LOCUS22504|CAD7014503.1|CCAP, CCAP1982_LOCUS22503|CAD7014502.1|CCAP
OG0000806	LOC108147776|XP_017129994.1|DELE	CCAP1982_LOCUS8652|CAD7000159.1|CCAP
OG0000807	LOC108143271|XP_017123076.1|DELE, LOC108149408|XP_017132453.1|DELE, LOC108150154|XP_017133611.1|DELE, LOC108147939|XP_017130212.1|DELE	CCAP1982_LOCUS14477|CAD7006149.1|CCAP
OG0000810	LOC108147357|XP_017129276.1|DELE	CCAP1982_LOCUS7167|CAD6998589.1|CCAP, CCAP1982_LOCUS7168|CAD6998590.1|CCAP, CCAP1982_LOCUS7166|CAD6998588.1|CCAP, CCAP1982_LOCUS7165|CAD6998587.1|CCAP
OG0000811	LOC108135855|XP_017112237.1|DELE, LOC108137926|XP_017115360.1|DELE	CCAP1982_LOCUS23414|CAD7015474.1|CCAP
OG0000813	LOC108145032|XP_017125704.1|DELE	CCAP1982_LOCUS7210|CAD6998639.1|CCAP
OG0000814	LOC108150422|XP_017134068.1|DELE	CCAP1982_LOCUS189|CAD6991255.1|CCAP
OG0000815	LOC108149331|XP_017132287.1|DELE	CCAP1982_LOCUS6833|CAD6998221.1|CCAP, CCAP1982_LOCUS6832|CAD6998220.1|CCAP
OG0000820	LOC108134839|XP_017110790.1|DELE	CCAP1982_LOCUS607|CAD6991694.1|CCAP
OG0000820	LOC108143611|XP_017123624.1|DELE	CCAP1982_LOCUS20527|CAD7012446.1|CCAP
OG0000823	LOC108135808|XP_017112173.1|DELE, LOC108135810|XP_017112175.1|DELE	CCAP1982_LOCUS2925|CAD6994160.1|CCAP
OG0000824	LOC108138354|XP_017116014.1|DELE	CCAP1982_LOCUS3412|CAD6994677.1|CCAP
OG0000825	LOC108135472|XP_017111702.1|DELE, LOC108138064|XP_017115529.1|DELE	CCAP1982_LOCUS8451|CAD6999943.1|CCAP, CCAP1982_LOCUS8452|CAD6999944.1|CCAP, CCAP1982_LOCUS19940|CAD7011830.1|CCAP
OG0000826	LOC108144454|XP_017124834.1|DELE	CCAP1982_LOCUS22257|CAD7014254.1|CCAP
OG0000827	LOC108142173|XP_017121347.1|DELE, LOC108142482|XP_017121856.1|DELE, LOC108142174|XP_017121348.1|DELE, LOC108142175|XP_017121349.1|DELE	CCAP1982_LOCUS12545|CAD7004124.1|CCAP
OG0000828	LOC108140815|XP_017119310.1|DELE	CCAP1982_LOCUS3024|CAD6994263.1|CCAP
OG0000831	LOC108142195|XP_017121369.1|DELE	CCAP1982_LOCUS2876|CAD6994107.1|CCAP
OG0000832	LOC108141544|XP_017120474.1|DELE	CCAP1982_LOCUS22663|CAD7014678.1|CCAP
OG0000833	LOC108145626|XP_017126651.1|DELE	CCAP1982_LOCUS14574|CAD7006248.1|CCAP
OG0000834	LOC108148531|XP_017131060.1|DELE	CCAP1982_LOCUS2133|CAD6993316.1|CCAP, CCAP1982_LOCUS2134|CAD6993317.1|CCAP, CCAP1982_LOCUS2135|CAD6993318.1|CCAP
OG0000835	LOC108146782|XP_017128419.1|DELE	CCAP1982_LOCUS12097|CAD7003659.1|CCAP
OG0000836	LOC108135194|XP_017111305.1|DELE, LOC108141914|XP_017121022.1|DELE	CCAP1982_LOCUS5624|CAD6996957.1|CCAP
OG0000839	LOC108148385|XP_017130900.1|DELE, LOC108136676|XP_017113488.1|DELE	CCAP1982_LOCUS770|CAD6991879.1|CCAP
OG0000841	LOC108137602|XP_017114847.1|DELE	CCAP1982_LOCUS4224|CAD6995511.1|CCAP
OG0000842	LOC108147066|XP_017128847.1|DELE, LOC108137008|XP_017113995.1|DELE	CCAP1982_LOCUS21103|CAD7013014.1|CCAP
OG0000843	LOC108144818|XP_017125438.1|DELE	CCAP1982_LOCUS5498|CAD6996825.1|CCAP
OG0000844	LOC108144642|XP_017125174.1|DELE, LOC108141033|XP_017119622.1|DELE	CCAP1982_LOCUS21108|CAD7013021.1|CCAP
OG0000846	LOC108148741|XP_017131418.1|DELE	CCAP1982_LOCUS1614|CAD6992773.1|CCAP
OG0000847	LOC108145036|XP_017125709.1|DELE, LOC108144417|XP_017124755.1|DELE	CCAP1982_LOCUS7164|CAD6998586.1|CCAP
OG0000848	LOC108148054|XP_017130395.1|DELE	CCAP1982_LOCUS8247|CAD6999721.1|CCAP
OG0000848	LOC108135192|XP_017111302.1|DELE	CCAP1982_LOCUS8237|CAD6999711.1|CCAP
OG0000849	LOC108138135|XP_017115672.1|DELE, LOC108147859|XP_017130106.1|DELE	CCAP1982_LOCUS8441|CAD6999928.1|CCAP, CCAP1982_LOCUS8442|CAD6999929.1|CCAP, CCAP1982_LOCUS8443|CAD6999930.1|CCAP
OG0000850	LOC108137526|XP_017114731.1|DELE, LOC108137527|XP_017114733.1|DELE	CCAP1982_LOCUS22786|CAD7014819.1|CCAP
OG0000856	LOC108135410|XP_017111597.1|DELE, LOC108146886|XP_017128609.1|DELE	CCAP1982_LOCUS13873|CAD7005513.1|CCAP
OG0000858	LOC108134976|XP_017110997.1|DELE, LOC108134967|XP_017110987.1|DELE	CCAP1982_LOCUS3995|CAD6995275.1|CCAP
OG0000860	LOC108142598|XP_017122058.1|DELE, LOC108146155|XP_017127511.1|DELE	CCAP1982_LOCUS12607|CAD7004188.1|CCAP
OG0000861	LOC108143316|XP_017123123.1|DELE	CCAP1982_LOCUS23355|CAD7015412.1|CCAP
OG0000863	LOC108148980|XP_017131810.1|DELE, LOC108143934|XP_017124009.1|DELE	CCAP1982_LOCUS13300|CAD7004917.1|CCAP, CCAP1982_LOCUS13301|CAD7004918.1|CCAP
OG0000865	LOC108140866|XP_017119347.1|DELE, LOC108141643|XP_017120603.1|DELE, LOC108149587|XP_017132714.1|DELE, LOC108139221|XP_017117368.1|DELE	CCAP1982_LOCUS4953|CAD6996270.1|CCAP
OG0000866	LOC108148016|XP_017130339.1|DELE, LOC108148011|XP_017130331.1|DELE	CCAP1982_LOCUS8871|CAD7000396.1|CCAP
OG0000867	LOC108142132|XP_017121316.1|DELE	CCAP1982_LOCUS6476|CAD6997852.1|CCAP
OG0000869	LOC108141089|XP_017119777.1|DELE	CCAP1982_LOCUS4368|CAD6995661.1|CCAP, CCAP1982_LOCUS4369|CAD6995662.1|CCAP
OG0000870	LOC108144479|XP_017124893.1|DELE	CCAP1982_LOCUS20504|CAD7012418.1|CCAP
OG0000871	LOC108144730|XP_017125316.1|DELE	CCAP1982_LOCUS19771|CAD7011687.1|CCAP
OG0000872	LOC108144506|XP_017124929.1|DELE	CCAP1982_LOCUS21128|CAD7013046.1|CCAP
OG0000873	LOC108143199|XP_017122941.1|DELE	CCAP1982_LOCUS11691|CAD7003230.1|CCAP
OG0000875	LOC108142203|XP_017121382.1|DELE	CCAP1982_LOCUS14457|CAD7006125.1|CCAP
OG0000878	LOC108142123|XP_017121310.1|DELE, LOC108141726|XP_017120707.1|DELE	CCAP1982_LOCUS20172|CAD7012072.1|CCAP, CCAP1982_LOCUS20173|CAD7012073.1|CCAP, CCAP1982_LOCUS20174|CAD7012074.1|CCAP, CCAP1982_LOCUS20175|CAD7012075.1|CCAP
OG0000885	LOC108135768|XP_017112108.1|DELE	CCAP1982_LOCUS3879|CAD6995158.1|CCAP
OG0000886	LOC108136847|XP_017113760.1|DELE	CCAP1982_LOCUS2115|CAD6993301.1|CCAP
OG0000888	LOC108146025|XP_017127293.1|DELE	CCAP1982_LOCUS11353|CAD7002884.1|CCAP, CCAP1982_LOCUS11349|CAD7002880.1|CCAP
OG0000889	LOC108149900|XP_017133292.1|DELE	CCAP1982_LOCUS13751|CAD7005391.1|CCAP
OG0000890	LOC108137557|XP_017114772.1|DELE, LOC108137084|XP_017114097.1|DELE	CCAP1982_LOCUS23265|CAD7015320.1|CCAP
OG0000891	LOC108149364|XP_017132353.1|DELE, LOC108138254|XP_017115885.1|DELE	CCAP1982_LOCUS8035|CAD6999510.1|CCAP
OG0000892	LOC108150152|XP_017133609.1|DELE, LOC108142587|XP_017122039.1|DELE	CCAP1982_LOCUS14260|CAD7005922.1|CCAP
OG0000893	LOC108141017|XP_017119582.1|DELE	CCAP1982_LOCUS4761|CAD6996054.1|CCAP
OG0000894	LOC108141203|XP_017119937.1|DELE	CCAP1982_LOCUS5163|CAD6996494.1|CCAP
OG0000895	LOC108139239|XP_017117403.1|DELE, LOC108137972|XP_017115429.1|DELE, LOC108137051|XP_017114028.1|DELE	CCAP1982_LOCUS22848|CAD7014884.1|CCAP
OG0000897	LOC108147129|XP_017128909.1|DELE	CCAP1982_LOCUS357|CAD6991430.1|CCAP
OG0000897	LOC108147128|XP_017128908.1|DELE	CCAP1982_LOCUS354|CAD6991427.1|CCAP
