Orthogroup	DELE.longest_only	AEAL.longest_only
OG0001053	LOC108149923|XP_017133328.1|DELE	LOC109426359|XP_019557368.2|AEAL, LOC109621627|XP_029707852.1|AEAL
OG0001054	LOC108137353|XP_017114477.1|DELE	LOC109419219|XP_019548976.2|AEAL
OG0001055	LOC108140622|XP_017119025.1|DELE, LOC108140747|XP_017119213.1|DELE	LOC109415804|XP_029727885.1|AEAL
OG0001056	LOC108149269|XP_017132200.1|DELE, LOC108148182|XP_017130576.1|DELE	LOC115261503|XP_029719096.1|AEAL, LOC109404499|XP_019532938.1|AEAL
OG0001057	LOC108141909|XP_017121016.1|DELE	LOC109404972|XP_029719253.1|AEAL, LOC109416171|XP_029719194.1|AEAL
OG0001058	LOC108149998|XP_017133424.1|DELE	LOC109399531|XP_029724170.1|AEAL, LOC115254137|XP_029724585.1|AEAL
OG0001059	LOC108146417|XP_017127909.1|DELE	LOC109426376|XP_019557394.2|AEAL
OG0001060	LOC108135830|XP_017112206.1|DELE	LOC109405658|XP_019534272.1|AEAL
OG0001072	LOC108150399|XP_017134043.1|DELE	LOC109415238|XP_019544670.2|AEAL
OG0001073	LOC108148636|XP_017131238.1|DELE	LOC115267820|XP_029731081.1|AEAL, LOC109415486|XP_019544914.2|AEAL, LOC109402626|XP_029711922.1|AEAL, LOC109402627|XP_019530875.2|AEAL, LOC109415428|XP_029729800.1|AEAL, LOC115269640|XP_029734333.1|AEAL, LOC109402620|XP_029710631.1|AEAL, LOC109406617|XP_029708405.1|AEAL
OG0001074	LOC108149104|XP_017131990.1|DELE	LOC109403697|XP_019532090.2|AEAL, LOC115267914|XP_029731428.1|AEAL
OG0001075	LOC108139689|XP_017117902.1|DELE, LOC108143272|XP_017123080.1|DELE	LOC109407766|XP_019536487.1|AEAL
OG0001078	LOC108136620|XP_017113427.1|DELE	LOC115264182|XP_029723477.1|AEAL, LOC109411507|XP_019540591.1|AEAL, LOC109400580|XP_019528610.2|AEAL, LOC109404918|XP_019533415.2|AEAL
OG0001079	LOC108146430|XP_017127922.1|DELE	LOC109410372|XP_019539467.2|AEAL, LOC109621707|XP_029726178.1|AEAL
OG0001080	LOC108146177|XP_017127572.1|DELE	LOC109622562|XP_029726246.1|AEAL, LOC109409585|XP_019538590.2|AEAL
OG0001081	LOC108136814|XP_017113706.1|DELE	LOC109622423|XP_019932295.2|AEAL, LOC109419710|XP_019549526.2|AEAL, LOC109398194|XP_019526055.2|AEAL
OG0001082	LOC108145500|XP_017126449.1|DELE	LOC109399245|XP_019527227.2|AEAL
OG0001083	LOC108147482|XP_017129525.1|DELE	LOC109407765|XP_019536486.2|AEAL
OG0001084	LOC108145066|XP_017125735.1|DELE	LOC109424102|XP_029736069.1|AEAL, LOC109397337|XP_029725752.1|AEAL, LOC109420256|XP_029725771.1|AEAL
OG0001085	LOC108147015|XP_017128759.1|DELE	LOC109414723|XP_029725648.1|AEAL
OG0001086	LOC108135138|XP_017111236.1|DELE, LOC108144667|XP_017125210.1|DELE	LOC109408016|XP_019536778.2|AEAL, LOC109405149|XP_019533711.2|AEAL
OG0001087	LOC108134497|XP_017110306.1|DELE, LOC108134518|XP_017110344.1|DELE	LOC115270026|XP_029734800.1|AEAL, LOC109400725|XP_029734785.1|AEAL
OG0001088	LOC108150303|XP_017133904.1|DELE	LOC115263103|XP_029721877.1|AEAL, LOC115263115|XP_029721895.1|AEAL, LOC115263109|XP_029721883.1|AEAL, LOC109407426|XP_029721882.1|AEAL, LOC115263134|XP_029721913.1|AEAL, LOC109416571|XP_029721896.1|AEAL, LOC109407455|XP_029721897.1|AEAL, LOC109416717|XP_019546318.2|AEAL
OG0001089	LOC108146470|XP_017127977.1|DELE	LOC115260094|XP_029716823.1|AEAL, LOC115253512|XP_029721729.1|AEAL, LOC109422350|XP_019552623.1|AEAL
OG0001090	LOC108146353|XP_017127815.1|DELE	LOC109417188|XP_029735699.1|AEAL, LOC109403072|XP_029735785.1|AEAL, LOC109417186|XP_019546855.1|AEAL, LOC109403060|XP_019531341.2|AEAL, LOC115270379|XP_029735783.1|AEAL
OG0001092	LOC108136409|XP_017113007.1|DELE	LOC115256840|XP_029711720.1|AEAL
OG0001092	LOC108139043|XP_017117149.1|DELE	LOC109432899|XP_029711857.1|AEAL, LOC109401392|XP_029711689.1|AEAL
OG0001093	LOC108139049|XP_017117156.1|DELE	LOC115255689|XP_029709649.1|AEAL, LOC115256844|XP_029711726.1|AEAL, LOC109401413|XP_019529510.2|AEAL, LOC109432909|XP_029711686.1|AEAL, LOC115255608|XP_029709560.1|AEAL, LOC109432911|XP_019564823.2|AEAL, LOC115255616|XP_029709563.1|AEAL, LOC109401418|XP_019529516.2|AEAL
OG0001094	LOC108138865|XP_017116878.1|DELE, LOC108138737|XP_017116619.1|DELE	LOC109411260|XP_029715429.1|AEAL
OG0001095	LOC108143714|XP_017123739.1|DELE	LOC109400349|XP_019528393.2|AEAL, LOC109425168|XP_019555961.2|AEAL, LOC109425169|XP_019555962.2|AEAL, LOC109400327|XP_029724842.1|AEAL
OG0001096	LOC108138882|XP_017116902.1|DELE	LOC109419064|XP_029729383.1|AEAL
OG0001097	LOC108138039|XP_017115504.1|DELE, LOC108148313|XP_017130829.1|DELE	LOC109430129|XP_019561705.2|AEAL
OG0001099	LOC108142795|XP_017122334.1|DELE	LOC109410717|XP_019539784.2|AEAL, LOC109410888|XP_019539938.2|AEAL
OG0001100	LOC108142883|XP_017122448.1|DELE, LOC108138109|XP_017115608.1|DELE	LOC115253514|XP_029713236.1|AEAL, LOC115253664|XP_029713173.1|AEAL, LOC115253516|XP_029713150.1|AEAL, LOC109403404|XP_019531773.1|AEAL
OG0001101	LOC108144311|XP_017124492.1|DELE	LOC109413581|XP_029721348.1|AEAL, LOC109401225|XP_029721397.1|AEAL
OG0001102	LOC108143210|XP_017122984.1|DELE	LOC115260338|XP_029717128.1|AEAL, LOC115262668|XP_029721131.1|AEAL, LOC115260337|XP_029717127.1|AEAL, LOC109427048|XP_029721143.1|AEAL, LOC109623359|XP_029721142.1|AEAL, LOC115254044|XP_029717123.1|AEAL
OG0001103	LOC108135031|XP_017111057.1|DELE	LOC109400467|XP_019528553.2|AEAL, LOC109399676|XP_029709872.1|AEAL
OG0001104	LOC108137961|XP_017115413.1|DELE	LOC109410655|XP_019539733.2|AEAL
OG0001105	LOC108149709|XP_017132964.1|DELE, LOC108134887|XP_017110877.1|DELE	LOC109433502|XP_019565483.1|AEAL
OG0001106	LOC108134958|XP_017110969.1|DELE, LOC108135313|XP_017111486.1|DELE	LOC115268047|XP_029731820.1|AEAL, LOC109426030|XP_019557013.2|AEAL
OG0001118	LOC108138522|XP_017116271.1|DELE	LOC109405086|XP_019533629.2|AEAL
OG0001119	LOC108134620|XP_017110494.1|DELE	LOC109432294|XP_029731051.1|AEAL, LOC115267805|XP_029730993.1|AEAL, LOC115257422|XP_029712864.1|AEAL, LOC109429947|XP_029712758.1|AEAL, LOC115257901|XP_029713739.1|AEAL, LOC115253994|XP_029713240.1|AEAL
OG0001120	LOC108148726|XP_017131393.1|DELE, LOC108148582|XP_017131121.1|DELE	LOC109417417|XP_029720341.1|AEAL, LOC109417254|XP_019546912.2|AEAL
OG0001121	LOC108146871|XP_017128593.1|DELE	LOC109407731|XP_029726202.1|AEAL
OG0001122	LOC108146446|XP_017127945.1|DELE	LOC109413987|XP_029722586.1|AEAL, LOC109399190|XP_029726592.1|AEAL, LOC115263429|XP_029722579.1|AEAL
OG0001124	LOC108135249|XP_017111407.1|DELE	LOC115265347|XP_029725891.1|AEAL, LOC109411808|XP_029725926.1|AEAL
OG0001125	LOC108137001|XP_017113988.1|DELE	LOC109410772|XP_029735056.1|AEAL, LOC109413498|XP_029735037.1|AEAL, LOC109410773|XP_019539847.2|AEAL, LOC115270118|XP_029735038.1|AEAL
OG0001127	LOC108142663|XP_017122154.1|DELE	LOC109621888|XP_019931640.2|AEAL, LOC115264385|XP_029723890.1|AEAL, LOC115268238|XP_029732151.1|AEAL
OG0001128	LOC108144710|XP_017125291.1|DELE	LOC115266684|XP_029729067.1|AEAL, LOC109416688|XP_029729068.1|AEAL, LOC115266601|XP_029728908.1|AEAL, LOC109416502|XP_029728895.1|AEAL, LOC109397551|XP_029714755.1|AEAL, LOC109622814|XP_029714606.1|AEAL
OG0001129	LOC108141584|XP_017120519.1|DELE	LOC109428271|XP_029728520.1|AEAL, LOC109427952|XP_029728323.1|AEAL
OG0001131	LOC108145276|XP_017126061.1|DELE	LOC109429432|XP_029724808.1|AEAL, LOC109425149|XP_029724806.1|AEAL, LOC109425152|XP_019555932.2|AEAL
OG0001133	LOC108141638|XP_017120597.1|DELE, LOC108134564|XP_017110406.1|DELE, LOC108141852|XP_017120932.1|DELE	LOC109397492|XP_029708982.1|AEAL, LOC115253723|XP_029708997.1|AEAL, LOC115255215|XP_029709017.1|AEAL, LOC109419916|XP_029708969.1|AEAL
OG0001134	LOC108143562|XP_017123560.1|DELE	LOC109419129|XP_029722343.1|AEAL, LOC115259937|XP_029716596.1|AEAL
OG0001135	LOC108139350|XP_017117563.1|DELE	LOC109399742|XP_019527803.2|AEAL, LOC109402037|XP_019530186.2|AEAL
OG0001136	LOC108142892|XP_017122456.1|DELE	LOC109409584|XP_029732462.1|AEAL, LOC115268460|XP_029732317.1|AEAL, LOC115268457|XP_029732304.1|AEAL
OG0001137	LOC108143785|XP_017123799.1|DELE	LOC109406162|XP_019534775.1|AEAL, LOC109401796|XP_019529955.1|AEAL
OG0001138	LOC108146178|XP_017127573.1|DELE	LOC109397776|XP_029712084.1|AEAL
OG0001139	LOC108146925|XP_017128657.1|DELE	LOC109412044|XP_019541231.2|AEAL
OG0001153	LOC108141497|XP_017120403.1|DELE	LOC115256680|XP_029711441.1|AEAL, LOC115256405|XP_029710746.1|AEAL, LOC109427540|XP_019558650.2|AEAL
OG0001154	LOC108142000|XP_017121154.1|DELE	LOC109407226|XP_029715238.1|AEAL
OG0001155	LOC108138560|XP_017116322.1|DELE	LOC115256383|XP_029710639.1|AEAL
OG0001157	LOC108134785|XP_017110726.1|DELE	LOC109431516|XP_029717886.1|AEAL
OG0001158	LOC108149541|XP_017132667.1|DELE	LOC109423923|XP_029727260.1|AEAL, LOC109404799|XP_029727300.1|AEAL
OG0001159	LOC108148638|XP_017131242.1|DELE	LOC109431943|XP_029712536.1|AEAL
OG0001160	LOC108141128|XP_017119837.1|DELE	LOC109400071|XP_029707703.1|AEAL, LOC109621624|XP_029707671.1|AEAL
OG0001161	LOC108139181|XP_017117291.1|DELE	LOC115254369|XP_029707719.1|AEAL, LOC115253583|XP_029707712.1|AEAL, LOC109400045|XP_029707645.1|AEAL
OG0001162	LOC108139302|XP_017117490.1|DELE	LOC109623099|XP_029710000.1|AEAL, LOC115255934|XP_029710012.1|AEAL, LOC109416877|XP_029709999.1|AEAL
OG0001164	LOC108143851|XP_017123901.1|DELE	LOC115267183|XP_029729911.1|AEAL, LOC109405410|XP_029712594.1|AEAL
OG0001165	LOC108143431|XP_017123334.1|DELE	LOC109405429|XP_019534039.2|AEAL
OG0001167	LOC108134610|XP_017110473.1|DELE, LOC108141832|XP_017120905.1|DELE	LOC115255807|XP_029709842.1|AEAL, LOC109419700|XP_029733501.1|AEAL
OG0001168	LOC108137957|XP_017115406.1|DELE	LOC109417813|XP_029725483.1|AEAL
OG0001169	LOC108136178|XP_017112664.1|DELE, LOC108136354|XP_017112952.1|DELE	LOC109408420|XP_029732437.1|AEAL, LOC109413933|XP_029711888.1|AEAL, LOC109622074|XP_019931859.2|AEAL
OG0001170	LOC108148508|XP_017131035.1|DELE	LOC115263120|XP_029721900.1|AEAL, LOC115263304|XP_029722372.1|AEAL, LOC115263051|XP_029721840.1|AEAL, LOC115263048|XP_029721836.1|AEAL, LOC115263052|XP_029721841.1|AEAL, LOC115263049|XP_029721837.1|AEAL
OG0001171	LOC108150250|XP_017133803.1|DELE	LOC109407435|XP_029729637.1|AEAL, LOC115263136|XP_029721917.1|AEAL, LOC109416468|XP_029722351.1|AEAL, LOC115263279|XP_029722277.1|AEAL, LOC115263132|XP_029721911.1|AEAL
OG0001172	LOC108143535|XP_017123521.1|DELE	LOC109399467|XP_019527449.2|AEAL, LOC109398011|XP_019525891.2|AEAL
OG0001173	LOC108142931|XP_017122514.1|DELE	LOC109414269|XP_019543634.2|AEAL
OG0001174	LOC108142178|XP_017121351.1|DELE, LOC108142179|XP_017121352.1|DELE	LOC115266579|XP_029728830.1|AEAL, LOC109411127|XP_019540126.1|AEAL
OG0001175	LOC108144787|XP_017125387.1|DELE	LOC109421575|XP_029728219.1|AEAL, LOC109407055|XP_029728223.1|AEAL
OG0001176	LOC108141300|XP_017120054.1|DELE, LOC108149737|XP_017133002.1|DELE	LOC109428218|XP_019559461.2|AEAL, LOC115263988|XP_029723149.1|AEAL, LOC115263993|XP_029723154.1|AEAL, LOC109427899|XP_019559052.2|AEAL
OG0001177	LOC108138815|XP_017116800.1|DELE	LOC109411712|XP_029720229.1|AEAL
OG0001178	LOC108145514|XP_017126475.1|DELE	LOC109419741|XP_029708593.1|AEAL
OG0001179	LOC108144698|XP_017125276.1|DELE	LOC109427566|XP_019558681.2|AEAL
OG0001180	LOC108145298|XP_017126108.1|DELE	LOC115262179|XP_029720337.1|AEAL, LOC109411694|XP_029720243.1|AEAL
OG0001181	LOC108136115|XP_017112584.1|DELE	LOC109414185|XP_019543512.1|AEAL
OG0001182	LOC108147261|XP_017129148.1|DELE	LOC109401498|XP_029725010.1|AEAL, LOC109431750|XP_029724953.1|AEAL, LOC109401450|XP_029725022.1|AEAL, LOC109431749|XP_029724962.1|AEAL
OG0001183	LOC108140588|XP_017118963.1|DELE	LOC109405001|XP_029727177.1|AEAL
OG0001185	LOC108148260|XP_017130696.1|DELE	LOC115253642|XP_029727783.1|AEAL, LOC109404402|XP_029727818.1|AEAL, LOC115266086|XP_029727861.1|AEAL, LOC109431900|XP_029727798.1|AEAL
OG0001186	LOC108141159|XP_017119875.1|DELE	LOC109399376|XP_019527360.2|AEAL
OG0001187	LOC108149761|XP_017133066.1|DELE	LOC115257587|XP_029713229.1|AEAL, LOC109433191|XP_019565143.2|AEAL, LOC115266883|XP_029729344.1|AEAL, LOC109402294|XP_019530494.2|AEAL, LOC109433212|XP_019565161.2|AEAL, LOC115260075|XP_029716808.1|AEAL, LOC115257563|XP_029713195.1|AEAL
OG0001188	LOC108143449|XP_017123369.1|DELE	LOC109424429|XP_019555078.2|AEAL, LOC115264559|XP_029724238.1|AEAL
OG0001189	LOC108149197|XP_017132111.1|DELE	LOC109418659|XP_019548423.2|AEAL, LOC115267997|XP_029731736.1|AEAL, LOC115269466|XP_029734106.1|AEAL
OG0001190	LOC108140915|XP_017119458.1|DELE	LOC109414799|XP_029719560.1|AEAL, LOC109418646|XP_029719561.1|AEAL, LOC109414798|XP_029736448.1|AEAL
OG0001191	LOC108142135|XP_017121320.1|DELE	LOC109418615|XP_019548365.1|AEAL, LOC109410097|XP_029713357.1|AEAL, LOC109410100|XP_029733006.1|AEAL, LOC109418612|XP_029712964.1|AEAL, LOC115257655|XP_029713355.1|AEAL
OG0001192	LOC108150699|XP_017134452.1|DELE	LOC115262769|XP_029721486.1|AEAL, LOC109431053|XP_029721481.1|AEAL
OG0001193	LOC108140617|XP_017119019.1|DELE	LOC115254884|XP_029708431.1|AEAL, LOC109399105|XP_029731134.1|AEAL, LOC109399566|XP_029727176.1|AEAL
OG0001194	LOC108147668|XP_017129844.1|DELE	LOC109399560|XP_029731199.1|AEAL
OG0001195	LOC108145371|XP_017126254.1|DELE	LOC109421162|XP_019551201.2|AEAL, LOC109410562|XP_019539638.2|AEAL
OG0001201	LOC108143870|XP_017123926.1|DELE	LOC109413206|XP_029710459.1|AEAL, LOC109411468|XP_029729632.1|AEAL, LOC115266993|XP_029729612.1|AEAL
OG0001202	LOC108140909|XP_017119451.1|DELE	LOC115256338|XP_029710513.1|AEAL, LOC115256337|XP_029710510.1|AEAL, LOC109424953|XP_019555691.2|AEAL
OG0001203	LOC108145311|XP_017126144.1|DELE	LOC109424988|XP_029711078.1|AEAL, LOC115256418|XP_029710789.1|AEAL, LOC109431137|XP_019562876.2|AEAL
OG0001204	LOC108149508|XP_017132624.1|DELE	LOC109408950|XP_019537895.2|AEAL
OG0001206	LOC108136838|XP_017113747.1|DELE	LOC109422192|XP_029710557.1|AEAL
OG0001207	LOC108136450|XP_017113118.1|DELE	LOC109416871|XP_019546517.1|AEAL
OG0001208	LOC108137268|XP_017114351.1|DELE	LOC109422014|XP_029711117.1|AEAL, LOC115256582|XP_029711220.1|AEAL
OG0001209	LOC108136862|XP_017113790.1|DELE	LOC109622458|XP_029711425.1|AEAL, LOC115258387|XP_029714337.1|AEAL, LOC109427462|XP_029707763.1|AEAL, LOC115258388|XP_029714338.1|AEAL, LOC109427463|XP_029708095.1|AEAL, LOC109427451|XP_029710821.1|AEAL
OG0001210	LOC108135436|XP_017111664.1|DELE	LOC109425391|XP_029717696.1|AEAL, LOC115261678|XP_029719427.1|AEAL, LOC109418683|XP_019548443.1|AEAL, LOC109415912|XP_029717657.1|AEAL, LOC109412955|XP_029717701.1|AEAL, LOC115261681|XP_029719430.1|AEAL
OG0001211	LOC108141227|XP_017119971.1|DELE	LOC109410067|XP_029712702.1|AEAL
OG0001212	LOC108138574|XP_017116345.1|DELE	LOC109412731|XP_019541898.2|AEAL, LOC109411856|XP_019541019.2|AEAL, LOC115259469|XP_029715906.1|AEAL, LOC109413157|XP_029711334.1|AEAL
OG0001213	LOC108140805|XP_017119293.1|DELE	LOC109429341|XP_029716203.1|AEAL, LOC109399009|XP_029716156.1|AEAL, LOC115260114|XP_029716874.1|AEAL, LOC109429357|XP_029716187.1|AEAL, LOC109399008|XP_019526999.2|AEAL
OG0001214	LOC108137391|XP_017114539.1|DELE	LOC109623212|XP_019933252.2|AEAL, LOC109415280|XP_019544702.2|AEAL
OG0001215	LOC108148346|XP_017130847.1|DELE	LOC109423631|XP_019554162.2|AEAL, LOC115264127|XP_029723333.1|AEAL, LOC109423633|XP_029723345.1|AEAL, LOC109400263|XP_019528289.2|AEAL, LOC115264141|XP_029723378.1|AEAL
OG0001216	LOC108140645|XP_017119057.1|DELE	LOC109423629|XP_029723325.1|AEAL, LOC109400267|XP_029723331.1|AEAL, LOC109423626|XP_029723323.1|AEAL, LOC115264295|XP_029723826.1|AEAL
OG0001217	LOC108139267|XP_017117447.1|DELE, LOC108136751|XP_017113591.1|DELE	LOC109405480|XP_029729887.1|AEAL, LOC109402376|XP_029712601.1|AEAL, LOC115267179|XP_029729888.1|AEAL
OG0001218	LOC108148676|XP_017131302.1|DELE	LOC109403864|XP_029723879.1|AEAL
OG0001220	LOC108147372|XP_017129296.1|DELE	LOC115265440|XP_029726428.1|AEAL, LOC109423337|XP_019553825.2|AEAL, LOC115261959|XP_029719743.1|AEAL, LOC109423338|XP_029726429.1|AEAL, LOC115261964|XP_029719751.1|AEAL
OG0001221	LOC108145473|XP_017126415.1|DELE	LOC109399239|XP_019527222.2|AEAL, LOC109429051|XP_029726541.1|AEAL, LOC109428699|XP_019560056.2|AEAL, LOC109424283|XP_029735634.1|AEAL
OG0001223	LOC108142157|XP_017121330.1|DELE	LOC109415870|XP_019545361.3|AEAL, LOC109622717|XP_029712038.1|AEAL
OG0001224	LOC108144901|XP_017125551.1|DELE	LOC115254269|XP_029736457.1|AEAL, LOC115260213|XP_029717005.1|AEAL, LOC109418651|XP_029730668.1|AEAL, LOC109414794|XP_029719570.1|AEAL
OG0001225	LOC108149610|XP_017132801.1|DELE	LOC109423814|XP_029735400.1|AEAL, LOC109430612|XP_029735415.1|AEAL, LOC109423816|XP_019554406.2|AEAL, LOC109430634|XP_029735433.1|AEAL
OG0001226	LOC108144782|XP_017125382.1|DELE	LOC109408176|XP_029728757.1|AEAL, LOC109411115|XP_029728702.1|AEAL, LOC115266551|XP_029728705.1|AEAL
OG0001227	LOC108138045|XP_017115506.1|DELE	LOC109622030|XP_019931782.2|AEAL, LOC109622003|XP_029724995.1|AEAL
OG0001228	LOC108134875|XP_017110857.1|DELE	LOC109397760|XP_019525619.2|AEAL, LOC109428818|XP_019560210.2|AEAL, LOC115269394|XP_029733932.1|AEAL, LOC115258127|XP_029714026.1|AEAL
OG0001229	LOC108149906|XP_017133297.1|DELE	LOC109417515|XP_029714500.1|AEAL, LOC109410204|XP_019539271.2|AEAL
OG0001230	LOC108137941|XP_017115388.1|DELE	LOC115255374|XP_029709276.1|AEAL, LOC115255378|XP_029709286.1|AEAL, LOC109417688|XP_029709203.1|AEAL
OG0001231	LOC108135182|XP_017111288.1|DELE	LOC109431831|XP_029722656.1|AEAL, LOC115254955|XP_029708480.1|AEAL
OG0001232	LOC108138914|XP_017116962.1|DELE	LOC109421237|XP_019551265.2|AEAL
OG0001233	LOC108138337|XP_017115990.1|DELE	LOC109432481|XP_029726919.1|AEAL, LOC109421338|XP_029727063.1|AEAL
OG0001234	LOC108141474|XP_017120370.1|DELE	LOC109402517|XP_019530753.2|AEAL
OG0001235	LOC108137862|XP_017115283.1|DELE	LOC109411688|XP_019540801.2|AEAL, LOC115262177|XP_029720326.1|AEAL, LOC109404615|XP_019533064.2|AEAL, LOC109411681|XP_029720322.1|AEAL
OG0001236	LOC108142636|XP_017122121.1|DELE, LOC108142843|XP_017122401.1|DELE, LOC108142250|XP_017121458.1|DELE	LOC109414181|XP_029712491.1|AEAL
OG0001237	LOC108146615|XP_017128150.1|DELE, LOC108136767|XP_017113617.1|DELE	LOC109426266|XP_029707813.1|AEAL, LOC109421720|XP_029714000.1|AEAL
OG0001238	LOC108147213|XP_017129061.1|DELE	LOC109413694|XP_029727320.1|AEAL
OG0001239	LOC108135819|XP_017112185.1|DELE	LOC115264738|XP_029724628.1|AEAL, LOC109409112|XP_029730294.1|AEAL, LOC109401658|XP_019529779.2|AEAL, LOC109420361|XP_019550234.2|AEAL
OG0001240	LOC108147238|XP_017129125.1|DELE	LOC109405745|XP_029710923.1|AEAL
OG0001241	LOC108137907|XP_017115336.1|DELE	LOC109422597|XP_029712274.1|AEAL, LOC109402813|XP_029712227.1|AEAL
OG0001242	LOC108150121|XP_017133577.1|DELE, LOC108147713|XP_017129925.1|DELE	LOC109403313|XP_029718610.1|AEAL, LOC109412243|XP_019541430.1|AEAL
OG0001244	LOC108139185|XP_017117299.1|DELE	LOC115267025|XP_029729659.1|AEAL, LOC109432004|XP_029724278.1|AEAL, LOC115267091|XP_029729808.1|AEAL, LOC109399824|XP_029729811.1|AEAL
OG0001245	LOC108136673|XP_017113485.1|DELE	LOC115262829|XP_029721582.1|AEAL, LOC109425844|XP_029721583.1|AEAL, LOC115262612|XP_029720867.1|AEAL, LOC115262767|XP_029721474.1|AEAL
OG0001246	LOC108144196|XP_017124354.1|DELE	LOC109426479|XP_019557543.2|AEAL, LOC109426478|XP_019557542.2|AEAL, LOC109408978|XP_019537917.2|AEAL
OG0001247	LOC108134543|XP_017110384.1|DELE	LOC109433490|XP_029710256.1|AEAL, LOC109410662|XP_029731649.1|AEAL
OG0001248	LOC108150185|XP_017133669.1|DELE	LOC109425899|XP_019556819.2|AEAL
OG0001249	LOC108148462|XP_017130983.1|DELE, LOC108141213|XP_017119955.1|DELE	LOC115270971|XP_029736208.1|AEAL, LOC109407549|XP_019536161.2|AEAL, LOC109425808|XP_029736205.1|AEAL
OG0001257	LOC108145268|XP_017126037.1|DELE, LOC108145267|XP_017126030.1|DELE	LOC109424983|XP_029711672.1|AEAL, LOC109431126|XP_029730261.1|AEAL
OG0001258	LOC108144021|XP_017124136.1|DELE	LOC115260011|XP_029716705.1|AEAL, LOC109422191|XP_019552379.2|AEAL, LOC109428477|XP_019559796.1|AEAL
OG0001259	LOC108137124|XP_017114150.1|DELE	LOC109398767|XP_019526709.2|AEAL, LOC109623360|XP_019933464.2|AEAL, LOC109401178|XP_019529200.2|AEAL
OG0001260	LOC108135137|XP_017111235.1|DELE	LOC115256411|XP_029710765.1|AEAL, LOC109427544|XP_019558657.2|AEAL, LOC115256617|XP_029711299.1|AEAL, LOC115256594|XP_029711260.1|AEAL, LOC115269374|XP_029733906.1|AEAL, LOC109427545|XP_019558658.1|AEAL
OG0001261	LOC108144681|XP_017125237.1|DELE	LOC109422119|XP_019552298.1|AEAL
OG0001263	LOC108147655|XP_017129824.1|DELE, LOC108143066|XP_017122769.1|DELE	LOC109415630|XP_029730267.1|AEAL
OG0001264	LOC108134747|XP_017110676.1|DELE	LOC115266784|XP_029729217.1|AEAL, LOC109433564|XP_029729246.1|AEAL, LOC109430179|XP_029729242.1|AEAL, LOC109421814|XP_029717586.1|AEAL, LOC115253729|XP_029717522.1|AEAL
OG0001265	LOC108136242|XP_017112767.1|DELE	LOC109431460|XP_019563208.2|AEAL
OG0001266	LOC108149631|XP_017132850.1|DELE	LOC115263718|XP_029722829.1|AEAL, LOC109425434|XP_019556248.2|AEAL, LOC109432218|XP_029722814.1|AEAL
OG0001267	LOC108148921|XP_017131726.1|DELE	LOC115263657|XP_029722722.1|AEAL, LOC109400103|XP_029722959.1|AEAL, LOC115253611|XP_029722954.1|AEAL, LOC109621581|XP_029730493.1|AEAL, LOC109430341|XP_019561943.2|AEAL
OG0001269	LOC108144392|XP_017124660.1|DELE	LOC109429328|XP_019560777.2|AEAL, LOC109401040|XP_019529067.2|AEAL
OG0001270	LOC108137456|XP_017114643.1|DELE	LOC109424426|XP_019555076.2|AEAL, LOC109426294|XP_029721529.1|AEAL, LOC115253683|XP_029714169.1|AEAL, LOC115269325|XP_029733802.1|AEAL, LOC109415279|XP_019544701.2|AEAL
OG0001271	LOC108141468|XP_017120363.1|DELE	LOC109423271|XP_019553748.2|AEAL, LOC109423269|XP_019553746.2|AEAL
OG0001272	LOC108146321|XP_017127774.1|DELE	LOC109402588|XP_019530832.2|AEAL
OG0001273	LOC108140442|XP_017118661.1|DELE	LOC109406565|XP_019535205.2|AEAL, LOC115265703|XP_029727526.1|AEAL, LOC109415843|XP_019545328.2|AEAL, LOC109418743|XP_029715739.1|AEAL, LOC109415844|XP_019545329.1|AEAL
OG0001274	LOC108142614|XP_017122085.1|DELE	LOC115269683|XP_029734372.1|AEAL, LOC109404909|XP_029734943.1|AEAL, LOC115270107|XP_029734980.1|AEAL, LOC109400595|XP_019528628.2|AEAL, LOC115270106|XP_029734979.1|AEAL
OG0001276	LOC108146305|XP_017127746.1|DELE, LOC108145755|XP_017126808.1|DELE	LOC109425655|XP_029734743.1|AEAL
OG0001277	LOC108145821|XP_017126915.1|DELE	LOC109423359|XP_029725090.1|AEAL, LOC109401474|XP_029721727.1|AEAL
OG0001278	LOC108150209|XP_017133710.1|DELE	LOC115268895|XP_029732944.1|AEAL, LOC109403769|XP_029722460.1|AEAL
OG0001279	LOC108142860|XP_017122419.1|DELE	LOC115254218|XP_029732946.1|AEAL, LOC115259606|XP_029716199.1|AEAL, LOC109420587|XP_019550498.2|AEAL, LOC115260841|XP_029718021.1|AEAL, LOC109407261|XP_019535814.2|AEAL, LOC115258603|XP_029714746.1|AEAL, LOC109413533|XP_019542761.2|AEAL, LOC109404211|XP_019532592.2|AEAL, LOC109416926|XP_019546586.1|AEAL
OG0001280	LOC108146001|XP_017127245.1|DELE	LOC109424159|XP_029722010.1|AEAL, LOC115253833|XP_029710342.1|AEAL, LOC109430829|XP_019562461.1|AEAL
OG0001281	LOC108146431|XP_017127923.1|DELE	LOC115254264|XP_029736044.1|AEAL, LOC109399532|XP_029736040.1|AEAL, LOC109404375|XP_019532768.1|AEAL, LOC115254263|XP_029736038.1|AEAL, LOC109404377|XP_029735738.1|AEAL, LOC115270449|XP_029736039.1|AEAL
