Orthogroup	DELE.longest_only	CQUI.longest_only
OG0000301	LOC108145309|XP_017126142.1|DELE	LOC6047906|XP_001864898.1|CQUI
OG0000301	LOC108138322|XP_017115970.1|DELE	LOC6034863|XP_001845133.1|CQUI
OG0000302	LOC108142838|XP_017122393.1|DELE, LOC108142703|XP_017122207.1|DELE	LOC6032144|XP_001842798.2|CQUI, LOC6032143|XP_001842797.2|CQUI, LOC119767038|XP_038110222.1|CQUI, LOC6032141|XP_001842795.2|CQUI
OG0000303	LOC108135554|XP_017111790.1|DELE, LOC108136627|XP_017113435.1|DELE, LOC108138277|XP_017115918.1|DELE	LOC6052242|XP_038120948.1|CQUI
OG0000304	LOC108143050|XP_017122748.1|DELE, LOC108143075|XP_017122780.1|DELE, LOC108143073|XP_017122778.1|DELE	LOC6042769|XP_038116430.1|CQUI
OG0000305	LOC108136042|XP_017112462.1|DELE	LOC6035458|XP_001845644.2|CQUI
OG0000306	LOC108135362|XP_017111543.1|DELE, LOC108135394|XP_017111582.1|DELE, LOC108144601|XP_017125103.1|DELE	LOC6049473|XP_038122439.1|CQUI
OG0000307	LOC108136825|XP_017113718.1|DELE	LOC6048080|XP_038107440.1|CQUI
OG0000307	LOC108147185|XP_017129018.1|DELE	LOC6032667|XP_038106011.1|CQUI
OG0000311	LOC108137376|XP_017114516.1|DELE, LOC108140493|XP_017118758.1|DELE, LOC108144439|XP_017124817.1|DELE	LOC6038299|XP_038123051.1|CQUI
OG0000312	LOC108141908|XP_017121010.1|DELE	LOC119766616|XP_038107494.1|CQUI
OG0000312	LOC108134740|XP_017110653.1|DELE	LOC6051796|XP_038114098.1|CQUI, LOC6033298|XP_038108136.1|CQUI
OG0000313	LOC108141889|XP_017120987.1|DELE, LOC108149503|XP_017132614.1|DELE	LOC6042070|XP_038107572.1|CQUI, LOC6042069|XP_038107570.1|CQUI
OG0000315	LOC108149513|XP_017132632.1|DELE	LOC6053118|XP_001869267.2|CQUI, LOC6053120|XP_038112347.1|CQUI
OG0000320	LOC108135071|XP_017111109.1|DELE, LOC108149320|XP_017132272.1|DELE, LOC108139162|XP_017117267.1|DELE	LOC6035063|XP_038114234.1|CQUI
OG0000321	LOC108138079|XP_017115555.1|DELE, LOC108138087|XP_017115562.1|DELE	LOC6046508|XP_001863695.2|CQUI, LOC6044682|XP_001862157.2|CQUI, LOC6046507|XP_001863694.2|CQUI, LOC6053869|XP_001869887.2|CQUI
OG0000322	LOC108140447|XP_017118667.1|DELE, LOC108135914|XP_017112337.1|DELE, LOC108137634|XP_017114916.1|DELE	LOC6046615|XP_038120091.1|CQUI, LOC119769501|XP_038118112.1|CQUI, LOC119769502|XP_038118113.1|CQUI
OG0000323	LOC108149405|XP_017132431.1|DELE, LOC108136837|XP_017113746.1|DELE, LOC108136836|XP_017113745.1|DELE	LOC6033388|XP_038109505.1|CQUI
OG0000324	LOC108149085|XP_017131963.1|DELE	LOC6032322|XP_038109936.1|CQUI
OG0000325	LOC108146534|XP_017128064.1|DELE, LOC108146539|XP_017128069.1|DELE	LOC6034529|XP_001844829.1|CQUI, LOC6034530|XP_001844830.2|CQUI, LOC6043286|XP_001858177.2|CQUI
OG0000331	LOC108139058|XP_017117166.1|DELE, LOC108138953|XP_017117021.1|DELE	LOC6033593|XP_038107031.1|CQUI, LOC6053126|XP_038104862.1|CQUI, LOC119766830|XP_038108839.1|CQUI
OG0000332	LOC108142090|XP_017121273.1|DELE	LOC119770165|XP_038120507.1|CQUI
OG0000332	LOC108147743|XP_017129963.1|DELE	LOC119765344|XP_038104986.1|CQUI, LOC6046361|XP_038121114.1|CQUI
OG0000333	LOC108150210|XP_017133715.1|DELE, LOC108150335|XP_017133947.1|DELE	LOC6037279|XP_038115324.1|CQUI
OG0000334	LOC108149653|XP_017132882.1|DELE, LOC108134862|XP_017110836.1|DELE, LOC108144751|XP_017125344.1|DELE	LOC6037101|XP_001847049.1|CQUI
OG0000335	LOC108138708|XP_017116547.1|DELE, LOC108138665|XP_017116495.1|DELE	LOC6038268|XP_001848092.2|CQUI, LOC6043220|XP_001857710.2|CQUI
OG0000338	LOC108145975|XP_017127195.1|DELE	LOC6042304|XP_038118860.1|CQUI
OG0000338	LOC108137097|XP_017114110.1|DELE, LOC108134606|XP_017110463.1|DELE	LOC6052391|XP_038116274.1|CQUI
OG0000339	LOC108145766|XP_017126824.1|DELE, LOC108145770|XP_017126828.1|DELE	LOC119770586|XP_038121683.1|CQUI
OG0000340	LOC108144761|XP_017125356.1|DELE	LOC6042260|XP_001851398.2|CQUI
OG0000342	LOC108141609|XP_017120554.1|DELE, LOC108140498|XP_017118763.1|DELE, LOC108144236|XP_017124405.1|DELE	LOC6039057|XP_038104470.1|CQUI
OG0000343	LOC108143068|XP_017122771.1|DELE	LOC6047925|XP_038105326.1|CQUI
OG0000343	LOC108140964|XP_017119521.1|DELE	LOC6047918|XP_001864906.2|CQUI, LOC6047916|XP_001864904.2|CQUI, LOC6047922|XP_001864903.2|CQUI, LOC6047917|XP_001864905.1|CQUI
OG0000344	LOC108144645|XP_017125176.1|DELE, LOC108148792|XP_017131500.1|DELE	LOC6031612|XP_038122864.1|CQUI, LOC6031624|XP_038104631.1|CQUI, LOC6031626|XP_001842376.2|CQUI
OG0000345	LOC108149933|XP_017133338.1|DELE	LOC6043920|XP_001861505.1|CQUI
OG0000345	LOC108149071|XP_017131916.1|DELE	LOC6048424|XP_038108064.1|CQUI
OG0000346	LOC108144636|XP_017125156.1|DELE, LOC108143574|XP_017123574.1|DELE, LOC108145504|XP_017126500.1|DELE, LOC108134622|XP_017110496.1|DELE, LOC108144132|XP_017124265.1|DELE, LOC108144133|XP_017124266.1|DELE	LOC6047939|XP_038119570.1|CQUI
OG0000347	LOC108147531|XP_017129604.1|DELE	LOC6053028|XP_001869188.1|CQUI
OG0000347	LOC108148000|XP_017130311.1|DELE	LOC6035234|XP_038108929.1|CQUI
OG0000348	LOC108147824|XP_017130067.1|DELE, LOC108138619|XP_017116397.1|DELE	LOC6052178|XP_038112049.1|CQUI
OG0000349	LOC108139012|XP_017117103.1|DELE, LOC108137529|XP_017114739.1|DELE	LOC6044701|XP_038109328.1|CQUI
OG0000351	LOC108143649|XP_017123650.1|DELE, LOC108143654|XP_017123655.1|DELE	LOC6035566|XP_001845722.1|CQUI, LOC119766460|XP_038106947.1|CQUI, LOC6051460|XP_038108559.1|CQUI, LOC119765222|XP_038104585.1|CQUI, LOC6035564|XP_001845720.2|CQUI, LOC119765223|XP_038104588.1|CQUI
OG0000353	LOC108144010|XP_017124122.1|DELE	LOC6053768|XP_038115591.1|CQUI
OG0000353	LOC108137813|XP_017115217.1|DELE	LOC6032433|XP_001843031.1|CQUI
OG0000355	LOC108145510|XP_017126464.1|DELE, LOC108135393|XP_017111581.1|DELE	LOC6052795|XP_001868999.1|CQUI, LOC6053794|XP_001869822.2|CQUI
OG0000356	LOC108138974|XP_017117047.1|DELE, LOC108139038|XP_017117139.1|DELE	LOC6036029|XP_001846132.2|CQUI, LOC6036024|XP_038108101.1|CQUI
OG0000361	LOC108140382|XP_017118575.1|DELE, LOC108148257|XP_017130674.1|DELE, LOC108138009|XP_017115468.1|DELE	LOC6053088|XP_001869241.2|CQUI
OG0000362	LOC108134619|XP_017110493.1|DELE	LOC6034794|XP_001845067.1|CQUI
OG0000362	LOC108150565|XP_017134293.1|DELE	LOC6035685|XP_001845819.1|CQUI
OG0000363	LOC108148619|XP_017131203.1|DELE	LOC6039378|XP_038117966.1|CQUI
OG0000363	LOC108135469|XP_017111700.1|DELE, LOC108146703|XP_017128255.1|DELE	LOC6040951|XP_038117956.1|CQUI
OG0000364	LOC108145644|XP_017126670.1|DELE	LOC6039276|XP_038114685.1|CQUI, LOC6039278|XP_038114688.1|CQUI
OG0000365	LOC108145475|XP_017126418.1|DELE	LOC6046162|XP_038120872.1|CQUI
OG0000365	LOC108134523|XP_017110351.1|DELE	LOC6041372|XP_038113037.1|CQUI
OG0000366	LOC108142419|XP_017121763.1|DELE	LOC6033823|XP_038120114.1|CQUI
OG0000366	LOC108147216|XP_017129070.1|DELE	LOC6052602|XP_038120752.1|CQUI
OG0000367	LOC108150285|XP_017133874.1|DELE, LOC108143494|XP_017123435.1|DELE	LOC6042616|XP_038111624.1|CQUI, LOC6042617|XP_038108533.1|CQUI, LOC6042618|XP_038108524.1|CQUI
OG0000368	LOC108135519|XP_017111754.1|DELE	LOC6034536|XP_038111824.1|CQUI, LOC6034538|XP_001844838.2|CQUI
OG0000376	LOC108136565|XP_017113363.1|DELE, LOC108136564|XP_017113362.1|DELE	LOC119765395|XP_038105106.1|CQUI
OG0000377	LOC108137757|XP_017115146.1|DELE, LOC108150339|XP_017133958.1|DELE	LOC6038728|XP_001848468.2|CQUI, LOC6039325|XP_038116617.1|CQUI, LOC6039830|XP_001849342.2|CQUI
OG0000378	LOC108144652|XP_017125186.1|DELE	LOC6037751|XP_001847631.2|CQUI, LOC6034070|XP_001844445.1|CQUI, LOC6034072|XP_001844447.1|CQUI
OG0000379	LOC108149578|XP_017132701.1|DELE, LOC108149579|XP_017132702.1|DELE, LOC108149616|XP_017132818.1|DELE	LOC6054491|XP_038116536.1|CQUI
OG0000380	LOC108149051|XP_017131883.1|DELE, LOC108136617|XP_017113428.1|DELE, LOC108142790|XP_017122326.1|DELE	LOC6050294|XP_001866924.2|CQUI
OG0000381	LOC108147823|XP_017130066.1|DELE, LOC108141932|XP_017121056.1|DELE	LOC6034141|XP_038110237.1|CQUI
OG0000382	LOC108138374|XP_017116043.1|DELE	LOC6033030|XP_001843536.2|CQUI, LOC6032454|XP_001843050.1|CQUI, LOC6033101|XP_001843596.2|CQUI
OG0000383	LOC108148070|XP_017130412.1|DELE, LOC108150485|XP_017134181.1|DELE	LOC6047999|XP_001864974.2|CQUI, LOC6031746|XP_038110977.1|CQUI
OG0000384	LOC108144878|XP_017125525.1|DELE	LOC6043083|XP_001855521.2|CQUI
OG0000384	LOC108144691|XP_017125251.1|DELE	LOC6052961|XP_038112129.1|CQUI
OG0000385	LOC108137428|XP_017114580.1|DELE	LOC6033386|XP_038111698.1|CQUI
OG0000385	LOC108137418|XP_017114566.1|DELE	LOC6034706|XP_001844987.2|CQUI
OG0000386	LOC108145735|XP_017126786.1|DELE, LOC108145721|XP_017126772.1|DELE, LOC108148634|XP_017131235.1|DELE	LOC6051258|XP_001867726.2|CQUI
OG0000389	LOC108142778|XP_017122310.1|DELE	LOC119768065|XP_038114337.1|CQUI
OG0000390	LOC108134534|XP_017110369.1|DELE	LOC6051517|XP_038107785.1|CQUI, LOC6051512|XP_038107787.1|CQUI, LOC6043601|XP_038122427.1|CQUI, LOC6033596|XP_038111911.1|CQUI, LOC6033640|XP_001844067.2|CQUI, LOC6033641|XP_038107557.1|CQUI
OG0000391	LOC108141599|XP_017120537.1|DELE	LOC6035291|XP_038120263.1|CQUI
OG0000391	LOC108150387|XP_017134018.1|DELE, LOC108137405|XP_017114556.1|DELE	LOC6044436|XP_038107548.1|CQUI
OG0000392	LOC108149548|XP_017132674.1|DELE, LOC108149520|XP_017132637.1|DELE	LOC6031277|XP_038112487.1|CQUI, LOC6040869|XP_038111082.1|CQUI
OG0000393	LOC108138735|XP_017116604.1|DELE	LOC6051324|XP_038109507.1|CQUI
OG0000393	LOC108149369|XP_017132360.1|DELE	LOC6037920|XP_038107003.1|CQUI
OG0000394	LOC108143974|XP_017124073.1|DELE, LOC108143900|XP_017123967.1|DELE	LOC6045636|XP_001862965.2|CQUI, LOC119769911|XP_038119665.1|CQUI, LOC6042215|XP_001851356.2|CQUI, LOC6031460|XP_001842264.1|CQUI, LOC119767415|XP_038111890.1|CQUI, LOC119767659|XP_038112639.1|CQUI, LOC119769986|XP_038119914.1|CQUI
OG0000395	LOC108142711|XP_017122218.1|DELE, LOC108142190|XP_017121363.1|DELE	LOC119766736|XP_038108203.1|CQUI
OG0000399	LOC108148879|XP_017131671.1|DELE, LOC108149178|XP_017132079.1|DELE	LOC6049034|XP_038104118.1|CQUI
OG0000400	LOC108138517|XP_017116252.1|DELE, LOC108138128|XP_017115651.1|DELE, LOC108138518|XP_017116253.1|DELE	LOC6040422|XP_038104927.1|CQUI
OG0000402	LOC108143810|XP_017123825.1|DELE	LOC6044718|XP_038119575.1|CQUI, LOC6047997|XP_001864961.2|CQUI, LOC6035773|XP_001845896.2|CQUI, LOC6053930|XP_001869933.2|CQUI, LOC6053931|XP_001869934.2|CQUI, LOC6053933|XP_038122341.1|CQUI, LOC6053909|XP_038122873.1|CQUI
OG0000404	LOC108148469|XP_017130990.1|DELE, LOC108148984|XP_017131814.1|DELE	LOC6054458|XP_001870365.2|CQUI, LOC6035436|XP_038104425.1|CQUI, LOC6035437|XP_001845626.2|CQUI, LOC6035435|XP_038106179.1|CQUI, LOC6035438|XP_038123010.1|CQUI, LOC6035440|XP_038105339.1|CQUI, LOC6035439|XP_038123023.1|CQUI
OG0000405	LOC108136619|XP_017113425.1|DELE	LOC6040923|XP_001850251.2|CQUI
OG0000405	LOC108139326|XP_017117524.1|DELE, LOC108135040|XP_017111067.1|DELE	LOC6040924|XP_001850252.2|CQUI
OG0000406	LOC108146722|XP_017128303.1|DELE, LOC108144890|XP_017125540.1|DELE	LOC6045472|XP_038119856.1|CQUI, LOC6034068|XP_001844444.1|CQUI
OG0000407	LOC108142427|XP_017121776.1|DELE	LOC6033066|XP_038117490.1|CQUI
OG0000407	LOC108142426|XP_017121774.1|DELE	LOC6054107|XP_038118605.1|CQUI
OG0000408	LOC108150167|XP_017133629.1|DELE, LOC108140131|XP_017118324.1|DELE	LOC119765130|XP_038104238.1|CQUI
OG0000409	LOC108149698|XP_017132952.1|DELE, LOC108143436|XP_017123340.1|DELE	LOC6050527|XP_038113781.1|CQUI
OG0000410	LOC108138602|XP_017116381.1|DELE, LOC108138671|XP_017116503.1|DELE, LOC108138604|XP_017116383.1|DELE	LOC6036181|XP_038113692.1|CQUI
OG0000411	LOC108143903|XP_017123968.1|DELE	LOC6038155|XP_001847988.1|CQUI
OG0000411	LOC108141944|XP_017121076.1|DELE	LOC6048269|XP_001865212.1|CQUI
OG0000412	LOC108143608|XP_017123620.1|DELE, LOC108143257|XP_017123057.1|DELE	LOC6046234|XP_038120897.1|CQUI, LOC6046235|XP_001863463.1|CQUI
OG0000413	LOC108143739|XP_017123761.1|DELE, LOC108137443|XP_017114596.1|DELE	LOC6042051|XP_038120468.1|CQUI
OG0000414	LOC108144128|XP_017124260.1|DELE, LOC108143348|XP_017123158.1|DELE, LOC108144201|XP_017124360.1|DELE, LOC108134661|XP_017110545.1|DELE	LOC6045442|XP_038106424.1|CQUI, LOC6045443|XP_038109329.1|CQUI
OG0000415	LOC108141912|XP_017121021.1|DELE, LOC108149045|XP_017131920.1|DELE, LOC108141982|XP_017121126.1|DELE	LOC6034217|XP_001844570.1|CQUI
OG0000416	LOC108137152|XP_017114207.1|DELE	LOC6052843|XP_001869039.2|CQUI
OG0000417	LOC108143037|XP_017122724.1|DELE	LOC6036777|XP_038113609.1|CQUI
OG0000417	LOC108148958|XP_017131782.1|DELE	LOC6045382|XP_038122609.1|CQUI
OG0000418	LOC108137168|XP_017114228.1|DELE, LOC108136621|XP_017113429.1|DELE	LOC6051484|XP_001867920.1|CQUI, LOC6051483|XP_001867919.2|CQUI
OG0000419	LOC108144441|XP_017124815.1|DELE	LOC6042303|XP_001851438.1|CQUI
OG0000421	LOC108138879|XP_017116898.1|DELE	LOC6035780|XP_038108560.1|CQUI
OG0000421	LOC108138205|XP_017115813.1|DELE	LOC6033111|XP_038111263.1|CQUI
OG0000422	LOC108140347|XP_017118527.1|DELE	LOC6034864|XP_038111635.1|CQUI, LOC6034865|XP_001845135.2|CQUI, LOC6040477|XP_001849863.2|CQUI
OG0000423	LOC108138811|XP_017116797.1|DELE, LOC108138797|XP_017116770.1|DELE	LOC6043479|XP_001859363.2|CQUI, LOC6043483|XP_001859378.1|CQUI, LOC6043484|XP_001859368.2|CQUI
OG0000424	LOC108141600|XP_017120538.1|DELE	LOC6032379|XP_038109405.1|CQUI
OG0000425	LOC108144919|XP_017125572.1|DELE	LOC6051878|XP_038111177.1|CQUI
OG0000425	LOC108143599|XP_017123611.1|DELE	LOC6049711|XP_038113311.1|CQUI
OG0000426	LOC108149687|XP_017132942.1|DELE, LOC108149827|XP_017133189.1|DELE	LOC6043942|XP_001861525.2|CQUI
OG0000429	LOC108144125|XP_017124257.1|DELE, LOC108144320|XP_017124510.1|DELE	LOC6048181|XP_001865138.2|CQUI
OG0000433	LOC108142457|XP_017121822.1|DELE	LOC6042750|XP_001870760.2|CQUI
OG0000433	LOC108147528|XP_017129601.1|DELE	LOC6040995|XP_038119615.1|CQUI
OG0000434	LOC108147307|XP_017129220.1|DELE	LOC6042411|XP_001851531.2|CQUI
OG0000434	LOC108147020|XP_017128765.1|DELE	LOC119765343|XP_038104983.1|CQUI
OG0000435	LOC108137238|XP_017114306.1|DELE	LOC6038210|XP_001848042.2|CQUI, LOC6038215|XP_001848044.2|CQUI, LOC6038528|XP_038106285.1|CQUI, LOC6038862|XP_038117185.1|CQUI, LOC6033440|XP_001843891.2|CQUI, LOC6033751|XP_001844161.2|CQUI, LOC6040045|XP_001849517.2|CQUI, LOC6038217|XP_001848046.2|CQUI, LOC6038216|XP_001848045.2|CQUI, LOC6038860|XP_001848565.2|CQUI, LOC6038859|XP_001848564.2|CQUI, LOC6037532|XP_038109452.1|CQUI, LOC6037531|XP_001847431.2|CQUI, LOC6054227|XP_038119514.1|CQUI, LOC6039205|XP_038104995.1|CQUI
OG0000437	LOC108142104|XP_017121290.1|DELE	LOC6052828|XP_001869024.1|CQUI
OG0000437	LOC108135354|XP_017111535.1|DELE	LOC6048330|XP_001865266.2|CQUI
OG0000438	LOC108145630|XP_017126655.1|DELE, LOC108148912|XP_017131717.1|DELE	LOC6034110|XP_038111570.1|CQUI
OG0000439	LOC108142045|XP_017121213.1|DELE	LOC6039581|XP_038109671.1|CQUI
OG0000439	LOC108146621|XP_017128154.1|DELE	LOC6051719|XP_038113453.1|CQUI
OG0000440	LOC108134625|XP_017110498.1|DELE, LOC108149098|XP_017131983.1|DELE	LOC6036645|XP_001846671.2|CQUI
OG0000441	LOC108145203|XP_017125934.1|DELE, LOC108145211|XP_017125940.1|DELE	LOC6050426|XP_038113065.1|CQUI
OG0000442	LOC108146194|XP_017127597.1|DELE	LOC6046278|XP_038116454.1|CQUI
OG0000443	LOC108146528|XP_017128054.1|DELE, LOC108146514|XP_017128039.1|DELE	LOC6034172|XP_001844528.2|CQUI, LOC6034174|XP_001844529.2|CQUI
OG0000444	LOC108141769|XP_017120756.1|DELE, LOC108142049|XP_017121220.1|DELE	LOC6034653|XP_001844941.2|CQUI, LOC6036079|XP_001846172.1|CQUI
OG0000448	LOC108143092|XP_017122799.1|DELE, LOC108142909|XP_017122486.1|DELE	LOC6044342|XP_001861872.2|CQUI, LOC6044340|XP_038105584.1|CQUI
OG0000449	LOC108135633|XP_017111941.1|DELE	LOC6033785|XP_038109492.1|CQUI
OG0000450	LOC108140872|XP_017119379.1|DELE	LOC6050628|XP_038113806.1|CQUI
OG0000450	LOC108136239|XP_017112758.1|DELE	LOC6042731|XP_038116979.1|CQUI
OG0000451	LOC108137815|XP_017115222.1|DELE	LOC6034433|XP_001844750.1|CQUI
OG0000451	LOC108137816|XP_017115224.1|DELE	LOC6034434|XP_038105282.1|CQUI
OG0000453	LOC108139361|XP_017117573.1|DELE	LOC6041371|XP_038105173.1|CQUI, LOC6041353|XP_001850627.1|CQUI
OG0000454	LOC108148219|XP_017130620.1|DELE, LOC108146055|XP_017127355.1|DELE	LOC6031085|XP_001841933.2|CQUI
OG0000456	LOC108134616|XP_017110488.1|DELE	LOC6047972|XP_038113525.1|CQUI
OG0000456	LOC108138799|XP_017116767.1|DELE	LOC6036162|XP_038107996.1|CQUI
OG0000457	LOC108142014|XP_017121173.1|DELE	LOC6047780|XP_038111522.1|CQUI
OG0000457	LOC108150075|XP_017133526.1|DELE	LOC6054790|XP_038111518.1|CQUI
OG0000458	LOC108138108|XP_017115593.1|DELE	LOC119766621|XP_038107556.1|CQUI, LOC6033358|XP_001843821.2|CQUI, LOC6033359|XP_001843822.2|CQUI, LOC6044558|XP_038108730.1|CQUI, LOC6044563|XP_038108731.1|CQUI
OG0000460	LOC108148076|XP_017130417.1|DELE	LOC6044256|XP_001861795.2|CQUI
OG0000465	LOC108143112|XP_017122825.1|DELE, LOC108143027|XP_017122712.1|DELE	LOC119768676|XP_038115066.1|CQUI, LOC6045189|XP_038112218.1|CQUI
OG0000466	LOC108142708|XP_017122216.1|DELE	LOC6035082|XP_038122526.1|CQUI
OG0000466	LOC108145370|XP_017126257.1|DELE	LOC6044248|XP_038107808.1|CQUI
OG0000467	LOC108147344|XP_017129261.1|DELE, LOC108147356|XP_017129275.1|DELE	LOC6045537|XP_038118816.1|CQUI
OG0000468	LOC108142927|XP_017122509.1|DELE	LOC6042212|XP_001851353.1|CQUI
OG0000468	LOC108144431|XP_017124802.1|DELE	LOC6041607|XP_038115266.1|CQUI
OG0000469	LOC108138129|XP_017115652.1|DELE, LOC108138111|XP_017115618.1|DELE	LOC6049763|XP_038113824.1|CQUI
OG0000470	LOC108143150|XP_017122886.1|DELE	LOC6036814|XP_038111507.1|CQUI
OG0000470	LOC108142629|XP_017122109.1|DELE	LOC6047359|XP_038112314.1|CQUI
OG0000471	LOC108146378|XP_017127858.1|DELE, LOC108143183|XP_017122922.1|DELE, LOC108148079|XP_017130422.1|DELE	LOC6036133|XP_001846226.2|CQUI
OG0000473	LOC108137432|XP_017114584.1|DELE, LOC108136263|XP_017112810.1|DELE	LOC6052350|XP_001868639.1|CQUI
OG0000474	LOC108150038|XP_017133490.1|DELE, LOC108150139|XP_017133597.1|DELE	LOC6049175|XP_038105811.1|CQUI
OG0000475	LOC108148844|XP_017131613.1|DELE, LOC108148475|XP_017130996.1|DELE	LOC6039907|XP_001849405.1|CQUI
OG0000476	LOC108143020|XP_017122700.1|DELE, LOC108143094|XP_017122803.1|DELE	LOC6042382|XP_038105827.1|CQUI
OG0000478	LOC108136387|XP_017112988.1|DELE, LOC108147196|XP_017129039.1|DELE	LOC6044656|XP_038115788.1|CQUI, LOC6044657|XP_001862137.1|CQUI, LOC6044659|XP_038115789.1|CQUI
OG0000479	LOC108142957|XP_017122587.1|DELE, LOC108142884|XP_017122449.1|DELE	LOC6038213|XP_001848039.2|CQUI, LOC6038214|XP_001848040.2|CQUI, LOC6038209|XP_001848041.2|CQUI
OG0000480	LOC108148005|XP_017130322.1|DELE, LOC108139840|XP_017118051.1|DELE, LOC108147822|XP_017130064.1|DELE	LOC6041494|XP_001850745.1|CQUI
OG0000482	LOC108137029|XP_017114018.1|DELE	LOC6044292|XP_038118091.1|CQUI, LOC6044289|XP_001861821.1|CQUI
OG0000483	LOC108139102|XP_017117203.1|DELE, LOC108139134|XP_017117236.1|DELE	LOC6048006|XP_038120391.1|CQUI, LOC6048008|XP_038120760.1|CQUI, LOC6048016|XP_001864979.2|CQUI
OG0000484	LOC108135782|XP_017112131.1|DELE, LOC108135784|XP_017112134.1|DELE	LOC6051912|XP_001868269.2|CQUI, LOC6051911|XP_001868268.2|CQUI
OG0000485	LOC108135530|XP_017111766.1|DELE, LOC108135521|XP_017111756.1|DELE	LOC6041153|XP_038107076.1|CQUI
OG0000486	LOC108143501|XP_017123447.1|DELE, LOC108143498|XP_017123444.1|DELE	LOC6041660|XP_001850887.2|CQUI
OG0000489	LOC108142882|XP_017122447.1|DELE, LOC108142169|XP_017121343.1|DELE	LOC6045222|XP_038122215.1|CQUI
OG0000490	LOC108135929|XP_017112363.1|DELE	LOC6054008|XP_038122876.1|CQUI
OG0000490	LOC108140906|XP_017119443.1|DELE	LOC6042587|XP_038110786.1|CQUI
OG0000491	LOC108144130|XP_017124263.1|DELE, LOC108144614|XP_017125126.1|DELE, LOC108144797|XP_017125406.1|DELE	LOC6048388|XP_038107947.1|CQUI
OG0000492	LOC108143553|XP_017123551.1|DELE	LOC6040913|XP_001850241.1|CQUI
OG0000492	LOC108138095|XP_017115570.1|DELE	LOC6044260|XP_001861799.2|CQUI
OG0000493	LOC108149018|XP_017131854.1|DELE, LOC108149017|XP_017131853.1|DELE, LOC108148464|XP_017130985.1|DELE	LOC6040999|XP_038119325.1|CQUI
OG0000494	LOC108138175|XP_017115757.1|DELE	LOC119766647|XP_038107694.1|CQUI
OG0000495	LOC108137719|XP_017115093.1|DELE, LOC108141267|XP_017120024.1|DELE	LOC6031986|XP_038106727.1|CQUI
OG0000496	LOC108137802|XP_017115197.1|DELE	LOC6035746|XP_038113161.1|CQUI
OG0000496	LOC108138033|XP_017115495.1|DELE	LOC6035745|XP_038112206.1|CQUI
OG0000497	LOC108150735|XP_017134525.1|DELE, LOC108150707|XP_017134465.1|DELE	LOC6048339|XP_038111873.1|CQUI
OG0000498	LOC108139172|XP_017117282.1|DELE, LOC108139158|XP_017117265.1|DELE	LOC6039237|XP_001848874.2|CQUI
OG0000499	LOC108144687|XP_017125241.1|DELE	LOC6048807|XP_038112168.1|CQUI
OG0000499	LOC108137209|XP_017114288.1|DELE	LOC6042113|XP_001851263.2|CQUI
OG0000500	LOC108135704|XP_017112036.1|DELE, LOC108135635|XP_017111944.1|DELE	LOC6043030|XP_001854846.2|CQUI, LOC6043544|XP_038111294.1|CQUI
OG0000504	LOC108146883|XP_017128605.1|DELE	LOC6041004|XP_001850319.2|CQUI, LOC119768650|XP_038114938.1|CQUI, LOC6041003|XP_038114937.1|CQUI, LOC6041005|XP_038114939.1|CQUI, LOC6047053|XP_038122845.1|CQUI, LOC6041006|XP_001850321.1|CQUI
OG0000505	LOC108136243|XP_017112772.1|DELE, LOC108140986|XP_017119552.1|DELE	LOC6041848|XP_038111190.1|CQUI, LOC6038636|XP_038113279.1|CQUI
OG0000506	LOC108144088|XP_017124229.1|DELE, LOC108143879|XP_017123940.1|DELE	LOC6051537|XP_038104157.1|CQUI, LOC6051544|XP_001867970.2|CQUI, LOC119769336|XP_038117282.1|CQUI
OG0000507	LOC108138406|XP_017116080.1|DELE	LOC6045928|XP_001863205.1|CQUI
OG0000507	LOC108138407|XP_017116081.1|DELE	LOC6037479|XP_038113105.1|CQUI
OG0000508	LOC108145614|XP_017126639.1|DELE, LOC108146038|XP_017127322.1|DELE	LOC6049261|XP_001866046.2|CQUI
OG0000509	LOC108137976|XP_017115434.1|DELE	LOC6051070|XP_038117205.1|CQUI
OG0000510	LOC108149810|XP_017133166.1|DELE, LOC108149811|XP_017133169.1|DELE	LOC6052252|XP_001868549.2|CQUI
OG0000511	LOC108150463|XP_017134141.1|DELE, LOC108150531|XP_017134250.1|DELE	LOC6031766|XP_001842477.2|CQUI, LOC6031767|XP_001842478.2|CQUI
OG0000512	LOC108134517|XP_017110343.1|DELE, LOC108135612|XP_017111917.1|DELE	LOC6041515|XP_038107055.1|CQUI, LOC119766432|XP_038106904.1|CQUI, LOC6041512|XP_038106906.1|CQUI
OG0000513	LOC108145068|XP_017125736.1|DELE, LOC108139021|XP_017117116.1|DELE	LOC6036436|XP_001846489.2|CQUI
OG0000514	LOC108138247|XP_017115875.1|DELE, LOC108138245|XP_017115872.1|DELE	LOC6033627|XP_038108381.1|CQUI
OG0000515	LOC108145323|XP_017126190.1|DELE, LOC108145677|XP_017126720.1|DELE	LOC6038107|XP_038110142.1|CQUI
OG0000516	LOC108148112|XP_017130445.1|DELE, LOC108148106|XP_017130440.1|DELE	LOC6032715|XP_038122030.1|CQUI, LOC6032713|XP_038122029.1|CQUI
