Orthogroup	DMEL.longest_only	AAEG.longest_only
OG0001689	CG15221|NP_001096957.1|DMEL	LOC5578880|XP_021697511.1|AAEG
OG0001690	mad2|NP_647991.1|DMEL	LOC5570415|XP_021698783.1|AAEG
OG0001691	TwdlE|NP_609157.3|DMEL	LOC5571995|XP_001660101.2|AAEG
OG0001692	Octalpha2R|NP_001262715.1|DMEL	LOC23687848|XP_021694245.1|AAEG
OG0001693	RpS15Ab|NP_610616.1|DMEL	LOC5571564|XP_001653696.1|AAEG
OG0001694	qin|NP_650735.3|DMEL	LOC5565017|XP_021702011.1|AAEG
OG0001695	Eip55E|NP_611352.1|DMEL	LOC5564056|XP_001648394.2|AAEG
OG0001696	Syn|NP_731459.2|DMEL	LOC5565053|XP_021705226.1|AAEG
OG0001697	CG31109|NP_733073.1|DMEL	LOC5565067|XP_001649393.1|AAEG
OG0001698	Sdic1|NP_524670.2|DMEL, SdicC|NP_001303578.1|DMEL, Sdic4|NP_001368966.1|DMEL, Sdic2|NP_996516.1|DMEL, SdicB|NP_001303577.1|DMEL, SdicA|NP_001303576.1|DMEL, Sdic3|NP_001285483.2|DMEL, sw|NP_477075.2|DMEL	LOC5576012|XP_021706064.1|AAEG
OG0001699	hth|NP_476576.1|DMEL	LOC5575091|XP_021694263.1|AAEG
OG0001700	CG9427|NP_649919.1|DMEL	LOC110678498|XP_021707151.1|AAEG, LOC110678596|XP_021707345.1|AAEG, LOC110678598|XP_021707352.1|AAEG
OG0001701	side-III|NP_001036681.1|DMEL	LOC110681093|XP_021712554.1|AAEG, LOC5569913|XP_021708647.1|AAEG
OG0001702	CG5846|NP_609333.1|DMEL	LOC110679165|XP_021708953.1|AAEG, LOC5567455|XP_001657455.1|AAEG, LOC110681250|XP_021712711.1|AAEG
OG0001703	CG34375|NP_001163693.1|DMEL	LOC5570645|XP_001653277.2|AAEG
OG0001704	CG6688|NP_651110.1|DMEL	LOC5570641|XP_021709166.1|AAEG
OG0001705	Atg16|NP_001138124.2|DMEL	LOC5569385|XP_021709272.1|AAEG
OG0001706	hrm|NP_610174.1|DMEL	LOC5574607|XP_001655208.2|AAEG
OG0001707	orb|NP_524460.2|DMEL	LOC5574593|XP_021709672.1|AAEG
OG0001708	primo-1|NP_001027186.1|DMEL	LOC110681130|XP_021712595.1|AAEG, LOC5577403|XP_001656483.2|AAEG
OG0001709	Claspin|NP_728981.1|DMEL	LOC110680896|XP_021712376.1|AAEG, LOC5567785|XP_001657688.2|AAEG, LOC110680897|XP_021712377.1|AAEG
OG0001710	CG6656|NP_650991.1|DMEL	LOC5577564|XP_001663437.2|AAEG, LOC5566404|XP_021713013.1|AAEG
OG0001711	lqfR|NP_732736.2|DMEL	LOC5578517|XP_021713311.1|AAEG
OG0001712	Rab7|NP_524472.1|DMEL	LOC5578276|XP_001663804.1|AAEG
OG0001713	CG5214|NP_650064.1|DMEL	LOC5575986|XP_011493660.2|AAEG
OG0001714	cno|NP_524232.2|DMEL	LOC5564681|XP_021692980.1|AAEG
OG0001715	RSG7|NP_523380.2|DMEL	LOC5573668|XP_021698214.1|AAEG, LOC110681428|XP_021712862.1|AAEG, LOC5566465|XP_001650847.2|AAEG
OG0001716	alpha-PheRS|NP_572448.1|DMEL	LOC110681112|XP_021712571.1|AAEG, LOC23687829|XP_011493203.2|AAEG, LOC5576349|XP_001656084.1|AAEG, LOC110678113|XP_021706410.1|AAEG
OG0001717	Vps13B|NP_651753.2|DMEL	LOC110680473|XP_021711973.1|AAEG, LOC5573435|XP_021693609.1|AAEG
OG0001718	wake|NP_001287469.1|DMEL	LOC110674147|XP_021693644.1|AAEG, LOC5576566|XP_021693645.1|AAEG
OG0001719	pnt|NP_524461.2|DMEL	LOC5579075|XP_021694078.1|AAEG
OG0001720	CG14692|NP_650019.6|DMEL	LOC5576117|XP_001662463.2|AAEG
OG0001721	ato|NP_731223.1|DMEL	LOC5565136|XP_001649519.2|AAEG, LOC5565189|XP_001649518.2|AAEG, LOC5565137|XP_001649517.2|AAEG
OG0001722	Diap1|NP_524101.2|DMEL	LOC5571453|XP_021695480.1|AAEG
OG0001723	Cndp2|NP_610181.2|DMEL	LOC5571265|XP_001653563.1|AAEG
OG0001724	Sdc|NP_001163238.2|DMEL	LOC5579032|XP_021695970.1|AAEG
OG0001725	Pfk|NP_001246234.1|DMEL	LOC5568472|XP_021696007.1|AAEG
OG0001726	CG11456|NP_649265.1|DMEL	LOC110680966|XP_021712431.1|AAEG, LOC5574101|XP_021696096.1|AAEG
OG0001727	CG33110|NP_788716.1|DMEL	LOC5577067|XP_021696347.1|AAEG, LOC5576405|XP_021709876.1|AAEG
OG0001728	ERp60|NP_725084.2|DMEL	LOC5570509|XP_001659196.2|AAEG
OG0001729	zip|NP_523860.2|DMEL	LOC5570505|XP_001659192.2|AAEG
OG0001730	PLCXD|NP_609541.1|DMEL	LOC5569450|XP_021696659.1|AAEG
OG0001732	B9d2|NP_001188704.1|DMEL	LOC110675629|XP_021696818.1|AAEG
OG0001733	CG30392|NP_611572.2|DMEL	LOC5565207|XP_001649550.1|AAEG, LOC5565221|XP_001649551.1|AAEG
OG0001734	CNT2|NP_610446.1|DMEL	LOC5565228|XP_021696985.1|AAEG
OG0001735	CG5664|NP_649314.2|DMEL	LOC5579981|XP_001658609.2|AAEG
OG0001736	CG15093|NP_611373.1|DMEL	LOC5578900|XP_001664110.1|AAEG
OG0001737	CG30183|NP_611819.2|DMEL	LOC110675836|XP_021697399.1|AAEG, LOC110675119|XP_021695189.1|AAEG
OG0001738	CG6479|NP_648968.2|DMEL	LOC5576851|XP_021697531.1|AAEG
OG0001739	CG14464|NP_001036466.2|DMEL	LOC5575248|XP_001655655.1|AAEG
OG0001740	Ice1|NP_611786.1|DMEL	LOC110675914|XP_021697629.1|AAEG, LOC5572758|XP_021712795.1|AAEG
OG0001742	Ccs|NP_001163108.1|DMEL	LOC5576166|XP_001662518.1|AAEG
OG0001743	CG8001|NP_647657.1|DMEL	LOC5576175|XP_021697664.1|AAEG
OG0001744	l_2_01289|NP_001163065.1|DMEL	LOC5573987|XP_021697960.1|AAEG
OG0001745	CG42260|NP_001356969.1|DMEL	LOC5573042|XP_021695213.1|AAEG
OG0001746	CG8003|NP_648406.1|DMEL	LOC5564250|XP_001648596.1|AAEG
OG0001747	grh|NP_476845.2|DMEL	LOC5564305|XP_021698368.1|AAEG
OG0001748	mfr|NP_001137919.1|DMEL	LOC110676122|XP_021698446.1|AAEG
OG0001749	SIFa|NP_001246496.1|DMEL	LOC5572527|XP_001654051.1|AAEG
OG0001750	Start1|NP_001246495.1|DMEL	LOC5572528|XP_021698705.1|AAEG
OG0001751	blot|NP_524125.2|DMEL	LOC5574043|XP_021698767.1|AAEG
OG0001752	CG13288|NP_001261455.1|DMEL	LOC110676202|XP_021698832.1|AAEG
OG0001753	CG42324|NP_647819.3|DMEL	LOC5566011|XP_021698869.1|AAEG
OG0001754	muskelin|NP_610801.1|DMEL	LOC5575704|XP_021699108.1|AAEG
OG0001755	CG32264|NP_728897.1|DMEL	LOC5565278|XP_021699140.1|AAEG
OG0001756	Rho1|NP_477098.1|DMEL	LOC5577289|XP_021699173.1|AAEG
OG0001757	imd|NP_573394.1|DMEL	LOC5572865|XP_001660624.1|AAEG
OG0001758	bru3|NP_001369050.1|DMEL	LOC5579195|XP_021699414.1|AAEG
OG0001759	Mtap|NP_001261049.1|DMEL	LOC5575922|XP_021699452.1|AAEG
OG0001760	Rad51D|NP_610466.2|DMEL	LOC5566072|XP_001650438.2|AAEG
OG0001761	MFS16|NP_726048.1|DMEL	LOC5576993|XP_021699573.1|AAEG
OG0001762	AkhR|NP_995639.1|DMEL	LOC5572235|XP_001653920.3|AAEG, LOC5574685|XP_021700044.1|AAEG
OG0001763	Nha1|NP_723224.2|DMEL	LOC5574378|XP_021700079.1|AAEG
OG0001764	Dhfr|NP_001036720.1|DMEL	LOC5569117|XP_001652716.2|AAEG
OG0001765	brp|NP_001246228.1|DMEL	LOC5570381|XP_021700177.1|AAEG
OG0001766	CG17834|NP_609242.2|DMEL	LOC5567651|XP_021700353.1|AAEG
OG0001767	CG34393|NP_608753.2|DMEL	LOC5569370|XP_021700467.1|AAEG
OG0001768	RpLP1|NP_476630.1|DMEL	LOC5565839|XP_001650193.1|AAEG, LOC5578368|XP_001656939.1|AAEG
OG0001769	dsf|NP_477140.1|DMEL	LOC5566448|XP_021700544.1|AAEG, LOC110680496|XP_021711988.1|AAEG
OG0001770	SmydA-3|NP_609464.1|DMEL	LOC5572645|XP_001654144.2|AAEG
OG0001771	Thor|NP_477295.1|DMEL	LOC5572651|XP_001654151.1|AAEG
OG0001772	RnrL|NP_477027.1|DMEL	LOC110680439|XP_021711928.1|AAEG, LOC5573651|XP_001660977.2|AAEG
OG0001774	egg|NP_611966.3|DMEL	LOC5564490|XP_021701074.1|AAEG, LOC5564489|XP_021695283.1|AAEG
OG0001776	CG31637|NP_609043.1|DMEL	LOC5575680|XP_021701220.1|AAEG
OG0001777	chm|NP_609117.4|DMEL	LOC5573805|XP_021701314.1|AAEG
OG0001778	fzy|NP_477501.1|DMEL	LOC110675190|XP_021695289.1|AAEG, LOC110677148|XP_021703649.1|AAEG
OG0001779	CG44153|NP_001097136.2|DMEL	LOC110681009|XP_021712466.1|AAEG, LOC5563749|XP_021701405.1|AAEG
OG0001780	ap|NP_724428.1|DMEL	LOC5565277|XP_021701490.1|AAEG
OG0001781	lok|NP_477219.1|DMEL	LOC5569344|XP_021701612.1|AAEG
OG0001782	CG42784|NP_001188798.2|DMEL	LOC5564192|XP_021701622.1|AAEG
OG0001783	Tsp29Fb|NP_523516.1|DMEL	LOC5576440|XP_021701742.1|AAEG
OG0001784	CG31935|NP_608608.2|DMEL	LOC5568160|XP_021701820.1|AAEG, LOC5573090|XP_021701819.1|AAEG
OG0001785	Smyd4-1|NP_724802.1|DMEL	LOC5569041|XP_021701853.1|AAEG
OG0001786	CG4497|NP_609102.1|DMEL	LOC5569034|XP_001652680.1|AAEG
OG0001787	CG13784|NP_001260176.1|DMEL	LOC5569031|XP_021701868.1|AAEG
OG0001788	tum|NP_610912.2|DMEL	LOC5573248|XP_001654457.1|AAEG
OG0001789	CG3085|NP_611752.1|DMEL	LOC5567954|XP_001657769.1|AAEG
OG0001790	CG5171|NP_001188709.1|DMEL	LOC5573696|XP_001661021.2|AAEG
OG0001791	E_Pc_|NP_001260897.1|DMEL	LOC5575748|XP_021703199.1|AAEG
OG0001792	ham|NP_724130.4|DMEL	LOC23687649|XP_021703560.1|AAEG
OG0001793	Shrm|NP_001097307.1|DMEL	LOC5572054|XP_021703576.1|AAEG, LOC110680890|XP_021712373.1|AAEG
OG0001794	cact|NP_476942.1|DMEL	LOC5565922|XP_001650267.3|AAEG
OG0001795	mtgo|NP_001137829.1|DMEL	LOC5567339|XP_021704045.1|AAEG
OG0001797	dpr7|NP_001096850.2|DMEL	LOC5572508|XP_021711425.1|AAEG, LOC5566756|XP_021706948.1|AAEG
OG0001798	robl|NP_523771.1|DMEL	LOC5566370|XP_001650782.1|AAEG
OG0001799	stg1|NP_001027082.1|DMEL, CG11566|NP_001027081.1|DMEL	LOC5580274|XP_001662901.1|AAEG
OG0001800	santa-maria|NP_723277.3|DMEL	LOC5570552|XP_021709728.1|AAEG
OG0001801	nbs|NP_651973.4|DMEL	LOC110680785|XP_021712265.1|AAEG, LOC5564279|XP_021712264.1|AAEG, LOC110679411|XP_021709622.1|AAEG
OG0001802	mRpL19|NP_524284.1|DMEL	LOC5564547|XP_001648902.1|AAEG
OG0001803	CG15497|NP_650976.1|DMEL	LOC5577692|XP_001663474.2|AAEG
OG0001804	Pi4KIIalpha|NP_730944.2|DMEL	LOC5564652|XP_001649004.2|AAEG, LOC110680554|XP_021712038.1|AAEG
OG0001805	Gr66a|NP_523971.3|DMEL	LOC5575007|XP_001661741.3|AAEG
OG0001806	CG5789|NP_651269.1|DMEL	LOC5567255|XP_021706781.1|AAEG
OG0001808	PGRP-LB|NP_001247052.1|DMEL	LOC5572949|XP_021709443.1|AAEG
OG0001809	slx1|NP_649484.3|DMEL	LOC5564168|XP_021707416.1|AAEG
OG0001810	CG31457|NP_732828.1|DMEL	LOC110678349|XP_021706798.1|AAEG, LOC5570367|XP_021710434.1|AAEG, LOC110677948|XP_021705715.1|AAEG
OG0001811	Optix|NP_001260793.1|DMEL	LOC5577351|XP_001656427.1|AAEG, LOC110680308|XP_021711836.1|AAEG, LOC110678676|XP_021707574.1|AAEG
OG0001812	ksh|NP_652499.2|DMEL	LOC5577364|XP_001656444.1|AAEG
OG0001813	Dys|NP_001036722.1|DMEL	LOC5568213|XP_021706440.1|AAEG
OG0001814	wtrw|NP_731193.1|DMEL	LOC110679259|XP_021709176.1|AAEG, LOC110679258|XP_021709173.1|AAEG
OG0001815	RpL13A|NP_649560.1|DMEL	LOC5572470|XP_001660415.1|AAEG, LOC110677764|XP_021704810.1|AAEG
OG0001816	Roe1|NP_610886.2|DMEL	LOC5564769|XP_001649137.1|AAEG
OG0001817	PCB|NP_724841.1|DMEL	LOC5572254|XP_021707503.1|AAEG
OG0001818	CG42339|NP_572674.3|DMEL	LOC5570038|XP_021705809.1|AAEG, LOC5570034|XP_021704393.1|AAEG
OG0001819	CG3045|NP_611646.1|DMEL	LOC5565232|XP_001649570.2|AAEG
OG0001820	CG18155|NP_996360.2|DMEL	LOC5578522|XP_021711359.1|AAEG
OG0001821	CG4781|NP_611951.1|DMEL	LOC5575338|XP_021712568.1|AAEG, LOC110678161|XP_021706474.1|AAEG
OG0001822	CG13532|NP_611728.1|DMEL	LOC5571100|XP_021710962.1|AAEG
OG0001823	Sod1|NP_476735.1|DMEL	LOC5573745|XP_021705990.1|AAEG, LOC5573744|XP_001654772.1|AAEG
OG0001824	CG31937|NP_608616.2|DMEL	LOC5579661|XP_001648135.2|AAEG, LOC5579660|XP_001648134.2|AAEG
OG0001825	sm|NP_001246428.1|DMEL	LOC5572228|XP_021707395.1|AAEG
OG0001826	Prosbeta5|NP_652014.1|DMEL	LOC5577483|XP_001663403.2|AAEG
OG0001827	SmydA-6|NP_611182.1|DMEL	LOC5572357|XP_001660316.1|AAEG, LOC5572356|XP_001660315.1|AAEG
OG0001828	Set2|NP_572888.2|DMEL	LOC5567362|XP_021706896.1|AAEG
OG0001829	CG8888|NP_610724.1|DMEL	LOC5576206|XP_021708780.1|AAEG, LOC110680523|XP_021712012.1|AAEG
OG0001830	CG9890|NP_611750.1|DMEL	LOC5571911|XP_001660008.2|AAEG, LOC110679573|XP_021710291.1|AAEG
OG0001831	CG7402|NP_649023.1|DMEL	LOC110680266|XP_021711773.1|AAEG, LOC5566067|XP_021705399.1|AAEG, LOC23687723|XP_021711781.1|AAEG, LOC23687612|XP_021707469.1|AAEG
OG0001832	Efr|NP_572299.1|DMEL	LOC5568452|XP_021706577.1|AAEG
OG0001833	Taldo|NP_523835.2|DMEL	LOC5571930|XP_001660027.1|AAEG
OG0001848	CG40470|NP_001036635.1|DMEL	LOC5575825|XP_001655856.2|AAEG
OG0001849	Rpt2|NP_524469.2|DMEL	LOC5575828|XP_001655853.1|AAEG
OG0001850	Sox102F|NP_001014695.1|DMEL	LOC110681442|XP_021712895.1|AAEG, LOC5579827|XP_001651058.2|AAEG
OG0001851	zfh2|NP_524623.2|DMEL	LOC5578495|XP_021694587.1|AAEG
OG0001852	trh|NP_001261207.1|DMEL	LOC5565125|XP_021694596.1|AAEG
OG0001853	scrib|NP_001163746.1|DMEL	LOC5574328|XP_021694599.1|AAEG
OG0001854	CG9123|NP_573018.1|DMEL, CG12608|NP_573019.1|DMEL	LOC5569472|XP_001658557.1|AAEG
OG0001855	Vkor|NP_001014533.1|DMEL	LOC5574649|XP_001661572.1|AAEG
OG0001856	e_r_|NP_524662.1|DMEL	LOC110674760|XP_021694723.1|AAEG
OG0001857	mal|NP_523423.1|DMEL	LOC5575262|XP_001661863.2|AAEG, LOC5575265|XP_021694857.1|AAEG
OG0001858	Ing3|NP_573316.1|DMEL	LOC5567841|XP_021694869.1|AAEG
OG0001859	CG32500|NP_728447.2|DMEL, CG32857|NP_728443.1|DMEL, CG33502|NP_996529.1|DMEL	LOC5580066|XP_001654807.1|AAEG
OG0001860	CG13698|NP_649027.1|DMEL	LOC5564571|XP_021694963.1|AAEG, LOC5568118|XP_021696651.1|AAEG
OG0001861	ball|NP_651508.1|DMEL	LOC5579466|XP_021693350.1|AAEG
OG0001862	Cbs|NP_608424.1|DMEL	LOC5570649|XP_021706525.1|AAEG, LOC5570648|XP_001659242.1|AAEG
OG0001863	Grip91|NP_524919.2|DMEL	LOC5570651|XP_001659247.1|AAEG
OG0001864	jvl|NP_001247105.1|DMEL	LOC110674837|XP_021695016.1|AAEG, LOC5578628|XP_021694917.1|AAEG
OG0001865	DENR|NP_573176.1|DMEL	LOC110675288|XP_021695482.1|AAEG
OG0001866	sim|NP_524340.2|DMEL	LOC5574246|XP_021695568.1|AAEG
OG0001867	Nedd4|NP_648993.1|DMEL	LOC5575004|XP_021697527.1|AAEG, LOC5570553|XP_021706976.1|AAEG
OG0001868	clumsy|NP_001036373.1|DMEL	LOC5574992|XP_001655465.2|AAEG, LOC5574991|XP_001655464.2|AAEG
OG0001869	Grik|NP_001262788.1|DMEL	LOC5574987|XP_021697648.1|AAEG
OG0001870	CG4020|NP_572276.1|DMEL	LOC110681030|XP_021712488.1|AAEG, LOC110674273|XP_021694239.1|AAEG, LOC110681059|XP_021712516.1|AAEG, LOC5575006|XP_021697806.1|AAEG
OG0001871	PGRP-SA|NP_572727.1|DMEL	LOC5571998|XP_001660103.3|AAEG
OG0001872	CG15537|NP_001097981.1|DMEL	LOC5574573|XP_021699531.1|AAEG
OG0001873	beta-Man|NP_649436.2|DMEL	LOC5578825|XP_021701935.1|AAEG
OG0001874	bai|NP_651323.3|DMEL	LOC5567722|XP_021702328.1|AAEG
OG0001875	CG12071|NP_651832.3|DMEL	LOC110677055|XP_021703299.1|AAEG
OG0001876	Mvd|NP_573068.3|DMEL	LOC5564040|XP_001648384.2|AAEG
OG0001877	CG2662|NP_570018.1|DMEL	LOC5571508|XP_001659759.2|AAEG
OG0001878	Droj2|NP_650283.1|DMEL	LOC5566087|XP_021704628.1|AAEG
OG0001879	stac|NP_651329.4|DMEL	LOC5565257|XP_021705692.1|AAEG
OG0001880	P5cr|NP_524400.2|DMEL	LOC5570606|XP_001653270.2|AAEG
OG0001881	lbe|NP_524435.2|DMEL	LOC5566189|XP_001650563.2|AAEG
OG0001882	CG5882|NP_651540.1|DMEL	LOC110680416|XP_021711907.1|AAEG, LOC110679567|XP_021710262.1|AAEG, LOC5566197|XP_021711888.1|AAEG, LOC110679570|XP_021710271.1|AAEG, LOC110674299|XP_021694273.1|AAEG
OG0001883	Cow|NP_001262857.1|DMEL	LOC5577698|XP_021711630.1|AAEG
OG0001884	AdSS|NP_650918.1|DMEL	LOC5577407|XP_001656488.1|AAEG
OG0001885	CG6770|NP_609539.1|DMEL	LOC5577423|XP_021711870.1|AAEG
OG0001886	CG9356|NP_649889.1|DMEL	LOC5572728|XP_001660554.2|AAEG
OG0001887	ND-B14|NP_610629.1|DMEL	LOC5567793|XP_021712137.1|AAEG
OG0001888	CG12173|NP_649523.1|DMEL	LOC110681150|XP_021712610.1|AAEG, LOC5567790|XP_001657693.2|AAEG
OG0001889	APC4|NP_572522.2|DMEL	LOC5567788|XP_001657691.1|AAEG
OG0001890	CG5274|NP_649222.1|DMEL	LOC5567782|XP_001657683.2|AAEG
OG0001891	Gfrl|NP_001247206.1|DMEL	LOC5567775|XP_021712347.1|AAEG, LOC5567776|XP_021712762.1|AAEG
OG0001892	vtd|NP_001015132.1|DMEL	LOC23687555|XP_021712394.1|AAEG, LOC110681196|XP_021712670.1|AAEG
OG0001893	DNApol-alpha73|NP_733206.3|DMEL	LOC5572443|XP_021695330.1|AAEG, LOC110675186|XP_021695285.1|AAEG, LOC5572571|XP_021713040.1|AAEG, LOC5569499|XP_021695253.1|AAEG
OG0001894	CG30382|NP_724616.1|DMEL, Prosalpha1|NP_724614.1|DMEL	LOC5572582|XP_001654091.1|AAEG
OG0001895	Gyf|NP_001162827.1|DMEL	LOC23687627|XP_021713176.1|AAEG
OG0001896	MFS17|NP_001015096.2|DMEL	LOC110680784|XP_021712262.1|AAEG, LOC5569234|XP_021713263.1|AAEG
OG0001897	tws|NP_476880.1|DMEL	LOC5579206|XP_021713312.1|AAEG
OG0001898	mh|NP_573032.1|DMEL	LOC5580016|XP_001653897.2|AAEG
OG0001899	CG7720|NP_650753.1|DMEL	LOC5580177|XP_001655592.2|AAEG, LOC5580175|XP_021713419.1|AAEG
OG0001900	lush|NP_524162.1|DMEL	LOC5568029|XP_001657830.1|AAEG, LOC5563727|XP_001648015.1|AAEG
OG0001901	CG31635|NP_001260135.1|DMEL	LOC5563615|XP_021693058.1|AAEG
OG0001902	Myo81F|NP_001303492.1|DMEL	LOC5576356|XP_021693302.1|AAEG
OG0001903	CG1103|NP_001036660.1|DMEL	LOC5573314|XP_021693438.1|AAEG
OG0001904	NSD|NP_733239.1|DMEL	LOC5573316|XP_021693443.1|AAEG
OG0001905	l_1_10Bb|NP_511117.1|DMEL	LOC5569643|XP_001658667.1|AAEG
OG0001906	Calx|NP_001247215.1|DMEL	LOC5576390|XP_021693504.1|AAEG
OG0001907	caz|NP_523365.2|DMEL	LOC110674160|XP_021693697.1|AAEG, LOC5566429|XP_021695258.1|AAEG
OG0001908	HSPBAP1|NP_651581.2|DMEL	LOC5564006|XP_001648330.1|AAEG
OG0001909	Hexo2|NP_525081.1|DMEL	LOC5569687|XP_021693811.1|AAEG
OG0001910	ohgt|NP_649973.1|DMEL	LOC5565945|XP_001650321.1|AAEG, LOC5565940|XP_001650319.2|AAEG
OG0001911	CG42342|NP_001189234.1|DMEL	LOC110674205|XP_021693943.1|AAEG
OG0001912	CG8093|NP_611020.1|DMEL	LOC110674342|XP_021694330.1|AAEG, LOC5576146|XP_021694069.1|AAEG
OG0001913	Lip2|NP_524667.1|DMEL	LOC110674222|XP_021694070.1|AAEG, LOC5576149|XP_001662497.2|AAEG
OG0001914	mask|NP_001247280.1|DMEL	LOC5565160|XP_021694133.1|AAEG
OG0001915	ACXD|NP_620469.2|DMEL	LOC5566122|XP_021695354.1|AAEG
OG0001916	Topors|NP_611388.1|DMEL	LOC5570941|XP_001653408.1|AAEG
OG0001917	CG8492|NP_648151.2|DMEL	LOC5579868|XP_021695539.1|AAEG
OG0001918	CG15014|NP_647892.1|DMEL	LOC5575750|XP_001662178.1|AAEG
OG0001919	CG30467|NP_611044.1|DMEL	LOC5579460|XP_001647758.2|AAEG
OG0001920	fwd|NP_001356971.1|DMEL	LOC5571764|XP_021695753.1|AAEG
OG0001921	cbc|NP_610876.1|DMEL	LOC5571757|XP_001659890.2|AAEG
OG0001922	asrij|NP_001261143.1|DMEL	LOC5571267|XP_001653565.1|AAEG
OG0001924	CG17691|NP_001104018.1|DMEL	LOC23687479|XP_021696447.1|AAEG
OG0001925	CG10672|NP_647946.1|DMEL	LOC5567637|XP_001657588.2|AAEG
OG0001926	ImpE1|NP_524849.2|DMEL	LOC5566295|XP_021696526.1|AAEG
OG0001927	Nup54|NP_610783.1|DMEL	LOC5568108|XP_021696643.1|AAEG
OG0001928	CG8009|NP_648400.1|DMEL	LOC5568114|XP_001652053.1|AAEG
OG0001929	Rbfox1|NP_001246707.1|DMEL	LOC5568122|XP_021696657.1|AAEG
OG0001930	GEFmeso|NP_788403.2|DMEL	LOC5569448|XP_021696661.1|AAEG
OG0001932	JIL-1|NP_648432.1|DMEL	LOC5574425|XP_021696832.1|AAEG
OG0001933	CG4866|NP_611224.1|DMEL	LOC5566235|XP_001650598.2|AAEG
OG0001934	Gem3|NP_524019.1|DMEL	LOC5565654|XP_001650004.2|AAEG
OG0001935	l_3_72Dp|NP_730119.1|DMEL	LOC5573776|XP_001654802.2|AAEG
OG0001937	Fs|NP_652376.2|DMEL	LOC5574901|XP_021697034.1|AAEG
OG0001938	CG18335|NP_610666.1|DMEL	LOC5567330|XP_021697068.1|AAEG
OG0001939	CG15650|NP_611529.1|DMEL	LOC5571823|XP_001659955.1|AAEG, LOC5571824|XP_001659956.1|AAEG
OG0001940	CG46385|NP_001356959.1|DMEL	LOC5578975|XP_021697211.1|AAEG
OG0001941	Atac3|NP_001246531.1|DMEL	LOC5577574|XP_001663445.2|AAEG
OG0001942	CG9447|NP_610243.4|DMEL	LOC5565244|XP_021697467.1|AAEG, LOC5574904|XP_001661710.2|AAEG
OG0001943	CG13055|NP_648851.1|DMEL	LOC110675827|XP_021697395.1|AAEG
OG0001944	Mtch|NP_523869.1|DMEL	LOC5565994|XP_001650362.2|AAEG
OG0001945	Dgk|NP_724619.2|DMEL	LOC5575250|XP_021697553.1|AAEG
OG0001946	Cyt-b5|NP_610294.1|DMEL	LOC5572759|XP_001660580.2|AAEG
OG0001947	HLH54F|NP_477302.1|DMEL	LOC110675915|XP_021697633.1|AAEG, LOC5572761|XP_021712888.1|AAEG
OG0001948	CG6179|NP_573288.1|DMEL	LOC5573420|XP_001654595.2|AAEG
OG0001949	Eip78C|NP_524195.2|DMEL	LOC5575138|XP_021697912.1|AAEG
OG0001950	Itpr|NP_730941.1|DMEL	LOC5564815|XP_021697926.1|AAEG
OG0001951	jbug|NP_001261140.1|DMEL	LOC5564736|XP_021698057.1|AAEG
OG0001952	TpnC41C|NP_523619.2|DMEL	LOC5568132|XP_021698130.1|AAEG
OG0001953	Oatp58Dc|NP_001097409.1|DMEL	LOC5571480|XP_021698235.1|AAEG
OG0001954	KCNQ|NP_788300.3|DMEL	LOC5563832|XP_021698302.1|AAEG
OG0001955	CG17765|NP_610592.1|DMEL	LOC5576039|XP_001662377.1|AAEG
OG0001956	nmo|NP_001356976.1|DMEL	LOC5576036|XP_021698320.1|AAEG
OG0001957	RpL29|NP_477203.1|DMEL	LOC5564212|XP_001648594.1|AAEG
OG0001958	CG30116|NP_725799.1|DMEL	LOC5569618|XP_021698469.1|AAEG
OG0001959	Toll-9|NP_649214.1|DMEL	LOC5577966|XP_021698584.1|AAEG, LOC5575279|XP_021704623.1|AAEG
OG0001960	Psa|NP_728614.1|DMEL	LOC5576957|XP_021698653.1|AAEG
OG0001961	Dll|NP_001137759.1|DMEL	LOC5572304|XP_021698709.1|AAEG
OG0001962	phr|NP_523653.2|DMEL	LOC5572270|XP_021698749.1|AAEG
OG0001963	CG9706|NP_001356982.1|DMEL	LOC5574335|XP_001661369.2|AAEG
OG0001964	smid|NP_523959.2|DMEL	LOC110677712|XP_021704551.1|AAEG, LOC5563554|XP_021699088.1|AAEG
OG0001966	P5cr-2|NP_650632.1|DMEL	LOC5572494|XP_001660440.2|AAEG, LOC5568681|XP_001658084.2|AAEG
OG0001967	Lapsyn|NP_611561.1|DMEL	LOC5578856|XP_021699344.1|AAEG
OG0001968	NijA|NP_996040.1|DMEL	LOC5578863|XP_001664072.2|AAEG
OG0001969	Orc1|NP_477303.1|DMEL	LOC5572859|XP_021699398.1|AAEG
OG0001970	blw|NP_726243.1|DMEL	LOC5575914|XP_001655906.1|AAEG
OG0001971	CG11041|NP_611453.2|DMEL	LOC5563933|XP_021699532.1|AAEG, LOC110676342|XP_021699535.1|AAEG
OG0001972	IFT20|NP_724409.3|DMEL	LOC5570728|XP_001659320.1|AAEG
OG0001973	CG43795|NP_001097435.2|DMEL	LOC23687899|XP_021699564.1|AAEG
OG0001974	Myd88|NP_610479.1|DMEL	LOC5569574|XP_001658635.1|AAEG
OG0001975	CG13806|NP_647708.1|DMEL	LOC110676393|XP_021699804.1|AAEG
OG0001976	SmD3|NP_725106.1|DMEL	LOC5574834|XP_001661657.1|AAEG
