Orthogroup	DMEL.longest_only	CQUI.longest_only
OG0001365	BI-1|NP_648205.1|DMEL	LOC6036529|XP_001846574.1|CQUI
OG0001367	CG33143|NP_001368934.1|DMEL	LOC6035628|XP_038118306.1|CQUI
OG0001368	Hydr1|NP_610459.2|DMEL	LOC6033581|XP_038118796.1|CQUI
OG0001369	Ndc80|NP_572902.1|DMEL	LOC6035620|XP_001845769.2|CQUI
OG0001370	CG3520|NP_611792.1|DMEL	LOC6030780|XP_001841674.2|CQUI
OG0001372	Stacl|NP_001260996.1|DMEL	LOC6052802|XP_038118759.1|CQUI
OG0001373	DIP-theta|NP_723103.1|DMEL	LOC6041327|XP_038111903.1|CQUI
OG0001374	Sps1|NP_725374.1|DMEL	LOC6032452|XP_001843048.1|CQUI
OG0001375	CG44098|NP_001262264.1|DMEL	LOC119766164|XP_038106502.1|CQUI
OG0001376	Smyd4-3|NP_725048.1|DMEL	LOC6048889|XP_001865734.2|CQUI, LOC6048890|XP_001865735.2|CQUI
OG0001377	Snoo|NP_001097115.1|DMEL	LOC6031968|XP_038112116.1|CQUI
OG0001378	TTLL3B|NP_609068.2|DMEL	LOC6039573|XP_001849170.2|CQUI
OG0001379	drm|NP_001285590.1|DMEL	LOC6045361|XP_038113639.1|CQUI
OG0001381	csul|NP_477184.1|DMEL	LOC6033216|XP_001843693.2|CQUI
OG0001382	toc|NP_477153.1|DMEL	LOC6031266|XP_038109596.1|CQUI
OG0001383	Tom7|NP_610433.1|DMEL	LOC6048994|XP_001865828.1|CQUI
OG0001384	amd|NP_724162.1|DMEL	LOC6046637|XP_001863807.2|CQUI
OG0001385	Pka-C1|NP_476977.1|DMEL	LOC6034387|XP_038110617.1|CQUI
OG0001387	CG5958|NP_609119.2|DMEL	LOC6047222|XP_001864306.1|CQUI, LOC6047224|XP_038112158.1|CQUI
OG0001388	bsk|NP_723541.1|DMEL	LOC6032182|XP_038109835.1|CQUI, LOC6032181|XP_038113802.1|CQUI, LOC6052123|XP_001868440.2|CQUI
OG0001389	beat-IV|NP_001262876.1|DMEL	LOC6044883|XP_038121439.1|CQUI, LOC6038982|XP_038119289.1|CQUI
OG0001390	Gs1l|NP_477229.3|DMEL	LOC6043555|XP_038119180.1|CQUI
OG0001391	AsnRS|NP_609948.1|DMEL	LOC6048704|XP_038118530.1|CQUI
OG0001392	CG10803|NP_570064.1|DMEL	LOC6041800|XP_001851015.2|CQUI
OG0001393	RpL30|NP_524687.1|DMEL	LOC119770223|XP_038120602.1|CQUI
OG0001394	rho-5|NP_995679.1|DMEL	LOC6046271|XP_038119136.1|CQUI, LOC119766035|XP_038106314.1|CQUI, LOC6052486|XP_038108722.1|CQUI
OG0001395	Caf1-55|NP_524354.1|DMEL	LOC119770297|XP_038120835.1|CQUI
OG0001396	CG12123|NP_572478.1|DMEL	LOC6039739|XP_001849290.2|CQUI
OG0001397	dpr4|NP_001014616.2|DMEL	LOC6047980|XP_038116129.1|CQUI, LOC6037602|XP_038121622.1|CQUI
OG0001399	Nipped-A|NP_001097192.2|DMEL	LOC6046189|XP_038112799.1|CQUI
OG0001400	CG7966|NP_650256.2|DMEL	LOC6046814|XP_001863949.2|CQUI
OG0001401	obst-F|NP_649186.1|DMEL	LOC6035448|XP_001845635.2|CQUI, LOC6043103|XP_001855831.2|CQUI, LOC6035463|XP_001845649.1|CQUI
OG0001402	CG10516|NP_648819.2|DMEL	LOC6052985|XP_001869146.2|CQUI
OG0001403	Oat|NP_649139.1|DMEL	LOC6035872|XP_001845986.2|CQUI, LOC6035873|XP_001845987.2|CQUI
OG0001404	bbc|NP_001246300.1|DMEL	LOC6031682|XP_038114066.1|CQUI
OG0001405	NtR|NP_651958.2|DMEL	LOC6037799|XP_001847675.2|CQUI
OG0001406	Tim8|NP_572713.1|DMEL	LOC6051904|XP_001868262.1|CQUI
OG0001407	CG33051|NP_788522.1|DMEL	LOC6038938|XP_001848633.1|CQUI
OG0001408	CG8299|NP_611066.1|DMEL	LOC6054709|XP_001870580.2|CQUI
OG0001429	PK1-R|NP_001247089.1|DMEL	LOC6048863|XP_038105219.1|CQUI, LOC6047055|XP_038104443.1|CQUI
OG0001430	sqd|NP_731825.1|DMEL	LOC6044329|XP_038105537.1|CQUI
OG0001431	CG32708|NP_727306.1|DMEL, CG40813|NP_001104071.2|DMEL, CG41562|NP_001104090.1|DMEL, CG10993|NP_572923.1|DMEL	LOC6035151|XP_038104540.1|CQUI
OG0001432	ND-75|NP_511083.1|DMEL	LOC6054521|XP_038122563.1|CQUI
OG0001433	vret|NP_651092.1|DMEL	LOC6046915|XP_038104735.1|CQUI
OG0001434	Rala|NP_525063.1|DMEL	LOC6045215|XP_001862605.2|CQUI
OG0001435	Nup50|NP_610355.1|DMEL	LOC6051492|XP_038117227.1|CQUI, LOC6045719|XP_001863028.2|CQUI
OG0001436	CG5815|NP_733196.1|DMEL	LOC6050198|XP_038104525.1|CQUI
OG0001437	RpS13|NP_476938.1|DMEL	LOC6048183|XP_001865135.1|CQUI
OG0001438	CG1523|NP_651635.2|DMEL	LOC6037949|XP_038122757.1|CQUI
OG0001439	RpS30|NP_650922.1|DMEL	LOC6049817|XP_038122655.1|CQUI, LOC6052268|XP_038106474.1|CQUI, LOC6035724|XP_038116899.1|CQUI, LOC119766585|XP_038107328.1|CQUI
OG0001440	CG11590|NP_572945.1|DMEL	LOC6048960|XP_038105048.1|CQUI
OG0001442	smt3|NP_477411.1|DMEL	LOC6044008|XP_001861568.1|CQUI
OG0001443	CG9747|NP_651779.1|DMEL	LOC6047470|XP_001864524.2|CQUI, LOC6047471|XP_001864525.2|CQUI
OG0001444	CG31198|NP_732654.1|DMEL	LOC6044859|XP_038104624.1|CQUI
OG0001445	Sfxn1-3|NP_730823.2|DMEL	LOC6039932|XP_001849430.1|CQUI
OG0001446	CG17119|NP_651116.1|DMEL	LOC6040670|XP_038122660.1|CQUI, LOC119765526|XP_038105472.1|CQUI
OG0001447	ClC-a|NP_788639.1|DMEL	LOC6035336|XP_038104354.1|CQUI
OG0001448	Fer1HCH|NP_001263104.1|DMEL	LOC6035542|XP_001845700.1|CQUI, LOC6047272|XP_001864351.2|CQUI, LOC6047705|XP_001864727.2|CQUI
OG0001449	Got1|NP_725534.1|DMEL	LOC6039600|XP_001849180.2|CQUI
OG0001450	Gpdh1|NP_476565.1|DMEL	LOC6031154|XP_038116027.1|CQUI
OG0001451	CG12836|NP_001286153.2|DMEL	LOC6038893|XP_038113599.1|CQUI, LOC119767033|XP_038110189.1|CQUI, LOC119769371|XP_038117350.1|CQUI
OG0001452	Rgk1|NP_725875.3|DMEL	LOC6052660|XP_038115024.1|CQUI
OG0001453	Pdss2|NP_649277.1|DMEL	LOC6049785|XP_001866492.2|CQUI, LOC6049784|XP_001866491.2|CQUI
OG0001454	Patr-1|NP_650592.1|DMEL	LOC6032932|XP_001843452.2|CQUI
OG0001455	Exn|NP_001189123.1|DMEL	LOC6051546|XP_038119698.1|CQUI
OG0001456	CAP|NP_001369075.1|DMEL	LOC6052304|XP_038116089.1|CQUI
OG0001457	Cap-G|NP_995827.2|DMEL	LOC6039266|XP_038118474.1|CQUI
OG0001458	Dh44-R1|NP_610960.1|DMEL	LOC6041453|XP_038116471.1|CQUI, LOC6041452|XP_038117278.1|CQUI
OG0001459	CG33993|NP_001033991.1|DMEL	LOC6052886|XP_038112076.1|CQUI, LOC6045671|XP_038117105.1|CQUI
OG0001460	Vps13|NP_610299.2|DMEL	LOC6043365|XP_038120741.1|CQUI
OG0001461	Grip84|NP_728264.1|DMEL	LOC6048746|XP_038116352.1|CQUI
OG0001464	Vps26|NP_569952.2|DMEL	LOC6043979|XP_038118854.1|CQUI
OG0001465	CG12341|NP_610612.1|DMEL	LOC6052932|XP_038120832.1|CQUI
OG0001466	CG17036|NP_609584.1|DMEL	LOC6036432|XP_038121604.1|CQUI
OG0001467	Osi21|NP_609501.1|DMEL	LOC6050213|XP_001866857.1|CQUI, LOC6036548|XP_001846591.2|CQUI
OG0001468	PGRP-LA|NP_996026.1|DMEL	LOC6038227|XP_001848055.2|CQUI
OG0001469	ReepB|NP_610936.2|DMEL, CG4960|NP_651429.1|DMEL	LOC6041964|XP_038118490.1|CQUI
OG0001470	CG7365|NP_649178.1|DMEL	LOC6050356|XP_038121253.1|CQUI, LOC6050354|XP_038117145.1|CQUI
OG0001471	Glut1|NP_612073.2|DMEL	LOC6037170|XP_038117414.1|CQUI
OG0001472	Prosbeta6|NP_524115.1|DMEL	LOC6035488|XP_001845669.1|CQUI
OG0001473	Or82a|NP_730794.1|DMEL	LOC6043807|XP_001861406.2|CQUI, LOC6043808|XP_038122295.1|CQUI
OG0001474	CG3781|NP_572303.4|DMEL	LOC6040681|XP_038105414.1|CQUI
OG0001475	PIG-N|NP_610549.1|DMEL	LOC6043752|XP_038110406.1|CQUI
OG0001476	Wnt5|NP_476924.1|DMEL	LOC6048642|XP_038110160.1|CQUI
OG0001477	ATPsyngamma|NP_524550.1|DMEL	LOC6032451|XP_001843047.1|CQUI
OG0001478	crq|NP_787957.1|DMEL	LOC6034120|XP_001844488.2|CQUI
OG0001480	ebi|NP_477329.1|DMEL	LOC6043201|XP_001857542.2|CQUI
OG0001481	CG31688|NP_610035.4|DMEL	LOC6031364|XP_038107828.1|CQUI
OG0001482	cato|NP_477344.1|DMEL	LOC6031947|XP_001842625.2|CQUI
OG0001483	lt|NP_001036416.1|DMEL	LOC6043303|XP_038106817.1|CQUI
OG0001484	CG2772|NP_608776.1|DMEL	LOC6031200|XP_001842038.2|CQUI, LOC6036994|XP_038106889.1|CQUI
OG0001485	NijB|NP_649068.1|DMEL	LOC6036177|XP_038106782.1|CQUI, LOC119766360|XP_038106781.1|CQUI, LOC6036179|XP_038113696.1|CQUI
OG0001486	Tg|NP_609174.1|DMEL	LOC6034896|XP_038107061.1|CQUI
OG0001487	CG40498|NP_001104342.3|DMEL	LOC6053489|XP_038110588.1|CQUI
OG0001488	CG4734|NP_610864.1|DMEL	LOC6047908|XP_038114121.1|CQUI
OG0001489	sick|NP_001260606.1|DMEL	LOC6032104|XP_038107020.1|CQUI, LOC6032110|XP_038112609.1|CQUI
OG0001490	RpS21|NP_722853.1|DMEL	LOC6032134|XP_001842788.1|CQUI
OG0001491	Rab5|NP_523457.1|DMEL	LOC6033331|XP_001843796.1|CQUI
OG0001492	kl-2|NP_001015505.5|DMEL, CG9068|NP_611111.1|DMEL	LOC6048340|XP_038111871.1|CQUI
OG0001493	Naa20A|NP_001259714.1|DMEL	LOC6040502|XP_001849888.1|CQUI
OG0001494	CheA7a|NP_572395.2|DMEL	LOC119770364|XP_038121011.1|CQUI, LOC6045228|XP_001862626.2|CQUI, LOC119770518|XP_038121458.1|CQUI, LOC119770266|XP_038120748.1|CQUI, LOC6054405|XP_001870323.1|CQUI
OG0001495	CG42516|NP_001163086.1|DMEL	LOC6041805|XP_001851019.2|CQUI
OG0001496	RpS6|NP_511073.1|DMEL	LOC119769667|XP_038118888.1|CQUI
OG0001497	VhaAC45|NP_610470.1|DMEL	LOC6048948|XP_038120703.1|CQUI
OG0001500	botv|NP_523790.1|DMEL	LOC6050346|XP_038118495.1|CQUI
OG0001501	CG18547|NP_650138.1|DMEL	LOC6037771|XP_001847650.2|CQUI, LOC6037770|XP_001847649.2|CQUI
OG0001502	CG7639|NP_995838.1|DMEL	LOC6033994|XP_001844381.1|CQUI
OG0001503	Gr43a|NP_001286158.1|DMEL	LOC6031515|XP_038110033.1|CQUI
OG0001504	CG43736|NP_001259298.1|DMEL	LOC6036866|XP_038107420.1|CQUI
OG0001506	Iswi|NP_523719.1|DMEL	LOC6043675|XP_038109186.1|CQUI
OG0001507	Fili|NP_001369108.1|DMEL	LOC6036616|XP_038108568.1|CQUI, LOC6049887|XP_038108917.1|CQUI
OG0001508	CG9864|NP_611462.1|DMEL	LOC6047098|XP_038110554.1|CQUI, LOC6051703|XP_038112138.1|CQUI
OG0001509	stum|NP_611603.3|DMEL	LOC6042455|XP_038114123.1|CQUI
OG0001510	ifc|NP_476594.1|DMEL	LOC6049879|XP_001866569.2|CQUI, LOC6053362|XP_038112276.1|CQUI
OG0001511	CG9380|NP_001036571.2|DMEL	LOC6034200|XP_001844554.2|CQUI
OG0001512	ppk26|NP_648125.3|DMEL	LOC6034555|XP_038113919.1|CQUI
OG0001513	nrm|NP_001246890.1|DMEL	LOC6034558|XP_038106054.1|CQUI
OG0001515	MED22|NP_569870.1|DMEL	LOC6032502|XP_001843091.1|CQUI
OG0001534	CG34417|NP_001259282.1|DMEL	LOC119768890|XP_038116590.1|CQUI, LOC6050116|XP_038116548.1|CQUI
OG0001535	CG15449|NP_608423.1|DMEL	LOC6049759|XP_001866470.2|CQUI
OG0001536	scu|NP_523396.1|DMEL	LOC6047702|XP_001864725.2|CQUI, LOC119769391|XP_038117458.1|CQUI
OG0001537	lwr|NP_476978.1|DMEL	LOC6036962|XP_038104622.1|CQUI
OG0001538	CG1640|NP_727696.2|DMEL	LOC6051448|XP_001867887.1|CQUI
OG0001539	vir|NP_524900.1|DMEL	LOC6047629|XP_038111858.1|CQUI
OG0001540	msl-2|NP_523467.1|DMEL	LOC6045246|XP_038104466.1|CQUI
OG0001541	CG14457|NP_001014600.1|DMEL	LOC6040730|XP_038108263.1|CQUI
OG0001542	Cad86C|NP_001247033.1|DMEL	LOC6040719|XP_038122365.1|CQUI
OG0001543	r|NP_523377.1|DMEL	LOC6049648|XP_038119626.1|CQUI, LOC119766019|XP_038106279.1|CQUI
OG0001545	CG32819|NP_728444.1|DMEL, CG32820|NP_728441.1|DMEL, CG17450|NP_728438.2|DMEL	LOC6041845|XP_001851055.2|CQUI
OG0001546	GCS2alpha|NP_652145.1|DMEL	LOC6041847|XP_038105040.1|CQUI, LOC6041843|XP_001851053.2|CQUI
OG0001547	dnc|NP_726846.1|DMEL	LOC6034424|XP_038104911.1|CQUI
OG0001548	Arp2|NP_001259621.1|DMEL	LOC6031444|XP_038107826.1|CQUI
OG0001549	Mhc|NP_723999.1|DMEL	LOC119771149|XP_038122501.1|CQUI, LOC6031765|XP_038110368.1|CQUI
OG0001551	Nha2|NP_001247251.1|DMEL	LOC6048977|XP_038105432.1|CQUI, LOC6048979|XP_038123020.1|CQUI
OG0001552	ATP6AP2|NP_649876.1|DMEL	LOC6042417|XP_001851537.1|CQUI
OG0001553	AstA-R1|NP_524700.1|DMEL	LOC6049664|XP_038117806.1|CQUI
OG0001554	Skeletor|NP_001247027.1|DMEL	LOC6047921|XP_038115900.1|CQUI
OG0001555	CG10621|NP_609920.1|DMEL	LOC6041540|XP_038112803.1|CQUI, LOC6035547|XP_038111901.1|CQUI
OG0001556	nopo|NP_611305.1|DMEL	LOC6036277|XP_001846343.1|CQUI
OG0001557	Amun|NP_572741.1|DMEL	LOC6032557|XP_038117789.1|CQUI
OG0001559	CG6356|NP_651240.1|DMEL	LOC6032627|XP_038117581.1|CQUI
OG0001560	dsx|NP_001262353.1|DMEL	LOC6035520|XP_038105194.1|CQUI
OG0001561	CREG|NP_524385.2|DMEL	LOC6039613|XP_001849187.2|CQUI
OG0001562	Nse1|NP_609063.1|DMEL	LOC6041461|XP_001850718.2|CQUI, LOC6047991|XP_001864968.2|CQUI, LOC6041457|XP_038118003.1|CQUI
OG0001563	alpha-Cat|NP_524219.1|DMEL	LOC6037333|XP_038119352.1|CQUI
OG0001564	CASK|NP_001262811.1|DMEL	LOC6032190|XP_038114038.1|CQUI
OG0001565	grn|NP_001262366.1|DMEL	LOC6049260|XP_038122779.1|CQUI, LOC6040673|XP_038108211.1|CQUI
OG0001566	CG4511|NP_650026.1|DMEL	LOC6045590|XP_001862931.1|CQUI
OG0001567	CG13202|NP_610675.1|DMEL	LOC6032066|XP_001842732.1|CQUI
OG0001568	cv-c|NP_001097786.1|DMEL	LOC6032078|XP_038104758.1|CQUI
OG0001569	Adgf-C|NP_650308.3|DMEL	LOC6032085|XP_001842751.2|CQUI
OG0001570	CheA87a|NP_650280.1|DMEL	LOC6033929|XP_038104685.1|CQUI
OG0001571	dpr19|NP_609392.1|DMEL	LOC6031781|XP_038112990.1|CQUI
OG0001572	CG9917|NP_573117.2|DMEL	LOC6031115|XP_001841960.1|CQUI, LOC6031114|XP_038118150.1|CQUI
OG0001573	RhoGEF64C|NP_729032.1|DMEL	LOC6047431|XP_038117579.1|CQUI
OG0001574	CG13375|NP_569837.2|DMEL	LOC6032294|XP_038113921.1|CQUI, LOC6043339|XP_001870938.1|CQUI
OG0001575	CG6204|NP_651229.2|DMEL	LOC6044655|XP_001862135.2|CQUI
OG0001576	CG6693|NP_650052.1|DMEL	LOC6036108|XP_038113191.1|CQUI
OG0001577	dgt1|NP_001287595.1|DMEL	LOC6052635|XP_001868870.2|CQUI
OG0001578	rswl|NP_611335.1|DMEL	LOC6043960|XP_001861544.2|CQUI
OG0001580	wde|NP_610608.1|DMEL	LOC6044030|XP_038120827.1|CQUI
OG0001581	Cubn|NP_727348.2|DMEL	LOC6033567|XP_038117164.1|CQUI
OG0001582	vis|NP_788337.1|DMEL, achi|NP_725183.1|DMEL	LOC6040624|XP_038117190.1|CQUI
OG0001583	CG30377|NP_610329.2|DMEL	LOC6033584|XP_038119265.1|CQUI
OG0001584	Dci|NP_612065.1|DMEL	LOC6037160|XP_001847097.2|CQUI
OG0001586	SMSr|NP_648114.1|DMEL	LOC6033454|XP_038119090.1|CQUI
OG0001587	CG10465|NP_610165.1|DMEL	LOC119768753|XP_038115649.1|CQUI
OG0001588	CG12107|NP_610314.1|DMEL	LOC6044356|XP_038107986.1|CQUI
OG0001589	IntS3|NP_001036437.1|DMEL	LOC6039992|XP_038107604.1|CQUI
OG0001590	hts|NP_001097377.2|DMEL	LOC6041414|XP_038114421.1|CQUI
OG0001591	Cnx14D|NP_573131.1|DMEL, CG1924|NP_572788.2|DMEL, Cnx99A|NP_001036767.1|DMEL	LOC6041386|XP_038110439.1|CQUI
OG0001593	Oatp33Ea|NP_001260417.1|DMEL	LOC6037875|XP_038113769.1|CQUI
OG0001594	dpy|NP_001260032.1|DMEL	LOC6048482|XP_038113910.1|CQUI
OG0001595	Drip|NP_001260893.1|DMEL	LOC6048886|XP_038109078.1|CQUI
OG0001596	ref_2_P|NP_476700.1|DMEL	LOC6045156|XP_001862557.2|CQUI
OG0001597	Gpa2|NP_001104054.3|DMEL	LOC6046049|XP_001863305.1|CQUI
OG0001598	wb|NP_723870.1|DMEL	LOC6036156|XP_038107213.1|CQUI
OG0001599	nrv1|NP_477167.1|DMEL	LOC6038712|XP_001848456.2|CQUI
OG0001600	side-II|NP_001014485.3|DMEL	LOC6045655|XP_038110464.1|CQUI
OG0001601	Pfdn1|NP_608992.1|DMEL	LOC6043313|XP_001870928.1|CQUI
OG0001602	FucTB|NP_609288.4|DMEL	LOC6043309|XP_038108452.1|CQUI
OG0001603	gcm|NP_477108.1|DMEL	LOC6038292|XP_038111276.1|CQUI, LOC6038293|XP_038114208.1|CQUI
OG0001604	PpV|NP_511061.1|DMEL	LOC6050057|XP_001866724.1|CQUI
OG0001605	Lnpk|NP_610395.1|DMEL	LOC6050058|XP_038109855.1|CQUI
OG0001606	RpL38|NP_001036440.1|DMEL	LOC6037122|XP_001847065.1|CQUI
OG0001607	Prosbeta4|NP_609804.1|DMEL	LOC6031810|XP_001842517.1|CQUI
OG0001608	Lamp1|NP_610111.3|DMEL	LOC6044446|XP_038112177.1|CQUI
OG0001609	Hr51|NP_611032.2|DMEL	LOC6051399|XP_038111691.1|CQUI
OG0001610	vls|NP_610019.2|DMEL	LOC6042259|XP_001851397.2|CQUI
OG0001611	Pomp|NP_610057.1|DMEL	LOC6036366|XP_001846424.1|CQUI
OG0001612	CG14277|NP_609200.1|DMEL	LOC6031731|XP_038111935.1|CQUI, LOC6031732|XP_038113681.1|CQUI
OG0001613	KdelR|NP_477296.1|DMEL	LOC6048990|XP_001865824.1|CQUI, LOC6048992|XP_038113614.1|CQUI
OG0001614	Np|NP_610437.2|DMEL	LOC6043183|XP_038111683.1|CQUI
OG0001615	CG17715|NP_001036410.1|DMEL	LOC6043231|XP_038112460.1|CQUI
OG0001616	Qtzl|NP_723706.1|DMEL, Nfs1|NP_609533.1|DMEL	LOC6034894|XP_038112470.1|CQUI
OG0001617	CdGAPr|NP_610002.1|DMEL	LOC6045785|XP_038113684.1|CQUI
OG0001618	CG5367|NP_609387.1|DMEL	LOC119768964|XP_038116737.1|CQUI, LOC6046678|XP_038116735.1|CQUI
OG0001619	alien|NP_523517.1|DMEL	LOC6044501|XP_038117207.1|CQUI, LOC6043468|XP_038108133.1|CQUI
OG0001620	Nxt1|NP_611833.1|DMEL	LOC6053699|XP_038111510.1|CQUI
OG0001621	CG8401|NP_725520.3|DMEL	LOC6047973|XP_038111062.1|CQUI
OG0001622	AP-1gamma|NP_788891.2|DMEL	LOC6052415|XP_038108162.1|CQUI, LOC6033089|XP_038116420.1|CQUI
OG0001623	MED15|NP_608528.1|DMEL	LOC6033347|XP_001843810.2|CQUI
OG0001624	KFase|NP_609036.1|DMEL	LOC6032136|XP_001842790.2|CQUI
OG0001625	eEF2|NP_525105.2|DMEL	LOC6032148|XP_038113764.1|CQUI
OG0001626	RpL36A|NP_609179.2|DMEL	LOC6042208|XP_001851349.1|CQUI
OG0001627	Zip88E|NP_650440.2|DMEL	LOC6045488|XP_038122368.1|CQUI, LOC6038139|XP_001847974.1|CQUI
OG0001628	ppk15|NP_001097937.1|DMEL	LOC6033095|XP_038111732.1|CQUI
OG0001630	jnj|NP_651228.1|DMEL	LOC6039823|XP_038117663.1|CQUI
OG0001631	5-HT2A|NP_730859.1|DMEL	LOC6046005|XP_038120722.1|CQUI
OG0001632	RpS2|NP_476874.1|DMEL	LOC6043429|XP_038116389.1|CQUI
OG0001633	fabp|NP_001027179.1|DMEL	LOC6053368|XP_001869468.1|CQUI
OG0001635	CCAP-R|NP_001368957.1|DMEL	LOC6037793|XP_038115973.1|CQUI, LOC6037794|XP_038119882.1|CQUI
OG0001636	CG31248|NP_649696.1|DMEL	LOC6040818|XP_038121776.1|CQUI, LOC6037782|XP_038121472.1|CQUI
OG0001637	Srr|NP_649886.1|DMEL	LOC6043581|XP_001860242.2|CQUI
OG0001638	CG3071|NP_569993.1|DMEL	LOC6033998|XP_001844385.2|CQUI
OG0001639	BubR1|NP_477382.1|DMEL	LOC6041876|XP_001851074.2|CQUI
OG0001640	CG1943|NP_649691.1|DMEL	LOC6046196|XP_001863427.1|CQUI
OG0001641	COX5A|NP_477217.1|DMEL	LOC119767400|XP_038111848.1|CQUI, LOC6039957|XP_001849450.1|CQUI
OG0001642	CG10958|NP_572445.1|DMEL	LOC119768029|XP_038114244.1|CQUI
OG0001643	CG7102|NP_787994.1|DMEL	LOC6047363|XP_038112326.1|CQUI
OG0001644	Poc1|NP_001261799.1|DMEL	LOC6053964|XP_038112903.1|CQUI
OG0001645	CG13502|NP_611637.1|DMEL	LOC6038116|XP_038112719.1|CQUI
OG0001646	GstS1|NP_001261040.1|DMEL	LOC6037723|XP_038106396.1|CQUI
OG0001647	Dscam1|NP_001246162.1|DMEL	LOC6037737|XP_038109785.1|CQUI
OG0001648	bbg|NP_648705.2|DMEL	LOC6040102|XP_038112402.1|CQUI
OG0001649	beta4GalNAcTA|NP_610946.1|DMEL	LOC6048211|XP_038112527.1|CQUI
OG0001650	Tab2|NP_611408.2|DMEL	LOC6031714|XP_038108789.1|CQUI
OG0001651	robo1|NP_476899.1|DMEL	LOC6041652|XP_038107260.1|CQUI, LOC6043155|XP_038107430.1|CQUI
OG0001652	CG5567|NP_649015.2|DMEL	LOC6038348|XP_001848163.2|CQUI
OG0001653	Als2|NP_649347.1|DMEL	LOC6040184|XP_038112148.1|CQUI
OG0001654	Dcr-2|NP_523778.2|DMEL	LOC6043055|XP_001855187.2|CQUI
OG0001655	CG1827|NP_610504.4|DMEL	LOC6040170|XP_038118838.1|CQUI, LOC6049138|XP_001865945.2|CQUI
OG0001656	CG2975|NP_608719.1|DMEL	LOC6051216|XP_038107612.1|CQUI
OG0001657	CG7841|NP_648770.1|DMEL	LOC6052468|XP_038112062.1|CQUI
OG0001658	CycA|NP_524030.2|DMEL	LOC6047164|XP_038111356.1|CQUI
OG0001659	CG10089|NP_648654.1|DMEL	LOC6037205|XP_038111675.1|CQUI
OG0001660	CG12104|NP_647629.1|DMEL	LOC6034452|XP_038110838.1|CQUI
OG0001661	CG6567|NP_001097742.1|DMEL	LOC6035035|XP_001845278.1|CQUI
OG0001666	CG15406|NP_608761.2|DMEL	LOC6041378|XP_001850642.2|CQUI
OG0001678	CG43658|NP_001259643.1|DMEL	LOC6040414|XP_038104840.1|CQUI
OG0001680	NELF-B|NP_572402.1|DMEL	LOC6045214|XP_001862604.2|CQUI
OG0001681	CG3106|NP_572577.1|DMEL	LOC6052447|XP_038121734.1|CQUI
OG0001682	CG7206|NP_996499.1|DMEL	LOC6041755|XP_038105185.1|CQUI
OG0001683	CG13384|NP_723383.1|DMEL	LOC6038194|XP_001848024.2|CQUI, LOC6034883|XP_038108971.1|CQUI
OG0001684	bip2|NP_651923.2|DMEL	LOC6047707|XP_038112375.1|CQUI
OG0001685	CG17328|NP_609786.2|DMEL	LOC6032441|XP_001843038.1|CQUI, LOC6031862|XP_001842563.2|CQUI
OG0001686	CG6961|NP_573325.1|DMEL, CG18259|NP_573324.1|DMEL	LOC6045350|XP_001862738.2|CQUI
OG0001687	l_1_sc|NP_476623.1|DMEL	LOC6052845|XP_001869041.1|CQUI, LOC6040466|XP_038122912.1|CQUI
OG0001688	CG32756|NP_727053.1|DMEL, CG12728|NP_572280.2|DMEL	LOC6048190|XP_001865144.2|CQUI
OG0001689	CG15221|NP_001096957.1|DMEL	LOC6048192|XP_001865146.2|CQUI
OG0001690	mad2|NP_647991.1|DMEL	LOC6040726|XP_001850079.1|CQUI
OG0001691	TwdlE|NP_609157.3|DMEL	LOC6039041|XP_001848719.1|CQUI
OG0001693	RpS15Ab|NP_610616.1|DMEL	LOC6038431|XP_038122521.1|CQUI
OG0001694	qin|NP_650735.3|DMEL	LOC6045627|XP_038105482.1|CQUI, LOC6054003|XP_038113589.1|CQUI
OG0001695	Eip55E|NP_611352.1|DMEL	LOC6038271|XP_038107999.1|CQUI, LOC6034418|XP_001844736.1|CQUI
OG0001696	Syn|NP_731459.2|DMEL	LOC6034727|XP_038122578.1|CQUI
OG0001697	CG31109|NP_733073.1|DMEL	LOC119765468|XP_038105276.1|CQUI
OG0001698	Sdic1|NP_524670.2|DMEL, SdicC|NP_001303578.1|DMEL, Sdic4|NP_001368966.1|DMEL, Sdic2|NP_996516.1|DMEL, SdicB|NP_001303577.1|DMEL, SdicA|NP_001303576.1|DMEL, Sdic3|NP_001285483.2|DMEL, sw|NP_477075.2|DMEL	LOC6031437|XP_038105157.1|CQUI
OG0001699	hth|NP_476576.1|DMEL	LOC6045521|XP_038105211.1|CQUI
OG0001700	CG9427|NP_649919.1|DMEL	LOC6033579|XP_001844007.2|CQUI, LOC6033580|XP_038121073.1|CQUI
OG0001701	side-III|NP_001036681.1|DMEL	LOC6039306|XP_038104058.1|CQUI
OG0001702	CG5846|NP_609333.1|DMEL	LOC6031800|XP_001842507.1|CQUI
OG0001703	CG34375|NP_001163693.1|DMEL	LOC6036490|XP_001846536.2|CQUI, LOC119765219|XP_038104576.1|CQUI
OG0001704	CG6688|NP_651110.1|DMEL	LOC6036489|XP_038105371.1|CQUI, LOC119765234|XP_038104634.1|CQUI
OG0001705	Atg16|NP_001138124.2|DMEL	LOC6036505|XP_038105296.1|CQUI
OG0001706	hrm|NP_610174.1|DMEL	LOC6039889|XP_038104652.1|CQUI
