Orthogroup	DMEL.longest_only	AEAL.longest_only
OG0000206	gsb|NP_523863.1|DMEL	LOC109398515|XP_019526445.2|AEAL
OG0000206	gsb-n|NP_523862.1|DMEL	LOC109406561|XP_029712875.1|AEAL
OG0000207	CG10638|NP_729808.1|DMEL	LOC109425949|XP_019556898.2|AEAL, LOC109407627|XP_019536312.2|AEAL, LOC115256950|XP_029712014.1|AEAL, LOC109407628|XP_019536313.2|AEAL, LOC115256953|XP_029712017.1|AEAL
OG0000209	Spn28Da|NP_001036345.1|DMEL, Spn28F|NP_524957.2|DMEL, Spn38F|NP_524956.2|DMEL, Spn28B|NP_609128.2|DMEL, Spn42Dd|NP_001163067.1|DMEL	LOC109413737|XP_029727258.1|AEAL
OG0000210	CG31664|NP_001356905.1|DMEL, l_1_G0193|NP_572427.1|DMEL	LOC109408928|XP_029710871.1|AEAL, LOC115260196|XP_029716979.1|AEAL, LOC109433613|XP_029716978.1|AEAL
OG0000211	Desat2|NP_650201.1|DMEL, Fad2|NP_651966.2|DMEL	LOC109416351|XP_029730187.1|AEAL, LOC109430024|XP_019561583.2|AEAL
OG0000211	Desat1|NP_652731.1|DMEL	LOC109412434|XP_029722932.1|AEAL
OG0000212	Tep3|NP_523507.2|DMEL, Tep2|NP_523506.1|DMEL, Tep1|NP_523578.1|DMEL	LOC115253722|XP_029708903.1|AEAL, LOC109419933|XP_029708911.1|AEAL, LOC109420733|XP_029708938.1|AEAL
OG0000213	Ir76a|NP_001097647.3|DMEL, Ir41a|NP_995744.4|DMEL	LOC109415510|XP_019544942.2|AEAL, LOC115261323|XP_029718605.1|AEAL, LOC115261320|XP_029718598.1|AEAL, LOC109400843|XP_029735069.1|AEAL, LOC109415509|XP_029730976.1|AEAL, LOC109400807|XP_029730934.1|AEAL, LOC115267787|XP_029730946.1|AEAL, LOC109400841|XP_019528872.2|AEAL, LOC109400810|XP_029730991.1|AEAL, LOC109400808|XP_019528851.2|AEAL
OG0000214	Hex-A|NP_524848.1|DMEL, Hex-C|NP_524674.1|DMEL, Hex-t2|NP_733151.2|DMEL	LOC109405279|XP_029712816.1|AEAL, LOC109418619|XP_029713144.1|AEAL
OG0000215	CG7458|NP_649374.1|DMEL, SLC22A|NP_649370.1|DMEL	LOC109621447|XP_019931026.2|AEAL, LOC115268013|XP_029731758.1|AEAL
OG0000216	CG16719|NP_648344.1|DMEL, CG12395|NP_573101.1|DMEL	LOC109420538|XP_019550457.2|AEAL, LOC109417052|XP_019546721.2|AEAL
OG0000217	Pdha|NP_726945.1|DMEL	LOC109416150|XP_019545668.2|AEAL, LOC109404988|XP_019533518.2|AEAL
OG0000217	CG7024|NP_572182.1|DMEL	LOC115262661|XP_029721121.1|AEAL, LOC109412776|XP_029721054.1|AEAL
OG0000219	Tsp42Ed|NP_523630.1|DMEL, Tsp42Ea|NP_525012.2|DMEL, Tsp42Ee|NP_523631.1|DMEL	LOC109400672|XP_019528712.1|AEAL
OG0000220	Doc3|NP_648280.1|DMEL, Doc1|NP_648283.1|DMEL, Doc2|NP_648282.1|DMEL	LOC109430237|XP_019561829.2|AEAL, LOC115263148|XP_029721932.1|AEAL, LOC109622619|XP_019932575.2|AEAL, LOC109430232|XP_029722448.1|AEAL, LOC109622620|XP_019932576.2|AEAL
OG0000221	Lfg|NP_725236.1|DMEL, CG9722|NP_650341.1|DMEL, Nmda1|NP_523722.1|DMEL	LOC109414996|XP_029728975.1|AEAL, LOC115254261|XP_029735858.1|AEAL, LOC109408640|XP_029736021.1|AEAL, LOC109622167|XP_019931947.2|AEAL
OG0000224	GstE12|NP_611964.1|DMEL	LOC115255369|XP_029709249.1|AEAL, LOC109417693|XP_019547311.2|AEAL, LOC115255368|XP_029709248.1|AEAL, LOC115255504|XP_029709494.1|AEAL, LOC109417694|XP_029708451.1|AEAL, LOC109417559|XP_029708450.1|AEAL, LOC109417695|XP_029708449.1|AEAL, LOC115255341|XP_029709219.1|AEAL, LOC115255342|XP_029709220.1|AEAL, LOC109417697|XP_019547313.2|AEAL
OG0000225	CG42812|NP_001097901.2|DMEL, CG42811|NP_001189279.1|DMEL, CG13613|NP_001097900.2|DMEL	LOC109433405|XP_019565381.2|AEAL, LOC115261126|XP_029718353.1|AEAL, LOC109403257|XP_019531584.2|AEAL, LOC109433403|XP_019565379.2|AEAL
OG0000226	Ilp1|NP_648359.1|DMEL, Ilp3|NP_648360.2|DMEL, Ilp5|NP_996037.2|DMEL	LOC109403183|XP_019531486.2|AEAL
OG0000228	Tim17b|NP_001015401.1|DMEL, Tim17b1|NP_649526.2|DMEL, CG1724|NP_608439.2|DMEL, Tim17b2|NP_524746.2|DMEL	LOC109621587|XP_019931211.1|AEAL, LOC115253924|XP_029707601.1|AEAL, LOC109400111|XP_029707641.1|AEAL
OG0000229	CG3339|NP_001036762.2|DMEL, kl-5|NP_001015499.4|DMEL	LOC109411049|XP_029723426.1|AEAL, LOC109400255|XP_029723418.1|AEAL
OG0000229	Dhc93AB|NP_001262793.1|DMEL	LOC109406499|XP_029713513.1|AEAL
OG0000230	Jhe|NP_523758.3|DMEL, Jhedup|NP_611085.2|DMEL	LOC109409690|XP_029727561.1|AEAL, LOC109409691|XP_019538711.2|AEAL, LOC109409692|XP_019538712.2|AEAL, LOC109409689|XP_029726018.1|AEAL
OG0000232	Zip89B|NP_536747.2|DMEL, Zip42C.2|NP_610231.2|DMEL, Zip42C.1|NP_525107.1|DMEL	LOC109431490|XP_029717845.1|AEAL, LOC115266217|XP_029728050.1|AEAL, LOC109427688|XP_019558823.2|AEAL
OG0000233	neo|NP_651733.1|DMEL, mey|NP_651870.3|DMEL, nyo|NP_651871.2|DMEL	LOC109397248|XP_019525113.2|AEAL
OG0000235	Smvt|NP_651891.2|DMEL, CG2187|NP_651890.1|DMEL, salt|NP_651889.3|DMEL	LOC109418333|XP_029721156.1|AEAL, LOC109427304|XP_029720926.1|AEAL
OG0000236	Hsp60B|NP_524925.1|DMEL, Hsp60C|NP_608948.2|DMEL, Hsp60A|NP_511115.2|DMEL	LOC109425591|XP_029729762.1|AEAL, LOC109411288|XP_029729649.1|AEAL
OG0000237	Eb1|NP_724495.2|DMEL	LOC109405971|XP_029732949.1|AEAL, LOC109403775|XP_029722466.1|AEAL
OG0000237	CG32371|NP_729295.1|DMEL, CG2955|NP_608817.1|DMEL, CG15306|NP_572618.1|DMEL	LOC109411476|XP_019540549.2|AEAL
OG0000238	CG31674|NP_610063.4|DMEL, CG9331|NP_788080.1|DMEL, CG31673|NP_724294.1|DMEL	LOC109397549|XP_019525397.2|AEAL, LOC109397530|XP_029714833.1|AEAL, LOC109622822|XP_029714895.1|AEAL
OG0000239	Sodh-2|NP_524311.1|DMEL, Sodh-1|NP_477348.1|DMEL	LOC109415971|XP_029730256.1|AEAL, LOC115264009|XP_029723173.1|AEAL
OG0000240	dpr17|NP_731670.1|DMEL, dpr15|NP_731672.1|DMEL, dpr11|NP_788586.1|DMEL	LOC109428777|XP_029733998.1|AEAL, LOC109397740|XP_029718214.1|AEAL, LOC115267533|XP_029730476.1|AEAL
OG0000241	AGO2|NP_730054.1|DMEL	LOC109424480|XP_029716851.1|AEAL, LOC115269266|XP_029733679.1|AEAL
OG0000246	CG6967|NP_611185.3|DMEL	LOC109403367|XP_029731598.1|AEAL, LOC109414932|XP_019544327.3|AEAL, LOC109403351|XP_029731597.1|AEAL, LOC109403373|XP_029731600.1|AEAL, LOC109410735|XP_019539795.2|AEAL, LOC109403353|XP_029731596.1|AEAL, LOC109410739|XP_029731593.1|AEAL, LOC109410743|XP_019539801.2|AEAL, LOC109410762|XP_029731601.1|AEAL, LOC109403372|XP_029733656.1|AEAL
OG0000247	Est-P|NP_788501.1|DMEL, Est-6|NP_788500.1|DMEL	LOC109406417|XP_019535055.2|AEAL
OG0000248	Adgf-A|NP_524130.1|DMEL, Adgf-B|NP_649006.2|DMEL, Adgf-E|NP_610977.1|DMEL	LOC109425681|XP_019556509.2|AEAL, LOC109423014|XP_019553474.2|AEAL
OG0000249	CG8360|NP_609195.1|DMEL, CG8353|NP_609196.1|DMEL, CG8349|NP_609197.2|DMEL	LOC109404611|XP_019533057.2|AEAL, LOC109411684|XP_019540798.2|AEAL
OG0000250	Vha68-2|NP_652004.2|DMEL, Vha68-1|NP_523560.2|DMEL, Vha68-3|NP_609595.1|DMEL	LOC109419385|XP_019549163.1|AEAL
OG0000251	Idh3a|NP_001259705.1|DMEL, CG3483|NP_611912.1|DMEL, CG32026|NP_729420.1|DMEL	LOC115254071|XP_029718940.1|AEAL, LOC109411640|XP_029717178.1|AEAL, LOC109428133|XP_019559363.1|AEAL
OG0000252	CG4377|NP_611614.1|DMEL, CG34040|NP_001033963.1|DMEL, CG4363|NP_611613.1|DMEL	LOC115265430|XP_029726384.1|AEAL, LOC109408350|XP_029707900.1|AEAL
OG0000255	Cyp6g1|NP_610743.2|DMEL	LOC109428976|XP_029730816.1|AEAL
OG0000256	MFS15|NP_611375.2|DMEL, CG15096|NP_611376.1|DMEL	LOC109421653|XP_019551719.2|AEAL
OG0000257	shu|NP_611837.1|DMEL	LOC109418502|XP_019548248.2|AEAL
OG0000260	CG2127|NP_610375.2|DMEL, CG33340|NP_996281.1|DMEL, CG8701|NP_610376.1|DMEL	LOC109424589|XP_019555308.2|AEAL, LOC109416228|XP_019545766.2|AEAL, LOC115263574|XP_029722673.1|AEAL
OG0000261	Cyp4ac3|NP_608918.1|DMEL, Cyp4ac1|NP_608916.1|DMEL, Cyp4ac2|NP_608917.3|DMEL	LOC109418973|XP_029733571.1|AEAL, LOC109397856|XP_029709785.1|AEAL, LOC115255809|XP_029709851.1|AEAL, LOC109397863|XP_019525749.2|AEAL, LOC109418975|XP_019548745.2|AEAL, LOC109398593|XP_019526530.2|AEAL, LOC109418974|XP_019548744.2|AEAL, LOC109397872|XP_029733464.1|AEAL, LOC115253515|XP_019525758.2|AEAL, LOC109418976|XP_019548746.2|AEAL
OG0000262	Mdr49|NP_523724.2|DMEL	LOC109403048|XP_029735814.1|AEAL, LOC109408676|XP_029735703.1|AEAL
OG0000263	Cpr49Aa|NP_001097285.1|DMEL	LOC109420562|XP_019550480.2|AEAL, LOC109419859|XP_019549689.2|AEAL
OG0000264	CanA-14F|NP_001245717.1|DMEL, Pp2B-14D|NP_523373.2|DMEL, CanA1|NP_524600.3|DMEL	LOC109401451|XP_019529559.1|AEAL, LOC109410471|XP_019539575.1|AEAL
OG0000267	CG15534|NP_651792.1|DMEL, CG15533|NP_651791.2|DMEL	LOC115256115|XP_029710232.1|AEAL, LOC109414072|XP_019543353.2|AEAL, LOC115256103|XP_029710222.1|AEAL, LOC109414070|XP_019543352.2|AEAL
OG0000268	Obp83b|NP_524242.2|DMEL, Obp83a|NP_001287190.1|DMEL	LOC115254540|XP_029707970.1|AEAL, LOC115257152|XP_029712410.1|AEAL
OG0000269	CG6763|NP_651138.1|DMEL	LOC115264224|XP_029723610.1|AEAL, LOC109406198|XP_029732511.1|AEAL
OG0000270	St1|NP_611815.3|DMEL	LOC109425703|XP_019556548.2|AEAL, LOC109422774|XP_019553202.2|AEAL, LOC109425702|XP_019556547.2|AEAL, LOC109422766|XP_019553189.2|AEAL, LOC109397149|XP_019525033.2|AEAL, LOC109411753|XP_029720193.1|AEAL, LOC109425990|XP_019556959.2|AEAL, LOC115268063|XP_029731851.1|AEAL, LOC115268062|XP_029731849.1|AEAL, LOC109425987|XP_019556955.2|AEAL, LOC115268065|XP_029731854.1|AEAL, LOC109425992|XP_019556962.2|AEAL, LOC115268043|XP_029731816.1|AEAL, LOC109425991|XP_019556960.2|AEAL, LOC109425988|XP_019556956.2|AEAL, LOC115268064|XP_029731853.1|AEAL, LOC115264162|XP_029723410.1|AEAL, LOC115269453|XP_029734081.1|AEAL, LOC109398567|XP_029732652.1|AEAL, LOC109425989|XP_019556957.2|AEAL, LOC115268042|XP_029731814.1|AEAL
OG0000271	ND-51|NP_608987.1|DMEL, ND-51L1|NP_611238.2|DMEL, ND-51L2|NP_725449.1|DMEL	LOC109622877|XP_019932888.2|AEAL
OG0000272	Ank2|NP_001189070.1|DMEL	LOC109423438|XP_029733446.1|AEAL
OG0000272	Ank|NP_001162819.1|DMEL	LOC115253947|XP_029709284.1|AEAL, LOC109417689|XP_029709257.1|AEAL
OG0000273	Acyp2|NP_650491.1|DMEL, CG34161|NP_001097143.1|DMEL, CG11052|NP_652181.1|DMEL	LOC109427331|XP_019558404.2|AEAL
OG0000274	AttB|NP_523746.1|DMEL, AttA|NP_523745.1|DMEL	LOC109399761|XP_029723081.1|AEAL, LOC109402005|XP_019530162.2|AEAL
OG0000279	S-Lap1|NP_648244.1|DMEL, S-Lap2|NP_729394.1|DMEL	LOC109420901|XP_019550930.2|AEAL, LOC115268383|XP_029732251.1|AEAL, LOC109425977|XP_019556940.2|AEAL
OG0000280	CG9451|NP_649118.1|DMEL, CG9449|NP_001137976.1|DMEL, CG9452|NP_649119.2|DMEL	LOC109418076|XP_019547794.2|AEAL
OG0000281	zpg|NP_648049.1|DMEL, Inx6|NP_572374.1|DMEL, Inx5|NP_573353.2|DMEL	LOC109426582|XP_019557661.2|AEAL
OG0000282	Gr64e|NP_001027106.1|DMEL	LOC109415107|XP_029728069.1|AEAL, LOC115266232|XP_029728072.1|AEAL, LOC109416040|XP_019545551.2|AEAL, LOC109416050|XP_029718774.1|AEAL
OG0000283	Twdlbeta|NP_610707.2|DMEL	LOC109400257|XP_019528285.1|AEAL
OG0000283	TwdlT|NP_651999.1|DMEL	LOC115269564|XP_029734236.1|AEAL, LOC109397735|XP_029734209.1|AEAL, LOC109410166|XP_029710435.1|AEAL, LOC115269155|XP_029733427.1|AEAL, LOC109427445|XP_029733426.1|AEAL
OG0000284	beat-Ib|NP_523579.1|DMEL	LOC109419776|XP_029708575.1|AEAL, LOC109398225|XP_029708570.1|AEAL
OG0000284	beat-Ia|NP_001285975.1|DMEL	LOC115257137|XP_029712380.1|AEAL, LOC115254479|XP_029707890.1|AEAL, LOC115254998|XP_029708564.1|AEAL, LOC109419778|XP_029708567.1|AEAL
OG0000285	Jheh1|NP_611385.1|DMEL	LOC115267674|XP_029730694.1|AEAL, LOC109420926|XP_019550943.2|AEAL, LOC109412662|XP_019541839.2|AEAL
OG0000285	Jheh2|NP_611386.2|DMEL	LOC115264445|XP_029723996.1|AEAL
OG0000286	NimB4|NP_788046.1|DMEL, NimB1|NP_001260452.1|DMEL, NimB5|NP_609692.3|DMEL	LOC115268022|XP_029731772.1|AEAL, LOC109426058|XP_029732816.1|AEAL, LOC115268789|XP_029732820.1|AEAL, LOC115268019|XP_029731768.1|AEAL, LOC115268796|XP_029732826.1|AEAL
OG0000292	CG6484|NP_611234.1|DMEL	LOC115255175|XP_029708967.1|AEAL, LOC109431821|XP_029708512.1|AEAL
OG0000292	CG10960|NP_648605.1|DMEL	LOC109402659|XP_029710984.1|AEAL, LOC115268762|XP_029732782.1|AEAL, LOC109402671|XP_029711557.1|AEAL, LOC109402682|XP_019530931.2|AEAL
OG0000293	CG10252|NP_651171.1|DMEL, CG31870|NP_723620.1|DMEL, CG31468|NP_732890.1|DMEL	LOC109401355|XP_019529411.1|AEAL
OG0000294	Ca-alpha1D|NP_723952.2|DMEL	LOC109415132|XP_029728964.1|AEAL
OG0000294	cac|NP_001356945.1|DMEL	LOC115269200|XP_029733519.1|AEAL, LOC115268722|XP_029732732.1|AEAL, LOC109433313|XP_029729095.1|AEAL
OG0000295	CG12857|NP_610987.1|DMEL, CG30357|NP_724707.1|DMEL	LOC109404608|XP_019533055.2|AEAL, LOC109411777|XP_019540929.2|AEAL
OG0000296	ttm3|NP_610130.1|DMEL, ttm2|NP_612023.1|DMEL, ttm50|NP_570027.1|DMEL	LOC109415679|XP_019545151.2|AEAL
OG0000299	CG32473|NP_731787.1|DMEL, CG8774|NP_650274.2|DMEL, CG8773|NP_650273.2|DMEL	LOC115253904|XP_029730213.1|AEAL
OG0000300	Ir75b|NP_001137966.2|DMEL, Ir75c|NP_649013.3|DMEL, Ir75a|NP_649012.2|DMEL	LOC115258786|XP_029715049.1|AEAL, LOC109419513|XP_029715106.1|AEAL, LOC109419514|XP_029715148.1|AEAL, LOC109409354|XP_029715111.1|AEAL
OG0000301	Gat|NP_651930.2|DMEL	LOC109409183|XP_019538149.2|AEAL, LOC109421620|XP_019551667.2|AEAL
OG0000301	Ntl|NP_609135.1|DMEL	LOC109432473|XP_029727060.1|AEAL, LOC115265529|XP_029726932.1|AEAL, LOC109432476|XP_019564348.2|AEAL, LOC109421182|XP_029725330.1|AEAL
OG0000302	CG11309|NP_649301.1|DMEL, CG7632|NP_649302.1|DMEL	LOC109429594|XP_019561129.2|AEAL, LOC115264896|XP_029724787.1|AEAL, LOC109408547|XP_019537415.2|AEAL, LOC109429593|XP_019561128.2|AEAL, LOC115264897|XP_029724788.1|AEAL, LOC109408545|XP_019537413.2|AEAL
OG0000303	Tim13|NP_648505.1|DMEL, CG42302|NP_001097022.2|DMEL, CG34132|NP_001036344.1|DMEL	LOC115269173|XP_029733441.1|AEAL, LOC115269176|XP_029733444.1|AEAL, LOC109414644|XP_019544031.1|AEAL, LOC115261397|XP_029718867.1|AEAL, LOC109423425|XP_019553953.1|AEAL
OG0000304	CG1774|NP_651875.1|DMEL, CG1635|NP_651873.3|DMEL, CG1638|NP_001097991.1|DMEL	LOC109429100|XP_019560484.2|AEAL, LOC115258186|XP_029714111.1|AEAL
OG0000305	CG33986|NP_001034017.2|DMEL	LOC109403458|XP_019531834.2|AEAL
OG0000306	Klp59C|NP_611759.1|DMEL, Klp59D|NP_611762.1|DMEL, Klp10A|NP_572687.1|DMEL	LOC109412996|XP_029729989.1|AEAL, LOC109402217|XP_029730002.1|AEAL
OG0000307	wrd|NP_732295.1|DMEL	LOC115262115|XP_029720007.1|AEAL, LOC109429667|XP_029719854.1|AEAL, LOC109406521|XP_019535159.2|AEAL
OG0000307	wdb|NP_001368946.1|DMEL	LOC109399839|XP_029729709.1|AEAL, LOC109425375|XP_029729733.1|AEAL
OG0000311	Takl2|NP_651090.2|DMEL, Takl1|NP_732554.1|DMEL, Tak1|NP_524080.1|DMEL	LOC109425252|XP_029716158.1|AEAL, LOC109421877|XP_029716149.1|AEAL, LOC115254050|XP_029717613.1|AEAL
OG0000312	Shawl|NP_001097131.2|DMEL	LOC109421548|XP_029727106.1|AEAL
OG0000312	Shaw|NP_001137782.1|DMEL	LOC109409155|XP_029730485.1|AEAL, LOC109421546|XP_019551611.1|AEAL, LOC109409153|XP_019538113.1|AEAL
OG0000313	Acer|NP_477195.1|DMEL, Ance|NP_477046.1|DMEL	LOC109410834|XP_029725326.1|AEAL, LOC115256251|XP_029710381.1|AEAL, LOC109421171|XP_029710371.1|AEAL
OG0000314	CG9664|NP_722889.1|DMEL, CG9663|NP_608760.2|DMEL	LOC109429978|XP_019561531.2|AEAL
OG0000315	Sr-CIII|NP_524747.1|DMEL, Sr-CIV|NP_608789.1|DMEL, Sr-CII|NP_524720.2|DMEL, Sr-CI|NP_477102.1|DMEL	LOC115268056|XP_029731841.1|AEAL, LOC109426005|XP_019556976.2|AEAL, LOC115268055|XP_029731840.1|AEAL, LOC109426006|XP_029731802.1|AEAL
OG0000320	Art1|NP_650017.1|DMEL, Art2|NP_608821.1|DMEL, Art6|NP_650322.1|DMEL	LOC109621579|XP_019931201.1|AEAL, LOC115254363|XP_029707705.1|AEAL, LOC109400097|XP_019528122.2|AEAL
OG0000321	Mal-B2|NP_723693.3|DMEL, Mal-B1|NP_609522.1|DMEL	LOC109418355|XP_019548096.2|AEAL, LOC109398616|XP_019526544.2|AEAL, LOC109415681|XP_019545152.2|AEAL, LOC109418348|XP_019548085.2|AEAL, LOC115258848|XP_029715142.1|AEAL, LOC115268209|XP_029732126.1|AEAL, LOC109418328|XP_019548068.2|AEAL, LOC109398596|XP_029715276.1|AEAL
OG0000322	CG5213|NP_650473.1|DMEL, ssx|NP_569908.1|DMEL, Sxl|NP_001259303.1|DMEL	LOC109404970|XP_019533497.2|AEAL, LOC115261543|XP_029719244.1|AEAL
OG0000323	p38b|NP_477361.1|DMEL, p38c|NP_996277.1|DMEL, p38a|NP_477163.1|DMEL	LOC115253754|XP_029724316.1|AEAL, LOC109420146|XP_029724344.1|AEAL, LOC109431243|XP_029724314.1|AEAL
OG0000324	mars|NP_610878.1|DMEL	LOC109399111|XP_019527103.2|AEAL
OG0000325	CG6839|NP_649076.1|DMEL, CG3819|NP_649078.1|DMEL	LOC115268390|XP_029732255.1|AEAL, LOC109407690|XP_019536384.2|AEAL, LOC109425982|XP_019556949.2|AEAL, LOC115268066|XP_029731855.1|AEAL
OG0000332	pie|NP_524740.2|DMEL	LOC109621714|XP_019931412.2|AEAL
OG0000333	scramb1|NP_648389.3|DMEL	LOC109422359|XP_029721734.1|AEAL, LOC109401270|XP_029725071.1|AEAL, LOC115253507|XP_029716824.1|AEAL
OG0000333	scramb2|NP_647761.1|DMEL	LOC115260347|XP_029717135.1|AEAL
OG0000334	Gapdh1|NP_525108.2|DMEL, Gapdh2|NP_542445.1|DMEL, CG9010|NP_611172.1|DMEL	LOC109413713|XP_019542998.1|AEAL
OG0000335	CG13078|NP_609989.1|DMEL, CG13077|NP_609990.1|DMEL	LOC115258579|XP_029714671.1|AEAL, LOC115262908|XP_029721667.1|AEAL, LOC109409360|XP_029714711.1|AEAL
OG0000338	nSyb|NP_001261269.1|DMEL	LOC109426844|XP_029725391.1|AEAL
OG0000338	Syb|NP_001137633.1|DMEL	LOC109398320|XP_019526219.1|AEAL, LOC109419702|XP_029709837.1|AEAL
OG0000339	CG13051|NP_001097618.1|DMEL, CG13069|NP_652418.1|DMEL	LOC109426655|XP_019557724.2|AEAL, LOC109426657|XP_019557726.2|AEAL, LOC115253908|XP_029727513.1|AEAL
OG0000340	RhoGAP54D|NP_001261060.1|DMEL	LOC109398956|XP_019526953.2|AEAL
OG0000342	Prosalpha4|NP_525092.1|DMEL, Prosalpha4T1|NP_650910.1|DMEL, Prosalpha4T2|NP_611920.1|DMEL	LOC109423012|XP_019553471.1|AEAL, LOC109415625|XP_019545070.1|AEAL
OG0000343	CG8132|NP_649888.1|DMEL	LOC109430404|XP_019562010.2|AEAL, LOC109430403|XP_019562009.2|AEAL
OG0000344	CG5002|NP_611262.1|DMEL, CG7912|NP_651761.2|DMEL	LOC109399854|XP_019527889.2|AEAL, LOC109425365|XP_019556158.2|AEAL, LOC109399864|XP_019527898.2|AEAL, LOC109425363|XP_019556156.2|AEAL
OG0000345	Kdm4A|NP_610331.1|DMEL	LOC109423314|XP_019553792.2|AEAL
OG0000345	Kdm4B|NP_001260942.1|DMEL, seq|NP_001027415.1|DMEL	LOC109420413|XP_019550291.2|AEAL, LOC115253807|XP_029712798.1|AEAL
OG0000346	scb|NP_523750.2|DMEL, ItgaPS5|NP_611808.2|DMEL, ItgaPS4|NP_611025.2|DMEL	LOC115270450|XP_029736043.1|AEAL, LOC115270456|XP_029736046.1|AEAL
OG0000347	DnaJ-1|NP_523936.2|DMEL	LOC109402735|XP_019530990.2|AEAL
OG0000347	CG5001|NP_001245832.1|DMEL	LOC109398531|XP_029710049.1|AEAL, LOC115253617|XP_029715199.1|AEAL
OG0000348	insv|NP_608690.2|DMEL, Bsg25A|NP_523472.2|DMEL	LOC109427907|XP_019559072.2|AEAL
OG0000349	barr|NP_477106.1|DMEL	LOC109401544|XP_029715710.1|AEAL, LOC115254135|XP_029724522.1|AEAL, LOC109412611|XP_029724434.1|AEAL
OG0000351	tpr|NP_611611.1|DMEL, CG18735|NP_652645.1|DMEL	LOC109430379|XP_019561986.1|AEAL, LOC109622829|XP_029715244.1|AEAL, LOC109413276|XP_019542546.1|AEAL, LOC109430385|XP_019561994.2|AEAL, LOC109413278|XP_029713171.1|AEAL
OG0000353	CG7483|NP_649788.2|DMEL	LOC109402421|XP_029729908.1|AEAL, LOC109405422|XP_019534032.1|AEAL
OG0000353	eIF4A|NP_476595.1|DMEL	LOC109428239|XP_029728367.1|AEAL, LOC115266377|XP_029728466.1|AEAL
OG0000355	sut1|NP_523658.1|DMEL, CG7882|NP_724438.1|DMEL	LOC109408907|XP_019537835.2|AEAL, LOC109418464|XP_029728816.1|AEAL, LOC109408909|XP_019537837.2|AEAL
OG0000356	Ugt36E1|NP_609911.1|DMEL, Ugt36D1|NP_609910.1|DMEL	LOC109429923|XP_029728612.1|AEAL, LOC109429550|XP_029720091.1|AEAL, LOC109429787|XP_029720175.1|AEAL, LOC109398287|XP_029720168.1|AEAL
OG0000361	CG5265|NP_650605.1|DMEL, CRAT|NP_649650.2|DMEL, CG5122|NP_609601.1|DMEL	LOC109431162|XP_019562911.2|AEAL
OG0000362	Arf102F|NP_524631.1|DMEL	LOC109406929|XP_019535478.2|AEAL, LOC109405946|XP_019534539.1|AEAL
OG0000362	Arf79F|NP_001097667.1|DMEL	LOC109426897|XP_029721185.1|AEAL
OG0000363	msi|NP_733108.2|DMEL	LOC109400186|XP_029728046.1|AEAL, LOC109427106|XP_029728131.1|AEAL
OG0000363	Rbp6|NP_001097631.1|DMEL	LOC115253732|XP_029726693.1|AEAL, LOC109418888|XP_029725302.1|AEAL
OG0000364	zormin|NP_001261317.1|DMEL	LOC115265359|XP_029725933.1|AEAL, LOC109419679|XP_029725958.1|AEAL
OG0000365	dpr1|NP_995908.2|DMEL	LOC115269981|XP_029734708.1|AEAL, LOC109426679|XP_029725547.1|AEAL
OG0000365	dpr2|NP_001162945.3|DMEL	LOC109433025|XP_029716907.1|AEAL, LOC115259068|XP_029715441.1|AEAL
OG0000366	CG44422|NP_572699.2|DMEL	LOC109429237|XP_029718708.1|AEAL, LOC109398891|XP_029714395.1|AEAL
OG0000366	CG5890|NP_001356889.1|DMEL	LOC109427117|XP_029727911.1|AEAL, LOC115266261|XP_029728094.1|AEAL
OG0000367	CalpB|NP_524016.4|DMEL, CalpA|NP_001286613.1|DMEL	LOC115254671|XP_029708149.1|AEAL, LOC109424434|XP_019555089.2|AEAL, LOC109422336|XP_029708161.1|AEAL, LOC109424433|XP_029708143.1|AEAL, LOC109422335|XP_029708155.1|AEAL
OG0000368	CG6083|NP_648485.1|DMEL	LOC109425955|XP_029731785.1|AEAL, LOC109407632|XP_029731882.1|AEAL, LOC109425952|XP_019556902.2|AEAL, LOC109407629|XP_019536314.2|AEAL, LOC115256951|XP_029712015.1|AEAL
OG0000376	RpS14a|NP_524884.1|DMEL, RpS14b|NP_536352.1|DMEL	LOC115255627|XP_029709576.1|AEAL, LOC109405358|XP_019533957.1|AEAL, LOC109397814|XP_019525684.1|AEAL, LOC115255639|XP_029709595.1|AEAL
OG0000377	regucalcin|NP_727588.2|DMEL, smp-30|NP_001262580.1|DMEL	LOC109404664|XP_019533138.2|AEAL, LOC109401438|XP_019529541.2|AEAL, LOC109410397|XP_019547024.2|AEAL, LOC109417375|XP_019547022.2|AEAL, LOC109405673|XP_019534284.2|AEAL
OG0000378	CG5009|NP_611264.2|DMEL	LOC109431293|XP_019563055.1|AEAL, LOC109431993|XP_029710254.1|AEAL, LOC109407753|XP_029715571.1|AEAL, LOC109418937|XP_029729314.1|AEAL
OG0000379	Dgat2|NP_610318.1|DMEL, CG1941|NP_610317.1|DMEL, CG1946|NP_610319.2|DMEL	LOC109403232|XP_019531556.1|AEAL
OG0000380	CG13334|NP_001246301.1|DMEL, Ldh|NP_476581.1|DMEL	LOC109412504|XP_019541667.1|AEAL, LOC109420807|XP_019550799.1|AEAL, LOC115270399|XP_029735874.1|AEAL
OG0000381	CG8708|NP_724653.1|DMEL, C1GalTA|NP_609258.1|DMEL	LOC115258588|XP_029714697.1|AEAL, LOC109622899|XP_019932914.1|AEAL, LOC115258623|XP_029714780.1|AEAL
