Orthogroup	DMEL.longest_only	CCAP.longest_only
OG0001869	Grik|NP_001262788.1|DMEL	CCAP1982_LOCUS2409|CAD6993599.1|CCAP
OG0001872	CG15537|NP_001097981.1|DMEL	CCAP1982_LOCUS1125|CAD6992255.1|CCAP
OG0001873	beta-Man|NP_649436.2|DMEL	CCAP1982_LOCUS3170|CAD6994418.1|CCAP, CCAP1982_LOCUS3173|CAD6994421.1|CCAP
OG0001874	bai|NP_651323.3|DMEL	CCAP1982_LOCUS4109|CAD6995391.1|CCAP
OG0001875	CG12071|NP_651832.3|DMEL	CCAP1982_LOCUS1759|CAD6992926.1|CCAP
OG0001878	Droj2|NP_650283.1|DMEL	CCAP1982_LOCUS2349|CAD6993537.1|CCAP
OG0001879	stac|NP_651329.4|DMEL	CCAP1982_LOCUS4169|CAD6995454.1|CCAP
OG0001880	P5cr|NP_524400.2|DMEL	CCAP1982_LOCUS1363|CAD6992514.1|CCAP
OG0001881	lbe|NP_524435.2|DMEL	CCAP1982_LOCUS2771|CAD6993988.1|CCAP, CCAP1982_LOCUS2767|CAD6993984.1|CCAP, CCAP1982_LOCUS2765|CAD6993982.1|CCAP
OG0001882	CG5882|NP_651540.1|DMEL	CCAP1982_LOCUS1385|CAD6992536.1|CCAP, CCAP1982_LOCUS1384|CAD6992535.1|CCAP, CCAP1982_LOCUS1383|CAD6992534.1|CCAP
OG0001883	Cow|NP_001262857.1|DMEL	CCAP1982_LOCUS2229|CAD6993414.1|CCAP
OG0001884	AdSS|NP_650918.1|DMEL	CCAP1982_LOCUS1429|CAD6992581.1|CCAP
OG0001886	CG9356|NP_649889.1|DMEL	CCAP1982_LOCUS1050|CAD6992176.1|CCAP
OG0001887	ND-B14|NP_610629.1|DMEL	CCAP1982_LOCUS20351|CAD7012255.1|CCAP
OG0001888	CG12173|NP_649523.1|DMEL	CCAP1982_LOCUS224|CAD6991295.1|CCAP
OG0001890	CG5274|NP_649222.1|DMEL	CCAP1982_LOCUS2856|CAD6994087.1|CCAP
OG0001891	Gfrl|NP_001247206.1|DMEL	CCAP1982_LOCUS2944|CAD6994179.1|CCAP
OG0001893	DNApol-alpha73|NP_733206.3|DMEL	CCAP1982_LOCUS1735|CAD6992902.1|CCAP, CCAP1982_LOCUS1738|CAD6992905.1|CCAP
OG0001894	CG30382|NP_724616.1|DMEL, Prosalpha1|NP_724614.1|DMEL	CCAP1982_LOCUS22715|CAD7014737.1|CCAP
OG0001895	Gyf|NP_001162827.1|DMEL	CCAP1982_LOCUS9931|CAD7001434.1|CCAP
OG0001896	MFS17|NP_001015096.2|DMEL	CCAP1982_LOCUS10482|CAD7001996.1|CCAP
OG0001897	tws|NP_476880.1|DMEL	CCAP1982_LOCUS2463|CAD6993655.1|CCAP
OG0001899	CG7720|NP_650753.1|DMEL	CCAP1982_LOCUS1209|CAD6992345.1|CCAP
OG0001901	CG31635|NP_001260135.1|DMEL	CCAP1982_LOCUS5757|CAD6997106.1|CCAP, CCAP1982_LOCUS5756|CAD6997104.1|CCAP, CCAP1982_LOCUS5758|CAD6997109.1|CCAP
OG0001903	CG1103|NP_001036660.1|DMEL	CCAP1982_LOCUS2781|CAD6994000.1|CCAP
OG0001904	NSD|NP_733239.1|DMEL	CCAP1982_LOCUS2825|CAD6994050.1|CCAP
OG0001906	Calx|NP_001247215.1|DMEL	CCAP1982_LOCUS1455|CAD6992606.1|CCAP, CCAP1982_LOCUS1453|CAD6992604.1|CCAP, CCAP1982_LOCUS1454|CAD6992605.1|CCAP
OG0001908	HSPBAP1|NP_651581.2|DMEL	CCAP1982_LOCUS2718|CAD6993930.1|CCAP
OG0001910	ohgt|NP_649973.1|DMEL	CCAP1982_LOCUS3105|CAD6994350.1|CCAP
OG0001911	CG42342|NP_001189234.1|DMEL	CCAP1982_LOCUS3848|CAD6995126.1|CCAP, CCAP1982_LOCUS3845|CAD6995123.1|CCAP, CCAP1982_LOCUS3839|CAD6995117.1|CCAP, CCAP1982_LOCUS3849|CAD6995127.1|CCAP
OG0001912	CG8093|NP_611020.1|DMEL	CCAP1982_LOCUS2354|CAD6993542.1|CCAP
OG0001914	mask|NP_001247280.1|DMEL	CCAP1982_LOCUS1303|CAD6992445.1|CCAP, CCAP1982_LOCUS1304|CAD6992447.1|CCAP
OG0001915	ACXD|NP_620469.2|DMEL	CCAP1982_LOCUS11403|CAD7002938.1|CCAP, CCAP1982_LOCUS22437|CAD7014441.1|CCAP, CCAP1982_LOCUS22436|CAD7014440.1|CCAP
OG0001916	Topors|NP_611388.1|DMEL	CCAP1982_LOCUS21919|CAD7013905.1|CCAP
OG0001917	CG8492|NP_648151.2|DMEL	CCAP1982_LOCUS10929|CAD7002439.1|CCAP
OG0001918	CG15014|NP_647892.1|DMEL	CCAP1982_LOCUS11525|CAD7003062.1|CCAP
OG0001919	CG30467|NP_611044.1|DMEL	CCAP1982_LOCUS21247|CAD7013176.1|CCAP, CCAP1982_LOCUS21246|CAD7013175.1|CCAP
OG0001920	fwd|NP_001356971.1|DMEL	CCAP1982_LOCUS12172|CAD7003736.1|CCAP
OG0001921	cbc|NP_610876.1|DMEL	CCAP1982_LOCUS14964|CAD7006661.1|CCAP
OG0001922	asrij|NP_001261143.1|DMEL	CCAP1982_LOCUS7235|CAD6998676.1|CCAP
OG0001924	CG17691|NP_001104018.1|DMEL	CCAP1982_LOCUS5884|CAD6997251.1|CCAP
OG0001925	CG10672|NP_647946.1|DMEL	CCAP1982_LOCUS13224|CAD7004835.1|CCAP
OG0001928	CG8009|NP_648400.1|DMEL	CCAP1982_LOCUS12931|CAD7004534.1|CCAP
OG0001929	Rbfox1|NP_001246707.1|DMEL	CCAP1982_LOCUS12927|CAD7004530.1|CCAP
OG0001930	GEFmeso|NP_788403.2|DMEL	CCAP1982_LOCUS22561|CAD7014562.1|CCAP, CCAP1982_LOCUS22560|CAD7014561.1|CCAP
OG0001931	Iyd|NP_001369045.1|DMEL, CG46439|NP_001368938.1|DMEL	CCAP1982_LOCUS14738|CAD7006418.1|CCAP
OG0001932	JIL-1|NP_648432.1|DMEL	CCAP1982_LOCUS14734|CAD7006414.1|CCAP
OG0001933	CG4866|NP_611224.1|DMEL	CCAP1982_LOCUS20458|CAD7012364.1|CCAP
OG0001934	Gem3|NP_524019.1|DMEL	CCAP1982_LOCUS11449|CAD7002986.1|CCAP
OG0001935	l_3_72Dp|NP_730119.1|DMEL	CCAP1982_LOCUS14888|CAD7006574.1|CCAP
OG0001937	Fs|NP_652376.2|DMEL	CCAP1982_LOCUS21341|CAD7013270.1|CCAP
OG0001938	CG18335|NP_610666.1|DMEL	CCAP1982_LOCUS21455|CAD7013390.1|CCAP
OG0001940	CG46385|NP_001356959.1|DMEL	CCAP1982_LOCUS21655|CAD7013601.1|CCAP
OG0001941	Atac3|NP_001246531.1|DMEL	CCAP1982_LOCUS11356|CAD7002887.1|CCAP
OG0001942	CG9447|NP_610243.4|DMEL	CCAP1982_LOCUS21879|CAD7013860.1|CCAP
OG0001943	CG13055|NP_648851.1|DMEL	CCAP1982_LOCUS14883|CAD7006569.1|CCAP
OG0001944	Mtch|NP_523869.1|DMEL	CCAP1982_LOCUS11128|CAD7002645.1|CCAP
OG0001945	Dgk|NP_724619.2|DMEL	CCAP1982_LOCUS22711|CAD7014732.1|CCAP
OG0001946	Cyt-b5|NP_610294.1|DMEL	CCAP1982_LOCUS21691|CAD7013647.1|CCAP
OG0001947	HLH54F|NP_477302.1|DMEL	CCAP1982_LOCUS21692|CAD7013648.1|CCAP
OG0001948	CG6179|NP_573288.1|DMEL	CCAP1982_LOCUS13820|CAD7005460.1|CCAP
OG0001949	Eip78C|NP_524195.2|DMEL	CCAP1982_LOCUS13083|CAD7004689.1|CCAP
OG0001950	Itpr|NP_730941.1|DMEL	CCAP1982_LOCUS4560|CAD6995859.1|CCAP
OG0001951	jbug|NP_001261140.1|DMEL	CCAP1982_LOCUS23274|CAD7015329.1|CCAP
OG0001952	TpnC41C|NP_523619.2|DMEL	CCAP1982_LOCUS23010|CAD7015053.1|CCAP
OG0001953	Oatp58Dc|NP_001097409.1|DMEL	CCAP1982_LOCUS22980|CAD7015023.1|CCAP, CCAP1982_LOCUS22978|CAD7015021.1|CCAP
OG0001954	KCNQ|NP_788300.3|DMEL	CCAP1982_LOCUS23202|CAD7015253.1|CCAP
OG0001955	CG17765|NP_610592.1|DMEL	CCAP1982_LOCUS22670|CAD7014686.1|CCAP
OG0001957	RpL29|NP_477203.1|DMEL	CCAP1982_LOCUS22307|CAD7014307.1|CCAP
OG0001958	CG30116|NP_725799.1|DMEL	CCAP1982_LOCUS23338|CAD7015394.1|CCAP, CCAP1982_LOCUS23339|CAD7015395.1|CCAP
OG0001959	Toll-9|NP_649214.1|DMEL	CCAP1982_LOCUS14238|CAD7005898.1|CCAP
OG0001960	Psa|NP_728614.1|DMEL	CCAP1982_LOCUS12222|CAD7003786.1|CCAP
OG0001961	Dll|NP_001137759.1|DMEL	CCAP1982_LOCUS22414|CAD7014418.1|CCAP, CCAP1982_LOCUS22415|CAD7014419.1|CCAP
OG0001962	phr|NP_523653.2|DMEL	CCAP1982_LOCUS22716|CAD7014738.1|CCAP, CCAP1982_LOCUS22717|CAD7014739.1|CCAP
OG0001963	CG9706|NP_001356982.1|DMEL	CCAP1982_LOCUS12183|CAD7003747.1|CCAP
OG0001964	smid|NP_523959.2|DMEL	CCAP1982_LOCUS12354|CAD7003931.1|CCAP
OG0001965	CG42747|NP_648045.2|DMEL	CCAP1982_LOCUS12704|CAD7004284.1|CCAP
OG0001966	P5cr-2|NP_650632.1|DMEL	CCAP1982_LOCUS3040|CAD6994279.1|CCAP
OG0001967	Lapsyn|NP_611561.1|DMEL	CCAP1982_LOCUS22780|CAD7014812.1|CCAP
OG0001968	NijA|NP_996040.1|DMEL	CCAP1982_LOCUS14972|CAD7006670.1|CCAP
OG0001969	Orc1|NP_477303.1|DMEL	CCAP1982_LOCUS21687|CAD7013643.1|CCAP
OG0001970	blw|NP_726243.1|DMEL	CCAP1982_LOCUS23267|CAD7015322.1|CCAP
OG0001971	CG11041|NP_611453.2|DMEL	CCAP1982_LOCUS8403|CAD6999893.1|CCAP
OG0001972	IFT20|NP_724409.3|DMEL	CCAP1982_LOCUS23021|CAD7015065.1|CCAP
OG0001973	CG43795|NP_001097435.2|DMEL	CCAP1982_LOCUS22029|CAD7014023.1|CCAP
OG0001974	Myd88|NP_610479.1|DMEL	CCAP1982_LOCUS23362|CAD7015420.1|CCAP, CCAP1982_LOCUS23363|CAD7015421.1|CCAP
OG0001975	CG13806|NP_647708.1|DMEL	CCAP1982_LOCUS11501|CAD7003038.1|CCAP
OG0001976	SmD3|NP_725106.1|DMEL	CCAP1982_LOCUS22353|CAD7014356.1|CCAP
OG0001977	cup|NP_523493.3|DMEL	CCAP1982_LOCUS10531|CAD7002043.1|CCAP, CCAP1982_LOCUS5765|CAD6997116.1|CCAP, CCAP1982_LOCUS10528|CAD7002040.1|CCAP
OG0001978	Arr1|NP_476681.1|DMEL	CCAP1982_LOCUS7617|CAD6999071.1|CCAP
OG0001979	Rack1|NP_477269.1|DMEL	CCAP1982_LOCUS8860|CAD7000384.1|CCAP
OG0001980	galectin|NP_608487.1|DMEL	CCAP1982_LOCUS6688|CAD6998074.1|CCAP, CCAP1982_LOCUS6687|CAD6998073.1|CCAP
OG0001981	fusl|NP_608923.1|DMEL	CCAP1982_LOCUS7875|CAD6999348.1|CCAP
OG0001982	Gpb5|NP_001104335.1|DMEL	CCAP1982_LOCUS5569|CAD6996896.1|CCAP
OG0001983	AGO3|NP_001036627.2|DMEL	CCAP1982_LOCUS3020|CAD6994259.1|CCAP
OG0001984	CG9154|NP_608993.2|DMEL	CCAP1982_LOCUS9240|CAD7000765.1|CCAP
OG0001985	Apoltp|NP_995670.2|DMEL	CCAP1982_LOCUS5651|CAD6996989.1|CCAP
OG0001986	TTLL3A|NP_609069.1|DMEL	CCAP1982_LOCUS6409|CAD6997784.1|CCAP
OG0001988	EDTP|NP_995873.2|DMEL	CCAP1982_LOCUS22258|CAD7014255.1|CCAP
OG0001989	Gr21a|NP_001259841.1|DMEL	CCAP1982_LOCUS6085|CAD6997439.1|CCAP, CCAP1982_LOCUS20246|CAD7012149.1|CCAP
OG0001990	loh|NP_609406.2|DMEL	CCAP1982_LOCUS6088|CAD6997442.1|CCAP
OG0001991	DIP-lambda|NP_001334747.1|DMEL	CCAP1982_LOCUS5893|CAD6997260.1|CCAP, CCAP1982_LOCUS5892|CAD6997259.1|CCAP
OG0001992	CG31760|NP_723730.2|DMEL	CCAP1982_LOCUS7304|CAD6998750.1|CCAP
OG0001993	Sec61alpha|NP_609034.1|DMEL	CCAP1982_LOCUS6510|CAD6997891.1|CCAP
OG0001994	TFAM|NP_732527.1|DMEL	CCAP1982_LOCUS4040|CAD6995322.1|CCAP
OG0001995	CG10194|NP_609973.1|DMEL	CCAP1982_LOCUS7864|CAD6999337.1|CCAP
OG0001996	nompC|NP_523483.2|DMEL	CCAP1982_LOCUS6834|CAD6998223.1|CCAP
OG0001997	CG3894|NP_611963.5|DMEL	CCAP1982_LOCUS22833|CAD7014869.1|CCAP
OG0001998	Eps-15|NP_611965.2|DMEL	CCAP1982_LOCUS22838|CAD7014874.1|CCAP
OG0001999	Hr3|NP_001334718.1|DMEL	CCAP1982_LOCUS23214|CAD7015266.1|CCAP
OG0002000	CG14274|NP_609212.2|DMEL	CCAP1982_LOCUS8817|CAD7000334.1|CCAP
OG0002001	kel|NP_476589.4|DMEL	CCAP1982_LOCUS8682|CAD7000189.1|CCAP
OG0002003	Tsp29Fa|NP_523515.1|DMEL	CCAP1982_LOCUS9016|CAD7000540.1|CCAP
OG0002004	qua|NP_001246066.1|DMEL	CCAP1982_LOCUS7661|CAD6999117.1|CCAP
OG0002005	PRL-1|NP_609780.1|DMEL	CCAP1982_LOCUS9022|CAD7000546.1|CCAP
OG0002006	Ziz|NP_001260200.1|DMEL	CCAP1982_LOCUS8852|CAD7000372.1|CCAP
OG0002007	Pp2A-29B|NP_001245944.1|DMEL	CCAP1982_LOCUS5813|CAD6997170.1|CCAP
OG0002008	eIF4G1|NP_001096852.1|DMEL	CCAP1982_LOCUS10577|CAD7002089.1|CCAP, CCAP1982_LOCUS10575|CAD7002087.1|CCAP, CCAP1982_LOCUS10578|CAD7002090.1|CCAP
OG0002009	fd59A|NP_523814.1|DMEL	CCAP1982_LOCUS7153|CAD6998573.1|CCAP
OG0002010	Argl|NP_609257.3|DMEL	CCAP1982_LOCUS9018|CAD7000542.1|CCAP
OG0002011	nesd|NP_610025.1|DMEL	CCAP1982_LOCUS5797|CAD6997153.1|CCAP
OG0002012	TpnC25D|NP_608915.2|DMEL	CCAP1982_LOCUS8101|CAD6999576.1|CCAP
OG0002013	Lim3|NP_001260559.1|DMEL	CCAP1982_LOCUS5842|CAD6997203.1|CCAP
OG0002014	CG10527|NP_611544.1|DMEL	CCAP1982_LOCUS20407|CAD7012313.1|CCAP
OG0002015	Uro|NP_476779.1|DMEL	CCAP1982_LOCUS8287|CAD6999764.1|CCAP
OG0002016	babo|NP_476999.1|DMEL	CCAP1982_LOCUS22546|CAD7014545.1|CCAP
OG0002017	Nos|NP_523541.2|DMEL	CCAP1982_LOCUS7916|CAD6999390.1|CCAP, CCAP1982_LOCUS7914|CAD6999388.1|CCAP
OG0002018	Daxx|NP_609035.2|DMEL	CCAP1982_LOCUS5457|CAD6996782.1|CCAP
OG0002019	vir-1|NP_723746.1|DMEL	CCAP1982_LOCUS7335|CAD6998781.1|CCAP
OG0002020	RanGAP|NP_476712.1|DMEL	CCAP1982_LOCUS5558|CAD6996885.1|CCAP
OG0002021	tud|NP_476773.1|DMEL	CCAP1982_LOCUS22781|CAD7014814.1|CCAP, CCAP1982_LOCUS22783|CAD7014816.1|CCAP
OG0002022	CG14397|NP_001163027.1|DMEL	CCAP1982_LOCUS7961|CAD6999437.1|CCAP
OG0002023	ry|NP_524337.1|DMEL	CCAP1982_LOCUS2755|CAD6993970.1|CCAP
OG0002024	CG4968|NP_609375.1|DMEL	CCAP1982_LOCUS5710|CAD6997056.1|CCAP
OG0002025	salm|NP_723670.2|DMEL	CCAP1982_LOCUS8538|CAD7000034.1|CCAP
OG0002026	CG7139|NP_649378.1|DMEL	CCAP1982_LOCUS11688|CAD7003227.1|CCAP, CCAP1982_LOCUS11689|CAD7003228.1|CCAP
OG0002027	px|NP_726208.1|DMEL	CCAP1982_LOCUS20430|CAD7012336.1|CCAP, CCAP1982_LOCUS20431|CAD7012337.1|CCAP
OG0002028	CG5554|NP_001286784.1|DMEL	CCAP1982_LOCUS20133|CAD7012029.1|CCAP
OG0002029	Sse|NP_523935.1|DMEL	CCAP1982_LOCUS12945|CAD7004548.1|CCAP
OG0002030	ATPsynF|NP_611940.1|DMEL	CCAP1982_LOCUS21186|CAD7013113.1|CCAP
OG0002031	Rpn13|NP_001137662.1|DMEL	CCAP1982_LOCUS19460|CAD7011357.1|CCAP
OG0002032	Snmp1|NP_650953.1|DMEL	CCAP1982_LOCUS23288|CAD7015343.1|CCAP, CCAP1982_LOCUS508|CAD6991591.1|CCAP
OG0002035	Dhod|NP_477224.1|DMEL	CCAP1982_LOCUS4823|CAD6996129.1|CCAP
OG0002036	Glut4EF|NP_001262443.1|DMEL	CCAP1982_LOCUS4283|CAD6995573.1|CCAP, CCAP1982_LOCUS4277|CAD6995566.1|CCAP, CCAP1982_LOCUS4286|CAD6995576.1|CCAP
OG0002038	CG4390|NP_732486.2|DMEL	CCAP1982_LOCUS630|CAD6991717.1|CCAP
OG0002039	CG40472|NP_001163845.1|DMEL, ND-AGGG|NP_001015476.1|DMEL	CCAP1982_LOCUS5672|CAD6997011.1|CCAP
OG0002040	CG41284|NP_001104417.3|DMEL, CG42598|NP_001163857.2|DMEL	CCAP1982_LOCUS4199|CAD6995484.1|CCAP
OG0002041	Acsl|NP_001260810.1|DMEL	CCAP1982_LOCUS19975|CAD7011863.1|CCAP
OG0002042	Obp84a|NP_001097700.2|DMEL	CCAP1982_LOCUS4396|CAD6995689.1|CCAP, CCAP1982_LOCUS4389|CAD6995682.1|CCAP
OG0002043	CG2100|NP_649578.1|DMEL	CCAP1982_LOCUS561|CAD6991647.1|CCAP
OG0002044	loco|NP_732773.1|DMEL	CCAP1982_LOCUS4877|CAD6996185.1|CCAP, CCAP1982_LOCUS4875|CAD6996183.1|CCAP
OG0002045	5-HT2B|NP_001262373.1|DMEL	CCAP1982_LOCUS278|CAD6991349.1|CCAP
OG0002048	CG10038|NP_650176.3|DMEL	CCAP1982_LOCUS826|CAD6991936.1|CCAP
OG0002049	sals|NP_731573.1|DMEL	CCAP1982_LOCUS4976|CAD6996293.1|CCAP
OG0002050	nsl1|NP_732069.3|DMEL	CCAP1982_LOCUS5116|CAD6996444.1|CCAP
OG0002051	CG30022|NP_725047.2|DMEL	CCAP1982_LOCUS22484|CAD7014482.1|CCAP
OG0002052	CG33257|NP_996107.1|DMEL	CCAP1982_LOCUS14831|CAD7006517.1|CCAP
OG0002053	CG34135|NP_001262385.1|DMEL	CCAP1982_LOCUS270|CAD6991341.1|CCAP
OG0002053	CG11768|NP_649829.1|DMEL	CCAP1982_LOCUS268|CAD6991339.1|CCAP
OG0002054	CG12170|NP_649565.1|DMEL	CCAP1982_LOCUS2427|CAD6993617.1|CCAP
OG0002055	Tango9|NP_650136.1|DMEL	CCAP1982_LOCUS382|CAD6991457.1|CCAP
OG0002056	Gcn5|NP_648586.2|DMEL	CCAP1982_LOCUS10781|CAD7002289.1|CCAP
OG0002057	CG6144|NP_001033895.1|DMEL	CCAP1982_LOCUS7071|CAD6998476.1|CCAP
OG0002058	thoc7|NP_728489.2|DMEL	CCAP1982_LOCUS2599|CAD6993803.1|CCAP, CCAP1982_LOCUS12120|CAD7003683.1|CCAP
OG0002059	MED28|NP_651397.1|DMEL	CCAP1982_LOCUS862|CAD6991975.1|CCAP
OG0002060	jef|NP_610983.1|DMEL	CCAP1982_LOCUS20652|CAD7012567.1|CCAP
OG0002061	Gpat4|NP_001286818.1|DMEL	CCAP1982_LOCUS21100|CAD7013011.1|CCAP
OG0002065	Mrtf|NP_001137879.3|DMEL	CCAP1982_LOCUS10902|CAD7002410.1|CCAP, CCAP1982_LOCUS10901|CAD7002409.1|CCAP
OG0002066	Mhcl|NP_732109.2|DMEL	CCAP1982_LOCUS4585|CAD6995884.1|CCAP, CCAP1982_LOCUS4583|CAD6995882.1|CCAP
OG0002067	Snap29|NP_523831.1|DMEL	CCAP1982_LOCUS20152|CAD7012050.1|CCAP
OG0002068	Atg7|NP_611350.1|DMEL	CCAP1982_LOCUS21706|CAD7013663.1|CCAP
OG0002070	Fdh|NP_524310.1|DMEL	CCAP1982_LOCUS603|CAD6991690.1|CCAP
OG0002071	Osbp|NP_477271.1|DMEL	CCAP1982_LOCUS2429|CAD6993619.1|CCAP
OG0002072	Rrp42|NP_725517.2|DMEL	CCAP1982_LOCUS22664|CAD7014680.1|CCAP
OG0002073	Plp|NP_001027574.2|DMEL	CCAP1982_LOCUS12294|CAD7003864.1|CCAP
OG0002074	CG11807|NP_611017.1|DMEL	CCAP1982_LOCUS19998|CAD7011886.1|CCAP
OG0002076	ReepA|NP_001188988.1|DMEL	CCAP1982_LOCUS20493|CAD7012405.1|CCAP
OG0002077	mwh|NP_001261244.1|DMEL	CCAP1982_LOCUS20706|CAD7012622.1|CCAP, CCAP1982_LOCUS20719|CAD7012632.1|CCAP
OG0002078	CG16935|NP_610914.2|DMEL	CCAP1982_LOCUS11090|CAD7002606.1|CCAP, CCAP1982_LOCUS19774|CAD7011690.1|CCAP
OG0002079	Ssk|NP_649184.1|DMEL	CCAP1982_LOCUS13468|CAD7005106.1|CCAP, CCAP1982_LOCUS13467|CAD7005105.1|CCAP, CCAP1982_LOCUS13469|CAD7005107.1|CCAP
OG0002081	cN-IIIB|NP_611895.1|DMEL	CCAP1982_LOCUS19470|CAD7011368.1|CCAP
OG0002082	unc-104|NP_611155.3|DMEL	CCAP1982_LOCUS20250|CAD7012153.1|CCAP
OG0002084	CG3500|NP_611783.1|DMEL	CCAP1982_LOCUS20885|CAD7012782.1|CCAP
OG0002085	CG13506|NP_611666.2|DMEL	CCAP1982_LOCUS20467|CAD7012373.1|CCAP
OG0002086	ND-B12|NP_001097399.1|DMEL	CCAP1982_LOCUS20236|CAD7012138.1|CCAP
OG0002087	Su_Tpl_|NP_001163477.1|DMEL	CCAP1982_LOCUS318|CAD6991391.1|CCAP, CCAP1982_LOCUS324|CAD6991397.1|CCAP, CCAP1982_LOCUS14474|CAD7006146.1|CCAP, CCAP1982_LOCUS14470|CAD7006142.1|CCAP
OG0002088	CG32425|NP_730546.1|DMEL	CCAP1982_LOCUS13994|CAD7005636.1|CCAP, CCAP1982_LOCUS13982|CAD7005624.1|CCAP, CCAP1982_LOCUS13981|CAD7005623.1|CCAP, CCAP1982_LOCUS13995|CAD7005637.1|CCAP
OG0002089	gcl|NP_724708.1|DMEL	CCAP1982_LOCUS19383|CAD7011275.1|CCAP
OG0002090	Syx13|NP_524054.1|DMEL	CCAP1982_LOCUS14391|CAD7006056.1|CCAP
OG0002091	CG13575|NP_611903.1|DMEL	CCAP1982_LOCUS19481|CAD7011380.1|CCAP
OG0002092	fax|NP_524106.3|DMEL	CCAP1982_LOCUS14442|CAD7006110.1|CCAP
OG0002093	GM130|NP_611642.2|DMEL	CCAP1982_LOCUS19982|CAD7011870.1|CCAP, CCAP1982_LOCUS19983|CAD7011871.1|CCAP, CCAP1982_LOCUS19984|CAD7011872.1|CCAP
OG0002094	PHDP|NP_523834.1|DMEL	CCAP1982_LOCUS20508|CAD7012424.1|CCAP
OG0002096	Asx|NP_001260969.1|DMEL	CCAP1982_LOCUS20399|CAD7012303.1|CCAP
OG0002097	clos|NP_001097246.3|DMEL	CCAP1982_LOCUS20691|CAD7012607.1|CCAP
OG0002098	CG7166|NP_649339.2|DMEL	CCAP1982_LOCUS11791|CAD7003331.1|CCAP
OG0002099	CG9601|NP_649792.3|DMEL	CCAP1982_LOCUS1590|CAD6992745.1|CCAP
OG0002100	MsrA|NP_001261879.1|DMEL	CCAP1982_LOCUS13404|CAD7005032.1|CCAP
OG0002101	pdm3|NP_001188885.2|DMEL	CCAP1982_LOCUS20972|CAD7012873.1|CCAP
OG0002102	tapas|NP_611475.3|DMEL	CCAP1982_LOCUS20632|CAD7012547.1|CCAP
OG0002103	Coq2|NP_649789.1|DMEL	CCAP1982_LOCUS1632|CAD6992793.1|CCAP, CCAP1982_LOCUS1642|CAD6992803.1|CCAP
OG0002105	Iris|NP_608570.1|DMEL	CCAP1982_LOCUS10109|CAD7001615.1|CCAP
OG0002106	CG9684|NP_649797.2|DMEL	CCAP1982_LOCUS11799|CAD7003340.1|CCAP, CCAP1982_LOCUS1564|CAD6992719.1|CCAP, CCAP1982_LOCUS1559|CAD6992714.1|CCAP
OG0002107	CG12299|NP_609448.1|DMEL	CCAP1982_LOCUS10008|CAD7001511.1|CCAP, CCAP1982_LOCUS9526|CAD7001054.1|CCAP, CCAP1982_LOCUS10007|CAD7001510.1|CCAP, CCAP1982_LOCUS10009|CAD7001512.1|CCAP, CCAP1982_LOCUS9531|CAD7001059.1|CCAP, CCAP1982_LOCUS10003|CAD7001506.1|CCAP, CCAP1982_LOCUS10006|CAD7001509.1|CCAP, CCAP1982_LOCUS9516|CAD7001044.1|CCAP, CCAP1982_LOCUS9271|CAD7000796.1|CCAP, CCAP1982_LOCUS9273|CAD7000798.1|CCAP, CCAP1982_LOCUS9272|CAD7000797.1|CCAP, CCAP1982_LOCUS9530|CAD7001058.1|CCAP, CCAP1982_LOCUS7926|CAD6999400.1|CCAP
OG0002108	CG42823|NP_001097822.2|DMEL	CCAP1982_LOCUS3025|CAD6994264.1|CCAP
OG0002109	CAH6|NP_001097987.1|DMEL, CAH16|NP_001287620.1|DMEL	CCAP1982_LOCUS1350|CAD6992499.1|CCAP
OG0002110	CG33647|NP_001027136.1|DMEL, CG33644|NP_001027259.1|DMEL	CCAP1982_LOCUS14266|CAD7005928.1|CCAP, CCAP1982_LOCUS11344|CAD7002875.1|CCAP, CCAP1982_LOCUS2317|CAD6993504.1|CCAP
OG0002117	CG7744|NP_611422.2|DMEL	CCAP1982_LOCUS9994|CAD7001497.1|CCAP, CCAP1982_LOCUS9998|CAD7001501.1|CCAP
OG0002118	nvd|NP_001097670.1|DMEL	CCAP1982_LOCUS4162|CAD6995445.1|CCAP
OG0002119	Smg6|NP_651321.1|DMEL	CCAP1982_LOCUS1582|CAD6992737.1|CCAP
OG0002120	sv|NP_524633.3|DMEL	CCAP1982_LOCUS9323|CAD7000849.1|CCAP, CCAP1982_LOCUS9817|CAD7001320.1|CCAP
OG0002121	Usp1|NP_733282.1|DMEL	CCAP1982_LOCUS38|CAD6991090.1|CCAP, CCAP1982_LOCUS37|CAD6991089.1|CCAP
OG0002123	cdc14|NP_609153.1|DMEL	CCAP1982_LOCUS8567|CAD7000064.1|CCAP, CCAP1982_LOCUS8568|CAD7000065.1|CCAP
OG0002125	ckn|NP_611009.1|DMEL	CCAP1982_LOCUS19878|CAD7011766.1|CCAP, CCAP1982_LOCUS19879|CAD7011767.1|CCAP
OG0002126	tzn|NP_730568.1|DMEL	CCAP1982_LOCUS14264|CAD7005926.1|CCAP
OG0002129	Epg5|NP_650752.2|DMEL	CCAP1982_LOCUS1207|CAD6992343.1|CCAP
OG0002131	CG18600|NP_650708.1|DMEL	CCAP1982_LOCUS1884|CAD6993052.1|CCAP
OG0002132	RpL7|NP_523531.1|DMEL	CCAP1982_LOCUS5552|CAD6996879.1|CCAP
