Orthogroup	DPER.longest_only	CPIP.longest_only
OG0001488	LOC6590271|XP_002015474.1|DPER	LOC120419011|XP_039437511.1|CPIP
OG0001489	LOC6596472|XP_026843559.1|DPER	LOC120418014|XP_039436193.1|CPIP
OG0001490	LOC6596426|XP_002021824.1|DPER	LOC120423401|XP_039443134.1|CPIP
OG0001491	LOC6589437|XP_026844235.1|DPER	LOC120420492|XP_039439472.1|CPIP
OG0001492	LOC113566257|XP_026846886.1|DPER, LOC6595463|XP_002020896.1|DPER	LOC120429073|XP_039450154.1|CPIP
OG0001493	LOC6588602|XP_002013210.1|DPER, LOC6602899|XP_002027922.2|DPER	LOC120414354|XP_039431449.1|CPIP
OG0001494	LOC6604521|XP_026849312.1|DPER	LOC120416197|XP_039433816.1|CPIP, LOC120416193|XP_039433811.1|CPIP, LOC120416187|XP_039433805.1|CPIP, LOC120416179|XP_039433798.1|CPIP, LOC120416195|XP_039433813.1|CPIP
OG0001495	LOC113565143|XP_026841991.1|DPER, LOC6596188|XP_002021117.1|DPER	LOC120420012|XP_039438851.1|CPIP, LOC120422247|XP_039441574.1|CPIP
OG0001496	LOC6603310|XP_026849883.1|DPER, LOC6600777|XP_026845161.1|DPER	LOC120417150|XP_039435068.1|CPIP
OG0001497	LOC6593271|XP_002018189.1|DPER	LOC120414826|XP_039432087.1|CPIP
OG0001500	LOC6601546|XP_026841468.1|DPER, LOC6601544|XP_002026691.2|DPER	LOC120413984|XP_039430924.1|CPIP
OG0001501	LOC6591872|XP_026851158.1|DPER	LOC120421498|XP_039440651.1|CPIP, LOC120421520|XP_039440672.1|CPIP
OG0001502	LOC6590545|XP_002016226.1|DPER	LOC120418275|XP_039436528.1|CPIP, LOC120422754|XP_039442233.1|CPIP
OG0001503	LOC6589993|XP_002015598.1|DPER	LOC120419561|XP_039438218.1|CPIP
OG0001504	LOC6600118|XP_026846712.1|DPER	LOC120415019|XP_039432316.1|CPIP
OG0001506	LOC6590798|XP_026840770.1|DPER	LOC120424251|XP_039444250.1|CPIP
OG0001507	LOC6592587|XP_002018069.2|DPER	LOC120421584|XP_039440749.1|CPIP, LOC120425814|XP_039446365.1|CPIP
OG0001508	LOC6593269|XP_026841226.1|DPER	LOC120427764|XP_039448609.1|CPIP
OG0001509	LOC6590359|XP_026842350.1|DPER	LOC120428519|XP_039449476.1|CPIP, LOC120431155|XP_039452229.1|CPIP
OG0001510	LOC6588729|XP_026844043.1|DPER	LOC120429989|XP_039451016.1|CPIP, LOC120428239|XP_039449152.1|CPIP
OG0001511	LOC6592510|XP_026842156.1|DPER	LOC120415119|XP_039432471.1|CPIP
OG0001512	LOC6597194|XP_026845575.1|DPER	LOC120423805|XP_039443656.1|CPIP, LOC120423806|XP_039443657.1|CPIP
OG0001513	LOC6596201|XP_026845230.1|DPER	LOC120423811|XP_039443665.1|CPIP
OG0001515	LOC6596839|XP_002022020.1|DPER, LOC6587967|XP_002013325.1|DPER	LOC120413929|XP_039430852.1|CPIP
OG0001534	LOC6596893|XP_026845535.1|DPER	LOC120422462|XP_039441840.1|CPIP
OG0001535	LOC6597894|XP_002023021.1|DPER	LOC120430582|XP_039451626.1|CPIP
OG0001536	LOC6599292|XP_002024257.1|DPER	LOC120420167|XP_039439067.1|CPIP, LOC120420202|XP_039439123.1|CPIP
OG0001537	LOC6589668|XP_002014575.1|DPER	LOC120427218|XP_039448013.1|CPIP
OG0001538	LOC6604509|XP_026845126.1|DPER	LOC120430775|XP_039451824.1|CPIP
OG0001539	LOC6590295|XP_026840955.1|DPER	LOC120430692|XP_039451733.1|CPIP
OG0001540	LOC6601046|XP_002026134.1|DPER, LOC6587642|XP_002013250.2|DPER, LOC6589062|XP_002014550.1|DPER	LOC120431926|XP_039452997.1|CPIP, LOC120413743|XP_039430602.1|CPIP
OG0001541	LOC113566501|XP_026848196.1|DPER	LOC120427969|XP_039448859.1|CPIP
OG0001542	LOC6591611|XP_026848213.1|DPER	LOC120419629|XP_039438316.1|CPIP
OG0001545	LOC6600109|XP_026846678.1|DPER	LOC120420405|XP_039439351.1|CPIP
OG0001546	LOC6600111|XP_026846651.1|DPER	LOC120420415|XP_039439367.1|CPIP, LOC120420408|XP_039439360.1|CPIP
OG0001547	LOC6598527|XP_026846359.1|DPER, LOC6598557|XP_026846268.1|DPER	LOC120418084|XP_039436276.1|CPIP, LOC120419862|XP_039438631.1|CPIP
OG0001548	LOC6588892|XP_026844612.1|DPER, LOC113566133|XP_026846224.1|DPER	LOC120429690|XP_039450657.1|CPIP
OG0001549	LOC6589460|XP_026844808.1|DPER	LOC120424957|XP_039445244.1|CPIP, LOC120424955|XP_039445242.1|CPIP
OG0001551	LOC6598831|XP_026849416.1|DPER	LOC120431897|XP_039452965.1|CPIP, LOC120432103|XP_039453173.1|CPIP
OG0001552	LOC6595038|XP_002020365.1|DPER	LOC120423845|XP_039443725.1|CPIP
OG0001553	LOC6599327|XP_026847156.1|DPER	LOC120431180|XP_039452251.1|CPIP
OG0001554	LOC6588050|XP_026840195.1|DPER	LOC120422141|XP_039441446.1|CPIP
OG0001555	LOC6589404|XP_002015293.1|DPER	LOC120426950|XP_039447709.1|CPIP, LOC120415949|XP_039433530.1|CPIP
OG0001556	LOC6593149|XP_002018526.1|DPER	LOC120420074|XP_039438931.1|CPIP
OG0001557	LOC6600353|XP_026848391.1|DPER	LOC120423713|XP_039443551.1|CPIP, LOC120413069|XP_039429706.1|CPIP
OG0001558	LOC6604350|XP_026847468.1|DPER, LOC113566717|XP_026849391.1|DPER	LOC120418363|XP_039436657.1|CPIP
OG0001559	LOC6587199|XP_002013514.1|DPER	LOC120418338|XP_039436611.1|CPIP
OG0001560	LOC6588536|XP_026839942.1|DPER	LOC120423422|XP_039443159.1|CPIP
OG0001562	LOC6593543|XP_002019133.1|DPER	LOC120422327|XP_039441656.1|CPIP, LOC120423807|XP_039443662.1|CPIP, LOC120422326|XP_039441655.1|CPIP
OG0001563	LOC6591732|XP_026846045.1|DPER	LOC120425403|XP_039445850.1|CPIP
OG0001564	LOC6587895|XP_026840532.1|DPER	LOC120423960|XP_039443877.1|CPIP
OG0001565	LOC6587242|XP_002013663.1|DPER	LOC120432036|XP_039453105.1|CPIP, LOC120422030|XP_039441289.1|CPIP, LOC120426396|XP_039447084.1|CPIP
OG0001566	LOC6597541|XP_002022671.2|DPER, LOC6588074|XP_002013352.1|DPER	LOC120424628|XP_039444728.1|CPIP, LOC120424676|XP_039444785.1|CPIP
OG0001567	LOC6592575|XP_002017740.1|DPER	LOC120425062|XP_039445369.1|CPIP
OG0001569	LOC6587430|XP_026846398.1|DPER	LOC120425071|XP_039445381.1|CPIP
OG0001570	LOC6587663|XP_002014044.2|DPER	LOC120423532|XP_039443313.1|CPIP
OG0001571	LOC6589199|XP_002014361.1|DPER	LOC120428538|XP_039449503.1|CPIP
OG0001572	LOC6603095|XP_002028105.2|DPER	LOC120417836|XP_039435989.1|CPIP, LOC120417834|XP_039435983.1|CPIP
OG0001573	LOC6599687|XP_026847409.1|DPER	LOC120414196|XP_039431211.1|CPIP
OG0001574	LOC6598333|XP_002023461.2|DPER	LOC120432655|XP_039453832.1|CPIP, LOC120422639|XP_039442071.1|CPIP
OG0001575	LOC6588336|XP_002013422.1|DPER	LOC120429956|XP_039450984.1|CPIP
OG0001576	LOC6594426|XP_002019758.1|DPER	LOC120415204|XP_039432593.1|CPIP
OG0001577	LOC6598751|XP_002023785.2|DPER, LOC6594906|XP_002020506.1|DPER	LOC120416488|XP_039434141.1|CPIP
OG0001579	LOC6600257|XP_002025422.2|DPER, LOC6599107|XP_026849263.1|DPER	LOC120412384|XP_039428753.1|CPIP
OG0001580	LOC6592516|XP_002017674.2|DPER	LOC120421525|XP_039440677.1|CPIP
OG0001581	LOC6597379|XP_002022582.2|DPER	LOC120418536|XP_039436906.1|CPIP
OG0001582	LOC6600800|XP_002025971.1|DPER	LOC120417638|XP_039435685.1|CPIP
OG0001583	LOC6591029|XP_026840702.1|DPER	LOC120424971|XP_039445260.1|CPIP
OG0001584	LOC6603278|XP_002028265.2|DPER, LOC6603277|XP_002028264.1|DPER	LOC120427114|XP_039447898.1|CPIP
OG0001585	LOC113566315|XP_026847219.1|DPER, LOC6599386|XP_026847076.1|DPER	LOC120420007|XP_039438843.1|CPIP, LOC120422250|XP_039441577.1|CPIP
OG0001586	LOC6597136|XP_002022324.1|DPER, LOC6599247|XP_002024304.1|DPER	LOC120429820|XP_039450813.1|CPIP
OG0001587	LOC6590580|XP_002015385.2|DPER	LOC120421380|XP_039440510.1|CPIP
OG0001588	LOC6591019|XP_002016371.2|DPER	LOC120422162|XP_039441470.1|CPIP
OG0001593	LOC113565703|XP_026844377.1|DPER, LOC113565918|XP_026845088.1|DPER, LOC6589685|XP_026844376.1|DPER	LOC120428086|XP_039449002.1|CPIP
OG0001594	LOC6604447|XP_026848044.1|DPER, LOC6604583|XP_026844747.1|DPER, LOC6604442|XP_026845187.1|DPER	LOC120425843|XP_039446396.1|CPIP
OG0001595	LOC6590508|XP_026841884.1|DPER	LOC120430195|XP_039451210.1|CPIP, LOC120415674|XP_039433192.1|CPIP
OG0001596	LOC6593966|XP_002018951.1|DPER	LOC120418288|XP_039436549.1|CPIP, LOC120426792|XP_039447505.1|CPIP
OG0001597	LOC113565458|XP_026843295.1|DPER	LOC120419202|XP_039437807.1|CPIP
OG0001598	LOC6598088|XP_026843264.1|DPER	LOC120413529|XP_039430335.1|CPIP
OG0001599	LOC6593337|XP_002018739.1|DPER	LOC120413554|XP_039430367.1|CPIP, LOC120431163|XP_039452237.1|CPIP, LOC120413567|XP_039430381.1|CPIP
OG0001600	LOC6593664|XP_026843142.1|DPER	LOC120420138|XP_039439026.1|CPIP
OG0001601	LOC6589225|XP_002014214.1|DPER	LOC120414106|XP_039431064.1|CPIP
OG0001602	LOC6593379|XP_026843340.1|DPER, LOC6593378|XP_026843844.1|DPER, LOC113565472|XP_026843386.1|DPER	LOC120414103|XP_039431061.1|CPIP
OG0001603	LOC6589535|XP_002014501.1|DPER	LOC120414749|XP_039432000.1|CPIP, LOC120414764|XP_039432012.1|CPIP
OG0001604	LOC6600035|XP_002025082.1|DPER	LOC120413129|XP_039429768.1|CPIP
OG0001605	LOC6591194|XP_002015443.1|DPER	LOC120413091|XP_039429732.1|CPIP
OG0001606	LOC113565187|XP_026842330.1|DPER, LOC6602983|XP_002027994.1|DPER	LOC120416330|XP_039433994.1|CPIP
OG0001607	LOC6589130|XP_026844094.1|DPER	LOC120418969|XP_039437448.1|CPIP
OG0001608	LOC6596526|XP_002021723.1|DPER	LOC120427864|XP_039448726.1|CPIP
OG0001609	LOC6593146|XP_026842077.1|DPER	LOC120420820|XP_039439874.1|CPIP
OG0001610	LOC6601736|XP_002026794.2|DPER, LOC6596560|XP_002021741.1|DPER	LOC120428576|XP_039449546.1|CPIP
OG0001611	LOC6589480|XP_002015236.1|DPER	LOC120420604|XP_039439616.1|CPIP
OG0001612	LOC6589574|XP_002014845.1|DPER	LOC120419183|XP_039437785.1|CPIP
OG0001613	LOC6588959|XP_002014342.1|DPER, LOC6593356|XP_002018822.1|DPER	LOC120416790|XP_039434590.1|CPIP, LOC120416799|XP_039434609.1|CPIP
OG0001614	LOC6592602|XP_026840760.1|DPER	LOC120422521|XP_039441909.1|CPIP
OG0001615	LOC6593814|XP_002019061.2|DPER	LOC120419796|XP_039438566.1|CPIP
OG0001616	LOC6595436|XP_002020857.1|DPER	LOC120423118|XP_039442730.1|CPIP
OG0001617	LOC6593387|XP_026842930.1|DPER	LOC120432444|XP_039453594.1|CPIP
OG0001618	LOC6588955|XP_002014338.1|DPER	LOC120414795|XP_039432045.1|CPIP
OG0001619	LOC6593516|XP_026843011.1|DPER	LOC120428738|XP_039449747.1|CPIP, LOC120428155|XP_039449072.1|CPIP, LOC120414547|XP_039431695.1|CPIP
OG0001620	LOC6590673|XP_002015414.1|DPER	LOC120429789|XP_039450783.1|CPIP
OG0001621	LOC6592295|XP_026842140.1|DPER	LOC120432437|XP_039453589.1|CPIP
OG0001622	LOC6597342|XP_002022544.1|DPER	LOC120432427|XP_039453566.1|CPIP, LOC120418668|XP_039437055.1|CPIP
OG0001623	LOC113565660|XP_026844129.1|DPER	LOC120420521|XP_039439520.1|CPIP
OG0001624	LOC6593556|XP_026843003.1|DPER	LOC120423390|XP_039443109.1|CPIP
OG0001625	LOC6593632|XP_002019098.1|DPER	LOC120423393|XP_039443115.1|CPIP, LOC120423414|XP_039443148.1|CPIP
OG0001626	LOC6589594|XP_002014829.2|DPER	LOC120414851|XP_039432111.1|CPIP
OG0001627	LOC6594505|XP_002019704.2|DPER	LOC120432366|XP_039453493.1|CPIP, LOC120414733|XP_039431979.1|CPIP
OG0001628	LOC6591909|XP_002016866.1|DPER	LOC120427953|XP_039448839.1|CPIP, LOC120426132|XP_039446769.1|CPIP
OG0001630	LOC6588324|XP_026840522.1|DPER	LOC120413746|XP_039430604.1|CPIP
OG0001631	LOC6591979|XP_026851098.1|DPER	LOC120422096|XP_039441377.1|CPIP
OG0001632	LOC6589797|XP_002014464.1|DPER, LOC6603273|XP_002028254.1|DPER	LOC120412941|XP_039429512.1|CPIP
OG0001633	LOC6594596|XP_002019386.1|DPER	LOC120424393|XP_039444425.1|CPIP
OG0001635	LOC6591898|XP_002016916.1|DPER	LOC120421493|XP_039440646.1|CPIP, LOC120421517|XP_039440669.1|CPIP
OG0001636	LOC6594391|XP_026846623.1|DPER	LOC120421751|XP_039440961.1|CPIP, LOC120421508|XP_039440662.1|CPIP
OG0001637	LOC6594912|XP_002020120.2|DPER	LOC120425675|XP_039446192.1|CPIP, LOC120425682|XP_039446199.1|CPIP
OG0001638	LOC6600134|XP_002025251.2|DPER	LOC120418263|XP_039436514.1|CPIP, LOC120422746|XP_039442223.1|CPIP
OG0001640	LOC6594293|XP_002019941.1|DPER	LOC120419431|XP_039438043.1|CPIP
OG0001641	LOC6594316|XP_002019359.1|DPER	LOC120426911|XP_039447651.1|CPIP, LOC120429731|XP_039450717.1|CPIP, LOC120423165|XP_039442780.1|CPIP
OG0001642	LOC6598359|XP_026846315.1|DPER	LOC120419434|XP_039438047.1|CPIP
OG0001643	LOC6589430|XP_002015007.1|DPER	LOC120429849|XP_039450856.1|CPIP, LOC120429588|XP_039450559.1|CPIP, LOC120424595|XP_039444692.1|CPIP
OG0001644	LOC6603722|XP_002028688.2|DPER, LOC6604180|XP_002029112.2|DPER, LOC6604253|XP_002029170.2|DPER, LOC113567234|XP_026850204.1|DPER, LOC113566943|XP_026849979.1|DPER, LOC6603721|XP_002028687.2|DPER, LOC6591483|XP_002017377.2|DPER, LOC6602267|XP_002027316.1|DPER	LOC120426488|XP_039447190.1|CPIP
OG0001645	LOC6593212|XP_026840799.1|DPER	LOC120418465|XP_039436834.1|CPIP
OG0001646	LOC6592395|XP_026840935.1|DPER	LOC120424451|XP_039444526.1|CPIP
OG0001647	LOC6591219|XP_026842600.1|DPER	LOC120424726|XP_039444847.1|CPIP
OG0001648	LOC6601960|XP_026849610.1|DPER	LOC120414035|XP_039430991.1|CPIP
OG0001649	LOC6600887|XP_026840831.1|DPER	LOC120430247|XP_039451262.1|CPIP
OG0001650	LOC6601630|XP_002026633.2|DPER	LOC120412727|XP_039429247.1|CPIP
OG0001651	LOC6590952|XP_002016022.2|DPER	LOC120419314|XP_039437917.1|CPIP, LOC120430523|XP_039451573.1|CPIP
OG0001652	LOC6598888|XP_002024093.1|DPER	LOC120412353|XP_039428701.1|CPIP
OG0001653	LOC6603848|XP_026845347.1|DPER, LOC6603850|XP_026845337.1|DPER, LOC6604003|XP_026845727.1|DPER, LOC6595768|XP_026845725.1|DPER	LOC120416809|XP_039434617.1|CPIP
OG0001654	LOC6590323|XP_002016212.2|DPER	LOC120426496|XP_039447199.1|CPIP
OG0001655	LOC6592696|XP_002017733.1|DPER	LOC120420338|XP_039439267.1|CPIP
OG0001656	LOC6603393|XP_026843244.1|DPER	LOC120423728|XP_039443568.1|CPIP
OG0001657	LOC6602393|XP_002027445.1|DPER, LOC6588061|XP_002013771.1|DPER, LOC6597040|XP_002022200.1|DPER	LOC120422234|XP_039441552.1|CPIP
OG0001658	LOC6600590|XP_026847490.1|DPER	LOC120431660|XP_039452701.1|CPIP, LOC120422225|XP_039441544.1|CPIP
OG0001659	LOC6600496|XP_002025603.2|DPER, LOC6600613|XP_026847623.1|DPER	LOC120423689|XP_039443515.1|CPIP
OG0001661	LOC6591434|XP_002016729.2|DPER	LOC120414638|XP_039431808.1|CPIP
OG0001662	LOC6595202|XP_002020237.1|DPER, LOC6599483|XP_002024603.2|DPER	LOC120413243|XP_039429906.1|CPIP
OG0001666	LOC6588933|XP_002015095.1|DPER	LOC120418637|XP_039437016.1|CPIP
OG0001678	LOC6597782|XP_026846908.1|DPER	LOC120419284|XP_039437885.1|CPIP
OG0001679	LOC6599257|XP_002024283.1|DPER	LOC120432273|XP_039453389.1|CPIP, LOC120432259|XP_039453374.1|CPIP
OG0001680	LOC6597487|XP_002022723.1|DPER	LOC120418132|XP_039436345.1|CPIP
OG0001681	LOC6597875|XP_026847015.1|DPER	LOC120424011|XP_039443959.1|CPIP, LOC120419710|XP_039438431.1|CPIP
OG0001682	LOC6597152|XP_002022310.1|DPER	LOC120432300|XP_039453421.1|CPIP
OG0001683	LOC6593843|XP_026843153.1|DPER	LOC120431556|XP_039452597.1|CPIP
OG0001684	LOC6601984|XP_026846855.1|DPER	LOC120420164|XP_039439064.1|CPIP
OG0001685	LOC6595558|XP_002020906.1|DPER	LOC120414662|XP_039431865.1|CPIP, LOC120415701|XP_039433226.1|CPIP
OG0001686	LOC6601717|XP_002026775.1|DPER	LOC120423038|XP_039442630.1|CPIP
OG0001687	LOC6598349|XP_002023475.1|DPER	LOC120429378|XP_039450484.1|CPIP, LOC120428917|XP_039450024.1|CPIP
OG0001688	LOC6601622|XP_002026658.2|DPER	LOC120417713|XP_039435798.1|CPIP
OG0001689	LOC6600345|XP_002025504.2|DPER	LOC120417698|XP_039435777.1|CPIP
OG0001690	LOC6602938|XP_002027989.1|DPER	LOC120427975|XP_039448865.1|CPIP
OG0001691	LOC6589187|XP_002015011.1|DPER	LOC120412506|XP_039428944.1|CPIP
OG0001694	LOC6588598|XP_026842840.1|DPER	LOC120415614|XP_039433143.1|CPIP, LOC120430709|XP_039451751.1|CPIP
OG0001695	LOC6603118|XP_002028136.2|DPER	LOC120427808|XP_039448667.1|CPIP, LOC120419865|XP_039438650.1|CPIP, LOC120418082|XP_039436274.1|CPIP
OG0001696	LOC6588017|XP_026840316.1|DPER	LOC120429492|XP_039450498.1|CPIP
OG0001700	LOC6591545|XP_002017189.1|DPER	LOC120413748|XP_039430614.1|CPIP, LOC120413786|XP_039430669.1|CPIP
OG0001701	LOC6587254|XP_026850573.1|DPER	LOC120422133|XP_039441441.1|CPIP
OG0001702	LOC6589219|XP_002014444.1|DPER	LOC120418959|XP_039437436.1|CPIP
OG0001703	LOC6598814|XP_002023986.2|DPER	LOC120431818|XP_039452875.1|CPIP
OG0001704	LOC6598812|XP_002023984.1|DPER	LOC120432144|XP_039453211.1|CPIP
OG0001705	LOC6588080|XP_026842541.1|DPER	LOC120431584|XP_039452629.1|CPIP
OG0001706	LOC6597990|XP_002023086.1|DPER	LOC120421783|XP_039440987.1|CPIP
OG0001707	LOC6587964|XP_026843872.1|DPER	LOC120423819|XP_039443675.1|CPIP
OG0001708	LOC6587265|XP_026848807.1|DPER	LOC120424254|XP_039444252.1|CPIP
OG0001709	LOC6602784|XP_026847833.1|DPER	LOC120430071|XP_039451096.1|CPIP, LOC120429522|XP_039450525.1|CPIP, LOC120421807|XP_039441018.1|CPIP
OG0001710	LOC6587912|XP_002012804.1|DPER	LOC120421118|XP_039440212.1|CPIP, LOC120422581|XP_039442004.1|CPIP
OG0001711	LOC6587905|XP_026840232.1|DPER	LOC120430053|XP_039451082.1|CPIP, LOC120431438|XP_039452490.1|CPIP, LOC120432002|XP_039453068.1|CPIP, LOC120427890|XP_039448758.1|CPIP
OG0001712	LOC6588593|XP_002013467.1|DPER, LOC6587262|XP_026841201.1|DPER	LOC120420722|XP_039439754.1|CPIP
OG0001713	LOC6594612|XP_026850246.1|DPER	LOC120425504|XP_039445987.1|CPIP
OG0001714	LOC6591374|XP_002017239.1|DPER	LOC120429283|XP_039450438.1|CPIP, LOC120428367|XP_039449304.1|CPIP
OG0001715	LOC6602697|XP_026845826.1|DPER	LOC120412901|XP_039429467.1|CPIP
OG0001716	LOC6598363|XP_002023438.2|DPER	LOC120427410|XP_039448208.1|CPIP
OG0001717	LOC6594792|XP_026840240.1|DPER	LOC120424680|XP_039444790.1|CPIP, LOC120424622|XP_039444721.1|CPIP
OG0001718	LOC6588012|XP_026844478.1|DPER	LOC120432527|XP_039453679.1|CPIP
OG0001719	LOC6588216|XP_026849772.1|DPER	LOC120422589|XP_039442014.1|CPIP
OG0001722	LOC6595928|XP_026845748.1|DPER, LOC113566047|XP_026845749.1|DPER	LOC120427608|XP_039448418.1|CPIP
OG0001723	LOC6590913|XP_002015404.1|DPER	LOC120426984|XP_039447737.1|CPIP, LOC120419737|XP_039438472.1|CPIP
OG0001724	LOC6593211|XP_026842639.1|DPER	LOC120419483|XP_039438100.1|CPIP
OG0001725	LOC6593013|XP_026842728.1|DPER	LOC120429768|XP_039450757.1|CPIP
OG0001726	LOC6597151|XP_026845469.1|DPER	LOC120416559|XP_039434224.1|CPIP, LOC120415184|XP_039432575.1|CPIP
OG0001727	LOC6594871|XP_002020110.1|DPER	LOC120429045|XP_039450121.1|CPIP, LOC120423654|XP_039443470.1|CPIP, LOC120420428|XP_039439385.1|CPIP
OG0001728	LOC6600957|XP_002026027.2|DPER	LOC120425582|XP_039446089.1|CPIP
OG0001729	LOC6591164|XP_026842174.1|DPER	LOC120425590|XP_039446103.1|CPIP
OG0001730	LOC6595398|XP_002020871.1|DPER	LOC120426311|XP_039447006.1|CPIP, LOC120425981|XP_039446572.1|CPIP
OG0001732	LOC6589253|XP_026844429.1|DPER	LOC120415971|XP_039433554.1|CPIP, LOC120415998|XP_039433587.1|CPIP, LOC120413260|XP_039429922.1|CPIP, LOC120420563|XP_039439569.1|CPIP
OG0001733	LOC6590667|XP_002015942.1|DPER	LOC120418891|XP_039437357.1|CPIP
OG0001734	LOC6592545|XP_026842033.1|DPER	LOC120418881|XP_039437349.1|CPIP
OG0001735	LOC6595174|XP_002020429.1|DPER, LOC6601238|XP_002026296.1|DPER	LOC120430048|XP_039451078.1|CPIP
OG0001736	LOC6591227|XP_002015897.1|DPER	LOC120413202|XP_039429852.1|CPIP
OG0001737	LOC6593029|XP_026840892.1|DPER	LOC120428758|XP_039449774.1|CPIP
OG0001738	LOC6588792|XP_026844691.1|DPER, LOC6601418|XP_002026487.1|DPER	LOC120413222|XP_039429882.1|CPIP
OG0001739	LOC113565136|XP_026841868.1|DPER	LOC120418492|XP_039436864.1|CPIP
OG0001740	LOC6593141|XP_002018173.2|DPER	LOC120420119|XP_039439002.1|CPIP
OG0001742	LOC6602090|XP_002027135.1|DPER	LOC120420062|XP_039438910.1|CPIP
OG0001743	LOC6601122|XP_026849687.1|DPER	LOC120420083|XP_039438946.1|CPIP
OG0001744	LOC6590308|XP_026842382.1|DPER	LOC120412391|XP_039428766.1|CPIP
OG0001745	LOC6590118|XP_026841999.1|DPER	LOC120420149|XP_039439042.1|CPIP
OG0001746	LOC113566449|XP_026847846.1|DPER, LOC6601381|XP_002026517.1|DPER	LOC120416574|XP_039434241.1|CPIP
OG0001747	LOC6592241|XP_002017592.2|DPER	LOC120419966|XP_039438770.1|CPIP
OG0001748	LOC6602458|XP_026848839.1|DPER	LOC120418537|XP_039436907.1|CPIP
OG0001749	LOC113565192|XP_026842380.1|DPER	LOC120416049|XP_039433644.1|CPIP, LOC120423609|XP_039443409.1|CPIP
OG0001750	LOC6600853|XP_002025990.1|DPER	LOC120423614|XP_039443415.1|CPIP, LOC120416056|XP_039433652.1|CPIP
OG0001751	LOC113567149|XP_026850125.1|DPER, LOC113567151|XP_026850127.1|DPER, LOC6603790|XP_026850057.1|DPER, LOC113567056|XP_026850056.1|DPER, LOC6601392|XP_026847795.1|DPER	LOC120413418|XP_039430166.1|CPIP
OG0001752	LOC6602929|XP_026848797.1|DPER	LOC120420029|XP_039438862.1|CPIP
OG0001753	LOC6601706|XP_026849917.1|DPER	LOC120425129|XP_039445487.1|CPIP
OG0001754	LOC6602123|XP_026842029.1|DPER	LOC120412624|XP_039429109.1|CPIP
OG0001755	LOC6601946|XP_026849618.1|DPER	LOC120428835|XP_039449885.1|CPIP, LOC120412567|XP_039429008.1|CPIP
OG0001756	LOC6601340|XP_026841944.1|DPER	LOC120427031|XP_039447786.1|CPIP
OG0001757	LOC6592325|XP_002018559.1|DPER	LOC120422704|XP_039442150.1|CPIP
OG0001758	LOC6601524|XP_026848018.1|DPER	LOC120422695|XP_039442138.1|CPIP
OG0001759	LOC6591087|XP_002016119.1|DPER	LOC120417487|XP_039435497.1|CPIP
OG0001760	LOC6592995|XP_002017978.2|DPER	LOC120431187|XP_039452263.1|CPIP
OG0001761	LOC6590665|XP_026841038.1|DPER	LOC120421909|XP_039441143.1|CPIP
OG0001762	LOC6593526|XP_026842962.1|DPER	LOC120427012|XP_039447766.1|CPIP
OG0001764	LOC6591838|XP_002017206.2|DPER	LOC120412610|XP_039429092.1|CPIP
OG0001765	LOC6590645|XP_026841367.1|DPER	LOC120429891|XP_039450906.1|CPIP
OG0001766	LOC6593984|XP_026843789.1|DPER	LOC120414689|XP_039431909.1|CPIP
OG0001767	LOC6596333|XP_002021471.2|DPER	LOC120416612|XP_039434345.1|CPIP
OG0001768	LOC6589873|XP_002014586.1|DPER	LOC120415684|XP_039433202.1|CPIP
OG0001769	LOC6588828|XP_026844680.1|DPER	LOC120423676|XP_039443501.1|CPIP
OG0001770	LOC6589581|XP_002014290.1|DPER	LOC120424085|XP_039444033.1|CPIP, LOC120424104|XP_039444049.1|CPIP, LOC120424087|XP_039444036.1|CPIP
OG0001771	LOC6589744|XP_002014995.1|DPER	LOC120420598|XP_039439606.1|CPIP
OG0001772	LOC6588723|XP_002014365.1|DPER	LOC120430583|XP_039451623.1|CPIP, LOC120428020|XP_039448927.1|CPIP
OG0001774	LOC6592281|XP_002018422.2|DPER	LOC120413132|XP_039429770.1|CPIP
OG0001776	LOC6593772|XP_026843186.1|DPER	LOC120418945|XP_039437417.1|CPIP
OG0001777	LOC6593642|XP_002018693.2|DPER	LOC120428102|XP_039449019.1|CPIP, LOC120430713|XP_039451756.1|CPIP
OG0001778	LOC6595564|XP_002020912.1|DPER	LOC120413896|XP_039430808.1|CPIP, LOC120420538|XP_039439544.1|CPIP
OG0001779	LOC6588962|XP_002014422.1|DPER	LOC120418428|XP_039436740.1|CPIP
OG0001779	LOC6588968|XP_026844110.1|DPER	LOC120418404|XP_039436714.1|CPIP
OG0001780	LOC6593130|XP_026842150.1|DPER	LOC120419389|XP_039437995.1|CPIP
OG0001781	LOC6596561|XP_026843231.1|DPER	LOC120428163|XP_039449081.1|CPIP
OG0001782	LOC6593830|XP_002018909.2|DPER	LOC120429265|XP_039450416.1|CPIP, LOC120430898|XP_039451955.1|CPIP
OG0001783	LOC6593490|XP_002019153.1|DPER	LOC120418978|XP_039437459.1|CPIP, LOC120425191|XP_039445556.1|CPIP
OG0001784	LOC6595673|XP_002020733.1|DPER	LOC120412843|XP_039429400.1|CPIP, LOC120425334|XP_039445750.1|CPIP
OG0001785	LOC6602050|XP_002027181.1|DPER	LOC120423126|XP_039442738.1|CPIP
OG0001786	LOC6595413|XP_026844268.1|DPER	LOC120427328|XP_039448112.1|CPIP
