Orthogroup	DPER.longest_only	BCOP.longest_only
OG0000875	LOC6596981|XP_026845268.1|DPER, LOC6603330|XP_002028307.1|DPER	LOC119085447|XP_037051763.1|BCOP
OG0000877	LOC6602389|XP_026848454.1|DPER, LOC6598336|XP_002023463.1|DPER	LOC119080405|XP_037044630.1|BCOP
OG0000882	LOC6600043|XP_026849136.1|DPER	LOC119067316|XP_037026121.1|BCOP
OG0000884	LOC6595379|XP_002020815.1|DPER, LOC6598181|XP_002023355.1|DPER	LOC119068721|XP_037028308.1|BCOP
OG0000885	LOC6588136|XP_026844274.1|DPER	LOC119068824|XP_037028491.1|BCOP
OG0000886	LOC6588267|XP_002013844.1|DPER	LOC119083322|XP_037048902.1|BCOP, LOC119083347|XP_037048934.1|BCOP
OG0000887	LOC6600746|XP_026848674.1|DPER	LOC119070304|XP_037030468.1|BCOP
OG0000888	LOC6601090|XP_026847315.1|DPER, LOC6601087|XP_026847373.1|DPER	LOC119080382|XP_037044584.1|BCOP
OG0000889	LOC6603424|XP_002028402.1|DPER	LOC119080079|XP_037044194.1|BCOP
OG0000890	LOC6590086|XP_026842302.1|DPER, LOC6595015|XP_002020168.1|DPER, LOC6588946|XP_026844233.1|DPER	LOC119074495|XP_037036542.1|BCOP
OG0000891	LOC6595443|XP_002020864.1|DPER	LOC119071905|XP_037032913.1|BCOP
OG0000892	LOC6598870|XP_002024043.1|DPER, LOC6601807|XP_026848560.1|DPER	LOC119078708|XP_037042273.1|BCOP
OG0000893	LOC6594271|XP_026850537.1|DPER	LOC119075563|XP_037037925.1|BCOP, LOC119075564|XP_037037927.1|BCOP, LOC119077985|XP_037041261.1|BCOP, LOC119084453|XP_037050329.1|BCOP, LOC119067881|XP_037027052.1|BCOP, LOC119074918|XP_037037203.1|BCOP
OG0000894	LOC6604218|XP_026850863.1|DPER, LOC113567429|XP_026851017.1|DPER, LOC6594290|XP_002019938.1|DPER	LOC119068826|XP_037028494.1|BCOP
OG0000896	LOC6589949|XP_002015977.1|DPER, LOC6600031|XP_002025078.1|DPER	LOC119071864|XP_037032821.1|BCOP
OG0000907	LOC6590497|XP_002015646.2|DPER	LOC119069087|XP_037028864.1|BCOP
OG0000909	LOC6587755|XP_002013677.1|DPER	LOC119067056|XP_037025697.1|BCOP
OG0000910	LOC6600067|XP_026845117.1|DPER	LOC119075482|XP_037037828.1|BCOP
OG0000911	LOC6592441|XP_002017786.1|DPER	LOC119072888|XP_037034106.1|BCOP
OG0000912	LOC6596066|XP_002021223.1|DPER	LOC119075043|XP_037037336.1|BCOP
OG0000913	LOC6595962|XP_026845486.1|DPER	LOC119080701|XP_037045051.1|BCOP
OG0000914	LOC6590248|XP_002016540.2|DPER	LOC119081480|XP_037046373.1|BCOP
OG0000915	LOC6590742|XP_002016005.1|DPER	LOC119084701|XP_037050673.1|BCOP
OG0000916	LOC6589575|XP_026843929.1|DPER	LOC119085310|XP_037051561.1|BCOP, LOC119083725|XP_037049418.1|BCOP, LOC119083824|XP_037049514.1|BCOP, LOC119083729|XP_037049422.1|BCOP
OG0000917	LOC113567376|XP_026850823.1|DPER, LOC6596519|XP_026842953.1|DPER	LOC119082593|XP_037048030.1|BCOP
OG0000918	LOC6597991|XP_026843116.1|DPER	LOC119076314|XP_037038876.1|BCOP
OG0000920	LOC6598219|XP_002023344.1|DPER	LOC119083049|XP_037048568.1|BCOP
OG0000921	LOC6603207|XP_026845946.1|DPER, LOC113566098|XP_026845947.1|DPER	LOC119078052|XP_037041367.1|BCOP
OG0000922	LOC6601884|XP_002026933.1|DPER	LOC119068338|XP_037027793.1|BCOP, LOC119082934|XP_037048485.1|BCOP
OG0000923	LOC6588607|XP_002013143.1|DPER	LOC119075006|XP_037037304.1|BCOP
OG0000924	LOC6603232|XP_026845217.1|DPER	LOC119076113|XP_037038669.1|BCOP
OG0000925	LOC6595306|XP_002020433.1|DPER	LOC119066547|XP_037024978.1|BCOP
OG0000935	LOC6587608|XP_026850512.1|DPER	LOC119085662|XP_037052005.1|BCOP
OG0000936	LOC6592150|XP_026848428.1|DPER, LOC6599140|XP_002024374.1|DPER	LOC119068158|XP_037027530.1|BCOP
OG0000937	LOC6587331|XP_026850563.1|DPER	LOC119069164|XP_037028965.1|BCOP, LOC119069166|XP_037028969.1|BCOP, LOC119071087|XP_037031624.1|BCOP
OG0000938	LOC113566537|XP_026848371.1|DPER	LOC119069567|XP_037029542.1|BCOP
OG0000939	LOC113565908|XP_026845080.1|DPER, LOC6589789|XP_002014636.1|DPER	LOC119069209|XP_037029080.1|BCOP
OG0000940	LOC6599599|XP_002024689.2|DPER	LOC119067541|XP_037026493.1|BCOP
OG0000941	LOC113566184|XP_026846421.1|DPER	LOC119069063|XP_037028834.1|BCOP
OG0000942	LOC113566490|XP_026848093.1|DPER	LOC119080805|XP_037045271.1|BCOP
OG0000943	LOC6590176|XP_026842496.1|DPER, LOC6589929|XP_002015880.1|DPER	LOC119075876|XP_037038336.1|BCOP
OG0000944	LOC6599123|XP_026848288.1|DPER	LOC119081864|XP_037046988.1|BCOP
OG0000945	LOC6601058|XP_026849742.1|DPER	LOC119083903|XP_037049611.1|BCOP
OG0000947	LOC6591001|XP_002016565.1|DPER	LOC119081502|XP_037046404.1|BCOP
OG0000948	LOC6601703|XP_026849928.1|DPER, LOC113566910|XP_026849921.1|DPER, LOC113566912|XP_026849923.1|DPER, LOC113566916|XP_026849929.1|DPER, LOC113566909|XP_026849920.1|DPER, LOC113566915|XP_026849927.1|DPER, LOC113566911|XP_026849922.1|DPER, LOC113566913|XP_026849925.1|DPER	LOC119071154|XP_037031801.1|BCOP
OG0000949	LOC6600062|XP_026845102.1|DPER	LOC119076037|XP_037038552.1|BCOP, LOC119076075|XP_037038619.1|BCOP
OG0000950	LOC6602904|XP_026849671.1|DPER, LOC6594120|XP_002019542.2|DPER	LOC119081508|XP_037046414.1|BCOP
OG0000951	LOC6598701|XP_002023880.1|DPER, LOC6603038|XP_002028060.1|DPER	LOC119084350|XP_037050187.1|BCOP
OG0000954	LOC6603167|XP_002028163.1|DPER, LOC6603169|XP_002028165.1|DPER	LOC119081383|XP_037046166.1|BCOP, LOC119080804|XP_037045270.1|BCOP, LOC119074225|XP_037036139.1|BCOP
OG0000964	LOC6590064|XP_026841347.1|DPER, LOC113566696|XP_026849250.1|DPER	LOC119085822|XP_037052212.1|BCOP
OG0000965	LOC6600658|XP_026848620.1|DPER	LOC119083829|XP_037049526.1|BCOP
OG0000966	LOC6595173|XP_002020428.1|DPER	LOC119073645|XP_037035139.1|BCOP, LOC119073195|XP_037034398.1|BCOP
OG0000968	LOC6599768|XP_002024888.1|DPER	LOC119066471|XP_037024872.1|BCOP, LOC119068517|XP_037028018.1|BCOP, LOC119080041|XP_037044138.1|BCOP, LOC119067361|XP_037026171.1|BCOP, LOC119080036|XP_037044121.1|BCOP
OG0000969	LOC6600916|XP_002025925.1|DPER	LOC119074494|XP_037036541.1|BCOP
OG0000970	LOC6597419|XP_002022427.2|DPER, LOC6597420|XP_002022428.2|DPER, LOC6594924|XP_026850452.1|DPER	LOC119073002|XP_037034221.1|BCOP, LOC119072601|XP_037033750.1|BCOP, LOC119077095|XP_037040152.1|BCOP, LOC119077140|XP_037040218.1|BCOP
OG0000971	LOC6589751|XP_026844021.1|DPER	LOC119072932|XP_037034147.1|BCOP
OG0000972	LOC6601465|XP_026847757.1|DPER	LOC119066215|XP_037024433.1|BCOP
OG0000975	LOC6588475|XP_002012986.1|DPER, LOC6594595|XP_002019385.1|DPER	LOC119075022|XP_037037326.1|BCOP
OG0000977	LOC6594498|XP_026850315.1|DPER, LOC6594499|XP_026850299.1|DPER	LOC119077973|XP_037041250.1|BCOP
OG0000978	LOC6594613|XP_002019836.1|DPER	LOC119079549|XP_037043432.1|BCOP
OG0000980	LOC6588455|XP_002012991.1|DPER, LOC6598805|XP_026851187.1|DPER	LOC119085810|XP_037052186.1|BCOP, LOC119078875|XP_037042486.1|BCOP
OG0000981	LOC6589390|XP_002014351.1|DPER	LOC119077440|XP_037040551.1|BCOP
OG0000988	LOC6589693|XP_002015206.1|DPER	LOC119068079|XP_037027381.1|BCOP, LOC119080941|XP_037045463.1|BCOP
OG0000990	LOC113566097|XP_026845939.1|DPER, LOC113566096|XP_026845938.1|DPER, LOC6602908|XP_026849661.1|DPER	LOC119070368|XP_037030562.1|BCOP
OG0000991	LOC6598182|XP_026846152.1|DPER	LOC119066633|XP_037025092.1|BCOP, LOC119081459|XP_037046325.1|BCOP
OG0000992	LOC6587813|XP_002014097.1|DPER	LOC119074967|XP_037037258.1|BCOP
OG0000994	LOC6599276|XP_002024271.2|DPER	LOC119081336|XP_037046032.1|BCOP
OG0000995	LOC6593313|XP_002018652.1|DPER	LOC119081827|XP_037046960.1|BCOP
OG0000996	LOC6600948|XP_002026019.1|DPER	LOC119081619|XP_037046563.1|BCOP, LOC119081223|XP_037045842.1|BCOP, LOC119070962|XP_037031421.1|BCOP
OG0000997	LOC6591105|XP_026841646.1|DPER, LOC6590895|XP_026840602.1|DPER	LOC119076354|XP_037038949.1|BCOP
OG0000998	LOC113566327|XP_026847309.1|DPER	LOC119074775|XP_037036948.1|BCOP, LOC119073498|XP_037034908.1|BCOP, LOC119074718|XP_037036896.1|BCOP
OG0000999	LOC6597395|XP_002022489.1|DPER	LOC119084413|XP_037050276.1|BCOP
OG0001000	LOC6603247|XP_026841996.1|DPER	LOC119073777|XP_037035340.1|BCOP
OG0001001	LOC6593132|XP_026842467.1|DPER	LOC119075735|XP_037038174.1|BCOP
OG0001002	LOC113565648|XP_026844089.1|DPER	LOC119074361|XP_037036358.1|BCOP, LOC119070352|XP_037030564.1|BCOP
OG0001003	LOC6594369|XP_002019337.2|DPER	LOC119066211|XP_037024432.1|BCOP
OG0001004	LOC6594320|XP_002019363.1|DPER	LOC119084063|XP_037049796.1|BCOP
OG0001005	LOC6600156|XP_002025239.2|DPER	LOC119074410|XP_037036429.1|BCOP
OG0001006	LOC6600640|XP_002025651.2|DPER	LOC119071631|XP_037032484.1|BCOP
OG0001007	LOC6590156|XP_002016578.1|DPER	LOC119072482|XP_037033606.1|BCOP
OG0001008	LOC6603108|XP_002028093.1|DPER	LOC119086069|XP_037052540.1|BCOP
OG0001009	LOC6591673|XP_002016888.1|DPER, LOC6594917|XP_002020125.1|DPER	LOC119075361|XP_037037690.1|BCOP
OG0001019	LOC6587304|XP_002013005.1|DPER	LOC119069347|XP_037029316.1|BCOP
OG0001020	LOC6599375|XP_002024549.1|DPER	LOC119078481|XP_037041936.1|BCOP, LOC119078471|XP_037041924.1|BCOP, LOC119069995|XP_037030138.1|BCOP
OG0001022	LOC6602844|XP_002027870.1|DPER	LOC119081328|XP_037046015.1|BCOP
OG0001024	LOC6588193|XP_002012994.1|DPER	LOC119082402|XP_037047828.1|BCOP, LOC119069342|XP_037029308.1|BCOP, LOC119069345|XP_037029310.1|BCOP, LOC119085058|XP_037051170.1|BCOP, LOC119085254|XP_037051486.1|BCOP
OG0001025	LOC6596133|XP_002021097.1|DPER	LOC119081450|XP_037046283.1|BCOP, LOC119083125|XP_037048657.1|BCOP, LOC119083124|XP_037048656.1|BCOP, LOC119073089|XP_037034296.1|BCOP
OG0001026	LOC6590551|XP_002016231.1|DPER	LOC119065982|XP_037024085.1|BCOP, LOC119075085|XP_037037371.1|BCOP, LOC119074505|XP_037036557.1|BCOP
OG0001027	LOC6595821|XP_026845283.1|DPER	LOC119076434|XP_037039078.1|BCOP
OG0001028	LOC6596609|XP_002021605.1|DPER	LOC119080337|XP_037044529.1|BCOP, LOC119082899|XP_037048456.1|BCOP, LOC119077960|XP_037041235.1|BCOP, LOC119077717|XP_037040893.1|BCOP, LOC119077716|XP_037040890.1|BCOP
OG0001031	LOC6593548|XP_026843852.1|DPER, LOC6593647|XP_026844596.1|DPER	LOC119071712|XP_037032601.1|BCOP
OG0001032	LOC6597923|XP_026843427.1|DPER	LOC119081634|XP_037046580.1|BCOP, LOC119081743|XP_037046809.1|BCOP, LOC119075007|XP_037037305.1|BCOP
OG0001033	LOC6589258|XP_026844114.1|DPER, LOC6599988|XP_026849155.1|DPER	LOC119068730|XP_037028321.1|BCOP, LOC119066556|XP_037024997.1|BCOP
OG0001034	LOC6589513|XP_026844027.1|DPER, LOC6602157|XP_026847975.1|DPER	LOC119076343|XP_037038934.1|BCOP
OG0001042	LOC6595062|XP_002020416.1|DPER	LOC119084984|XP_037051038.1|BCOP
OG0001043	LOC6597811|XP_002022943.1|DPER	LOC119085900|XP_037052342.1|BCOP, LOC119069916|XP_037030028.1|BCOP
OG0001044	LOC6590851|XP_002016364.1|DPER	LOC119073827|XP_037035519.1|BCOP, LOC119085590|XP_037051902.1|BCOP
OG0001045	LOC6590815|XP_026841175.1|DPER	LOC119069797|XP_037029846.1|BCOP
OG0001046	LOC6592667|XP_002018391.1|DPER	LOC119085214|XP_037051420.1|BCOP
OG0001047	LOC6592751|XP_002017868.1|DPER	LOC119066651|XP_037025117.1|BCOP, LOC119073202|XP_037034406.1|BCOP
OG0001048	LOC6592711|XP_002018078.1|DPER	LOC119085139|XP_037051310.1|BCOP
OG0001049	LOC6595456|XP_002020889.1|DPER, LOC6599675|XP_002024807.2|DPER	LOC119080206|XP_037044340.1|BCOP
OG0001050	LOC6587782|XP_002012768.2|DPER, LOC6599758|XP_002024878.1|DPER, LOC6588958|XP_002014341.1|DPER	LOC119081569|XP_037046495.1|BCOP
OG0001051	LOC6589449|XP_002014476.1|DPER	LOC119076391|XP_037039010.1|BCOP
OG0001052	LOC6589073|XP_002014522.1|DPER	LOC119075377|XP_037037706.1|BCOP
OG0001053	LOC113566194|XP_026846524.1|DPER, LOC6597402|XP_002022494.2|DPER	LOC119072009|XP_037033024.1|BCOP, LOC119071048|XP_037031555.1|BCOP
OG0001054	LOC6587843|XP_002012745.1|DPER, LOC6587777|XP_002012746.1|DPER	LOC119077890|XP_037041149.1|BCOP
OG0001056	LOC6603665|XP_026845775.1|DPER	LOC119075793|XP_037038255.1|BCOP
OG0001057	LOC6593374|XP_002019040.1|DPER, LOC6593373|XP_002019039.1|DPER	LOC119081015|XP_037045593.1|BCOP
OG0001058	LOC6596934|XP_026845640.1|DPER	LOC119067766|XP_037026805.1|BCOP
OG0001059	LOC6599082|XP_026849010.1|DPER	LOC119082553|XP_037047962.1|BCOP
OG0001060	LOC6598408|XP_002023652.1|DPER, LOC6598414|XP_002023658.1|DPER, LOC113566155|XP_026846306.1|DPER, LOC6598406|XP_002023650.2|DPER, LOC6588407|XP_002014155.1|DPER	LOC119067032|XP_037025663.1|BCOP
OG0001072	LOC6600589|XP_002025644.2|DPER	LOC119076224|XP_037038774.1|BCOP
OG0001073	LOC6598750|XP_002023784.2|DPER	LOC119068180|XP_037027566.1|BCOP
OG0001074	LOC6590379|XP_002015481.1|DPER	LOC119083179|XP_037048734.1|BCOP
OG0001075	LOC6601212|XP_026848096.1|DPER	LOC119073761|XP_037035323.1|BCOP
OG0001078	LOC6601724|XP_026847007.1|DPER	LOC119083630|XP_037049263.1|BCOP, LOC119083310|XP_037048891.1|BCOP, LOC119085253|XP_037051484.1|BCOP, LOC119083868|XP_037049572.1|BCOP, LOC119066619|XP_037025072.1|BCOP, LOC119074776|XP_037036944.1|BCOP, LOC119073855|XP_037035613.1|BCOP
OG0001079	LOC6601903|XP_002026952.2|DPER, LOC6604053|XP_026850184.1|DPER, LOC113566780|XP_026849676.1|DPER, LOC6604111|XP_026849643.1|DPER, LOC6603727|XP_026849521.1|DPER, LOC113566740|XP_026849520.1|DPER, LOC113566774|XP_026849642.1|DPER, LOC113566775|XP_026849644.1|DPER, LOC113566781|XP_026849677.1|DPER, LOC113566836|XP_026849807.1|DPER, LOC113567166|XP_026850140.1|DPER, LOC113566954|XP_026849997.1|DPER	LOC119080836|XP_037045291.1|BCOP
OG0001080	LOC6601038|XP_026849752.1|DPER	LOC119076015|XP_037038502.1|BCOP
OG0001081	LOC113565172|XP_026842217.1|DPER	LOC119077092|XP_037040147.1|BCOP, LOC119076408|XP_037039035.1|BCOP, LOC119073269|XP_037034544.1|BCOP
OG0001082	LOC6598435|XP_026846128.1|DPER, LOC6598437|XP_026846126.1|DPER, LOC6593268|XP_002017919.1|DPER	LOC119076850|XP_037039752.1|BCOP
OG0001083	LOC113567101|XP_026850079.1|DPER, LOC6601217|XP_002026313.1|DPER	LOC119082042|XP_037047264.1|BCOP, LOC119066221|XP_037024443.1|BCOP, LOC119074746|XP_037036908.1|BCOP
OG0001084	LOC6590304|XP_026840668.1|DPER	LOC119076818|XP_037039701.1|BCOP, LOC119073995|XP_037035817.1|BCOP
OG0001085	LOC6602130|XP_002027102.1|DPER	LOC119073430|XP_037034797.1|BCOP
OG0001086	LOC6590020|XP_002016574.1|DPER	LOC119071574|XP_037032409.1|BCOP
OG0001087	LOC6589737|XP_002015141.1|DPER	LOC119074448|XP_037036474.1|BCOP
OG0001088	LOC6600581|XP_026847597.1|DPER	LOC119076941|XP_037039884.1|BCOP
OG0001089	LOC6599787|XP_026847285.1|DPER	LOC119080047|XP_037044149.1|BCOP
OG0001090	LOC6595874|XP_026845576.1|DPER	LOC119081801|XP_037046915.1|BCOP
OG0001092	LOC6593748|XP_002018852.1|DPER	LOC119076984|XP_037039983.1|BCOP
OG0001093	LOC6598113|XP_002023269.1|DPER	LOC119076993|XP_037039996.1|BCOP, LOC119076994|XP_037039998.1|BCOP
OG0001094	LOC6598086|XP_026843510.1|DPER	LOC119078595|XP_037042077.1|BCOP
OG0001095	LOC6602657|XP_002027676.2|DPER	LOC119085955|XP_037052407.1|BCOP
OG0001096	LOC6595704|XP_026844660.1|DPER	LOC119078915|XP_037042541.1|BCOP, LOC119078916|XP_037042544.1|BCOP
OG0001097	LOC113565686|XP_026844277.1|DPER	LOC119066245|XP_037024464.1|BCOP
OG0001099	LOC6602991|XP_002028018.1|DPER	LOC119071399|XP_037032180.1|BCOP
OG0001100	LOC6594666|XP_026841605.1|DPER	LOC119083187|XP_037048744.1|BCOP
OG0001101	LOC6589976|XP_026840594.1|DPER	LOC119066925|XP_037025528.1|BCOP
OG0001102	LOC6601953|XP_026849623.1|DPER	LOC119083309|XP_037048890.1|BCOP
OG0001103	LOC6598605|XP_002023850.1|DPER	LOC119069160|XP_037028962.1|BCOP, LOC119069161|XP_037028963.1|BCOP
OG0001104	LOC6591285|XP_026841023.1|DPER	LOC119078780|XP_037042387.1|BCOP, LOC119070322|XP_037030485.1|BCOP
OG0001105	LOC6602893|XP_002027916.1|DPER	LOC119084069|XP_037049806.1|BCOP
OG0001106	LOC6602541|XP_026846779.1|DPER	LOC119079471|XP_037043296.1|BCOP
OG0001108	LOC6592125|XP_002016832.1|DPER, LOC6592113|XP_002016839.1|DPER	LOC119066919|XP_037025557.1|BCOP
OG0001109	LOC6590226|XP_002016075.2|DPER, LOC6590227|XP_026842893.1|DPER	LOC119066649|XP_037025115.1|BCOP
OG0001110	LOC113565887|XP_026845052.1|DPER, LOC6589625|XP_002014229.1|DPER	LOC119081651|XP_037046628.1|BCOP
OG0001118	LOC113566759|XP_026849595.1|DPER, LOC113566178|XP_026846367.1|DPER, LOC113566757|XP_026849593.1|DPER, LOC113566758|XP_026849594.1|DPER, LOC113566174|XP_026846363.1|DPER, LOC113566761|XP_026849597.1|DPER, LOC113566762|XP_026849598.1|DPER, LOC113566176|XP_026846365.1|DPER, LOC113566177|XP_026846366.1|DPER, LOC113566760|XP_026849596.1|DPER, LOC113566175|XP_026846364.1|DPER	LOC119084904|XP_037050954.1|BCOP
OG0001119	LOC6594399|XP_002019345.1|DPER	LOC119068250|XP_037027677.1|BCOP
OG0001120	LOC6598804|XP_026851183.1|DPER	LOC119068668|XP_037028247.1|BCOP, LOC119075141|XP_037037422.1|BCOP
OG0001121	LOC6590764|XP_026840653.1|DPER	LOC119081363|XP_037046120.1|BCOP
OG0001122	LOC6604104|XP_026850106.1|DPER, LOC6603658|XP_026849785.1|DPER, LOC113566828|XP_026849787.1|DPER, LOC113567157|XP_026850131.1|DPER, LOC6604114|XP_026849782.1|DPER, LOC113566827|XP_026849783.1|DPER, LOC6603657|XP_026849786.1|DPER, LOC6604125|XP_026850093.1|DPER, LOC6604087|XP_026849784.1|DPER, LOC113567119|XP_026850092.1|DPER, LOC113567161|XP_026850138.1|DPER, LOC6604210|XP_026848005.1|DPER	LOC119083683|XP_037049363.1|BCOP
OG0001124	LOC6588595|XP_026850803.1|DPER	LOC119067257|XP_037026028.1|BCOP
OG0001125	LOC6587936|XP_002013333.1|DPER	LOC119076572|XP_037039262.1|BCOP, LOC119083869|XP_037049573.1|BCOP, LOC119075720|XP_037038146.1|BCOP, LOC119081761|XP_037046847.1|BCOP, LOC119081370|XP_037046142.1|BCOP
OG0001127	LOC6596010|XP_002020999.1|DPER	LOC119083838|XP_037049535.1|BCOP, LOC119080648|XP_037044957.1|BCOP
OG0001128	LOC6590181|XP_002016334.2|DPER	LOC119084880|XP_037050919.1|BCOP
OG0001129	LOC6588784|XP_026843915.1|DPER	LOC119066268|XP_037024516.1|BCOP
OG0001130	LOC6589276|XP_002014454.1|DPER, LOC6602924|XP_002027947.2|DPER	LOC119075759|XP_037038195.1|BCOP
OG0001131	LOC6601989|XP_026846838.1|DPER	LOC119081050|XP_037045650.1|BCOP
OG0001133	LOC6596614|XP_026843742.1|DPER	LOC119080676|XP_037045003.1|BCOP
OG0001134	LOC6590624|XP_026841099.1|DPER	LOC119071186|XP_037031854.1|BCOP
OG0001135	LOC6588013|XP_002013605.1|DPER	LOC119075541|XP_037037907.1|BCOP, LOC119075800|XP_037038262.1|BCOP, LOC119084470|XP_037050350.1|BCOP
OG0001136	LOC6592084|XP_026840360.1|DPER, LOC6592073|XP_002017522.1|DPER	LOC119074562|XP_037036667.1|BCOP
OG0001138	LOC6601036|XP_026849753.1|DPER	LOC119069810|XP_037029867.1|BCOP
OG0001139	LOC6602846|XP_002027875.1|DPER	LOC119072089|XP_037033143.1|BCOP
OG0001153	LOC6590367|XP_026840936.1|DPER	LOC119083126|XP_037048661.1|BCOP, LOC119083102|XP_037048628.1|BCOP
OG0001154	LOC6589018|XP_026844895.1|DPER	LOC119066290|XP_037024558.1|BCOP
OG0001155	LOC6599267|XP_026848269.1|DPER	LOC119069788|XP_037029824.1|BCOP
OG0001157	LOC6588527|XP_026850640.1|DPER	LOC119080403|XP_037044631.1|BCOP
OG0001158	LOC6593710|XP_002018634.2|DPER	LOC119076925|XP_037039845.1|BCOP
OG0001159	LOC6594979|XP_026841100.1|DPER	LOC119069139|XP_037028940.1|BCOP
OG0001160	LOC6587327|XP_002014020.1|DPER	LOC119067229|XP_037025978.1|BCOP
OG0001162	LOC6592142|XP_002017278.1|DPER, LOC113567332|XP_026850587.1|DPER	LOC119067561|XP_037026522.1|BCOP
OG0001163	LOC6588545|XP_026843729.1|DPER	LOC119067765|XP_037026793.1|BCOP, LOC119069849|XP_037029917.1|BCOP
OG0001165	LOC6593163|XP_002018177.1|DPER	LOC119067345|XP_037026149.1|BCOP, LOC119072182|XP_037033240.1|BCOP
OG0001166	LOC6601181|XP_026848214.1|DPER	LOC119069403|XP_037029344.1|BCOP
OG0001167	LOC6590526|XP_002016455.2|DPER	LOC119083692|XP_037049371.1|BCOP
OG0001168	LOC6593148|XP_002018525.1|DPER	LOC119077995|XP_037041270.1|BCOP
OG0001169	LOC6598450|XP_002023577.1|DPER	LOC119072301|XP_037033380.1|BCOP, LOC119067534|XP_037026483.1|BCOP, LOC119067537|XP_037026487.1|BCOP, LOC119067536|XP_037026486.1|BCOP
OG0001171	LOC6602498|XP_026848757.1|DPER	LOC119076805|XP_037039665.1|BCOP
OG0001172	LOC6590757|XP_002016149.1|DPER, LOC6590759|XP_002016151.1|DPER	LOC119068932|XP_037028692.1|BCOP, LOC119078004|XP_037041278.1|BCOP
OG0001173	LOC6588636|XP_002013183.1|DPER	LOC119068107|XP_037027443.1|BCOP, LOC119075232|XP_037037519.1|BCOP, LOC119075233|XP_037037520.1|BCOP
OG0001174	LOC6599464|XP_002024613.2|DPER	LOC119081275|XP_037045926.1|BCOP
OG0001175	LOC6602238|XP_002027268.1|DPER	LOC119071951|XP_037032974.1|BCOP
OG0001176	LOC6594907|XP_002020507.1|DPER, LOC6600881|XP_026842637.1|DPER	LOC119082251|XP_037047610.1|BCOP, LOC119083690|XP_037049369.1|BCOP
OG0001177	LOC6589351|XP_026844960.1|DPER	LOC119075291|XP_037037586.1|BCOP
OG0001178	LOC6593081|XP_002017894.2|DPER	LOC119078444|XP_037041862.1|BCOP
OG0001179	LOC6590510|XP_026841353.1|DPER	LOC119079282|XP_037042963.1|BCOP, LOC119079285|XP_037042970.1|BCOP
OG0001180	LOC6602021|XP_002027032.1|DPER	LOC119073882|XP_037035657.1|BCOP
OG0001181	LOC6588690|XP_002015059.1|DPER, LOC113565816|XP_026844829.1|DPER, LOC6596938|XP_026845636.1|DPER	LOC119074458|XP_037036490.1|BCOP
OG0001182	LOC6595106|XP_026840159.1|DPER	LOC119084440|XP_037050310.1|BCOP
OG0001183	LOC6594123|XP_026847707.1|DPER, LOC113567100|XP_026850078.1|DPER	LOC119076536|XP_037039219.1|BCOP
OG0001185	LOC6594459|XP_026850304.1|DPER	LOC119074306|XP_037036224.1|BCOP
OG0001186	LOC113565958|XP_026845186.1|DPER, LOC6603949|XP_002028894.1|DPER, LOC113565957|XP_026845185.1|DPER, LOC6595363|XP_002020836.2|DPER, LOC6594162|XP_026850760.1|DPER	LOC119075891|XP_037038358.1|BCOP
OG0001187	LOC6591203|XP_026841640.1|DPER	LOC119082640|XP_037048102.1|BCOP
OG0001188	LOC6590799|XP_026840771.1|DPER	LOC119082080|XP_037047332.1|BCOP
OG0001189	LOC6600978|XP_002025874.1|DPER	LOC119072520|XP_037033662.1|BCOP
OG0001190	LOC113566589|XP_026848680.1|DPER	LOC119077611|XP_037040722.1|BCOP, LOC119075878|XP_037038337.1|BCOP, LOC119079782|XP_037043748.1|BCOP, LOC119077323|XP_037040399.1|BCOP
OG0001191	LOC6593467|XP_026843850.1|DPER	LOC119084385|XP_037050242.1|BCOP
OG0001193	LOC6587656|XP_002013700.1|DPER	LOC119085455|XP_037051773.1|BCOP, LOC119085454|XP_037051772.1|BCOP, LOC119085453|XP_037051771.1|BCOP
OG0001200	LOC6591858|XP_002016792.2|DPER	LOC119074580|XP_037036705.1|BCOP
OG0001201	LOC6594043|XP_002019650.1|DPER	LOC119078460|XP_037041892.1|BCOP, LOC119085192|XP_037051398.1|BCOP, LOC119078825|XP_037042428.1|BCOP, LOC119078965|XP_037042609.1|BCOP
OG0001202	LOC6597838|XP_026846515.1|DPER	LOC119074986|XP_037037283.1|BCOP, LOC119074987|XP_037037284.1|BCOP, LOC119074985|XP_037037282.1|BCOP, LOC119066078|XP_037024245.1|BCOP, LOC119084725|XP_037050694.1|BCOP
OG0001203	LOC6603490|XP_002028472.1|DPER	LOC119083571|XP_037049212.1|BCOP, LOC119079488|XP_037043326.1|BCOP
OG0001204	LOC6598020|XP_002023212.2|DPER	LOC119080679|XP_037045012.1|BCOP
OG0001205	LOC6592049|XP_026851188.1|DPER	LOC119079043|XP_037042725.1|BCOP
OG0001206	LOC6588035|XP_026840035.1|DPER	LOC119078341|XP_037041739.1|BCOP, LOC119078340|XP_037041738.1|BCOP, LOC119069337|XP_037029299.1|BCOP, LOC119084775|XP_037050734.1|BCOP
OG0001207	LOC6588087|XP_002012832.1|DPER, LOC113566278|XP_026847043.1|DPER, LOC6597721|XP_026847063.1|DPER	LOC119084185|XP_037049953.1|BCOP
OG0001210	LOC6598194|XP_026846241.1|DPER	LOC119068077|XP_037027378.1|BCOP
