Orthogroup	DPER.longest_only	HILL.longest_only
OG0001282	LOC6596284|XP_002021806.1|DPER	LOC119648273|XP_037905856.1|HILL, LOC119649296|XP_037907318.1|HILL, LOC119650007|XP_037908401.1|HILL, LOC119649909|XP_037908236.1|HILL
OG0001283	LOC6593121|XP_002017620.2|DPER	LOC119661427|XP_037926698.1|HILL
OG0001284	LOC6603120|XP_026843678.1|DPER	LOC119651440|XP_037910970.1|HILL
OG0001285	LOC6600545|XP_026847551.1|DPER	LOC119654710|XP_037916157.1|HILL, LOC119646154|XP_037902453.1|HILL
OG0001286	LOC6589109|XP_002015228.1|DPER	LOC119646226|XP_037902542.1|HILL
OG0001287	LOC6594096|XP_002019688.1|DPER	LOC119650430|XP_037909177.1|HILL, LOC119650431|XP_037909178.1|HILL, LOC119660177|XP_037924513.1|HILL, LOC119660484|XP_037924999.1|HILL
OG0001288	LOC6595699|XP_026844637.1|DPER	LOC119651059|XP_037910316.1|HILL
OG0001289	LOC6593414|XP_002018593.1|DPER	LOC119656549|XP_037918844.1|HILL, LOC119646325|XP_037902674.1|HILL, LOC119646338|XP_037902691.1|HILL
OG0001290	LOC6589136|XP_026844308.1|DPER	LOC119653199|XP_037913690.1|HILL
OG0001291	LOC6589960|XP_002015635.1|DPER	LOC119654813|XP_037916297.1|HILL
OG0001292	LOC6601597|XP_026842474.1|DPER	LOC119653512|XP_037914101.1|HILL
OG0001293	LOC6597403|XP_002022495.1|DPER, LOC6597401|XP_002022493.1|DPER	LOC119655415|XP_037917229.1|HILL
OG0001294	LOC6591950|XP_002017494.1|DPER	LOC119654231|XP_037915382.1|HILL
OG0001295	LOC6600664|XP_026845149.1|DPER	LOC119653879|XP_037914923.1|HILL
OG0001296	LOC6590768|XP_026841539.1|DPER	LOC119655784|XP_037917802.1|HILL
OG0001297	LOC6595229|XP_026851270.1|DPER	LOC119659209|XP_037923105.1|HILL
OG0001298	LOC6598769|XP_026849399.1|DPER	LOC119652500|XP_037912615.1|HILL, LOC119659762|XP_037923951.1|HILL, LOC119658977|XP_037922785.1|HILL
OG0001299	LOC113566334|XP_026847369.1|DPER	LOC119649607|XP_037907753.1|HILL
OG0001300	LOC6594485|XP_002019751.1|DPER	LOC119655461|XP_037917290.1|HILL
OG0001301	LOC6593724|XP_002019102.1|DPER	LOC119654217|XP_037915358.1|HILL
OG0001302	LOC6589957|XP_026841109.1|DPER	LOC119658796|XP_037922442.1|HILL, LOC119658797|XP_037922444.1|HILL, LOC119658798|XP_037922445.1|HILL, LOC119658800|XP_037922447.1|HILL
OG0001303	LOC6588563|XP_002014182.1|DPER	LOC119657687|XP_037920649.1|HILL
OG0001304	LOC6602092|XP_002027137.1|DPER	LOC119653815|XP_037914773.1|HILL
OG0001305	LOC6592057|XP_026850520.1|DPER	LOC119658890|XP_037922616.1|HILL
OG0001306	LOC6588483|XP_002014160.1|DPER	LOC119658704|XP_037922241.1|HILL, LOC119659011|XP_037922824.1|HILL, LOC119659009|XP_037922822.1|HILL
OG0001307	LOC6602965|XP_002027976.1|DPER, LOC6594014|XP_002019636.1|DPER, LOC6602940|XP_002027991.1|DPER	LOC119659990|XP_037924289.1|HILL
OG0001308	LOC6600133|XP_026846662.1|DPER	LOC119653629|XP_037914332.1|HILL
OG0001309	LOC6592026|XP_002017298.2|DPER	LOC119660286|XP_037924685.1|HILL
OG0001310	LOC6597332|XP_026846497.1|DPER	LOC119655898|XP_037917977.1|HILL
OG0001311	LOC6601743|XP_026847066.1|DPER, LOC6588833|XP_002014685.2|DPER	LOC119656610|XP_037918975.1|HILL
OG0001313	LOC6590756|XP_002016148.1|DPER	LOC119648111|XP_037905557.1|HILL
OG0001314	LOC6598021|XP_026843858.1|DPER	LOC119657885|XP_037920950.1|HILL
OG0001318	LOC6592052|XP_026842396.1|DPER	LOC119646413|XP_037902790.1|HILL
OG0001320	LOC113566185|XP_026846456.1|DPER, LOC6591108|XP_026841473.1|DPER, LOC6588255|XP_002012899.2|DPER	LOC119654141|XP_037915233.1|HILL
OG0001321	LOC6590490|XP_002015759.1|DPER	LOC119661425|XP_037926696.1|HILL, LOC119646386|XP_037902757.1|HILL
OG0001326	LOC6595334|XP_026839998.1|DPER	LOC119652653|XP_037912831.1|HILL
OG0001328	LOC6603470|XP_002028449.2|DPER	LOC119654838|XP_037916341.1|HILL, LOC119657878|XP_037920937.1|HILL
OG0001329	LOC6597218|XP_026846480.1|DPER	LOC119658047|XP_037921219.1|HILL
OG0001330	LOC6599305|XP_026848240.1|DPER	LOC119657748|XP_037920727.1|HILL
OG0001331	LOC6596751|XP_002021934.2|DPER	LOC119656876|XP_037919468.1|HILL
OG0001332	LOC6600678|XP_026848606.1|DPER	LOC119656586|XP_037918919.1|HILL
OG0001333	LOC6596330|XP_002021468.2|DPER	LOC119656813|XP_037919365.1|HILL
OG0001334	LOC6594781|XP_026851029.1|DPER	LOC119657942|XP_037921060.1|HILL
OG0001335	LOC6591876|XP_026845009.1|DPER	LOC119652343|XP_037912293.1|HILL
OG0001337	LOC6602668|XP_002027708.2|DPER	LOC119657100|XP_037919783.1|HILL
OG0001338	LOC6589978|XP_026840597.1|DPER	LOC119657367|XP_037920178.1|HILL
OG0001339	LOC6592189|XP_026842460.1|DPER	LOC119655050|XP_037916668.1|HILL
OG0001340	LOC6591845|XP_026851090.1|DPER	LOC119649314|XP_037907349.1|HILL
OG0001341	LOC6594806|XP_026842708.1|DPER	LOC119651654|XP_037911265.1|HILL
OG0001342	LOC6594968|XP_026848457.1|DPER	LOC119653250|XP_037913786.1|HILL
OG0001343	LOC6587184|XP_026840312.1|DPER	LOC119652246|XP_037912155.1|HILL, LOC119651876|XP_037911617.1|HILL
OG0001344	LOC6594753|XP_026851091.1|DPER	LOC119651796|XP_037911507.1|HILL
OG0001345	LOC6598642|XP_002023823.1|DPER	LOC119652847|XP_037913127.1|HILL
OG0001346	LOC113566678|XP_026849187.1|DPER, LOC113566677|XP_026849181.1|DPER, LOC6595292|XP_002020358.1|DPER, LOC113566679|XP_026849196.1|DPER	LOC119651609|XP_037911190.1|HILL
OG0001347	LOC6600197|XP_002025328.2|DPER, LOC6602155|XP_002027200.1|DPER, LOC6601532|XP_002026593.1|DPER	LOC119656995|XP_037919658.1|HILL
OG0001348	LOC6600674|XP_002025747.1|DPER	LOC119646138|XP_037902422.1|HILL
OG0001349	LOC6601216|XP_026848076.1|DPER	LOC119650338|XP_037908930.1|HILL, LOC119648621|XP_037906319.1|HILL
OG0001350	LOC6598998|XP_026847955.1|DPER	LOC119656031|XP_037918222.1|HILL
OG0001351	LOC6590033|XP_002016307.1|DPER	LOC119646934|XP_037903549.1|HILL
OG0001352	LOC6592911|XP_026841475.1|DPER	LOC119646485|XP_037902868.1|HILL
OG0001353	LOC6597042|XP_002022202.1|DPER	LOC119657814|XP_037920854.1|HILL
OG0001354	LOC6592527|XP_026841656.1|DPER	LOC119661661|XP_037927022.1|HILL
OG0001355	LOC6590822|XP_002016476.1|DPER	LOC119647144|XP_037903866.1|HILL
OG0001356	LOC6594025|XP_002019723.1|DPER	LOC119659914|XP_037924167.1|HILL
OG0001357	LOC6595907|XP_002020965.1|DPER	LOC119650158|XP_037908633.1|HILL, LOC119650159|XP_037908634.1|HILL, LOC119655198|XP_037916898.1|HILL
OG0001358	LOC6595827|XP_026845402.1|DPER	LOC119649831|XP_037908101.1|HILL
OG0001359	LOC6593425|XP_002019131.1|DPER	LOC119649801|XP_037908041.1|HILL
OG0001360	LOC6592782|XP_002018433.1|DPER	LOC119660268|XP_037924655.1|HILL
OG0001361	LOC6601940|XP_002026982.1|DPER	LOC119649638|XP_037907817.1|HILL
OG0001362	LOC6601934|XP_002026976.1|DPER	LOC119649515|XP_037907624.1|HILL
OG0001363	LOC6594450|XP_002019915.1|DPER	LOC119660259|XP_037924645.1|HILL
OG0001364	LOC6601346|XP_026842484.1|DPER	LOC119653200|XP_037913699.1|HILL
OG0001365	LOC6600386|XP_002025474.1|DPER, LOC6592168|XP_002017453.1|DPER, LOC6599658|XP_002024580.1|DPER	LOC119648268|XP_037905850.1|HILL
OG0001366	LOC6599580|XP_026849592.1|DPER, LOC6588321|XP_026851257.1|DPER	LOC119649229|XP_037907216.1|HILL
OG0001367	LOC6590606|XP_026841935.1|DPER	LOC119646490|XP_037902877.1|HILL
OG0001368	LOC6592853|XP_002018280.1|DPER	LOC119658811|XP_037922460.1|HILL
OG0001369	LOC6598183|XP_002023357.1|DPER	LOC119654759|XP_037916228.1|HILL
OG0001370	LOC6593137|XP_026842100.1|DPER	LOC119646383|XP_037902755.1|HILL
OG0001371	LOC6589881|XP_026844715.1|DPER	LOC119653164|XP_037913632.1|HILL
OG0001373	LOC6596551|XP_002021688.2|DPER	LOC119653079|XP_037913495.1|HILL
OG0001374	LOC6603535|XP_026843168.1|DPER, LOC6600884|XP_002025948.1|DPER	LOC119661235|XP_037926392.1|HILL
OG0001375	LOC6592141|XP_026850631.1|DPER	LOC119659993|XP_037924293.1|HILL
OG0001376	LOC6591022|XP_002016641.1|DPER	LOC119646276|XP_037902613.1|HILL
OG0001377	LOC6589429|XP_026844348.1|DPER	LOC119650354|XP_037908968.1|HILL
OG0001378	LOC6593491|XP_026843785.1|DPER, LOC6593345|XP_026843339.1|DPER	LOC119656648|XP_037919037.1|HILL, LOC119657864|XP_037920917.1|HILL
OG0001379	LOC6588898|XP_026844363.1|DPER	LOC119651100|XP_037910387.1|HILL
OG0001380	LOC6602129|XP_026842216.1|DPER	LOC119661414|XP_037926677.1|HILL
OG0001381	LOC6590738|XP_002016001.1|DPER	LOC119647953|XP_037905272.1|HILL
OG0001382	LOC6593307|XP_026842988.1|DPER	LOC119661475|XP_037926765.1|HILL
OG0001383	LOC6588827|XP_026844695.1|DPER, LOC6591257|XP_002015457.1|DPER	LOC119647254|XP_037904062.1|HILL
OG0001384	LOC6597983|XP_002023121.1|DPER, LOC6597981|XP_026843593.1|DPER	LOC119650590|XP_037909365.1|HILL
OG0001385	LOC113565842|XP_026844978.1|DPER	LOC119648519|XP_037906217.1|HILL
OG0001386	LOC6588725|XP_026844629.1|DPER	LOC119648014|XP_037905349.1|HILL
OG0001387	LOC6593638|XP_002018691.1|DPER	LOC119658144|XP_037921342.1|HILL
OG0001388	LOC6589301|XP_002014392.2|DPER	LOC119647241|XP_037904032.1|HILL
OG0001389	LOC6595024|XP_002020176.1|DPER	LOC119652995|XP_037913350.1|HILL
OG0001390	LOC6595512|XP_026843979.1|DPER	LOC119659069|XP_037922906.1|HILL
OG0001391	LOC6595787|XP_026845390.1|DPER, LOC6598070|XP_026843206.1|DPER	LOC119659041|XP_037922869.1|HILL, LOC119660450|XP_037924937.1|HILL
OG0001392	LOC6599319|XP_002024562.2|DPER	LOC119654285|XP_037915501.1|HILL
OG0001393	LOC6599443|XP_002024507.1|DPER, LOC6588350|XP_002013779.1|DPER	LOC119658993|XP_037922803.1|HILL
OG0001394	LOC6588724|XP_002014366.1|DPER	LOC119660939|XP_037925866.1|HILL
OG0001395	LOC6594097|XP_002019689.1|DPER, LOC6594017|XP_002019639.1|DPER, LOC6603557|XP_002028537.1|DPER, LOC6591668|XP_002016997.2|DPER	LOC119659967|XP_037924255.1|HILL
OG0001396	LOC6603056|XP_002028078.1|DPER, LOC6598215|XP_002023340.1|DPER	LOC119654659|XP_037916078.1|HILL
OG0001397	LOC6594593|XP_026850492.1|DPER	LOC119660543|XP_037925106.1|HILL
OG0001398	LOC6600082|XP_026845115.1|DPER	LOC119658900|XP_037922631.1|HILL, LOC119660834|XP_037925631.1|HILL
OG0001399	LOC113565100|XP_026841518.1|DPER	LOC119653725|XP_037914561.1|HILL
OG0001400	LOC6587575|XP_026840480.1|DPER	LOC119649562|XP_037907686.1|HILL, LOC119649358|XP_037907399.1|HILL
OG0001401	LOC6596001|XP_002021022.2|DPER	LOC119650076|XP_037908503.1|HILL
OG0001402	LOC6601874|XP_002026923.2|DPER	LOC119649300|XP_037907323.1|HILL
OG0001403	LOC6602394|XP_026848448.1|DPER	LOC119657757|XP_037920740.1|HILL
OG0001404	LOC6592752|XP_026840626.1|DPER	LOC119653478|XP_037914032.1|HILL
OG0001405	LOC6601610|XP_002026646.1|DPER	LOC119654372|XP_037915653.1|HILL, LOC119654030|XP_037915121.1|HILL, LOC119655178|XP_037916858.1|HILL, LOC119654029|XP_037915120.1|HILL
OG0001406	LOC6589541|XP_002015069.1|DPER, LOC6599197|XP_002024354.1|DPER, LOC113564917|XP_026840134.1|DPER	LOC119655945|XP_037918064.1|HILL
OG0001407	LOC113565552|XP_026843665.1|DPER, LOC6604436|XP_026843659.1|DPER, LOC113565535|XP_026843631.1|DPER, LOC6601396|XP_002026499.1|DPER	LOC119649363|XP_037907405.1|HILL
OG0001408	LOC6603679|XP_002028651.1|DPER	LOC119653786|XP_037914717.1|HILL, LOC119653785|XP_037914716.1|HILL, LOC119649778|XP_037908008.1|HILL, LOC119649900|XP_037908222.1|HILL, LOC119649959|XP_037908323.1|HILL, LOC119653782|XP_037914712.1|HILL, LOC119655494|XP_037917324.1|HILL, LOC119654611|XP_037916011.1|HILL
OG0001411	LOC6587383|XP_026843189.1|DPER	LOC119661783|XP_037927187.1|HILL, LOC119652314|XP_037912255.1|HILL, LOC119646991|XP_037903634.1|HILL
OG0001412	LOC6594371|XP_002019339.1|DPER, LOC6589810|XP_002015337.2|DPER	LOC119646959|XP_037903583.1|HILL
OG0001415	LOC6590539|XP_002016220.1|DPER, LOC6590330|XP_002016219.1|DPER	LOC119646748|XP_037903254.1|HILL, LOC119646710|XP_037903216.1|HILL
OG0001429	LOC6588368|XP_002013613.1|DPER	LOC119653219|XP_037913722.1|HILL, LOC119652468|XP_037912562.1|HILL
OG0001430	LOC6588504|XP_026840579.1|DPER	LOC119647554|XP_037904478.1|HILL, LOC119656740|XP_037919217.1|HILL
OG0001432	LOC6596857|XP_026845851.1|DPER	LOC119657036|XP_037919718.1|HILL
OG0001433	LOC6599388|XP_026847218.1|DPER, LOC6587717|XP_026844659.1|DPER	LOC119652346|XP_037912300.1|HILL
OG0001434	LOC6599332|XP_026850173.1|DPER	LOC119656546|XP_037918836.1|HILL
OG0001435	LOC6592766|XP_002017818.1|DPER, LOC6597470|XP_002022636.2|DPER	LOC119656806|XP_037919345.1|HILL
OG0001436	LOC6596529|XP_002021726.1|DPER, LOC6600094|XP_002025207.1|DPER	LOC119656606|XP_037918968.1|HILL
OG0001437	LOC6589658|XP_002014519.1|DPER	LOC119659054|XP_037922891.1|HILL
OG0001438	LOC113566541|XP_026848384.1|DPER, LOC6604413|XP_002029311.2|DPER, LOC6603776|XP_002028743.2|DPER, LOC6600375|XP_002025463.2|DPER, LOC6594759|XP_002020096.1|DPER	LOC119656888|XP_037919486.1|HILL
OG0001439	LOC6587797|XP_002013706.1|DPER	LOC119659035|XP_037922858.1|HILL
OG0001440	LOC6597340|XP_002022542.2|DPER	LOC119651352|XP_037910839.1|HILL
OG0001441	LOC6597233|XP_002022528.1|DPER	LOC119656960|XP_037919608.1|HILL
OG0001442	LOC6593421|XP_002019127.1|DPER	LOC119657508|XP_037920372.1|HILL
OG0001443	LOC6594734|XP_002020560.2|DPER	LOC119653014|XP_037913378.1|HILL
OG0001444	LOC6587884|XP_026850951.1|DPER	LOC119657226|XP_037919966.1|HILL, LOC119657317|XP_037920104.1|HILL, LOC119658133|XP_037921330.1|HILL
OG0001445	LOC6591104|XP_002016258.1|DPER, LOC6591321|XP_026841990.1|DPER	LOC119650719|XP_037909661.1|HILL
OG0001446	LOC6598802|XP_002023974.1|DPER	LOC119650743|XP_037909739.1|HILL
OG0001447	LOC6594467|XP_026840406.1|DPER	LOC119655582|XP_037917453.1|HILL
OG0001448	LOC6595335|XP_026839997.1|DPER	LOC119652654|XP_037912834.1|HILL
OG0001449	LOC6600975|XP_002026013.1|DPER	LOC119650287|XP_037908845.1|HILL
OG0001450	LOC6588785|XP_002014256.1|DPER	LOC119657746|XP_037920724.1|HILL
OG0001451	LOC6591006|XP_002015573.1|DPER	LOC119661787|XP_037927198.1|HILL
OG0001452	LOC6590114|XP_026841651.1|DPER	LOC119647289|XP_037904121.1|HILL
OG0001453	LOC6597106|XP_026845239.1|DPER	LOC119649865|XP_037908164.1|HILL
OG0001454	LOC6587360|XP_026849585.1|DPER	LOC119659256|XP_037923175.1|HILL
OG0001455	LOC6600540|XP_026847681.1|DPER	LOC119648164|XP_037905667.1|HILL
OG0001456	LOC6591279|XP_026842655.1|DPER	LOC119649465|XP_037907551.1|HILL
OG0001457	LOC6590898|XP_002016265.1|DPER	LOC119661698|XP_037927072.1|HILL
OG0001458	LOC6590223|XP_026841800.1|DPER	LOC119646766|XP_037903273.1|HILL
OG0001459	LOC6602832|XP_002027797.2|DPER	LOC119649746|XP_037907963.1|HILL
OG0001460	LOC6602064|XP_026840774.1|DPER	LOC119647907|XP_037905148.1|HILL
OG0001461	LOC6597677|XP_002022831.2|DPER, LOC6598874|XP_002024047.2|DPER	LOC119655555|XP_037917406.1|HILL
OG0001462	LOC6596212|XP_002021280.2|DPER	LOC119647439|XP_037904286.1|HILL
OG0001463	LOC6592054|XP_026844511.1|DPER	LOC119658997|XP_037922807.1|HILL
OG0001464	LOC6600155|XP_002025238.1|DPER	LOC119660865|XP_037925689.1|HILL
OG0001465	LOC6592520|XP_002017678.1|DPER	LOC119661306|XP_037926524.1|HILL
OG0001466	LOC6603065|XP_026843114.1|DPER, LOC6603066|XP_002028059.1|DPER	LOC119647116|XP_037903831.1|HILL
OG0001467	LOC6589802|XP_002015147.1|DPER	LOC119646387|XP_037902758.1|HILL
OG0001468	LOC113566734|XP_026849446.1|DPER	LOC119649357|XP_037907395.1|HILL
OG0001469	LOC6592250|XP_002017636.1|DPER	LOC119660627|XP_037925261.1|HILL
OG0001470	LOC6595752|XP_026845373.1|DPER	LOC119650028|XP_037908433.1|HILL
OG0001471	LOC6603312|XP_026849884.1|DPER, LOC113566894|XP_026849858.1|DPER	LOC119650245|XP_037908763.1|HILL
OG0001472	LOC6602351|XP_002027430.2|DPER, LOC6599789|XP_002024876.1|DPER	LOC119648953|XP_037906799.1|HILL
OG0001474	LOC6603078|XP_002028120.2|DPER, LOC6590762|XP_002015394.1|DPER	LOC119655942|XP_037918063.1|HILL
OG0001475	LOC6590147|XP_026841527.1|DPER, LOC113565027|XP_026840613.1|DPER	LOC119646535|XP_037902929.1|HILL
OG0001476	LOC6603244|XP_026841380.1|DPER	LOC119646631|XP_037903069.1|HILL
OG0001477	LOC6587798|XP_002012830.1|DPER	LOC119653829|XP_037914803.1|HILL
OG0001478	LOC6589868|XP_026844573.1|DPER	LOC119652561|XP_037912697.1|HILL, LOC119652209|XP_037912077.1|HILL
OG0001480	LOC6600213|XP_002025313.1|DPER, LOC6589498|XP_002014588.1|DPER	LOC119661320|XP_037926543.1|HILL
OG0001481	LOC6596450|XP_026843324.1|DPER	LOC119652936|XP_037913257.1|HILL
OG0001482	LOC6590734|XP_002015997.2|DPER	LOC119653980|XP_037915070.1|HILL
OG0001483	LOC6597932|XP_026843794.1|DPER	LOC119653092|XP_037913523.1|HILL
OG0001484	LOC6589548|XP_002015076.1|DPER	LOC119647542|XP_037904460.1|HILL, LOC119647544|XP_037904463.1|HILL
OG0001485	LOC6595812|XP_002021290.1|DPER	LOC119649244|XP_037907238.1|HILL
OG0001486	LOC6589116|XP_002015272.1|DPER	LOC119652475|XP_037912573.1|HILL
OG0001487	LOC113565507|XP_026843542.1|DPER, LOC113565502|XP_026843514.1|DPER, LOC113565497|XP_026843498.1|DPER, LOC113565474|XP_026843399.1|DPER	LOC119651066|XP_037910330.1|HILL
OG0001488	LOC6590271|XP_002015474.1|DPER	LOC119661214|XP_037926365.1|HILL, LOC119657365|XP_037920176.1|HILL, LOC119661305|XP_037926523.1|HILL, LOC119651417|XP_037910940.1|HILL, LOC119661215|XP_037926367.1|HILL
OG0001489	LOC6596472|XP_026843559.1|DPER	LOC119651713|XP_037911355.1|HILL
OG0001490	LOC6596426|XP_002021824.1|DPER	LOC119651715|XP_037911364.1|HILL
OG0001491	LOC6589437|XP_026844235.1|DPER	LOC119646618|XP_037903052.1|HILL
OG0001492	LOC113566257|XP_026846886.1|DPER	LOC119646771|XP_037903281.1|HILL
OG0001493	LOC6588602|XP_002013210.1|DPER, LOC6602899|XP_002027922.2|DPER	LOC119655859|XP_037917907.1|HILL
OG0001494	LOC6604521|XP_026849312.1|DPER	LOC119655481|XP_037917309.1|HILL
OG0001495	LOC113565143|XP_026841991.1|DPER, LOC6596188|XP_002021117.1|DPER	LOC119653406|XP_037913898.1|HILL
OG0001496	LOC6603310|XP_026849883.1|DPER, LOC6600777|XP_026845161.1|DPER	LOC119655329|XP_037917098.1|HILL
OG0001497	LOC6593271|XP_002018189.1|DPER	LOC119657909|XP_037921011.1|HILL
OG0001498	LOC6594201|XP_026850736.1|DPER	LOC119659865|XP_037924105.1|HILL
OG0001500	LOC6601546|XP_026841468.1|DPER, LOC6601544|XP_002026691.2|DPER	LOC119655204|XP_037916903.1|HILL
OG0001501	LOC6591872|XP_026851158.1|DPER	LOC119659833|XP_037924057.1|HILL, LOC119660373|XP_037924818.1|HILL
OG0001502	LOC6590545|XP_002016226.1|DPER	LOC119652025|XP_037911887.1|HILL, LOC119660909|XP_037925784.1|HILL
OG0001503	LOC6589993|XP_002015598.1|DPER	LOC119655492|XP_037917322.1|HILL
OG0001504	LOC6600118|XP_026846712.1|DPER	LOC119656214|XP_037918538.1|HILL
OG0001506	LOC6590798|XP_026840770.1|DPER	LOC119655596|XP_037917481.1|HILL
OG0001507	LOC6592587|XP_002018069.2|DPER	LOC119655846|XP_037917889.1|HILL
OG0001508	LOC6593269|XP_026841226.1|DPER	LOC119655979|XP_037918140.1|HILL, LOC119655613|XP_037917511.1|HILL
OG0001509	LOC6590359|XP_026842350.1|DPER	LOC119656162|XP_037918432.1|HILL
OG0001510	LOC6588729|XP_026844043.1|DPER	LOC119650653|XP_037909517.1|HILL
OG0001511	LOC6592510|XP_026842156.1|DPER	LOC119653884|XP_037914930.1|HILL
OG0001512	LOC6597194|XP_026845575.1|DPER	LOC119655067|XP_037916688.1|HILL
OG0001513	LOC6596201|XP_026845230.1|DPER	LOC119649806|XP_037908045.1|HILL
OG0001515	LOC6596839|XP_002022020.1|DPER, LOC6587967|XP_002013325.1|DPER	LOC119655346|XP_037917125.1|HILL
OG0001517	LOC6595188|XP_002020044.2|DPER	LOC119657938|XP_037921054.1|HILL
OG0001518	LOC6597501|XP_026849291.1|DPER	LOC119651003|XP_037910217.1|HILL, LOC119651847|XP_037911574.1|HILL, LOC119651848|XP_037911577.1|HILL, LOC119651841|XP_037911567.1|HILL, LOC119651846|XP_037911573.1|HILL, LOC119651844|XP_037911571.1|HILL, LOC119651843|XP_037911570.1|HILL, LOC119651842|XP_037911568.1|HILL
OG0001519	LOC6594442|XP_002019554.1|DPER	LOC119648557|XP_037906255.1|HILL, LOC119659587|XP_037923674.1|HILL, LOC119648556|XP_037906254.1|HILL
OG0001524	LOC6600941|XP_002026043.2|DPER, LOC6600940|XP_026842228.1|DPER	LOC119646742|XP_037903249.1|HILL
OG0001527	LOC6597861|XP_002023054.1|DPER, LOC6597862|XP_026846985.1|DPER	LOC119657502|XP_037920364.1|HILL
OG0001534	LOC6596893|XP_026845535.1|DPER	LOC119656541|XP_037918815.1|HILL
OG0001535	LOC6597894|XP_002023021.1|DPER	LOC119657486|XP_037920336.1|HILL
OG0001536	LOC6599292|XP_002024257.1|DPER	LOC119646612|XP_037903042.1|HILL
OG0001537	LOC6589668|XP_002014575.1|DPER	LOC119657890|XP_037920961.1|HILL
OG0001538	LOC6604509|XP_026845126.1|DPER	LOC119657148|XP_037919853.1|HILL, LOC119649612|XP_037907760.1|HILL, LOC119656720|XP_037919175.1|HILL, LOC119656719|XP_037919174.1|HILL
OG0001539	LOC6590295|XP_026840955.1|DPER	LOC119656642|XP_037919018.1|HILL
OG0001540	LOC6601046|XP_002026134.1|DPER, LOC6587642|XP_002013250.2|DPER, LOC6589062|XP_002014550.1|DPER	LOC119652333|XP_037912272.1|HILL
OG0001541	LOC113566501|XP_026848196.1|DPER	LOC119661222|XP_037926404.1|HILL, LOC119660851|XP_037926108.1|HILL, LOC119660158|XP_037924890.1|HILL, LOC119646856|XP_037903407.1|HILL, LOC119658780|XP_037922410.1|HILL
OG0001542	LOC6591611|XP_026848213.1|DPER	LOC119655166|XP_037916846.1|HILL
OG0001543	LOC6598264|XP_026846200.1|DPER	LOC119656597|XP_037918952.1|HILL
OG0001544	LOC6597604|XP_026848894.1|DPER	LOC119657629|XP_037920561.1|HILL
OG0001545	LOC6600109|XP_026846678.1|DPER	LOC119657564|XP_037920451.1|HILL, LOC119657548|XP_037920428.1|HILL
OG0001546	LOC6600111|XP_026846651.1|DPER	LOC119656786|XP_037919302.1|HILL
OG0001548	LOC6588892|XP_026844612.1|DPER, LOC113566133|XP_026846224.1|DPER	LOC119657373|XP_037920185.1|HILL
OG0001549	LOC6589460|XP_026844808.1|DPER	LOC119650735|XP_037909704.1|HILL
OG0001550	LOC6587657|XP_002012887.1|DPER	LOC119658946|XP_037922743.1|HILL
OG0001551	LOC6598831|XP_026849416.1|DPER	LOC119652541|XP_037912674.1|HILL
OG0001552	LOC6595038|XP_002020365.1|DPER	LOC119651886|XP_037911635.1|HILL
OG0001553	LOC6599327|XP_026847156.1|DPER	LOC119653576|XP_037914245.1|HILL
OG0001554	LOC6588050|XP_026840195.1|DPER	LOC119651111|XP_037910405.1|HILL
OG0001555	LOC6589404|XP_002015293.1|DPER	LOC119661540|XP_037926852.1|HILL, LOC119659822|XP_037924038.1|HILL
OG0001556	LOC6593149|XP_002018526.1|DPER	LOC119659266|XP_037923193.1|HILL
OG0001557	LOC6600353|XP_026848391.1|DPER	LOC119660775|XP_037925478.1|HILL
OG0001558	LOC6604350|XP_026847468.1|DPER, LOC113566717|XP_026849391.1|DPER	LOC119658461|XP_037921793.1|HILL
OG0001559	LOC6587199|XP_002013514.1|DPER	LOC119652859|XP_037913143.1|HILL
OG0001560	LOC6588536|XP_026839942.1|DPER	LOC119658725|XP_037922308.1|HILL
OG0001561	LOC6587571|XP_002013102.1|DPER	LOC119652816|XP_037913068.1|HILL, LOC119652603|XP_037912763.1|HILL
OG0001562	LOC6593543|XP_002019133.1|DPER	LOC119649645|XP_037907828.1|HILL
OG0001563	LOC6591732|XP_026846045.1|DPER	LOC119656807|XP_037919347.1|HILL
OG0001564	LOC6587895|XP_026840532.1|DPER	LOC119650926|XP_037910081.1|HILL
OG0001565	LOC6587242|XP_002013663.1|DPER	LOC119659375|XP_037923359.1|HILL
OG0001566	LOC6597541|XP_002022671.2|DPER, LOC6588074|XP_002013352.1|DPER	LOC119653247|XP_037913780.1|HILL
OG0001567	LOC6592575|XP_002017740.1|DPER	LOC119655577|XP_037917438.1|HILL
OG0001569	LOC6587430|XP_026846398.1|DPER	LOC119651771|XP_037911451.1|HILL
OG0001570	LOC6587663|XP_002014044.2|DPER	LOC119650909|XP_037910058.1|HILL
OG0001571	LOC6589199|XP_002014361.1|DPER	LOC119653208|XP_037913703.1|HILL
OG0001572	LOC6603095|XP_002028105.2|DPER	LOC119661524|XP_037926828.1|HILL
OG0001573	LOC6599687|XP_026847409.1|DPER	LOC119649346|XP_037907382.1|HILL
OG0001574	LOC6598333|XP_002023461.2|DPER	LOC119649303|XP_037907328.1|HILL, LOC119661447|XP_037926718.1|HILL
OG0001575	LOC6588336|XP_002013422.1|DPER	LOC119653103|XP_037913546.1|HILL
OG0001576	LOC6594426|XP_002019758.1|DPER	LOC119646441|XP_037902819.1|HILL
