Orthogroup	DPER.longest_only	CQUI.longest_only
OG0001006	LOC6600640|XP_002025651.2|DPER	LOC6032307|XP_001842939.1|CQUI
OG0001007	LOC6590156|XP_002016578.1|DPER	LOC6032328|XP_001842958.1|CQUI
OG0001008	LOC6603108|XP_002028093.1|DPER	LOC6054260|XP_001870205.2|CQUI
OG0001009	LOC6591673|XP_002016888.1|DPER, LOC6594917|XP_002020125.1|DPER	LOC6038900|XP_001848599.2|CQUI
OG0001019	LOC6587304|XP_002013005.1|DPER	LOC6052564|XP_001868810.2|CQUI
OG0001020	LOC6599375|XP_002024549.1|DPER	LOC6047041|XP_001864149.2|CQUI, LOC6047042|XP_038104222.1|CQUI, LOC6047044|XP_001864152.2|CQUI, LOC6047043|XP_001864151.2|CQUI
OG0001021	LOC113565421|XP_026843158.1|DPER	LOC6050121|XP_038116561.1|CQUI, LOC6050119|XP_038116583.1|CQUI, LOC119768888|XP_038116570.1|CQUI
OG0001022	LOC6602844|XP_002027870.1|DPER	LOC6034409|XP_001844727.1|CQUI
OG0001023	LOC6595235|XP_002020257.1|DPER	LOC119769003|XP_038116803.1|CQUI
OG0001024	LOC6588193|XP_002012994.1|DPER	LOC6034941|XP_001845202.2|CQUI, LOC6048000|XP_001864975.2|CQUI
OG0001025	LOC6596133|XP_002021097.1|DPER	LOC6044075|XP_038116060.1|CQUI
OG0001026	LOC6590551|XP_002016231.1|DPER	LOC6037044|XP_001847005.2|CQUI, LOC6037036|XP_001846998.2|CQUI
OG0001027	LOC6595821|XP_026845283.1|DPER	LOC6036423|XP_001846475.1|CQUI, LOC6036424|XP_038121459.1|CQUI
OG0001028	LOC6596609|XP_002021605.1|DPER	LOC6053346|XP_001869449.2|CQUI, LOC119769210|XP_038117057.1|CQUI, LOC6031308|XP_001842125.1|CQUI
OG0001029	LOC6592205|XP_002017840.1|DPER	LOC6032857|XP_038119110.1|CQUI, LOC6050363|XP_038106167.1|CQUI, LOC119770391|XP_038121084.1|CQUI, LOC119769344|XP_038117302.1|CQUI, LOC119767080|XP_038110521.1|CQUI
OG0001031	LOC6593548|XP_026843852.1|DPER, LOC6593647|XP_026844596.1|DPER	LOC6038935|XP_038109238.1|CQUI
OG0001032	LOC6597923|XP_026843427.1|DPER	LOC6035231|XP_001845460.2|CQUI
OG0001033	LOC6589258|XP_026844114.1|DPER, LOC6599988|XP_026849155.1|DPER	LOC6036914|XP_038107537.1|CQUI
OG0001042	LOC6595062|XP_002020416.1|DPER	LOC6051046|XP_038122684.1|CQUI, LOC6053042|XP_038105133.1|CQUI, LOC6053041|XP_038122772.1|CQUI
OG0001043	LOC6597811|XP_002022943.1|DPER	LOC6034458|XP_001844771.2|CQUI, LOC6034459|XP_001844772.1|CQUI
OG0001044	LOC6590851|XP_002016364.1|DPER	LOC6033008|XP_001843518.2|CQUI, LOC6030844|XP_038115176.1|CQUI, LOC119767848|XP_038113446.1|CQUI, LOC6052536|XP_001868789.2|CQUI
OG0001045	LOC6590815|XP_026841175.1|DPER	LOC6049796|XP_001866502.2|CQUI, LOC6046964|XP_001864077.2|CQUI, LOC6049795|XP_001866501.2|CQUI, LOC6040700|XP_001850055.1|CQUI
OG0001046	LOC6592667|XP_002018391.1|DPER	LOC6037425|XP_001847339.1|CQUI
OG0001047	LOC6592751|XP_002017868.1|DPER	LOC6052938|XP_001869113.1|CQUI
OG0001048	LOC6592711|XP_002018078.1|DPER	LOC6030972|XP_001841824.2|CQUI, LOC6037859|XP_038106191.1|CQUI, LOC6036643|XP_038113731.1|CQUI
OG0001049	LOC6595456|XP_002020889.1|DPER, LOC6599675|XP_002024807.2|DPER	LOC6043980|XP_038117725.1|CQUI
OG0001050	LOC6587782|XP_002012768.2|DPER, LOC6599758|XP_002024878.1|DPER, LOC6588958|XP_002014341.1|DPER	LOC6033574|XP_038117779.1|CQUI
OG0001051	LOC6589449|XP_002014476.1|DPER	LOC6044460|XP_038112405.1|CQUI
OG0001052	LOC6589073|XP_002014522.1|DPER	LOC6034904|XP_038107542.1|CQUI
OG0001053	LOC113566194|XP_026846524.1|DPER, LOC6597402|XP_002022494.2|DPER	LOC6040511|XP_038120753.1|CQUI
OG0001054	LOC6587843|XP_002012745.1|DPER, LOC6587777|XP_002012746.1|DPER	LOC6046359|XP_001863576.2|CQUI
OG0001055	LOC6594157|XP_026840245.1|DPER	LOC6046753|XP_038118273.1|CQUI
OG0001056	LOC6603665|XP_026845775.1|DPER	LOC6034033|XP_038120245.1|CQUI
OG0001057	LOC6593374|XP_002019040.1|DPER, LOC6593373|XP_002019039.1|DPER	LOC6039782|XP_001849304.1|CQUI
OG0001058	LOC6596934|XP_026845640.1|DPER	LOC6031449|XP_038109731.1|CQUI
OG0001073	LOC6598750|XP_002023784.2|DPER	LOC6040802|XP_038122600.1|CQUI
OG0001074	LOC6590379|XP_002015481.1|DPER	LOC6040958|XP_001850279.1|CQUI
OG0001077	LOC6592151|XP_002016807.1|DPER	LOC6037330|XP_001847254.1|CQUI
OG0001078	LOC6601724|XP_026847007.1|DPER	LOC6032040|XP_001842707.2|CQUI, LOC6048058|XP_001865029.2|CQUI
OG0001079	LOC6601903|XP_002026952.2|DPER, LOC6604053|XP_026850184.1|DPER, LOC113566780|XP_026849676.1|DPER, LOC6604111|XP_026849643.1|DPER, LOC6603727|XP_026849521.1|DPER, LOC113566740|XP_026849520.1|DPER, LOC113566774|XP_026849642.1|DPER, LOC113566775|XP_026849644.1|DPER, LOC113566781|XP_026849677.1|DPER, LOC113566836|XP_026849807.1|DPER, LOC113567166|XP_026850140.1|DPER, LOC113566954|XP_026849997.1|DPER	LOC6051664|XP_001868064.2|CQUI
OG0001080	LOC6601038|XP_026849752.1|DPER	LOC6041053|XP_001850364.2|CQUI
OG0001081	LOC113565172|XP_026842217.1|DPER	LOC6041039|XP_001850350.2|CQUI, LOC6042831|XP_001870828.1|CQUI
OG0001082	LOC6598435|XP_026846128.1|DPER, LOC6598437|XP_026846126.1|DPER, LOC6593268|XP_002017919.1|DPER	LOC6043330|XP_038119590.1|CQUI
OG0001083	LOC113567101|XP_026850079.1|DPER, LOC6601217|XP_002026313.1|DPER	LOC6031062|XP_038119861.1|CQUI
OG0001084	LOC6590304|XP_026840668.1|DPER	LOC6042294|XP_038114789.1|CQUI, LOC6047368|XP_038115486.1|CQUI
OG0001085	LOC6602130|XP_002027102.1|DPER	LOC6042005|XP_038115817.1|CQUI
OG0001086	LOC6590020|XP_002016574.1|DPER	LOC6036258|XP_001846326.2|CQUI
OG0001088	LOC6600581|XP_026847597.1|DPER	LOC6040518|XP_001849904.2|CQUI, LOC6033568|XP_038117163.1|CQUI, LOC6049750|XP_038119401.1|CQUI
OG0001089	LOC6599787|XP_026847285.1|DPER	LOC6037275|XP_038117998.1|CQUI
OG0001090	LOC6595874|XP_026845576.1|DPER	LOC6034576|XP_038120156.1|CQUI, LOC6034579|XP_038120153.1|CQUI, LOC6034580|XP_038120154.1|CQUI
OG0001092	LOC6593748|XP_002018852.1|DPER	LOC6036149|XP_038109368.1|CQUI
OG0001093	LOC6598113|XP_002023269.1|DPER	LOC6036146|XP_001846236.2|CQUI
OG0001094	LOC6598086|XP_026843510.1|DPER	LOC6031336|XP_038112557.1|CQUI
OG0001095	LOC6602657|XP_002027676.2|DPER	LOC6049911|XP_001866601.1|CQUI, LOC6049910|XP_038111983.1|CQUI, LOC6049913|XP_001866603.1|CQUI
OG0001096	LOC6595704|XP_026844660.1|DPER	LOC6031955|XP_038113300.1|CQUI, LOC6031954|XP_038108739.1|CQUI
OG0001097	LOC113565686|XP_026844277.1|DPER	LOC6031863|XP_038109276.1|CQUI
OG0001099	LOC6602991|XP_002028018.1|DPER	LOC6040335|XP_001849740.2|CQUI
OG0001100	LOC6594666|XP_026841605.1|DPER	LOC6052097|XP_038112579.1|CQUI
OG0001101	LOC6589976|XP_026840594.1|DPER	LOC6037726|XP_038113843.1|CQUI
OG0001102	LOC6601953|XP_026849623.1|DPER	LOC6040098|XP_038110990.1|CQUI, LOC6040089|XP_038110333.1|CQUI
OG0001103	LOC6598605|XP_002023850.1|DPER	LOC6040179|XP_001849630.2|CQUI, LOC6040178|XP_038112931.1|CQUI, LOC6040177|XP_001849628.2|CQUI
OG0001104	LOC6591285|XP_026841023.1|DPER	LOC6051930|XP_001868284.2|CQUI
OG0001105	LOC6602893|XP_002027916.1|DPER	LOC6036714|XP_001846718.1|CQUI
OG0001106	LOC6602541|XP_026846779.1|DPER	LOC6047766|XP_038112893.1|CQUI, LOC6047173|XP_038113034.1|CQUI
OG0001118	LOC113566759|XP_026849595.1|DPER, LOC113566178|XP_026846367.1|DPER, LOC113566757|XP_026849593.1|DPER, LOC113566758|XP_026849594.1|DPER, LOC113566174|XP_026846363.1|DPER, LOC113566761|XP_026849597.1|DPER, LOC113566762|XP_026849598.1|DPER, LOC113566176|XP_026846365.1|DPER, LOC113566177|XP_026846366.1|DPER, LOC113566760|XP_026849596.1|DPER, LOC113566175|XP_026846364.1|DPER	LOC6053773|XP_001869802.1|CQUI
OG0001119	LOC6594399|XP_002019345.1|DPER	LOC6040361|XP_038114062.1|CQUI, LOC6048162|XP_038104643.1|CQUI
OG0001120	LOC6598804|XP_026851183.1|DPER	LOC6033952|XP_038104598.1|CQUI, LOC6033958|XP_038105273.1|CQUI
OG0001122	LOC6604104|XP_026850106.1|DPER, LOC6603658|XP_026849785.1|DPER, LOC113566828|XP_026849787.1|DPER, LOC113567157|XP_026850131.1|DPER, LOC6604114|XP_026849782.1|DPER, LOC113566827|XP_026849783.1|DPER, LOC6603657|XP_026849786.1|DPER, LOC6604125|XP_026850093.1|DPER, LOC6604087|XP_026849784.1|DPER, LOC113567119|XP_026850092.1|DPER, LOC113567161|XP_026850138.1|DPER, LOC6604210|XP_026848005.1|DPER	LOC6047533|XP_038119301.1|CQUI
OG0001124	LOC6588595|XP_026850803.1|DPER	LOC6044079|XP_038120683.1|CQUI
OG0001125	LOC6587936|XP_002013333.1|DPER	LOC6039443|XP_001849053.2|CQUI
OG0001127	LOC6596010|XP_002020999.1|DPER	LOC6052725|XP_001868949.2|CQUI, LOC6034690|XP_001844974.2|CQUI
OG0001128	LOC6590181|XP_002016334.2|DPER	LOC6030950|XP_038115818.1|CQUI, LOC6040847|XP_038111443.1|CQUI
OG0001129	LOC6588784|XP_026843915.1|DPER	LOC6041308|XP_038109340.1|CQUI
OG0001130	LOC6589276|XP_002014454.1|DPER, LOC6602924|XP_002027947.2|DPER	LOC6046734|XP_001863893.2|CQUI
OG0001131	LOC6601989|XP_026846838.1|DPER	LOC6044602|XP_038107721.1|CQUI, LOC6042975|XP_038110225.1|CQUI, LOC6044604|XP_038107498.1|CQUI
OG0001133	LOC6596614|XP_026843742.1|DPER	LOC6043724|XP_038111216.1|CQUI
OG0001134	LOC6590624|XP_026841099.1|DPER	LOC6033084|XP_038114885.1|CQUI, LOC119767284|XP_038111486.1|CQUI, LOC119768949|XP_038116716.1|CQUI
OG0001135	LOC6588013|XP_002013605.1|DPER	LOC6034993|XP_038120309.1|CQUI, LOC6039748|XP_001849295.2|CQUI
OG0001136	LOC6592084|XP_026840360.1|DPER, LOC6592073|XP_002017522.1|DPER	LOC6050340|XP_038118633.1|CQUI
OG0001137	LOC6588247|XP_002013400.1|DPER	LOC6050281|XP_001866914.2|CQUI
OG0001138	LOC6601036|XP_026849753.1|DPER	LOC6044622|XP_038109992.1|CQUI
OG0001139	LOC6602846|XP_002027875.1|DPER	LOC6034191|XP_001844546.2|CQUI
OG0001147	LOC6600968|XP_002026006.1|DPER	LOC6048224|XP_001865175.2|CQUI
OG0001153	LOC6590367|XP_026840936.1|DPER	LOC6047706|XP_038117452.1|CQUI
OG0001154	LOC6589018|XP_026844895.1|DPER	LOC6031240|XP_038109888.1|CQUI, LOC6044142|XP_038112928.1|CQUI
OG0001155	LOC6599267|XP_026848269.1|DPER	LOC119771163|XP_038122554.1|CQUI
OG0001157	LOC6588527|XP_026850640.1|DPER	LOC6031419|XP_001842227.2|CQUI
OG0001158	LOC6593710|XP_002018634.2|DPER	LOC6038004|XP_001847851.2|CQUI
OG0001159	LOC6594977|XP_026839930.1|DPER	LOC6050504|XP_038122553.1|CQUI
OG0001159	LOC6594979|XP_026841100.1|DPER	LOC6047617|XP_038105916.1|CQUI
OG0001160	LOC6587327|XP_002014020.1|DPER	LOC6035059|XP_038105567.1|CQUI, LOC119765010|XP_001845295.2|CQUI
OG0001162	LOC6592142|XP_002017278.1|DPER, LOC113567332|XP_026850587.1|DPER	LOC6037355|XP_038105872.1|CQUI
OG0001164	LOC6588621|XP_026851163.1|DPER, LOC6588396|XP_002012935.1|DPER	LOC6053766|XP_038105500.1|CQUI, LOC6042425|XP_038104494.1|CQUI
OG0001165	LOC6593163|XP_002018177.1|DPER	LOC6040940|XP_001850268.2|CQUI
OG0001167	LOC6590526|XP_002016455.2|DPER	LOC6053462|XP_038118279.1|CQUI
OG0001168	LOC6593148|XP_002018525.1|DPER	LOC119769703|XP_038119060.1|CQUI
OG0001169	LOC6598450|XP_002023577.1|DPER	LOC6050237|XP_038120378.1|CQUI, LOC6050236|XP_001866875.2|CQUI, LOC6046275|XP_001863502.2|CQUI
OG0001171	LOC6602498|XP_026848757.1|DPER	LOC6038611|XP_038115237.1|CQUI
OG0001172	LOC6590757|XP_002016149.1|DPER, LOC6590759|XP_002016151.1|DPER	LOC6040017|XP_038120821.1|CQUI
OG0001173	LOC6588636|XP_002013183.1|DPER	LOC6044092|XP_001861654.2|CQUI, LOC6039973|XP_038108775.1|CQUI, LOC6034249|XP_038113447.1|CQUI, LOC6048284|XP_001865224.1|CQUI
OG0001174	LOC6599464|XP_002024613.2|DPER	LOC6030890|XP_001841766.1|CQUI
OG0001175	LOC6592666|XP_002018390.1|DPER, LOC6602238|XP_002027268.1|DPER	LOC6041411|XP_001850674.1|CQUI
OG0001176	LOC6594907|XP_002020507.1|DPER, LOC6600881|XP_026842637.1|DPER	LOC6032450|XP_038112002.1|CQUI
OG0001177	LOC6589351|XP_026844960.1|DPER	LOC6033652|XP_038114034.1|CQUI
OG0001178	LOC6593081|XP_002017894.2|DPER	LOC6033262|XP_038111957.1|CQUI
OG0001179	LOC6590510|XP_026841353.1|DPER	LOC6036453|XP_038114387.1|CQUI
OG0001180	LOC6602021|XP_002027032.1|DPER	LOC6033626|XP_038112234.1|CQUI
OG0001181	LOC6588690|XP_002015059.1|DPER, LOC113565816|XP_026844829.1|DPER, LOC6596938|XP_026845636.1|DPER	LOC6046070|XP_038119931.1|CQUI
OG0001182	LOC6595106|XP_026840159.1|DPER	LOC6051010|XP_038121521.1|CQUI, LOC6051011|XP_038115128.1|CQUI
OG0001183	LOC6594123|XP_026847707.1|DPER, LOC113567100|XP_026850078.1|DPER	LOC6050625|XP_038121048.1|CQUI
OG0001185	LOC6594459|XP_026850304.1|DPER	LOC6047138|XP_038115095.1|CQUI
OG0001186	LOC113565958|XP_026845186.1|DPER, LOC6603949|XP_002028894.1|DPER, LOC113565957|XP_026845185.1|DPER, LOC6595363|XP_002020836.2|DPER, LOC6594162|XP_026850760.1|DPER	LOC6041144|XP_001850444.1|CQUI
OG0001187	LOC6591203|XP_026841640.1|DPER	LOC6033407|XP_038110520.1|CQUI, LOC6033409|XP_001843862.2|CQUI
OG0001188	LOC6590799|XP_026840771.1|DPER	LOC6043678|XP_001861307.2|CQUI, LOC6043677|XP_001861306.2|CQUI
OG0001189	LOC6600978|XP_002025874.1|DPER	LOC6044185|XP_038112058.1|CQUI, LOC6032264|XP_038112626.1|CQUI
OG0001190	LOC113566589|XP_026848680.1|DPER	LOC6035971|XP_001846078.2|CQUI, LOC6035970|XP_038112722.1|CQUI
OG0001191	LOC6593467|XP_026843850.1|DPER	LOC6040784|XP_038113888.1|CQUI, LOC6054211|XP_038113931.1|CQUI
OG0001192	LOC6593970|XP_002018955.1|DPER, LOC6593634|XP_026843545.1|DPER	LOC6039652|XP_038112370.1|CQUI
OG0001193	LOC6587656|XP_002013700.1|DPER	LOC119771227|XP_038122924.1|CQUI, LOC6052191|XP_038104147.1|CQUI, LOC6044486|XP_001861998.2|CQUI, LOC6038340|XP_001848155.1|CQUI
OG0001194	LOC6598143|XP_026846234.1|DPER	LOC6042351|XP_001851478.1|CQUI
OG0001195	LOC6591073|XP_002015711.1|DPER	LOC119767685|XP_038112768.1|CQUI
OG0001201	LOC6594043|XP_002019650.1|DPER	LOC6050447|XP_001867055.2|CQUI
OG0001202	LOC6597838|XP_026846515.1|DPER	LOC6038175|XP_038104882.1|CQUI, LOC6038173|XP_001848004.2|CQUI, LOC6038176|XP_001848007.2|CQUI
OG0001203	LOC6603490|XP_002028472.1|DPER	LOC6038320|XP_038122940.1|CQUI, LOC6038329|XP_038110286.1|CQUI
OG0001204	LOC6598020|XP_002023212.2|DPER	LOC6053090|XP_001869239.2|CQUI, LOC6054712|XP_038106720.1|CQUI, LOC6033906|XP_038106238.1|CQUI, LOC6039955|XP_038115960.1|CQUI, LOC6039125|XP_038113258.1|CQUI, LOC6039327|XP_001848955.2|CQUI
OG0001205	LOC6592049|XP_026851188.1|DPER	LOC6052900|XP_001869076.2|CQUI
OG0001206	LOC6588035|XP_026840035.1|DPER	LOC6049919|XP_038114189.1|CQUI
OG0001207	LOC6588087|XP_002012832.1|DPER, LOC113566278|XP_026847043.1|DPER, LOC6597721|XP_026847063.1|DPER	LOC6035127|XP_038117837.1|CQUI
OG0001208	LOC6597907|XP_026847000.1|DPER	LOC6044973|XP_038105992.1|CQUI
OG0001209	LOC6587357|XP_002013858.1|DPER	LOC6051353|XP_038122782.1|CQUI
OG0001210	LOC6598194|XP_026846241.1|DPER	LOC6052130|XP_038104165.1|CQUI, LOC6050694|XP_038104085.1|CQUI
OG0001211	LOC6598793|XP_026843538.1|DPER	LOC6034927|XP_001845192.2|CQUI
OG0001212	LOC6598439|XP_026848644.1|DPER	LOC6031554|XP_001842338.2|CQUI, LOC6031553|XP_001842337.1|CQUI, LOC6049227|XP_001866023.2|CQUI, LOC119770564|XP_038121603.1|CQUI, LOC6049222|XP_001866022.2|CQUI
OG0001213	LOC6600758|XP_026848631.1|DPER	LOC6039669|XP_001849233.2|CQUI, LOC6039670|XP_001849234.2|CQUI
OG0001214	LOC6600818|XP_002025885.1|DPER, LOC113566336|XP_026847380.1|DPER, LOC6599803|XP_002024973.2|DPER	LOC6037486|XP_001847396.2|CQUI
OG0001215	LOC6587433|XP_026848669.1|DPER	LOC6045600|XP_038104162.1|CQUI, LOC6045598|XP_038105791.1|CQUI
OG0001216	LOC6587971|XP_026843110.1|DPER	LOC6045604|XP_038104859.1|CQUI, LOC6045606|XP_038106016.1|CQUI
OG0001217	LOC6593892|XP_002019071.1|DPER	LOC6042395|XP_001851520.2|CQUI
OG0001218	LOC6603754|XP_026849088.1|DPER, LOC6587982|XP_002014104.2|DPER	LOC6040898|XP_001850226.1|CQUI
OG0001220	LOC6591213|XP_026841245.1|DPER	LOC6045532|XP_001862887.1|CQUI, LOC119769797|XP_038119366.1|CQUI
OG0001221	LOC6592481|XP_026842712.1|DPER	LOC6043322|XP_038116069.1|CQUI
OG0001223	LOC6590164|XP_002015389.2|DPER	LOC6036538|XP_038119459.1|CQUI
OG0001224	LOC6601586|XP_002026607.1|DPER	LOC6036744|XP_001846743.1|CQUI
OG0001225	LOC6602060|XP_026840845.1|DPER	LOC6033514|XP_038117574.1|CQUI, LOC6033515|XP_001843955.2|CQUI
OG0001226	LOC6592826|XP_002017755.1|DPER	LOC6030868|XP_038117520.1|CQUI
OG0001227	LOC6593924|XP_026843572.1|DPER	LOC6037379|XP_038112500.1|CQUI
OG0001229	LOC6603316|XP_026841426.1|DPER	LOC6033208|XP_038108952.1|CQUI
OG0001230	LOC6590100|XP_002015985.1|DPER	LOC6042866|XP_038109988.1|CQUI
OG0001233	LOC6589891|XP_002014628.1|DPER	LOC6034829|XP_038112300.1|CQUI
OG0001234	LOC6600900|XP_002025964.1|DPER	LOC6036123|XP_001846216.1|CQUI
OG0001235	LOC6588980|XP_026844327.1|DPER	LOC119766514|XP_038107036.1|CQUI, LOC6033616|XP_001844043.2|CQUI, LOC6033618|XP_001844045.2|CQUI
OG0001236	LOC6595980|XP_026845457.1|DPER	LOC6046075|XP_001863329.2|CQUI
OG0001237	LOC6594523|XP_002019465.2|DPER	LOC6040473|XP_038114997.1|CQUI
OG0001238	LOC6591680|XP_002016895.1|DPER	LOC6043265|XP_038121140.1|CQUI
OG0001240	LOC6591499|XP_002016883.1|DPER	LOC6045142|XP_001862540.2|CQUI, LOC6045143|XP_001862541.2|CQUI
OG0001241	LOC6590221|XP_002016534.1|DPER, LOC113565572|XP_026843788.1|DPER	LOC6046394|XP_038116205.1|CQUI
OG0001242	LOC6599926|XP_002025054.1|DPER	LOC6032717|XP_001843269.1|CQUI
OG0001244	LOC6599450|XP_026847183.1|DPER, LOC6588658|XP_026841821.1|DPER	LOC6051908|XP_001868265.2|CQUI
OG0001245	LOC6587672|XP_026851034.1|DPER	LOC6039632|XP_038111436.1|CQUI, LOC6039633|XP_038111530.1|CQUI, LOC6039631|XP_038106272.1|CQUI, LOC6053173|XP_038106273.1|CQUI
OG0001246	LOC6590383|XP_002015649.1|DPER	LOC6046496|XP_038112281.1|CQUI, LOC119767076|XP_038110479.1|CQUI, LOC6046495|XP_001863681.2|CQUI
OG0001247	LOC113565131|XP_026841783.1|DPER	LOC6036721|XP_038108755.1|CQUI
OG0001248	LOC6600583|XP_026847593.1|DPER	LOC6047152|XP_038112085.1|CQUI
OG0001249	LOC6600379|XP_026848369.1|DPER	LOC6037219|XP_038111368.1|CQUI
OG0001257	LOC6603482|XP_026846876.1|DPER	LOC6038325|XP_038121277.1|CQUI
OG0001259	LOC113566183|XP_026846404.1|DPER, LOC6597439|XP_002022481.2|DPER, LOC6597389|XP_002022483.2|DPER	LOC6052314|XP_001868608.2|CQUI, LOC119767551|XP_038112327.1|CQUI
OG0001260	LOC6598740|XP_026851087.1|DPER	LOC6047698|XP_001864721.2|CQUI, LOC6047703|XP_038122417.1|CQUI
OG0001261	LOC6597895|XP_026846981.1|DPER	LOC6036966|XP_038105068.1|CQUI
OG0001263	LOC6589722|XP_002015131.1|DPER, LOC6595286|XP_002020352.2|DPER	LOC6047408|XP_038111894.1|CQUI
OG0001264	LOC6588996|XP_026844088.1|DPER	LOC6031873|XP_038111151.1|CQUI
OG0001265	LOC6600029|XP_026849239.1|DPER	LOC6034456|XP_038105093.1|CQUI
OG0001266	LOC6592385|XP_026841792.1|DPER	LOC6035643|XP_001845783.2|CQUI
OG0001267	LOC113567334|XP_026850591.1|DPER	LOC6051047|XP_038122925.1|CQUI, LOC6044839|XP_038105651.1|CQUI
OG0001269	LOC6600917|XP_002026045.1|DPER	LOC6034952|XP_001845211.1|CQUI
OG0001270	LOC6592058|XP_026840176.1|DPER	LOC119767815|XP_038113307.1|CQUI, LOC6037485|XP_038104290.1|CQUI
OG0001271	LOC6590150|XP_002016317.1|DPER	LOC6043921|XP_001861500.2|CQUI, LOC6043922|XP_001861501.1|CQUI
OG0001272	LOC6595831|XP_026845264.1|DPER	LOC6038800|XP_038115010.1|CQUI
OG0001273	LOC6587540|XP_002013081.1|DPER	LOC6044636|XP_001862124.1|CQUI, LOC6047353|XP_001864428.2|CQUI, LOC119767645|XP_038112581.1|CQUI, LOC6047352|XP_038106332.1|CQUI
OG0001274	LOC6602291|XP_002027350.1|DPER	LOC6048052|XP_038120536.1|CQUI
OG0001276	LOC6591479|XP_002017470.1|DPER, LOC6600987|XP_002026173.1|DPER, LOC6595621|XP_002020695.1|DPER	LOC6041249|XP_001850539.2|CQUI
OG0001277	LOC6600469|XP_026847634.1|DPER, LOC113566398|XP_026847605.1|DPER	LOC6037285|XP_038119469.1|CQUI
OG0001278	LOC6601935|XP_026848743.1|DPER, LOC6589664|XP_002014300.1|DPER	LOC6036217|XP_038115918.1|CQUI
OG0001279	LOC6599635|XP_002024745.1|DPER	LOC6036221|XP_001846296.1|CQUI
OG0001280	LOC6601129|XP_002026056.1|DPER	LOC6038254|XP_038118225.1|CQUI
OG0001281	LOC6595858|XP_002021403.1|DPER	LOC6034616|XP_038118327.1|CQUI, LOC6052807|XP_001869012.2|CQUI, LOC6052810|XP_038116188.1|CQUI
OG0001282	LOC6596284|XP_002021806.1|DPER	LOC6035619|XP_001845768.2|CQUI, LOC119767190|XP_038111103.1|CQUI
OG0001283	LOC6593121|XP_002017620.2|DPER	LOC6053152|XP_038119033.1|CQUI
OG0001284	LOC6603120|XP_026843678.1|DPER	LOC6032448|XP_001843044.1|CQUI
OG0001285	LOC6600545|XP_026847551.1|DPER	LOC6040540|XP_001849924.2|CQUI, LOC6032470|XP_001843063.1|CQUI
OG0001286	LOC6589109|XP_002015228.1|DPER	LOC6048784|XP_038109129.1|CQUI
OG0001287	LOC6594096|XP_002019688.1|DPER	LOC6041527|XP_001850775.2|CQUI, LOC6042657|XP_001853256.2|CQUI
OG0001288	LOC6595699|XP_026844637.1|DPER	LOC6049426|XP_038107510.1|CQUI
OG0001289	LOC6593414|XP_002018593.1|DPER	LOC6049419|XP_001866187.2|CQUI, LOC6049418|XP_001866186.2|CQUI, LOC6049417|XP_038107259.1|CQUI
OG0001290	LOC6589136|XP_026844308.1|DPER	LOC6048341|XP_038111865.1|CQUI
OG0001291	LOC6589960|XP_002015635.1|DPER	LOC6048800|XP_001865667.2|CQUI
OG0001292	LOC6601597|XP_026842474.1|DPER	LOC6037255|XP_038109974.1|CQUI, LOC6037188|XP_038109977.1|CQUI
OG0001293	LOC6597403|XP_002022495.1|DPER, LOC6597401|XP_002022493.1|DPER	LOC6040512|XP_001849898.1|CQUI
OG0001294	LOC6591950|XP_002017494.1|DPER	LOC6032208|XP_038117537.1|CQUI
OG0001295	LOC6600664|XP_026845149.1|DPER	LOC6034917|XP_001845183.1|CQUI
OG0001296	LOC6590768|XP_026841539.1|DPER	LOC6047495|XP_038119702.1|CQUI
OG0001297	LOC6595229|XP_026851270.1|DPER	LOC6046059|XP_038117659.1|CQUI
OG0001298	LOC6598769|XP_026849399.1|DPER	LOC6051290|XP_038120986.1|CQUI, LOC6045184|XP_038120344.1|CQUI
OG0001299	LOC113566334|XP_026847369.1|DPER	LOC6049643|XP_038121699.1|CQUI, LOC6045696|XP_038115784.1|CQUI
OG0001300	LOC6594485|XP_002019751.1|DPER	LOC6035030|XP_001845275.1|CQUI
OG0001301	LOC6593724|XP_002019102.1|DPER	LOC6039153|XP_001848808.2|CQUI, LOC6039154|XP_001848809.2|CQUI
OG0001302	LOC6589957|XP_026841109.1|DPER	LOC6047583|XP_001864626.2|CQUI
OG0001303	LOC6588563|XP_002014182.1|DPER	LOC6045151|XP_001862551.1|CQUI
OG0001304	LOC6602092|XP_002027137.1|DPER	LOC6051294|XP_038115861.1|CQUI
OG0001305	LOC6592057|XP_026850520.1|DPER	LOC6042960|XP_038116247.1|CQUI
OG0001306	LOC6588483|XP_002014160.1|DPER	LOC6047141|XP_038115120.1|CQUI
OG0001307	LOC6602965|XP_002027976.1|DPER, LOC6594014|XP_002019636.1|DPER, LOC6602940|XP_002027991.1|DPER	LOC6045564|XP_038118987.1|CQUI
OG0001308	LOC6600133|XP_026846662.1|DPER	LOC6042267|XP_038118191.1|CQUI
OG0001309	LOC6592026|XP_002017298.2|DPER	LOC6037560|XP_038120045.1|CQUI, LOC6037559|XP_001847457.2|CQUI
OG0001310	LOC6597332|XP_026846497.1|DPER	LOC6047951|XP_038121204.1|CQUI
OG0001311	LOC6601743|XP_026847066.1|DPER, LOC6588833|XP_002014685.2|DPER	LOC6033402|XP_038108518.1|CQUI, LOC6050205|XP_038104691.1|CQUI
