Orthogroup	CQUI.longest_only	DALB.longest_only
OG0001948	LOC6048050|XP_038116081.1|CQUI	LOC117567176|XP_034102889.1|DALB
OG0001949	LOC6050155|XP_038115622.1|CQUI	LOC117572290|XP_034110891.1|DALB
OG0001950	LOC6044944|XP_038114752.1|CQUI	LOC117576871|XP_034117863.1|DALB
OG0001951	LOC6038589|XP_038122017.1|CQUI	LOC117571256|XP_034109201.1|DALB
OG0001952	LOC6051573|XP_038119566.1|CQUI	LOC117569738|XP_034106907.1|DALB
OG0001953	LOC6037139|XP_001847079.2|CQUI	LOC117568405|XP_034104931.1|DALB
OG0001954	LOC6036398|XP_038119152.1|CQUI	LOC117571339|XP_034109324.1|DALB
OG0001955	LOC6036401|XP_001846454.2|CQUI	LOC117569151|XP_034106102.1|DALB
OG0001956	LOC6036547|XP_038117528.1|CQUI	LOC117567061|XP_034102677.1|DALB
OG0001957	LOC6036275|XP_001846341.1|CQUI	LOC117567155|XP_034102858.1|DALB
OG0001958	LOC6033549|XP_038117713.1|CQUI	LOC117567959|XP_034104152.1|DALB
OG0001959	LOC6038392|XP_001848199.2|CQUI, LOC6037710|XP_038114451.1|CQUI	LOC117569024|XP_034105904.1|DALB
OG0001960	LOC6040613|XP_001849983.2|CQUI	LOC117567844|XP_034103986.1|DALB
OG0001962	LOC6035473|XP_038120793.1|CQUI	LOC117570937|XP_034108756.1|DALB
OG0001963	LOC6033576|XP_038116392.1|CQUI	LOC117571133|XP_034109026.1|DALB, LOC117564498|XP_034099209.1|DALB
OG0001964	LOC119770350|XP_038120975.1|CQUI	LOC117571404|XP_034109429.1|DALB
OG0001966	LOC6045542|XP_038120964.1|CQUI	LOC117573978|XP_034113415.1|DALB
OG0001967	LOC6037159|XP_038116491.1|CQUI	LOC117571997|XP_034110399.1|DALB
OG0001968	LOC119769837|XP_038119461.1|CQUI	LOC117572095|XP_034110591.1|DALB, LOC117568109|XP_034104391.1|DALB, LOC117566368|XP_034101756.1|DALB
OG0001969	LOC6043784|XP_001861388.2|CQUI	LOC117570934|XP_034108753.1|DALB
OG0001970	LOC6033499|XP_001843940.1|CQUI	LOC117568123|XP_034104419.1|DALB
OG0001971	LOC119770383|XP_038121065.1|CQUI	LOC117570341|XP_034107787.1|DALB
OG0001972	LOC6050813|XP_038115650.1|CQUI	LOC117567368|XP_034103201.1|DALB
OG0001973	LOC6030808|XP_038115981.1|CQUI	LOC117568040|XP_034104275.1|DALB
OG0001974	LOC6040965|XP_001850286.2|CQUI	LOC117568879|XP_034105670.1|DALB, LOC117566678|XP_034102117.1|DALB
OG0001975	LOC6047202|XP_001864288.2|CQUI	LOC117568677|XP_034105372.1|DALB
OG0001976	LOC6037093|XP_001847040.1|CQUI	LOC117567762|XP_034103844.1|DALB
OG0001977	LOC119767020|XP_038110184.1|CQUI, LOC6032497|XP_001843086.1|CQUI	LOC117565036|XP_034099875.1|DALB
OG0001978	LOC6034119|XP_038111127.1|CQUI	LOC117564558|XP_034099282.1|DALB
OG0001979	LOC6046047|XP_001863303.1|CQUI	LOC117565849|XP_034101058.1|DALB
OG0001980	LOC6048883|XP_001865727.2|CQUI	LOC117563279|XP_034097404.1|DALB
OG0001981	LOC6041637|XP_038113783.1|CQUI	LOC117564365|XP_034098972.1|DALB
OG0001982	LOC6046048|XP_001863304.2|CQUI	LOC117565723|XP_034100863.1|DALB
OG0001983	LOC6037074|XP_038109968.1|CQUI	LOC117564480|XP_034099171.1|DALB
OG0001984	LOC6043314|XP_038108458.1|CQUI	LOC117564400|XP_034099015.1|DALB
OG0001985	LOC6041484|XP_038107733.1|CQUI	LOC117563530|XP_034097801.1|DALB
OG0001986	LOC6039572|XP_038113369.1|CQUI	LOC117563469|XP_034097715.1|DALB, LOC117563476|XP_034097724.1|DALB
OG0001987	LOC6033795|XP_038108902.1|CQUI, LOC6047193|XP_038106698.1|CQUI	LOC117578226|XP_034119491.1|DALB
OG0001988	LOC6031811|XP_038108479.1|CQUI	LOC117567652|XP_034103655.1|DALB
OG0001989	LOC6038274|XP_001848097.2|CQUI	LOC117564545|XP_034099259.1|DALB
OG0001991	LOC6045657|XP_038110933.1|CQUI	LOC117565755|XP_034100896.1|DALB
OG0001992	LOC6048798|XP_038109494.1|CQUI	LOC117564714|XP_034099486.1|DALB
OG0001993	LOC6034237|XP_001844584.2|CQUI, LOC6040852|XP_001850184.1|CQUI	LOC117563959|XP_034098426.1|DALB
OG0001994	LOC6031207|XP_001842041.2|CQUI	LOC117575735|XP_034115971.1|DALB
OG0001995	LOC6033195|XP_001843675.2|CQUI	LOC117564646|XP_034099398.1|DALB
OG0001996	LOC6031275|XP_038108642.1|CQUI	LOC117563813|XP_034098234.1|DALB
OG0001997	LOC6042869|XP_001853641.1|CQUI	LOC117572579|XP_034111353.1|DALB
OG0001998	LOC6052519|XP_038108714.1|CQUI	LOC117572576|XP_034111349.1|DALB
OG0001999	LOC6049002|XP_038107788.1|CQUI	LOC117567568|XP_034103525.1|DALB
OG0002000	LOC6054187|XP_038109989.1|CQUI	LOC117565147|XP_034100016.1|DALB
OG0002001	LOC6033119|XP_038108756.1|CQUI	LOC117565489|XP_034100483.1|DALB
OG0002002	LOC6042111|XP_001851261.2|CQUI	LOC117570615|XP_034108266.1|DALB, LOC117569710|XP_034106866.1|DALB
OG0002003	LOC6044259|XP_001861798.1|CQUI	LOC117565295|XP_034100220.1|DALB
OG0002004	LOC6036173|XP_038111988.1|CQUI	LOC117577731|XP_034118525.1|DALB, LOC117577081|XP_034118077.1|DALB, LOC117570913|XP_034108712.1|DALB, LOC117566497|XP_034101928.1|DALB, LOC117565005|XP_034099841.1|DALB, LOC117565317|XP_034100246.1|DALB
OG0002005	LOC6033275|XP_038111843.1|CQUI	LOC117564088|XP_034098609.1|DALB
OG0002006	LOC6033224|XP_038110957.1|CQUI	LOC117566201|XP_034101609.1|DALB
OG0002008	LOC6036447|XP_038109172.1|CQUI	LOC117573140|XP_034111960.1|DALB
OG0002009	LOC6036465|XP_038112709.1|CQUI	LOC117568627|XP_034105309.1|DALB
OG0002010	LOC6036482|XP_001846532.2|CQUI	LOC117563378|XP_034097574.1|DALB
OG0002011	LOC6034391|XP_001844709.2|CQUI	LOC117564905|XP_034099749.1|DALB
OG0002012	LOC6036347|XP_038112714.1|CQUI	LOC117564583|XP_034099315.1|DALB
OG0002013	LOC6046639|XP_038107918.1|CQUI	LOC117565375|XP_034100335.1|DALB
OG0002014	LOC6035997|XP_038111448.1|CQUI	LOC117569364|XP_034106386.1|DALB
OG0002015	LOC6034825|XP_001845096.2|CQUI	LOC117576486|XP_034117151.1|DALB, LOC117576487|XP_034117153.1|DALB
OG0002016	LOC6050974|XP_038107602.1|CQUI	LOC117570325|XP_034107758.1|DALB
OG0002017	LOC6054171|XP_038108914.1|CQUI	LOC117565448|XP_034100431.1|DALB
OG0002018	LOC6032135|XP_001842789.2|CQUI	LOC117563642|XP_034097943.1|DALB
OG0002019	LOC6046126|XP_038110758.1|CQUI	LOC117563830|XP_034098249.1|DALB, LOC117563829|XP_034098248.1|DALB
OG0002020	LOC6038005|XP_038108837.1|CQUI	LOC117563686|XP_034098008.1|DALB
OG0002021	LOC6037998|XP_001847845.2|CQUI	LOC117571991|XP_034110390.1|DALB
OG0002022	LOC119767624|XP_038112509.1|CQUI	LOC117563901|XP_034098352.1|DALB
OG0002023	LOC6036020|XP_038109557.1|CQUI	LOC117573949|XP_034113366.1|DALB
OG0002024	LOC6033634|XP_001844061.1|CQUI	LOC117565258|XP_034100168.1|DALB, LOC117568477|XP_034105056.1|DALB
OG0002025	LOC6048337|XP_038109427.1|CQUI	LOC117564779|XP_034099570.1|DALB
OG0002026	LOC6046087|XP_038119029.1|CQUI	LOC117567428|XP_034103318.1|DALB
OG0002027	LOC6038993|XP_038118649.1|CQUI	LOC117568010|XP_034104224.1|DALB
OG0002028	LOC6038987|XP_038119452.1|CQUI	LOC117567922|XP_034104097.1|DALB
OG0002029	LOC6044744|XP_038117028.1|CQUI	LOC117568396|XP_034104918.1|DALB
OG0002030	LOC6036738|XP_001846737.1|CQUI	LOC117571478|XP_034109531.1|DALB
OG0002031	LOC6034192|XP_001844547.2|CQUI	LOC117572082|XP_034110565.1|DALB
OG0002032	LOC6047494|XP_001864549.2|CQUI	LOC117575805|XP_034116083.1|DALB
OG0002033	LOC6033021|XP_038119287.1|CQUI	LOC117573109|XP_034111927.1|DALB
OG0002034	LOC6033038|XP_038115410.1|CQUI	LOC117565956|XP_034101279.1|DALB
OG0002036	LOC6050995|XP_038121187.1|CQUI	LOC117574041|XP_034113532.1|DALB
OG0002037	LOC6046238|XP_001863465.1|CQUI	LOC117572117|XP_034110634.1|DALB, LOC117570860|XP_034108631.1|DALB
OG0002038	LOC6048866|XP_001865713.1|CQUI	LOC117575288|XP_034115323.1|DALB
OG0002039	LOC6041739|XP_001850959.1|CQUI	LOC117573118|XP_034111935.1|DALB
OG0002040	LOC6049016|XP_038115728.1|CQUI	LOC117576860|XP_034117853.1|DALB
OG0002041	LOC6053561|XP_038121322.1|CQUI	LOC117567182|XP_034102894.1|DALB
OG0002042	LOC6042060|XP_001851213.1|CQUI	LOC117575622|XP_034115789.1|DALB
OG0002043	LOC6046279|XP_001863506.2|CQUI	LOC117575723|XP_034115955.1|DALB
OG0002044	LOC6049246|XP_038115174.1|CQUI	LOC117576093|XP_034116532.1|DALB
OG0002045	LOC6046000|XP_038119279.1|CQUI	LOC117575040|XP_034115012.1|DALB
OG0002046	LOC6044308|XP_038119321.1|CQUI	LOC117563857|XP_034098281.1|DALB, LOC117577551|XP_034118272.1|DALB, LOC117566778|XP_034102211.1|DALB
OG0002047	LOC6050271|XP_038122220.1|CQUI	LOC117578318|XP_034119665.1|DALB
OG0002048	LOC6042553|XP_038120962.1|CQUI	LOC117574161|XP_034113739.1|DALB
OG0002049	LOC6039492|XP_038115951.1|CQUI	LOC117576956|XP_034118010.1|DALB
OG0002050	LOC6043404|XP_038115088.1|CQUI	LOC117576341|XP_034116907.1|DALB, LOC117576970|XP_034118039.1|DALB
OG0002051	LOC6051287|XP_038119820.1|CQUI	LOC117572783|XP_034111771.1|DALB
OG0002053	LOC6040835|XP_038116346.1|CQUI	LOC117573278|XP_034112256.1|DALB
OG0002054	LOC6035830|XP_001845950.2|CQUI	LOC117576542|XP_034117271.1|DALB
OG0002055	LOC6038958|XP_038120809.1|CQUI	LOC117574285|XP_034113927.1|DALB
OG0002056	LOC6038943|XP_038120800.1|CQUI	LOC117567396|XP_034103243.1|DALB
OG0002057	LOC6034056|XP_038120930.1|CQUI	LOC117564875|XP_034099715.1|DALB
OG0002058	LOC6033986|XP_001844369.2|CQUI	LOC117569759|XP_034106943.1|DALB
OG0002059	LOC6033981|XP_038120952.1|CQUI	LOC117576797|XP_034117748.1|DALB
OG0002060	LOC6033990|XP_038119391.1|CQUI	LOC117566432|XP_034101853.1|DALB
OG0002061	LOC6033991|XP_001844379.1|CQUI	LOC117572045|XP_034110508.1|DALB
OG0002062	LOC6037972|XP_038118109.1|CQUI	LOC117575049|XP_034115026.1|DALB
OG0002063	LOC119769819|XP_038119432.1|CQUI	LOC117575547|XP_034115699.1|DALB
OG0002064	LOC6047178|XP_038120724.1|CQUI	LOC117578154|XP_034119264.1|DALB
OG0002065	LOC6046202|XP_038120624.1|CQUI	LOC117572355|XP_034111009.1|DALB
OG0002066	LOC6039967|XP_038109379.1|CQUI	LOC117576032|XP_034116433.1|DALB
OG0002067	LOC6044111|XP_038112191.1|CQUI	LOC117567923|XP_034104098.1|DALB
OG0002068	LOC119766543|XP_038107216.1|CQUI	LOC117570527|XP_034108121.1|DALB
OG0002069	LOC6041145|XP_001850445.2|CQUI	LOC117570311|XP_034107746.1|DALB
OG0002070	LOC6041138|XP_001850438.2|CQUI	LOC117573548|XP_034112718.1|DALB
OG0002071	LOC6036873|XP_038107719.1|CQUI	LOC117576524|XP_034117237.1|DALB, LOC117576547|XP_034117275.1|DALB
OG0002072	LOC119767954|XP_038113954.1|CQUI, LOC119767948|XP_038113941.1|CQUI	LOC117571985|XP_034110383.1|DALB
OG0002073	LOC6037933|XP_038116801.1|CQUI	LOC117570467|XP_034108020.1|DALB
OG0002074	LOC6034286|XP_001844626.2|CQUI	LOC117567099|XP_034102769.1|DALB
OG0002075	LOC6051422|XP_001867860.2|CQUI	LOC117565273|XP_034100192.1|DALB
OG0002076	LOC6053604|XP_038109672.1|CQUI	LOC117566774|XP_034102208.1|DALB, LOC117572640|XP_034111502.1|DALB
OG0002077	LOC6048428|XP_038107454.1|CQUI	LOC117567511|XP_034103443.1|DALB
OG0002078	LOC6049195|XP_038108184.1|CQUI	LOC117568965|XP_034105814.1|DALB
OG0002079	LOC6035445|XP_038113391.1|CQUI	LOC117568582|XP_034105206.1|DALB
OG0002080	LOC6045702|XP_038109755.1|CQUI	LOC117577594|XP_034118332.1|DALB, LOC117568762|XP_034105489.1|DALB
OG0002081	LOC6045982|XP_001863256.2|CQUI	LOC117572064|XP_034110534.1|DALB
OG0002082	LOC6036748|XP_038113901.1|CQUI	LOC117572725|XP_034111681.1|DALB
OG0002083	LOC6035972|XP_038107184.1|CQUI	LOC117572231|XP_034110843.1|DALB
OG0002084	LOC6035707|XP_038108824.1|CQUI	LOC117568546|XP_034105155.1|DALB
OG0002085	LOC6042460|XP_038114127.1|CQUI	LOC117569081|XP_034105988.1|DALB
OG0002086	LOC6046954|XP_001864067.2|CQUI	LOC117570289|XP_034107701.1|DALB
OG0002087	LOC6035876|XP_038112932.1|CQUI	LOC117571793|XP_034110045.1|DALB
OG0002088	LOC6048576|XP_038109929.1|CQUI	LOC117571146|XP_034109039.1|DALB
OG0002090	LOC6048571|XP_038112054.1|CQUI	LOC117567440|XP_034103339.1|DALB, LOC117566532|XP_034101963.1|DALB, LOC117570033|XP_034107347.1|DALB
OG0002091	LOC6042356|XP_001851484.1|CQUI	LOC117566708|XP_034102144.1|DALB
OG0002092	LOC6042361|XP_001851488.2|CQUI, LOC6036907|XP_038108108.1|CQUI	LOC117572319|XP_034110942.1|DALB
OG0002093	LOC6046499|XP_038110633.1|CQUI	LOC117571533|XP_034109614.1|DALB
OG0002094	LOC6040957|XP_038113605.1|CQUI	LOC117569587|XP_034106708.1|DALB
OG0002095	LOC6036091|XP_001846184.1|CQUI	LOC117568934|XP_034105754.1|DALB
OG0002096	LOC6047564|XP_038107160.1|CQUI	LOC117570725|XP_034108430.1|DALB
OG0002097	LOC6032274|XP_038114310.1|CQUI	LOC117566759|XP_034102193.1|DALB, LOC117566758|XP_034102192.1|DALB
OG0002098	LOC6054484|XP_038109600.1|CQUI, LOC6050613|XP_038110230.1|CQUI	LOC117571606|XP_034109714.1|DALB
OG0002099	LOC6052912|XP_038113126.1|CQUI	LOC117574988|XP_034114949.1|DALB
OG0002100	LOC6037635|XP_001847522.2|CQUI, LOC6037636|XP_038113451.1|CQUI	LOC117572806|XP_034111798.1|DALB
OG0002101	LOC6034560|XP_038108470.1|CQUI	LOC117567076|XP_034102713.1|DALB
OG0002102	LOC6040553|XP_001849935.2|CQUI	LOC117566809|XP_034102248.1|DALB
OG0002103	LOC6039927|XP_038104265.1|CQUI	LOC117574900|XP_034114829.1|DALB
OG0002104	LOC119766395|XP_038106838.1|CQUI, LOC119766319|XP_038106723.1|CQUI, LOC119769497|XP_038118093.1|CQUI, LOC119766088|XP_038106408.1|CQUI, LOC119769343|XP_038117301.1|CQUI, LOC119769348|XP_038117310.1|CQUI, LOC119769032|XP_038116840.1|CQUI, LOC119768620|XP_038114737.1|CQUI, LOC119769496|XP_038118090.1|CQUI, LOC119770196|XP_038120573.1|CQUI, LOC119766257|XP_038106623.1|CQUI, LOC119766516|XP_038107038.1|CQUI	LOC117573172|XP_034112036.1|DALB
OG0002117	LOC6035092|XP_001845324.2|CQUI	LOC117578098|XP_034119164.1|DALB
OG0002118	LOC6038196|XP_001848026.2|CQUI	LOC117573149|XP_034111989.1|DALB
OG0002119	LOC6052831|XP_038104539.1|CQUI	LOC117576428|XP_034117065.1|DALB
OG0002120	LOC6038312|XP_038104590.1|CQUI	LOC117573221|XP_034112140.1|DALB
OG0002121	LOC6048963|XP_038111521.1|CQUI	LOC117576121|XP_034116570.1|DALB
OG0002123	LOC6040410|XP_038105742.1|CQUI	LOC117564608|XP_034099354.1|DALB
OG0002124	LOC119770815|XP_038122274.1|CQUI	LOC117577700|XP_034118490.1|DALB
OG0002125	LOC119771160|XP_038122537.1|CQUI, LOC119765095|XP_038104176.1|CQUI	LOC117571548|XP_034109641.1|DALB
OG0002126	LOC6053690|XP_001869735.2|CQUI	LOC117571805|XP_034110062.1|DALB
OG0002127	LOC6051305|XP_038105747.1|CQUI	LOC117578196|XP_034119409.1|DALB
OG0002128	LOC6050201|XP_038114963.1|CQUI	LOC117578063|XP_034119092.1|DALB
OG0002129	LOC6038188|XP_038108193.1|CQUI	LOC117573358|XP_034112376.1|DALB
OG0002130	LOC6048461|XP_001865375.1|CQUI	LOC117572250|XP_034110832.1|DALB
OG0002131	LOC6041291|XP_038105189.1|CQUI	LOC117575274|XP_034115304.1|DALB
OG0002133	LOC6041277|XP_001850564.2|CQUI	LOC117574504|XP_034114250.1|DALB
OG0002134	LOC6053321|XP_038104459.1|CQUI	LOC117577475|XP_034118251.1|DALB
OG0002135	LOC6039380|XP_001848994.2|CQUI, LOC6038451|XP_038114365.1|CQUI	LOC117577802|XP_034118622.1|DALB
OG0002136	LOC6052854|XP_038114943.1|CQUI	LOC117574812|XP_034114670.1|DALB
OG0002137	LOC6035107|XP_001845343.2|CQUI	LOC117574105|XP_034113644.1|DALB
OG0002138	LOC6053774|XP_001869800.2|CQUI	LOC117566886|XP_034102394.1|DALB
OG0002139	LOC6054308|XP_038112556.1|CQUI	LOC117569399|XP_034106429.1|DALB
OG0002140	LOC6052944|XP_038122401.1|CQUI	LOC117573192|XP_034112078.1|DALB
OG0002141	LOC6052597|XP_001868840.1|CQUI	LOC117573177|XP_034112038.1|DALB
OG0002142	LOC6044771|XP_001862230.2|CQUI	LOC117575223|XP_034115241.1|DALB
OG0002143	LOC6049815|XP_001866521.2|CQUI	LOC117564347|XP_034098953.1|DALB
OG0002144	LOC6045241|XP_001862632.1|CQUI	LOC117573240|XP_034112180.1|DALB
OG0002145	LOC6054639|XP_038108283.1|CQUI	LOC117575449|XP_034115552.1|DALB
OG0002146	LOC6036975|XP_038114349.1|CQUI	LOC117575237|XP_034115259.1|DALB
OG0002147	LOC6050629|XP_038108543.1|CQUI	LOC117567338|XP_034103153.1|DALB
OG0002148	LOC6049935|XP_038105474.1|CQUI	LOC117568116|XP_034104411.1|DALB
OG0002149	LOC6049814|XP_038122450.1|CQUI	LOC117573116|XP_034111932.1|DALB
OG0002150	LOC6042689|XP_038115140.1|CQUI	LOC117573954|XP_034113379.1|DALB
OG0002152	LOC6043588|XP_038111921.1|CQUI	LOC117576273|XP_034116810.1|DALB
OG0002153	LOC6051446|XP_038116744.1|CQUI	LOC117574006|XP_034113472.1|DALB
OG0002154	LOC6038494|XP_038104249.1|CQUI	LOC117566000|XP_034101316.1|DALB
OG0002155	LOC6045355|XP_001862743.2|CQUI	LOC117574886|XP_034114809.1|DALB
OG0002156	LOC119765577|XP_038105669.1|CQUI	LOC117568890|XP_034105681.1|DALB
OG0002157	LOC6031420|XP_038119185.1|CQUI	LOC117573681|XP_034112917.1|DALB
OG0002159	LOC6042564|XP_001852253.1|CQUI	LOC117570298|XP_034107713.1|DALB
OG0002160	LOC6053375|XP_038104218.1|CQUI	LOC117576324|XP_034116883.1|DALB
OG0002161	LOC6034721|XP_001845003.2|CQUI, LOC6053342|XP_001869448.1|CQUI	LOC117576624|XP_034117435.1|DALB
OG0002162	LOC6034725|XP_038105052.1|CQUI	LOC117575167|XP_034115161.1|DALB
OG0002164	LOC6034761|XP_001845035.2|CQUI	LOC117574074|XP_034113598.1|DALB
OG0002166	LOC6041913|XP_001851104.1|CQUI	LOC117565083|XP_034099924.1|DALB
OG0002167	LOC6041910|XP_001851101.1|CQUI	LOC117571036|XP_034108889.1|DALB
OG0002168	LOC6053108|XP_001869252.2|CQUI	LOC117569112|XP_034106022.1|DALB
OG0002169	LOC119769928|XP_038119722.1|CQUI	LOC117567283|XP_034103040.1|DALB
OG0002170	LOC6046470|XP_001863662.2|CQUI	LOC117573167|XP_034112027.1|DALB
OG0002171	LOC6046764|XP_038105150.1|CQUI	LOC117575340|XP_034115389.1|DALB
OG0002172	LOC6035363|XP_001845574.2|CQUI	LOC117576146|XP_034116604.1|DALB
OG0002173	LOC6054518|XP_001870417.2|CQUI	LOC117565449|XP_034100436.1|DALB
OG0002174	LOC6046593|XP_001863767.2|CQUI	LOC117575154|XP_034115149.1|DALB
OG0002175	LOC6046591|XP_001863766.1|CQUI	LOC117575155|XP_034115150.1|DALB
OG0002176	LOC6036519|XP_001846564.2|CQUI	LOC117575821|XP_034116115.1|DALB
OG0002177	LOC6037521|XP_038104546.1|CQUI, LOC6037519|XP_001847423.1|CQUI	LOC117575313|XP_034115358.1|DALB
OG0002179	LOC6046335|XP_038104078.1|CQUI	LOC117575056|XP_034115028.1|DALB
OG0002180	LOC6035429|XP_038104069.1|CQUI	LOC117576832|XP_034117797.1|DALB
OG0002181	LOC6052079|XP_001868406.1|CQUI	LOC117574235|XP_034113841.1|DALB
OG0002182	LOC119766353|XP_038106772.1|CQUI, LOC6035057|XP_001845294.2|CQUI	LOC117574131|XP_034113680.1|DALB
OG0002184	LOC6039609|XP_001849183.1|CQUI	LOC117576672|XP_034117554.1|DALB
OG0002185	LOC6044852|XP_038104985.1|CQUI	LOC117576268|XP_034116802.1|DALB
OG0002186	LOC119765311|XP_038104858.1|CQUI	LOC117565307|XP_034100236.1|DALB
OG0002187	LOC6035552|XP_001845710.1|CQUI	LOC117573772|XP_034113062.1|DALB
OG0002188	LOC6035546|XP_038104743.1|CQUI	LOC117571450|XP_034109488.1|DALB
OG0002189	LOC6048163|XP_001865121.2|CQUI	LOC117573162|XP_034112015.1|DALB
OG0002190	LOC6047848|XP_038106127.1|CQUI	LOC117575502|XP_034115636.1|DALB
OG0002191	LOC6054528|XP_001870428.2|CQUI	LOC117571808|XP_034110070.1|DALB
OG0002192	LOC6046955|XP_038113556.1|CQUI	LOC117572541|XP_034111301.1|DALB
OG0002193	LOC6032691|XP_038105765.1|CQUI	LOC117574971|XP_034114927.1|DALB
OG0002194	LOC6032669|XP_001843234.1|CQUI, LOC6032668|XP_001843233.2|CQUI	LOC117576038|XP_034116451.1|DALB
OG0002195	LOC6031632|XP_038116823.1|CQUI	LOC117576512|XP_034117212.1|DALB
OG0002196	LOC6039344|XP_001848971.2|CQUI	LOC117573273|XP_034112244.1|DALB
OG0002197	LOC6046596|XP_038105222.1|CQUI	LOC117569515|XP_034106597.1|DALB
OG0002198	LOC6034957|XP_038105850.1|CQUI	LOC117573997|XP_034113437.1|DALB
OG0002199	LOC6033702|XP_001844125.1|CQUI	LOC117575253|XP_034115278.1|DALB
OG0002200	LOC6039174|XP_038104559.1|CQUI	LOC117574361|XP_034114085.1|DALB
OG0002202	LOC6046148|XP_038105307.1|CQUI	LOC117574693|XP_034114492.1|DALB
OG0002203	LOC6039079|XP_038105676.1|CQUI	LOC117574012|XP_034113487.1|DALB
OG0002204	LOC6049259|XP_038122869.1|CQUI	LOC117574509|XP_034114259.1|DALB
OG0002206	LOC6037487|XP_001847397.2|CQUI	LOC117574996|XP_034114960.1|DALB
OG0002207	LOC6033007|XP_001843517.1|CQUI	LOC117575300|XP_034115341.1|DALB
OG0002208	LOC6033006|XP_001843516.1|CQUI	LOC117575631|XP_034115800.1|DALB
OG0002209	LOC6045595|XP_001862936.2|CQUI	LOC117568859|XP_034105641.1|DALB
OG0002211	LOC6045607|XP_001862945.1|CQUI	LOC117574193|XP_034113782.1|DALB, LOC117574194|XP_034113784.1|DALB
OG0002212	LOC6038038|XP_001847883.1|CQUI	LOC117576354|XP_034116933.1|DALB
OG0002213	LOC6051153|XP_001867636.1|CQUI	LOC117575644|XP_034115815.1|DALB
OG0002214	LOC6032048|XP_038105292.1|CQUI	LOC117576737|XP_034117659.1|DALB
OG0002215	LOC6032095|XP_038106196.1|CQUI	LOC117575628|XP_034115796.1|DALB
OG0002216	LOC6032662|XP_038106882.1|CQUI	LOC117569369|XP_034106391.1|DALB
OG0002218	LOC6053396|XP_038104621.1|CQUI	LOC117567011|XP_034102591.1|DALB
OG0002220	LOC6037348|XP_038105656.1|CQUI	LOC117574468|XP_034114196.1|DALB
OG0002221	LOC119770567|XP_038121611.1|CQUI, LOC119770566|XP_038121610.1|CQUI	LOC117571758|XP_034110001.1|DALB
OG0002222	LOC6032790|XP_001843329.2|CQUI	LOC117567742|XP_034103818.1|DALB
OG0002224	LOC119769378|XP_038117360.1|CQUI, LOC6032799|XP_038115284.1|CQUI	LOC117570364|XP_034107823.1|DALB
OG0002225	LOC6032897|XP_038117532.1|CQUI	LOC117570861|XP_034108632.1|DALB
OG0002226	LOC6042794|XP_001870797.1|CQUI	LOC117566905|XP_034102414.1|DALB
OG0002227	LOC6031136|XP_038120789.1|CQUI	LOC117568731|XP_034105440.1|DALB
OG0002228	LOC6031157|XP_038120047.1|CQUI	LOC117568725|XP_034105434.1|DALB
OG0002229	LOC6031155|XP_001841998.2|CQUI	LOC117567463|XP_034103368.1|DALB
OG0002230	LOC6031161|XP_038119537.1|CQUI	LOC117571078|XP_034108944.1|DALB
OG0002231	LOC6050941|XP_038119258.1|CQUI, LOC119769702|XP_038119059.1|CQUI	LOC117568454|XP_034105021.1|DALB
OG0002232	LOC6040636|XP_001850004.1|CQUI	LOC117572516|XP_034111262.1|DALB
OG0002233	LOC6047308|XP_038120904.1|CQUI, LOC6047313|XP_038119049.1|CQUI	LOC117569420|XP_034106465.1|DALB
OG0002235	LOC6040757|XP_038115690.1|CQUI	LOC117568616|XP_034105277.1|DALB
OG0002236	LOC6030997|XP_001841850.1|CQUI	LOC117571403|XP_034109428.1|DALB
OG0002237	LOC6047076|XP_001864183.2|CQUI	LOC117571445|XP_034109480.1|DALB
OG0002238	LOC6049703|XP_038118161.1|CQUI	LOC117568311|XP_034104752.1|DALB
OG0002239	LOC6042825|XP_001870822.1|CQUI	LOC117568203|XP_034104562.1|DALB
OG0002240	LOC6041172|XP_038118497.1|CQUI	LOC117566964|XP_034102508.1|DALB
OG0002241	LOC6044078|XP_038116059.1|CQUI	LOC117571493|XP_034109552.1|DALB
OG0002243	LOC6044961|XP_038119719.1|CQUI	LOC117576521|XP_034117230.1|DALB
OG0002244	LOC119767375|XP_038111774.1|CQUI, LOC6044948|XP_001862380.2|CQUI	LOC117572699|XP_034111644.1|DALB
OG0002245	LOC6045680|XP_038114857.1|CQUI	LOC117566958|XP_034102495.1|DALB
OG0002246	LOC6049979|XP_038118799.1|CQUI	LOC117569569|XP_034106682.1|DALB
OG0002247	LOC6038803|XP_001848521.2|CQUI	LOC117569114|XP_034106025.1|DALB
OG0002248	LOC6047330|XP_038119197.1|CQUI	LOC117571910|XP_034110279.1|DALB
OG0002249	LOC6046727|XP_038111587.1|CQUI, LOC6052976|XP_001869143.1|CQUI	LOC117568708|XP_034105413.1|DALB
OG0002250	LOC6050221|XP_038121273.1|CQUI	LOC117571676|XP_034109808.1|DALB
OG0002251	LOC6049011|XP_038120599.1|CQUI	LOC117571366|XP_034109368.1|DALB
OG0002252	LOC6040660|XP_001850021.2|CQUI	LOC117571245|XP_034109190.1|DALB
OG0002253	LOC119768700|XP_038115241.1|CQUI	LOC117567632|XP_034103622.1|DALB
OG0002254	LOC6052417|XP_038119674.1|CQUI	LOC117573898|XP_034113297.1|DALB
