Orthogroup	CQUI.longest_only	DNOV.longest_only
OG0000507	LOC6045928|XP_001863205.1|CQUI	LOC115768238|XP_030568624.1|DNOV
OG0000507	LOC6037479|XP_038113105.1|CQUI	LOC115768239|XP_030568625.1|DNOV
OG0000508	LOC6049261|XP_001866046.2|CQUI	LOC115762738|XP_030560931.1|DNOV, LOC115762739|XP_030560934.1|DNOV
OG0000509	LOC6051070|XP_038117205.1|CQUI	LOC115761008|XP_030558478.1|DNOV
OG0000510	LOC6052252|XP_001868549.2|CQUI	LOC115760668|XP_030557995.1|DNOV
OG0000511	LOC6031766|XP_001842477.2|CQUI, LOC6031767|XP_001842478.2|CQUI	LOC115758930|XP_030555590.1|DNOV, LOC115758571|XP_030555143.1|DNOV
OG0000512	LOC6041515|XP_038107055.1|CQUI, LOC119766432|XP_038106904.1|CQUI, LOC6041512|XP_038106906.1|CQUI	LOC115759205|XP_030555951.1|DNOV
OG0000513	LOC6036436|XP_001846489.2|CQUI	LOC115770109|XP_030571129.1|DNOV, LOC115759147|XP_030555860.1|DNOV
OG0000514	LOC6033627|XP_038108381.1|CQUI	LOC115765508|XP_030564985.1|DNOV, LOC115765496|XP_030564965.1|DNOV
OG0000515	LOC6038107|XP_038110142.1|CQUI	LOC115766732|XP_030566553.1|DNOV, LOC115770049|XP_030570992.1|DNOV
OG0000516	LOC6032715|XP_038122030.1|CQUI, LOC6032713|XP_038122029.1|CQUI	LOC115766811|XP_030566706.1|DNOV
OG0000517	LOC6054293|XP_038114467.1|CQUI, LOC6054292|XP_038114468.1|CQUI	LOC115771498|XP_030573083.1|DNOV, LOC115771499|XP_030573085.1|DNOV
OG0000521	LOC6050070|XP_038105342.1|CQUI	LOC115766327|XP_030566078.1|DNOV, LOC115766286|XP_030566014.1|DNOV
OG0000522	LOC6051600|XP_038112565.1|CQUI	LOC115758627|XP_030555222.1|DNOV, LOC115765110|XP_030564358.1|DNOV
OG0000523	LOC6049044|XP_001865872.1|CQUI	LOC115765282|XP_030564632.1|DNOV
OG0000524	LOC6032861|XP_001843386.2|CQUI	LOC115761883|XP_030559745.1|DNOV
OG0000525	LOC6048514|XP_038118341.1|CQUI, LOC6048511|XP_038118339.1|CQUI	LOC115762223|XP_030560217.1|DNOV
OG0000526	LOC6041304|XP_001850584.2|CQUI	LOC115759224|XP_030555979.1|DNOV, LOC115766568|XP_030566410.1|DNOV
OG0000527	LOC6043742|XP_038113405.1|CQUI, LOC6043214|XP_038108510.1|CQUI	LOC115758354|XP_030554797.1|DNOV, LOC115758545|XP_030555102.1|DNOV
OG0000528	LOC6041374|XP_001850639.2|CQUI, LOC6041379|XP_038110790.1|CQUI, LOC6041382|XP_038106839.1|CQUI, LOC6041381|XP_038110791.1|CQUI	LOC115758405|XP_030554913.1|DNOV
OG0000529	LOC6036354|XP_038114138.1|CQUI	LOC115758661|XP_030555260.1|DNOV, LOC115758674|XP_030555275.1|DNOV
OG0000531	LOC6037540|XP_001847440.2|CQUI	LOC115758470|XP_030555006.1|DNOV
OG0000532	LOC6035004|XP_001845249.2|CQUI	LOC115770876|XP_030572172.1|DNOV, LOC115770877|XP_030572173.1|DNOV
OG0000533	LOC6040722|XP_038104185.1|CQUI	LOC115765431|XP_030564836.1|DNOV
OG0000533	LOC119767762|XP_038113133.1|CQUI	LOC115763637|XP_030562126.1|DNOV
OG0000535	LOC119766820|XP_038108711.1|CQUI, LOC6054062|XP_001870041.1|CQUI	LOC115765435|XP_030564852.1|DNOV, LOC115757993|XP_030554347.1|DNOV
OG0000536	LOC6041431|XP_038109661.1|CQUI, LOC6045036|XP_001862455.2|CQUI, LOC6045035|XP_038113937.1|CQUI	LOC115769719|XP_030570510.1|DNOV, LOC115769455|XP_030570127.1|DNOV
OG0000537	LOC6031704|XP_038111588.1|CQUI	LOC115762423|XP_030560478.1|DNOV
OG0000538	LOC6037813|XP_038112386.1|CQUI	LOC115767434|XP_030567587.1|DNOV, LOC115764503|XP_030563452.1|DNOV
OG0000539	LOC6034554|XP_038112937.1|CQUI	LOC115765723|XP_030565247.1|DNOV, LOC115765667|XP_030565185.1|DNOV
OG0000542	LOC6044321|XP_001861851.1|CQUI	LOC115770949|XP_030572270.1|DNOV, LOC115766778|XP_030566648.1|DNOV
OG0000543	LOC6049267|XP_001866057.2|CQUI	LOC115761599|XP_030559259.1|DNOV, LOC115760511|XP_030557731.1|DNOV
OG0000544	LOC6041276|XP_038110067.1|CQUI	LOC115771106|XP_030572525.1|DNOV, LOC115764619|XP_030563640.1|DNOV
OG0000545	LOC6050345|XP_038105847.1|CQUI	LOC115771852|XP_030573594.1|DNOV, LOC115772096|XP_030573917.1|DNOV
OG0000546	LOC6037353|XP_001847276.2|CQUI, LOC6036816|XP_038106208.1|CQUI, LOC119770766|XP_038122171.1|CQUI	LOC115759403|XP_030556151.1|DNOV, LOC115765207|XP_030564508.1|DNOV
OG0000547	LOC6041026|XP_001850337.1|CQUI	LOC115768488|XP_030568930.1|DNOV, LOC115761440|XP_030559068.1|DNOV
OG0000548	LOC6050154|XP_001866808.2|CQUI	LOC115768555|XP_030569029.1|DNOV, LOC115768570|XP_030569060.1|DNOV
OG0000549	LOC119770531|XP_038121509.1|CQUI, LOC6037260|XP_038121503.1|CQUI	LOC115762388|XP_030560428.1|DNOV
OG0000550	LOC6051476|XP_038121059.1|CQUI	LOC115760017|XP_030557038.1|DNOV, LOC115760247|XP_030557362.1|DNOV
OG0000552	LOC6044119|XP_038113804.1|CQUI	LOC115761308|XP_030558897.1|DNOV, LOC115761306|XP_030558895.1|DNOV, LOC115761324|XP_030558917.1|DNOV
OG0000553	LOC6044455|XP_038110346.1|CQUI, LOC6044457|XP_001861971.1|CQUI, LOC6044456|XP_001861970.1|CQUI	LOC115758588|XP_030555167.1|DNOV, LOC115758617|XP_030555210.1|DNOV
OG0000554	LOC6044882|XP_038118892.1|CQUI	LOC115761372|XP_030558982.1|DNOV, LOC115763975|XP_030562638.1|DNOV
OG0000555	LOC6052570|XP_038118745.1|CQUI	LOC115765825|XP_030565408.1|DNOV, LOC115766951|XP_030566898.1|DNOV
OG0000556	LOC6046889|XP_001864016.1|CQUI	LOC115766453|XP_030566246.1|DNOV, LOC115761302|XP_030558889.1|DNOV
OG0000557	LOC6042547|XP_001852003.1|CQUI	LOC115763878|XP_030562513.1|DNOV, LOC115763924|XP_030562577.1|DNOV, LOC115763879|XP_030562515.1|DNOV
OG0000558	LOC6033842|XP_001844235.1|CQUI	LOC115770828|XP_030572122.1|DNOV, LOC115768527|XP_030568978.1|DNOV
OG0000559	LOC6053965|XP_038109366.1|CQUI	LOC115761993|XP_030559920.1|DNOV, LOC115770449|XP_030571587.1|DNOV
OG0000560	LOC6032389|XP_001842996.2|CQUI	LOC115760982|XP_030558450.1|DNOV, LOC115760973|XP_030558437.1|DNOV
OG0000561	LOC6034685|XP_038111388.1|CQUI	LOC115769829|XP_030570663.1|DNOV, LOC115769566|XP_030570278.1|DNOV
OG0000562	LOC6046454|XP_038113537.1|CQUI	LOC115766351|XP_030566114.1|DNOV, LOC115769425|XP_030570096.1|DNOV
OG0000566	LOC6044324|XP_038109243.1|CQUI	LOC115764955|XP_030564136.1|DNOV, LOC115769708|XP_030570497.1|DNOV
OG0000567	LOC6047025|XP_001864131.2|CQUI	LOC115768671|XP_030569213.1|DNOV
OG0000567	LOC6047020|XP_001864130.1|CQUI	LOC115768837|XP_030569394.1|DNOV
OG0000568	LOC6044772|XP_038104706.1|CQUI	LOC115765295|XP_030564647.1|DNOV, LOC115771675|XP_030573349.1|DNOV
OG0000569	LOC6034776|XP_038104774.1|CQUI	LOC115759518|XP_030556323.1|DNOV, LOC115760392|XP_030557552.1|DNOV
OG0000570	LOC6032625|XP_001843197.2|CQUI	LOC115772021|XP_030573814.1|DNOV, LOC115771916|XP_030573667.1|DNOV
OG0000571	LOC6035169|XP_038113695.1|CQUI	LOC115771991|XP_030573773.1|DNOV, LOC115759578|XP_030556406.1|DNOV
OG0000572	LOC6031113|XP_038118152.1|CQUI	LOC115761345|XP_030558946.1|DNOV, LOC115761689|XP_030559407.1|DNOV
OG0000573	LOC6039567|XP_038120762.1|CQUI	LOC115768072|XP_030568394.1|DNOV, LOC115762118|XP_030560082.1|DNOV
OG0000574	LOC6041981|XP_001851157.1|CQUI	LOC115769779|XP_030570608.1|DNOV, LOC115770659|XP_030571885.1|DNOV, LOC115762546|XP_030560679.1|DNOV, LOC115770633|XP_030571839.1|DNOV
OG0000576	LOC6041376|XP_001850641.2|CQUI	LOC115761386|XP_030558999.1|DNOV
OG0000577	LOC6036025|XP_001846129.1|CQUI	LOC115765905|XP_030565510.1|DNOV
OG0000578	LOC6038985|XP_038118477.1|CQUI	LOC115758634|XP_030555229.1|DNOV, LOC115757944|XP_030554275.1|DNOV
OG0000579	LOC6039323|XP_001848951.1|CQUI	LOC115764642|XP_030563675.1|DNOV, LOC115767968|XP_030568230.1|DNOV
OG0000580	LOC6039817|XP_038116525.1|CQUI	LOC115766092|XP_030565762.1|DNOV, LOC115766091|XP_030565761.1|DNOV
OG0000582	LOC6037731|XP_038109003.1|CQUI	LOC115770374|XP_030571483.1|DNOV, LOC115757931|XP_030554257.1|DNOV
OG0000583	LOC6040188|XP_001849636.2|CQUI	LOC115762390|XP_030560431.1|DNOV, LOC115761064|XP_030558542.1|DNOV
OG0000589	LOC6038480|XP_038105819.1|CQUI	LOC115767812|XP_030568004.1|DNOV
OG0000590	LOC6042729|XP_001870744.1|CQUI	LOC115768443|XP_030568862.1|DNOV
OG0000592	LOC6050769|XP_038107615.1|CQUI	LOC115761102|XP_030558589.1|DNOV, LOC115758537|XP_030555093.1|DNOV
OG0000593	LOC6053209|XP_001869339.2|CQUI	LOC115758751|XP_030555369.1|DNOV, LOC115757838|XP_030554131.1|DNOV
OG0000594	LOC6047884|XP_001864878.1|CQUI	LOC115763974|XP_030562637.1|DNOV, LOC115763849|XP_030562478.1|DNOV
OG0000595	LOC6032579|XP_038105753.1|CQUI	LOC115761760|XP_030559527.1|DNOV, LOC115771804|XP_030573535.1|DNOV
OG0000596	LOC6047623|XP_001864658.2|CQUI	LOC115767045|XP_030567036.1|DNOV
OG0000597	LOC6033673|XP_038118537.1|CQUI	LOC115771692|XP_030573368.1|DNOV, LOC115772132|XP_030573973.1|DNOV
OG0000598	LOC6051159|XP_001867631.1|CQUI, LOC6051152|XP_038115526.1|CQUI, LOC6051150|XP_038115584.1|CQUI, LOC6051151|XP_001867634.2|CQUI, LOC119765893|XP_038106017.1|CQUI, LOC6051149|XP_001867632.1|CQUI	LOC115761686|XP_030559401.1|DNOV
OG0000599	LOC6050368|XP_001866970.2|CQUI, LOC6049535|XP_038116182.1|CQUI	LOC115770489|XP_030571631.1|DNOV, LOC115770492|XP_030571639.1|DNOV
OG0000600	LOC6050355|XP_001866971.1|CQUI	LOC115760648|XP_030557971.1|DNOV, LOC115760647|XP_030557969.1|DNOV
OG0000601	LOC6054167|XP_001870128.2|CQUI	LOC115763067|XP_030561352.1|DNOV, LOC115759310|XP_030556076.1|DNOV
OG0000602	LOC6038510|XP_038113028.1|CQUI	LOC115763385|XP_030561785.1|DNOV, LOC115763395|XP_030561798.1|DNOV
OG0000603	LOC6054012|XP_038110242.1|CQUI	LOC115758767|XP_030555389.1|DNOV
OG0000604	LOC6043454|XP_038114068.1|CQUI	LOC115765575|XP_030565084.1|DNOV, LOC115763492|XP_030561943.1|DNOV
OG0000605	LOC6049416|XP_001866184.2|CQUI, LOC6049420|XP_001866188.2|CQUI, LOC6049414|XP_001866182.2|CQUI, LOC6049413|XP_001866181.2|CQUI, LOC6049411|XP_001866179.2|CQUI	LOC115758622|XP_030555215.1|DNOV
OG0000606	LOC6046869|XP_038121859.1|CQUI	LOC115768629|XP_030569153.1|DNOV
OG0000607	LOC6039121|XP_001848783.1|CQUI	LOC115771972|XP_030573752.1|DNOV, LOC115764740|XP_030563816.1|DNOV
OG0000608	LOC6042037|XP_038115700.1|CQUI	LOC115770569|XP_030571743.1|DNOV, LOC115762542|XP_030560676.1|DNOV, LOC115770592|XP_030571782.1|DNOV
OG0000609	LOC6048878|XP_038115264.1|CQUI	LOC115764281|XP_030563071.1|DNOV, LOC115758773|XP_030555398.1|DNOV, LOC115758774|XP_030555400.1|DNOV
OG0000610	LOC6041438|XP_001850698.2|CQUI	LOC115771517|XP_030573112.1|DNOV, LOC115759603|XP_030556437.1|DNOV
OG0000611	LOC6038097|XP_038106033.1|CQUI	LOC115763834|XP_030562457.1|DNOV, LOC115761023|XP_030558497.1|DNOV
OG0000615	LOC119767686|XP_038112773.1|CQUI	LOC115767103|XP_030567110.1|DNOV, LOC115759514|XP_030556318.1|DNOV
OG0000616	LOC6048951|XP_038114828.1|CQUI, LOC119770520|XP_038121468.1|CQUI, LOC6048954|XP_038121478.1|CQUI	LOC115767085|XP_030567092.1|DNOV
OG0000617	LOC6047468|XP_001864522.2|CQUI	LOC115764853|XP_030563982.1|DNOV, LOC115761587|XP_030559238.1|DNOV
OG0000618	LOC6039614|XP_001849188.1|CQUI	LOC115769684|XP_030570462.1|DNOV
OG0000619	LOC6040690|XP_001850045.2|CQUI, LOC119765528|XP_038105487.1|CQUI	LOC115771528|XP_030573129.1|DNOV
OG0000620	LOC6032813|XP_038118430.1|CQUI	LOC115766391|XP_030566163.1|DNOV, LOC115769605|XP_030570356.1|DNOV
OG0000621	LOC6031110|XP_001841955.1|CQUI	LOC115757747|XP_030554001.1|DNOV, LOC115767786|XP_030567974.1|DNOV
OG0000622	LOC6040743|XP_038116870.1|CQUI	LOC115769599|XP_030570348.1|DNOV, LOC115762639|XP_030560802.1|DNOV
OG0000623	LOC119769481|XP_038118011.1|CQUI	LOC115769962|XP_030570868.1|DNOV, LOC115770846|XP_030572146.1|DNOV
OG0000624	LOC6044017|XP_001861591.1|CQUI	LOC115760780|XP_030558130.1|DNOV, LOC115760781|XP_030558132.1|DNOV
OG0000625	LOC6040993|XP_038116438.1|CQUI	LOC115769323|XP_030569919.1|DNOV, LOC115769831|XP_030570665.1|DNOV
OG0000626	LOC6051789|XP_001868161.1|CQUI	LOC115758212|XP_030554623.1|DNOV, LOC115762154|XP_030560126.1|DNOV
OG0000627	LOC6042124|XP_038110833.1|CQUI	LOC115769818|XP_030570646.1|DNOV, LOC115768585|XP_030569091.1|DNOV
OG0000628	LOC6031813|XP_001842520.1|CQUI	LOC115758606|XP_030555193.1|DNOV, LOC115763927|XP_030562578.1|DNOV
OG0000629	LOC119766976|XP_038109725.1|CQUI	LOC115770565|XP_030571737.1|DNOV, LOC115765848|XP_030565434.1|DNOV
OG0000630	LOC6035276|XP_038111598.1|CQUI	LOC115763504|XP_030561961.1|DNOV, LOC115763485|XP_030561930.1|DNOV
OG0000631	LOC6033752|XP_038111487.1|CQUI	LOC115759001|XP_030555665.1|DNOV
OG0000632	LOC6039836|XP_038110109.1|CQUI	LOC115763534|XP_030562009.1|DNOV, LOC115765855|XP_030565444.1|DNOV
OG0000634	LOC6044510|XP_001862016.2|CQUI	LOC115771370|XP_030572917.1|DNOV
OG0000635	LOC6051292|XP_038119302.1|CQUI	LOC115766554|XP_030566392.1|DNOV, LOC115768292|XP_030568696.1|DNOV
OG0000636	LOC6053271|XP_038121208.1|CQUI	LOC115763543|XP_030562019.1|DNOV, LOC115763397|XP_030561800.1|DNOV
OG0000637	LOC6046174|XP_038111493.1|CQUI	LOC115768912|XP_030569501.1|DNOV, LOC115768688|XP_030569234.1|DNOV
OG0000638	LOC6035960|XP_001846068.1|CQUI	LOC115769000|XP_030569570.1|DNOV
OG0000639	LOC6034680|XP_038109438.1|CQUI	LOC115770014|XP_030570925.1|DNOV
OG0000646	LOC6053145|XP_038116913.1|CQUI	LOC115764060|XP_030562767.1|DNOV, LOC115772117|XP_030573950.1|DNOV
OG0000647	LOC6052863|XP_038104142.1|CQUI	LOC115764010|XP_030562694.1|DNOV, LOC115765430|XP_030564835.1|DNOV
OG0000648	LOC6044379|XP_038104457.1|CQUI	LOC115767239|XP_030567300.1|DNOV
OG0000649	LOC6052346|XP_038122673.1|CQUI	LOC115768703|XP_030569252.1|DNOV, LOC115768709|XP_030569257.1|DNOV
OG0000651	LOC6034792|XP_038108743.1|CQUI	LOC115769937|XP_030570839.1|DNOV, LOC115770493|XP_030571642.1|DNOV
OG0000652	LOC6047846|XP_001864848.1|CQUI	LOC115760696|XP_030558021.1|DNOV, LOC115768610|XP_030569125.1|DNOV
OG0000653	LOC6035413|XP_038122495.1|CQUI, LOC6035412|XP_038122483.1|CQUI	LOC115772125|XP_030573962.1|DNOV
OG0000654	LOC6039542|XP_038121287.1|CQUI	LOC115769884|XP_030570749.1|DNOV
OG0000655	LOC6041337|XP_001850614.2|CQUI	LOC115762138|XP_030560109.1|DNOV, LOC115765880|XP_030565480.1|DNOV
OG0000656	LOC6051101|XP_038116957.1|CQUI	LOC115770642|XP_030571853.1|DNOV, LOC115770906|XP_030572206.1|DNOV
OG0000657	LOC6041310|XP_001850590.2|CQUI	LOC115762627|XP_030560789.1|DNOV, LOC115759823|XP_030556774.1|DNOV
OG0000658	LOC6037018|XP_038108424.1|CQUI	LOC115766487|XP_030566309.1|DNOV, LOC115764653|XP_030563695.1|DNOV
OG0000659	LOC6036999|XP_001846964.1|CQUI	LOC115763486|XP_030561931.1|DNOV, LOC115763450|XP_030561879.1|DNOV
OG0000660	LOC6053861|XP_001869873.1|CQUI	LOC115759751|XP_030556653.1|DNOV
OG0000661	LOC6033622|XP_001844049.2|CQUI	LOC115762829|XP_030561055.1|DNOV, LOC115768557|XP_030569026.1|DNOV
OG0000662	LOC6052557|XP_038120537.1|CQUI	LOC115767147|XP_030567176.1|DNOV, LOC115767098|XP_030567106.1|DNOV
OG0000663	LOC6039520|XP_001849122.2|CQUI	LOC115762215|XP_030560208.1|DNOV
OG0000664	LOC6046260|XP_038114809.1|CQUI	LOC115765328|XP_030564690.1|DNOV
OG0000665	LOC6048712|XP_001865588.1|CQUI	LOC115766199|XP_030565909.1|DNOV, LOC115766147|XP_030565843.1|DNOV, LOC115766037|XP_030565667.1|DNOV
OG0000666	LOC6054798|XP_038119012.1|CQUI	LOC115766534|XP_030566361.1|DNOV, LOC115771368|XP_030572912.1|DNOV
OG0000667	LOC6046897|XP_038119403.1|CQUI	LOC115764289|XP_030563081.1|DNOV, LOC115766095|XP_030565764.1|DNOV
OG0000668	LOC6046395|XP_038118170.1|CQUI	LOC115760399|XP_030557560.1|DNOV, LOC115764155|XP_030562891.1|DNOV
OG0000669	LOC119770724|XP_038122042.1|CQUI	LOC115766893|XP_030566825.1|DNOV, LOC115766894|XP_030566826.1|DNOV
OG0000670	LOC6046815|XP_038111687.1|CQUI	LOC115768176|XP_030568538.1|DNOV, LOC115766471|XP_030566275.1|DNOV
OG0000671	LOC6038345|XP_001848160.1|CQUI	LOC115771970|XP_030573742.1|DNOV, LOC115771617|XP_030573255.1|DNOV
OG0000672	LOC6043037|XP_038113688.1|CQUI	LOC115765272|XP_030564622.1|DNOV, LOC115768896|XP_030569471.1|DNOV
OG0000673	LOC6034544|XP_001844844.1|CQUI	LOC115768789|XP_030569346.1|DNOV, LOC115769449|XP_030570122.1|DNOV
OG0000677	LOC119771220|XP_038122896.1|CQUI	LOC115770176|XP_030571196.1|DNOV, LOC115771314|XP_030572829.1|DNOV
OG0000678	LOC6049218|XP_001866018.1|CQUI	LOC115764881|XP_030564019.1|DNOV, LOC115765970|XP_030565583.1|DNOV
OG0000679	LOC6043332|XP_001858497.2|CQUI, LOC6043334|XP_038120970.1|CQUI, LOC119770348|XP_038120969.1|CQUI, LOC6051380|XP_001867828.2|CQUI, LOC6041272|XP_001850558.1|CQUI, LOC6041270|XP_038114788.1|CQUI	LOC115767864|XP_030568082.1|DNOV
OG0000680	LOC6040463|XP_038110968.1|CQUI	LOC115766465|XP_030566261.1|DNOV, LOC115766438|XP_030566225.1|DNOV
OG0000681	LOC6034420|XP_038105001.1|CQUI	LOC115764053|XP_030562760.1|DNOV, LOC115767781|XP_030567970.1|DNOV
OG0000683	LOC119771188|XP_038122716.1|CQUI, LOC119771187|XP_038122715.1|CQUI, LOC6041367|XP_001850634.1|CQUI, LOC6035206|XP_001845435.2|CQUI	LOC115763968|XP_030562627.1|DNOV
OG0000684	LOC6048395|XP_001865319.1|CQUI	LOC115763839|XP_030562459.1|DNOV, LOC115772099|XP_030573921.1|DNOV
OG0000685	LOC6037400|XP_038114905.1|CQUI	LOC115767313|XP_030567413.1|DNOV, LOC115764142|XP_030562875.1|DNOV
OG0000686	LOC6051596|XP_038120199.1|CQUI	LOC115760216|XP_030557331.1|DNOV, LOC115768061|XP_030568363.1|DNOV
OG0000687	LOC6035321|XP_001845536.1|CQUI	LOC115766596|XP_030566443.1|DNOV, LOC115769955|XP_030570860.1|DNOV
OG0000688	LOC6040659|XP_038115242.1|CQUI	LOC115761097|XP_030558580.1|DNOV
OG0000689	LOC119769612|XP_038118657.1|CQUI	LOC115760819|XP_030558197.1|DNOV, LOC115760818|XP_030558195.1|DNOV
OG0000690	LOC6050670|XP_038115594.1|CQUI, LOC6038219|XP_001848048.1|CQUI, LOC6047742|XP_001864761.2|CQUI, LOC6042033|XP_001851195.2|CQUI, LOC6050673|XP_001867238.2|CQUI	LOC115768204|XP_030568576.1|DNOV
OG0000691	LOC6038874|XP_038122076.1|CQUI	LOC115763300|XP_030561651.1|DNOV, LOC115770032|XP_030570954.1|DNOV
OG0000692	LOC6050833|XP_038117216.1|CQUI, LOC6050834|XP_001867362.2|CQUI	LOC115762628|XP_030560790.1|DNOV
OG0000694	LOC6047733|XP_038120382.1|CQUI	LOC115768344|XP_030568767.1|DNOV, LOC115766656|XP_030566480.1|DNOV
OG0000695	LOC6043622|XP_038113841.1|CQUI	LOC115759106|XP_030555805.1|DNOV, LOC115759338|XP_030556117.1|DNOV
OG0000696	LOC6034106|XP_001844471.1|CQUI	LOC115760003|XP_030557021.1|DNOV
OG0000697	LOC6037877|XP_001847743.2|CQUI	LOC115764346|XP_030563164.1|DNOV, LOC115758904|XP_030555561.1|DNOV
OG0000698	LOC6054309|XP_038113357.1|CQUI	LOC115768551|XP_030569021.1|DNOV, LOC115768548|XP_030569018.1|DNOV
OG0000699	LOC6031882|XP_038111805.1|CQUI	LOC115760027|XP_030557049.1|DNOV, LOC115768643|XP_030569175.1|DNOV
OG0000700	LOC6045669|XP_038108368.1|CQUI	LOC115765977|XP_030565595.1|DNOV, LOC115759040|XP_030555722.1|DNOV
OG0000701	LOC6050972|XP_038112604.1|CQUI	LOC115760727|XP_030558061.1|DNOV, LOC115766304|XP_030566041.1|DNOV
OG0000702	LOC6052432|XP_038117603.1|CQUI	LOC115763795|XP_030562386.1|DNOV, LOC115763797|XP_030562393.1|DNOV
OG0000703	LOC6035033|XP_038122275.1|CQUI	LOC115763301|XP_030561652.1|DNOV, LOC115760513|XP_030557734.1|DNOV
OG0000704	LOC6038164|XP_038120107.1|CQUI	LOC115765441|XP_030564867.1|DNOV, LOC115772027|XP_030573817.1|DNOV
OG0000705	LOC6052245|XP_038115015.1|CQUI	LOC115769975|XP_030570893.1|DNOV
OG0000706	LOC6046887|XP_038117985.1|CQUI	LOC115767718|XP_030567883.1|DNOV, LOC115767989|XP_030568250.1|DNOV
OG0000707	LOC6045804|XP_038117453.1|CQUI	LOC115766613|XP_030566464.1|DNOV, LOC115765239|XP_030564556.1|DNOV
OG0000708	LOC6037569|XP_038120474.1|CQUI	LOC115768226|XP_030568613.1|DNOV, LOC115768754|XP_030569301.1|DNOV
OG0000709	LOC6039218|XP_038117369.1|CQUI	LOC115772080|XP_030573893.1|DNOV, LOC115765127|XP_030564382.1|DNOV
OG0000710	LOC6031510|XP_001842300.1|CQUI	LOC115761269|XP_030558842.1|DNOV, LOC115760563|XP_030557829.1|DNOV
OG0000711	LOC6036869|XP_001846852.1|CQUI	LOC115770356|XP_030571454.1|DNOV, LOC115766879|XP_030566804.1|DNOV
OG0000712	LOC119766789|XP_038108506.1|CQUI, LOC6045985|XP_038106057.1|CQUI	LOC115763821|XP_030562431.1|DNOV, LOC115763808|XP_030562412.1|DNOV
OG0000713	LOC6049870|XP_001866561.1|CQUI	LOC115764013|XP_030562700.1|DNOV, LOC115760403|XP_030557562.1|DNOV, LOC115761341|XP_030558940.1|DNOV
OG0000714	LOC6045584|XP_038113889.1|CQUI	LOC115767258|XP_030567334.1|DNOV, LOC115766920|XP_030566864.1|DNOV
OG0000715	LOC119767953|XP_038113953.1|CQUI	LOC115768376|XP_030568811.1|DNOV, LOC115767911|XP_030568145.1|DNOV
OG0000716	LOC6040190|XP_001849640.2|CQUI	LOC115766904|XP_030566842.1|DNOV, LOC115770095|XP_030571064.1|DNOV
OG0000724	LOC6042711|XP_001870728.1|CQUI	LOC115765413|XP_030564817.1|DNOV, LOC115757761|XP_030554032.1|DNOV
OG0000726	LOC6035562|XP_038104583.1|CQUI	LOC115761420|XP_030559040.1|DNOV, LOC115761562|XP_030559207.1|DNOV
OG0000727	LOC6032646|XP_001843213.2|CQUI, LOC6032648|XP_038122826.1|CQUI	LOC115759495|XP_030556294.1|DNOV, LOC115759528|XP_030556337.1|DNOV, LOC115759529|XP_030556339.1|DNOV
OG0000730	LOC6031123|XP_001841967.1|CQUI	LOC115769489|XP_030570171.1|DNOV, LOC115759999|XP_030557016.1|DNOV
OG0000731	LOC6043928|XP_001861511.1|CQUI	LOC115766954|XP_030566901.1|DNOV, LOC115760800|XP_030558156.1|DNOV
OG0000732	LOC6041983|XP_001851156.1|CQUI	LOC115771111|XP_030572531.1|DNOV, LOC115771170|XP_030572613.1|DNOV
OG0000733	LOC6047563|XP_001864598.2|CQUI	LOC115764230|XP_030563007.1|DNOV, LOC115769923|XP_030570808.1|DNOV
OG0000734	LOC6052234|XP_038116578.1|CQUI	LOC115770494|XP_030571643.1|DNOV
OG0000735	LOC6044469|XP_001861983.1|CQUI	LOC115768279|XP_030568676.1|DNOV, LOC115763462|XP_030561898.1|DNOV
OG0000736	LOC6037099|XP_038112503.1|CQUI	LOC115759738|XP_030556630.1|DNOV, LOC115760034|XP_030557061.1|DNOV
OG0000738	LOC6036448|XP_001846499.1|CQUI	LOC115758638|XP_030555234.1|DNOV, LOC115763430|XP_030561851.1|DNOV
OG0000739	LOC6036343|XP_038110352.1|CQUI	LOC115764718|XP_030563777.1|DNOV
OG0000740	LOC6045778|XP_038107229.1|CQUI	LOC115768532|XP_030568980.1|DNOV, LOC115769090|XP_030569661.1|DNOV
OG0000740	LOC6038854|XP_038113339.1|CQUI	LOC115766145|XP_030565840.1|DNOV
OG0000741	LOC6038156|XP_038115491.1|CQUI, LOC6038158|XP_001847991.2|CQUI	LOC115760133|XP_030557192.1|DNOV, LOC115765269|XP_030564618.1|DNOV
OG0000742	LOC6046871|XP_038115688.1|CQUI	LOC115764314|XP_030563112.1|DNOV, LOC115764380|XP_030563201.1|DNOV
OG0000743	LOC6050273|XP_001866910.2|CQUI	LOC115769862|XP_030570720.1|DNOV, LOC115766565|XP_030566405.1|DNOV
OG0000744	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI	LOC115758878|XP_030555536.1|DNOV, LOC115765428|XP_030564837.1|DNOV, LOC115772042|XP_030573842.1|DNOV
OG0000746	LOC6043117|XP_001855912.2|CQUI	LOC115759535|XP_030556350.1|DNOV
OG0000753	LOC6048959|XP_038122824.1|CQUI	LOC115771734|XP_030573420.1|DNOV, LOC115762833|XP_030561060.1|DNOV
OG0000754	LOC6049897|XP_001866577.2|CQUI	LOC115767236|XP_030567297.1|DNOV, LOC115768063|XP_030568366.1|DNOV
