Orthogroup	CQUI.longest_only	DERE.longest_only
OG0000631	LOC6033752|XP_038111487.1|CQUI	LOC26526275|XP_026835065.1|DERE, LOC6542193|XP_001968947.2|DERE
OG0000632	LOC6039836|XP_038110109.1|CQUI	LOC6543461|XP_015015313.1|DERE, LOC6541028|XP_001968245.2|DERE
OG0000635	LOC6051292|XP_038119302.1|CQUI	LOC6547753|XP_001974876.1|DERE, LOC6550676|XP_001978034.1|DERE
OG0000636	LOC6053271|XP_038121208.1|CQUI	LOC6549453|XP_026836184.1|DERE, LOC6549452|XP_001974274.1|DERE
OG0000637	LOC6046174|XP_038111493.1|CQUI	LOC6550937|XP_026838587.1|DERE, LOC6550939|XP_001976976.1|DERE
OG0000638	LOC6035960|XP_001846068.1|CQUI	LOC6555205|XP_026836650.1|DERE, LOC6549997|XP_026838375.1|DERE
OG0000639	LOC6034680|XP_038109438.1|CQUI	LOC6546173|XP_015014132.1|DERE
OG0000646	LOC6053145|XP_038116913.1|CQUI	LOC6555019|XP_001982031.1|DERE, LOC6555100|XP_001981427.1|DERE
OG0000647	LOC6052863|XP_038104142.1|CQUI	LOC26526979|XP_015010542.2|DERE, LOC6550763|XP_026838099.1|DERE
OG0000648	LOC6044379|XP_038104457.1|CQUI	LOC6550205|XP_001977561.1|DERE
OG0000649	LOC6052346|XP_038122673.1|CQUI	LOC6550286|XP_026837821.1|DERE, LOC6550289|XP_026838136.1|DERE
OG0000650	LOC119765291|XP_038104781.1|CQUI	LOC6554351|XP_001982049.1|DERE
OG0000651	LOC6034792|XP_038108743.1|CQUI	LOC6543906|XP_001972977.1|DERE, LOC6543577|XP_026833045.1|DERE
OG0000652	LOC6047846|XP_001864848.1|CQUI	LOC6542253|XP_001970576.1|DERE, LOC6550893|XP_026838131.1|DERE
OG0000653	LOC6035413|XP_038122495.1|CQUI, LOC6035412|XP_038122483.1|CQUI	LOC6553673|XP_001980415.1|DERE, LOC6552294|XP_026831530.1|DERE
OG0000654	LOC6039542|XP_038121287.1|CQUI	LOC6543916|XP_026833655.1|DERE
OG0000655	LOC6041337|XP_001850614.2|CQUI	LOC6546647|XP_001975856.1|DERE, LOC6540972|XP_001968238.1|DERE
OG0000656	LOC6051101|XP_038116957.1|CQUI	LOC6553788|XP_015010084.1|DERE, LOC6553787|XP_001980486.3|DERE
OG0000657	LOC6041310|XP_001850590.2|CQUI	LOC6544716|XP_001970967.1|DERE, LOC6541828|XP_001968576.1|DERE
OG0000658	LOC6037018|XP_038108424.1|CQUI	LOC6550082|XP_001977532.1|DERE, LOC6552884|XP_001979984.1|DERE
OG0000659	LOC6036999|XP_001846964.1|CQUI	LOC113564234|XP_026835623.1|DERE, LOC6542800|XP_001968496.1|DERE, LOC6549152|XP_001974281.1|DERE
OG0000660	LOC6053861|XP_001869873.1|CQUI	LOC6541374|XP_026834620.1|DERE
OG0000661	LOC6033622|XP_001844049.2|CQUI	LOC6544489|XP_001971472.1|DERE, LOC6543531|XP_026834239.1|DERE
OG0000662	LOC6052557|XP_038120537.1|CQUI	LOC6546384|XP_001971787.1|DERE, LOC6554041|XP_026834870.1|DERE
OG0000663	LOC6039520|XP_001849122.2|CQUI	LOC6548581|XP_001976695.1|DERE
OG0000664	LOC6046260|XP_038114809.1|CQUI	LOC6551096|XP_001976901.1|DERE
OG0000665	LOC6048712|XP_001865588.1|CQUI	LOC6555380|XP_001981842.1|DERE, LOC6555276|XP_001981841.2|DERE
OG0000666	LOC6054798|XP_038119012.1|CQUI	LOC6547622|XP_001974886.1|DERE, LOC26526777|XP_015011479.1|DERE
OG0000667	LOC6046897|XP_038119403.1|CQUI	LOC6555514|XP_026838402.1|DERE, LOC6551928|XP_001980626.1|DERE
OG0000668	LOC6046395|XP_038118170.1|CQUI	LOC6544435|XP_001973805.1|DERE, LOC6553497|XP_001980224.1|DERE
OG0000669	LOC119770724|XP_038122042.1|CQUI	LOC6550638|XP_001978150.1|DERE, LOC6550637|XP_001978149.1|DERE
OG0000670	LOC6046815|XP_038111687.1|CQUI	LOC26526104|XP_015008827.1|DERE, LOC6541385|XP_001969296.2|DERE, LOC6550923|XP_001976890.1|DERE
OG0000671	LOC6038345|XP_001848160.1|CQUI	LOC6552013|XP_026833401.1|DERE, LOC6554199|XP_001981465.1|DERE
OG0000672	LOC6043037|XP_038113688.1|CQUI	LOC6551305|XP_026837487.1|DERE, LOC6550436|XP_001977796.1|DERE
OG0000673	LOC6034544|XP_001844844.1|CQUI	LOC6551138|XP_001978284.1|DERE, LOC6544602|XP_001973064.1|DERE
OG0000677	LOC119771220|XP_038122896.1|CQUI	LOC6544616|XP_001972450.1|DERE, LOC6551698|XP_001977159.1|DERE
OG0000678	LOC6049218|XP_001866018.1|CQUI	LOC6552354|XP_001979818.1|DERE, LOC6543394|XP_001968210.1|DERE
OG0000679	LOC6043332|XP_001858497.2|CQUI, LOC6043334|XP_038120970.1|CQUI, LOC119770348|XP_038120969.1|CQUI, LOC6051380|XP_001867828.2|CQUI, LOC6041272|XP_001850558.1|CQUI, LOC6041270|XP_038114788.1|CQUI	LOC6551166|XP_001977064.1|DERE
OG0000680	LOC6040463|XP_038110968.1|CQUI	LOC6550301|XP_026837952.1|DERE, LOC6550360|XP_001977766.1|DERE
OG0000681	LOC6034420|XP_038105001.1|CQUI	LOC6553372|XP_001980209.1|DERE, LOC6551073|XP_001978294.1|DERE
OG0000683	LOC119771188|XP_038122716.1|CQUI, LOC119771187|XP_038122715.1|CQUI, LOC6041367|XP_001850634.1|CQUI, LOC6035206|XP_001845435.2|CQUI	LOC6555023|XP_026839676.1|DERE
OG0000684	LOC6048395|XP_001865319.1|CQUI	LOC6553887|XP_001980460.1|DERE, LOC6554162|XP_001982120.1|DERE
OG0000685	LOC6037400|XP_038114905.1|CQUI	LOC6551406|XP_001977225.1|DERE, LOC6553340|XP_001979313.1|DERE
OG0000686	LOC6051596|XP_038120199.1|CQUI	LOC6541693|XP_001970722.1|DERE, LOC6550215|XP_026837780.1|DERE
OG0000687	LOC6035321|XP_001845536.1|CQUI	LOC6547702|XP_001974852.1|DERE, LOC6546518|XP_001971271.1|DERE
OG0000688	LOC6040659|XP_038115242.1|CQUI	LOC6546716|XP_015012113.1|DERE
OG0000689	LOC119769612|XP_038118657.1|CQUI	LOC6542233|XP_026834832.1|DERE, LOC6542612|XP_001969108.2|DERE
OG0000690	LOC6050670|XP_038115594.1|CQUI, LOC6038219|XP_001848048.1|CQUI, LOC6047742|XP_001864761.2|CQUI, LOC6042033|XP_001851195.2|CQUI, LOC6050673|XP_001867238.2|CQUI	LOC6550179|XP_001977884.1|DERE
OG0000691	LOC6038874|XP_038122076.1|CQUI	LOC6543197|XP_001969231.1|DERE, LOC6546065|XP_001972806.1|DERE
OG0000692	LOC6050833|XP_038117216.1|CQUI, LOC6050834|XP_001867362.2|CQUI	LOC6545263|XP_026833002.1|DERE, LOC6545264|XP_001973254.1|DERE
OG0000694	LOC6047733|XP_038120382.1|CQUI	LOC6551399|XP_026838782.1|DERE, LOC26526595|XP_015014308.2|DERE
OG0000695	LOC6043622|XP_038113841.1|CQUI	LOC6543109|XP_026834385.1|DERE, LOC6542503|XP_001969995.3|DERE
OG0000696	LOC6034106|XP_001844471.1|CQUI	LOC6542214|XP_001970229.1|DERE
OG0000697	LOC6037877|XP_001847743.2|CQUI	LOC6549735|XP_026837742.1|DERE, LOC6543359|XP_001969498.1|DERE
OG0000698	LOC6054309|XP_038113357.1|CQUI	LOC6541152|XP_001968625.1|DERE, LOC6541165|XP_001968626.1|DERE
OG0000699	LOC6031882|XP_038111805.1|CQUI	LOC6541841|XP_026834734.1|DERE, LOC6554900|XP_001982211.3|DERE
OG0000700	LOC6045669|XP_038108368.1|CQUI	LOC6540970|XP_026835023.1|DERE, LOC6543019|XP_026835157.1|DERE
OG0000701	LOC6050972|XP_038112604.1|CQUI	LOC6549465|XP_001975772.1|DERE, LOC6550626|XP_001978165.2|DERE
OG0000702	LOC6052432|XP_038117603.1|CQUI	LOC6554290|XP_015009256.1|DERE, LOC6554291|XP_026831958.1|DERE
OG0000703	LOC6035033|XP_038122275.1|CQUI	LOC6540821|XP_026834441.1|DERE, LOC6548846|XP_026837142.1|DERE
OG0000704	LOC6038164|XP_038120107.1|CQUI	LOC6555519|XP_026837962.1|DERE, LOC6554747|XP_001981090.1|DERE
OG0000705	LOC6052245|XP_038115015.1|CQUI	LOC6545835|XP_026832654.1|DERE, LOC6545834|XP_026832653.1|DERE
OG0000706	LOC6046887|XP_038117985.1|CQUI	LOC6549137|XP_001974390.1|DERE, LOC6551598|XP_001978463.1|DERE
OG0000707	LOC6045804|XP_038117453.1|CQUI	LOC6547683|XP_001976363.1|DERE, LOC6550487|XP_001977952.1|DERE
OG0000708	LOC6037569|XP_038120474.1|CQUI	LOC6551200|XP_026837441.1|DERE, LOC6551306|XP_001977094.3|DERE
OG0000709	LOC6039218|XP_038117369.1|CQUI	LOC6555149|XP_001981160.2|DERE, LOC113563716|XP_026831590.1|DERE, LOC6550491|XP_001977936.1|DERE
OG0000710	LOC6031510|XP_001842300.1|CQUI	LOC6553332|XP_001979194.1|DERE, LOC6546824|XP_026836873.1|DERE
OG0000711	LOC6036869|XP_001846852.1|CQUI	LOC6546181|XP_001972274.1|DERE, LOC6550285|XP_026837593.1|DERE
OG0000712	LOC119766789|XP_038108506.1|CQUI, LOC6045985|XP_038106057.1|CQUI	LOC6553956|XP_001979466.3|DERE, LOC6553955|XP_001979465.1|DERE
OG0000713	LOC6049870|XP_001866561.1|CQUI	LOC6552804|XP_001979032.1|DERE, LOC6547126|XP_001975480.1|DERE
OG0000714	LOC6045584|XP_038113889.1|CQUI	LOC6550140|XP_001977537.1|DERE, LOC6543954|XP_001971931.1|DERE
OG0000715	LOC119767953|XP_038113953.1|CQUI	LOC6546199|XP_001972829.1|DERE
OG0000716	LOC6040190|XP_001849640.2|CQUI	LOC6551210|XP_001977017.1|DERE, LOC6545145|XP_001972776.1|DERE
OG0000724	LOC6042711|XP_001870728.1|CQUI	LOC6549931|XP_001978679.1|DERE, LOC6555222|XP_001981178.1|DERE
OG0000726	LOC6035562|XP_038104583.1|CQUI	LOC6553239|XP_001980194.1|DERE, LOC6553238|XP_001980193.1|DERE
OG0000727	LOC6032646|XP_001843213.2|CQUI, LOC6032648|XP_038122826.1|CQUI	LOC6554047|XP_026831834.1|DERE, LOC6554045|XP_026831556.1|DERE
OG0000730	LOC6031123|XP_001841967.1|CQUI	LOC6550492|XP_001977937.1|DERE, LOC6543068|XP_001968337.3|DERE
OG0000731	LOC6043928|XP_001861511.1|CQUI	LOC6544184|XP_001971918.1|DERE, LOC6548984|XP_001975496.1|DERE
OG0000732	LOC6041983|XP_001851156.1|CQUI	LOC6544148|XP_001973003.1|DERE, LOC6544147|XP_001973002.1|DERE
OG0000733	LOC6047563|XP_001864598.2|CQUI	LOC6554954|XP_001981374.1|DERE, LOC6544332|XP_001971983.1|DERE
OG0000734	LOC6052234|XP_038116578.1|CQUI	LOC6551495|XP_001977190.2|DERE, LOC6543576|XP_001971836.1|DERE
OG0000735	LOC6044469|XP_001861983.1|CQUI	LOC6551081|XP_001976949.1|DERE, LOC6543069|XP_001969325.1|DERE
OG0000736	LOC6037099|XP_038112503.1|CQUI	LOC6542433|XP_001968520.1|DERE, LOC6541559|XP_026834380.1|DERE
OG0000738	LOC6036448|XP_001846499.1|CQUI	LOC6542161|XP_001970222.1|DERE, LOC6540617|XP_001968889.2|DERE
OG0000739	LOC6036343|XP_038110352.1|CQUI	LOC6552883|XP_001979983.1|DERE, LOC6552885|XP_001979985.1|DERE
OG0000740	LOC6038854|XP_038113339.1|CQUI	LOC6552427|XP_026832108.1|DERE
OG0000741	LOC6038156|XP_038115491.1|CQUI, LOC6038158|XP_001847991.2|CQUI	LOC6550485|XP_015010723.1|DERE, LOC6552492|XP_001979841.1|DERE
OG0000742	LOC6046871|XP_038115688.1|CQUI	LOC6549752|XP_026838237.1|DERE, LOC6549754|XP_001978616.2|DERE
OG0000743	LOC6050273|XP_001866910.2|CQUI	LOC6545583|XP_001971117.1|DERE, LOC6547934|XP_001976359.3|DERE
OG0000744	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI	LOC113563682|XP_026836528.1|DERE
OG0000746	LOC6043117|XP_001855912.2|CQUI	LOC6541337|XP_001970531.1|DERE, LOC6542049|XP_001970532.1|DERE
OG0000753	LOC6048959|XP_038122824.1|CQUI	LOC6553672|XP_001980414.2|DERE, LOC6544982|XP_001971550.1|DERE
OG0000754	LOC6049897|XP_001866577.2|CQUI	LOC6550036|XP_015011100.1|DERE, LOC6551302|XP_001978401.1|DERE
OG0000756	LOC6046145|XP_001863379.2|CQUI	LOC6555491|XP_001981874.1|DERE
OG0000756	LOC6052700|XP_001868927.1|CQUI	LOC6555490|XP_001981873.2|DERE
OG0000757	LOC6046554|XP_038118070.1|CQUI	LOC6546034|XP_026833678.1|DERE
OG0000758	LOC6040607|XP_038119298.1|CQUI	LOC6545395|XP_026832956.1|DERE, LOC6545396|XP_026832954.1|DERE
OG0000761	LOC6033760|XP_038107373.1|CQUI	LOC6542097|XP_026835005.1|DERE, LOC6541537|XP_026835012.1|DERE
OG0000762	LOC6037908|XP_001847768.1|CQUI	LOC6540909|XP_001970290.1|DERE, LOC6542932|XP_001968426.1|DERE
OG0000764	LOC6039471|XP_038122347.1|CQUI	LOC6555295|XP_001982316.1|DERE, LOC6551355|XP_001977058.1|DERE
OG0000765	LOC6049633|XP_038120394.1|CQUI	LOC6545914|XP_001971138.1|DERE, LOC6555574|XP_015008786.1|DERE
OG0000766	LOC6046669|XP_001863836.1|CQUI	LOC6541722|XP_001969271.1|DERE, LOC6555721|XP_001982424.1|DERE
OG0000767	LOC6033818|XP_001844213.2|CQUI	LOC6552810|XP_001978941.3|DERE, LOC6545342|XP_015014082.1|DERE
OG0000768	LOC6037757|XP_038118780.1|CQUI	LOC6545229|XP_001973463.1|DERE
OG0000769	LOC6036915|XP_001846890.2|CQUI	LOC6554704|XP_001981782.1|DERE, LOC6549912|XP_001978664.2|DERE
OG0000770	LOC119766679|XP_038107821.1|CQUI, LOC6032313|XP_001842945.1|CQUI	LOC6543393|XP_026834453.1|DERE
OG0000771	LOC6037662|XP_038113592.1|CQUI	LOC6546382|XP_026833278.1|DERE, LOC6546381|XP_001971784.3|DERE
OG0000778	LOC6038198|XP_038117770.1|CQUI	LOC6544363|XP_001972001.1|DERE, LOC6544253|XP_001973820.2|DERE
OG0000779	LOC6051382|XP_038104144.1|CQUI, LOC6051383|XP_038115271.1|CQUI, LOC6041720|XP_038104033.1|CQUI, LOC6044161|XP_001861710.2|CQUI, LOC6044291|XP_038121588.1|CQUI	LOC6551020|XP_001978271.1|DERE
OG0000780	LOC6044209|XP_038104803.1|CQUI, LOC6044211|XP_038104434.1|CQUI, LOC6044213|XP_038122683.1|CQUI	LOC6542335|XP_001969145.1|DERE
OG0000781	LOC6037941|XP_038110485.1|CQUI	LOC6550244|XP_015011169.1|DERE, LOC6544200|XP_001973742.1|DERE
OG0000782	LOC6034796|XP_038114655.1|CQUI	LOC6544702|XP_001972456.1|DERE, LOC6550832|XP_026838127.1|DERE
OG0000783	LOC6034787|XP_001845060.1|CQUI	LOC6544374|XP_001972464.1|DERE, LOC6551288|XP_001978432.1|DERE
OG0000784	LOC6052698|XP_038104428.1|CQUI	LOC6543663|XP_001972962.1|DERE, LOC6550191|XP_001977580.1|DERE
OG0000785	LOC6046529|XP_001863710.2|CQUI, LOC6046527|XP_001863709.2|CQUI	LOC6555037|XP_001981408.1|DERE, LOC6554602|XP_001981554.1|DERE
OG0000786	LOC6037507|XP_038107901.1|CQUI	LOC6555881|XP_001982758.2|DERE, LOC6553483|XP_001979360.1|DERE
OG0000787	LOC6035614|XP_001845763.1|CQUI	LOC6545766|XP_001972178.1|DERE, LOC6551219|XP_001978392.1|DERE
OG0000788	LOC6045925|XP_001863200.1|CQUI	LOC26526642|XP_015012828.1|DERE, LOC6544579|XP_026833689.1|DERE
OG0000789	LOC6047537|XP_001864587.2|CQUI	LOC6540749|XP_001968836.3|DERE, LOC6540791|XP_026835000.1|DERE
OG0000790	LOC119767740|XP_038113035.1|CQUI	LOC6542593|XP_001968124.2|DERE, LOC6542772|XP_001968125.1|DERE, LOC6542555|XP_001968126.1|DERE
OG0000791	LOC6036471|XP_001846521.1|CQUI	LOC6554132|XP_001981684.1|DERE, LOC6554661|XP_015009069.1|DERE
OG0000792	LOC119767396|XP_038111828.1|CQUI, LOC6046623|XP_001863795.2|CQUI	LOC6543313|XP_001968286.3|DERE
OG0000793	LOC6046063|XP_001863318.1|CQUI	LOC6553829|XP_001979494.1|DERE, LOC26526698|XP_015011473.2|DERE
OG0000794	LOC6050901|XP_001867420.2|CQUI, LOC6050899|XP_001867422.2|CQUI	LOC6541865|XP_001968264.1|DERE, LOC6551537|XP_026837397.1|DERE
OG0000795	LOC6034049|XP_001844428.2|CQUI	LOC6551398|XP_001977210.1|DERE, LOC6552119|XP_001979726.1|DERE
OG0000796	LOC6036713|XP_001846717.2|CQUI	LOC6552280|XP_001980760.2|DERE, LOC6551525|XP_026838763.1|DERE
OG0000797	LOC6037066|XP_001847023.1|CQUI, LOC6046197|XP_001863428.1|CQUI	LOC6551991|XP_026832087.1|DERE, LOC6551992|XP_001980800.1|DERE
OG0000798	LOC6052446|XP_038107346.1|CQUI	LOC6549184|XP_001975744.2|DERE, LOC6549186|XP_001975746.1|DERE
OG0000799	LOC6054174|XP_038108545.1|CQUI	LOC6553869|XP_001980468.1|DERE, LOC6551377|XP_001978445.1|DERE
OG0000801	LOC6046949|XP_001864068.1|CQUI	LOC6547688|XP_001976368.1|DERE, LOC6548201|XP_001975084.1|DERE
OG0000802	LOC6040365|XP_001849765.2|CQUI, LOC6051527|XP_038106125.1|CQUI, LOC6040366|XP_038110323.1|CQUI	LOC6551340|XP_001978416.1|DERE, LOC6551339|XP_026837777.1|DERE
OG0000803	LOC6036009|XP_001846113.1|CQUI	LOC6542449|XP_001969928.1|DERE, LOC6543567|XP_001971827.1|DERE
OG0000811	LOC6032795|XP_001843334.2|CQUI	LOC6548681|XP_026836623.1|DERE
OG0000812	LOC6031005|XP_038117373.1|CQUI	LOC6550672|XP_026838169.1|DERE, LOC26525962|XP_015014202.1|DERE
OG0000813	LOC6036541|XP_001846586.2|CQUI	LOC6542917|XP_015015210.1|DERE
OG0000814	LOC6042898|XP_038118763.1|CQUI	LOC6547578|XP_026836171.1|DERE
OG0000815	LOC6031268|XP_038112299.1|CQUI, LOC6031267|XP_001842093.2|CQUI, LOC119766437|XP_038106914.1|CQUI, LOC6031271|XP_038111478.1|CQUI, LOC6031270|XP_038110981.1|CQUI	LOC6540651|XP_001968796.1|DERE, LOC113564074|XP_026834520.1|DERE
OG0000816	LOC6036458|XP_001846508.1|CQUI	LOC6551670|XP_001977173.1|DERE, LOC6553330|XP_001979192.1|DERE
OG0000817	LOC6041737|XP_001850957.1|CQUI	LOC6554259|XP_001981680.2|DERE, LOC26526671|XP_015009399.1|DERE
OG0000819	LOC6051147|XP_038117088.1|CQUI	LOC6549774|XP_001977594.3|DERE
OG0000820	LOC6038086|XP_038108938.1|CQUI	LOC6550352|XP_001977781.1|DERE, LOC6547167|XP_026835915.1|DERE
OG0000821	LOC6036623|XP_001846651.2|CQUI	LOC6553664|XP_001980344.1|DERE, LOC6547316|XP_026836831.1|DERE
OG0000822	LOC6036736|XP_001846735.2|CQUI	LOC6543657|XP_001972957.1|DERE, LOC6540768|XP_001970303.2|DERE
OG0000830	LOC6040678|XP_001850034.1|CQUI, LOC6040677|XP_001850032.1|CQUI, LOC6040679|XP_001850033.2|CQUI	LOC6550378|XP_015010745.1|DERE
OG0000831	LOC6032985|XP_038104688.1|CQUI, LOC6032982|XP_001843494.2|CQUI, LOC6039734|XP_001849286.2|CQUI	LOC6544787|XP_001972494.2|DERE
OG0000832	LOC6038039|XP_001847884.1|CQUI	LOC6548777|XP_001975432.1|DERE
OG0000833	LOC119770850|XP_038122366.1|CQUI, LOC6043801|XP_038117043.1|CQUI	LOC6544991|XP_001973283.3|DERE
OG0000834	LOC6049792|XP_001866498.2|CQUI	LOC6554475|XP_001981288.1|DERE
OG0000836	LOC6033191|XP_038110903.1|CQUI	LOC113563704|XP_026839459.1|DERE, LOC6541759|XP_001969480.1|DERE
OG0000837	LOC6046885|XP_038117989.1|CQUI	LOC6551100|XP_001976905.1|DERE
OG0000838	LOC6039707|XP_001849263.2|CQUI	LOC26526470|XP_015012808.1|DERE, LOC26526726|XP_015012844.1|DERE
OG0000839	LOC6032544|XP_001843124.2|CQUI	LOC6552548|XP_001978958.1|DERE, LOC26526152|XP_015010450.1|DERE
OG0000840	LOC6033814|XP_001844211.2|CQUI	LOC6542185|XP_001970769.1|DERE, LOC6551649|XP_026838263.1|DERE
OG0000842	LOC6052627|XP_038111165.1|CQUI	LOC6543191|XP_026835432.1|DERE, LOC6553753|XP_001979413.1|DERE
OG0000843	LOC6052901|XP_001869081.2|CQUI	LOC6548128|XP_001976505.1|DERE
OG0000844	LOC6040955|XP_038108140.1|CQUI	LOC6548117|XP_026836225.1|DERE, LOC6553058|XP_015009431.2|DERE
OG0000845	LOC119769629|XP_038118744.1|CQUI, LOC6040642|XP_001850007.2|CQUI	LOC6551089|XP_001977103.1|DERE, LOC6551091|XP_001977105.1|DERE
OG0000854	LOC6041770|XP_001850988.2|CQUI	LOC6550844|XP_001977009.1|DERE, LOC6551205|XP_026838590.1|DERE
OG0000855	LOC6040439|XP_038111121.1|CQUI	LOC6555774|XP_001982532.1|DERE, LOC6552920|XP_026831695.1|DERE
OG0000856	LOC6042751|XP_038104746.1|CQUI	LOC6550623|XP_026837735.1|DERE, LOC6543882|XP_001973641.1|DERE
OG0000857	LOC6045738|XP_038104079.1|CQUI, LOC6045740|XP_001863047.2|CQUI, LOC6048852|XP_001865699.1|CQUI, LOC6052371|XP_001868657.2|CQUI	LOC6549874|XP_026837709.1|DERE
OG0000858	LOC6033717|XP_001844137.2|CQUI	LOC6553564|XP_001980334.1|DERE, LOC6552582|XP_001980333.1|DERE
OG0000860	LOC6032867|XP_038115886.1|CQUI	LOC6546053|XP_001973506.3|DERE, LOC6543646|XP_026832763.1|DERE
OG0000861	LOC6037309|XP_001847235.1|CQUI	LOC6547865|XP_026836611.1|DERE
OG0000862	LOC6043976|XP_001861556.2|CQUI	LOC6547740|XP_001974994.1|DERE, LOC6540806|XP_001968845.1|DERE
OG0000863	LOC6044024|XP_038115592.1|CQUI	LOC6555197|XP_001982293.1|DERE
OG0000864	LOC6041419|XP_038113943.1|CQUI	LOC6542131|XP_001969620.1|DERE, LOC6551242|XP_001978334.3|DERE
OG0000865	LOC6032934|XP_038112958.1|CQUI	LOC6549970|XP_015011424.1|DERE, LOC6551796|XP_001980809.1|DERE
OG0000866	LOC6041493|XP_038110702.1|CQUI	LOC6542113|XP_001968262.1|DERE, LOC6543145|XP_001968263.2|DERE
OG0000867	LOC6050061|XP_001866728.2|CQUI	LOC6543164|XP_001968910.1|DERE, LOC6541270|XP_001969441.1|DERE
OG0000868	LOC6037576|XP_001847472.2|CQUI, LOC6038283|XP_038112513.1|CQUI	LOC6551669|XP_026838814.1|DERE
OG0000869	LOC119767364|XP_038111763.1|CQUI	LOC6553199|XP_001979160.1|DERE
OG0000871	LOC6038540|XP_001848327.2|CQUI, LOC6038577|XP_038106280.1|CQUI, LOC6038538|XP_001848325.2|CQUI	LOC6546906|XP_001975985.1|DERE
OG0000872	LOC6038131|XP_001847929.1|CQUI	LOC6550121|XP_001977702.1|DERE, LOC6548121|XP_001976535.1|DERE
OG0000873	LOC6047243|XP_001864326.2|CQUI, LOC6038744|XP_038111904.1|CQUI, LOC6036763|XP_038106219.1|CQUI	LOC6543980|XP_001973721.1|DERE
OG0000874	LOC6037196|XP_038109655.1|CQUI	LOC6551060|XP_001976920.3|DERE, LOC6548312|XP_015012293.1|DERE
OG0000875	LOC6040537|XP_038110191.1|CQUI	LOC6545785|XP_001973421.1|DERE
OG0000882	LOC6051045|XP_038104452.1|CQUI	LOC6550017|XP_001977483.2|DERE
OG0000883	LOC6048227|XP_038121671.1|CQUI, LOC6041000|XP_038121158.1|CQUI, LOC6030792|XP_001841691.2|CQUI, LOC6047675|XP_001864705.2|CQUI	LOC6550577|XP_001978178.1|DERE
OG0000885	LOC6048168|XP_001865124.1|CQUI, LOC6048169|XP_001865125.1|CQUI, LOC6048170|XP_001865126.1|CQUI	LOC6554074|XP_015009693.1|DERE
OG0000887	LOC6052421|XP_038120936.1|CQUI, LOC6052420|XP_038121806.1|CQUI, LOC6039002|XP_001848684.2|CQUI	LOC6551668|XP_026838738.1|DERE
OG0000888	LOC6036591|XP_038115396.1|CQUI, LOC6036581|XP_038118642.1|CQUI	LOC6545469|XP_026832562.1|DERE
OG0000889	LOC6033544|XP_001843978.2|CQUI	LOC6544238|XP_026832670.1|DERE
OG0000890	LOC6043796|XP_001861395.2|CQUI	LOC6547341|XP_001976294.1|DERE
OG0000891	LOC6041067|XP_038111593.1|CQUI	LOC6540808|XP_001969598.1|DERE, LOC6541140|XP_026834823.1|DERE
OG0000892	LOC6041555|XP_001850801.2|CQUI	LOC6544176|XP_001972373.1|DERE, LOC6545987|XP_001973501.2|DERE
OG0000893	LOC6034999|XP_001845244.2|CQUI, LOC6034994|XP_038116648.1|CQUI, LOC6034998|XP_038115749.1|CQUI, LOC6034997|XP_038115753.1|CQUI, LOC6034995|XP_001845241.2|CQUI, LOC119768921|XP_038116647.1|CQUI, LOC119768764|XP_038115747.1|CQUI, LOC119768763|XP_038115744.1|CQUI, LOC119768765|XP_038115748.1|CQUI	LOC6553292|XP_026836139.1|DERE
OG0000894	LOC6043434|XP_001859054.2|CQUI	LOC6553053|XP_001979140.1|DERE
OG0000895	LOC6050900|XP_001867421.2|CQUI	LOC6548656|XP_001975378.1|DERE
OG0000896	LOC6048670|XP_038107984.1|CQUI	LOC6548678|XP_001975361.1|DERE, LOC6551254|XP_001978442.1|DERE
OG0000907	LOC6052354|XP_001868642.2|CQUI	LOC6548129|XP_001976506.1|DERE
OG0000909	LOC6039203|XP_038105481.1|CQUI	LOC6555786|XP_001982456.1|DERE, LOC6555312|XP_001982085.1|DERE
OG0000910	LOC6034092|XP_038116190.1|CQUI	LOC6551774|XP_001980643.1|DERE, LOC6550835|XP_015011340.1|DERE
OG0000911	LOC6033485|XP_001843927.2|CQUI	LOC6546555|XP_001974569.1|DERE
OG0000912	LOC6033531|XP_001843968.1|CQUI, LOC6033530|XP_001843967.1|CQUI	LOC6543791|XP_001973139.1|DERE, LOC6543792|XP_001973140.1|DERE
OG0000914	LOC6032957|XP_001843473.2|CQUI, LOC6032960|XP_001843476.1|CQUI, LOC6032959|XP_001843475.1|CQUI, LOC6042107|XP_001851258.1|CQUI	LOC6546811|XP_001975921.1|DERE
OG0000915	LOC6049126|XP_038107760.1|CQUI	LOC6548651|XP_001975391.1|DERE, LOC6551273|XP_001976892.1|DERE
OG0000916	LOC6044540|XP_038107414.1|CQUI, LOC6044537|XP_038109271.1|CQUI	LOC6543482|XP_026834387.1|DERE
OG0000917	LOC6036130|XP_038112959.1|CQUI	LOC26526594|XP_026832219.1|DERE, LOC6541723|XP_026835118.1|DERE
OG0000918	LOC6053853|XP_038107451.1|CQUI	LOC6542553|XP_026834867.1|DERE, LOC6541709|XP_001968525.2|DERE
