Orthogroup	CQUI.longest_only	DSUP.longest_only
OG0000292	LOC119767153|XP_038110917.1|CQUI, LOC6032972|XP_038111128.1|CQUI	LOC119551580|XP_037716910.1|DSUP
OG0000292	LOC6049271|XP_038113407.1|CQUI	LOC119555309|XP_037722556.1|DSUP
OG0000293	LOC6054551|XP_001870445.1|CQUI	LOC119560571|XP_037730022.1|DSUP, LOC119547401|XP_037710178.1|DSUP, LOC119563029|XP_037732155.1|DSUP
OG0000294	LOC6036934|XP_038120542.1|CQUI	LOC119556226|XP_037724143.1|DSUP
OG0000296	LOC6034992|XP_001845238.2|CQUI	LOC119547676|XP_037710564.1|DSUP, LOC119553390|XP_037719677.1|DSUP, LOC119556856|XP_037725256.1|DSUP
OG0000300	LOC6044458|XP_001861972.2|CQUI, LOC6044459|XP_001861973.2|CQUI	LOC119555430|XP_037722727.1|DSUP, LOC119555517|XP_037722869.1|DSUP, LOC119555516|XP_037722867.1|DSUP
OG0000301	LOC6047906|XP_001864898.1|CQUI	LOC119557972|XP_037727014.1|DSUP
OG0000301	LOC6034863|XP_001845133.1|CQUI	LOC119547423|XP_037710205.1|DSUP
OG0000302	LOC6032144|XP_001842798.2|CQUI, LOC6032143|XP_001842797.2|CQUI, LOC119767038|XP_038110222.1|CQUI, LOC6032141|XP_001842795.2|CQUI	LOC119553035|XP_037719025.1|DSUP, LOC119553036|XP_037719027.1|DSUP
OG0000303	LOC6052242|XP_038120948.1|CQUI	LOC119554469|XP_037721312.1|DSUP, LOC119556702|XP_037725028.1|DSUP, LOC119548434|XP_037711611.1|DSUP
OG0000304	LOC6042769|XP_038116430.1|CQUI	LOC119548725|XP_037712149.1|DSUP, LOC119548727|XP_037712163.1|DSUP, LOC119548733|XP_037712178.1|DSUP
OG0000305	LOC6035458|XP_001845644.2|CQUI	LOC119554561|XP_037721460.1|DSUP
OG0000306	LOC6049473|XP_038122439.1|CQUI	LOC119550377|XP_037714952.1|DSUP, LOC119550280|XP_037714797.1|DSUP, LOC119556224|XP_037724136.1|DSUP
OG0000307	LOC6048080|XP_038107440.1|CQUI	LOC119563457|XP_037732788.1|DSUP
OG0000307	LOC6032667|XP_038106011.1|CQUI	LOC119563134|XP_037732313.1|DSUP
OG0000311	LOC6038299|XP_038123051.1|CQUI	LOC119549100|XP_037712775.1|DSUP, LOC119559754|XP_037728756.1|DSUP, LOC119556049|XP_037723771.1|DSUP
OG0000312	LOC119766616|XP_038107494.1|CQUI	LOC119548754|XP_037712203.1|DSUP
OG0000312	LOC6051796|XP_038114098.1|CQUI, LOC6033298|XP_038108136.1|CQUI	LOC119547235|XP_037709936.1|DSUP
OG0000313	LOC6042070|XP_038107572.1|CQUI, LOC6042069|XP_038107570.1|CQUI	LOC119547230|XP_037709918.1|DSUP, LOC119546767|XP_037709242.1|DSUP, LOC119546766|XP_037709241.1|DSUP
OG0000314	LOC6046120|XP_038110284.1|CQUI, LOC6046124|XP_038110089.1|CQUI, LOC6046123|XP_038113558.1|CQUI, LOC6046125|XP_038110087.1|CQUI, LOC6046116|XP_038107379.1|CQUI, LOC6046119|XP_038107380.1|CQUI	LOC119546240|XP_037708314.1|DSUP
OG0000315	LOC6053118|XP_001869267.2|CQUI, LOC6053120|XP_038112347.1|CQUI	LOC119552129|XP_037717845.1|DSUP, LOC119547563|XP_037710392.1|DSUP, LOC119546320|XP_037708447.1|DSUP, LOC119547967|XP_037710945.1|DSUP, LOC119546318|XP_037708444.1|DSUP, LOC119550577|XP_037715296.1|DSUP, LOC119548123|XP_037711147.1|DSUP
OG0000320	LOC6035063|XP_038114234.1|CQUI	LOC119555629|XP_037723080.1|DSUP, LOC119547495|XP_037710313.1|DSUP, LOC119560473|XP_037729861.1|DSUP
OG0000321	LOC6046508|XP_001863695.2|CQUI, LOC6044682|XP_001862157.2|CQUI, LOC6046507|XP_001863694.2|CQUI, LOC6053869|XP_001869887.2|CQUI	LOC119548734|XP_037712174.1|DSUP, LOC119548735|XP_037712177.1|DSUP
OG0000322	LOC6046615|XP_038120091.1|CQUI, LOC119769501|XP_038118112.1|CQUI, LOC119769502|XP_038118113.1|CQUI	LOC119560924|XP_037730572.1|DSUP, LOC119557233|XP_037725842.1|DSUP, LOC119556485|XP_037724668.1|DSUP
OG0000323	LOC6033388|XP_038109505.1|CQUI	LOC119547612|XP_037710464.1|DSUP, LOC119560269|XP_037729567.1|DSUP, LOC119563462|XP_037732802.1|DSUP
OG0000324	LOC6032322|XP_038109936.1|CQUI	LOC119549257|XP_037713092.1|DSUP
OG0000325	LOC6034529|XP_001844829.1|CQUI, LOC6034530|XP_001844830.2|CQUI, LOC6043286|XP_001858177.2|CQUI	LOC119553256|XP_037719470.1|DSUP, LOC119554358|XP_037721153.1|DSUP
OG0000331	LOC6033593|XP_038107031.1|CQUI, LOC6053126|XP_038104862.1|CQUI, LOC119766830|XP_038108839.1|CQUI	LOC119546909|XP_037709462.1|DSUP, LOC119546916|XP_037709473.1|DSUP
OG0000332	LOC119770165|XP_038120507.1|CQUI	LOC119546804|XP_037709311.1|DSUP
OG0000332	LOC119765344|XP_038104986.1|CQUI, LOC6046361|XP_038121114.1|CQUI	LOC119560276|XP_037729572.1|DSUP, LOC119560281|XP_037729579.1|DSUP, LOC119557897|XP_037726831.1|DSUP
OG0000333	LOC6037279|XP_038115324.1|CQUI	LOC119555289|XP_037722531.1|DSUP, LOC119554137|XP_037720839.1|DSUP
OG0000334	LOC6037101|XP_001847049.1|CQUI	LOC119549576|XP_037713661.1|DSUP, LOC119557988|XP_037727010.1|DSUP, LOC119550790|XP_037715649.1|DSUP
OG0000335	LOC6038268|XP_001848092.2|CQUI, LOC6043220|XP_001857710.2|CQUI	LOC119547445|XP_037710233.1|DSUP, LOC119546863|XP_037709394.1|DSUP
OG0000338	LOC6042304|XP_038118860.1|CQUI	LOC119554236|XP_037720995.1|DSUP
OG0000338	LOC6052391|XP_038116274.1|CQUI	LOC119556910|XP_037725325.1|DSUP, LOC119549111|XP_037712785.1|DSUP
OG0000339	LOC119770586|XP_038121683.1|CQUI	LOC119554320|XP_037721109.1|DSUP, LOC119554498|XP_037721359.1|DSUP
OG0000340	LOC6042260|XP_001851398.2|CQUI	LOC119559712|XP_037728701.1|DSUP, LOC119559713|XP_037728703.1|DSUP, LOC119551447|XP_037716717.1|DSUP
OG0000342	LOC6039057|XP_038104470.1|CQUI	LOC119557920|XP_037726856.1|DSUP, LOC119559800|XP_037728814.1|DSUP, LOC119550627|XP_037715384.1|DSUP
OG0000343	LOC6047925|XP_038105326.1|CQUI	LOC119555857|XP_037723429.1|DSUP, LOC119555862|XP_037723444.1|DSUP
OG0000343	LOC6047918|XP_001864906.2|CQUI, LOC6047916|XP_001864904.2|CQUI, LOC6047922|XP_001864903.2|CQUI, LOC6047917|XP_001864905.1|CQUI	LOC119560936|XP_037730600.1|DSUP
OG0000344	LOC6031612|XP_038122864.1|CQUI, LOC6031624|XP_038104631.1|CQUI, LOC6031626|XP_001842376.2|CQUI	LOC119550929|XP_037715874.1|DSUP, LOC119563417|XP_037732714.1|DSUP
OG0000345	LOC6043920|XP_001861505.1|CQUI	LOC119549289|XP_037713166.1|DSUP
OG0000345	LOC6048424|XP_038108064.1|CQUI	LOC119549838|XP_037714045.1|DSUP
OG0000346	LOC6047939|XP_038119570.1|CQUI	LOC119551013|XP_037715993.1|DSUP, LOC119549611|XP_037713709.1|DSUP, LOC119549609|XP_037713708.1|DSUP, LOC119550259|XP_037714765.1|DSUP, LOC119549714|XP_037713875.1|DSUP, LOC119549559|XP_037713637.1|DSUP, LOC119552051|XP_037717722.1|DSUP, LOC119549626|XP_037713736.1|DSUP, LOC119549622|XP_037713727.1|DSUP
OG0000347	LOC6053028|XP_001869188.1|CQUI	LOC119554451|XP_037721291.1|DSUP
OG0000347	LOC6035234|XP_038108929.1|CQUI	LOC119547755|XP_037710685.1|DSUP
OG0000348	LOC6052178|XP_038112049.1|CQUI	LOC119548541|XP_037711764.1|DSUP, LOC119546670|XP_037709057.1|DSUP
OG0000349	LOC6044701|XP_038109328.1|CQUI	LOC119547767|XP_037710704.1|DSUP, LOC119547766|XP_037710702.1|DSUP
OG0000351	LOC6035566|XP_001845722.1|CQUI, LOC119766460|XP_038106947.1|CQUI, LOC6051460|XP_038108559.1|CQUI, LOC119765222|XP_038104585.1|CQUI, LOC6035564|XP_001845720.2|CQUI, LOC119765223|XP_038104588.1|CQUI	LOC119550250|XP_037714753.1|DSUP, LOC119550738|XP_037715582.1|DSUP
OG0000353	LOC6053768|XP_038115591.1|CQUI	LOC119560509|XP_037729911.1|DSUP
OG0000353	LOC6032433|XP_001843031.1|CQUI	LOC119562713|XP_037731829.1|DSUP
OG0000355	LOC6052795|XP_001868999.1|CQUI, LOC6053794|XP_001869822.2|CQUI	LOC119550656|XP_037715428.1|DSUP, LOC119550325|XP_037714859.1|DSUP
OG0000356	LOC6036029|XP_001846132.2|CQUI, LOC6036024|XP_038108101.1|CQUI	LOC119546574|XP_037708899.1|DSUP, LOC119546573|XP_037708897.1|DSUP
OG0000361	LOC6053088|XP_001869241.2|CQUI	LOC119555916|XP_037723545.1|DSUP, LOC119560168|XP_037729455.1|DSUP, LOC119559346|XP_037728322.1|DSUP, LOC119548445|XP_037711635.1|DSUP
OG0000362	LOC6034794|XP_001845067.1|CQUI	LOC119552668|XP_037718347.1|DSUP
OG0000362	LOC6035685|XP_001845819.1|CQUI	LOC119552847|XP_037718643.1|DSUP
OG0000363	LOC6039378|XP_038117966.1|CQUI	LOC119547186|XP_037709852.1|DSUP
OG0000363	LOC6040951|XP_038117956.1|CQUI	LOC119553817|XP_037720366.1|DSUP
OG0000365	LOC6046162|XP_038120872.1|CQUI	LOC119550914|XP_037715834.1|DSUP
OG0000365	LOC6041372|XP_038113037.1|CQUI	LOC119548405|XP_037711569.1|DSUP
OG0000366	LOC6033823|XP_038120114.1|CQUI	LOC119556170|XP_037724017.1|DSUP
OG0000366	LOC6052602|XP_038120752.1|CQUI	LOC119548850|XP_037712403.1|DSUP
OG0000367	LOC6042616|XP_038111624.1|CQUI, LOC6042617|XP_038108533.1|CQUI, LOC6042618|XP_038108524.1|CQUI	LOC119555393|XP_037722668.1|DSUP, LOC119549132|XP_037712829.1|DSUP
OG0000368	LOC6034536|XP_038111824.1|CQUI, LOC6034538|XP_001844838.2|CQUI	LOC119553186|XP_037719361.1|DSUP
OG0000376	LOC119765395|XP_038105106.1|CQUI	LOC119556425|XP_037724572.1|DSUP, LOC119556388|XP_037724491.1|DSUP
OG0000377	LOC6038728|XP_001848468.2|CQUI, LOC6039325|XP_038116617.1|CQUI, LOC6039830|XP_001849342.2|CQUI	LOC119557124|XP_037725636.1|DSUP, LOC119560957|XP_037730633.1|DSUP
OG0000378	LOC6037751|XP_001847631.2|CQUI, LOC6034070|XP_001844445.1|CQUI, LOC6034072|XP_001844447.1|CQUI	LOC119550111|XP_037714520.1|DSUP
OG0000379	LOC6054491|XP_038116536.1|CQUI	LOC119549991|XP_037714328.1|DSUP, LOC119549908|XP_037714156.1|DSUP, LOC119549184|XP_037712931.1|DSUP
OG0000380	LOC6050294|XP_001866924.2|CQUI	LOC119559414|XP_037728436.1|DSUP, LOC119554199|XP_037720927.1|DSUP
OG0000381	LOC6034141|XP_038110237.1|CQUI	LOC119547683|XP_037710570.1|DSUP, LOC119546749|XP_037709177.1|DSUP
OG0000382	LOC6033030|XP_001843536.2|CQUI, LOC6032454|XP_001843050.1|CQUI, LOC6033101|XP_001843596.2|CQUI	LOC119554122|XP_037720823.1|DSUP, LOC119555075|XP_037722213.1|DSUP
OG0000383	LOC6047999|XP_001864974.2|CQUI, LOC6031746|XP_038110977.1|CQUI	LOC119548376|XP_037711522.1|DSUP, LOC119546383|XP_037708547.1|DSUP
OG0000384	LOC6043083|XP_001855521.2|CQUI	LOC119549845|XP_037714065.1|DSUP
OG0000384	LOC6052961|XP_038112129.1|CQUI	LOC119551674|XP_037717056.1|DSUP
OG0000385	LOC6033386|XP_038111698.1|CQUI	LOC119557725|XP_037726535.1|DSUP
OG0000385	LOC6034706|XP_001844987.2|CQUI	LOC119557035|XP_037725509.1|DSUP
OG0000386	LOC6051258|XP_001867726.2|CQUI	LOC119553894|XP_037720489.1|DSUP, LOC119553842|XP_037720414.1|DSUP, LOC119563059|XP_037732202.1|DSUP
OG0000389	LOC6044336|XP_038104141.1|CQUI	LOC119560017|XP_037729231.1|DSUP
OG0000389	LOC119768065|XP_038114337.1|CQUI	LOC119554027|XP_037720671.1|DSUP
OG0000390	LOC6051517|XP_038107785.1|CQUI, LOC6051512|XP_038107787.1|CQUI, LOC6043601|XP_038122427.1|CQUI, LOC6033596|XP_038111911.1|CQUI, LOC6033640|XP_001844067.2|CQUI, LOC6033641|XP_038107557.1|CQUI	LOC119546509|XP_037708759.1|DSUP, LOC119547695|XP_037710595.1|DSUP
OG0000391	LOC6035291|XP_038120263.1|CQUI	LOC119551111|XP_037716219.1|DSUP
OG0000391	LOC6044436|XP_038107548.1|CQUI	LOC119550814|XP_037715683.1|DSUP
OG0000392	LOC6031277|XP_038112487.1|CQUI, LOC6040869|XP_038111082.1|CQUI	LOC119548478|XP_037711677.1|DSUP, LOC119546875|XP_037709410.1|DSUP
OG0000393	LOC6051324|XP_038109507.1|CQUI	LOC119547457|XP_037710248.1|DSUP
OG0000393	LOC6037920|XP_038107003.1|CQUI	LOC119547459|XP_037710263.1|DSUP
OG0000394	LOC6045636|XP_001862965.2|CQUI, LOC119769911|XP_038119665.1|CQUI, LOC6042215|XP_001851356.2|CQUI, LOC6031460|XP_001842264.1|CQUI, LOC119767415|XP_038111890.1|CQUI, LOC119767659|XP_038112639.1|CQUI, LOC119769986|XP_038119914.1|CQUI	LOC119556496|XP_037724684.1|DSUP, LOC119556495|XP_037724682.1|DSUP
OG0000395	LOC119766736|XP_038108203.1|CQUI	LOC119555542|XP_037722903.1|DSUP, LOC119555384|XP_037722656.1|DSUP, LOC119555385|XP_037722657.1|DSUP
OG0000399	LOC6049034|XP_038104118.1|CQUI	LOC119563056|XP_037732197.1|DSUP, LOC119551789|XP_037717263.1|DSUP
OG0000400	LOC6040422|XP_038104927.1|CQUI	LOC119556453|XP_037724621.1|DSUP, LOC119557100|XP_037725605.1|DSUP
OG0000402	LOC6044718|XP_038119575.1|CQUI, LOC6047997|XP_001864961.2|CQUI, LOC6035773|XP_001845896.2|CQUI, LOC6053930|XP_001869933.2|CQUI, LOC6053931|XP_001869934.2|CQUI, LOC6053933|XP_038122341.1|CQUI, LOC6053909|XP_038122873.1|CQUI	LOC119557469|XP_037726163.1|DSUP
OG0000404	LOC6054458|XP_001870365.2|CQUI, LOC6035436|XP_038104425.1|CQUI, LOC6035437|XP_001845626.2|CQUI, LOC6035435|XP_038106179.1|CQUI, LOC6035438|XP_038123010.1|CQUI, LOC6035440|XP_038105339.1|CQUI, LOC6035439|XP_038123023.1|CQUI	LOC119545650|XP_037707303.1|DSUP, LOC119545651|XP_037707304.1|DSUP
OG0000405	LOC6040923|XP_001850251.2|CQUI	LOC119557502|XP_037726203.1|DSUP
OG0000405	LOC6040924|XP_001850252.2|CQUI	LOC119559889|XP_037728955.1|DSUP
OG0000406	LOC6045472|XP_038119856.1|CQUI, LOC6034068|XP_001844444.1|CQUI	LOC119554505|XP_037721370.1|DSUP, LOC119549895|XP_037714132.1|DSUP
OG0000407	LOC6033066|XP_038117490.1|CQUI	LOC119555101|XP_037722247.1|DSUP
OG0000407	LOC6054107|XP_038118605.1|CQUI	LOC119555099|XP_037722244.1|DSUP
OG0000408	LOC119765130|XP_038104238.1|CQUI	LOC119562080|XP_037731322.1|DSUP, LOC119548120|XP_037711144.1|DSUP
OG0000409	LOC6050527|XP_038113781.1|CQUI	LOC119550517|XP_037715154.1|DSUP, LOC119551014|XP_037715996.1|DSUP
OG0000410	LOC6036181|XP_038113692.1|CQUI	LOC119548863|XP_037712418.1|DSUP, LOC119546841|XP_037709363.1|DSUP, LOC119547080|XP_037709701.1|DSUP
OG0000411	LOC6038155|XP_001847988.1|CQUI	LOC119545800|XP_037707611.1|DSUP
OG0000411	LOC6048269|XP_001865212.1|CQUI	LOC119546640|XP_037709012.1|DSUP
OG0000412	LOC6046234|XP_038120897.1|CQUI, LOC6046235|XP_001863463.1|CQUI	LOC119549146|XP_037712853.1|DSUP, LOC119554858|XP_037721865.1|DSUP
OG0000413	LOC6042051|XP_038120468.1|CQUI	LOC119560345|XP_037729669.1|DSUP, LOC119560335|XP_037729655.1|DSUP
OG0000414	LOC6045442|XP_038106424.1|CQUI, LOC6045443|XP_038109329.1|CQUI	LOC119556951|XP_037725378.1|DSUP, LOC119559427|XP_037728451.1|DSUP
OG0000415	LOC6034217|XP_001844570.1|CQUI	LOC119549103|XP_037712766.1|DSUP, LOC119549104|XP_037712769.1|DSUP
OG0000416	LOC6052843|XP_001869039.2|CQUI	LOC119556380|XP_037724480.1|DSUP
OG0000417	LOC6036777|XP_038113609.1|CQUI	LOC119563234|XP_037732467.1|DSUP
OG0000417	LOC6045382|XP_038122609.1|CQUI	LOC119557738|XP_037726555.1|DSUP
OG0000418	LOC6051484|XP_001867920.1|CQUI, LOC6051483|XP_001867919.2|CQUI	LOC119556822|XP_037725201.1|DSUP, LOC119557471|XP_037726167.1|DSUP
OG0000419	LOC6042303|XP_001851438.1|CQUI	LOC119552103|XP_037717816.1|DSUP
OG0000421	LOC6035780|XP_038108560.1|CQUI	LOC119546111|XP_037708126.1|DSUP
OG0000421	LOC6033111|XP_038111263.1|CQUI	LOC119548325|XP_037711434.1|DSUP
OG0000422	LOC6034864|XP_038111635.1|CQUI, LOC6034865|XP_001845135.2|CQUI, LOC6040477|XP_001849863.2|CQUI	LOC119562340|XP_037731434.1|DSUP, LOC119562330|XP_037731416.1|DSUP, LOC119559649|XP_037728624.1|DSUP
OG0000423	LOC6043479|XP_001859363.2|CQUI, LOC6043483|XP_001859378.1|CQUI, LOC6043484|XP_001859368.2|CQUI	LOC119549820|XP_037714026.1|DSUP, LOC119550725|XP_037715551.1|DSUP
OG0000424	LOC6032379|XP_038109405.1|CQUI	LOC119551327|XP_037716549.1|DSUP
OG0000425	LOC6051878|XP_038111177.1|CQUI	LOC119550604|XP_037715347.1|DSUP
OG0000425	LOC6049711|XP_038113311.1|CQUI	LOC119550190|XP_037714659.1|DSUP
OG0000426	LOC6043942|XP_001861525.2|CQUI	LOC119549662|XP_037713794.1|DSUP, LOC119549661|XP_037713793.1|DSUP
OG0000429	LOC6048181|XP_001865138.2|CQUI	LOC119549733|XP_037713903.1|DSUP
OG0000433	LOC6042750|XP_001870760.2|CQUI	LOC119558311|XP_037727641.1|DSUP
OG0000433	LOC6040995|XP_038119615.1|CQUI	LOC119555375|XP_037722646.1|DSUP
OG0000434	LOC6042411|XP_001851531.2|CQUI	LOC119563256|XP_037732498.1|DSUP
OG0000434	LOC119765343|XP_038104983.1|CQUI	LOC119551878|XP_037717401.1|DSUP
OG0000435	LOC6038210|XP_001848042.2|CQUI, LOC6038215|XP_001848044.2|CQUI, LOC6038528|XP_038106285.1|CQUI, LOC6038862|XP_038117185.1|CQUI, LOC6033440|XP_001843891.2|CQUI, LOC6033751|XP_001844161.2|CQUI, LOC6040045|XP_001849517.2|CQUI, LOC6038217|XP_001848046.2|CQUI, LOC6038216|XP_001848045.2|CQUI, LOC6038860|XP_001848565.2|CQUI, LOC6038859|XP_001848564.2|CQUI, LOC6037532|XP_038109452.1|CQUI, LOC6037531|XP_001847431.2|CQUI, LOC6054227|XP_038119514.1|CQUI, LOC6039205|XP_038104995.1|CQUI	LOC119557652|XP_037726434.1|DSUP
OG0000437	LOC6052828|XP_001869024.1|CQUI	LOC119547341|XP_037710081.1|DSUP
OG0000437	LOC6048330|XP_001865266.2|CQUI	LOC119547982|XP_037710966.1|DSUP
OG0000438	LOC6034110|XP_038111570.1|CQUI	LOC119555094|XP_037722239.1|DSUP, LOC119555085|XP_037722229.1|DSUP, LOC119554319|XP_037721112.1|DSUP
OG0000439	LOC6039581|XP_038109671.1|CQUI	LOC119547797|XP_037710741.1|DSUP
OG0000439	LOC6051719|XP_038113453.1|CQUI	LOC119553151|XP_037719299.1|DSUP
OG0000440	LOC6036645|XP_001846671.2|CQUI	LOC119550131|XP_037714555.1|DSUP, LOC119549331|XP_037713239.1|DSUP
OG0000441	LOC6050426|XP_038113065.1|CQUI	LOC119551999|XP_037717651.1|DSUP, LOC119550691|XP_037715484.1|DSUP
OG0000442	LOC6035011|XP_038119411.1|CQUI	LOC119555154|XP_037722307.1|DSUP
OG0000443	LOC6034172|XP_001844528.2|CQUI, LOC6034174|XP_001844529.2|CQUI	LOC119553469|XP_037719800.1|DSUP, LOC119553297|XP_037719542.1|DSUP
OG0000444	LOC6034653|XP_001844941.2|CQUI, LOC6036079|XP_001846172.1|CQUI	LOC119546225|XP_037708292.1|DSUP, LOC119548125|XP_037711150.1|DSUP
OG0000448	LOC6044342|XP_001861872.2|CQUI, LOC6044340|XP_038105584.1|CQUI	LOC119556193|XP_037724070.1|DSUP, LOC119563196|XP_037732411.1|DSUP
OG0000449	LOC6033785|XP_038109492.1|CQUI	LOC119554650|XP_037721579.1|DSUP
OG0000450	LOC6050628|XP_038113806.1|CQUI	LOC119558415|XP_037727876.1|DSUP
OG0000450	LOC6042731|XP_038116979.1|CQUI	LOC119556428|XP_037724576.1|DSUP
OG0000451	LOC6034433|XP_001844750.1|CQUI	LOC119557243|XP_037725855.1|DSUP
OG0000451	LOC6034434|XP_038105282.1|CQUI	LOC119557245|XP_037725859.1|DSUP
OG0000453	LOC6041371|XP_038105173.1|CQUI, LOC6041353|XP_001850627.1|CQUI	LOC119560958|XP_037730634.1|DSUP
OG0000454	LOC6031085|XP_001841933.2|CQUI	LOC119560282|XP_037729581.1|DSUP, LOC119555486|XP_037722824.1|DSUP
OG0000456	LOC6047972|XP_038113525.1|CQUI	LOC119549981|XP_037714352.1|DSUP
OG0000456	LOC6036162|XP_038107996.1|CQUI	LOC119546515|XP_037708769.1|DSUP
OG0000457	LOC6047780|XP_038111522.1|CQUI	LOC119546756|XP_037709215.1|DSUP
OG0000457	LOC6054790|XP_038111518.1|CQUI	LOC119559010|XP_037728078.1|DSUP
OG0000458	LOC119766621|XP_038107556.1|CQUI, LOC6033358|XP_001843821.2|CQUI, LOC6033359|XP_001843822.2|CQUI, LOC6044558|XP_038108730.1|CQUI, LOC6044563|XP_038108731.1|CQUI	LOC119546566|XP_037708867.1|DSUP
OG0000460	LOC6044256|XP_001861795.2|CQUI	LOC119546740|XP_037709167.1|DSUP
OG0000465	LOC119768676|XP_038115066.1|CQUI, LOC6045189|XP_038112218.1|CQUI	LOC119553937|XP_037720558.1|DSUP, LOC119551019|XP_037716006.1|DSUP
OG0000466	LOC6035082|XP_038122526.1|CQUI	LOC119556223|XP_037724135.1|DSUP
OG0000466	LOC6044248|XP_038107808.1|CQUI	LOC119547429|XP_037710216.1|DSUP
OG0000467	LOC6045537|XP_038118816.1|CQUI	LOC119549785|XP_037713975.1|DSUP, LOC119551145|XP_037716264.1|DSUP
OG0000468	LOC6042212|XP_001851353.1|CQUI	LOC119546514|XP_037708773.1|DSUP
OG0000468	LOC6041607|XP_038115266.1|CQUI	LOC119549197|XP_037712954.1|DSUP
OG0000469	LOC6049763|XP_038113824.1|CQUI	LOC119548647|XP_037711978.1|DSUP, LOC119548833|XP_037712378.1|DSUP
OG0000470	LOC6036814|XP_038111507.1|CQUI	LOC119553299|XP_037719544.1|DSUP
OG0000470	LOC6047359|XP_038112314.1|CQUI	LOC119554542|XP_037721428.1|DSUP
OG0000471	LOC6036133|XP_001846226.2|CQUI	LOC119553517|XP_037719868.1|DSUP, LOC119547807|XP_037710752.1|DSUP, LOC119547024|XP_037709623.1|DSUP
OG0000473	LOC6052350|XP_001868639.1|CQUI	LOC119558127|XP_037727287.1|DSUP, LOC119556920|XP_037725334.1|DSUP
OG0000474	LOC6049175|XP_038105811.1|CQUI	LOC119556157|XP_037723986.1|DSUP, LOC119553891|XP_037720485.1|DSUP
OG0000475	LOC6039907|XP_001849405.1|CQUI	LOC119559750|XP_037728746.1|DSUP, LOC119560956|XP_037730632.1|DSUP, LOC119560370|XP_037729704.1|DSUP
OG0000476	LOC6042382|XP_038105827.1|CQUI	LOC119562906|XP_037731975.1|DSUP, LOC119562907|XP_037731976.1|DSUP, LOC119562908|XP_037731977.1|DSUP
OG0000478	LOC6044656|XP_038115788.1|CQUI, LOC6044657|XP_001862137.1|CQUI, LOC6044659|XP_038115789.1|CQUI	LOC119558374|XP_037727818.1|DSUP, LOC119548777|XP_037712256.1|DSUP
OG0000479	LOC6038213|XP_001848039.2|CQUI, LOC6038214|XP_001848040.2|CQUI, LOC6038209|XP_001848041.2|CQUI	LOC119563043|XP_037732176.1|DSUP, LOC119551584|XP_037716916.1|DSUP
OG0000480	LOC6041494|XP_001850745.1|CQUI	LOC119547784|XP_037710722.1|DSUP, LOC119547155|XP_037709804.1|DSUP
OG0000482	LOC6044292|XP_038118091.1|CQUI, LOC6044289|XP_001861821.1|CQUI	LOC119560879|XP_037730484.1|DSUP
OG0000483	LOC6048006|XP_038120391.1|CQUI, LOC6048008|XP_038120760.1|CQUI, LOC6048016|XP_001864979.2|CQUI	LOC119563480|XP_037732832.1|DSUP, LOC119563478|XP_037732830.1|DSUP
OG0000484	LOC6051912|XP_001868269.2|CQUI, LOC6051911|XP_001868268.2|CQUI	LOC119559833|XP_037728856.1|DSUP, LOC119559831|XP_037728852.1|DSUP
OG0000485	LOC6041153|XP_038107076.1|CQUI	LOC119555018|XP_037722089.1|DSUP, LOC119555017|XP_037722088.1|DSUP
OG0000486	LOC6041660|XP_001850887.2|CQUI	LOC119550087|XP_037714492.1|DSUP, LOC119558810|XP_037728003.1|DSUP, LOC119558807|XP_037728000.1|DSUP, LOC119550085|XP_037714488.1|DSUP
OG0000489	LOC6045222|XP_038122215.1|CQUI	LOC119551509|XP_037716821.1|DSUP, LOC119555836|XP_037723392.1|DSUP
OG0000490	LOC6054008|XP_038122876.1|CQUI	LOC119557601|XP_037726331.1|DSUP
OG0000490	LOC6042587|XP_038110786.1|CQUI	LOC119557466|XP_037726156.1|DSUP
OG0000491	LOC6048388|XP_038107947.1|CQUI	LOC119549546|XP_037713623.1|DSUP, LOC119549758|XP_037713930.1|DSUP, LOC119549545|XP_037713622.1|DSUP
OG0000492	LOC6040913|XP_001850241.1|CQUI	LOC119550103|XP_037714511.1|DSUP
OG0000492	LOC6044260|XP_001861799.2|CQUI	LOC119547796|XP_037710740.1|DSUP
OG0000493	LOC6040999|XP_038119325.1|CQUI	LOC119557094|XP_037725588.1|DSUP, LOC119558224|XP_037727474.1|DSUP
OG0000494	LOC119766647|XP_038107694.1|CQUI	LOC119546064|XP_037708061.1|DSUP
OG0000495	LOC6031986|XP_038106727.1|CQUI	LOC119556486|XP_037724669.1|DSUP, LOC119551816|XP_037717304.1|DSUP
OG0000496	LOC6035746|XP_038113161.1|CQUI	LOC119546888|XP_037709433.1|DSUP
OG0000496	LOC6035745|XP_038112206.1|CQUI	LOC119547342|XP_037710082.1|DSUP
OG0000497	LOC6048339|XP_038111873.1|CQUI	LOC119548544|XP_037711767.1|DSUP, LOC119547261|XP_037709967.1|DSUP
OG0000498	LOC6039237|XP_001848874.2|CQUI	LOC119562975|XP_037732079.1|DSUP, LOC119563177|XP_037732377.1|DSUP
OG0000499	LOC6048807|XP_038112168.1|CQUI	LOC119550018|XP_037714370.1|DSUP
OG0000499	LOC6042113|XP_001851263.2|CQUI	LOC119555971|XP_037723626.1|DSUP
