Orthogroup	CQUI.longest_only	DGUA.longest_only
OG0000405	LOC6040923|XP_001850251.2|CQUI	LOC117580656|XP_034123150.1|DGUA
OG0000405	LOC6040924|XP_001850252.2|CQUI	LOC117581871|XP_034125224.1|DGUA, LOC117585690|XP_034131196.1|DGUA
OG0000406	LOC6045472|XP_038119856.1|CQUI, LOC6034068|XP_001844444.1|CQUI	LOC117587215|XP_034133660.1|DGUA, LOC117591878|XP_034141146.1|DGUA
OG0000407	LOC6033066|XP_038117490.1|CQUI	LOC117587174|XP_034133582.1|DGUA, LOC117587271|XP_034133742.1|DGUA
OG0000407	LOC6054107|XP_038118605.1|CQUI	LOC117587269|XP_034133736.1|DGUA
OG0000408	LOC119765130|XP_038104238.1|CQUI	LOC117589627|XP_034137606.1|DGUA, LOC117587670|XP_034134453.1|DGUA
OG0000409	LOC6050527|XP_038113781.1|CQUI	LOC117580082|XP_034122227.1|DGUA, LOC117583737|XP_034128148.1|DGUA
OG0000410	LOC6036181|XP_038113692.1|CQUI	LOC117582205|XP_034125703.1|DGUA, LOC117582196|XP_034125692.1|DGUA
OG0000411	LOC6038155|XP_001847988.1|CQUI	LOC117585946|XP_034131611.1|DGUA
OG0000411	LOC6048269|XP_001865212.1|CQUI	LOC117587674|XP_034134457.1|DGUA
OG0000412	LOC6046234|XP_038120897.1|CQUI, LOC6046235|XP_001863463.1|CQUI	LOC117578786|XP_034120388.1|DGUA, LOC117580417|XP_034122857.1|DGUA
OG0000413	LOC6042051|XP_038120468.1|CQUI	LOC117585410|XP_034130773.1|DGUA, LOC117586417|XP_034132345.1|DGUA
OG0000414	LOC6045442|XP_038106424.1|CQUI, LOC6045443|XP_038109329.1|CQUI	LOC117588524|XP_034135774.1|DGUA
OG0000415	LOC6034217|XP_001844570.1|CQUI	LOC117578642|XP_034120140.1|DGUA, LOC117578641|XP_034120139.1|DGUA
OG0000416	LOC6052843|XP_001869039.2|CQUI	LOC117590565|XP_034139197.1|DGUA
OG0000417	LOC6036777|XP_038113609.1|CQUI	LOC117583643|XP_034127984.1|DGUA
OG0000417	LOC6045382|XP_038122609.1|CQUI	LOC117583326|XP_034127477.1|DGUA
OG0000418	LOC6051484|XP_001867920.1|CQUI, LOC6051483|XP_001867919.2|CQUI	LOC117588309|XP_034135388.1|DGUA, LOC117581104|XP_034123886.1|DGUA
OG0000419	LOC6042303|XP_001851438.1|CQUI	LOC117588049|XP_034134996.1|DGUA
OG0000421	LOC6035780|XP_038108560.1|CQUI	LOC117591541|XP_034140726.1|DGUA
OG0000421	LOC6033111|XP_038111263.1|CQUI	LOC117582420|XP_034126017.1|DGUA
OG0000422	LOC6034864|XP_038111635.1|CQUI, LOC6034865|XP_001845135.2|CQUI, LOC6040477|XP_001849863.2|CQUI	LOC117590138|XP_034138401.1|DGUA
OG0000423	LOC6043479|XP_001859363.2|CQUI, LOC6043483|XP_001859378.1|CQUI, LOC6043484|XP_001859368.2|CQUI	LOC117581794|XP_034125122.1|DGUA, LOC117585308|XP_034130631.1|DGUA
OG0000424	LOC6032379|XP_038109405.1|CQUI	LOC117586813|XP_034132982.1|DGUA
OG0000425	LOC6051878|XP_038111177.1|CQUI	LOC117592223|XP_034141748.1|DGUA
OG0000425	LOC6049711|XP_038113311.1|CQUI	LOC117578576|XP_034120050.1|DGUA
OG0000426	LOC6043942|XP_001861525.2|CQUI	LOC117592470|XP_034142197.1|DGUA
OG0000429	LOC6048181|XP_001865138.2|CQUI	LOC117592500|XP_034142237.1|DGUA
OG0000433	LOC6042750|XP_001870760.2|CQUI	LOC117580680|XP_034123190.1|DGUA
OG0000433	LOC6040995|XP_038119615.1|CQUI	LOC117580302|XP_034122681.1|DGUA
OG0000434	LOC6042411|XP_001851531.2|CQUI	LOC117583335|XP_034127487.1|DGUA
OG0000434	LOC119765343|XP_038104983.1|CQUI	LOC117578429|XP_034119782.1|DGUA
OG0000435	LOC6038210|XP_001848042.2|CQUI, LOC6038215|XP_001848044.2|CQUI, LOC6038528|XP_038106285.1|CQUI, LOC6038862|XP_038117185.1|CQUI, LOC6033440|XP_001843891.2|CQUI, LOC6033751|XP_001844161.2|CQUI, LOC6040045|XP_001849517.2|CQUI, LOC6038217|XP_001848046.2|CQUI, LOC6038216|XP_001848045.2|CQUI, LOC6038860|XP_001848565.2|CQUI, LOC6038859|XP_001848564.2|CQUI, LOC6037532|XP_038109452.1|CQUI, LOC6037531|XP_001847431.2|CQUI, LOC6054227|XP_038119514.1|CQUI, LOC6039205|XP_038104995.1|CQUI	LOC117580904|XP_034123556.1|DGUA
OG0000437	LOC6052828|XP_001869024.1|CQUI	LOC117584397|XP_034129145.1|DGUA
OG0000437	LOC6048330|XP_001865266.2|CQUI	LOC117584788|XP_034129791.1|DGUA
OG0000438	LOC6034110|XP_038111570.1|CQUI	LOC117582859|XP_034126820.1|DGUA
OG0000439	LOC6039581|XP_038109671.1|CQUI	LOC117584363|XP_034129092.1|DGUA
OG0000439	LOC6051719|XP_038113453.1|CQUI	LOC117579927|XP_034121963.1|DGUA
OG0000440	LOC6036645|XP_001846671.2|CQUI	LOC117592319|XP_034141888.1|DGUA, LOC117583369|XP_034127577.1|DGUA
OG0000441	LOC6050426|XP_038113065.1|CQUI	LOC117583830|XP_034128315.1|DGUA, LOC117582339|XP_034125885.1|DGUA
OG0000443	LOC6034172|XP_001844528.2|CQUI, LOC6034174|XP_001844529.2|CQUI	LOC117588908|XP_034136355.1|DGUA, LOC117588907|XP_034136354.1|DGUA
OG0000444	LOC6034653|XP_001844941.2|CQUI, LOC6036079|XP_001846172.1|CQUI	LOC117584452|XP_034129260.1|DGUA, LOC117584451|XP_034129259.1|DGUA
OG0000448	LOC6044342|XP_001861872.2|CQUI, LOC6044340|XP_038105584.1|CQUI	LOC117583337|XP_034127489.1|DGUA, LOC117583429|XP_034127618.1|DGUA
OG0000449	LOC6033785|XP_038109492.1|CQUI	LOC117587003|XP_034133298.1|DGUA
OG0000450	LOC6050628|XP_038113806.1|CQUI	LOC117591621|XP_034140825.1|DGUA, LOC117590849|XP_034139737.1|DGUA
OG0000450	LOC6042731|XP_038116979.1|CQUI	LOC117588313|XP_034135395.1|DGUA
OG0000451	LOC6034433|XP_001844750.1|CQUI	LOC117588348|XP_034135448.1|DGUA
OG0000451	LOC6034434|XP_038105282.1|CQUI	LOC117588347|XP_034135447.1|DGUA
OG0000453	LOC6041371|XP_038105173.1|CQUI, LOC6041353|XP_001850627.1|CQUI	LOC117589897|XP_034138059.1|DGUA
OG0000454	LOC6031085|XP_001841933.2|CQUI	LOC117583444|XP_034127636.1|DGUA, LOC117587102|XP_034133484.1|DGUA
OG0000456	LOC6047972|XP_038113525.1|CQUI	LOC117590610|XP_034139289.1|DGUA
OG0000456	LOC6036162|XP_038107996.1|CQUI	LOC117584021|XP_034128645.1|DGUA
OG0000457	LOC6047780|XP_038111522.1|CQUI	LOC117587918|XP_034134794.1|DGUA
OG0000457	LOC6054790|XP_038111518.1|CQUI	LOC117587660|XP_034134441.1|DGUA
OG0000458	LOC119766621|XP_038107556.1|CQUI, LOC6033358|XP_001843821.2|CQUI, LOC6033359|XP_001843822.2|CQUI, LOC6044558|XP_038108730.1|CQUI, LOC6044563|XP_038108731.1|CQUI	LOC117583989|XP_034128586.1|DGUA
OG0000460	LOC6044256|XP_001861795.2|CQUI	LOC117582150|XP_034125625.1|DGUA
OG0000465	LOC119768676|XP_038115066.1|CQUI, LOC6045189|XP_038112218.1|CQUI	LOC117583450|XP_034127641.1|DGUA, LOC117582876|XP_034126837.1|DGUA
OG0000466	LOC6035082|XP_038122526.1|CQUI	LOC117588394|XP_034135539.1|DGUA
OG0000466	LOC6044248|XP_038107808.1|CQUI	LOC117582021|XP_034125437.1|DGUA
OG0000467	LOC6045537|XP_038118816.1|CQUI	LOC117578662|XP_034120177.1|DGUA, LOC117578438|XP_034119844.1|DGUA
OG0000468	LOC6042212|XP_001851353.1|CQUI	LOC117583667|XP_034128025.1|DGUA
OG0000469	LOC6049763|XP_038113824.1|CQUI	LOC117582010|XP_034125413.1|DGUA, LOC117581678|XP_034124942.1|DGUA
OG0000470	LOC6036814|XP_038111507.1|CQUI	LOC117579246|XP_034120924.1|DGUA
OG0000470	LOC6047359|XP_038112314.1|CQUI	LOC117579577|XP_034121395.1|DGUA
OG0000471	LOC6036133|XP_001846226.2|CQUI	LOC117587105|XP_034133490.1|DGUA, LOC117584425|XP_034129211.1|DGUA
OG0000473	LOC6052350|XP_001868639.1|CQUI	LOC117590260|XP_034138638.1|DGUA, LOC117580963|XP_034123640.1|DGUA
OG0000474	LOC6049175|XP_038105811.1|CQUI	LOC117580835|XP_034123464.1|DGUA, LOC117580545|XP_034123033.1|DGUA, LOC117591050|XP_034140039.1|DGUA, LOC117585028|XP_034130163.1|DGUA, LOC117591726|XP_034140933.1|DGUA
OG0000475	LOC6039907|XP_001849405.1|CQUI	LOC117589841|XP_034137984.1|DGUA, LOC117589842|XP_034137988.1|DGUA
OG0000476	LOC6042382|XP_038105827.1|CQUI	LOC117583420|XP_034127603.1|DGUA, LOC117583418|XP_034127600.1|DGUA
OG0000478	LOC6044656|XP_038115788.1|CQUI, LOC6044657|XP_001862137.1|CQUI, LOC6044659|XP_038115789.1|CQUI	LOC117585296|XP_034130616.1|DGUA
OG0000479	LOC6038213|XP_001848039.2|CQUI, LOC6038214|XP_001848040.2|CQUI, LOC6038209|XP_001848041.2|CQUI	LOC117582805|XP_034126727.1|DGUA
OG0000480	LOC6041494|XP_001850745.1|CQUI	LOC117584642|XP_034129555.1|DGUA, LOC117583874|XP_034128414.1|DGUA
OG0000482	LOC6044292|XP_038118091.1|CQUI, LOC6044289|XP_001861821.1|CQUI	LOC117586692|XP_034132848.1|DGUA
OG0000483	LOC6048006|XP_038120391.1|CQUI, LOC6048008|XP_038120760.1|CQUI, LOC6048016|XP_001864979.2|CQUI	LOC117585056|XP_034130206.1|DGUA
OG0000484	LOC6051912|XP_001868269.2|CQUI, LOC6051911|XP_001868268.2|CQUI	LOC117586523|XP_034132548.1|DGUA, LOC117586525|XP_034132550.1|DGUA
OG0000485	LOC6041153|XP_038107076.1|CQUI	LOC117579236|XP_034120907.1|DGUA, LOC117590907|XP_034139828.1|DGUA, LOC117579185|XP_034120845.1|DGUA
OG0000486	LOC6041660|XP_001850887.2|CQUI	LOC117584159|XP_034128816.1|DGUA, LOC117584135|XP_034128783.1|DGUA
OG0000489	LOC6045222|XP_038122215.1|CQUI	LOC117583800|XP_034128273.1|DGUA, LOC117588694|XP_034136033.1|DGUA
OG0000490	LOC6054008|XP_038122876.1|CQUI	LOC117588582|XP_034135879.1|DGUA
OG0000490	LOC6042587|XP_038110786.1|CQUI	LOC117581241|XP_034124118.1|DGUA
OG0000491	LOC6048388|XP_038107947.1|CQUI	LOC117589625|XP_034137603.1|DGUA, LOC117584745|XP_034129724.1|DGUA
OG0000492	LOC6040913|XP_001850241.1|CQUI	LOC117591151|XP_034140157.1|DGUA
OG0000492	LOC6044260|XP_001861799.2|CQUI	LOC117584157|XP_034128810.1|DGUA
OG0000493	LOC6040999|XP_038119325.1|CQUI	LOC117584698|XP_034129623.1|DGUA, LOC117583480|XP_034127680.1|DGUA, LOC117583346|XP_034127503.1|DGUA
OG0000494	LOC119766647|XP_038107694.1|CQUI	LOC117591542|XP_034140730.1|DGUA
OG0000495	LOC6031986|XP_038106727.1|CQUI	LOC117590990|XP_034139956.1|DGUA, LOC117589834|XP_034137972.1|DGUA
OG0000496	LOC6035746|XP_038113161.1|CQUI	LOC117588011|XP_034134928.1|DGUA
OG0000497	LOC6048339|XP_038111873.1|CQUI	LOC117584460|XP_034129267.1|DGUA, LOC117584247|XP_034128940.1|DGUA
OG0000498	LOC6039237|XP_001848874.2|CQUI	LOC117585069|XP_034130223.1|DGUA, LOC117585053|XP_034130203.1|DGUA
OG0000499	LOC6048807|XP_038112168.1|CQUI	LOC117588142|XP_034135132.1|DGUA
OG0000499	LOC6042113|XP_001851263.2|CQUI	LOC117590686|XP_034139477.1|DGUA
OG0000500	LOC6043030|XP_001854846.2|CQUI, LOC6043544|XP_038111294.1|CQUI	LOC117579239|XP_034120912.1|DGUA, LOC117579751|XP_034121663.1|DGUA
OG0000504	LOC6041004|XP_001850319.2|CQUI, LOC119768650|XP_038114938.1|CQUI, LOC6041003|XP_038114937.1|CQUI, LOC6041005|XP_038114939.1|CQUI, LOC6047053|XP_038122845.1|CQUI, LOC6041006|XP_001850321.1|CQUI	LOC117588862|XP_034136256.1|DGUA
OG0000505	LOC6041848|XP_038111190.1|CQUI, LOC6038636|XP_038113279.1|CQUI	LOC117590284|XP_034138662.1|DGUA, LOC117590289|XP_034138665.1|DGUA
OG0000506	LOC6051537|XP_038104157.1|CQUI, LOC6051544|XP_001867970.2|CQUI, LOC119769336|XP_038117282.1|CQUI	LOC117584952|XP_034130039.1|DGUA
OG0000507	LOC6045928|XP_001863205.1|CQUI	LOC117590947|XP_034139886.1|DGUA
OG0000507	LOC6037479|XP_038113105.1|CQUI	LOC117590948|XP_034139887.1|DGUA
OG0000508	LOC6049261|XP_001866046.2|CQUI	LOC117587140|XP_034133538.1|DGUA, LOC117586889|XP_034133113.1|DGUA
OG0000509	LOC6051070|XP_038117205.1|CQUI	LOC117592291|XP_034141849.1|DGUA
OG0000510	LOC6052252|XP_001868549.2|CQUI	LOC117592543|XP_034142305.1|DGUA, LOC117592544|XP_034142306.1|DGUA
OG0000511	LOC6031766|XP_001842477.2|CQUI, LOC6031767|XP_001842478.2|CQUI	LOC117584423|XP_034129210.1|DGUA, LOC117584517|XP_034129352.1|DGUA
OG0000512	LOC6041515|XP_038107055.1|CQUI, LOC119766432|XP_038106904.1|CQUI, LOC6041512|XP_038106906.1|CQUI	LOC117581831|XP_034125170.1|DGUA, LOC117580410|XP_034122848.1|DGUA
OG0000513	LOC6036436|XP_001846489.2|CQUI	LOC117588275|XP_034135344.1|DGUA, LOC117591762|XP_034140964.1|DGUA, LOC117586393|XP_034132319.1|DGUA, LOC117587784|XP_034134619.1|DGUA
OG0000514	LOC6033627|XP_038108381.1|CQUI	LOC117582192|XP_034125686.1|DGUA, LOC117582374|XP_034125930.1|DGUA
OG0000515	LOC6038107|XP_038110142.1|CQUI	LOC117590615|XP_034139298.1|DGUA, LOC117587137|XP_034133535.1|DGUA
OG0000516	LOC6032715|XP_038122030.1|CQUI, LOC6032713|XP_038122029.1|CQUI	LOC117581038|XP_034123759.1|DGUA, LOC117581035|XP_034123755.1|DGUA
OG0000517	LOC6054293|XP_038114467.1|CQUI, LOC6054292|XP_038114468.1|CQUI	LOC117580264|XP_034122592.1|DGUA, LOC117580262|XP_034122590.1|DGUA
OG0000521	LOC6050070|XP_038105342.1|CQUI	LOC117580624|XP_034123097.1|DGUA, LOC117580857|XP_034123496.1|DGUA
OG0000522	LOC6051600|XP_038112565.1|CQUI	LOC117584103|XP_034128743.1|DGUA, LOC117586110|XP_034131862.1|DGUA, LOC117588531|XP_034135781.1|DGUA
OG0000523	LOC6040919|XP_001850247.1|CQUI	LOC117585167|XP_034130399.1|DGUA
OG0000523	LOC6049044|XP_001865872.1|CQUI	LOC117581281|XP_034124193.1|DGUA
OG0000524	LOC6032861|XP_001843386.2|CQUI	LOC117585858|XP_034131500.1|DGUA, LOC117589529|XP_034137413.1|DGUA
OG0000525	LOC6048514|XP_038118341.1|CQUI, LOC6048511|XP_038118339.1|CQUI	LOC117588692|XP_034136035.1|DGUA, LOC117588681|XP_034136024.1|DGUA
OG0000526	LOC6041304|XP_001850584.2|CQUI	LOC117587947|XP_034134838.1|DGUA, LOC117582321|XP_034125862.1|DGUA
OG0000527	LOC6043742|XP_038113405.1|CQUI, LOC6043214|XP_038108510.1|CQUI	LOC117582543|XP_034126242.1|DGUA, LOC117582261|XP_034125773.1|DGUA
OG0000528	LOC6041374|XP_001850639.2|CQUI, LOC6041379|XP_038110790.1|CQUI, LOC6041382|XP_038106839.1|CQUI, LOC6041381|XP_038110791.1|CQUI	LOC117582217|XP_034125715.1|DGUA
OG0000529	LOC6036354|XP_038114138.1|CQUI	LOC117584201|XP_034128861.1|DGUA
OG0000531	LOC6037540|XP_001847440.2|CQUI	LOC117587886|XP_034134754.1|DGUA, LOC117581913|XP_034125274.1|DGUA
OG0000532	LOC6035004|XP_001845249.2|CQUI	LOC117586174|XP_034131976.1|DGUA, LOC117586168|XP_034131968.1|DGUA
OG0000533	LOC6040722|XP_038104185.1|CQUI	LOC117591023|XP_034140002.1|DGUA
OG0000533	LOC119767762|XP_038113133.1|CQUI	LOC117584918|XP_034129955.1|DGUA
OG0000535	LOC119766820|XP_038108711.1|CQUI, LOC6054062|XP_001870041.1|CQUI	LOC117592473|XP_034142205.1|DGUA, LOC117588538|XP_034135799.1|DGUA
OG0000536	LOC6041431|XP_038109661.1|CQUI, LOC6045036|XP_001862455.2|CQUI, LOC6045035|XP_038113937.1|CQUI	LOC117579628|XP_034121474.1|DGUA
OG0000537	LOC6031704|XP_038111588.1|CQUI	LOC117581231|XP_034124111.1|DGUA
OG0000538	LOC6037813|XP_038112386.1|CQUI	LOC117578875|XP_034120561.1|DGUA, LOC117592248|XP_034141774.1|DGUA
OG0000539	LOC6034554|XP_038112937.1|CQUI	LOC117591092|XP_034140084.1|DGUA, LOC117591108|XP_034140101.1|DGUA
OG0000542	LOC6044321|XP_001861851.1|CQUI	LOC117586318|XP_034132198.1|DGUA, LOC117590622|XP_034139320.1|DGUA
OG0000543	LOC6049267|XP_001866057.2|CQUI	LOC117582918|XP_034126907.1|DGUA, LOC117585389|XP_034130745.1|DGUA
OG0000544	LOC6041276|XP_038110067.1|CQUI	LOC117589142|XP_034136720.1|DGUA, LOC117586516|XP_034132540.1|DGUA
OG0000545	LOC6050345|XP_038105847.1|CQUI	LOC117583333|XP_034127484.1|DGUA, LOC117583306|XP_034127441.1|DGUA
OG0000546	LOC6037353|XP_001847276.2|CQUI, LOC6036816|XP_038106208.1|CQUI, LOC119770766|XP_038122171.1|CQUI	LOC117590120|XP_034138375.1|DGUA, LOC117588273|XP_034135326.1|DGUA
OG0000547	LOC6041026|XP_001850337.1|CQUI	LOC117591012|XP_034139990.1|DGUA
OG0000548	LOC6050154|XP_001866808.2|CQUI	LOC117586846|XP_034133032.1|DGUA, LOC117586854|XP_034133040.1|DGUA
OG0000549	LOC119770531|XP_038121509.1|CQUI, LOC6037260|XP_038121503.1|CQUI	LOC117592114|XP_034141537.1|DGUA
OG0000550	LOC6051476|XP_038121059.1|CQUI	LOC117589006|XP_034136514.1|DGUA, LOC117588562|XP_034135840.1|DGUA
OG0000552	LOC6044119|XP_038113804.1|CQUI	LOC117591454|XP_034140614.1|DGUA
OG0000553	LOC6044455|XP_038110346.1|CQUI, LOC6044457|XP_001861971.1|CQUI, LOC6044456|XP_001861970.1|CQUI	LOC117587553|XP_034134250.1|DGUA
OG0000554	LOC6044882|XP_038118892.1|CQUI	LOC117582816|XP_034126746.1|DGUA, LOC117582812|XP_034126738.1|DGUA
OG0000555	LOC6052570|XP_038118745.1|CQUI	LOC117587275|XP_034133749.1|DGUA, LOC117580172|XP_034122390.1|DGUA
OG0000556	LOC6046889|XP_001864016.1|CQUI	LOC117590430|XP_034138939.1|DGUA, LOC117585901|XP_034131547.1|DGUA
OG0000557	LOC6042547|XP_001852003.1|CQUI	LOC117586284|XP_034132129.1|DGUA, LOC117586286|XP_034132131.1|DGUA
OG0000558	LOC6033842|XP_001844235.1|CQUI	LOC117586154|XP_034131944.1|DGUA, LOC117580884|XP_034123527.1|DGUA
OG0000559	LOC6053965|XP_038109366.1|CQUI	LOC117589837|XP_034137978.1|DGUA, LOC117579238|XP_034120911.1|DGUA
OG0000560	LOC6032389|XP_001842996.2|CQUI	LOC117585147|XP_034130371.1|DGUA, LOC117585128|XP_034130348.1|DGUA
OG0000561	LOC6034685|XP_038111388.1|CQUI	LOC117589361|XP_034137148.1|DGUA, LOC117589364|XP_034137157.1|DGUA
OG0000562	LOC6046454|XP_038113537.1|CQUI	LOC117580154|XP_034122359.1|DGUA, LOC117579209|XP_034120869.1|DGUA
OG0000566	LOC6044324|XP_038109243.1|CQUI	LOC117584925|XP_034129967.1|DGUA, LOC117587076|XP_034133429.1|DGUA
OG0000567	LOC6047025|XP_001864131.2|CQUI	LOC117581492|XP_034124630.1|DGUA
OG0000567	LOC6047020|XP_001864130.1|CQUI	LOC117581493|XP_034124631.1|DGUA
OG0000568	LOC6044772|XP_038104706.1|CQUI	LOC117588354|XP_034135457.1|DGUA, LOC117590112|XP_034138353.1|DGUA
OG0000569	LOC6034776|XP_038104774.1|CQUI	LOC117589738|XP_034137805.1|DGUA, LOC117590059|XP_034138271.1|DGUA
OG0000570	LOC6032625|XP_001843197.2|CQUI	LOC117585278|XP_034130592.1|DGUA, LOC117585271|XP_034130583.1|DGUA
OG0000571	LOC6035169|XP_038113695.1|CQUI	LOC117583103|XP_034127172.1|DGUA, LOC117582993|XP_034127032.1|DGUA
OG0000572	LOC6031113|XP_038118152.1|CQUI	LOC117589584|XP_034137538.1|DGUA, LOC117589787|XP_034137877.1|DGUA
OG0000573	LOC6039567|XP_038120762.1|CQUI	LOC117587512|XP_034134197.1|DGUA, LOC117592092|XP_034141502.1|DGUA
OG0000574	LOC6041981|XP_001851157.1|CQUI	LOC117589057|XP_034136577.1|DGUA, LOC117586278|XP_034132121.1|DGUA
OG0000576	LOC6041376|XP_001850641.2|CQUI	LOC117586383|XP_034132304.1|DGUA
OG0000577	LOC6036025|XP_001846129.1|CQUI	LOC117582212|XP_034125711.1|DGUA
OG0000578	LOC6038985|XP_038118477.1|CQUI	LOC117584092|XP_034128731.1|DGUA, LOC117592651|XP_034142486.1|DGUA
OG0000579	LOC6039323|XP_001848951.1|CQUI	LOC117589609|XP_034137575.1|DGUA, LOC117579079|XP_034120678.1|DGUA
OG0000580	LOC6039817|XP_038116525.1|CQUI	LOC117585508|XP_034130898.1|DGUA, LOC117585507|XP_034130897.1|DGUA
OG0000582	LOC6037731|XP_038109003.1|CQUI	LOC117587453|XP_034134065.1|DGUA, LOC117591657|XP_034140875.1|DGUA
OG0000583	LOC6040188|XP_001849636.2|CQUI	LOC117578733|XP_034120287.1|DGUA, LOC117579684|XP_034121566.1|DGUA
OG0000589	LOC6038480|XP_038105819.1|CQUI	LOC117588744|XP_034136112.1|DGUA
OG0000590	LOC6042729|XP_001870744.1|CQUI	LOC117580648|XP_034123138.1|DGUA
OG0000592	LOC6050769|XP_038107615.1|CQUI	LOC117585643|XP_034131123.1|DGUA, LOC117581799|XP_034125134.1|DGUA
OG0000593	LOC6053209|XP_001869339.2|CQUI	LOC117585054|XP_034130204.1|DGUA, LOC117588805|XP_034136211.1|DGUA
OG0000594	LOC6047884|XP_001864878.1|CQUI	LOC117582712|XP_034126526.1|DGUA, LOC117586283|XP_034132128.1|DGUA
OG0000595	LOC6032579|XP_038105753.1|CQUI	LOC117589615|XP_034137583.1|DGUA, LOC117583377|XP_034127551.1|DGUA
OG0000596	LOC6047623|XP_001864658.2|CQUI	LOC117590742|XP_034139543.1|DGUA, LOC117586675|XP_034132815.1|DGUA
OG0000597	LOC6033673|XP_038118537.1|CQUI	LOC117583126|XP_034127208.1|DGUA, LOC117582731|XP_034126549.1|DGUA
OG0000598	LOC6051159|XP_001867631.1|CQUI, LOC6051152|XP_038115526.1|CQUI, LOC6051150|XP_038115584.1|CQUI, LOC6051151|XP_001867634.2|CQUI, LOC119765893|XP_038106017.1|CQUI, LOC6051149|XP_001867632.1|CQUI	LOC117589712|XP_034137767.1|DGUA
OG0000599	LOC6050368|XP_001866970.2|CQUI, LOC6049535|XP_038116182.1|CQUI	LOC117587247|XP_034133709.1|DGUA, LOC117587144|XP_034133541.1|DGUA
OG0000600	LOC6050355|XP_001866971.1|CQUI	LOC117578500|XP_034119939.1|DGUA, LOC117586868|XP_034133060.1|DGUA
OG0000601	LOC6054167|XP_001870128.2|CQUI	LOC117584252|XP_034128946.1|DGUA, LOC117587595|XP_034134337.1|DGUA
OG0000602	LOC6038510|XP_038113028.1|CQUI	LOC117587992|XP_034134897.1|DGUA, LOC117587993|XP_034134898.1|DGUA
OG0000603	LOC6054012|XP_038110242.1|CQUI	LOC117581775|XP_034125089.1|DGUA
OG0000604	LOC6043454|XP_038114068.1|CQUI	LOC117584229|XP_034128902.1|DGUA, LOC117584228|XP_034128901.1|DGUA
OG0000605	LOC6049416|XP_001866184.2|CQUI, LOC6049420|XP_001866188.2|CQUI, LOC6049414|XP_001866182.2|CQUI, LOC6049413|XP_001866181.2|CQUI, LOC6049411|XP_001866179.2|CQUI	LOC117583867|XP_034128404.1|DGUA
OG0000606	LOC6046869|XP_038121859.1|CQUI	LOC117584923|XP_034129964.1|DGUA
OG0000607	LOC6039121|XP_001848783.1|CQUI	LOC117585348|XP_034130682.1|DGUA, LOC117586092|XP_034131839.1|DGUA
OG0000608	LOC6042037|XP_038115700.1|CQUI	LOC117585552|XP_034130967.1|DGUA, LOC117584929|XP_034129976.1|DGUA
OG0000609	LOC6048878|XP_038115264.1|CQUI	LOC117581840|XP_034125185.1|DGUA, LOC117590797|XP_034139643.1|DGUA
OG0000610	LOC6041438|XP_001850698.2|CQUI	LOC117579557|XP_034121368.1|DGUA, LOC117583646|XP_034127993.1|DGUA
OG0000611	LOC6038097|XP_038106033.1|CQUI	LOC117585964|XP_034131668.1|DGUA, LOC117592288|XP_034141840.1|DGUA
OG0000615	LOC119767686|XP_038112773.1|CQUI	LOC117579823|XP_034121805.1|DGUA, LOC117589730|XP_034137796.1|DGUA
OG0000616	LOC6048951|XP_038114828.1|CQUI, LOC119770520|XP_038121468.1|CQUI, LOC6048954|XP_038121478.1|CQUI	LOC117588730|XP_034136090.1|DGUA
OG0000617	LOC6047468|XP_001864522.2|CQUI	LOC117582826|XP_034126768.1|DGUA, LOC117582775|XP_034126636.1|DGUA
OG0000618	LOC6039614|XP_001849188.1|CQUI	LOC117579105|XP_034120722.1|DGUA
OG0000619	LOC6040690|XP_001850045.2|CQUI, LOC119765528|XP_038105487.1|CQUI	LOC117579367|XP_034121122.1|DGUA
OG0000620	LOC6032813|XP_038118430.1|CQUI	LOC117581579|XP_034124820.1|DGUA, LOC117580022|XP_034122135.1|DGUA
OG0000621	LOC6031110|XP_001841955.1|CQUI	LOC117584987|XP_034130101.1|DGUA, LOC117580759|XP_034123345.1|DGUA, LOC117581388|XP_034124421.1|DGUA
OG0000622	LOC6040743|XP_038116870.1|CQUI	LOC117589044|XP_034136563.1|DGUA, LOC117587041|XP_034133363.1|DGUA
OG0000623	LOC119769481|XP_038118011.1|CQUI	LOC117586964|XP_034133228.1|DGUA, LOC117579413|XP_034121183.1|DGUA
OG0000624	LOC6044017|XP_001861591.1|CQUI	LOC117582085|XP_034125540.1|DGUA, LOC117582076|XP_034125527.1|DGUA
OG0000625	LOC6040993|XP_038116438.1|CQUI	LOC117580303|XP_034122684.1|DGUA, LOC117580313|XP_034122699.1|DGUA
OG0000626	LOC6051789|XP_001868161.1|CQUI	LOC117582928|XP_034126923.1|DGUA, LOC117591983|XP_034141316.1|DGUA
OG0000627	LOC6042124|XP_038110833.1|CQUI	LOC117589193|XP_034136811.1|DGUA, LOC117591399|XP_034140535.1|DGUA
OG0000628	LOC6031813|XP_001842520.1|CQUI	LOC117587890|XP_034134758.1|DGUA, LOC117584012|XP_034128635.1|DGUA
OG0000629	LOC119766976|XP_038109725.1|CQUI	LOC117585483|XP_034130868.1|DGUA, LOC117584833|XP_034129854.1|DGUA
OG0000630	LOC6035276|XP_038111598.1|CQUI	LOC117587638|XP_034134413.1|DGUA, LOC117587683|XP_034134467.1|DGUA
