Orthogroup	CQUI.longest_only	DSUZ.longest_only
OG0000548	LOC6050154|XP_001866808.2|CQUI	LOC108013099|XP_016934234.1|DSUZ, LOC108013301|XP_016934581.1|DSUZ
OG0000549	LOC119770531|XP_038121509.1|CQUI, LOC6037260|XP_038121503.1|CQUI	LOC108010152|XP_016930476.1|DSUZ
OG0000550	LOC6051476|XP_038121059.1|CQUI	LOC108013050|XP_016934149.1|DSUZ, LOC108012932|XP_016933956.1|DSUZ
OG0000552	LOC6044119|XP_038113804.1|CQUI	LOC108016487|XP_016938643.2|DSUZ, LOC108016486|XP_036675629.1|DSUZ
OG0000553	LOC6044455|XP_038110346.1|CQUI, LOC6044457|XP_001861971.1|CQUI, LOC6044456|XP_001861970.1|CQUI	LOC108021070|XP_016945071.1|DSUZ
OG0000554	LOC6044882|XP_038118892.1|CQUI	LOC118877964|XP_036674650.1|DSUZ, LOC108007839|XP_036674679.1|DSUZ
OG0000555	LOC6052570|XP_038118745.1|CQUI	LOC108012627|XP_016933538.1|DSUZ, LOC108007179|XP_016926300.1|DSUZ
OG0000556	LOC6046889|XP_001864016.1|CQUI	LOC108005241|XP_016923923.1|DSUZ, LOC108014553|XP_016936186.1|DSUZ
OG0000557	LOC6042547|XP_001852003.1|CQUI	LOC108019244|XP_016942529.2|DSUZ, LOC108019281|XP_016942584.2|DSUZ
OG0000558	LOC6033842|XP_001844235.1|CQUI	LOC108014558|XP_016936194.1|DSUZ, LOC108004619|XP_016923048.1|DSUZ
OG0000559	LOC6053965|XP_038109366.1|CQUI	LOC108006792|XP_036675688.1|DSUZ, LOC108006769|XP_036674765.1|DSUZ, LOC108008001|XP_016927270.2|DSUZ
OG0000560	LOC6032389|XP_001842996.2|CQUI	LOC108018218|XP_016941226.1|DSUZ, LOC108018217|XP_016941225.1|DSUZ
OG0000561	LOC6034685|XP_038111388.1|CQUI	LOC108013627|XP_016935060.1|DSUZ, LOC108012283|XP_036671710.1|DSUZ
OG0000562	LOC6046454|XP_038113537.1|CQUI	LOC108017382|XP_036670681.1|DSUZ, LOC108015911|XP_016937972.1|DSUZ
OG0000566	LOC6044324|XP_038109243.1|CQUI	LOC108019989|XP_036673858.1|DSUZ, LOC108019988|XP_036677534.1|DSUZ, LOC108013263|XP_016934511.1|DSUZ
OG0000567	LOC6047025|XP_001864131.2|CQUI	LOC108011118|XP_016931679.1|DSUZ
OG0000567	LOC6047020|XP_001864130.1|CQUI	LOC108011116|XP_016931676.1|DSUZ
OG0000568	LOC6044772|XP_038104706.1|CQUI	LOC108019001|XP_016942104.1|DSUZ, LOC108011600|XP_016932258.2|DSUZ
OG0000569	LOC6034776|XP_038104774.1|CQUI	LOC118877958|XP_036674628.1|DSUZ, LOC108017047|XP_016939493.2|DSUZ
OG0000570	LOC6032625|XP_001843197.2|CQUI	LOC108020633|XP_016944474.1|DSUZ, LOC108020629|XP_016944470.2|DSUZ
OG0000571	LOC6035169|XP_038113695.1|CQUI	LOC108014798|XP_036673543.1|DSUZ, LOC108014799|XP_036673519.1|DSUZ, LOC118878705|XP_036677613.1|DSUZ
OG0000572	LOC6031113|XP_038118152.1|CQUI	LOC108005692|XP_036673926.1|DSUZ, LOC108005702|XP_016924518.1|DSUZ
OG0000573	LOC6039567|XP_038120762.1|CQUI	LOC108013380|XP_016934693.1|DSUZ, LOC108009661|XP_016929672.1|DSUZ
OG0000574	LOC6041981|XP_001851157.1|CQUI	LOC108006668|XP_036671918.1|DSUZ, LOC108005059|XP_016923687.2|DSUZ, LOC118877675|XP_036673252.1|DSUZ
OG0000576	LOC6041376|XP_001850641.2|CQUI	LOC108017112|XP_016939561.2|DSUZ, LOC108017098|XP_036675117.1|DSUZ
OG0000577	LOC6036025|XP_001846129.1|CQUI	LOC108016302|XP_016938428.1|DSUZ
OG0000578	LOC6038985|XP_038118477.1|CQUI	LOC108020947|XP_016944875.1|DSUZ, LOC108008448|XP_016927789.1|DSUZ
OG0000579	LOC6039323|XP_001848951.1|CQUI	LOC108017214|XP_016938011.2|DSUZ, LOC108006714|XP_016925745.1|DSUZ
OG0000580	LOC6039817|XP_038116525.1|CQUI	LOC108012120|XP_036674774.1|DSUZ, LOC108012121|XP_016932896.2|DSUZ
OG0000582	LOC6037731|XP_038109003.1|CQUI	LOC108014224|XP_016935746.2|DSUZ, LOC108009763|XP_016929875.1|DSUZ
OG0000583	LOC6040188|XP_001849636.2|CQUI	LOC108008792|XP_016928178.1|DSUZ, LOC108009036|XP_016928499.1|DSUZ
OG0000589	LOC6038480|XP_038105819.1|CQUI	LOC108016912|XP_016939319.1|DSUZ
OG0000590	LOC6042729|XP_001870744.1|CQUI	LOC108018907|XP_016941988.2|DSUZ, LOC108007736|XP_016926980.2|DSUZ
OG0000592	LOC6050769|XP_038107615.1|CQUI	LOC108009687|XP_016929723.1|DSUZ, LOC108008840|XP_016928234.1|DSUZ
OG0000593	LOC6053209|XP_001869339.2|CQUI	LOC108010733|XP_036674522.1|DSUZ, LOC108019192|XP_016942454.1|DSUZ
OG0000594	LOC6047884|XP_001864878.1|CQUI	LOC108014784|XP_016936466.1|DSUZ, LOC108017407|XP_016939922.2|DSUZ
OG0000595	LOC6032579|XP_038105753.1|CQUI	LOC118877925|XP_036674395.1|DSUZ, LOC108010981|XP_036672519.1|DSUZ, LOC108014764|XP_016936445.2|DSUZ
OG0000596	LOC6047623|XP_001864658.2|CQUI	LOC108015398|XP_016937307.1|DSUZ, LOC108010921|XP_016931410.2|DSUZ
OG0000597	LOC6033673|XP_038118537.1|CQUI	LOC108011499|XP_016932138.2|DSUZ, LOC118878093|XP_036675289.1|DSUZ
OG0000598	LOC6051159|XP_001867631.1|CQUI, LOC6051152|XP_038115526.1|CQUI, LOC6051150|XP_038115584.1|CQUI, LOC6051151|XP_001867634.2|CQUI, LOC119765893|XP_038106017.1|CQUI, LOC6051149|XP_001867632.1|CQUI	LOC108014127|XP_036673912.1|DSUZ
OG0000599	LOC6050368|XP_001866970.2|CQUI, LOC6049535|XP_038116182.1|CQUI	LOC108011847|XP_016932575.2|DSUZ, LOC108012776|XP_016933699.1|DSUZ
OG0000600	LOC6050355|XP_001866971.1|CQUI	LOC108017829|XP_016940470.2|DSUZ, LOC108018240|XP_016941255.1|DSUZ
OG0000601	LOC6054167|XP_001870128.2|CQUI	LOC108008307|XP_016927616.1|DSUZ, LOC108021515|XP_016945761.1|DSUZ
OG0000602	LOC6038510|XP_038113028.1|CQUI	LOC108006804|XP_016925845.1|DSUZ, LOC108006573|XP_016925595.1|DSUZ
OG0000603	LOC6054012|XP_038110242.1|CQUI	LOC108020794|XP_036674619.1|DSUZ, LOC108009044|XP_016928539.2|DSUZ, LOC108009649|XP_016929655.1|DSUZ, LOC108017952|XP_016940696.1|DSUZ
OG0000604	LOC6043454|XP_038114068.1|CQUI	LOC108021516|XP_016945762.1|DSUZ, LOC108005530|XP_016924316.1|DSUZ
OG0000605	LOC6049416|XP_001866184.2|CQUI, LOC6049420|XP_001866188.2|CQUI, LOC6049414|XP_001866182.2|CQUI, LOC6049413|XP_001866181.2|CQUI, LOC6049411|XP_001866179.2|CQUI	LOC108008119|XP_016927401.1|DSUZ
OG0000606	LOC6046869|XP_038121859.1|CQUI	LOC108005609|XP_016924408.2|DSUZ
OG0000607	LOC6039121|XP_001848783.1|CQUI	LOC118877894|XP_036674225.1|DSUZ, LOC108018412|XP_016941457.2|DSUZ
OG0000608	LOC6042037|XP_038115700.1|CQUI	LOC108018420|XP_016941466.2|DSUZ, LOC108014070|XP_036675298.1|DSUZ
OG0000609	LOC6048878|XP_038115264.1|CQUI	LOC108009220|XP_016928872.1|DSUZ, LOC108016951|XP_016939373.1|DSUZ
OG0000610	LOC6041438|XP_001850698.2|CQUI	LOC108020719|XP_016944577.2|DSUZ, LOC108008858|XP_016928251.1|DSUZ
OG0000611	LOC6038097|XP_038106033.1|CQUI	LOC108009242|XP_016928900.1|DSUZ, LOC108010310|XP_016930690.1|DSUZ
OG0000614	LOC6042715|XP_038112190.1|CQUI	LOC108015285|XP_036676169.1|DSUZ
OG0000615	LOC119767686|XP_038112773.1|CQUI	LOC108010436|XP_016930785.1|DSUZ, LOC108010584|XP_016930957.1|DSUZ
OG0000616	LOC6048951|XP_038114828.1|CQUI, LOC119770520|XP_038121468.1|CQUI, LOC6048954|XP_038121478.1|CQUI	LOC108010470|XP_016930831.1|DSUZ, LOC108010426|XP_016930774.1|DSUZ
OG0000617	LOC6047468|XP_001864522.2|CQUI	LOC108019530|XP_016942858.2|DSUZ, LOC108018672|XP_016941731.1|DSUZ
OG0000618	LOC6039614|XP_001849188.1|CQUI	LOC108017633|XP_016940226.2|DSUZ
OG0000619	LOC6040690|XP_001850045.2|CQUI, LOC119765528|XP_038105487.1|CQUI	LOC108018027|XP_016940881.1|DSUZ
OG0000620	LOC6032813|XP_038118430.1|CQUI	LOC108005232|XP_016923912.1|DSUZ, LOC108013064|XP_016934172.1|DSUZ
OG0000621	LOC6031110|XP_001841955.1|CQUI	LOC118877887|XP_036674180.1|DSUZ, LOC108018515|XP_036673475.1|DSUZ, LOC108016629|XP_016938814.1|DSUZ
OG0000622	LOC6040743|XP_038116870.1|CQUI	LOC108013538|XP_016934924.1|DSUZ, LOC108013611|XP_036671923.1|DSUZ
OG0000623	LOC119769481|XP_038118011.1|CQUI	LOC108012374|XP_016933218.1|DSUZ, LOC108005837|XP_016924668.1|DSUZ
OG0000624	LOC6044017|XP_001861591.1|CQUI	LOC108018172|XP_016941158.1|DSUZ, LOC108018171|XP_016941157.1|DSUZ
OG0000625	LOC6040993|XP_038116438.1|CQUI	LOC108011446|XP_016932071.2|DSUZ, LOC108011419|XP_036672324.1|DSUZ
OG0000626	LOC6051789|XP_001868161.1|CQUI	LOC108008778|XP_016928164.1|DSUZ, LOC108010159|XP_016930485.1|DSUZ
OG0000627	LOC6042124|XP_038110833.1|CQUI	LOC108004795|XP_016923336.2|DSUZ, LOC108016639|XP_016938825.1|DSUZ
OG0000628	LOC6031813|XP_001842520.1|CQUI	LOC108010589|XP_016930967.1|DSUZ, LOC108006874|XP_016925942.1|DSUZ
OG0000629	LOC119766976|XP_038109725.1|CQUI	LOC108006031|XP_036674700.1|DSUZ, LOC108017106|XP_016939557.1|DSUZ
OG0000630	LOC6035276|XP_038111598.1|CQUI	LOC108006259|XP_016925199.1|DSUZ, LOC108021631|XP_016945927.1|DSUZ
OG0000631	LOC6033752|XP_038111487.1|CQUI	LOC108021107|XP_016945127.1|DSUZ, LOC108021705|XP_016946025.1|DSUZ
OG0000632	LOC6039836|XP_038110109.1|CQUI	LOC108021698|XP_036677498.1|DSUZ, LOC108017219|XP_016939708.1|DSUZ
OG0000635	LOC6051292|XP_038119302.1|CQUI	LOC108018071|XP_016940959.1|DSUZ, LOC108019225|XP_016942510.1|DSUZ
OG0000636	LOC6053271|XP_038121208.1|CQUI	LOC108010283|XP_016930645.1|DSUZ, LOC108010486|XP_016930850.1|DSUZ
OG0000637	LOC6046174|XP_038111493.1|CQUI	LOC108015363|XP_016937267.1|DSUZ, LOC108014925|XP_036676091.1|DSUZ
OG0000638	LOC6035960|XP_001846068.1|CQUI	LOC108017469|XP_036674428.1|DSUZ, LOC108011119|XP_016931680.2|DSUZ
OG0000639	LOC6034680|XP_038109438.1|CQUI	LOC108006251|XP_036671034.1|DSUZ
OG0000646	LOC6053145|XP_038116913.1|CQUI	LOC108020590|XP_016944428.2|DSUZ, LOC108007294|XP_036673490.1|DSUZ
OG0000647	LOC6052863|XP_038104142.1|CQUI	LOC108016491|XP_036675160.1|DSUZ, LOC108018942|XP_016942029.1|DSUZ
OG0000648	LOC6044379|XP_038104457.1|CQUI	LOC108016692|XP_036676648.1|DSUZ
OG0000649	LOC6052346|XP_038122673.1|CQUI	LOC108010461|XP_016930818.1|DSUZ
OG0000650	LOC119765291|XP_038104781.1|CQUI	LOC108015762|XP_016937790.1|DSUZ
OG0000651	LOC6034792|XP_038108743.1|CQUI	LOC108006875|XP_016925939.1|DSUZ, LOC108011829|XP_016932554.2|DSUZ
OG0000652	LOC6047846|XP_001864848.1|CQUI	LOC108009069|XP_016928569.1|DSUZ, LOC108004555|XP_016922978.1|DSUZ
OG0000653	LOC6035413|XP_038122495.1|CQUI, LOC6035412|XP_038122483.1|CQUI	LOC108018701|XP_036672588.1|DSUZ, LOC108006936|XP_036674914.1|DSUZ
OG0000654	LOC6039542|XP_038121287.1|CQUI	LOC108006828|XP_036671981.1|DSUZ
OG0000655	LOC6041337|XP_001850614.2|CQUI	LOC108019820|XP_016943325.1|DSUZ, LOC108015340|XP_016937238.1|DSUZ
OG0000656	LOC6051101|XP_038116957.1|CQUI	LOC108007371|XP_036673750.1|DSUZ, LOC108007370|XP_016926514.1|DSUZ
OG0000657	LOC6041310|XP_001850590.2|CQUI	LOC108012723|XP_016933644.1|DSUZ, LOC108021618|XP_016945908.1|DSUZ
OG0000658	LOC6037018|XP_038108424.1|CQUI	LOC108005493|XP_016924286.1|DSUZ, LOC108007656|XP_016926868.1|DSUZ
OG0000659	LOC6036999|XP_001846964.1|CQUI	LOC108017674|XP_016940273.1|DSUZ, LOC108008281|XP_016927562.1|DSUZ
OG0000660	LOC6053861|XP_001869873.1|CQUI	LOC108021472|XP_016945700.1|DSUZ
OG0000661	LOC6033622|XP_001844049.2|CQUI	LOC108005872|XP_016924738.1|DSUZ, LOC108021452|XP_016945672.1|DSUZ
OG0000662	LOC6052557|XP_038120537.1|CQUI	LOC108011831|XP_016932556.1|DSUZ, LOC108013759|XP_016935206.1|DSUZ
OG0000663	LOC6039520|XP_001849122.2|CQUI	LOC108008972|XP_016928404.1|DSUZ
OG0000664	LOC6046260|XP_038114809.1|CQUI	LOC108016920|XP_016939335.1|DSUZ
OG0000665	LOC6048712|XP_001865588.1|CQUI	LOC108007907|XP_016927165.2|DSUZ, LOC108007898|XP_016927156.1|DSUZ
OG0000666	LOC6054798|XP_038119012.1|CQUI	LOC108018206|XP_016941212.1|DSUZ, LOC108004735|XP_016923249.1|DSUZ
OG0000667	LOC6046897|XP_038119403.1|CQUI	LOC108019398|XP_036677781.1|DSUZ, LOC108015138|XP_016936894.2|DSUZ, LOC108012085|XP_016932851.1|DSUZ
OG0000668	LOC6046395|XP_038118170.1|CQUI	LOC108017048|XP_016939494.1|DSUZ, LOC108010986|XP_016931496.1|DSUZ, LOC118877972|XP_036674763.1|DSUZ
OG0000669	LOC119770724|XP_038122042.1|CQUI	LOC108005278|XP_016923957.1|DSUZ, LOC108005281|XP_016923960.1|DSUZ
OG0000670	LOC6046815|XP_038111687.1|CQUI	LOC108016547|XP_036676078.1|DSUZ, LOC108016631|XP_016938816.1|DSUZ
OG0000671	LOC6038345|XP_001848160.1|CQUI	LOC108017369|XP_016939879.2|DSUZ, LOC108014835|XP_036673541.1|DSUZ
OG0000672	LOC6043037|XP_038113688.1|CQUI	LOC108006285|XP_016925232.1|DSUZ, LOC108015146|XP_016936907.2|DSUZ
OG0000673	LOC6034544|XP_001844844.1|CQUI	LOC108005172|XP_016923835.1|DSUZ, LOC108014256|XP_016935783.1|DSUZ
OG0000677	LOC119771220|XP_038122896.1|CQUI	LOC108014658|XP_016936309.2|DSUZ, LOC108004752|XP_016923277.1|DSUZ
OG0000678	LOC6049218|XP_001866018.1|CQUI	LOC108020230|XP_036673758.1|DSUZ, LOC108020215|XP_036677513.1|DSUZ, LOC108021349|XP_016945521.1|DSUZ
OG0000679	LOC6043332|XP_001858497.2|CQUI, LOC6043334|XP_038120970.1|CQUI, LOC119770348|XP_038120969.1|CQUI, LOC6051380|XP_001867828.2|CQUI, LOC6041272|XP_001850558.1|CQUI, LOC6041270|XP_038114788.1|CQUI	LOC108006281|XP_016925227.1|DSUZ
OG0000680	LOC6040463|XP_038110968.1|CQUI	LOC108015411|XP_016937325.1|DSUZ, LOC108015370|XP_016937277.1|DSUZ
OG0000681	LOC6034420|XP_038105001.1|CQUI	LOC108020105|XP_036672713.1|DSUZ, LOC118877931|XP_036674446.1|DSUZ, LOC108005315|XP_016924017.1|DSUZ
OG0000683	LOC119771188|XP_038122716.1|CQUI, LOC119771187|XP_038122715.1|CQUI, LOC6041367|XP_001850634.1|CQUI, LOC6035206|XP_001845435.2|CQUI	LOC108020622|XP_016944460.1|DSUZ
OG0000684	LOC6048395|XP_001865319.1|CQUI	LOC108017403|XP_016939917.2|DSUZ, LOC118877928|XP_036674421.1|DSUZ
OG0000685	LOC6037400|XP_038114905.1|CQUI	LOC108019027|XP_016942130.1|DSUZ, LOC108014428|XP_016936032.1|DSUZ
OG0000686	LOC6051596|XP_038120199.1|CQUI	LOC108017789|XP_016940421.1|DSUZ, LOC108014945|XP_036676790.1|DSUZ
OG0000687	LOC6035321|XP_001845536.1|CQUI	LOC108008806|XP_016928200.1|DSUZ, LOC108012468|XP_016933349.1|DSUZ
OG0000688	LOC6040659|XP_038115242.1|CQUI	LOC108009172|XP_016928789.1|DSUZ
OG0000689	LOC119769612|XP_038118657.1|CQUI	LOC108008377|XP_016927707.1|DSUZ, LOC108008376|XP_016927705.1|DSUZ
OG0000690	LOC6050670|XP_038115594.1|CQUI, LOC6038219|XP_001848048.1|CQUI, LOC6047742|XP_001864761.2|CQUI, LOC6042033|XP_001851195.2|CQUI, LOC6050673|XP_001867238.2|CQUI	LOC108018995|XP_016942093.2|DSUZ
OG0000691	LOC6038874|XP_038122076.1|CQUI	LOC108007869|XP_016927123.1|DSUZ, LOC108015929|XP_016937998.1|DSUZ
OG0000692	LOC6050833|XP_038117216.1|CQUI, LOC6050834|XP_001867362.2|CQUI	LOC108018827|XP_016941902.2|DSUZ, LOC108011305|XP_016931899.1|DSUZ
OG0000694	LOC6047733|XP_038120382.1|CQUI	LOC108004744|XP_016923265.1|DSUZ, LOC108010701|XP_016931100.2|DSUZ
OG0000695	LOC6043622|XP_038113841.1|CQUI	LOC108006920|XP_036678481.1|DSUZ
OG0000696	LOC6034106|XP_001844471.1|CQUI	LOC108012299|XP_016933089.1|DSUZ, LOC108011939|XP_016932677.1|DSUZ
OG0000697	LOC6037877|XP_001847743.2|CQUI	LOC108015283|XP_016937143.1|DSUZ, LOC108011910|XP_016932650.1|DSUZ
OG0000698	LOC6054309|XP_038113357.1|CQUI	LOC108007921|XP_016927184.1|DSUZ, LOC108007256|XP_016926388.1|DSUZ
OG0000699	LOC6031882|XP_038111805.1|CQUI	LOC108021404|XP_016945593.1|DSUZ, LOC108019410|XP_016942721.2|DSUZ
OG0000700	LOC6045669|XP_038108368.1|CQUI	LOC108021255|XP_016945362.1|DSUZ, LOC108021700|XP_016946018.1|DSUZ
OG0000701	LOC6050972|XP_038112604.1|CQUI	LOC108019646|XP_016943019.1|DSUZ, LOC108006283|XP_016925230.1|DSUZ
OG0000702	LOC6052432|XP_038117603.1|CQUI	LOC108014847|XP_036674496.1|DSUZ, LOC108014854|XP_036674484.1|DSUZ
OG0000703	LOC6035033|XP_038122275.1|CQUI	LOC108018241|XP_016941260.1|DSUZ, LOC108018090|XP_016940981.1|DSUZ
OG0000704	LOC6038164|XP_038120107.1|CQUI	LOC108015099|XP_036676400.1|DSUZ, LOC108010780|XP_036675657.1|DSUZ
OG0000705	LOC6052245|XP_038115015.1|CQUI	LOC108013014|XP_016934091.1|DSUZ, LOC108013012|XP_016934090.1|DSUZ
OG0000706	LOC6046887|XP_038117985.1|CQUI	LOC108007531|XP_016926713.1|DSUZ, LOC108015358|XP_016937258.1|DSUZ
OG0000707	LOC6045804|XP_038117453.1|CQUI	LOC108008762|XP_016928149.1|DSUZ, LOC108006272|XP_016925210.1|DSUZ
OG0000708	LOC6037569|XP_038120474.1|CQUI	LOC108016858|XP_016939213.1|DSUZ, LOC108005337|XP_036677236.1|DSUZ
OG0000709	LOC6039218|XP_038117369.1|CQUI	LOC108008049|XP_016927322.2|DSUZ, LOC108011158|XP_016931733.2|DSUZ
OG0000710	LOC6031510|XP_001842300.1|CQUI	LOC108013961|XP_016935463.1|DSUZ, LOC108010145|XP_016930468.1|DSUZ
OG0000711	LOC6036869|XP_001846852.1|CQUI	LOC108012581|XP_016933485.1|DSUZ, LOC108016919|XP_016939332.1|DSUZ
OG0000712	LOC119766789|XP_038108506.1|CQUI, LOC6045985|XP_038106057.1|CQUI	LOC108005034|XP_016923660.2|DSUZ, LOC108005032|XP_016923656.2|DSUZ, LOC108005024|XP_036673358.1|DSUZ, LOC118877576|XP_036672723.1|DSUZ
OG0000713	LOC6049870|XP_001866561.1|CQUI	LOC108016495|XP_036675155.1|DSUZ, LOC108017839|XP_016940481.1|DSUZ
OG0000714	LOC6045584|XP_038113889.1|CQUI	LOC108011140|XP_016931710.1|DSUZ, LOC108007166|XP_036670539.1|DSUZ
OG0000715	LOC119767953|XP_038113953.1|CQUI	LOC108007750|XP_016926995.2|DSUZ, LOC108015793|XP_036671576.1|DSUZ
OG0000716	LOC6040190|XP_001849640.2|CQUI	LOC108011125|XP_016931685.1|DSUZ, LOC108013432|XP_016934788.1|DSUZ
OG0000724	LOC6042711|XP_001870728.1|CQUI	LOC108015348|XP_016937247.1|DSUZ, LOC108017247|XP_036675435.1|DSUZ
OG0000726	LOC6035562|XP_038104583.1|CQUI	LOC108014222|XP_016935743.2|DSUZ, LOC108004937|XP_036673728.1|DSUZ
OG0000727	LOC6032646|XP_001843213.2|CQUI, LOC6032648|XP_038122826.1|CQUI	LOC108013752|XP_016935198.2|DSUZ, LOC108013753|XP_016935199.2|DSUZ
OG0000730	LOC6031123|XP_001841967.1|CQUI	LOC108005234|XP_016923915.1|DSUZ, LOC108010316|XP_016930706.1|DSUZ
OG0000731	LOC6043928|XP_001861511.1|CQUI	LOC108005739|XP_036670767.1|DSUZ, LOC108017916|XP_016940574.1|DSUZ
OG0000732	LOC6041983|XP_001851156.1|CQUI	LOC108020005|XP_016943579.1|DSUZ, LOC108020003|XP_016943577.2|DSUZ
OG0000733	LOC6047563|XP_001864598.2|CQUI	LOC108014789|XP_016936470.2|DSUZ, LOC108013351|XP_016934657.1|DSUZ
OG0000734	LOC6052234|XP_038116578.1|CQUI	LOC108004651|XP_016923090.1|DSUZ, LOC108020012|XP_036670998.1|DSUZ
OG0000735	LOC6044469|XP_001861983.1|CQUI	LOC108004591|XP_016923019.1|DSUZ, LOC108020572|XP_016944424.1|DSUZ
OG0000736	LOC6037099|XP_038112503.1|CQUI	LOC108018124|XP_016941055.1|DSUZ, LOC108015114|XP_016936857.1|DSUZ
OG0000738	LOC6036448|XP_001846499.1|CQUI	LOC108019184|XP_016942444.1|DSUZ, LOC108011249|XP_016931850.1|DSUZ
OG0000739	LOC6036343|XP_038110352.1|CQUI	LOC108015727|XP_016926869.1|DSUZ, LOC108007652|XP_016926864.1|DSUZ
OG0000740	LOC6038854|XP_038113339.1|CQUI	LOC108016394|XP_036674218.1|DSUZ
OG0000741	LOC6038156|XP_038115491.1|CQUI, LOC6038158|XP_001847991.2|CQUI	LOC108006303|XP_016925278.1|DSUZ, LOC108015678|XP_036673764.1|DSUZ
OG0000742	LOC6046871|XP_038115688.1|CQUI	LOC108015239|XP_016937074.1|DSUZ, LOC108015240|XP_016937076.1|DSUZ
OG0000743	LOC6050273|XP_001866910.2|CQUI	LOC108013226|XP_016934444.2|DSUZ, LOC108008863|XP_016928255.1|DSUZ, LOC108008653|XP_016928028.1|DSUZ
OG0000744	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI	LOC108009841|XP_016930022.1|DSUZ
OG0000746	LOC6043117|XP_001855912.2|CQUI	LOC108017857|XP_016940500.2|DSUZ, LOC118877075|XP_036669851.1|DSUZ, LOC118877071|XP_036669846.1|DSUZ, LOC108019680|XP_016943061.2|DSUZ, LOC108019926|XP_036669964.1|DSUZ, LOC108019627|XP_016942998.2|DSUZ
OG0000753	LOC6048959|XP_038122824.1|CQUI	LOC108018405|XP_036672589.1|DSUZ, LOC108012679|XP_016933595.1|DSUZ
OG0000754	LOC6049897|XP_001866577.2|CQUI	LOC108005475|XP_036676966.1|DSUZ, LOC108006284|XP_016925231.1|DSUZ
OG0000756	LOC6046145|XP_001863379.2|CQUI	LOC108005039|XP_016923665.2|DSUZ
OG0000756	LOC6052700|XP_001868927.1|CQUI	LOC108005038|XP_016923664.2|DSUZ
OG0000757	LOC6046554|XP_038118070.1|CQUI	LOC108007118|XP_016926211.1|DSUZ
OG0000758	LOC6040607|XP_038119298.1|CQUI	LOC108011303|XP_036671197.1|DSUZ, LOC108011319|XP_036671194.1|DSUZ
OG0000761	LOC6033760|XP_038107373.1|CQUI	LOC108021545|XP_036676751.1|DSUZ, LOC108005031|XP_016923659.1|DSUZ
OG0000762	LOC6037908|XP_001847768.1|CQUI	LOC108005456|XP_016924241.1|DSUZ, LOC108010606|XP_016930991.1|DSUZ
OG0000764	LOC6039471|XP_038122347.1|CQUI	LOC108006447|XP_036672945.1|DSUZ, LOC108006339|XP_016925338.1|DSUZ
OG0000765	LOC6049633|XP_038120394.1|CQUI	LOC108012671|XP_016933586.1|DSUZ, LOC108015300|XP_016937166.1|DSUZ
OG0000766	LOC6046669|XP_001863836.1|CQUI	LOC108010875|XP_016931352.1|DSUZ, LOC108020178|XP_016943771.1|DSUZ
OG0000767	LOC6033818|XP_001844213.2|CQUI	LOC108016254|XP_016938366.2|DSUZ, LOC108010681|XP_036672278.1|DSUZ
OG0000768	LOC6037757|XP_038118780.1|CQUI	LOC108005850|XP_036671900.1|DSUZ
OG0000769	LOC6036915|XP_001846890.2|CQUI	LOC108012134|XP_016932914.2|DSUZ, LOC108015385|XP_016937292.1|DSUZ
OG0000770	LOC119766679|XP_038107821.1|CQUI, LOC6032313|XP_001842945.1|CQUI	LOC108009556|XP_016929506.1|DSUZ
OG0000771	LOC6037662|XP_038113592.1|CQUI	LOC108011804|XP_016932531.2|DSUZ, LOC108011837|XP_016932564.2|DSUZ
OG0000778	LOC6038198|XP_038117770.1|CQUI	LOC108011444|XP_016932069.1|DSUZ, LOC108014401|XP_036672050.1|DSUZ
OG0000779	LOC6051382|XP_038104144.1|CQUI, LOC6051383|XP_038115271.1|CQUI, LOC6041720|XP_038104033.1|CQUI, LOC6044161|XP_001861710.2|CQUI, LOC6044291|XP_038121588.1|CQUI	LOC108004707|XP_016923210.1|DSUZ
OG0000780	LOC6044209|XP_038104803.1|CQUI, LOC6044211|XP_038104434.1|CQUI, LOC6044213|XP_038122683.1|CQUI	LOC108009945|XP_016930178.1|DSUZ
OG0000781	LOC6037941|XP_038110485.1|CQUI	LOC108019124|XP_016942345.1|DSUZ, LOC108007436|XP_016926584.2|DSUZ
OG0000782	LOC6034796|XP_038114655.1|CQUI	LOC108014639|XP_036671167.1|DSUZ, LOC108005169|XP_016923833.1|DSUZ
OG0000783	LOC6034787|XP_001845060.1|CQUI	LOC108014686|XP_016936349.1|DSUZ, LOC108015375|XP_016937282.1|DSUZ
OG0000784	LOC6052698|XP_038104428.1|CQUI	LOC108012735|XP_016933657.1|DSUZ, LOC108016874|XP_016939247.1|DSUZ
OG0000785	LOC6046529|XP_001863710.2|CQUI, LOC6046527|XP_001863709.2|CQUI	LOC108011725|XP_016932436.2|DSUZ, LOC108011726|XP_016932437.2|DSUZ, LOC108020160|XP_016943751.2|DSUZ
OG0000786	LOC6037507|XP_038107901.1|CQUI	LOC108020430|XP_016944238.1|DSUZ, LOC108018387|XP_036672790.1|DSUZ
OG0000787	LOC6035614|XP_001845763.1|CQUI	LOC108013088|XP_036670990.1|DSUZ, LOC108005233|XP_016923914.1|DSUZ
OG0000788	LOC6045925|XP_001863200.1|CQUI	LOC108014889|XP_016936600.1|DSUZ, LOC108005882|XP_016924752.1|DSUZ
