Orthogroup	CQUI.longest_only	DSUB.longest_only
OG0002310	LOC6031360|XP_038109101.1|CQUI	LOC117900096|XP_034666207.1|DSUB
OG0002311	LOC6046331|XP_038108958.1|CQUI	LOC117900258|XP_034666448.1|DSUB
OG0002312	LOC6046701|XP_038110846.1|CQUI	LOC117901114|XP_034667639.1|DSUB, LOC117901228|XP_034667791.1|DSUB
OG0002313	LOC6050065|XP_038111372.1|CQUI	LOC117892228|XP_034654222.1|DSUB
OG0002314	LOC6050053|XP_001866720.2|CQUI	LOC117891468|XP_034652842.1|DSUB
OG0002315	LOC6031936|XP_038109302.1|CQUI, LOC6031768|XP_038109420.1|CQUI	LOC117890510|XP_034651302.1|DSUB
OG0002316	LOC6037125|XP_001847068.1|CQUI	LOC117901807|XP_034668612.1|DSUB
OG0002317	LOC6050062|XP_038111373.1|CQUI	LOC117893208|XP_034655625.1|DSUB
OG0002318	LOC6031952|XP_038108738.1|CQUI	LOC117900172|XP_034666308.1|DSUB
OG0002319	LOC119767871|XP_038113550.1|CQUI, LOC6039423|XP_038106730.1|CQUI	LOC117901512|XP_034668174.1|DSUB
OG0002320	LOC6031812|XP_001842519.2|CQUI	LOC117889950|XP_034650396.1|DSUB
OG0002321	LOC6038275|XP_001848098.1|CQUI	LOC117892515|XP_034654691.1|DSUB
OG0002322	LOC6044453|XP_038109073.1|CQUI	LOC117902025|XP_034668975.1|DSUB
OG0002323	LOC6041510|XP_001850760.2|CQUI	LOC117902005|XP_034668943.1|DSUB
OG0002324	LOC6043907|XP_001861490.1|CQUI	LOC117893834|XP_034656488.1|DSUB
OG0002325	LOC6043898|XP_038113606.1|CQUI	LOC117894364|XP_034657250.1|DSUB
OG0002326	LOC6043897|XP_038106830.1|CQUI	LOC117894366|XP_034657257.1|DSUB
OG0002327	LOC6043899|XP_038108302.1|CQUI	LOC117899599|XP_034665606.1|DSUB
OG0002328	LOC6036378|XP_001846433.2|CQUI	LOC117901262|XP_034667846.1|DSUB
OG0002329	LOC6036369|XP_038110618.1|CQUI	LOC117902742|XP_034670211.1|DSUB
OG0002330	LOC6031186|XP_038106119.1|CQUI	LOC117901365|XP_034667965.1|DSUB
OG0002331	LOC6031208|XP_001842042.2|CQUI	LOC117903457|XP_034671385.1|DSUB
OG0002332	LOC6042252|XP_001851390.2|CQUI	LOC117893236|XP_034655684.1|DSUB
OG0002333	LOC6032002|XP_038113463.1|CQUI	LOC117891968|XP_034653733.1|DSUB
OG0002334	LOC6037004|XP_001846968.2|CQUI	LOC117901408|XP_034668032.1|DSUB
OG0002335	LOC6031823|XP_038109961.1|CQUI	LOC117892240|XP_034654239.1|DSUB
OG0002336	LOC6033193|XP_038109781.1|CQUI	LOC117894044|XP_034656784.1|DSUB
OG0002337	LOC6040014|XP_038106019.1|CQUI	LOC117890915|XP_034651922.1|DSUB
OG0002338	LOC6040854|XP_038109267.1|CQUI	LOC117900477|XP_034666752.1|DSUB
OG0002339	LOC6031261|XP_038109126.1|CQUI, LOC6036110|XP_001846158.2|CQUI	LOC117900571|XP_034666869.1|DSUB
OG0002340	LOC6041523|XP_001850773.2|CQUI	LOC117902643|XP_034670058.1|DSUB, LOC117902642|XP_034670057.1|DSUB
OG0002341	LOC6040128|XP_001849587.2|CQUI	LOC117891193|XP_034652420.1|DSUB
OG0002342	LOC6040132|XP_038114414.1|CQUI	LOC117900546|XP_034666837.1|DSUB
OG0002343	LOC6036647|XP_038106750.1|CQUI	LOC117902211|XP_034669321.1|DSUB
OG0002344	LOC6036655|XP_038114418.1|CQUI	LOC117902282|XP_034669445.1|DSUB
OG0002345	LOC6033169|XP_038112404.1|CQUI	LOC117890004|XP_034650485.1|DSUB
OG0002346	LOC6033282|XP_001843752.2|CQUI	LOC117902596|XP_034669994.1|DSUB
OG0002347	LOC6048996|XP_001865830.2|CQUI	LOC117890528|XP_034651337.1|DSUB
OG0002348	LOC6050418|XP_038113237.1|CQUI	LOC117902787|XP_034670284.1|DSUB
OG0002349	LOC6044752|XP_038122121.1|CQUI, LOC6039494|XP_038105822.1|CQUI, LOC119766897|XP_038109217.1|CQUI	LOC117890620|XP_034651453.1|DSUB
OG0002350	LOC6031634|XP_038119250.1|CQUI, LOC6033104|XP_001843599.2|CQUI	LOC117890003|XP_034650483.1|DSUB
OG0002351	LOC6042105|XP_038114014.1|CQUI	LOC117891136|XP_034652235.1|DSUB
OG0002352	LOC6042118|XP_038112064.1|CQUI	LOC117891236|XP_034652473.1|DSUB
OG0002353	LOC6043228|XP_001857727.2|CQUI	LOC117902752|XP_034670232.1|DSUB
OG0002354	LOC6033274|XP_038113892.1|CQUI	LOC117902124|XP_034669141.1|DSUB
OG0002355	LOC6038937|XP_038108240.1|CQUI	LOC117902184|XP_034669248.1|DSUB
OG0002356	LOC6044243|XP_038114335.1|CQUI	LOC117902405|XP_034669636.1|DSUB
OG0002357	LOC6052967|XP_038113574.1|CQUI, LOC6052659|XP_038106613.1|CQUI, LOC6044241|XP_001861780.2|CQUI	LOC117896616|XP_034660941.1|DSUB
OG0002358	LOC6031859|XP_038106717.1|CQUI	LOC117902377|XP_034669588.1|DSUB
OG0002359	LOC6031881|XP_038111803.1|CQUI	LOC117890693|XP_034651582.1|DSUB
OG0002360	LOC6036445|XP_001846496.2|CQUI	LOC117902725|XP_034670184.1|DSUB
OG0002361	LOC119766965|XP_038109659.1|CQUI	LOC117894116|XP_034656886.1|DSUB
OG0002362	LOC6054587|XP_038107867.1|CQUI	LOC117900328|XP_034666551.1|DSUB
OG0002363	LOC6038008|XP_001847855.1|CQUI	LOC117901692|XP_034668444.1|DSUB
OG0002364	LOC6038009|XP_038113072.1|CQUI	LOC117901690|XP_034668425.1|DSUB
OG0002365	LOC6038010|XP_001847857.2|CQUI	LOC117901694|XP_034668446.1|DSUB
OG0002366	LOC6036339|XP_038111196.1|CQUI	LOC117902078|XP_034669060.1|DSUB
OG0002367	LOC6034393|XP_038109097.1|CQUI	LOC117901639|XP_034668360.1|DSUB
OG0002368	LOC6039844|XP_038108567.1|CQUI	LOC117901734|XP_034668508.1|DSUB
OG0002369	LOC6034866|XP_001845136.2|CQUI	LOC117890708|XP_034651640.1|DSUB
OG0002370	LOC6042079|XP_038107575.1|CQUI	LOC117900300|XP_034666504.1|DSUB
OG0002371	LOC6042074|XP_038107576.1|CQUI	LOC117900127|XP_034666243.1|DSUB
OG0002372	LOC6033604|XP_038107033.1|CQUI	LOC117899952|XP_034665997.1|DSUB
OG0002373	LOC6042945|XP_001870884.2|CQUI, LOC6053051|XP_001869210.1|CQUI	LOC117900161|XP_034666294.1|DSUB
OG0002374	LOC6048336|XP_038110935.1|CQUI	LOC117896015|XP_034659911.1|DSUB
OG0002375	LOC6037683|XP_038108247.1|CQUI	LOC117899753|XP_034665895.1|DSUB
OG0002376	LOC6048804|XP_038122078.1|CQUI	LOC117899969|XP_034666018.1|DSUB
OG0002377	LOC6040478|XP_001849864.2|CQUI	LOC117897920|XP_034662895.1|DSUB
OG0002378	LOC6042670|XP_001853364.1|CQUI	LOC117895765|XP_034659530.1|DSUB
OG0002379	LOC6039013|XP_001848695.2|CQUI	LOC117901392|XP_034668017.1|DSUB
OG0002380	LOC6047575|XP_001864617.1|CQUI	LOC117903253|XP_034671050.1|DSUB
OG0002381	LOC6032249|XP_001842887.1|CQUI	LOC117890783|XP_034651745.1|DSUB
OG0002382	LOC6048718|XP_038115337.1|CQUI	LOC117903492|XP_034671449.1|DSUB
OG0002383	LOC6054417|XP_038118937.1|CQUI	LOC117893561|XP_034656113.1|DSUB
OG0002384	LOC6048311|XP_038119472.1|CQUI, LOC6048302|XP_038116611.1|CQUI	LOC117897529|XP_034662343.1|DSUB
OG0002386	LOC6033077|XP_038120640.1|CQUI	LOC117898516|XP_034663874.1|DSUB
OG0002387	LOC6051016|XP_038115133.1|CQUI	LOC117896396|XP_034660594.1|DSUB
OG0002388	LOC6053486|XP_038122199.1|CQUI	LOC117896517|XP_034660776.1|DSUB
OG0002389	LOC6047438|XP_001864493.1|CQUI, LOC6034238|XP_038106278.1|CQUI	LOC117896706|XP_034661054.1|DSUB
OG0002390	LOC6049310|XP_001866082.2|CQUI	LOC117900442|XP_034666703.1|DSUB
OG0002391	LOC6039477|XP_038119173.1|CQUI	LOC117892417|XP_034654541.1|DSUB
OG0002392	LOC6044685|XP_038120275.1|CQUI	LOC117892954|XP_034655176.1|DSUB
OG0002393	LOC6045689|XP_038119329.1|CQUI	LOC117893322|XP_034655801.1|DSUB
OG0002394	LOC6039388|XP_038121848.1|CQUI	LOC117897735|XP_034662660.1|DSUB
OG0002395	LOC6046522|XP_038121760.1|CQUI	LOC117897596|XP_034662443.1|DSUB
OG0002396	LOC6035019|XP_038119412.1|CQUI	LOC117890207|XP_034650829.1|DSUB, LOC117890206|XP_034650826.1|DSUB
OG0002397	LOC6043888|XP_001861470.1|CQUI	LOC117891138|XP_034652238.1|DSUB
OG0002398	LOC6050951|XP_001867465.2|CQUI	LOC117890789|XP_034651758.1|DSUB
OG0002399	LOC119768868|XP_038116323.1|CQUI	LOC117890388|XP_034651082.1|DSUB
OG0002400	LOC6049235|XP_038120383.1|CQUI	LOC117891163|XP_034652370.1|DSUB
OG0002401	LOC6050680|XP_001867244.2|CQUI	LOC117902932|XP_034670425.1|DSUB
OG0002402	LOC6047584|XP_038116540.1|CQUI	LOC117899795|XP_034665966.1|DSUB
OG0002403	LOC6053670|XP_038118861.1|CQUI	LOC117899797|XP_034665970.1|DSUB
OG0002404	LOC6044716|XP_038118794.1|CQUI	LOC117899458|XP_034665360.1|DSUB
OG0002405	LOC6042040|XP_038118600.1|CQUI	LOC117897775|XP_034662711.1|DSUB
OG0002406	LOC119768831|XP_038116131.1|CQUI	LOC117894015|XP_034656738.1|DSUB
OG0002407	LOC6039819|XP_038116523.1|CQUI	LOC117896393|XP_034660589.1|DSUB
OG0002408	LOC6039804|XP_038119512.1|CQUI	LOC117897913|XP_034662885.1|DSUB
OG0002410	LOC6054177|XP_038119593.1|CQUI	LOC117896626|XP_034660954.1|DSUB
OG0002411	LOC6032563|XP_001843139.1|CQUI	LOC117898911|XP_034664491.1|DSUB
OG0002412	LOC6032566|XP_038122161.1|CQUI	LOC117899682|XP_034665763.1|DSUB
OG0002413	LOC6048880|XP_001865726.1|CQUI	LOC117902527|XP_034669848.1|DSUB
OG0002414	LOC6048854|XP_001865693.2|CQUI	LOC117894696|XP_034657768.1|DSUB
OG0002415	LOC6047147|XP_038117524.1|CQUI	LOC117896581|XP_034660877.1|DSUB
OG0002417	LOC6050407|XP_001867022.2|CQUI	LOC117901494|XP_034668153.1|DSUB
OG0002418	LOC6046399|XP_038121391.1|CQUI	LOC117896067|XP_034659979.1|DSUB
OG0002419	LOC6037577|XP_038116558.1|CQUI, LOC6050586|XP_001867168.2|CQUI	LOC117896615|XP_034660943.1|DSUB
OG0002420	LOC6037564|XP_038119772.1|CQUI	LOC117893044|XP_034655311.1|DSUB
OG0002421	LOC6048010|XP_001864984.2|CQUI	LOC117898824|XP_034664382.1|DSUB
OG0002422	LOC6032747|XP_038118698.1|CQUI	LOC117896256|XP_034660338.1|DSUB
OG0002423	LOC6033816|XP_038118435.1|CQUI	LOC117893235|XP_034655683.1|DSUB
OG0002424	LOC6040845|XP_038118999.1|CQUI	LOC117902923|XP_034670395.1|DSUB
OG0002425	LOC6053197|XP_038120572.1|CQUI, LOC6040839|XP_038122185.1|CQUI	LOC117903713|XP_034671951.1|DSUB
OG0002426	LOC6033988|XP_038115446.1|CQUI	LOC117894185|XP_034656989.1|DSUB
OG0002427	LOC6033992|XP_001844380.1|CQUI	LOC117902924|XP_034670396.1|DSUB
OG0002428	LOC6034042|XP_038116028.1|CQUI	LOC117892487|XP_034654644.1|DSUB
OG0002429	LOC6050578|XP_038121197.1|CQUI	LOC117893140|XP_034655486.1|DSUB
OG0002430	LOC6039947|XP_001849442.1|CQUI	LOC117891921|XP_034653634.1|DSUB
OG0002431	LOC6046184|XP_001863416.2|CQUI	LOC117890913|XP_034651919.1|DSUB
OG0002432	LOC6045833|XP_038112946.1|CQUI	LOC117889837|XP_034650220.1|DSUB
OG0002434	LOC6033790|XP_001844192.2|CQUI	LOC117899623|XP_034665668.1|DSUB
OG0002435	LOC6046932|XP_038109485.1|CQUI	LOC117903363|XP_034671210.1|DSUB
OG0002436	LOC6054064|XP_001870042.2|CQUI, LOC119767530|XP_038112259.1|CQUI	LOC117890130|XP_034650708.1|DSUB
OG0002437	LOC6051233|XP_038109096.1|CQUI	LOC117892477|XP_034654620.1|DSUB
OG0002438	LOC6043548|XP_038110094.1|CQUI, LOC6032484|XP_038116010.1|CQUI	LOC117903048|XP_034670678.1|DSUB
OG0002439	LOC119766963|XP_038109630.1|CQUI	LOC117901711|XP_034668475.1|DSUB
OG0002440	LOC6048677|XP_001865561.2|CQUI	LOC117892898|XP_034655088.1|DSUB
OG0002441	LOC6032364|XP_038107613.1|CQUI	LOC117890354|XP_034651037.1|DSUB
OG0002442	LOC6038122|XP_038111278.1|CQUI	LOC117891873|XP_034653530.1|DSUB
OG0002443	LOC6053099|XP_038108249.1|CQUI	LOC117890121|XP_034650690.1|DSUB
OG0002444	LOC6052487|XP_038106064.1|CQUI	LOC117890010|XP_034650500.1|DSUB
OG0002445	LOC6038541|XP_001848328.1|CQUI	LOC117891514|XP_034652900.1|DSUB, LOC117899527|XP_034665483.1|DSUB
OG0002446	LOC6033408|XP_001843861.2|CQUI	LOC117891916|XP_034653630.1|DSUB
OG0002447	LOC6052098|XP_038111823.1|CQUI	LOC117893307|XP_034655780.1|DSUB
OG0002448	LOC6051563|XP_001867979.2|CQUI	LOC117890146|XP_034650726.1|DSUB
OG0002449	LOC6053515|XP_001869584.1|CQUI	LOC117889958|XP_034650407.1|DSUB
OG0002450	LOC6043656|XP_038114104.1|CQUI	LOC117898709|XP_034664216.1|DSUB, LOC117899290|XP_034665093.1|DSUB, LOC117898711|XP_034664219.1|DSUB, LOC117897770|XP_034662707.1|DSUB
OG0002451	LOC6043669|XP_038109669.1|CQUI	LOC117892291|XP_034654324.1|DSUB
OG0002452	LOC6050180|XP_038110120.1|CQUI	LOC117889877|XP_034650276.1|DSUB
OG0002453	LOC6038085|XP_038109782.1|CQUI	LOC117891554|XP_034652966.1|DSUB
OG0002454	LOC6047683|XP_038108688.1|CQUI	LOC117895362|XP_034658836.1|DSUB
OG0002455	LOC6047681|XP_001864711.2|CQUI	LOC117895357|XP_034658832.1|DSUB
OG0002456	LOC6036749|XP_038106369.1|CQUI	LOC117890651|XP_034651496.1|DSUB
OG0002457	LOC6037973|XP_038109981.1|CQUI	LOC117889872|XP_034650271.1|DSUB
OG0002459	LOC6040278|XP_038110319.1|CQUI	LOC117890822|XP_034651785.1|DSUB
OG0002460	LOC6046545|XP_038107177.1|CQUI	LOC117890219|XP_034650848.1|DSUB
OG0002461	LOC6037728|XP_001847609.2|CQUI	LOC117892434|XP_034654564.1|DSUB
OG0002462	LOC6036728|XP_038106021.1|CQUI	LOC117892153|XP_034654092.1|DSUB
OG0002463	LOC6035951|XP_038107997.1|CQUI	LOC117889838|XP_034650218.1|DSUB
OG0002464	LOC6035936|XP_038113029.1|CQUI	LOC117891876|XP_034653532.1|DSUB
OG0002465	LOC6035937|XP_038107822.1|CQUI	LOC117890474|XP_034651228.1|DSUB
OG0002466	LOC6035693|XP_038106107.1|CQUI	LOC117902931|XP_034670419.1|DSUB
OG0002467	LOC6045031|XP_038113008.1|CQUI	LOC117893517|XP_034656047.1|DSUB
OG0002468	LOC6040091|XP_038107963.1|CQUI	LOC117894308|XP_034657166.1|DSUB
OG0002469	LOC6036071|XP_038108768.1|CQUI	LOC117896058|XP_034659962.1|DSUB
OG0002470	LOC6036080|XP_001846173.1|CQUI	LOC117892298|XP_034654331.1|DSUB
OG0002471	LOC6040384|XP_038107221.1|CQUI	LOC117891936|XP_034653669.1|DSUB
OG0002472	LOC6042946|XP_038108067.1|CQUI	LOC117890429|XP_034651140.1|DSUB
OG0002473	LOC6042941|XP_001870880.2|CQUI	LOC117892197|XP_034654180.1|DSUB
OG0002474	LOC6049842|XP_038108015.1|CQUI	LOC117893743|XP_034656363.1|DSUB
OG0002475	LOC6038339|XP_001848154.1|CQUI	LOC117897280|XP_034661902.1|DSUB
OG0002476	LOC6040191|XP_001849641.1|CQUI	LOC117889941|XP_034650368.1|DSUB
OG0002477	LOC6043951|XP_038110645.1|CQUI	LOC117890649|XP_034651492.1|DSUB
OG0002478	LOC6043127|XP_001855949.2|CQUI	LOC117890615|XP_034651447.1|DSUB
OG0002479	LOC6046503|XP_001863689.2|CQUI	LOC117891349|XP_034652670.1|DSUB
OG0002480	LOC6036095|XP_038111231.1|CQUI	LOC117890215|XP_034650839.1|DSUB
OG0002481	LOC6037433|XP_001847344.2|CQUI	LOC117891963|XP_034653729.1|DSUB, LOC117897489|XP_034662271.1|DSUB
OG0002482	LOC6054086|XP_001870060.2|CQUI	LOC117892482|XP_034654626.1|DSUB
OG0002483	LOC6043110|XP_001855883.2|CQUI	LOC117892621|XP_034654863.1|DSUB
OG0002484	LOC6043115|XP_001855904.1|CQUI	LOC117891166|XP_034652380.1|DSUB
OG0002485	LOC6051768|XP_001868152.2|CQUI	LOC117890572|XP_034651397.1|DSUB
OG0002486	LOC6050978|XP_001867487.1|CQUI	LOC117894976|XP_034658206.1|DSUB
OG0002488	LOC6053873|XP_038111830.1|CQUI	LOC117890308|XP_034650978.1|DSUB
OG0002489	LOC6037239|XP_038114170.1|CQUI	LOC117895752|XP_034659513.1|DSUB
OG0002490	LOC6037217|XP_038112765.1|CQUI	LOC117891295|XP_034652591.1|DSUB
OG0002491	LOC6040530|XP_001849914.2|CQUI	LOC117893366|XP_034655848.1|DSUB
OG0002492	LOC6040552|XP_001849934.2|CQUI	LOC117890506|XP_034651296.1|DSUB
OG0002493	LOC6040556|XP_038111560.1|CQUI	LOC117891286|XP_034652569.1|DSUB
OG0002494	LOC6045149|XP_038118792.1|CQUI	LOC117896409|XP_034660616.1|DSUB
OG0002495	LOC6036631|XP_038111990.1|CQUI	LOC117891516|XP_034652902.1|DSUB
OG0002508	LOC6035088|XP_038122670.1|CQUI	LOC117903827|XP_034672169.1|DSUB
OG0002509	LOC119765394|XP_038105104.1|CQUI, LOC119770056|XP_038120124.1|CQUI	LOC117892086|XP_034653968.1|DSUB
OG0002510	LOC6038187|XP_001848017.1|CQUI	LOC117898191|XP_034663305.1|DSUB
OG0002511	LOC6044330|XP_038110665.1|CQUI	LOC117899685|XP_034665766.1|DSUB
OG0002512	LOC6038318|XP_038117657.1|CQUI	LOC117902985|XP_034670574.1|DSUB
OG0002513	LOC6038305|XP_001848124.2|CQUI	LOC117896960|XP_034661396.1|DSUB
OG0002514	LOC6044319|XP_001861845.1|CQUI	LOC117895628|XP_034659274.1|DSUB
OG0002516	LOC6042706|XP_038116833.1|CQUI	LOC117899252|XP_034665027.1|DSUB
OG0002517	LOC6053207|XP_038116640.1|CQUI, LOC6053206|XP_038121940.1|CQUI, LOC119770678|XP_038121928.1|CQUI	LOC117902988|XP_034670594.1|DSUB
OG0002518	LOC6040416|XP_038105923.1|CQUI	LOC117898978|XP_034664610.1|DSUB
OG0002519	LOC119765096|XP_038104153.1|CQUI	LOC117891654|XP_034653097.1|DSUB
OG0002520	LOC119765152|XP_038104337.1|CQUI	LOC117903680|XP_034671909.1|DSUB
OG0002522	LOC6041768|XP_001850986.2|CQUI	LOC117896621|XP_034660950.1|DSUB
OG0002523	LOC6040429|XP_038121903.1|CQUI	LOC117896812|XP_034661208.1|DSUB
OG0002524	LOC6043383|XP_038116054.1|CQUI	LOC117891203|XP_034652436.1|DSUB
OG0002525	LOC6041756|XP_038104229.1|CQUI	LOC117894223|XP_034657030.1|DSUB
OG0002526	LOC6041757|XP_001850972.2|CQUI	LOC117896919|XP_034661350.1|DSUB
OG0002527	LOC6053287|XP_038105571.1|CQUI	LOC117897253|XP_034661866.1|DSUB
OG0002528	LOC6053284|XP_038111580.1|CQUI	LOC117902322|XP_034669506.1|DSUB
OG0002529	LOC6049217|XP_001866017.1|CQUI	LOC117899127|XP_034664810.1|DSUB
OG0002530	LOC6049213|XP_001866014.1|CQUI	LOC117900270|XP_034666472.1|DSUB
OG0002531	LOC6048445|XP_038113332.1|CQUI	LOC117901721|XP_034668490.1|DSUB
OG0002532	LOC6040445|XP_038111080.1|CQUI	LOC117897807|XP_034662747.1|DSUB
OG0002533	LOC6035125|XP_038116394.1|CQUI	LOC117900940|XP_034667401.1|DSUB
OG0002534	LOC6035133|XP_001845368.2|CQUI	LOC117890724|XP_034651663.1|DSUB
OG0002535	LOC6049268|XP_038105706.1|CQUI, LOC6049269|XP_038105686.1|CQUI	LOC117894708|XP_034657780.1|DSUB
OG0002536	LOC6050127|XP_001866784.1|CQUI	LOC117896936|XP_034661367.1|DSUB
OG0002537	LOC6050067|XP_001866735.2|CQUI	LOC117889835|XP_034650214.1|DSUB
OG0002539	LOC6049760|XP_038105192.1|CQUI	LOC117892279|XP_034654290.1|DSUB
OG0002540	LOC6044376|XP_038104046.1|CQUI	LOC117898786|XP_034664314.1|DSUB
OG0002541	LOC6051486|XP_001867921.2|CQUI	LOC117899508|XP_034665454.1|DSUB
OG0002542	LOC6050195|XP_001866841.2|CQUI	LOC117898513|XP_034663866.1|DSUB
OG0002543	LOC6053285|XP_001869398.2|CQUI	LOC117892422|XP_034654550.1|DSUB
OG0002544	LOC6054124|XP_001870091.2|CQUI	LOC117899031|XP_034664681.1|DSUB
OG0002545	LOC6048459|XP_038122651.1|CQUI	LOC117903286|XP_034671106.1|DSUB
OG0002547	LOC119771193|XP_038122754.1|CQUI	LOC117899107|XP_034664789.1|DSUB
OG0002548	LOC119765155|XP_038104372.1|CQUI	LOC117889903|XP_034650350.1|DSUB
OG0002549	LOC119765154|XP_038104350.1|CQUI	LOC117895631|XP_034659325.1|DSUB
OG0002550	LOC6049174|XP_038105810.1|CQUI	LOC117903214|XP_034670990.1|DSUB
OG0002551	LOC6037404|XP_001847321.2|CQUI, LOC6038454|XP_038105325.1|CQUI	LOC117897992|XP_034663009.1|DSUB
OG0002552	LOC6038452|XP_001848249.2|CQUI	LOC117902413|XP_034669646.1|DSUB
OG0002553	LOC6045347|XP_038122761.1|CQUI	LOC117901822|XP_034668646.1|DSUB, LOC117901160|XP_034667702.1|DSUB
OG0002554	LOC6035101|XP_001845337.1|CQUI	LOC117890351|XP_034651039.1|DSUB
OG0002555	LOC6035102|XP_001845338.2|CQUI	LOC117903536|XP_034671615.1|DSUB
OG0002556	LOC6044430|XP_038122718.1|CQUI	LOC117901729|XP_034668502.1|DSUB
OG0002557	LOC6052596|XP_001868839.1|CQUI	LOC117903739|XP_034671992.1|DSUB
OG0002558	LOC6049816|XP_001866517.1|CQUI	LOC117898495|XP_034663828.1|DSUB
OG0002559	LOC6044997|XP_038122831.1|CQUI	LOC117897300|XP_034661932.1|DSUB
OG0002560	LOC6045244|XP_038122871.1|CQUI	LOC117897839|XP_034662796.1|DSUB
OG0002561	LOC6052529|XP_001868783.1|CQUI	LOC117897240|XP_034661850.1|DSUB
OG0002563	LOC6039045|XP_001848723.2|CQUI	LOC117903390|XP_034671266.1|DSUB
OG0002564	LOC119771222|XP_038122902.1|CQUI	LOC117897809|XP_034662749.1|DSUB
OG0002565	LOC119771165|XP_038122575.1|CQUI	LOC117898264|XP_034663409.1|DSUB
OG0002566	LOC6038465|XP_038112671.1|CQUI	LOC117899282|XP_034665078.1|DSUB
OG0002567	LOC6042686|XP_001853447.1|CQUI	LOC117903682|XP_034671911.1|DSUB
OG0002568	LOC6053666|XP_001869712.2|CQUI	LOC117899493|XP_034665433.1|DSUB
OG0002569	LOC6053776|XP_038105020.1|CQUI	LOC117894689|XP_034657758.1|DSUB
OG0002570	LOC6045624|XP_038112684.1|CQUI	LOC117897756|XP_034662688.1|DSUB
OG0002572	LOC6048780|XP_001865647.1|CQUI	LOC117892574|XP_034654793.1|DSUB, LOC117890603|XP_034651433.1|DSUB
OG0002573	LOC6043596|XP_038111932.1|CQUI	LOC117897055|XP_034661538.1|DSUB
OG0002574	LOC6045003|XP_038104193.1|CQUI	LOC117896619|XP_034660947.1|DSUB
OG0002575	LOC6038492|XP_038112605.1|CQUI	LOC117896085|XP_034660015.1|DSUB
OG0002576	LOC6035137|XP_038104095.1|CQUI	LOC117897559|XP_034662387.1|DSUB
OG0002577	LOC6051202|XP_001867678.2|CQUI	LOC117894006|XP_034656720.1|DSUB
OG0002578	LOC119768616|XP_038114721.1|CQUI, LOC119766588|XP_038107355.1|CQUI	LOC117902080|XP_034669064.1|DSUB
OG0002579	LOC6046334|XP_001863546.1|CQUI, LOC6036611|XP_001846641.1|CQUI	LOC117901605|XP_034668312.1|DSUB
OG0002580	LOC6053493|XP_038122769.1|CQUI	LOC117890762|XP_034651713.1|DSUB
OG0002581	LOC6034486|XP_038105426.1|CQUI	LOC117898688|XP_034664182.1|DSUB
OG0002582	LOC6034722|XP_001845004.2|CQUI	LOC117899624|XP_034665669.1|DSUB
OG0002583	LOC6034748|XP_038104664.1|CQUI	LOC117898317|XP_034663504.1|DSUB
OG0002585	LOC119766613|XP_038107483.1|CQUI	LOC117895756|XP_034659520.1|DSUB
OG0002586	LOC6034720|XP_038104422.1|CQUI	LOC117898444|XP_034663740.1|DSUB
OG0002587	LOC6034719|XP_038104581.1|CQUI	LOC117897375|XP_034662065.1|DSUB
OG0002588	LOC6044481|XP_001861994.2|CQUI, LOC119765226|XP_038104620.1|CQUI	LOC117898125|XP_034663207.1|DSUB
OG0002589	LOC6053547|XP_038105601.1|CQUI	LOC117896194|XP_034660176.1|DSUB
OG0002590	LOC6053918|XP_038122805.1|CQUI	LOC117894470|XP_034657466.1|DSUB
OG0002591	LOC6052322|XP_038111789.1|CQUI	LOC117896168|XP_034660140.1|DSUB
OG0002592	LOC6046471|XP_038104522.1|CQUI	LOC117898743|XP_034664256.1|DSUB
OG0002593	LOC6046477|XP_038122167.1|CQUI	LOC117896347|XP_034660480.1|DSUB
OG0002594	LOC6050545|XP_038106001.1|CQUI	LOC117899730|XP_034665865.1|DSUB
OG0002595	LOC6046772|XP_038106619.1|CQUI	LOC117898435|XP_034663718.1|DSUB
OG0002596	LOC6035372|XP_038122549.1|CQUI	LOC117897390|XP_034662093.1|DSUB
OG0002597	LOC6035360|XP_038104383.1|CQUI	LOC117898694|XP_034664200.1|DSUB
OG0002598	LOC6048982|XP_038115404.1|CQUI	LOC117895968|XP_034659814.1|DSUB
OG0002599	LOC6051236|XP_038104285.1|CQUI	LOC117897700|XP_034662612.1|DSUB
OG0002600	LOC6042018|XP_001851182.1|CQUI	LOC117891903|XP_034653617.1|DSUB
OG0002601	LOC6035637|XP_038117863.1|CQUI	LOC117896831|XP_034661236.1|DSUB
OG0002602	LOC6035648|XP_038104109.1|CQUI	LOC117896751|XP_034661107.1|DSUB
OG0002603	LOC6035230|XP_038104327.1|CQUI	LOC117898065|XP_034663126.1|DSUB
OG0002604	LOC6048390|XP_001865317.2|CQUI	LOC117898047|XP_034663097.1|DSUB
OG0002605	LOC119765196|XP_038104518.1|CQUI	LOC117899669|XP_034665747.1|DSUB
OG0002606	LOC6038063|XP_038105789.1|CQUI	LOC117897376|XP_034662067.1|DSUB
OG0002607	LOC6035056|XP_001845293.1|CQUI, LOC119766361|XP_038106787.1|CQUI	LOC117897388|XP_034662087.1|DSUB
OG0002609	LOC6033577|XP_001844006.2|CQUI	LOC117892531|XP_034654726.1|DSUB
OG0002610	LOC6035548|XP_038122591.1|CQUI	LOC117895994|XP_034659872.1|DSUB
OG0002611	LOC6035544|XP_038122712.1|CQUI	LOC117897632|XP_034662496.1|DSUB
