Orthogroup	CQUI.longest_only	DBIA.longest_only
OG0001950	LOC6044944|XP_038114752.1|CQUI	LOC108022466|XP_016947298.1|DBIA, LOC108023806|XP_016948936.1|DBIA
OG0001951	LOC6038589|XP_038122017.1|CQUI	LOC108026608|XP_016953071.1|DBIA
OG0001952	LOC6051573|XP_038119566.1|CQUI	LOC108027585|XP_016954592.1|DBIA, LOC108026988|XP_016953679.1|DBIA
OG0001953	LOC6037139|XP_001847079.2|CQUI	LOC108026794|XP_016953444.1|DBIA
OG0001954	LOC6036398|XP_038119152.1|CQUI	LOC108022568|XP_016947054.1|DBIA
OG0001955	LOC6036401|XP_001846454.2|CQUI	LOC108036226|XP_016967726.1|DBIA
OG0001956	LOC6036547|XP_038117528.1|CQUI	LOC108034832|XP_016965433.1|DBIA
OG0001957	LOC6036275|XP_001846341.1|CQUI	LOC108026667|XP_016953203.1|DBIA
OG0001958	LOC6033549|XP_038117713.1|CQUI	LOC108030170|XP_016958395.1|DBIA
OG0001959	LOC6038392|XP_001848199.2|CQUI, LOC6037710|XP_038114451.1|CQUI	LOC108028762|XP_016956224.1|DBIA
OG0001960	LOC6040613|XP_001849983.2|CQUI	LOC108030448|XP_016958841.1|DBIA
OG0001962	LOC6035473|XP_038120793.1|CQUI	LOC108036626|XP_016968387.1|DBIA
OG0001963	LOC6033576|XP_038116392.1|CQUI	LOC108035419|XP_016966529.1|DBIA
OG0001964	LOC119770350|XP_038120975.1|CQUI	LOC108028508|XP_016955879.1|DBIA
OG0001966	LOC6045542|XP_038120964.1|CQUI	LOC108031886|XP_016961139.1|DBIA
OG0001967	LOC6037159|XP_038116491.1|CQUI	LOC108026536|XP_016952972.1|DBIA
OG0001968	LOC119769837|XP_038119461.1|CQUI	LOC108034573|XP_016964992.1|DBIA
OG0001969	LOC6043784|XP_001861388.2|CQUI	LOC108030134|XP_016958337.1|DBIA
OG0001970	LOC6033499|XP_001843940.1|CQUI	LOC108026876|XP_016953556.1|DBIA
OG0001971	LOC119770383|XP_038121065.1|CQUI	LOC108029353|XP_016957033.1|DBIA
OG0001972	LOC6050813|XP_038115650.1|CQUI	LOC108030149|XP_016958358.1|DBIA
OG0001973	LOC6030808|XP_038115981.1|CQUI	LOC108022954|XP_016947658.1|DBIA
OG0001974	LOC6040965|XP_001850286.2|CQUI	LOC108036609|XP_016968360.1|DBIA
OG0001975	LOC6047202|XP_001864288.2|CQUI	LOC108034636|XP_016965062.1|DBIA
OG0001976	LOC6037093|XP_001847040.1|CQUI	LOC108030139|XP_016958343.1|DBIA
OG0001977	LOC119767020|XP_038110184.1|CQUI, LOC6032497|XP_001843086.1|CQUI	LOC108033711|XP_016963732.1|DBIA
OG0001978	LOC6034119|XP_038111127.1|CQUI	LOC108034242|XP_016964582.1|DBIA
OG0001979	LOC6046047|XP_001863303.1|CQUI	LOC108036791|XP_016968627.1|DBIA
OG0001980	LOC6048883|XP_001865727.2|CQUI	LOC108033269|XP_016963028.1|DBIA
OG0001981	LOC6041637|XP_038113783.1|CQUI	LOC108029219|XP_016956898.1|DBIA
OG0001982	LOC6046048|XP_001863304.2|CQUI	LOC108036869|XP_016968738.1|DBIA
OG0001983	LOC6037074|XP_038109968.1|CQUI	LOC108031647|XP_016960770.1|DBIA
OG0001984	LOC6043314|XP_038108458.1|CQUI	LOC108021858|XP_016946136.1|DBIA
OG0001985	LOC6041484|XP_038107733.1|CQUI	LOC108032540|XP_016961902.1|DBIA
OG0001986	LOC6039572|XP_038113369.1|CQUI	LOC108034032|XP_016964267.1|DBIA
OG0001987	LOC6033795|XP_038108902.1|CQUI, LOC6047193|XP_038106698.1|CQUI	LOC108024211|XP_016949555.1|DBIA
OG0001988	LOC6031811|XP_038108479.1|CQUI	LOC108022660|XP_016947215.1|DBIA
OG0001989	LOC6038274|XP_001848097.2|CQUI	LOC108028992|XP_016956522.1|DBIA
OG0001990	LOC6038269|XP_038107998.1|CQUI	LOC108034192|XP_016964505.1|DBIA
OG0001992	LOC6048798|XP_038109494.1|CQUI	LOC108033946|XP_016964123.1|DBIA
OG0001993	LOC6034237|XP_001844584.2|CQUI, LOC6040852|XP_001850184.1|CQUI	LOC108033885|XP_016964019.1|DBIA
OG0001994	LOC6031207|XP_001842041.2|CQUI	LOC108031747|XP_016960937.1|DBIA
OG0001995	LOC6033195|XP_001843675.2|CQUI	LOC108032823|XP_016962327.1|DBIA
OG0001996	LOC6031275|XP_038108642.1|CQUI	LOC108029211|XP_016956891.1|DBIA
OG0001997	LOC6042869|XP_001853641.1|CQUI	LOC108022527|XP_016946993.1|DBIA
OG0001998	LOC6052519|XP_038108714.1|CQUI	LOC108022532|XP_016946997.1|DBIA
OG0001999	LOC6049002|XP_038107788.1|CQUI	LOC108022615|XP_016947144.1|DBIA
OG0002000	LOC6054187|XP_038109989.1|CQUI	LOC108036051|XP_016967483.1|DBIA
OG0002001	LOC6033119|XP_038108756.1|CQUI	LOC108033698|XP_016963687.1|DBIA
OG0002002	LOC6042111|XP_001851261.2|CQUI	LOC108022935|XP_016947637.1|DBIA
OG0002003	LOC6044259|XP_001861798.1|CQUI	LOC108036750|XP_016968558.1|DBIA
OG0002004	LOC6036173|XP_038111988.1|CQUI	LOC108034089|XP_016964345.1|DBIA
OG0002005	LOC6033275|XP_038111843.1|CQUI	LOC108032650|XP_016962091.1|DBIA
OG0002006	LOC6033224|XP_038110957.1|CQUI	LOC108033690|XP_016963666.1|DBIA
OG0002008	LOC6036447|XP_038109172.1|CQUI	LOC108035993|XP_016967345.1|DBIA
OG0002009	LOC6036465|XP_038112709.1|CQUI	LOC108026547|XP_016952986.1|DBIA
OG0002010	LOC6036482|XP_001846532.2|CQUI	LOC108036794|XP_016968630.1|DBIA
OG0002011	LOC6034391|XP_001844709.2|CQUI	LOC108032757|XP_016962239.1|DBIA
OG0002012	LOC6036347|XP_038112714.1|CQUI	LOC108029065|XP_016956624.1|DBIA
OG0002013	LOC6046639|XP_038107918.1|CQUI	LOC108034119|XP_016964391.1|DBIA
OG0002014	LOC6035997|XP_038111448.1|CQUI	LOC108023032|XP_016947760.1|DBIA
OG0002015	LOC6034825|XP_001845096.2|CQUI	LOC108034298|XP_016964650.1|DBIA
OG0002016	LOC6050974|XP_038107602.1|CQUI	LOC108030180|XP_016958415.1|DBIA
OG0002017	LOC6054171|XP_038108914.1|CQUI	LOC108033902|XP_016964055.1|DBIA
OG0002018	LOC6032135|XP_001842789.2|CQUI	LOC108033836|XP_016963952.1|DBIA, LOC108033255|XP_016963009.1|DBIA
OG0002019	LOC6046126|XP_038110758.1|CQUI	LOC108033891|XP_016964027.1|DBIA
OG0002020	LOC6038005|XP_038108837.1|CQUI	LOC108036098|XP_016967553.1|DBIA
OG0002021	LOC6037998|XP_001847845.2|CQUI	LOC108026694|XP_016953271.1|DBIA
OG0002022	LOC119767624|XP_038112509.1|CQUI	LOC108033550|XP_016963384.1|DBIA
OG0002023	LOC6036020|XP_038109557.1|CQUI	LOC108025044|XP_016950792.1|DBIA
OG0002024	LOC6033634|XP_001844061.1|CQUI	LOC108034158|XP_016964451.1|DBIA
OG0002025	LOC6048337|XP_038109427.1|CQUI	LOC108033995|XP_016964210.1|DBIA
OG0002026	LOC6046087|XP_038119029.1|CQUI	LOC108030863|XP_016959498.1|DBIA
OG0002027	LOC6038993|XP_038118649.1|CQUI	LOC108026624|XP_016953125.1|DBIA
OG0002028	LOC6038987|XP_038119452.1|CQUI	LOC108026781|XP_016953427.1|DBIA
OG0002029	LOC6044744|XP_038117028.1|CQUI	LOC108028242|XP_016955409.1|DBIA
OG0002030	LOC6036738|XP_001846737.1|CQUI	LOC108022732|XP_016947311.1|DBIA
OG0002031	LOC6034192|XP_001844547.2|CQUI	LOC108029767|XP_016957762.1|DBIA
OG0002032	LOC6047494|XP_001864549.2|CQUI	LOC108027155|XP_016953873.1|DBIA
OG0002033	LOC6033021|XP_038119287.1|CQUI	LOC108025690|XP_016951713.1|DBIA
OG0002034	LOC6033038|XP_038115410.1|CQUI	LOC108023510|XP_016948542.1|DBIA
OG0002036	LOC6050995|XP_038121187.1|CQUI	LOC108031058|XP_016959748.1|DBIA
OG0002037	LOC6046238|XP_001863465.1|CQUI	LOC108035209|XP_016966208.1|DBIA
OG0002038	LOC6048866|XP_001865713.1|CQUI	LOC108032083|XP_016961396.1|DBIA
OG0002039	LOC6041739|XP_001850959.1|CQUI	LOC108036875|XP_016968740.1|DBIA
OG0002040	LOC6049016|XP_038115728.1|CQUI	LOC108030488|XP_016958859.1|DBIA
OG0002041	LOC6053561|XP_038121322.1|CQUI	LOC108029595|XP_016957456.1|DBIA
OG0002042	LOC6042060|XP_001851213.1|CQUI	LOC108027364|XP_016954275.1|DBIA
OG0002043	LOC6046279|XP_001863506.2|CQUI	LOC108027390|XP_016954315.1|DBIA
OG0002044	LOC6049246|XP_038115174.1|CQUI	LOC108031005|XP_016959694.1|DBIA, LOC108031652|XP_016960772.1|DBIA
OG0002045	LOC6046000|XP_038119279.1|CQUI	LOC108032117|XP_016961439.1|DBIA
OG0002046	LOC6044308|XP_038119321.1|CQUI	LOC108024803|XP_016950414.1|DBIA, LOC108035755|XP_016966942.1|DBIA
OG0002047	LOC6050271|XP_038122220.1|CQUI	LOC108024090|XP_016949354.1|DBIA
OG0002048	LOC6042553|XP_038120962.1|CQUI	LOC108031157|XP_016959862.1|DBIA, LOC108031332|XP_016960073.1|DBIA
OG0002049	LOC6039492|XP_038115951.1|CQUI	LOC108024523|XP_016949967.1|DBIA
OG0002050	LOC6043404|XP_038115088.1|CQUI	LOC108026222|XP_016952534.1|DBIA
OG0002051	LOC6051287|XP_038119820.1|CQUI	LOC108022767|XP_016947362.1|DBIA
OG0002053	LOC6040835|XP_038116346.1|CQUI	LOC108031812|XP_016961027.1|DBIA
OG0002054	LOC6035830|XP_001845950.2|CQUI	LOC108027218|XP_016954036.1|DBIA
OG0002055	LOC6038958|XP_038120809.1|CQUI	LOC108031828|XP_016961055.1|DBIA
OG0002056	LOC6038943|XP_038120800.1|CQUI	LOC108030569|XP_016958960.1|DBIA
OG0002057	LOC6034056|XP_038120930.1|CQUI	LOC108034187|XP_016964498.1|DBIA
OG0002058	LOC6033986|XP_001844369.2|CQUI	LOC108029949|XP_016957944.1|DBIA
OG0002059	LOC6033981|XP_038120952.1|CQUI	LOC108026272|XP_016952623.1|DBIA
OG0002060	LOC6033990|XP_038119391.1|CQUI	LOC108022881|XP_016947567.1|DBIA
OG0002061	LOC6033991|XP_001844379.1|CQUI	LOC108026884|XP_016953573.1|DBIA
OG0002062	LOC6037972|XP_038118109.1|CQUI	LOC108035785|XP_016967000.1|DBIA
OG0002063	LOC119769819|XP_038119432.1|CQUI	LOC108023240|XP_016948007.1|DBIA
OG0002064	LOC6047178|XP_038120724.1|CQUI	LOC108035465|XP_016966602.1|DBIA
OG0002065	LOC6046202|XP_038120624.1|CQUI	LOC108035060|XP_016965935.1|DBIA
OG0002066	LOC6039967|XP_038109379.1|CQUI	LOC108026130|XP_016952323.1|DBIA
OG0002067	LOC6044111|XP_038112191.1|CQUI	LOC108026967|XP_016953672.1|DBIA, LOC108026501|XP_016952937.1|DBIA
OG0002068	LOC119766543|XP_038107216.1|CQUI	LOC108030377|XP_016958736.1|DBIA
OG0002069	LOC6041145|XP_001850445.2|CQUI	LOC108031619|XP_016960710.1|DBIA
OG0002070	LOC6041138|XP_001850438.2|CQUI	LOC108024855|XP_016950486.1|DBIA
OG0002071	LOC6036873|XP_038107719.1|CQUI	LOC108026131|XP_016952334.1|DBIA
OG0002072	LOC119767954|XP_038113954.1|CQUI, LOC119767948|XP_038113941.1|CQUI	LOC108036536|XP_016968249.1|DBIA
OG0002073	LOC6037933|XP_038116801.1|CQUI	LOC108034899|XP_016965602.1|DBIA
OG0002074	LOC6034286|XP_001844626.2|CQUI	LOC108026911|XP_016953609.1|DBIA
OG0002075	LOC6051422|XP_001867860.2|CQUI	LOC108036769|XP_016968598.1|DBIA
OG0002076	LOC6053604|XP_038109672.1|CQUI	LOC108022782|XP_016947384.1|DBIA
OG0002077	LOC6048428|XP_038107454.1|CQUI	LOC108029177|XP_016956828.1|DBIA, LOC108029160|XP_016956793.1|DBIA
OG0002078	LOC6049195|XP_038108184.1|CQUI	LOC108029667|XP_016957584.1|DBIA
OG0002079	LOC6035445|XP_038113391.1|CQUI	LOC108028294|XP_016955502.1|DBIA
OG0002080	LOC6045702|XP_038109755.1|CQUI	LOC108022999|XP_016947719.1|DBIA
OG0002081	LOC6045982|XP_001863256.2|CQUI	LOC108026959|XP_016953663.1|DBIA
OG0002082	LOC6036748|XP_038113901.1|CQUI	LOC108036374|XP_016967963.1|DBIA
OG0002083	LOC6035972|XP_038107184.1|CQUI	LOC108023395|XP_016948322.1|DBIA
OG0002084	LOC6035707|XP_038108824.1|CQUI	LOC108023060|XP_016947796.1|DBIA
OG0002085	LOC6042460|XP_038114127.1|CQUI	LOC108026658|XP_016953185.1|DBIA
OG0002086	LOC6046954|XP_001864067.2|CQUI	LOC108022809|XP_016947432.1|DBIA
OG0002087	LOC6035876|XP_038112932.1|CQUI	LOC108028017|XP_016955138.1|DBIA
OG0002088	LOC6048576|XP_038109929.1|CQUI	LOC108028348|XP_016955589.1|DBIA
OG0002090	LOC6048571|XP_038112054.1|CQUI	LOC108028596|XP_016956000.1|DBIA
OG0002091	LOC6042356|XP_001851484.1|CQUI	LOC108026606|XP_016953068.1|DBIA
OG0002092	LOC6042361|XP_001851488.2|CQUI, LOC6036907|XP_038108108.1|CQUI	LOC108035213|XP_016966217.1|DBIA
OG0002093	LOC6046499|XP_038110633.1|CQUI	LOC108022843|XP_016947504.1|DBIA
OG0002094	LOC6040957|XP_038113605.1|CQUI	LOC108026593|XP_016953054.1|DBIA
OG0002095	LOC6036091|XP_001846184.1|CQUI	LOC108024093|XP_016949357.1|DBIA
OG0002096	LOC6047564|XP_038107160.1|CQUI	LOC108022612|XP_016947137.1|DBIA
OG0002097	LOC6032274|XP_038114310.1|CQUI	LOC108036327|XP_016967829.1|DBIA
OG0002098	LOC6054484|XP_038109600.1|CQUI, LOC6050613|XP_038110230.1|CQUI	LOC108030845|XP_016959471.1|DBIA
OG0002099	LOC6052912|XP_038113126.1|CQUI	LOC108031104|XP_016959804.1|DBIA, LOC108032054|XP_016961359.1|DBIA
OG0002100	LOC6037635|XP_001847522.2|CQUI, LOC6037636|XP_038113451.1|CQUI	LOC108030656|XP_016959164.1|DBIA
OG0002101	LOC6034560|XP_038108470.1|CQUI	LOC108029579|XP_016957430.1|DBIA
OG0002102	LOC6040553|XP_001849935.2|CQUI	LOC108029639|XP_016957531.1|DBIA
OG0002103	LOC6039927|XP_038104265.1|CQUI	LOC108022173|XP_016946511.1|DBIA, LOC108031937|XP_016961206.1|DBIA
OG0002117	LOC6035092|XP_001845324.2|CQUI	LOC108026695|XP_016953272.1|DBIA
OG0002118	LOC6038196|XP_001848026.2|CQUI	LOC108032961|XP_016962524.1|DBIA
OG0002119	LOC6052831|XP_038104539.1|CQUI	LOC108026199|XP_016952480.1|DBIA
OG0002120	LOC6038312|XP_038104590.1|CQUI	LOC108036012|XP_016967414.1|DBIA
OG0002121	LOC6048963|XP_038111521.1|CQUI	LOC108026235|XP_016952559.1|DBIA
OG0002123	LOC6040410|XP_038105742.1|CQUI	LOC108033850|XP_016963974.1|DBIA
OG0002124	LOC119770815|XP_038122274.1|CQUI	LOC108035796|XP_016967027.1|DBIA
OG0002125	LOC119771160|XP_038122537.1|CQUI, LOC119765095|XP_038104176.1|CQUI	LOC108030030|XP_016958074.1|DBIA
OG0002126	LOC6053690|XP_001869735.2|CQUI	LOC108028833|XP_016956310.1|DBIA
OG0002127	LOC6051305|XP_038105747.1|CQUI	LOC108023591|XP_016948683.1|DBIA
OG0002128	LOC6050201|XP_038114963.1|CQUI	LOC108035766|XP_016966958.1|DBIA
OG0002129	LOC6038188|XP_038108193.1|CQUI	LOC108031580|XP_016960634.1|DBIA
OG0002130	LOC6048461|XP_001865375.1|CQUI	LOC108023316|XP_016948108.1|DBIA
OG0002131	LOC6041291|XP_038105189.1|CQUI	LOC108025363|XP_016951315.1|DBIA
OG0002132	LOC6042241|XP_001851379.1|CQUI	LOC108034811|XP_016965348.1|DBIA
OG0002133	LOC6041277|XP_001850564.2|CQUI	LOC108030309|XP_016958634.1|DBIA, LOC108036294|XP_016967797.1|DBIA
OG0002134	LOC6053321|XP_038104459.1|CQUI	LOC108023559|XP_016948635.1|DBIA
OG0002135	LOC6039380|XP_001848994.2|CQUI, LOC6038451|XP_038114365.1|CQUI	LOC108023951|XP_016949132.1|DBIA
OG0002136	LOC6052854|XP_038114943.1|CQUI	LOC108025326|XP_016951241.1|DBIA
OG0002137	LOC6035107|XP_001845343.2|CQUI	LOC108026146|XP_016952366.1|DBIA
OG0002138	LOC6053774|XP_001869800.2|CQUI	LOC108023692|XP_016948805.1|DBIA
OG0002139	LOC6054308|XP_038112556.1|CQUI	LOC108033054|XP_016962670.1|DBIA
OG0002140	LOC6052944|XP_038122401.1|CQUI	LOC108023214|XP_016947973.1|DBIA
OG0002141	LOC6052597|XP_001868840.1|CQUI	LOC108024077|XP_016949341.1|DBIA
OG0002142	LOC6044771|XP_001862230.2|CQUI	LOC108024995|XP_016950740.1|DBIA
OG0002143	LOC6049815|XP_001866521.2|CQUI	LOC108027786|XP_016954842.1|DBIA
OG0002144	LOC6045241|XP_001862632.1|CQUI	LOC108036687|XP_016968468.1|DBIA, LOC108033014|XP_016962633.1|DBIA
OG0002145	LOC6054639|XP_038108283.1|CQUI	LOC108031903|XP_016961159.1|DBIA
OG0002146	LOC6036975|XP_038114349.1|CQUI	LOC108024962|XP_016950689.1|DBIA
OG0002147	LOC6050629|XP_038108543.1|CQUI	LOC108025764|XP_016951847.1|DBIA
OG0002148	LOC6049935|XP_038105474.1|CQUI	LOC108034563|XP_016964981.1|DBIA
OG0002149	LOC6049814|XP_038122450.1|CQUI	LOC108036005|XP_016967390.1|DBIA
OG0002150	LOC6042689|XP_038115140.1|CQUI	LOC108026580|XP_016953026.1|DBIA
OG0002151	LOC6042690|XP_001870711.1|CQUI	LOC108033385|XP_016963193.1|DBIA
OG0002152	LOC6043588|XP_038111921.1|CQUI	LOC108025125|XP_016950885.1|DBIA
OG0002153	LOC6051446|XP_038116744.1|CQUI	LOC108026066|XP_016952250.1|DBIA
OG0002154	LOC6038494|XP_038104249.1|CQUI	LOC108023601|XP_016948698.1|DBIA
OG0002155	LOC6045355|XP_001862743.2|CQUI	LOC108025109|XP_016950863.1|DBIA
OG0002156	LOC119765577|XP_038105669.1|CQUI	LOC108030806|XP_016959390.1|DBIA
OG0002157	LOC6031420|XP_038119185.1|CQUI	LOC108024344|XP_016949738.1|DBIA
OG0002159	LOC6042564|XP_001852253.1|CQUI	LOC108022600|XP_016947123.1|DBIA
OG0002160	LOC6053375|XP_038104218.1|CQUI	LOC108031111|XP_016959811.1|DBIA
OG0002161	LOC6034721|XP_001845003.2|CQUI, LOC6053342|XP_001869448.1|CQUI	LOC108031804|XP_016961013.1|DBIA
OG0002162	LOC6034725|XP_038105052.1|CQUI	LOC108024705|XP_016950278.1|DBIA
OG0002164	LOC6034761|XP_001845035.2|CQUI	LOC108026438|XP_016952864.1|DBIA
OG0002166	LOC6041913|XP_001851104.1|CQUI	LOC108036799|XP_016968635.1|DBIA
OG0002167	LOC6041910|XP_001851101.1|CQUI	LOC108030451|XP_016958832.1|DBIA
OG0002168	LOC6053108|XP_001869252.2|CQUI	LOC108026917|XP_016953617.1|DBIA
OG0002169	LOC119769928|XP_038119722.1|CQUI	LOC108035317|XP_016966379.1|DBIA
OG0002170	LOC6046470|XP_001863662.2|CQUI	LOC108024903|XP_016950557.1|DBIA
OG0002171	LOC6046764|XP_038105150.1|CQUI	LOC108026205|XP_016952496.1|DBIA
OG0002172	LOC6035363|XP_001845574.2|CQUI	LOC108032234|XP_016961585.1|DBIA
OG0002173	LOC6054518|XP_001870417.2|CQUI	LOC108033327|XP_016963101.1|DBIA
OG0002174	LOC6046593|XP_001863767.2|CQUI	LOC108024757|XP_016950355.1|DBIA
OG0002175	LOC6046591|XP_001863766.1|CQUI	LOC108024758|XP_016950356.1|DBIA
OG0002176	LOC6036519|XP_001846564.2|CQUI	LOC108032126|XP_016961447.1|DBIA
OG0002177	LOC6037521|XP_038104546.1|CQUI, LOC6037519|XP_001847423.1|CQUI	LOC108023355|XP_016948207.1|DBIA
OG0002178	LOC6035645|XP_038111574.1|CQUI	LOC108025240|XP_016951075.1|DBIA
OG0002179	LOC6046335|XP_038104078.1|CQUI	LOC108026414|XP_016952831.1|DBIA
OG0002180	LOC6035429|XP_038104069.1|CQUI	LOC108025207|XP_016951029.1|DBIA
OG0002181	LOC6052079|XP_001868406.1|CQUI	LOC108023675|XP_016948785.1|DBIA
OG0002182	LOC119766353|XP_038106772.1|CQUI, LOC6035057|XP_001845294.2|CQUI	LOC108031489|XP_016960466.1|DBIA
OG0002183	LOC6053695|XP_001869737.2|CQUI	LOC108036244|XP_016967741.1|DBIA
OG0002184	LOC6039609|XP_001849183.1|CQUI	LOC108031751|XP_016960944.1|DBIA
OG0002185	LOC6044852|XP_038104985.1|CQUI	LOC108023846|XP_016948980.1|DBIA, LOC108026323|XP_016952702.1|DBIA
OG0002186	LOC119765311|XP_038104858.1|CQUI	LOC108023829|XP_016948965.1|DBIA
OG0002187	LOC6035552|XP_001845710.1|CQUI	LOC108032093|XP_016961408.1|DBIA
OG0002188	LOC6035546|XP_038104743.1|CQUI	LOC108026653|XP_016953180.1|DBIA
OG0002189	LOC6048163|XP_001865121.2|CQUI	LOC108022847|XP_016947550.1|DBIA
OG0002190	LOC6047848|XP_038106127.1|CQUI	LOC108026239|XP_016952563.1|DBIA
OG0002191	LOC6054528|XP_001870428.2|CQUI	LOC108028321|XP_016955543.1|DBIA
OG0002192	LOC6046955|XP_038113556.1|CQUI	LOC108028575|XP_016955969.1|DBIA
OG0002193	LOC6032691|XP_038105765.1|CQUI	LOC108031839|XP_016961078.1|DBIA
OG0002194	LOC6032669|XP_001843234.1|CQUI, LOC6032668|XP_001843233.2|CQUI	LOC108024407|XP_016949809.1|DBIA
OG0002195	LOC6031632|XP_038116823.1|CQUI	LOC108026398|XP_016952810.1|DBIA
OG0002196	LOC6039344|XP_001848971.2|CQUI	LOC108031127|XP_016959830.1|DBIA
OG0002197	LOC6046596|XP_038105222.1|CQUI	LOC108030958|XP_016959650.1|DBIA
OG0002198	LOC6034957|XP_038105850.1|CQUI	LOC108027260|XP_016954111.1|DBIA
OG0002199	LOC6033702|XP_001844125.1|CQUI	LOC108031630|XP_016960724.1|DBIA
OG0002200	LOC6039174|XP_038104559.1|CQUI	LOC108025770|XP_016951856.1|DBIA
OG0002202	LOC6046148|XP_038105307.1|CQUI	LOC108031728|XP_016960889.1|DBIA
OG0002203	LOC6039079|XP_038105676.1|CQUI	LOC108024702|XP_016950272.1|DBIA
OG0002204	LOC6049259|XP_038122869.1|CQUI	LOC108026389|XP_016952800.1|DBIA
OG0002206	LOC6037487|XP_001847397.2|CQUI	LOC108031187|XP_016959895.1|DBIA
OG0002207	LOC6033007|XP_001843517.1|CQUI	LOC108024688|XP_016950253.1|DBIA
OG0002208	LOC6033006|XP_001843516.1|CQUI	LOC108024870|XP_016950503.1|DBIA
OG0002209	LOC6045595|XP_001862936.2|CQUI	LOC108023592|XP_016948685.1|DBIA
OG0002210	LOC6045597|XP_001862938.1|CQUI	LOC108027372|XP_016954286.1|DBIA
OG0002211	LOC6045607|XP_001862945.1|CQUI	LOC108031916|XP_016961175.1|DBIA
OG0002212	LOC6038038|XP_001847883.1|CQUI	LOC108031977|XP_016961260.1|DBIA
OG0002213	LOC6051153|XP_001867636.1|CQUI	LOC108027441|XP_016954379.1|DBIA
OG0002215	LOC6032095|XP_038106196.1|CQUI	LOC108031383|XP_016960231.1|DBIA
OG0002216	LOC6032662|XP_038106882.1|CQUI	LOC108026376|XP_016952786.1|DBIA
OG0002217	LOC6033961|XP_001844349.2|CQUI	LOC108024808|XP_016950419.1|DBIA
OG0002218	LOC6053396|XP_038104621.1|CQUI	LOC108026620|XP_016953106.1|DBIA
OG0002220	LOC6037348|XP_038105656.1|CQUI	LOC108030971|XP_016959659.1|DBIA
OG0002221	LOC119770567|XP_038121611.1|CQUI, LOC119770566|XP_038121610.1|CQUI	LOC108035386|XP_016966482.1|DBIA
OG0002222	LOC6032790|XP_001843329.2|CQUI	LOC108022738|XP_016947317.1|DBIA
OG0002223	LOC6032796|XP_038115295.1|CQUI	LOC108036335|XP_016967864.1|DBIA
OG0002224	LOC119769378|XP_038117360.1|CQUI, LOC6032799|XP_038115284.1|CQUI	LOC108030034|XP_016958083.1|DBIA
OG0002225	LOC6032897|XP_038117532.1|CQUI	LOC108028666|XP_016956087.1|DBIA
OG0002226	LOC6042794|XP_001870797.1|CQUI	LOC108030057|XP_016958130.1|DBIA
OG0002227	LOC6031136|XP_038120789.1|CQUI	LOC108022543|XP_016947010.1|DBIA
OG0002228	LOC6031157|XP_038120047.1|CQUI	LOC108029709|XP_016957673.1|DBIA
OG0002229	LOC6031155|XP_001841998.2|CQUI	LOC108022551|XP_016947028.1|DBIA
OG0002230	LOC6031161|XP_038119537.1|CQUI	LOC108029635|XP_016957523.1|DBIA
OG0002231	LOC6050941|XP_038119258.1|CQUI, LOC119769702|XP_038119059.1|CQUI	LOC108030256|XP_016958565.1|DBIA
OG0002232	LOC6040636|XP_001850004.1|CQUI	LOC108022735|XP_016947313.1|DBIA
OG0002233	LOC6047308|XP_038120904.1|CQUI, LOC6047313|XP_038119049.1|CQUI	LOC108030689|XP_016959212.1|DBIA
OG0002234	LOC6042094|XP_038109897.1|CQUI, LOC6049788|XP_038119930.1|CQUI, LOC6049787|XP_001866494.1|CQUI	LOC108022163|XP_016946496.1|DBIA
OG0002235	LOC6040757|XP_038115690.1|CQUI	LOC108026632|XP_016953139.1|DBIA
OG0002236	LOC6030997|XP_001841850.1|CQUI	LOC108026688|XP_016953265.1|DBIA
OG0002237	LOC6047076|XP_001864183.2|CQUI	LOC108026650|XP_016953176.1|DBIA
OG0002238	LOC6049703|XP_038118161.1|CQUI	LOC108030221|XP_016958487.1|DBIA
OG0002239	LOC6042825|XP_001870822.1|CQUI	LOC108029733|XP_016957709.1|DBIA
OG0002240	LOC6041172|XP_038118497.1|CQUI	LOC108026702|XP_016953284.1|DBIA
OG0002241	LOC6044078|XP_038116059.1|CQUI	LOC108035287|XP_016966343.1|DBIA
OG0002243	LOC6044961|XP_038119719.1|CQUI	LOC108031643|XP_016960763.1|DBIA
OG0002244	LOC119767375|XP_038111774.1|CQUI, LOC6044948|XP_001862380.2|CQUI	LOC108028313|XP_016955525.1|DBIA
OG0002245	LOC6045680|XP_038114857.1|CQUI	LOC108035055|XP_016965924.1|DBIA
OG0002246	LOC6049979|XP_038118799.1|CQUI	LOC108030324|XP_016958670.1|DBIA
OG0002247	LOC6038803|XP_001848521.2|CQUI	LOC108026897|XP_016953595.1|DBIA
OG0002248	LOC6047330|XP_038119197.1|CQUI	LOC108035357|XP_016966442.1|DBIA
OG0002249	LOC6046727|XP_038111587.1|CQUI, LOC6052976|XP_001869143.1|CQUI	LOC108034754|XP_016965192.1|DBIA
OG0002250	LOC6050221|XP_038121273.1|CQUI	LOC108022882|XP_016947568.1|DBIA
OG0002251	LOC6049011|XP_038120599.1|CQUI	LOC108023070|XP_016947806.1|DBIA
OG0002252	LOC6040660|XP_001850021.2|CQUI	LOC108022983|XP_016947698.1|DBIA
OG0002253	LOC119768700|XP_038115241.1|CQUI	LOC108022755|XP_016947342.1|DBIA
