Orthogroup	CQUI.longest_only	DBUS.longest_only
OG0002132	LOC6042241|XP_001851379.1|CQUI	LOC108594263|XP_017834878.2|DBUS
OG0002133	LOC6041277|XP_001850564.2|CQUI	LOC108605212|XP_017850308.1|DBUS
OG0002134	LOC6053321|XP_038104459.1|CQUI	LOC108605887|XP_017851191.1|DBUS
OG0002135	LOC6039380|XP_001848994.2|CQUI, LOC6038451|XP_038114365.1|CQUI	LOC108606573|XP_017852282.1|DBUS
OG0002136	LOC6052854|XP_038114943.1|CQUI	LOC108604283|XP_017849175.1|DBUS
OG0002137	LOC6035107|XP_001845343.2|CQUI	LOC108601788|XP_017845208.1|DBUS
OG0002138	LOC6053774|XP_001869800.2|CQUI	LOC108605665|XP_017850941.1|DBUS
OG0002139	LOC6054308|XP_038112556.1|CQUI	LOC108606962|XP_017853010.1|DBUS
OG0002140	LOC6052944|XP_038122401.1|CQUI	LOC108606469|XP_017852086.1|DBUS
OG0002141	LOC6052597|XP_001868840.1|CQUI	LOC108597516|XP_017839598.1|DBUS
OG0002142	LOC6044771|XP_001862230.2|CQUI	LOC108604580|XP_017849600.1|DBUS
OG0002143	LOC6049815|XP_001866521.2|CQUI	LOC108594295|XP_017834976.2|DBUS
OG0002144	LOC6045241|XP_001862632.1|CQUI	LOC108607392|XP_017853644.1|DBUS
OG0002145	LOC6054639|XP_038108283.1|CQUI	LOC108601942|XP_017845411.1|DBUS
OG0002146	LOC6036975|XP_038114349.1|CQUI	LOC108603716|XP_017848246.1|DBUS
OG0002147	LOC6050629|XP_038108543.1|CQUI	LOC108605328|XP_033150296.1|DBUS
OG0002148	LOC6049935|XP_038105474.1|CQUI	LOC108599114|XP_017841393.1|DBUS
OG0002149	LOC6049814|XP_038122450.1|CQUI	LOC108607406|XP_017853678.1|DBUS
OG0002150	LOC6042689|XP_038115140.1|CQUI	LOC108607190|XP_017853338.1|DBUS
OG0002151	LOC6042690|XP_001870711.1|CQUI	LOC108599958|XP_017842701.1|DBUS
OG0002152	LOC6043588|XP_038111921.1|CQUI	LOC108604266|XP_017849149.1|DBUS
OG0002153	LOC6051446|XP_038116744.1|CQUI	LOC108601505|XP_017844894.1|DBUS
OG0002154	LOC6038494|XP_038104249.1|CQUI	LOC108606482|XP_017852107.1|DBUS
OG0002155	LOC6045355|XP_001862743.2|CQUI	LOC108602644|XP_017846278.1|DBUS
OG0002156	LOC119765577|XP_038105669.1|CQUI	LOC108600549|XP_017843697.1|DBUS
OG0002157	LOC6031420|XP_038119185.1|CQUI	LOC108601565|XP_033149795.1|DBUS, LOC108601566|XP_017844954.1|DBUS
OG0002159	LOC6042564|XP_001852253.1|CQUI	LOC108596147|XP_017837129.1|DBUS
OG0002160	LOC6053375|XP_038104218.1|CQUI	LOC108604843|XP_017849952.1|DBUS
OG0002161	LOC6034721|XP_001845003.2|CQUI, LOC6053342|XP_001869448.1|CQUI	LOC108602549|XP_017846173.1|DBUS
OG0002162	LOC6034725|XP_038105052.1|CQUI	LOC108604471|XP_017849445.1|DBUS
OG0002164	LOC6034761|XP_001845035.2|CQUI	LOC108603770|XP_017848346.1|DBUS
OG0002166	LOC6041913|XP_001851104.1|CQUI	LOC108599577|XP_017843683.1|DBUS
OG0002167	LOC6041910|XP_001851101.1|CQUI	LOC108595581|XP_017836332.1|DBUS
OG0002168	LOC6053108|XP_001869252.2|CQUI	LOC108596917|XP_017838617.1|DBUS
OG0002169	LOC119769928|XP_038119722.1|CQUI	LOC108599395|XP_017841693.1|DBUS
OG0002170	LOC6046470|XP_001863662.2|CQUI	LOC108607387|XP_017853625.1|DBUS
OG0002171	LOC6046764|XP_038105150.1|CQUI	LOC108603157|XP_017847202.1|DBUS
OG0002172	LOC6035363|XP_001845574.2|CQUI	LOC108602192|XP_017845729.1|DBUS
OG0002173	LOC6054518|XP_001870417.2|CQUI	LOC108598362|XP_017840475.1|DBUS
OG0002174	LOC6046593|XP_001863767.2|CQUI	LOC108602155|XP_017845677.1|DBUS
OG0002175	LOC6046591|XP_001863766.1|CQUI	LOC108602157|XP_017845678.1|DBUS
OG0002176	LOC6036519|XP_001846564.2|CQUI	LOC108604046|XP_017848797.1|DBUS
OG0002177	LOC6037521|XP_038104546.1|CQUI, LOC6037519|XP_001847423.1|CQUI	LOC108604741|XP_017849813.1|DBUS
OG0002178	LOC6035645|XP_038111574.1|CQUI	LOC108602970|XP_017846841.1|DBUS
OG0002179	LOC6046335|XP_038104078.1|CQUI	LOC108601898|XP_017845364.2|DBUS
OG0002180	LOC6035429|XP_038104069.1|CQUI	LOC108603618|XP_017848056.1|DBUS
OG0002181	LOC6052079|XP_001868406.1|CQUI	LOC108606947|XP_017852993.1|DBUS
OG0002182	LOC119766353|XP_038106772.1|CQUI, LOC6035057|XP_001845294.2|CQUI	LOC108603256|XP_017847384.1|DBUS
OG0002183	LOC6053695|XP_001869737.2|CQUI	LOC108595213|XP_017835889.1|DBUS
OG0002184	LOC6039609|XP_001849183.1|CQUI	LOC108604061|XP_017848813.1|DBUS
OG0002185	LOC6044852|XP_038104985.1|CQUI	LOC108603726|XP_017848257.1|DBUS
OG0002186	LOC119765311|XP_038104858.1|CQUI	LOC108602769|XP_017846434.1|DBUS
OG0002187	LOC6035552|XP_001845710.1|CQUI	LOC108604227|XP_017849081.1|DBUS
OG0002188	LOC6035546|XP_038104743.1|CQUI	LOC108596080|XP_017836986.1|DBUS
OG0002189	LOC6048163|XP_001865121.2|CQUI	LOC117135100|XP_033150991.1|DBUS
OG0002190	LOC6047848|XP_038106127.1|CQUI	LOC108602627|XP_017846255.1|DBUS
OG0002191	LOC6054528|XP_001870428.2|CQUI	LOC108599950|XP_017842687.2|DBUS
OG0002192	LOC6046955|XP_038113556.1|CQUI	LOC108598672|XP_017840878.2|DBUS
OG0002193	LOC6032691|XP_038105765.1|CQUI	LOC108602179|XP_017845708.1|DBUS
OG0002194	LOC6032669|XP_001843234.1|CQUI, LOC6032668|XP_001843233.2|CQUI	LOC108603981|XP_017848696.1|DBUS
OG0002195	LOC6031632|XP_038116823.1|CQUI	LOC108604800|XP_017849889.1|DBUS
OG0002196	LOC6039344|XP_001848971.2|CQUI	LOC108602494|XP_017846110.1|DBUS
OG0002197	LOC6046596|XP_038105222.1|CQUI	LOC108598704|XP_017840918.1|DBUS
OG0002198	LOC6034957|XP_038105850.1|CQUI	LOC108603576|XP_033150123.1|DBUS
OG0002199	LOC6033702|XP_001844125.1|CQUI	LOC108601919|XP_017845386.1|DBUS
OG0002200	LOC6039174|XP_038104559.1|CQUI	LOC108604390|XP_017849337.1|DBUS
OG0002202	LOC6046148|XP_038105307.1|CQUI	LOC108602750|XP_017846406.1|DBUS
OG0002203	LOC6039079|XP_038105676.1|CQUI	LOC108603839|XP_017848474.1|DBUS
OG0002204	LOC6049259|XP_038122869.1|CQUI	LOC108603017|XP_017846902.1|DBUS
OG0002206	LOC6037487|XP_001847397.2|CQUI	LOC108602176|XP_017845702.1|DBUS
OG0002207	LOC6033007|XP_001843517.1|CQUI	LOC108604660|XP_017849701.2|DBUS
OG0002208	LOC6033006|XP_001843516.1|CQUI	LOC108603306|XP_017847476.1|DBUS
OG0002209	LOC6045595|XP_001862936.2|CQUI	LOC108605670|XP_017850951.1|DBUS
OG0002210	LOC6045597|XP_001862938.1|CQUI	LOC108603040|XP_017846947.1|DBUS
OG0002211	LOC6045607|XP_001862945.1|CQUI	LOC108603206|XP_017847280.1|DBUS
OG0002212	LOC6038038|XP_001847883.1|CQUI	LOC108602997|XP_017846881.1|DBUS
OG0002213	LOC6051153|XP_001867636.1|CQUI	LOC108606120|XP_033150360.1|DBUS, LOC108603368|XP_017847620.1|DBUS
OG0002214	LOC6032048|XP_038105292.1|CQUI	LOC108602664|XP_017846300.1|DBUS
OG0002215	LOC6032095|XP_038106196.1|CQUI	LOC108603279|XP_033150047.1|DBUS
OG0002216	LOC6032662|XP_038106882.1|CQUI	LOC108596455|XP_017837691.1|DBUS
OG0002217	LOC6033961|XP_001844349.2|CQUI	LOC108603461|XP_017847783.1|DBUS
OG0002218	LOC6053396|XP_038104621.1|CQUI	LOC108606960|XP_017853009.1|DBUS
OG0002220	LOC6037348|XP_038105656.1|CQUI	LOC108601387|XP_017844776.1|DBUS
OG0002221	LOC119770567|XP_038121611.1|CQUI, LOC119770566|XP_038121610.1|CQUI	LOC108598063|XP_033149585.1|DBUS
OG0002222	LOC6032790|XP_001843329.2|CQUI	LOC108595387|XP_017836102.1|DBUS
OG0002224	LOC119769378|XP_038117360.1|CQUI, LOC6032799|XP_038115284.1|CQUI	LOC108596318|XP_017837424.1|DBUS
OG0002225	LOC6032897|XP_038117532.1|CQUI	LOC108600897|XP_017844210.1|DBUS
OG0002226	LOC6042794|XP_001870797.1|CQUI	LOC108596252|XP_017837294.1|DBUS
OG0002227	LOC6031136|XP_038120789.1|CQUI	LOC108596494|XP_033149116.1|DBUS
OG0002228	LOC6031157|XP_038120047.1|CQUI	LOC108597535|XP_017839624.1|DBUS, LOC108605881|XP_017851186.2|DBUS
OG0002229	LOC6031155|XP_001841998.2|CQUI	LOC108597171|XP_017839074.1|DBUS
OG0002230	LOC6031161|XP_038119537.1|CQUI	LOC108597390|XP_017839413.1|DBUS
OG0002231	LOC6050941|XP_038119258.1|CQUI, LOC119769702|XP_038119059.1|CQUI	LOC108597713|XP_017839891.1|DBUS
OG0002232	LOC6040636|XP_001850004.1|CQUI	LOC108597132|XP_017839006.1|DBUS
OG0002233	LOC6047308|XP_038120904.1|CQUI, LOC6047313|XP_038119049.1|CQUI	LOC108600814|XP_017844089.1|DBUS
OG0002235	LOC6040757|XP_038115690.1|CQUI	LOC108596646|XP_017838110.1|DBUS
OG0002236	LOC6030997|XP_001841850.1|CQUI	LOC108596047|XP_017836922.1|DBUS
OG0002237	LOC6047076|XP_001864183.2|CQUI	LOC108596076|XP_017836978.1|DBUS
OG0002238	LOC6049703|XP_038118161.1|CQUI	LOC108596892|XP_017838566.1|DBUS
OG0002239	LOC6042825|XP_001870822.1|CQUI	LOC108596947|XP_017838675.1|DBUS
OG0002240	LOC6041172|XP_038118497.1|CQUI	LOC108596447|XP_017837680.1|DBUS
OG0002241	LOC6044078|XP_038116059.1|CQUI	LOC108600708|XP_017843927.1|DBUS
OG0002243	LOC6044961|XP_038119719.1|CQUI	LOC108603300|XP_017847466.1|DBUS
OG0002244	LOC119767375|XP_038111774.1|CQUI, LOC6044948|XP_001862380.2|CQUI	LOC108600572|XP_017843730.2|DBUS
OG0002245	LOC6045680|XP_038114857.1|CQUI	LOC108599828|XP_017842424.1|DBUS
OG0002246	LOC6049979|XP_038118799.1|CQUI	LOC108597526|XP_017839612.1|DBUS
OG0002247	LOC6038803|XP_001848521.2|CQUI	LOC108597335|XP_017839321.1|DBUS
OG0002248	LOC6047330|XP_038119197.1|CQUI	LOC108600577|XP_017843735.2|DBUS
OG0002249	LOC6046727|XP_038111587.1|CQUI, LOC6052976|XP_001869143.1|CQUI	LOC108598563|XP_017840736.1|DBUS
OG0002250	LOC6050221|XP_038121273.1|CQUI	LOC108594857|XP_017835485.1|DBUS
OG0002251	LOC6049011|XP_038120599.1|CQUI	LOC108594793|XP_033148901.1|DBUS
OG0002252	LOC6040660|XP_001850021.2|CQUI	LOC108597349|XP_017839345.1|DBUS
OG0002253	LOC119768700|XP_038115241.1|CQUI	LOC108597637|XP_017839770.1|DBUS
OG0002254	LOC6052417|XP_038119674.1|CQUI	LOC108602655|XP_017846290.1|DBUS
OG0002255	LOC6041121|XP_001850425.2|CQUI	LOC108606742|XP_017852629.1|DBUS
OG0002256	LOC6053962|XP_038117648.1|CQUI	LOC108596980|XP_017838725.1|DBUS
OG0002257	LOC6036306|XP_038120022.1|CQUI	LOC108597752|XP_017839950.1|DBUS
OG0002260	LOC6051586|XP_001868005.2|CQUI	LOC108600387|XP_017843422.1|DBUS
OG0002261	LOC6039430|XP_038119745.1|CQUI	LOC108598994|XP_017841258.1|DBUS
OG0002263	LOC6037305|XP_001847231.1|CQUI	LOC108600256|XP_017843183.1|DBUS
OG0002264	LOC6036281|XP_001846347.2|CQUI	LOC108595084|XP_017835724.1|DBUS
OG0002265	LOC6054106|XP_001870076.2|CQUI	LOC108598928|XP_017843961.1|DBUS
OG0002266	LOC6040111|XP_038114718.1|CQUI	LOC117134994|XP_033150599.1|DBUS, LOC117134995|XP_033150600.1|DBUS
OG0002267	LOC6041091|XP_001850398.2|CQUI	LOC108601089|XP_033149589.1|DBUS
OG0002268	LOC6041087|XP_001850394.2|CQUI	LOC108598844|XP_017841087.1|DBUS
OG0002269	LOC6044693|XP_038114553.1|CQUI	LOC108597393|XP_017839418.1|DBUS
OG0002270	LOC6037148|XP_038117201.1|CQUI	LOC108597202|XP_017839129.1|DBUS
OG0002271	LOC6036553|XP_038118891.1|CQUI	LOC108599179|XP_017841456.1|DBUS
OG0002272	LOC6035611|XP_001845760.1|CQUI	LOC108598172|XP_033149555.1|DBUS
OG0002273	LOC6033527|XP_038115340.1|CQUI	LOC108599877|XP_017842522.1|DBUS
OG0002274	LOC6048902|XP_038116037.1|CQUI	LOC108598341|XP_033149723.1|DBUS
OG0002275	LOC6038251|XP_038118213.1|CQUI	LOC108601019|XP_017844382.1|DBUS
OG0002276	LOC6040614|XP_038116102.1|CQUI	LOC108599841|XP_017842450.2|DBUS
OG0002277	LOC6035466|XP_038118942.1|CQUI	LOC108598739|XP_033150626.1|DBUS
OG0002278	LOC6042858|XP_038117047.1|CQUI	LOC108597888|XP_017839995.1|DBUS
OG0002279	LOC6054516|XP_001870416.2|CQUI	LOC108600073|XP_017842918.1|DBUS
OG0002280	LOC6041979|XP_038116671.1|CQUI	LOC108600141|XP_017843023.2|DBUS
OG0002281	LOC6041008|XP_001850323.2|CQUI	LOC108600021|XP_017842828.1|DBUS
OG0002282	LOC119769211|XP_038117058.1|CQUI, LOC6031311|XP_001842128.2|CQUI	LOC108599639|XP_017842100.1|DBUS
OG0002283	LOC6035584|XP_038117065.1|CQUI	LOC117134718|XP_033149189.1|DBUS
OG0002284	LOC6035592|XP_001845743.1|CQUI	LOC108595577|XP_017836327.1|DBUS
OG0002285	LOC6050360|XP_001866980.2|CQUI	LOC108605938|XP_017851248.1|DBUS
OG0002286	LOC6047555|XP_038121299.1|CQUI	LOC108597606|XP_017839732.1|DBUS
OG0002287	LOC6036821|XP_038115121.1|CQUI	LOC108597429|XP_017839473.1|DBUS
OG0002288	LOC6036823|XP_038115902.1|CQUI	LOC108599178|XP_017841454.1|DBUS
OG0002289	LOC6048142|XP_001865105.1|CQUI	LOC108598865|XP_017841112.1|DBUS
OG0002290	LOC6032490|XP_001843080.1|CQUI	LOC108594425|XP_017835088.2|DBUS, LOC117135025|XP_033150725.1|DBUS
OG0002291	LOC6033513|XP_038118297.1|CQUI	LOC108595545|XP_033149021.1|DBUS
OG0002292	LOC6033463|XP_038119085.1|CQUI	LOC108597312|XP_017839287.1|DBUS
OG0002293	LOC119770382|XP_038121063.1|CQUI	LOC108596515|XP_017837846.1|DBUS
OG0002294	LOC6053981|XP_001869971.2|CQUI	LOC108604456|XP_017849425.1|DBUS
OG0002295	LOC6043755|XP_038110402.1|CQUI	LOC108607702|XP_017854182.1|DBUS
OG0002296	LOC6053408|XP_038107636.1|CQUI	LOC108607595|XP_017851272.2|DBUS
OG0002297	LOC6047771|XP_038111266.1|CQUI	LOC108603180|XP_017847227.1|DBUS
OG0002298	LOC6048640|XP_001865531.1|CQUI	LOC108596773|XP_017838361.1|DBUS
OG0002299	LOC6048634|XP_001865530.1|CQUI	LOC108595725|XP_017836496.1|DBUS
OG0002300	LOC6041296|XP_038109865.1|CQUI	LOC108600064|XP_017842909.1|DBUS
OG0002301	LOC6032442|XP_038109104.1|CQUI	LOC108607442|XP_017853762.2|DBUS
OG0002302	LOC6032494|XP_038107401.1|CQUI	LOC108608099|XP_017854794.1|DBUS
OG0002303	LOC119770001|XP_038119947.1|CQUI	LOC108605492|XP_017850726.1|DBUS
OG0002304	LOC6034145|XP_038110271.1|CQUI	LOC108594417|XP_017835075.2|DBUS
OG0002305	LOC6037882|XP_038108990.1|CQUI	LOC108601003|XP_017844357.1|DBUS
OG0002306	LOC6048483|XP_038112798.1|CQUI	LOC108594502|XP_017835190.2|DBUS
OG0002307	LOC6032953|XP_038114107.1|CQUI	LOC108604272|XP_033149867.1|DBUS
OG0002308	LOC6054586|XP_038108430.1|CQUI	LOC108608092|XP_033149028.1|DBUS
OG0002309	LOC6031325|XP_001842140.1|CQUI	LOC108603479|XP_017847820.1|DBUS
OG0002310	LOC6031360|XP_038109101.1|CQUI	LOC108594511|XP_033150958.1|DBUS
OG0002311	LOC6046331|XP_038108958.1|CQUI	LOC108607860|XP_017854432.1|DBUS
OG0002312	LOC6046701|XP_038110846.1|CQUI	LOC108594527|XP_017835219.2|DBUS
OG0002313	LOC6050065|XP_038111372.1|CQUI	LOC108596616|XP_017838048.1|DBUS
OG0002314	LOC6050053|XP_001866720.2|CQUI	LOC108595384|XP_017836098.1|DBUS
OG0002315	LOC6031936|XP_038109302.1|CQUI, LOC6031768|XP_038109420.1|CQUI	LOC108596794|XP_033150903.1|DBUS
OG0002316	LOC6037125|XP_001847068.1|CQUI	LOC108602477|XP_017846093.1|DBUS
OG0002317	LOC6050062|XP_038111373.1|CQUI	LOC108600900|XP_017844214.1|DBUS
OG0002318	LOC6031952|XP_038108738.1|CQUI	LOC108607814|XP_017854351.1|DBUS
OG0002319	LOC119767871|XP_038113550.1|CQUI, LOC6039423|XP_038106730.1|CQUI	LOC108607599|XP_017853991.1|DBUS
OG0002320	LOC6031812|XP_001842519.2|CQUI	LOC108597643|XP_017839781.1|DBUS
OG0002321	LOC6038275|XP_001848098.1|CQUI	LOC108595228|XP_017835912.1|DBUS, LOC108597895|XP_033150610.1|DBUS
OG0002322	LOC6044453|XP_038109073.1|CQUI	LOC108608478|XP_017855359.1|DBUS
OG0002323	LOC6041510|XP_001850760.2|CQUI	LOC108607505|XP_017853857.1|DBUS
OG0002324	LOC6043907|XP_001861490.1|CQUI	LOC108601005|XP_017844360.1|DBUS
OG0002325	LOC6043898|XP_038113606.1|CQUI	LOC108600301|XP_017843275.1|DBUS
OG0002326	LOC6043897|XP_038106830.1|CQUI	LOC108600663|XP_017843848.1|DBUS
OG0002327	LOC6043899|XP_038108302.1|CQUI	LOC108603572|XP_017847979.1|DBUS
OG0002328	LOC6036378|XP_001846433.2|CQUI	LOC108596495|XP_017837810.1|DBUS
OG0002329	LOC6036369|XP_038110618.1|CQUI	LOC108607634|XP_017854047.1|DBUS, LOC108607632|XP_017854045.1|DBUS
OG0002330	LOC6031186|XP_038106119.1|CQUI	LOC108607637|XP_017854049.1|DBUS
OG0002331	LOC6031208|XP_001842042.2|CQUI	LOC108606419|XP_017852004.1|DBUS
OG0002332	LOC6042252|XP_001851390.2|CQUI	LOC108600051|XP_017842887.1|DBUS
OG0002333	LOC6032002|XP_038113463.1|CQUI	LOC108595684|XP_017836454.1|DBUS
OG0002334	LOC6037004|XP_001846968.2|CQUI	LOC108596792|XP_017838388.1|DBUS
OG0002335	LOC6031823|XP_038109961.1|CQUI	LOC108595361|XP_017836074.1|DBUS
OG0002336	LOC6033193|XP_038109781.1|CQUI	LOC108600317|XP_017843304.1|DBUS
OG0002337	LOC6040014|XP_038106019.1|CQUI	LOC108596348|XP_017837492.1|DBUS
OG0002338	LOC6040854|XP_038109267.1|CQUI	LOC108594452|XP_017835116.1|DBUS
OG0002339	LOC6031261|XP_038109126.1|CQUI, LOC6036110|XP_001846158.2|CQUI	LOC108608445|XP_017855310.1|DBUS
OG0002340	LOC6041523|XP_001850773.2|CQUI	LOC108598668|XP_033150831.1|DBUS
OG0002341	LOC6040128|XP_001849587.2|CQUI	LOC108595340|XP_017836050.1|DBUS
OG0002342	LOC6040132|XP_038114414.1|CQUI	LOC108608147|XP_017854881.2|DBUS
OG0002343	LOC6036647|XP_038106750.1|CQUI	LOC108607937|XP_017854543.2|DBUS
OG0002344	LOC6036655|XP_038114418.1|CQUI	LOC108599497|XP_017841849.1|DBUS
OG0002345	LOC6033169|XP_038112404.1|CQUI	LOC108596352|XP_017837499.1|DBUS
OG0002346	LOC6033282|XP_001843752.2|CQUI	LOC108594219|XP_017834817.2|DBUS
OG0002347	LOC6048996|XP_001865830.2|CQUI	LOC108597495|XP_017839568.1|DBUS
OG0002348	LOC6050418|XP_038113237.1|CQUI	LOC108607888|XP_017854481.1|DBUS
OG0002349	LOC6044752|XP_038122121.1|CQUI, LOC6039494|XP_038105822.1|CQUI, LOC119766897|XP_038109217.1|CQUI	LOC108596354|XP_017837505.1|DBUS
OG0002350	LOC6031634|XP_038119250.1|CQUI, LOC6033104|XP_001843599.2|CQUI	LOC108596351|XP_017837497.1|DBUS
OG0002351	LOC6042105|XP_038114014.1|CQUI	LOC108595185|XP_017835853.1|DBUS
OG0002352	LOC6042118|XP_038112064.1|CQUI	LOC108597611|XP_017839737.1|DBUS
OG0002353	LOC6043228|XP_001857727.2|CQUI	LOC108594262|XP_033150353.1|DBUS
OG0002354	LOC6033274|XP_038113892.1|CQUI	LOC108608242|XP_017855018.2|DBUS
OG0002355	LOC6038937|XP_038108240.1|CQUI	LOC108594342|XP_033150584.1|DBUS
OG0002356	LOC6044243|XP_038114335.1|CQUI	LOC108608288|XP_017855096.1|DBUS
OG0002357	LOC6052967|XP_038113574.1|CQUI, LOC6052659|XP_038106613.1|CQUI, LOC6044241|XP_001861780.2|CQUI	LOC108604314|XP_017849225.1|DBUS
OG0002358	LOC6031859|XP_038106717.1|CQUI	LOC108603176|XP_017847225.2|DBUS, LOC108598806|XP_017841041.2|DBUS
OG0002359	LOC6031881|XP_038111803.1|CQUI	LOC108606824|XP_017852796.1|DBUS
OG0002360	LOC6036445|XP_001846496.2|CQUI	LOC108607431|XP_017853736.2|DBUS
OG0002361	LOC119766965|XP_038109659.1|CQUI	LOC108600877|XP_017844180.1|DBUS
OG0002362	LOC6054587|XP_038107867.1|CQUI	LOC108607704|XP_017854187.2|DBUS
OG0002363	LOC6038008|XP_001847855.1|CQUI	LOC108607434|XP_017853754.1|DBUS
OG0002364	LOC6038009|XP_038113072.1|CQUI	LOC108607432|XP_017853737.1|DBUS
OG0002365	LOC6038010|XP_001847857.2|CQUI	LOC108601622|XP_017845013.1|DBUS
OG0002366	LOC6036339|XP_038111196.1|CQUI	LOC108607789|XP_017854317.1|DBUS
OG0002367	LOC6034393|XP_038109097.1|CQUI	LOC108607572|XP_017853952.1|DBUS
OG0002368	LOC6039844|XP_038108567.1|CQUI	LOC108594432|XP_017835095.1|DBUS
OG0002370	LOC6042079|XP_038107575.1|CQUI	LOC108600274|XP_033150066.1|DBUS
OG0002371	LOC6042074|XP_038107576.1|CQUI	LOC108596123|XP_017837503.2|DBUS
OG0002372	LOC6033604|XP_038107033.1|CQUI	LOC108607604|XP_017853997.2|DBUS
OG0002373	LOC6042945|XP_001870884.2|CQUI, LOC6053051|XP_001869210.1|CQUI	LOC108596741|XP_017838300.1|DBUS
OG0002374	LOC6048336|XP_038110935.1|CQUI	LOC108602165|XP_017845687.1|DBUS
OG0002375	LOC6037683|XP_038108247.1|CQUI	LOC108604776|XP_017849862.2|DBUS
OG0002376	LOC6048804|XP_038122078.1|CQUI	LOC108608413|XP_017855261.1|DBUS
OG0002377	LOC6040478|XP_001849864.2|CQUI	LOC108603645|XP_017848098.1|DBUS
OG0002378	LOC6042670|XP_001853364.1|CQUI	LOC108600914|XP_017844235.1|DBUS
OG0002379	LOC6039013|XP_001848695.2|CQUI	LOC108598136|XP_017840246.1|DBUS
OG0002380	LOC6047575|XP_001864617.1|CQUI	LOC108606412|XP_017851985.1|DBUS
OG0002381	LOC6032249|XP_001842887.1|CQUI	LOC108595360|XP_017836073.1|DBUS
OG0002382	LOC6048718|XP_038115337.1|CQUI	LOC108607484|XP_033149935.1|DBUS, LOC108606275|XP_017851742.1|DBUS
OG0002383	LOC6054417|XP_038118937.1|CQUI	LOC108601084|XP_017844475.1|DBUS
OG0002384	LOC6048302|XP_038116611.1|CQUI	LOC108605052|XP_017850109.1|DBUS
OG0002386	LOC6033077|XP_038120640.1|CQUI	LOC108601538|XP_033149927.1|DBUS
OG0002387	LOC6051016|XP_038115133.1|CQUI	LOC108603651|XP_017848108.1|DBUS
OG0002388	LOC6053486|XP_038122199.1|CQUI	LOC108604343|XP_017849259.1|DBUS
OG0002389	LOC6047438|XP_001864493.1|CQUI, LOC6034238|XP_038106278.1|CQUI	LOC108601760|XP_017845173.1|DBUS
OG0002390	LOC6049310|XP_001866082.2|CQUI	LOC108600370|XP_017843399.2|DBUS
OG0002391	LOC6039477|XP_038119173.1|CQUI	LOC108597024|XP_017838794.1|DBUS
OG0002392	LOC6044685|XP_038120275.1|CQUI	LOC108598459|XP_017840593.1|DBUS
OG0002393	LOC6045689|XP_038119329.1|CQUI	LOC108599990|XP_017842738.2|DBUS
OG0002394	LOC6039388|XP_038121848.1|CQUI	LOC108602882|XP_017846672.1|DBUS
OG0002395	LOC6046522|XP_038121760.1|CQUI	LOC108604408|XP_017849364.1|DBUS
OG0002396	LOC6035019|XP_038119412.1|CQUI	LOC108596697|XP_017838209.1|DBUS
OG0002397	LOC6043888|XP_001861470.1|CQUI	LOC108595260|XP_017835960.1|DBUS
OG0002398	LOC6050951|XP_001867465.2|CQUI	LOC108607031|XP_017853110.1|DBUS
OG0002399	LOC119768868|XP_038116323.1|CQUI	LOC108597039|XP_017838823.1|DBUS
OG0002400	LOC6049235|XP_038120383.1|CQUI	LOC108595196|XP_017835869.1|DBUS
OG0002401	LOC6050680|XP_001867244.2|CQUI	LOC108607354|XP_017853536.1|DBUS
OG0002402	LOC6047584|XP_038116540.1|CQUI	LOC108604374|XP_017849313.1|DBUS
OG0002403	LOC6053670|XP_038118861.1|CQUI	LOC108601700|XP_017845103.1|DBUS
OG0002404	LOC6044716|XP_038118794.1|CQUI	LOC108603950|XP_017848632.1|DBUS
OG0002405	LOC6042040|XP_038118600.1|CQUI	LOC108603679|XP_017848171.1|DBUS, LOC117134778|XP_033149379.1|DBUS
OG0002406	LOC119768831|XP_038116131.1|CQUI	LOC108600211|XP_017843116.1|DBUS
OG0002407	LOC6039819|XP_038116523.1|CQUI	LOC108601341|XP_017844729.1|DBUS
OG0002408	LOC6039804|XP_038119512.1|CQUI	LOC108603680|XP_017848172.1|DBUS
OG0002410	LOC6054177|XP_038119593.1|CQUI	LOC108604019|XP_017848754.1|DBUS
OG0002411	LOC6032563|XP_001843139.1|CQUI	LOC108602851|XP_017846609.1|DBUS, LOC108601732|XP_017845142.1|DBUS
OG0002412	LOC6032566|XP_038122161.1|CQUI	LOC117134712|XP_033149137.1|DBUS
OG0002414	LOC6048854|XP_001865693.2|CQUI	LOC108605165|XP_017850238.1|DBUS
OG0002415	LOC6047147|XP_038117524.1|CQUI	LOC108603682|XP_017848178.2|DBUS
OG0002417	LOC6050407|XP_001867022.2|CQUI	LOC108594348|XP_017834991.1|DBUS
OG0002418	LOC6046399|XP_038121391.1|CQUI	LOC108603977|XP_017848692.1|DBUS
OG0002419	LOC6037577|XP_038116558.1|CQUI, LOC6050586|XP_001867168.2|CQUI	LOC108607191|XP_017853339.1|DBUS
OG0002420	LOC6037564|XP_038119772.1|CQUI	LOC108599641|XP_017842103.1|DBUS
OG0002421	LOC6048010|XP_001864984.2|CQUI	LOC108601524|XP_017844912.2|DBUS
OG0002422	LOC6032747|XP_038118698.1|CQUI	LOC108602807|XP_017846524.1|DBUS
OG0002423	LOC6033816|XP_038118435.1|CQUI	LOC108605592|XP_017850854.1|DBUS, LOC108601162|XP_017844583.1|DBUS
