Orthogroup	CQUI.longest_only	DMIR.longest_only
OG0001385	LOC6034387|XP_038110617.1|CQUI	LOC108163091|XP_017153666.1|DMIR
OG0001386	LOC6053855|XP_038106997.1|CQUI	LOC108162481|XP_033248525.1|DMIR
OG0001387	LOC6047222|XP_001864306.1|CQUI, LOC6047224|XP_038112158.1|CQUI	LOC108163187|XP_017153816.1|DMIR
OG0001388	LOC6032182|XP_038109835.1|CQUI, LOC6032181|XP_038113802.1|CQUI, LOC6052123|XP_001868440.2|CQUI	LOC108161325|XP_017151045.1|DMIR
OG0001389	LOC6044883|XP_038121439.1|CQUI, LOC6038982|XP_038119289.1|CQUI	LOC108157766|XP_017145437.1|DMIR
OG0001390	LOC6043555|XP_038119180.1|CQUI	LOC108163505|XP_017154321.1|DMIR
OG0001391	LOC6048704|XP_038118530.1|CQUI	LOC108152351|XP_017137111.1|DMIR, LOC117186477|XP_033243244.1|DMIR, LOC108161925|XP_017151838.1|DMIR
OG0001392	LOC6041800|XP_001851015.2|CQUI	LOC108163820|XP_017154799.1|DMIR
OG0001393	LOC119770223|XP_038120602.1|CQUI	LOC108164966|XP_017156468.1|DMIR, LOC108157223|XP_017144669.1|DMIR, LOC117186314|XP_033242819.1|DMIR, LOC117186313|XP_033242817.1|DMIR, LOC108154259|XP_017139983.1|DMIR, LOC117186315|XP_033242835.1|DMIR
OG0001394	LOC6046271|XP_038119136.1|CQUI, LOC119766035|XP_038106314.1|CQUI, LOC6052486|XP_038108722.1|CQUI	LOC108164102|XP_033248526.1|DMIR
OG0001395	LOC119770297|XP_038120835.1|CQUI	LOC108155153|XP_017141302.1|DMIR, LOC108157297|XP_017144788.2|DMIR
OG0001396	LOC6039739|XP_001849290.2|CQUI	LOC108162432|XP_017152659.1|DMIR
OG0001397	LOC6047980|XP_038116129.1|CQUI, LOC6037602|XP_038121622.1|CQUI	LOC108155521|XP_017141856.1|DMIR
OG0001399	LOC6046189|XP_038112799.1|CQUI	LOC117188125|XP_033247365.1|DMIR
OG0001400	LOC6046814|XP_001863949.2|CQUI	LOC108157580|XP_017145190.1|DMIR
OG0001401	LOC6035448|XP_001845635.2|CQUI, LOC6043103|XP_001855831.2|CQUI, LOC6035463|XP_001845649.1|CQUI	LOC108151014|XP_017134864.1|DMIR
OG0001402	LOC6052985|XP_001869146.2|CQUI	LOC108151878|XP_017136263.1|DMIR
OG0001403	LOC6035872|XP_001845986.2|CQUI, LOC6035873|XP_001845987.2|CQUI	LOC108153585|XP_017139153.1|DMIR
OG0001404	LOC6031682|XP_038114066.1|CQUI	LOC108159475|XP_017148286.1|DMIR, LOC117190366|XP_033251336.1|DMIR
OG0001405	LOC6037799|XP_001847675.2|CQUI	LOC117192861|XP_033253506.1|DMIR, LOC108160046|XP_017149279.1|DMIR, LOC117193760|XP_033254381.1|DMIR
OG0001406	LOC6051904|XP_001868262.1|CQUI	LOC108163706|XP_017154636.1|DMIR, LOC108164932|XP_017156410.1|DMIR
OG0001407	LOC6038938|XP_001848633.1|CQUI	LOC117189012|XP_033249753.1|DMIR, LOC117188994|XP_033249687.1|DMIR, LOC108150947|XP_017134770.2|DMIR, LOC117186282|XP_033242731.1|DMIR
OG0001408	LOC6054709|XP_001870580.2|CQUI	LOC108158909|XP_017147192.1|DMIR
OG0001410	LOC119770332|XP_038120939.1|CQUI, LOC119771190|XP_038122723.1|CQUI, LOC119766092|XP_038106412.1|CQUI, LOC119766286|XP_038106664.1|CQUI, LOC119770593|XP_038121717.1|CQUI, LOC119765989|XP_038106230.1|CQUI, LOC119770154|XP_038120466.1|CQUI, LOC119769184|XP_038117017.1|CQUI	LOC117191877|XP_033252533.1|DMIR
OG0001429	LOC6048863|XP_038105219.1|CQUI, LOC6047055|XP_038104443.1|CQUI	LOC108157784|XP_033245883.1|DMIR
OG0001430	LOC6044329|XP_038105537.1|CQUI	LOC108155483|XP_017141796.1|DMIR
OG0001431	LOC6035151|XP_038104540.1|CQUI	LOC108153137|XP_017138426.1|DMIR
OG0001432	LOC6054521|XP_038122563.1|CQUI	LOC108151485|XP_017135613.1|DMIR
OG0001433	LOC6046915|XP_038104735.1|CQUI	LOC108157088|XP_017144441.1|DMIR, LOC108156914|XP_017144151.2|DMIR
OG0001434	LOC6045215|XP_001862605.2|CQUI	LOC108163458|XP_017154241.1|DMIR
OG0001435	LOC6051492|XP_038117227.1|CQUI, LOC6045719|XP_001863028.2|CQUI	LOC117189776|XP_033250734.1|DMIR, LOC108158689|XP_017146712.1|DMIR, LOC108151263|XP_017135276.1|DMIR
OG0001436	LOC6050198|XP_038104525.1|CQUI	LOC108164699|XP_017156063.1|DMIR
OG0001437	LOC6048183|XP_001865135.1|CQUI	LOC108163817|XP_017154797.1|DMIR
OG0001438	LOC6037949|XP_038122757.1|CQUI	LOC117188672|XP_033248757.1|DMIR, LOC108154928|XP_033248747.1|DMIR, LOC108155159|XP_017141310.1|DMIR
OG0001439	LOC6049817|XP_038122655.1|CQUI, LOC6052268|XP_038106474.1|CQUI, LOC6035724|XP_038116899.1|CQUI, LOC119766585|XP_038107328.1|CQUI	LOC108156714|XP_017143852.1|DMIR
OG0001440	LOC6048960|XP_038105048.1|CQUI	LOC108157763|XP_017145438.1|DMIR
OG0001442	LOC6044008|XP_001861568.1|CQUI	LOC108162158|XP_017152225.1|DMIR
OG0001443	LOC6047470|XP_001864524.2|CQUI, LOC6047471|XP_001864525.2|CQUI	LOC108155894|XP_017142525.1|DMIR
OG0001444	LOC6044859|XP_038104624.1|CQUI	LOC108155542|XP_017141908.2|DMIR
OG0001445	LOC6039932|XP_001849430.1|CQUI	LOC108160788|XP_017150484.1|DMIR, LOC108157392|XP_017144922.1|DMIR
OG0001446	LOC6040670|XP_038122660.1|CQUI, LOC119765526|XP_038105472.1|CQUI	LOC108154195|XP_017139900.1|DMIR
OG0001447	LOC6035336|XP_038104354.1|CQUI	LOC108157124|XP_017144496.1|DMIR
OG0001448	LOC6035542|XP_001845700.1|CQUI, LOC6047272|XP_001864351.2|CQUI, LOC6047705|XP_001864727.2|CQUI	LOC108156453|XP_033244786.1|DMIR
OG0001449	LOC6039600|XP_001849180.2|CQUI	LOC108158797|XP_017146973.1|DMIR
OG0001450	LOC6031154|XP_038116027.1|CQUI	LOC108163718|XP_017154655.1|DMIR
OG0001451	LOC6038893|XP_038113599.1|CQUI, LOC119767033|XP_038110189.1|CQUI, LOC119769371|XP_038117350.1|CQUI	LOC108158434|XP_017146205.1|DMIR
OG0001452	LOC6052660|XP_038115024.1|CQUI	LOC108159195|XP_033246733.1|DMIR
OG0001453	LOC6049785|XP_001866492.2|CQUI, LOC6049784|XP_001866491.2|CQUI	LOC108153147|XP_017138437.1|DMIR
OG0001454	LOC6032932|XP_001843452.2|CQUI	LOC108156397|XP_017143321.1|DMIR
OG0001455	LOC6051546|XP_038119698.1|CQUI	LOC108152846|XP_017137946.1|DMIR
OG0001456	LOC6052304|XP_038116089.1|CQUI	LOC108159544|XP_033246371.1|DMIR
OG0001457	LOC6039266|XP_038118474.1|CQUI	LOC117189712|XP_033250695.1|DMIR, LOC117189707|XP_033250688.1|DMIR, LOC117189703|XP_033250685.1|DMIR, LOC117189692|XP_033250682.1|DMIR, LOC117189670|XP_033250667.1|DMIR, LOC117190074|XP_033251047.1|DMIR, LOC117189691|XP_033250681.1|DMIR, LOC108158463|XP_017146242.1|DMIR
OG0001458	LOC6041453|XP_038116471.1|CQUI, LOC6041452|XP_038117278.1|CQUI	LOC108158227|XP_033252645.1|DMIR, LOC117185733|XP_033248172.1|DMIR
OG0001459	LOC6052886|XP_038112076.1|CQUI, LOC6045671|XP_038117105.1|CQUI	LOC108153090|XP_017138359.1|DMIR
OG0001460	LOC6043365|XP_038120741.1|CQUI	LOC117192317|XP_033252861.1|DMIR, LOC108158088|XP_017145724.1|DMIR
OG0001461	LOC6048746|XP_038116352.1|CQUI	LOC108162622|XP_017152937.1|DMIR, LOC108153590|XP_017139159.1|DMIR
OG0001464	LOC6043979|XP_038118854.1|CQUI	LOC108158690|XP_017146716.1|DMIR
OG0001465	LOC6052932|XP_038120832.1|CQUI	LOC117186721|XP_033243728.1|DMIR, LOC117186725|XP_033243732.1|DMIR, LOC117186653|XP_033243585.1|DMIR, LOC117186724|XP_033243731.1|DMIR, LOC117194157|XP_033254704.1|DMIR, LOC117186726|XP_033243733.1|DMIR, LOC108160246|XP_017149595.2|DMIR, LOC117186727|XP_033243734.1|DMIR, LOC117193726|XP_033254342.1|DMIR
OG0001466	LOC6036432|XP_038121604.1|CQUI	LOC108161565|XP_017151342.2|DMIR
OG0001467	LOC6050213|XP_001866857.1|CQUI, LOC6036548|XP_001846591.2|CQUI	LOC108161870|XP_017151750.1|DMIR
OG0001468	LOC6038227|XP_001848055.2|CQUI	LOC108153691|XP_017139304.1|DMIR
OG0001469	LOC6041964|XP_038118490.1|CQUI	LOC108158513|XP_017146378.1|DMIR, LOC117193387|XP_033254027.1|DMIR
OG0001470	LOC6050356|XP_038121253.1|CQUI, LOC6050354|XP_038117145.1|CQUI	LOC108153756|XP_017139377.1|DMIR
OG0001471	LOC6037170|XP_038117414.1|CQUI	LOC108152190|XP_017136825.1|DMIR
OG0001472	LOC6035488|XP_001845669.1|CQUI	LOC108151212|XP_033244013.1|DMIR, LOC108151350|XP_017135396.1|DMIR
OG0001473	LOC6043807|XP_001861406.2|CQUI, LOC6043808|XP_038122295.1|CQUI	LOC108154459|XP_017140220.1|DMIR
OG0001474	LOC6040681|XP_038105414.1|CQUI	LOC108164753|XP_017156142.1|DMIR, LOC108160541|XP_033252386.1|DMIR
OG0001475	LOC6043752|XP_038110406.1|CQUI	LOC108158450|XP_017146224.1|DMIR, LOC117190434|XP_033251404.1|DMIR, LOC117185748|XP_033246902.1|DMIR, LOC117190433|XP_033251403.1|DMIR
OG0001476	LOC6048642|XP_038110160.1|CQUI	LOC117189378|XP_033250393.1|DMIR, LOC117188518|XP_033248409.1|DMIR
OG0001477	LOC6032451|XP_001843047.1|CQUI	LOC108155913|XP_017142547.1|DMIR
OG0001478	LOC6034120|XP_001844488.2|CQUI	LOC108162087|XP_017152136.1|DMIR
OG0001480	LOC6043201|XP_001857542.2|CQUI	LOC108155693|XP_033242004.1|DMIR, LOC108161816|XP_017151665.1|DMIR
OG0001481	LOC6031364|XP_038107828.1|CQUI	LOC108163198|XP_033248882.1|DMIR
OG0001482	LOC6031947|XP_001842625.2|CQUI	LOC108159150|XP_017147636.1|DMIR, LOC117189472|XP_033250496.1|DMIR
OG0001483	LOC6043303|XP_038106817.1|CQUI	LOC108162387|XP_017152590.1|DMIR
OG0001484	LOC6031200|XP_001842038.2|CQUI, LOC6036994|XP_038106889.1|CQUI	LOC108161416|XP_017151160.1|DMIR
OG0001485	LOC6036177|XP_038106782.1|CQUI, LOC119766360|XP_038106781.1|CQUI, LOC6036179|XP_038113696.1|CQUI	LOC108153426|XP_017138918.1|DMIR
OG0001486	LOC6034896|XP_038107061.1|CQUI	LOC108163483|XP_017154280.1|DMIR
OG0001487	LOC6053489|XP_038110588.1|CQUI	LOC117188782|XP_033249041.1|DMIR
OG0001488	LOC6047908|XP_038114121.1|CQUI	LOC108160873|XP_017150624.1|DMIR
OG0001489	LOC6032104|XP_038107020.1|CQUI, LOC6032110|XP_038112609.1|CQUI	LOC108162324|XP_033249847.1|DMIR
OG0001490	LOC6032134|XP_001842788.1|CQUI	LOC108163308|XP_017154013.1|DMIR
OG0001491	LOC6033331|XP_001843796.1|CQUI	LOC108163427|XP_017154195.1|DMIR
OG0001492	LOC6048340|XP_038111871.1|CQUI	LOC108162618|XP_017152927.1|DMIR
OG0001493	LOC6040502|XP_001849888.1|CQUI	LOC108156078|XP_017142853.1|DMIR, LOC108152671|XP_033244150.1|DMIR
OG0001494	LOC119770364|XP_038121011.1|CQUI, LOC6045228|XP_001862626.2|CQUI, LOC119770518|XP_038121458.1|CQUI, LOC119770266|XP_038120748.1|CQUI, LOC6054405|XP_001870323.1|CQUI	LOC108151562|XP_017135726.1|DMIR
OG0001495	LOC6041805|XP_001851019.2|CQUI	LOC117189857|XP_033250816.1|DMIR, LOC108158695|XP_017146719.1|DMIR, LOC108153383|XP_017138844.1|DMIR
OG0001496	LOC119769667|XP_038118888.1|CQUI	LOC108151457|XP_017135567.1|DMIR, LOC108164836|XP_017156249.1|DMIR
OG0001497	LOC6048948|XP_038120703.1|CQUI	LOC108160477|XP_017149986.1|DMIR, LOC117193443|XP_033254085.1|DMIR
OG0001500	LOC6050346|XP_038118495.1|CQUI	LOC117187784|XP_033246515.1|DMIR, LOC108160133|XP_017149416.2|DMIR
OG0001501	LOC6037771|XP_001847650.2|CQUI, LOC6037770|XP_001847649.2|CQUI	LOC108155422|XP_017141717.1|DMIR
OG0001502	LOC6033994|XP_001844381.1|CQUI	LOC108158194|XP_017145902.1|DMIR, LOC117189350|XP_033250379.1|DMIR, LOC117190073|XP_033251045.1|DMIR, LOC117190071|XP_033251042.1|DMIR
OG0001503	LOC6031515|XP_038110033.1|CQUI	LOC117190225|XP_033251167.1|DMIR, LOC108160290|XP_017149672.2|DMIR
OG0001504	LOC6036866|XP_038107420.1|CQUI	LOC108158503|XP_017146325.2|DMIR
OG0001506	LOC6043675|XP_038109186.1|CQUI	LOC117185721|XP_033248317.1|DMIR, LOC108159484|XP_017148304.2|DMIR
OG0001507	LOC6036616|XP_038108568.1|CQUI, LOC6049887|XP_038108917.1|CQUI	LOC108159578|XP_017148515.1|DMIR
OG0001508	LOC6047098|XP_038110554.1|CQUI, LOC6051703|XP_038112138.1|CQUI	LOC117185699|XP_033253778.1|DMIR, LOC108160352|XP_017149806.1|DMIR
OG0001509	LOC6042455|XP_038114123.1|CQUI	LOC108159940|XP_017149083.1|DMIR, LOC117190809|XP_033251742.1|DMIR
OG0001510	LOC6049879|XP_001866569.2|CQUI, LOC6053362|XP_038112276.1|CQUI	LOC108162838|XP_017153269.1|DMIR
OG0001511	LOC6034200|XP_001844554.2|CQUI	LOC117193362|XP_033253968.1|DMIR, LOC108160564|XP_017150133.1|DMIR, LOC117185918|XP_033253970.1|DMIR
OG0001512	LOC6034555|XP_038113919.1|CQUI	LOC108150796|XP_017134589.1|DMIR
OG0001513	LOC6034558|XP_038106054.1|CQUI	LOC108152559|XP_017137480.1|DMIR
OG0001515	LOC6032502|XP_001843091.1|CQUI	LOC108153429|XP_017138920.1|DMIR, LOC108156196|XP_017143019.2|DMIR, LOC117187472|XP_033246127.1|DMIR
OG0001534	LOC119768890|XP_038116590.1|CQUI, LOC6050116|XP_038116548.1|CQUI	LOC108165461|XP_033243977.1|DMIR
OG0001535	LOC6049759|XP_001866470.2|CQUI	LOC108162231|XP_017152351.1|DMIR
OG0001536	LOC6047702|XP_001864725.2|CQUI, LOC119769391|XP_038117458.1|CQUI	LOC108156573|XP_017143600.1|DMIR
OG0001537	LOC6036962|XP_038104622.1|CQUI	LOC108161820|XP_033249218.1|DMIR, LOC108163976|XP_017155022.1|DMIR
OG0001538	LOC6051448|XP_001867887.1|CQUI	LOC108164610|XP_017155938.1|DMIR
OG0001539	LOC6047629|XP_038111858.1|CQUI	LOC108159130|XP_017147611.1|DMIR
OG0001540	LOC6045246|XP_038104466.1|CQUI	LOC108153785|XP_017139418.1|DMIR, LOC108154451|XP_017140211.1|DMIR, LOC108163249|XP_017153904.1|DMIR
OG0001541	LOC6040730|XP_038108263.1|CQUI	LOC108165356|XP_017156879.1|DMIR
OG0001542	LOC6040719|XP_038122365.1|CQUI	LOC108157053|XP_017144363.1|DMIR
OG0001543	LOC6049648|XP_038119626.1|CQUI, LOC119766019|XP_038106279.1|CQUI	LOC108158165|XP_017145878.1|DMIR
OG0001545	LOC6041845|XP_001851055.2|CQUI	LOC108159855|XP_017148951.1|DMIR
OG0001546	LOC6041847|XP_038105040.1|CQUI, LOC6041843|XP_001851053.2|CQUI	LOC108159841|XP_017148921.1|DMIR
OG0001547	LOC6034424|XP_038104911.1|CQUI	LOC108156758|XP_033247891.1|DMIR
OG0001548	LOC6031444|XP_038107826.1|CQUI	LOC108164284|XP_017155421.2|DMIR, LOC117189147|XP_033250107.1|DMIR, LOC108162941|XP_017153421.1|DMIR
OG0001549	LOC119771149|XP_038122501.1|CQUI, LOC6031765|XP_038110368.1|CQUI	LOC108163265|XP_033248672.1|DMIR
OG0001551	LOC6048977|XP_038105432.1|CQUI, LOC6048979|XP_038123020.1|CQUI	LOC108157564|XP_017145171.2|DMIR
OG0001552	LOC6042417|XP_001851537.1|CQUI	LOC108155289|XP_017141494.1|DMIR
OG0001553	LOC6049664|XP_038117806.1|CQUI	LOC108165024|XP_017156549.1|DMIR
OG0001554	LOC6047921|XP_038115900.1|CQUI	LOC108157411|XP_017144949.2|DMIR
OG0001555	LOC6041540|XP_038112803.1|CQUI, LOC6035547|XP_038111901.1|CQUI	LOC108163674|XP_017154590.1|DMIR
OG0001556	LOC6036277|XP_001846343.1|CQUI	LOC117193041|XP_033253668.1|DMIR, LOC117192763|XP_033253394.1|DMIR, LOC108159478|XP_017148295.1|DMIR
OG0001557	LOC6032557|XP_038117789.1|CQUI	LOC108153001|XP_017138234.1|DMIR
OG0001559	LOC6032627|XP_038117581.1|CQUI	LOC108157172|XP_017144581.1|DMIR
OG0001560	LOC6035520|XP_038105194.1|CQUI	LOC108156097|XP_017142875.1|DMIR
OG0001561	LOC6039613|XP_001849187.2|CQUI	LOC108155176|XP_017141335.1|DMIR
OG0001562	LOC6041461|XP_001850718.2|CQUI, LOC6047991|XP_001864968.2|CQUI, LOC6041457|XP_038118003.1|CQUI	LOC108162157|XP_017152224.1|DMIR, LOC117186086|XP_033242077.1|DMIR
OG0001563	LOC6037333|XP_038119352.1|CQUI	LOC117187079|XP_033244822.1|DMIR
OG0001564	LOC6032190|XP_038114038.1|CQUI	LOC108156021|XP_017142742.1|DMIR
OG0001565	LOC6049260|XP_038122779.1|CQUI, LOC6040673|XP_038108211.1|CQUI	LOC108156927|XP_017144170.1|DMIR
OG0001566	LOC6045590|XP_001862931.1|CQUI	LOC108165449|XP_017156979.1|DMIR, LOC108155388|XP_017141657.1|DMIR
OG0001567	LOC6032066|XP_001842732.1|CQUI	LOC108160776|XP_017150467.1|DMIR, LOC117188188|XP_033247557.1|DMIR
OG0001568	LOC6032078|XP_038104758.1|CQUI	LOC117188390|XP_033248086.1|DMIR, LOC108155215|XP_033245875.1|DMIR, LOC108155217|XP_033248915.1|DMIR
OG0001569	LOC6032085|XP_001842751.2|CQUI	LOC108157412|XP_017144950.1|DMIR
OG0001570	LOC6033929|XP_038104685.1|CQUI	LOC108154351|XP_017140105.2|DMIR
OG0001571	LOC6031781|XP_038112990.1|CQUI	LOC108162512|XP_017152778.1|DMIR
OG0001572	LOC6031115|XP_001841960.1|CQUI, LOC6031114|XP_038118150.1|CQUI	LOC108164845|XP_017156263.1|DMIR
OG0001573	LOC6047431|XP_038117579.1|CQUI	LOC108152338|XP_017137089.1|DMIR
OG0001574	LOC6032294|XP_038113921.1|CQUI, LOC6043339|XP_001870938.1|CQUI	LOC108165016|XP_017156543.1|DMIR
OG0001575	LOC6044655|XP_001862135.2|CQUI	LOC108153937|XP_033244173.1|DMIR, LOC117185898|XP_033244172.1|DMIR
OG0001576	LOC6036108|XP_038113191.1|CQUI	LOC108154218|XP_017139933.1|DMIR
OG0001577	LOC6052635|XP_001868870.2|CQUI	LOC108157583|XP_017145195.1|DMIR, LOC108156037|XP_017142779.1|DMIR
OG0001578	LOC6043960|XP_001861544.2|CQUI	LOC117193185|XP_033253824.1|DMIR, LOC108159212|XP_017147781.1|DMIR, LOC117193186|XP_033253825.1|DMIR
OG0001580	LOC6044030|XP_038120827.1|CQUI	LOC108159665|XP_017148633.1|DMIR, LOC117192824|XP_033253479.1|DMIR
OG0001581	LOC6033567|XP_038117164.1|CQUI	LOC108164519|XP_017155798.1|DMIR
OG0001582	LOC6040624|XP_038117190.1|CQUI	LOC108159232|XP_017147828.2|DMIR, LOC117185818|XP_033247006.1|DMIR
OG0001583	LOC6033584|XP_038119265.1|CQUI	LOC117193941|XP_033254494.1|DMIR, LOC108160417|XP_017149902.1|DMIR
OG0001584	LOC6037160|XP_001847097.2|CQUI	LOC108151846|XP_017136219.1|DMIR, LOC108151844|XP_017136218.1|DMIR
OG0001586	LOC6033454|XP_038119090.1|CQUI	LOC108152358|XP_017137120.1|DMIR, LOC108165594|XP_017157160.1|DMIR
OG0001587	LOC119768753|XP_038115649.1|CQUI	LOC117189274|XP_033250333.1|DMIR, LOC108153564|XP_017139129.2|DMIR, LOC117186899|XP_033244101.1|DMIR, LOC108160819|XP_033244099.1|DMIR, LOC117186902|XP_033244108.1|DMIR, LOC108157942|XP_033252388.1|DMIR, LOC117187746|XP_033246440.1|DMIR
OG0001588	LOC6044356|XP_038107986.1|CQUI	LOC108160547|XP_017150103.1|DMIR, LOC117191386|XP_033252160.1|DMIR
OG0001589	LOC6039992|XP_038107604.1|CQUI	LOC117189021|XP_033249779.1|DMIR
OG0001590	LOC6041414|XP_038114421.1|CQUI	LOC117191874|XP_033252531.1|DMIR, LOC117191235|XP_033252048.1|DMIR, LOC108158598|XP_017146538.1|DMIR, LOC117191583|XP_033252299.1|DMIR
OG0001591	LOC6041386|XP_038110439.1|CQUI	LOC108156769|XP_017143923.1|DMIR
OG0001593	LOC6037875|XP_038113769.1|CQUI	LOC117188747|XP_033248928.1|DMIR, LOC108163955|XP_017154993.2|DMIR
OG0001594	LOC6048482|XP_038113910.1|CQUI	LOC108161947|XP_033249878.1|DMIR
OG0001595	LOC6048886|XP_038109078.1|CQUI	LOC108160550|XP_017150107.1|DMIR, LOC117191791|XP_033252444.1|DMIR
OG0001596	LOC6045156|XP_001862557.2|CQUI	LOC108162567|XP_017152856.1|DMIR
OG0001597	LOC6046049|XP_001863305.1|CQUI	LOC108161922|XP_017151827.1|DMIR
OG0001598	LOC6036156|XP_038107213.1|CQUI	LOC108162760|XP_017153131.2|DMIR
OG0001599	LOC6038712|XP_001848456.2|CQUI	LOC108162933|XP_017153408.1|DMIR
OG0001600	LOC6045655|XP_038110464.1|CQUI	LOC108163604|XP_017154482.1|DMIR
OG0001601	LOC6043313|XP_001870928.1|CQUI	LOC108162961|XP_017153448.1|DMIR
OG0001602	LOC6043309|XP_038108452.1|CQUI	LOC108161211|XP_033249189.1|DMIR, LOC108163567|XP_017154423.1|DMIR, LOC108163657|XP_017154567.1|DMIR
OG0001603	LOC6038292|XP_038111276.1|CQUI, LOC6038293|XP_038114208.1|CQUI	LOC108161790|XP_017151628.1|DMIR
OG0001604	LOC6050057|XP_001866724.1|CQUI	LOC117188931|XP_033249455.1|DMIR
OG0001605	LOC6050058|XP_038109855.1|CQUI	LOC117187351|XP_033245712.1|DMIR, LOC117187349|XP_033245707.1|DMIR, LOC108157496|XP_017145084.2|DMIR, LOC108153508|XP_017139051.2|DMIR, LOC108160399|XP_017149879.1|DMIR, LOC117191336|XP_033252130.1|DMIR
OG0001606	LOC6037122|XP_001847065.1|CQUI	LOC117191376|XP_033252155.1|DMIR, LOC117190887|XP_033251790.1|DMIR, LOC117186608|XP_033243501.1|DMIR, LOC117188171|XP_033247507.1|DMIR, LOC117186458|XP_033243208.1|DMIR, LOC117186155|XP_033242250.1|DMIR, LOC117186156|XP_033242251.1|DMIR
OG0001607	LOC6031810|XP_001842517.1|CQUI	LOC108164050|XP_017155116.1|DMIR
OG0001608	LOC6044446|XP_038112177.1|CQUI	LOC108163124|XP_017153720.1|DMIR
OG0001609	LOC6051399|XP_038111691.1|CQUI	LOC108160934|XP_017150710.2|DMIR, LOC117187778|XP_033246504.1|DMIR
OG0001610	LOC6042259|XP_001851397.2|CQUI	LOC108164716|XP_017156089.1|DMIR, LOC108162748|XP_033249935.1|DMIR
OG0001611	LOC6036366|XP_001846424.1|CQUI	LOC108163655|XP_017154563.1|DMIR
OG0001612	LOC6031731|XP_038111935.1|CQUI, LOC6031732|XP_038113681.1|CQUI	LOC108161435|XP_017151187.1|DMIR
OG0001613	LOC6048990|XP_001865824.1|CQUI, LOC6048992|XP_038113614.1|CQUI	LOC108163950|XP_017154980.1|DMIR, LOC108162896|XP_017153355.1|DMIR
OG0001614	LOC6043183|XP_038111683.1|CQUI	LOC117188235|XP_033247641.1|DMIR, LOC108160804|XP_017150514.2|DMIR
OG0001615	LOC6043231|XP_038112460.1|CQUI	LOC108162082|XP_017152123.1|DMIR
OG0001616	LOC6034894|XP_038112470.1|CQUI	LOC108162723|XP_017153080.1|DMIR
OG0001617	LOC6045785|XP_038113684.1|CQUI	LOC117188276|XP_033247726.1|DMIR, LOC117187917|XP_033246761.1|DMIR, LOC117187916|XP_033246760.1|DMIR, LOC108161216|XP_033248755.1|DMIR, LOC108162517|XP_033248813.1|DMIR, LOC108159335|XP_033248756.1|DMIR, LOC108161217|XP_033248754.1|DMIR
OG0001618	LOC119768964|XP_038116737.1|CQUI, LOC6046678|XP_038116735.1|CQUI	LOC108164243|XP_017155366.1|DMIR
OG0001619	LOC6044501|XP_038117207.1|CQUI, LOC6043468|XP_038108133.1|CQUI	LOC108163355|XP_017154086.1|DMIR
OG0001620	LOC6053699|XP_038111510.1|CQUI	LOC117189668|XP_033250665.1|DMIR, LOC108159683|XP_017148667.1|DMIR, LOC117190376|XP_033251348.1|DMIR
OG0001621	LOC6047973|XP_038111062.1|CQUI	LOC108158285|XP_017146011.1|DMIR
OG0001622	LOC6052415|XP_038108162.1|CQUI, LOC6033089|XP_038116420.1|CQUI	LOC108157735|XP_017145403.2|DMIR, LOC108154794|XP_033246420.1|DMIR
OG0001623	LOC6033347|XP_001843810.2|CQUI	LOC108162347|XP_017152537.1|DMIR
OG0001624	LOC6032136|XP_001842790.2|CQUI	LOC108163296|XP_017153994.1|DMIR
OG0001625	LOC6032148|XP_038113764.1|CQUI	LOC108162642|XP_017152954.1|DMIR
OG0001626	LOC6042208|XP_001851349.1|CQUI	LOC108162701|XP_017153044.1|DMIR
OG0001627	LOC6045488|XP_038122368.1|CQUI, LOC6038139|XP_001847974.1|CQUI	LOC108154812|XP_017140701.1|DMIR
OG0001628	LOC6033095|XP_038111732.1|CQUI	LOC108153900|XP_017139487.1|DMIR
OG0001630	LOC119765206|XP_038104534.1|CQUI	LOC117186930|XP_033244181.1|DMIR
OG0001630	LOC6039823|XP_038117663.1|CQUI	LOC108163361|XP_017154099.1|DMIR, LOC108154700|XP_017140539.2|DMIR
OG0001631	LOC6046005|XP_038120722.1|CQUI	LOC108157549|XP_017145143.1|DMIR
OG0001632	LOC6043429|XP_038116389.1|CQUI	LOC117186553|XP_033243372.1|DMIR, LOC108162966|XP_017153454.2|DMIR, LOC117186568|XP_033243415.1|DMIR
OG0001633	LOC6053368|XP_001869468.1|CQUI	LOC108155525|XP_017141863.1|DMIR
OG0001635	LOC6037793|XP_038115973.1|CQUI, LOC6037794|XP_038119882.1|CQUI	LOC108154303|XP_017140046.1|DMIR
OG0001636	LOC6040818|XP_038121776.1|CQUI, LOC6037782|XP_038121472.1|CQUI	LOC108157229|XP_017144675.1|DMIR
OG0001637	LOC6043581|XP_001860242.2|CQUI	LOC108155772|XP_017142318.1|DMIR
OG0001638	LOC6033998|XP_001844385.2|CQUI	LOC108160196|XP_017149523.1|DMIR
OG0001639	LOC6041876|XP_001851074.2|CQUI	LOC117193274|XP_033253909.1|DMIR, LOC108159176|XP_017147710.2|DMIR, LOC117187993|XP_033246962.1|DMIR, LOC117187958|XP_033246860.1|DMIR, LOC117187998|XP_033246977.1|DMIR
OG0001640	LOC6046196|XP_001863427.1|CQUI	LOC108156592|XP_017143620.1|DMIR
OG0001641	LOC119767400|XP_038111848.1|CQUI, LOC6039957|XP_001849450.1|CQUI	LOC108155118|XP_017141249.1|DMIR
