Orthogroup	CQUI.longest_only	CCAP.longest_only
OG0002146	LOC6036975|XP_038114349.1|CQUI	CCAP1982_LOCUS1665|CAD6992828.1|CCAP
OG0002148	LOC6049935|XP_038105474.1|CQUI	CCAP1982_LOCUS13092|CAD7004699.1|CCAP
OG0002149	LOC6049814|XP_038122450.1|CQUI	CCAP1982_LOCUS10222|CAD7001732.1|CCAP, CCAP1982_LOCUS10223|CAD7001733.1|CCAP, CCAP1982_LOCUS10221|CAD7001731.1|CCAP
OG0002152	LOC6043588|XP_038111921.1|CQUI	CCAP1982_LOCUS2091|CAD6993275.1|CCAP
OG0002153	LOC6051446|XP_038116744.1|CQUI	CCAP1982_LOCUS1613|CAD6992772.1|CCAP
OG0002154	LOC6038494|XP_038104249.1|CQUI	CCAP1982_LOCUS6308|CAD6997677.1|CCAP
OG0002155	LOC6045355|XP_001862743.2|CQUI	CCAP1982_LOCUS1752|CAD6992919.1|CCAP, CCAP1982_LOCUS1751|CAD6992918.1|CCAP, CCAP1982_LOCUS1753|CAD6992920.1|CCAP
OG0002156	LOC119765577|XP_038105669.1|CQUI	CCAP1982_LOCUS13759|CAD7005399.1|CCAP
OG0002157	LOC6031420|XP_038119185.1|CQUI	CCAP1982_LOCUS4046|CAD6995328.1|CCAP, CCAP1982_LOCUS4056|CAD6995338.1|CCAP, CCAP1982_LOCUS4045|CAD6995327.1|CCAP
OG0002159	LOC6042564|XP_001852253.1|CQUI	CCAP1982_LOCUS2713|CAD6993925.1|CCAP
OG0002160	LOC6053375|XP_038104218.1|CQUI	CCAP1982_LOCUS3057|CAD6994296.1|CCAP, CCAP1982_LOCUS3058|CAD6994297.1|CCAP
OG0002161	LOC6034721|XP_001845003.2|CQUI, LOC6053342|XP_001869448.1|CQUI	CCAP1982_LOCUS1659|CAD6992820.1|CCAP
OG0002162	LOC6034725|XP_038105052.1|CQUI	CCAP1982_LOCUS2186|CAD6993368.1|CCAP, CCAP1982_LOCUS2185|CAD6993367.1|CCAP
OG0002164	LOC6034761|XP_001845035.2|CQUI	CCAP1982_LOCUS11815|CAD7003356.1|CCAP
OG0002166	LOC6041913|XP_001851104.1|CQUI	CCAP1982_LOCUS6734|CAD6998123.1|CCAP
OG0002167	LOC6041910|XP_001851101.1|CQUI	CCAP1982_LOCUS19368|CAD7011260.1|CCAP
OG0002169	LOC119769928|XP_038119722.1|CQUI	CCAP1982_LOCUS12749|CAD7004330.1|CCAP
OG0002170	LOC6046470|XP_001863662.2|CQUI	CCAP1982_LOCUS10174|CAD7001683.1|CCAP, CCAP1982_LOCUS10177|CAD7001687.1|CCAP
OG0002171	LOC6046764|XP_038105150.1|CQUI	CCAP1982_LOCUS3355|CAD6994620.1|CCAP
OG0002172	LOC6035363|XP_001845574.2|CQUI	CCAP1982_LOCUS2672|CAD6993878.1|CCAP, CCAP1982_LOCUS2670|CAD6993876.1|CCAP
OG0002173	LOC6054518|XP_001870417.2|CQUI	CCAP1982_LOCUS7908|CAD6999382.1|CCAP
OG0002174	LOC6046593|XP_001863767.2|CQUI	CCAP1982_LOCUS2681|CAD6993887.1|CCAP
OG0002175	LOC6046591|XP_001863766.1|CQUI	CCAP1982_LOCUS2682|CAD6993889.1|CCAP
OG0002176	LOC6036519|XP_001846564.2|CQUI	CCAP1982_LOCUS1364|CAD6992515.1|CCAP
OG0002177	LOC6037521|XP_038104546.1|CQUI, LOC6037519|XP_001847423.1|CQUI	CCAP1982_LOCUS3852|CAD6995130.1|CCAP
OG0002178	LOC6035645|XP_038111574.1|CQUI	CCAP1982_LOCUS1381|CAD6992532.1|CCAP
OG0002179	LOC6046335|XP_038104078.1|CQUI	CCAP1982_LOCUS3487|CAD6994754.1|CCAP
OG0002180	LOC6035429|XP_038104069.1|CQUI	CCAP1982_LOCUS1104|CAD6992234.1|CCAP, CCAP1982_LOCUS1116|CAD6992246.1|CCAP
OG0002182	LOC119766353|XP_038106772.1|CQUI, LOC6035057|XP_001845294.2|CQUI	CCAP1982_LOCUS1440|CAD6992591.1|CCAP
OG0002183	LOC6053695|XP_001869737.2|CQUI	CCAP1982_LOCUS19379|CAD7011271.1|CCAP
OG0002184	LOC6039609|XP_001849183.1|CQUI	CCAP1982_LOCUS9213|CAD7000740.1|CCAP, CCAP1982_LOCUS2019|CAD6993197.1|CCAP
OG0002185	LOC6044852|XP_038104985.1|CQUI	CCAP1982_LOCUS3699|CAD6994967.1|CCAP
OG0002186	LOC119765311|XP_038104858.1|CQUI	CCAP1982_LOCUS2857|CAD6994088.1|CCAP
OG0002187	LOC6035552|XP_001845710.1|CQUI	CCAP1982_LOCUS3865|CAD6995142.1|CCAP
OG0002188	LOC6035546|XP_038104743.1|CQUI	CCAP1982_LOCUS19577|CAD7011477.1|CCAP
OG0002189	LOC6048163|XP_001865121.2|CQUI	CCAP1982_LOCUS4100|CAD6995382.1|CCAP
OG0002191	LOC6054528|XP_001870428.2|CQUI	CCAP1982_LOCUS13802|CAD7005442.1|CCAP
OG0002192	LOC6046955|XP_038113556.1|CQUI	CCAP1982_LOCUS14127|CAD7005778.1|CCAP
OG0002193	LOC6032691|XP_038105765.1|CQUI	CCAP1982_LOCUS3660|CAD6994927.1|CCAP
OG0002194	LOC6032669|XP_001843234.1|CQUI, LOC6032668|XP_001843233.2|CQUI	CCAP1982_LOCUS2698|CAD6993906.1|CCAP
OG0002195	LOC6031632|XP_038116823.1|CQUI	CCAP1982_LOCUS2686|CAD6993893.1|CCAP, CCAP1982_LOCUS2687|CAD6993894.1|CCAP
OG0002196	LOC6039344|XP_001848971.2|CQUI	CCAP1982_LOCUS4256|CAD6995545.1|CCAP
OG0002197	LOC6046596|XP_038105222.1|CQUI	CCAP1982_LOCUS3658|CAD6994925.1|CCAP
OG0002198	LOC6034957|XP_038105850.1|CQUI	CCAP1982_LOCUS4689|CAD6995982.1|CCAP
OG0002199	LOC6033702|XP_001844125.1|CQUI	CCAP1982_LOCUS2211|CAD6993395.1|CCAP
OG0002200	LOC6039174|XP_038104559.1|CQUI	CCAP1982_LOCUS3278|CAD6994535.1|CCAP, CCAP1982_LOCUS3279|CAD6994536.1|CCAP, CCAP1982_LOCUS3251|CAD6994507.1|CCAP
OG0002202	LOC6046148|XP_038105307.1|CQUI	CCAP1982_LOCUS1281|CAD6992417.1|CCAP
OG0002203	LOC6039079|XP_038105676.1|CQUI	CCAP1982_LOCUS2054|CAD6993237.1|CCAP
OG0002204	LOC6049259|XP_038122869.1|CQUI	CCAP1982_LOCUS1580|CAD6992735.1|CCAP
OG0002206	LOC6037487|XP_001847397.2|CQUI	CCAP1982_LOCUS1459|CAD6992610.1|CCAP
OG0002207	LOC6033007|XP_001843517.1|CQUI	CCAP1982_LOCUS2900|CAD6994134.1|CCAP
OG0002208	LOC6033006|XP_001843516.1|CQUI	CCAP1982_LOCUS2891|CAD6994125.1|CCAP
OG0002209	LOC6045595|XP_001862936.2|CQUI	CCAP1982_LOCUS21453|CAD7013388.1|CCAP
OG0002210	LOC6045597|XP_001862938.1|CQUI	CCAP1982_LOCUS2579|CAD6993781.1|CCAP
OG0002211	LOC6045607|XP_001862945.1|CQUI	CCAP1982_LOCUS2365|CAD6993553.1|CCAP
OG0002212	LOC6038038|XP_001847883.1|CQUI	CCAP1982_LOCUS3299|CAD6994559.1|CCAP
OG0002213	LOC6051153|XP_001867636.1|CQUI	CCAP1982_LOCUS4071|CAD6995352.1|CCAP
OG0002214	LOC6032048|XP_038105292.1|CQUI	CCAP1982_LOCUS3903|CAD6995182.1|CCAP, CCAP1982_LOCUS3904|CAD6995184.1|CCAP
OG0002215	LOC6032095|XP_038106196.1|CQUI	CCAP1982_LOCUS1788|CAD6992956.1|CCAP, CCAP1982_LOCUS1791|CAD6992959.1|CCAP, CCAP1982_LOCUS1790|CAD6992958.1|CCAP
OG0002216	LOC6032662|XP_038106882.1|CQUI	CCAP1982_LOCUS20225|CAD7012126.1|CCAP
OG0002217	LOC6033961|XP_001844349.2|CQUI	CCAP1982_LOCUS1629|CAD6992790.1|CCAP, CCAP1982_LOCUS1647|CAD6992808.1|CCAP, CCAP1982_LOCUS1640|CAD6992801.1|CCAP, CCAP1982_LOCUS1630|CAD6992791.1|CCAP, CCAP1982_LOCUS1648|CAD6992809.1|CCAP
OG0002220	LOC6037348|XP_038105656.1|CQUI	CCAP1982_LOCUS14529|CAD7006201.1|CCAP
OG0002221	LOC119770567|XP_038121611.1|CQUI, LOC119770566|XP_038121610.1|CQUI	CCAP1982_LOCUS11417|CAD7002953.1|CCAP, CCAP1982_LOCUS11418|CAD7002954.1|CCAP
OG0002222	LOC6032790|XP_001843329.2|CQUI	CCAP1982_LOCUS22828|CAD7014862.1|CCAP, CCAP1982_LOCUS22827|CAD7014861.1|CCAP
OG0002224	LOC119769378|XP_038117360.1|CQUI, LOC6032799|XP_038115284.1|CQUI	CCAP1982_LOCUS22630|CAD7014640.1|CCAP, CCAP1982_LOCUS22629|CAD7014639.1|CCAP, CCAP1982_LOCUS22633|CAD7014643.1|CCAP
OG0002225	LOC6032897|XP_038117532.1|CQUI	CCAP1982_LOCUS10934|CAD7002445.1|CCAP, CCAP1982_LOCUS10935|CAD7002446.1|CCAP
OG0002226	LOC6042794|XP_001870797.1|CQUI	CCAP1982_LOCUS21808|CAD7013787.1|CCAP
OG0002227	LOC6031136|XP_038120789.1|CQUI	CCAP1982_LOCUS21604|CAD7013545.1|CCAP
OG0002228	LOC6031157|XP_038120047.1|CQUI	CCAP1982_LOCUS21006|CAD7012907.1|CCAP
OG0002229	LOC6031155|XP_001841998.2|CQUI	CCAP1982_LOCUS21232|CAD7013161.1|CCAP
OG0002230	LOC6031161|XP_038119537.1|CQUI	CCAP1982_LOCUS21573|CAD7013513.1|CCAP
OG0002231	LOC6050941|XP_038119258.1|CQUI, LOC119769702|XP_038119059.1|CQUI	CCAP1982_LOCUS21526|CAD7013461.1|CCAP
OG0002232	LOC6040636|XP_001850004.1|CQUI	CCAP1982_LOCUS21781|CAD7013750.1|CCAP, CCAP1982_LOCUS21783|CAD7013752.1|CCAP
OG0002233	LOC6047308|XP_038120904.1|CQUI, LOC6047313|XP_038119049.1|CQUI	CCAP1982_LOCUS11802|CAD7003343.1|CCAP
OG0002234	LOC6042094|XP_038109897.1|CQUI, LOC6049788|XP_038119930.1|CQUI, LOC6049787|XP_001866494.1|CQUI	CCAP1982_LOCUS21280|CAD7013209.1|CCAP
OG0002235	LOC6040757|XP_038115690.1|CQUI	CCAP1982_LOCUS22957|CAD7015000.1|CCAP
OG0002236	LOC6030997|XP_001841850.1|CQUI	CCAP1982_LOCUS19571|CAD7011471.1|CCAP
OG0002237	LOC6047076|XP_001864183.2|CQUI	CCAP1982_LOCUS19587|CAD7011488.1|CCAP
OG0002238	LOC6049703|XP_038118161.1|CQUI	CCAP1982_LOCUS21182|CAD7013109.1|CCAP, CCAP1982_LOCUS21181|CAD7013108.1|CCAP, CCAP1982_LOCUS21185|CAD7013112.1|CCAP
OG0002240	LOC6041172|XP_038118497.1|CQUI	CCAP1982_LOCUS22572|CAD7014573.1|CCAP
OG0002241	LOC6044078|XP_038116059.1|CQUI	CCAP1982_LOCUS11058|CAD7002570.1|CCAP, CCAP1982_LOCUS11057|CAD7002569.1|CCAP
OG0002242	LOC6044966|XP_038114646.1|CQUI	CCAP1982_LOCUS11880|CAD7003424.1|CCAP
OG0002243	LOC6044961|XP_038119719.1|CQUI	CCAP1982_LOCUS8857|CAD7000381.1|CCAP
OG0002244	LOC119767375|XP_038111774.1|CQUI, LOC6044948|XP_001862380.2|CQUI	CCAP1982_LOCUS14732|CAD7006412.1|CCAP
OG0002245	LOC6045680|XP_038114857.1|CQUI	CCAP1982_LOCUS10938|CAD7002449.1|CCAP, CCAP1982_LOCUS10942|CAD7002453.1|CCAP
OG0002246	LOC6049979|XP_038118799.1|CQUI	CCAP1982_LOCUS21176|CAD7013102.1|CCAP, CCAP1982_LOCUS21175|CAD7013101.1|CCAP, CCAP1982_LOCUS21174|CAD7013100.1|CCAP
OG0002247	LOC6038803|XP_001848521.2|CQUI	CCAP1982_LOCUS11613|CAD7003152.1|CCAP
OG0002248	LOC6047330|XP_038119197.1|CQUI	CCAP1982_LOCUS11531|CAD7003068.1|CCAP, CCAP1982_LOCUS11168|CAD7002690.1|CCAP
OG0002250	LOC6050221|XP_038121273.1|CQUI	CCAP1982_LOCUS22099|CAD7014093.1|CCAP, CCAP1982_LOCUS22096|CAD7014090.1|CCAP, CCAP1982_LOCUS22103|CAD7014097.1|CCAP
OG0002251	LOC6049011|XP_038120599.1|CQUI	CCAP1982_LOCUS22090|CAD7014083.1|CCAP
OG0002252	LOC6040660|XP_001850021.2|CQUI	CCAP1982_LOCUS22059|CAD7014051.1|CCAP
OG0002253	LOC119768700|XP_038115241.1|CQUI	CCAP1982_LOCUS23400|CAD7015460.1|CCAP
OG0002254	LOC6052417|XP_038119674.1|CQUI	CCAP1982_LOCUS858|CAD6991971.1|CCAP
OG0002256	LOC6053962|XP_038117648.1|CQUI	CCAP1982_LOCUS23303|CAD7015358.1|CCAP
OG0002257	LOC6036306|XP_038120022.1|CQUI	CCAP1982_LOCUS21457|CAD7013392.1|CCAP
OG0002260	LOC6051586|XP_001868005.2|CQUI	CCAP1982_LOCUS14451|CAD7006119.1|CCAP
OG0002261	LOC6039430|XP_038119745.1|CQUI	CCAP1982_LOCUS14525|CAD7006197.1|CCAP
OG0002263	LOC6037305|XP_001847231.1|CQUI	CCAP1982_LOCUS10964|CAD7002475.1|CCAP
OG0002264	LOC6036281|XP_001846347.2|CQUI	CCAP1982_LOCUS22829|CAD7014863.1|CCAP
OG0002265	LOC6054106|XP_001870076.2|CQUI	CCAP1982_LOCUS11793|CAD7003333.1|CCAP
OG0002266	LOC6040111|XP_038114718.1|CQUI	CCAP1982_LOCUS14431|CAD7006099.1|CCAP
OG0002267	LOC6041091|XP_001850398.2|CQUI	CCAP1982_LOCUS12835|CAD7004426.1|CCAP
OG0002268	LOC6041087|XP_001850394.2|CQUI	CCAP1982_LOCUS13024|CAD7004629.1|CCAP, CCAP1982_LOCUS13025|CAD7004630.1|CCAP
OG0002269	LOC6044693|XP_038114553.1|CQUI	CCAP1982_LOCUS7223|CAD6998657.1|CCAP, CCAP1982_LOCUS7222|CAD6998656.1|CCAP
OG0002270	LOC6037148|XP_038117201.1|CQUI	CCAP1982_LOCUS22656|CAD7014668.1|CCAP, CCAP1982_LOCUS22654|CAD7014666.1|CCAP
OG0002271	LOC6036553|XP_038118891.1|CQUI	CCAP1982_LOCUS13262|CAD7004877.1|CCAP, CCAP1982_LOCUS13264|CAD7004879.1|CCAP, CCAP1982_LOCUS13263|CAD7004878.1|CCAP, CCAP1982_LOCUS13256|CAD7004871.1|CCAP
OG0002272	LOC6035611|XP_001845760.1|CQUI	CCAP1982_LOCUS12832|CAD7004423.1|CCAP
OG0002273	LOC6033527|XP_038115340.1|CQUI	CCAP1982_LOCUS14315|CAD7005978.1|CCAP, CCAP1982_LOCUS14316|CAD7005979.1|CCAP
OG0002274	LOC6048902|XP_038116037.1|CQUI	CCAP1982_LOCUS14297|CAD7005959.1|CCAP
OG0002275	LOC6038251|XP_038118213.1|CQUI	CCAP1982_LOCUS11882|CAD7003426.1|CCAP
OG0002276	LOC6040614|XP_038116102.1|CQUI	CCAP1982_LOCUS12220|CAD7003784.1|CCAP
OG0002277	LOC6035466|XP_038118942.1|CQUI	CCAP1982_LOCUS12211|CAD7003775.1|CCAP
OG0002278	LOC6042858|XP_038117047.1|CQUI	CCAP1982_LOCUS12310|CAD7003880.1|CCAP, CCAP1982_LOCUS12309|CAD7003879.1|CCAP
OG0002279	LOC6054516|XP_001870416.2|CQUI	CCAP1982_LOCUS13194|CAD7004805.1|CCAP, CCAP1982_LOCUS13209|CAD7004820.1|CCAP
OG0002280	LOC6041979|XP_038116671.1|CQUI	CCAP1982_LOCUS11938|CAD7003487.1|CCAP, CCAP1982_LOCUS11939|CAD7003488.1|CCAP
OG0002281	LOC6041008|XP_001850323.2|CQUI	CCAP1982_LOCUS11749|CAD7003287.1|CCAP
OG0002282	LOC119769211|XP_038117058.1|CQUI, LOC6031311|XP_001842128.2|CQUI	CCAP1982_LOCUS14975|CAD7006673.1|CCAP
OG0002283	LOC6035584|XP_038117065.1|CQUI	CCAP1982_LOCUS22246|CAD7014243.1|CCAP, CCAP1982_LOCUS22247|CAD7014244.1|CCAP
OG0002284	LOC6035592|XP_001845743.1|CQUI	CCAP1982_LOCUS21874|CAD7013855.1|CCAP
OG0002285	LOC6050360|XP_001866980.2|CQUI	CCAP1982_LOCUS14043|CAD7005691.1|CCAP
OG0002286	LOC6047555|XP_038121299.1|CQUI	CCAP1982_LOCUS11952|CAD7003502.1|CCAP, CCAP1982_LOCUS11953|CAD7003503.1|CCAP
OG0002287	LOC6036821|XP_038115121.1|CQUI	CCAP1982_LOCUS22653|CAD7014665.1|CCAP, CCAP1982_LOCUS22652|CAD7014664.1|CCAP
OG0002288	LOC6036823|XP_038115902.1|CQUI	CCAP1982_LOCUS13266|CAD7004882.1|CCAP, CCAP1982_LOCUS13265|CAD7004880.1|CCAP, CCAP1982_LOCUS13257|CAD7004872.1|CCAP, CCAP1982_LOCUS13267|CAD7004883.1|CCAP
OG0002289	LOC6048142|XP_001865105.1|CQUI	CCAP1982_LOCUS11194|CAD7002719.1|CCAP
OG0002290	LOC6032490|XP_001843080.1|CQUI	CCAP1982_LOCUS9006|CAD7000528.1|CCAP
OG0002291	LOC6033513|XP_038118297.1|CQUI	CCAP1982_LOCUS21679|CAD7013631.1|CCAP
OG0002292	LOC6033463|XP_038119085.1|CQUI	CCAP1982_LOCUS22752|CAD7014781.1|CCAP
OG0002293	LOC119770382|XP_038121063.1|CQUI	CCAP1982_LOCUS23020|CAD7015064.1|CCAP
OG0002294	LOC6053981|XP_001869971.2|CQUI	CCAP1982_LOCUS22296|CAD7014294.1|CCAP
OG0002295	LOC6043755|XP_038110402.1|CQUI	CCAP1982_LOCUS5586|CAD6996915.1|CCAP
OG0002296	LOC6053408|XP_038107636.1|CQUI	CCAP1982_LOCUS5628|CAD6996961.1|CCAP, CCAP1982_LOCUS5627|CAD6996960.1|CCAP
OG0002297	LOC6047771|XP_038111266.1|CQUI	CCAP1982_LOCUS4903|CAD6996215.1|CCAP, CCAP1982_LOCUS4901|CAD6996213.1|CCAP
OG0002298	LOC6048640|XP_001865531.1|CQUI	CCAP1982_LOCUS21102|CAD7013013.1|CCAP
OG0002300	LOC6041296|XP_038109865.1|CQUI	CCAP1982_LOCUS7777|CAD6999246.1|CCAP
OG0002301	LOC6032442|XP_038109104.1|CQUI	CCAP1982_LOCUS5582|CAD6996910.1|CCAP
OG0002302	LOC6032494|XP_038107401.1|CQUI	CCAP1982_LOCUS9095|CAD7000621.1|CCAP
OG0002304	LOC6034145|XP_038110271.1|CQUI	CCAP1982_LOCUS5687|CAD6997028.1|CCAP
OG0002305	LOC6037882|XP_038108990.1|CQUI	CCAP1982_LOCUS13684|CAD7005324.1|CCAP, CCAP1982_LOCUS13683|CAD7005323.1|CCAP
OG0002306	LOC6048483|XP_038112798.1|CQUI	CCAP1982_LOCUS7849|CAD6999322.1|CCAP
OG0002307	LOC6032953|XP_038114107.1|CQUI	CCAP1982_LOCUS8359|CAD6999847.1|CCAP, CCAP1982_LOCUS8360|CAD6999848.1|CCAP
OG0002308	LOC6054586|XP_038108430.1|CQUI	CCAP1982_LOCUS5615|CAD6996947.1|CCAP
OG0002309	LOC6031325|XP_001842140.1|CQUI	CCAP1982_LOCUS7873|CAD6999346.1|CCAP
OG0002310	LOC6031360|XP_038109101.1|CQUI	CCAP1982_LOCUS8481|CAD6999976.1|CCAP, CCAP1982_LOCUS8480|CAD6999975.1|CCAP
OG0002311	LOC6046331|XP_038108958.1|CQUI	CCAP1982_LOCUS9051|CAD7000576.1|CCAP, CCAP1982_LOCUS9047|CAD7000571.1|CCAP
OG0002312	LOC6046701|XP_038110846.1|CQUI	CCAP1982_LOCUS9023|CAD7000547.1|CCAP
OG0002313	LOC6050065|XP_038111372.1|CQUI	CCAP1982_LOCUS19978|CAD7011866.1|CCAP
OG0002314	LOC6050053|XP_001866720.2|CQUI	CCAP1982_LOCUS22129|CAD7014123.1|CCAP
OG0002315	LOC6031936|XP_038109302.1|CQUI, LOC6031768|XP_038109420.1|CQUI	CCAP1982_LOCUS21029|CAD7012932.1|CCAP
OG0002316	LOC6037125|XP_001847068.1|CQUI	CCAP1982_LOCUS19358|CAD7011250.1|CCAP
OG0002317	LOC6050062|XP_038111373.1|CQUI	CCAP1982_LOCUS14698|CAD7006376.1|CCAP, CCAP1982_LOCUS14712|CAD7006392.1|CCAP
OG0002318	LOC6031952|XP_038108738.1|CQUI	CCAP1982_LOCUS8251|CAD6999725.1|CCAP
OG0002319	LOC119767871|XP_038113550.1|CQUI, LOC6039423|XP_038106730.1|CQUI	CCAP1982_LOCUS6513|CAD6997894.1|CCAP
OG0002320	LOC6031812|XP_001842519.2|CQUI	CCAP1982_LOCUS22252|CAD7014249.1|CCAP
OG0002321	LOC6038275|XP_001848098.1|CQUI	CCAP1982_LOCUS7425|CAD6998878.1|CCAP
OG0002322	LOC6044453|XP_038109073.1|CQUI	CCAP1982_LOCUS5495|CAD6996822.1|CCAP, CCAP1982_LOCUS5494|CAD6996821.1|CCAP
OG0002323	LOC6041510|XP_001850760.2|CQUI	CCAP1982_LOCUS8328|CAD6999813.1|CCAP
OG0002324	LOC6043907|XP_001861490.1|CQUI	CCAP1982_LOCUS14520|CAD7006191.1|CCAP
OG0002325	LOC6043898|XP_038113606.1|CQUI	CCAP1982_LOCUS11038|CAD7002549.1|CCAP
OG0002326	LOC6043897|XP_038106830.1|CQUI	CCAP1982_LOCUS11043|CAD7002554.1|CCAP
OG0002327	LOC6043899|XP_038108302.1|CQUI	CCAP1982_LOCUS14971|CAD7006669.1|CCAP, CCAP1982_LOCUS14970|CAD7006668.1|CCAP
OG0002328	LOC6036378|XP_001846433.2|CQUI	CCAP1982_LOCUS6360|CAD6997728.1|CCAP
OG0002329	LOC6036369|XP_038110618.1|CQUI	CCAP1982_LOCUS7039|CAD6998440.1|CCAP
OG0002330	LOC6031186|XP_038106119.1|CQUI	CCAP1982_LOCUS7041|CAD6998443.1|CCAP
OG0002332	LOC6042252|XP_001851390.2|CQUI	CCAP1982_LOCUS10176|CAD7001686.1|CCAP, CCAP1982_LOCUS10179|CAD7001689.1|CCAP, CCAP1982_LOCUS10175|CAD7001684.1|CCAP
OG0002333	LOC6032002|XP_038113463.1|CQUI	CCAP1982_LOCUS21396|CAD7013327.1|CCAP
OG0002334	LOC6037004|XP_001846968.2|CQUI	CCAP1982_LOCUS5410|CAD6996730.1|CCAP
OG0002335	LOC6031823|XP_038109961.1|CQUI	CCAP1982_LOCUS21160|CAD7013083.1|CCAP
OG0002336	LOC6033193|XP_038109781.1|CQUI	CCAP1982_LOCUS14580|CAD7006255.1|CCAP, CCAP1982_LOCUS14579|CAD7006254.1|CCAP
OG0002337	LOC119769564|XP_038118442.1|CQUI, LOC6040014|XP_038106019.1|CQUI	CCAP1982_LOCUS21529|CAD7013466.1|CCAP
OG0002338	LOC6040854|XP_038109267.1|CQUI	CCAP1982_LOCUS6867|CAD6998258.1|CCAP
OG0002339	LOC6031261|XP_038109126.1|CQUI, LOC6036110|XP_001846158.2|CQUI	CCAP1982_LOCUS6814|CAD6998198.1|CCAP
OG0002340	LOC6041523|XP_001850773.2|CQUI	CCAP1982_LOCUS6808|CAD6998192.1|CCAP
OG0002341	LOC6040128|XP_001849587.2|CQUI	CCAP1982_LOCUS22766|CAD7014798.1|CCAP
OG0002342	LOC6040132|XP_038114414.1|CQUI	CCAP1982_LOCUS7785|CAD6999255.1|CCAP, CCAP1982_LOCUS7783|CAD6999253.1|CCAP
OG0002343	LOC6036647|XP_038106750.1|CQUI	CCAP1982_LOCUS8470|CAD6999963.1|CCAP
OG0002344	LOC6036655|XP_038114418.1|CQUI	CCAP1982_LOCUS5714|CAD6997060.1|CCAP
OG0002345	LOC6033169|XP_038112404.1|CQUI	CCAP1982_LOCUS22692|CAD7014710.1|CCAP
OG0002346	LOC6033282|XP_001843752.2|CQUI	CCAP1982_LOCUS5760|CAD6997112.1|CCAP
OG0002347	LOC6048996|XP_001865830.2|CQUI	CCAP1982_LOCUS22133|CAD7014128.1|CCAP
OG0002348	LOC6050418|XP_038113237.1|CQUI	CCAP1982_LOCUS8828|CAD7000345.1|CCAP, CCAP1982_LOCUS8829|CAD7000346.1|CCAP
OG0002349	LOC6044752|XP_038122121.1|CQUI, LOC6039494|XP_038105822.1|CQUI, LOC119766897|XP_038109217.1|CQUI	CCAP1982_LOCUS22699|CAD7014720.1|CCAP
OG0002350	LOC6031634|XP_038119250.1|CQUI, LOC6033104|XP_001843599.2|CQUI	CCAP1982_LOCUS22693|CAD7014711.1|CCAP
OG0002351	LOC6042105|XP_038114014.1|CQUI	CCAP1982_LOCUS21263|CAD7013192.1|CCAP
OG0002352	LOC6042118|XP_038112064.1|CQUI	CCAP1982_LOCUS23247|CAD7015302.1|CCAP, CCAP1982_LOCUS23239|CAD7015294.1|CCAP
OG0002353	LOC6043228|XP_001857727.2|CQUI	CCAP1982_LOCUS6170|CAD6997531.1|CCAP
OG0002354	LOC6033274|XP_038113892.1|CQUI	CCAP1982_LOCUS9019|CAD7000543.1|CCAP
OG0002355	LOC6038937|XP_038108240.1|CQUI	CCAP1982_LOCUS5445|CAD6996768.1|CCAP
OG0002356	LOC6044243|XP_038114335.1|CQUI	CCAP1982_LOCUS7063|CAD6998466.1|CCAP
OG0002357	LOC6052967|XP_038113574.1|CQUI, LOC6052659|XP_038106613.1|CQUI, LOC6044241|XP_001861780.2|CQUI	CCAP1982_LOCUS2050|CAD6993232.1|CCAP
OG0002360	LOC6036445|XP_001846496.2|CQUI	CCAP1982_LOCUS5670|CAD6997009.1|CCAP
OG0002361	LOC119766965|XP_038109659.1|CQUI	CCAP1982_LOCUS14480|CAD7006152.1|CCAP, CCAP1982_LOCUS14484|CAD7006156.1|CCAP
OG0002362	LOC6054587|XP_038107867.1|CQUI	CCAP1982_LOCUS8321|CAD6999805.1|CCAP, CCAP1982_LOCUS8323|CAD6999807.1|CCAP
OG0002363	LOC6038008|XP_001847855.1|CQUI	CCAP1982_LOCUS8482|CAD6999977.1|CCAP
OG0002364	LOC6038009|XP_038113072.1|CQUI	CCAP1982_LOCUS5679|CAD6997018.1|CCAP
OG0002365	LOC6038010|XP_001847857.2|CQUI	CCAP1982_LOCUS5676|CAD6997015.1|CCAP, CCAP1982_LOCUS5677|CAD6997016.1|CCAP
OG0002366	LOC6036339|XP_038111196.1|CQUI	CCAP1982_LOCUS7834|CAD6999306.1|CCAP
OG0002367	LOC6034393|XP_038109097.1|CQUI	CCAP1982_LOCUS8059|CAD6999537.1|CCAP
OG0002368	LOC6039844|XP_038108567.1|CQUI	CCAP1982_LOCUS6261|CAD6997625.1|CCAP
OG0002369	LOC6034866|XP_001845136.2|CQUI	CCAP1982_LOCUS8307|CAD6999786.1|CCAP
OG0002370	LOC6042079|XP_038107575.1|CQUI	CCAP1982_LOCUS6037|CAD6997396.1|CCAP, CCAP1982_LOCUS6040|CAD6997399.1|CCAP
OG0002371	LOC6042074|XP_038107576.1|CQUI	CCAP1982_LOCUS6034|CAD6997393.1|CCAP
OG0002373	LOC6042945|XP_001870884.2|CQUI, LOC6053051|XP_001869210.1|CQUI	CCAP1982_LOCUS7405|CAD6998856.1|CCAP
OG0002374	LOC6048336|XP_038110935.1|CQUI	CCAP1982_LOCUS2414|CAD6993603.1|CCAP, CCAP1982_LOCUS2431|CAD6993621.1|CCAP
