Orthogroup	CQUI.longest_only	ASTE.longest_only
OG0002435	LOC119766111|XP_038106433.1|CQUI	LOC118510928|XP_035909235.1|ASTE
OG0002436	LOC6054064|XP_001870042.2|CQUI, LOC119767530|XP_038112259.1|CQUI	LOC118504101|XP_035894078.1|ASTE
OG0002437	LOC6051233|XP_038109096.1|CQUI	LOC118507141|XP_035901068.1|ASTE, LOC118508118|XP_035903517.1|ASTE
OG0002438	LOC6043548|XP_038110094.1|CQUI, LOC6032484|XP_038116010.1|CQUI	LOC118508224|XP_035903708.1|ASTE
OG0002439	LOC119766963|XP_038109630.1|CQUI	LOC118504329|XP_035894553.1|ASTE
OG0002440	LOC6048677|XP_001865561.2|CQUI	LOC118505971|XP_035898413.1|ASTE
OG0002441	LOC6032364|XP_038107613.1|CQUI	LOC118505273|XP_035896728.1|ASTE
OG0002442	LOC6038122|XP_038111278.1|CQUI	LOC118503525|XP_035892803.1|ASTE
OG0002443	LOC6053099|XP_038108249.1|CQUI	LOC118505846|XP_035898110.1|ASTE
OG0002444	LOC6052487|XP_038106064.1|CQUI	LOC118504799|XP_035895670.1|ASTE
OG0002445	LOC6038541|XP_001848328.1|CQUI	LOC118507410|XP_035901764.1|ASTE
OG0002446	LOC6033408|XP_001843861.2|CQUI	LOC118504117|XP_035894101.1|ASTE
OG0002447	LOC6052098|XP_038111823.1|CQUI	LOC118503398|XP_035892493.1|ASTE
OG0002448	LOC6051563|XP_001867979.2|CQUI	LOC118507992|XP_035903254.1|ASTE
OG0002449	LOC6053515|XP_001869584.1|CQUI	LOC118507984|XP_035903243.1|ASTE
OG0002450	LOC6043656|XP_038114104.1|CQUI	LOC118502520|XP_035890674.1|ASTE
OG0002451	LOC6043669|XP_038109669.1|CQUI	LOC118503703|XP_035893159.1|ASTE
OG0002452	LOC6050180|XP_038110120.1|CQUI	LOC118503937|XP_035893700.1|ASTE
OG0002453	LOC6038085|XP_038109782.1|CQUI	LOC118503924|XP_035893647.1|ASTE
OG0002454	LOC6047683|XP_038108688.1|CQUI	LOC118506069|XP_035898623.1|ASTE, LOC118516511|XP_035918335.1|ASTE
OG0002455	LOC6047681|XP_001864711.2|CQUI	LOC118516513|XP_035918337.1|ASTE, LOC118506067|XP_035898618.1|ASTE, LOC118516330|XP_035918024.1|ASTE
OG0002456	LOC6036749|XP_038106369.1|CQUI	LOC118506036|XP_035898560.1|ASTE
OG0002457	LOC6037973|XP_038109981.1|CQUI	LOC118507966|XP_035903188.1|ASTE
OG0002459	LOC6040278|XP_038110319.1|CQUI	LOC118507931|XP_035903127.1|ASTE
OG0002460	LOC6046545|XP_038107177.1|CQUI	LOC118505945|XP_035898362.1|ASTE
OG0002461	LOC6037728|XP_001847609.2|CQUI	LOC118507370|XP_035901705.1|ASTE
OG0002462	LOC6036728|XP_038106021.1|CQUI	LOC118504057|XP_035893982.1|ASTE
OG0002463	LOC6035951|XP_038107997.1|CQUI	LOC118510087|XP_035907391.1|ASTE
OG0002464	LOC6035936|XP_038113029.1|CQUI	LOC118508142|XP_035903561.1|ASTE
OG0002465	LOC6035937|XP_038107822.1|CQUI	LOC118508141|XP_035903560.1|ASTE
OG0002466	LOC6035693|XP_038106107.1|CQUI	LOC118516529|XP_035918358.1|ASTE, LOC118506077|XP_035898639.1|ASTE
OG0002467	LOC6045031|XP_038113008.1|CQUI	LOC118504083|XP_035894045.1|ASTE
OG0002468	LOC6040091|XP_038107963.1|CQUI	LOC118504128|XP_035894108.1|ASTE
OG0002469	LOC6036071|XP_038108768.1|CQUI	LOC118504140|XP_035894127.1|ASTE
OG0002470	LOC6036080|XP_001846173.1|CQUI	LOC118504152|XP_035894174.1|ASTE
OG0002471	LOC6040384|XP_038107221.1|CQUI	LOC118507191|XP_035901157.1|ASTE
OG0002472	LOC6042946|XP_038108067.1|CQUI	LOC118507421|XP_035901780.1|ASTE
OG0002473	LOC6042941|XP_001870880.2|CQUI	LOC118507427|XP_035901790.1|ASTE, LOC118517352|XP_035919245.1|ASTE
OG0002474	LOC6049842|XP_038108015.1|CQUI	LOC118505863|XP_035898141.1|ASTE
OG0002475	LOC6038339|XP_001848154.1|CQUI	LOC118506104|XP_035898683.1|ASTE
OG0002476	LOC6040191|XP_001849641.1|CQUI	LOC118507335|XP_035901617.1|ASTE
OG0002477	LOC6043951|XP_038110645.1|CQUI	LOC118507391|XP_035901738.1|ASTE, LOC118517306|XP_035919184.1|ASTE
OG0002478	LOC6043127|XP_001855949.2|CQUI	LOC118507747|XP_035902643.1|ASTE, LOC118517292|XP_035919170.1|ASTE
OG0002479	LOC6046503|XP_001863689.2|CQUI	LOC118504181|XP_035894233.1|ASTE
OG0002480	LOC6036095|XP_038111231.1|CQUI	LOC118503899|XP_035893575.1|ASTE
OG0002481	LOC6037433|XP_001847344.2|CQUI	LOC118507205|XP_035901181.1|ASTE
OG0002482	LOC6054086|XP_001870060.2|CQUI	LOC118506103|XP_035898682.1|ASTE
OG0002483	LOC6043110|XP_001855883.2|CQUI	LOC118503393|XP_035892488.1|ASTE
OG0002484	LOC6043115|XP_001855904.1|CQUI	LOC118503400|XP_035892496.1|ASTE
OG0002485	LOC6051768|XP_001868152.2|CQUI	LOC118504058|XP_035893984.1|ASTE
OG0002486	LOC6050978|XP_001867487.1|CQUI	LOC118508093|XP_035903465.1|ASTE
OG0002487	LOC6052913|XP_038108954.1|CQUI	LOC118516470|XP_035918267.1|ASTE, LOC118505890|XP_035898231.1|ASTE
OG0002488	LOC6053873|XP_038111830.1|CQUI	LOC118503354|XP_035892434.1|ASTE
OG0002489	LOC6037239|XP_038114170.1|CQUI	LOC118503094|XP_035891881.1|ASTE
OG0002490	LOC6037217|XP_038112765.1|CQUI	LOC118508109|XP_035903496.1|ASTE
OG0002491	LOC6040530|XP_001849914.2|CQUI	LOC118506139|XP_035898780.1|ASTE
OG0002492	LOC6040552|XP_001849934.2|CQUI	LOC118503732|XP_035893240.1|ASTE
OG0002493	LOC6040556|XP_038111560.1|CQUI	LOC118503735|XP_035893245.1|ASTE
OG0002495	LOC6036631|XP_038111990.1|CQUI	LOC118508169|XP_035903611.1|ASTE
OG0002508	LOC6035088|XP_038122670.1|CQUI	LOC118505390|XP_035896997.1|ASTE
OG0002509	LOC119765394|XP_038105104.1|CQUI, LOC119770056|XP_038120124.1|CQUI	LOC118503652|XP_035893069.1|ASTE
OG0002510	LOC6038187|XP_001848017.1|CQUI	LOC118517388|XP_035919332.1|ASTE
OG0002511	LOC6044330|XP_038110665.1|CQUI	LOC118510538|XP_035908393.1|ASTE
OG0002512	LOC6038318|XP_038117657.1|CQUI	LOC118509606|XP_035906301.1|ASTE
OG0002513	LOC6038305|XP_001848124.2|CQUI	LOC118509495|XP_035906047.1|ASTE
OG0002514	LOC6044319|XP_001861845.1|CQUI	LOC118503848|XP_035893453.1|ASTE
OG0002515	LOC6047049|XP_038104535.1|CQUI	LOC118504674|XP_035895363.1|ASTE
OG0002515	LOC6035140|XP_001845374.2|CQUI	LOC118504631|XP_035895246.1|ASTE
OG0002515	LOC6035141|XP_001845375.2|CQUI	LOC118510652|XP_035908673.1|ASTE
OG0002516	LOC6042706|XP_038116833.1|CQUI	LOC118508560|XP_035904354.1|ASTE
OG0002517	LOC6053207|XP_038116640.1|CQUI, LOC6053206|XP_038121940.1|CQUI, LOC119770678|XP_038121928.1|CQUI	LOC118505244|XP_035896693.1|ASTE
OG0002518	LOC6040416|XP_038105923.1|CQUI	LOC118517033|XP_035918814.1|ASTE
OG0002519	LOC119765096|XP_038104153.1|CQUI	LOC118510575|XP_035908461.1|ASTE
OG0002520	LOC119765152|XP_038104337.1|CQUI	LOC118510595|XP_035908495.1|ASTE
OG0002521	LOC6045823|XP_038115345.1|CQUI	LOC118510758|XP_035908899.1|ASTE
OG0002522	LOC6041768|XP_001850986.2|CQUI	LOC118503982|XP_035893819.1|ASTE
OG0002523	LOC6040429|XP_038121903.1|CQUI	LOC118505575|XP_035897424.1|ASTE, LOC118516169|XP_035917999.1|ASTE
OG0002524	LOC6043383|XP_038116054.1|CQUI	LOC118512350|XP_035912543.1|ASTE
OG0002525	LOC6041756|XP_038104229.1|CQUI	LOC118507843|XP_035902867.1|ASTE
OG0002526	LOC6041757|XP_001850972.2|CQUI	LOC118512989|XP_035914137.1|ASTE
OG0002528	LOC6053284|XP_038111580.1|CQUI	LOC118503527|XP_035892808.1|ASTE
OG0002529	LOC6049217|XP_001866017.1|CQUI	LOC118504189|XP_035894257.1|ASTE
OG0002530	LOC6049213|XP_001866014.1|CQUI	LOC118517371|XP_035919283.1|ASTE, LOC118517364|XP_035919275.1|ASTE
OG0002531	LOC6048445|XP_038113332.1|CQUI	LOC118504538|XP_035895001.1|ASTE
OG0002532	LOC6040445|XP_038111080.1|CQUI	LOC118511886|XP_035911406.1|ASTE, LOC118516452|XP_035918241.1|ASTE
OG0002533	LOC6035125|XP_038116394.1|CQUI	LOC118517363|XP_035919273.1|ASTE
OG0002534	LOC6035133|XP_001845368.2|CQUI	LOC118517469|XP_035919535.1|ASTE
OG0002535	LOC6049268|XP_038105706.1|CQUI, LOC6049269|XP_038105686.1|CQUI	LOC118503150|XP_035892011.1|ASTE
OG0002536	LOC6050127|XP_001866784.1|CQUI	LOC118512168|XP_035912146.1|ASTE, LOC118506053|XP_035898588.1|ASTE
OG0002537	LOC6050067|XP_001866735.2|CQUI	LOC118513374|XP_035914903.1|ASTE
OG0002539	LOC6049760|XP_038105192.1|CQUI	LOC118508638|XP_035904392.1|ASTE
OG0002540	LOC6044376|XP_038104046.1|CQUI	LOC118512744|XP_035913527.1|ASTE, LOC118513058|XP_035914299.1|ASTE
OG0002541	LOC6051486|XP_001867921.2|CQUI	LOC118512467|XP_035912840.1|ASTE, LOC118516402|XP_035918157.1|ASTE
OG0002542	LOC6050195|XP_001866841.2|CQUI	LOC118517257|XP_035919127.1|ASTE, LOC118509608|XP_035906311.1|ASTE, LOC118517433|XP_035919447.1|ASTE
OG0002543	LOC6053285|XP_001869398.2|CQUI	LOC118504388|XP_035894691.1|ASTE, LOC118517318|XP_035919190.1|ASTE, LOC118509376|XP_035905810.1|ASTE
OG0002544	LOC6054124|XP_001870091.2|CQUI	LOC118512658|XP_035913287.1|ASTE, LOC118512903|XP_035913917.1|ASTE
OG0002545	LOC6048459|XP_038122651.1|CQUI	LOC118506277|XP_035899087.1|ASTE
OG0002547	LOC119771193|XP_038122754.1|CQUI	LOC118511076|XP_035909643.1|ASTE, LOC118506951|XP_035900663.1|ASTE
OG0002548	LOC119765155|XP_038104372.1|CQUI	LOC118504305|XP_035894503.1|ASTE
OG0002549	LOC119765154|XP_038104350.1|CQUI	LOC118511409|XP_035910362.1|ASTE
OG0002550	LOC6049174|XP_038105810.1|CQUI	LOC118511019|XP_035909497.1|ASTE
OG0002551	LOC6037404|XP_001847321.2|CQUI, LOC6038454|XP_038105325.1|CQUI	LOC118513200|XP_035914630.1|ASTE
OG0002552	LOC6038452|XP_001848249.2|CQUI	LOC118509143|XP_035905242.1|ASTE
OG0002553	LOC6045347|XP_038122761.1|CQUI	LOC118502525|XP_035890682.1|ASTE, LOC118516396|XP_035918154.1|ASTE
OG0002554	LOC6035101|XP_001845337.1|CQUI	LOC118511133|XP_035909760.1|ASTE
OG0002555	LOC6035102|XP_001845338.2|CQUI	LOC118506047|XP_035898575.1|ASTE
OG0002556	LOC6044430|XP_038122718.1|CQUI	LOC118508260|XP_035903781.1|ASTE
OG0002557	LOC6052596|XP_001868839.1|CQUI	LOC118508144|XP_035903568.1|ASTE
OG0002558	LOC6049816|XP_001866517.1|CQUI	LOC118504220|XP_035894320.1|ASTE, LOC118505771|XP_035897924.1|ASTE
OG0002559	LOC6044997|XP_038122831.1|CQUI	LOC118512460|XP_035912827.1|ASTE, LOC118512932|XP_035913989.1|ASTE
OG0002560	LOC6045244|XP_038122871.1|CQUI	LOC118517421|XP_035919423.1|ASTE
OG0002561	LOC6052529|XP_001868783.1|CQUI	LOC118517424|XP_035919429.1|ASTE
OG0002564	LOC119771222|XP_038122902.1|CQUI	LOC118517597|XP_035919780.1|ASTE
OG0002565	LOC119771165|XP_038122575.1|CQUI	LOC118515673|XP_035917938.1|ASTE
OG0002566	LOC6038465|XP_038112671.1|CQUI	LOC118509714|XP_035906698.1|ASTE
OG0002567	LOC6042686|XP_001853447.1|CQUI	LOC118506168|XP_035898835.1|ASTE
OG0002568	LOC6053666|XP_001869712.2|CQUI	LOC118509567|XP_035906221.1|ASTE, LOC118509755|XP_035906782.1|ASTE
OG0002569	LOC6053776|XP_038105020.1|CQUI	LOC118516414|XP_035918170.1|ASTE, LOC118509551|XP_035906195.1|ASTE
OG0002570	LOC6045624|XP_038112684.1|CQUI	LOC118516453|XP_035918246.1|ASTE
OG0002572	LOC6048780|XP_001865647.1|CQUI	LOC118506200|XP_035898901.1|ASTE
OG0002573	LOC6043596|XP_038111932.1|CQUI	LOC118509837|XP_035906926.1|ASTE
OG0002574	LOC6045003|XP_038104193.1|CQUI	LOC118511632|XP_035910837.1|ASTE
OG0002575	LOC6038492|XP_038112605.1|CQUI	LOC118517402|XP_035919360.1|ASTE
OG0002576	LOC6035137|XP_038104095.1|CQUI	LOC118506845|XP_035900462.1|ASTE
OG0002577	LOC6051202|XP_001867678.2|CQUI	LOC118508054|XP_035903400.1|ASTE
OG0002578	LOC119768616|XP_038114721.1|CQUI, LOC119766588|XP_038107355.1|CQUI	LOC118517481|XP_035919555.1|ASTE
OG0002579	LOC6046334|XP_001863546.1|CQUI, LOC6036611|XP_001846641.1|CQUI	LOC118511176|XP_035909823.1|ASTE
OG0002580	LOC6053493|XP_038122769.1|CQUI	LOC118510246|XP_035907716.1|ASTE
OG0002581	LOC6034486|XP_038105426.1|CQUI	LOC118516055|XP_035917986.1|ASTE
OG0002582	LOC6034722|XP_001845004.2|CQUI	LOC118502663|XP_035891018.1|ASTE
OG0002583	LOC6034748|XP_038104664.1|CQUI	LOC118508280|XP_035903814.1|ASTE
OG0002586	LOC6034720|XP_038104422.1|CQUI	LOC118516567|XP_035918426.1|ASTE, LOC118505597|XP_035897512.1|ASTE
OG0002587	LOC6034719|XP_038104581.1|CQUI	LOC118516566|XP_035918422.1|ASTE, LOC118505596|XP_035897511.1|ASTE
OG0002588	LOC6044481|XP_001861994.2|CQUI, LOC119765226|XP_038104620.1|CQUI	LOC118507509|XP_035901942.1|ASTE
OG0002589	LOC6053547|XP_038105601.1|CQUI	LOC118504558|XP_035895061.1|ASTE
OG0002590	LOC6053918|XP_038122805.1|CQUI	LOC118516413|XP_035918168.1|ASTE, LOC118509550|XP_035906193.1|ASTE
OG0002591	LOC6052322|XP_038111789.1|CQUI	LOC118507059|XP_035900918.1|ASTE
OG0002592	LOC6046471|XP_038104522.1|CQUI	LOC118505582|XP_035897435.1|ASTE
OG0002593	LOC6046477|XP_038122167.1|CQUI	LOC118505585|XP_035897442.1|ASTE
OG0002594	LOC6050545|XP_038106001.1|CQUI	LOC118505591|XP_035897462.1|ASTE
OG0002595	LOC6046772|XP_038106619.1|CQUI	LOC118505595|XP_035897510.1|ASTE, LOC118516564|XP_035918419.1|ASTE
OG0002596	LOC6035372|XP_038122549.1|CQUI	LOC118506469|XP_035899537.1|ASTE
OG0002597	LOC6035360|XP_038104383.1|CQUI	LOC118504487|XP_035894899.1|ASTE
OG0002598	LOC6048982|XP_038115404.1|CQUI	LOC118508473|XP_035904176.1|ASTE
OG0002599	LOC6051236|XP_038104285.1|CQUI	LOC118506374|XP_035899292.1|ASTE, LOC118516700|XP_035918540.1|ASTE
OG0002600	LOC6042018|XP_001851182.1|CQUI	LOC118507557|XP_035902039.1|ASTE
OG0002601	LOC6035637|XP_038117863.1|CQUI	LOC118507544|XP_035902017.1|ASTE
OG0002602	LOC6035648|XP_038104109.1|CQUI	LOC118507535|XP_035902000.1|ASTE
OG0002603	LOC6035230|XP_038104327.1|CQUI	LOC118504472|XP_035894878.1|ASTE
OG0002604	LOC6048390|XP_001865317.2|CQUI	LOC118504474|XP_035894880.1|ASTE
OG0002605	LOC119765196|XP_038104518.1|CQUI	LOC118502919|XP_035891547.1|ASTE
OG0002606	LOC6038063|XP_038105789.1|CQUI	LOC118506777|XP_035900271.1|ASTE
OG0002607	LOC6035056|XP_001845293.1|CQUI, LOC119766361|XP_038106787.1|CQUI	LOC118506782|XP_035900288.1|ASTE
OG0002609	LOC6033577|XP_001844006.2|CQUI	LOC118513289|XP_035914754.1|ASTE
OG0002610	LOC6035548|XP_038122591.1|CQUI	LOC118503564|XP_035892869.1|ASTE
OG0002611	LOC6035544|XP_038122712.1|CQUI	LOC118508299|XP_035903845.1|ASTE
OG0002612	LOC6050614|XP_038104404.1|CQUI	LOC118504475|XP_035894881.1|ASTE
OG0002613	LOC6044853|XP_038104158.1|CQUI	LOC118504486|XP_035894898.1|ASTE
OG0002614	LOC6047067|XP_038105087.1|CQUI, LOC6053941|XP_038106907.1|CQUI, LOC6044854|XP_038114256.1|CQUI	LOC118504479|XP_035894883.1|ASTE
OG0002615	LOC6048165|XP_038104471.1|CQUI	LOC118502832|XP_035891400.1|ASTE
OG0002616	LOC6032671|XP_038110774.1|CQUI	LOC118502678|XP_035891075.1|ASTE
OG0002617	LOC6039169|XP_001848824.2|CQUI	LOC118506357|XP_035899262.1|ASTE
OG0002618	LOC119765448|XP_038105233.1|CQUI, LOC6033979|XP_038106052.1|CQUI	LOC118504683|XP_035895390.1|ASTE
OG0002619	LOC6032657|XP_038105617.1|CQUI	LOC118507881|XP_035902985.1|ASTE
OG0002620	LOC6040887|XP_038116857.1|CQUI	LOC118505548|XP_035897389.1|ASTE
OG0002621	LOC6046150|XP_001863389.2|CQUI	LOC118503372|XP_035892459.1|ASTE
OG0002622	LOC6042829|XP_038121167.1|CQUI	LOC118510556|XP_035908431.1|ASTE
OG0002623	LOC6046297|XP_038104081.1|CQUI	LOC118503282|XP_035892262.1|ASTE
OG0002624	LOC6046298|XP_001863523.1|CQUI	LOC118503286|XP_035892267.1|ASTE
OG0002626	LOC6031552|XP_038107347.1|CQUI, LOC6031551|XP_001842335.1|CQUI	LOC118506151|XP_035898800.1|ASTE
OG0002627	LOC6046532|XP_038104300.1|CQUI	LOC118506889|XP_035900550.1|ASTE
OG0002628	LOC6039938|XP_038104080.1|CQUI	LOC118506909|XP_035900595.1|ASTE
OG0002629	LOC6035513|XP_038105534.1|CQUI	LOC118506883|XP_035900538.1|ASTE
OG0002630	LOC6034954|XP_038121386.1|CQUI	LOC118505873|XP_035898189.1|ASTE
OG0002631	LOC6037418|XP_038111833.1|CQUI	LOC118507894|XP_035903037.1|ASTE
OG0002632	LOC6033709|XP_001844131.2|CQUI	LOC118506445|XP_035899474.1|ASTE
OG0002633	LOC6039200|XP_038122760.1|CQUI	LOC118505406|XP_035897047.1|ASTE
OG0002634	LOC6039199|XP_001848842.2|CQUI	LOC118505401|XP_035897027.1|ASTE
OG0002635	LOC6039610|XP_038122868.1|CQUI	LOC118502842|XP_035891424.1|ASTE
OG0002636	LOC6040685|XP_038112848.1|CQUI	LOC118507863|XP_035902960.1|ASTE
OG0002637	LOC6031662|XP_038122543.1|CQUI	LOC118507836|XP_035902833.1|ASTE
OG0002638	LOC6035387|XP_038104455.1|CQUI, LOC6035388|XP_038104698.1|CQUI	LOC118506923|XP_035900613.1|ASTE
OG0002639	LOC6035337|XP_001845549.1|CQUI	LOC118504444|XP_035894822.1|ASTE
OG0002640	LOC6046141|XP_038105323.1|CQUI	LOC118502399|XP_035890514.1|ASTE
OG0002641	LOC119765005|XP_038105425.1|CQUI	LOC118508324|XP_035903887.1|ASTE, LOC118517056|XP_035918797.1|ASTE
OG0002642	LOC6046149|XP_001863388.1|CQUI	LOC118505809|XP_035898044.1|ASTE
OG0002643	LOC6042426|XP_038116514.1|CQUI	LOC118505808|XP_035898041.1|ASTE
OG0002644	LOC6040262|XP_001849697.1|CQUI	LOC118502939|XP_035891583.1|ASTE
OG0002645	LOC6039075|XP_038105065.1|CQUI	LOC118502932|XP_035891571.1|ASTE
OG0002646	LOC6049257|XP_038122895.1|CQUI	LOC118506368|XP_035899284.1|ASTE, LOC118515296|XP_035917865.1|ASTE
OG0002647	LOC6049258|XP_001866049.2|CQUI	LOC118515294|XP_035917864.1|ASTE, LOC118506370|XP_035899285.1|ASTE
OG0002648	LOC6047062|XP_038122743.1|CQUI	LOC118504696|XP_035895416.1|ASTE
OG0002649	LOC6040877|XP_038105238.1|CQUI	LOC118507512|XP_035901946.1|ASTE
OG0002650	LOC6037336|XP_001847260.2|CQUI	LOC118507896|XP_035903044.1|ASTE
OG0002651	LOC6042016|XP_001851181.1|CQUI	LOC118508441|XP_035904125.1|ASTE
OG0002652	LOC6037488|XP_001847398.2|CQUI	LOC118504418|XP_035894745.1|ASTE
OG0002653	LOC6032991|XP_038104414.1|CQUI	LOC118505142|XP_035896387.1|ASTE
OG0002654	LOC6032986|XP_038113027.1|CQUI	LOC118505140|XP_035896385.1|ASTE
OG0002655	LOC6052791|XP_038105458.1|CQUI	LOC118505780|XP_035897950.1|ASTE
OG0002656	LOC119771232|XP_038122957.1|CQUI	LOC118505436|XP_035897111.1|ASTE
OG0002657	LOC6039894|XP_038104649.1|CQUI	LOC118507840|XP_035902856.1|ASTE
OG0002658	LOC6038048|XP_038117054.1|CQUI	LOC118503278|XP_035892249.1|ASTE
OG0002659	LOC6033898|XP_038105411.1|CQUI	LOC118505691|XP_035897723.1|ASTE
OG0002660	LOC6032091|XP_001842757.2|CQUI	LOC118511932|XP_035911506.1|ASTE
OG0002661	LOC6032100|XP_038104113.1|CQUI	LOC118511936|XP_035911516.1|ASTE
OG0002663	LOC6033908|XP_001844297.2|CQUI	LOC118503591|XP_035892937.1|ASTE
OG0002664	LOC119767149|XP_038110904.1|CQUI, LOC6033976|XP_038114274.1|CQUI	LOC118503269|XP_035892222.1|ASTE
OG0002665	LOC6032788|XP_001843327.2|CQUI	LOC118512094|XP_035911951.1|ASTE
OG0002666	LOC6032789|XP_001843328.2|CQUI	LOC118508861|XP_035904512.1|ASTE
OG0002667	LOC6032791|XP_001843330.1|CQUI	LOC118511456|XP_035910450.1|ASTE
OG0002668	LOC6032864|XP_038115563.1|CQUI	LOC118510197|XP_035907613.1|ASTE
OG0002669	LOC6032866|XP_001843391.2|CQUI	LOC118510199|XP_035907624.1|ASTE
OG0002670	LOC6032891|XP_038115756.1|CQUI	LOC118513118|XP_035914410.1|ASTE
OG0002671	LOC6032904|XP_038116383.1|CQUI	LOC118513129|XP_035914439.1|ASTE
OG0002672	LOC6047073|XP_038114497.1|CQUI	LOC118512063|XP_035911819.1|ASTE
OG0002673	LOC6047866|XP_001864865.1|CQUI	LOC118513613|XP_035915557.1|ASTE, LOC118517284|XP_035919150.1|ASTE
OG0002674	LOC119770814|XP_038122269.1|CQUI	LOC118512202|XP_035912201.1|ASTE
OG0002675	LOC6031130|XP_001841974.2|CQUI	LOC118512061|XP_035911814.1|ASTE
OG0002676	LOC6031163|XP_001842006.2|CQUI	LOC118512069|XP_035911848.1|ASTE
OG0002677	LOC6050946|XP_038119493.1|CQUI	LOC118512067|XP_035911844.1|ASTE
OG0002678	LOC6046856|XP_038115031.1|CQUI	LOC118506129|XP_035898756.1|ASTE
OG0002679	LOC6047868|XP_038117286.1|CQUI	LOC118509019|XP_035904931.1|ASTE
OG0002680	LOC6050667|XP_038119955.1|CQUI	LOC118507658|XP_035902327.1|ASTE
OG0002681	LOC6048454|XP_038117937.1|CQUI	LOC118509601|XP_035906286.1|ASTE, LOC118516337|XP_035918039.1|ASTE
OG0002682	LOC6039110|XP_001848775.1|CQUI	LOC118509836|XP_035906922.1|ASTE
OG0002684	LOC6053386|XP_038119031.1|CQUI	LOC118510134|XP_035907504.1|ASTE, LOC118516924|XP_035918661.1|ASTE
OG0002685	LOC6044058|XP_038122059.1|CQUI	LOC118513007|XP_035914164.1|ASTE
OG0002686	LOC6035322|XP_038120359.1|CQUI	LOC118510251|XP_035907730.1|ASTE, LOC118517274|XP_035919141.1|ASTE
OG0002687	LOC6031027|XP_038121233.1|CQUI	LOC118516849|XP_035918599.1|ASTE, LOC118510499|XP_035908292.1|ASTE
OG0002688	LOC6034066|XP_038117958.1|CQUI	LOC118514455|XP_035917265.1|ASTE
OG0002689	LOC6031022|XP_001841874.2|CQUI	LOC118512206|XP_035912212.1|ASTE
OG0002690	LOC6031016|XP_001841868.2|CQUI	LOC118510501|XP_035908297.1|ASTE, LOC118516851|XP_035918603.1|ASTE
OG0002691	LOC6031013|XP_001841865.2|CQUI	LOC118516852|XP_035918606.1|ASTE, LOC118510507|XP_035908309.1|ASTE
OG0002692	LOC6031012|XP_038115949.1|CQUI	LOC118516856|XP_035918610.1|ASTE, LOC118510514|XP_035908319.1|ASTE
OG0002693	LOC6031004|XP_038117375.1|CQUI	LOC118510523|XP_035908361.1|ASTE
OG0002694	LOC6054363|XP_038118286.1|CQUI	LOC118517288|XP_035919157.1|ASTE, LOC118513605|XP_035915538.1|ASTE
OG0002695	LOC119770439|XP_038121280.1|CQUI	LOC118511565|XP_035910697.1|ASTE
OG0002696	LOC6044663|XP_001862142.1|CQUI	LOC118510455|XP_035908180.1|ASTE
OG0002697	LOC6051143|XP_038115267.1|CQUI	LOC118509538|XP_035906158.1|ASTE
OG0002698	LOC6038835|XP_038114817.1|CQUI	LOC118512738|XP_035913496.1|ASTE
OG0002699	LOC6038829|XP_038119273.1|CQUI	LOC118512743|XP_035913523.1|ASTE
OG0002700	LOC6038814|XP_038120485.1|CQUI	LOC118513089|XP_035914358.1|ASTE
OG0002701	LOC6038802|XP_001848520.2|CQUI	LOC118513091|XP_035914384.1|ASTE
OG0002702	LOC6038667|XP_038114844.1|CQUI	LOC118511540|XP_035910628.1|ASTE
OG0002703	LOC6047478|XP_038121074.1|CQUI	LOC118509487|XP_035906032.1|ASTE
OG0002704	LOC6042006|XP_038119824.1|CQUI	LOC118509492|XP_035906040.1|ASTE
OG0002705	LOC6040591|XP_038122096.1|CQUI	LOC118509501|XP_035906052.1|ASTE
OG0002706	LOC119768774|XP_038115792.1|CQUI	LOC118509931|XP_035907153.1|ASTE
OG0002707	LOC6030979|XP_038117370.1|CQUI	LOC118510066|XP_035907350.1|ASTE
OG0002708	LOC119769719|XP_038119108.1|CQUI	LOC118505259|XP_035896711.1|ASTE, LOC118514283|XP_035916918.1|ASTE
OG0002709	LOC6048523|XP_038120838.1|CQUI	LOC118509759|XP_035906783.1|ASTE
OG0002710	LOC6048515|XP_001865425.1|CQUI	LOC118509786|XP_035906821.1|ASTE
OG0002711	LOC6048518|XP_038118479.1|CQUI	LOC118509783|XP_035906816.1|ASTE
OG0002712	LOC6040648|XP_038117478.1|CQUI	LOC118509725|XP_035906712.1|ASTE
OG0002713	LOC6043373|XP_038115205.1|CQUI	LOC118509683|XP_035906619.1|ASTE
OG0002714	LOC6037623|XP_038122371.1|CQUI	LOC118509653|XP_035906494.1|ASTE
OG0002715	LOC6052418|XP_001868697.2|CQUI	LOC118516347|XP_035918052.1|ASTE, LOC118511359|XP_035910213.1|ASTE
OG0002716	LOC6036601|XP_038117821.1|CQUI	LOC118511420|XP_035910393.1|ASTE
OG0002717	LOC6041125|XP_001850429.2|CQUI	LOC118511424|XP_035910400.1|ASTE
OG0002718	LOC6050250|XP_038121890.1|CQUI	LOC118510345|XP_035907931.1|ASTE
OG0002719	LOC6051587|XP_001868006.2|CQUI	LOC118510418|XP_035908080.1|ASTE
OG0002720	LOC6051591|XP_001868004.2|CQUI	LOC118510419|XP_035908081.1|ASTE
OG0002721	LOC6052012|XP_001868352.2|CQUI	LOC118514212|XP_035916801.1|ASTE
