Orthogroup	CQUI.longest_only	DPSE.longest_only
OG0001754	LOC6050843|XP_001867373.2|CQUI	LOC4804928|XP_001361411.1|DPSE
OG0001755	LOC6052250|XP_038120707.1|CQUI	LOC4813429|XP_033239776.1|DPSE
OG0001756	LOC6053151|XP_038114960.1|CQUI	LOC6899080|XP_015040748.1|DPSE
OG0001757	LOC6043790|XP_038121470.1|CQUI	LOC4804812|XP_001361314.2|DPSE
OG0001758	LOC6043689|XP_038120429.1|CQUI	LOC6900229|XP_033237691.1|DPSE
OG0001759	LOC6033506|XP_001843947.2|CQUI	LOC4803922|XP_001360563.3|DPSE
OG0001760	LOC6053983|XP_001869974.2|CQUI	LOC4805180|XP_001361627.4|DPSE, LOC6904014|XP_002136504.2|DPSE
OG0001761	LOC6030821|XP_038116016.1|CQUI	LOC6898236|XP_002138302.3|DPSE
OG0001762	LOC6032229|XP_038120484.1|CQUI, LOC119767059|XP_038110416.1|CQUI	LOC4817924|XP_001357404.3|DPSE
OG0001763	LOC6042603|XP_038108791.1|CQUI	LOC4816179|XP_001355766.4|DPSE
OG0001764	LOC6046458|XP_001863652.1|CQUI, LOC6047560|XP_001864605.2|CQUI	LOC4802470|XP_001359386.4|DPSE
OG0001765	LOC6051485|XP_038107849.1|CQUI	LOC4805049|XP_033233309.1|DPSE
OG0001766	LOC6032480|XP_038113756.1|CQUI	LOC4817988|XP_033236987.1|DPSE
OG0001767	LOC6038630|XP_038111107.1|CQUI	LOC4816367|XP_001355930.4|DPSE
OG0001768	LOC6043200|XP_001857537.1|CQUI	LOC4816929|XP_001356438.1|DPSE
OG0001769	LOC6032939|XP_038112351.1|CQUI	LOC4817982|XP_001357213.3|DPSE
OG0001770	LOC6031963|XP_001842639.2|CQUI, LOC6031964|XP_001842640.2|CQUI, LOC6031965|XP_001842641.2|CQUI	LOC4818112|XP_001357232.2|DPSE
OG0001771	LOC6036359|XP_001846418.2|CQUI	LOC4817177|XP_001356706.1|DPSE
OG0001772	LOC6037387|XP_001847305.2|CQUI	LOC117184255|XP_033236869.1|DPSE
OG0001774	LOC6050045|XP_038113995.1|CQUI	LOC6898620|XP_002138625.4|DPSE
OG0001776	LOC6031792|XP_001842500.2|CQUI	LOC4818115|XP_001357292.3|DPSE
OG0001777	LOC6038084|XP_038107632.1|CQUI	LOC4818035|XP_001357442.3|DPSE
OG0001778	LOC6048084|XP_038107441.1|CQUI	LOC6903998|XP_002136520.2|DPSE, LOC4817764|XP_001357126.1|DPSE
OG0001779	LOC6038075|XP_038113585.1|CQUI	LOC4817281|XP_001356311.4|DPSE
OG0001781	LOC6041564|XP_001850809.2|CQUI	LOC4816397|XP_015036718.1|DPSE
OG0001782	LOC6042229|XP_038107954.1|CQUI	LOC6903438|XP_002132317.3|DPSE
OG0001783	LOC6031827|XP_038111291.1|CQUI	LOC4816117|XP_001355801.1|DPSE
OG0001784	LOC6041615|XP_038107354.1|CQUI	LOC4817643|XP_001357035.2|DPSE
OG0001785	LOC6042128|XP_038111879.1|CQUI	LOC6898692|XP_002138697.2|DPSE
OG0001786	LOC6042125|XP_038111657.1|CQUI	LOC4817765|XP_001357143.1|DPSE
OG0001787	LOC6040864|XP_038108373.1|CQUI	LOC4817199|XP_001356403.4|DPSE
OG0001789	LOC6048506|XP_001865416.1|CQUI	LOC4803735|XP_001360403.2|DPSE
OG0001790	LOC6041779|XP_001850996.1|CQUI	LOC4818164|XP_033236809.1|DPSE
OG0001791	LOC6034040|XP_001844420.1|CQUI, LOC6043078|XP_038108346.1|CQUI	LOC4803905|XP_001360549.4|DPSE
OG0001792	LOC6045612|XP_038111898.1|CQUI	LOC6902953|XP_015036079.2|DPSE
OG0001793	LOC6046544|XP_038112495.1|CQUI	LOC6898267|XP_033233433.1|DPSE
OG0001794	LOC6036321|XP_038109201.1|CQUI	LOC4817779|XP_001357125.3|DPSE
OG0001795	LOC6047491|XP_038109664.1|CQUI	LOC6903125|XP_033236765.1|DPSE
OG0001797	LOC6047551|XP_038118672.1|CQUI, LOC6050873|XP_038122154.1|CQUI	LOC6899858|XP_015044489.2|DPSE
OG0001798	LOC6033088|XP_001843587.1|CQUI	LOC4803927|XP_001360568.1|DPSE
OG0001799	LOC6043563|XP_001859940.2|CQUI	LOC6901083|XP_002134559.2|DPSE
OG0001800	LOC6051493|XP_038117999.1|CQUI	LOC6903551|XP_002132423.2|DPSE
OG0001801	LOC6049899|XP_038119313.1|CQUI	LOC4812956|XP_001353883.4|DPSE
OG0001802	LOC119770526|XP_038121485.1|CQUI, LOC6046222|XP_001863451.2|CQUI	LOC4803001|XP_001359806.2|DPSE
OG0001803	LOC6039393|XP_001849006.2|CQUI	LOC4802693|XP_033238791.1|DPSE, LOC6897745|XP_015038010.2|DPSE
OG0001804	LOC6053879|XP_038114581.1|CQUI	LOC6897598|XP_033233011.1|DPSE, LOC117183378|XP_033233013.1|DPSE, LOC4802426|XP_001359349.3|DPSE
OG0001805	LOC6052240|XP_001868538.2|CQUI	LOC4814134|XP_001354191.3|DPSE
OG0001806	LOC6032501|XP_001843089.2|CQUI	LOC4802136|XP_015037638.2|DPSE
OG0001808	LOC6039490|XP_038115956.1|CQUI	LOC4802818|XP_015038112.2|DPSE
OG0001809	LOC6046894|XP_038121868.1|CQUI	LOC6897560|XP_002137705.2|DPSE
OG0001810	LOC119767837|XP_038113417.1|CQUI, LOC6048710|XP_038115683.1|CQUI, LOC6042778|XP_038119753.1|CQUI	LOC4800588|XP_001357835.2|DPSE
OG0001811	LOC6052426|XP_038121257.1|CQUI	LOC4804033|XP_001360662.2|DPSE
OG0001812	LOC6033997|XP_001844384.1|CQUI	LOC4815897|XP_001355483.3|DPSE
OG0001813	LOC6045837|XP_038108395.1|CQUI	LOC4803264|XP_033237297.1|DPSE
OG0001814	LOC6042171|XP_001851318.2|CQUI	LOC4802989|XP_015038223.1|DPSE
OG0001815	LOC6052975|XP_038122237.1|CQUI	LOC4802041|XP_001359035.1|DPSE
OG0001816	LOC6039946|XP_001849441.1|CQUI	LOC4804396|XP_001360966.1|DPSE
OG0001817	LOC6033778|XP_038113959.1|CQUI	LOC4805429|XP_001361830.2|DPSE
OG0001818	LOC6031465|XP_038110900.1|CQUI, LOC6031468|XP_038106439.1|CQUI	LOC4814513|XP_001354554.4|DPSE
OG0001819	LOC6052485|XP_038106063.1|CQUI	LOC4805700|XP_001362058.1|DPSE
OG0001820	LOC6031908|XP_038108785.1|CQUI	LOC6903097|XP_002132809.3|DPSE, LOC6903086|XP_002132804.1|DPSE, LOC6901754|XP_002134424.2|DPSE
OG0001821	LOC6045851|XP_038113040.1|CQUI	LOC4805432|XP_001361833.3|DPSE
OG0001822	LOC6051898|XP_038107802.1|CQUI	LOC4805495|XP_015040690.1|DPSE
OG0001823	LOC6049608|XP_001866335.2|CQUI	LOC4813641|XP_001353944.2|DPSE
OG0001824	LOC6043663|XP_001861292.2|CQUI, LOC6043665|XP_038111105.1|CQUI	LOC4817509|XP_001356927.2|DPSE
OG0001825	LOC6052855|XP_038109737.1|CQUI	LOC4804945|XP_033234539.1|DPSE
OG0001826	LOC6051516|XP_038113255.1|CQUI	LOC4805313|XP_001361733.1|DPSE
OG0001827	LOC6047130|XP_038111924.1|CQUI, LOC6040294|XP_038110969.1|CQUI	LOC4804466|XP_001361025.2|DPSE
OG0001828	LOC6037826|XP_038114259.1|CQUI	LOC4814289|XP_033237577.1|DPSE
OG0001829	LOC6053615|XP_038114283.1|CQUI	LOC4804354|XP_001360928.3|DPSE
OG0001830	LOC6049875|XP_001866565.2|CQUI	LOC4803620|XP_001360309.2|DPSE
OG0001831	LOC6038352|XP_038109026.1|CQUI, LOC6038350|XP_001848165.2|CQUI	LOC6900794|XP_015043351.2|DPSE
OG0001832	LOC6036088|XP_001846181.1|CQUI	LOC4814651|XP_015042059.2|DPSE
OG0001833	LOC6043113|XP_001855895.2|CQUI	LOC6898117|XP_002138197.2|DPSE
OG0001848	LOC6044339|XP_038122494.1|CQUI	LOC13036301|XP_033241603.1|DPSE
OG0001849	LOC6044345|XP_001861875.1|CQUI	LOC4801738|XP_001358781.1|DPSE
OG0001850	LOC6038326|XP_038110281.1|CQUI	LOC4811787|XP_015044408.1|DPSE
OG0001851	LOC6052786|XP_038111864.1|CQUI	LOC4811776|XP_033237330.1|DPSE
OG0001852	LOC6038309|XP_038105365.1|CQUI, LOC6038308|XP_038105255.1|CQUI	LOC4814133|XP_033238091.1|DPSE
OG0001853	LOC6038307|XP_038117280.1|CQUI	LOC4801314|XP_015037165.2|DPSE
OG0001854	LOC6041765|XP_038116879.1|CQUI	LOC4815204|XP_001355196.3|DPSE
OG0001855	LOC6035157|XP_038105344.1|CQUI	LOC6899093|XP_002139010.2|DPSE
OG0001856	LOC6046575|XP_001863756.2|CQUI	LOC6903269|XP_002132968.2|DPSE, LOC4815126|XP_033237844.1|DPSE
OG0001857	LOC6042718|XP_001870735.2|CQUI, LOC6042721|XP_001870738.2|CQUI	LOC4815144|XP_001355033.4|DPSE
OG0001858	LOC6041772|XP_038104722.1|CQUI	LOC6901049|XP_002134528.2|DPSE
OG0001859	LOC119767634|XP_038112546.1|CQUI	LOC6901885|XP_002133420.1|DPSE
OG0001860	LOC6047045|XP_038104177.1|CQUI, LOC6042830|XP_001870827.1|CQUI	LOC4813375|XP_001353966.1|DPSE
OG0001861	LOC6037954|XP_038104548.1|CQUI	LOC4800746|XP_001357963.3|DPSE
OG0001862	LOC6045736|XP_038105476.1|CQUI, LOC6045737|XP_001863044.2|CQUI	LOC4814369|XP_033240391.1|DPSE
OG0001863	LOC6042593|XP_038114195.1|CQUI, LOC6045734|XP_001863041.2|CQUI	LOC4815196|XP_001354598.4|DPSE
OG0001864	LOC6053324|XP_038105480.1|CQUI	LOC4801060|XP_001358222.4|DPSE
OG0001865	LOC6042722|XP_001870739.2|CQUI	LOC4814209|XP_001354336.1|DPSE
OG0001866	LOC6042730|XP_038104345.1|CQUI	LOC6897167|XP_033241703.1|DPSE
OG0001867	LOC6048195|XP_038116728.1|CQUI	LOC4813977|XP_001354134.4|DPSE
OG0001868	LOC6052598|XP_038104287.1|CQUI	LOC6902595|XP_002133122.2|DPSE
OG0001869	LOC6038423|XP_038105660.1|CQUI	LOC6897248|XP_003736544.3|DPSE
OG0001870	LOC6044993|XP_001862417.2|CQUI	LOC4814430|XP_001354856.1|DPSE
OG0001871	LOC6039039|XP_038104101.1|CQUI	LOC4815489|XP_001355563.2|DPSE
OG0001872	LOC6034331|XP_038122572.1|CQUI	LOC4800388|XP_001357673.3|DPSE
OG0001873	LOC6045619|XP_038104541.1|CQUI	LOC4802775|XP_001359635.3|DPSE
OG0001874	LOC6043591|XP_038105079.1|CQUI	LOC117183395|XP_033233102.1|DPSE
OG0001875	LOC6047655|XP_038112718.1|CQUI	LOC6896686|XP_033232875.1|DPSE
OG0001876	LOC6034410|XP_001844728.2|CQUI	LOC4811727|XP_015044360.2|DPSE, LOC26533243|XP_033240085.1|DPSE
OG0001877	LOC6034426|XP_001844744.2|CQUI	LOC4815332|XP_001354636.3|DPSE
OG0001878	LOC6034484|XP_038114409.1|CQUI	LOC4801267|XP_001358388.1|DPSE
OG0001879	LOC6034762|XP_038105957.1|CQUI	LOC6899518|XP_033236075.1|DPSE
OG0001880	LOC6036518|XP_001846563.2|CQUI	LOC6897119|XP_033233055.1|DPSE, LOC6902373|XP_033235552.1|DPSE, LOC4800513|XP_001357778.2|DPSE
OG0001881	LOC6035632|XP_038104495.1|CQUI	LOC4801355|XP_033232599.1|DPSE
OG0001882	LOC6035646|XP_001845785.2|CQUI	LOC4801145|XP_001358283.2|DPSE
OG0001883	LOC6044618|XP_038104449.1|CQUI	LOC4800579|XP_033233173.1|DPSE
OG0001884	LOC6035062|XP_001845298.1|CQUI	LOC4801557|XP_001358629.2|DPSE
OG0001885	LOC119767037|XP_038110218.1|CQUI	LOC4817798|XP_001357156.1|DPSE
OG0001886	LOC6044851|XP_001862296.1|CQUI	LOC4800598|XP_001357844.2|DPSE
OG0001887	LOC6038584|XP_001848366.1|CQUI	LOC4804364|XP_001360938.2|DPSE
OG0001888	LOC6041722|XP_038122909.1|CQUI	LOC4802489|XP_001359402.3|DPSE
OG0001889	LOC6041728|XP_001850950.2|CQUI	LOC6897108|XP_002137292.2|DPSE, LOC4814976|XP_001354997.1|DPSE
OG0001890	LOC119765309|XP_038104857.1|CQUI	LOC6901289|XP_002133990.2|DPSE, LOC4813965|XP_001354124.2|DPSE
OG0001891	LOC6043184|XP_038105459.1|CQUI	LOC13036379|XP_015037436.2|DPSE
OG0001892	LOC6035555|XP_001845713.2|CQUI	LOC26532716|XP_033236580.1|DPSE
OG0001893	LOC6032693|XP_038105722.1|CQUI	LOC4801250|XP_001358373.3|DPSE
OG0001894	LOC6032687|XP_001843247.2|CQUI	LOC4804438|XP_001361000.1|DPSE
OG0001895	LOC6032626|XP_038117551.1|CQUI	LOC4811786|XP_015044406.1|DPSE
OG0001896	LOC6033243|XP_038122668.1|CQUI	LOC117184256|XP_033236873.1|DPSE
OG0001897	LOC6046290|XP_038104836.1|CQUI	LOC4801053|XP_015038686.2|DPSE
OG0001898	LOC6031568|XP_001842347.2|CQUI	LOC4816020|XP_001355280.1|DPSE
OG0001899	LOC6033679|XP_038122988.1|CQUI	LOC4801824|XP_015037403.1|DPSE
OG0001900	LOC6041148|XP_038110611.1|CQUI	LOC4811917|XP_001352959.3|DPSE
OG0001901	LOC6033710|XP_038105128.1|CQUI	LOC4816129|XP_033236694.1|DPSE
OG0001902	LOC6035419|XP_038119268.1|CQUI	LOC6899765|XP_033241744.1|DPSE
OG0001905	LOC6040704|XP_001850058.2|CQUI	LOC6896875|XP_002137065.1|DPSE
OG0001906	LOC6037489|XP_038105690.1|CQUI	LOC4801536|XP_015037294.2|DPSE
OG0001907	LOC6038035|XP_038114494.1|CQUI	LOC6901731|XP_002134400.1|DPSE
OG0001908	LOC6042396|XP_038108468.1|CQUI	LOC6902542|XP_002133083.3|DPSE, LOC117183899|XP_033235149.1|DPSE, LOC117183960|XP_033235584.1|DPSE, LOC4800670|XP_001357902.3|DPSE
OG0001909	LOC6032044|XP_038104689.1|CQUI	LOC6901564|XP_002134237.2|DPSE, LOC4814710|XP_033238536.1|DPSE
OG0001910	LOC6035189|XP_038105072.1|CQUI, LOC6035190|XP_001845420.2|CQUI	LOC4800775|XP_001357990.2|DPSE
OG0001912	LOC6033909|XP_001844298.2|CQUI	LOC4804008|XP_001360639.2|DPSE
OG0001913	LOC6033916|XP_001844305.2|CQUI, LOC6033914|XP_038109497.1|CQUI, LOC6033918|XP_001844307.2|CQUI	LOC4816414|XP_033235964.1|DPSE
OG0001914	LOC6044843|XP_001862288.2|CQUI, LOC6033904|XP_001844293.2|CQUI	LOC6897344|XP_033232329.1|DPSE
OG0001915	LOC6032785|XP_038118978.1|CQUI	LOC4813255|XP_033237759.1|DPSE
OG0001916	LOC6032807|XP_038118971.1|CQUI	LOC4804065|XP_033233406.1|DPSE
OG0001917	LOC6032905|XP_038116382.1|CQUI	LOC6899991|XP_033239456.1|DPSE
OG0001918	LOC6038679|XP_001848434.2|CQUI, LOC119767328|XP_038111632.1|CQUI	LOC4813139|XP_001353888.3|DPSE
OG0001919	LOC6041034|XP_001850345.2|CQUI	LOC4804867|XP_001361356.2|DPSE
OG0001920	LOC6053530|XP_038119323.1|CQUI	LOC4812028|XP_001352499.3|DPSE
OG0001921	LOC6031101|XP_001841948.2|CQUI	LOC4804382|XP_001360953.1|DPSE
OG0001922	LOC119770110|XP_038120318.1|CQUI, LOC6050944|XP_001867457.2|CQUI	LOC4805499|XP_001361893.2|DPSE
OG0001924	LOC6047853|XP_001864856.2|CQUI	LOC6899751|XP_002135787.2|DPSE
OG0001925	LOC6044576|XP_001862068.2|CQUI	LOC4814162|XP_001354278.2|DPSE
OG0001926	LOC6031058|XP_038117318.1|CQUI	LOC4813940|XP_033239000.1|DPSE
OG0001927	LOC6042822|XP_038119054.1|CQUI	LOC4803536|XP_001360246.2|DPSE
OG0001928	LOC6042827|XP_001870824.2|CQUI	LOC6897168|XP_002137348.2|DPSE, LOC6900691|XP_033240953.1|DPSE
OG0001929	LOC6044582|XP_038117729.1|CQUI	LOC6900681|XP_033240679.1|DPSE
OG0001930	LOC6052394|XP_038121632.1|CQUI	LOC4804449|XP_001361010.5|DPSE
OG0001932	LOC6044950|XP_038115259.1|CQUI	LOC6900499|XP_033239627.1|DPSE, LOC6901999|XP_002133533.3|DPSE
OG0001933	LOC6051407|XP_001867852.2|CQUI	LOC4803940|XP_001360580.1|DPSE
OG0001934	LOC119765391|XP_038105089.1|CQUI, LOC6047375|XP_001864443.2|CQUI	LOC6900677|XP_002135041.3|DPSE
OG0001935	LOC6038818|XP_038120855.1|CQUI	LOC4812137|XP_001352540.4|DPSE
OG0001937	LOC6042011|XP_038115412.1|CQUI	LOC6898052|XP_002138138.2|DPSE
OG0001938	LOC6044645|XP_038115793.1|CQUI	LOC4804746|XP_001361258.2|DPSE
OG0001939	LOC6048509|XP_001865422.2|CQUI	LOC4805174|XP_001361620.1|DPSE
OG0001940	LOC6048947|XP_001865782.2|CQUI	LOC4803642|XP_033234957.1|DPSE
OG0001941	LOC6036592|XP_038117237.1|CQUI	LOC4812042|XP_033239537.1|DPSE
OG0001942	LOC6041098|XP_038119257.1|CQUI, LOC6037316|XP_001847243.2|CQUI, LOC6041117|XP_038121399.1|CQUI	LOC6898084|XP_002138169.3|DPSE
OG0001943	LOC119769729|XP_038119123.1|CQUI	LOC4812175|XP_001352542.3|DPSE
OG0001944	LOC6053439|XP_001869521.2|CQUI	LOC4812188|XP_001352469.2|DPSE
OG0001945	LOC6041342|XP_038121860.1|CQUI	LOC4805011|XP_033235066.1|DPSE
OG0001946	LOC6050479|XP_001867082.1|CQUI	LOC4804912|XP_001361397.2|DPSE
OG0001947	LOC6050483|XP_001867086.1|CQUI	LOC4805368|XP_001361779.5|DPSE
OG0001948	LOC6048050|XP_038116081.1|CQUI	LOC4814400|XP_001354354.2|DPSE
OG0001949	LOC6050155|XP_038115622.1|CQUI	LOC4813880|XP_033239985.1|DPSE
OG0001950	LOC6044944|XP_038114752.1|CQUI	LOC4802432|XP_033233005.1|DPSE
OG0001951	LOC6038589|XP_038122017.1|CQUI	LOC4803847|XP_033233941.1|DPSE
OG0001952	LOC6051573|XP_038119566.1|CQUI	LOC6899550|XP_033235123.1|DPSE
OG0001953	LOC6037139|XP_001847079.2|CQUI	LOC4805218|XP_001361659.2|DPSE
OG0001954	LOC6036398|XP_038119152.1|CQUI	LOC6898406|XP_033233970.1|DPSE
OG0001955	LOC6036401|XP_001846454.2|CQUI	LOC4805334|XP_001361750.2|DPSE
OG0001956	LOC6036547|XP_038117528.1|CQUI	LOC6899982|XP_033240181.1|DPSE
OG0001957	LOC6036275|XP_001846341.1|CQUI	LOC4803773|XP_001360435.1|DPSE
OG0001958	LOC6033549|XP_038117713.1|CQUI	LOC4804821|XP_033234767.1|DPSE
OG0001959	LOC6038392|XP_001848199.2|CQUI, LOC6037710|XP_038114451.1|CQUI	LOC4813203|XP_033240136.1|DPSE
OG0001960	LOC6040613|XP_001849983.2|CQUI	LOC4814127|XP_015042447.1|DPSE
OG0001962	LOC6035473|XP_038120793.1|CQUI	LOC4804439|XP_001361001.4|DPSE
OG0001963	LOC6033576|XP_038116392.1|CQUI	LOC4812293|XP_001352440.1|DPSE
OG0001964	LOC119770350|XP_038120975.1|CQUI	LOC4812878|XP_001353233.4|DPSE
OG0001966	LOC6045542|XP_038120964.1|CQUI	LOC4801193|XP_001358322.3|DPSE
OG0001967	LOC6037159|XP_038116491.1|CQUI	LOC4803760|XP_001360424.3|DPSE
OG0001968	LOC119769837|XP_038119461.1|CQUI	LOC4812213|XP_015043819.2|DPSE
OG0001969	LOC6043784|XP_001861388.2|CQUI	LOC4804914|XP_001361399.3|DPSE
OG0001970	LOC6033499|XP_001843940.1|CQUI	LOC4803853|XP_001360504.1|DPSE
OG0001971	LOC119770383|XP_038121065.1|CQUI	LOC4804972|XP_001361447.3|DPSE
OG0001972	LOC6050813|XP_038115650.1|CQUI	LOC4803328|XP_001357514.2|DPSE
OG0001973	LOC6030808|XP_038115981.1|CQUI	LOC15382900|XP_004444214.3|DPSE
OG0001974	LOC6040965|XP_001850286.2|CQUI	LOC4804513|XP_001361065.3|DPSE
OG0001975	LOC6047202|XP_001864288.2|CQUI	LOC4812982|XP_001354042.2|DPSE
OG0001976	LOC6037093|XP_001847040.1|CQUI	LOC6898044|XP_002138132.1|DPSE
OG0001977	LOC119767020|XP_038110184.1|CQUI, LOC6032497|XP_001843086.1|CQUI	LOC6902355|XP_002133301.2|DPSE
OG0001978	LOC6034119|XP_038111127.1|CQUI	LOC4817658|XP_001357050.1|DPSE
OG0001979	LOC6046047|XP_001863303.1|CQUI	LOC4816803|XP_001356719.2|DPSE
OG0001980	LOC6048883|XP_001865727.2|CQUI	LOC4817809|XP_033235870.1|DPSE
OG0001981	LOC6041637|XP_038113783.1|CQUI	LOC4817017|XP_033236178.1|DPSE
OG0001982	LOC6046048|XP_001863304.2|CQUI	LOC13036543|XP_003736156.1|DPSE
OG0001983	LOC6037074|XP_038109968.1|CQUI	LOC26534190|XP_033236662.1|DPSE
OG0001984	LOC6043314|XP_038108458.1|CQUI	LOC4817847|XP_033235276.1|DPSE
OG0001985	LOC6041484|XP_038107733.1|CQUI	LOC4817201|XP_001356369.2|DPSE
OG0001986	LOC6039572|XP_038113369.1|CQUI	LOC4818167|XP_001357408.3|DPSE
OG0001987	LOC6033795|XP_038108902.1|CQUI, LOC6047193|XP_038106698.1|CQUI	LOC4815951|XP_001355566.3|DPSE
OG0001988	LOC6031811|XP_038108479.1|CQUI	LOC4803925|XP_001360566.3|DPSE
OG0001989	LOC6038274|XP_001848097.2|CQUI	LOC4817547|XP_002132851.1|DPSE
OG0001990	LOC6038269|XP_038107998.1|CQUI	LOC26532979|XP_033236342.1|DPSE
OG0001991	LOC6045657|XP_038110933.1|CQUI	LOC6899530|XP_033235949.1|DPSE
OG0001992	LOC6048798|XP_038109494.1|CQUI	LOC4817323|XP_033235478.1|DPSE
OG0001993	LOC6034237|XP_001844584.2|CQUI, LOC6040852|XP_001850184.1|CQUI	LOC4818176|XP_001357286.1|DPSE
OG0001994	LOC6031207|XP_001842041.2|CQUI	LOC4800536|XP_015038646.2|DPSE
OG0001995	LOC6033195|XP_001843675.2|CQUI	LOC4816450|XP_001356257.2|DPSE
OG0001996	LOC6031275|XP_038108642.1|CQUI	LOC6903575|XP_033236000.1|DPSE
OG0001997	LOC6042869|XP_001853641.1|CQUI	LOC4804704|XP_001361222.3|DPSE
OG0001998	LOC6052519|XP_038108714.1|CQUI	LOC4804702|XP_001361220.3|DPSE
OG0001999	LOC6049002|XP_038107788.1|CQUI	LOC4804201|XP_033233745.1|DPSE
OG0002000	LOC6054187|XP_038109989.1|CQUI	LOC4817170|XP_001356882.3|DPSE
OG0002001	LOC6033119|XP_038108756.1|CQUI	LOC4817651|XP_001357043.4|DPSE
OG0002002	LOC6042111|XP_001851261.2|CQUI	LOC4803534|XP_001360244.2|DPSE
OG0002003	LOC6044259|XP_001861798.1|CQUI	LOC4816167|XP_015036950.2|DPSE
OG0002004	LOC6036173|XP_038111988.1|CQUI	LOC4817678|XP_015036437.2|DPSE
OG0002005	LOC6033275|XP_038111843.1|CQUI	LOC4818173|XP_033235465.1|DPSE
OG0002006	LOC6033224|XP_038110957.1|CQUI	LOC4817881|XP_015035536.2|DPSE
OG0002008	LOC6036447|XP_038109172.1|CQUI	LOC4811811|XP_033237244.1|DPSE
OG0002009	LOC6036465|XP_038112709.1|CQUI	LOC4805494|XP_001361889.1|DPSE
OG0002010	LOC6036482|XP_001846532.2|CQUI	LOC4816188|XP_001355800.3|DPSE
OG0002011	LOC6034391|XP_001844709.2|CQUI	LOC4816703|XP_001356105.3|DPSE
OG0002012	LOC6036347|XP_038112714.1|CQUI	LOC4816814|XP_001356812.2|DPSE
OG0002013	LOC6046639|XP_038107918.1|CQUI	LOC117184018|XP_033235848.1|DPSE, LOC4816573|XP_033235692.1|DPSE
OG0002014	LOC6035997|XP_038111448.1|CQUI	LOC4805525|XP_001361914.1|DPSE
OG0002015	LOC6034825|XP_001845096.2|CQUI	LOC4817128|XP_001356471.2|DPSE
OG0002016	LOC6050974|XP_038107602.1|CQUI	LOC4804776|XP_001361285.4|DPSE
OG0002017	LOC6054171|XP_038108914.1|CQUI	LOC4816551|XP_001356069.2|DPSE
OG0002018	LOC6032135|XP_001842789.2|CQUI	LOC6903405|XP_002132284.2|DPSE
OG0002019	LOC6046126|XP_038110758.1|CQUI	LOC4817021|XP_001356755.2|DPSE
OG0002020	LOC6038005|XP_038108837.1|CQUI	LOC4816368|XP_001356263.2|DPSE
OG0002021	LOC6037998|XP_001847845.2|CQUI	LOC4803759|XP_033233608.1|DPSE
OG0002022	LOC119767624|XP_038112509.1|CQUI	LOC6903588|XP_033235378.1|DPSE
OG0002023	LOC6036020|XP_038109557.1|CQUI	LOC4801405|XP_001358503.3|DPSE
OG0002024	LOC6033634|XP_001844061.1|CQUI	LOC4811769|XP_001352338.1|DPSE
OG0002025	LOC6048337|XP_038109427.1|CQUI	LOC6903053|XP_002132777.2|DPSE
OG0002026	LOC6046087|XP_038119029.1|CQUI	LOC4812394|XP_001352886.3|DPSE
OG0002027	LOC6038993|XP_038118649.1|CQUI	LOC6898412|XP_033234456.1|DPSE
OG0002028	LOC6038987|XP_038119452.1|CQUI	LOC117184111|XP_033236206.1|DPSE, LOC4803397|XP_033235105.1|DPSE
OG0002029	LOC6044744|XP_038117028.1|CQUI	LOC4812927|XP_001353737.3|DPSE
OG0002030	LOC6036738|XP_001846737.1|CQUI	LOC4805444|XP_001361845.2|DPSE
OG0002031	LOC6034192|XP_001844547.2|CQUI	LOC4804377|XP_015039898.1|DPSE
OG0002032	LOC6047494|XP_001864549.2|CQUI	LOC4802810|XP_001359654.3|DPSE
OG0002033	LOC6033021|XP_038119287.1|CQUI	LOC4814568|XP_001354747.2|DPSE
OG0002034	LOC6033038|XP_038115410.1|CQUI	LOC4816009|XP_001355456.4|DPSE
OG0002036	LOC6050995|XP_038121187.1|CQUI	LOC6896916|XP_033232494.1|DPSE
OG0002037	LOC6046238|XP_001863465.1|CQUI	LOC4812672|XP_001353056.3|DPSE
OG0002038	LOC6048866|XP_001865713.1|CQUI	LOC6897907|XP_002138009.2|DPSE
OG0002039	LOC6041739|XP_001850959.1|CQUI	LOC4811647|XP_002135773.1|DPSE
OG0002040	LOC6049016|XP_038115728.1|CQUI	LOC6897795|XP_033237823.1|DPSE
OG0002041	LOC6053561|XP_038121322.1|CQUI	LOC4805056|XP_015040406.1|DPSE
OG0002042	LOC6042060|XP_001851213.1|CQUI	LOC4802940|XP_001359755.3|DPSE
OG0002043	LOC6046279|XP_001863506.2|CQUI	LOC4802054|XP_001359047.4|DPSE
OG0002044	LOC6049246|XP_038115174.1|CQUI	LOC6896878|XP_003736286.2|DPSE
OG0002045	LOC6046000|XP_038119279.1|CQUI	LOC4802031|XP_033241834.1|DPSE
OG0002046	LOC6044308|XP_038119321.1|CQUI	LOC6901904|XP_002133439.3|DPSE
OG0002047	LOC6050271|XP_038122220.1|CQUI	LOC6902117|XP_015041171.2|DPSE
OG0002048	LOC6042553|XP_038120962.1|CQUI	LOC4802618|XP_015037945.1|DPSE
OG0002049	LOC6039492|XP_038115951.1|CQUI	LOC4802817|XP_015038107.2|DPSE
OG0002050	LOC6043404|XP_038115088.1|CQUI	LOC4802545|XP_033232818.1|DPSE
