Orthogroup	CQUI.longest_only	DKIK.longest_only
OG0001814	LOC6042171|XP_001851318.2|CQUI	LOC108081141|XP_017031665.1|DKIK
OG0001815	LOC6052975|XP_038122237.1|CQUI	LOC108084381|XP_017036062.1|DKIK
OG0001816	LOC6039946|XP_001849441.1|CQUI	LOC108080860|XP_017031253.1|DKIK
OG0001817	LOC6033778|XP_038113959.1|CQUI	LOC108078520|XP_017027915.1|DKIK
OG0001818	LOC6031465|XP_038110900.1|CQUI, LOC6031468|XP_038106439.1|CQUI	LOC108084491|XP_017036217.1|DKIK
OG0001819	LOC6052485|XP_038106063.1|CQUI	LOC108085164|XP_017037188.1|DKIK
OG0001820	LOC6031908|XP_038108785.1|CQUI	LOC108079418|XP_017029234.1|DKIK
OG0001821	LOC6045851|XP_038113040.1|CQUI	LOC108076527|XP_017024928.1|DKIK
OG0001822	LOC6051898|XP_038107802.1|CQUI	LOC108076253|XP_017024492.1|DKIK
OG0001823	LOC6049608|XP_001866335.2|CQUI	LOC108083146|XP_017034317.1|DKIK
OG0001824	LOC6043663|XP_001861292.2|CQUI, LOC6043665|XP_038111105.1|CQUI	LOC108072623|XP_017019341.1|DKIK
OG0001825	LOC6052855|XP_038109737.1|CQUI	LOC108082088|XP_017032873.1|DKIK, LOC108076685|XP_017025122.1|DKIK
OG0001826	LOC6051516|XP_038113255.1|CQUI	LOC108078548|XP_017027953.1|DKIK
OG0001827	LOC6047130|XP_038111924.1|CQUI, LOC6040294|XP_038110969.1|CQUI	LOC108076265|XP_017024502.1|DKIK
OG0001828	LOC6037826|XP_038114259.1|CQUI	LOC108083831|XP_017035292.1|DKIK
OG0001829	LOC6053615|XP_038114283.1|CQUI	LOC108082333|XP_017033152.1|DKIK
OG0001830	LOC6049875|XP_001866565.2|CQUI	LOC108086141|XP_017038486.1|DKIK
OG0001831	LOC6038352|XP_038109026.1|CQUI, LOC6038350|XP_001848165.2|CQUI	LOC108080601|XP_017030909.1|DKIK
OG0001832	LOC6036088|XP_001846181.1|CQUI	LOC108071202|XP_017017372.1|DKIK
OG0001833	LOC6043113|XP_001855895.2|CQUI	LOC108071991|XP_017018454.1|DKIK
OG0001848	LOC6044339|XP_038122494.1|CQUI	LOC108081262|XP_017031848.1|DKIK, LOC108075353|XP_017023250.1|DKIK
OG0001849	LOC6044345|XP_001861875.1|CQUI	LOC108084578|XP_017036341.1|DKIK
OG0001850	LOC6038326|XP_038110281.1|CQUI	LOC108084518|XP_017036241.1|DKIK
OG0001851	LOC6052786|XP_038111864.1|CQUI	LOC108082645|XP_017033607.1|DKIK
OG0001852	LOC6038309|XP_038105365.1|CQUI, LOC6038308|XP_038105255.1|CQUI	LOC108078668|XP_017028092.1|DKIK
OG0001853	LOC6038307|XP_038117280.1|CQUI	LOC108085576|XP_017037704.1|DKIK
OG0001854	LOC6041765|XP_038116879.1|CQUI	LOC108085067|XP_017037022.1|DKIK
OG0001855	LOC6035157|XP_038105344.1|CQUI	LOC108076147|XP_017024363.1|DKIK
OG0001856	LOC6046575|XP_001863756.2|CQUI	LOC108083789|XP_017035203.1|DKIK
OG0001857	LOC6042718|XP_001870735.2|CQUI, LOC6042721|XP_001870738.2|CQUI	LOC108080163|XP_017030295.1|DKIK
OG0001858	LOC6041772|XP_038104722.1|CQUI	LOC108082959|XP_017034065.1|DKIK
OG0001859	LOC119767634|XP_038112546.1|CQUI	LOC108084640|XP_017036420.1|DKIK
OG0001860	LOC6047045|XP_038104177.1|CQUI, LOC6042830|XP_001870827.1|CQUI	LOC108080685|XP_017031007.1|DKIK
OG0001861	LOC6037954|XP_038104548.1|CQUI	LOC108073434|XP_017020585.1|DKIK
OG0001862	LOC6045736|XP_038105476.1|CQUI, LOC6045737|XP_001863044.2|CQUI	LOC108074190|XP_017021621.1|DKIK
OG0001863	LOC6042593|XP_038114195.1|CQUI, LOC6045734|XP_001863041.2|CQUI	LOC108080124|XP_017030244.1|DKIK
OG0001864	LOC6053324|XP_038105480.1|CQUI	LOC108075489|XP_017023433.1|DKIK
OG0001865	LOC6042722|XP_001870739.2|CQUI	LOC108076631|XP_017025050.1|DKIK
OG0001866	LOC6042730|XP_038104345.1|CQUI	LOC108081235|XP_017031806.1|DKIK
OG0001867	LOC6048195|XP_038116728.1|CQUI	LOC108071914|XP_017018350.1|DKIK
OG0001868	LOC6052598|XP_038104287.1|CQUI	LOC108073623|XP_017020812.1|DKIK
OG0001869	LOC6038423|XP_038105660.1|CQUI	LOC108071259|XP_017017434.1|DKIK
OG0001870	LOC6044993|XP_001862417.2|CQUI	LOC108084466|XP_017036166.1|DKIK
OG0001871	LOC6039039|XP_038104101.1|CQUI	LOC108080299|XP_017030461.1|DKIK
OG0001872	LOC6034331|XP_038122572.1|CQUI	LOC108073744|XP_017020996.1|DKIK
OG0001873	LOC6045619|XP_038104541.1|CQUI	LOC108073462|XP_017020587.1|DKIK
OG0001874	LOC6043591|XP_038105079.1|CQUI	LOC108073414|XP_017020508.1|DKIK
OG0001875	LOC6047655|XP_038112718.1|CQUI	LOC108073674|XP_017020889.1|DKIK
OG0001876	LOC6034410|XP_001844728.2|CQUI	LOC108084712|XP_017036536.1|DKIK, LOC108084514|XP_017036239.1|DKIK
OG0001877	LOC6034426|XP_001844744.2|CQUI	LOC108078988|XP_017028652.1|DKIK
OG0001878	LOC6034484|XP_038114409.1|CQUI	LOC108074103|XP_017021490.1|DKIK
OG0001879	LOC6034762|XP_038105957.1|CQUI	LOC108073545|XP_017020717.1|DKIK
OG0001880	LOC6036518|XP_001846563.2|CQUI	LOC108084625|XP_017036402.1|DKIK
OG0001881	LOC6035632|XP_038104495.1|CQUI	LOC108084096|XP_017035612.1|DKIK
OG0001882	LOC6035646|XP_001845785.2|CQUI	LOC108085050|XP_017036999.1|DKIK
OG0001883	LOC6044618|XP_038104449.1|CQUI	LOC108071294|XP_017017482.1|DKIK
OG0001884	LOC6035062|XP_001845298.1|CQUI	LOC108071317|XP_017017514.1|DKIK, LOC108081610|XP_017032318.1|DKIK
OG0001885	LOC119767037|XP_038110218.1|CQUI	LOC108082240|XP_017033066.1|DKIK
OG0001886	LOC6044851|XP_001862296.1|CQUI	LOC108073418|XP_017020525.1|DKIK
OG0001887	LOC6038584|XP_001848366.1|CQUI	LOC108078247|XP_017027459.1|DKIK
OG0001888	LOC6041722|XP_038122909.1|CQUI	LOC108075589|XP_017023599.1|DKIK
OG0001889	LOC6041728|XP_001850950.2|CQUI	LOC108074160|XP_017021558.1|DKIK
OG0001890	LOC119765309|XP_038104857.1|CQUI	LOC108075070|XP_017022840.1|DKIK
OG0001891	LOC6043184|XP_038105459.1|CQUI	LOC108084021|XP_017035522.1|DKIK
OG0001892	LOC6035555|XP_001845713.2|CQUI	LOC108079921|XP_017029943.1|DKIK, LOC108073953|XP_017021267.1|DKIK
OG0001893	LOC6032693|XP_038105722.1|CQUI	LOC108083981|XP_017035481.1|DKIK
OG0001894	LOC6032687|XP_001843247.2|CQUI	LOC108076730|XP_017025197.1|DKIK
OG0001895	LOC6032626|XP_038117551.1|CQUI	LOC108072470|XP_017019116.1|DKIK
OG0001896	LOC6033243|XP_038122668.1|CQUI	LOC108083536|XP_017034868.1|DKIK
OG0001897	LOC6046290|XP_038104836.1|CQUI	LOC108075601|XP_017023612.1|DKIK
OG0001898	LOC6031568|XP_001842347.2|CQUI	LOC108083562|XP_017034906.1|DKIK
OG0001899	LOC6033679|XP_038122988.1|CQUI	LOC108085725|XP_017037938.1|DKIK
OG0001900	LOC6041148|XP_038110611.1|CQUI	LOC108083250|XP_017034445.1|DKIK, LOC108083249|XP_017034443.1|DKIK
OG0001901	LOC6033710|XP_038105128.1|CQUI	LOC108075966|XP_017024107.1|DKIK
OG0001902	LOC6035419|XP_038119268.1|CQUI	LOC108084499|XP_017036226.1|DKIK
OG0001905	LOC6040704|XP_001850058.2|CQUI	LOC108082643|XP_017033606.1|DKIK
OG0001906	LOC6037489|XP_038105690.1|CQUI	LOC108084847|XP_017036710.1|DKIK
OG0001907	LOC6038035|XP_038114494.1|CQUI	LOC108083571|XP_017034916.1|DKIK
OG0001908	LOC6042396|XP_038108468.1|CQUI	LOC108083734|XP_017035131.1|DKIK
OG0001909	LOC6032044|XP_038104689.1|CQUI	LOC108071818|XP_017018213.1|DKIK
OG0001910	LOC6035189|XP_038105072.1|CQUI, LOC6035190|XP_001845420.2|CQUI	LOC108084241|XP_017035864.1|DKIK
OG0001912	LOC6033909|XP_001844298.2|CQUI	LOC108073081|XP_017020038.1|DKIK
OG0001913	LOC6033916|XP_001844305.2|CQUI, LOC6033914|XP_038109497.1|CQUI, LOC6033918|XP_001844307.2|CQUI	LOC108076877|XP_017025395.1|DKIK
OG0001914	LOC6044843|XP_001862288.2|CQUI, LOC6033904|XP_001844293.2|CQUI	LOC108084544|XP_017036272.1|DKIK
OG0001915	LOC6032785|XP_038118978.1|CQUI	LOC108075210|XP_017023035.1|DKIK
OG0001916	LOC6032807|XP_038118971.1|CQUI	LOC108082561|XP_017033500.1|DKIK
OG0001917	LOC6032905|XP_038116382.1|CQUI	LOC108070544|XP_017016559.1|DKIK
OG0001918	LOC6038679|XP_001848434.2|CQUI, LOC119767328|XP_038111632.1|CQUI	LOC108079814|XP_017029786.1|DKIK
OG0001919	LOC6041034|XP_001850345.2|CQUI	LOC108076500|XP_017024882.1|DKIK
OG0001920	LOC6053530|XP_038119323.1|CQUI	LOC108079050|XP_017028743.1|DKIK
OG0001921	LOC6031101|XP_001841948.2|CQUI	LOC108070756|XP_017016842.1|DKIK
OG0001922	LOC119770110|XP_038120318.1|CQUI, LOC6050944|XP_001867457.2|CQUI	LOC108076354|XP_017024639.1|DKIK
OG0001924	LOC6047853|XP_001864856.2|CQUI	LOC108072393|XP_017018992.1|DKIK
OG0001925	LOC6044576|XP_001862068.2|CQUI	LOC108070581|XP_017016624.1|DKIK
OG0001926	LOC6031058|XP_038117318.1|CQUI	LOC108078722|XP_017028208.1|DKIK
OG0001927	LOC6042822|XP_038119054.1|CQUI	LOC108082423|XP_017033278.1|DKIK
OG0001928	LOC6042827|XP_001870824.2|CQUI	LOC108071885|XP_017018303.1|DKIK
OG0001929	LOC6044582|XP_038117729.1|CQUI	LOC108071906|XP_017018327.1|DKIK
OG0001930	LOC6052394|XP_038121632.1|CQUI	LOC108081091|XP_017031567.1|DKIK
OG0001932	LOC6044950|XP_038115259.1|CQUI	LOC108072728|XP_017019477.1|DKIK, LOC108075992|XP_017024134.1|DKIK
OG0001933	LOC6051407|XP_001867852.2|CQUI	LOC108073016|XP_017019963.1|DKIK
OG0001934	LOC119765391|XP_038105089.1|CQUI, LOC6047375|XP_001864443.2|CQUI	LOC108071971|XP_017018435.1|DKIK
OG0001935	LOC6038818|XP_038120855.1|CQUI	LOC108078905|XP_017028527.1|DKIK, LOC108078904|XP_017028526.1|DKIK
OG0001937	LOC6042011|XP_038115412.1|CQUI	LOC108073108|XP_017020088.1|DKIK
OG0001938	LOC6044645|XP_038115793.1|CQUI	LOC108078416|XP_017027769.1|DKIK
OG0001939	LOC6048509|XP_001865422.2|CQUI	LOC108077983|XP_017027015.1|DKIK
OG0001940	LOC6048947|XP_001865782.2|CQUI	LOC108084078|XP_017035592.1|DKIK
OG0001941	LOC6036592|XP_038117237.1|CQUI	LOC108079051|XP_017028746.1|DKIK
OG0001942	LOC6041098|XP_038119257.1|CQUI, LOC6037316|XP_001847243.2|CQUI, LOC6041117|XP_038121399.1|CQUI	LOC108080723|XP_017031065.1|DKIK
OG0001943	LOC119769729|XP_038119123.1|CQUI	LOC108078675|XP_017028097.1|DKIK
OG0001944	LOC6053439|XP_001869521.2|CQUI	LOC108079041|XP_017028713.1|DKIK
OG0001945	LOC6041342|XP_038121860.1|CQUI	LOC108076726|XP_017025187.1|DKIK
OG0001946	LOC6050479|XP_001867082.1|CQUI	LOC108076777|XP_017025270.1|DKIK
OG0001947	LOC6050483|XP_001867086.1|CQUI	LOC108072973|XP_017019897.1|DKIK
OG0001948	LOC6048050|XP_038116081.1|CQUI	LOC108081421|XP_017032093.1|DKIK, LOC108083353|XP_017034586.1|DKIK
OG0001949	LOC6050155|XP_038115622.1|CQUI	LOC108085827|XP_017038069.1|DKIK
OG0001950	LOC6044944|XP_038114752.1|CQUI	LOC108075508|XP_017023468.1|DKIK
OG0001951	LOC6038589|XP_038122017.1|CQUI	LOC108076290|XP_017024536.1|DKIK
OG0001952	LOC6051573|XP_038119566.1|CQUI	LOC108079474|XP_017029307.1|DKIK
OG0001953	LOC6037139|XP_001847079.2|CQUI	LOC108076782|XP_017025277.1|DKIK
OG0001954	LOC6036398|XP_038119152.1|CQUI	LOC108085139|XP_017037147.1|DKIK
OG0001955	LOC6036401|XP_001846454.2|CQUI	LOC108074456|XP_017022007.1|DKIK
OG0001956	LOC6036547|XP_038117528.1|CQUI	LOC108070564|XP_017016591.1|DKIK
OG0001957	LOC6036275|XP_001846341.1|CQUI	LOC108082592|XP_017033546.1|DKIK
OG0001958	LOC6033549|XP_038117713.1|CQUI	LOC108081205|XP_017031762.1|DKIK
OG0001959	LOC6038392|XP_001848199.2|CQUI, LOC6037710|XP_038114451.1|CQUI	LOC108074999|XP_017022730.1|DKIK
OG0001960	LOC6040613|XP_001849983.2|CQUI	LOC108079046|XP_017028740.1|DKIK
OG0001962	LOC6035473|XP_038120793.1|CQUI	LOC108076728|XP_017025192.1|DKIK
OG0001963	LOC6033576|XP_038116392.1|CQUI	LOC108079812|XP_017029784.1|DKIK
OG0001964	LOC119770350|XP_038120975.1|CQUI	LOC108083407|XP_017034653.1|DKIK, LOC108078348|XP_017027645.1|DKIK
OG0001966	LOC6045542|XP_038120964.1|CQUI	LOC108075622|XP_017023645.1|DKIK
OG0001967	LOC6037159|XP_038116491.1|CQUI	LOC108082341|XP_017033163.1|DKIK
OG0001968	LOC119769837|XP_038119461.1|CQUI	LOC108080382|XP_017030596.1|DKIK
OG0001969	LOC6043784|XP_001861388.2|CQUI	LOC108076754|XP_017025240.1|DKIK
OG0001970	LOC6033499|XP_001843940.1|CQUI	LOC108076485|XP_017024862.1|DKIK
OG0001971	LOC119770383|XP_038121065.1|CQUI	LOC108082153|XP_017032943.1|DKIK
OG0001972	LOC6050813|XP_038115650.1|CQUI	LOC108072588|XP_017019284.1|DKIK
OG0001973	LOC6030808|XP_038115981.1|CQUI	LOC108076160|XP_017024375.1|DKIK
OG0001974	LOC6040965|XP_001850286.2|CQUI	LOC108076466|XP_017024840.1|DKIK
OG0001975	LOC6047202|XP_001864288.2|CQUI	LOC108075125|XP_017022897.1|DKIK
OG0001976	LOC6037093|XP_001847040.1|CQUI	LOC108072443|XP_017019060.1|DKIK
OG0001977	LOC119767020|XP_038110184.1|CQUI, LOC6032497|XP_001843086.1|CQUI	LOC108077381|XP_017026164.1|DKIK
OG0001978	LOC6034119|XP_038111127.1|CQUI	LOC108082679|XP_017033667.1|DKIK
OG0001979	LOC6046047|XP_001863303.1|CQUI	LOC108079603|XP_017029451.1|DKIK
OG0001980	LOC6048883|XP_001865727.2|CQUI	LOC108074340|XP_017021850.1|DKIK
OG0001981	LOC6041637|XP_038113783.1|CQUI	LOC108081418|XP_017032089.1|DKIK
OG0001982	LOC6046048|XP_001863304.2|CQUI	LOC108084648|XP_017036428.1|DKIK
OG0001983	LOC6037074|XP_038109968.1|CQUI	LOC108077151|XP_017025873.1|DKIK
OG0001984	LOC6043314|XP_038108458.1|CQUI	LOC108082233|XP_017033060.1|DKIK
OG0001985	LOC6041484|XP_038107733.1|CQUI	LOC108077046|XP_017025668.1|DKIK
OG0001986	LOC6039572|XP_038113369.1|CQUI	LOC108075831|XP_017023891.1|DKIK
OG0001987	LOC6033795|XP_038108902.1|CQUI, LOC6047193|XP_038106698.1|CQUI	LOC108084662|XP_017036476.1|DKIK
OG0001988	LOC6031811|XP_038108479.1|CQUI	LOC108074716|XP_017022348.1|DKIK
OG0001989	LOC6038274|XP_001848097.2|CQUI	LOC108078918|XP_017028548.1|DKIK
OG0001990	LOC6038269|XP_038107998.1|CQUI	LOC108077307|XP_017026078.1|DKIK
OG0001992	LOC6048798|XP_038109494.1|CQUI	LOC108074610|XP_017022222.1|DKIK
OG0001993	LOC6034237|XP_001844584.2|CQUI, LOC6040852|XP_001850184.1|CQUI	LOC108079977|XP_017030030.1|DKIK
OG0001994	LOC6031207|XP_001842041.2|CQUI	LOC108072992|XP_017019932.1|DKIK
OG0001995	LOC6033195|XP_001843675.2|CQUI	LOC108082686|XP_017033679.1|DKIK
OG0001996	LOC6031275|XP_038108642.1|CQUI	LOC108081354|XP_017031989.1|DKIK
OG0001997	LOC6042869|XP_001853641.1|CQUI	LOC108078336|XP_017027628.1|DKIK
OG0001998	LOC6052519|XP_038108714.1|CQUI	LOC108078297|XP_017027563.1|DKIK
OG0001999	LOC6049002|XP_038107788.1|CQUI	LOC108085136|XP_017037132.1|DKIK, LOC108085086|XP_017037044.1|DKIK
OG0002000	LOC6054187|XP_038109989.1|CQUI	LOC108079580|XP_017029414.1|DKIK
OG0002001	LOC6033119|XP_038108756.1|CQUI	LOC108082742|XP_017033740.1|DKIK
OG0002002	LOC6042111|XP_001851261.2|CQUI	LOC108082580|XP_017033526.1|DKIK
OG0002003	LOC6044259|XP_001861798.1|CQUI	LOC108075839|XP_017023908.1|DKIK
OG0002004	LOC6036173|XP_038111988.1|CQUI	LOC108085364|XP_017037424.1|DKIK
OG0002005	LOC6033275|XP_038111843.1|CQUI	LOC108075919|XP_017024042.1|DKIK
OG0002006	LOC6033224|XP_038110957.1|CQUI	LOC108082555|XP_017033496.1|DKIK
OG0002008	LOC6036447|XP_038109172.1|CQUI	LOC108074895|XP_017022607.1|DKIK
OG0002009	LOC6036465|XP_038112709.1|CQUI	LOC108076204|XP_017024427.1|DKIK
OG0002010	LOC6036482|XP_001846532.2|CQUI	LOC108076333|XP_017024609.1|DKIK
OG0002011	LOC6034391|XP_001844709.2|CQUI	LOC108072603|XP_017019313.1|DKIK
OG0002012	LOC6036347|XP_038112714.1|CQUI	LOC108081383|XP_017032029.1|DKIK
OG0002013	LOC6046639|XP_038107918.1|CQUI	LOC108082851|XP_017033913.1|DKIK
OG0002014	LOC6035997|XP_038111448.1|CQUI	LOC108078411|XP_017027756.1|DKIK
OG0002015	LOC6034825|XP_001845096.2|CQUI	LOC108079558|XP_017029386.1|DKIK
OG0002016	LOC6050974|XP_038107602.1|CQUI	LOC108078308|XP_017027589.1|DKIK
OG0002017	LOC6054171|XP_038108914.1|CQUI	LOC108077280|XP_017026047.1|DKIK
OG0002018	LOC6032135|XP_001842789.2|CQUI	LOC108082772|XP_017033794.1|DKIK
OG0002019	LOC6046126|XP_038110758.1|CQUI	LOC108076281|XP_017024550.1|DKIK
OG0002020	LOC6038005|XP_038108837.1|CQUI	LOC108082765|XP_017033781.1|DKIK
OG0002021	LOC6037998|XP_001847845.2|CQUI	LOC108082493|XP_017033401.1|DKIK
OG0002022	LOC119767624|XP_038112509.1|CQUI	LOC108081374|XP_017032017.1|DKIK
OG0002023	LOC6036020|XP_038109557.1|CQUI	LOC108080800|XP_017031180.1|DKIK
OG0002024	LOC6033634|XP_001844061.1|CQUI	LOC108076918|XP_017025450.1|DKIK
OG0002025	LOC6048337|XP_038109427.1|CQUI	LOC108082061|XP_017032828.1|DKIK
OG0002026	LOC6046087|XP_038119029.1|CQUI	LOC108080674|XP_017030996.1|DKIK
OG0002027	LOC6038993|XP_038118649.1|CQUI	LOC108078098|XP_017027181.1|DKIK
OG0002028	LOC6038987|XP_038119452.1|CQUI	LOC108076050|XP_017024218.1|DKIK, LOC108072159|XP_017018693.1|DKIK
OG0002029	LOC6044744|XP_038117028.1|CQUI	LOC108086000|XP_017038298.1|DKIK
OG0002030	LOC6036738|XP_001846737.1|CQUI	LOC108076201|XP_017024424.1|DKIK
OG0002031	LOC6034192|XP_001844547.2|CQUI	LOC108085132|XP_017037128.1|DKIK
OG0002032	LOC6047494|XP_001864549.2|CQUI	LOC108083177|XP_017034362.1|DKIK
OG0002033	LOC6033021|XP_038119287.1|CQUI	LOC108085957|XP_017038239.1|DKIK
OG0002034	LOC6033038|XP_038115410.1|CQUI	LOC108084665|XP_017036475.1|DKIK
OG0002036	LOC6050995|XP_038121187.1|CQUI	LOC108084028|XP_017035530.1|DKIK
OG0002037	LOC6046238|XP_001863465.1|CQUI	LOC108079727|XP_017029626.1|DKIK
OG0002038	LOC6048866|XP_001865713.1|CQUI	LOC108079013|XP_017028680.1|DKIK, LOC108073373|XP_017020431.1|DKIK
OG0002039	LOC6041739|XP_001850959.1|CQUI	LOC108084632|XP_017036409.1|DKIK
OG0002040	LOC6049016|XP_038115728.1|CQUI	LOC108072873|XP_017019684.1|DKIK
OG0002041	LOC6053561|XP_038121322.1|CQUI	LOC108072293|XP_017018852.1|DKIK
OG0002042	LOC6042060|XP_001851213.1|CQUI	LOC108085460|XP_017037564.1|DKIK
OG0002043	LOC6046279|XP_001863506.2|CQUI	LOC108085472|XP_017037577.1|DKIK, LOC108071062|XP_017017227.1|DKIK
OG0002044	LOC6049246|XP_038115174.1|CQUI	LOC108084210|XP_017035814.1|DKIK
OG0002045	LOC6046000|XP_038119279.1|CQUI	LOC108083174|XP_017034350.1|DKIK
OG0002046	LOC6044308|XP_038119321.1|CQUI	LOC108079961|XP_017030011.1|DKIK
OG0002047	LOC6050271|XP_038122220.1|CQUI	LOC108079211|XP_017028969.1|DKIK
OG0002048	LOC6042553|XP_038120962.1|CQUI	LOC108080447|XP_017030672.1|DKIK
OG0002049	LOC6039492|XP_038115951.1|CQUI	LOC108085687|XP_017037873.1|DKIK
OG0002050	LOC6043404|XP_038115088.1|CQUI	LOC108081042|XP_017031495.1|DKIK
OG0002051	LOC6051287|XP_038119820.1|CQUI	LOC108078149|XP_017027280.1|DKIK
OG0002053	LOC6040835|XP_038116346.1|CQUI	LOC108085453|XP_017037554.1|DKIK
OG0002054	LOC6035830|XP_001845950.2|CQUI	LOC108081176|XP_017031726.1|DKIK
OG0002055	LOC6038958|XP_038120809.1|CQUI	LOC108085636|XP_017037811.1|DKIK
OG0002056	LOC6038943|XP_038120800.1|CQUI	LOC108070471|XP_017016445.1|DKIK
OG0002057	LOC6034056|XP_038120930.1|CQUI	LOC108077078|XP_017025735.1|DKIK
OG0002058	LOC6033986|XP_001844369.2|CQUI	LOC108079068|XP_017028771.1|DKIK
OG0002059	LOC6033981|XP_038120952.1|CQUI	LOC108072019|XP_017018488.1|DKIK
OG0002060	LOC6033990|XP_038119391.1|CQUI	LOC108076496|XP_017024878.1|DKIK
OG0002061	LOC6033991|XP_001844379.1|CQUI	LOC108072174|XP_017018719.1|DKIK
OG0002062	LOC6037972|XP_038118109.1|CQUI	LOC108079941|XP_017029974.1|DKIK
OG0002063	LOC119769819|XP_038119432.1|CQUI	LOC108072456|XP_017019079.1|DKIK, LOC108083947|XP_017035440.1|DKIK
OG0002064	LOC6047178|XP_038120724.1|CQUI	LOC108081170|XP_017031715.1|DKIK, LOC108085026|XP_017036964.1|DKIK
OG0002065	LOC6046202|XP_038120624.1|CQUI	LOC108075219|XP_017023050.1|DKIK
OG0002066	LOC6039967|XP_038109379.1|CQUI	LOC108081024|XP_017031465.1|DKIK
OG0002067	LOC6044111|XP_038112191.1|CQUI	LOC108072160|XP_017018695.1|DKIK
OG0002068	LOC119766543|XP_038107216.1|CQUI	LOC108081221|XP_017031787.1|DKIK
OG0002069	LOC6041145|XP_001850445.2|CQUI	LOC108080967|XP_017031373.1|DKIK
OG0002070	LOC6041138|XP_001850438.2|CQUI	LOC108081481|XP_017032169.1|DKIK
OG0002071	LOC6036873|XP_038107719.1|CQUI	LOC108073441|XP_017020553.1|DKIK
OG0002072	LOC119767954|XP_038113954.1|CQUI, LOC119767948|XP_038113941.1|CQUI	LOC108078438|XP_017027809.1|DKIK
OG0002073	LOC6037933|XP_038116801.1|CQUI	LOC108072714|XP_017019454.1|DKIK
OG0002074	LOC6034286|XP_001844626.2|CQUI	LOC108073130|XP_017020119.1|DKIK
OG0002075	LOC6051422|XP_001867860.2|CQUI	LOC108079672|XP_017029559.1|DKIK
OG0002076	LOC6053604|XP_038109672.1|CQUI	LOC108086116|XP_017038441.1|DKIK
OG0002077	LOC6048428|XP_038107454.1|CQUI	LOC108071506|XP_017017759.1|DKIK
OG0002078	LOC6049195|XP_038108184.1|CQUI	LOC108079835|XP_017029829.1|DKIK
OG0002079	LOC6035445|XP_038113391.1|CQUI	LOC108075033|XP_017022778.1|DKIK
OG0002080	LOC6045702|XP_038109755.1|CQUI	LOC108078396|XP_017027741.1|DKIK
OG0002081	LOC6045982|XP_001863256.2|CQUI	LOC108070828|XP_017016935.1|DKIK
OG0002082	LOC6036748|XP_038113901.1|CQUI	LOC108076346|XP_017024623.1|DKIK
OG0002083	LOC6035972|XP_038107184.1|CQUI	LOC108084657|XP_017036467.1|DKIK
OG0002084	LOC6035707|XP_038108824.1|CQUI	LOC108072311|XP_017018872.1|DKIK
OG0002085	LOC6042460|XP_038114127.1|CQUI	LOC108078252|XP_017027474.1|DKIK
OG0002086	LOC6046954|XP_001864067.2|CQUI	LOC108072324|XP_017018890.1|DKIK
OG0002087	LOC6035876|XP_038112932.1|CQUI	LOC108073903|XP_017021182.1|DKIK
OG0002088	LOC6048576|XP_038109929.1|CQUI	LOC108075257|XP_017023107.1|DKIK
OG0002090	LOC6048571|XP_038112054.1|CQUI	LOC108075308|XP_017023201.1|DKIK
OG0002091	LOC6042356|XP_001851484.1|CQUI	LOC108070813|XP_017016901.1|DKIK
OG0002092	LOC6042361|XP_001851488.2|CQUI, LOC6036907|XP_038108108.1|CQUI	LOC108071500|XP_017017750.1|DKIK
OG0002093	LOC6046499|XP_038110633.1|CQUI	LOC108085206|XP_017037219.1|DKIK
OG0002094	LOC6040957|XP_038113605.1|CQUI	LOC108072046|XP_017018520.1|DKIK
OG0002095	LOC6036091|XP_001846184.1|CQUI	LOC108083413|XP_017034657.1|DKIK, LOC108080120|XP_017030240.1|DKIK
OG0002096	LOC6047564|XP_038107160.1|CQUI	LOC108076400|XP_017024728.1|DKIK
OG0002097	LOC6032274|XP_038114310.1|CQUI	LOC108078086|XP_017027163.1|DKIK
OG0002098	LOC6054484|XP_038109600.1|CQUI, LOC6050613|XP_038110230.1|CQUI	LOC108084772|XP_017036580.1|DKIK
OG0002099	LOC6052912|XP_038113126.1|CQUI	LOC108085017|XP_017036950.1|DKIK
OG0002100	LOC6037635|XP_001847522.2|CQUI, LOC6037636|XP_038113451.1|CQUI	LOC108083131|XP_017034296.1|DKIK
OG0002101	LOC6034560|XP_038108470.1|CQUI	LOC108070854|XP_017016973.1|DKIK
OG0002102	LOC6040553|XP_001849935.2|CQUI	LOC108076716|XP_017025168.1|DKIK
OG0002103	LOC6039927|XP_038104265.1|CQUI	LOC108085032|XP_017036968.1|DKIK
OG0002117	LOC6035092|XP_001845324.2|CQUI	LOC108083904|XP_017035389.1|DKIK
OG0002118	LOC6038196|XP_001848026.2|CQUI	LOC108077352|XP_017026134.1|DKIK
OG0002119	LOC6052831|XP_038104539.1|CQUI	LOC108073443|XP_017020555.1|DKIK
OG0002120	LOC6038312|XP_038104590.1|CQUI	LOC108075356|XP_017023254.1|DKIK, LOC108077525|XP_017026383.1|DKIK
OG0002121	LOC6048963|XP_038111521.1|CQUI	LOC108075729|XP_017023758.1|DKIK
OG0002123	LOC6040410|XP_038105742.1|CQUI	LOC108079612|XP_017029475.1|DKIK
OG0002124	LOC119770815|XP_038122274.1|CQUI	LOC108083366|XP_017034598.1|DKIK, LOC108077143|XP_017025850.1|DKIK
