Orthogroup	CQUI.longest_only	DMEL.longest_only
OG0001686	LOC6045350|XP_001862738.2|CQUI	CG6961|NP_573325.1|DMEL, CG18259|NP_573324.1|DMEL
OG0001687	LOC6052845|XP_001869041.1|CQUI, LOC6040466|XP_038122912.1|CQUI	l_1_sc|NP_476623.1|DMEL
OG0001688	LOC6048190|XP_001865144.2|CQUI	CG32756|NP_727053.1|DMEL, CG12728|NP_572280.2|DMEL
OG0001689	LOC6048192|XP_001865146.2|CQUI	CG15221|NP_001096957.1|DMEL
OG0001690	LOC6040726|XP_001850079.1|CQUI	mad2|NP_647991.1|DMEL
OG0001691	LOC6039041|XP_001848719.1|CQUI	TwdlE|NP_609157.3|DMEL
OG0001693	LOC6038431|XP_038122521.1|CQUI	RpS15Ab|NP_610616.1|DMEL
OG0001694	LOC6045627|XP_038105482.1|CQUI, LOC6054003|XP_038113589.1|CQUI	qin|NP_650735.3|DMEL
OG0001695	LOC6038271|XP_038107999.1|CQUI, LOC6034418|XP_001844736.1|CQUI	Eip55E|NP_611352.1|DMEL
OG0001696	LOC6034727|XP_038122578.1|CQUI	Syn|NP_731459.2|DMEL
OG0001697	LOC119765468|XP_038105276.1|CQUI	CG31109|NP_733073.1|DMEL
OG0001698	LOC6031437|XP_038105157.1|CQUI	Sdic1|NP_524670.2|DMEL, SdicC|NP_001303578.1|DMEL, Sdic4|NP_001368966.1|DMEL, Sdic2|NP_996516.1|DMEL, SdicB|NP_001303577.1|DMEL, SdicA|NP_001303576.1|DMEL, Sdic3|NP_001285483.2|DMEL, sw|NP_477075.2|DMEL
OG0001699	LOC6045521|XP_038105211.1|CQUI	hth|NP_476576.1|DMEL
OG0001700	LOC6033579|XP_001844007.2|CQUI, LOC6033580|XP_038121073.1|CQUI	CG9427|NP_649919.1|DMEL
OG0001701	LOC6039306|XP_038104058.1|CQUI	side-III|NP_001036681.1|DMEL
OG0001702	LOC6031800|XP_001842507.1|CQUI	CG5846|NP_609333.1|DMEL
OG0001703	LOC6036490|XP_001846536.2|CQUI, LOC119765219|XP_038104576.1|CQUI	CG34375|NP_001163693.1|DMEL
OG0001704	LOC6036489|XP_038105371.1|CQUI, LOC119765234|XP_038104634.1|CQUI	CG6688|NP_651110.1|DMEL
OG0001705	LOC6036505|XP_038105296.1|CQUI	Atg16|NP_001138124.2|DMEL
OG0001706	LOC6039889|XP_038104652.1|CQUI	hrm|NP_610174.1|DMEL
OG0001707	LOC6042423|XP_038104240.1|CQUI	orb|NP_524460.2|DMEL
OG0001708	LOC6039909|XP_001849407.2|CQUI	primo-1|NP_001027186.1|DMEL
OG0001709	LOC6041726|XP_038122907.1|CQUI	Claspin|NP_728981.1|DMEL
OG0001710	LOC6040133|XP_001849591.2|CQUI, LOC6040873|XP_001850203.1|CQUI	CG6656|NP_650991.1|DMEL
OG0001711	LOC119766888|XP_038109163.1|CQUI, LOC6046294|XP_038106161.1|CQUI	lqfR|NP_732736.2|DMEL
OG0001712	LOC6041358|XP_001850628.1|CQUI	Rab7|NP_524472.1|DMEL
OG0001713	LOC6035505|XP_001845679.1|CQUI	CG5214|NP_650064.1|DMEL
OG0001714	LOC6039666|XP_038122615.1|CQUI	cno|NP_524232.2|DMEL
OG0001715	LOC6048329|XP_038118337.1|CQUI, LOC6040675|XP_038122584.1|CQUI	RSG7|NP_523380.2|DMEL
OG0001716	LOC6035411|XP_001845604.1|CQUI	alpha-PheRS|NP_572448.1|DMEL
OG0001717	LOC6045596|XP_038105790.1|CQUI	Vps13B|NP_651753.2|DMEL
OG0001719	LOC6040900|XP_038104586.1|CQUI	pnt|NP_524461.2|DMEL
OG0001720	LOC6040916|XP_038104970.1|CQUI	CG14692|NP_650019.6|DMEL
OG0001721	LOC6036809|XP_001846803.2|CQUI, LOC6036808|XP_001846802.2|CQUI, LOC6036807|XP_001846801.2|CQUI	ato|NP_731223.1|DMEL
OG0001722	LOC6032833|XP_001843370.1|CQUI	Diap1|NP_524101.2|DMEL
OG0001723	LOC6050945|XP_001867458.1|CQUI	Cndp2|NP_610181.2|DMEL
OG0001724	LOC6052662|XP_038121953.1|CQUI	Sdc|NP_001163238.2|DMEL
OG0001725	LOC6041022|XP_038122386.1|CQUI	Pfk|NP_001246234.1|DMEL
OG0001726	LOC6049583|XP_038121941.1|CQUI	CG11456|NP_649265.1|DMEL
OG0001727	LOC6035294|XP_001845514.2|CQUI	CG33110|NP_788716.1|DMEL
OG0001728	LOC6049347|XP_038118815.1|CQUI	ERp60|NP_725084.2|DMEL
OG0001729	LOC6049354|XP_038118662.1|CQUI	zip|NP_523860.2|DMEL
OG0001730	LOC6041179|XP_038117743.1|CQUI, LOC6041180|XP_038117741.1|CQUI	PLCXD|NP_609541.1|DMEL
OG0001732	LOC6052396|XP_001868677.2|CQUI, LOC119767123|XP_038110744.1|CQUI, LOC6031836|XP_038117068.1|CQUI, LOC6044964|XP_001862389.2|CQUI	B9d2|NP_001188704.1|DMEL
OG0001733	LOC6043697|XP_001861323.2|CQUI	CG30392|NP_611572.2|DMEL
OG0001734	LOC6043698|XP_038117261.1|CQUI	CNT2|NP_610446.1|DMEL
OG0001735	LOC6040583|XP_001849963.2|CQUI	CG5664|NP_649314.2|DMEL
OG0001736	LOC6048738|XP_001865614.2|CQUI	CG15093|NP_611373.1|DMEL
OG0001737	LOC6037311|XP_038115534.1|CQUI	CG30183|NP_611819.2|DMEL
OG0001739	LOC6041340|XP_001850617.1|CQUI	CG14464|NP_001036466.2|DMEL
OG0001740	LOC6036294|XP_038116515.1|CQUI	Ice1|NP_611786.1|DMEL
OG0001742	LOC6036265|XP_001846332.2|CQUI	Ccs|NP_001163108.1|DMEL
OG0001743	LOC6036262|XP_038119186.1|CQUI	CG8001|NP_647657.1|DMEL
OG0001744	LOC6054588|XP_038121964.1|CQUI	l_2_01289|NP_001163065.1|DMEL
OG0001745	LOC119769222|XP_038117074.1|CQUI, LOC6038595|XP_038118253.1|CQUI, LOC6038593|XP_038118254.1|CQUI	CG42260|NP_001356969.1|DMEL
OG0001746	LOC6036558|XP_001846598.2|CQUI	CG8003|NP_648406.1|DMEL
OG0001747	LOC6036201|XP_038120017.1|CQUI	grh|NP_476845.2|DMEL
OG0001748	LOC6033564|XP_038117165.1|CQUI	mfr|NP_001137919.1|DMEL
OG0001749	LOC6036422|XP_001846474.1|CQUI	SIFa|NP_001246496.1|DMEL
OG0001750	LOC6036421|XP_038119048.1|CQUI	Start1|NP_001246495.1|DMEL
OG0001751	LOC6042855|XP_038114678.1|CQUI	blot|NP_524125.2|DMEL
OG0001752	LOC6040996|XP_038119438.1|CQUI	CG13288|NP_001261455.1|DMEL
OG0001753	LOC6054690|XP_038115069.1|CQUI, LOC6031315|XP_038115068.1|CQUI	CG42324|NP_647819.3|DMEL
OG0001754	LOC6050843|XP_001867373.2|CQUI	muskelin|NP_610801.1|DMEL
OG0001755	LOC6052250|XP_038120707.1|CQUI	CG32264|NP_728897.1|DMEL
OG0001756	LOC6053151|XP_038114960.1|CQUI	Rho1|NP_477098.1|DMEL
OG0001757	LOC6043790|XP_038121470.1|CQUI	imd|NP_573394.1|DMEL
OG0001758	LOC6043689|XP_038120429.1|CQUI	bru3|NP_001369050.1|DMEL
OG0001759	LOC6033506|XP_001843947.2|CQUI	Mtap|NP_001261049.1|DMEL
OG0001760	LOC6053983|XP_001869974.2|CQUI	Rad51D|NP_610466.2|DMEL
OG0001761	LOC6030821|XP_038116016.1|CQUI	MFS16|NP_726048.1|DMEL
OG0001762	LOC6032229|XP_038120484.1|CQUI, LOC119767059|XP_038110416.1|CQUI	AkhR|NP_995639.1|DMEL
OG0001763	LOC6042603|XP_038108791.1|CQUI	Nha1|NP_723224.2|DMEL
OG0001764	LOC6046458|XP_001863652.1|CQUI, LOC6047560|XP_001864605.2|CQUI	Dhfr|NP_001036720.1|DMEL
OG0001765	LOC6051485|XP_038107849.1|CQUI	brp|NP_001246228.1|DMEL
OG0001766	LOC6032480|XP_038113756.1|CQUI	CG17834|NP_609242.2|DMEL
OG0001767	LOC6038630|XP_038111107.1|CQUI	CG34393|NP_608753.2|DMEL
OG0001768	LOC6043200|XP_001857537.1|CQUI	RpLP1|NP_476630.1|DMEL
OG0001769	LOC6032939|XP_038112351.1|CQUI	dsf|NP_477140.1|DMEL
OG0001770	LOC6031963|XP_001842639.2|CQUI, LOC6031964|XP_001842640.2|CQUI, LOC6031965|XP_001842641.2|CQUI	SmydA-3|NP_609464.1|DMEL
OG0001771	LOC6036359|XP_001846418.2|CQUI	Thor|NP_477295.1|DMEL
OG0001772	LOC6037387|XP_001847305.2|CQUI	RnrL|NP_477027.1|DMEL
OG0001774	LOC6050045|XP_038113995.1|CQUI	egg|NP_611966.3|DMEL
OG0001776	LOC6031792|XP_001842500.2|CQUI	CG31637|NP_609043.1|DMEL
OG0001777	LOC6038084|XP_038107632.1|CQUI	chm|NP_609117.4|DMEL
OG0001778	LOC6048084|XP_038107441.1|CQUI	fzy|NP_477501.1|DMEL
OG0001779	LOC6038075|XP_038113585.1|CQUI	CG44153|NP_001097136.2|DMEL
OG0001781	LOC6041564|XP_001850809.2|CQUI	lok|NP_477219.1|DMEL
OG0001782	LOC6042229|XP_038107954.1|CQUI	CG42784|NP_001188798.2|DMEL
OG0001783	LOC6031827|XP_038111291.1|CQUI	Tsp29Fb|NP_523516.1|DMEL
OG0001784	LOC6041615|XP_038107354.1|CQUI	CG31935|NP_608608.2|DMEL
OG0001785	LOC6042128|XP_038111879.1|CQUI	Smyd4-1|NP_724802.1|DMEL
OG0001786	LOC6042125|XP_038111657.1|CQUI	CG4497|NP_609102.1|DMEL
OG0001787	LOC6040864|XP_038108373.1|CQUI	CG13784|NP_001260176.1|DMEL
OG0001789	LOC6048506|XP_001865416.1|CQUI	CG3085|NP_611752.1|DMEL
OG0001790	LOC6041779|XP_001850996.1|CQUI	CG5171|NP_001188709.1|DMEL
OG0001791	LOC6034040|XP_001844420.1|CQUI, LOC6043078|XP_038108346.1|CQUI	E_Pc_|NP_001260897.1|DMEL
OG0001792	LOC6045612|XP_038111898.1|CQUI	ham|NP_724130.4|DMEL
OG0001793	LOC6046544|XP_038112495.1|CQUI	Shrm|NP_001097307.1|DMEL
OG0001794	LOC6036321|XP_038109201.1|CQUI	cact|NP_476942.1|DMEL
OG0001795	LOC6047491|XP_038109664.1|CQUI	mtgo|NP_001137829.1|DMEL
OG0001797	LOC6047551|XP_038118672.1|CQUI, LOC6050873|XP_038122154.1|CQUI	dpr7|NP_001096850.2|DMEL
OG0001798	LOC6033088|XP_001843587.1|CQUI	robl|NP_523771.1|DMEL
OG0001799	LOC6043563|XP_001859940.2|CQUI	stg1|NP_001027082.1|DMEL, CG11566|NP_001027081.1|DMEL
OG0001800	LOC6051493|XP_038117999.1|CQUI	santa-maria|NP_723277.3|DMEL
OG0001801	LOC6049899|XP_038119313.1|CQUI	nbs|NP_651973.4|DMEL
OG0001802	LOC119770526|XP_038121485.1|CQUI, LOC6046222|XP_001863451.2|CQUI	mRpL19|NP_524284.1|DMEL
OG0001803	LOC6039393|XP_001849006.2|CQUI	CG15497|NP_650976.1|DMEL
OG0001804	LOC6053879|XP_038114581.1|CQUI	Pi4KIIalpha|NP_730944.2|DMEL
OG0001805	LOC6052240|XP_001868538.2|CQUI	Gr66a|NP_523971.3|DMEL
OG0001806	LOC6032501|XP_001843089.2|CQUI	CG5789|NP_651269.1|DMEL
OG0001808	LOC6039490|XP_038115956.1|CQUI	PGRP-LB|NP_001247052.1|DMEL
OG0001809	LOC6046894|XP_038121868.1|CQUI	slx1|NP_649484.3|DMEL
OG0001810	LOC119767837|XP_038113417.1|CQUI, LOC6048710|XP_038115683.1|CQUI, LOC6042778|XP_038119753.1|CQUI	CG31457|NP_732828.1|DMEL
OG0001811	LOC6052426|XP_038121257.1|CQUI	Optix|NP_001260793.1|DMEL
OG0001812	LOC6033997|XP_001844384.1|CQUI	ksh|NP_652499.2|DMEL
OG0001813	LOC6045837|XP_038108395.1|CQUI	Dys|NP_001036722.1|DMEL
OG0001814	LOC6042171|XP_001851318.2|CQUI	wtrw|NP_731193.1|DMEL
OG0001815	LOC6052975|XP_038122237.1|CQUI	RpL13A|NP_649560.1|DMEL
OG0001816	LOC6039946|XP_001849441.1|CQUI	Roe1|NP_610886.2|DMEL
OG0001817	LOC6033778|XP_038113959.1|CQUI	PCB|NP_724841.1|DMEL
OG0001818	LOC6031465|XP_038110900.1|CQUI, LOC6031468|XP_038106439.1|CQUI	CG42339|NP_572674.3|DMEL
OG0001819	LOC6052485|XP_038106063.1|CQUI	CG3045|NP_611646.1|DMEL
OG0001820	LOC6031908|XP_038108785.1|CQUI	CG18155|NP_996360.2|DMEL
OG0001821	LOC6045851|XP_038113040.1|CQUI	CG4781|NP_611951.1|DMEL
OG0001822	LOC6051898|XP_038107802.1|CQUI	CG13532|NP_611728.1|DMEL
OG0001823	LOC6049608|XP_001866335.2|CQUI	Sod1|NP_476735.1|DMEL
OG0001824	LOC6043663|XP_001861292.2|CQUI, LOC6043665|XP_038111105.1|CQUI	CG31937|NP_608616.2|DMEL
OG0001825	LOC6052855|XP_038109737.1|CQUI	sm|NP_001246428.1|DMEL
OG0001826	LOC6051516|XP_038113255.1|CQUI	Prosbeta5|NP_652014.1|DMEL
OG0001827	LOC6047130|XP_038111924.1|CQUI, LOC6040294|XP_038110969.1|CQUI	SmydA-6|NP_611182.1|DMEL
OG0001828	LOC6037826|XP_038114259.1|CQUI	Set2|NP_572888.2|DMEL
OG0001829	LOC6053615|XP_038114283.1|CQUI	CG8888|NP_610724.1|DMEL
OG0001830	LOC6049875|XP_001866565.2|CQUI	CG9890|NP_611750.1|DMEL
OG0001831	LOC6038352|XP_038109026.1|CQUI, LOC6038350|XP_001848165.2|CQUI	CG7402|NP_649023.1|DMEL
OG0001832	LOC6036088|XP_001846181.1|CQUI	Efr|NP_572299.1|DMEL
OG0001833	LOC6043113|XP_001855895.2|CQUI	Taldo|NP_523835.2|DMEL
OG0001848	LOC6044339|XP_038122494.1|CQUI	CG40470|NP_001036635.1|DMEL
OG0001849	LOC6044345|XP_001861875.1|CQUI	Rpt2|NP_524469.2|DMEL
OG0001850	LOC6038326|XP_038110281.1|CQUI	Sox102F|NP_001014695.1|DMEL
OG0001851	LOC6052786|XP_038111864.1|CQUI	zfh2|NP_524623.2|DMEL
OG0001852	LOC6038309|XP_038105365.1|CQUI, LOC6038308|XP_038105255.1|CQUI	trh|NP_001261207.1|DMEL
OG0001853	LOC6038307|XP_038117280.1|CQUI	scrib|NP_001163746.1|DMEL
OG0001854	LOC6041765|XP_038116879.1|CQUI	CG9123|NP_573018.1|DMEL, CG12608|NP_573019.1|DMEL
OG0001855	LOC6035157|XP_038105344.1|CQUI	Vkor|NP_001014533.1|DMEL
OG0001856	LOC6046575|XP_001863756.2|CQUI	e_r_|NP_524662.1|DMEL
OG0001857	LOC6042718|XP_001870735.2|CQUI, LOC6042721|XP_001870738.2|CQUI	mal|NP_523423.1|DMEL
OG0001858	LOC6041772|XP_038104722.1|CQUI	Ing3|NP_573316.1|DMEL
OG0001859	LOC119767634|XP_038112546.1|CQUI	CG32500|NP_728447.2|DMEL, CG32857|NP_728443.1|DMEL, CG33502|NP_996529.1|DMEL
OG0001860	LOC6047045|XP_038104177.1|CQUI, LOC6042830|XP_001870827.1|CQUI	CG13698|NP_649027.1|DMEL
OG0001861	LOC6037954|XP_038104548.1|CQUI	ball|NP_651508.1|DMEL
OG0001862	LOC6045736|XP_038105476.1|CQUI, LOC6045737|XP_001863044.2|CQUI	Cbs|NP_608424.1|DMEL
OG0001863	LOC6042593|XP_038114195.1|CQUI, LOC6045734|XP_001863041.2|CQUI	Grip91|NP_524919.2|DMEL
OG0001864	LOC6053324|XP_038105480.1|CQUI	jvl|NP_001247105.1|DMEL
OG0001865	LOC6042722|XP_001870739.2|CQUI	DENR|NP_573176.1|DMEL
OG0001866	LOC6042730|XP_038104345.1|CQUI	sim|NP_524340.2|DMEL
OG0001867	LOC6048195|XP_038116728.1|CQUI	Nedd4|NP_648993.1|DMEL
OG0001868	LOC6052598|XP_038104287.1|CQUI	clumsy|NP_001036373.1|DMEL
OG0001869	LOC6038423|XP_038105660.1|CQUI	Grik|NP_001262788.1|DMEL
OG0001870	LOC6044993|XP_001862417.2|CQUI	CG4020|NP_572276.1|DMEL
OG0001871	LOC6039039|XP_038104101.1|CQUI	PGRP-SA|NP_572727.1|DMEL
OG0001872	LOC6034331|XP_038122572.1|CQUI	CG15537|NP_001097981.1|DMEL
OG0001873	LOC6045619|XP_038104541.1|CQUI	beta-Man|NP_649436.2|DMEL
OG0001874	LOC6043591|XP_038105079.1|CQUI	bai|NP_651323.3|DMEL
OG0001875	LOC6047655|XP_038112718.1|CQUI	CG12071|NP_651832.3|DMEL
OG0001876	LOC6034410|XP_001844728.2|CQUI	Mvd|NP_573068.3|DMEL
OG0001877	LOC6034426|XP_001844744.2|CQUI	CG2662|NP_570018.1|DMEL
OG0001878	LOC6034484|XP_038114409.1|CQUI	Droj2|NP_650283.1|DMEL
OG0001879	LOC6034762|XP_038105957.1|CQUI	stac|NP_651329.4|DMEL
OG0001880	LOC6036518|XP_001846563.2|CQUI	P5cr|NP_524400.2|DMEL
OG0001881	LOC6035632|XP_038104495.1|CQUI	lbe|NP_524435.2|DMEL
OG0001882	LOC6035646|XP_001845785.2|CQUI	CG5882|NP_651540.1|DMEL
OG0001883	LOC6044618|XP_038104449.1|CQUI	Cow|NP_001262857.1|DMEL
OG0001884	LOC6035062|XP_001845298.1|CQUI	AdSS|NP_650918.1|DMEL
OG0001885	LOC119767037|XP_038110218.1|CQUI	CG6770|NP_609539.1|DMEL
OG0001886	LOC6044851|XP_001862296.1|CQUI	CG9356|NP_649889.1|DMEL
OG0001887	LOC6038584|XP_001848366.1|CQUI	ND-B14|NP_610629.1|DMEL
OG0001888	LOC6041722|XP_038122909.1|CQUI	CG12173|NP_649523.1|DMEL
OG0001889	LOC6041728|XP_001850950.2|CQUI	APC4|NP_572522.2|DMEL
OG0001890	LOC119765309|XP_038104857.1|CQUI	CG5274|NP_649222.1|DMEL
OG0001891	LOC6043184|XP_038105459.1|CQUI	Gfrl|NP_001247206.1|DMEL
OG0001892	LOC6035555|XP_001845713.2|CQUI	vtd|NP_001015132.1|DMEL
OG0001893	LOC6032693|XP_038105722.1|CQUI	DNApol-alpha73|NP_733206.3|DMEL
OG0001894	LOC6032687|XP_001843247.2|CQUI	CG30382|NP_724616.1|DMEL, Prosalpha1|NP_724614.1|DMEL
OG0001895	LOC6032626|XP_038117551.1|CQUI	Gyf|NP_001162827.1|DMEL
OG0001896	LOC6033243|XP_038122668.1|CQUI	MFS17|NP_001015096.2|DMEL
OG0001897	LOC6046290|XP_038104836.1|CQUI	tws|NP_476880.1|DMEL
OG0001898	LOC6031568|XP_001842347.2|CQUI	mh|NP_573032.1|DMEL
OG0001899	LOC6033679|XP_038122988.1|CQUI	CG7720|NP_650753.1|DMEL
OG0001900	LOC6041148|XP_038110611.1|CQUI	lush|NP_524162.1|DMEL
OG0001901	LOC6033710|XP_038105128.1|CQUI	CG31635|NP_001260135.1|DMEL
OG0001902	LOC6035419|XP_038119268.1|CQUI	Myo81F|NP_001303492.1|DMEL
OG0001905	LOC6040704|XP_001850058.2|CQUI	l_1_10Bb|NP_511117.1|DMEL
OG0001906	LOC6037489|XP_038105690.1|CQUI	Calx|NP_001247215.1|DMEL
OG0001907	LOC6038035|XP_038114494.1|CQUI	caz|NP_523365.2|DMEL
OG0001908	LOC6042396|XP_038108468.1|CQUI	HSPBAP1|NP_651581.2|DMEL
OG0001909	LOC6032044|XP_038104689.1|CQUI	Hexo2|NP_525081.1|DMEL
OG0001910	LOC6035189|XP_038105072.1|CQUI, LOC6035190|XP_001845420.2|CQUI	ohgt|NP_649973.1|DMEL
OG0001912	LOC6033909|XP_001844298.2|CQUI	CG8093|NP_611020.1|DMEL
OG0001913	LOC6033916|XP_001844305.2|CQUI, LOC6033914|XP_038109497.1|CQUI, LOC6033918|XP_001844307.2|CQUI	Lip2|NP_524667.1|DMEL
OG0001914	LOC6044843|XP_001862288.2|CQUI, LOC6033904|XP_001844293.2|CQUI	mask|NP_001247280.1|DMEL
OG0001915	LOC6032785|XP_038118978.1|CQUI	ACXD|NP_620469.2|DMEL
OG0001916	LOC6032807|XP_038118971.1|CQUI	Topors|NP_611388.1|DMEL
OG0001917	LOC6032905|XP_038116382.1|CQUI	CG8492|NP_648151.2|DMEL
OG0001918	LOC6038679|XP_001848434.2|CQUI, LOC119767328|XP_038111632.1|CQUI	CG15014|NP_647892.1|DMEL
OG0001919	LOC6041034|XP_001850345.2|CQUI	CG30467|NP_611044.1|DMEL
OG0001920	LOC6053530|XP_038119323.1|CQUI	fwd|NP_001356971.1|DMEL
OG0001921	LOC6031101|XP_001841948.2|CQUI	cbc|NP_610876.1|DMEL
OG0001922	LOC119770110|XP_038120318.1|CQUI, LOC6050944|XP_001867457.2|CQUI	asrij|NP_001261143.1|DMEL
OG0001924	LOC6047853|XP_001864856.2|CQUI	CG17691|NP_001104018.1|DMEL
OG0001925	LOC6044576|XP_001862068.2|CQUI	CG10672|NP_647946.1|DMEL
OG0001926	LOC6031058|XP_038117318.1|CQUI	ImpE1|NP_524849.2|DMEL
OG0001927	LOC6042822|XP_038119054.1|CQUI	Nup54|NP_610783.1|DMEL
OG0001928	LOC6042827|XP_001870824.2|CQUI	CG8009|NP_648400.1|DMEL
OG0001929	LOC6044582|XP_038117729.1|CQUI	Rbfox1|NP_001246707.1|DMEL
OG0001930	LOC6052394|XP_038121632.1|CQUI	GEFmeso|NP_788403.2|DMEL
OG0001932	LOC6044950|XP_038115259.1|CQUI	JIL-1|NP_648432.1|DMEL
OG0001933	LOC6051407|XP_001867852.2|CQUI	CG4866|NP_611224.1|DMEL
OG0001934	LOC119765391|XP_038105089.1|CQUI, LOC6047375|XP_001864443.2|CQUI	Gem3|NP_524019.1|DMEL
OG0001935	LOC6038818|XP_038120855.1|CQUI	l_3_72Dp|NP_730119.1|DMEL
OG0001937	LOC6042011|XP_038115412.1|CQUI	Fs|NP_652376.2|DMEL
OG0001938	LOC6044645|XP_038115793.1|CQUI	CG18335|NP_610666.1|DMEL
OG0001939	LOC6048509|XP_001865422.2|CQUI	CG15650|NP_611529.1|DMEL
OG0001940	LOC6048947|XP_001865782.2|CQUI	CG46385|NP_001356959.1|DMEL
OG0001941	LOC6036592|XP_038117237.1|CQUI	Atac3|NP_001246531.1|DMEL
OG0001942	LOC6041098|XP_038119257.1|CQUI, LOC6037316|XP_001847243.2|CQUI, LOC6041117|XP_038121399.1|CQUI	CG9447|NP_610243.4|DMEL
OG0001943	LOC119769729|XP_038119123.1|CQUI	CG13055|NP_648851.1|DMEL
OG0001944	LOC6053439|XP_001869521.2|CQUI	Mtch|NP_523869.1|DMEL
OG0001945	LOC6041342|XP_038121860.1|CQUI	Dgk|NP_724619.2|DMEL
OG0001946	LOC6050479|XP_001867082.1|CQUI	Cyt-b5|NP_610294.1|DMEL
OG0001947	LOC6050483|XP_001867086.1|CQUI	HLH54F|NP_477302.1|DMEL
OG0001948	LOC6048050|XP_038116081.1|CQUI	CG6179|NP_573288.1|DMEL
OG0001949	LOC6050155|XP_038115622.1|CQUI	Eip78C|NP_524195.2|DMEL
OG0001950	LOC6044944|XP_038114752.1|CQUI	Itpr|NP_730941.1|DMEL
OG0001951	LOC6038589|XP_038122017.1|CQUI	jbug|NP_001261140.1|DMEL
OG0001952	LOC6051573|XP_038119566.1|CQUI	TpnC41C|NP_523619.2|DMEL
OG0001953	LOC6037139|XP_001847079.2|CQUI	Oatp58Dc|NP_001097409.1|DMEL
OG0001954	LOC6036398|XP_038119152.1|CQUI	KCNQ|NP_788300.3|DMEL
OG0001955	LOC6036401|XP_001846454.2|CQUI	CG17765|NP_610592.1|DMEL
OG0001956	LOC6036547|XP_038117528.1|CQUI	nmo|NP_001356976.1|DMEL
OG0001957	LOC6036275|XP_001846341.1|CQUI	RpL29|NP_477203.1|DMEL
OG0001958	LOC6033549|XP_038117713.1|CQUI	CG30116|NP_725799.1|DMEL
OG0001959	LOC6038392|XP_001848199.2|CQUI, LOC6037710|XP_038114451.1|CQUI	Toll-9|NP_649214.1|DMEL
OG0001960	LOC6040613|XP_001849983.2|CQUI	Psa|NP_728614.1|DMEL
OG0001962	LOC6035473|XP_038120793.1|CQUI	phr|NP_523653.2|DMEL
OG0001963	LOC6033576|XP_038116392.1|CQUI	CG9706|NP_001356982.1|DMEL
OG0001964	LOC119770350|XP_038120975.1|CQUI	smid|NP_523959.2|DMEL
OG0001966	LOC6045542|XP_038120964.1|CQUI	P5cr-2|NP_650632.1|DMEL
OG0001967	LOC6037159|XP_038116491.1|CQUI	Lapsyn|NP_611561.1|DMEL
OG0001968	LOC119769837|XP_038119461.1|CQUI	NijA|NP_996040.1|DMEL
OG0001969	LOC6043784|XP_001861388.2|CQUI	Orc1|NP_477303.1|DMEL
OG0001970	LOC6033499|XP_001843940.1|CQUI	blw|NP_726243.1|DMEL
OG0001971	LOC119770383|XP_038121065.1|CQUI	CG11041|NP_611453.2|DMEL
OG0001972	LOC6050813|XP_038115650.1|CQUI	IFT20|NP_724409.3|DMEL
OG0001973	LOC6030808|XP_038115981.1|CQUI	CG43795|NP_001097435.2|DMEL
OG0001974	LOC6040965|XP_001850286.2|CQUI	Myd88|NP_610479.1|DMEL
OG0001975	LOC6047202|XP_001864288.2|CQUI	CG13806|NP_647708.1|DMEL
OG0001976	LOC6037093|XP_001847040.1|CQUI	SmD3|NP_725106.1|DMEL
OG0001977	LOC119767020|XP_038110184.1|CQUI, LOC6032497|XP_001843086.1|CQUI	cup|NP_523493.3|DMEL
OG0001978	LOC6034119|XP_038111127.1|CQUI	Arr1|NP_476681.1|DMEL
OG0001979	LOC6046047|XP_001863303.1|CQUI	Rack1|NP_477269.1|DMEL
OG0001980	LOC6048883|XP_001865727.2|CQUI	galectin|NP_608487.1|DMEL
OG0001981	LOC6041637|XP_038113783.1|CQUI	fusl|NP_608923.1|DMEL
OG0001982	LOC6046048|XP_001863304.2|CQUI	Gpb5|NP_001104335.1|DMEL
OG0001983	LOC6037074|XP_038109968.1|CQUI	AGO3|NP_001036627.2|DMEL
OG0001984	LOC6043314|XP_038108458.1|CQUI	CG9154|NP_608993.2|DMEL
OG0001985	LOC6041484|XP_038107733.1|CQUI	Apoltp|NP_995670.2|DMEL
OG0001986	LOC6039572|XP_038113369.1|CQUI	TTLL3A|NP_609069.1|DMEL
OG0001987	LOC6033795|XP_038108902.1|CQUI, LOC6047193|XP_038106698.1|CQUI	su_sable_|NP_476754.1|DMEL
OG0001988	LOC6031811|XP_038108479.1|CQUI	EDTP|NP_995873.2|DMEL
OG0001989	LOC6038274|XP_001848097.2|CQUI	Gr21a|NP_001259841.1|DMEL
OG0001990	LOC6038269|XP_038107998.1|CQUI	loh|NP_609406.2|DMEL
OG0001991	LOC6045657|XP_038110933.1|CQUI	DIP-lambda|NP_001334747.1|DMEL
OG0001992	LOC6048798|XP_038109494.1|CQUI	CG31760|NP_723730.2|DMEL
OG0001993	LOC6034237|XP_001844584.2|CQUI, LOC6040852|XP_001850184.1|CQUI	Sec61alpha|NP_609034.1|DMEL
OG0001994	LOC6031207|XP_001842041.2|CQUI	TFAM|NP_732527.1|DMEL
OG0001995	LOC6033195|XP_001843675.2|CQUI	CG10194|NP_609973.1|DMEL
OG0001996	LOC6031275|XP_038108642.1|CQUI	nompC|NP_523483.2|DMEL
OG0001997	LOC6042869|XP_001853641.1|CQUI	CG3894|NP_611963.5|DMEL
OG0001998	LOC6052519|XP_038108714.1|CQUI	Eps-15|NP_611965.2|DMEL
