Orthogroup	CQUI.longest_only	DVIR.longest_only
OG0000787	LOC6035614|XP_001845763.1|CQUI	LOC6622513|XP_002046994.2|DVIR
OG0000788	LOC6045925|XP_001863200.1|CQUI	LOC6624637|XP_002046647.1|DVIR
OG0000789	LOC6047537|XP_001864587.2|CQUI	LOC6627990|XP_002051427.2|DVIR, LOC6627989|XP_002051426.1|DVIR
OG0000790	LOC119767740|XP_038113035.1|CQUI	LOC6635654|XP_032294677.1|DVIR, LOC6635655|XP_002059123.1|DVIR
OG0000791	LOC6036471|XP_001846521.1|CQUI	LOC6632559|XP_032288733.1|DVIR
OG0000792	LOC119767396|XP_038111828.1|CQUI, LOC6046623|XP_001863795.2|CQUI	LOC6627625|XP_002051716.3|DVIR
OG0000793	LOC6046063|XP_001863318.1|CQUI	LOC6632500|XP_002056518.1|DVIR
OG0000794	LOC6050901|XP_001867420.2|CQUI, LOC6050899|XP_001867422.2|CQUI	LOC6634590|XP_002058091.1|DVIR
OG0000795	LOC6034049|XP_001844428.2|CQUI	LOC6636118|XP_002059619.1|DVIR, LOC6632943|XP_002056766.2|DVIR
OG0000796	LOC6036713|XP_001846717.2|CQUI	LOC6629888|XP_002054548.2|DVIR, LOC6634547|XP_002058291.1|DVIR
OG0000797	LOC6037066|XP_001847023.1|CQUI, LOC6046197|XP_001863428.1|CQUI	LOC6632762|XP_002056367.1|DVIR
OG0000798	LOC6052446|XP_038107346.1|CQUI	LOC6635331|XP_015024688.1|DVIR
OG0000799	LOC6054174|XP_038108545.1|CQUI	LOC6633238|XP_015025714.1|DVIR
OG0000801	LOC6046949|XP_001864068.1|CQUI	LOC6625941|XP_002049052.2|DVIR, LOC6626481|XP_002049075.1|DVIR
OG0000802	LOC6040365|XP_001849765.2|CQUI, LOC6051527|XP_038106125.1|CQUI, LOC6040366|XP_038110323.1|CQUI	LOC6633657|XP_032288959.1|DVIR
OG0000803	LOC6036009|XP_001846113.1|CQUI	LOC6629240|XP_002052616.1|DVIR, LOC6623371|XP_002047771.1|DVIR
OG0000811	LOC6032795|XP_001843334.2|CQUI	LOC6630874|XP_015027648.1|DVIR, LOC6636321|XP_032292056.1|DVIR
OG0000812	LOC6031005|XP_038117373.1|CQUI	LOC6632156|XP_032295603.1|DVIR
OG0000813	LOC6036541|XP_001846586.2|CQUI	LOC6628191|XP_032294235.1|DVIR
OG0000814	LOC6042898|XP_038118763.1|CQUI	LOC6627699|XP_002052259.1|DVIR
OG0000815	LOC6031268|XP_038112299.1|CQUI, LOC6031267|XP_001842093.2|CQUI, LOC119766437|XP_038106914.1|CQUI, LOC6031271|XP_038111478.1|CQUI, LOC6031270|XP_038110981.1|CQUI	LOC6628125|XP_002052925.1|DVIR
OG0000816	LOC6036458|XP_001846508.1|CQUI	LOC6632530|XP_002056428.1|DVIR
OG0000817	LOC6041737|XP_001850957.1|CQUI	LOC6630257|XP_002053416.1|DVIR, LOC116650677|XP_032290910.1|DVIR
OG0000819	LOC6051147|XP_038117088.1|CQUI	LOC6633477|XP_032296620.1|DVIR, LOC6633480|XP_002056989.3|DVIR
OG0000820	LOC6038086|XP_038108938.1|CQUI	LOC6634671|XP_002057987.1|DVIR, LOC6625568|XP_002050047.2|DVIR
OG0000821	LOC6036623|XP_001846651.2|CQUI	LOC6632416|XP_032289668.1|DVIR, LOC6626058|XP_002049613.2|DVIR
OG0000822	LOC6036736|XP_001846735.2|CQUI	LOC6634306|XP_002057557.1|DVIR
OG0000830	LOC6040678|XP_001850034.1|CQUI, LOC6040677|XP_001850032.1|CQUI, LOC6040679|XP_001850033.2|CQUI	LOC6634421|XP_015025047.1|DVIR
OG0000831	LOC6032985|XP_038104688.1|CQUI, LOC6032982|XP_001843494.2|CQUI, LOC6039734|XP_001849286.2|CQUI	LOC6625241|XP_002049487.2|DVIR
OG0000832	LOC6038039|XP_001847884.1|CQUI	LOC6626534|XP_002050658.1|DVIR, LOC6629184|XP_002051589.2|DVIR
OG0000833	LOC119770850|XP_038122366.1|CQUI, LOC6043801|XP_038117043.1|CQUI	LOC6624444|XP_032291098.1|DVIR
OG0000834	LOC6049792|XP_001866498.2|CQUI	LOC6633028|XP_002055945.2|DVIR, LOC6633027|XP_002055944.1|DVIR
OG0000836	LOC6033191|XP_038110903.1|CQUI	LOC6628158|XP_002052413.2|DVIR
OG0000837	LOC6046885|XP_038117989.1|CQUI	LOC6633566|XP_032295812.1|DVIR
OG0000838	LOC6039707|XP_001849263.2|CQUI	LOC26530689|XP_015028840.1|DVIR, LOC26530375|XP_015028809.1|DVIR
OG0000839	LOC6032544|XP_001843124.2|CQUI	LOC6632399|XP_002056616.1|DVIR, LOC6630190|XP_002053259.2|DVIR
OG0000840	LOC6033814|XP_001844211.2|CQUI	LOC6633792|XP_002057312.1|DVIR, LOC6634616|XP_002058101.1|DVIR
OG0000841	LOC6043584|XP_038118851.1|CQUI	LOC6630870|XP_032295039.1|DVIR
OG0000842	LOC6052627|XP_038111165.1|CQUI	LOC6629993|XP_002054175.1|DVIR
OG0000843	LOC6052901|XP_001869081.2|CQUI	LOC6625440|XP_002049976.1|DVIR
OG0000844	LOC6040955|XP_038108140.1|CQUI	LOC6630708|XP_015026868.1|DVIR
OG0000845	LOC119769629|XP_038118744.1|CQUI, LOC6040642|XP_001850007.2|CQUI	LOC6633786|XP_002056958.1|DVIR
OG0000854	LOC6041770|XP_001850988.2|CQUI	LOC6636018|XP_002059542.2|DVIR
OG0000855	LOC6040439|XP_038111121.1|CQUI	LOC6634688|XP_015024995.1|DVIR
OG0000856	LOC6042751|XP_038104746.1|CQUI	LOC6623955|XP_032291091.1|DVIR
OG0000857	LOC6045738|XP_038104079.1|CQUI, LOC6045740|XP_001863047.2|CQUI, LOC6048852|XP_001865699.1|CQUI, LOC6052371|XP_001868657.2|CQUI	LOC6632157|XP_002055766.2|DVIR
OG0000858	LOC6033717|XP_001844137.2|CQUI	LOC6632372|XP_002056202.1|DVIR
OG0000860	LOC6032867|XP_038115886.1|CQUI	LOC6623143|XP_032291446.1|DVIR
OG0000861	LOC6037309|XP_001847235.1|CQUI	LOC6626039|XP_002050806.1|DVIR, LOC6625578|XP_032292032.1|DVIR
OG0000862	LOC6043976|XP_001861556.2|CQUI	LOC6625963|XP_002050957.1|DVIR
OG0000863	LOC6044024|XP_038115592.1|CQUI	LOC6629942|XP_002054370.1|DVIR, LOC26530889|XP_032290605.1|DVIR, LOC6627133|XP_002048951.1|DVIR
OG0000864	LOC6041419|XP_038113943.1|CQUI	LOC6634177|XP_002057435.1|DVIR, LOC6633274|XP_015025672.1|DVIR
OG0000865	LOC6032934|XP_038112958.1|CQUI	LOC6631823|XP_002055195.1|DVIR, LOC6633000|XP_002056358.2|DVIR
OG0000866	LOC6041493|XP_038110702.1|CQUI	LOC6627533|XP_015028233.1|DVIR
OG0000867	LOC6050061|XP_001866728.2|CQUI	LOC6628571|XP_002051522.2|DVIR, LOC6633885|XP_002057418.1|DVIR
OG0000868	LOC6037576|XP_001847472.2|CQUI, LOC6038283|XP_038112513.1|CQUI	LOC6634452|XP_032296283.1|DVIR
OG0000869	LOC119767364|XP_038111763.1|CQUI	LOC6632268|XP_002056396.1|DVIR, LOC6632266|XP_002056394.1|DVIR, LOC6632271|XP_002056399.1|DVIR, LOC6632267|XP_002056395.1|DVIR, LOC6632332|XP_002056392.1|DVIR, LOC6637140|XP_032289696.1|DVIR, LOC6632331|XP_002056391.2|DVIR, LOC6632269|XP_002056397.1|DVIR, LOC6632272|XP_002056400.1|DVIR, LOC6632333|XP_002056393.1|DVIR
OG0000871	LOC6038540|XP_001848327.2|CQUI, LOC6038577|XP_038106280.1|CQUI, LOC6038538|XP_001848325.2|CQUI	LOC6625147|XP_002049556.1|DVIR
OG0000872	LOC6038131|XP_001847929.1|CQUI	LOC6631325|XP_002055783.1|DVIR, LOC6626143|XP_002050008.1|DVIR
OG0000873	LOC6047243|XP_001864326.2|CQUI, LOC6038744|XP_038111904.1|CQUI, LOC6036763|XP_038106219.1|CQUI	LOC6622111|XP_015031357.1|DVIR
OG0000874	LOC6037196|XP_038109655.1|CQUI	LOC6631717|XP_002055159.1|DVIR, LOC6625497|XP_002049014.1|DVIR
OG0000875	LOC6040537|XP_038110191.1|CQUI	LOC6629953|XP_002053611.1|DVIR, LOC6633836|XP_002057047.1|DVIR, LOC6633835|XP_002057046.1|DVIR, LOC6622785|XP_002048011.1|DVIR
OG0000882	LOC6051045|XP_038104452.1|CQUI	LOC26530844|XP_015026764.1|DVIR, LOC6628029|XP_002052906.1|DVIR
OG0000885	LOC6048168|XP_001865124.1|CQUI, LOC6048169|XP_001865125.1|CQUI, LOC6048170|XP_001865126.1|CQUI	LOC6630753|XP_015026921.1|DVIR
OG0000887	LOC6052421|XP_038120936.1|CQUI, LOC6052420|XP_038121806.1|CQUI, LOC6039002|XP_001848684.2|CQUI	LOC6634450|XP_032296288.1|DVIR
OG0000888	LOC6036591|XP_038115396.1|CQUI, LOC6036581|XP_038118642.1|CQUI	LOC6636828|XP_002060318.2|DVIR, LOC116650251|XP_032289385.1|DVIR, LOC6631185|XP_002053240.1|DVIR
OG0000889	LOC6033544|XP_001843978.2|CQUI	LOC6622341|XP_002047922.1|DVIR
OG0000890	LOC6043796|XP_001861395.2|CQUI	LOC6625601|XP_002050261.2|DVIR
OG0000891	LOC6041067|XP_038111593.1|CQUI	LOC6628951|XP_002052354.1|DVIR
OG0000892	LOC6041555|XP_001850801.2|CQUI	LOC6624054|XP_015030510.1|DVIR
OG0000893	LOC6034999|XP_001845244.2|CQUI, LOC6034994|XP_038116648.1|CQUI, LOC6034998|XP_038115749.1|CQUI, LOC6034997|XP_038115753.1|CQUI, LOC6034995|XP_001845241.2|CQUI, LOC119768921|XP_038116647.1|CQUI, LOC119768764|XP_038115747.1|CQUI, LOC119768763|XP_038115744.1|CQUI, LOC119768765|XP_038115748.1|CQUI	LOC6632284|XP_002056422.2|DVIR
OG0000894	LOC6043434|XP_001859054.2|CQUI	LOC6633189|XP_015025780.1|DVIR, LOC6630703|XP_002054643.1|DVIR
OG0000895	LOC6050900|XP_001867421.2|CQUI	LOC6626507|XP_002050206.2|DVIR, LOC6637024|XP_002060449.3|DVIR, LOC6626508|XP_002050207.1|DVIR
OG0000896	LOC6048670|XP_038107984.1|CQUI	LOC6633307|XP_002057406.2|DVIR
OG0000907	LOC6052354|XP_001868642.2|CQUI	LOC6625441|XP_002049977.1|DVIR
OG0000909	LOC6039203|XP_038105481.1|CQUI	LOC6630227|XP_032295014.1|DVIR
OG0000910	LOC6034092|XP_038116190.1|CQUI	LOC6636138|XP_032296077.1|DVIR, LOC6633132|XP_015025958.1|DVIR
OG0000911	LOC6033485|XP_001843927.2|CQUI	LOC6625813|XP_002050595.1|DVIR
OG0000912	LOC6033531|XP_001843968.1|CQUI, LOC6033530|XP_001843967.1|CQUI	LOC6622240|XP_002048678.1|DVIR
OG0000914	LOC6032957|XP_001843473.2|CQUI, LOC6032960|XP_001843476.1|CQUI, LOC6032959|XP_001843475.1|CQUI, LOC6042107|XP_001851258.1|CQUI	LOC6625634|XP_002050759.1|DVIR
OG0000915	LOC6049126|XP_038107760.1|CQUI	LOC6624907|XP_002050220.1|DVIR
OG0000916	LOC6044540|XP_038107414.1|CQUI, LOC6044537|XP_038109271.1|CQUI	LOC6628383|XP_015028628.1|DVIR
OG0000917	LOC6036130|XP_038112959.1|CQUI	LOC116650092|XP_032289321.1|DVIR, LOC26531740|XP_032289056.1|DVIR, LOC6636301|XP_032289055.1|DVIR, LOC6628562|XP_032294275.1|DVIR
OG0000918	LOC6053853|XP_038107451.1|CQUI	LOC6633907|XP_002057600.2|DVIR
OG0000920	LOC6037854|XP_038106185.1|CQUI, LOC119766065|XP_038106368.1|CQUI, LOC6037857|XP_001847730.2|CQUI, LOC6037858|XP_038106186.1|CQUI, LOC119765965|XP_038106190.1|CQUI, LOC119765963|XP_038106188.1|CQUI, LOC119765964|XP_038106189.1|CQUI, LOC6039737|XP_001849288.1|CQUI	LOC6631868|XP_002055729.1|DVIR
OG0000921	LOC119770129|XP_038120407.1|CQUI, LOC6032513|XP_038120403.1|CQUI	LOC6633285|XP_032296543.1|DVIR
OG0000922	LOC6035826|XP_001845946.2|CQUI	LOC6624203|XP_002046311.1|DVIR
OG0000923	LOC6039960|XP_001849453.1|CQUI	LOC6633149|XP_032289546.1|DVIR
OG0000924	LOC6052729|XP_038108922.1|CQUI	LOC6634642|XP_032296402.1|DVIR
OG0000925	LOC6037245|XP_038114185.1|CQUI, LOC6037244|XP_001847173.1|CQUI	LOC6629469|XP_002054084.1|DVIR, LOC6629470|XP_002054085.1|DVIR
OG0000935	LOC6041293|XP_038115420.1|CQUI	LOC6629935|XP_032295282.1|DVIR
OG0000936	LOC6044999|XP_001862423.1|CQUI	LOC26531850|XP_015027951.1|DVIR
OG0000937	LOC6047549|XP_038122304.1|CQUI, LOC6038645|XP_038109622.1|CQUI	LOC6630245|XP_032291170.1|DVIR
OG0000938	LOC6041884|XP_001851080.1|CQUI	LOC6634443|XP_002058058.2|DVIR
OG0000939	LOC6044428|XP_001861946.1|CQUI	LOC6628877|XP_002051657.1|DVIR
OG0000941	LOC6049171|XP_001865978.1|CQUI	LOC6632210|XP_032295832.1|DVIR, LOC26530762|XP_015028854.1|DVIR
OG0000942	LOC6050303|XP_001866931.2|CQUI	LOC6622183|XP_002048272.2|DVIR
OG0000943	LOC6036204|XP_038120020.1|CQUI	LOC6625103|XP_032291712.1|DVIR, LOC26531691|XP_032293157.1|DVIR
OG0000944	LOC6038238|XP_038118238.1|CQUI	LOC6631350|XP_002054991.1|DVIR, LOC6629350|XP_002053266.1|DVIR
OG0000945	LOC6040018|XP_001849494.2|CQUI	LOC116650756|XP_032291321.1|DVIR, LOC6622580|XP_002046437.1|DVIR
OG0000946	LOC6044471|XP_038106712.1|CQUI, LOC6041548|XP_038107584.1|CQUI	LOC6628668|XP_002051824.1|DVIR
OG0000947	LOC6034360|XP_001844678.1|CQUI, LOC6034379|XP_038109332.1|CQUI, LOC6034378|XP_038109331.1|CQUI, LOC6034359|XP_001844677.2|CQUI	LOC6625546|XP_002049981.1|DVIR
OG0000948	LOC6048908|XP_001865747.2|CQUI	LOC6623734|XP_002046831.1|DVIR, LOC6637061|XP_002060479.2|DVIR
OG0000949	LOC6033022|XP_038115508.1|CQUI	LOC6633358|XP_002056982.2|DVIR
OG0000949	LOC6033023|XP_038115510.1|CQUI	LOC6633356|XP_015025630.1|DVIR
OG0000950	LOC6046062|XP_001863317.2|CQUI	LOC116649735|XP_032296341.1|DVIR, LOC6634491|XP_002058229.2|DVIR, LOC6632489|XP_015026143.1|DVIR
OG0000951	LOC119769688|XP_038118996.1|CQUI, LOC6039379|XP_038121296.1|CQUI	LOC6629850|XP_002054471.1|DVIR, LOC6633470|XP_002057061.1|DVIR
OG0000952	LOC119770231|XP_038120613.1|CQUI	LOC6628104|XP_002052009.2|DVIR
OG0000963	LOC119765405|XP_038105122.1|CQUI, LOC6052738|XP_001868962.2|CQUI, LOC6052742|XP_001868961.1|CQUI, LOC6052739|XP_001868963.1|CQUI	LOC6635434|XP_002059070.1|DVIR
OG0000964	LOC6047021|XP_038104314.1|CQUI, LOC6032708|XP_001843260.2|CQUI	LOC6625956|XP_002049587.1|DVIR
OG0000965	LOC6039055|XP_001848733.2|CQUI	LOC6636029|XP_002059634.1|DVIR
OG0000966	LOC6034419|XP_038105028.1|CQUI	LOC6624790|XP_002049341.2|DVIR
OG0000969	LOC6043792|XP_001861393.1|CQUI	LOC6626177|XP_002050162.1|DVIR
OG0000970	LOC6033272|XP_001843743.2|CQUI	LOC6633180|XP_002055968.1|DVIR
OG0000971	LOC6036039|XP_001846141.1|CQUI, LOC6040867|XP_001850197.1|CQUI	LOC6629045|XP_002052191.2|DVIR
OG0000972	LOC6031858|XP_038113015.1|CQUI	LOC6624445|XP_002046535.1|DVIR
OG0000973	LOC119766829|XP_038108809.1|CQUI, LOC6034199|XP_038108806.1|CQUI, LOC6047448|XP_038120387.1|CQUI	LOC6635438|XP_032295624.1|DVIR
OG0000974	LOC6049993|XP_038116186.1|CQUI, LOC6049992|XP_038116176.1|CQUI, LOC6049994|XP_038116185.1|CQUI, LOC6049990|XP_001866665.1|CQUI	LOC6623372|XP_002047777.1|DVIR
OG0000975	LOC6046902|XP_001864030.2|CQUI	LOC6632293|XP_002056735.3|DVIR
OG0000977	LOC6053094|XP_038112904.1|CQUI	LOC116651608|XP_032294243.1|DVIR, LOC6630275|XP_032294020.1|DVIR
OG0000978	LOC6051170|XP_038108380.1|CQUI	LOC6630415|XP_002053290.1|DVIR
OG0000988	LOC6042735|XP_001870746.2|CQUI	LOC6625619|XP_032293310.1|DVIR, LOC6633589|XP_015025696.1|DVIR, LOC6633210|XP_002055975.1|DVIR, LOC6627863|XP_015028725.1|DVIR
OG0000990	LOC119767687|XP_038112787.1|CQUI	LOC116652292|XP_032296491.1|DVIR, LOC6634419|XP_002058225.1|DVIR
OG0000991	LOC6040891|XP_038105368.1|CQUI, LOC6042501|XP_038104580.1|CQUI	LOC6631787|XP_032295461.1|DVIR
OG0000992	LOC6042422|XP_001851542.2|CQUI	LOC6631174|XP_002054304.1|DVIR
OG0000994	LOC6045591|XP_001862932.2|CQUI	LOC6634086|XP_002057506.1|DVIR
OG0000994	LOC6045593|XP_001862934.2|CQUI	LOC6633639|XP_002056833.1|DVIR
OG0000995	LOC6041608|XP_001850846.1|CQUI	LOC116651825|XP_032294795.1|DVIR, LOC6631774|XP_002055182.1|DVIR
OG0000996	LOC6030996|XP_001841849.2|CQUI, LOC119769660|XP_038118872.1|CQUI	LOC6635431|XP_002059067.1|DVIR, LOC6635959|XP_015024279.1|DVIR
OG0000997	LOC6052525|XP_038120680.1|CQUI	LOC6626261|XP_002048774.3|DVIR, LOC6626262|XP_032291610.1|DVIR
OG0000998	LOC6047261|XP_001864343.2|CQUI, LOC6047263|XP_038117138.1|CQUI, LOC6047258|XP_038118868.1|CQUI	LOC6624648|XP_032290195.1|DVIR
OG0000999	LOC6036403|XP_001846456.1|CQUI	LOC6636087|XP_002059618.1|DVIR
OG0001000	LOC6032922|XP_038108749.1|CQUI	LOC6625993|XP_002050016.2|DVIR
OG0001002	LOC6031176|XP_001842019.1|CQUI, LOC6031178|XP_038111945.1|CQUI, LOC6031180|XP_038106920.1|CQUI	LOC6628652|XP_015028543.1|DVIR
OG0001003	LOC6040169|XP_001849620.1|CQUI	LOC6629305|XP_032288771.1|DVIR
OG0001004	LOC6038961|XP_001848650.1|CQUI	LOC6630123|XP_002053394.1|DVIR
OG0001005	LOC6047963|XP_038122308.1|CQUI	LOC6633514|XP_015025685.1|DVIR
OG0001006	LOC6032307|XP_001842939.1|CQUI	LOC6624367|XP_002047642.1|DVIR
OG0001007	LOC6032328|XP_001842958.1|CQUI	LOC6636203|XP_002059693.1|DVIR, LOC6622784|XP_002046475.1|DVIR
OG0001008	LOC6054260|XP_001870205.2|CQUI	LOC6636669|XP_002060147.1|DVIR
OG0001009	LOC6038900|XP_001848599.2|CQUI	LOC6630937|XP_002053490.1|DVIR
OG0001019	LOC6052564|XP_001868810.2|CQUI	LOC6630451|XP_002053912.2|DVIR
OG0001020	LOC6047041|XP_001864149.2|CQUI, LOC6047042|XP_038104222.1|CQUI, LOC6047044|XP_001864152.2|CQUI, LOC6047043|XP_001864151.2|CQUI	LOC6632054|XP_002055107.2|DVIR
OG0001021	LOC6050121|XP_038116561.1|CQUI, LOC6050119|XP_038116583.1|CQUI, LOC119768888|XP_038116570.1|CQUI, LOC6043753|XP_038110404.1|CQUI	LOC6627907|XP_002051400.1|DVIR
OG0001022	LOC6034409|XP_001844727.1|CQUI	LOC6636715|XP_002060188.2|DVIR
OG0001024	LOC6034941|XP_001845202.2|CQUI, LOC6048000|XP_001864975.2|CQUI	LOC6630574|XP_032294346.1|DVIR
OG0001025	LOC6044075|XP_038116060.1|CQUI	LOC6623286|XP_002046728.1|DVIR
OG0001026	LOC6037044|XP_001847005.2|CQUI, LOC6037036|XP_001846998.2|CQUI	LOC6623761|XP_002047354.1|DVIR, LOC6625057|XP_002050591.2|DVIR
OG0001027	LOC6036423|XP_001846475.1|CQUI, LOC6036424|XP_038121459.1|CQUI	LOC6622884|XP_015031437.1|DVIR
OG0001028	LOC6053346|XP_001869449.2|CQUI, LOC119769210|XP_038117057.1|CQUI, LOC6031308|XP_001842125.1|CQUI	LOC6627398|XP_002052150.1|DVIR
OG0001029	LOC6032857|XP_038119110.1|CQUI, LOC6050363|XP_038106167.1|CQUI, LOC119770391|XP_038121084.1|CQUI, LOC119769344|XP_038117302.1|CQUI, LOC119767080|XP_038110521.1|CQUI	LOC6635696|XP_002059269.1|DVIR
OG0001031	LOC6038935|XP_038109238.1|CQUI	LOC6627800|XP_032293533.1|DVIR
OG0001032	LOC6035231|XP_001845460.2|CQUI	LOC6629006|XP_015028159.1|DVIR
OG0001033	LOC6036914|XP_038107537.1|CQUI	LOC6626211|XP_032292001.1|DVIR, LOC6625177|XP_002049251.2|DVIR
OG0001042	LOC6051046|XP_038122684.1|CQUI, LOC6053042|XP_038105133.1|CQUI, LOC6053041|XP_038122772.1|CQUI	LOC6630467|XP_002054103.1|DVIR
OG0001043	LOC6034458|XP_001844771.2|CQUI, LOC6034459|XP_001844772.1|CQUI	LOC116651817|XP_032294780.1|DVIR, LOC6631776|XP_002055184.1|DVIR, LOC6634126|XP_002057727.1|DVIR
OG0001044	LOC6033008|XP_001843518.2|CQUI, LOC6030844|XP_038115176.1|CQUI, LOC119767848|XP_038113446.1|CQUI, LOC6052536|XP_001868789.2|CQUI	LOC6626377|XP_002050354.1|DVIR
OG0001045	LOC6049796|XP_001866502.2|CQUI, LOC6046964|XP_001864077.2|CQUI, LOC6049795|XP_001866501.2|CQUI, LOC6040700|XP_001850055.1|CQUI	LOC6625875|XP_032292732.1|DVIR
OG0001046	LOC6037425|XP_001847339.1|CQUI	LOC6625276|XP_002049861.2|DVIR
OG0001047	LOC6052938|XP_001869113.1|CQUI	LOC6627141|XP_032293161.1|DVIR, LOC6635343|XP_002058870.1|DVIR
OG0001048	LOC6030972|XP_001841824.2|CQUI, LOC6037859|XP_038106191.1|CQUI, LOC6036643|XP_038113731.1|CQUI	LOC6627020|XP_002049730.2|DVIR
OG0001049	LOC6043980|XP_038117725.1|CQUI	LOC6628822|XP_002052587.3|DVIR, LOC6636597|XP_015023830.1|DVIR
OG0001050	LOC6033574|XP_038117779.1|CQUI	LOC6622895|XP_002046500.2|DVIR
OG0001051	LOC6044460|XP_038112405.1|CQUI	LOC116649777|XP_032293688.1|DVIR
OG0001052	LOC6034904|XP_038107542.1|CQUI	LOC6628907|XP_032293406.1|DVIR
OG0001053	LOC6040511|XP_038120753.1|CQUI	LOC6633376|XP_002057329.3|DVIR
OG0001054	LOC6046359|XP_001863576.2|CQUI	LOC6635135|XP_002058374.1|DVIR
OG0001055	LOC6046753|XP_038118273.1|CQUI	LOC116650339|XP_032289626.1|DVIR, LOC6632772|XP_032289625.1|DVIR
OG0001056	LOC6034033|XP_038120245.1|CQUI	LOC6634767|XP_002058006.2|DVIR
OG0001057	LOC6039782|XP_001849304.1|CQUI	LOC6634108|XP_002057876.1|DVIR
OG0001058	LOC6031449|XP_038109731.1|CQUI	LOC6633332|XP_032288937.1|DVIR
OG0001073	LOC6040802|XP_038122600.1|CQUI	LOC6631108|XP_032294775.1|DVIR
OG0001074	LOC6040958|XP_001850279.1|CQUI	LOC6625756|XP_002048722.1|DVIR
OG0001077	LOC6037330|XP_001847254.1|CQUI	LOC6636762|XP_002060214.1|DVIR
OG0001078	LOC6032040|XP_001842707.2|CQUI, LOC6048058|XP_001865029.2|CQUI	LOC6631344|XP_002055781.1|DVIR
OG0001079	LOC6051664|XP_001868064.2|CQUI	LOC6623691|XP_002046332.3|DVIR
OG0001080	LOC6041053|XP_001850364.2|CQUI	LOC6622805|XP_002047052.1|DVIR
OG0001081	LOC6041039|XP_001850350.2|CQUI, LOC6042831|XP_001870828.1|CQUI	LOC6626019|XP_002050434.1|DVIR, LOC6625716|XP_002051048.1|DVIR
OG0001082	LOC6043330|XP_038119590.1|CQUI	LOC6635821|XP_032292116.1|DVIR
OG0001083	LOC6031062|XP_038119861.1|CQUI	LOC6624556|XP_002046600.1|DVIR
OG0001084	LOC6042294|XP_038114789.1|CQUI, LOC6047368|XP_038115486.1|CQUI	LOC6625770|XP_032291601.1|DVIR
OG0001085	LOC6042005|XP_038115817.1|CQUI	LOC6635877|XP_032292195.1|DVIR
OG0001086	LOC6036258|XP_001846326.2|CQUI	LOC6627259|XP_002049915.1|DVIR
OG0001088	LOC6040518|XP_001849904.2|CQUI, LOC6033568|XP_038117163.1|CQUI, LOC6049750|XP_038119401.1|CQUI	LOC6623616|XP_032290761.1|DVIR
OG0001089	LOC6037275|XP_038117998.1|CQUI	LOC6622218|XP_002046343.1|DVIR
OG0001090	LOC6034576|XP_038120156.1|CQUI, LOC6034579|XP_038120153.1|CQUI, LOC6034580|XP_038120154.1|CQUI	LOC6624624|XP_002046559.3|DVIR
OG0001091	LOC6030795|XP_001841707.2|CQUI, LOC6030816|XP_001841702.2|CQUI, LOC6030812|XP_001841704.2|CQUI, LOC119770851|XP_038122367.1|CQUI, LOC6030822|XP_001841703.2|CQUI, LOC6030813|XP_001841708.2|CQUI	LOC6623214|XP_002047769.1|DVIR
OG0001092	LOC6036149|XP_038109368.1|CQUI	LOC6628514|XP_002051500.1|DVIR
OG0001093	LOC6036146|XP_001846236.2|CQUI	LOC6634159|XP_002057526.2|DVIR
OG0001094	LOC6031336|XP_038112557.1|CQUI	LOC6634095|XP_032289030.1|DVIR, LOC6634092|XP_032289019.1|DVIR
OG0001095	LOC6049911|XP_001866601.1|CQUI, LOC6049910|XP_038111983.1|CQUI, LOC6049913|XP_001866603.1|CQUI	LOC6623490|XP_002047330.2|DVIR
OG0001096	LOC6031955|XP_038113300.1|CQUI, LOC6031954|XP_038108739.1|CQUI	LOC6627902|XP_002051816.2|DVIR
OG0001097	LOC6031863|XP_038109276.1|CQUI	LOC6629055|XP_015028704.1|DVIR
OG0001099	LOC6040335|XP_001849740.2|CQUI	LOC6623808|XP_002048266.1|DVIR, LOC6623763|XP_002048267.1|DVIR
OG0001100	LOC6052097|XP_038112579.1|CQUI	LOC6630927|XP_002054316.2|DVIR
OG0001101	LOC6037726|XP_038113843.1|CQUI	LOC6625384|XP_015029439.1|DVIR, LOC6635415|XP_032296144.1|DVIR
OG0001102	LOC6040098|XP_038110990.1|CQUI, LOC6040089|XP_038110333.1|CQUI	LOC6624400|XP_002048390.2|DVIR
OG0001103	LOC6040179|XP_001849630.2|CQUI, LOC6040178|XP_038112931.1|CQUI, LOC6040177|XP_001849628.2|CQUI	LOC6629984|XP_002054342.1|DVIR
OG0001104	LOC6051930|XP_001868284.2|CQUI	LOC6633626|XP_032295684.1|DVIR, LOC6625667|XP_032293368.1|DVIR, LOC6625669|XP_002049369.2|DVIR
OG0001105	LOC6036714|XP_001846718.1|CQUI	LOC6634545|XP_002058289.1|DVIR
OG0001106	LOC6047766|XP_038112893.1|CQUI, LOC6047173|XP_038113034.1|CQUI	LOC6636240|XP_032290058.1|DVIR, LOC116649906|XP_032289068.1|DVIR
OG0001118	LOC6053773|XP_001869802.1|CQUI	LOC6635300|XP_002058809.2|DVIR
OG0001119	LOC6040361|XP_038114062.1|CQUI, LOC6048162|XP_038104643.1|CQUI	LOC6629705|XP_002052963.1|DVIR
OG0001120	LOC6033952|XP_038104598.1|CQUI, LOC6033958|XP_038105273.1|CQUI	LOC6635158|XP_002058352.2|DVIR
