Orthogroup	CQUI.longest_only	DSIM.longest_only
OG0000466	LOC6035082|XP_038122526.1|CQUI	LOC6725675|XP_039152393.1|DSIM
OG0000466	LOC6044248|XP_038107808.1|CQUI	LOC27206536|XP_016022876.1|DSIM
OG0000467	LOC6045537|XP_038118816.1|CQUI	LOC6733345|XP_039148295.1|DSIM, LOC6733330|XP_016026243.2|DSIM
OG0000468	LOC6042212|XP_001851353.1|CQUI	LOC6730365|XP_016037139.1|DSIM
OG0000468	LOC6041607|XP_038115266.1|CQUI	LOC27206161|XP_016027062.1|DSIM
OG0000469	LOC6049763|XP_038113824.1|CQUI	LOC6732081|XP_039147055.1|DSIM, LOC6732078|XP_039146920.1|DSIM
OG0000470	LOC6036814|XP_038111507.1|CQUI	LOC6739070|XP_039150244.1|DSIM
OG0000470	LOC6047359|XP_038112314.1|CQUI	LOC6738890|XP_016032712.2|DSIM
OG0000471	LOC6036133|XP_001846226.2|CQUI	LOC6739603|XP_002076499.2|DSIM, LOC6730706|XP_002077876.2|DSIM
OG0000473	LOC6052350|XP_001868639.1|CQUI	LOC6725517|XP_002106530.1|DSIM, LOC27207893|XP_016037795.1|DSIM
OG0000474	LOC6049175|XP_038105811.1|CQUI	LOC6726201|XP_002107176.1|DSIM, LOC6737659|XP_016031424.1|DSIM
OG0000475	LOC6039907|XP_001849405.1|CQUI	LOC6729081|XP_016035728.1|DSIM, LOC6729082|XP_002104403.2|DSIM
OG0000476	LOC6042382|XP_038105827.1|CQUI	LOC6728789|XP_002104124.1|DSIM, LOC6728788|XP_016035478.1|DSIM
OG0000478	LOC6044656|XP_038115788.1|CQUI, LOC6044657|XP_001862137.1|CQUI, LOC6044659|XP_038115789.1|CQUI	LOC6740109|XP_002076994.1|DSIM, LOC6729726|XP_002105032.1|DSIM
OG0000479	LOC6038213|XP_001848039.2|CQUI, LOC6038214|XP_001848040.2|CQUI, LOC6038209|XP_001848041.2|CQUI	LOC6728810|XP_002104144.1|DSIM, LOC6728811|XP_002104145.1|DSIM
OG0000480	LOC6041494|XP_001850745.1|CQUI	LOC6730757|XP_016023173.1|DSIM, LOC6730755|XP_002077923.2|DSIM
OG0000482	LOC6044292|XP_038118091.1|CQUI, LOC6044289|XP_001861821.1|CQUI	LOC6727405|XP_002102790.1|DSIM
OG0000483	LOC6048006|XP_038120391.1|CQUI, LOC6048008|XP_038120760.1|CQUI, LOC6048016|XP_001864979.2|CQUI	LOC6729405|XP_002104720.1|DSIM, LOC27206920|XP_016036051.1|DSIM
OG0000484	LOC6051912|XP_001868269.2|CQUI, LOC6051911|XP_001868268.2|CQUI	LOC6727458|XP_039151565.1|DSIM, LOC6727460|XP_016034056.1|DSIM
OG0000485	LOC6041153|XP_038107076.1|CQUI	LOC6738562|XP_016032422.1|DSIM, LOC6738563|XP_002085368.1|DSIM
OG0000486	LOC6041660|XP_001850887.2|CQUI	LOC6735909|XP_016029260.1|DSIM, LOC6735907|XP_016029258.1|DSIM
OG0000489	LOC6045222|XP_038122215.1|CQUI	LOC27206627|XP_016037155.1|DSIM, LOC6740080|XP_016038891.1|DSIM
OG0000490	LOC6054008|XP_038122876.1|CQUI	LOC6725028|XP_016037976.1|DSIM
OG0000490	LOC6042587|XP_038110786.1|CQUI	LOC6726609|XP_039152566.1|DSIM
OG0000491	LOC6048388|XP_038107947.1|CQUI	LOC6734068|XP_002081103.1|DSIM, LOC6734069|XP_002081104.1|DSIM
OG0000492	LOC6040913|XP_001850241.1|CQUI	LOC6733706|XP_016026674.1|DSIM
OG0000492	LOC6044260|XP_001861799.2|CQUI	LOC6732477|XP_002079597.1|DSIM
OG0000493	LOC6040999|XP_038119325.1|CQUI	LOC6729918|XP_002105220.1|DSIM, LOC6729917|XP_002105219.1|DSIM
OG0000494	LOC119766647|XP_038107694.1|CQUI	LOC6732394|XP_016025045.1|DSIM
OG0000495	LOC6031986|XP_038106727.1|CQUI	LOC6725339|XP_002106356.2|DSIM, LOC6734661|XP_016027852.1|DSIM
OG0000496	LOC6035746|XP_038113161.1|CQUI	LOC6731116|XP_016023655.1|DSIM
OG0000496	LOC6035745|XP_038112206.1|CQUI	LOC6732130|XP_039152868.1|DSIM
OG0000497	LOC6048339|XP_038111873.1|CQUI	LOC6731319|XP_016023891.1|DSIM, LOC6731320|XP_039147220.1|DSIM
OG0000498	LOC6039237|XP_001848874.2|CQUI	LOC6729410|XP_039151136.1|DSIM, LOC27208577|XP_016036059.1|DSIM
OG0000499	LOC6048807|XP_038112168.1|CQUI	LOC6734630|XP_002081638.2|DSIM
OG0000499	LOC6042113|XP_001851263.2|CQUI	LOC27207475|XP_016037878.1|DSIM
OG0000500	LOC6043030|XP_001854846.2|CQUI, LOC6043544|XP_038111294.1|CQUI	LOC6738567|XP_002085372.1|DSIM, LOC6738565|XP_016032423.1|DSIM
OG0000504	LOC6041004|XP_001850319.2|CQUI, LOC119768650|XP_038114938.1|CQUI, LOC6041003|XP_038114937.1|CQUI, LOC6041005|XP_038114939.1|CQUI, LOC6047053|XP_038122845.1|CQUI, LOC6041006|XP_001850321.1|CQUI	LOC6738379|XP_002085188.2|DSIM
OG0000505	LOC6041848|XP_038111190.1|CQUI, LOC6038636|XP_038113279.1|CQUI	LOC6724999|XP_016037951.1|DSIM, LOC6724994|XP_039154067.1|DSIM
OG0000506	LOC6051537|XP_038104157.1|CQUI, LOC6051544|XP_001867970.2|CQUI, LOC119769336|XP_038117282.1|CQUI	LOC6729559|XP_002104867.1|DSIM, LOC6729560|XP_016036228.1|DSIM
OG0000507	LOC6045928|XP_001863205.1|CQUI	LOC6725622|XP_016038817.1|DSIM
OG0000507	LOC6037479|XP_038113105.1|CQUI	LOC6725623|XP_016038818.1|DSIM
OG0000508	LOC6049261|XP_001866046.2|CQUI	LOC6736335|XP_016029810.2|DSIM, LOC6736194|XP_016029625.1|DSIM
OG0000509	LOC6051070|XP_038117205.1|CQUI	LOC6734784|XP_016027983.1|DSIM
OG0000510	LOC6052252|XP_001868549.2|CQUI	LOC6734438|XP_002081458.1|DSIM, LOC6734439|XP_016027546.1|DSIM
OG0000511	LOC6031766|XP_001842477.2|CQUI, LOC6031767|XP_001842478.2|CQUI	LOC6732558|XP_002079677.1|DSIM, LOC6732559|XP_016025241.1|DSIM
OG0000512	LOC6041515|XP_038107055.1|CQUI, LOC119766432|XP_038106904.1|CQUI, LOC6041512|XP_038106906.1|CQUI	LOC6731946|XP_002079081.1|DSIM, LOC6737709|XP_002084541.2|DSIM
OG0000513	LOC6036436|XP_001846489.2|CQUI	LOC6739277|XP_016026129.1|DSIM, LOC6732762|XP_002079875.1|DSIM
OG0000514	LOC6033627|XP_038108381.1|CQUI	LOC6732113|XP_016024784.1|DSIM, LOC6732109|XP_016024780.2|DSIM
OG0000515	LOC6038107|XP_038110142.1|CQUI	LOC6724738|XP_016037401.2|DSIM, LOC27207145|XP_016032111.1|DSIM
OG0000516	LOC6032715|XP_038122030.1|CQUI, LOC6032713|XP_038122029.1|CQUI	LOC6740132|XP_016039324.1|DSIM, LOC6725967|XP_002106950.1|DSIM
OG0000517	LOC6054293|XP_038114467.1|CQUI, LOC6054292|XP_038114468.1|CQUI	LOC6738221|XP_002085033.1|DSIM, LOC6738222|XP_002085034.1|DSIM
OG0000521	LOC6050070|XP_038105342.1|CQUI	LOC6726375|XP_002107334.2|DSIM, LOC6726369|XP_016022763.1|DSIM
OG0000522	LOC6051600|XP_038112565.1|CQUI	LOC6727077|XP_002102474.1|DSIM, LOC6726119|XP_016039610.1|DSIM
OG0000523	LOC6040919|XP_001850247.1|CQUI	LOC6729532|XP_016036205.1|DSIM
OG0000523	LOC6049044|XP_001865872.1|CQUI	LOC6739891|XP_016040228.1|DSIM
OG0000524	LOC6032861|XP_001843386.2|CQUI	LOC6729150|XP_002104471.1|DSIM, LOC6728643|XP_016035272.2|DSIM
OG0000525	LOC6048514|XP_038118341.1|CQUI, LOC6048511|XP_038118339.1|CQUI	LOC6733674|XP_016026647.1|DSIM, LOC6733673|XP_002080720.2|DSIM
OG0000526	LOC6041304|XP_001850584.2|CQUI	LOC6732852|XP_002079962.1|DSIM, LOC6735353|XP_002082300.1|DSIM
OG0000527	LOC6043742|XP_038113405.1|CQUI, LOC6043214|XP_038108510.1|CQUI	LOC6730936|XP_016023386.1|DSIM, LOC6730930|XP_039154443.1|DSIM
OG0000528	LOC6041374|XP_001850639.2|CQUI, LOC6041379|XP_038110790.1|CQUI, LOC6041382|XP_038106839.1|CQUI, LOC6041381|XP_038110791.1|CQUI	LOC6730848|XP_002078012.1|DSIM
OG0000529	LOC6036354|XP_038114138.1|CQUI	LOC6730711|XP_002077881.1|DSIM, LOC6731057|XP_016023577.1|DSIM
OG0000531	LOC6037540|XP_001847440.2|CQUI	LOC6739542|XP_016025848.1|DSIM, LOC6732663|XP_002079780.1|DSIM
OG0000532	LOC6035004|XP_001845249.2|CQUI	LOC6727358|XP_002102743.2|DSIM, LOC27208740|XP_016033896.2|DSIM
OG0000533	LOC6040722|XP_038104185.1|CQUI	LOC27206330|XP_016040259.1|DSIM
OG0000533	LOC119767762|XP_038113133.1|CQUI	LOC6728910|XP_002104240.1|DSIM
OG0000535	LOC119766820|XP_038108711.1|CQUI, LOC6054062|XP_001870041.1|CQUI	LOC6733869|XP_016026891.1|DSIM, LOC6733513|XP_002080568.1|DSIM
OG0000536	LOC6041431|XP_038109661.1|CQUI, LOC6045036|XP_001862455.2|CQUI, LOC6045035|XP_038113937.1|CQUI	LOC6736884|XP_039150033.1|DSIM
OG0000537	LOC6031704|XP_038111588.1|CQUI	LOC6739283|XP_016026253.1|DSIM
OG0000538	LOC6037813|XP_038112386.1|CQUI	LOC27207969|XP_016028250.1|DSIM, LOC27206155|XP_016026571.1|DSIM
OG0000539	LOC6034554|XP_038112937.1|CQUI	LOC6729697|XP_002105003.1|DSIM, LOC6729698|XP_002105004.1|DSIM
OG0000542	LOC6044321|XP_001861851.1|CQUI	LOC6729614|XP_016036256.1|DSIM, LOC27209038|XP_016037300.1|DSIM
OG0000543	LOC6049267|XP_001866057.2|CQUI	LOC6729227|XP_016035879.1|DSIM, LOC6739313|XP_016026414.1|DSIM
OG0000544	LOC6041276|XP_038110067.1|CQUI	LOC6737052|XP_002083899.1|DSIM, LOC6727141|XP_016033622.1|DSIM
OG0000545	LOC6050345|XP_038105847.1|CQUI	LOC6727725|XP_016034301.1|DSIM, LOC6727721|XP_016034296.1|DSIM
OG0000546	LOC6037353|XP_001847276.2|CQUI, LOC6036816|XP_038106208.1|CQUI, LOC119770766|XP_038122171.1|CQUI	LOC6728042|XP_002103394.1|DSIM, LOC27208712|XP_016022700.1|DSIM
OG0000547	LOC6041026|XP_001850337.1|CQUI	LOC6740073|XP_016038882.1|DSIM, LOC6738141|XP_002084954.1|DSIM, LOC6730714|XP_002077884.2|DSIM
OG0000548	LOC6050154|XP_001866808.2|CQUI	LOC6738972|XP_002085767.2|DSIM, LOC6738971|XP_016032799.2|DSIM
OG0000549	LOC119770531|XP_038121509.1|CQUI, LOC6037260|XP_038121503.1|CQUI	LOC6735914|XP_016029271.1|DSIM
OG0000550	LOC6051476|XP_038121059.1|CQUI	LOC6736212|XP_016029656.1|DSIM, LOC27206957|XP_016029658.2|DSIM
OG0000552	LOC6044119|XP_038113804.1|CQUI	LOC6730180|XP_002105471.1|DSIM, LOC6730179|XP_002105470.1|DSIM
OG0000553	LOC6044455|XP_038110346.1|CQUI, LOC6044457|XP_001861971.1|CQUI, LOC6044456|XP_001861970.1|CQUI	LOC6731672|XP_002078812.1|DSIM
OG0000554	LOC6044882|XP_038118892.1|CQUI	LOC6729254|XP_002104574.2|DSIM, LOC6729255|XP_002104575.1|DSIM
OG0000555	LOC6052570|XP_038118745.1|CQUI	LOC6739592|XP_002076488.1|DSIM, LOC6736611|XP_039149447.1|DSIM
OG0000556	LOC6046889|XP_001864016.1|CQUI	LOC6726221|XP_002107196.1|DSIM, LOC6727909|XP_002103264.1|DSIM
OG0000557	LOC6042547|XP_001852003.1|CQUI	LOC6728408|XP_002103755.1|DSIM, LOC6728409|XP_016035005.2|DSIM
OG0000558	LOC6033842|XP_001844235.1|CQUI	LOC6727893|XP_016034500.1|DSIM, LOC6725385|XP_002106402.1|DSIM
OG0000559	LOC6053965|XP_038109366.1|CQUI	LOC6728670|XP_016035331.1|DSIM, LOC6738133|XP_002084946.1|DSIM
OG0000560	LOC6032389|XP_001842996.2|CQUI	LOC6733368|XP_016026282.1|DSIM, LOC6733366|XP_002080423.1|DSIM
OG0000561	LOC6034685|XP_038111388.1|CQUI	LOC6737822|XP_016031601.1|DSIM, LOC6737818|XP_002084646.1|DSIM
OG0000562	LOC6046454|XP_038113537.1|CQUI	LOC6737667|XP_002084499.1|DSIM, LOC6737647|XP_002084479.2|DSIM
OG0000566	LOC6044324|XP_038109243.1|CQUI	LOC6727770|XP_016034346.1|DSIM, LOC6736525|XP_016030112.1|DSIM
OG0000567	LOC6047025|XP_001864131.2|CQUI	LOC6725239|XP_002106261.1|DSIM
OG0000567	LOC6047020|XP_001864130.1|CQUI	LOC6725240|XP_039152456.1|DSIM
OG0000568	LOC6044772|XP_038104706.1|CQUI	LOC6725021|XP_016037973.1|DSIM, LOC6726684|XP_016033176.1|DSIM
OG0000569	LOC6034776|XP_038104774.1|CQUI	LOC27209076|XP_016035400.1|DSIM, LOC27207615|XP_039150133.1|DSIM
OG0000570	LOC6032625|XP_001843197.2|CQUI	LOC6729379|XP_002104694.2|DSIM, LOC27206481|XP_016036022.1|DSIM
OG0000571	LOC6035169|XP_038113695.1|CQUI	LOC6729914|XP_016036675.2|DSIM, LOC6729912|XP_016036669.1|DSIM
OG0000572	LOC6031113|XP_038118152.1|CQUI	LOC6728301|XP_002103650.1|DSIM, LOC6728303|XP_016034939.1|DSIM
OG0000573	LOC6039567|XP_038120762.1|CQUI	LOC6736499|XP_002083369.1|DSIM, LOC6735923|XP_002082833.1|DSIM
OG0000574	LOC6041981|XP_001851157.1|CQUI	LOC6738393|XP_002085202.1|DSIM, LOC6727371|XP_002102756.2|DSIM
OG0000576	LOC6041376|XP_001850641.2|CQUI	LOC6727062|XP_002102459.1|DSIM, LOC6727061|XP_016033558.1|DSIM
OG0000577	LOC6036025|XP_001846129.1|CQUI	LOC6732723|XP_039147004.1|DSIM
OG0000578	LOC6038985|XP_038118477.1|CQUI	LOC6731846|XP_016024528.1|DSIM, LOC6735803|XP_016029187.1|DSIM
OG0000579	LOC6039323|XP_001848951.1|CQUI	LOC27206467|XP_016034754.1|DSIM, LOC6737900|XP_002084728.1|DSIM
OG0000580	LOC6039817|XP_038116525.1|CQUI	LOC6728593|XP_002103934.1|DSIM, LOC6728592|XP_039150433.1|DSIM
OG0000582	LOC6037731|XP_038109003.1|CQUI	LOC6737738|XP_016031517.1|DSIM, LOC6735252|XP_016028577.1|DSIM
OG0000583	LOC6040188|XP_001849636.2|CQUI	LOC6735858|XP_002082768.2|DSIM, LOC6735863|XP_016029228.1|DSIM
OG0000589	LOC6038480|XP_038105819.1|CQUI	LOC27206814|XP_039153177.1|DSIM
OG0000590	LOC6042729|XP_001870744.1|CQUI	LOC6725047|XP_039152240.1|DSIM
OG0000592	LOC6050769|XP_038107615.1|CQUI	LOC6733436|XP_002080493.2|DSIM, LOC6734479|XP_016027606.1|DSIM
OG0000593	LOC6053209|XP_001869339.2|CQUI	LOC6730057|XP_002105350.1|DSIM, LOC6726097|XP_016039566.1|DSIM
OG0000594	LOC6047884|XP_001864878.1|CQUI	LOC27209439|XP_016036787.1|DSIM, LOC6728405|XP_002103752.2|DSIM
OG0000595	LOC6032579|XP_038105753.1|CQUI	LOC6728196|XP_016034835.2|DSIM, LOC27208518|XP_039151611.1|DSIM
OG0000596	LOC6047623|XP_001864658.2|CQUI	LOC6724830|XP_016037613.1|DSIM, LOC6728617|XP_016035255.1|DSIM
OG0000597	LOC6033673|XP_038118537.1|CQUI	LOC6729484|XP_016036156.1|DSIM, LOC6730328|XP_039151359.1|DSIM
OG0000598	LOC6051159|XP_001867631.1|CQUI, LOC6051152|XP_038115526.1|CQUI, LOC6051150|XP_038115584.1|CQUI, LOC6051151|XP_001867634.2|CQUI, LOC119765893|XP_038106017.1|CQUI, LOC6051149|XP_001867632.1|CQUI	LOC6728292|XP_002103641.1|DSIM
OG0000599	LOC6050368|XP_001866970.2|CQUI, LOC6049535|XP_038116182.1|CQUI	LOC6736265|XP_016029754.1|DSIM
OG0000600	LOC6050355|XP_001866971.1|CQUI	LOC6734249|XP_002081278.1|DSIM, LOC6734248|XP_016027299.1|DSIM
OG0000601	LOC6054167|XP_001870128.2|CQUI	LOC6731309|XP_002078465.1|DSIM, LOC6730768|XP_002077936.2|DSIM
OG0000602	LOC6038510|XP_038113028.1|CQUI	LOC6732174|XP_002079305.1|DSIM, LOC6732175|XP_002079306.1|DSIM
OG0000603	LOC6054012|XP_038110242.1|CQUI	LOC6727726|XP_016034303.1|DSIM, LOC6730661|XP_039154427.1|DSIM, LOC6731453|XP_016024107.1|DSIM
OG0000604	LOC6043454|XP_038114068.1|CQUI	LOC6730767|XP_002077935.1|DSIM, LOC6730766|XP_002077934.1|DSIM
OG0000605	LOC6049416|XP_001866184.2|CQUI, LOC6049420|XP_001866188.2|CQUI, LOC6049414|XP_001866182.2|CQUI, LOC6049413|XP_001866181.2|CQUI, LOC6049411|XP_001866179.2|CQUI	LOC6733033|XP_002080112.1|DSIM
OG0000606	LOC6046869|XP_038121859.1|CQUI	LOC6729172|XP_002104493.2|DSIM
OG0000607	LOC6039121|XP_001848783.1|CQUI	LOC6727755|XP_002103117.1|DSIM, LOC27207966|XP_016033737.1|DSIM
OG0000608	LOC6042037|XP_038115700.1|CQUI	LOC6729735|XP_016036395.1|DSIM, LOC6729730|XP_016036386.1|DSIM
OG0000609	LOC6048878|XP_038115264.1|CQUI	LOC27206538|XP_016023012.1|DSIM
OG0000610	LOC6041438|XP_001850698.2|CQUI	LOC6738612|XP_016032454.1|DSIM, LOC6735620|XP_002082540.1|DSIM
OG0000611	LOC6038097|XP_038106033.1|CQUI	LOC6735484|XP_016028822.1|DSIM, LOC6734765|XP_002081768.1|DSIM
OG0000615	LOC119767686|XP_038112773.1|CQUI	LOC6726360|XP_039152975.1|DSIM, LOC27209315|XP_039150606.1|DSIM
OG0000616	LOC6048951|XP_038114828.1|CQUI, LOC119770520|XP_038121468.1|CQUI, LOC6048954|XP_038121478.1|CQUI	LOC6726352|XP_016039930.1|DSIM, LOC6740199|XP_016039931.1|DSIM
OG0000617	LOC6047468|XP_001864522.2|CQUI	LOC6729864|XP_039151242.1|DSIM, LOC6728352|XP_016034977.1|DSIM
OG0000618	LOC6039614|XP_001849188.1|CQUI	LOC6739669|XP_016032904.1|DSIM
OG0000619	LOC6040690|XP_001850045.2|CQUI, LOC119765528|XP_038105487.1|CQUI	LOC6735167|XP_002082142.1|DSIM
OG0000620	LOC6032813|XP_038118430.1|CQUI	LOC6726489|XP_002107446.1|DSIM, LOC6737420|XP_016031189.1|DSIM
OG0000621	LOC6031110|XP_001841955.1|CQUI	LOC6727345|XP_002102730.1|DSIM, LOC6739959|XP_016037887.1|DSIM
OG0000622	LOC6040743|XP_038116870.1|CQUI	LOC6737034|XP_002083881.1|DSIM, LOC6737393|XP_016031141.1|DSIM
OG0000623	LOC119769481|XP_038118011.1|CQUI	LOC27206265|XP_016029788.1|DSIM, LOC27206242|XP_016030769.1|DSIM
OG0000624	LOC6044017|XP_001861591.1|CQUI	LOC6735140|XP_002082117.1|DSIM, LOC6735141|XP_016028423.1|DSIM
OG0000625	LOC6040993|XP_038116438.1|CQUI	LOC6736941|XP_016030587.1|DSIM, LOC6736939|XP_002083786.1|DSIM
OG0000626	LOC6051789|XP_001868161.1|CQUI	LOC6733753|XP_002080797.1|DSIM, LOC6735896|XP_016029250.1|DSIM
OG0000627	LOC6042124|XP_038110833.1|CQUI	LOC6738464|XP_002085271.1|DSIM, LOC6725135|XP_002106161.1|DSIM
OG0000628	LOC6031813|XP_001842520.1|CQUI	LOC6732172|XP_002079303.2|DSIM, LOC6731753|XP_002078888.1|DSIM
OG0000629	LOC119766976|XP_038109725.1|CQUI	LOC6728572|XP_002103913.2|DSIM, LOC6733053|XP_002080131.2|DSIM
OG0000630	LOC6035276|XP_038111598.1|CQUI	LOC6732796|XP_016025504.1|DSIM, LOC6732789|XP_002079902.3|DSIM
OG0000631	LOC6033752|XP_038111487.1|CQUI	LOC27208670|XP_016024744.1|DSIM, LOC6732402|XP_016025062.1|DSIM
OG0000632	LOC6039836|XP_038110109.1|CQUI	LOC6730992|XP_016023455.1|DSIM, LOC6730529|XP_016022984.1|DSIM
OG0000635	LOC6051292|XP_038119302.1|CQUI	LOC6735347|XP_002082294.1|DSIM, LOC6726071|XP_002107053.2|DSIM
OG0000636	LOC6053271|XP_038121208.1|CQUI	LOC6732793|XP_002079906.1|DSIM, LOC6732794|XP_016025503.1|DSIM
OG0000637	LOC6046174|XP_038111493.1|CQUI	LOC6725170|XP_016038187.1|DSIM, LOC6725171|XP_039152707.1|DSIM
OG0000638	LOC6035960|XP_001846068.1|CQUI	LOC6729311|XP_016035943.1|DSIM, LOC6726151|XP_016039682.1|DSIM
OG0000639	LOC6034680|XP_038109438.1|CQUI	LOC6738948|XP_016032771.1|DSIM
OG0000646	LOC6053145|XP_038116913.1|CQUI	LOC6729358|XP_002104674.1|DSIM, LOC6729963|XP_039150494.1|DSIM
OG0000647	LOC6052863|XP_038104142.1|CQUI	LOC6726923|XP_016033422.1|DSIM, LOC6725022|XP_016037974.1|DSIM
OG0000648	LOC6044379|XP_038104457.1|CQUI	LOC6726293|XP_002107254.1|DSIM
OG0000649	LOC6052346|XP_038122673.1|CQUI	LOC6740189|XP_002077070.2|DSIM, LOC6739849|XP_016039898.1|DSIM
OG0000650	LOC119765291|XP_038104781.1|CQUI	LOC6729339|XP_002104656.2|DSIM
OG0000651	LOC6034792|XP_038108743.1|CQUI	LOC6738417|XP_002085226.2|DSIM, LOC6736720|XP_016030335.1|DSIM
OG0000652	LOC6047846|XP_001864848.1|CQUI	LOC6739305|XP_002076214.1|DSIM, LOC27209005|XP_016038153.1|DSIM
OG0000653	LOC6035413|XP_038122495.1|CQUI, LOC6035412|XP_038122483.1|CQUI	LOC6728366|XP_002103714.1|DSIM, LOC6726771|XP_016033255.1|DSIM
OG0000654	LOC6039542|XP_038121287.1|CQUI	LOC6738408|XP_016032244.1|DSIM
OG0000655	LOC6041337|XP_001850614.2|CQUI	LOC6734221|XP_016027265.1|DSIM, LOC6730521|XP_016022976.1|DSIM
OG0000656	LOC6051101|XP_038116957.1|CQUI	LOC6728447|XP_016035061.1|DSIM, LOC27208714|XP_016035060.1|DSIM
OG0000657	LOC6041310|XP_001850590.2|CQUI	LOC6736191|XP_016029616.1|DSIM, LOC6730879|XP_002078043.1|DSIM
OG0000658	LOC6037018|XP_038108424.1|CQUI	LOC6726228|XP_016039756.1|DSIM, LOC6728039|XP_002103391.1|DSIM
OG0000659	LOC6036999|XP_001846964.1|CQUI	LOC6730797|XP_002077965.1|DSIM, LOC6732787|XP_016025500.1|DSIM
OG0000660	LOC6053861|XP_001869873.1|CQUI	LOC6739184|XP_016023229.1|DSIM
OG0000661	LOC6033622|XP_001844049.2|CQUI	LOC27206244|XP_016030737.1|DSIM, LOC6731004|XP_016023467.1|DSIM
OG0000662	LOC6052557|XP_038120537.1|CQUI	LOC6736668|XP_002083524.1|DSIM, LOC27208006|XP_016034047.1|DSIM
OG0000663	LOC6039520|XP_001849122.2|CQUI	LOC6736154|XP_016029553.1|DSIM
OG0000664	LOC6046260|XP_038114809.1|CQUI	LOC6739975|XP_016038087.1|DSIM
OG0000665	LOC6048712|XP_001865588.1|CQUI	LOC6729566|XP_016036230.1|DSIM, LOC6729567|XP_002104875.1|DSIM
OG0000666	LOC6054798|XP_038119012.1|CQUI	LOC6735358|XP_002082305.1|DSIM, LOC27208266|XP_016038838.1|DSIM
OG0000667	LOC6046897|XP_038119403.1|CQUI	LOC6739958|XP_002076843.1|DSIM, LOC6728590|XP_002103931.1|DSIM
OG0000668	LOC6046395|XP_038118170.1|CQUI	LOC6739822|XP_002076714.1|DSIM, LOC6728180|XP_016034812.1|DSIM
OG0000669	LOC119770724|XP_038122042.1|CQUI	LOC6726564|XP_002107518.2|DSIM, LOC6726565|XP_002107519.1|DSIM
OG0000670	LOC6046815|XP_038111687.1|CQUI	LOC6731625|XP_016024307.1|DSIM, LOC6725106|XP_002106132.1|DSIM
OG0000671	LOC6038345|XP_001848160.1|CQUI	LOC27208816|XP_016025871.1|DSIM, LOC6729923|XP_016036681.1|DSIM
OG0000672	LOC6043037|XP_038113688.1|CQUI	LOC6725743|XP_039152633.1|DSIM, LOC6740238|XP_002077119.2|DSIM
OG0000673	LOC6034544|XP_001844844.1|CQUI	LOC6725851|XP_039154027.1|DSIM, LOC6738127|XP_002084940.1|DSIM
OG0000677	LOC119771220|XP_038122896.1|CQUI	LOC27206657|XP_039152419.1|DSIM
OG0000678	LOC6049218|XP_001866018.1|CQUI	LOC6727764|XP_016034341.1|DSIM, LOC6730493|XP_002077674.1|DSIM
OG0000679	LOC6043332|XP_001858497.2|CQUI, LOC6043334|XP_038120970.1|CQUI, LOC119770348|XP_038120969.1|CQUI, LOC6051380|XP_001867828.2|CQUI, LOC6041272|XP_001850558.1|CQUI, LOC6041270|XP_038114788.1|CQUI	LOC6725730|XP_016039005.1|DSIM
OG0000680	LOC6040463|XP_038110968.1|CQUI	LOC6726431|XP_016039991.1|DSIM, LOC6726443|XP_016040004.1|DSIM
OG0000681	LOC6034420|XP_038105001.1|CQUI	LOC6728168|XP_016034776.1|DSIM, LOC6725845|XP_016039168.1|DSIM
OG0000683	LOC119771188|XP_038122716.1|CQUI, LOC119771187|XP_038122715.1|CQUI, LOC6041367|XP_001850634.1|CQUI, LOC6035206|XP_001845435.2|CQUI	LOC6729354|XP_016035990.1|DSIM
OG0000684	LOC6048395|XP_001865319.1|CQUI	LOC6728418|XP_002103764.1|DSIM, LOC6729256|XP_002104576.1|DSIM
OG0000685	LOC6037400|XP_038114905.1|CQUI	LOC6740451|XP_002077302.1|DSIM, LOC6727215|XP_002102607.1|DSIM
OG0000686	LOC6051596|XP_038120199.1|CQUI	LOC6733272|XP_002080335.1|DSIM, LOC6726395|XP_039152885.1|DSIM
OG0000687	LOC6035321|XP_001845536.1|CQUI	LOC6735306|XP_002082266.1|DSIM, LOC6736483|XP_002083353.1|DSIM
OG0000688	LOC6040659|XP_038115242.1|CQUI	LOC6735017|XP_002081998.1|DSIM
OG0000689	LOC119769612|XP_038118657.1|CQUI	LOC6733810|XP_016026779.1|DSIM, LOC27209189|XP_016026781.1|DSIM
OG0000690	LOC6050670|XP_038115594.1|CQUI, LOC6038219|XP_001848048.1|CQUI, LOC6047742|XP_001864761.2|CQUI, LOC6042033|XP_001851195.2|CQUI, LOC6050673|XP_001867238.2|CQUI	LOC6740257|XP_016040162.1|DSIM
OG0000691	LOC6038874|XP_038122076.1|CQUI	LOC6731556|XP_002078697.1|DSIM, LOC6738604|XP_002085408.1|DSIM
OG0000692	LOC6050833|XP_038117216.1|CQUI, LOC6050834|XP_001867362.2|CQUI	LOC6738316|XP_016032164.1|DSIM, LOC6738317|XP_002085127.1|DSIM
OG0000694	LOC6047733|XP_038120382.1|CQUI	LOC6740066|XP_016038815.1|DSIM, LOC6737707|XP_002084539.1|DSIM
OG0000695	LOC6043622|XP_038113841.1|CQUI	LOC6731185|XP_039148020.1|DSIM, LOC6731190|XP_016023734.1|DSIM
OG0000696	LOC6034106|XP_001844471.1|CQUI	LOC6731427|XP_002078579.1|DSIM
