Orthogroup	CQUI.longest_only	DPER.longest_only
OG0000550	LOC6051476|XP_038121059.1|CQUI	LOC6601095|XP_002026060.1|DPER, LOC113566352|XP_026847434.1|DPER
OG0000552	LOC6044119|XP_038113804.1|CQUI	LOC6595049|XP_002020572.1|DPER, LOC6595050|XP_026846729.1|DPER
OG0000553	LOC6044455|XP_038110346.1|CQUI, LOC6044457|XP_001861971.1|CQUI, LOC6044456|XP_001861970.1|CQUI	LOC6589451|XP_002014478.1|DPER
OG0000554	LOC6044882|XP_038118892.1|CQUI	LOC6595000|XP_026850186.1|DPER, LOC6594999|XP_002020165.1|DPER
OG0000555	LOC6052570|XP_038118745.1|CQUI	LOC6599561|XP_002024668.1|DPER, LOC6599560|XP_002024667.1|DPER, LOC6602947|XP_026848817.1|DPER
OG0000556	LOC6046889|XP_001864016.1|CQUI	LOC6600676|XP_002025749.2|DPER, LOC6591984|XP_002017028.1|DPER
OG0000557	LOC6042547|XP_001852003.1|CQUI	LOC6591395|XP_002017365.1|DPER, LOC6591394|XP_002017364.2|DPER
OG0000558	LOC6033842|XP_001844235.1|CQUI	LOC6592186|XP_002017046.1|DPER, LOC6597633|XP_002022736.1|DPER, LOC6597634|XP_002022737.2|DPER, LOC6597638|XP_002022741.1|DPER, LOC6597636|XP_002022739.2|DPER, LOC113566633|XP_026848941.1|DPER
OG0000559	LOC6053965|XP_038109366.1|CQUI	LOC6587952|XP_026850616.1|DPER, LOC6597049|XP_002022209.2|DPER
OG0000560	LOC6032389|XP_001842996.2|CQUI	LOC6590133|XP_002015610.1|DPER, LOC6589973|XP_002015609.1|DPER
OG0000561	LOC6034685|XP_038111388.1|CQUI	LOC6596181|XP_002021174.2|DPER, LOC6596179|XP_026845466.1|DPER
OG0000562	LOC6046454|XP_038113537.1|CQUI	LOC6598980|XP_002024017.1|DPER, LOC6598875|XP_002024048.2|DPER
OG0000566	LOC6044324|XP_038109243.1|CQUI	LOC6587609|XP_026851021.1|DPER, LOC6602723|XP_026849465.1|DPER
OG0000567	LOC6047025|XP_001864131.2|CQUI	LOC6599255|XP_002024281.1|DPER
OG0000567	LOC6047020|XP_001864130.1|CQUI	LOC6599253|XP_002024279.1|DPER
OG0000568	LOC6044772|XP_038104706.1|CQUI	LOC6597227|XP_026846582.1|DPER, LOC6591599|XP_026841402.1|DPER
OG0000569	LOC6034776|XP_038104774.1|CQUI	LOC6587970|XP_002013741.1|DPER, LOC6592132|XP_002016813.1|DPER
OG0000570	LOC6032625|XP_001843197.2|CQUI	LOC6587495|XP_002013517.1|DPER, LOC6587490|XP_026848874.1|DPER
OG0000571	LOC6035169|XP_038113695.1|CQUI	LOC6588397|XP_026840046.1|DPER, LOC6588478|XP_026840045.1|DPER
OG0000572	LOC6031113|XP_038118152.1|CQUI	LOC6587259|XP_026844793.1|DPER, LOC6587381|XP_026847857.1|DPER
OG0000573	LOC6039567|XP_038120762.1|CQUI	LOC6601182|XP_026848211.1|DPER, LOC6593023|XP_002018216.1|DPER
OG0000574	LOC6041981|XP_001851157.1|CQUI	LOC6600554|XP_002025707.1|DPER, LOC6594206|XP_002019665.1|DPER
OG0000576	LOC6041376|XP_001850641.2|CQUI	LOC6594513|XP_002019496.2|DPER
OG0000577	LOC6036025|XP_001846129.1|CQUI	LOC6588702|XP_002014943.1|DPER
OG0000578	LOC6038985|XP_038118477.1|CQUI	LOC6596620|XP_002021628.2|DPER, LOC6590192|XP_026842183.1|DPER
OG0000579	LOC6039323|XP_001848951.1|CQUI	LOC6588010|XP_002013612.1|DPER, LOC6595808|XP_002021320.1|DPER
OG0000580	LOC6039817|XP_038116525.1|CQUI	LOC6594464|XP_002019715.1|DPER, LOC6594018|XP_026850383.1|DPER
OG0000582	LOC6037731|XP_038109003.1|CQUI	LOC6596003|XP_026845558.1|DPER, LOC6591266|XP_026840765.1|DPER
OG0000583	LOC6040188|XP_001849636.2|CQUI	LOC113565045|XP_026840957.1|DPER, LOC6593162|XP_002018176.1|DPER
OG0000589	LOC6038480|XP_038105819.1|CQUI	LOC6598433|XP_026846209.1|DPER
OG0000590	LOC6042729|XP_001870744.1|CQUI	LOC6597556|XP_002022805.1|DPER
OG0000592	LOC6050769|XP_038107615.1|CQUI	LOC6590926|XP_002015768.1|DPER, LOC6590222|XP_002016071.1|DPER
OG0000593	LOC6053209|XP_001869339.2|CQUI	LOC6594986|XP_026840061.1|DPER, LOC6603511|XP_002028490.1|DPER
OG0000594	LOC6047884|XP_001864878.1|CQUI	LOC6587448|XP_002013043.1|DPER, LOC6591579|XP_002017367.2|DPER
OG0000595	LOC6032579|XP_038105753.1|CQUI	LOC113567375|XP_026850822.1|DPER, LOC6594864|XP_026846833.1|DPER
OG0000596	LOC6047623|XP_001864658.2|CQUI	LOC6596830|XP_026845960.1|DPER, LOC6594057|XP_002019856.1|DPER
OG0000597	LOC6033673|XP_038118537.1|CQUI	LOC6595280|XP_026851125.1|DPER, LOC6594894|XP_026840050.1|DPER
OG0000598	LOC6051159|XP_001867631.1|CQUI, LOC6051152|XP_038115526.1|CQUI, LOC6051150|XP_038115584.1|CQUI, LOC6051151|XP_001867634.2|CQUI, LOC119765893|XP_038106017.1|CQUI, LOC6051149|XP_001867632.1|CQUI	LOC6587400|XP_002013871.1|DPER
OG0000599	LOC6050368|XP_001866970.2|CQUI, LOC6049535|XP_038116182.1|CQUI	LOC6603287|XP_002028268.1|DPER, LOC6603280|XP_002028267.2|DPER
OG0000600	LOC6050355|XP_001866971.1|CQUI	LOC6590718|XP_026841400.1|DPER, LOC6590717|XP_026842346.1|DPER
OG0000601	LOC6054167|XP_001870128.2|CQUI	LOC6593687|XP_002018765.1|DPER, LOC6597993|XP_026843491.1|DPER
OG0000602	LOC6038510|XP_038113028.1|CQUI	LOC6596260|XP_002021786.1|DPER, LOC6596259|XP_002021785.1|DPER
OG0000603	LOC6054012|XP_038110242.1|CQUI	LOC113565646|XP_026844076.1|DPER, LOC6588887|XP_026844666.1|DPER
OG0000604	LOC6043454|XP_038114068.1|CQUI	LOC6596494|XP_002021568.1|DPER, LOC6596493|XP_002021567.1|DPER
OG0000605	LOC6049416|XP_001866184.2|CQUI, LOC6049420|XP_001866188.2|CQUI, LOC6049414|XP_001866182.2|CQUI, LOC6049413|XP_001866181.2|CQUI, LOC6049411|XP_001866179.2|CQUI	LOC6593459|XP_002018597.1|DPER
OG0000606	LOC6046869|XP_038121859.1|CQUI	LOC113564920|XP_026840154.1|DPER
OG0000607	LOC6039121|XP_001848783.1|CQUI	LOC6587356|XP_002014194.1|DPER, LOC6594190|XP_002019821.1|DPER
OG0000608	LOC6042037|XP_038115700.1|CQUI	LOC6591652|XP_026849674.1|DPER, LOC6591913|XP_026840311.1|DPER
OG0000609	LOC6048878|XP_038115264.1|CQUI	LOC6595622|XP_002020696.1|DPER, LOC6597436|XP_026846369.1|DPER
OG0000610	LOC6041438|XP_001850698.2|CQUI	LOC6595817|XP_002021295.2|DPER, LOC6592723|XP_002018090.1|DPER
OG0000611	LOC6038097|XP_038106033.1|CQUI	LOC6600868|XP_026841237.1|DPER
OG0000615	LOC119767686|XP_038112773.1|CQUI	LOC113566642|XP_026848971.1|DPER, LOC6588205|XP_002013742.1|DPER
OG0000616	LOC6048951|XP_038114828.1|CQUI, LOC119770520|XP_038121468.1|CQUI, LOC6048954|XP_038121478.1|CQUI	LOC6601779|XP_002026814.2|DPER
OG0000617	LOC6047468|XP_001864522.2|CQUI	LOC6595121|XP_026840037.1|DPER, LOC6598703|XP_026851189.1|DPER
OG0000618	LOC6039614|XP_001849188.1|CQUI	LOC6595891|XP_002021432.1|DPER
OG0000619	LOC6040690|XP_001850045.2|CQUI, LOC119765528|XP_038105487.1|CQUI	LOC6591185|XP_002015909.1|DPER
OG0000620	LOC6032813|XP_038118430.1|CQUI	LOC6598554|XP_002023708.1|DPER, LOC6599632|XP_026849581.1|DPER
OG0000621	LOC6031110|XP_001841955.1|CQUI	LOC6587924|XP_002013338.1|DPER, LOC6597394|XP_002022488.1|DPER
OG0000622	LOC6040743|XP_038116870.1|CQUI	LOC6601663|XP_026847557.1|DPER, LOC6602712|XP_026849515.1|DPER
OG0000623	LOC119769481|XP_038118011.1|CQUI	LOC6601015|XP_026849689.1|DPER, LOC6597190|XP_026845550.1|DPER
OG0000624	LOC6044017|XP_001861591.1|CQUI	LOC6592680|XP_002017947.2|DPER, LOC6592679|XP_002017946.1|DPER
OG0000625	LOC6040993|XP_038116438.1|CQUI	LOC6602966|XP_002027977.2|DPER, LOC6602967|XP_002027978.1|DPER
OG0000626	LOC6051789|XP_001868161.1|CQUI	LOC6593086|XP_002017719.1|DPER, LOC6592561|XP_002018243.1|DPER
OG0000627	LOC6042124|XP_038110833.1|CQUI	LOC6601405|XP_002026508.1|DPER, LOC6597278|XP_002022565.1|DPER
OG0000628	LOC6031813|XP_001842520.1|CQUI	LOC6596263|XP_002021789.1|DPER, LOC6589333|XP_002014358.1|DPER
OG0000629	LOC119766976|XP_038109725.1|CQUI	LOC6594077|XP_002019737.1|DPER, LOC6593669|XP_002018616.1|DPER
OG0000630	LOC6035276|XP_038111598.1|CQUI	LOC6598051|XP_002023144.1|DPER, LOC6598077|XP_026843309.1|DPER
OG0000631	LOC6033752|XP_038111487.1|CQUI	LOC113565754|XP_026844613.1|DPER, LOC6593410|XP_026843657.1|DPER
OG0000632	LOC6039836|XP_038110109.1|CQUI	LOC6595375|XP_026844828.1|DPER, LOC6595484|XP_002020656.1|DPER
OG0000634	LOC6044510|XP_001862016.2|CQUI	LOC6596829|XP_026845974.1|DPER, LOC6596828|XP_002022009.2|DPER, LOC113566104|XP_026845962.1|DPER, LOC6596669|XP_002022007.2|DPER, LOC6596667|XP_026845963.1|DPER, LOC113566103|XP_026845961.1|DPER, LOC6596670|XP_002022008.1|DPER, LOC6596668|XP_002022006.1|DPER, LOC113566106|XP_026845964.1|DPER, LOC6592229|XP_026841170.1|DPER
OG0000635	LOC6051292|XP_038119302.1|CQUI	LOC6600979|XP_002025877.1|DPER, LOC6603692|XP_002028663.2|DPER, LOC6603664|XP_026849675.1|DPER
OG0000636	LOC6053271|XP_038121208.1|CQUI	LOC6598048|XP_002023141.1|DPER, LOC6598049|XP_002023142.1|DPER
OG0000637	LOC6046174|XP_038111493.1|CQUI	LOC6597824|XP_026846483.1|DPER, LOC6597768|XP_026846541.1|DPER
OG0000638	LOC6035960|XP_001846068.1|CQUI	LOC6587236|XP_002013485.1|DPER, LOC6603132|XP_002028139.1|DPER, LOC6602872|XP_002027907.1|DPER, LOC113567232|XP_026850202.1|DPER, LOC6603215|XP_026847735.1|DPER
OG0000639	LOC6034680|XP_038109438.1|CQUI	LOC6601981|XP_026849599.1|DPER, LOC6604656|XP_026850076.1|DPER, LOC113567205|XP_026850181.1|DPER, LOC113567213|XP_026850192.1|DPER, LOC113567176|XP_026850148.1|DPER, LOC113567211|XP_026850190.1|DPER, LOC113567177|XP_026850151.1|DPER, LOC113567204|XP_026850179.1|DPER, LOC113567193|XP_026850163.1|DPER, LOC113567212|XP_026850191.1|DPER, LOC113567179|XP_026850153.1|DPER, LOC113567210|XP_026850189.1|DPER, LOC113567195|XP_026850165.1|DPER, LOC113567178|XP_026850152.1|DPER, LOC113567191|XP_026850161.1|DPER, LOC6604504|XP_026850089.1|DPER, LOC113567192|XP_026850162.1|DPER, LOC113567110|XP_026850088.1|DPER, LOC6604539|XP_026850075.1|DPER, LOC6604143|XP_026850150.1|DPER, LOC113567209|XP_026850188.1|DPER, LOC6604061|XP_026850180.1|DPER, LOC113567194|XP_026850164.1|DPER, LOC113567203|XP_026850178.1|DPER, LOC113567201|XP_026850176.1|DPER, LOC113567180|XP_026850154.1|DPER, LOC113567202|XP_026850177.1|DPER, LOC6603920|XP_026850187.1|DPER, LOC113567196|XP_026850166.1|DPER
OG0000646	LOC6053145|XP_038116913.1|CQUI	LOC6588400|XP_002013429.2|DPER, LOC6588652|XP_026840448.1|DPER
OG0000647	LOC6052863|XP_038104142.1|CQUI	LOC6587670|XP_002013283.2|DPER, LOC6597230|XP_026846459.1|DPER
OG0000648	LOC6044379|XP_038104457.1|CQUI	LOC6598504|XP_026848661.1|DPER
OG0000649	LOC6052346|XP_038122673.1|CQUI	LOC6601790|XP_002026842.1|DPER, LOC6601789|XP_026849835.1|DPER
OG0000650	LOC119765291|XP_038104781.1|CQUI	LOC6588488|XP_002013451.1|DPER
OG0000651	LOC6034792|XP_038108743.1|CQUI	LOC6601010|XP_002026165.1|DPER, LOC6603303|XP_002028284.1|DPER
OG0000652	LOC6047846|XP_001864848.1|CQUI	LOC6590843|XP_002015775.1|DPER, LOC6597506|XP_026849293.1|DPER
OG0000653	LOC6035413|XP_038122495.1|CQUI, LOC6035412|XP_038122483.1|CQUI	LOC113564890|XP_026839934.1|DPER, LOC6588285|XP_002013201.1|DPER
OG0000654	LOC6039542|XP_038121287.1|CQUI	LOC6600538|XP_026847527.1|DPER
OG0000655	LOC6041337|XP_001850614.2|CQUI	LOC6600806|XP_002025977.1|DPER, LOC6595476|XP_002020648.1|DPER
OG0000656	LOC6051101|XP_038116957.1|CQUI	LOC6591868|XP_002017330.1|DPER, LOC6591692|XP_026851097.1|DPER, LOC6591869|XP_002017331.1|DPER
OG0000657	LOC6041310|XP_001850590.2|CQUI	LOC6601075|XP_026847370.1|DPER, LOC6588715|XP_026844398.1|DPER
OG0000658	LOC6037018|XP_038108424.1|CQUI	LOC6598314|XP_002023387.1|DPER, LOC6591560|XP_002017109.1|DPER
OG0000659	LOC6036999|XP_001846964.1|CQUI	LOC6596286|XP_002021808.1|DPER, LOC6598075|XP_002023134.1|DPER
OG0000660	LOC6053861|XP_001869873.1|CQUI	LOC6589411|XP_002015199.1|DPER, LOC113565738|XP_026844560.1|DPER, LOC6589409|XP_026844026.1|DPER
OG0000661	LOC6033622|XP_001844049.2|CQUI	LOC6602955|XP_026848735.1|DPER, LOC6588916|XP_002014812.2|DPER
OG0000662	LOC6052557|XP_038120537.1|CQUI	LOC6595855|XP_026845216.1|DPER, LOC6596654|XP_026845925.1|DPER
OG0000663	LOC6039520|XP_001849122.2|CQUI	LOC6590080|XP_002015670.1|DPER
OG0000664	LOC6046260|XP_038114809.1|CQUI	LOC6597552|XP_002022801.1|DPER
OG0000665	LOC6048712|XP_001865588.1|CQUI	LOC6594667|XP_002019845.2|DPER
OG0000666	LOC6054798|XP_038119012.1|CQUI	LOC6590399|XP_026842089.1|DPER, LOC113566903|XP_026849903.1|DPER
OG0000667	LOC6046897|XP_038119403.1|CQUI	LOC6599946|XP_026849182.1|DPER, LOC6594020|XP_002019718.1|DPER
OG0000668	LOC6046395|XP_038118170.1|CQUI	LOC6594373|XP_002019341.2|DPER, LOC6587462|XP_002014008.1|DPER
OG0000669	LOC119770724|XP_038122042.1|CQUI	LOC113566777|XP_026849656.1|DPER, LOC6602864|XP_026849658.1|DPER
OG0000670	LOC6046815|XP_038111687.1|CQUI	LOC6600115|XP_002025282.1|DPER
OG0000671	LOC6038345|XP_001848160.1|CQUI	LOC6594658|XP_026850622.1|DPER, LOC6588398|XP_002012944.1|DPER
OG0000672	LOC6043037|XP_038113688.1|CQUI	LOC6599414|XP_026847215.1|DPER, LOC6602900|XP_026849665.1|DPER
OG0000673	LOC6034544|XP_001844844.1|CQUI	LOC6600063|XP_002025187.1|DPER, LOC6602362|XP_002027393.2|DPER
OG0000677	LOC119771220|XP_038122896.1|CQUI	LOC6595930|XP_002020980.1|DPER, LOC6598213|XP_002023338.2|DPER
OG0000678	LOC6049218|XP_001866018.1|CQUI	LOC6588569|XP_002014183.1|DPER, LOC6595700|XP_002020583.2|DPER
OG0000679	LOC6043332|XP_001858497.2|CQUI, LOC6043334|XP_038120970.1|CQUI, LOC119770348|XP_038120969.1|CQUI, LOC6051380|XP_001867828.2|CQUI, LOC6041272|XP_001850558.1|CQUI, LOC6041270|XP_038114788.1|CQUI	LOC6598388|XP_002023511.1|DPER
OG0000680	LOC6040463|XP_038110968.1|CQUI	LOC6597453|XP_026846508.1|DPER, LOC6597452|XP_026846525.1|DPER
OG0000681	LOC6034420|XP_038105001.1|CQUI	LOC6587883|XP_002013320.2|DPER, LOC6600127|XP_002025294.1|DPER
OG0000683	LOC119771188|XP_038122716.1|CQUI, LOC119771187|XP_038122715.1|CQUI, LOC6041367|XP_001850634.1|CQUI, LOC6035206|XP_001845435.2|CQUI	LOC6588345|XP_026843141.1|DPER
OG0000684	LOC6048395|XP_001865319.1|CQUI	LOC6591866|XP_002017356.1|DPER, LOC6594998|XP_026850975.1|DPER
OG0000685	LOC6037400|XP_038114905.1|CQUI	LOC6599227|XP_002024317.1|DPER, LOC6598795|XP_002023906.1|DPER
OG0000686	LOC6051596|XP_038120199.1|CQUI	LOC6590052|XP_002015525.1|DPER, LOC6603117|XP_002028083.1|DPER
OG0000687	LOC6035321|XP_001845536.1|CQUI	LOC6601200|XP_002026231.1|DPER
OG0000688	LOC6040659|XP_038115242.1|CQUI	LOC6592236|XP_002017587.1|DPER
OG0000689	LOC119769612|XP_038118657.1|CQUI	LOC6590035|XP_002016309.1|DPER, LOC6590036|XP_002016310.1|DPER
OG0000690	LOC6050670|XP_038115594.1|CQUI, LOC6038219|XP_001848048.1|CQUI, LOC6047742|XP_001864761.2|CQUI, LOC6042033|XP_001851195.2|CQUI, LOC6050673|XP_001867238.2|CQUI	LOC6599922|XP_002025050.1|DPER
OG0000691	LOC6038874|XP_038122076.1|CQUI	LOC6593879|XP_002019176.1|DPER, LOC113565973|XP_026845267.1|DPER
OG0000692	LOC6050833|XP_038117216.1|CQUI, LOC6050834|XP_001867362.2|CQUI	LOC6599816|XP_002024916.1|DPER, LOC6599815|XP_002024915.2|DPER
OG0000694	LOC6047733|XP_038120382.1|CQUI	LOC6600080|XP_026845124.1|DPER, LOC6600480|XP_002025671.1|DPER
OG0000695	LOC6043622|XP_038113841.1|CQUI	LOC6593362|XP_026844826.1|DPER, LOC6593802|XP_026844825.1|DPER
OG0000696	LOC6034106|XP_001844471.1|CQUI	LOC6603047|XP_002028069.1|DPER, LOC6589599|XP_002014832.1|DPER, LOC6597365|XP_002022406.1|DPER, LOC113566188|XP_026846491.1|DPER, LOC6597364|XP_002022405.1|DPER
OG0000697	LOC6037877|XP_001847743.2|CQUI	LOC6589229|XP_002014218.1|DPER, LOC113565665|XP_026844161.1|DPER
OG0000698	LOC6054309|XP_038113357.1|CQUI	LOC6588756|XP_002014947.2|DPER, LOC6588755|XP_002014946.1|DPER
OG0000699	LOC6031882|XP_038111805.1|CQUI	LOC6595455|XP_026844479.1|DPER, LOC6603558|XP_002028536.1|DPER
OG0000700	LOC6045669|XP_038108368.1|CQUI	LOC6595608|XP_026843989.1|DPER, LOC6596368|XP_026843733.1|DPER
OG0000701	LOC6050972|XP_038112604.1|CQUI	LOC6590266|XP_002015470.1|DPER, LOC6598191|XP_026846344.1|DPER
OG0000702	LOC6052432|XP_038117603.1|CQUI	LOC6591924|XP_002017426.1|DPER, LOC6591925|XP_026840428.1|DPER
OG0000703	LOC6035033|XP_038122275.1|CQUI	LOC6593867|XP_026843461.1|DPER, LOC6601576|XP_026841293.1|DPER
OG0000704	LOC6038164|XP_038120107.1|CQUI	LOC6599967|XP_026849210.1|DPER, LOC6598854|XP_002023747.1|DPER
OG0000705	LOC6052245|XP_038115015.1|CQUI	LOC6595836|XP_002021425.1|DPER, LOC6601197|XP_026848109.1|DPER, LOC6595837|XP_002021426.1|DPER
OG0000706	LOC6046887|XP_038117985.1|CQUI	LOC6588941|XP_002014911.2|DPER, LOC6600147|XP_002025230.1|DPER
OG0000707	LOC6045804|XP_038117453.1|CQUI	LOC6599357|XP_002024480.1|DPER
OG0000708	LOC6037569|XP_038120474.1|CQUI	LOC6599101|XP_026849275.1|DPER, LOC6597376|XP_026846533.1|DPER
OG0000709	LOC6039218|XP_038117369.1|CQUI	LOC6595308|XP_002020435.1|DPER, LOC6598385|XP_026846195.1|DPER
OG0000710	LOC6031510|XP_001842300.1|CQUI	LOC6594349|XP_002019528.1|DPER, LOC6592245|XP_002017596.1|DPER
OG0000711	LOC6036869|XP_001846852.1|CQUI	LOC6604737|XP_002029610.2|DPER, LOC6599996|XP_002025154.2|DPER
OG0000712	LOC119766789|XP_038108506.1|CQUI, LOC6045985|XP_038106057.1|CQUI	LOC6594409|XP_002019673.2|DPER, LOC6594213|XP_002019672.1|DPER
OG0000713	LOC6049870|XP_001866561.1|CQUI	LOC6587653|XP_026850225.1|DPER, LOC6601565|XP_002026685.1|DPER
OG0000714	LOC6045584|XP_038113889.1|CQUI	LOC6598443|XP_002023570.1|DPER, LOC6599667|XP_002024799.1|DPER
OG0000715	LOC119767953|XP_038113953.1|CQUI	LOC6594763|XP_002020100.1|DPER, LOC6604406|XP_002029307.2|DPER, LOC6593922|XP_002018683.2|DPER
OG0000716	LOC6040190|XP_001849640.2|CQUI	LOC6600355|XP_002025479.1|DPER, LOC6597000|XP_002022247.1|DPER
OG0000724	LOC6042711|XP_001870728.1|CQUI	LOC6597728|XP_002023000.2|DPER, LOC113565135|XP_026841851.1|DPER
OG0000726	LOC6035562|XP_038104583.1|CQUI	LOC6591837|XP_002017205.1|DPER, LOC6591836|XP_002017204.1|DPER
OG0000727	LOC6032646|XP_001843213.2|CQUI, LOC6032648|XP_038122826.1|CQUI	LOC6594229|XP_026850321.1|DPER
OG0000730	LOC6031123|XP_001841967.1|CQUI	LOC113565668|XP_026844174.1|DPER, LOC6588948|XP_026843905.1|DPER
OG0000731	LOC6043928|XP_001861511.1|CQUI	LOC6599739|XP_002024809.1|DPER, LOC6602114|XP_002027128.1|DPER
OG0000732	LOC6041983|XP_001851156.1|CQUI	LOC6600555|XP_026847501.1|DPER, LOC6600556|XP_002025709.2|DPER
OG0000733	LOC6047563|XP_001864598.2|CQUI	LOC6594844|XP_002020248.1|DPER, LOC6600336|XP_002025345.2|DPER
OG0000734	LOC6052234|XP_038116578.1|CQUI	LOC6598379|XP_026846254.1|DPER, LOC6603302|XP_026849869.1|DPER
OG0000735	LOC6044469|XP_001861983.1|CQUI	LOC6596910|XP_002021871.1|DPER, LOC6589235|XP_026844882.1|DPER
OG0000736	LOC6037099|XP_038112503.1|CQUI	LOC6589180|XP_002015182.2|DPER, LOC6589179|XP_026844979.1|DPER
OG0000738	LOC6036448|XP_001846499.1|CQUI	LOC6589558|XP_002015267.1|DPER, LOC6593905|XP_002018782.1|DPER
OG0000739	LOC6036343|XP_038110352.1|CQUI	LOC6591559|XP_002017108.1|DPER, LOC6591561|XP_026841282.1|DPER
OG0000740	LOC6045778|XP_038107229.1|CQUI	LOC6602918|XP_026846872.1|DPER
OG0000740	LOC6038854|XP_038113339.1|CQUI	LOC6594597|XP_026850661.1|DPER
OG0000741	LOC6038156|XP_038115491.1|CQUI, LOC6038158|XP_001847991.2|CQUI	LOC6588370|XP_002012927.1|DPER, LOC113566295|XP_026847087.1|DPER
OG0000742	LOC6046871|XP_038115688.1|CQUI	LOC6599377|XP_026847199.1|DPER, LOC6599376|XP_026847170.1|DPER
OG0000743	LOC6050273|XP_001866910.2|CQUI	LOC6601019|XP_026849767.1|DPER
OG0000744	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI	LOC6602072|XP_002027150.1|DPER
OG0000746	LOC6043117|XP_001855912.2|CQUI	LOC6590129|XP_002016240.1|DPER
OG0000753	LOC6048959|XP_038122824.1|CQUI	LOC6598725|XP_002023872.1|DPER
OG0000754	LOC6049897|XP_001866577.2|CQUI	LOC6597690|XP_026846395.1|DPER, LOC6599418|XP_002024468.1|DPER
OG0000756	LOC6046145|XP_001863379.2|CQUI	LOC6591843|XP_026851062.1|DPER
OG0000757	LOC6046554|XP_038118070.1|CQUI	LOC6598237|XP_002023379.1|DPER, LOC6598307|XP_002023381.1|DPER, LOC6602948|XP_026848752.1|DPER
OG0000758	LOC6040607|XP_038119298.1|CQUI	LOC6599811|XP_026847287.1|DPER
OG0000760	LOC6031804|XP_038112857.1|CQUI	LOC6590088|XP_026842440.1|DPER
OG0000761	LOC6033760|XP_038107373.1|CQUI	LOC113564874|XP_026844497.1|DPER, LOC6588706|XP_026844499.1|DPER, LOC113565892|XP_026845057.1|DPER
OG0000762	LOC6037908|XP_001847768.1|CQUI	LOC6593836|XP_002018698.2|DPER
OG0000764	LOC6039471|XP_038122347.1|CQUI	LOC6598303|XP_026846327.1|DPER
OG0000765	LOC6049633|XP_038120394.1|CQUI	LOC6599524|XP_002024651.1|DPER, LOC6596692|XP_002021961.1|DPER
OG0000766	LOC6046669|XP_001863836.1|CQUI	LOC6593521|XP_026843096.1|DPER, LOC6602757|XP_026847724.1|DPER
OG0000767	LOC6033818|XP_001844213.2|CQUI	LOC6602354|XP_026848587.1|DPER
OG0000768	LOC6037757|XP_038118780.1|CQUI	LOC6593368|XP_002018589.1|DPER, LOC6595978|XP_002021044.1|DPER
OG0000769	LOC6036915|XP_001846890.2|CQUI	LOC6591780|XP_002017141.1|DPER, LOC6597849|XP_002023011.1|DPER
OG0000770	LOC119766679|XP_038107821.1|CQUI, LOC6032313|XP_001842945.1|CQUI	LOC6590038|XP_002016312.1|DPER
OG0000771	LOC6037662|XP_038113592.1|CQUI	LOC6601966|XP_002026996.2|DPER, LOC6601965|XP_002026995.1|DPER
OG0000778	LOC6038198|XP_038117770.1|CQUI	LOC6600310|XP_002025364.2|DPER, LOC6591731|XP_002016809.1|DPER
OG0000779	LOC6051382|XP_038104144.1|CQUI, LOC6051383|XP_038115271.1|CQUI, LOC6041720|XP_038104033.1|CQUI, LOC6044161|XP_001861710.2|CQUI, LOC6044291|XP_038121588.1|CQUI	LOC6601764|XP_026846923.1|DPER
OG0000780	LOC6044209|XP_038104803.1|CQUI, LOC6044211|XP_038104434.1|CQUI, LOC6044213|XP_038122683.1|CQUI	LOC6602075|XP_002027153.1|DPER, LOC6602076|XP_002027154.1|DPER
OG0000781	LOC6037941|XP_038110485.1|CQUI	LOC6596856|XP_026846021.1|DPER, LOC6603262|XP_002028236.1|DPER
OG0000782	LOC6034796|XP_038114655.1|CQUI	LOC6595938|XP_002020988.1|DPER, LOC6600071|XP_002025195.1|DPER
OG0000783	LOC6034787|XP_001845060.1|CQUI	LOC6596007|XP_002020996.2|DPER, LOC6598279|XP_002023302.1|DPER
OG0000784	LOC6052698|XP_038104428.1|CQUI	LOC6601415|XP_002026484.2|DPER, LOC6598155|XP_002023492.1|DPER
OG0000785	LOC6046529|XP_001863710.2|CQUI, LOC6046527|XP_001863709.2|CQUI	LOC6587255|XP_026850789.1|DPER, LOC6587251|XP_002013052.1|DPER
OG0000786	LOC6037507|XP_038107901.1|CQUI	LOC6597691|XP_026846572.1|DPER, LOC6604641|XP_026841759.1|DPER
OG0000787	LOC6035614|XP_001845763.1|CQUI	LOC6599836|XP_002024855.1|DPER, LOC6598309|XP_002023383.2|DPER
OG0000788	LOC6045925|XP_001863200.1|CQUI	LOC113565626|XP_026843947.1|DPER, LOC6597135|XP_026845221.1|DPER, LOC6587394|XP_002013271.1|DPER
OG0000789	LOC6047537|XP_001864587.2|CQUI	LOC6596544|XP_002021681.2|DPER
OG0000790	LOC119767740|XP_038113035.1|CQUI	LOC6595598|XP_002020946.1|DPER, LOC6595597|XP_002020945.2|DPER
OG0000791	LOC6036471|XP_001846521.1|CQUI	LOC6596571|XP_002021832.1|DPER, LOC6595155|XP_026850677.1|DPER
OG0000792	LOC119767396|XP_038111828.1|CQUI, LOC6046623|XP_001863795.2|CQUI	LOC6595629|XP_002020703.1|DPER
OG0000793	LOC6046063|XP_001863318.1|CQUI	LOC6594628|XP_002019474.1|DPER, LOC6599238|XP_026848262.1|DPER, LOC6604313|XP_002029224.2|DPER
