Orthogroup	CQUI.longest_only	DSAN.longest_only
OG0000616	LOC6048951|XP_038114828.1|CQUI, LOC119770520|XP_038121468.1|CQUI, LOC6048954|XP_038121478.1|CQUI	LOC120456764|XP_039499692.1|DSAN, LOC120456814|XP_039499793.1|DSAN
OG0000617	LOC6047468|XP_001864522.2|CQUI	LOC120451325|XP_039490831.1|DSAN, LOC120454642|XP_039496076.1|DSAN
OG0000618	LOC6039614|XP_001849188.1|CQUI	LOC120450570|XP_039489616.1|DSAN
OG0000619	LOC6040690|XP_001850045.2|CQUI, LOC119765528|XP_038105487.1|CQUI	LOC120446962|XP_039484151.1|DSAN
OG0000620	LOC6032813|XP_038118430.1|CQUI	LOC120455846|XP_039498251.1|DSAN, LOC120449969|XP_039488609.1|DSAN
OG0000621	LOC6031110|XP_001841955.1|CQUI	LOC120451270|XP_039490740.1|DSAN, LOC120455984|XP_039498474.1|DSAN
OG0000622	LOC6040743|XP_038116870.1|CQUI	LOC120449706|XP_039488257.1|DSAN, LOC120449297|XP_039487621.1|DSAN
OG0000623	LOC119769481|XP_038118011.1|CQUI	LOC120448348|XP_039486246.1|DSAN, LOC120447978|XP_039485606.1|DSAN
OG0000624	LOC6044017|XP_001861591.1|CQUI	LOC120445801|XP_039482347.1|DSAN, LOC120445800|XP_039482346.1|DSAN
OG0000625	LOC6040993|XP_038116438.1|CQUI	LOC120447651|XP_039485096.1|DSAN, LOC120447653|XP_039485100.1|DSAN
OG0000626	LOC6051789|XP_001868161.1|CQUI	LOC120458803|XP_039502529.1|DSAN, LOC120445676|XP_039482165.1|DSAN
OG0000627	LOC6042124|XP_038110833.1|CQUI	LOC120449610|XP_039488112.1|DSAN, LOC120456747|XP_039499671.1|DSAN
OG0000628	LOC6031813|XP_001842520.1|CQUI	LOC120458922|XP_039502706.1|DSAN, LOC120458476|XP_039502070.1|DSAN
OG0000629	LOC119766976|XP_038109725.1|CQUI	LOC120453441|XP_039494082.1|DSAN, LOC120457821|XP_039501255.1|DSAN
OG0000630	LOC6035276|XP_038111598.1|CQUI	LOC120446016|XP_039482704.1|DSAN, LOC120446110|XP_039482838.1|DSAN
OG0000631	LOC6033752|XP_038111487.1|CQUI	LOC120456572|XP_039499397.1|DSAN, LOC120455098|XP_039496911.1|DSAN
OG0000632	LOC6039836|XP_038110109.1|CQUI	LOC120458304|XP_039501838.1|DSAN, LOC120445148|XP_039481246.1|DSAN
OG0000635	LOC6051292|XP_038119302.1|CQUI	LOC120444703|XP_039480508.1|DSAN, LOC120455006|XP_039496760.1|DSAN
OG0000636	LOC6053271|XP_038121208.1|CQUI	LOC120445250|XP_039481458.1|DSAN, LOC120445274|XP_039481505.1|DSAN
OG0000637	LOC6046174|XP_038111493.1|CQUI	LOC120455866|XP_039498272.1|DSAN, LOC120455782|XP_039498173.1|DSAN
OG0000638	LOC6035960|XP_001846068.1|CQUI	LOC120453651|XP_039494379.1|DSAN, LOC120457250|XP_039500576.1|DSAN
OG0000639	LOC6034680|XP_038109438.1|CQUI	LOC120450645|XP_039489733.1|DSAN
OG0000646	LOC6053145|XP_038116913.1|CQUI	LOC120451966|XP_039491925.1|DSAN, LOC120450876|XP_039490037.1|DSAN
OG0000647	LOC6052863|XP_038104142.1|CQUI	LOC120454123|XP_039495095.1|DSAN, LOC120454193|XP_039495218.1|DSAN, LOC120455325|XP_039497335.1|DSAN
OG0000648	LOC6044379|XP_038104457.1|CQUI	LOC120455742|XP_039498098.1|DSAN
OG0000649	LOC6052346|XP_038122673.1|CQUI	LOC120455181|XP_039497051.1|DSAN, LOC120455180|XP_039497048.1|DSAN
OG0000650	LOC119765291|XP_038104781.1|CQUI	LOC120451331|XP_039490843.1|DSAN
OG0000651	LOC6034792|XP_038108743.1|CQUI	LOC120450344|XP_039489253.1|DSAN, LOC120450498|XP_039489478.1|DSAN
OG0000652	LOC6047846|XP_001864848.1|CQUI	LOC120458370|XP_039501927.1|DSAN, LOC120456932|XP_039500004.1|DSAN
OG0000653	LOC6035413|XP_038122495.1|CQUI, LOC6035412|XP_038122483.1|CQUI	LOC120451404|XP_039491006.1|DSAN, LOC120451413|XP_039491018.1|DSAN
OG0000654	LOC6039542|XP_038121287.1|CQUI	LOC120450105|XP_039488834.1|DSAN
OG0000655	LOC6041337|XP_001850614.2|CQUI	LOC120444469|XP_039480079.1|DSAN, LOC120443836|XP_039479127.1|DSAN
OG0000656	LOC6051101|XP_038116957.1|CQUI	LOC120451785|XP_039491669.1|DSAN, LOC120451786|XP_039491671.1|DSAN
OG0000657	LOC6041310|XP_001850590.2|CQUI	LOC120449330|XP_039487664.1|DSAN, LOC120446297|XP_039483139.1|DSAN
OG0000658	LOC6037018|XP_038108424.1|CQUI	LOC120456400|XP_039499163.1|DSAN, LOC120451552|XP_039491285.1|DSAN
OG0000659	LOC6036999|XP_001846964.1|CQUI	LOC120458022|XP_039501460.1|DSAN, LOC120445541|XP_039481946.1|DSAN
OG0000660	LOC6053861|XP_001869873.1|CQUI	LOC120458163|XP_039501653.1|DSAN
OG0000661	LOC6033622|XP_001844049.2|CQUI	LOC120450274|XP_039489124.1|DSAN, LOC120453800|XP_039494611.1|DSAN
OG0000662	LOC6052557|XP_038120537.1|CQUI	LOC120450625|XP_039489706.1|DSAN, LOC120451091|XP_039490415.1|DSAN
OG0000663	LOC6039520|XP_001849122.2|CQUI	LOC120445154|XP_039481261.1|DSAN
OG0000664	LOC6046260|XP_038114809.1|CQUI	LOC120455363|XP_039497404.1|DSAN
OG0000665	LOC6048712|XP_001865588.1|CQUI	LOC120454654|XP_039496090.1|DSAN, LOC120454653|XP_039496089.1|DSAN
OG0000666	LOC6054798|XP_038119012.1|CQUI	LOC120444718|XP_039480530.1|DSAN, LOC120454980|XP_039496706.1|DSAN
OG0000667	LOC6046897|XP_038119403.1|CQUI	LOC120457002|XP_039500090.1|DSAN, LOC120454381|XP_039495553.1|DSAN
OG0000668	LOC6046395|XP_038118170.1|CQUI	LOC120457542|XP_039501020.1|DSAN, LOC120447464|XP_039484787.1|DSAN, LOC120454262|XP_039495343.1|DSAN
OG0000669	LOC119770724|XP_038122042.1|CQUI	LOC120455826|XP_039498225.1|DSAN, LOC120455825|XP_039498224.1|DSAN
OG0000670	LOC6046815|XP_038111687.1|CQUI	LOC120456289|XP_039498967.1|DSAN, LOC120447050|XP_039484360.1|DSAN, LOC120455057|XP_039496845.1|DSAN
OG0000671	LOC6038345|XP_001848160.1|CQUI	LOC120451856|XP_039491783.1|DSAN, LOC120453960|XP_039494843.1|DSAN
OG0000672	LOC6043037|XP_038113688.1|CQUI	LOC120456969|XP_039500049.1|DSAN, LOC120455084|XP_039496883.1|DSAN
OG0000673	LOC6034544|XP_001844844.1|CQUI	LOC120457291|XP_039500680.1|DSAN, LOC120448420|XP_039486353.1|DSAN
OG0000677	LOC119771220|XP_038122896.1|CQUI	LOC120450477|XP_039489455.1|DSAN, LOC120456261|XP_039498918.1|DSAN
OG0000678	LOC6049218|XP_001866018.1|CQUI	LOC120451872|XP_039491813.1|DSAN, LOC120458138|XP_039501616.1|DSAN
OG0000679	LOC6043332|XP_001858497.2|CQUI, LOC6043334|XP_038120970.1|CQUI, LOC119770348|XP_038120969.1|CQUI, LOC6051380|XP_001867828.2|CQUI, LOC6041272|XP_001850558.1|CQUI, LOC6041270|XP_038114788.1|CQUI	LOC120456931|XP_039500003.1|DSAN
OG0000680	LOC6040463|XP_038110968.1|CQUI	LOC120455793|XP_039498184.1|DSAN, LOC120456865|XP_039499889.1|DSAN
OG0000681	LOC6034420|XP_038105001.1|CQUI	LOC120452262|XP_039492326.1|DSAN, LOC120456003|XP_039498495.1|DSAN
OG0000683	LOC119771188|XP_038122716.1|CQUI, LOC119771187|XP_038122715.1|CQUI, LOC6041367|XP_001850634.1|CQUI, LOC6035206|XP_001845435.2|CQUI	LOC120454361|XP_039495520.1|DSAN
OG0000684	LOC6048395|XP_001865319.1|CQUI	LOC120453683|XP_039494434.1|DSAN, LOC120451566|XP_039491310.1|DSAN
OG0000685	LOC6037400|XP_038114905.1|CQUI	LOC120455779|XP_039498170.1|DSAN, LOC120450973|XP_039490198.1|DSAN
OG0000686	LOC6051596|XP_038120199.1|CQUI	LOC120458110|XP_039501574.1|DSAN, LOC120456828|XP_039499810.1|DSAN
OG0000687	LOC6035321|XP_001845536.1|CQUI	LOC120446241|XP_039483046.1|DSAN, LOC120447842|XP_039485382.1|DSAN
OG0000688	LOC6040659|XP_038115242.1|CQUI	LOC120445255|XP_039481476.1|DSAN
OG0000689	LOC119769612|XP_038118657.1|CQUI	LOC120458555|XP_039502171.1|DSAN, LOC120458554|XP_039502170.1|DSAN
OG0000690	LOC6050670|XP_038115594.1|CQUI, LOC6038219|XP_001848048.1|CQUI, LOC6047742|XP_001864761.2|CQUI, LOC6042033|XP_001851195.2|CQUI, LOC6050673|XP_001867238.2|CQUI	LOC120456693|XP_039499593.1|DSAN
OG0000691	LOC6038874|XP_038122076.1|CQUI	LOC120458570|XP_039502202.1|DSAN, LOC120448619|XP_039486665.1|DSAN
OG0000692	LOC6050833|XP_038117216.1|CQUI, LOC6050834|XP_001867362.2|CQUI	LOC120449016|XP_039487227.1|DSAN, LOC120447815|XP_039485324.1|DSAN
OG0000694	LOC6047733|XP_038120382.1|CQUI	LOC120456327|XP_039499027.1|DSAN, LOC120449661|XP_039488192.1|DSAN
OG0000695	LOC6043622|XP_038113841.1|CQUI	LOC120457964|XP_039501403.1|DSAN, LOC120456656|XP_039499524.1|DSAN
OG0000696	LOC6034106|XP_001844471.1|CQUI	LOC120449745|XP_039488314.1|DSAN
OG0000697	LOC6037877|XP_001847743.2|CQUI	LOC120457330|XP_039500772.1|DSAN, LOC120458583|XP_039502216.1|DSAN
OG0000698	LOC6054309|XP_038113357.1|CQUI	LOC120458870|XP_039502636.1|DSAN, LOC120458807|XP_039502537.1|DSAN
OG0000699	LOC6031882|XP_038111805.1|CQUI	LOC120454037|XP_039494967.1|DSAN, LOC120454023|XP_039494946.1|DSAN
OG0000700	LOC6045669|XP_038108368.1|CQUI	LOC120457293|XP_039500688.1|DSAN, LOC120458189|XP_039501691.1|DSAN
OG0000701	LOC6050972|XP_038112604.1|CQUI	LOC120445978|XP_039482644.1|DSAN, LOC120456994|XP_039500080.1|DSAN
OG0000702	LOC6052432|XP_038117603.1|CQUI	LOC120452386|XP_039492535.1|DSAN, LOC120452384|XP_039492511.1|DSAN
OG0000703	LOC6035033|XP_038122275.1|CQUI	LOC120446160|XP_039482929.1|DSAN, LOC120447202|XP_039484628.1|DSAN
OG0000704	LOC6038164|XP_038120107.1|CQUI	LOC120456663|XP_039499530.1|DSAN, LOC120453638|XP_039494365.1|DSAN
OG0000705	LOC6052245|XP_038115015.1|CQUI	LOC120447910|XP_039485494.1|DSAN, LOC120447907|XP_039485490.1|DSAN
OG0000706	LOC6046887|XP_038117985.1|CQUI	LOC120446469|XP_039483406.1|DSAN, LOC120457407|XP_039500938.1|DSAN
OG0000707	LOC6045804|XP_038117453.1|CQUI	LOC120446827|XP_039483942.1|DSAN, LOC120455251|XP_039497182.1|DSAN
OG0000708	LOC6037569|XP_038120474.1|CQUI	LOC120455177|XP_039497042.1|DSAN, LOC120457366|XP_039500830.1|DSAN
OG0000709	LOC6039218|XP_038117369.1|CQUI	LOC120452929|XP_039493332.1|DSAN, LOC120457187|XP_039500464.1|DSAN
OG0000710	LOC6031510|XP_001842300.1|CQUI	LOC120451962|XP_039491920.1|DSAN, LOC120444757|XP_039480619.1|DSAN
OG0000711	LOC6036869|XP_001846852.1|CQUI	LOC120449857|XP_039488450.1|DSAN, LOC120455765|XP_039498152.1|DSAN
OG0000712	LOC119766789|XP_038108506.1|CQUI, LOC6045985|XP_038106057.1|CQUI	LOC120454438|XP_039495667.1|DSAN, LOC120454436|XP_039495666.1|DSAN
OG0000713	LOC6049870|XP_001866561.1|CQUI	LOC120451767|XP_039491631.1|DSAN, LOC120446250|XP_039483055.1|DSAN
OG0000714	LOC6045584|XP_038113889.1|CQUI	LOC120457381|XP_039500858.1|DSAN, LOC120450128|XP_039488887.1|DSAN
OG0000715	LOC119767953|XP_038113953.1|CQUI	LOC120448797|XP_039486922.1|DSAN, LOC120448312|XP_039486193.1|DSAN
OG0000716	LOC6040190|XP_001849640.2|CQUI	LOC120456891|XP_039499923.1|DSAN, LOC120448924|XP_039487089.1|DSAN
OG0000724	LOC6042711|XP_001870728.1|CQUI	LOC120455183|XP_039497052.1|DSAN, LOC120452933|XP_039493348.1|DSAN
OG0000726	LOC6035562|XP_038104583.1|CQUI	LOC120452320|XP_039492408.1|DSAN, LOC120452321|XP_039492409.1|DSAN
OG0000727	LOC6032646|XP_001843213.2|CQUI, LOC6032648|XP_038122826.1|CQUI	LOC120452856|XP_039493231.1|DSAN, LOC120453659|XP_039494386.1|DSAN
OG0000730	LOC6031123|XP_001841967.1|CQUI	LOC120457188|XP_039500467.1|DSAN, LOC120446969|XP_039484176.1|DSAN
OG0000731	LOC6043928|XP_001861511.1|CQUI	LOC120449379|XP_039487747.1|DSAN, LOC120446487|XP_039483426.1|DSAN
OG0000732	LOC6041983|XP_001851156.1|CQUI	LOC120448613|XP_039486658.1|DSAN, LOC120448612|XP_039486657.1|DSAN
OG0000733	LOC6047563|XP_001864598.2|CQUI	LOC120452722|XP_039493020.1|DSAN, LOC120448293|XP_039486165.1|DSAN
OG0000734	LOC6052234|XP_038116578.1|CQUI	LOC120456995|XP_039500081.1|DSAN, LOC120450499|XP_039489480.1|DSAN
OG0000735	LOC6044469|XP_001861983.1|CQUI	LOC120456631|XP_039499488.1|DSAN, LOC120447158|XP_039484547.1|DSAN
OG0000736	LOC6037099|XP_038112503.1|CQUI	LOC120444109|XP_039479571.1|DSAN, LOC120444110|XP_039479573.1|DSAN
OG0000738	LOC6036448|XP_001846499.1|CQUI	LOC120446122|XP_039482884.1|DSAN, LOC120453163|XP_039493660.1|DSAN
OG0000739	LOC6036343|XP_038110352.1|CQUI	LOC120451554|XP_039491288.1|DSAN, LOC120451553|XP_039491287.1|DSAN
OG0000740	LOC6038854|XP_038113339.1|CQUI	LOC120451164|XP_039490534.1|DSAN
OG0000741	LOC6038156|XP_038115491.1|CQUI, LOC6038158|XP_001847991.2|CQUI	LOC120455249|XP_039497179.1|DSAN, LOC120452622|XP_039492862.1|DSAN
OG0000742	LOC6046871|XP_038115688.1|CQUI	LOC120456342|XP_039499055.1|DSAN, LOC120456343|XP_039499059.1|DSAN
OG0000743	LOC6050273|XP_001866910.2|CQUI	LOC120450399|XP_039489328.1|DSAN, LOC120446654|XP_039483659.1|DSAN
OG0000744	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI	LOC120445341|XP_039481611.1|DSAN
OG0000746	LOC6043117|XP_001855912.2|CQUI	LOC120450433|XP_039489380.1|DSAN, LOC120458786|XP_039502501.1|DSAN
OG0000753	LOC6048959|XP_038122824.1|CQUI	LOC120451405|XP_039491007.1|DSAN, LOC120448620|XP_039486666.1|DSAN
OG0000754	LOC6049897|XP_001866577.2|CQUI	LOC120455549|XP_039497823.1|DSAN, LOC120456428|XP_039499194.1|DSAN
OG0000756	LOC6046145|XP_001863379.2|CQUI	LOC120452282|XP_039492347.1|DSAN
OG0000756	LOC6052700|XP_001868927.1|CQUI	LOC120452261|XP_039492325.1|DSAN
OG0000757	LOC6046554|XP_038118070.1|CQUI	LOC120449687|XP_039488237.1|DSAN
OG0000758	LOC6040607|XP_038119298.1|CQUI	LOC120448310|XP_039486189.1|DSAN, LOC120448308|XP_039486186.1|DSAN
OG0000761	LOC6033760|XP_038107373.1|CQUI	LOC120458100|XP_039501561.1|DSAN, LOC120447786|XP_039485279.1|DSAN
OG0000762	LOC6037908|XP_001847768.1|CQUI	LOC120443783|XP_039479046.1|DSAN, LOC120452096|XP_039492108.1|DSAN
OG0000764	LOC6039471|XP_038122347.1|CQUI	LOC120454708|XP_039496187.1|DSAN, LOC120455673|XP_039498009.1|DSAN
OG0000765	LOC6049633|XP_038120394.1|CQUI	LOC120448567|XP_039486557.1|DSAN, LOC120455465|XP_039497620.1|DSAN
OG0000766	LOC6046669|XP_001863836.1|CQUI	LOC120451292|XP_039490783.1|DSAN, LOC120456772|XP_039499703.1|DSAN
OG0000767	LOC6033818|XP_001844213.2|CQUI	LOC120454112|XP_039495075.1|DSAN, LOC120449383|XP_039487752.1|DSAN
OG0000768	LOC6037757|XP_038118780.1|CQUI	LOC120449035|XP_039487252.1|DSAN
OG0000769	LOC6036915|XP_001846890.2|CQUI	LOC120453946|XP_039494825.1|DSAN, LOC120456317|XP_039499005.1|DSAN
OG0000770	LOC119766679|XP_038107821.1|CQUI, LOC6032313|XP_001842945.1|CQUI	LOC120443993|XP_039479405.1|DSAN
OG0000771	LOC6037662|XP_038113592.1|CQUI	LOC120450627|XP_039489709.1|DSAN, LOC120450626|XP_039489708.1|DSAN
OG0000778	LOC6038198|XP_038117770.1|CQUI	LOC120450456|XP_039489410.1|DSAN
OG0000779	LOC6051382|XP_038104144.1|CQUI, LOC6051383|XP_038115271.1|CQUI, LOC6041720|XP_038104033.1|CQUI, LOC6044161|XP_001861710.2|CQUI, LOC6044291|XP_038121588.1|CQUI	LOC120455935|XP_039498398.1|DSAN
OG0000780	LOC6044209|XP_038104803.1|CQUI, LOC6044211|XP_038104434.1|CQUI, LOC6044213|XP_038122683.1|CQUI	LOC120447226|XP_039484684.1|DSAN
OG0000781	LOC6037941|XP_038110485.1|CQUI	LOC120455404|XP_039497475.1|DSAN, LOC120449594|XP_039488093.1|DSAN
OG0000782	LOC6034796|XP_038114655.1|CQUI	LOC120447554|XP_039484940.1|DSAN, LOC120456517|XP_039499319.1|DSAN
OG0000783	LOC6034787|XP_001845060.1|CQUI	LOC120457419|XP_039500951.1|DSAN
OG0000784	LOC6052698|XP_038104428.1|CQUI	LOC120448569|XP_039486563.1|DSAN, LOC120456359|XP_039499089.1|DSAN
OG0000785	LOC6046529|XP_001863710.2|CQUI, LOC6046527|XP_001863709.2|CQUI	LOC120451561|XP_039491298.1|DSAN, LOC120452243|XP_039492304.1|DSAN
OG0000786	LOC6037507|XP_038107901.1|CQUI	LOC120454896|XP_039496485.1|DSAN, LOC120451725|XP_039491565.1|DSAN
OG0000787	LOC6035614|XP_001845763.1|CQUI	LOC120450218|XP_039489026.1|DSAN, LOC120457321|XP_039500761.1|DSAN
OG0000788	LOC6045925|XP_001863200.1|CQUI	LOC120446414|XP_039483307.1|DSAN, LOC120447944|XP_039485556.1|DSAN
OG0000789	LOC6047537|XP_001864587.2|CQUI	LOC120444123|XP_039479611.1|DSAN, LOC120458655|XP_039502320.1|DSAN
OG0000790	LOC119767740|XP_038113035.1|CQUI	LOC120443927|XP_039479304.1|DSAN, LOC120443926|XP_039479303.1|DSAN
OG0000791	LOC6036471|XP_001846521.1|CQUI	LOC120451799|XP_039491688.1|DSAN, LOC120451390|XP_039490987.1|DSAN
OG0000792	LOC119767396|XP_038111828.1|CQUI, LOC6046623|XP_001863795.2|CQUI	LOC120458644|XP_039502307.1|DSAN
OG0000793	LOC6046063|XP_001863318.1|CQUI	LOC120450868|XP_039490025.1|DSAN, LOC120455917|XP_039498360.1|DSAN
OG0000794	LOC6050901|XP_001867420.2|CQUI, LOC6050899|XP_001867422.2|CQUI	LOC120458949|XP_039502749.1|DSAN, LOC120455208|XP_039497100.1|DSAN
OG0000795	LOC6034049|XP_001844428.2|CQUI	LOC120456266|XP_039498925.1|DSAN, LOC120451950|XP_039491905.1|DSAN
OG0000796	LOC6036713|XP_001846717.2|CQUI	LOC120452605|XP_039492836.1|DSAN, LOC120457242|XP_039500561.1|DSAN
OG0000797	LOC6037066|XP_001847023.1|CQUI, LOC6046197|XP_001863428.1|CQUI	LOC120450781|XP_039489874.1|DSAN, LOC120454499|XP_039495784.1|DSAN
OG0000798	LOC6052446|XP_038107346.1|CQUI	LOC120447178|XP_039484574.1|DSAN, LOC120447177|XP_039484570.1|DSAN
OG0000799	LOC6054174|XP_038108545.1|CQUI	LOC120453969|XP_039494854.1|DSAN, LOC120456459|XP_039499240.1|DSAN
OG0000801	LOC6046949|XP_001864068.1|CQUI	LOC120445881|XP_039482462.1|DSAN, LOC120444270|XP_039479718.1|DSAN
OG0000802	LOC6040365|XP_001849765.2|CQUI, LOC6051527|XP_038106125.1|CQUI, LOC6040366|XP_038110323.1|CQUI	LOC120456940|XP_039500013.1|DSAN, LOC120455607|XP_039497922.1|DSAN
OG0000803	LOC6036009|XP_001846113.1|CQUI	LOC120455820|XP_039498222.1|DSAN, LOC120448514|XP_039486482.1|DSAN
OG0000811	LOC6032795|XP_001843334.2|CQUI	LOC120444327|XP_039479813.1|DSAN
OG0000812	LOC6031005|XP_038117373.1|CQUI	LOC120455352|XP_039497379.1|DSAN, LOC120450359|XP_039489275.1|DSAN
OG0000813	LOC6036541|XP_001846586.2|CQUI	LOC120446280|XP_039483104.1|DSAN
OG0000814	LOC6042898|XP_038118763.1|CQUI	LOC120445121|XP_039481202.1|DSAN
OG0000815	LOC6031268|XP_038112299.1|CQUI, LOC6031267|XP_001842093.2|CQUI, LOC119766437|XP_038106914.1|CQUI, LOC6031271|XP_038111478.1|CQUI, LOC6031270|XP_038110981.1|CQUI	LOC120458043|XP_039501486.1|DSAN
OG0000816	LOC6036458|XP_001846508.1|CQUI	LOC120456056|XP_039498572.1|DSAN, LOC120450930|XP_039490130.1|DSAN
OG0000817	LOC6041737|XP_001850957.1|CQUI	LOC120453171|XP_039493665.1|DSAN, LOC120453172|XP_039493666.1|DSAN
OG0000819	LOC6051147|XP_038117088.1|CQUI	LOC120455813|XP_039498207.1|DSAN, LOC120456883|XP_039499914.1|DSAN
OG0000820	LOC6038086|XP_038108938.1|CQUI	LOC120455095|XP_039496906.1|DSAN, LOC120446226|XP_039483027.1|DSAN
OG0000821	LOC6036623|XP_001846651.2|CQUI	LOC120452061|XP_039492058.1|DSAN, LOC120446324|XP_039483174.1|DSAN
OG0000822	LOC6036736|XP_001846735.2|CQUI	LOC120447780|XP_039485268.1|DSAN, LOC120455573|XP_039497878.1|DSAN
OG0000830	LOC6040678|XP_001850034.1|CQUI, LOC6040677|XP_001850032.1|CQUI, LOC6040679|XP_001850033.2|CQUI	LOC120456576|XP_039499398.1|DSAN
OG0000831	LOC6032985|XP_038104688.1|CQUI, LOC6032982|XP_001843494.2|CQUI, LOC6039734|XP_001849286.2|CQUI	LOC120448994|XP_039487194.1|DSAN
OG0000832	LOC6038039|XP_001847884.1|CQUI	LOC120444575|XP_039480270.1|DSAN
OG0000833	LOC119770850|XP_038122366.1|CQUI, LOC6043801|XP_038117043.1|CQUI	LOC120450279|XP_039489129.1|DSAN
OG0000834	LOC6049792|XP_001866498.2|CQUI	LOC120452176|XP_039492218.1|DSAN
OG0000836	LOC6033191|XP_038110903.1|CQUI	LOC120444786|XP_039480663.1|DSAN, LOC120446466|XP_039483405.1|DSAN
OG0000837	LOC6046885|XP_038117989.1|CQUI	LOC120456017|XP_039498514.1|DSAN
OG0000838	LOC6039707|XP_001849263.2|CQUI	LOC120446392|XP_039483264.1|DSAN, LOC120445305|XP_039481548.1|DSAN
OG0000839	LOC6032544|XP_001843124.2|CQUI	LOC120454532|XP_039495840.1|DSAN, LOC120451944|XP_039491897.1|DSAN
OG0000840	LOC6033814|XP_001844211.2|CQUI	LOC120458694|XP_039502372.1|DSAN, LOC120455729|XP_039498077.1|DSAN
OG0000842	LOC6052627|XP_038111165.1|CQUI	LOC120444150|XP_039479660.1|DSAN, LOC120453999|XP_039494901.1|DSAN
OG0000843	LOC6052901|XP_001869081.2|CQUI	LOC120444653|XP_039480427.1|DSAN
OG0000844	LOC6040955|XP_038108140.1|CQUI	LOC120444529|XP_039480210.1|DSAN, LOC120453662|XP_039494404.1|DSAN
OG0000845	LOC119769629|XP_038118744.1|CQUI, LOC6040642|XP_001850007.2|CQUI	LOC120455685|XP_039498028.1|DSAN, LOC120455684|XP_039498027.1|DSAN
OG0000854	LOC6041770|XP_001850988.2|CQUI	LOC120456889|XP_039499921.1|DSAN, LOC120456885|XP_039499915.1|DSAN
OG0000855	LOC6040439|XP_038111121.1|CQUI	LOC120456587|XP_039499429.1|DSAN, LOC120452454|XP_039492618.1|DSAN
OG0000856	LOC6042751|XP_038104746.1|CQUI	LOC120456765|XP_039499697.1|DSAN, LOC120448942|XP_039487120.1|DSAN
OG0000857	LOC6045738|XP_038104079.1|CQUI, LOC6045740|XP_001863047.2|CQUI, LOC6048852|XP_001865699.1|CQUI, LOC6052371|XP_001868657.2|CQUI	LOC120456001|XP_039498491.1|DSAN
OG0000858	LOC6033717|XP_001844137.2|CQUI	LOC120454674|XP_039496124.1|DSAN, LOC120454671|XP_039496121.1|DSAN
OG0000860	LOC6032867|XP_038115886.1|CQUI	LOC120447951|XP_039485571.1|DSAN, LOC120448017|XP_039485680.1|DSAN
OG0000861	LOC6037309|XP_001847235.1|CQUI	LOC120445935|XP_039482533.1|DSAN
OG0000862	LOC6043976|XP_001861556.2|CQUI	LOC120445067|XP_039481127.1|DSAN, LOC120449568|XP_039488058.1|DSAN
OG0000863	LOC6044024|XP_038115592.1|CQUI	LOC120452710|XP_039493008.1|DSAN, LOC120451101|XP_039490441.1|DSAN
OG0000864	LOC6041419|XP_038113943.1|CQUI	LOC120458866|XP_039502633.1|DSAN, LOC120456710|XP_039499618.1|DSAN
OG0000865	LOC6032934|XP_038112958.1|CQUI	LOC120457342|XP_039500785.1|DSAN, LOC120454494|XP_039495776.1|DSAN
OG0000866	LOC6041493|XP_038110702.1|CQUI	LOC120458947|XP_039502742.1|DSAN, LOC120458948|XP_039502745.1|DSAN
OG0000867	LOC6050061|XP_001866728.2|CQUI	LOC120458860|XP_039502624.1|DSAN, LOC120456126|XP_039498692.1|DSAN
OG0000868	LOC6037576|XP_001847472.2|CQUI, LOC6038283|XP_038112513.1|CQUI	LOC120456055|XP_039498570.1|DSAN
OG0000869	LOC119767364|XP_038111763.1|CQUI	LOC120450850|XP_039489994.1|DSAN
OG0000871	LOC6038540|XP_001848327.2|CQUI, LOC6038577|XP_038106280.1|CQUI, LOC6038538|XP_001848325.2|CQUI	LOC120444943|XP_039480880.1|DSAN
OG0000872	LOC6038131|XP_001847929.1|CQUI	LOC120455959|XP_039498435.1|DSAN, LOC120444483|XP_039480097.1|DSAN
OG0000873	LOC6047243|XP_001864326.2|CQUI, LOC6038744|XP_038111904.1|CQUI, LOC6036763|XP_038106219.1|CQUI	LOC120448886|XP_039487036.1|DSAN
OG0000874	LOC6037196|XP_038109655.1|CQUI	LOC120455890|XP_039498317.1|DSAN, LOC120445218|XP_039481407.1|DSAN
OG0000875	LOC6040537|XP_038110191.1|CQUI	LOC120449630|XP_039488152.1|DSAN
OG0000882	LOC6051045|XP_038104452.1|CQUI	LOC120456525|XP_039499328.1|DSAN, LOC120457818|XP_039501248.1|DSAN
OG0000883	LOC6048227|XP_038121671.1|CQUI, LOC6041000|XP_038121158.1|CQUI, LOC6030792|XP_001841691.2|CQUI, LOC6047675|XP_001864705.2|CQUI	LOC120456738|XP_039499661.1|DSAN
OG0000885	LOC6048168|XP_001865124.1|CQUI, LOC6048169|XP_001865125.1|CQUI, LOC6048170|XP_001865126.1|CQUI	LOC120451838|XP_039491748.1|DSAN
OG0000887	LOC6052421|XP_038120936.1|CQUI, LOC6052420|XP_038121806.1|CQUI, LOC6039002|XP_001848684.2|CQUI	LOC120456689|XP_039499587.1|DSAN
OG0000888	LOC6036591|XP_038115396.1|CQUI, LOC6036581|XP_038118642.1|CQUI	LOC120447461|XP_039484775.1|DSAN
OG0000889	LOC6033544|XP_001843978.2|CQUI	LOC120449582|XP_039488072.1|DSAN
